[00:00] 歡迎收聽古哀為生夢公文本集節目由如意堂贊助
[03:38] 但實際上都還沒有看到
[03:39] 那種快速的輪胖
[03:40] 可是我自己是滿相信
[03:41] 在接下來幾年應該會出現
[03:43] 那特別是在我適合他們的
[03:45] MR技術之後
[03:46] 我真的有一個感受的這樣
[03:48] 因為他有一段就是反正
[03:49] 他就建模了一個古宅
[03:51] 那這個古宅呢
[03:52] 就可以直接趴到地上
[03:53] 就可以看到很多的沒有細節
[03:55] 那真的有點像我那時候
[03:56] 在戴那個Apple的Vision Pro的時候
[03:58] 跟大家分享說
[03:58] 就是會有那種幻知的感覺
[04:01] 就是我那時候戴著
[04:02] 然後幫我兒子錄影
[04:03] 他拿一個泡泡箱對著我噴
[04:04] 然後你現在去戴上那個Apple的VR去看
[04:08] 當時你錄的畫面
[04:10] 你去報你的孩子
[04:11] 你真的你會感受到
[04:12] 雖然你的手面就沒有在報你的孩子
[04:14] 但是因為那個畫面太整了
[04:15] 所以讓你覺得
[04:16] 你好像真的有報到這個小孩
[04:18] 那一樣就是他那個古宅
[04:19] 你一開始下去看他的時候覺得說
[04:21] 哇蠻有趣的
[04:21] 然後後來站起來的時候
[04:23] 你要再走過那個古宅
[04:24] 你會想要跨過去
[04:25] 因為你真的覺得你腳會踢到直接的
[04:27] 所以我突然間好像可以懂
[04:28] 馬斯克講的
[04:29] 他說我們搞不好都活在SIMM的類型裡面
[04:31] 我們搞不好都活在模擬裡面
[04:33] 為什麼
[04:33] 因為下這一科技越來越厲害
[04:35] 那我們看到的這些東西
[04:36] 他做的這個真實度
[04:38] 音效或是說甚至後來的觸感
[04:41] 越做越好的一個狀況之下
[04:42] 會不會有一天
[04:43] 我覺得說我們現在分了出來
[04:44] 什麼是遊戲嗎
[04:45] 什麼是可能是手遊
[04:47] 什麼是VR AR
[04:49] 那如果有一天
[04:50] 我們開始有一點分不出來了
[04:51] 像現在在什麼最新的GTA
[04:53] 你看他畫面就非常的真實嗎
[04:55] 有一天你可以直接就進入這個遊戲裡面
[04:57] 你真的會開始懷疑說
[04:58] 那到底哪一個是真的
[04:59] 覺得說那遊戲裡面
[05:00] 可以聞到味道可以吃到東西
[05:02] 甚至還會有保主感或什麼的
[05:04] 那你到底那個是限制之際
[05:06] 還是這個是你的限制之際
[05:07] 你就不知道
[05:07] 會不會我們現在其實就是已經在
[05:09] 某種就是MR裡面
[05:11] 然後只是我們自己不知道
[05:12] 我們開啟了遊戲
[05:14] 那我們身為玩家
[05:15] 每個人你起床的時候有時候會好起說
[05:17] 為什麼每天我看出去
[05:18] 都是我的眼睛
[05:19] 而不是我喜歡的女生的眼睛
[05:20] 或是誰的眼睛
[05:21] 為什麼永遠我都是在這個身體裡面
[05:23] 然後會不會有一天就是我
[05:24] 我突然間不知道就是
[05:26] 台風天跑去釣魚之類的
[05:27] 然後被刮走
[05:29] 那這個遊戲就突然間結束
[05:30] 然後你媽就會想說
[05:31] 哎下一次犯之類的
[05:32] 就才發現說你完全是活在一個模擬氣裡面
[05:36] 就是以前會覺得說這種東西
[05:37] 是一種非常大的假設
[05:39] 可是我真的覺得這些年
[05:40] 就特別是像現在AI非常的先進的
[05:42] 我已經怎麼講太兩年
[05:44] 嚴格上來說是在baby時期
[05:45] 可是已經發展得太快了
[05:47] 就是你現在不覺得上網看到一些影片
[05:49] 你第一個都會先問說
[05:50] 這是不是AI
[05:51] 就你在兩年前看那個影片是講
[05:53] 是為了使命是在那邊吃義大利麵的
[05:55] 那一看就在就是AI影片
[05:56] 可是現在其實有很多影片
[05:57] 你已經開始會有一點分不出來了
[05:59] 那後面如果說在結合一些
[06:01] 不管是視覺聽覺
[06:02] 或是觸覺
[06:03] 或是甚至是不知道
[06:04] 就是接你的腦袋腦神經濟去刺激
[06:06] 然後讓你真的感受到一些
[06:09] 就是以前我們沒有辦法透過這種
[06:11] 所以電玩或是電影感受到的
[06:12] 新的一種感官的體驗的話
[06:15] 會不會你真的就開始錯亂
[06:17] 就搞不清楚什麼是真什麼是假的
[06:19] 那那個世界會怎麼樣的不知道
[06:21] 其實現在要去對這種未來大膽的
[06:23] 跟我們猜想
[06:24] 也是沒有什麼太大意義
[06:25] 這就是非常讚嘆的說
[06:27] 這個人類發展的速度真的是很快
[06:29] 那非常期待後面的世界會長什麼樣子
[06:32] 會不會有一天就是
[06:34] 當這個MR的技術已經高到說
[06:36] 不知道就是你接線
[06:37] 然後可能要放某個Sensor
[06:39] 可能是不知道New Rowling做出來的人
[06:40] 貼在你的頭上之後
[06:41] 你就直接進入到另外一個世界
[06:43] 然後它真實到你一分不出來
[06:45] 就在那個當下開啟遊戲的瞬間
[06:48] 然後所有東西就會像那個InterStater
[06:50] 就是它後面有一段Coopers在那邊漂浮的時候
[06:53] 然後那個東西直接全部講
[06:54] 啪啪啪啪啪啪啪啪啪
[06:55] 說起來然後這個世界會結束了
[06:57] 不知道我就有這種奇怪的一些想法
[06:59] 那非常期待這個未來的科技
[07:01] 但有些東西可能要等到
[07:03] 我們孩子那一輩子才有辦法看到
[07:04] 但就是很很新奇的
[07:06] 迎接這些東西的發展
[07:08] 那當然回到比較現實的層面
[07:10] 就是我們透過一些供應鏈端
[07:12] 去看一下一下科技的發展
[07:14] 那其實呢都是有蠻多新的東西
[07:16] 再推出來
[07:17] 然後不然說像蘋果的摺疊機中也要出來了
[07:19] 是兩個周成三個螢幕的版本
[07:21] 我們有沒有看到是這樣
[07:22] 那在呢在蘋果的Air
[07:24] 現在也是非常認真地去推進
[07:25] 然後在路線的選擇上面已經是越來越清楚
[07:27] 相關的代工廠跟供應鏈
[07:29] 他們都已經有找好了
[07:30] 那所以呢
[07:31] 大家之後也會看到蘋果的演技
[07:32] 那當然在Mata這邊
[07:34] 也是持續的在往前推
[07:36] 後面也會有更新一代的演技會出現
[07:39] 那這些東西其實我覺得某個程度上
[07:41] 它除了是一種就是在現實生活中的智慧輔助之外
[07:44] 它也是開始去把這種虛實的東西做的
[07:47] 更加的模糊
[07:48] 就是我們家有講什麼是虛什麼是死
[07:50] 後面會不會就
[07:51] 也不用去討論這個東西
[07:52] 因為那一切就是已經是結合在一起
[07:54] 搞不好有時候一日
[07:55] 你可以看到你的生命條子
[07:57] 你的血條你只有辦法看到
[07:58] 現在沒有辦法看到
[07:59] 可是某個程度上
[08:00] 你不覺得我們現在戴Apple Watch
[08:01] 我們就是有在看到我們血條了
[08:02] 你只要做你今天的進程狀況
[08:04] 怎麼樣你走幾步
[08:05] 那你的順便品質是幾分
[08:07] 會不會後面這些技術高到某個程度
[08:09] 就是我們人生就讓打電玩子
[08:11] 這個是我這個
[08:12] 不知道就是可能
[08:13] 趕我覺得超窄
[08:14] 就覺得前面這個段
[08:14] 它們天然懂得應該都是超級窄批
[08:17] 共產黨已經可不可以
[08:18] 但就是突然想跟大家分享一下
[08:20] 就是去看著這個MR團隊之後的一些想法
[08:22] 那也希望後面會有更多的酷東西出來
[08:25] 簡單來跟大家聊一下
[08:26] 我們今天順利進入了2026年
[08:28] 那在2026年的第一個教育日
[08:30] 台積電直接去摸到了1585元
[08:32] 然後在晚上的ADR
[08:33] TSM更直接噴得5%多
[08:36] 當然TSM噴多少
[08:37] 不可以直接回推台積電噴多少
[08:39] 它有一個異價的存在
[08:40] 所以我們就大概去做參考
[08:42] 就搞不好下禮拜一又要再持續去做噴射
[08:45] 不一定噴這麼多
[08:46] 可是就是持續的相當進攻
[08:47] 那相當台積電它的未來的一個軌跡
[08:50] 我們不敢講太遠
[08:51] 因為如果你現在要講到什麼2030-2030
[08:52] 我就認為這樣推
[08:53] 可能看下成長率多少
[08:55] 然後直接推到2030-2030
[08:57] 我這個其實是不太準確
[08:58] 因為在過程之中會有一些修正
[09:01] 或者說科技的一些跌代變換
[09:02] 搞不好有什麼新的玩家串出來
[09:04] 什麼那個太難講了
[09:05] 可是在短期內的東西
[09:07] 就是我們去看
[09:07] 可能二七年對一個
[09:08] FORP有要去推的話
[09:10] 台積電摩耀2000
[09:11] 我覺得是非常容易的事情
[09:13] 直到摩耀2000的過程之中
[09:14] 會發生什麼事情
[09:15] 我們不知道
[09:15] 說不定先震盪一下
[09:16] 說不定有一些國際事件
[09:17] 我怎麼樣
[09:18] 反正就總之就是先往那個方向去看
[09:20] 那下市場上也是非常的有共識
[09:23] 就大家覺得這些東西是很好
[09:25] 前面可能還有一些懷疑
[09:26] 幫人說那些AI懷疑論者
[09:27] 什麼
[09:27] 那現在應該是越來越少看到這些人的
[09:30] 除了就是前陣子
[09:31] 可能像Oricot
[09:32] 他的在無性評測方面
[09:34] 有被拿出來去做一些描述之外
[09:36] 可是已經很少人會去講
[09:37] 說什麼這些AI的東西是騙局
[09:38] 用確實看到AI所產生的很多價值
[09:41] 那之當然他產生的價值可能還沒有辦法
[09:43] 去justify去瞎的一個資本支出
[09:45] 是不是合理的
[09:46] 但就是有
[09:47] 那持續的去做產出
[09:49] 那身為一個做產子的公司
[09:52] 台積電呢
[09:52] 就不管是你是用GPGPU還是AC
[09:54] 還是各種新的嘗試
[09:55] XPU殺小的
[09:57] 或是各種記憶體
[09:57] 有之後的相當HBM的Basedye
[10:00] 都是台積電要做
[10:02] 所以他就是確保自己在一個
[10:03] 非常好的位置
[10:04] 那也是持續的帶領台灣的大盤向前衝
[10:07] 那這禮拜在市場上
[10:08] 就有一些新的鬼故事跑出來
[10:10] 就覺得很好笑
[10:11] 就是你在那種修正的時候丟鬼故事
[10:13] 我覺得就算了
[10:14] 因為那是人之長情
[10:15] 就是你會去找一些有的沒有東西出來寫
[10:17] 可是在這種上場的過程中
[10:18] 然後還丟鬼故事
[10:20] 我覺得很好奇說
[10:21] 因為他們知道寫什麼東西
[10:22] 那我看了一下
[10:22] 來源應該是在韓國之別
[10:24] 就講到說
[10:25] 可能TPU或是Broadcast
[10:26] 這邊有個砍丹的狀態
[10:28] 那同時又人家再去加
[10:29] 就講AW的券真的不是人做的
[10:31] 即便當然AW的券首先表現是還滿不錯
[10:33] 這幾天都滿不錯
[10:34] 那又人家講說
[10:35] 什麼AWS要跟著一起砍丹
[10:36] 那我直接講這兩個消息
[10:38] 基本上都算是錯的了
[10:40] 就是應該是沒有這樣子的狀態
[10:42] 那其實像Google
[10:42] 我們今天跟大家分享了好幾個月
[10:44] 他是一個怎麼樣
[10:45] 就像他是在需求方面
[10:47] 超級大的公司
[10:49] 需所無度
[10:50] 他要的東西太多了
[10:51] 所以就算他有一些所謂的砍丹
[10:54] 就大家可能拿某段時間走的一個數據
[10:57] 來跟講說他砍丹
[10:58] 那個也不影響他
[10:59] 後來長期的個鬼話
[11:01] 他現在可能不知道
[11:02] 就一年大家可能抓個4米
[11:03] 我就是4米2顆的晶片
[11:06] 可是問題就是他要的其實是更多的
[11:08] 他希望有更多更多的晶片
[11:10] 甚至在之後
[11:11] 有聽到一些業界的朋友講
[11:13] 他是搞不好
[11:13] 一個月他就要4個米
[11:15] 他不是一年
[11:15] 他一個月就要4個米
[11:17] 所以他要的量是這麼大了
[11:18] 那既然都知道說
[11:19] 他有這麼大的一個底面
[11:20] 所以今天我在工廠端
[11:22] 或什麼後段的封裝測試
[11:24] 然後人家跟人家說什麼
[11:25] Google這邊可能有一些東西下修
[11:27] 或什麼
[11:27] 那個絕對不會說
[11:27] 什麼長期的公司計畫就改變了
[11:30] 那可能比較偏向說
[11:31] 就要說像如果像你跟我講說
[11:33] Google有去做下修
[11:34] 我會認為其實是可能在代工廠
[11:36] 我是後段這邊
[11:37] 沒有辦法跟上他的需求
[11:39] 那所以呢
[11:39] 他知道去調某個地方的產能
[11:42] 就有可能是這樣的一個狀態
[11:43] 而不是像大家想像的這種
[11:45] 取消跟簡單
[11:46] 這應該是比較難看到
[11:47] 那特別是
[11:48] 你現在如果膽敢去做取消跟簡單的話
[11:51] 代表就是說
[11:51] 你的產能就會被別人拿走
[11:53] 所以除非在這陣子
[11:54] 有出現什麼AI泡磨這些重大的事件
[11:57] 可能像是 OpenAI 目之失敗之類的
[12:00] 那不然其實我覺得沒有人
[12:01] 會撒到去放掉自己的產能
[12:03] 所以在市場上傳送鬼故事
[12:05] 就是屬於比較莫名其妙的一個做法
[12:07] 那當然沒不排除
[12:09] 搞不好人家是先職
[12:10] 搞不好真的AI在這邊
[12:11] 就突然是一個TP point
[12:12] 然後就要再往下
[12:13] 那我們也要等到
[12:14] 我們有夠多的證據
[12:15] 去佐證這件事情
[12:16] 再跟大家分享
[12:17] 而不是整天就隨便拿一個路面的東西
[12:19] 然後想說是怎麼樣是怎麼樣
[12:21] 那這個就會是
[12:22] 像那個外資大哥跟我講的
[12:23] 市場上太多諾以死了
[12:25] 這就是諾以死
[12:25] 這就是把你洗掉的一些有的沒有的
[12:28] 那種小鬼故事
[12:29] 就算說除了這個諾以死
[12:30] 然後疊死怕
[12:30] 你覺得自己很聰明
[12:31] 我閃掉這個死怕
[12:33] 那之後繼續開車
[12:33] 你買不回來的話
[12:34] 那你閃掉也是跟白癡一樣
[12:36] 所以在我的角度就是說
[12:38] 我們需要有更多的證據
[12:39] 佐證這件事情
[12:40] 不然你就把它當成是市場裡面的
[12:42] 其中一種雜音就好
[12:44] 那目前我們看到
[12:45] 在台積間這邊的甚至有可能
[12:47] 你在今年會
[12:48] 當然他們很多時候
[12:49] 會在第一Q就直接告訴大家
[12:50] 他們全年會怎麼樣
[12:52] 有機會可以看到說
[12:53] KPEX會開到50個幣以上
[12:55] 我問一下可能市場
[12:56] 是看四幾個幣
[12:57] 但是我知道比較樂觀的
[12:58] 我喊到50幾個幣
[12:59] 可能那可能是太樂觀
[13:00] 我們就是稍微的重用
[13:01] 一點的
[13:01] 我覺得就是
[13:02] 先去假設說
[13:03] 可能會看一個50B左右的一個KPEX
[13:06] 那這就是孟宏程度上的一種上修了
[13:09] 那如果說有這樣子的狀況出來的話
[13:11] 那就會知道說
[13:11] 就台積電也跟牌了
[13:13] 因為以前他可能會
[13:14] 不太願意在短期內去擴很多產能
[13:16] 因為他在過去也曾經被這些
[13:18] 所謂的大客戶
[13:19] 或者說一些CSP給Kendan過
[13:21] 所以他知道說
[13:22] 就是有時候你們一頭熱的時候
[13:24] 不能跟著你瘋
[13:25] 可如果說他這次也有聞到一點味道
[13:27] 然後願意在這個保守跟穩接之中
[13:29] 去做一些額外的擴產的話
[13:31] 那就有可能又再有這個
[13:33] 一波新的App賽出現
[13:35] 那只是
[13:36] 這個地方我覺得比較Tricky的點是說
[13:37] 因為現在可能在1月
[13:39] 特別我們去拉一下過往的一個統計
[13:41] 台積電在1月的時候
[13:42] 都是比較會漲的
[13:43] 然後在2月的時候
[13:44] 很多時候會出現修正
[13:45] 這是什麼呢
[13:46] 那可能就是因為說他先把
[13:47] 他的展望跟全年預交做什麼
[13:49] 然後他的可能新的節點的良率
[13:51] 已經是讓大家投射出來
[13:53] 所以大家先拉給一波
[13:54] 然後之後就開始有一些回答
[13:56] 就開始會回到
[13:57] 怎麼講就說夢醒十分
[13:58] 我不是說整個夢要破
[13:59] 但大家會稍微地冷靜一下
[14:01] 為什麼因為
[14:01] 其實像最近我們跟朋友討論
[14:02] 就會出現一個狀況
[14:04] 就是大家會
[14:05] 我們都只講說明年多少錢
[14:07] 反正就是你今天想要去推廣某個標題
[14:09] 人家要來推
[14:09] 你要去跟你講說明年多少錢
[14:11] 那可是大家講明年的時候
[14:13] 大家都會去Double Check
[14:14] 等一下 你講明年是2026還是2027
[14:17] 那現在已經開始很多人在推2027了
[14:19] 所以這是一個很有趣的轉換階段
[14:21] 也就是我們過往可能在2025年的時候
[14:23] 我們講明年是2026
[14:25] 可是我們家講明年是2027
[14:27] 那2026跟2027
[14:29] 據來說他可能2026可以裝2027
[14:31] 可以裝到30塊
[14:32] 那你之前都是用2026的20塊
[14:34] 去給他一個P1程序
[14:35] 那現在你可以用2027去給他一個程序
[14:37] 但這可能會一瞬間
[14:38] 讓這個市場衝得太快
[14:40] 所以有可能就是等到
[14:42] 可能DQ開財報的那個前後
[14:44] 我就大家會稍微點醒過來
[14:45] 說我們可能一次投射太遠
[14:47] 然後就出現一些回答
[14:48] 但就算有回答的出現
[14:50] 我就也不用緊張
[14:50] 反正下距離這一波的起點
[14:53] 其實都很遠
[14:54] 我相信舉到多數人的成本性
[14:55] 都拉超幾遠
[14:56] 所以就只是
[14:57] 什麼時候要去做一些加減碼的調節而已
[14:59] 那當然如果說是新進來的
[15:00] 可能就是在這種地方就會被搞到
[15:03] 就是大家一頭熱衝進去的時候
[15:05] 然後接著呢
[15:05] 修正個蛇石爬
[15:07] 聽起來是一個
[15:08] 怎麼講也不少的數字
[15:10] 可是呢
[15:10] 對於那些可能全部在馬來山頂的
[15:12] 那個就是一個非常大的數字
[15:13] 所以這是我覺得
[15:15] 接下來要稍微注意一下的
[15:17] 就是說那些新進來的人
[15:18] 你要一次把所有的成本位置
[15:21] 甚至加槓桿
[15:22] 追在某些地方的
[15:23] 就要去延防
[15:24] 雖然家的航行是非常好
[15:25] 可是如果說在開了財報之後
[15:28] 大家稍微的去踩個殺車的話
[15:30] 那個回檔其實也會蠻大的
[15:32] 那只是我們目前就是看全年的狀況
[15:33] 就如果我剛剛前面所講
[15:35] 如果說你有聽到一些什麼
[15:36] can單取消什麼的
[15:38] 你不應該把他想成是說
[15:39] 就人家要去踩殺車不做投資的
[15:41] 而是他可能是在後面的
[15:43] 有些地方卡住的
[15:44] 所以他可能在前面
[15:45] 或者說某個環節去做一些調整
[15:47] 那像我們這邊看到在後段的
[15:49] 這個testing這邊
[15:50] 不然說像是KYEC
[15:52] 或者是其他的外移廠商
[15:53] 這個最近的股價表現都非常好
[15:55] 那我個人是把這個當成是某種
[15:57] rerate啦
[15:58] 我就是說可能新的一年到了嘛
[15:59] 所以大家就先去看後面的
[16:01] 獲利然後把他拉上去
[16:02] 但其實我們在
[16:03] 這個testing這邊
[16:04] 是有注意到說
[16:06] 是一個公布英雄的狀態
[16:08] 那最近還有一個東西
[16:09] 可能會推動整體市場上漲
[16:11] 就是說因為受損
[16:12] 他們在進入這個ifers17之後
[16:14] 就是過去他們有去做一些調節
[16:15] 那近期我們自己
[16:17] 是有注意到一些受損
[16:18] 他們就是瘋狂的在補部位
[16:20] 那他們補部位都是比較偏向
[16:21] 那種比較大型的權制股
[16:23] 就是把過去賣掉的東西
[16:24] 然後現在就馬來死命地把它靠回來
[16:27] 所以也是有這個受損買盤在背後
[16:30] 然後導致這樣的一個現象
[16:31] 那總體就是在新的一年
[16:34] 目前開一年的表現是非常好的
[16:35] 甚至好到有些朋友
[16:36] 在跟我聊天的時候
[16:37] 會不會今年就只漲地劑
[16:39] 漲這麼多
[16:40] 在地劑就把東西漲完
[16:41] 然後後面就是進入那種damp money盤
[16:44] 不確定
[16:44] 但我們就是反正走一步
[16:46] 算一步慢慢推下去
[16:47] 再來我們在兩集前
[16:49] 有跟大家聊到
[16:50] 因為那時候在聊這個grog
[16:51] 他有使用srn這些事情
[16:54] 那我們那時候就去做一個
[16:55] 所謂的大膽的猜想
[16:57] 因為有時候在市場裡面
[16:57] 就要預判別人的預判
[16:59] 你就知道預判說別人會想什麼
[17:01] 那時候一個大膽的猜想
[17:02] 就是說台系的一些
[17:03] 可能跟srn相關
[17:05] 不然說他可能是做這個sudo srn
[17:07] psrn的
[17:07] 或者是說
[17:08] 他可能是做某種
[17:10] 像那時候跟大家聊來花幫嘛
[17:11] 因為他的cube
[17:12] 在官方網站是自己寫說
[17:14] 這個東西
[17:15] 就理論上
[17:15] 他是可以把它
[17:16] 作為是l3 catch來做使用
[17:18] 就是l3 catch
[17:20] 那除了這個花幫以外
[17:21] 當然像是iPad
[17:22] 就是之前QA聽眾在最後一題
[17:24] 有提到的
[17:25] 我覺得他那個時間點抓得蠻好的
[17:27] 不知道是不是讓我先知人士
[17:29] 那他提到的這個vhm
[17:31] 其實這個weapon wafer的技術
[17:32] 也是可以把它視為是
[17:34] 夢想程度上的一個lc
[17:36] 就是l3 catch來做使用
[17:38] 所以其實我不會覺得市場
[17:39] 是在瞎吵這些題材
[17:40] 那只是確實在我們本來
[17:42] 兩集前的判斷
[17:43] 會認為說
[17:44] 這是一種想像
[17:45] 然後就大家去做想像
[17:46] 那結果沒有想到
[17:47] 就是大家真的把這個方向去做想像
[17:48] 因為他的花幫是相對強勢
[17:50] iPad終於是脫離他的一個攀枕區間
[17:53] 所以這個確實就是
[17:54] 我們工作來做的事情
[17:55] 你看本來前面只是一個猜想跟想像
[17:58] 甚至那時候的想像
[17:59] 如果讓一些人聽到
[18:00] 他會覺得說你那邊亂想
[18:02] 可是你看市場就真的這樣子想
[18:03] 因為我們在裡面待久
[18:04] 我們大概知道說
[18:05] 別人會怎麼想
[18:06] 重點就是說
[18:07] 別人也真的往這個方向去想
[18:09] 他們真的去推人
[18:10] 那你現在該怎麼做
[18:11] 重點就是說
[18:12] 你到底該怎麼做
[18:13] 你當然可以站在旁邊
[18:14] 然後指著每個標題都講說
[18:16] 超股票超股票
[18:17] 就像是別人以為指著你的東西說
[18:18] 你在超股票
[18:19] 就算你的東西真的
[18:20] 那憑什麼你的東西的
[18:21] 估值30倍50倍
[18:22] 對吧
[18:23] 所以其實沒有道理去
[18:24] 大家互相指責說
[18:26] 你那個是真
[18:26] 你那個是假貨是什麼的
[18:27] 我覺得關鍵就是說
[18:28] 反正若水3000你只取一票贏
[18:31] 有賺到錢就好了
[18:32] 你不要去朝一些
[18:33] 那種很明顯是完全假貨
[18:35] 那連賺錢都沒有
[18:36] 而且就是你也知道說
[18:37] 後面也不會賺錢的公司
[18:38] 你不要去朝重假貨的話
[18:40] 我覺得都沒有什麼太大問題
[18:41] 因為市場本來就是大家都在做想像
[18:42] 而且很多時候是這樣
[18:43] 就是一個想像的東西
[18:45] 他最後面變成是真的的時候
[18:47] 那個很恐怖
[18:48] 就是說本來大家可能以為
[18:50] 說他只是一個差邊球的東西
[18:51] 就意外的弄假成真
[18:53] 什麼小三邊證公
[18:54] 那個就會慢慢噴到爆炸
[18:56] 是真的會超過你的想像
[18:58] 所以我們在市場中
[18:59] 我們不會去忽略任何題材這樣
[19:00] 稍微去跟大家舉一個例子
[19:02] 就是前陣子在被動員間
[19:04] 去做表態的時候
[19:05] 那時候我身邊的
[19:07] 反正那種做量化很猛的人
[19:09] 就有牌問我講說
[19:11] 這個被動員間這麼多指
[19:12] 你要跳哪些
[19:13] 那我就給他跳了幾指
[19:15] 要不然說
[19:15] 但台灣的龍頭一定要提一下
[19:17] 就是我們的國劇
[19:19] 那國劇那時候
[19:19] 我們也是提早就知道說
[19:21] 有一些長假的狀態
[19:22] 因為供應鏈裡面
[19:23] 就大家都有一些考察能力
[19:24] 當然他們最近又在H
[19:26] 做新一波的一些某些產品的長假
[19:28] 那我就要講說這支根
[19:31] 那支就是他可能是
