[00:00] 歡迎收聽古い為聖母公本季節目由諾尼VPN贊助
[01:36] 就讓你非常感動
[01:37] 那一般都是浩發在睡前
[01:39] 我覺得睡前可能是因為
[01:40] 他們會放下一切的提防
[01:43] 因為也累了
[01:44] 然後腦筋可能也沒有這麼清楚
[01:46] 所以就會講一些比較甜的話之類的
[01:48] 像我只能在睡前的話
[01:49] 他會先有一個這個
[01:51] 反養的過程
[01:53] 我蠻有趣的
[01:53] 就是他明明就是想睡覺
[01:55] 可是他會突然間
[01:55] 又想到什麼東西
[01:56] 然後就比較睡覺
[01:57] 就會直播問題
[01:58] 那可能也是因為他想要避免睡覺之類
[02:00] 他就會開始
[02:01] 反而睡前會有很多的大災問的出現
[02:03] 然後突然間我會講說
[02:05] 爸爸我1000歲的時候會長什麼樣子
[02:07] 我告訴他
[02:07] 人沒有辦法活到1000歲
[02:08] 他說你叫AI化看看
[02:10] 因為我兒子下對於這種新科技
[02:12] 其實我的心態都是比較報紙
[02:14] 的是開放的
[02:15] 就是我認為說
[02:16] 所以孩子的競爭力
[02:17] 一方面是我們爸媽到底努力的多少
[02:19] 二方面是你到底有沒有辦法
[02:21] 去尋尋三油
[02:22] 他去使用這些新的科技
[02:24] 我知道有一些爸媽是非常的反對
[02:25] 小朋友不可以用這個
[02:26] 不可以用那個
[02:27] 不可以看電視
[02:27] 不可以用手機
[02:28] 不可以怎麼樣什麼的
[02:29] OK
[02:29] 我是尊重每個人的教養
[02:31] 那在我的角度
[02:32] 我是認為說適量就是OK的
[02:34] 所以我都會去教他一些新的工具
[02:37] 不管是什麼打電動
[02:38] 或者是玩桌機
[02:40] 那嘗試在電腦上面打字
[02:42] 或者是去跟AI對話
[02:44] 跟Gracke的這個
[02:45] 他那個什麼紅禮貓
[02:47] 還什麼的
[02:47] 反正就跟他聊天
[02:49] 或者是
[02:50] 我們可以出題目給他
[02:51] 然後請他寫故事什麼
[02:52] 所以我兒子對於這AI的工具
[02:54] 就算還蠻熟悉的
[02:55] 所以
[02:56] 有時候他就會去跟我講說
[02:57] 你可不可以問他
[02:58] AI什麼事情
[03:00] 那我就直接跟他說
[03:01] 人沒有辦法活到以前
[03:02] 所以我們人的話
[03:03] 大概就是最多到100歲
[03:04] 他說你叫AI話
[03:05] 看看在這叫AI話
[03:06] AI當然就換一個這個貓
[03:08] 有效果圖
[03:08] 然後大家效效之後
[03:09] 他就跟我講說
[03:10] 那爸爸你剩下多久
[03:11] 我剛剛講說我大概
[03:13] 算下來的話
[03:14] 60幾年吧
[03:15] 我還有60幾年
[03:16] 他說那把我剩下多久
[03:18] 我說你大概還有90幾年吧
[03:19] 而且你的這個時代
[03:21] 可能科技會更進步
[03:22] 說不定你可以還有100多年
[03:24] 然後突然沉默5秒鐘之後
[03:25] 就開始爆哭
[03:26] 爸爸我不要你死掉
[03:28] 然後就開始狂哭
[03:30] 那他講這個時候
[03:31] 其實當下我就是跟著哭了
[03:33] 因為我真的覺得
[03:34] 不早就很感傷吧
[03:35] 就是你想要看到你兒子
[03:37] 除了他什麼遊校孩
[03:39] 或是說什麼
[03:40] 渠道老婆
[03:42] 甚至他有孫子什麼
[03:43] 你想要看到這一切之外
[03:44] 他同時你也想經歷他的一生
[03:46] 所以就真的是蠻感嘆
[03:49] 人的生命是有限的
[03:50] 但其實是因為有限
[03:51] 早就去珍惜這些事情
[03:52] 然後當下就覺得
[03:53] 白感焦急
[03:55] 所以我看到兒子那邊哭
[03:56] 那我就是默默地跟著低了一下
[03:58] 然後稍微安慰他
[03:59] 說爸爸又很多都保護你
[04:00] 你不要怕
[04:01] 就算有一天
[04:02] 這個爸爸跑去當天死
[04:03] 我也會在你旁邊
[04:04] 反正就是講那些
[04:05] 怎麼樣
[04:06] 他有一點沉槍爛掉
[04:07] 因為我相信每個人都是這樣
[04:08] 安慰吧
[04:09] 或是有些家長可能就用片的
[04:11] 就不跟他討論這些話題
[04:12] 但我覺得說反正孩子要問
[04:14] 我就跟他講
[04:15] 那渠道老婆進來
[04:16] 把這些報臭掉
[04:17] 他意思是說
[04:18] 你在睡前跟他講這個幹嘛
[04:19] 我說媽的
[04:20] 這不是我可以決定的
[04:21] 你兒子在問問題
[04:22] 我可以叫他安靜
[04:23] 說你去叫他安靜
[04:24] 叫他睡覺
[04:24] 明天再問
[04:25] 我沒有辦法
[04:26] 說他每次問問你
[04:27] 我就這樣回答他
[04:28] 因為我自己知道
[04:28] 我從小就這樣
[04:29] 超多問題的
[04:30] 那老師就會講說
[04:31] 為什麼你的媽問題最多
[04:32] 老師每天都這樣噴我
[04:34] 可是我因為從小這樣被對待
[04:36] 我就知道說
[04:36] 因為我們這種就是
[04:37] 很有好奇心的人
[04:38] 你給人家那種阻擋下來之後
[04:40] 你心中會有一點受傷
[04:41] 所以我就盡可能的回答
[04:43] 他說
[04:43] 那你可不可以不要在半夜的時候
[04:44] 去回答這種問題
[04:45] 我說
[04:46] OK
[04:47] 那之後後來隔了幾天之後
[04:49] 在一樣是睡前
[04:50] 他就跟我講說
[04:52] 爸爸想換一個爸爸
[04:53] 他是要跟我開玩笑
[04:54] 我那時候也不知道
[04:55] 我說
[04:56] 我是那裡得罪他
[04:56] 我怎麼
[04:57] 因為我兒子知道
[04:57] 我蠻感愛感恨的
[04:58] 他那時候說
[04:59] 爸爸應該要跟我道歉
[05:00] 你做錯什麼事情
[05:01] 類似這種
[05:02] 我想說是不是
[05:03] 我做錯什麼事情得到他
[05:04] 他說
[05:05] 我換爸爸
[05:05] 我就跟他說
[05:06] 好吧
[05:07] 那雖然我有點遺憾
[05:08] 但我接受
[05:09] 那可能明天就有新的
[05:10] 爸爸會換過來
[05:11] 然後一樣
[05:11] 他就想給五秒鐘四分鐘
[05:13] 就
[05:14] 就開始抱苦
[05:15] 那我就要立刻跟他道歉
[05:16] 然後他
[05:17] 平常都是那種抱不到
[05:18] 就是就有在那種
[05:20] 迷流之際
[05:21] 快睡死的時候
[05:23] 有辦法可以抱到他
[05:24] 那這時候他就自己跑過來抱
[05:25] 我就是他
[05:25] 他不要換爸爸
[05:26] 那我這個爸爸
[05:27] 那我其實心中就覺得
[05:29] 非常的暖
[05:30] 所以這邊也分享
[05:31] 一些小故事
[05:31] 給我們地方聽眾
[05:33] 很多超男生的
[05:34] 他就跟我一樣
[05:35] 會跑出來靠北靠
[05:35] 不會跑來私訊
[05:36] 我講說
[05:37] 夢工
[05:37] 可以懂你那時候的感受
[05:39] 其實不要想那麼多
[05:40] 因為像在這些
[05:42] 這種睡前的時刻
[05:43] 或什麼的
[05:44] 很多時候你還會發現說
[05:45] 男生也是可以很甜的
[05:46] 那只是說
[05:47] 可能在傳統的教育之下
[05:48] 像我們小時候會被教育就是這樣
[05:50] 男兒有類不清坦
[05:51] 男生就是要扛
[05:52] 男生不要那媽一堆意見
[05:54] 那男生就要去廁所
[05:55] 給人家摸屁股
[05:55] 也不要講
[05:56] 你講出去還會給人家笑說
[05:58] 你只會給人家摸屁股
[05:59] 就大家不會覺得說
[06:00] 我們男生會被信潮之類
[06:01] 所以我們從小就習慣的時候
[06:02] 就男生不可以講太多東西
[06:04] 那也因為這樣子
[06:05] 所以可能就會心中
[06:07] 已經就是在前一次裡面認為說
[06:09] 反正男生就是一個
[06:10] 比較冷血的存在之類的
[06:11] 那女生就是要疼就是要愛
[06:13] 或什麼
[06:13] 但實際上
[06:14] 我覺得當然
[06:15] 在我們這一輩的
[06:17] 我覺得家長的隔心之下
[06:18] 就是蠻多的小男生
[06:20] 其實我覺得他們也都很甜
[06:21] 跟我們小時候認識的那種
[06:23] very typical
[06:24] 當超級典型的小男生
[06:26] 挑比導彈亂搞
[06:27] 有蠻大的差距
[06:28] 我覺得當然男生還是會活力旺盛
[06:31] 男生還是會搞事情
[06:32] 可是就是蠻多時候
[06:34] 他們也可以像是
[06:35] 大家想像中的那種女生一樣
[06:37] 就是他可以跟寶寬娃娃
[06:38] 去談一些情緒
[06:39] 那陪伴你
[06:39] 他跟你聊天或什麼的
[06:41] 這當然女生可能還是好一些
[06:42] 但男生沒有這麼差
[06:43] 我表達是個意思
[06:45] 大概簡單跟大家分享一下
[06:47] 就是光是這兩個事件
[06:48] 就讓我覺得
[06:49] 就當爸是一個蠻好的體驗
[06:51] 就是這種簡單的小東西
[06:54] 你知道說你在這個世界上
[06:56] 是有人需要你的
[06:57] 不是說什麼
[06:58] 像你自己想像
[06:59] 說也好像
[07:00] 我自己可有可惡
[07:01] 絕大多數的時間點
[07:01] 我真的都覺得自己可有可惡
[07:03] 那突然間就是有人是需要你的
[07:05] 那有人是
[07:06] 會想到你的
[07:07] 或是說他學校辦一個活動
[07:09] 他可能會動張希望看出他爸在哪
[07:11] 所以這種被需要的感覺
[07:12] 是還蠻好的
[07:14] 簡單跟大家分享一下
[07:15] 最近的一個鬱而的體驗
[07:17] 好 那很快的
[07:18] 要過新的一年的
[07:19] 所以這邊就先跟大家分享一下
[07:21] 今年自己的一些想法
[07:23] 然後一些可能在做法上的
[07:26] 調整跟改變
[07:27] 以及對未來的一些看法
[07:29] 那老實說在今年四月的時候
[07:31] 心中想的是
[07:32] 就今年應該就這樣了
[07:33] 應該就完蛋了
[07:34] 那應該也非常難救回來之類的
[07:36] 結果沒有想到
[07:37] 今年的表現
[07:39] 早上才剛跟林口父爸爸聊天聊了一下
[07:42] 他今年的表現是
[07:44] 大概就跟去年差不多了
[07:45] 他也覺得非常的好
[07:46] 那像我的話
[07:46] 我今年的表現是
[07:48] 稍微的一點點優於去年
[07:50] 那老實講是有點靠賽
[07:52] 因為在年底
[07:53] 我本來一些比較不會動的部位
[07:55] 像是Tesla
[07:56] 然後像是我的一些小規谷的組合
[07:58] 也不知道為什麼突然間
[07:59] 全部都醒過來了
[08:00] 所以其實本來
[08:01] 今年的表現會略迅於去年
[08:04] 但因為這些東西全部都醒過來
[08:05] 所以
[08:06] 突然間就截至今天為止
[08:08] 當然我們不知道
[08:09] 還要剩下幾天
[08:10] 如果再給我連續
[08:12] 重殺幾天的話
[08:13] 搞不好又掉下去
[08:14] 反正總之就是目前看起來是比去年好了
[08:16] 所以心中是抱持這個
[08:18] 非常感恩讚嘆的心情
[08:20] 因為在四月多的時候
[08:21] 真的沒有想過這樣的一個可能性
[08:24] 那今年是一個好年
[08:25] 就是各種題材下去做
[08:26] 不管是導樣職和那些老AI老硬體
[08:30] 還是有做
[08:30] 我是沒有做那麼多
[08:31] 然後再來就是一些軟體股的表現
[08:33] 像美股的
[08:35] Cloud Failure
[08:35] Parente
[08:36] 或是Confluent
[08:37] Confluent雖然是用一個這個
[08:39] 比較特別的方式出場
[08:41] 但還是有賺到錢
[08:42] 所以其實整體的軟體組合
[08:44] 當然像是胎過的軟體組合
[08:45] 在年位結算的時候
[08:46] 代表的報酬都非常好的
[08:48] 那在記憶體這邊也是蠻不錯的
[08:50] 雖然基本上記憶體的那種超大漁味
[08:53] 我都等於是沒有遲到
[08:54] 就只剩下一點點部位
[08:56] 但是其實在漁頭那邊
[08:57] 因為感重壓
[08:58] 所以就也是補了蠻多
[09:01] 所以其實整體看下來
[09:02] 就是一個非常好的一年
[09:04] 那大概在十月多十一月的時候
[09:06] 有一些瘦錯
[09:08] 那不太影響
[09:09] 就是有一些回徒
[09:11] 因為那時候就是比較偏向說
[09:12] 反正追什麼就不甚被套
[09:13] 一直被處理
[09:14] 那所以去稍微的調整一下看法之後
[09:16] 然後變成是用自收班的方式
[09:18] 然後到現在十二月
[09:19] 又再一次的持續的往上走
[09:22] 所以整個看下來是不錯的一年
[09:25] 那在四月的這個事件之後
[09:27] 算是有影響到我自己的一些核心判斷
[09:30] 跟價值觀
[09:30] 就是有些想法會就此改變
[09:32] 那我早期在那種股票的時候
[09:34] 其實比較偏量是
[09:35] 隨時都是用很大的槓桿去做
[09:37] 就是只要可以融資的東西
[09:38] 我一定是融滿
[09:39] 有些東西買下去之後發現說
[09:41] 它不能夠融資怎麼辦
[09:43] 應該不多買下去說
[09:44] 研究了半天然後發現說
[09:45] 它不能夠融資
[09:46] 有時候是講
[09:46] 所以你看了一個股票就很酷
[09:48] 那那邊搞搞整個週末的研究
[09:50] 研究完之後
[09:50] 禮拜要買到半天說
[09:52] 它沒有開融資
[09:52] 我就不買了
[09:53] 因為這樣我就不買了
[09:54] 因為我就覺得說會卡到錢
[09:56] 所以以前都是用這種
[09:58] 非常緊翹的方式在搞
[10:00] 當然這樣子的好處是什麼
[10:01] 就是說有可能可以上來的比較快
[10:03] 那這樣的壞處是什麼
[10:04] 也就是如果說有遇到一些
[10:05] 不好的事情的話
[10:06] 那時候可能就會受到很大的一個傷害
[10:08] 那隨後其實我自己就很快的意識到
[10:10] 說這樣的一個做法
[10:11] 它是不持久的
[10:13] 就是你這樣子做下去
[10:14] 你中午一天會翻船
[10:15] 這是什麼時候的問題而已
[10:17] 那所以後來就開始慢慢的
[10:18] 有去做一些部位的調整
[10:20] 那像像我自己身上的一個
[10:21] 更感的比例
[10:22] 大概都是落在一點多左右了
[10:24] 也就是說假設我今天只有醫藝員的話
[10:26] 我就只會買到1.31.5億
[10:28] 這個意思
[10:28] 就是我不會像以前
[10:29] 就是可能醫藝員
[10:30] 我就去融資籠滿
[10:31] 就是2.5億的一個購買力
[10:32] 這樣子去舉例
[10:33] 那所以呢
[10:34] 其實已經是算很保守的一個做法
[10:36] 就一點多被在我自己身邊的同業
[10:39] 或這些快樂好朋友
[10:40] 估用門的角度來看
[10:42] 我認為可能已經算是很保守的人
[10:45] 就很少可以看到
[10:46] 比我更保守的人
[10:47] 那其他人呢
[10:48] 就是往往還是有蠻大的一個槓桿
[10:50] 當然他們有一些去黑舉調子
[10:52] 一些槓桿風險的做法
[10:53] 我就要說他可能隨時在
[10:55] 起火保證實在沒有放一筆錢
[10:56] 所以如果今天突然間發現盤部好
[10:58] 他就立刻去
[10:59] 做一個抬自齊的空單
[11:01] 或是什麼樣
[11:01] 去做黑警
[11:03] 所以他可以很快的把那個部位的
[11:05] 鋪險往下拉著
[11:06] 也反正每個人有自己的一些做法
[11:08] 那我算是一個相對保守的
[11:09] 可是老實講
[11:10] 在4月之後呢
[11:10] 我覺得整個人還是有被改變
[11:12] 那時候4月就跟大家分享說
[11:13] 我覺得有被改變了
[11:14] 然後後來
[11:15] 其實接下來的幾個月
[11:16] 我都一直在做相對應的一個調整
[11:19] 就是呢
[11:19] 因為我們前的資金
[11:20] 其實還是沒有大到像什麼
[11:22] 領口覆報或這些
[11:23] 身邊的朋友
[11:24] 就他已經可能不知道
[11:25] 就要往百億去看了
[11:26] 所以
[11:27] 他們的資金是很寬鬱的
[11:28] 簡單來講
[11:29] 就是他甚至會有煩惱
[11:30] 就前到底要往哪裡放這樣
[11:32] 所以呢
[11:33] 他們可能就是未必會使用
[11:35] 到融資
[11:35] 或者說就算他使用到融資
[11:37] 可是他場外的資金補進來
[11:38] 也可以把它直接填平掉
[11:40] 那像我自己的話
[11:41] 就還是會去使用一點融資
[11:42] 因為對我來講
[11:43] 就是這些東西都還是放的下來
[11:45] 那只是說
[11:45] 沒有放到像之前
[11:46] 這麼大是因為第一個風險的考量
[11:48] 然後第二個是
[11:49] 確實有一些比較小型的標題
[11:50] 你現在放進去的話
[11:51] 你就會有出不來的一個問題
[11:53] 所以
[11:54] 也沒有像過去
[11:55] 就是曾經有一個說法
[11:56] 我忘記幾年前
[11:57] 我會跟大家講
[11:58] 就是我那個策略
[11:59] 基本上像是未那量無限
[12:00] 然後就是
[12:01] 反正你只要給我更多錢
[12:02] 或者我賺到更多錢
[12:03] 我就可以持續的丟進去
[12:04] 可是現在
[12:05] 覺得說在
[12:06] 美國市場當然沒有這個問題
[12:07] 可是在台國市場
[12:08] 因為先讓小型的標題
[12:09] 我喜歡的
[12:09] 我就會去擔心說
[12:10] 我今天如果買這麼多錢
[12:11] 就會不出不來
[12:12] 所以
[12:13] 就開始會有一些這個
[12:14] 未那量的一個考量
[12:15] 所以也變成說
[12:16] 被動的
[12:17] 就算你想要去上這麼大的一個
[12:18] 槓你也沒有辦法
[12:20] 那所以槓就一直維持在
[12:21] 大概一點多被左右
[12:23] 所以大概就是在
[12:24] 以今年來看的話
[12:25] 是65%到
[12:27] 160%之間
[12:28] 過去可能是85%到
[12:30] 161%期之間
[12:31] 然後後來為什麼
[12:32] 今年會到65%
[12:33] 因為今年
[12:35] 有一些就當然
[12:36] 那可能是體感
[12:36] 一可能是幸運或什麼
[12:37] 就是選擇要把
[12:38] 不會降到比
[12:39] 廣更低的一個常識
[12:40] 在過去的急速
[12:41] 我跟大家分享
[12:42] 在某些時間點
[12:43] 那所以就是有創下
[12:45] 這個部位新低的
[12:46] 一個時間短出現
[12:48] 所以就發生說
[12:49] 那你一定是有什麼東西
[12:50] 被改變的嗎
[12:51] 才會有這樣的一個
[12:52] 做法的改變
[12:53] 那確實就是在4月這個事件
[12:55] 當然還記不記得
[12:56] 這個Reciprocal Terrap
[12:57] 然後川普拿了一個小版
[12:58] 搬出來
[12:59] 本來那一天夜盤的NASDAQ是長的
[13:00] 然後突然間
[13:01] 轉崩嘛
[13:02] 然後後來就是在這個
[13:03] 台股大爆炸事件
[13:05] 連續鎖了好幾天跌停
[13:06] 這個對大家來講
[13:07] 應該很多人都預計有存
[13:09] 然後覺得是一個非常恐怖的事件
[13:10] 那這個事件
[13:11] 改變我的一點是什麼
[13:12] 就有發現
[13:13] 因為你的帳戶
[13:14] 可能是有好幾個嘛
[13:15] 有些帳戶可能是說
[13:17] 它是維持在弓枝維持率
[13:18] 不知道就是200%左右的一個水位
[13:20] 你用紙牙
[13:21] 那有些可能是說
[13:23] 它是可以完全是靈槓的一個狀態
[13:25] 可是當你今天如果有一些
[13:27] 流動性急壓的問題出現
[13:28] 好像那一首媽一堆股票在跌停
[13:31] 這首可能產生的狀態是
[13:32] 因為一些部位是
[13:33] 它有機會要補錢的
[13:35] 雖然即便我失誤回頭看
[13:36] 我最低都只有到180%
[13:38] 我就還算是一個很保守
[13:39] 還可以吃到三四跟跌停的一個狀態
[13:42] 那可是就是有讓我嚇到
[13:43] 就是我沒有想過說
[13:45] 這個流動性的急壓
[13:46] 可以搞到這樣的一個程度
[13:47] 那所以那時候會產生的一個問題是
[13:49] 假設我今天要掉錢的話
[13:51] 那我要從某一個帳戶去賣東西
[13:54] 然後賣出來之後
[13:55] 你知道一下它去轉帳
[13:57] 你要用網路的網贏轉的話
[13:59] 那最高就是兩三百萬嘛
[14:00] 你可能要到現場去搬錢
[14:02] 或什麼的
[14:03] 你就會搞到自己很麻煩
[14:04] 那如果說這個跌停是持續幾天的話
[14:06] 怎麼辦
[14:07] 就是你會甚至會開始擔心說
[14:09] 有沒有可能那個錢會咖不過去
[14:10] 就是你是有流動性的
[14:12] 只是你被卡住了
[14:13] 你咖不過去
[14:14] 所以就突然間意識到說
[14:16] 其實平常就要去注意
[14:17] 每個帳戶的那個維持率
[14:18] 要盡量的拉平
[14:19] 不要說這麼有些是很緊繃的
[14:21] 如果說很緊繃的那個
[14:22] 就只有一個幾百萬好了
[14:23] 那你就真的給它斷頭沒關係
[14:25] 就去死算了
[14:25] 可是如果今天這個帳戶
[14:27] 也是算有一定規模的
[14:29] 那你就要注意說
[14:30] 這個帳戶如果咖不過來
[14:31] 其他有沒有辦法過來救火
[14:33] 就是你有有沒有時間去處理這樣的事情
[14:35] 或者說你會不會被銀行卡住手
[14:37] 這都是要考量的
[14:38] 那所以第一個就是去優化自己的
[14:40] 每一個分點的資金的狀態
[14:42] 我就是稍微的去平均分布它
[14:45] 不會說搞得會讓頭重矯情這樣
[14:46] 然後再來就是
[14:48] 要去規劃好一些
[14:49] 緊急備用的路徑的管道
[14:52] 就如果今天出事情
[14:53] 我要怎麼樣從其他地方去補
[14:55] 然後補的話
[14:55] 可以把它去立刻的拉平
[14:57] 然後不會有被追腳的一個可能性
[14:58] 因為像我自己人
[14:59] 討厭被追腳
[15:00] 我知道我們蠻多同業
[15:01] 他們時不時會分享說
[15:02] 來自己被麻糬扣的一個心得
[15:05] 很多人都在這種極限操作之下生存
[15:07] 那像我自己是非常討厭這樣的事情
[15:09] 所以就是我不會接受自己被麻糬扣
[15:12] 所以一定要隨時去準備好一個
[15:14] 不會在那邊要去救
[15:15] 那這是我本來第一個想法
[15:17] 那後來第二個想法是說
[15:18] 其實可能就是一個時間到的象徵
[15:20] 就老天給你一個機會
[15:22] 老天告訴你說
[15:23] 這種事情是可能會發生的
[15:24] 那你說
[15:24] 未來有沒有可能發生更嚴重的事情
[15:26] 其實我隨便算
[15:27] 就可以想到幾個
[15:28] 第一個
[15:29] 歐路大戰
[15:29] 突然間普丁決定要涉魔鼓之類的
[15:32] 我說我們要繼續很低
[15:33] 可是黑天爐不就是這樣
[15:35] 就是你很難預期的事件
[15:36] 然後第二個
[15:37] 習近平突然決定要開進台灣之類的
[15:39] 然後他決定要去什麼佔領金門
[15:41] 什麼的
[15:42] 你說那個市場影響不大
[15:43] 那一定也是很恐怖的
[15:45] 然後再來
[15:46] 有可能是很簡單的事件
[15:48] 甚至有點到百一次的事件
[15:49] 就突然間政府發現說
[15:51] 這個股民們感覺好像賺得蠻好的
[15:54] 那不讓我們來客個鎮所睡好了
[15:55] 突然間跟你講說要客鎮所睡
[15:57] 那我們都知道說過去客鎮所睡
[15:58] 發生了什麼事情
[16:00] 曾經有過萬龍事件是連續跌停
[16:02] 然後那個
[16:02] 你去看一下那個線圖超級恐怖的
[16:04] 大盤就線圖長那個樣子
[16:06] 那當然我們相信說
[16:07] 現在的市場是比較成熟
[16:08] 那參與的人員很多
[16:09] 可是
[16:10] 我覺得就算是怎麼打對子
[16:11] 還是有可能發生
[16:12] 就是沒有像那時候那麼誇張
[16:13] 少一半好不好
[16:14] 但是還是很恐怖
[16:15] 那少一半
[16:16] 那是有機會
[16:17] 因為突然間讓龍之前
[16:18] 輸到他媽卡在上面
[16:19] 像四月娘子
[16:20] 就連續跌停
[16:21] 它是有機會發生
[16:22] 那如果真的發生的話
[16:23] 那到時候你要怎麼樣卡過來
[16:24] 而且到時候你的錢
[16:26] 可能是比一下有更多
[16:27] 所以會出問題
[16:28] 會有大條的
[16:29] 所以其實因為這樣子
[16:30] 我就去找了一些
[16:32] 場外的就是除了那種
[16:33] 勸商的公司管道之外
[16:35] 場外的銀行
[16:36] 或是一些租令公司
[16:38] 但租令公司它的利率
[16:39] 班也說是比較高
[16:40] 只是我辦法是壓到很低的
[16:41] 一個利率
[16:42] 就是在他們
[16:43] 合約裡面是把它談到很低
[16:44] 所以我就是
[16:45] 各個管道都把它打開來
[16:47] 然後去確保說
[16:48] 如果我今天有被卡住的
[16:50] 一個可能性的話
[16:51] 我可以從那邊立刻
[16:52] 就掉錢出來
[16:54] 我就股票就送進去給你
[16:55] 那你就給我錢
[16:56] 我就可以去把
[16:57] 我只壓被卡到的東西都換出來
[16:59] 那這就是我做的一個調整
[17:01] 然後再來就是
[17:02] 其實整體的水位
[17:03] 因為這樣在往下降
[17:04] 所以基本上現在已經降到一個
[17:06] 就是甚至有時候
[17:07] 會不想看盤的一個程度
[17:08] 因為
[17:08] 已經算是非常的安全的保守
[17:10] 那我覺得這是四月代
[17:11] 給我的一個歧視
[17:12] 我不知道大家在四月學到什麼東西
[17:14] 但四月對我來講是一個
[17:16] 就是怎麼講
[17:17] 就是就因為這樣子認知到
[17:19] 其實自己的風險
[17:20] 還要再抓得更保守的一個事件
[17:23] 那可能很多人
[17:24] 遇到四月這個事件之後
[17:25] 他還是很有勇氣
[17:26] 然後在那邊闖來闖去
[17:27] 我身邊有些朋友是這樣
[17:28] 那只是對我來講
[17:29] 我覺得就是我生命中的一些事情
[17:32] 因為這個四月事件有去做改變
[17:34] 我知道說我不想要在未來的某一天
[17:36] 可是我今天已經什麼38歲了
[17:38] 43歲了
[17:38] 46歲了
[17:39] 然後我要晚上睡不著
[17:41] 而且那時候其實對我來講
[17:42] 壓力很大
[17:43] 然後讓我
[17:44] 痛定思痛決定
[17:45] 就是已經很保守
[17:46] 還要變得更保守的一個原理資源
[17:48] 那時候剛好我兒子出生
[17:49] 我兒子在四月我要出生
[17:50] 所以我想說
[17:51] 外面市場在崩盤
[17:52] 然後兒子那時候
[17:53] 全身都檢查出一個問題
[17:55] 我要去跑
[17:56] 病房或什麼的
[17:57] 然後上台大那個重症區
[17:59] 那邊就是在外面坐著等
[18:01] 所以其實對我來講
[18:02] 我覺得我的壓力太大了
[18:05] 所以我必須要去
[18:06] 在這方面去做一些優化
[18:08] 所以因為這樣子去做改動之後
[18:10] 我覺得在
[18:11] 後面的一整年
[18:12] 其實整體的心情上都是非常的舒服
[18:14] 然後預期到明年應該會
[18:16] 再做更新一步的壓縮
[18:18] 就是再把這個
[18:19] 鋪顯再降到更低一點
[18:21] 其實降到更低
[18:23] 在絕大多數人的眼中
[18:24] 都還是很高
[18:25] 因為都是超過100%的意思
[18:26] 可是呢
[18:28] 絕大多數的這個
[18:29] 我們的同業
[18:29] 他們其實蠻多是打更高的一個水位
[18:31] 所以我整個說
[18:32] 就我在同業裡面
[18:32] 上是一個極度保守的存在
[18:34] 那在一般人的眼中
[18:35] 可能還是一個高風險的存在
[18:37] 那都是一個相對值
[18:39] 那在自己的部位的配置上面
[18:40] 就是在動能的比例上
[18:43] 我覺得在今年
[18:44] 我是有把它加大
[18:45] 因為就是特別是
[18:47] 我覺得Highlight是在9月那一段
[18:49] 然後9月那一段真的是太順了
[18:50] 就基本上每個題材都會搞到
[18:52] 所以我的認知一項是這樣子
[18:54] 就是你做的好的東西
[18:55] 你就要把它加大
[18:56] 所以其實動能的比例是有調到很高
