[00:00] 歡迎收聽古哀為聖蒙公本集節目由Backbone贊助
[09:00] 那立刻的本來是先重甩
[09:02] 然後接著又直接拉回去
[09:03] 所以有些市場上的
[09:04] 所謂的小座文
[09:05] 很多時候會造成這樣
[09:06] 短期一個聯益
[09:07] 當然我們不排除
[09:08] 這幾支強勢股今天這樣子
[09:10] 跌可能是一種短期的現象
[09:12] 是同時還是跟大家去
[09:13] 分享另外一個可能性
[09:14] 就是市場一些資金要變換的
[09:16] 那一些過往的時間點
[09:17] 我們也就注意到這樣的一個狀態
[09:19] 然後到時候就會看
[09:20] 市場新的主流變成是誰
[09:21] 那舊的這些主流
[09:22] 並不是說它就會舊子下去
[09:24] 或什麼
[09:24] 它可能就是變得很盤
[09:25] 這是有機會的
[09:26] 所以這可能就等到後面再來觀察
[09:29] 再來這個禮拜一個
[09:30] 比較大的事情
[09:31] 就是引發一下去正式的宣布
[09:33] 他們的VR入閉
[09:34] 說已經是Folpirate Action
[09:35] 那這個Folpirate Action
[09:36] 應該講的是在講說
[09:37] 晶片端這邊是Folpirate Action沒錯
[09:39] 那只要等到後段去上線
[09:41] 還應該大家還是要等到
[09:42] 26年的年終以後才會發生
[09:45] 那像這個VR入閉
[09:46] 在什麼效能的提升上
[09:47] 怎麼我們不去做太多討論
[09:49] 但是我們去拉一個老黃獎的重點
[09:50] 它全Citter可能是多兩倍
[09:52] 可是它的效能可能是多10倍
[09:53] 這代表什麼
[09:54] 就代表說
[09:55] 其實他們認為的摩爾定律
[09:56] 搞不好已經掛掉了
[09:57] 現在重點是我們要去用
[09:59] Horrag的一個Solution
[10:01] 不然說搭配我們各式
[10:02] 這樣的新的晶片
[10:04] 新的線彩
[10:05] 新的Rack設計
[10:06] 散熱等等的
[10:07] 然後讓它的效能
[10:08] 可以在每年都持續進步
[10:10] 即便摸得定律可能
[10:11] 已經是稍微的軟掉了
[10:13] 沒有這麼大的力氣
[10:14] 可是我們的東西
[10:15] 還是可以維持每年數倍的一個成長
[10:18] 那就是在我們Horrag的一個掌握度
[10:20] 是非常好的狀況之下
[10:21] 那所以這個我覺得重點
[10:22] 就是說在後來的硬體
[10:24] 有些Invidia他們所喜歡的對象
[10:27] 我當然說採用的一些Solution
[10:28] 可能都是後面會持續成為主流的東西
[10:31] 所以未必就是說像大家去想像的
[10:33] 硬體可能到某個階段
[10:34] 會告一個段落
[10:36] 然後開始去轉向一些軟體的應用
[10:38] 說不定有些硬體會持續的進行者
[10:40] 因為那是新的某種摩托定律的意思
[10:42] 那這個大家可以稍微參考一下
[10:44] 然後再來還有提到的東西
[10:45] 滿有趣的
[10:45] 就是我們不去針對VR去做太多評論
[10:47] 因為這個我們早在數個月
[10:49] 甚至靠一年前
[10:50] 就已經跟大家去聊過
[10:51] 因為市場就這麼變態
[10:52] 就是接下來我們可能會提早就跟大家討論
[10:54] 廢慢這個架構
[10:55] 那廢慢明明就還沒有出
[10:57] 可是我們會提早先講
[10:58] 那樣的道理
[10:58] 因為VR都已經去做過評論
[11:00] 所以我們就會評論
[11:01] 它所提出來的我們還不知道
[11:03] 然後是新的東西
[11:04] 有一個叫做invidia inference context memory platform
[11:07] 那我們先把它稱為ICMS
[11:09] 就直接拿它的每個開頭的字母
[11:11] 去作為一個減弦
[11:12] 那這個ICMS
[11:14] 就是你可以把它想成是
[11:15] 由Bluefield晶片去驅動的某種純粹一點
[11:18] 就是說從過往的V2
[11:20] 我們知道它強調的東西
[11:21] 是除了它的這個compute power之外
[11:23] 那後來他們自己採購了這個大量的HBM
[11:26] 那或者是說在一些CPU的D-RAN的使用上
[11:30] 這些我們都已經把它視為是invidia
[11:32] 它的盤中孫
[11:33] 就它自己已經是掌握好的東西
[11:35] 那只是它現在想要把它的觸手
[11:37] 就是更進一步的
[11:38] 從這個compute的東西
[11:40] 然後跑到Switch
[11:41] 然後接著呢
[11:42] 甚至連Storage這邊
[11:43] 它都要去參與手
[11:44] 那也就是我們後來是有機會看到一些
[11:47] invidia的DPU storage server
[11:49] 就是說這個Server的大腦
[11:51] 應該就是由它的Bluefield DPU去驅動
[11:53] 那裡面的Storage
[11:54] 當然還是大家認知的傳統的那些SSD
[11:57] 那只是說我們還不能確定的是
[11:58] 就是它這些DPU的Storage SSD
[12:01] 是不是要invidia certify
[12:03] 就它要夸了反作的東西
[12:04] 它可以去做使用
[12:05] 還說它是某一種通用規格
[12:07] 那你只要有採購到invidia的DPU
[12:09] 都可以去做一個整合的
[12:10] Rack之間的連接去做使用
[12:12] 這個我們還沒有辦法確定
[12:14] 但是我們有一點點的珠絲馬級
[12:16] 我們在昨天有跟大家分享的一張圖片
[12:19] 那張圖片呢
[12:20] 就是有人去這個CS的現場拍出來的
[12:23] 那接著呢
[12:24] 這個眼間的台灣人們就發現了
[12:26] 奇怪了
[12:26] 它那個SwitchTrade左下角有一塊板子
[12:29] 那這塊板子上面
[12:30] 有一個非常熟悉的名字
[12:32] 它中間有一塊SSD
[12:33] 那這個SSD的Control人是FiSEN
[12:35] 然後FiSEN是誰
[12:36] 就是FiPerson
[12:37] 他們那個群聯
[12:38] 就是群聯
[12:39] 群聯的Control怎麼會出現在invidia的SwitchTrade裡面
[12:43] 然後這個就讓大家
[12:44] 感覺到非常好奇
[12:45] 那當然我們也去做了一點點的挖掘
[12:47] 有錯的話歡迎大家編打
[12:49] 因為這些東西基本上都不是公開資訊
[12:51] 都是要去做挖掘才會指導的
[12:53] 那這個Control人就是有群聯所出貨
[12:56] 那後面那兩塊NAN的
[12:57] 我們不知道是哪個廠商所提供
[12:58] 但是因為群聯自己沒有做可力
[12:59] 所以應該是群聯去做採購的一些
[13:02] 不老就NAN的可力
[13:03] 然後把它組上自己的Control人之後
[13:05] 然後交給invidia這邊打板在上面
[13:07] 那當然這個對群聯來說
[13:08] 就是一個非常大的力度
[13:10] 就代表說它自己已經做進去invidia裡面了
[13:12] 那當然這一塊東西就引起我們的好奇
[13:14] 我們就想知道說那到底怎麼樣運作的
[13:16] 那我們理解它上面的NAN的可力是TLC可力
[13:20] 可是它就把它做成說是PSLC什麼意思
[13:23] 就是它要去模仿SLC可力
[13:25] Sudo SLC可力
[13:27] 那本來TLC是一個效果裡面可以放三個bit
[13:30] 然後把它變成一個效果裡面只能夠放一個bit
[13:32] 所以就容量會變小
[13:33] 所以它一個其實是5月GB
[13:35] 但實際上能夠用的只有裡面的
[13:37] 可能160到 170G
[13:38] 那為什麼要這樣子做
[13:39] 就是因為我們都知道說
[13:41] 反正在資料的快速存取之下
[13:43] 那多人會好奇說
[13:44] 就要說你要把什麼KV cache
[13:46] 下放到SLC
[13:47] 那有一個問題就是說
[13:47] SSDW一下就壞掉
[13:49] 因為一直瘋狂要去存取它
[13:51] 但如果說你今天把它變成是Sudo的SLC的話
[13:54] 那就可以讓它的使用壽命大幅的延長
[13:57] 所以當我們掌握到這個情報之後
[13:59] 其實就可以了解到到底
[14:01] Invidia它的ICMS稍微搞什麼東西
[14:04] 可能跟我們在Switch上面看到的
[14:06] 群聯的東西有蠻大的關聯性
[14:08] 當然它不是可能未來是
[14:10] 群聯Solo去Supply
[14:11] 它目前只是去展群聯的一個手錄性
[14:13] 可是就是後續有可能是往這個方向去發展
[14:15] 也就是我們剛剛前面所提到的DPU storage server
[14:19] 它可能裡面會用到這個存主
[14:21] 但有些可能是TLC可力的
[14:23] 可是有些是SSLC
[14:24] 或者就是這種Sudo的TLC的東西
[14:27] 那為什麼呢
[14:27] 因為它想要把一些Context
[14:29] 就是本來在KVCASH的東西
[14:31] 放到SSD這邊去做存儲
[14:34] 那很多人都要好奇說
[14:35] 為什麼要這樣做
[14:36] 它不是本來是放在HBM
[14:37] 或者是說在CPU支援的這些RAM下面
[14:40] 為什麼會把它拉出去
[14:41] 那最主要的原因是在於說
[14:42] 因為最早的AI大家在做使用的時候
[14:44] 是怎麼樣就是一問一答
[14:45] 你問它問題它就回答你嘛
[14:46] 那所以在那時候可能說
[14:48] 有HBM或是有這些CPU的RAM
[14:50] 就已經非常的足夠
[14:51] 可是因為它進入EgenticAI的一個時代
[14:53] 也就是我們現在去問AI
[14:54] 很多時候你知道說
[14:55] 它是有Reason的一個過程
[14:56] 或者說它是要去執行你一連串的動作
[14:59] 那並且要不停的去提取上下文
[15:01] 它會去知道說你前面講的東西是什麼
[15:03] 因為總不可以說
[15:04] 你每次去問它問題
[15:05] 它就要重新全部再跑過一次吧
[15:07] 所以它其實在這個KVCASH
[15:09] 或者說站存這方面呢
[15:10] 它現在的要求是很大的
[15:12] 那已經導致說可能HBM
[15:13] 或者說在RAM這邊它的負載是很大
[15:16] 所以其實一直都有一個說法
[15:17] 是說要把這些東西轉到
[15:19] 可能去下方到外面的存儲的空間區
[15:22] 然後這樣才可以去把HBM
[15:24] 或者是CPU的RAM去做更高價值的一些應用
[15:27] 也就是說可能會有熱資料
[15:29] 然後跟準熱資料
[15:30] 那一些準熱資料感覺可以丟出去
[15:32] 那熱資料就可以放在寸圖寸機的地方
[15:35] 當然像是HBM S-RAM
[15:36] 或者是說CPU的RAM上面去做使用
[15:39] 所以在我的角度看來其實invidia
[15:41] 跟Jensen他們是滿變態的
[15:43] 就是他們真的是領先別人數不止
[15:45] 就當大家發現了一個痛點之後
[15:47] 然後可能它早就已經去針對這個痛點做準備了
[15:50] 所以當你發現痛點
[15:51] 然後就推出新的東西
[15:53] 辦法說像前陣子的CPX Pre-Fail
[15:55] 或者是說他去買下Growk
[15:57] 然後大家去判斷說
[15:58] 他應該在D-code這邊要去做努力
[16:00] 所以他其實早就已經在推動中了
[16:02] 他並不是說什麼
[16:03] 大家發現這個東西
[16:04] 然後接著一兩年後
[16:05] 他給你一個死路選
[16:06] 好像每次都是大家發現說
[16:07] 有些東西開始有一些問題了
[16:09] 然後他立刻就有死路選
[16:10] 代表他已經壓制滑水一段時間
[16:13] 所以他應該是已經提早發現說
[16:15] 因為接下來的AI使用
[16:16] 大家都是已經是偏向可能Reasoning
[16:18] 或者說我給你的一個指令
[16:21] 他可能需要的上下文是非常大的
[16:24] 那他必須要不停地回去存取說
[16:26] 你前面跟我講過什麼
[16:27] 不然很多人去使用AI
[16:28] 他們有一個很大的V-Bags
[16:30] 當一個AI
[16:31] 很多人用的時候像Germanite
[16:32] 剛開始推出的時候
[16:33] 大家說超強
[16:34] 就是這個最新的版本
[16:35] 那一段時間之後
[16:36] 大家覺得他變本
[16:37] 為什麼變本
[16:38] 就是因為他的一些那個
[16:39] memory都是給人家站去的
[16:40] 他整個Server都是給人家站去的
[16:42] 所以就變成說
[16:43] 他會去切割每個使用者
[16:45] 可以用到的一個份量
[16:46] 所以你就有感覺到AI變本
[16:48] 那沒有辦法
[16:49] 那是硬體的一個restrend
[16:50] 那老黃這邊就是想要去幫大家
[16:52] 解決這個問題
[16:53] 就讓你的AI不再因為說
[16:55] 他可能上下文太多
[16:56] Context太多
[16:57] 然後導致有段片的一個狀況產生
[16:59] 那是怎麼樣
[17:00] 就是他在存儲這邊
[17:01] 去做更多的一個優化
[17:02] 所以呢
[17:03] 我把東西可能放到
[17:04] 我的DPU Storage那邊去
[17:06] 那理論上像大家
[17:07] 就想要說你把東西
[17:08] 放在Storage Server的話
[17:09] 那不就時間會變長
[17:10] 沒錯
[17:11] 所以我認為是這樣
[17:12] 就是未來的應用
[17:13] 會拆得更加的細
[17:14] 要不然說其實
[17:15] 一下大家AI就知道說
[17:16] 你在問一些問題
[17:17] 它會用比較
[17:18] 快捷式的mod來回答你
[17:20] 那有些你問的問題
[17:21] 比較深它就用思考型的回答你
[17:23] 就是它會去做一個這種
[17:25] 像是分類器的東西
[17:26] 它去塞出你的問題
[17:27] 怎麼樣
[17:28] 那一樣的道理就是說
[17:29] 在任務上面
[17:30] 如果未來是那種
[17:31] 就是一問一打形式的東西
[17:32] 那它應該還是會使用
[17:33] 所謂的寸圖寸筋的
[17:34] HPMS RAM
[17:36] 或者是說CPU的RAM來回答你的問題
[17:38] 那如果說你今天問的東西
[17:40] 是一系列的
[17:41] 就要說人家要去看一個論文
[17:42] 或是你給他一個
[17:43] 超級複雜的東西
[17:44] 那你也不期待
[17:45] 他立刻跟你答案嘛
[17:46] 對吧
[17:48] 要在這碼兩秒鐘內給我回答嗎
[17:49] 可是我問你說
[17:50] 今天天氣怎麼樣
[17:51] 那你要給我兩秒鐘內的回答嗎
[17:52] 那因為所有的東西
[17:53] 周邊都知道
[17:54] 要回到使用者體驗嘛
[17:55] 所以我認為是這樣
[17:56] 就是因為在使用者
[17:57] 這邊大家有共識說
[17:58] 有些東西你也要在
[17:59] 一秒內給我回答
[18:00] 或者兩秒內給我回答
[18:01] 有些東西
[18:02] 我已經知道說我來問你
[18:03] 你就需要想嘛
[18:04] 你就要說我這樣
[18:05] 你就分細模價公司
[18:06] 我不會希望你一秒給我回答
[18:07] 一秒給我回答
[18:08] 我還懷疑說那個東西
[18:09] 是不是沒有想清楚
[18:10] 然後外加其實
[18:11] 大家對於AI的一個要求
[18:12] 已經是慢慢的提高
[18:14] 我認為說
[18:15] 他要有一些個人化的設定嘛
[18:17] 或者是我過去
[18:18] 給你的一些
[18:19] Contacts
[18:20] 那應該要記得
[18:21] 那這個就是下一個痛點
[18:22] 那這完全就可以
[18:23] 透過他的ICMSG做處理
[18:25] 就是有他的
[18:26] DPU直接把這些
[18:27] GPU所需要的東西
[18:29] 他可能就先
[18:30] 占存到他的Storage裡面
[18:31] 那如果需要的時候
[18:32] 他再直接
[18:33] 從這個Storage
[18:34] 然後拉出來到GPU這邊
[18:35] 他不需要再像過往
[18:36] 可能是
[18:37] 透過這個Storage要到線
[18:38] 然後再到CPU
[18:39] 然後再傳到GPU
[18:40] 就他也要花了很多時間
[18:42] 他雖然是
[18:43] 跑到隔壁庫房區
[18:44] 隔壁庫房
[18:45] 在他的DPU的一個指引之下
[18:47] 其實那個速度也蠻快的
[18:48] 那所以我認為說
[18:49] 這個可以非常有效的
[18:50] 去解決
[18:51] 大家下面臨的一個痛點
[18:52] 幫你向我自己
[18:53] 就是很多時候
[18:54] 要去問一些
[18:55] 比較深入的問題
[18:56] 你會發現說AI就開始
[18:57] 有一些段片的現象產生
[18:58] 或者是
[18:59] 有些東西你要重新的
[19:00] 再叫他去理解一次
[19:01] 那就變成非常花時間
[19:03] 那這個其實對於資料中心
[19:04] 我覺得他們也會有
[19:05] 非常大的一個誘因
[19:06] 為什麼
[19:07] 因為如果說每次我去
[19:08] 問你一個問題
[19:09] 你都要從頭到尾的把
[19:10] 我的一些需求
[19:11] 或者說我的一些特性
[19:12] 什麼都要再跑一次的話
[19:14] 那他其實要產生了
[19:16] 偷懇的數量會是
[19:17] 非常多的
[19:18] 他要去佔用的算力
[19:19] 或者說更現實的
[19:20] 就是他會去使用的
