[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过在肺瓣部分成分股仍然有显著的带动
[03:58] 仓库里面的原油越来越多
[04:00] 这说明
[04:01] 美伊即便已经达成了
[04:03] 类似备忘录协议
[04:04] 不过汽油价格
[04:06] 第一还是高于战前水准
[04:07] 第二市场还是容易受到
[04:09] 任何供给中断
[04:11] 或者需求增加的影响
[04:12] 毕竟现在库存水位
[04:13] 还是非常低
[04:14] 如果有一天它大幅上弯了
[04:16] 那才可以宣告
[04:17] 本轮的中东局势
[04:18] 彻底的解除
[04:19] 那唯一好处是什么
[04:21] 唯一好处就是
[04:22] 中国针对原油的需求
[04:24] 持续收窄
[04:25] 我们看到中国民营炼油厂
[04:27] 也就是我们俗称的茶壶炼厂
[04:29] 开工率又在下滑
[04:31] 最新六月份数据
[04:32] 已经降到50.5%
[04:34] 这个已经跌破疫情的低点了
[04:36] 你要么就说
[04:37] 现在经济比疫情还要来得差
[04:39] 要么就说
[04:39] 现在中国市场
[04:40] 针对海外原油的需求
[04:42] 已经不像2020年来得这么高了
[04:44] 几乎不只是2020年
[04:46] 创下17年以来的最低水准
[04:48] 高昂的原油成本
[04:50] 疲弱的中国燃料需求
[04:51] 以及成品油出口的限制
[04:53] 让炼油的利润持续恶化
[04:55] 所以现在业者是大幅减产
[04:57] 中国本来是全球最大的原油进口国
[05:00] 这一次伊朗战争之后
[05:01] 就明显的限缩原油采购
[05:04] 毕竟内部的原油价格似乎也没有失控
[05:07] 另外一方面
[05:08] 中国电动车的普及
[05:10] 交通电竞化的持续推进
[05:11] 都导致了目前全球一块的石油需求
[05:15] 就这样消失了
[05:16] 那会不会这是一个很久的趋势呢
[05:18] 如果是的话
[05:19] 那代表着原油价格
[05:21] 它就有了长期抑制的作用
[05:23] 就是中国内部的原油转型
[05:25] 何况美国目前也没有释出
[05:27] 任何谈判破裂的谈话
[05:29] 美国现在财政部长贝森特特别提到
[05:31] 美伊谈判的重点内容之一
[05:33] 就是把伊朗重新纳入到美元结算体系
[05:36] 未来的石油以美元来计价
[05:39] 很明显嘛
[05:40] 不要用人民币来计价
[05:41] 美元也会把监管伊朗遭到冻结的资金使用
[05:45] 大部分预估用于采购美国的食品和药品
[05:49] 来回馈给伊朗政府
[05:51] 所以回过头来看
[05:52] 市场上从资产价格
[05:54] 从中国的态势都暗示的原油价格
[05:57] 仍然不能说是一路往下跌
[05:59] 一路往下跌
[06:00] 它大概需求崩溃了
[06:01] 应该会有持续性的抑制作用
[06:03] 事实上我们看到中国电动车出口
[06:06] 在5月份也创下历史新高
[06:07] 它背后隐含的就是油价危机的助攻
[06:10] 你自己是荷姆斯海峡受阻
[06:12] 现在全球的燃油车突然意识到
[06:14] 原来原油成本对于我的冲击来得这么大
[06:17] 所以导致中国电动车市场销售量持续拉升
[06:21] 而且除了电动车以外
[06:22] 你把电池热供电网设备等电气化产品一并计算
[06:27] 中国相关出口都是历史高点
[06:29] 这就代表着能源安全导致各国都在推动电气化
[06:33] 以前特斯拉要卖给你
[06:35] 有时候欧洲有反马斯克的问题
[06:38] 搞了好久一场危机
[06:40] 全部人都回头买电动车了
[06:42] 这么简单
[06:43] 好那回过头来看
[06:44] 代表由能源所引发的通膨问题
[06:47] 至少压力没有这么大
[06:48] 可是我们看到最新美国核心PCE
[06:51] 还是创下三年新高
[06:53] 压力来了
[06:54] 因为能源回跌了
[06:55] 可是通膨有一点外溢出去了
[06:58] 再加上苹果的涨价潮
[07:00] 科技通膨会不会导致
[07:02] 今年联准会的压力越来越大呢
[07:04] 我们从五月份联准会最在乎的通膨指标
[07:07] 核心PCE就把食品和能源剔除之后
[07:10] 月增幅是0.3%
[07:12] 年增幅3.4%
[07:13] 符合市场预期
[07:14] 但是年增幅已经来到
[07:16] 二三年十一月份以来的最高水准
[07:18] 即便原油回跌
[07:20] 由于现在服务通膨压力越来越大了
[07:22] 耐久财是持平但非耐久财
[07:24] 接下来有没有可能由于
[07:26] AI带动大涨的半导体价格
[07:29] 开始做更进一步的传导
[07:30] 市场压力都越来越大了
[07:32] 事实上我们可以看到
[07:33] 美国消费力到目前为止
[07:34] 也没有到大幅松动
[07:35] 五月个人所得和个人支出
[07:38] 双双月增0.7%
[07:40] 实质消费年增幅有2.1%
[07:42] 唯一比较大的问题是
[07:44] 储蓄率现在只剩下3%
[07:46] 这个越来越低了
[07:47] 说明看起来大家的消费没怎么变
[07:50] 该买iPhone还是要买
[07:51] 该吃便当还是要吃
[07:55] 该喝珍珠奶茶还是要喝
[07:56] 可是我已经借钱来喝了
[07:58] 储蓄率越来越低了
[07:59] 这个是美国消费市场
[08:00] 比较值得警讯的方向
[08:02] 像能源价格的回调
[08:04] 肯定会导致6月和7月的通膨
[08:06] 适度下滑
[08:07] 可是如果通膨
[08:09] 现在已经外溢到服务通膨的话
[08:11] 压力其实
[08:12] 并不会如我们想象
[08:13] 松懈的这么快
[08:15] 举例来说
[08:15] 这个是美国2026年5月份
[08:18] 个人所得月增幅
[08:20] 大概是0.7%
[08:21] 那个人消费呢
[08:22] 也成长0.7%
[08:23] 所以是刚好抵消
[08:25] 就是你的所得跟你的消费
[08:27] 相对于前一个月
[08:29] 稍微转好一点
[08:30] 这说明着
[08:31] 现在我们也不能说
[08:32] 实质购买力扩大
[08:33] 就购买力勉强维持住
[08:36] 那但是呢
[08:37] 现在在下半年开始
[08:38] 我们已经大概感受得到
[08:40] 不管是电脑相关服务价格
[08:42] 已经开始做陆续的抬升
[08:44] 那如果今年有换机潮那就说明着一定会有通膨涨价如果今年没有换机潮需求崩溃那就算了所以这个就是在今年下半年我们看起来最大的变数美国消费力的增长
[08:57] 现在最大的问题就是
[08:59] 还是比所得增长来的高
[09:00] 所以你也知道它是一个问题
[09:02] 但这个问题会维持多久才会爆
[09:03] 也没有人知道
[09:04] 举例来说
[09:05] 最新的个人消费支出年增幅是6.3
[09:07] 我这一年的新高
[09:09] 其实表现还不错
[09:10] 但是个人所得年增幅只有3.8
[09:12] 你消费的速度比你所得的年增幅快的接近快要一倍
[09:18] 那其实就意味着你要么就借钱嘛
[09:20] 你要么就是透支财富的速度远远大于你赚到钱的速度
[09:25] 它唯一造成的结果就是我们看数据上
[09:27] 那储蓄率越来越低了
[09:29] 原本当时在两三年前还有7到8%
[09:32] 现在美国五月份的储蓄率只剩下3%
[09:35] 其实就说明着如果储蓄率长期偏低
[09:39] 有一天真的就业或者收入成长放缓了
[09:41] 那消费动能的下行风险就很大
[09:43] 大家只是现在刷卡
[09:45] 刷信用卡勉强支撑
[09:47] 好那这就迎来了
[09:49] 下半年有没有换机槽
[09:50] 就是重点了
[09:51] 没有换机槽
[09:52] 那就是3C消费性电子产品
[09:54] 崩溃了
[09:56] 所以也不会有更进一步的通膨
[09:58] 那如果真的还有换机槽
[09:59] 大家还在消费
[10:00] 它就会维持在这样的一个高通膨水准
[10:03] 不会说创高
[10:04] 但会维持住目前将过性通膨
[10:06] 那联准会的难关就真的很大了
[10:09] 就到底要不要适度的预防性升息
[10:12] 这就成为接下来的难关
[10:14] 那现在科技产品的通膨又要分
[10:16] 为什么
[10:17] 因为苹果最近宣布了
[10:19] 应该在昨天宣布了
[10:20] Mac和iPad产品的售价涨高
[10:22] 可是它没有宣布iPhone
[10:25] 那就是很大区别了
[10:27] 就是只调整Mac和iPad
[10:29] 到底会不会引起更进一步的
[10:31] 3C电子全面性的通膨
[10:32] 今年其实年初
[10:34] 我们就已经看到华硕
[10:35] 宏基在进行PC旗下通膨水准的调高
[10:40] 价格的调高
[10:41] 可是调高你并没有发现这几个月
[10:44] 由于科技通膨有多高的水准
[10:45] 所以这说明着
[10:47] 可能这些厂商就是不像苹果这么重要
[10:49] 第二如果苹果也没有引起科技通膨
[10:52] 那么其实今年原本的利率预期
[10:56] 就不用想象中来得这么高了
[10:58] 现在整体Mac和iPad的售价
[11:00] 涨幅大概是平均100到300美元左右
[11:03] 如果是MacBook Neo系列
[11:05] 全系列是涨3000
[11:06] Air系列最高涨7000
[11:08] MacBook Pro最高涨2万
[11:11] 我真的看到好像有涨1万5到2万
[11:13] 那真的蛮多了
[11:14] iMac涨5000
[11:15] iPad的部分
[11:16] iPad 11是涨3000
[11:18] iPad mini 7是涨3000
[11:20] M4 iPad Air涨8500
[11:22] 这说明PC端进行全面价格的拉高
[11:26] 那背后的原因当然就是
[11:28] 我们看到电子零组件的PPI
[11:30] 现在成长87%
[11:31] 那没办法
[11:32] 苹果一定要做适度转嫁
[11:34] 但是为了以防在下半年最新所推出的折叠机
[11:38] 受到比较大的影响
[11:39] 暂时先不调高iPhone价格
[11:42] 搞不好8月9月也有做调高的可能性
[11:45] 可能难说
[11:45] 可是你可以观察到背后的原因就来自于
[11:48] 不管是针对电子领土建的需求
[11:51] 还是投资来得如此之强劲
[11:54] 那这一次公司毕竟苹果已经明显表态
[11:58] 无法完全自行吸收成本
[12:00] 所以选择对于部分产品反映成本压力
[12:03] 以兼顾现在市场的获利能力
[12:05] 但是iPhone的部分
[12:07] 为了避免9月份到时候推出
[12:09] 新一代机种的定价和销售策略
[12:11] 价格调整会保留给新产品
[12:14] 我猜可能是折叠机涨价
[12:17] 那基本款不涨
[12:19] 我希望如此
[12:20] 要不然市场上的确下半年的科技通膨压力就来得越来越大
[12:24] 那当然科技通膨的受惠者是谁呢
[12:26] 那肯定不是消费者
[12:27] 很明显就是这一波始作俑者
[12:31] 记忆体涨价潮
[12:32] 美光这一次由于公布了
[12:33] 远远高于市场预估的财报
[12:35] 这个盘后股价是高强度拉升
[12:38] 那亚洲和欧洲半导体股票
[12:40] 也随之有进一步的买盘做支撑
[12:43] 那这一次财策最大最大的一个重点
[12:46] 就来自于根据美光自己的预估
[12:48] AI的记忆体需求
[12:50] 到2028年之前都不缺订单了
[12:53] 那这就形成一个重大的股价分歧
[12:55] 就我们现在的EPS和目标价
[12:57] 到底要不要估一年以后
[12:59] 现在现在六月份
[13:00] 所以大部分的外资目标价
[13:01] 都是估到明年六七月份左右的一年目标价
[13:05] 但是如果他已经确定
[13:06] 2028年以前都不会缺货
[13:09] 我为什么不能够稍微再预估一年半
[13:12] 预估两年呢
[13:13] 所以美光现在宣布
[13:14] 16家重要客户签订了平均长达三年的供货协议
[13:19] 几乎在2030年以前的订单都快要被吃光了
[13:23] 那这就是他给予的一个评价
[13:25] 所以才会看到这一次美光的毛利率来到85%
[13:29] 哇这比海力士比三星都高
[13:31] 在过往也很少看到
[13:33] 比台积电也高
[13:34] 我昨天我们才开玩笑
[13:36] 说不如去抢银行
[13:38] 对是比抢好
[13:40] 因为毛利率
[13:41] 美光一年前
[13:43] 它毛利率也才30到40%
[13:46] 现在是85%
[13:47] 一年前它的毛利率
[13:49] 比海力士比台积电都低
[13:51] 现在远远高于台积电
[13:54] 这个就知道市场的缺货幅度
[13:56] 到底会有多高了
[13:57] 我们回过头看
[13:58] 四大指数的影响
[13:59] 很明显就是集中在
[14:00] 卖铲子的这些企业
[14:02] 道琼指数上涨71.0.14%
[14:04] 收在51920点
[14:06] 标普下跌0.7点
[14:08] 0.01%
[14:09] 收在7357点
[14:10] 纳指下跌118点
[14:12] 0.46%
[14:13] 收在25358点
[14:14] 全职股好像都有点涨不太动了
[14:17] 不过好歹下方有均线支撑
[14:19] 费办就不一样
[14:20] 这个就是永远站在月线之上
[14:23] 费办是上涨482点
[14:25] 3.59%
[14:26] 收在13940点
[14:28] 那当然了
[14:29] 市场走到这个地步
[14:30] 这个空头的声浪没有减少
[14:33] 这也是似乎拖动股市
[14:35] 能够维持在金金涨格局的重要关键
[14:37] 前两天我们在提到
[14:39] 美银现在已经全为
[14:41] 全美应该是最空头
[14:43] 最保守的投行了
[14:44] 它不代表说你要全面卖出
[14:46] 但它十分建议你采取避险措施
[14:49] 主要就是来自于
[14:50] 十项美银的熊市指标
[14:51] 有70%已经亮红灯
[14:54] 在情绪面的部分
[14:55] 股价报酬的预期指数
[14:57] 长期成长的预期
[14:58] 并购的交易建树都已经触发
[15:00] 在估值层面
[15:01] 有本益比过高的问题
[15:03] 有高本益股
[15:04] 涨幅大幅领先的问题
[15:06] 在总经面
[15:06] 有直立率曲线的倒挂
[15:08] 信用压力指标
[15:09] 银行放贷标准
[15:11] 甚至开始紧缩
[15:12] 不愿意借这些巨头这么多钱了
[15:14] 或者不愿意借这么多人去持押了
[15:16] 我们也知道
[15:17] 台湾的不限用途贷款
[15:18] 现在额度几乎已经全满
[15:21] 所以现在市场上就这样子
[15:22] 反而大家开始予以谨慎
[15:24] 为什么呢
[15:25] 因为投资就这样子
[15:27] 看你缺什么
[15:28] 就是有时候你缺的是报酬
[15:31] 你就多花一点时间
[15:32] 耐心等待企业成长
[15:33] 但是你现在回过头看
[15:35] 这些指标陆续到位以后
[15:37] 它当然会形成适度恐慌
[15:38] 可是你要想想看这些指标
[15:40] 跟你原本的投资策略
[15:41] 有没有极大的一个区别
[15:43] 我们投资策略
[15:44] 是不预设整个AI生产力的爆发
[15:46] 那在AI生产力爆发的过程当中
[15:48] 它就会慢慢的脱离
[15:50] 过去十几年的
[15:51] 消费性电子循环的本益比框架
[15:53] 就以前可能台股本益比
[15:55] 10到15倍
[15:56] 是一个很正常的
[15:57] 钱占本一笔的框架
[15:58] 消费新电子
[15:59] 每三年就会有一个换季潮
[16:01] 可是如果现在
[16:02] 突然变成了95年到2000年
[16:04] 新一代的AI生产力周期
[16:06] 那这些指标还很重要吗
[16:08] 所以也许
[16:08] 干脆就依循着
[16:10] 情绪乖离的变动
[16:11] 你长期看好
[16:12] 你根据情绪高低
[16:13] 来做调节就可以
[16:14] 投资就这样子
[16:15] 就看你缺什么
[16:16] 如果你缺的是报酬
[16:17] 你就多花一点时间
[16:18] 耐心等待企业成长
[16:20] 富力发酵
[16:21] 如果你缺的是安全感
[16:23] 那就降低一下杠杆
[16:25] 多一点现金
[16:26] 替自己买一份安心
[16:28] 市场很少能够同时给你高报酬
[16:31] 最低风险又最好流动性
[16:33] 通常你得到一样
[16:34] 你通常就要放弃另外一种
[16:37] 那句话怎么讲
[16:38] 你用钱追求的爱情
[16:41] 你就少花点感情
[16:43] 你用感情追求的爱情
[16:45] 那你就多花点钱
[16:46] 我就这样子
[16:47] 所以很多人总是用最少的资金
[16:49] 想要赚最多的钱
[16:50] 但你不愿意承担波动
[16:51] 这个就是现在市场的概况
[16:53] 你要承受非凡这种波动
[16:55] 它每天波动是3到5%
[16:57] 跟韩国股市其实差不多
[16:59] 那你就要承受
[17:00] 你才有如此高的回馈
[17:01] 要不然时光就要放得远一点
[17:04] 你可能已经布局好几年了
[17:06] 这一波即便你没有参与
[17:07] 资产的增值都足以导致你
[17:09] 现金不用投了
[17:11] 为什么
[17:11] 因为国市成长太快了
[17:12] 你现金不投
[17:13] 现金比例也会缩小
[17:14] 好另外一层面
[17:15] 我们看到之所以这样讲
[17:17] 是因为有非常多资产价格
[17:19] 在本轮持续收收
[17:20] 遭受到市场的抛售
[17:21] 一个就比特币
[17:23] 比特币这一次
[17:24] 昨天一度跌破了5.8万美元
[17:32] 这个是2014年9月份以来的新低
[17:35] 这等于川普的所有加密货币行情全部都给跌掉了而且除了选择权到期的因素之外比特币也面临资金面转落的问题美国比特币的现货ETF在这个月已经累积流出接近有30亿美元
[17:51] 那联准会其实还是保持在相对紧缩的立场
[17:54] 不利于风险性质资产的拉高
[17:56] 所以现在比特币重点
[17:58] 不只是价格跌的问题
[17:59] 是完全没有人接盘
[18:01] 资金流出量太快了
[18:03] 就是之前买的那些ETF
[18:05] 每个月都在赎回
[18:06] 在台湾大多数的ETF没有发生过
[18:09] 你能不能想象
[18:10] 这些长期定期定额比特币的人
[18:13] 突然之间都开始赎回
[18:14] 去买美光了
[18:15] 这很难想象
[18:16] 那在另外一方面
[18:18] 也说明着不只是比特币
[18:20] 大量资产都有开始这种
[18:22] 价格涨幅或者资金转移的空间
[18:24] 举一个最直观的
[18:25] 就是费办拿来跟科技七雄的对比
[18:29] 费办今年涨幅是107%
[18:31] 科技七雄
[18:32] 现在跌幅已经跌到7.5%
[18:34] 也就是说目前市场上
[18:36] 那也很吊诡
[18:38] 一方面是奖励卖产值的人
[18:40] 也就是半导体的供应商
[18:41] 另外一方面却惩罚买产值的人
[18:44] 这些大型科技巨头
[18:46] 但同时又假设
[18:48] 我们接下来会不断的砸钱投资
[18:50] 这种逻辑
[18:51] 长期是很难成立的
[18:53] 因为一直花钱
[18:55] 然后只有当下卖产值的人赚到钱
[18:58] 花钱的人以后都赚不回来
[19:00] 那你不就在对着的是一场AI泡沫扑面吗
[19:02] 所以我们只能说市场上
[19:03] 有比较鲜明的资金转移
[19:06] 但是也不是完全不看好七巨头
[19:08] 这说明AI最终是否能够带来
[19:10] 足够的营收和获利
[19:11] 市场上短期内还是有点分歧
[19:14] 但有时候我们就这样子
[19:15] 七巨头现在那么受伤
[19:16] 我反而觉得
[19:17] 大家是好好留意的时候
[19:18] 很难得过去几年
[19:20] 很少七巨头这么落魄的
[19:22] 我觉得是值得多多关注的时候
[19:24] 很多时候
[19:25] 我们讲说市场就跟亚洲父母一样
[19:27] 标准永远会变
[19:28] 永远都对你很高的标求
[19:30] 明明我就是在提升人类生产力的
[19:33] 所以我要盖资料中心
[19:34] 现在变成人人喊打过街老鼠
[19:37] 科技巨头一年数千亿美元
[19:39] 建AI资料中心
[19:40] 市场会质疑他的资本支出太高
[19:43] 自由现金流下滑
[19:44] 获利被侵蚀
[19:45] 你想想看
[19:46] 他如果宣布缩减投资会怎么样
[19:49] 很明显一定会被批判
[19:50] AI的布局落后
[19:52] 竞争力不足
[19:53] 未来成长堪忧
[19:54] 他投做得多有人嫌
[19:56] 做得少大概也会被市场给卖下来
[20:00] 所以现在压力很大
[20:01] 现在市场对于七巨头的标准越来越高了
[20:03] 无论怎么选
[20:04] 都会有人拿另外一家的公司的标准
[20:07] 拿来做比较
[20:09] 之前不是才看到
[20:10] 那个女儿跟妈妈说
[20:12] 你知道吗
[20:13] 黄仁勋说
[20:14] 如果你出生在亚洲家庭
[20:16] 你一辈子都要看心理医生
[20:18] 你知道亚洲父母的问题了吧
[20:20] 妈妈一听
[20:21] 黄仁勋这种人
[20:23] 他爸妈都可以教训他
[20:25] 那我为什么不能教训你
[20:27] 你有比他厉害吗
[20:28] 你说
[20:28] 所以科技巨头也是一样
[20:30] 做得多有人嫌
[20:31] 做得少也有人嫌
[20:32] 不管怎么样
[20:33] 看起来大家就是
[20:35] 把他们的标准
[20:36] 拿来跟其他六巨头来做比较
[20:38] 谁少了资本支出
[20:40] 那压力会很大
[20:42] 但是你再投资本支出
[20:43] 那我也不买你
[20:44] 有这种感觉
[20:45] 所以这个就是当前市场的概况
[20:47] 何况七巨头已经表现算好的
[20:49] 平均跌幅是8%
[20:51] 你像过去的几只热门股
[20:53] 价格也开始做比较显著的松动
[20:55] Parentier股价
[20:56] 从高顶这样跌下来
[20:58] 已经跌了48%
[20:59] 那我们要知道
[21:01] 这个市场上
[21:02] 不管是AI啊
[21:03] 无人机啊
[21:04] 军工概念股啊
[21:05] 在本铺的浪潮当中啊
[21:07] 都受到进一步的资金回挡
[21:08] 另外一个就Nike
[21:10] 龙头股难道就不会受害吗
[21:12] 龙头股Nike
[21:13] 现在从2021年11月份的历史高点啊
[21:16] 跌幅已经75%
[21:17] 这是说明的
[21:18] 很多企业即便维持龙头地位
[21:21] 股价也会摔下神坛啊
[21:23] 最新的Nike资金长
[21:25] 希尔他就坦言啊
[21:26] 当时他在2024年
[21:28] 回锅掌握工资的时候
[21:30] 就低估了问题的严重程度
[21:32] 现在Nike过度强调
[21:35] 直营和销售的潮流时尚
[21:37] 反而让专业的运动型下淡化
[21:40] 最后跑鞋市场被按
[21:41] 被HOKA
[21:42] 这些新品牌给抢走份额
[21:44] 所以现在从今年
[21:46] 应该讲去年8月份
[21:48] 一整年的跌幅来看
[21:49] 也跌了45%
[21:50] 那总跌幅跌了75%
[21:53] 这件事情都意味着
[21:54] 行情走到这个地步
[21:56] 市场上开始认为估值不重要的时候
[22:00] 往往是估值最重要的时候
[22:01] 即便是龙头股
[22:02] 即便是大企业
[22:03] 现在在行情资金有限的时候
[22:06] 市场都会用更谨慎的态度来看待你
[22:08] 不管你是七巨头
[22:09] 不管你是Parentier
[22:10] 不管你是Nike
[22:11] 不管你是比特币
[22:12] 很多人看到一家公司
[22:14] 可能跌了10%
[22:16] 跌了20%
[22:17] 第一个反应就是
[22:19] 那是不是变便宜了
[22:20] 但是股票不是百货公司的打折商品
[22:23] 它反映的是
[22:24] 企业未来能够创造多少现金流汗获利
[22:26] 这以前我们常常开玩笑
[22:28] 那招企投资者
[22:29] 那与其在低基期乱买股票
[22:32] 也不在高基期认真研究财报
[22:34] 因为估值它是在高基期
[22:36] 影响接下来市场定价的一个重要关键
[22:40] 市场最危险的时刻
[22:41] 往往都不是大家知道风险的时刻
[22:43] 而是大家都觉得自己捡到便宜的时刻
[22:46] 这件事情其实是很重要的
[22:48] 也给投资朋友做一些思考
[22:50] 那之前讲嘛
[22:51] 那个按摩师问美女
[22:54] 美女需要特殊服务吗
[22:57] 美女说不用吧
[22:59] 真的吗
[22:59] 那按摩师说真的
[23:01] 我生意最讲信用了
[23:03] 那我就不信邪
[23:04] 那按摩师说
[23:07] 这样子好了
[23:07] 我倒贴你500块
[23:10] 我至少可以坚持一个小时
[23:12] 如果不到一个小时
[23:14] 我就倒贴你500块
[23:15] 女生说真的吗
[23:16] 你可以坚持一个小时吗
[23:18] 后来真的给他试试看
[23:20] 结果才五分钟就结束了
[23:22] 那按摩师默默偷出五百块
[23:24] 服务奖信用
[23:26] 那美女觉得
[23:26] 只是被坑了
[23:28] 这投资市场
[23:29] 它会有很多残酷的现实
[23:32] 有时候我们总觉得
[23:33] 自己在占便宜
[23:34] 但是往往有人准备
[23:35] 把风险转移给你
[23:37] 包括便宜的资金
[23:38] 便宜的估值
[23:39] 便宜的热门题材
[23:41] 有时候看起来都像是礼物
[23:42] 但背后
[23:43] 它又转移了一些
[23:45] 看不见的风险给你
[23:46] 所以我们在投资
[23:46] 各股的过程当中
[23:47] 就是低估值
[23:49] 它也不一定那么保险
[23:50] 高估值它也不会永远一路的上涨
[23:53] 这就是现在股市的真相
[23:55] 我们看到的很多优秀的企业
[23:57] 居然在现在大牛市的过程当中
[23:59] 股价跌成这样
[24:00] 其实压力是很大的
[24:01] 好8点55分
[24:02] 我们接下来往下聊
[24:04] 来细节观察一下
[24:05] 当前市场上
[24:07] 另外一大能够解决当前市场利空
[24:10] 或者说通膨压力的方式是什么呢
[24:12] 第一就是消费继续激化
[24:14] 你讲来这个很恐怖
[24:16] 说消费激化不是不好的吗
[24:17] 对于实体的经济是有点冲击的
[24:20] 可是只要消费极化
[24:21] 民间的需求持续走弱
[24:23] 那么科技通膨
[24:24] 它就不会真实的引起
[24:26] 那另外一方面
[24:26] 就由中国AI模型
[24:28] 持续迭代的推出
[24:30] 导致这些巨头们
[24:31] 无法再玩这样的一个游戏的时候
[24:33] 估值适度的回调
[24:35] 它也是解决通膨的方式
[24:36] 估值回调不代表股价要崩溃
[24:38] 股价先不涨了
[24:40] 资本这时候不用投这么多了
[24:41] AI马上要立即来做应用
[24:44] 这个时候反而是对于资本市场
[24:46] 或者对于整体的经济环境而言
[24:49] 它是达到了具有通缩性的
[24:51] 缓步经济成长的作用
[24:53] 我们举例来说
[24:53] 最新美国所公布的经济成长率
[24:56] 在今年一季度到二季度
[24:58] 75%几乎都来自于AI成长
[25:01] 在这个成长的过程当中
[25:03] 行情走到现在这一步
[25:05] 其实很明显
[25:06] 大部分都是来自于科技产品的迭代拉伸
[25:09] 其中资讯科技设备的伺服器处理器
[25:13] 成长了大概14%
[25:14] 加上软体研发等智慧财产的同步扩张
[25:17] 现在两者合计对GDP的贡献
[25:20] 大概是1.55个百分点
[25:22] 占整体2.1%
[25:23] 经济成长大概有74%左右
[25:26] 好那在成长的过程当中
[25:28] 市场上就有更进一步的认识
[25:30] 那就能否借由
[25:31] AI token成本的下滑
[25:33] 来解决这场危机
[25:35] 什么意思呢
[25:36] 就是我接下来还要投资本支出
[25:38] 但是我就不要比
[25:39] 前一年投的还要来得多
