[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 不管是臺美股市成交量都在陸續放大
[04:21] 手機是有限的
[04:22] 可是呢
[04:22] 你大可以藉由擴大Max Pro Max
[04:25] 或者說更高階的手機
[04:28] 來進一步引發營收的利潤上行
[04:30] 當然其他消費性電子產品就很差勁了
[04:33] 不管是Mac的營收
[04:35] 到現在甚至還回不到
[04:37] 22年第四季的高點
[04:38] iPad營收也回不到2023年
[04:41] 再來看看穿戴裝置
[04:42] 每一年都比一年還要來得更為差勁
[04:45] 不管是我們看到手錶或者耳機
[04:48] 大家使用以後選擇性更多
[04:50] 所以現在蘋果基本上
[04:52] 還是靠手機的消費性硬體來做支撐
[04:55] 並且靠服務軟體營收來往上攻
[04:58] 但是其他穿戴裝置
[04:59] 大家的選擇性越來越多以後
[05:01] 反而開始有所弱化
[05:02] 產品總營收目前是1137億
[05:05] 服務營收是300億美元
[05:07] 整體毛利率48.2
[05:09] 指引夏季的毛利率大概大約48到49%
[05:12] 沒有差太多
[05:13] 每股會配發0.26塊
[05:15] 那其實現在市場的核心關鍵
[05:18] 還是兩個字就卡關
[05:19] 蘋果很清楚知道
[05:21] 接下來i18一定要上調價格
[05:24] 為什麼
[05:24] 那記憶體價格漲成這樣
[05:26] 那撲克是說
[05:27] 他有一整套的工具箱
[05:29] 但他不會細講
[05:30] 他會來告訴大家說
[05:31] 會如何藉由iPhone
[05:33] 極為成功的供應鏈管理學
[05:35] 當時蘋果團隊
[05:37] 派了大量的工程師到鴻海
[05:40] 到富士康各地
[05:41] 來幫助你如何降低成本
[05:44] 或者進一步的進行供應鏈調節
[05:46] 搞得臺商後來有一半都離開了
[05:49] 像廣達、偉創、可成
[05:51] 後續都離開蘋果供應鏈了
[05:53] 它壓成本的能力也是很強的
[05:55] 那現在呢
[05:56] 蘋果有沒有能力
[05:58] 在記憶體報價全面上漲的過程當中
[06:00] 還能夠持續控制i18的售價呢
[06:03] 今天來跟投資朋友做更進一步觀察
[06:06] 但是庫克至少已經很明顯提到了
[06:08] 的確現在成本壓力
[06:10] 看起來是i18最大的挑戰
[06:12] 甚至i18本身賣的好不好都不是重點
[06:15] 重點是你能不能控制住
[06:17] i18在今年9月份10月份推出時的價格
[06:21] 現在記憶體的上漲
[06:22] 正在醞釀當中
[06:23] 已經擴散到被動元件
[06:25] LED面板等等了
[06:27] 那對於毛利率的壓力就會來得越來越大
[06:29] 當然我們回顧12月份的假期
[06:31] 蘋果的表現這一次的確相對亮麗
[06:34] 高階機種重新獲得市場的青睞
[06:36] 那中國營收開始增高以後
[06:38] 今年能否持續保持
[06:40] 也是市場的關注重點
[06:41] 可是從種種訊息來看
[06:43] 市場上就開始針對
[06:44] 七巨頭有新一輪的定價
[06:46] 因為現在就是一直殺納指
[06:47] 一直殺軟鐵股
[06:49] 七巨頭怎麼樣就是漲不動
[06:51] 反而是賣產值的硬鐵股
[06:52] 就一直漲
[06:53] 報價一直往上拉
[06:54] 那這遲早會影響到
[06:56] 終端消費品
[06:57] 或者市場投資者的壓力
[07:00] 畢竟都是這些七巨頭在買東西
[07:02] 我們如果細看
[07:03] 現在你像Google
[07:05] 博通 蘋果的預估本益比
[07:07] 大概在29倍左右
[07:09] 相對於往年的平均值
[07:11] 其實算曆史高位
[07:12] 但是並不算特別高
[07:14] 尤其現在泡沫又撐得特別大
[07:16] 市場的展望又給得特別高
[07:18] AI的估值想象前景又很高
[07:20] 所以其實反而是Google
[07:22] 博通和蘋果
[07:23] 而即便Google股價在創高
[07:25] 它的本益比都還不算是失控
[07:27] 反而像是微軟
[07:28] Meta
[07:29] 揮達
[07:29] Amazon
[07:30] 本益比
[07:31] 中位數相對而言平均值就有點高
[07:34] 可是這也很正常
[07:35] 為什麼呢
[07:36] 因為他們對於未來的前景估值
[07:39] 大元模型的壟斷
[07:40] 大家有給他更多的想象力嗎
[07:42] 更何況雖然我們看到
[07:44] 本益比比較起來有高有低
[07:46] 可是其實如果從垂直比較
[07:48] 就過去一個季度來看
[07:50] 所有七巨頭的本益比
[07:52] 全部都在下滑
[07:53] 每一隻股票的本益比
[07:54] 都比四個月以前更便宜
[07:56] 為什麼
[07:57] 因為股價根本沒漲
[07:58] 但是EPS開出來了
[08:00] 都是陸續往上走
[08:01] 所以七熊現在開始失去市場一致買盤以後
[08:05] 這個25年底就已經出現的徵兆
[08:07] 它要如何在26年有更多的想象空間呢
[08:10] 那很抱歉
[08:11] 除了物理性推出AI相關產品
[08:15] 基本上你也想不到太多的條件
[08:16] 更何況現在的問題就是
[08:18] 物理性AI自駕車才剛剛推出來
[08:21] 還沒有具體的營收回饋
[08:22] 反映在財報身上
[08:23] 可是借的錢越來越多了
[08:25] 我們如果細看
[08:26] AI目前的投資風潮
[08:28] 已經把原本最安全
[08:29] 最穩定的美國投資等級在債市
[08:32] 變成了壓住AI的單一宏觀交易
[08:35] 90%的投資等級債的招募
[08:38] 或者說成立發行
[08:40] 全部都是為了要投注AI
[08:42] 現在像Alphabet
[08:43] Amazon
[08:44] Meta
[08:44] Microsoft
[08:45] 甲骨文
[08:45] 這一些我們講說CSP業者
[08:49] 為了要拿到AI資料中心
[08:50] 和算力競賽
[08:51] 瘋狂砸錢
[08:52] 已經變成全球最大債市的金主
[08:55] 阿波羅預估到2030年
[08:57] 美國投資等級債的市場前十大借款人當中應該有一半都是這些科技巨頭這我就結構性很集中這些科技巨頭借了錢肯定也是去發展AI所以AI如果不能夠預期的產生足夠回報
[09:11] 那就變成你好像買了投資等級債ETF
[09:14] 看似分散
[09:15] 其實你買債券跟買AI本質上也一模一樣
[09:18] 就會形成這種情況
[09:19] 你買股票你也是壓AI
[09:21] 大盤就是壓住AI
[09:22] 你買債市投資等級債
[09:24] 你也是壓住AI
[09:25] 就連壓政府
[09:26] 政府也花了大量資源
[09:28] 去鼓勵國家隊走出AI競賽
[09:31] 所以不管你投哪一個資產
[09:32] 你好像除了買黃金以外
[09:34] 你都是在對賭AI
[09:35] 尤其現在市場上有很多新創企業
[09:38] 在跟這些老CS畢業者來講錢
[09:41] 由於本身並沒有護城河
[09:43] 他就要付出更高的利息或者代價
[09:45] 才能夠掌握到錢
[09:46] OpenAI這一次在SpaceX
[09:48] 準備在6月份上市以後
[09:50] 目前也開始提上了充斥時程
[09:52] 預估在第四季左右就會正式上市
[09:54] OpenAI現在已經跟華爾街的投行
[09:57] 進行非正式的接觸
[09:58] 同時來擴充財務團隊
[10:00] 來看看26年要怎麼搶錢
[10:02] 所以今年應該就是IPO大年
[10:04] 從OpenAI到Entropix到SPEX
[10:07] 現在就是市場上
[10:08] 最為關注的科技明星
[10:10] 而這些科技明星
[10:11] 現在就是最缺錢
[10:13] 我們就看如何跟這些老錢
[10:15] 老CSPS來搶錢
[10:17] 特斯拉我們昨天提到
[10:18] 財報很普通
[10:19] 但是花了20億壓住XAI
[10:22] 市場就是直接買單
[10:23] 為什麼
[10:24] 因為他要把產線X和S關掉
[10:28] 直接來發展Optimus
[10:30] 那這一種輪替
[10:31] 就等同於特斯拉正式成功的
[10:34] 以機器人公司來做定位
[10:36] 雖然還沒有具體的營收回饋
[10:38] 不過市場給予他的評價看起來蠻高
[10:40] 6月份的IPO
[10:42] 大家看起來是蠻樂觀的
[10:43] 進一步引爆了硬體股
[10:45] 我們看到前兩天
[10:46] 不管是德州儀器財報
[10:48] 艾斯莫爾的接單量爆充
[10:50] AI需求確認等等
[10:51] 而且接單的同時還宣佈裁員
[10:53] 這就知道AI匯入以後
[10:55] 可以讓員工成本下滑
[10:58] 同時間我的訂單又可以擴大
[11:00] 那硬體股的確在這一段時間
[11:02] 相對亮麗
[11:03] 所以第一個我們要觀察重點就是
[11:05] 納指的確並沒有伴隨著
[11:07] 這一波的科技股財報公佈
[11:09] 而有顯著的上攻
[11:10] 反而是更有漲跌
[11:12] 有的漲有的跌
[11:13] 就繼續橫盤在這樣的一個區間
[11:15] 市場在本季度仍然看不清楚
[11:17] AI的終端營收的回饋
[11:18] 但這是好事
[11:19] 要不然什麼都漲
[11:20] 你根本找不到可以佈局的標題
[11:22] 對不對
[11:23] 左側交易者快要慌了
[11:25] 什麼東西都在漲
[11:26] 完全無法達到資產再平衡
[11:28] 以前資產再平衡的概念都是
[11:30] 有一漲有一跌
[11:31] 或者有一漲一個沒漲
[11:33] 那你就有再平衡的作用
[11:34] 什麼都在漲
[11:35] 那要怎麼再平衡
[11:36] 當然你也可以選擇
[11:38] 漲多的和漲少的
[11:39] 可是本身而言
[11:41] 它的確會形成適度壓力
[11:42] 不過我們回過頭看
[11:43] 現在黃金價格在昨天的波動
[11:46] 也放很大
[11:47] 你看留了一根超長下影線和上影線
[11:50] 昨天黃金價格也曾經出現過
[11:52] 非常顯著的獲利了結賣壓
[11:54] 當然一方面是反映市場的不確定性
[11:56] 另外一方面
[11:57] 地緣政策的不確定性再度提上神程
[12:00] 因為現在不只是金屬價格在上漲
[12:02] 連布蘭特原油
[12:03] 現在都已經衝破了71美元每桶了
[12:06] 這個就有壓力了
[12:07] 昨天期貨價格是一度衝高到5%
[12:10] 創下去年8月份以來的新高
[12:12] 西德州現在也占上66塊了
[12:14] 那當然
[12:15] 這是川普對伊朗發出強硬警告之後
[12:19] 國際油市的反應
[12:20] 那也許後續會淡化
[12:21] 可是呢
[12:22] 如果油價就保持在這個水準
[12:24] 那也是一個壓力
[12:25] 今年你已經找不到下跌的原物料了
[12:28] 如果連油價都在漲
[12:30] 那其實對於今年通膨會有相當大的壓力
[12:33] 那個顯現利空就慢慢出來了
[12:35] 那就是聯準會完全沒有任何降息空間
[12:38] 今年的緊縮預期就會來得更緊
[12:40] 因為那麼多人需要錢
[12:42] 那麼多人需要IPO
[12:44] 這麼多人需要蓋資料中心
[12:46] 然後現在聯準會卻因為通膨
[12:48] 僵固性已經產生遲遲無法降息
[12:50] 這是極大的壓力
[12:52] 所以我們看
[12:53] 雖然整個標普百指數
[12:54] 在過去還是突破了7000點
[12:56] 創下歷史新高
[12:57] 可是其實還是一個蠻鮮明的對比
[12:59] 就是以美國股市
[13:01] 美元資產跟非美資產來做比較
[13:04] 還是可以發現
[13:05] 其實美國股市沒有想象中這麼亮麗
[13:07] 不只是那子不亮麗
[13:08] 整個美股其實都不太亮麗
[13:10] 標普百從去年9月份以來
[13:12] 其實就算是被困在同一個整理區間
[13:15] 現在稍微突破
[13:16] 可是如果把框框畫稍微大一點
[13:19] 其實差不多了
[13:20] 就是持續盤在這樣的一個區間
[13:22] 那大家會擔心
[13:23] 會不會跟2024年年底
[13:24] 到2025年年初的結構有點像
[13:26] 從圖表看起來是蠻像的
[13:28] 可是有沒有當時的宏觀背景就不一定
[13:30] 因為你關稅戰術引發的市場情緒
[13:33] 會不會在26年發酵
[13:34] 看起來是不太可能
[13:36] 反而是非美市場表現亮麗
[13:38] 我們以新興市場的ETF
[13:40] 叫做EEM
[13:41] 這一波應該是行情當中最醒目的主角
[13:44] 早在去年6月
[13:46] 市場就已經明顯有嘎空行情的產生
[13:49] 到後續美元的大幅破底
[13:51] 這一陣子更是直線飆升
[13:53] 這一波今年以來上漲
[13:55] 平均已經漲15%
[13:57] 那這一個月走完一年的報酬
[13:59] 拉長時間來看
[14:01] 新興市場也才剛剛開始漲
[14:03] 我們如果把長期的股價盤整區間
[14:06] 它其實在26年才剛剛突破20年的整理區間
[14:10] 所以我們講的新興市場
[14:11] 大概涵蓋三大市場
[14:13] 一個就是我們講的東亞的這些新興市場製造體
[14:17] 像臺灣韓國等等
[14:19] 再來就是南美洲的原物料資源股
[14:21] 最後是中東市場
[14:22] 這三大從資源國和亞洲新興製造體的績效表現
[14:27] 基本上由臺韓來帶動向上攻
[14:31] 所形成的股價推動非常明顯
[14:33] 事實上美國股市跟新興市場股市
[14:36] 如果真的伴隨著美元的持續貶值
[14:38] 也許才剛剛開始翻轉而已
[14:40] 這個應該是過去20年以來
[14:43] 最大的翻轉
[14:44] 因為美國股市已經跑贏很久了
[14:46] 現在趁美元的貶值
[14:47] 是不是有機會
[14:49] 讓非美市場有進一步的拉伸
[14:51] 舉一個比較直觀的
[14:52] 我們先看
[14:53] 應該講南美洲市場
[14:55] 這張圖表示EWZ
[14:57] 這是巴西股市ETF
[14:59] 哇
[14:59] 六個交易日上漲15%
[15:02] 人家一年是漲15%
[15:04] 符合年化報酬
[15:06] 新興市場是一個月漲15%
[15:08] 巴西股市是一週漲15%
[15:11] 價格已經直接突破了短期的趨勢線
[15:13] 為什麼呢
[15:14] 因為全球都在缺料
[15:16] 那加上巴西貨幣
[15:19] 巴西里爾現在是全球貨幣升值最快的一個貨幣
[15:22] 那基本上就導致了巴西股市短線上
[15:26] 當然有過熱的問題啊
[15:27] 但是也是顯著的爆充啊
[15:29] 所以我們把績效放開來看
[15:31] EWZ拿來跟EEM再拿來跟SPY來三者對比啊
[15:35] 你就知道缺料的國家
[15:37] 現在股市是漲最兇的
[15:38] 再來呢
[15:39] 新興市場漲第二兇
[15:41] 再來才是標普白指數
[15:42] 如果是從去年8月份
[15:44] 一路到現在為止
[15:45] 巴西股市漲幅有40%
[15:47] 新興市場漲了21%
[15:49] 標普白指數漲幅僅僅只有9%
[15:52] 所以整個AI行情
[15:53] 當然也不止集中在南美洲
[15:55] 現在韓國股市是東亞市場
[15:57] 最亮麗的市場表現
[15:59] SK海力士從去年
[16:01] 當時2月份到現在為止
[16:03] 漲幅是280%
[16:04] 三星漲了207%
[16:07] 愛德萬漲了有154%
[16:09] 那揮達也很漂亮
[16:10] 不過漲幅只有32%
[16:12] 所以開始有這種亞洲股市
[16:14] 新興市場股市的輪動味道
[16:15] 反而現在市場上當中
[16:17] 其實就是美股漲得少
[16:19] 亞股漲得多
[16:20] 那新興市場的南美洲股市
[16:22] 漲得更誇張
[16:23] 唯一收跌的
[16:24] 看起來只有比特幣
[16:25] 今年一樣
[16:26] 唯一現在資產價格
[16:28] 收到比較大賣壓
[16:29] 昨天比特幣跌過88000美元
[16:31] 市場的賣壓極為沉重
[16:33] 比特幣近期的買盤
[16:34] 不只是完全沒有彰顯
[16:36] 跟股票市場完全脫鉤
[16:38] 更由於當前聯準會所釋放的
[16:40] 這種相對中線論調
[16:42] 沒有更寬鬆的言論
[16:44] 使得市場上壓力極大
[16:45] 其實從去年10月11月
[16:48] 比特幣當時走高以後回檔
[16:51] 它就一路就盤在這樣的一個區間
[16:53] 好長一段時間了
[16:54] 比特幣真的是裝睡的人叫不醒
[16:58] 對吧
[16:58] 就深層現象
[16:59] 你明明知道
[17:00] 從風險角度而言
[17:02] 現在市場的風險偏好也不低
[17:04] 但是怎麼樣就是做不動
[17:06] 怎麼樣就是沒有想象空間
[17:08] 怎麼樣就是沒有人討論
[17:09] 中睡的人覺不醒
[17:11] 有沒有看到那個A片裡面的
[17:14] 睡著的丈夫
[17:15] 也有這種感覺
[17:17] 不管什麼天搖地動
[17:19] 搞得花枝亂顫
[17:22] 丈夫永遠都醒不來
[17:24] 差不多就有點這樣子
[17:25] 好像一切的行情都跟你無關
[17:28] 市場的流動性的大或小
[17:29] 都跟你無關
[17:30] 難得見到比特幣的波動性
[17:33] 我們講說不漲就算了
[17:35] 連跌也跌不動
[17:36] 就卡在這樣的位階
[17:37] 裝睡的人叫不行
[17:38] 所以我們要後續觀察
[17:40] 到底要怎麼去觀察這項資產
[17:42] 有進一步的理解
[17:43] 我們再來跟投資朋友做一些留意
[17:44] 但是就連現在美元貶值的效果
[17:47] 以美元計價的比特幣也沒有太大波動
[17:49] 美元已經跌破了三年的頭部
[17:51] 其實也就意味著
[17:53] 亞洲新興市場的主升段已經正式開始
[17:56] 如果我們細看
[17:57] 在今年亞洲市場當中
[17:59] 表現最亮麗的是韓國股市
[18:01] 過去一個月的報酬漲幅是19.9%一個月就漲了兩成所以韓國股市真的非常非常猛烈臺北股市漲幅有11.7%香港股市恒生指數漲幅有5.6%
[18:15] 新加坡海峽指數漲幅5.4%
[18:17] 上證漲了3.18%
[18:19] 日經漲了2.9%
[18:20] 當然這是從今年角度來看
[18:22] 如果是從過去十年
[18:24] 整個從美中貿易戰迴圈
[18:27] 一路到新冠疫情
[18:28] 烏俄戰事
[18:29] 庫存調整
[18:30] 到半導體拉貨
[18:32] 朝到最後的AI爆發
[18:33] 表現最為亮麗績效的是誰呢
[18:35] 當然是臺股
[18:36] 要以臺灣人為豪
[18:38] 現在臺北股市
[18:39] 過去16年到26年平均漲幅
[18:42] 應該這樣講
[18:43] 加權指數是315.5%
[18:45] 漲了三倍
[18:46] 日經指數漲幅是201%
[18:49] 韓國COSPI指數172
[18:51] 是排名第三
[18:52] 新加坡海峽指數漲幅79%
[18:54] 恒生指數漲36
[18:56] 上證漲30
[18:57] 所以其實臺北股市是
[18:59] 整個亞洲股市
[19:00] 在過去10年的榮景當中
[19:02] 表現最亮麗的指數
[19:05] 所以其實長期我們看到
[19:07] 投資指數
[19:08] 其實某種程度
[19:08] 就是在投資國運
[19:10] 其實這幾年的整體績效
[19:12] 在金融資產上
[19:13] 已經彰顯得非常厲害了
[19:15] 也可以瞭解
[19:15] 臺灣經濟在這幾年
[19:16] 的確當上了某些
[19:18] 有些人說是因緣巧合
[19:20] 有些人是說
[19:21] 長期的技術的更迭
[19:22] 本來就具有的優勢
[19:23] 在這一瞬間直接爆發
[19:26] 所以我們常跟投資朋友分享
[19:27] 這個在年輕時
[19:29] 在年老時
[19:29] 你就是在對賭
[19:31] 自己國家的國運
[19:32] 那長期這樣子下來
[19:34] 一點一點
[19:34] 每年績效
[19:35] 有時候5%到10%
[19:36] 也不是特別亮麗
[19:37] 可是有時候是10到20
[19:38] 有時候來到20%以上
[19:40] 長期下來
[19:41] 整體的績效
[19:42] 它就是以倍數起跳
[19:44] 而並不是以percent起跳
[19:45] 而這個是值得大家
[19:46] 多做一些觀察的
[19:47] 我們常講一句俗語
[19:49] 年輕時硬著等
[19:52] 年老時等著硬
[19:54] 你人生不同階段
[19:55] 你的投資的規劃都不太一樣
[19:57] 年輕時你的資本有限
[19:59] 但時間很充足
[20:00] 這個時候投資成長型的資產
[20:02] 你需要承受短期的波動
[20:04] 持續耐心的投入
[20:05] 等待複利的發酵
[20:06] 年老時
[20:07] 10年前就是大盤而已
[20:11] 你有個3000萬的退休金
[20:13] 終於存到了
[20:14] 才過10年
[20:16] 75歲
[20:16] 現在人生都要活到150歲
[20:18] 就變9000萬了
[20:20] 這其實就是一個非常好
[20:21] 抗通膨的資產
[20:22] 年老時等著印
[20:23] 資本有了一定累積以後
[20:25] 你再去關注那些需要穩定
[20:27] 或者收益的可靠性資產
[20:29] 比如說把部分資金
[20:30] 放到低波動的債券市場上
[20:33] 或者需要讓資本
[20:35] 以更為穩定的方式
[20:36] 你要收租什麼
[20:37] 讓自己有時間可以跑來跑去
[20:40] 也OK
[20:41] 用穩定現金額的方式
[20:42] 再去思考
[20:43] 那現在年老定義不一樣了
[20:45] 65歲以前都是年輕
[20:48] 100歲以後叫做年老
[20:49] 因為現在人類平均壽命
[20:52] 按照習主席說法是150歲
[20:54] 所以不管怎麼講
[20:55] 當然本波臺灣市場
[20:57] 已經跟AI融解
[20:58] 完全區分不了
[20:59] 現在買的債券
[21:01] 投資整體債
[21:01] 也是在對賭AI
[21:02] 買的股市
[21:03] 也是在對賭AI
[21:04] 你連買的國債
[21:05] 那個政府對於AI的參與
[21:07] 和AI的支援力度
[21:08] 本身也是在對賭AI
[21:10] 所以實體AI的崛起
[21:12] 對於臺灣未來前景
[21:13] 就很重要了
[21:13] 我們前幾年
[21:15] 都是組裝消費性電子產品
[21:17] 從一開始在2000年的PC
[21:19] 紅機華碩的崛起
[21:20] 到後續
[21:21] 平概股供應鏈的崛起
[21:23] 組裝手機
[21:24] 到後來組裝伺服器
[21:26] 而下一步
[21:27] 我們即將要組裝機器人了
[21:29] 從實體AI來看
[21:31] 這一次的確已經有大量的工廠機器人
[21:33] 正在產出
[21:34] 本來是屬於高量低變化的產線
[21:37] 現在其實對臺灣而言
[21:38] 主要是生產低量高變化的動態環境
[21:41] 為什麼呢
[21:42] 因為彈性作業
[21:44] 你必須要適應到每一家中小型企業手中
[21:47] 每個人需要的方向不太一樣
[21:49] 那這個時候匯入相關AI技術以後
[21:51] 也必須要有硬體技術的更新
[21:53] 所以現在我們講說
[21:55] 自駕車是物理世界的第一步
[21:56] 你先了解在用路人的使用上
[21:59] 他要如何進行反應
[22:00] 出現意外的時候
[22:01] 一個叫做機器人的自駕車
[22:04] 他會如何反應
[22:05] 小孩從前面經過
[22:06] 小狗可能掙脫了束縛
[22:08] 那你要車子如何做反應
[22:10] 而這些機器人我們看到
[22:11] 都有非常顯著的拉伸
[22:13] 現在企業已經把自動化當成基本盤
[22:15] 也不是說緊急好再做
[22:17] 因為市場上
[22:18] 全球發達市場都一樣的情況
[22:20] 大家的利率都不低
[22:22] 然後又缺工
[22:23] 又有地緣政治的壓力
[22:24] 又有工資的壓力
[22:26] 全部都指向同一個答案
[22:27] 就是每年都要為能力調整
[22:29] 不如一次把產線變成機器主導
[22:32] 也許一臺機器
[22:33] 好吧
[22:34] 貴一點
[22:35] 要150萬
[22:36] 那比工人貴
[22:37] 可是第一
[22:38] 他可以24小時工作
[22:40] 第二
[22:40] 他只要兩年左右
[22:43] 原本的薪資可能就有機會回本了
[22:45] 所以製造業的匯入AI
[22:47] 就成為市場新趨勢
[22:48] 各大傳承也搭上了這股行情
[22:51] 有的是因為漲價潮而拉動
[22:52] 有的本身是因為技術
[22:55] 而更進一步的參與AI行情
[22:57] 我們舉例來說像TOTO
[22:58] TOTO大家都覺得
[22:59] 好像專門做衛浴的
[23:01] 做免治馬桶的
[23:02] 股價最近迎來五年來的最大漲幅
[23:06] 市場看到並不是衛浴本業
[23:08] 而是說TOTO
[23:08] 長年已經低調經營的
[23:10] 半導體材料業務
[23:11] TOTO現在也是經營半導體
[23:13] 隨著AI資料中心的大量興建
[23:15] 現在記憶體供不應求
[23:17] TOTO現在生產的靜電吸盤
[23:19] 就成為了晶片製程當中
[23:21] 不可或缺的關鍵零元件
[23:23] 它可以用來固定細晶圓
[23:25] 同時還可以控制溫度和汙染
[23:27] 所以你本身對於自己的技術材料端
[23:30] 有一定領先的
[23:31] 後續的半導體行情
[23:32] AI龍獎都有機會能夠抓上你
[23:34] 當然軟體的爆發目前還是主流
[23:37] 你像扎加公司叫做Neolabs
[23:39] 它是AI新創
[23:40] 那很不一樣
[23:41] 它比較沒有那種創新產品的路線
[23:44] 它也沒有什麼短期變性的計劃
[23:46] 它只有一件事情
[23:47] 就是研究本身
[23:49] 就是它的創辦人
[23:50] 是一位史丹佛的博士生
[23:51] 他拿著一個全新的模型訓練
[23:54] 和一間研究實驗室
[23:55] 現在就吸引了一堆創新投資者
[23:57] 來做投資
[23:58] 他壓住的是什麼
[23:59] 他壓住的是
[24:00] 現在已經進入到瓶頸
[24:03] 真正需要突破的是既有的路線
[24:05] 所以他的公司
[24:07] 其實更像是一種科學研究的方式
[24:09] 我幫你去研究最為前瞻的技術
[24:12] 而並不是去推出一個具體產品
[24:14] 你搞研究
[24:15] 很多人也是拿著錢
[24:17] 來希望你給他更新的研究成果
[24:19] 所以投資人現在市場上
[24:21] 就再更進一步聚焦
[24:22] 有哪些產品的陸續推出
[24:24] 舉例來說
[24:24] 這叫Cindyus
[24:26] 就是英國的新創公司
[24:28] 最近呢
[24:29] 他也拿到了兩億美元的估值
[24:32] 那公司估值
[24:33] 現在一度已經膨高到
[24:35] 接近有40億美元了
[24:36] 那這家公司
[24:37] 他專門做那個
[24:38] 深層式AI的頂層的影片
[24:40] 就是那個對嘴
[24:42] 你知道嗎
[24:43] 詐騙集團不是常常
[24:44] 用我的那個臉
[24:45] 然後對嘴講話
