[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那大家更为关注的当然是标普和纳指改写历史新高以后
[02:51] 让市场相信
[02:52] 至少战争的影响程度
[02:54] 似乎没有想象中来得大了
[02:56] 不过我们还是要看原油价格的回跌情况
[02:58] 现在只能说是股市的空窝末日
[03:02] 被终结文明的不是波斯人
[03:05] 现在是空窝
[03:06] 先上天堂了
[03:08] 可是回过头说
[03:09] 油价来得及跌回来吗
[03:11] 4月份CPI看起来是一定爆表
[03:14] 现在即便期货价格回跌
[03:16] 现货价格来得及在5月底之前
[03:19] 回到战前水准吗
[03:21] 更关键的事情是
[03:22] 川普在下礼拜
[03:24] 就要即将访问中国国家主席习近平
[03:26] 那这一次中东战局
[03:28] 已经影响到全球的外交格局
[03:30] 有没有可能
[03:31] 不管是伊朗跟中国的关系
[03:33] 美国跟中国的关系
[03:35] 美国跟伊朗的关系
[03:36] 在川习会当中
[03:38] 会有重要的谈判的交换
[03:40] 中国这一次也公开介入协调
[03:42] 希望避免徐次失控
[03:44] 中国也希望能够尽快的打通荷姆治海峡
[03:47] 但重点在于
[03:48] 各自所负担的代价为何
[03:50] 是浓缩钥的问题吗
[03:52] 还是说接下来一段时间
[03:54] 市场上可以接受
[03:55] 把浓缩钥问题的延长
[03:57] 来取得荷姆治海峡的开放
[03:59] 不是不谈
[04:00] 我们明年再谈这个问题
[04:02] 那你是不是可以先开放一下海峡呢
[04:04] 事实上我们可以观察到
[04:05] 当前5月14号到5月15号
[04:08] 已经几乎确认了
[04:09] 中国国家主席习近平
[04:11] 这次在川习会当中
[04:12] 也释出了对于伊朗某种程度的一些
[04:15] 比较强硬的谈判讯号
[04:17] 但是从种种措施来看
[04:20] 这一次我就比较相信
[04:21] 是有可能逐步落幕
[04:23] 为什么这么讲
[04:24] 因为法国要派军舰过去了
[04:27] 很有趣
[04:27] 我们看法国这次公开表示
[04:30] 如果伊朗现在即将接受
[04:32] 美国所提出的停火方案
[04:34] 那由法国和英国所主导的海上联盟
[04:36] 已经准备好要护航邮轮
[04:39] 穿越荷姆之海峡了
[04:41] 法国甚至已经把戴高乐号
[04:43] 移往红海
[04:44] 准备和其他盟国的舰艇来会合
[04:47] 那你要知道
[04:48] 一旦法国军舰即将到达
[04:50] 这说明这个地方本身就已经安全了
[04:52] 按照过往的格局
[04:54] 之前一直不愿意出发
[04:55] 怕有风险
[04:56] 所以以前我们才在飞机上
[04:59] 今年我过年是在法国
[05:02] 飞机上德国朋友就跟我说
[05:04] 他说法国现在
[05:05] 尤其是北边
[05:09] 治安稍微没有这么好
[05:11] 我说那会不会有危险
[05:12] 他说你放心
[05:13] 法国有警察的地方都很安全
[05:15] 我说为什么
[05:16] 他说因为法国警察
[05:17] 不会去危险的地方
[05:18] 法国航母也是
[05:20] 他都决定要过去了
[05:21] 那肯定荷姆兹海峡的局势
[05:24] 肯定有一点降温吧
[05:26] 所以在这样的一个效果底下
[05:27] 某种程度上市场的信心是有其道理的
[05:30] 不过我们回过头来看
[05:32] 中国市场其实也频繁的放话
[05:34] 希望能够尽快的开放荷姆兹海峡
[05:37] 根本原因也来自于被掐住的能源问题
[05:40] 中东大概占中国市场有40%的石油进口
[05:43] 而且中国更是买走了伊朗的大部分原油
[05:46] 那你要知道
[05:47] 现在伊朗的原油也被封锁在荷姆兹海峡里头
[05:50] 所以中国就处于一个比较微妙的位置
[05:52] 一方面北京和伊朗的关系的确比较密切
[05:55] 甚至中国的民间炼油厂
[05:57] 长期顶着美国制裁
[05:59] 大量的购买伊朗的折价石油
[06:01] 另外一方面
[06:02] 中国又不希望伊朗过头
[06:04] 因为你破坏跟沙烏地阿拉伯或者阿联的关系
[06:07] 那你会影响到我的中国经济表现
[06:10] 所以中国现在策略就变成有限度的介入
[06:13] 支持伊朗谈判
[06:14] 但是避免被拖近到冲突的核心
[06:17] 那反而中东压力就逐步涌现了
[06:20] 因为在这一场战争结束以后
[06:22] 他能不能回到过去的荣景呢
[06:25] 我们知道这一次阿联
[06:26] 突然宣布退出OPEC以后
[06:29] 沙热地阿拉伯最近也表现得异常低调
[06:32] 也几乎没有公开回应
[06:33] 这种刻意沉默也算是一种策略
[06:36] 一方面沙热地阿拉伯
[06:37] 避免在中东战争和游士的动荡期间
[06:40] 引起更大的波动
[06:41] 我有什么想做的事情
[06:43] 我想对阿联施压等等
[06:44] 现在先不做
[06:46] 因为现在原油价格的确很紧绷
[06:48] 那另外一方面
[06:49] 也不愿意让内部分裂被市场放大解读
[06:52] 尤其这件事情的本质
[06:53] 更多是权力和利益的再分配
[06:56] 阿联长期就不满产量的配额限制
[06:59] 希望提高产量
[07:00] 那选择在战争期间退出
[07:02] 等于把报复风险降到最低
[07:04] 也避免沙国这个时间点
[07:05] 突然打价格战来惩罚
[07:07] 所以对于这样的一个角度来做观察
[07:10] 会发现阿联这么做的思维也是可以理解的
[07:13] 我们硬要讲
[07:14] 这一波真的受伤最重的
[07:16] 你说是伊朗吗
[07:17] 你说是中国吗
[07:18] 你说是台湾吗
[07:19] 你说南韩吗
[07:20] 那就是纳税人的钱
[07:21] 试图做些补贴
[07:23] 来因应全球的新供应链
[07:24] 阿联就真的很衰很无辜了
[07:27] 因为伊朗
[07:27] 你有没有发现
[07:28] 他就专门挑他设飞弹和无人机
[07:31] 可能就是因为
[07:33] 他实在是太受市场关注了
[07:35] 明明他土地更小
[07:36] 明明沙乌地阿拉伯才是老大明明美军基地才是重点但不论是射的频率还是射的区域专门都射到那种观光区给人家吓一跳的感觉
[07:47] 都感觉阿联被针对了
[07:49] 而且现在统计数据
[07:51] 这么小的一个土地
[07:52] 它所遭受的飞弹攻击反而是最多的
[07:55] 那你看现在它防势大受冲击
[07:57] 过去多年所打造的中东金融中心
[08:00] 还有航运的中转地位
[08:03] 战后能够恢复吗
[08:04] 那跟前几年的北韩很像
[08:06] 北韩跟日本有冲突
[08:08] 就专门打南韩
[08:09] 北韩跟美国有冲突
[08:10] 也打南韩
[08:10] 打错人了
[08:12] 我不是铁头工
[08:13] 他才是铁头工
[08:14] 所以我们现在看到的情况就是
[08:17] 各方势力都在为战后格局来做铺垫
[08:20] 中国市场
[08:21] 美国市场
[08:21] 中东都是如此
[08:22] 那美国最大压力是什么
[08:24] 当然就是
[08:25] 如果原油期货价格的回跌
[08:27] 是否能够导致原油汽油价格的回跌
[08:30] 如果细看
[08:31] 希特勒原油
[08:31] 即便最近压回到90块左右
[08:33] 其实还是处于在月线左右的高乖离区间
[08:36] 那即便现在即将达成了停火协议
[08:39] 可是呢
[08:40] 从汽油价格来看
[08:41] 美加仑大概仍然在4.5到5美元左右
[08:44] 加州地区甚至已经来到7甚至到8美元左右
[08:48] 在这样的一个压力底下
[08:49] 通膨已经向外进行传导
[08:51] 所以即便油价回跌
[08:53] 要导致终端价格跟着回跌
[08:55] 它可能都有一段时间
[08:56] 来不来得及在中期选举之前
[08:58] 看到那种很明显的物价下跌
[09:00] 只要多做一些观察
[09:01] 在今年从伊朗战争爆发以来
[09:04] 涨幅最大的是航空燃油
[09:05] 暴涨80%
[09:07] 所以全球航运物流运输成本都在快速提升
[09:10] 西德州原油上升58%
[09:12] 布兰特57%
[09:13] 欧洲天然气上涨52%
[09:15] 除了能源之外
[09:16] 能液和工业原料现在也产生了连锁反应
[09:20] 硫磺价格是大涨了68%
[09:22] 泡温全都变贵了
[09:23] 尿素上涨26%
[09:25] 肥料上涨25%
[09:26] 棕榈油煤炭铁矿石也同步走高
[09:29] 所以这就代表着
[09:31] 其实通膨压力已经向下进行传导了
[09:34] 这会使得联准会在今年的降息步调
[09:36] 遇到极大挑战
[09:37] 尤其像涨最多的是航空业
[09:39] 航空业就真的压力非常大了
[09:41] 全球航空公司
[09:42] 从4月份以来
[09:44] 已经削减了200万个
[09:46] 5月的航班座位
[09:47] 大量航班正式取消
[09:49] 改用更小或者更省油的机型
[09:51] 来维持运营
[09:52] 那如果细看
[09:53] 其实短短几个月
[09:55] 200万个座位
[09:56] 其中影响最大的
[09:57] 看起来是土耳其航空
[09:58] 这个有中转地位
[10:00] 中国航空还有汉莎航空减幅来得最大
[10:02] 欧亚线的航线是减班减最多的
[10:05] 与此同时
[10:06] 美国内部的汽车成本压力也在涌现
[10:09] 底特律三巨头恐怕会吞50亿美元的冲击
[10:12] 原因很简单
[10:13] 一方面当然是过去的关税压力
[10:15] 陆续体现
[10:16] 从铝到塑胶到涂料
[10:18] 这一次全面扩散以后
[10:20] 今年全球铝价还是涨了16%
[10:23] 单车成本可能会上升到1500美元
[10:25] 另外一方面
[10:26] 油价也推高了塑胶橡胶成本
[10:29] 再加上现在低润需求被AI需求给排挤
[10:32] 转向资料中心
[10:34] 所以车用晶片价格现在也在同步走高
[10:36] 快要有点2022年的样子了
[10:39] 不过也没有这么明显
[10:40] 但至少可以感觉到
[10:41] 各大压力都在陆续呈现当中
[10:43] 亚洲联航就更大了
[10:45] 这次不只是我们看到
[10:47] 精神航空破产以后
[10:48] 东南亚现在压力越来越大
[10:50] 你像是印尼诗航
[10:52] 菲律宾的苏武航空等联航
[10:54] 由于油价的暴涨
[10:56] 美元升值和票价难以完成转嫁的三重压力
[11:01] 现在可能要被迫进行全面价格调高
[11:04] 整个东南亚航线以后可能没有联航了
[11:07] 因为价格都被迫调高了
[11:08] 可能跟美国航空价格几乎差不多票价了
[11:12] 所以在这样效果底下
[11:14] 因为东南亚联航以前算是一种基础民生设施
[11:17] 像印尼像菲律宾
[11:18] 那群岛国家他一定要靠飞机
[11:22] 不像高铁台湾就可以到
[11:23] 那这种群岛国家
[11:25] 连航就是一个重要的交通命脉
[11:27] 可是现在也被迫受到
[11:29] 原油汽油价格的影响
[11:30] 所以不管怎么说
[11:31] 接下来要观察的时间点
[11:33] 就是市场的套利行为是否还在存在
[11:35] 第二就是原油价格的回跌幅度会有多快
[11:38] 第三当然就是川习会的谈判
[11:40] 有没有利于本次能源价格的快速回跌
[11:43] 我们过去有提过
[11:44] 这一次回顾过去两年
[11:46] 市场就出现了一个很有趣的迹象
[11:49] 一边从关税爆发
[11:51] 地缘政治升温
[11:52] 从委内瑞拉到荷姆兹海峡
[11:54] 各种冲突不断
[11:55] 可是最后股市创高了
[11:56] 那原因很简单
[11:57] 美国主导的秩序变得不稳定
[11:59] 战争制裁
[12:01] 经济民族主义
[12:02] 切割市场
[12:02] 让商品不再自由流通
[12:04] 价格自然出现了裂缝
[12:06] 最明显的例子就是大宗资产
[12:07] 几乎一样的原油
[12:09] 现在在不同地区
[12:10] 有卖97块的
[12:11] 现货价有现在飙到150的
[12:13] 你看那个非洲原油
[12:14] 或者中东现货原油
[12:16] 飙到130 140都有了
[12:18] 那即便是黄金
[12:19] 完全同质的资产
[12:20] 也在不同地区市场脱钩
[12:22] 这就变成市场
[12:23] 即便是同一个产品
[12:25] 它也是碎片化的
[12:26] 当全球有一半的贸易
[12:28] 和资本流通
[12:29] 它都经过高风险区域
[12:31] 有的经过台湾海峡
[12:32] 有的经过波罗的海
[12:33] 有的经过红海
[12:34] 有的经过荷姆斯海峡
[12:36] 在这种环境底下
[12:37] 第一个直接受益的
[12:38] 就是套利者
[12:39] 这价格差距过大
[12:41] 交易员 能源商 投资银行
[12:43] 都有空间去赚这些不一致的钱
[12:45] 所以股市创高是创高
[12:47] 但是赚最多的
[12:48] 反而是交易部门
[12:49] 收手续费的
[12:51] 第二个通膨
[12:52] 过去全球化时代
[12:53] 各国的通膨趋于一致
[12:54] 当价格开始分裂
[12:56] 不同国家的物价走势就会分歧
[12:58] 过去五年
[12:59] 美国物价是上升25%
[13:00] 俄罗斯是51%
[13:02] 过去五年中国物价上升多少
[13:03] 4%
[13:05] 那这种差距如果持续扩大
[13:06] 最后就反映在利率和汇率层面
[13:08] 那第三就是机会
[13:10] 就是创新
[13:10] 那市场被切割的时候
[13:12] 企业就有动机去绕过障碍
[13:14] 发展新的技术和商业模式
[13:16] 你像以前中东危机
[13:18] 1970年代爆发的时候
[13:19] 它催生了深海专探
[13:21] 跨洲的管线
[13:22] 那一样
[13:23] 现在全球发达市场
[13:24] 台湾日本韩国欧洲美国
[13:26] 全部都在大缺工
[13:27] 大缺工的结果是什么
[13:29] 发展AI
[13:30] 发展机器人
[13:31] 所以这个是我们看到
[13:32] 全球一个新的经济的逻辑
[13:34] 它又往好的方向走
[13:35] 又往坏的方向走
[13:36] 那我们的态度
[13:37] 大家很清楚
[13:38] 科技乐观论者
[13:40] 所有的危机
[13:41] 都是为了新的技术来做铺垫
[13:43] 这是我们的利润
[13:44] 好回过头来看一下川喜会
[13:46] 川喜会的表现
[13:47] 因为现在美军运输机
[13:48] 现身北京
[13:49] 然后川普也实质表态
[13:51] 下礼拜就会访问
[13:52] 由于大量的C47
[13:53] 应该讲C17运输机
[13:55] 在北京首都机场降落以后
[13:58] 先前物资已经逐步到达
[14:00] 当然大家相信
[14:01] 在5月15号之前
[14:02] 川普访问中国的几率
[14:04] 是大幅升高
[14:05] 后续要观察的几大效果是
[14:06] 中方也在进行谈判筹码的释放
[14:09] 以前是美伊谈判
[14:10] 双方一直在经济角力
[14:11] 中方在本周正式宣布
[14:14] 要求国内企业不要理会
[14:16] 美国对中国地方炼油厂的制裁
[14:18] 这些锁定的对象
[14:20] 主要是在山东一带
[14:21] 我们叫做茶壶炼油厂
[14:23] 因为他们是进口伊朗的原油
[14:25] 然后遭到美国冻结资产
[14:27] 限制交易
[14:27] 中国商务部反击
[14:29] 叫这些厂商不要离美国
[14:31] 而且这类单边制裁
[14:32] 不具国际法的基础
[14:34] 等同于公开否认
[14:35] 美国的长臂管辖
[14:37] 那当然这就是能源战的延伸
[14:39] 某种程度
[14:40] 也是为接下来的川习会来进行定调
[14:43] 也不是说不能够退让
[14:44] 也不是说我们说一定要买一两的原油
[14:48] 可是呢
[14:48] 我先把一些经济的谈判筹码给丢出来
[14:51] 来进行会前会
[14:53] 等川普到了之后
[14:54] 我们就看是否能够握手了
[14:56] 那你说那这么大的一个目的
[14:58] 对于川普而言
[15:00] 不是去年已经谈妥了黄豆协议吗
[15:02] 这一次川习会
[15:03] 川普还希望达成什么协议呢
[15:05] 难道是谈台湾议题吗
[15:07] 台湾议题八成就是大概是那样子吧
[15:09] 那顶多呢
[15:10] 在不管是军购上
[15:11] 不管是在对台湾的议题表赛上
[15:14] 有一些更动
[15:14] 可是我们也知道
[15:15] 不会有太大改变
[15:16] 那川普此行
[15:17] 最大目的是什么呢
[15:18] 虽然去年已经签了黄豆协议但我今年认为还是农业产品协议有可能是其他农产品有可能是原油有可能是天然气但是一定是采购协议因为这是为了中期选举而铺垫
[15:30] 你说黄豆去年不是已经谈了吗
[15:32] 那个就像九品芝麻官
[15:34] 那个抱头说的
[15:35] 两个怎么够
[15:37] 我要20个
[15:38] 川普至少要让你买20个订单
[15:40] 才买两个你就要走了
[15:42] 所以回过头说
[15:43] 这第一件事情
[15:44] 第一件事情
[15:45] 是为去年已经达成的协议
[15:47] 进行延长的沟通
[15:49] 我们知道这段时间
[15:50] 川普已经采取了一系列的
[15:52] 国内的稀土放松法案
[15:55] 来尝试的建立国防供应链
[15:57] 全球的稀土战仍然在持续当中
[15:59] 现在中国巴西越南俄罗斯
[16:01] 都有大量的除量
[16:02] 但是关键是有没有矿
[16:04] 还是说有没有能够提炼的能力
[16:07] 中国现在主要就是掌握了
[16:09] 大部分的稀土的精炼能力
[16:10] 美国虽然这几个月
[16:12] 大幅度的采取动作
[16:14] 可是距离真实打造
[16:15] 美国本土的稀土供应链
[16:17] 看起来大概还有两年到三年左右的时间
[16:20] 同时间中国和俄罗斯这一次的加速靠拢
[16:23] 能源和地缘政治的重组
[16:25] 风险升温底下
[16:26] 也看得出来双方的合作规模陆续在提升
[16:30] 2020年已经攀升到2300亿
[16:32] 25年还是可以维持在2000亿以上
[16:35] 那再来是北极谈判问题
[16:37] 因为北极航线现在压力越来越大
[16:39] 在波罗的海
[16:40] 在北海的部分
[16:41] 俄方跟欧洲北约军舰仍然在对峙当中
[16:46] 那过去一年中国船只也多次的实际直接跑了北极航线
[16:50] 从亚洲一路到俄罗斯北方航道到欧洲啊
[16:54] 测试一条能够替代苏伊士运河的战略通道
[16:57] 那美方呢肯定也在这个议题当中啊有进一步的谈话
[17:00] 所以某种程度而言啊
[17:02] 本次的川习会会面啊
[17:04] 他基本上一方面啊
[17:05] 是针对去年的采购协议来以此而扩大
[17:08] 那第二大方面当然就是根据不同的战略定位啊
[17:12] 来跟中国尝试沟通
[17:14] 不要引起正面的冲突
[17:15] 但是各自进合
[17:16] 更是打造自己的供应链
[17:18] 看起来是更类似于
[17:20] 这一次我们讲说川习会的话题
[17:23] 那当然了
[17:23] 这是美中之间的关系
[17:25] 那现在很有趣的一点就是
[17:27] 大家也观察到了
[17:28] 那美中关系的和缓程度
[17:30] 似乎远远比美国跟欧洲
[17:32] 美国跟英国
[17:33] 美国跟法国
[17:35] 还要来得更为和缓
[17:36] 我们举例来说
[17:37] 美英关系最近就很不好
[17:38] 你像美英之间
[17:40] 目前的贸易关系
[17:41] 表面上之前
[17:42] 维斯基关税浪部
[17:43] 看似有进展
[17:44] 实质关系现在看起来仍然在恶化
[17:47] 英国对于美国的出口
[17:48] 在关税影响下明显下滑
[17:50] 目前仍比过去水准低了15%
[17:53] 那川普呢
[17:54] 过去一段时间也不断地去怪英国
[17:56] 也不愿意派军舰
[17:57] 也不愿意做实质的盟友表态
[18:00] 明明我知道你跟欧洲人就不是一国的
[18:02] 结果你还不支持我
[18:04] 那这场关键很冲突
[18:05] 现在美国和英国的财政部长
[18:07] 也面临了长达两周的正面冲突
[18:10] 西方阵营内部对于伊朗战事的看法
[18:13] 一直以来都是很分歧的
[18:14] 英国财政大臣李夫斯
[18:16] 他直接质疑这场战争目标不清
[18:18] 没有让世界更加安全
[18:20] 贝森特很明显表态
[18:21] 战争会提高安全性
[18:23] 如果核弹落在伦敦
[18:25] 来合理化冲突成本
[18:27] 那双方该怎么办
[18:28] 所以背后的原因很明显
[18:30] 英国对于经济能源的敏感程度
[18:33] 让整体我们看到
[18:34] 现在执政党压力极大
[18:36] 事实上如果我们细看
[18:37] 在英国内部层面
[18:39] 这次通膨危机
[18:40] 已经导致长期由工党和保守党
[18:43] 主导的英国政治
[18:44] 出现了结构性的冲动
[18:45] 英国现在两大党
[18:47] 只剩下三分之一的支持度
[18:50] 你能够想象
[18:51] 台湾现在是三党
[18:53] 不过你就当成两党好了
[18:54] 你能够想象
[18:55] 蓝绿两党
[18:56] 加起来民调只有30%
[18:58] 这个就是英国的现况
[19:00] 以前蓝绿两党
[19:02] 或者英国的工党和保守党
[19:04] 两个加起来
[19:04] 就70%到80%的支持率了
[19:06] 现在两个党加起来只有30%
[19:09] 而其他五个政党
[19:11] 平均大概12到26之间
[19:13] 其他像自由民主党
[19:14] 英国改革党
[19:15] 英国现在真的变成多党制了
[19:17] 七党时代
[19:19] 原因是什么
[19:19] 就是这一次通膨
[19:20] 对于原本执政党
[19:23] 伤害实在太大了
[19:24] 那当然双方的冲突
[19:25] 就在持续升温
[19:26] 那另外一方面是
[19:28] 美国跟北约
[19:29] 跟欧盟之间的关系
[19:30] 美军这一次准备要进行
[19:33] 驻德美军的规模撤离
[19:35] 而且是不少于5000人
[19:38] 而且会大幅的缩减
[19:39] 这是川普对于欧洲盟友不满的一个具体表示
[19:43] 整体而言主要的规模
[19:46] 因为现在驻德美军是美国在欧洲和北非
[19:49] 和中东投射军力的最重要的枢纽
[19:52] 军队最多现在就是集中在德国了
[19:54] 整体而言有三万六千人
[19:56] 第二名意大利一万两千人
[19:58] 所以第一名是第二名的接近有三倍左右
[20:00] 那如此大规模的驻军的撤离
[20:03] 当然会让欧洲担心
[20:05] 就美国可能会取消原本部署在德国的长城火力部队
[20:09] 包括战斧巡运飞弹
[20:10] 或者暗音及音速武器等等
[20:12] 那大家会担心
[20:14] 一旦撤离以后
[20:15] 对于俄罗斯的组合能力
[20:16] 就会实质下滑
[20:17] 不过呢
[20:18] 讲是这样讲
[20:19] 梅尔兹的态度
[20:20] 反而表现得比较坚决
[20:21] 坚持要稳住川普
[20:23] 坚持要跟川普
[20:25] 达成某种可控的关系
[20:26] 达成低调互动的战略冷浪
[20:29] 基本上过去一段时间
[20:31] 他的表态还算是比较和缓一点
[20:34] 但是最近
[20:35] 因为持续性的公开发言
[20:37] 批评伊朗让美国难堪
[20:39] 已经踩到了川普的敏感神经
[20:42] 所以现在美德关系表现也不是特别好
[20:45] 德国现在只好厚着脸皮
[20:47] 一方面跟美方采取新一波的这种要求
[20:50] 希望能够减缓撤离的速度
[20:52] 让欧洲军队填补速度能够跟上
[20:54] 另外一方面
[20:55] 要展现目前德意志军队
[20:57] 试图在欧洲重返军事霸权的一个荣耀性
[21:02] 所以不管怎么说
[21:03] 我们回过头看
[21:04] 川普的治理方式
[21:05] 它本质上的确是符合典型的威权逻辑
[21:09] 行政权不断扩张
[21:11] 因为司法或者制度被削减
[21:13] 国家机器会服务某种
[21:15] 个人政治理念的体现
[21:17] 在这样效果底下
[21:19] 对内的部分
[21:20] 感觉好像有这样的一个痕迹
[21:22] 可是在对外的部分
[21:24] 你也可以某种程度想象成
[21:26] 这个是美国人民希望的
[21:27] 我为什么要负担这么多的军费
[21:29] 我为什么要负担这么多的对外关系
[21:31] 我应该就是好好的
[21:33] 对美国的农民
[21:34] 对于美国的企业主负责
[21:36] 帮美国人获取更多订单就好
[21:38] 为什么要去帮欧洲人呢
[21:39] 所以换个角度来看
[21:41] 川普也算是一种善良的坏人
[21:43] 从他的政策出发点
[21:45] 确实是围绕着
[21:46] 美国最直接最现实的问题
[21:48] 有产业外遗的问题
[21:49] 有内需疲弱
[21:50] 就业压力
[21:51] 全球化带来的不公平竞争
[21:53] 他的解法
[21:54] 有时候看的确蛮粗糙的
[21:56] 甚至有点争议
[21:56] 用关税占逼供应链回流
[21:59] 用减税来刺激消费
[22:00] 透过打击非法移民
[22:01] 来释放本国的就业机会
[22:03] 但至少他点出问题
[22:04] 用自己的方式去处理
[22:06] 对外的部分
[22:07] 他就刻意扮坏人
[22:08] 要求欧洲提高防卫的负担
[22:13] 施压中国
[22:14] 减少倾销或者产能输出
[22:16] 那本质化你都可以感觉得出来
[22:18] 这对内的部分
[22:19] 他就是一个
[22:20] 对你一切好的人
[22:22] 虽然他的方法不一定正确
[22:24] 但是就是对内尽可能的
[22:26] 做一个好人
[22:27] 对外就做一个坏人
[22:28] 那首歌怎么唱的
[22:29] 川普就是
[22:36] 就是对外对内
[22:39] 我们要看民意的体现
[22:40] 而对内现在最重要的就是
[22:42] 通膨因子的下滑
[22:43] 这是最重要的
[22:45] 下一句怎么唱
[22:46] 川普也是不咽不久
[22:51] 川普就是龙流连
[22:53] 所以你可以看得出来
[22:54] 一系列的动作
[22:56] 本质上都是未来
[22:57] 在中期选举以前铺垫
[22:59] 对外它只能强硬对内它只能获取更多订单好我们看美国股市聊了这么多重点是涨道泳指数上涨612点1.20%是在49910点标普上涨105点
[23:11] 1.46%
[23:12] 是在7365点
[23:13] 纳指上涨512点
[23:15] 2.03%
[23:15] 是在25838点
[23:18] 这个废办
[23:19] 492点
[23:20] 4.48%
[23:22] 是在11472点
[23:25] 废办是吃威尔冈
[23:26] 这可以从4月份以来
[23:28] 涨幅这么惊人
[23:30] 涨了已经54%了
[23:32] 在昨天不管是AND之后盘后股价的带动
[23:36] 昨天盘中股价大涨18.6%
[23:38] 美超为大涨24%
[23:40] ARM昨天大涨13%
[23:42] 整体而言
[23:43] 最近费办成分补所公布的财报
[23:47] 表现都远远优于预期
[23:49] 那当然行情走到现在这个位阶
[23:52] 对于今天台北股市的回补力度
[23:54] 肯定也会有适度的推波助澜效果
[23:57] 今天连发科确定要进入五分钟分盘处置
[24:01] 发科今天要拍金玉风云
[24:04] 所以市场还是有点疯狂的
[24:06] 现在你不要讲美股
[24:07] 台股散户更是
[24:09] 左青龙右白虎
[24:10] 老牛在腰间
[24:12] 龙头在胸口
[24:13] 人挡杀人
[24:14] 佛挡杀佛
[24:15] 散户像这样
[24:16] 谁都无法阻拦我
[24:18] 银要冲
[24:19] 书要说
[24:19] 跟他拼了
[24:20] 那个说是说他的说
[24:22] 所以我们当然不许承认
[24:24] 这种涨幅
[24:25] 因为一个月涨54%
[24:27] 其实不能够视为常态
[24:28] 大跌肯定是要接的
[24:30] 但是大涨
[24:31] 第一当然不要乱动
[24:32] 但是要不要趁机放大杠杆
[24:34] 我个人比较偏向在景气调整期
[24:38] 在情绪乖离修正的时候
[24:40] 你再去做质押或者放大杠杆
[24:42] 这样子维持率才能够维持得住
[24:44] 市场这么疯狂
[24:46] 你要能够绑住手
[24:48] 不要想太多
[24:50] 也是一种挑战
[24:51] 尤其这么疯狂的时候
[24:52] 手可以先绑着
[24:53] 我觉得等下一次情绪回调
[24:54] 上一次也才三月份而已
[24:56] 忍一下
[24:56] 那句话是怎么讲的
[24:58] 眼睛乱看是风流
[25:00] 手乱摸就是下流
[25:02] 手乱下单就是下流
[25:03] 我们不要做下流的投资人
[25:05] 很多人投资就觉得
[25:07] 最重要的事情
[25:08] 就是找到会涨的股票
[25:09] 其实最难的是
