[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那是否代表着巨头有开始获得新一轮资金的机会
[05:42] 最后都是要替股东来做
[05:43] 负责
[05:44] 那么如果你以前花钱
[05:46] AI有动机
[05:47] 那股价就继续上涨
[05:48] 就好像去年10月份那样
[05:50] 随便签个合约
[05:51] 股价就上涨
[05:52] 那你多签一点合约
[05:53] 现在告诉我
[05:54] 我好像没多签一个合约
[05:56] 市场就会评估
[05:57] 我的现金流耐受能力
[05:59] 那我还要如此高强度的
[06:01] 扩张资本支出吗
[06:02] 这就形成市场上的挑战
[06:03] 我们举例来说
[06:04] 在26年的资本支出年增幅
[06:06] 大概是接近80到95%左右
[06:09] 到27年
[06:10] 预估会稍微下滑到40%
[06:12] 还在年增
[06:13] 只是年增趋缓
[06:14] 那28年才会有机会进入到负值
[06:17] 不过28年也差不多是
[06:19] 本轮AI建制潮的一个临界点
[06:21] 当时有很多在去年盖的AI资料中心
[06:25] 27、28年就会陆续完工
[06:27] 到时候就会来看
[06:28] 是否会有第一波算力过剩的问题
[06:30] 不过至少看得出来
[06:31] 市场上现在越来越谨慎了
[06:33] 导致部分巨头
[06:35] 迟迟受不到显速回补
[06:37] 少数像Meta
[06:38] 它可能是反而是算力的出售
[06:41] 获得市场上进一步的青睐
[06:44] 我们看美股市四大指数的表现
[06:46] 道琼指数小跌是3.0.02%
[06:49] 收在52305点
[06:50] 标普下跌16.02%
[06:52] 收在7483点
[06:54] 纳指下跌173.0.6%
[06:56] 收在26040点
[06:57] 大股票其实昨天都还好
[06:59] 可是我们看费办
[07:00] 费办昨天是重挫了6.27%
[07:03] 下跌893点
[07:05] 收在13353点
[07:07] 昨天台积电ADR是下挫了6.9%
[07:10] 待会看一下开盘的情况
[07:12] 那我们当然知道
[07:13] 这也说明了市场的波动性
[07:15] 在涨幅高的股票
[07:17] 其实波动性会显著的加大
[07:19] 它的耐受能力要加大
[07:20] 尤其是台股投资人
[07:21] 台股投资人几乎跟费办联动
[07:24] 费办涨多少
[07:25] 我们涨幅也不遑多让
[07:26] 韩国股市也是
[07:27] 所以正常来讲
[07:28] 我们的波动会远远大于
[07:30] 美股的大盘型的投资者
[07:31] 因为台股跟费办联系程度相当高
[07:34] 尤其你看韩国股市
[07:36] 到目前为止
[07:37] 全球最大的SK海力是杠杆型ETF
[07:40] 已经开始反过来影响股价了
[07:43] 我们举例来说
[07:44] 根据彭博报道
[07:45] 香港上市的SK海力
[07:47] 是两倍杠杆ETF
[07:48] 它成立时间不到一年
[07:51] 它现在的规模是130亿美元
[07:53] 这是全球最大的单一个股杠杆ETF
[07:57] 那这一档ETF
[07:58] 在市场波动交易剧烈的时候
[08:00] 该ETF的相关产品
[08:02] 最高可以占SK海力
[08:03] 是单日成交量的三分之二
[08:06] 这就变成了杠杆ETF
[08:09] 反过来开始影响到各国的股价
[08:11] 那就变成每天收盘前
[08:13] 都必须要依照股价涨跌
[08:15] 来进行机械式的加码或者减码
[08:17] 导致市场出现涨了就买
[08:19] 跌了就卖的这种正回馈的循环
[08:22] 开始由ETF回过头来影响股价
[08:25] 而并不是单纯去追踪股价我们以前买ETF就是我要追踪你现在不一样现在是由于我的规模体量太大我开始影响原本的股价因为SK海力士又占目前韩国股市权重接近28%
[08:39] 再加上三星的29%
[08:41] 两家公司已经接近六成了
[08:43] 那使得SK海力士的股价波动
[08:45] 不仅会牵连韩国股市
[08:46] 它也可能会放大全球AI概念股的震荡
[08:49] 不过这也说明
[08:51] 因为体量这么大
[08:52] 有这么多小白进去
[08:55] 其实他们也有上课
[08:56] 还要押保证金
[08:57] 在韩国股市当中
[08:58] 以前大家常说年轻人爱冒险
[09:00] 但现在很多年轻人已经想到
[09:03] 已经不是慢慢累积
[09:04] 慢慢致富的年代
[09:06] 怕错过的年代
[09:07] 从AI到币圈到杠杆ETF选择权
[09:11] 的确这两年是越来越多年轻人
[09:13] 希望用快一点的速度来放大杠杆
[09:16] 视频媒体每天都是一页翻倍
[09:19] 前两天看了PTT半年报
[09:21] 大家会秀出自己的对账单
[09:23] 在这半年的整体绩效
[09:25] 那太多这种暴涨
[09:27] 低于一亿都不算赚了
[09:29] 对不对
[09:29] 所以你看到
[09:30] 现在这样的一个市场概况
[09:31] 就出现了一个新的循环
[09:33] 越来越集中在热门标题
[09:35] 透过杠杆型ETF
[09:37] 延伸性商品或者量化交易
[09:38] 把涨势推得更高
[09:40] 把跌势放得更快
[09:41] 过去是股价带动ETF
[09:43] 现在是ETF反过来影响股价的现象
[09:46] 所以我们讲说时代真的变了
[09:47] 不只是投资工具变多
[09:49] 整个市场的节奏情绪都被这一代
[09:52] 敢冲敢杠杠
[09:54] 怕错过的资金重新的定义
[09:56] 时代真的不一样了
[09:58] 这些网络上不是才看吗
[09:59] 讲说一个爸爸
[10:00] 带18岁女儿去夜店
[10:02] 使劲让她喝
[10:04] 她想喝多少就喝多少
[10:05] 好第二天女儿醒来
[10:07] 发现床头有一杯蜂蜜水
[10:09] 还有一张纸条
[10:10] 那纸条上面写
[10:11] 你记住啊
[10:13] 你昨天只喝了七杯
[10:15] 这是你的极限
[10:16] 爸爸不能陪你一辈子
[10:19] 以后做事要有分寸
[10:21] 好感动好感动
[10:22] 后来有一个爸爸就看到了
[10:24] 他也想要试一下
[10:25] 他就带自己女儿从KTV到酒吧
[10:27] 结果他自己吐了四次
[10:30] 女儿还是没有醉
[10:31] 所以你知道这种世代的变化
[10:34] 年轻人有时候
[10:36] 其实能力风险承受能力
[10:38] 铺险能力
[10:39] 还有对于金融产品的了解
[10:40] 他可能已经陆续超越上一代的
[10:43] 也不代表他只是赌徒
[10:45] 他可能对于金融产品的了解
[10:47] 更让他愿意放大杠杆
[10:49] 对第二天女儿留下纸条
[10:51] 爸爸吐四次差不多是你的极限
[10:54] 我们刚才聊到的行情走到这一步
[10:57] 就是由于其实现在的上涨的离散程度还在加大
[11:01] 所以大家体感温度越来越多人感觉
[11:04] 相对剥夺感越来越大
[11:06] 我怎么没赚到
[11:07] 我怎么没赚到
[11:08] 或者没有赚到50%60%
[11:11] 感觉我好像大赔一样
[11:12] 心里好难过
[11:13] 我们看在昨天比特币又跌破了长期支撑
[11:16] 这一次不仅是正式跌破200日均线
[11:19] 也跌破了200周均线
[11:21] 正在回撤23年以来的重要上升趋势线
[11:24] 同时逼近21年到24年关键的心理支撑未结
[11:29] 其实整体跌幅
[11:30] 虽然还是小于21年到22年熊市
[11:33] 当时是接近77%的修正
[11:35] 不过目前市场评估
[11:38] 比特币再次跌回5万美元的几率越来越高
[11:41] 而周线RSI也降到31
[11:43] 进入历史的相对的超卖区
[11:45] 最为显著的就是
[11:47] 你把它拿来跟纳斯达克指数
[11:49] 来做区别
[11:50] 你会发现过去基本上
[11:52] 在25年以前都是属于高度联动的
[11:55] 可是25年自从川普就任以后
[11:58] 基本上就再也没有联动过了
[12:00] 这说明了市场流动性
[12:01] 它的确还是不足以让所有资产
[12:04] 进入到全面性的框槽
[12:05] 现在市场上还是精明的选择
[12:08] 立即有回馈的这些企业
[12:10] 虽然加密货币跌到崩溃
[12:12] 不过川普的加密货币
[12:14] 在昨天正式公布
[12:15] 收入创下历史新高了
[12:17] 首次超越房地产成为最大财源
[12:20] 这是美国政府最新所公布的财务揭露文件
[12:22] 川普在25年来
[12:24] 加密货币和民营币的相关收入
[12:26] 已经达到14亿
[12:28] 这个比他的海湖庄园还要来得多
[12:30] 海湖庄园也不过赚7700万
[12:33] 高尔夫球俱乐部是2500万
[12:35] 这两个加起来
[12:36] 都比加密货币的零头还要来得低
[12:39] 所以再再说明了
[12:41] 你说为什么现在费班赚这么多钱
[12:42] 这与其去挖金矿
[12:45] 不如去卖产值
[12:47] 那一样嘛
[12:47] 与其去交易加密货币
[12:50] 不如去发行自己的币
[12:51] 好像赚得更多
[12:52] 当然我们回过头说
[12:54] 现在我们就从PNI角度
[12:56] 来看待美国台湾和中国市场
[12:58] 整体的经济概况
[13:00] 能不能拖住目前的形势
[13:02] 让没有轮动到的资产
[13:03] 未来有轮动的空间呢
[13:05] 美国制造业最近公布了
[13:07] 整体PNI数据
[13:08] 在6月份是55.1下降到53.9
[13:12] ISM PNI是从54降到53.3
[13:15] 虽然比预期来的低
[13:16] 不过它已经连续六个月都在扩张周期了
[13:19] 说明其实美国的新订单
[13:21] 还相对是比较稳健的
[13:23] 主要这一次是原物料通膨的压力
[13:26] 明显降温所造成的价格指数稍微下滑
[13:29] ISN的原物料价格指数
[13:31] 单月是大跌了9.1来到73
[13:34] 这是一件好事
[13:35] 至少压力没这么大了
[13:36] 如果是从美国标普制造业片来
[13:39] 55.1则是上升到了55.7
[13:42] 不仅是高于市场预期的54.6
[13:44] 而且创下49个月以来的新高
[13:46] 所以美国其实现在
[13:47] 整体内部的制造业
[13:49] 从数据来看表现并不错
[13:51] 当然了
[13:52] 那背后是依赖AI和负债
[13:54] 我们过去看到
[13:55] 美国经济很长一段时间
[13:57] 是一个去杠杆化的时间
[13:59] 从08年以后
[14:00] 不过现在推动力有开始放大
[14:02] 一个就是巨头
[14:03] 为了AI的资料中心
[14:04] 开始进行大量的算力建设
[14:07] 和大举发展
[14:08] 那另外一方面
[14:09] 我们看灰色线
[14:10] 就那个点点
[14:11] 你会发现市场上
[14:13] 在过去的个人储蓄率
[14:17] 还有我们看到的一些移转性支出
[14:20] 这是开始出现了部分的松动
[14:22] 这说明着
[14:23] 现在的储蓄率降到2.6%
[14:25] 意味着其实美国的消费
[14:27] 即便还保持在一个相对正值
[14:29] 都是属于提前投资财富
[14:32] 那可以合理的预估
[14:34] 27年28年
[14:35] 除非是财富换绝效应
[14:37] 除非股市涨更多
[14:38] 那就会有更进一步的消费预期
[14:40] 那如果股市就不涨了
[14:42] 就维持这样的一个区间
[14:43] 那最后就会让市场的消费
[14:45] 占整体经济的权重越来越弱
[14:47] 那市场你到底消不消费
[14:50] 其实对于经济的影响就越来越小了
[14:51] 那对台湾就是如此
[14:52] 台湾现在的经济成长率
[14:54] 快要接近一半都是来自于出口的成长
[14:56] 所以它会造成一个现象
[14:58] 假设出口还是这么好
[14:59] 那这段消费崩溃
[15:01] 你可能也察觉不出来
[15:02] 因为数据上呈现不出来
[15:03] 至少从总体数据
[15:05] 那当然了
[15:06] 某种程度而言
[15:07] 就意味着内部的资金轮替
[15:09] 可以在未来AI拖动经济的情况底下
[15:13] 在AI系统当中持续的做打转
[15:15] 我们到现在为止
[15:17] 虽然大家对于算力的这种投资
[15:20] 稍微有点担忧预期
[15:22] 可是基本上没有一家敢停止
[15:24] 目前的资料中心的建设计划
[15:26] 马斯克XAI正在为美国田纳西
[15:29] 曼菲斯的AI资料中心
[15:31] 周边居民试行资料中心红利
[15:34] 什么意思呢
[15:35] 就是SpaceX宣布
[15:36] 当地在资料中心旁边的居民
[15:39] 可以申办Starlink
[15:41] 免除硬体设备的费用
[15:43] 而且所有的新用户
[15:45] 直接享五折优惠
[15:46] 原因就是因为AI资料中心很耗电
[15:48] 那引发一些争议
[15:50] 那我就用实际的回馈
[15:51] 来提升地方的支持度
[15:53] 降低未来政治和监管主力
[15:55] 所以大家还是急着想要盖
[15:57] 另外一个是Meta
[15:58] Meta在昨天正式宣布
[16:00] 成立云端运算业务
[16:02] 把自家多余的AI算力对外储租
[16:04] 很多人说
[16:05] 那是不是代表着
[16:06] Meta有多余的AI算力
[16:08] 应该不是算力不够
[16:09] 基本上还是来自于
[16:11] 由于当前内部的调整
[16:13] 大家知道
[16:14] 只要适度的出售一些算力
[16:16] 就能够获得市场的正回归和评价
[16:19] 所以我觉得并不代表
[16:20] Meta现在算力过多了
[16:22] 只是用更好的方式
[16:24] 向外界来宣告
[16:26] 我们也切入到
[16:27] 接下来类似AWS
[16:29] 或者Crowave等云端业者
[16:31] 做的一些业务
[16:32] 消息公布之后
[16:33] 反而我们看到
[16:35] 市场第一方面担忧
[16:36] 可能会不会记忆体
[16:38] AI晶片
[16:39] 可能已经供给超过需求了
[16:42] 这个我认为是过度担忧
[16:43] 但是至少对于Meta本身而言
[16:45] 它是一种另类的
[16:48] 资本回馈的一个开始
[16:50] 必须承认
[16:51] 其实早在5月份
[16:52] 当时公司就在评估
[16:54] AI资料中心建设
[16:55] 如果稍微比内部建设
[16:58] 预期来得快一点就可以考虑出售闲置的算力就好像当时SpaceX把部分的算力出售给Enthropy出售给Google是一样的意思这给投资品做一些参考了
[17:08] 当然我们回过头来说
[17:10] 现在市场上更为聚焦的
[17:12] 那就是如果当前费办终于告一段落
[17:16] 那回来硬体股以后
[17:19] 回来软体股以后
[17:20] 那台股投资人几乎都是硬体股投资
[17:23] 台股投资人是否就有
[17:25] 逢低回调的一个布局机会呢
[17:27] 台股投资人都不是担忧行情普遍
[17:29] 都是担忧自己买不到
[17:31] 这很明显
[17:32] 我们看这一次台湾制造业的PNI
[17:34] 那比美国还长
[17:35] 美国是六个月扩张
[17:37] 台湾已经九个月扩张了
[17:39] 电子业维持高档
[17:40] 供应链压力完全没有解决
[17:42] 这一次六月份的PNI
[17:43] 是从61.4稍微回到60.7
[17:46] 但这远远高于50的龙虎线
[17:49] 成长动能稍微放缓
[17:51] 是交货时间和存货的扩张速度
[17:53] 下降所影响的
[17:55] 六大产业的PNI
[17:56] 目前是全数维持在扩张
[17:58] 所以我们几乎可以看到
[17:59] 现在台湾是迎来全面性繁荣
[18:02] 也就是传产其实也后续跟上了
[18:04] 那AI还在向前冲
[18:05] 那电子消费产品
[18:07] 甚至根本就不足以影响到
[18:09] 台湾基本上的变化
[18:10] 我们也清楚知道
[18:11] 台湾当前的经济成长率
[18:13] 仍然在二季度到三季度
[18:15] 有预期调高的空间
[18:16] 应该今年达标双位数的成长
[18:19] 不会有太大的问题
[18:20] 那重点在于
[18:21] 各大产业开始带动一系列的缺货潮
[18:24] 从现在最上以
[18:26] 台湾的半导体特化材料
[18:28] 也迎来了黄金爆发期
[18:30] 这是台积电要推两奈米的先进制程
[18:32] 提高了资本支出
[18:33] 在供应链安全的考量底下
[18:35] 已经开始扶持台湾本土的
[18:38] 特用化学材料供应商
[18:39] 由于先进晶片的架构
[18:42] 变得比较复杂
[18:43] 所以每一片的晶圆都需要
[18:44] 生产步骤大幅增加
[18:46] 直接让光组液和特殊气体
[18:48] 研磨液或者清洗剂的耗材
[18:50] 使用量跟着翻倍
[18:52] 以前我们都是很依赖日本
[18:54] 现在开始扶植内部的特用化学厂商
[18:57] 所以我们讲说
[18:58] 台积电国家队的概念就是这样子
[19:00] 也许我们除了台积电以外
[19:02] 其他也没有到这么强
[19:03] 可是藉由台积电的
[19:05] 自主供应链的帮助底下
[19:07] 我们就有机会走出去
[19:08] 之前的黄芳电
[19:09] 还有不管台大电的合作
[19:11] 都是如此
[19:12] 另外一个就是积电世雄
[19:14] 我们看到AI产业
[19:15] 带领着基础建设时代
[19:17] 持续的暴增
[19:18] 现在我们看到重电产业
[19:20] 当然那股价之前涨过一轮
[19:22] 不管是从士林中心
[19:25] 亚历电机花城电机
[19:26] 电机世雄
[19:28] 机电世雄
[19:28] 现在订单能见度
[19:29] 已经逐步排到29年了
[19:31] 直到资料中心建完之前
[19:34] 订单应该都已经全面暴增
[19:36] 再来看一下群创友达
[19:38] 这以前我们常讲两兆双星
[19:41] 群创友达这一次
[19:42] 终于挥别了面板的寒冬
[19:44] AI和先进封装
[19:45] 反而成为了翻身的关键
[19:47] 现在积极跨入到先进封装
[19:49] 车用电子和光通讯以后
[19:51] 应该就有机会彻底的摆脱过去的景气循环
[19:54] 最近它不只是跟台积电共同开发玻璃载板
[19:58] 也切入AI晶片的先进封装供应链
[20:01] 友达是布局Micro LED CPU
[20:04] 低轨卫星还有测试用市场
[20:05] 两大面板厂都希望从原本的显示器制造商
[20:09] 现在变成高附加价值的科技解决方案供应商
[20:13] 你有没有发现所有人都在做客制化
[20:15] 在这样的效果底下
[20:17] 等同于台湾产业是由AEI来带头
[20:20] 从试图的把整体行情
[20:23] 往下游端来做投放
[20:24] 我们知道在明天
[20:26] 明天就要审查无人机相关法案
[20:28] 这一次朝野也是提出了各自版本
[20:30] 可是从这次所提出的版本
[20:32] 已经看得出来
[20:33] 最大分歧点就只在于
[20:35] 预算编列方式
[20:36] 钱一定会杀出来
[20:37] 行政院这次提出的
[20:39] 国防自主无人载具采购特别条例
[20:41] 它是预估26到31年底
[20:44] 以特别预算编列2100亿
[20:47] 用于购买滨海型潜舰
[20:49] 或者我们看到攻击无人机
[20:51] 小型无人艇之类的
[20:53] 那国民党的部分
[20:54] 是主张六年编列2400亿的一般预算
[20:57] 除采购需求之外
[20:58] 也纳入技术的研发
[21:00] 供应链整合
[21:01] 那我们当然知道
[21:02] 内部双方的争议还在持续
[21:04] 但至少可以看得出来
[21:05] 钱看起来今年是一定会洒出来的
[21:08] 我们就看到时候的进度
[21:09] 那当然有些人觉得
[21:10] 地方政府已经给人的印象不好
[21:12] 有时候地方政府
[21:13] 以前中南部有绿电弊案的问题
[21:16] 大家总是会对于国家都有点疑虑
[21:18] 但现在美国也在这样搞
[21:20] 台湾也在这样搞
[21:21] 中国也在这样搞
[21:22] 日本也在这样搞
[21:23] 韩国也在这样搞
[21:24] 这个必须承认
[21:25] 全球在进入供应链重组的时代
[21:27] 无论是美国推动的制造业回流
[21:30] 台湾扶持新国家队
[21:32] 还是中国大陆发展的科技自主
[21:34] 韩国的三大计划
[21:36] 有时候当大量补贴采购投资
[21:39] 同步展开的时候
[21:40] 那利益自然就会快速的聚集
[21:42] 那过程难免会有效率不张
[21:44] 会有利益疏松
[21:45] 会有贪腐的问题
[21:46] 那这也不是哪个国家独有的现象
[21:48] 大规模产业政策
[21:50] 在一系列要自主化的过程当中
[21:52] 都会遇到这样的一个治理挑战
[21:54] 所以真正重要的
[21:55] 不是因此否定整个方向
[21:57] 我们要建立更好的一个
[21:59] 完善的监督或者问责机制
[22:01] 那现在各国进足的
[22:02] 他不是说谁投入的资源更多
[22:04] 是在扶植本土产业的过程当中
[22:06] 把制度建立得更加透明
[22:08] 所以本来过程当中
[22:10] 都会伴随着一些效率不张
[22:12] 但我们大方向
[22:13] 至少还是要有所支持的
[22:14] 重点在于内部的权责区别
[22:16] 你刚才讲川普也是
[22:18] 你那个加密货币
[22:20] 对不对
[22:21] 那个利益
[22:22] 你说川普旗下
[22:24] 不管是人事的安排
[22:26] 合作案的安排
[22:27] 还有他采购商
[22:28] 就不讲那个白宫前面那个壶了
[22:31] 其实大家都明显知道
[22:34] 好像总有一点怪怪的
[22:36] 利益输送的感觉总是有
[22:37] 那更不用讲中国市场
[22:38] 更不用讲韩国市场
[22:40] 那重点是
[22:41] 在国家战略的过程当中
[22:42] 如何取得取舍
[22:44] 川普也是
[22:45] 也更不用讲中国
[22:46] 那之前有一个故事
[22:48] 讲说神灯
[22:50] 灯神说
[22:51] 你有三个愿望
[22:53] 男的说
[22:54] 我希望这个世界
[22:56] 再也没有贪污腐败
[22:58] 灯神说
[23:00] 你确定吗
[23:01] 男的说我非常确定
[23:03] 后来灯神想了想
[23:05] 那你现在还有九个愿望
[23:07] 就从三个变九个
[23:10] 现在有时候我们讲说
[23:12] 连负责实现愿望的人
[23:14] 他都可能会成为利益的一部分
[23:16] 那讽刺的事情的时候
[23:18] 我们总是期待靠一个英雄
[23:19] 一个政策或者一个制度
[23:21] 就能够彻底解决这个问题
[23:22] 但是你要知道
[23:23] 有时候执行这个制度的人
[23:24] 本身也有可能利益的诱惑
[23:26] 所以我们必须承认
[23:27] 这个难免会有一些
[23:29] 贪污腐败的事件爆发
[23:31] 那当然要建立好
[23:32] 我们的问责机制
[23:32] 可是大方向
[23:33] 你还是可以看到
[23:35] 全球各地
[23:36] 国家都在陆续成立
[23:38] 我们看台湾厂商
[23:39] 目前在疯狂扩散的情况底下
[23:41] 整个25年的产业创新条例
[23:44] 投资抵减核定金额
[23:46] 已经高达492亿元
[23:48] 这个是历史性高
[23:50] 明显高于2024年的297亿
[23:52] 所以就代表着
[23:53] 过去几年台版的
[23:55] 晶片法的减税效果
[23:57] 正在扩大
[23:58] 台湾其实已经减了那么多税
[24:00] 税收还是创高
[24:01] 这说明的事情是
[24:02] 它概念是这样
[24:04] 你如果要投100亿
[24:05] 那这100亿
[24:07] 你本来要缴的税是500亿
[24:09] 那你就只要缴400亿就好了
[24:11] 它这种直接性的税额的抵扣额
[24:14] 基本上是在为未来的企业
[24:16] 扩敞来奠定基础
[24:18] 基本就是全面鼓励你
[24:20] 尽可能的去扩散了
[24:22] 所以像台湾其实内部
[24:23] 多点各地
[24:24] 投资的确有大爆发的倾向存在
[24:27] 它也进一步影响到资本市场的变化
[24:29] 资本市场的概况
[24:31] 基本上除了刚才我们看到
[24:33] 无人机法案
[24:34] 这两天要审了
[24:36] 另外一个是虚拟资产管理法
[24:38] 在昨天
[24:39] 应该是前天
[24:40] 应该算前天
[24:41] 前天已经算三度通过了
[24:43] 虚拟资产服务法
[24:45] 象征台湾的虚拟资产产业
[24:47] 也正式迈入了
[24:48] 专法的监理时代
[24:50] 现在就是从原本的
[24:52] 洗钱房子登记制
[24:53] 改为许可制
[24:54] 只要金管会合准
[24:56] 就能够营业
[24:56] 那现在包括交易平台
[24:58] 依据保管承销
[25:00] 三读之后
[25:01] 还是要做事后的确认
[25:02] 不过最快明年上半年
[25:04] 就可以正式的实施
[25:05] 现在已经有八家登记了
[25:06] 所以未来很多的银行
[25:08] 他都会开始做
[25:09] 虚拟资产的保管
[25:10] 信托清算
[25:11] 他就是属于金融市场的
[25:13] 持续的开放
[25:14] 台股交易
[25:15] 昨天还传出说
[25:16] 可能会延长到下午三点半
[25:18] 证交所已经开始研议
[25:20] 一盘到底
[25:21] 现在是一点半收盘
[25:23] 那延长一个小时
[25:24] 或者一点五个小时
[25:25] 最理想是直接交易到下午三点半
[25:27] 然后中间不休息
[25:29] 你像那个陆股是有休息
[25:30] 让台湾的收盘时间可能更接近于日本等国际市场当然新的挑战就是整套市场的基础设施能否承受包括券商的IT的韧性
[25:41] 我们也知道
[25:42] 这几周交易量暴增以后
[25:45] 很多券商好像受不了
[25:47] 后来就崩溃了
[25:48] 所以当然有些人担心
[25:50] 他想不是早上赔钱
[25:52] 现在下午也要赔钱了
[25:53] 跳舞的段子是怎么说的
[25:56] 一开始你买股票
[25:57] 只有下跌才赚钱
[25:59] 后来学会做空
