[00:00] 投資變化的收聽早晨財經速解讀
[04:13] 這種效果
[04:14] 其實也就意味著
[04:15] 基本上川普要的
[04:17] 就是具體的細則
[04:19] 而且有效的實施
[04:20] 已經等了你有兩三個月了
[04:23] 你到現在細則還沒搞定
[04:24] 那我管你
[04:25] 有沒有跟在野黨好溝通
[04:27] 不過就我理解
[04:28] 李在民現在應該是完全執政
[04:30] 完全執政
[04:31] 國會都還沒透過
[04:32] 那是不是他自己不想透過呢
[04:34] 韓國人聽到舉國震驚
[04:36] 李在民之前還不是
[04:37] 跟川普麻吉麻吉的
[04:39] 不過這也給各國政府一個提醒
[04:42] 就執政黨
[04:43] 跟政府所簽訂的協議是一回事
[04:45] 那國會也必須要完全配合
[04:47] 否則關稅隨時都會改變
[04:48] 那對於臺灣而言
[04:50] 那當然整體接下來的程序
[04:52] 一方面是立院的進度
[04:54] 另外一方面
[04:55] 到底在這一次對內關稅的減免層面
[04:58] 不管是我們過去曾經提到的
[04:59] 保健食品關稅
[05:01] 或者汽車關稅
[05:02] 是否有進一步壓力調降的空間
[05:04] 是不是並不是我們想象中
[05:07] 臺美關稅協議定了之後
[05:09] 二三個條款投資而定了之後就結束了
[05:11] 好像不是如此
[05:12] 後續還有很多細則要必須更新
[05:14] 我們舉例來說
[05:15] 你像一顆維他命賣多少錢
[05:17] 在美國的Amazon
[05:18] 一瓶銀寶上存
[05:20] 每顆大概是3.5塊臺幣
[05:22] 但是跨海來到臺灣的康氏美
[05:25] 一顆大概是要9塊錢
[05:27] 換算一瓶120定的維他命
[05:29] 價格就差了700塊
[05:31] 那中間當然有通路費
[05:32] 有中間上的利潤
[05:33] 可是最主要的原因
[05:35] 就是來自於臺灣的高額的保健食品關稅
[05:38] 臺灣目前針對所有進口品
[05:39] 保健食品關稅是課徵30%
[05:42] 所以為什麼大家就要呼籲
[05:44] 現在以前都是保護國內產業為由
[05:47] 沒有調降關稅
[05:48] 現在美方開口
[05:49] 臺灣遲早也得開放
[05:50] 所以我們要觀察後續的程序
[05:52] 這場關稅戰
[05:54] 其實除了美國
[05:55] 你還真的搞不清楚
[05:56] 到底誰是贏家誰是輸家
[05:58] 大家都說先搶先贏
[06:00] 英國第一個籤
[06:01] 搶到後來為了一個格林蘭問題
[06:03] 差點變成30%關稅
[06:05] 你說臺灣玩了大半年
[06:07] 結果還是搶到一個半導體
[06:09] 二三個條款的最惠國待遇
[06:10] 你以為談好了就談好了
[06:12] 他想不到韓國還會遇到這種事情
[06:14] 你透過
[06:16] 他感覺好像後續還是可以
[06:18] 要你加碼
[06:18] 要你付
[06:19] 所以一下川普可能變英雄
[06:22] 我們的合作好夥伴
[06:23] 因為譚成
[06:23] 一下可能又衝康
[06:25] 變成討厭的關稅帝君
[06:27] 有時候要幫他說點好話
[06:29] 都會打臉自己
[06:29] 幫他說點壞話
[06:31] 那就破壞臺美關係了
[06:32] 真麻煩
[06:33] 今日歌五成
[06:34] 明日歌十成
[06:36] 然後得一夕安寢
[06:39] 春王此寒
[06:40] 沒想到會被遼國
[06:42] 不是被美國各個國家各自被擠破
[06:46] 不過人生就有意思
[06:47] 你說他到底是什麼樣的一個角色
[06:49] 壞人做了一輩子的壞事
[06:51] 突然做了一件好事
[06:53] 關稅協議談成了
[06:54] 那叫浪子回頭
[06:55] 好人做了一輩子的好事
[06:58] 做了一件壞事
[06:59] 就變成原形畢露
[07:01] 好人成佛
[07:01] 需要歷經九九八十一難
[07:04] 壞人只要放下屠刀
[07:06] 就能夠立地成佛
[07:07] 所以這個就是看事情的角度不同
[07:09] 但是也值得我們警惕
[07:11] 那不管如何
[07:11] 它非常有利於接下來避險資產的持續上揚
[07:14] 雖然金價和銀價在昨天震盪加劇
[07:17] 快速拉回
[07:18] 尤其是白銀價格
[07:20] 白銀盤中昨天還漲了14%
[07:22] 結果呢
[07:23] 後續股價顯著的回撥
[07:26] 黃金一樣是先衝後回
[07:28] 最高也來到每盎司5111美元
[07:31] 不過隨著美元的跌勢收斂
[07:33] 漲幅也再度被壓縮
[07:34] 那現在市場上
[07:35] 其實已經從短線的一路向上轉為高波動的區間震盪還是要具體觀察因為你不太可能期望金屬價格一路的上漲永遠不回頭不太可能我們除了避險性質的買盤以外
[07:48] 它對於原物料價格的產生衝擊
[07:51] 始終會受到白宮政府的關注
[07:53] 金價到今年為止
[07:55] 上漲幅度已經有16%
[07:56] 那背後當然
[07:57] 某種程度反映的是
[07:58] 對於貨幣或者對於債券
[08:00] 信心下滑的一個疑慮
[08:01] 但市場上針對黃金
[08:03] 似乎現在也只看趨勢
[08:05] 也不太看價格
[08:06] 背後反映的就是這種全球不安情緒的推高
[08:09] 不管是關稅戰的反覆
[08:11] 還是格林蘭的問題
[08:12] 還是對於當前貨幣體系的信任
[08:14] 現在呢
[08:15] 日本方面市場又擔心日元或者公債持續雙殺
[08:19] 那在2月8號提前大選之前
[08:21] 官方是否介入成為焦點啊
[08:23] 每日之間的carry trade
[08:25] 套利交易是否會引發系統性的壓力
[08:28] 那都會導致市場上乾脆先買點黃金好了
[08:31] 我們看法新這一次已經喊價
[08:33] 黃金在今年二季度就有機會直接看上6000美元
[08:38] 那這個預測可能還偏保守了
[08:40] 關鍵在於現在推升價格的主力
[08:42] 已經從傳統央行的買盤
[08:44] 轉為更及時力道更大的ETF的資金流
[08:47] 資料顯示過去幾個月ETF流入
[08:50] 對於金價的拉抬效率大幅提升
[08:52] 同樣規模的資金對於價格的影響力
[08:55] 幾乎是過去十多年來的兩倍
[08:57] 如果我們仔細觀察
[08:58] 張圖表是我們看到在ETF的底層力量
[09:02] 基本上從2022年
[09:04] 俄羅斯央行資產被凍結以後
[09:05] 央行的買盤就已經開始加速了
[09:08] 所以黃金有兩層力量
[09:09] 一個就是央行
[09:10] 成為最黏
[09:11] 而且是標準不回頭的
[09:13] 幾乎不賣
[09:14] 因為央行買了就很少再出售
[09:16] 同時間我們看黃金ETF
[09:18] 在2024年之後重新轉為累積
[09:20] 兩股力量的交底
[09:22] 變成現在25年到26年的
[09:24] 高度黏性黃金需求
[09:26] 就一路推高到數千噸的等級
[09:29] 那重點也不是說短線誰買誰賣
[09:31] 就是說這些需求一旦形成
[09:33] 那囤黃金的人感覺都不會賣
[09:35] 那比股票市場粘性還更高
[09:37] 所以即便現在黃金價格
[09:41] 已經高到一定地步
[09:42] 今年漲幅也有16%
[09:44] 但是市場上那個買盤
[09:45] 每個月的定量
[09:46] 它不像股票市場
[09:48] 股票市場大家有沒有發現
[09:49] 最近投信買賣超開始減弱了
[09:51] 就股市漲高
[09:52] 那很多存股主他會懶得扣款
[09:55] 怎麼不跌一點呢
[09:56] 黃金不一樣
[09:57] 黃金不管漲高還是跌下來
[09:59] 他就是一直買
[10:00] 每個月就是買定量
[10:01] 而這非常有趣的現象
[10:03] 所以如果你以金價的部分上漲
[10:05] 已經不是可以用
[10:06] 單純追蹤的資金流向
[10:08] 就來做理解
[10:09] 金價在2024年以前
[10:12] 大概能夠對應出
[10:13] 不管是ETF
[10:15] 央行買盤
[10:16] 或者全球大規模資金的流量變化
[10:18] 可是在美國總統大選落幕之後
[10:20] 川普上臺以後
[10:22] 我們看到
[10:22] 在很多月份就出現了
[10:24] 那種解釋不了的漲幅
[10:25] 就代表著
[10:26] 除了年性以外
[10:28] 還有一些宏觀的量化資金
[10:30] 莫名其妙大量的買入黃金
[10:32] 財政失序
[10:33] 地緣政治或者貨幣信用
[10:35] 與制度的不確定性
[10:36] 都可能是導致這些對沖基金
[10:38] 大幅買入黃金的原因
[10:40] 當然如果硬要把黃金
[10:42] 拿來跟當前的白銀價格來做比較
[10:44] 以金屬資產來看的話
[10:45] 目前其實銀價要麼超漲
[10:47] 要麼就是黃金超跌了
[10:49] 但當然黃金沒跌了
[10:51] 但相對於銀價落後很多
[10:52] 金銀比已經跌到14年來的新低
[10:55] 大概是50倍
[10:56] 主因就是2025年第四季以來
[10:58] 白銀的擊漲
[10:59] 一路延續到今年
[11:00] 好現在已經衝高到110美元每盎司了
[11:03] 那高盛也指出啊
[11:05] 白銀在這一次貿易和地緣政治的交匯點
[11:07] 一方面他當然受到60%到70%的
[11:12] 精煉能力的中國
[11:13] 因為白銀也算是需要精煉
[11:15] 或者說適度進行加工之後
[11:17] 轉成工業用原物料啊
[11:19] 那中國本身還是擁有一定程度的決斷權
[11:22] 那另外一方面啊
[11:23] 白銀價格是同時擁有避險性質
[11:26] 和工業金屬的原物料
[11:28] 這樣的一個效果就導致
[11:29] 漲幅似乎比金價來得更為亮麗
[11:31] 可是按照過往經驗
[11:33] 那金銀比
[11:34] 基本上保持的比例
[11:36] 應該在一定程度區間
[11:37] 大概呢
[11:38] 基本上就是75%到90%左右
[11:40] 如今大幅的下彎
[11:42] 創下20年來的新低
[11:44] 這件事情
[11:45] 其實反而讓黃金更有吸引力
[11:47] 所以如果是以金銀比的角度來看的話
[11:50] 反而是白銀有點漲過頭了
[11:52] 有點危險
[11:53] 而且過去它的歷史經驗
[11:54] 都顯示波動很大
[11:55] 那反而是黃金
[11:56] 即便漲這麼多
[11:57] 但它反而是依循著過去的緩漲趨勢
[12:00] 一步一步的創下歷史新考
[12:02] 所以雖然我們過去講說
[12:05] 願做一身小銀蟲
[12:07] 為孕持有癮
[12:09] 因為銀其實好像更為亮麗
[12:10] 昨天一個網友說
[12:11] 那不是金銀比
[12:13] 現在看起來黃金好像更有誘因嗎
[12:15] 為什麼不選黃金呢
[12:16] 因為小銀蟲比小金蟲好聽一些
[12:19] 不過如果硬要比的話
[12:21] 從週期角度而言
[12:23] 黃金相對於白銀
[12:24] 其實有更大的誘因
[12:25] 白銀真的長得有點誇張了
[12:27] 當然在種種效果底下
[12:29] 內部也有不確定性的因子
[12:31] 不管是美國政府關門的機率
[12:33] 現在是越來越高了
[12:34] 我們也知道這次移民強硬執法
[12:36] 引爆的政治風暴
[12:37] 其實已經使得政府關門機率
[12:39] 已經高達接近80%
[12:41] 舒默民主黨的領袖已經放話
[12:43] 共和黨如果不刪除國土安全部的經費
[12:46] 一定會阻擋所有大型的撥款案
[12:49] 那美國政府關門的風險就大幅飆升了
[12:51] 這也不只是牽動移民部門
[12:53] 而且還涉及國防勞工教育
[12:56] 國務或者衛生等部會
[12:58] 那麼不確定性情況底下
[12:59] 股市不一定會大跌
[13:00] 那肯定要先買點黃金的
[13:02] 使得金屬價格資產的緩步推高
[13:06] 那在種種效果底下
[13:07] 它就形成了今年的一大引誘
[13:09] 這個引誘
[13:10] 也不是說我們看到通膨即將全面失控
[13:13] 而是在通膨緩步的累堆過程當中
[13:16] 你已經感覺到
[13:18] 除了那個最該漲的沒漲以外
[13:20] 能漲的都已經漲了
[13:22] 舉一個比較直觀的
[13:23] 張圖表示我們看到
[13:24] 全球從今年以來
[13:26] 各大原物料價格的漲幅
[13:28] 白銀價格漲幅是53%
[13:30] 缽金漲了36%
[13:32] 靶金24%
[13:33] 黃金是7%
[13:34] 鎳價13%
[13:36] 其他像是熱燃油
[13:37] 木材 汽油
[13:38] 布蘭特原油
[13:39] 橙汁 西德州 銅
[13:41] 小麥 黃豆 天然氣
[13:43] 全部都在上漲
[13:44] 連油價現在漲幅都有6-7%
[13:46] 如果按照這個速度
[13:47] 很快就會傳導回汽油價格
[13:49] 那我們知道
[13:49] CPI沒有直接統計金屬價格
[13:52] 可是CPI有統計交通服務成本
[13:55] 對於汽油價格非常敏感
[13:57] 今年其實全球原物料
[13:59] 唯一真的在重疊只有一個
[14:00] 可可
[14:01] 你說除了可可
[14:03] 所有原物料價格都在上漲
[14:05] 連沉積許久的能源也是如此
[14:07] 聯準會現在可能瑟瑟發抖
[14:09] 怎麼看得到
[14:11] 有技嘉的原物料都在上漲
[14:13] 那多久會傳導到PPI
[14:14] PPI多久會傳導到CPI
[14:16] 那最後CPI會不會影響到聯準會
[14:19] 在今年的政策利率目標
[14:21] 產生大幅改變
[14:22] 你說可可跌了
[14:22] 我吃的巧克力也沒有跌
[14:24] 因為你都吃Godiva
[14:26] 你現在去南美洲
[14:28] 跟他收購中盤價
[14:30] 你可能就跌了
[14:31] 但是你這是Godiva
[14:32] 所以企業利潤還是要賺走
[14:35] 所以這我們講什麼
[14:35] 叫服務成本的僵固性
[14:37] 菜價跌了
[14:39] 不代表便當價格會跌
[14:41] 肉價跌了
[14:42] 也不代表炸雞排價格會跌
[14:44] 為什麼呢
[14:45] 反正利潤我廠商就賺走
[14:47] 這叫服務成本僵固性
[14:49] 講好聽一點是這樣子
[14:50] 所以這些事情
[14:51] 基本上都導致了
[14:53] 聯準會在今年
[14:54] 遇到比較大的一個紛爭
[14:55] 那就是現在
[14:57] 如果原油價格都開始漲
[14:58] 壓力就大了
[14:59] 2026年油市怎麼走
[15:01] 我們看到三大預測機構
[15:03] 出現了罕見的嚴重分歧
[15:05] 以國際能源署
[15:06] 和美國能源資訊署
[15:07] 目前給予的評價都認為
[15:09] 今年的供給會明顯大於需求
[15:11] 所以原油價格應該會下跌
[15:13] 而且川普有采取一定程度的立場
[15:15] 不過我們看到
[15:17] 產油國立場的石油輸出組織現在則是認為對市場則是接近平衡全年平均只有小幅過剩60萬桶只要經濟一好一不小心原油價格就會因此而被拖動
[15:28] 加上現在大宗資產的推波助瀾
[15:31] 全球的漲價潮
[15:32] 大家都在找低基期的期貨價格來炒作
[15:35] 可能莫名其妙原油價格就漲上去了
[15:38] 這就是對於聯準會而言極大的風險
[15:40] 為什麼這樣講
[15:41] 你看昨天台塑世寶
[15:42] 臺塑世寶怎麼有可能有一天全面噴出漲停板呢
[15:46] 昨天台塑臺化臺塑化全數鎖住漲停
[15:50] 南亞更是衝上波段新高
[15:52] 那買盤很明顯也不是短線試單
[15:54] 有備而來背後大概是兩個關鍵
[15:57] 第一個是中國的反內卷的政策持續推進
[16:01] 那塑化產品的減產價格有利於止跌回穩
[16:04] 那另外一方面
[16:05] 全球油價最近開始回升了
[16:07] 讓整個塑化業的獲利想象空間重新被開啟
[16:11] 我們看去年除了臺塑以外
[16:15] 南亞臺化和臺塑化
[16:17] 基本都已經陸續虧轉盈了
[16:19] 就代表著
[16:20] 塑化業過去是連續產了四年
[16:23] 你看從2021年到22年到23年24年
[16:25] 他真的每一年都賺得比一年還要來得少
[16:27] 這疫情以後
[16:28] 很多人真的是偏好低階企股票
[16:31] 臺塑是全職也夠大
[16:33] 而且是龍頭企業
[16:34] 王永慶又是我的偶像
[16:36] 那我就購買一些低階企股票
[16:39] 以為抄到了地板價
[16:40] 想不到還有地窖
[16:42] 抄到了地窖
[16:43] 想不到還有地域
[16:44] 終於超到了地域
[16:45] 想不到地域還有18層
[16:47] 那是不是現在從18層爬回第17層了
[16:51] 我們講的油價的一個上漲
[16:52] 對於聯總會而言也是一個壓力
[16:55] 那另外一個漲價潮是鋼市
[16:57] 我們看鋼市目前的氣氛也逐步轉好
[17:00] 在龍頭中鋼連續調升
[17:01] 一二月盤價以後
[17:03] 中宏也開出了二月的新盤價
[17:05] 這一次內銷熱嘎冷嘎每噸調漲300塊
[17:10] 度新每噸調漲500塊
[17:12] 外銷產品則依不同地區
[17:13] 進行調整
[17:14] 那中宏也指出
[17:16] 全球現在經濟出現溫和復甦
[17:18] 加上臺美已經達成了
[17:20] 關稅談判協議
[17:21] 現在的工具機
[17:22] 機械和手工具
[17:23] 整體鋼製的產業競爭力
[17:26] 開始有望提升
[17:27] 所以我們現在要調漲價格了
[17:28] 先漲再說
[17:29] 那AI看到的訂單
[17:30] 的確多頭結構還在
[17:32] 可是已經從原本的AI
[17:33] 從機體到銅箔
[17:35] 到先進封裝
[17:36] 到電力到通道銀
[17:37] 已經開始外擴
[17:38] 到面板
[17:39] 到成熟製成
[17:41] 到貨櫃
[17:41] 到不鏽鋼
[17:42] 塑化太陽能
[17:43] 你能夠看到的報價
[17:45] 現在幾乎都在上漲
[17:46] 最典型的就是南韓
[17:47] 南韓市SK海力士
[17:49] 最近不是砸了130億美元要擴產嗎
[17:51] DDR4本來是被淘汰的舊時代
[17:54] 現在變成了短期最缺的資源
[17:56] 報價已經上漲了200%
[17:59] DDR5現在價格也是上漲了接近300%
[18:03] 這種快速累堆的上乘
[18:05] 都導致全面性價格的轉嫁
[18:07] 其實這一次我們看到
[18:09] 記憶體的封測業也掀起了漲價潮
[18:11] 這一次效果已經往下游來擴散
[18:14] 風策端也成為了最新的受益者
[18:16] 那不管是立成華東南茂
[18:19] 那很多記憶體的風策廠莫名其妙
[18:21] 那單子越來越多
[18:23] 現在連成熟製成也是這樣子
[18:25] 這一波漲價迴圈當中
[18:27] 本來8寸晶圓的代工市場成績已經很多年了
[18:30] 現在臺積電和三星陸續降低了8寸產能
[18:33] 他不做了
[18:34] 聯電不就有生意了嗎
[18:36] 立積電世界先進就有生意了
[18:38] 他們都是以電源管理IC
[18:39] 公立元件還有8寸主力產品為核心
[18:42] 產能利用率全部回升
[18:44] 平均漲價5到20%
[18:46] 看最近零電股價漲成這樣
[18:48] 也大概可以理解市場的炒作信心為何
[18:51] 包括現在的銀價也是高漲不回頭
[18:53] 結果被動元件漲價潮也正式開始啟動
[18:57] 其實白銀作為被動元件成本壓力的核心來源
[19:01] 市場已經傳出國際旗下的普斯
[19:03] 已經跟進中國電感龍頭順路電子
[19:07] 來進行全面性的漲價
[19:08] 預估調漲幅度大概是10到20%左右
[19:11] 那國際股價很明顯也是全面噴出了
[19:14] 現在連電視面板也在缺貨
[19:16] 1月面板報價正式出爐
[19:18] 這一次開門紅32寸43寸55寸65寸
[19:23] 全部上調
[19:24] 上調不多上調1美元
[19:26] 可是氣氛很明顯
[19:27] 那面板也已經慘很久了
[19:29] 連監視器面板也被點名有機會接棒大漲
[19:32] 1月份部分電視品牌銷量不佳
[19:35] 可是面板成本全部都在上漲
[19:38] 最近我們看友達全創
[19:39] 價格最近反轉了
[19:41] 不過股價也是拉得很遠
[19:43] 甚至到現在
[19:44] LED產業也全面開始進入漲價
[19:47] 我們看大陸LED這一支是產業
[19:49] 掀起新一波的漲價潮
[19:50] 像三安光電
[19:52] 還有木林生
[19:54] 造池等公司
[19:56] 這些公司在從1月中旬開始
[19:58] 就已經慢慢調整報價
[20:00] 開始往外延伸
[20:01] 一路到現在
[20:02] 臺灣產業鏈陸續開始受到顯著的漲價潮
[20:05] 其實從去年第三季就慢慢開始了
[20:08] 那平均年增幅現在大概是5到10%
[20:11] 縣哥想說
[20:12] 這應該是現在才開始賣LED
[20:14] 陸續LED居然率先開啟了全球的漲價潮
[20:18] 那當然我們看到零元件漲這麼多
[20:21] 最後終端產品必定也會跟著上漲
[20:24] 今年大家其實年初就已經知道了
[20:26] 第一槍是華碩開出的
[20:28] 華碩率先在針對今年臺灣的經銷商
[20:31] 和合作伙伴從1月5號開始
[20:33] 就進行全面性大規模的策略性調價
[20:36] 讓華碩的筆電大幅調升
[20:38] 那基本上平均調升幅度
[20:40] 大概是至少6%到8%
[20:42] 那華碩也坦言
[20:43] 因為現在AI的運用需求太高了
[20:45] 關鍵零元件成本同步走高
[20:47] 長期吸收壓力以後
[20:49] 現在的調漲價格
[20:50] 它是一個必要選擇
[20:51] 它根本就不是為了要擴大利潤
[20:53] 它是為了保持原本的利潤
[20:56] 那華碩一做之後
[20:57] 所有PC廠全部跟進
[20:59] 現在像是宏碁
[21:00] 戴爾
[21:01] 惠普
[21:02] 聯想
[21:02] 已經預告
[21:03] 26年未來幾個月
[21:05] 會持續的上調成本
[21:07] 而且通路端表示
[21:08] 因為整體雖然品牌商調升是6到8%
[21:11] 但是為了品牌商調整幅度之後
[21:14] 所形成的更進一步成本上升
[21:16] 預估多數的通路商要調整15到25%
[21:20] 一臺筆電如果比較高階的10萬塊
[21:22] 很快就要變15萬了
[21:24] 或者變12萬了
[21:27] 這個壓力其實也蠻大的
[21:28] 這個PC成本結構的上行
[21:30] 誰也想不到AI可以帶得動
[21:33] 這種消費性電子產品的庫存
[21:34] 而且想不到是用這種方式來帶動的
[21:37] 我們總覺得
[21:37] AI是怎麼外移到PC的
[21:40] 就是有AI功能的PC
[21:42] 效能更好
[21:44] 效率更高
[21:44] 所以它要漲價
[21:45] 結果不是
[21:46] 是因為AI把貨都搶走了
[21:49] 現在沒有零件可以做PC
[21:50] 所以PC要漲價
[21:51] 這個邏輯也很神奇
[21:53] 所以不管怎麼說
[21:54] 我們看到全球的終端產品的漲價潮
[21:56] 也正式全面啟動了
[21:58] 終端產品現在
[21:59] 不管是PC剛才聊到的
[22:01] 華碩今年1月5號就開始調漲
[22:03] 紅機第一季調漲
[22:05] 戴爾調漲15到20%
[22:06] 聯想建議客戶儘早下單
[22:09] 因為現在還是以現行價採購
[22:11] 但未來說不準
[22:12] 惠普即將要重談合約
[22:14] OEM厭倡
[22:15] 全部預估價格上漲15%
[22:17] 三星和vivo評估中
[22:19] 但應該會上漲
[22:20] 微軟的部分
[22:21] 兩度調漲Xbox的主機價格以後
[22:24] 今年不排除
[22:25] 可能會有停產
[22:26] 或者再度調漲的現象
[22:27] Sony由於現在缺料
[22:29] 可能延後發表PS6
[22:32] 這可能會一路延到2029年
[22:34] 那其他我們看到
[22:35] 各式各樣的3C終端產品
[22:37] 全部都在往後延
[22:39] 所以這件事情
[22:39] 其實也就意味著
[22:40] 我們過去講的
[22:41] 製造業週期的四階段
[22:43] 開始進入到一個新的階段
[22:45] 我們過去講的四階段
[22:47] 一個是被動區庫存
[22:49] 再來是主動加庫存
[22:50] 被動加庫存
[22:51] 還有主動區庫存
[22:53] 那臺灣現在PNI
[22:54] 為完成訂單
[22:56] 減掉客戶存貨
[22:57] 現在好不容易回到正時就代表著第一波的這種拉貨潮迴圈已經慢慢的出現2025年是標準的被動去庫存階段那這段時間會有很多的貨品會輪替新的AI的晶片
[23:09] 新的GPU正在被囤貨
[23:11] 舊的手機舊的電動車
[23:13] 去年被銷庫存
[23:14] 所以去年是有一批產品
[23:16] 正在瘋狂的拉貨被囤
[23:17] 那有一批產品急著想要去銷庫存
[23:20] 賣不掉
[23:21] 比如說電動車
[23:22] 還有一些舊手機和舊PC
[23:25] 現在不一樣
[23:26] 25年從原本的被動去庫存
[23:29] 慢慢現在走向
[23:30] 主動加庫存的階段
[23:31] 現在不只是AI伺服器要囤貨了
[23:34] 不只是邏輯晶片要囤貨
[23:35] 石油也要囤了
[23:37] 鋼鐵也要囤了
[23:38] 3C產品也要囤了
[23:40] 那現在問題在於
[23:41] 這段時間慢慢產生了
[23:43] 新一條的
[23:44] 我們講的庫存迴圈的週期
[23:46] 所以我們就一步一步
[23:47] 跟著整個經濟迴圈
[23:48] 一路到現在
[23:49] 股價有高有低
[23:50] 那有時候
[23:51] 明明該庫存調整的
[23:52] AI硬是把你往上拉
[23:54] 你也沒有辦法
[23:54] 可是你至少可以瞭解
[23:56] 這個迴圈
[23:57] 它大概是兩到三年會出現一次
[23:59] 而現在新一輪的迴圈已經開始了
[24:01] 商業鏈迴圈很明顯
[24:02] 是2025年發生的
[24:03] 在零走以下
[24:04] 再來就是2022年的庫存調整
[24:06] 再來就是20年短期內的外部性衝擊
[24:09] 18年到19年也嘗試做調整
[24:11] 15到16年也是如此
