[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 的个人操作和实际观点
[06:56] 他所释出的口头氛围
[06:57] 能不能提振股市
[06:59] 肯定比前面两次还要来得弱
[07:01] 因为这次Taco的次数有点多了
[07:04] 市场上本来期待中东战事
[07:06] 的确有短期内和谈的可能性
[07:08] 看起来双方还是各自一词
[07:10] 那当然川普也没有表明说
[07:12] 也会因此而就适度妥协
[07:14] 川普愿意接受和平方案
[07:16] 但是要求现在市场上
[07:18] 有更进一步的提案的分歧收敛
[07:22] 代表的是谈判
[07:23] 现在大家都卡在政治和面子上
[07:25] 而且川普也表明
[07:27] 也不排除对伊朗发动最后一期
[07:29] 礼拜五到了吗
[07:30] 川普的战争都是礼拜五晚上开打的
[07:33] 按照过往经验是这样子
[07:34] 他也不排除地面战或者大规模的轰炸
[07:37] 不排除就是不会
[07:39] 川普都是先干再说
[07:41] 按照过往经验是这样子
[07:42] 先打电话过去
[07:44] 接电话了
[07:45] 不接那就打
[07:47] 更关键的事情是
[07:48] 外交停滞的同时
[07:49] 军事压力也在快速升高
[07:51] 现在美国持续的加派兵力
[07:53] 甚至传出锁定伊朗的关键能源设施
[07:56] 时间一到随时准备打击
[07:58] 不过看起来现在是时间一到
[07:59] 先在往后五天
[08:01] 至少在这样效果底下
[08:02] 等同于油价完全牵动住当前的市场
[08:06] 一句话就能让股市下跌
[08:07] 但是现在要让股市回弹
[08:09] 难度就有点高了
[08:11] 你讲的话的确可能把整件事情恶化
[08:14] 但是你讲的话可以把事情给处理好
[08:17] 让市场上的信心恢复难度越来越高
[08:19] 我们更深一层的变化是市场正在逐步接受
[08:22] 的确我们要接受更长时间的冲突假设
[08:25] 荷姆兹海峡如果长期受阻的话
[08:27] 南云供应它需要一定的时间
[08:29] 那即便战争结束
[08:31] 油价可能还是会维持在相对高档
[08:33] 进一步压缩到利率预期
[08:35] 所以债券市场的波动越来越大
[08:37] 所以我们讲说这一阵子川普就像渣男
[08:40] 每次都给你希望
[08:42] 然后每次让你伤心
[08:44] 当你准备毅然决然的离他而去
[08:46] 他就跳出来
[08:47] 这是最后一次
[08:48] 再给我一次机会吧
[08:50] 我下次不会这么干了正常人两三次就走了除非很大我说权力很大除非这个渣男有过人之处或者过长之处
[09:02] 但是看得出来
[09:03] 市场上对他的说法
[09:05] 对于股市的提振效果
[09:07] 越来越薄弱
[09:08] 那当然有没有可能
[09:09] 最后就清明变盘了
[09:10] 台股又躲过崩盘了
[09:12] 很难说
[09:13] 但是至少
[09:14] 这次回调幅度也没有很大
[09:15] 波动幅度很大是真的
[09:18] 即便要睡公园
[09:19] 这一次按照过去的储备
[09:21] 我们也是带着帐篷去睡了
[09:23] 一次比一次睡得更好
[09:25] 那回过头来看
[09:26] 到底用嘴巴来压油价
[09:28] 在川普先前的确尝试的
[09:31] 迎取了市场的心理战
[09:33] 可是叙事如何影响
[09:34] 直接影响到市场价格
[09:36] 你会发现过去是非常标准的
[09:38] 每一次油价的往上冲
[09:39] 几乎都会对应到军事行动
[09:42] 或者攻击风险
[09:43] 那只要川普释出战事即将收敛
[09:46] 或者局势可控
[09:47] 你会发现油价真的就回落了
[09:49] 所以我们要观察这次临界点
[09:50] 今天台股的开高
[09:52] 应该讲开低以后
[09:54] 是否能够顺势走高
[09:55] 是大家吸收川普战事
[09:58] 即将收敛的重要关键
[10:00] 如果还是能够大幅走高
[10:01] 那就说明着
[10:03] 他的口头印象还是有效的
[10:05] 原油价格还是能够受到抑制
[10:06] 但如果这一次股市拉不回来了
[10:09] 那就说明着
[10:10] 除非你拿出具体的动作
[10:12] 要不然你再怎么讲
[10:13] 我也不太相信你了
[10:14] 当然伊良在昨天也宣布
[10:16] 荷姆治海峡采取选择性的封锁
[10:19] 这是好事
[10:19] 至少有部分船只是可以陆续通过的
[10:22] 不过呢
[10:23] 他认定的五个国家
[10:24] 包含中国
[10:25] 印度
[10:26] 俄罗斯等等
[10:27] 当然了
[10:28] 这件事情也就意味着
[10:29] 部分国家仍然可以持续通航
[10:32] 就代表着对于部分经济体影响
[10:34] 似乎没有想象中还要来得大
[10:36] 那现在问题来了
[10:37] 因为中国可以投航嘛
[10:39] 那按照中国的态度
[10:41] 那台湾属于中国的一部分
[10:43] 那台湾能不能通航
[10:44] 当然不行嘛
[10:45] 为了维持主权
[10:47] 当然不行
[10:48] 所以目前我们虽然看到
[10:50] 在中油层面跟美方的合作
[10:52] 已经有持续的
[10:53] 不管是天然气船
[10:54] 还是石油足不到位
[10:56] 但是对于台塑集团
[10:57] 不管是石脑油等等
[10:59] 看起来塑化间的压力仍然非常大
[11:01] 台湾的确已经有
[11:03] 其实实际还没有大幅影响到
[11:05] 塑胶袋报价了
[11:06] 但是上游段已经影响了
[11:07] 所以看起来塑胶袋是有一点
[11:09] 哄台有一点抢货的疑虑
[11:12] 那当然了时间线的部分
[11:13] 普遍虽然认为这件事情
[11:16] 并没有如川普所说的
[11:18] 在本周就会结束
[11:20] 但是大家的预期时间线
[11:21] 大概还是五月中旬左右
[11:23] 我们看这次川习会的时间表
[11:25] 陆续出来以后
[11:25] 也把下半年双方的会面
[11:28] 做一个更仔细的推敲
[11:30] 这个时间线刚好是对应在
[11:32] 白宫内部四到六周的战争窗口
[11:34] 就二月底开打
[11:36] 打到四月中收尾
[11:37] 四月中加速谈判
[11:39] 五月中川习会签进一步的协议
[11:42] 那后续在11月和12月
[11:44] 双方领导人都会互续的来做会面
[11:47] 而且还会有一次习近平回访美国的态势
[11:50] 所以从中总效果底下
[11:51] 如果川普政府要在集中选举
[11:53] 缴出一个极度亮丽的成绩单
[11:55] 差不多就不能够再释放
[11:56] 进一步的外部性冲击了
[11:58] 因为开始倒数两个季度
[12:01] 那就代表着利多的释出要越来越猛烈
[12:03] 当然我们看到对于中国
[12:05] 对于印度影响
[12:06] 现在陆续通航以后
[12:09] 整体压力看起来没这么大
[12:11] 可是不代表其他亚洲新市场经济体
[12:13] 就完全宽松
[12:14] 我们看台日韩
[12:15] 那是因为有半导体重症
[12:17] 加上国力的原因
[12:19] 导致现在天然气
[12:21] 油气还是能够供应无虞
[12:23] 可是对于亚洲新市场经济体来说
[12:25] 我们以泰租来看
[12:27] 泰国的部分
[12:28] 现在是亚洲最受沉压的经济体
[12:30] 泰租本月份已经暴变5%
[12:32] 那很明显
[12:33] 因为泰国是高度依赖进口能源
[12:36] 油价短时间内飙涨超过4成
[12:39] 我们看不是有一些影片陆续释出吗
[12:41] 很多人不太敢开车了
[12:43] 都用走路上班
[12:44] 进口成本的快速上升
[12:46] 直接侵蚀掉经常障碍资金信心
[12:49] 市场预估太初
[12:50] 可能有进一步的贬值空间
[12:51] 另外一大层面
[12:53] 日本的部分
[12:54] 正在思考一场非常规的操作
[12:56] 日币现在面临
[12:57] 比较大的一个贬值压力
[12:59] 背后关键也是能源结构
[13:00] 90%依赖石油
[13:02] 原油价格上涨
[13:03] 日本就要用更多的美元
[13:04] 来购买能源
[13:05] 直接压低了日元的汇率
[13:07] 现在中东战争推高油价
[13:08] 日本政府在考虑
[13:10] 一个相当少见的策略
[13:11] 不只干预汇市
[13:12] 而是透过影响油价来间接稳定货币
[13:16] 比如说放空原油期货
[13:17] 试图压低价格
[13:19] 减轻进口成本和市场投机的压力
[13:21] 进而支撑日元
[13:22] 不过我觉得这可能性不是特别高
[13:24] 因为风险第一很高
[13:25] 第二充满不确定性
[13:26] 首先原油价格受到地缘政治
[13:29] 和实质供需的影响
[13:30] 如果政府逆势操作
[13:32] 搞不好政府自己不亏钱
[13:33] 再来就算压低油价
[13:35] 对于汇率传导的效果也未必很显著
[13:37] 所以市场普遍认为
[13:39] 它是一种前瞻沟通
[13:40] 就是它在放话
[13:41] 暗示你们再这样子让日元贬下去
[13:44] 我可能就要介入了
[13:45] 有一种跟市场沟通的感觉
[13:47] 但不管怎么说
[13:48] 整个中东局势压力越来越大
[13:50] 那随着假日一到
[13:52] 市场就会更担忧
[13:53] 假日战争发生的可能性
[13:55] 我们从地面战的疑虑来看
[13:56] 由于目前
[13:57] 不管是昨天提到的第82空降师
[14:01] 还是两个海军陆战队的远征单位
[14:03] 陆续进驻以后
[14:04] 市场上其实并没办法完全排除
[14:07] 川普所采取的进一步动作
[14:09] 因为假设这件事情
[14:10] 没有一个结论
[14:12] 那川普一定要打破这个结论
[14:13] 因为时间线并不站在川普这一边
[14:16] 如果从战争角度而言
[14:17] 现在就处于一个很诡谲的情况
[14:19] 随时大家都知道有可能开打
[14:22] 可是目前仍然没有针对能源设施
[14:24] 或者针对邮轮来采取进一步的供给
[14:27] 对于美国来说
[14:28] 我们举例来说
[14:28] 伊朗现在变成能源市场的最大受益者了
[14:31] 其他波湾国家的石油出口几乎被封锁
[14:34] 可是伊朗现在是少数能够通过
[14:36] 和姆兹海峡的主要供应国
[14:38] 直接吃到油价飙升的红利
[14:40] 事实上我们看到
[14:41] 伊朗在三月份每天的原油收入
[14:44] 大概是1.39亿
[14:45] 远远高于二月的1.15亿
[14:47] 战争期间
[14:48] 伊朗赚的原油越来越多了
[14:51] 大量的出口到印度
[14:53] 还有中国市场
[14:54] 那在这样效果底下
[14:56] 为什么美方不采取狙击
[14:57] 直接把油人拦下来
[14:58] 或者攻击呢
[14:59] 很简单
[15:00] 因为伊朗现在的原油
[15:01] 某种程度也在尝试的去压抑全球的油价
[15:05] 它的出口只要持续
[15:06] 即便跟我是敌对国
[15:08] 似乎某种程度而言
[15:11] 它能够缓解我中期选举的通膨压力
[15:13] 事实上如果我们仔细观察
[15:15] 根据金融时报的专题
[15:16] 这张图表示我们看到
[15:18] 在西方制裁下
[15:19] 有越来越多的影子船队
[15:21] 陆续的在全球各地航行
[15:23] 尤其现在荷姆兹海峡
[15:24] 又成本暴涨的问题
[15:26] 那这些影子船队
[15:28] 它会先关闭定位
[15:29] 伪造自己的航机
[15:31] 频繁的换骑
[15:32] 导致灰色邮轮成为能源运输的主力
[15:35] 那是一个结构性的变化
[15:37] 目前全球大概有上千艘是属于影子船队
[15:40] 无论是我们看到伊朗、委内瑞拉
[15:42] 只要被美国制裁石油并没有消失
[15:45] 他们只是由这些影子船队陆续抵达中国和印度
[15:48] 印度甚至转卖这些原油
[15:50] 尤其在乌俄战争之后
[15:51] 印度和中国几乎吃下了大部分的俄罗斯原油
[15:54] 直接重塑了新一轮的版图
[15:56] 所以在这样的效果底下
[15:58] 我们把现在已经被制裁的产油国
[16:00] 把伊朗、俄罗斯、委内瑞拉拉开来看
[16:03] 你会发现整体成交量持续增加
[16:06] 而且正在海上漂流的油
[16:09] 现在是越来越多
[16:10] 那美方现在要不要打呢
[16:12] 感觉也没有意愿
[16:13] 毕竟这些原油
[16:15] 某种程度还在抑制着全球的通膨
[16:17] 这就是一个很诡谲的局面
[16:19] 这个交战国
[16:20] 一部分的油被封住出不来了
[16:22] 可是交战国目前油还可以运出来
[16:25] 而且美方似乎也没有打击的意愿
[16:27] 这也蛮有趣的
[16:28] 那不管怎么说
[16:29] 原因就来自于通膨的压力
[16:31] 是川普的短内
[16:32] 从通膨现在市场普遍的预估值
[16:35] 我们根据OECD最新的报告
[16:37] 美国今年的通膨率
[16:38] 如果按照原油价格
[16:39] 目前的水准下不来的话
[16:40] 可能会持续推升到接近4%
[16:43] 那就是G7当中最高的
[16:44] 当然了
[16:45] 主要还是看传导力度的可能性
[16:48] 可能不会传导这么快
[16:49] 可能一直到今年年底
[16:51] 才会陆续的发酵
[16:52] 可是关键的风险
[16:54] 在于这一段时间
[16:55] 通膨是上行的还是下行的
[16:57] 如果到期中选举之前
[16:59] 通膨都是上行的
[17:00] 那这场灾难
[17:01] 无疑对于川普来说
[17:02] 是极大的压力
[17:03] 事实上如果我们回过头来看
[17:05] 现在能源冲击对于通膨抑制的力度
[17:08] 或者说通膨的冲击力度
[17:09] 在26年的全球主要经济体当中
[17:12] G20主要是来到4%
[17:14] 美国4.2
[17:15] 英国是4%
[17:16] 修正幅度大概是上升0.5到1.5%
[17:19] 那这是一个结构性的定价
[17:21] 虽然预期2027年战事的落幕
[17:23] 预期迟早会回跌
[17:26] 但是很多国家大概还是保持在2%
[17:28] 这会对于联准会接下来的降息路径
[17:30] 产生极大压力
[17:32] 我们举例来说
[17:33] 在加州部分
[17:34] 现在柴油价格已经冲高到每家轮7美元了
[17:38] 那有的区域更高
[17:39] 问题并不是战争是结构
[17:41] 因为加州是高度依赖亚洲进口成品油
[17:45] 一旦荷姆兹海峡受阻
[17:47] 那么亚洲自身的供应链就已经很紧张了出口更自然的就会减少加州现在就直接面对缺油风险了加上加州知道当地的炼油厂环保法国还有成本压力逐年关闭对外部的充其几乎没有缓冲能力
[18:01] 所以加州一方面
[18:02] 当然是尝试的驱摊化和压缩石油
[18:04] 但现在看起来
[18:05] 那就是少加油
[18:06] 少开车或者开电动车
[18:08] 可能更快
[18:09] 那第二点是油价陆续的传导到服务价格
[18:12] 美国邮政宣布从4月底开始
[18:14] 对于优先邮件和包裹服务
[18:16] 暂时调涨8%以上的价格
[18:19] 以因应战争带来的燃料和运输成本上升
[18:22] 其实FedEx和UPS在上个月
[18:25] 基本上就已经陆续发布公告
[18:28] 在本月份已经开始调高燃料附加费
[18:31] 大概上调幅度很大
[18:33] 接近25%到28%
[18:34] 所以美国邮政已经调的算少了
[18:36] 邮政数说现在涨幅还不到竞争对手的三分之一
[18:40] 但整体压力一样很大
[18:42] 因为美国邮政长期以来都是亏损的
[18:44] 现在不排除
[18:45] 未来可能也要把油票价格进行调高
[18:48] 从78美分
[18:49] 现在可能要调高到1美元左右
[18:52] 在这样效果底下
[18:54] 我们看到全球
[18:55] 第一方面当然是原油价格的拉升
[18:58] 对于航空业成本的拉升
[18:59] 第二方面是战争之下
[19:02] 很多海运也被迫断货
[19:04] 只好走空运
[19:05] 所以空运还是运得出来
[19:06] 只是没有人会把石油拿去空运
[19:08] 我们举例来说
[19:09] 根据法拉利
[19:10] 现在收到赫姆治海峡的受阻
[19:11] 中东有很多顶级客户
[19:13] 他要交货
[19:14] 海运运不过来
[19:16] 空运成本是海运的三倍
[19:18] 现在没办法
[19:18] 法拉利为了履约
[19:20] 最后即便成本提高四到五倍
[19:23] 客制化的超跑
[19:24] 还是直接坐飞机运到中东
[19:27] 这其实背后也就透露着
[19:30] 中东虽然不是全球最大销售市场
[19:32] 但中东应该是全球算利润最肥的
[19:34] 你可以卖最贵的地方
[19:35] 因为高度客制化
[19:37] 贡献了接近有两成左右的法拉利的营售
[19:39] 这一些汽车被迫
[19:43] 藉由空运的方式抵达
[19:44] 压缩成本
[19:45] 那另外一方面
[19:46] 机票价格只剩三天
[19:48] 我们预估会有进一步的上涨
[19:49] 大家订机票要快
[19:51] 今年夏天想要减便宜机票的恐怕要失望了
[19:55] 尤其是亚洲到欧洲航线
[19:56] 最近开始飙涨了
[19:57] 有的飙到五倍以上
[19:59] 主要就是中东战事已经影响到
[20:01] 波斯湾这条全球最重要的航空通道
[20:04] 包括航班取消
[20:05] 空域的关闭
[20:06] 燃料成本的上升
[20:07] 以六月份来看
[20:09] 多条热门的航线平均票价
[20:11] 比去年已经上涨了接近七成
[20:13] 雪梨飞轮吨现在已经超过1500美元
[20:16] 几乎是翻倍
[20:17] 那这种高价可能会一路延续到秋天
[20:19] 取决于战争何时结束
[20:21] 还有通膨转嫁力度
[20:23] 那问题也不只是刚才看到供给面出事
[20:26] 需求面现在也开始松动了
[20:27] 高票价会让航班不稳
[20:29] 让旅客转为保守
[20:31] 所以欧洲和美国的暑期订票
[20:33] 过去两周突然急剧下滑
[20:36] 想说这一次不回家了
[20:38] 亚洲非欧洲的需求
[20:40] 看起来也正在快速的减弱
[20:41] 如果我们细节观察
[20:43] 在短时间内失控的程度
[20:45] 香港飞伦敦
[20:46] 曼谷飞法兰克福
[20:48] 三月比二月
[20:49] 大概爆冲了接近500%
[20:51] 这真的蛮多的
[20:52] 本质上航线是被打乱
[20:54] 所以导致的
[20:55] 但更值得注意的事情是
[20:56] 它一定会有一些适度回归
[20:58] 但这个溢价幅度
[20:59] 看起来搞不好
[21:00] 涨个五成六成
[21:02] 也是难以避免的
[21:03] 另外一方面
[21:04] 这对于航空业
[21:05] 也产生进一步的压力
[21:06] 比如说经济舱的消失
[21:08] 我们看这几年
[21:09] 航空业为了要保持当前的利润
[21:11] 燃料费价格的上涨
[21:13] 服务费用的上涨
[21:14] 正在改变飞机上的座位结构
[21:16] 核心策略很简单
[21:18] 就是现在开始减少经济舱
[21:19] 尤其是长城
[21:20] 减少经济舱
[21:22] 增加高价座位
[21:23] 让你要订票
[21:24] 也不好订到经济舱
[21:25] 你可能更容易订到豪金舱
[21:28] 原因很简单
[21:29] 因为豪金舱或者商务舱
[21:30] 它票价大概是
[21:32] 普通座位的两倍以上
[21:33] 只占空间多一点点
[21:35] 等于单位面积的收入大幅提高
[21:38] 现在像达美
[21:39] 联合航空
[21:40] 甚至连联航
[21:41] 加入这项趋势
[21:42] 最终所导致的效果
[21:44] 就航空业被迫
[21:45] 要尝试的稳定利润情况底下
[21:47] 被迫的采取适度的调整
[21:49] 当然你说油价的上涨
[21:51] 那不是转嫁出去就好了吗
[21:53] 我们看这波油价上涨
[21:55] 长荣行从二月份到现在
[21:56] 跌幅是5.4%
[21:58] 华航到目前跌幅是15%
[22:00] 这个跌幅基本都比大盘跌幅还来得重
[22:03] 这也足以彰显的
[22:04] 燃料油的冲击
[22:05] 对于这些航空业的压力
[22:07] 到底有多大
[22:08] 现在成本的过度上升
[22:10] 是航空业的极大压力
[22:12] 当然有人说
[22:12] 这个油价上升
[22:14] 看起来也不见得
[22:15] 对于股市是多大的冲击
[22:17] 据来说
[22:18] 最近台湾大车队
[22:20] 从三月份以来
[22:21] 就疯狂上涨
[22:23] 拉了好几根
[22:23] 好像跟油也没有关系
[22:25] 可能中油现在是有动涨了
[22:28] 但是没有补贴航空蓝油
[22:30] 这可能是一个原因
[22:30] 要不然另外一个原因就是
[22:32] 可能很多人股票赔一堆钱
[22:34] 跑去当计程车司机
[22:37] 这种敢买
[22:38] 因为成交量也不高
[22:40] 一定容易被发现
[22:42] 但它的EPS和毛利率是年年成长
[22:44] 倒是没错
[22:44] 所以你说这种油价
[22:46] 能不能完全套用在运输行业
[22:48] 这也很难说
[22:49] 毕竟航空业长期以来
[22:52] 它的座位固定有限
[22:54] 这种边际效益
[22:55] 就是每多增加一个位置
[22:58] 可以创造的获利值
[23:00] 它受限于机队的成本
[23:02] 所以它完全取决于全球的旅游的运量
[23:05] 但成本一上升
[23:06] 压力就很大了
[23:07] 另外一方面
[23:08] 1905这边滑址
[23:09] 也是拉涨停
[23:11] 公元概念股也是很强的
[23:14] 不说了
[23:14] 我们先去捡纸箱了
[23:16] 不然等一下没有地方睡
[23:17] 从这件事情就看得出来
[23:18] 不管是股市的波动
[23:21] 还是燃料油价格成本的上涨
[23:23] 都使得传统产业
[23:25] 在这一轮的上涨过程当中
[23:27] 不单单是需求的拉动
[23:29] 更多是供给型的冲击影响的结果
[23:32] 好我们回过头看一下
[23:33] 美国股市市场指数表现
[23:35] 道琼公元指数下跌469.1%
[23:38] 所以是5960点
[23:39] 标普下跌124.1.74%
[23:41] 所以是6477点
[23:43] 纳指下跌521.2.38%
[23:45] 所以是21408点
[23:47] 打到年限了
[23:48] 费办下跌381点
[23:50] 4.79%
[23:51] 所以在7585点
[23:53] 费办跌最重
[23:54] 不过也没破底
[23:55] 而且还在半年限之上
[23:56] 你就知道费办过去涨多高
[23:58] 那纳指的部分
[23:59] 这一阵子真的非常非常弱
[24:01] 直直弱
[24:02] 直接打到年限附近
[24:03] 那守不守得住
[24:05] 就要看这一次川普的提振效果了
[24:08] 那反而我们看标普的部分
[24:10] 也是达到年限
[24:11] 道琼的部分也差不多
[24:12] 所以三大指数
[24:13] 其实都已经回到
[24:15] 过去一整年定期定额的关卡
[24:17] 当然这一波
[24:18] 我们看到没有股市的下杀
[24:20] 一个根本原因
[24:21] 还是来自于
[24:22] 记忆体族群的明显重挫
[24:24] 我们像美光
[24:25] Sendex
[24:26] 这一次所受到的
[24:28] Google演算法改选AI
[24:29] 游戏规则以后
[24:30] 它也不是基本面的转换
[24:32] 只是市场开始重估
[24:34] AI到底还需要多少记忆体
[24:36] 过去就是记忆体太缺货了
[24:37] 疯狂上涨
[24:38] 这一次Google Research
[24:40] 发表的TurboQuant
[24:41] 一种能够把AI推论过程当中
[24:44] 记忆体的需求
[24:45] 压缩到原本的六分之一
[24:47] 同时速度提升约八倍
[24:49] 几乎不影响准确度的技术
[24:51] 这一项AI吃记忆体的逻辑
[24:53] 使得记忆体本来大缺货的
[24:55] 突然觉得会不会以后不缺了
