[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这次会议被迫一定要做一些表态
[02:38] 美国汽油价格累积涨幅
[02:40] 也超过50%了
[02:42] 所以按照逻辑
[02:43] 如果是以台湾均价的话
[02:45] 像每公升至少要四五十块左右
[02:47] 可是我们知道
[02:48] 政策的补贴
[02:49] 本身可以压抑内部的通膨
[02:51] 待会台湾我们也细谈
[02:52] 那食品价格的年增幅也来到3.1%
[02:55] 这一次咖啡水果蔬菜烘焙食品
[02:58] 也在同步的走高
[02:59] 那值得观察的几大方向
[03:01] 是总体通膨由于到4.2%
[03:03] 已经高于联准会2%的通膨目标
[03:06] 有一段距离了
[03:07] 那就代表着联准会就算不升息
[03:10] 他应该都要释出一些紧缩的言论
[03:13] 来抑制市场的预期
[03:14] 那另外一方面市场上也在关注
[03:17] 如果原油问题
[03:18] 能够在中东局势的缓和降温的话
[03:21] 那也有可能让市场上
[03:23] 联总会愿意等待更多的时间
[03:25] 因为这是攻击性的问题
[03:27] 我们先回过头看
[03:28] 能源价格刚刚提到
[03:29] 汽油价格是涨了五成
[03:31] 能源价格在CPI的年增幅是23.5%
[03:34] 远远高于其他的项目
[03:36] 那单是五月份
[03:37] 能源价格就上涨了3.9%
[03:39] 那如果是从年增幅来做观察
[03:42] 燃油费当然是最多的50
[03:44] 能源商品是40
[03:45] 汽油40
[03:46] 航空票价也带动走高
[03:49] 其他涨幅其实还没有完全外溢
[03:51] 就有一点外溢效果
[03:53] 但相对于能源涨不算温和了
[03:55] 像住房食品医疗等等
[03:57] 那如果是从月增幅来做观察
[03:59] 五月份相对于四月份
[04:01] 一样是汽油价格暴涨了8%
[04:03] 能源商品7%
[04:05] 整体能源成本还是拖动
[04:07] 现在通膨的原因
[04:08] 所以的确很多人还是相信
[04:10] 即便利率预期通膨预期再走高
[04:13] 只要川普能够把中东战事给解决
[04:15] 那油价一回跌
[04:17] 就算今年有四度通膨
[04:18] 跟科技通膨比起来也没什么了
[04:21] 的确其实从商品通膨来看
[04:23] 目前反而在降温
[04:24] 如果以家具和家庭用品的价格来看
[04:27] 甚至还下跌0.6%
[04:29] 医疗用品下跌0.5%
[04:31] 这说明美国房地产市场真的也不好
[04:34] 像台湾也很有趣
[04:35] 台湾在过去两年
[04:38] 应该从去年开始
[04:40] 房地产市场就开始收缩
[04:41] 结果消费市场其实还在蓬勃发展
[04:44] 可是家具市场家电市场
[04:47] 反而是惨不能赌
[04:48] 没有人买房
[04:49] 怎么会有人对于汽车
[04:51] 家具
[04:51] 耐久才有更进一步的需求呢
[04:53] 你要有房才有停车位
[04:55] 才有家具
[04:56] 才有耐久才有消费
[04:57] 甚至连药品价格
[04:59] 受到川普的直接干预
[05:00] 已经连续五个月下跌
[05:02] 所以川普你说
[05:03] 昨天记者会受访
[05:05] 好像还有点信誓旦旦
[05:07] 觉得没什么问题
[05:08] 通膨高是我可以接受的
[05:10] 而且暂时一下就结束了
[05:12] 如果撇开能源
[05:14] 的确现在搞不好
[05:15] 真的快要降息了
[05:16] 因为商品价格
[05:17] 的确正在下跌
[05:18] 只是科技通膨还没有传进去而已
[05:20] 那服务业通膨
[05:21] 当然是市场上比较大的隐忧
[05:23] 目前住房成本
[05:24] 5月份是上扬0.3%
[05:26] 那其他像是
[05:27] 租金和屋主等权租金
[05:29] 分别上涨0.4和0.3%
[05:32] 那就是产生一定的僵固性
[05:34] 但也没有到失控的地步
[05:35] 超级核心通膨
[05:37] 也就是把住房扣除之后的
[05:39] 核心服务通膨
[05:40] 年增幅是3.49%
[05:42] 这代表的是
[05:43] 服务业的薪资僵固性
[05:45] 目前仍然在极度缺工的涨薪阶段
[05:48] 那总体而言
[05:49] 川普任内的涨幅物价
[05:51] 大概到现在为止是
[05:52] 接近有5.16%
[05:55] 虽然很多人会把它归咎于
[05:57] 关税和能源政策
[05:59] 不过从数据上来看
[06:00] 川普在本轮的通膨
[06:02] 其实跟他关税没有太大相关
[06:04] 甚至他的关税已经有部分
[06:05] 正在进行退税作业
[06:07] 那另外一方面
[06:08] 美国的失职薪资
[06:09] 现在已经正式翻付了
[06:11] 这个压力就比较大一点了
[06:12] 这说明着美国目前的通膨
[06:14] 即便薪资有在上涨
[06:16] 但通膨已经超过了工资的上涨
[06:19] 那这种实质薪资一转付
[06:21] 那就是痛苦感的开始
[06:22] 你看2023年到2025年
[06:25] 虽然大家口头还是讲通膨很高
[06:27] 可是从实质数据上来看
[06:29] 实质薪资是翻证
[06:30] 就代表你的工资是跑赢通膨的
[06:31] 但是从本月份开始转付
[06:34] 那距离中期选举越来越近了
[06:36] 所以川普的压力看起来也是越来越大了
[06:39] 当然了我们回过头说
[06:41] 如果是从2020年以后的行情来做观察
[06:45] 本来内部的压力就很大
[06:47] 所以你说光是通膨涨幅缓一点
[06:50] 能否让市场对政府有高的评价
[06:52] 那也不一定
[06:53] 过去五年的价格总体涨幅来观察
[06:56] 新车价格涨幅大概是19%
[06:59] 食品价格涨幅26%
[07:01] 家庭保险27%
[07:02] 住房29%
[07:04] 餐厅31%
[07:05] 鸡蛋35%
[07:07] 那有些涨幅特别高的
[07:08] 你像是绞牛肉价格64%
[07:10] 汽车保险涨了54%
[07:12] 燃料油涨了69%
[07:13] 咖啡价格涨了108%
[07:16] 所以这件事情
[07:17] 都让市场上会有十足上的压力
[07:20] 当然刚才我们讲到
[07:21] 这些问题
[07:22] 基本上只要中东局势瓦解
[07:24] 我觉得也不是什么大问题
[07:26] 搞不好通膨预期一下就降下来了
[07:28] 虽然我们知道现在有点僵局
[07:31] 可是我总觉得迟早会结束的
[07:33] 而且我觉得中期选举不结束
[07:34] 那就为中期选举的胜负
[07:36] 已经垫垫了基础
[07:37] 这是一个观察重点
[07:39] 另外一个我们过去一直提到
[07:40] 市场上真正比较大压力的
[07:42] 来自于哪里呢
[07:43] 其实来自于科技通膨的部分
[07:45] 因为科技通膨那个涨幅
[07:47] 它比油料还夸张
[07:49] 我们知道当前在电子零组件的PPI
[07:53] 年增幅已经来到87%
[07:55] 那现在就有不同解读
[07:56] 因为或许接管联总会主席以后是否会在PCE的通膨观察数据当中做适度调整原因就来自于在前阵子由联总会研究人员和白宫经济政策顾问
[08:09] 主席米兰所共同发布的研究
[08:11] 已经指出
[08:12] 在过去半年当中
[08:13] 美国PCE当中的电脑软体
[08:16] 和配件价格指数
[08:17] 因为暴增了87%
[08:19] 创下历史新高
[08:20] 他认为
[08:21] 这个项目
[08:22] 其实过去25年
[08:23] 每年都平均下跌5.3%
[08:26] 因为软体数位化云端化和市场竞争都属于通缩范围
[08:30] 如今却变成通膨的重要来源显然不寻常
[08:33] 所以他们就做了一个报告去研究
[08:35] 到底当前真的科技产品有涨价这么多吗
[08:38] 那研究产品他们发现了
[08:40] 这个仅占核心PCE权重1.2%的项目
[08:43] 过去四个月竟然贡献了0.66个百分点的核心PCE通膨
[08:47] 如果只和核心商品通膨更贡献了2.8个百分点
[08:51] 显然占整体涨幅超过一半
[08:53] 也就是说如果把这个项目扣除的话
[08:55] 近年应该讲近期的核心PCE
[08:58] 会从5.47直接大幅下降到2.7%
[09:01] 所以他指出了一个事实
[09:03] 因为PCE基本上不受到油料
[09:06] 或者大众资产的影响
[09:08] 就是我们的实体感受
[09:10] 只要不看3C电子产品
[09:12] 其实并没有深圳的通膨失控
[09:14] 那他的看法是
[09:16] 这就来自于美国两大统计机构的分类方式不同
[09:19] CPI它是由美国劳工统计局来做编撰
[09:22] 那电脑软体和配件
[09:24] 不只是包含软体
[09:25] 还包含随身碟
[09:26] 记忆卡
[09:27] 还有空白的DVD光碟
[09:29] 等储存媒介
[09:30] 但是个人消费支出的物价指数
[09:32] PCE
[09:33] 它是由美国经济分析局
[09:34] BEA来做编撰
[09:35] 那这个同类的分项
[09:37] 全部都是软体服务和资料处理
[09:39] 并不包含这些实体储存
[09:41] 然而现在
[09:43] BEA也就是美国经济分析局
[09:45] 在统计PCE的时候
[09:46] 它居然引用了
[09:48] 美国劳工统计局的
[09:49] 通膨平坚指数
[09:50] 统计错了
[09:52] 就因为统计错了
[09:53] 你把另外一个指标的分项的权重
[09:55] 纳入到我们指标当中
[09:57] 当然会形成进一步的失控
[09:59] 所以他的看法很简单
[10:00] 就是说这些科技通膨
[10:02] 跟我们民间的消费
[10:03] 没有直接性的关联
[10:05] 它只是科技产品的迭代当中
[10:07] 出现一些短期供给性的现象
[10:09] 但实质通膨表现没有这么高
[10:11] 那某种程度上他在暗示
[10:13] 我们现在内部只要调整
[10:16] 分类的错配问题
[10:18] 通膨就没这么高了
[10:19] 什么意思
[10:20] 不看科技通膨
[10:21] 我们就没通膨了
[10:22] 不看能源我们就没通膨
[10:23] 有点这样的一个概念
[10:25] 所以现在如果联总会
[10:27] 他的态度是这样子
[10:28] 未来进行内部通膨的调整
[10:30] 那搞不好通膨很快要达标
[10:32] 因为剔除的话只剩下2.7
[10:34] 所以这是很值得观察的重点
[10:36] 我们要知道
[10:37] 虽然或许他是相对紧缩派
[10:41] 对于缩表有一定程度的态度
[10:44] 可是就如同沙所说的
[10:45] 如果根据内部联总会官员的
[10:48] 调查方式的统计改变
[10:50] 你只要修正统计项目
[10:52] 或者说均值回归正常
[10:55] 也许通膨压力就没这么大了
[10:57] 这有点小技巧了
[10:59] 但是必须承认
[11:00] 如果这件事情最后没有影响到
[11:02] 科技产品的大幅上涨的话
[11:03] 那的确是可以说适度调整的
[11:05] 好但不管怎么说
[11:06] 至少现在联准会最大的敌人
[11:09] 甚至都不是记忆体价格的上涨
[11:11] 为什么
[11:11] 因为还没有反映到终端消费品的暴涨
[11:14] 那能源通膨看起来物价就卡在这边
[11:17] 所以重点在于释放紧缩谈话
[11:20] 让市场的囤货预期消失
[11:22] 告诉大家不要乱囤货
[11:24] 像日本央行
[11:25] 这一次即便直天河南
[11:27] 因为是肝囊肿感染住院
[11:31] 所以他下礼拜的日央的货币政策
[11:33] 不会出来
[11:35] 但是多数经济学家还是预估
[11:37] 日本央行可能被迫升息一码
[11:39] 你要知道日本经济
[11:40] 从GDP表现也不算特别好
[11:43] 现在要把政策利率从0.75%
[11:45] 上调到接近1%
[11:48] 那也就是创下30年来的高点
[11:51] 不过消息公布之后
[11:52] 日元反而一度贬值到160
[11:54] 这也导致日本政府再度采取适度干预
[11:58] 那这件事情就意味着
[12:00] 即便日本内部的经济成长幅度
[12:03] 已经不像过去两年这么强劲了
[12:04] 可是日央还是意识到了
[12:06] 内部的通膨压力开始陆续出现
[12:08] 那当然我们就取决于两个阶段
[12:10] 第一个阶段就是刚才聊到的
[12:12] 记忆体通膨的指数的编撰调整
[12:15] 那第二个阶段是科技通膨
[12:17] 到底会不会真实反映记忆体价格的上涨
[12:20] 因为AI把货都给拿走了
[12:22] 那PC手机就被迫要进行价格调涨
[12:25] 还是说刚刚好在价格调涨的过程当中
[12:28] 大家不愿意换机了
[12:29] 那也是一种消费的通缩
[12:31] 来冲销掉科技产品的通膨
[12:33] 那第三点
[12:34] 最简单解决这件事情的
[12:35] 重新回到伊朗战事前的水位
[12:38] 那应该大家都没有意外
[12:40] 就有共识就要降息了
[12:41] 我们看川普这一次
[12:42] 对伊朗再度发出了强硬警告
[12:44] 你再不签协议
[12:46] 我就要发动总攻击
[12:47] 前一天美军已经采取了报复性行动了
[12:50] 那避险情绪是适度升温
[12:52] 川普现在还是处于边打边谈的阶段
[12:55] 但是如果我们看
[12:56] 希德州原油布兰特原油
[12:58] 其实就卡在90美元了
[12:59] 好像也没有进一步的失控
[13:01] 大家就愿意接受原油价格长期盘整
[13:03] 在这样的一个区间
[13:04] 真正我们关注的是库存问题
[13:06] 目前根据美国能源资讯署的最新数据
[13:09] 美国原油的库存单周已经减少723万桶
[13:13] 这连续期都下滑了
[13:14] 从现行图看得出来
[13:15] 现在情况跟2014年差不多同样危急
[13:19] 那当然这也就意味着
[13:20] 油价没有因为战争失控而飙升
[13:23] 但是呢
[13:24] 大家的库存量都在往下滑
[13:25] 那这要如何来做理解呢
[13:27] 第一个理解就是
[13:29] 那是不是有人的需求减少了呢
[13:31] 我们如果细看
[13:32] 最特别最特别在本轮市场当中
[13:35] 大家特别关注的
[13:36] 其实就是中国市场
[13:37] 一方面
[13:38] 中国在最新的CPI年增幅只有1.2%
[13:41] 还低于市场预期的1.3%
[13:43] 猪肉价格甚至暴跌16%
[13:45] 把整个物价指数给往下拉了
[13:47] 与此同时
[13:48] 中国的石油进口量
[13:50] 居然突然之间创下8年来新低
[13:52] 大家不是现在能源需求都很强吗
[13:57] 或者说现在AI的发展
[13:59] 照来讲能源进口量的创高
[14:00] 都算是符合预期的
[14:02] 结果5月份的原油进口量
[14:03] 只剩下3300万桶
[14:05] 平日大概每天是780万桶
[14:09] 这个是过去8年来的最低水准
[14:12] 这就非常特别了
[14:14] 那说明着全球很缺油
[14:16] 全球石油价格大涨
[14:17] 但是有一个国家他不买油了
[14:19] 但他的出口产出看起来也没有因此而减少
[14:22] 好这表面上看起来就
[14:24] 该不会是中国需求崩了吧
[14:25] 怎么会进口石油这么少呢
[14:27] 突然之间
[14:27] 那另外一方面有两个角度
[14:29] 一个角度是北京对于成品油的价格设有受限
[14:33] 所以先压缩炼油利润
[14:36] 什么意思
[14:36] 就是我就是不要你买这么多油
[14:39] 那你就少赚一点钱吧
[14:40] 那第二种逻辑
[14:42] 是目前中国所公布的经济数据
[14:44] 的确在消费市场并没有大幅的好转
[14:47] 依循着全球AI半导体行情
[14:49] 这就意味着市场上
[14:51] 中国需求的疲软
[14:53] 反而稳住了全球的原油的供给问题
[14:56] 那另外一大方面
[14:57] 是来自于中国过去几年
[14:59] 其实已经累积了超过10亿桶的战略原油储备
[15:02] 所以即便短期减少进口
[15:04] 还是能够靠国内需求来做支撑
[15:07] 看起来中国国内目前也没有出现任何缺油危机
[15:10] 反而是看开工率的部分
[15:12] 张图表是中国国有炼油厂的开工率
[15:14] 今年突然就疯狂下跌
[15:16] 目前已经跌66.9%
[15:18] 创下历史新低
[15:19] 炼油厂的开工率
[15:21] 通常被视为工业活动
[15:23] 和能源需求的重要领先指标
[15:25] 那现在国营的炼油厂
[15:27] 还在减产
[15:28] 反映
[15:29] 照来讲
[15:30] 因为出口已经创高了
[15:31] 那现在全球的AI需求拉动也不错
[15:33] 那说明
[15:34] 可能是内部的终端需求不足
[15:36] 成品油
[15:37] 现在中国内部反而库存过高
[15:39] 那另外一方面
[15:40] 如果我们细看
[15:41] 这是中国地方炼油厂
[15:43] 我们通常简称为地炼
[15:44] 地链的进口原油的利润率
[15:47] 26年突然出现崩跌
[15:49] 最近甚至跌到负值
[15:51] 这说明着
[15:52] 看起来中国内部经济
[15:54] 是遇到了一定程度的挑战
[15:56] 居然帮助全球降温通膨
[15:58] 没有消费
[15:59] 连进口连石油的需求量都不是特别高这是非常非常有趣的迹象那当然这是对于中国市场而言对于通膨的抑制作用它现在通膨还低于预期才1%
[16:09] 那对于韩国对于台湾而言
[16:12] 它就产生了新一轮的冲击
[16:14] 为什么呢
[16:14] 我们在我们这一轮之所以没有受到太大的影响
[16:17] 是因为南韩日本台湾都在做原油价格的直接性补贴
[16:21] 那不管是计程车补贴
[16:22] 还是原油价格上的直接性补贴
[16:26] 那另外一大方面
[16:27] 南韩日本台湾都受惠于本人的AI浪潮
[16:30] 所以从投资人角度而言
[16:32] 我的资产价格是远远大于
[16:34] 油价或者消费的物价者指数的
[16:36] 可是从南韩物价指数来看
[16:38] 现在年增幅也重新站上了3%
[16:40] 大概是台湾的1.5倍左右
[16:42] 私人服务业通膨
[16:44] 更是超过到接近有4%左右
[16:46] 所以这一波AI带来的热潮
[16:48] 已经开始往实体基本面来做扩散
[16:51] 台湾的部分在5月份CPI
[16:53] 来到2.2%
[16:55] 创下14个月的新高
[16:56] 再度站上了央行和市场关注的
[16:59] 2%的通膨的警戒线
[17:00] 我们要知道台湾通膨
[17:01] 长期在2%以下
[17:03] 算是央行的重要观察指标
[17:06] 那突破2%以后
[17:07] 你说跟美国比还好
[17:09] 那我们要这样讲
[17:10] 台湾的通膨2%
[17:13] 大概等于美国通膨的4%
[17:15] 如果从央行的警戒程度来看的话
[17:18] 那台湾通膨1%
[17:19] 大概等于美国通膨2%
[17:21] 所以更值得关注的是
[17:22] 生产端的价格变化
[17:23] 因为现在台湾的CPI是2.2
[17:25] 大家知道台湾的PPI是多少吗
[17:28] 14%
[17:29] 这个是疫情以来的新高
[17:31] 所以大量的能源进口商压力非常大
[17:35] 不过政府做补贴了
[17:36] 所以民间目前为止
[17:38] 是几乎完全感受不到的
[17:40] 尤其现在是紧急掉现货
[17:41] 你有没有发现你用的油用的电
[17:43] 不会有任何的限制措施
[17:45] 它也没有说你一定要减少使用
[17:47] 但全球能源的库存量越来越低
[17:49] 这就说明着台湾的现货价格
[17:52] 买得越来越贵
[17:52] 今年前四个月
[17:54] 台湾从美国进口的原油金额
[17:56] 已经冲高到25亿美元
[17:57] 年增幅7.3
[17:59] 创下历年新高
[18:00] 如果单看4月份
[18:01] 美国原油占台湾的进口占比
[18:03] 已经冲高到43.2了
[18:05] 那更重要的事情是
[18:07] 来自于不管是天然气等等产品
[18:09] 台湾对于美国能源的依赖程度
[18:12] 就越来越高
[18:12] 可是现在很多买的货
[18:13] 是现货价直接购买
[18:15] 那就买的特别贵
[18:16] 所以这就说明
[18:18] 在这场中东战事当中
[18:20] 美国当然内部是有压力
[18:22] 可是美国的燕油商
[18:23] 已经成为了本场能源重组当中
[18:26] 一个最大的受益者
[18:27] 台湾的能源
[18:28] 以前是仰赖阿拉伯人
[18:30] 以后变成仰赖美国人
[18:31] 美国现在石油供应
[18:32] 已经是台湾最大的供应者了
[18:35] 与此同时
[18:35] 交通部所采取的态度是
[18:37] 我买的现货价格是很贵了
[18:38] 但我必须立即进行价格稳定
[18:41] 举例来说
[18:42] 上个月计程车补助
[18:44] 美车才宣布要补贴6000块
[18:47] 居然在这个月又增加9000块
[18:49] 美台计程车可以增加1.5万块的补助
[18:52] 这是已经在原油价格的补助之上
[18:55] 再补贴每车
[18:56] 计程车司机爱死中央了
[18:59] 那政府当然希望
[19:00] 透过补贴的方式
[19:01] 来吸收部分燃油成本
[19:03] 目前也宣布
[19:04] 公路客运
[19:05] 国内船舶
[19:05] 国内的航空票价
[19:07] 全面采取动涨
[19:08] 至少一路到9月份
[19:10] 那除了交通运输之外
[19:11] 其他像是混凝土
[19:13] 医疗
[19:13] 塑胶材料
[19:14] 民生公共用具
[19:15] 原物料价格的变化
[19:17] 全面采取动涨
[19:18] 如果你要涨之前
[19:19] 你先看看你有没有领到补贴
[19:21] 你有领到补贴你还敢讲
[19:23] 那你就是跟政府作对了
[19:25] 所以在这样的一个效果底下
[19:27] 市场上会开始产生进一步的能源轮替
[19:30] 第一个能源轮替
[19:31] 就是我们的最大能源的进口国
[19:32] 基本上已经大幅的仰赖美国和澳洲
[19:35] 那美国的占比提升幅度来得更快
[19:37] 那第二个就是
[19:38] 全球在这一次的伊朗战事当中
[19:40] 都开始强化了
[19:42] 除了蓝煤蓝气蓝油以外的相关供应链调整
[19:46] 再过两个月
[19:47] 基本上台湾在八月份开始
[19:50] 屋顶的光电计划就要强制上路了
[19:53] 百万片的太阳能板
[19:55] 会进入到各地的工厂
[19:57] 内政部最新的规定
[19:58] 是从8月份开始
[19:59] 新建增建或者改建
[20:01] 面积达300平以上的建筑物
[20:03] 基本上就是常办了
[20:04] 屋顶是强制一定要设立太阳能发电设备
[20:07] 那基本上政策上路前
[20:09] 我们当然知道有争议
[20:10] 但是争议有钱
[20:11] 目前争议并不是要不放太阳能板
[20:15] 因为你看像是法国日本加拿大德国
[20:18] 早就这样开始做了
[20:19] 那这也是台湾长期以来
[20:21] 能源多元化的方向
[20:22] 现在比较大的争议是
[20:24] 未来不管是台风
[20:27] 强风防灾风险
[20:28] 那配套措施有没有做好
[20:30] 那包括掉下来
[20:31] 砸到人
[20:32] 那这个是属于安装者的问题
[20:35] 还是厂办要负责
[20:37] 这些相关的问题
[20:38] 它有一些公共安全
[20:40] 和能源转型当中的平衡
[20:41] 但这件事情都说明出来
[20:43] 伊朗战事已经改变了一切
[20:45] 阿拉伯人的龙井可能回不去了
[20:47] 当然随着通膨的升温
[20:49] 大家最关注的就是央行的态度
[20:50] 联总是一定要释放相对鹰派的谈话
[20:53] 不一定要升息
[20:54] 但一定要鹰派
[20:54] 台湾要不要释放鹰派谈话呢
[20:57] 就很有趣了
[20:58] 五月份这次CPI已经占上2%
[21:00] PPI已经暴动了
[21:02] 那杨总才在昨天讨论升息的过程当中
[21:05] 他说他盯的是通膨的预期
[21:07] 而并不是通膨的数字
[21:09] 当然这只是打询
[21:10] 所以只是口头上做一些带过
[21:12] 可是大家更为关注的是
[21:14] 如果接下来有采取升息的可能性
[21:16] 那么过去的房市信用管制
[21:18] 是否还会持续呢
[21:20] 我们看这一次杨总裁
[21:21] 是比较直接性的表态
[21:23] 他说房市选择性的信用管制
[21:25] 就到这里了
[21:27] 我给你送好就交给你
[21:29] 杨总裁有听吴越天的歌
[21:31] 但杨行的一句话
[21:33] 让市场上关注到
[21:35] 会不会房市的最强利空
[21:37] 已经过去了呢
[21:38] 生意嘛 申办嘛
[21:39] 其实大家的感受幅度
[21:41] 不是特别大吗
[21:42] 那利率就这么低
[21:43] 重点是信用管制的放松
[21:45] 是否代表着
[21:46] 贷款金额有机会归来呢
[21:48] 不过要了解
[21:49] 他说就到这里
[21:50] 而不是取消房屋信用管制
[21:52] 所以这是某种程度而言
[21:54] 代表的事情是
[21:56] 接下来管制有机会持续维持
[21:59] 所以他其实并不是一个多大利多
[22:01] 不过我看昨天
[22:02] 银建股看起来是非常开心
[22:03] 我们事实上可以观察到
[22:05] 房价在过去五年
[22:07] 应该算是第一次房价开始做松动
[22:10] 去年全国房价
[22:11] 即便成交量是减了一半以上
[22:14] 不过房价大概跌3.6%
[22:16] 新北跌1.61%
[22:17] 台北市是完全不跌了
[22:19] 那跌幅比较重的
[22:20] 主要集中在台中台南和高雄
[22:22] 整体跌幅大概是4%到6%
[22:24] 当然有些人感觉
[22:26] 体感温度好像根本没跌
[22:27] 没错
[22:27] 其实重灾区主要是
[22:29] 中古屋的老公寓市场比较多
[22:31] 预售价格波动幅度
[22:33] 本来一直以来都比较大
[22:35] 本来就可以杀比较低
[22:36] 但整体而言
[22:37] 有很多预售区域
[22:38] 目前价格还在破高
[22:40] 那真正要观察重点来自于
[22:42] 市场上会期待
[22:43] 如果房市接下来
[22:44] 还有持续松绑的可能性
[22:46] 那股价现在在回调
[22:47] 那这一波市场有一股共识
[22:49] 不是有很多房东资金进股市吗
[22:52] 那未来房地产市场开始活络
[22:54] 那股市又开始回调
[22:55] 资金会不会跑回到房市呢
[22:57] 从过去的实证效果
[22:58] 我们来做统计
[22:59] 包括从金融海啸
[23:01] 欧债危机
[23:01] 美中贸易战
[23:02] 新冠疫情
[23:03] 虽然我不觉得会跌这么重了
[23:04] 不过过往的表现来看
[23:06] 当全台股市正在做大幅度修正
[23:09] 修正幅度来到10%以上的时候
[23:11] 其实房价半年房价
[23:13] 几乎都没在动
[23:14] 而且甚至在过去六次的统计当中
[23:17] 甚至都是小涨
[23:18] 所以房股之间的确具有一定程度的平衡效果
[23:22] 可是我个人的看法是
[23:23] 也不会说一定是百分之百的存量转移
[23:27] 因为大家稍微有点sense都知道
[23:29] 现在股东就是房东
[23:30] 就这一波AI带动的台股新管家
[23:33] 很明显有那种房东股东化的迹象
[23:35] 就过去因为房市信用管制
[23:37] 贷款限制
[23:38] 投资报酬率的下滑
[23:39] 部分原本活跃于房地产市场的资金
[23:43] 就开始转向股市
[23:44] 那他们带来的投资逻辑
[23:45] 其实跟买房一模一样
[23:47] 买房只买蛋黄区
[23:48] 买股只挑龙头股
[23:50] 买房习惯贷款放大爆宠
[23:52] 买股就透过质押融资方式提高杠杆
[23:56] 重点是他们不像传统
[23:57] 有些短线大户
[23:58] 每天盯盘杀进杀出
[24:00] 这些房东他们买股票跟买房地产一样把股票当成数位资产长期持有所以他们买的就是台积电 联发科 AI指标股跟买精华地段一模一样价格波动只是过程
[24:13] 而且更容易耐得住性质
[24:15] 所以在这样的一个效果底下
[24:16] 就变成了
[24:17] 在过去两年当中
[24:19] 房地产真正产的是交易量
[24:21] 就是没有人愿意买
[24:23] 宁愿不卖
[24:24] 也不愿意做任何价格的松动
[24:25] 就跟你耗
[24:26] 反正我就先
[24:27] 房位底下贷款
[24:29] 先把钱进股市
[24:30] 那赚多了
[24:31] 我现在也不急着缺钱就不会卖了
[24:33] 没有断头
[24:33] 没有市场的压力
[24:34] 他就不会想要卖房
[24:35] 这是看起来市场上
[24:37] 这些持有房屋者的主流看法
[24:39] 那当然了
[24:39] 重点就要观察
[24:40] 接下来的总销金额的变化
[24:42] 如果呢
[24:43] 并不是由中古屋组
[24:44] 做大幅度的价格松动
[24:46] 那就要看一下预售屋
[24:47] 在今年会不会有持续松动的空间
[24:49] 即便央行事务已经止步了
[24:51] 我们看在过去一年当中
[24:53] 整体全台十大建议商的指标推案
[24:55] 最多的还是保家
[24:56] 有1750亿
[24:58] 华固是606亿
[25:00] 新复发481亿
[25:02] 另外是国城原力
[25:04] 茂德新润
[25:05] 所以基本上最后还是看保家
