[00:00] 我是朋友大家好,欢迎收看市场观察
[08:47] 平均年薪大概40到43万
[08:49] 开出这种薪资
[08:50] 的确对于企业而言
[08:52] 它是一把双面刃
[08:53] 企业薪水偏低
[08:55] 一方面你当然可以压低人事成本
[08:57] 你可以在短期内去提高获利能力
[08:59] 有助于EPS的表现和股东回报
[09:01] 可是你持续这样子低薪
[09:03] 你就很容易导致招募困难
[09:05] 而且人员流动率提高
[09:06] 你要进行持续性的再教育
[09:08] 尤其在缺工已经成为常态的影响底下
[09:11] 最后就会直接影响到你的服务品质
[09:13] 生产效率
[09:14] 甚至导致运营瓶颈
[09:16] 在这种少子化的趋向底下
[09:18] 它形成第一波我们看到台商的出走潮
[09:21] 台商其实一直都在出走
[09:22] 只是有时候是到中国
[09:23] 有时候到东南亚
[09:24] 有时候到日本
[09:25] 现在往美国来去
[09:26] 一方面当然是政治上的压力
[09:28] 可是另外一方面
[09:29] 其实根本原因就是
[09:31] 本地人力供给相当稀缺
[09:33] 包括工资和法规的成本上升
[09:35] 也是企业自然会把产线往外放的主因
[09:38] 我们从台湾的人口结构图就看得出来
[09:41] 这张图表示台湾的15到64岁的工作年龄人口
[09:45] 其实在2015年10年前就已经见点了
[09:48] 当时是1737万人
[09:50] 到目前为止
[09:51] 大概已经缩减了有100万人左右
[09:54] 这样就代表着
[09:55] 台湾已经出现了结构性的找不到人现象
[09:58] 产线缺技术工
[09:59] 服务体系也缺基层能力
[10:01] 工程研发也同样吃紧
[10:03] 最后台商往外出走
[10:05] 他是一个不得不
[10:06] 他一定要走出去
[10:07] 当然这不一定是一件坏事
[10:09] 这就代表着
[10:10] 接下来由于就业市场相当良好
[10:13] 台湾人一定可以找到工作
[10:14] 更重要的事情是
[10:15] 台商趁这一波走出去以后
[10:17] 未来我们的小孩子
[10:19] 也许都是顶尖的台干
[10:21] 毕竟人口数
[10:22] 每年出生人数
[10:23] 从10万9万8万7万
[10:24] 到时候台商要走出去
[10:27] 肯定小孩子也是飞来飞去
[10:28] 新加坡的策略就是这样子
[10:30] 一边把国家推向国际舞台
[10:32] 另外一方面
[10:33] 用清晰可与预期的制度和游戏
[10:35] 把国际资本企业吸引进来
[10:38] 鼓励本地人
[10:39] 大学研究所就向外念书
[10:41] 念好书培养出一批
[10:43] 具有国际视野和实战经验的人
[10:45] 也许有一天
[10:46] 你可以带你的美国先生回来
[10:47] 你可以带你的日本太太回来
[10:49] 甚至带一整条公益链回来
[10:51] 重新的创业
[10:52] 就好像当年的张忠谋先生一样
[10:54] 所以王子变王爷
[10:56] 公主变王妃
[10:57] 我们看到台湾赴美工作人数
[10:59] 也在持续冲高
[11:00] 我们根据主技处的数据
[11:01] 台湾赴美工作的人数
[11:03] 去年已经高达12万人
[11:05] 这几年持续走高
[11:07] 现在有不少的工程师住在凤凰城
[11:10] 而且女性赴美工作的人数
[11:12] 又比男性还要来得高
[11:13] 这其实一方面
[11:14] 也跟台湾的两性平权有关
[11:16] 女性其实更有进一步的经济独断权
[11:19] 相对于日韩
[11:20] 比如说像在台湾
[11:22] 台湾在去年离婚人口数有5.3万对
[11:25] 其中离婚的中位数是8.3年
[11:27] 只比7年只养多一年
[11:29] 很多女性在结婚时
[11:30] 的确是遇到了爱情
[11:31] 可是在婚后
[11:32] 如果男性死性不改
[11:34] 或者没有提供更进一步的幸福感
[11:36] 现在女生都有自己的经济能力
[11:38] 当然就会选择果断离婚
[11:40] 这就是一个时代平权的进步
[11:42] 与此同时
[11:43] 女性也有更多的经济能力
[11:44] 可以负担在爱情当中所遭遇的变数
[11:47] 女人也越来越了解男生的特征
[11:50] 赚钱的男生顾不上家
[11:52] 顾家的男生赚不了钱
[11:54] 听话的男人不独立
[11:55] 勇敢的男人他固执
[11:57] 帅气的男人花钱多
[11:58] 省钱的男人不时尚
[12:00] 能干的男人太霸道
[12:01] 十全十美的男人在梦里
[12:03] 还是犒赏自己是最好的
[12:05] 男生会背叛你
[12:07] 但是房子不会
[12:08] 那同时间男性结婚的时间也在延后
[12:10] 确保有足够的经济条件之后再结婚
[12:13] 我们根据健康署的建议
[12:15] 台湾的适婚年龄是25岁到35岁
[12:17] 不过这个区间的结婚率是在快速的下行
[12:20] 女孩子从10年前的52%
[12:22] 下滑到现在的41%
[12:24] 男生则是从37.5%下滑到29.8%
[12:27] 不过为什么女性在25岁到35岁的结婚率
[12:31] 还是比男生高了1.4倍
[12:32] 即便近年已经有平权进步
[12:35] 这是因为女性本来在心智上就比较早熟
[12:38] 所以在择偶上通常也会选择
[12:40] 年龄比自己大一点的成熟男性
[12:42] 男性则是在进入中壮年以后
[12:44] 心智才逐步成熟
[12:45] 渐渐了解自己年轻时的幼稚和愚蠢
[12:48] 可惜物是人非
[12:50] 当年喜欢的女孩
[12:51] 不可能永远停留在18岁等你
[12:54] 但是永远有18岁的女孩
[12:56] 所以在这样效果底下
[12:57] 就造成了
[12:58] 整体结婚年龄的持续延后
[13:00] 也降低了生育率的可能性
[13:02] 在这样效果底下
[13:03] 我们看到台商
[13:04] 也正式的走出去了
[13:05] 毕竟缺工已经成为常年形态
[13:08] 基本上台湾企业
[13:10] 不可能在台湾找到更多的人才
[13:12] 因为人口数根本就在缩减
[13:14] 所以台厂就用四倍的薪资
[13:16] 到海外到处抢人
[13:17] 我们看到不管是德州
[13:19] 还是凤凰城
[13:20] 各地地区都有台商的据点
[13:22] 从AI伺服器的产线
[13:24] 伪创鸿海台大店等台湾的供应链
[13:26] 把德州当成美国扩张的前线
[13:29] 服务业和金融业也跟着过去
[13:31] 其实不管是从长龙物流到玉山银行
[13:33] 甚至现在连八方云集都已经开设了中央工厂
[13:37] 这一波不管是德州乐还是亚利桑那乐
[13:40] 它追逐的也不是单纯补贴或者跟风
[13:42] 而是一方面关税压力存在
[13:45] 另外一方面
[13:45] 台湾已经找不到更多的顶尖人才了
[13:48] 到美国去到日本去
[13:50] 走出去是一个必要的方向
[13:52] 台厂面对的是一个越级打怪的三连级
[13:55] 一方面是人
[13:56] 需要找到懂美国电子制造的台干的稀缺
[13:59] 互相挖角已经成为常态
[14:01] 美国员工对工时
[14:03] 对于家庭对于职场都非常敏感
[14:05] 台商也在重新的适应
[14:07] 第二是行政和速度
[14:08] 美国时间本来就很慢
[14:10] 德州呢又更慢
[14:11] 选址管线许可补贴时机都有可能会踩雷
[14:14] 所以啊就要有更多的这种
[14:16] 对于美国情势了解的人
[14:18] 来帮忙工作
[14:19] 第三是成本和极简
[14:20] AI产线吃电很精准
[14:22] 用电可能是一个工厂的好几倍
[14:24] 蓝铃的薪资是4000美元起跳
[14:27] 在这样的情况底下
[14:28] 虽然台干还是有一些薪资的吸引力
[14:30] 可是还是要持续向外找人
[14:32] 而且向国际能力集团来进行招募
[14:35] 我们看到银行业也跟着过去了
[14:37] 最近在金控业
[14:39] 美国的子分行
[14:40] 不管是和库
[14:41] 一金
[14:41] 兆丰金
[14:42] 永丰金
[14:43] 玉山金
[14:43] 陆续都抵达美国
[14:45] 来相对应顺应着半导体行情
[14:47] 开始开取分点
[14:48] 甚至连建商都是如此
[14:50] 我们知道这两年
[14:51] 台湾房地产在央行紧缩
[14:53] 和地缘政治的影响底下
[14:55] 持续启动
[14:56] 成交量创下9年的新低
[14:58] 但是一大批的建商
[14:59] 由于这几年已经赚饱饱
[15:01] 手上现金很多
[15:02] 但是无处可投
[15:03] 结果就开始往海外来做部件
[15:06] 最多关注的是自购土地
[15:08] 自建自售的海外开发模式
[15:10] 你像是在马来西亚的马六甲
[15:12] 台湾建商会直接盖下饭店
[15:14] 酒店式公寓
[15:15] 也不靠中介卖案
[15:16] 拜年就可以卖掉七成
[15:18] 买家横跨台湾中国日韩
[15:20] 那关键呢
[15:21] 不止在于我们要打造成观光乐度
[15:23] 而是从台湾品牌向外走出去
[15:26] 另外一条是出海路线
[15:27] 跟着台积电走
[15:28] 很多建商看准半导体设厂
[15:31] 必然会带动居住需求
[15:32] 所以锁定了日本熊本
[15:34] 美国Arizona等等
[15:35] 你像亚新集团和大陆建设
[15:37] 就在马来西亚来做部件
[15:38] 松岳集团往菲律宾
[15:40] 做工业厂房和饭店
[15:42] 日本的部分主要供熊本
[15:44] 不管是维格汽车旅馆
[15:45] 还是3D开发
[15:46] 都开始做相关的出租宅
[15:48] 美国的部分
[15:49] 大陆建设
[15:50] 达力建设和群昆建设
[15:52] 都开始新建出租公寓
[15:54] 尝试的把台湾的油资
[15:56] 向外来进行投放
[15:57] 所以拥抱AI这件事情
[15:59] 不管是厂商还是个人
[16:00] 本质上大家都不是等到
[16:02] 看懂全部才行动
[16:04] 每个人都是先进厂
[16:05] 边做边调整的过程
[16:07] 对很多台商来说
[16:08] 这个时候不能够停下来
[16:10] 许多人会担心觉得差之毫厘失之千里但浪口来了其实已经没有时间可以等待应该是失之毫厘插之千里到底是先插再失还是先失再插
[16:22] 那都是同样的意思
[16:24] 不管后续怎么样都可以调整
[16:26] 重点是要拥抱未来
[16:27] 台商是如此
[16:28] 个人也是如此
[16:29] 所以在这样效果底下
[16:31] 就形成了大量的台湾人口劳动力的需求
[16:34] 这种少子化的趋向
[16:36] 会如何影响到台湾国内
[16:37] 很明显
[16:38] 那就是第一要开始让老年龄人口回来了
[16:42] 延长退休时间
[16:43] 我们看到台湾的老年龄人口工作数占比其实相当低
[16:47] 65岁以上的高龄劳动参与率只有9.9%
[16:51] 远远低于南韩日本新加坡
[16:53] 南韩有38
[16:55] 日本有25
[16:56] 新加坡有31
[16:57] 台湾居然只有9.9
[16:59] 当然这不可能是因为台湾老年人退休生活特别惬意
[17:03] 单纯是就业结构问题
[17:05] 因为现在很多企业的文化还是偏向年龄歧视
[17:08] 导致很多55岁到60岁之间的劳工
[17:11] 被迫提前退休
[17:12] 同时间社会保障的制度
[17:14] 还是以退出劳动力市场为前提
[17:16] 就是你要先退才能够回来
[17:18] 劳保年金制度是激励人们提早请领的
[17:22] 缺乏让高龄者能够持续参与的诱因
[17:25] 所以这个时候
[17:26] 由于台湾已经极度缺工了
[17:28] 你看日本他就很积极的推动再就业
[17:30] 很多便利商店都是银发族在做
[17:32] 高龄者被视为经济资产和劳动力的补充
[17:36] 所以随着台湾进入到超高龄社会
[17:39] 年轻劳动力人口持续收缩
[17:41] 我们如何透过法规的改革
[17:43] 职场的文化转型和技能再教育
[17:46] 让65岁以上的人口重返劳动力市场
[17:49] 这个是接下来是否能够解决缺工的重要问题
[17:52] 毕竟很多人口老了他也不去做正事
[17:55] 举例来说
[17:56] 你像在去年查获老年龄嫌疑犯的人数持续崇高
[18:00] 诈骗产业也越来越缺工
[18:02] 新进的车手现在连年轻人都找不到
[18:05] 就必须靠退休族
[18:06] 我们从去年的刑事警政署数据来看
[18:09] 在过去老年龄嫌犯当中
[18:11] 诈骗术案相对于前一年多了508件
[18:14] 那的确有很多老年人
[18:15] 他因为经济压力
[18:17] 因为养老金的不足
[18:18] 求职困难
[18:19] 他就被吸收了
[18:20] 变成诈骗集团的替代品
[18:22] 跟窃盗公共安全
[18:24] 驾驶过失这些传统案件来相比
[18:26] 诈骗案件的成长相当惊人
[18:28] 欢迎这些人重新重返劳动力市场
[18:31] 也是规避他们去犯罪的一种方式
[18:33] 所以如果有机会
[18:35] 能够让65岁以上的劳动参与率
[18:37] 持续上升
[18:38] 它是一个必然的发展
[18:39] 我们已经从2019年的8.3%
[18:41] 上行到9.9%
[18:43] 那我觉得至少要往日本看齐
[18:45] 来到两层三层
[18:46] 65岁以上的人口继续工作
[18:48] 才能够有效的缓解缺工问题
[18:51] 那另外一方面
[18:52] 也要开始借由外籍劳动力名额的松绑
[18:54] 来确保台湾有足够的底层劳动力
[18:57] 我们举例来说
[18:58] 现在台湾正面临最好的时代
[19:00] 也是最难的时候
[19:01] 因为少子化
[19:02] 但是更缺劳工
[19:04] 因此产业出海的定义就必须重塑
[19:06] 现在除了实体过章
[19:08] 台湾也开始采取一系列的
[19:10] 外界劳动力的名额松绑
[19:12] 在今年开始
[19:13] 制造业的部分开始进行松绑
[19:15] 旅宿业 码头 商港业也开始松绑
[19:19] 但是还是有区别
[19:20] 比如说帮一名劳工本薪加薪2000块
[19:23] 就可以多增加一名的移工
[19:25] 所以国内的劳工跟海外移工
[19:28] 还是要有薪资上的一个差距
[19:29] 再来在制造业的部分
[19:31] 我们预估也会进行全面性的放宽
[19:33] 包括放宽技术能力和流用的上限
[19:36] 我们要清楚知道
[19:37] 因为台湾的移民政策相对不友善
[19:39] 所以对于很多东南亚人来说
[19:41] 他们可能更偏好去日本或者韩国
[19:43] 或者其他国家
[19:45] 欧美系国家有更多的可能性
[19:47] 原因在于台湾的移民并不够弹性
[19:50] 举例来说
[19:51] 如果台湾人想要移民
[19:52] 移工是不能够取得永久居住权
[19:55] 必须由雇主协助申办
[19:57] 技术人员继续工作满五年
[19:59] 而且符合薪资或者专业资格
[20:01] 才能够申请永居
[20:02] 代表很大程度取决于你老板的脸色
[20:05] 日本做法就不是如此
[20:06] 移工你是不需要经过雇主的同意
[20:08] 你只要通过日本的国内的专业技能试验
[20:11] 透过特定技能签证
[20:13] 就可以无限次的更新你的签证
[20:15] 也可以吸加代卷来留居日本
[20:17] 甚至长达十年你还可以生存永居
[20:20] 另外一方面
[20:21] 台湾的技术能力
[20:22] 还是由资深移工来进行转任
[20:25] 但是日本是直接你通过考试
[20:27] 你就可以来旅宿
[20:28] 护理 营建或者餐饮业
[20:30] 在种种效果底下
[20:31] 其实各国对于海外移工的吸引力来得就更高
[20:34] 那台湾现在的不只要移工啊
[20:36] 我们还要更为优良
[20:37] 技能更好的移工
[20:39] 这个时候就应该进行法规上的调整
[20:41] 其实台湾开放外劳的速度也很快啊
[20:43] 台湾这几年真的很缺工
[20:45] 比日本还要快
[20:46] 特别是在长照和制造业领域
[20:48] 目前台湾外籍劳工啊
[20:50] 超过了80万人
[20:51] 占整体劳动力人口大概是7%
[20:53] 比例是日本的两倍
[20:55] 80万人口不小
[20:56] 印尼、越南、菲律宾、泰国的劳工
[20:58] 成为台湾经济不可或缺的一部分
[21:01] 像是在中山北路三段的小马琳拉
[21:03] 就聚集了很多菲律宾的社群
[21:05] 从餐馆到教堂到夜店
[21:07] 它都变成一整条的完整生活圈
[21:09] 为了长年的移工稳定
[21:11] 我们看到台湾正在转型成东南亚留学中心
[21:15] 在过去十年来台就学的境外学生人数
[21:17] 已经从2013年的3.4万人
[21:20] 来到现在是9.1万人
[21:22] 翻了三倍
[21:22] 在高中更是呈现爆炸式成长
[21:25] 从不到千人
[21:25] 现在来到1.3万人
[21:27] 很多东南亚籍的学生
[21:28] 他是透过教育部的新南向专班
[21:31] 来台湾念书
[21:32] 从科大开始读
[21:33] 一周有四天在产业实习
[21:36] 不只可以缓解台湾的缺工问题
[21:38] 拯救私校收入
[21:39] 也可以引进相关
[21:41] 他在出社会之后的一些服务业
[21:43] 比如说泰拳培训
[21:44] 南洋餐厅
[21:45] 泰式按摩
[21:46] 粤式习法等等
[21:47] 这都是一个新的文化
[21:49] 乔委会所主办的三家式乔生专案
[21:51] 这十年来
[21:52] 其实扩张速度也非常快
[21:54] 当然这些学生我们也必须了解
[21:56] 并不是为了读书而来
[21:58] 你像是过去一年就有6500名学生
[22:00] 正常一个月以后
[22:01] 学校就会把他们给送出实习
[22:03] 很多人会到大卖场
[22:05] 到连锁餐厅
[22:06] 到五星级的饭店
[22:08] 加入房务员
[22:09] 餐厅服务生
[22:09] 理货员的行列
[22:10] 我去里头法就常常遇到
[22:12] 人不只技术好
[22:13] 亲切温柔
[22:14] 还可以跟他练英文
[22:15] 当然后续也引发了一系列的
[22:18] 移工失联问题
[22:19] 因为台湾虽然在非法移民
[22:21] 或者失联移工的暴力犯罪程度
[22:24] 不像欧美来的这么高
[22:25] 可是失联人数其实是蛮多的
[22:27] 在台湾目前80万名移工当中
[22:30] 失联了8万人找不到
[22:31] 犯罪大概是4000多起一年
[22:34] 移民署曾经博南大陆正式修法
[22:36] 从去年3月起
[22:38] 如果预期治台行政罚还会提高5倍
[22:41] 从原本罚你1万变成罚5万
[22:43] 不过去年根据桃园市政府的数据
[22:46] 桃园有3名失联移工还主动自首
[22:49] 但是因为缴不起5万块的罚款
[22:51] 又无法被收容
[22:52] 遭到桃园专勤队退货转向基隆
[22:55] 然后又二度被退再度失联
[22:57] 这个就是数万人失踪所造成的效果
[23:00] 在各国当中
[23:01] 哪一个国家的移工最会跑呢
[23:03] 答案是越南人
[23:04] 越南移工的在台人数大概是28万人
[23:07] 仅次于印尼的30万人
[23:08] 不过行踪不明人数是印尼的两倍
[23:11] 有5.7万人
[23:12] 整体该国移工的失联率是高达20%
[23:16] 这也就说明着越南人跑得非常快
[23:18] 应该是有计划的
[23:19] 一到台湾就已经开始散人了
[23:21] 这也导致一些附送用开始涌现
[23:23] 随着失联人数现在逐步接近9万人
[23:26] 台湾就开始承受一系列的外溢效果
[23:28] 包括地下劳动力市场的扩张
[23:30] 拉低部分的产业的心思
[23:32] 而且挤压合法劳工的空间
[23:34] 很多失联者
[23:35] 甚至为了生存
[23:36] 转入到灰色或者黑色市场
[23:38] 使得诈欺窃盗公共危险的案件比例
[23:41] 开始上升
[23:42] 举例来说
[23:43] 根据警政署统计
[23:44] 去年前三季
[23:45] 在台湾的外籍嫌疑犯人数
[23:48] 就已经高达了8293人
[23:50] 案件高度集中在诈骗
[23:52] 公共危险
[23:53] 那外籍嫌犯当中
[23:54] 越南籍又占了大概有一半
[23:56] 这大概可以理解了
[23:57] 尤其台湾的交通问题
[23:59] 多数人也知道
[24:00] 其实相当严重
[24:01] 那很多交通事故
[24:02] 现在已经变成了外籍人士
[24:03] 在台湾的死伤主因当中
[24:05] 每年外籍人士
[24:07] 在台湾交通受伤人数
[24:08] 高达了1.1万人
[24:09] 其中死亡人数有40人
[24:11] 那我们在新闻上常看到
[24:13] 由于骑机车的是失联移工本人
[24:15] 所以呢
[24:16] 他可能会选择逃离
[24:17] 引发进一步的交通死伤意外这都是很严重的事情另外一方面台湾过去几年也经常频传山老鼠集团盗窃数目很多台湾珍贵的超龄老木都是因为这样子被偷走的
[24:30] 比如说之前桃园市警方
[24:32] 破获的山老鼠集团
[24:33] 它就是由越南的桃艺外劳
[24:35] 所组成的山老鼠集团
[24:37] 为了谋取暴利
[24:38] 还从2024年开始
[24:40] 就多次的潜入到南投的国有林地
