[00:00] 投资品欢迎收听早晨财经速解读
[04:24] 很少在当次的利率决策会议当中
[04:27] 直接表达反对
[04:28] 因为你马上过几分钟
[04:30] 决策就要出来了
[04:31] 你可以让联准会有一个
[04:33] 比较平均均衡式的共识
[04:35] 来让大家了解
[04:36] 联准会内部
[04:37] 对于当前的经济形势
[04:38] 有一定程度的看法
[04:39] 可是连当前是否要升息
[04:42] 都形成如此大的脱钩
[04:43] 其实就暗示着
[04:45] 内部的旗舰已经增长到了极致
[04:47] 那华许当然也重申
[04:49] 2%的通膨目标没有改变
[04:51] 换句话说
[04:52] 联总会看起来目前并不打算
[04:54] 由于新人的联总会主席诞生
[04:57] 所以改变当前的通膨目标
[04:59] 那他也表示
[05:00] 过去数年通膨持续高于目标
[05:02] 不可能因为短期几个月的数据改善
[05:06] 就宣告成功
[05:07] 他认为联总会的公信力
[05:08] 还是来自于完成物价稳定的使命
[05:10] 所以控制通膨作为政策核心
[05:13] 那当然因为布兰特原油
[05:14] 现在又重新回到90美元每桶了
[05:17] 西德州原油大概在84块
[05:19] 那这个数据看起来距离创高有一段时间
[05:23] 可是它毕竟相对于6月7月又开始重新的显著上弯
[05:27] 那如果8月还维持在这样的一个区间
[05:30] 那就代表着联准会在9月份FOMC看的8月份数据
[05:34] 肯定是有通膨压力的
[05:36] 其实真正的压力
[05:37] 我还认为不一定是原油或者期货价格
[05:40] 来自于汽油价格
[05:42] 因为汽油价格及回涨幅度不像是期货价格这么多
[05:45] 更何况这一次的中东问题
[05:47] 最大的挑战就是有一点外溢效果
[05:50] 就是油价涨过去
[05:52] 然后跌回来
[05:53] 可是很多东西涨上去
[05:54] 它就没回来了
[05:55] 最好理解就是便当价格
[05:57] 僵固性通膨
[05:58] 菜价肉价
[06:00] 不管上涨还是下跌
[06:01] 你没有看到便当价格在跌价的吗
[06:04] 好那伊朗战事以来
[06:05] 我们看到各大中资产价格的上涨幅度
[06:08] 涨最多的是硫磺
[06:10] 146%
[06:12] 欧洲天然气价格涨幅是98%
[06:14] 暖气燃油是63%
[06:17] 航空燃油54%
[06:18] 柴油40%
[06:20] 汽油38%
[06:21] 稻米35%
[06:22] 棉花22%
[06:23] 棕榈油17%
[06:25] 小麦15%
[06:26] 所以它就是外溢性通膨的产生
[06:28] 那在这一次的FOMC利率决策会议之后
[06:31] 最为直观的观察指标
[06:33] 就是美国30年期公债殖利率
[06:35] 正式突破5.2%
[06:37] 这应该是07年以来的新高了
[06:40] 10年期公债殖利率也重新重返到4.68%
[06:43] 不过还没创高
[06:44] 那华许表示他乐见值利率上升
[06:47] 因为他代表认为市场依照经济基本面
[06:50] 实质利率还有最新的数据来自行定价
[06:53] 而不是依据联准会的政策安适
[06:55] 换句话说
[06:56] 即便他开地责会
[06:57] 他也不表达联准会未来的整体方向
[06:59] 你也看不出他到底未来是不是一定要升息
[07:02] 或者偏升息的方向走
[07:04] 基本上他形容市场正在学会看球不看裁判
[07:08] 你自己用利率预期来反映吧
[07:10] 反正到时候的做法也是根据这些指标
[07:13] 这就说明了联准会已经半放弃前瞻指引了
[07:16] 你们就自己玩自己
[07:18] 自己下自己
[07:19] 用十年期公债殖利率来压抑回自己的股票市场吧
[07:23] 这是他给予的看法
[07:24] 所以他目前仍然表达不会提供前瞻指引
[07:27] 他也强调货币政策会完全依据经济数据来做决定
[07:31] 如果通膨风险再次升高
[07:32] 联准会会毫不犹豫地采取必要的行动
[07:36] 算是不卑不亢了
[07:37] 那当然联准会内部仍然鼓励充分讨论改革的沟通方式
[07:42] 因为这一次虽然出现三张反对票
[07:44] 人家就问他
[07:45] 你们才刚当上主席
[07:48] 好像有很多人不认同你
[07:49] 或者说内部的共识
[07:51] 你好像无法有效的达成一致
[07:52] 那华雪的形容说
[07:54] 这是很健康的家庭辩论
[07:56] 代表委员们愿意公开讨论不同的观点
[07:59] 并非追求表面上的一致
[08:01] 我们不搞那个形式主义
[08:02] 大家怎么想直接表达出来
[08:04] 甚至让市场自由去解读也OK
[08:07] 整体来说
[08:08] 这一次虽然联总会是维持利率不变
[08:10] 不过释放的讯息
[08:11] 稍微偏阴一点
[08:13] 那华许反复强调2%的通膨目标
[08:16] 没有妥协空间
[08:16] 他也不提供任何的前瞻指引然后又强调通膨风险升高他会毫不犹豫地采取行动然后他又乐见公债殖利率的上升怎么看都是跟川普有点打对盘那我们就看川普过几天会不会发表谈话
[08:30] 因为这是他亲自提名上任的联总会主席
[08:33] 不过尤其现在的金融环境
[08:35] 我们还是要承认
[08:37] 不可能让公债殖利率持续性地显著攀升
[08:40] 因为全球的政府债务还在攀升
[08:42] 美国联邦债务占GDP的比重
[08:44] 基本上已经突破二战以来的最高水准了
[08:47] 未来十年的利息支出预估会翻倍
[08:50] 你要嘛就是的确啦
[08:52] 靠高通膨来掩盖债务的扩张
[08:54] 要嘛你也要必须让公债殖利率维持在可控的区间
[08:58] 无条件的上行只会让美国的财政压力来得越来越大
[09:02] 那可能形成进一步的反噬
[09:04] 因为美国公债市场这几年投资结构当然出现了一些改变
[09:07] 过去的主要买家都是一些退休基金
[09:10] 保险公司或者长期投资人
[09:12] 但现在越来越多
[09:13] 是属于高度杠杆操作的避险基金手上
[09:17] 你说避险基金赚那个一毛两毛
[09:20] 几趴值利率要干嘛呢
[09:22] 没有
[09:22] 他们是属于高度杠杆操作
[09:24] 所以才会有之前我们看到的利差交易
[09:27] 也就是它其实是在套利当中利率的短期波动
[09:31] 它可能放了10倍到15倍的杠杆
[09:33] 所以如果公债值利率飙升速度太快
[09:36] 或者下滑速度太快
[09:37] 都有可能导致这些避险基金爆仓
[09:40] 不管怎么说
[09:41] 华许这一次很明显
[09:43] 想用市场各自校正回归的方式
[09:47] 来表达出联准会的不卑不亢
[09:49] 那当然真正的焦点就变成
[09:51] 那如果市场表态了呢
[09:53] 你不想降息是不是
[09:55] 那我逼你降息呢
[09:57] 我用数据的悲惨来换取你的同情呢
[10:00] 你说你不会做钱在眼前
[10:02] 代表你本身没立场
[10:03] 你跟着数据走嘛
[10:04] 那我们就把数据做出来
[10:06] 股市跌给你看流动性风险
[10:08] 债券利差创高
[10:10] 那你会不会松动呢
[10:11] 这个就是我们接下来
[10:12] 下一次的FOMC会观察的项目
[10:14] 我感觉市场正在做这件事情
[10:16] 我们举一个比较直观的例子
[10:18] 像短期内的信用利差
[10:20] 正在快速的扩大
[10:21] 我们先看CDS
[10:23] 甲骨文的五年期交换
[10:25] 违约交换系统
[10:27] 利差大概已经飙升到215个基点
[10:30] 这是历史性高
[10:31] 比今年年初144个基点
[10:34] 大概大增了49%
[10:35] 代表现在投资人
[10:37] 针对五年期的投资等级
[10:39] 在必须要支付21.5万的美元保费
[10:42] 才能够为1000万美元的甲骨文债务
[10:45] 购买违约保险
[10:46] 那市场对于信用风险的担忧
[10:48] 当然就是甲骨文
[10:49] 在6月份宣布要投入700亿美元
[10:52] 继续扩建资料中心
[10:53] 那么标普全球也把甲骨文的信凭
[10:56] 调到BB-
[11:00] 距离非投资等级债
[11:02] 就是垃圾债
[11:02] 大概也就一步之遥而已
[11:04] 这理由就是市场很担心
[11:06] 你这个AI的巨额投资
[11:08] 你的现金流又不像Google、微软这么稳定
[11:11] 结果你投这么多钱
[11:12] 那是处于高度不确定了
[11:14] 如果导致未来投资等级债的信用利差
[11:17] 无条件的放大
[11:18] 联准会就被迫要依据数据来做决定
[11:21] 那代表到时候会有流动性问题
[11:23] 其实我们回过头说
[11:24] 今年虽然现在有一点流动性问题的味道
[11:27] 这里很多是跌停锁死
[11:29] 卖不掉
[11:29] 可是这毕竟只处于在台股市场
[11:32] 韩国股市当中
[11:33] 美国股市还没有流动性收缩的现象
[11:36] 事实上今年以来
[11:37] 大多数指数也都是正报酬
[11:38] 那只是因为大家都买在6月份
[11:40] 道琼今年以来是涨了9.7%
[11:43] 标普是8.5%
[11:44] 纳指是7%
[11:45] 费办都已经跌这么多了
[11:47] 它涨幅都还有55
[11:49] 巴西股市涨9.5
[11:50] 墨西哥涨4.6
[11:52] 日金今年还有涨23%
[11:54] 韩国股市都跌成10了
[11:56] 涨幅都还有42%
[11:58] 加权指数涨幅也接近4成
[12:00] 那陆股和印尼股市
[12:02] 印度股市表现不是特别好
[12:04] 都是下跌的
[12:04] 印尼跌特别重
[12:05] 泰国股市涨了28%
[12:07] 菲律宾股市涨了40%
[12:09] 马来西亚1.9
[12:10] 新加坡涨幅有两成
[12:12] 好
[12:13] 所以这个时候我们就要回过头来聊
[12:14] 事实上很明显
[12:16] 我们要从债券市场来回过头
[12:18] 影响到联准会的利率评价
[12:21] 这种条件可能需要数周的时间
[12:24] 让联准会慢慢的产生决定
[12:27] 要衡量到底是通膨问题比较重要
[12:29] 还是市场的流动性问题比较重要
[12:31] 那对于短期内股市能否直跌
[12:34] 先讲说能不能止跌做第一波反弹
[12:37] 当然就是市场筹码清洗的幅度
[12:40] 因为昨天台股虽然是惊险守住了4万点
[12:42] 不过夜盘又开始杀了
[12:44] 市场一度传出融资和不信用途的款项
[12:47] 借贷追缴压力升高
[12:49] 讲的就是直接的维持率也破了
[12:51] 不过截至到28号为止
[12:53] 按照证交所所公布的数据
[12:55] 整户担保维持率还是在165%
[12:58] 距离130%的处分门槛仍然有一段距离
[13:02] 事实上你仔细观察
[13:04] 因为这一次周二大盘是以长黑K跌破
[13:08] 应该讲周二周三
[13:09] 当时是长黑K
[13:10] 两根持续的下挫
[13:12] OTC因为直逼年限关卡
[13:14] 融资维持率其实已经
[13:16] 大概是接近130%以下了
[13:18] 多沙多的压力没有完全去化
[13:19] 可是你看
[13:20] 昨天外资卖多少
[13:22] 222亿
[13:23] 头信买90亿这正常
[13:25] 因为ETF本来长期买盘
[13:26] 就会在下跌过程当中出现
[13:28] 自营商自行买卖也不过卖10亿
[13:30] 所以其实很明显
[13:32] 什么外资卖压
[13:34] 外资根本就没有卖多少
[13:36] 很明显就多杀多
[13:37] 融资自己断头了
[13:39] 其实我们看
[13:40] 集中市场融资余额是降到了5070亿
[13:43] 昨天是减了385亿
[13:45] 那已经连续减5天了
[13:47] 从原本减1亿到55亿
[13:48] 83亿
[13:49] 231亿
[13:50] 385亿
[13:51] 减的速度再快一点
[13:53] 那就见四字头了
[13:54] 回到三字头那就很低了
[13:55] 因为现在点位还是很高
[13:57] 正常来讲
[13:58] 以前点位在2万多的时候
[14:00] 3000亿的融资余额算正常吗
[14:02] 好那到4万多
[14:04] 那稍微翻倍
[14:06] 融资余额
[14:07] 所以五六千亿也算正常
[14:08] 那现在杀得这么快
[14:09] 见到四只头三只头
[14:11] 其实融资已经算是清洗的
[14:13] 算是蛮多的
[14:14] 可是第二个
[14:15] 我们要观察的效果是
[14:17] 市场的维持率的指标
[14:19] 出现了比较大的争议
[14:21] 我们看在昨天
[14:22] 像是M平方或者Cmoney都宣布
[14:24] 即日起停止提供融资维持率
[14:28] 融券维持率
[14:29] 还有整户维持率的资料
[14:30] 相关的历史数据
[14:32] 也进行全面性的下滑
[14:33] 为什么呢
[14:34] 事件起因就是先前
[14:36] 在市场上
[14:37] 有流传
[14:38] 全市场融资担保维持率
[14:40] 达到143
[14:41] 当时M平方的数据
[14:42] 就是这样子
[14:43] 那就引发大家的追缴疑虑
[14:45] 随后证交所就澄清
[14:46] 到28号为止
[14:48] 都还有大概165%
[14:50] 所以跟市场推估的
[14:51] 有明显落差
[14:52] 结果就停更了
[14:54] 我第一次遇到
[14:55] 数据还会停更
[14:57] 人家想开玩笑
[14:59] 是不是被请喝咖啡
[15:01] 这种情况
[15:02] 只能学宋世杰
[15:05] 关啊
[15:06] 不是
[15:06] 你以前都不讲
[15:08] 那等到现在大家
[15:10] 谣传断头人
[15:11] 你才讲
[15:11] 然后搞得停歌
[15:12] 那会紧张的
[15:13] 对不起
[15:15] 不信谣
[15:16] 不传谣
[15:16] 台股维持率表现正常
[15:19] 以后睡前要默念三次
[15:20] 不是
[15:21] 那重点是政交所要给数据
[15:23] 要那种及时的数据
[15:24] 每天晚上公布
[15:25] 你不能隔一天才公布
[15:26] 所以现在到底整户维持率是多少
[15:29] 还是165吗
[15:30] 我有点难相信
[15:31] 因为毕竟从个股跌幅来看
[15:34] 应该很多都快要碰到了
[15:36] 月光光 心慌慌
[15:38] 早上开盘输光光
[15:41] 台股率倒脱光光
[15:42] 你看现在的数据就来自于
[15:45] 其实并没有什么问题
[15:47] 如果是真的是165的话
[15:49] 也没问题
[15:50] 重点是要观察那个趋势
[15:52] 就是你告诉我
[15:53] 趋势下行的速度有多快
[15:54] 才可以去看一下市场清洗的筹码干净程度
[15:57] 要不然现在其实没有数据能够足以去判断
[16:00] 到底目前市场的信用情况为何
[16:03] 这是压力比较大的
[16:04] M平方在底下也有发表声明
[16:06] 他说因为7月29号
[16:08] 证交所所发布的公告
[16:10] 为了避免数据定义不清
[16:11] 所以暂时停止更新此数据
[16:13] M平方会在评估计算方式后
[16:16] 择其再发布
[16:17] 当然了我稍微看一下券商报告
[16:19] 有些还是会继续给
[16:20] 你像凯基
[16:21] 凯基就写得很明显
[16:22] 现在融资维持率158%
[16:25] 黄城之内一片和谐
[16:27] 还没有什么太大的一个问题
[16:29] 不过如果我们细看
[16:30] 因为现在台股储值股
[16:32] 在昨天又增加了29档了
[16:34] 不太相信这么高的维持率
[16:37] 感觉是有一些个股
[16:39] 是出了一些情况其实昨天29档个股被证交所或贵买中心列为储值交易有半导体的有电子零组件的那储值交易当然不代表公司基本面恶化了只是说股价成交量和周转率短期出现异常
[16:53] 那即便维持率还可以保持在一定区间
[16:56] 我们其实都已经看得出来
[16:58] 现在是有点流动性问题了
[17:00] 就卖不掉的问题
[17:01] 这个压力是比较大的
[17:03] 那当然会不会有后续采取一些新的动作
[17:06] 值得大家做一些留意
[17:07] 昨天银送池吗
[17:10] 今天唱唱原曲
[17:11] 哭藤老树昏鸦
[17:13] 小蝶流血书家
[17:17] 古栽细后
[17:19] 尼玛
[17:20] 市场南下
[17:22] 断头人在天涯
[17:24] 原曲果然比宋词还要更具象化一点
[17:28] 再叠下去
[17:29] 我就要开始分析中华电信了
[17:30] 好
[17:31] 这台股市场概况
[17:32] 或者大家也可以提供不同的数据
[17:34] 可以让我们了解市场的筹码清洗概况
[17:36] 不过看得出来
[17:37] 因为外资也没有卖多少
[17:39] 明显内部在轮动
[17:40] 只是那个指标
[17:41] 到底最终意义要怎么抓
[17:43] 我们到时候再抓一些数据
[17:45] 来跟投资朋友观察
[17:46] 到底市场痛到了没有
[17:47] 毕竟证交所公布的数据
[17:49] 感觉有点落后一拍
[17:50] 所以我们后续再做一些追踪
[17:52] 韩国股市就不一样了
[17:54] 韩国股市就真的很惨了
[17:55] 韩国股市两天月暴跌了16%
[17:58] 那连续两天
[18:00] 触发了全市场的熔断机制
[18:03] 主要来自于SK海力士的财报
[18:05] 未能够满足市场的高度期待
[18:07] 公司虽然宣布提高资本支出来到310亿
[18:10] 但是对于股东的回馈
[18:11] 还有长期供货的合约细节
[18:13] 交代还是有限的
[18:14] 引发市场投资人的显著抛售
[18:16] 那如果我们细看
[18:18] 因为韩国股市从高点这样子摔下来
[18:20] 其实跌幅也不算
[18:21] 不能讲说跌幅不重
[18:23] 因为今年它还是收涨涨幅有40%
[18:25] 跌幅很重
[18:27] 可是韩国股市还是收涨的
[18:28] 可是我们讲说
[18:29] 真实的迹象是属于去杠杆的冲击
[18:32] 我们像是看待三倍的海力士
[18:36] 或者三倍韩国股市杠杆型ETF的回调幅度
[18:40] 韩股杠杆ETF规模
[18:42] 已经大概从6月高峰的530亿
[18:44] 现在缩水到多少
[18:46] 150亿
[18:47] 这非常难想象
[18:49] 因为你看那个股价
[18:50] 三倍型的已经跌到今年
[18:52] 三四月份当时的伊朗战事低点了
[18:55] 已经完全破底了
[18:57] 那韩国股市只是稍微跌回到
[18:59] 5月份的水准而已
[19:00] 所以从这件事情就看得出来
[19:02] 韩国股市的杠杆清洗
[19:03] 下压来得越来越大
[19:04] 原因就来自于
[19:05] 整个26年7月份
[19:08] 韩国COSPI指数
[19:09] 一个月居然跌了33%
[19:12] 跌幅比97年金融风暴
[19:15] 亚洲金融危机还要来得更恐慌
[19:17] 这已经超过了金融海啸
[19:19] 08年也超过了2020年的新冠疫情
[19:22] 韩国股市从来没有一个月跌这么重过
[19:24] 一个月跌三成
[19:25] 那是什么概念
[19:26] 大盘
[19:27] 所以的确
[19:28] 这次筹码有没有清洗得很干净
[19:30] 其实有
[19:31] 你像是全球单一杠杆型的ETF
[19:34] 过去很长一段时间
[19:35] 有的流入到特斯拉
[19:37] 不过当时
[19:38] 特斯拉股价没有创高以后
[19:41] 它就已经盘整了一阵子
[19:42] 规模就没有再放大了
[19:43] 这几个月放大的都是哪一些
[19:45] 像两倍型的SK海力士ETF
[19:47] 资产管理规模当时突破100亿
[19:50] 然后其他像是
[19:52] 两倍型的三星电子
[19:54] 两倍型的美光
[19:55] 杠杆型的ETF规模
[19:57] 也在快速的扩大
[19:58] 那现在唯一的好处是什么
[19:59] 刚才讲了
[20:00] 本来是500亿的规模
[20:02] 在6月份
[20:03] 现在呢
[20:03] 剩下150亿
[20:05] 有400亿左右逃了
[20:08] 这很难想象
[20:09] 就好像00631L一样
[20:11] 就是元大台湾50正二
[20:13] 本来是500亿之金
[20:15] 一个月变成150亿的这种感觉
[20:18] 这台股很难想象
[20:20] 因为台股通常都是月叠
[20:21] 那个规模体量搞不好还会变大
[20:23] 但韩国股市是真的
[20:25] 有四分之三的人离开了正二
[20:27] 我们看杠杆曝显占流通市值
[20:30] 最新的比重
[20:31] 从当时的3.2%
[20:33] 现在大概已经下滑到1.5%了
[20:35] 代表市场在下跌的过程当中
[20:38] 已经完成了非常明显的去杠杆
[20:40] 当然你说你会不会继续去
[20:42] 可以啊
[20:43] 不过现在已经差不多回到
[20:44] 接近4月份的水准了
[20:46] 再往下一点就到2月份了
[20:48] 再到1%
[20:49] 那就回到年初了
[20:50] 那就代表着市场
[20:51] 还不止没有人要上杠杆了
[20:53] 大家都在完全去杠杆了
[20:55] 所以从这样的效果来看
[20:57] 南韩政府在昨天是紧急
[20:59] 召开跨部会的市场稳定会议
[21:02] 检讨近期韩国股市的剧烈波动
[21:04] 财政部长在昨天公开向市场道歉
[21:07] 坦诚政府在5月份推出
[21:09] 单一股票杠杆型ETF的过程当中
[21:12] 风险评估确实不够周前
[21:14] 那他也表示说
[21:15] 当然了杠杆型ETF
[21:16] 并不是市场暴跌的唯一原因
[21:18] 但是承诺现有的措施
[21:21] 的确是无法有效的降温
[21:22] 在接下来一周
[21:24] 他会采取更为显著的稳定政策
[21:26] 第一包括限制个人的投资额度
[21:28] 第二强化投资人的教育多上课
[21:31] 第三增加教育的限制
[21:33] 那金融主管也明显表态
[21:35] 如果在七月底之前
[21:37] 现在上礼拜所实施的制度
[21:39] 无法有效的降低投机热度
[21:42] 不排除八月份
[21:43] 推出更严格的管制措施
[21:45] 不过从刚才看到的
[21:47] 钢杆型ETF的规模
[21:48] 已经看得出来
[21:49] 四分之三的人已经离开了
[21:51] 我认为也算是压抑了
[21:52] 部分的投机热度
[21:54] 毕竟南韩股市
[21:55] 这个七月份跌了33%
[21:58] 跌幅超越97年亚洲金融风暴的27%
[22:02] 还有08年的金融海啸
[22:03] 为了防范股灾衍生的社会事件
[22:06] 韩国人很疯的
[22:08] 南韩警方这一次是加强
[22:10] 首尔如埃岛金融区汉江公园
[22:13] 还有27座汉江大桥的巡逻
[22:19] 并且部署了专责的救援人员
[22:21] 连水难救援队都变成24小时巡逻艇
[22:25] 同时扩增SOS紧急求救电话
[22:28] 夜间警示设施
[22:30] 以及导入搭载热感应
[22:32] 和AI自动追焦功能的智慧巡逻机器人
[22:35] 还有无人机提高及时的救援能力
[22:37] 官方希望透过强化巡逻和预警系统
[22:40] 在金融市场剧烈波动的过程当中
[22:43] 降低意外事件的方生
[22:45] 韩国股市搞那么浮夸
[22:47] 台湾如果做这种事情
[22:49] 很难想象
[22:51] 韩国好像很正常
[22:52] 因为120万人被追缴保证金
[22:54] 加强巡逻27座的大桥
[22:57] 从这件事情看得出来
[22:59] 大家有时候要了解
[23:00] 行情最重要的
[23:02] 有时候不是猜下一天会涨还是跌
[23:04] 而是你要搞清楚
[23:05] 你在购买一项产品的时候
[23:07] 你到底是在投资还是在投机
[23:09] 如果是投资
[23:10] 你就应该把重点放在企业获利
[23:13] 产业趋势和合理估值
[23:14] 接受市场的波动
[23:16] 投机的部分
[23:17] 该停损就停损
[23:18] 该获利就获利
[23:19] 最怕的就是
[23:20] 嘴巴说要长期投资
[23:22] 心里却每天盯着股价涨跌
[23:24] 明明做短线
[23:26] 你还要把套牢硬凹成价值投资
[23:29] 所以有时候你要了解自己的身份
[23:31] 这很重要
[23:32] 给予我们的一些启示
[23:33] 很多时候你以为你在投资
[23:35] 其实是在投机
[23:36] 你以为你在买未来
[23:38] 其实是在买故事
[23:39] 有时候你以为你在抄底
[23:41] 其实你是不是在猜底呢
[23:43] 你以为你在等待机会
[23:45] 其实是害怕进场
[23:46] 你以为你在耐心持有
[23:48] 有没有可能是不愿意停损呢
[23:51] 昨天我才看到
[23:52] 那网路上有一个讨论串
[23:55] 他讲说土拨鼠
[23:56] 其实是鼠拨土
[23:58] 看着蛮有意思的
[24:00] 食人鱼其实是鱼食人
[24:02] 魔物猎人其实是人猎魔物
[24:05] 看医生其实是给医生看
[24:08] 夹脚托是脚夹托
[24:11] 生鱼片是死鱼片
[24:13] 救火其实是灭火
[24:15] 白菜螺是卤白菜
[24:16] 美人鱼其实是鱼美人
[24:19] 不沾锅其实是锅不沾
[24:21] 网球拍其实是拍网球
[24:23] 为时道逆流其实是为逆流时道
[24:26] 等红灯其实是等绿灯
[24:29] 劳动节是不劳动节
[24:31] 坐电梯是站电梯
[24:33] 小黄瓜其实是小绿瓜
[24:35] 玩股票其实是被股票玩了
[24:39] 所以你要了解
[24:39] 你到底是投资还是投机
[24:41] 要了解市场的概况
[24:43] 这一次给予我们很大的启示
[24:45] 那你不要明明你是投机的
[24:47] 还是应要成长期投资价值投资
[24:50] 要了解自己的初衷
[24:52] 好我们看美国股市市大指数表现
[24:54] 道琼指数下跌1153点
[24:57] 2.19%
[24:58] 收在51594点
[24:59] 算跌得重的
[25:00] 不过因为道琼本来位阶就很高
[25:02] 标普下跌112点1.52%收在7316点纳指下跌433.1.74%收在24442点费办下跌588点
[25:14] 这个才是真的跌中了
[25:15] 一下就回到半年线了
[25:17] 5.33%
[25:18] 收在10447点
[25:20] 费办不是前阵子才突破1万吗
[25:23] 现在又回到1万了
[25:24] 台股不是前阵子才占上4万吗
[25:27] 现在又挑战4万了
[25:29] 现在市场要的
[25:30] 可能是利空不跌才有用了
[25:32] 不管是利多利空
[25:33] 现在都没影响
[25:34] 重点是要利空不迭
[25:36] 好我们看财报的变化
[25:37] 微软这一次公布了
[25:39] 整体2026年会计年度
[25:41] 算是第四季财报了
[25:43] 但是呢本身而言
[25:44] 你可以把它拿来跟
[25:45] 本季度营收预期财年变化
[25:48] 来做调整
[25:49] 本身而言呢
[25:50] 这一次营收是900亿美元
[25:52] 年增幅有18%
[25:54] 这比预期的876亿来的高
[25:56] 每股盈余4.7块
[25:58] 也比市场预期的4.2块来的高
[26:00] 建立是357亿
[26:01] 这就很明显高于去年通行的272亿
