[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是否现在终于波云见日
[02:52] 赫姆斯海峡的航运畅通
[02:54] 美国则是依照伊朗履行承诺的程度
[02:57] 来逐步提供经济奖励或者制裁松绑
[03:00] 那至于川普过去所多次强调的核问题
[03:03] 会被延后60天来进行谈判处理
[03:06] 也就是说
[03:07] 现在的协议其实还是比较像是停火的框架
[03:10] 而并不是最终的和平协议
[03:12] 由于每个阶段都需要双方的互相验证
[03:15] 你说未来有没有破局的风险
[03:16] 其实还是有的啦
[03:18] 但如果协议顺利推进的话
[03:20] 伊朗就有可能重新获得数百亿美元
[03:23] 遭到冻结的海外资产
[03:24] 那部分的美国制裁也会解除
[03:26] 甚至重新纳入到全球经济体系当中
[03:29] 那对于市场而言
[03:30] 最大的影响就在于能源供应嘛
[03:32] 航运如果恢复正常
[03:34] 那我们就没有必要继续进行补贴了
[03:37] 原油价格就可以回到
[03:39] 不能说一定是战前的水准
[03:41] 但回到一个月两个月前
[03:43] 适度的通膨水准
[03:44] 可能六七十块
[03:46] 就是一个大家有预期的方向
[03:48] 那当然从目前所流出的协议来看
[03:50] 每一双方是典型的一步换一步
[03:52] 伊朗会承诺60天内针对核浓缩议题来进行谈判
[03:57] 而且表态不寻求核武发展
[03:59] 那作为交换美国会逐步的松绑制裁
[04:02] 然后松绑相关的冻结资产
[04:04] 那对于全球最重要的观察重点就来自于
[04:07] 这一场时间线它可能还是一个内停火性协议
[04:11] 会以60天作为最终核武器谈判的关键
[04:14] 那当然其实也就是说现在最大的核心分歧
[04:18] 还是钱跟核武
[04:19] 伊朗最在乎的当然是这一次资产
[04:22] 长达数十年的冻结是否能够因此而解封
[04:26] 那美国最在乎的当然就是核武问题
[04:28] 在60天内能不能弹出更进一步的框架
[04:31] 那我们看市场的反应
[04:32] 很明显
[04:33] 从原油价格角度来看
[04:35] 原油价格现在每桶已经跌到81块
[04:38] 算是跌到今年4月份当时的下影线
[04:42] 所以如果这个平台区一跌破的话
[04:44] 那也不能说一定百分之百回到2月份以前
[04:47] 毕竟你说今年没有那种僵固性通膨
[04:50] 稍微垫高一点是可以理解的
[04:52] 可是回到70回到60
[04:54] 基本上就已经确认原油所造成的能源通膨
[04:58] 会在6月7月8月快速的回调
[05:01] 在中期选举之前
[05:02] 无疑是对于川普非常显著的力度
[05:05] 根据高盛的预估
[05:06] 2027年的布兰特原油价格
[05:08] 可能会重新回到每桶60美元左右
[05:11] 如果波斯湾出口到第四季没有恢复正常的话
[05:15] 就要重新挑战回100了
[05:16] 但是不管怎么说
[05:17] 似乎大家对于90到100美元的原油都可以接受了
[05:21] 更何况现在能源成本即将大幅下行
[05:24] 这是第一个油价所给予的方向
[05:26] 第二层是关于Polymarket市场的赌盘民调
[05:30] 整体而言在6月底之前达成协议签署
[05:34] 永久性协议的可能性
[05:36] 目前几率已经来到94%了
[05:38] 所以市场是用资金在进行投票来对赌
[05:42] 的确这一次签的应该是真的
[05:44] 不是狼来了
[05:45] 所以我们讲说美伊现在的和平协议
[05:47] 当然你说是不是未来还有其他变数
[05:49] 答案当然有
[05:51] 不过现在其实更类似于一步换一步
[05:54] 那就是国际政治最现实的一面
[05:56] 国家之间当然不像朋友相处
[05:58] 可以先建立信心
[06:00] 然后再合作
[06:01] 但是在地缘政治当中
[06:03] 信任又往往来自于一次又一次的验证
[06:06] 那美国担心伊朗拿到资金之后反悔
[06:09] 那伊朗也担心
[06:10] 让步之后又变成被你制裁
[06:12] 双方就把承诺拆成很多的小步骤
[06:15] 伊朗先开放荷姆治海峡
[06:17] 美国就解除部分的制裁
[06:19] 伊朗在履行下一个阶段承诺
[06:21] 美国在释放下一阶段的利益
[06:23] 这并非彼此不愿意合作
[06:25] 而是双方都明白
[06:26] 这一次真正可靠的不说口头承诺
[06:29] 是已经完成验证的事实
[06:31] 特别重要
[06:32] 这两天我在韩馆
[06:34] 现在还在
[06:35] 所以今天在外地跟大家直播
[06:36] 稍微看了一下动植物园
[06:39] 就是猴子泡温泉
[06:40] 常常看到猴子在旁边抠屁股
[06:44] 抠自己的
[06:45] 旁边导览员就在介绍
[06:47] 说一般猴子吃花生之前
[06:50] 都会先塞进屁股
[06:51] 然后再拿来吃
[06:52] 大家都问为什么
[06:53] 管理员解释
[06:55] 因为以前有人喂它桃子
[06:57] 结果核桃拉不出来
[06:59] 猴子就吓傻了
[07:01] 所以现在一定要先量好再吃
[07:02] 所以我们讲说金融市场
[07:04] 或者在全球国际博弈市场都是如此
[07:07] 基本上大家都要先一步一步
[07:10] 来做验证
[07:10] 反映国际现实当中
[07:12] 不是朋友的相处
[07:14] 是一步信任
[07:16] 换取下一次的验证
[07:17] 再换取下一步的信任
[07:19] 那你一次全部谈好
[07:21] 你整个陶瓷全部吃下去
[07:23] 那当然到时候拉不出来
[07:24] 压力就很大
[07:25] 所以风险管理也是一样
[07:27] 它必须建立在验证之上
[07:29] 很多时候决定一件事情
[07:30] 是否能够长久
[07:31] 不是说开头说的多动静
[07:33] 虽然很多人说又唱衰
[07:35] 这次协议搞不好又破局
[07:37] 是有可能
[07:37] 但是真正的协议就是这样子
[07:39] 一步一步慢慢谈
[07:40] 一步一步慢慢验证的
[07:42] 好那当然了我们要回过头说
[07:43] 那是不是敢在这一次FOMC利率决策会议之前
[07:48] 联准会接下来的紧缩谈话
[07:51] 有了相对合款的空间呢
[07:53] 这一次是不太可能直接升息啊
[07:55] 可是这次很有可能会释出紧缩的谈话
[07:57] 因为通膨的确很高
[07:59] 尤其欧洲央行
[08:00] 在上礼拜已经正式宣布一码
[08:02] 将存款利率从2%上调到2.25%
[08:06] 那欧洲央行啊
[08:07] 其实也坦言说欧元区现在经济压力也很大
[08:09] 我们也知道在AI竞赛当中
[08:11] 基本上欧洲市场是完全落后给东亚和美国市场
[08:14] 那内部也有通膨升温
[08:16] 26年的通膨率从原先的2.6上修到3%
[08:19] 好那现在问题来了
[08:20] 在FOMC美国的联准会利率决策会议即将召开之前
[08:25] 现在释出了即将谈成协议的谈话
[08:29] 而且是礼拜五才签约
[08:31] 所以在FOMC之前也没法确定协议到底是否已经签好了
[08:35] 那件事情就給渥許相當大的壓力他到底目前所要釋放的論調為何呢我覺得那種預設性假設性談話其實特別重要好就先跟你講說如果未來中東戰事的回穩
[08:47] 原油價格跌到某種地步
[08:49] 那我們當然緊縮的條件就會因此而放緩
[08:52] 這種假設性談話是非常重要的
[08:54] 因為如果只根據實證數據
[08:56] 就根據鮑爾時代來看的話
[08:58] 那就第一達不到握取改革的目標
[09:00] 第二那很明顯會有政策滯後性的問題
[09:02] 因為你在6月中旬已經發生了重要的政策轉變
[09:06] 那就是中东战局有可能会立即降温
[09:08] 的确我们从上礼拜所公布的PPI
[09:11] 美国生产者物价指数
[09:13] 这次年增幅是6.5%
[09:15] 高于市场预期的6.4%
[09:17] 也明显高于4月份修正之后的5.7%
[09:20] 其中更值得关注的就是商品价格
[09:23] 单月是暴涨了2.8%
[09:25] 这个是09年以来最大升幅了
[09:27] 主要就来自于能源成本的飙升
[09:29] 汽油价格大涨23%
[09:31] 能源项目上涨10%
[09:33] 整体PPI都是靠能源价格来做推高
[09:36] 所以我们也讲得很自然
[09:37] 如果原油价格一路跌到80 70美桶
[09:40] 那当然原油通膨在未来两三个月
[09:42] 就会立即性的缩窄
[09:44] 那这个时候回过头看
[09:45] 等同于我们现在的通膨
[09:47] 就变成不是中东问题了
[09:49] 我们现在的通膨变成僵固性通膨
[09:52] 过去我们讲过
[09:53] 我们当然知道川普或者说高市早苗
[09:56] 赖政府基本上都尽可能采取了适度的补贴
[10:01] 尤其在东亚政府特别明显
[10:02] 很多人觉得补贴
[10:04] 那就是浪费纳税人的钱
[10:06] 这是一种角度
[10:07] 但另外一种角度就是
[10:08] 因为通膨它有分这种原物料型通膨
[10:11] 原油价格会上涨会下跌
[10:13] 菜价会上涨会下跌
[10:15] 可是便当价格很少在下跌的
[10:17] 通常上涨之后就不会下跌
[10:19] 即便菜价回调
[10:20] 即便蛋价回调
[10:22] 早餐店的吐司蛋饼
[10:25] 它基本上也不会下跌
[10:26] 所以这就意味着
[10:27] 僵固性通膨是否已经产生了
[10:30] 会是联准会未来
[10:31] 是否保持紧缩的重要关键
[10:33] 能源通膨是一定下来的
[10:34] 重点在于联准会会怎么看待接下来的将货性通膨呢
[10:38] 那这个就取决于我们过去所提到的
[10:40] 因为现在通膨不只是单纯供给型的原物料价格所影响
[10:44] 在将货性通膨层面
[10:46] 大家最为关注的就是科技通膨的部分
[10:48] 因为现在有一些通膨
[10:50] 它是几乎两到三年会有高强度的缺货潮
[10:54] 过去我们所提过
[10:55] 在美国PCE当中的电脑软体和配件的价格指数
[10:59] 年化的年增幅是87%
[11:02] 科技产品它的原组件涨了87%
[11:06] 如果它一旦转嫁以后
[11:08] 那就是全面性的科技通膨
[11:10] 那当然在这样的一个效果底下
[11:12] 等同于我们未来在通膨观察的角度而言
[11:16] 就要了解
[11:17] 那原物料通膨
[11:18] 它能不能借由能源价格的回跌
[11:20] 造成所有原物料价格统一做回跌
[11:23] 举例来说
[11:24] 现在在原物料价格涨幅当中
[11:26] 涨最多当然是汽油
[11:27] 今年涨幅有74%
[11:29] 润兰油54%
[11:30] 西德州41%
[11:31] 那有一些已经形成一些僵固性的
[11:33] 像棉花铜价就是很僵固性的
[11:36] 毕竟现在有电动车
[11:37] 有AI的需求带动
[11:38] 木材价格今年涨了15%
[11:40] 小麦 瘦猪 黄豆
[11:42] 铜价涨幅大概是7到10%左右
[11:46] 当然有一些软性商品在跌了
[11:47] 可可下跌了
[11:48] 咖啡下跌
[11:49] 但我们讲过
[11:50] 就是原物料价格会下跌
[11:52] 可是你喝的咖啡
[11:53] 和你吃的巧克力是不会下跌的
[11:55] 这就是僵固性通膨的部分
[11:57] 那另外一个就是肥料价格
[11:59] 因为这一次原油价格外溢出去
[12:01] 导致肥料价格高速上涨
[12:03] 尤其是尿素啊
[12:05] 安啊
[12:05] 那我们当然提过
[12:06] 虽然我的尿的纯度也很高
[12:08] 但是
[12:08] 人尿跟那个尿素
[12:10] 那个纯度还是差了100多倍
[12:12] 所以全球有30%的尿素贸易
[12:15] 要经过荷姆治海峡
[12:16] 现在地缘增值升高之后
[12:17] 肥料价格已经涨了
[12:19] 接近10年的三倍
[12:20] 它跌不跌的回来
[12:22] 还是说
[12:23] 它跌回来
[12:24] 终端价格也不会下跌
[12:25] 这就是难关
[12:26] 另外一个是硫磺价格
[12:28] 这是美银最新的报告所提出的
[12:30] 由于赫姆茨海峡在过去半年的卡关
[12:33] 哈萨克的出口物流又因为受阻
[12:36] 导致减少了15%的供给
[12:38] 现货的硫磺价格
[12:40] 长期平均每吨是不到200美元
[12:42] 现在一吨要多少
[12:43] 1200美元
[12:45] 短短一年涨了超过500%
[12:47] 硫磺是炼油和天然气加工的副产品
[12:50] 价格暴涨
[12:51] 基本上也很难快速的增加供给
[12:53] 所以这种我们讲的僵固性通膨
[12:56] 会不会从磷肥到皂脂到化工
[12:58] 我们相信一定是有的
[13:00] 有些成本应该是提高就一整辈子了
[13:03] 可是这些通膨能不能随着能源价格
[13:05] 适度的回挡就特别重要
[13:07] 所以虽然或许短期内解决了中东站
[13:10] 是原油价格的问题
[13:11] 但是它其他外溢储取的降固性通膨
[13:14] 会不会已经产生了
[13:15] 当然很多人会说
[13:17] 那或许可以改变统计方式
[13:18] 就跟我们过去所提到的一样
[13:20] 当时我们提说
[13:21] 美国劳工统计局所统计的消费者物价指数
[13:24] 它的随身碟记忆卡
[13:26] 还有光碟等储存设备
[13:28] 基本上是在电脑软体和配件当中
[13:31] 那美国经济分析
[13:32] 其实在统计PC的时候
[13:34] 同名的分类
[13:35] 主要衡量是软体和资料服务
[13:37] 所以在统计层面
[13:39] 如果PC把CPI当中的数据
[13:42] 拿来进行成分的直接灌入的话
[13:44] 就容易造成失证
[13:45] 所以根据米兰的说法
[13:47] 川普之前派进去联总会的那位理事
[13:49] 他给予的看法是
[13:51] 我们应该要尝试的进行修正分类
[13:53] 核心通膨
[13:54] 如果把真实硬件给予剔除
[13:57] 只看软体的话
[13:58] 那我们的通膨大概就从5%
[14:01] 一路下滑只剩下2.7
[14:03] 所以根据研究的估算
[14:04] 联组会如果未来内部认定
[14:07] 现在的涨价是属于统计误差
[14:09] 而并不是真实通膨
[14:11] 那如果或许真的答应
[14:13] 说通膨数据
[14:14] 可以做一些技术性的修正
[14:16] 假设我不吃东西的话
[14:19] 我也用不到嘴巴这样子
[14:20] 假设我不看硬体的涨价
[14:22] 其实我们的科技产品
[14:24] 也没有涨多少
[14:25] 有这种感觉
[14:26] 那民众的体感温度
[14:28] 衡量方式的一改变
[14:29] 核心通膨瞬间就达标了
[14:31] 所以必须承认有这个可能性
[14:33] 为了强化降息的正当性
[14:35] 你只要稍微适度的调整一下
[14:38] 科技产品在通膨里的权重
[14:41] 就跟房租在
[14:43] 或者居住成本在CPI当中的权重
[14:46] 那整体而言通膨就不是特别高了
[14:49] 有一种这种技巧性转折的可能性
[14:51] 所以你要说
[14:52] 突然之间联总会的通膨目标达标
[14:54] 也不是太难的事情
[14:55] 之前不是讲说
[14:57] 说之前教育学家做实验
[14:59] 给中国孩子和美国孩子一杯水
[15:02] 让他们不用火
[15:03] 就能够让水给沸腾起来
[15:06] 中国孩子就在太阳底下
[15:08] 把水晒了一整天
[15:09] 没有如愿
[15:10] 后来聪明的美国孩子
[15:12] 就拿了四杯25度的水
[15:14] 混合在一起
[15:15] 轻松的把水温升到了沸腾的100度
[15:18] 所以僵化的思维
[15:20] 落后的体制
[15:21] 永远无法培养有创新的大科学家
[15:25] 你调整一下统计方式也是一种做法
[15:29] 所以不管怎么说
[15:30] 现在行情走到现在这个位置
[15:32] 大家都在未来的降息通道
[15:34] 寻找可能产生的路线
[15:36] 毕竟有时候创新
[15:38] 不一定是科技产品上的创新
[15:40] 你只要调整一下指数的成分
[15:42] 也许通膨到时候在半年内马上达标
[15:45] 中期选区之前降息
[15:47] 搞不好也是有可能的
[15:48] 不管如何
[15:49] 我们知道在过去半年之间
[15:51] 全球的石油库存正在快速的消失
[15:53] 根据美国能源情报局的估算
[15:56] 今年第二季的全球石油库存
[15:58] 每天大概减少630万桶
[16:00] 第三季甚至扩大到766万桶
[16:03] 到2026年年底
[16:05] 可能会跌破23亿桶
[16:07] 现在好不容易
[16:08] 终于开始补了
[16:09] 好 那我们就要看
[16:10] 因为现在是过去本世纪以来
[16:13] 石油库存总量最低的一年
[16:15] 未来大家会有进一步的补库存的需求
[16:18] 所以原油价格可能回跌也不会这么快
[16:20] 但是至少整体局势已经逐步明朗化
[16:23] 那回过头来看
[16:24] 市场更为关注的
[16:26] 那就是资金行情
[16:27] 能否有进一步的情绪推升
[16:29] 为什么呢
[16:30] 因为也许通膨没有这么快回来
[16:32] 可是光是中东局势的缓和
[16:35] 它就足以让更多人对于股票市场
[16:37] 有进一步的信心
[16:38] 我们看一下美国股市市大指数变化
[16:41] 道琼指数上涨353.0.7%
[16:44] 所在51202点
[16:46] 标普上涨37.0.5%
[16:49] 所在7431点
[16:51] 纳指上涨79.0.31%
[16:53] 收在25888点
[16:55] 倍半上涨200点
[16:57] 1.5%
[16:58] 算13371点
[17:00] 那台股上周本来是山雨欲来
[17:02] 不过回档之后
[17:04] 那个买盘也是很强劲
[17:06] 是不是我们的投资朋友在买
[17:08] 这我们影响力才太大了
[17:09] 大家都变成价值投资
[17:11] 长线投资了
[17:12] 这个我们讲说
[17:14] 废物男人
[17:16] 投资是套牢
[17:17] 帅气的男人
[17:19] 投资就是价值投资本质上是一样的但是投资思维不太一样我们從週期投資或者說週跌點來看上禮拜跌那麼重市場賣壓這麼重也才跌901點
[17:31] 但是下影線多少點
[17:33] 上禮拜下影線2100點
[17:36] 不只是守住了月線的位置
[17:38] 甚至連無日線也陸續收復了
[17:40] 今年全球資產又重新回到
[17:43] 顯著的正報酬
[17:44] 從漲幅最多的是大宗資產27%
[17:47] 可轉債漲幅有20%
[17:49] 小型股涨幅19%
[17:50] 纳指涨幅17%
[17:52] 其他像价值股、中型股、瑞兹、新鲜市场股市
[17:55] 平均涨幅10%到20%左右
[17:58] 债券市场的部分
[17:59] 像高收益债、新鲜市场债、投资等级债
[18:02] 涨幅大概1%到5%
[18:04] 结果去年涨幅最多的黄金
[18:07] 去年涨了63%
[18:09] 今年黄金收跌了2.5%
[18:12] 不过从高位这样跌下来
[18:13] 卖压也算沉重了
[18:15] 我们看接下降息预期
[18:16] 有没有利于把黄金强势多主体往上拉
[18:19] 那跌最重的还是比特币
[18:21] 又是你
[18:22] 跌幅27.4%
[18:24] 比特币已经连续两年都处于下跌趋势了
[18:28] 当然现在债市和科技股所出现的矛盾现象
[18:32] 那就会让市场上更进一步关注
[18:34] 因为债券市场和股票市场
[18:36] 对于未来的看法出现比较大升起
[18:38] 债券殖利率就很明显受到中东局势的影响
[18:42] 利率预期往上拉之后又开始高速回挡
[18:44] 但是大家最为关注的其实是债券的MOOF指数
[18:47] 就是债券的恐慌指数
[18:49] 很有趣
[18:50] 自4月底以来几乎没有太大波动
[18:53] 但是纳斯达克100选择权波动率的VXN
[18:57] 也就是纳斯达克的波动率指数
[19:00] 它则是持续维持在高档
[19:02] 说明科技股的市场看起来比债市还要紧张得多
[19:06] 或者说根本没有人在乎债市
[19:07] 这是第一个角度
[19:09] 第二个角度是过去一周
[19:11] 我们还看到美国软铁股的ETF IGV
[19:14] 这走势是大喜三温暖
[19:16] 原本在年初的时候
[19:17] 认为它会被AI代理人所取代
[19:20] 结果股价狂跌
[19:22] 甚至跌到了关税战的水准
[19:24] 结果后来又开始进入到几涨
[19:26] 几涨之后又马上又获利了结
[19:28] 所以大家会关注
[19:29] 这种大规模嘎空
[19:31] 整体波动率放大的指数
[19:33] 也许更容易相对于指数
[19:35] 走出行情的方向
[19:36] 如果软铁股都开始疯狂飙升
[19:39] 那也许大资金行情就逐步到来
[19:41] 当然市场上更进一步聚焦的
[19:43] 可能是集中在IPO市场当中
[19:46] 现在大家当然会一直怀疑
[19:48] IPO今年总募资规模
[19:50] 可能有2300亿以上
[19:52] 远远高于原本的预估值1600亿
[19:54] 那市场到底吃不吃得下
[19:56] 这么多的股票呢
[19:58] 从SpaceX第一天挂牌的价格上涨
[20:01] 其实看得出来
[20:02] 大家看起来还是蛮有显著的信心的
[20:05] 这次SpaceX正式挂牌之后
[20:07] 每股150美元开盘
[20:09] 最终收在166块
[20:11] 相对于每股135美元的IPO定价
[20:14] 上涨的接近有两成以上
[20:16] 所以直接跻身
[20:17] 美国市值第六大的上市公司
[20:20] 当然
[20:20] 我逼成SpaceX
[20:23] 它一直都是一个意外
[20:24] 因为它的确市值叠量大
[20:26] 然后市场的投资人信心
[20:27] 还有个人崇拜
[20:28] 推升了股价
[20:29] 可是按照往年水准来看
[20:31] 你把QQQ拿来跟SPY
[20:34] 再拿来跟IPO
[20:35] 就是刚挂牌的IPO的ETF
[20:38] 来做绩效统计
[20:39] 那个绩效是差很多的
[20:41] 从过去10年来看
[20:42] 纳指就大型股涨幅是927%
[20:45] 标普是440%
[20:47] IPO涨幅也不过188%
[20:50] 也是赚
[20:50] 但是你还是可以了解到
[20:52] 市场的估值认知
[20:54] 到底是大则横断
[20:56] 比较显著
[20:57] 还是我们讲的IPO概念股
[20:59] 有更进一步的上涨条件
[21:00] 当然我们回过头说
[21:02] 这一次IPO不只是SpaceX的成功
[21:05] 更被视为市场AI热潮的压力测试
[21:07] 原本还很担心
[21:09] 哇他光要挂牌的时候
[21:11] 结果呢股价又开始做比较大的惊人的回调
[21:14] 结果呢才跌一个礼拜
[21:16] 而且都留下影线
[21:18] 马上又拉回来
[21:19] 那现在市场上就更进一步关注
[21:21] 这一次SpaceX给予市场的意涵表现为何呢
[21:25] 其实一个最大的意涵
[21:27] 就是华尔街在募资金额层面
[21:29] 还有马斯克的谈判能力
[21:31] 已经达到了进一步的要求
[21:33] 一般来说
[21:34] 承销商银行除了收取IPO的手续费之外
[21:37] 如果启动绿邪机制
[21:40] 也是说我们讲说
[21:41] 额外增发15%的股票
[21:42] 来稳定市场和满足需求
[21:45] 银行通常能够再收取
[21:46] 一笔额外的费用
[21:47] 但这一次SpaceX
[21:49] 成功谈到一项极为罕见的条件
[21:52] 就是高盛和大摩
[21:54] 这些承销商
[21:55] 如果要执行这个绿邪机制
[21:57] 就额外出售
[21:58] 112.5亿美元的股票
[22:00] SpaceX是不用付任何的手续费的
[22:03] 换句话说
[22:04] 银行愿意
[22:05] 为这笔可能创造的佣金收入
[22:08] 来做免费服务
[22:10] 即便最终IPO的手续费
[22:12] 大概还是5亿美元
[22:13] 但仅占规模募资的0.67%
[22:16] 什么意思呢
[22:17] 就是说这次LV体量太大了
[22:19] 高盛和大摩
[22:20] 他也没有去面对过这么庞大的IPO
[22:23] 但他们很敢赌
[22:24] 他们相信一定会有投资人接手
[22:26] 所以我收你非常非常少的手续费
[22:30] 而该以佣金的方式来进行收取
[22:32] 那么尽量让你有更多的溢价权
[22:35] 那也的确
[22:35] 这次SpaceX也超车了特斯拉
[22:38] 马斯克商业帝国也正式换主角
[22:40] 行情走到这样的一个位阶
[22:42] 我们当然知道
[22:43] 马斯克之所以急着让SpaceX上市
[22:46] 有几个原因
[22:47] 马斯克一直强调
[22:48] 说人类要能够定期的往返火星
[22:50] 公司才会考虑上市
[22:52] 现在突然情况骤变
[22:54] SpaceX突然之间它就已经挂牌了
[22:58] 公司从一间太空企业
[22:59] 变成了横跨火箭卫星网络
[23:01] 现在也有资料中心
[23:03] 还有AI的平台型企业
[23:04] 重要的原因就来自于
[23:06] 现在SpaceX敢在今年中旬左右上市
[23:10] 就是要抢在OpenAI和Entropy
[23:12] 等AI巨头之前登陆资本市场
[23:15] 我们都知道大家未来会有多缺钱
[23:18] 那我当然先把钱给抢光
[23:20] 尤其现在的风头
[23:21] 在之前OpenAI跟马斯克之间的
[23:23] 法律争议以后
[23:24] 几乎SpaceX也算是盖住了OpenAI
[23:28] 那当然接下来要上市的就是Entropy了
[23:31] 所以SpaceX接下来上市之后
[23:33] 到底我们会如何观察到
[23:35] 未来的营收项目呢
[23:37] 因为很多人说他买的是太空梦
[23:38] 但是很多人第一眼
[23:40] 其实看到的是买的是AI账单
[23:42] 为什么这样讲
[23:43] 因为XAI并入之后
[23:45] 整体估值是上升的原因
[23:47] 可是整体的财报流向
[23:48] 就有大量的收入
[23:50] 是从Starlink的稳定的现金牛
[23:53] 正在往接下来XAI来做投入
[23:56] 如果我们细看
[23:57] 各大项目的收入表现
[24:00] 其实IPO前夕
[24:01] 算是透露出不错的讯息
[24:03] 所以市场才会如此大的提振
[24:04] 一个就是Google
[24:05] 之前从今年10月到2029年
[24:08] Google就已经宣布
[24:10] 每个月会固定9.2亿美元
[24:12] 来租用11万颗
[24:14] 挥达和GPU相关的资源在XAI
[24:16] 另外一个就是Entropy
[24:18] 它也跟SpaceX来租用大部分的算力
[24:21] 所以SpaceX虽然它是做太空为主轴
[24:24] 不过我们知道
[24:25] 未来它的算力交易
[24:27] 也就是资料中心的算力出租
[24:30] 会是非常稳定的现金流来源
[24:32] 第二区块当然就是火箭部门
[24:35] 很快的按照马斯克的预估
[24:37] 接下来全球80%到90%的入轨的筹债
[24:42] 都会由SpaceX来完成
[24:43] 我们讲的不是单纯太空旅游
[24:45] 而是说如果你有什么卫星需要发射
[24:48] 你们可以来找我们家
[24:49] 每个国家的科研机构都可以来找SpaceX
[24:52] 第一便宜
[24:53] 第二我们已经有成熟的商业模式
[24:56] 可以帮助你把卫星安全的送到各个月球
[25:00] 或者说各个太空站点
[25:02] 那另外一个就是Starlink
[25:04] 因为今年四月份的时候
[25:06] Starlink就已经部署了9600颗的低轨卫星
[25:09] 用户大概1030万
[25:11] 那我们当然知道
[25:12] 我们现在还是使用地面通讯
[25:14] 还是比较习惯
[25:14] 但是在偏远地区
[25:16] 或者说更重要的是5G转6G市场当中
[25:20] 市场上一定会有相关的一些配套措施
[25:22] 引进各国低轨卫星
[25:24] 它都是一个稳定的营收来源
[25:26] 现在唯一的问题来自于
[25:28] 可是XAI太烧钱了
[25:29] 刚才所聊到的
[25:30] 不管是火箭收入
[25:32] 还是刚才提到的
[25:35] 这种低轨卫星收入
[25:36] 通信收入
[25:37] 它都比不上XAI
[25:38] 目前烧钱的速度
[25:40] 目前XAI整体而言
[25:43] 虽然营收业务还有32亿
[25:45] 但是处于严重亏损的情况
[25:47] 所以从现在来看
[25:49] SpaceX
[25:50] 它还是一个高度烧钱的企业
[25:52] 那你看一下全球前十大巨头
[25:54] 前十大巨头几乎全部都有稳定
[25:57] 每个月的现金流流进来
[25:59] 除了SpaceX例外
[26:00] 所以它就形成一个非常大的一个破口那就是我们是不是开始愿意接受未来有机会造梦的这些大型企业来承担这么庞大的被动买盘的刺激以前告诉你说你的退休基金
[26:13] 不管是美国的退休股票资金的仓位
[26:16] 或者台湾劳退劳保
[26:18] 我们都会告诉你说
[26:19] 你买的股票就是
[26:20] 它每个月就稳定的现金流
[26:22] 它有一定程度的垄断权
[26:24] 那这些企业现在逐步变成OpenAI
[26:27] SpaceX Entropia
