[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 上礼拜五本来中错4%
[04:34] 能够盖过高利率的压力就没问题了
[04:36] 基本上就是油价上升很痛苦
[04:40] 反正我的股价跑赢油价
[04:41] 那我也不痛苦了
[04:42] 从投资人的思维来看
[04:44] 是有这样的一个感觉
[04:45] 那到底利率预期
[04:47] 或者说这一次由非农所引发的利率变化
[04:50] 有没有抑制到股市呢
[04:51] 其实第一
[04:52] 从本盈比的回调当然是有
[04:54] 那第二呢
[04:55] 真正影响到的仍然是
[04:57] 没有基本面需要大量借贷的这些企业
[05:00] 但是有了基本面
[05:02] 借贷量没有这么高的企业
[05:04] 其实影响并不大
[05:05] 我们从实证统计来做观察
[05:07] 当美国十年级公债殖利率
[05:09] 也就是黑色线
[05:09] 维持在2%以上高档的过程当中
[05:13] 尤其是实质利率
[05:14] 就是把通膨给减掉
[05:15] 理论上
[05:16] 应该会对于高估值的成长股
[05:19] 很不利才对
[05:20] 但是真正受到压力的
[05:21] 反而是蓝色线
[05:22] 也就是没有获利的科技股
[05:24] 从整个24年以来
[05:26] 非获利的科技股
[05:28] 就还没有有具体营收回馈的科技股
[05:30] 相对于科技七熊
[05:32] 科技七巨头的表现
[05:34] 它就是一路的走落
[05:35] 到2026年已经跌到2021年的相对位置了
[05:39] 换句话说
[05:40] 高利率的环境底下
[05:42] 市场并没有因此而全面的抛弃科技股
[05:44] 而是把资金集中到拥有现金流
[05:47] 获利能力和AI变现能力的大型科技巨头
[05:50] 所以它就变成两种叙事
[05:52] 第一个就是如果资金要轮动
[05:54] 假设废班稍微要休息一下
[05:56] 那轮动回来
[05:57] 大多数中小型股可能也不会收回
[06:00] 它一样会流到七巨头
[06:01] 七巨头虽然花的资本支出很多
[06:03] 可是问题在于
[06:04] 他们可以不断每个月
[06:05] 稳定的创造现金流
[06:07] 手机还是照卖
[06:08] 搜寻引擎的业务还是一样有
[06:10] 社交媒体的广告营收也是一样
[06:12] 所以在这样的效果底下
[06:14] 等同于在高利率的环境底下
[06:16] 顶多就是冲击那些
[06:17] 没有基本面的企业
[06:19] 好那现在回过头来说
[06:20] IPO案很快就要来临了
[06:23] 从未来四天的SpaceX
[06:25] 即将要挂牌以后
[06:27] 再来就是Enthropy
[06:28] 现在OpenAI也要挂牌了
[06:30] 那对于这些还没有具体
[06:32] 有营收回馈
[06:33] 大量依赖资本支出的企业
[06:35] 他们的提量又非常大
[06:37] 对于市场会有怎么样的一个冲击呢
[06:39] 不管怎么说
[06:40] 2026年预估新股发行的总额
[06:43] 会逼近6800亿美元
[06:45] 不仅远远高于疫情后的水准
[06:48] 更创下历史新高
[06:50] 其中最值得注意的
[06:51] 那就是有大量的AI
[06:53] 太空科技
[06:54] 国防科技
[06:54] 还有独角兽
[06:55] 其实除了这三家
[06:56] 还有很多家
[06:56] 那很多都还没有具体的
[06:58] 大量的营收来做回馈
[07:00] 那市场会如何来做评价
[07:02] 就是值得大家
[07:03] 可以思考的观察重点
[07:04] 当然了
[07:05] 更有可能我觉得本轮
[07:07] 没有股市的回档
[07:08] 其实就是高档之后
[07:10] 乖离适度的回调
[07:12] 这是过去50年来
[07:13] 标普白指数
[07:14] 在短短两个月上涨
[07:15] 20%以后的变化
[07:17] 那相当有趣
[07:18] 历史上每一次出现
[07:19] 这种级别的急涨以后
[07:21] 未来一个月
[07:22] 三个月
[07:23] 六个月和十二个月的报酬
[07:24] 其实还是正
[07:25] 其中一年后的平均报酬
[07:27] 来到41%
[07:28] 即便是最差的
[07:29] 1991年的案例
[07:30] 一年之后仍然上涨8.4%
[07:32] 换句话说
[07:33] 如果它是一个强势的开头
[07:36] 搭配着AI生产力的爆发
[07:39] 照理来讲
[07:40] 后市仍然可期
[07:41] 那重点只在于
[07:42] 由于短期内乖离拉高
[07:44] 它要一段时间的沉积起
[07:46] 也就是急涨过后
[07:47] 通常就不会一直急涨
[07:49] 一直激涨
[07:49] 那就是泡沫了
[07:50] 如果是一个健康牛
[07:51] 就是激涨以后
[07:52] 休息一阵子
[07:53] 下一次再激涨
[07:54] 那看能不能依循着财报纪的变化
[07:57] 那当然美银的HARNET
[07:58] 就给予了不同的看法
[08:00] 他认为现在CPI数据很快要公布
[08:03] 然后又有FOMC利率决策会议
[08:06] 到时候利率预期调更高
[08:07] 把中小型企业全部打死以后
[08:11] 那科技巨头
[08:12] 他也不一定能够独善其身
[08:14] 我们看这一次
[08:15] 6月份接连所出现的几个观察数据像是非农就业通膨数据欧洲央行日本央行数据到最新的联准会主席Kevin Walsh首次主持FOMC利率决策会议
[08:27] 他说这些每一个事件
[08:28] 都会不小心推高长天提供在职利率
[08:31] 好那你说推高0.1没影响
[08:34] 0.2呢推高0.3呢
[08:35] 推高1%呢难道都不会有影响吗
[08:38] 好所以他也按照历史经验来做回顾
[08:41] 一旦通膨突破4%
[08:43] 标普500在未来三到六个月的平均表现
[08:46] 都偏弱
[08:47] 所以呢
[08:47] 这就导致了
[08:48] 只要联总会释放紧缩谈话
[08:51] 股市就应该要自然的做回调
[08:53] 这是他给予的看法
[08:54] 所以这就可以看得出来
[08:56] 现在市场还是很明显多空分期的
[08:58] 低跟嘛
[08:59] 做了适度修正
[09:00] 大家都知道
[09:01] 不会短期内马上创高
[09:02] 可是到底要把它视为一个
[09:04] 长期的盘整期
[09:05] 还是长空的开始呢
[09:07] 那大家了解我们的态度
[09:08] 我们对于生产力周期是有信心的
[09:10] 我们更类似于
[09:11] 把它视为一种
[09:12] 类中期回调
[09:13] 但是呢
[09:14] 这些利空
[09:15] 因此
[09:16] 其实它就是一个适度回调的理由
[09:18] 真正泡沫破面的理由是什么
[09:20] 是AI不赚钱了
[09:22] AI生产力遇到停滞情况
[09:25] 当然这个时候要回过头看
[09:26] 那七巨头当前的市况表现为何呢
[09:28] 它能不能带动人类的生产力向前冲
[09:31] 辉达是卖产值的
[09:32] 台积电也是卖产值的
[09:34] 那这些挖金矿的人
[09:36] 他能不能挖到一些东西呢
[09:37] 我们先从七巨头目前在今年的涨幅来做比较
[09:41] 今年涨幅最多的仍然是Google
[09:43] 涨幅有14%
[09:44] 再来纳斯达克指数涨幅是10%
[09:47] 所以今年其实涨幅超越纳指的
[09:50] 大概就只有Google了
[09:51] 苹果涨幅10.4%
[09:53] 标普涨幅7.3%
[09:55] Amazon涨幅5.4%
[09:57] 所以今年超越标普白指数的
[09:59] 也只有两只股票
[10:00] 那特斯拉今年收跌
[10:02] Meta收跌12%
[10:04] 微软又软下来了
[10:06] 跌幅大概14%左右
[10:07] 所以从这样的一个效果来看
[10:09] 都可以了解到
[10:11] 其实今年大型科技股
[10:13] 有没有受到显著的资金轮动呢
[10:15] 其实并没有
[10:15] 所以有些人的做法
[10:17] 已经从硬体股切换回软体股了
[10:19] 这是一个观察的方向
[10:20] 那你说苹果今年
[10:21] 其实股价表现还不错啊
[10:23] 没错嘛
[10:24] 这个其实苹果股价
[10:25] 一直都算是蛮平稳的
[10:27] 苹果在两个小时之前的WWDC
[10:30] 全球开发者大会
[10:31] 已经正式推出全新一代的AI平台
[10:34] 和重新打造的Siri AI
[10:36] 希望向市场证明
[10:38] 自己仍然有能力来参与人工智慧竞赛
[10:40] 那这一次是同步发表
[10:42] iOS27
[10:43] macOS27
[10:44] 那整体而言
[10:45] 我看了一下
[10:47] 主要应该是集中在照片编辑的强化
[10:50] 然后写作助手
[10:51] 还有visual intelligence
[10:53] 这些相关的AI功能
[10:54] 当然了一推出以后
[10:55] 我看那股价好像表现也不是特别好
[10:58] 看起来大家很清楚知道
[11:00] 这次苹果并没有推出让人惊艳性的亮点
[11:04] 不过苹果真正的目标
[11:06] 显然也不是把Siri给升级
[11:08] 而是为未来的新硬体来铺路
[11:10] 今年秋季苹果就要推折叠iPhone了
[11:13] iPhone 18 Pro
[11:14] 到智慧眼镜
[11:15] 那你也知道果粉
[11:16] 我也是果粉
[11:16] 果粉的态度是怎么样
[11:17] 每年都在闲
[11:19] 每年都在噎于苹果挤牙膏
[11:21] 然后转头就去买了
[11:23] 果粉就是这样子
[11:24] 口弦提证词
[11:25] 那我们就看一下今年是不会如此
[11:27] 去年就这样
[11:28] 去年i17有什么惊人的突破吗
[11:31] 没有
[11:31] 可是去年i17毛利率让苹果创高了
[11:35] 来到49.3%
[11:36] 整体在今年二季度财报
[11:39] 其实苹果也缴出相当亮丽的成绩
[11:41] 年增幅在营收有16%
[11:44] 每股盈余来到2.01块
[11:46] 都是创下历史新高价
[11:47] 尤其在I47的表现
[11:49] 非常非常亮丽
[11:51] 营收570亿美元
[11:52] 年增幅22%
[11:54] 这是历史同期的最高记录
[11:56] 与此同时
[11:57] 服务营收也在不断的扩大当中
[11:59] 手机营收大概还是占50亿
[12:01] 但是服务营收这几年扩大幅度非常快
[12:04] 已经超过了智慧手表
[12:06] 笔电或者其他穿戴装置
[12:09] 那Mac的部分表现算是平稳
[12:11] 也没有因此弱化
[12:13] 所以AIPC现在跟
[12:15] 汇达为首的这些笔电大战以后
[12:17] 今年销量是否会往下掉
[12:19] 是值得观察的重点
[12:20] 那iPad反而在慢慢复苏
[12:22] 这几年经过疫情红利之后
[12:25] 平板市场需求是趋于平稳
[12:27] 那现在由于全球教育市场
[12:29] 对于平板的需求大幅激增
[12:31] 台湾现在要变成深深用平板
[12:34] 那对于iPad的采购量
[12:35] 也许能够适度提升
[12:37] 那最重要当然是服务营收
[12:38] 服务营收
[12:39] 整体而言
[12:40] 本季度已经来到311美元了
[12:43] 包括App Store
[12:44] App Music
[12:44] Apple TV
[12:45] 这些其实都可以看到
[12:48] 它让硬体和软体股之间
[12:51] 有成功的冲销作用
[12:52] 你看硬体
[12:53] 硬体的部分
[12:54] 差不多每年第一季卖最好
[12:56] 因为第四季推新款
[12:58] 但是你看
[12:59] 在服务营收的部分
[13:00] 它每个季度在创高
[13:02] 从来没有停止过
[13:03] 那稍微不如预期的
[13:04] 应该就是穿戴装置
[13:05] 可能大家有更好的选择
[13:08] 连政府支5%
[13:09] Apple Watch或者AirPods
[13:11] 相关的配件
[13:12] 它就是很稳定而已
[13:13] 当然我们回过头说
[13:15] 苹果的AI翻身战
[13:17] 到底它的真正武器
[13:18] 是不是这一次的Siri呢
[13:20] 我觉得是它已经垄断了
[13:22] 至少有10年左右的生态系
[13:25] 过去两年市场每次谈到
[13:27] OpenAI Google
[13:27] Enthropy或者Meta
[13:28] 那这些企业好像都跟苹果无关
[13:32] 因为苹果并没有投资
[13:33] 大量的资本支出
[13:34] 在做资料中心
[13:35] 但是呢
[13:36] 苹果现在在开发者大会
[13:38] 所推出的新Siri
[13:39] 它已经底层上
[13:41] 采用Google的Gemini技术
[13:42] 某种程度
[13:43] 现在苹果快要变Android阵营了
[13:45] 让Siri具备记忆上下文
[13:48] 理解个人资料
[13:49] 和执行复杂任务的能力
[13:51] 等同于把AI的短板给补上了
[13:54] 这也是很多人低估苹果的地方
[13:56] 苹果一直觉得
[13:57] 它就自己搞一个生态系
[13:58] 它现在愿意跟Google合作
[14:00] 如果未来AI代理人
[14:02] 真的能够替代人类的话
[14:03] 那苹果现在拥有的生态系
[14:06] 为什么就一定会被
[14:07] 其他阵营的手机给侵蚀呢
[14:09] 其实我们过去一直跟投资朋友提过
[14:12] 苹果从来
[14:13] 从贾伯斯时代以来
[14:15] 他一直都是把自身定位成
[14:17] 成熟技术的组装者
[14:18] 而并不是技术的创造者
[14:20] 我们从过去两年
[14:21] 全美的研发经费排行榜来看
[14:23] 亚马逊Google的R&D费用
[14:26] 大概是15%
[14:27] 脸书是27%
[14:29] 艾斯摩尔和博通是15%
[14:30] 辉达也有14%
[14:32] 就赚来的钱有14%到20%
[14:34] 都投到去研发了
[14:36] 苹果呢
[14:36] 苹果只有8%
[14:38] 其实比例算是在七巨头当中
[14:40] 算非常低的
[14:41] 所以从贾博士时代开始
[14:43] 苹果的策略一直都是聚焦在
[14:45] 组装成熟的技术
[14:46] 还有打造完美的供应链
[14:48] 来降低市场成本
[14:50] 所以在这样效果底下
[14:51] 等同于
[14:51] 我觉得苹果也不一定会失败
[14:53] 它算是走出了自己的一条路
[14:55] 我是蛮期待今年的折叠机
[14:56] 不要卖太贵就好了
[14:57] 当然了
[14:58] 对于其他企业来说
[14:59] 对于AI的投资
[15:01] 它就完全提不下来
[15:02] 现在AI巨头的排队上市计划
[15:05] 仍然在持续当中
[15:06] SpinX预估会募到750亿美元
[15:09] 估值上看1.8兆
[15:11] 那Entropy交了上市预告书以后
[15:14] OpenAI在昨天也准备要上市了
[15:16] 两家公司的估值
[15:18] 大概都会超过6000到8000亿美元左右
[15:21] 三家公司在短短几个月以内
[15:23] 会为美国股市增加
[15:25] 接近4兆左右的市值
[15:27] 当然这件事情就意味着
[15:29] 很多人会担心
[15:30] IPO市场会把资金量给全面抽走
[15:33] 那这也是过去我所担心的
[15:35] 不过看了美银的报告
[15:36] 从过往的历史统计案来做观察
[15:40] 好像市场IPO量即便大
[15:43] 也不一定会导致市场的资金出现真空
[15:46] 我们看无论是14年阿里巴巴的上市
[15:48] 或者中国工商银行06年上市
[15:51] 或者Facebook NTT
[15:53] 这些超大型的IPO
[15:55] 通常在上市后的一年内
[15:57] 当地股市仍然持续上涨
[15:59] 说明的事情是
[16:00] 钱肯定会有人被抽走
[16:02] 但是IPO案也可以点燃信心
[16:06] 信心就是你愿不愿意
[16:09] 解定存去买IPO
[16:10] 那只要信心的程度
[16:12] 大于市场货币真空所引发的担忧
[16:16] 那资金照样盖得过去
[16:17] 所以从头到尾
[16:19] 就是情绪的问题
[16:21] 那我们就看
[16:22] 首先SpaceX打头阵
[16:24] 它在打头阵的过程当中
[16:25] 能不能成功的点燃市场的情绪呢
[16:27] 那SpaceX
[16:28] 这一次比较值得关注的一个方向
[16:30] 那就是在它上市的过程当中
[16:32] 其實距離真正各大指數
[16:35] 納入到SpaceX的個股當作指數成分應該要到明年才能夠發生了這一次本來SpaceX是很努力很用力的想要推希望在今年下半年之前就可以强行纳入到标普5百指数当中
[16:50] 那你全球的被动买盘就有数百亿
[16:52] 不过标普和道琼指数公司
[16:54] 在上礼拜已经正式宣布了
[16:56] 将会维持现行规则不变
[16:58] 拒绝为超大型IPO企业开后门
[17:01] 明年你才会纳入我们的资格
[17:03] 所以大概要到2027年的6月到7月
[17:06] 才能够取得纳入指数的可能性
[17:09] 那当然往好处想
[17:11] 那就是可能被动型投资者
[17:14] 他要等到2027年才会接盘
[17:16] 那主动型投资者投资个股
[17:18] 你就可以提前先锁定价位
[17:20] 这也是一种方式
[17:21] 不过从七大巨头
[17:23] 目前都在持续烧钱的情况底下
[17:25] 又有人把资金给多种拿去IPO
[17:28] 肯定会造成市场的供给
[17:30] 来得更加的阔绰
[17:32] 这就使得市场的资金需求
[17:34] 会陆续的被分配
[17:35] 所以科技巨头到目前为止
[17:37] 整体而言
[17:38] 如果一家企业
[17:39] 现金流很充裕
[17:40] 获利持续成长
[17:41] 最简单的融资方式就是发债
[17:43] 而并不是发股票
[17:45] 因为发股票代表的是
[17:46] 既有的股东权益被分摊
[17:48] 但现在市场上
[17:49] 你看Google募资850亿
[17:51] SpaceX超大型的
[17:54] 我刚刚是念成SpaceX
[17:56] 算了SpaceX超大型的IPO
[17:58] 到Meta
[17:59] 你考虑筹措数百亿美元以后
[18:01] 现在已经开始进入到
[18:03] 烧资本的阶段
[18:04] 所以大家其实真的是
[18:05] 有一点缺钱的迹象
[18:06] 那这个缺钱迹象
[18:07] 我们就看那个点蓝的
[18:09] 那个中期回的讯号
[18:10] 能不能持续发销
[18:11] 就是那利率再高一点
[18:13] 你再发债
[18:14] 我在利率再高一点
[18:15] 你再发债
[18:16] 发到一定程度
[18:17] 你就不敢发了
[18:19] 所以我们才讲说
[18:20] 这个利率预期的高位
[18:21] 它跟科技股的估值修正
[18:23] 不一定是利率高
[18:25] 所以估值就被迫修正
[18:26] 看起来估值修正的
[18:27] 以前都是中小型股
[18:28] 那真正利率高
[18:30] 被迫修正是
[18:31] 他们还要发债
[18:32] 他们要在这么贵的利率发债
[18:35] 压力就越来越大了
[18:36] 那我当然不能给予你这么高的一个市场评价了
[18:39] 所以我们回过头看
[18:41] 这张图表示比较历史上
[18:43] 在最大规模的IPO和未来潜在的超级IPO的可能性
[18:48] 你像根据法巴银行的估算
[18:50] 如果SpaceX上市募资规模达到750亿美元的时候
[18:56] 就会成为市场上最大的记录保持者
[19:00] 2019年上市的沙乌迪阿美是294亿
[19:03] 那SpaceX等于是直接规模超过两倍以上
[19:07] 所以这个资金量体是我们前所未见的
[19:10] 当然我们现在的整体货币量资金量
[19:12] 也比当时高很多
[19:14] 那第二个是纳入指数之后的预期
[19:17] 因为等同于从今年7月开始到明年7月
[19:20] 这段时间就会有人对赌
[19:22] 那我现在先买SpaceX
[19:24] 到时候会有多少资金也有被动买入
[19:27] 在一年之后
[19:28] 如果以初始流通市值来看的话
[19:30] 750亿美元仅占SpaceX总市值的4.3%
[19:35] 所以纳入纳斯达克100指数大概是1%
[19:37] 那整体而言
[19:39] 应该非常有机会
[19:41] 大概是3到4%左右的占比
[19:43] 分别在标普和纳斯达克指数左右
[19:46] 那其实就说明着
[19:47] 2027年大家要有足够的钱
[19:49] 或者说如果没有足够的钱
[19:52] 那就会有企业被挤掉
[19:53] 让SpaceX获得大量的资金涌入
[19:56] 那这个都是市场的竞赛
[19:58] 所以我们才讲说
[19:59] 各大企业巨头
[20:00] Meta现在也在发债
[20:01] Google也在发债
[20:03] 就是预防融资成本继续提高
[20:05] 然后三大AI业者准备要挂牌上架以后
[20:09] 市场上也很清楚知道
[20:10] 这件事情可以利多解读
[20:13] 也可以利空解读
[20:13] 但是都让未来的市场充满着波动
[20:16] 我最爱波动了
[20:17] 有波动才有部件的机会
[20:19] 好我们看一下四大指数的表现
[20:21] 道行指数价叠80点
[20:23] 0.16%
[20:24] 说在50786点
[20:26] 标普上涨21点
[20:27] 0.3%
[20:28] 收在7405点
[20:29] 纳指上涨220点
[20:31] 0.86%
[20:32] 收在25929点
[20:34] 肺瓣上涨685点
[20:36] 5.6%
[20:37] 完全站回来
[20:39] 上一轮的蝶服
[20:41] 黑K棒
[20:42] 5.61%
[20:43] 收在12906点
[20:45] 哇 肺瓣真的很强
[20:46] 我看肺瓣是不是打算
[20:48] 有点类似那个去年10月份的AI永动机一样
[20:51] 就稍微高位
[20:52] 你不愿意做到季线或者半年线的回调
[20:56] 就直接在这个高位
[20:57] 等待中长期均线跟上
[20:59] 我就盘在这里
[21:00] 盘一个季度
[21:01] 等到下个季度
[21:02] 我又可以开始喷了
[21:03] 那这段时间
[21:04] 就让中长期投资者的成本
[21:06] 慢慢的上移
[21:07] 看起来是一种方式
[21:09] 当然了
[21:10] 有些人说
[21:11] 左侧投资者
[21:12] 其实已经开始接刀了
[21:13] 那最近还有网友提醒
[21:15] 接刀要有技巧
[21:17] 你到底是要接刀柄
[21:18] 还是接刀身
[21:20] 那我们是技巧不好
[21:21] 我们都张开嘴
[21:22] 直接吞剑这样子
[21:25] 乖乖的
[21:25] 好
[21:26] 但不管怎么说
[21:27] 我们刚才主要跟投资朋友分享
[21:28] 市场上现在多空分歧
[21:30] 是很正常的
[21:31] 那才会有市场波动
[21:32] 当然我们本质上而言
[21:33] 都可以看到
[21:34] 市场的资金需求量
[21:36] 是非常大的
[21:37] 但是市场对于未来信心的投资
[21:39] 也够高
[21:39] 才会让这些AI企业
[21:41] 急着要挂牌
[21:42] 那现在唯一的风险就是
[21:44] 这些企业
[21:45] 如果是七大业者
[21:46] 我反而不是很担心
[21:47] 他们都有本业收入
[21:48] 那OpenAI挂牌以后
[21:50] 他的本业收入在哪里呢
[21:51] SpaceX我还不太担心
[21:53] 他至少还有Starlink
[21:54] 那Antropic其实财报也不错
[21:56] 最担心的就OpenAI
[21:58] 它上市以后
[21:59] 它的估值规模的倍数
[22:01] 是比其他企业都还来得离谱的
[22:04] 如果它获得太多的资金
[22:05] 就代表着太多人给予它期待
[22:07] 那反而是市场上
[22:08] 比较大的一个压力
[22:09] 所以不管怎么说
[22:10] 现在很多人
[22:12] 可能在当前的行情
[22:13] 会有不同的疑问
[22:14] 有些人想说反弹要不要减码
[22:16] 有些人想说本益比修正到什么程度了
[22:19] 可是你要想想看
[22:19] 很多问题
[22:21] 也许在你开口的那一刻
[22:22] 就已经藏在答案里头
[22:24] 如果你问的是
[22:25] 现在反弹要不要减码
[22:27] 那你的思维可能就更偏向于顺势操作
[22:30] 重点不是预测未来
[22:32] 是随着价格变化调整部位
[22:34] 如果你问的是
[22:35] 目前本益比修正到什么幅度了
[22:36] 那你就是用估值思维
[22:38] 在寻找安全边际
[22:39] 本质是左侧投资
[22:40] 如果你问的是
[22:41] 今天是几号了
[22:42] 那说明你根本不在乎短期涨跌
[22:44] 你就继续定期定额的计划
[22:46] 来做投入就好了
[22:47] 投资从来都不是寻找答案
[22:50] 你是在认识自己
[22:51] 每一次有波动都是这样
[22:52] 不同的问题
[22:53] 反映的是不同的投资框架
[22:56] 风险承受能力
[22:57] 所以很多时候
[22:58] 当你开口的那一刻
[23:00] 答案就已经藏在其中了
[23:02] 那儿子不是跟爸爸父子聊天吗
[23:05] 爸爸
[23:05] 我智力测验没及格
[23:07] 我真的很傻吗
[23:09] 傻孩子
[23:11] 你怎么会傻呢
[23:13] 来儿子过来
[23:14] 是爸爸
[23:15] 志明
[23:17] 我真的是一个好爸爸吗
[23:19] 爸爸我叫家明
[23:21] 所以很多时候
[23:23] 那个问题本身就是答案
[23:25] 你要了解
[23:26] 很多人以为自己在分析市场
[23:28] 其实我们是在
[23:29] 透露自己的投资属性
[23:31] 你在问题当中
[23:32] 你已经知道自己该怎么做了
[23:34] 那你就是要考验自己
[23:35] 你能不能遵守
[23:36] 你在本轮回调之前
[23:38] 原本的初心
[23:39] 市场的涨跌
[23:40] 每天都在变
[23:41] 但你的问题
[23:42] 往往比市场更加真诚
[23:43] 当你知道自己
[23:44] 在问什么问题的时候
[23:45] 你要了解
[23:46] 答案已经在你身旁出现了
[23:48] 好我们继续往下聊
[23:49] 刚才聊到的是
[23:50] 整个AI的正向作用
[23:51] 它某种程度就是一个
[23:52] 资金的轮替
[23:53] 有流动性
[23:54] 才有预期感的升温
[23:56] 但回过头来说
[23:57] 那AI到底
[23:58] 它的副作用是什么呢
[23:59] 第一波副作用
[24:00] 是我们过去所提到的
[24:01] 现在是毕业季
[24:03] 2026年的毕业生
[24:04] 他是第一批真正
[24:06] 和生存式AI
[24:07] 一起完成大学学历
[24:09] 教育的新鲜人
[24:11] 他们不久之后
[24:12] 应该讲说
[24:13] 应该刚进大学
[24:15] 确实GPT就刚好问世了
[24:16] 22年到23年
[24:17] 然后毕业的时候
[24:19] 现在AI已经很明显改变了职场
[24:21] 那这一代人呢
[24:22] 面临很多矛盾的挑战
[24:24] 一方面
[24:24] 企业正在用AI取代更多的初阶工作
[24:27] 从写程式到整理简报处理文件
[24:30] 应该我相信所有的文职企业
[24:32] 应该都是需要有一定程度的AI技能
[24:35] 另外一方面
[24:36] 企业又很急着去招募懂AI的新鲜人
[24:38] 因为他们比工作20年的资深员工
[24:41] 更熟悉AI工具
[24:42] 这个就代表着残酷的分化
[24:44] 我们看22年
[24:45] 应该讲22岁到27岁
[24:47] 目前大学毕业生的失业率
[24:49] 在3月份到4月份
[24:51] 已经高达5.6%
[24:52] 这是13年以来
[24:54] 扣除疫情初期之后的高点之一
