[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 會計年度第一季營收會高達780億美元
[02:38] 其實輝達財寶是完全沒有納入任何中國資料中心的收入
[02:43] 輝達現在已經取得H200晶片出口的許可了
[02:46] 可是沒有任何實際營收的認列
[02:49] 所有晶片在出口前還要必須經過美國檢查程式
[02:53] 增加交貨的不確定性
[02:55] 而且現在還要承擔25%的出口關稅
[02:58] 這個商業模式就很複雜了
[03:00] 所以整體來看
[03:01] 這份財報現在再次確認了
[03:04] AI的投資浪潮還在持續當中
[03:06] 但市場下一步的關注焦點
[03:09] 一那輝達的大漲
[03:10] 能不能救一下科技股呢
[03:12] 今年收漲的七巨頭當中
[03:15] 只剩下輝達和蘋果了
[03:17] 而且漲幅都是那1% 5%
[03:19] 其他五巨頭全部都是付報酬
[03:22] 那他能不能救起科技巨頭呢
[03:25] 讓整個大盤有向上攻堅的可能性
[03:27] 要不然全球市場的焦點
[03:29] 現在就變成韓國股市臺北股市了
[03:31] 都是亞洲新興市場在上漲
[03:33] 所以輝達財報的關鍵
[03:35] 這一次市場即便對於AI的容錯空間開始縮小
[03:39] 但是呢
[03:40] 輝達畢竟還是市值高達4.8兆的企業
[03:43] 它只要有適度的拉伸空間
[03:46] 甚至突破之前的高點
[03:48] 它就足以導致很多的軟鐵股
[03:51] 是否有機會匹極泰來
[03:52] 畢竟現在很多軟鐵股跌幅
[03:54] 都是40%
[03:55] 那這筆資金
[03:57] 對於軟體股來看
[03:58] 是很重要的
[03:59] 你不漲輝達
[03:59] 那你也可以稍微
[04:00] 拉一下軟體股
[04:01] 從技術面來看
[04:03] 輝達當前的股價
[04:05] 大概在200美元
[04:06] 附近的乖卡壓力
[04:07] 對應的是
[04:08] 過去7個多月以來
[04:10] 哇 已經7個多月了
[04:11] 這是一個成交的密集上緣
[04:13] 也就代表著
[04:14] 輝達已經盤在
[04:16] 這個箱形區間
[04:17] 很長一段時間
[04:18] 盤了整個大半年了
[04:20] 主要成交集中
[04:21] 大概在183塊的成交大量區
[04:24] 那這就是過去七個多月的平均持股成本
[04:27] 那下方的170到175
[04:30] 它是一箇中期的支撐帶
[04:31] 就看起來就不容易跌破
[04:33] 每一次測試壓力都能夠有效的站穩
[04:35] 這一次就看能不能一舉的突破過去的盤整區
[04:39] 由輝達來帶頭衝
[04:41] 順便把他客戶的股價也開始往上帶
[04:44] 當然今年以來
[04:45] 輝達已經是七巨頭當中表現最為亮麗的股票了
[04:49] 今年以來大概漲幅是3.5%
[04:52] 納斯達克指數還下跌接近0.5
[04:54] 其他七巨頭當中
[04:56] 在兆元聚熱部當中
[04:58] 同樣上漲的只有蘋果
[04:59] 漲幅甚至不到1%
[05:01] 至於像是特斯拉
[05:03] 像是Amazon
[05:04] 像是Microsoft或者Google
[05:06] 今年到現在都還是負報酬
[05:08] 所以美股七巨頭
[05:10] 我們講的七巨頭
[05:12] 美股七熊
[05:13] 其實今年表現算是真的蠻差勁的
[05:16] 我們再把臺積電指數給拉進去看
[05:19] 臺積電現在漲幅已經高達21%
[05:21] 這個遠遠比七巨頭來的亮麗
[05:24] 所以我們才講說
[05:25] 把它加入到七巨頭
[05:27] 變成美股超級吧
[05:28] 現在臺積電就是超級吧的龍頭
[05:31] 事實上我們可以看得很清楚
[05:33] 今年亞洲新興市場的強勢氛圍
[05:36] 基本上遠遠比美國股市表現來的更為亮麗
[05:40] 那很多人說
[05:41] 那現在是不是該買硬體股放棄軟體股
[05:44] 還是說因為軟體股被抄疊了
[05:47] 應該買軟體硬體股都太貴了
[05:49] 我認為是不要因為當前的股價
[05:51] 來立即改變你的投資策略
[05:53] 我是覺得
[05:54] 如果你一直都是追漲殺跌
[05:55] 那心態不對怎麼都會虧
[05:57] 其實費辦24年到25年
[06:00] 他也是盤了一整年
[06:02] 就是說
[06:03] 他當時也是整個橫盤區間
[06:07] 在納斯達克指數持續創高底下
[06:09] 他就一直落後在那邊
[06:11] 所以我的看法是
[06:12] 你要有一個心態的沉穩
[06:14] 要了解說你對於指數的信心
[06:16] 對於個股的信心
[06:18] 它的根本投資邏輯在哪裡
[06:20] 你才會有現在的成就
[06:22] 難道四大CSP業者
[06:24] 作為臺積電的客戶
[06:25] 他會永遠討輸給硬體嗎
[06:29] 我認為也不見得
[06:30] 所以還是要看你到底是做交易
[06:31] 還是做投資
[06:32] 做交易當然尊重趨勢
[06:34] 做投資
[06:35] 那你就看屬於合理價沒有
[06:37] 如果你的心態不對
[06:38] 怎麼做都會虧
[06:40] 很多人是這樣子
[06:41] 一開始買股票
[06:43] 只有下跌才虧錢
[06:44] 後來學會了做空
[06:46] 上漲也虧錢
[06:47] 後來又學會了期貨
[06:48] 價格不變
[06:49] 波動損耗也虧錢
[06:51] 後來又學會了選擇權
[06:53] 十倍數虧錢
[06:54] 最早只會炒臺股
[06:56] 上班才虧錢
[06:57] 後來學會了做美股
[06:58] 晚上睡覺也虧錢
[07:00] 好不容易學會了炒幣
[07:02] 週末也虧錢
[07:03] 最後乾脆去融資
[07:05] 沒錢也虧錢
[07:06] 你如果心態不對
[07:07] 你怎麼做都會虧
[07:09] 回答當然是好
[07:11] 但能不能從賣產值的
[07:13] 來拉動挖金礦的企業的股價
[07:15] 其實就很重要的
[07:17] 那重點在於我們作為左側投資
[07:20] 本來就是第一
[07:21] 在市場相對恐慌起
[07:22] 第二永遠都減沒有人要的
[07:24] 所以如果硬要從SOXX和QQQ
[07:27] 如果是一兩大持倉來看的話
[07:29] 你大概可以理解說
[07:30] 到底現在還有誰還在左側
[07:33] 那在右側的
[07:34] 那就讓他順勢的奔跑就可以了
[07:36] 那回過頭看
[07:37] 到底他的客戶現在的資本支出
[07:40] 還要上修到什麼地步呢
[07:42] 我們從最新預測來看
[07:43] 五大雲端業者
[07:45] CSP的資本支出還在持續上修
[07:47] 26年的總投資預估原本是5200億現在已經上修到6760億2027年預估要拉昇到7700億這速度其實還算是蠻快的本來預估年增幅至少要遞還
[08:01] 現在搞不好可以持續保持
[08:03] 多數雲端公司因為資本支出龐大
[08:06] 自由現金流反而下滑了
[08:08] 反而輝達作為AI投資讓頭當中的領頭羊
[08:12] 他變成他的資本支出也多
[08:14] 可是由於他大量的賣出的產值
[08:17] 它的現金創造能力和財務彈性
[08:20] 在七巨頭當中
[08:21] 反而就成為相當亮麗的表現了
[08:24] 那AI的持續爆發底下
[08:26] 現在就要看
[08:27] 輝達本身
[08:28] 其實也在加強自己的出貨預期圖
[08:31] 其實從全球AI伺服器的出貨量
[08:34] 24年大概是169萬臺
[08:36] 然後到2025年突破200萬
[08:39] 到2029年預估會368萬臺
[08:41] 年複合成長大概是17%
[08:44] 我們要用一個基本理解
[08:46] 因為通常我們也不能夠
[08:48] 單純用一個絕對數字
[08:50] 就來描述說美好的輪廓
[08:52] 因為本來市場就有穩定的需求
[08:54] 應該這樣講
[08:55] 一般伺服器
[08:56] 就是你看到你辦公室機櫃裡頭
[08:59] 那放的一臺伺服器
[09:01] 大概每年是以不到5%的增速在成長
[09:04] 那AI伺服器大概是17%
[09:06] 所以只要維持這樣的一個量級成長
[09:09] 股價要讓它維持過去幾年的
[09:12] 在雙位數字標普百在10%以上的成長
[09:15] 他就有機會了
[09:16] 那過去兩年
[09:18] 五大雲端業者大概貢獻了
[09:20] 七成的揮達的GPU需求
[09:22] 現在沒有一家資本支出調降的
[09:25] 所以呢
[09:25] 新興雲端服務商和AI模型公司
[09:28] 紛紛投入算力競賽之後
[09:31] 也許接下來就有進一步的推升條件
[09:33] 那就變成了
[09:34] 這看起來算力的需求一直都在
[09:36] 那重點是
[09:37] 能不能提供這麼多的算力
[09:39] 電力的問題該怎麼解決
[09:40] 這個才是未來極大的挑戰
[09:42] 我們舉例來說
[09:43] 之前有提過
[09:44] 亞馬遜這次資本支出
[09:46] 已經拉昇到2000億美元
[09:48] Google來到1800億
[09:50] Meta是1250億
[09:52] 微軟是1175億
[09:54] 特斯拉大概是200億
[09:55] 那蘋果雖然最少
[09:57] 但它一直以來
[09:58] 年增幅都不是特別多
[09:59] 所以它並不是主要的
[10:00] 四大CSP業者之一
[10:02] 那隻要Amazon
[10:03] Google
[10:03] Meta
[10:03] Microsoft
[10:04] 還在持續的拉昇
[10:06] 自己的資本支出
[10:07] 那看起來
[10:08] 市場上就進一步的想象空間
[10:10] 而這一些資本支出的投入業者
[10:13] 它某種程度
[10:14] 都是在保住自己的護城河
[10:16] 基本上如果這些公司
[10:18] 還在持續的進行迭代
[10:19] 持續的推出自己的AI產品
[10:21] 就說明著
[10:22] 就是AI仍然在走上坡路
[10:24] 只有推不下去了
[10:25] 或者有某些企業開始鬆動
[10:27] 我們才需要緊張
[10:28] 是不是AI的發展
[10:30] 已經稍微告一段落了
[10:32] 已經開始釋出真實的贏家了
[10:34] 那之前常看到說市場上
[10:37] 你要了解說
[10:38] 公司最有話語權的是誰
[10:40] 如果公司現在話語權最多的
[10:43] 都是那些搞研發的
[10:44] 說明其實大家都還在上坡路
[10:46] 那如果是搞業務的
[10:48] 那說明也還行
[10:49] 你賣得出去貨
[10:50] 大家就活得下去
[10:51] 如果現在公司最有話語權的是搞財務的
[10:54] 那也許就遇到瓶頸期
[10:56] 未來不好說
[10:57] 如果最有話語權的是人資部門
[11:00] 那太監當政嘛
[11:01] 那離死就不遠了
[11:03] 就要小心了
[11:03] 所以如果大家都還在
[11:05] 集中在研發部門
[11:06] 一直在推新的產品
[11:07] 其實也不用過度擔心
[11:09] 我們主要觀察的是
[11:10] 對於總體經濟輪廓的影響
[11:12] 因為AI它會改變科技迴圈
[11:14] 但不見得對於所有人都是有利的
[11:16] 對於企業本身的利潤擴大
[11:18] 肯定是有利的
[11:19] 事實上我們看到
[11:20] AI正在改寫科技產業的景氣迴圈
[11:23] 過去我們一直講說
[11:24] 三到五年的換機週期
[11:26] 就擴存中期
[11:26] 基本上開始變成一到兩年的
[11:29] 新平臺和技術的AI週期給破壞
[11:32] 除了CPU GPU以外
[11:35] 現在的封裝HBM
[11:37] AI的加速晶片
[11:39] 電力需求全面提升
[11:41] 所以就打破了那種
[11:42] 反正你三到五年
[11:44] 就要換一次手機的需求
[11:45] 現在就是到底AI多久
[11:47] 才要進行下一輪的裝置更迭
[11:49] 很難說
[11:50] 但是你知道
[11:51] 它每隔一到兩年
[11:52] 甚至像輝達
[11:53] 大概是六個月左右
[11:55] 馬上就要推出新的平臺
[11:57] 當然了
[11:58] 現在輝達好
[11:59] 是不是就代表
[12:00] 軟雞股一定會被救起來
[12:01] 這也很難說
[12:02] 你像昨天Salesforce的Q4財報
[12:05] 業績不錯
[12:06] 但財策遜色
[12:07] AI的威脅產業以後
[12:09] 對於這種市場的氛圍投資
[12:11] 盤後重挫了5%
[12:13] 一個是漲了快5%
[12:14] 一個是盤後重挫5%
[12:16] 重點是它的第四季營收表現也不差
[12:19] 年增幅有12%
[12:21] 放下兩年來的最快增速
[12:23] 淨利有19.4億
[12:24] 每股盈餘2.07塊
[12:26] 可是股價從高點這樣子跌下來
[12:29] Salesforce也跌了28%
[12:31] 這麼多的企業採用它的軟體
[12:34] 現在股價這麼大的股票
[12:36] 還是受到非常顯著的承壓
[12:38] 所以能不能救得起軟體股很難說
[12:41] 先看看它能不能救起其他的科技武具頭好了
[12:45] 我認為這個是值得觀察的方向和重點
[12:48] 當然AI分化像的一個世代
[12:51] 基本也就說明著
[12:52] 大則恒大的趨勢似乎仍然在上演當中
[12:56] 不管是那種大型的四大世界級畢業者
[12:58] 還是我們看到對於小型的軟體股
[13:02] 大型的軟體股
[13:03] 大型的硬體商
[13:05] 大型的半導體晶圓代工
[13:07] 大型的HBN
[13:08] 看起來都有持續大折橫大的趨勢存在
[13:12] 所以第一個
[13:13] 揮達向前衝以後
[13:15] 軟體股不一定救得起來
[13:16] 先救其他科技巨頭
[13:18] 那要救得起其他科技巨頭
[13:19] NDX
[13:20] 也就是我們看到的納斯達克指數
[13:23] 它就必須要跟著揮達
[13:25] 一起突破過去的盤整區間
[13:27] 因為其實納斯達克指數
[13:28] 從去年10月份高點
[13:31] 永動機當時見到以後
[13:32] 它就一路的盤整在這樣的一個區間
[13:34] 那一直每次都很擔心
[13:36] 會不會跌破平臺
[13:37] 那輝達這次的帶動
[13:39] 我們就看
[13:39] 輝達如果能夠成功帶動
[13:41] 其他科技巨頭
[13:42] 其他科技巨頭
[13:43] 就可以把指數給往上做拉抬
[13:45] 那整個方向性也許就會出來
[13:48] 所以如果從
[13:49] Magnificent 7的角度來看
[13:51] 之前還差一點破底
[13:52] 很緊張
[13:53] 好不容易卡在
[13:54] 200日的移動平均線
[13:55] 現在就看
[13:56] 往上可以做多少的拉抬
[13:58] 那也許臺積電
[14:00] 也能夠稍微出一點力
[14:01] 事實上這一次的
[14:03] Runti股下殺
[14:04] 我們看到的跡象是
[14:06] 股價跌幅守住了前波低點
[14:08] 但是VXM
[14:09] 也就是納斯達克指數的恐慌指數
[14:12] 則是上升到了
[14:13] 去年大概10月份以來的新高
[14:16] 這其實也就說明了
[14:17] 市場上的擔憂仍然在存在
[14:20] 那也是代表著
[14:21] 至少從情緒位界來看
[14:22] 大家似乎現在沒有對於科技巨頭
[14:24] 有極度樂觀炒作的情緒
[14:27] 那股價在半心半意中成長
[14:29] 也許就有機會了
[14:31] 我們從四大指數來做一些追蹤
[14:32] 道瓊指數上漲307點
[14:34] 0.63%
[14:35] 刷49484點
[14:37] 標普上漲56點
[14:39] 0.81%
[14:40] 刷6946點
[14:41] 納指上漲288點
[14:43] 1.26%
[14:44] 刷23152點
[14:46] 費辦上漲135點
[14:48] 1.62%
[14:49] 刷在8467點
[14:50] 硬鐵股費辦率先創下歷史新高了
[14:54] 這是一個好的徵兆
[14:56] 那能不能把軟鐵股也往上拉很重要
[14:59] 不過臺股已經先噴了
[15:00] 臺積電昨天衝高到
[15:02] 2025塊帶動股價
[15:06] 大盤一度大漲800點
[15:08] 最高漲到35521點
[15:11] 中長漲了712點
[15:12] 這是臺股史上第八大的漲點
[15:15] 那臺股當然創下歷史新高
[15:16] 昨天成交量也很大
[15:18] 9821
[15:20] 總市值臺股已經來到115兆
[15:23] 臺股已經連續六個交易日走樣了
[15:25] 過去六天
[15:27] 應該講是六個交易日
[15:28] 臺股漲了幾點
[15:29] 漲了3630點
[15:32] 這麼驚人的漲幅臺積電的這種上漲
[15:36] 大家也知道我們作為科技長期樂觀論者
[15:39] 從幾年前開始
[15:41] 我們就一直跟大家從百元看好臺積電
[15:44] 誰願意配我們到500塊配我們到600塊配我們到700塊到現在誰願意配我們到2330塊往代號來邁進那我們相信一旦遇到系統回撥
[15:56] 景氣回撥
[15:57] 臺積電當然難免也得跌
[15:59] 就跟景氣燈號一樣
[16:01] 每一次景氣燈號回藍燈
[16:03] 股價它也不見得一定會跌到上一次藍燈的水位
[16:08] 2025年的關稅戰
[16:09] 它不一定跌回到2022年的庫存調整
[16:12] 2022年的調整
[16:13] 它不一定回得到
[16:14] 2020年的新冠疫情點位
[16:16] 2018年的美洲貿易戰
[16:17] 它不一定跌回到
[16:19] 2015年的上證股災
[16:20] 15年上證股災
[16:21] 它也不一定跌得到
[16:23] 2011年的歐債危機
[16:24] 所以歐債危機
[16:25] 它也不一定跌回到
[16:26] 08年金融海嘯
[16:27] 所以你當然可以選擇在
[16:29] 市場恐慌時來擴大擴款力度
[16:32] 但你手上一定要有部位
[16:34] 那終於到現在
[16:36] 誰願意陪我到2330呢
[16:38] 我相信大家收看這個節目
[16:40] 時間久了
[16:41] 大家都可以瞭解這個立場
[16:43] 你一定都有部位
[16:44] 唯一問題是
[16:45] 後悔沒買夠
[16:47] 但這就是科技浪潮
[16:48] 你就會一直後悔
[16:50] 怎麼今年不多買一點
[16:51] 去年怎麼不多買一點
[16:53] 為什麼不報警一點
[16:55] 你只會後悔當初買的不夠多
[16:57] 最後就變成
[16:58] 你看著自己的績效一直擴大
[16:59] 但還是很惋惜
[17:01] 好像買太少了
[17:02] 看空的後悔做空
[17:04] 空手的後悔沒買
[17:05] 有買的後悔沒買夠
[17:07] 買夠了後悔沒all in
[17:08] all in了後悔沒融資
[17:09] 融資了後悔沒增資
[17:11] 真代的後悔沒有去借高利貸
[17:13] 借高利貸的沒有後悔
[17:15] 把全家都拿去借高利貸
[17:16] 當然借高利貸不好了
[17:18] 但是就有這種後悔的心態
[17:20] FOMO心態持續湧現
[17:22] 所以即便我們這麼早
[17:23] 就一路的看好臺積電
[17:25] 看好生產力週期
[17:27] 作為標準的科技樂觀論者
[17:29] 你問我最希望的是什麼
[17:32] 最希望的當然就是
[17:34] 回到五年前買報
[17:35] 即便我都這樣子看了
[17:36] 但我還是希望
[17:37] 我應該還可以擠出更多的錢
[17:39] 2026年最大的願望是什麼
[17:42] 就是給我一臺時間停止器
[17:45] 不是是時間倒流器
[17:48] 停止器是高中的願望
[17:50] 就希望時間可以倒流到
[17:53] 我多買幾張臺積電
[17:55] 這件事情也說明了
[17:56] 有時候我們用更長遠的資金來規劃時
[17:59] 總會覺得房價很貴
[18:01] 股價有點貴
[18:02] 但如果你要活100年
[18:05] 你會發現你的成本價
[18:07] 其實會集中在你
[18:08] 人生賺最多錢的那一段時間
[18:12] 三萬五千點跟兩萬五千點
[18:14] 真的差很多嗎
[18:15] 是蠻多的
[18:17] 但是如果你從2050年
[18:18] 從2060年的角度來回過頭看
[18:21] 其實也還好啦
[18:22] 我們昨天提到
[18:24] 人均壽命現在是80歲
[18:25] 我們這一代人要突破百歲
[18:27] 看起來不會太困難
[18:28] 那你用五年尺度來看現在的臺股
[18:31] 你會覺得有點擔憂
[18:32] 但是50年呢
[18:34] 所以之前才看到一個新聞
[18:36] 那法官勸一個太太
[18:38] 打消離婚的念頭
[18:39] 他說您都98歲了
[18:42] 您丈夫也99歲了
[18:44] 你們結婚了75年
[18:46] 為什麼還要離婚呢
[18:47] 他那個太太說
[18:48] 我們的婚姻早就已經破裂多年了
[18:51] 只是為了兒女
[18:52] 才決定等到兒女都去世了之後再說
[18:56] 現在去世了
[18:57] 所以可以離婚了
[18:58] 所以人家的規劃
[18:59] 都是規劃到兒女離世之後的行程
[19:02] 我們這個年代的人
[19:04] 時間線可能要放得更為長遠
[19:07] 這年代投資眼光真的很重要
[19:09] 其實投資很重要
[19:11] 你做的投資都是在為2080年來做打算
[19:14] 看我們節目的投資朋友都是長命百歲的
[19:17] 那這種投資不一定是資產投資
[19:19] 包括你的專業投資
[19:21] 你大學畢業以後
[19:22] 你即將要在這個行業專業領域裡頭工作80年
[19:28] 直到100歲
[19:29] 你有大把的時間來成為這個專業的交交者
[19:32] 成為黃段子大師
[19:34] 那還包括
[19:35] 不只是我們講的本業投資
[19:37] 感情投資也是
[19:39] 你的太太你的先生
[19:41] 你不要看很討人厭
[19:42] 你還要再跟他相處50年
[19:45] 70年
[19:46] 你以為你活到六七十歲
[19:48] 就能夠擺脫了
[19:48] 不好意思
[19:49] 現在人均壽命80
[19:50] 還要往100來邁進
[19:52] 所以有句話說得很好
[19:53] 娶對老婆真的很重要
[19:55] 你娶對了
[19:57] 你咳嗽一聲
[19:58] 他都以為你感冒了
[19:59] 你娶錯了
[20:00] 即便你上吊
[20:02] 他都以為你在蕩球籤
[20:03] 你吐血
[20:04] 他還以為你在偷吃火龍骨
[20:06] 你突然暈倒
[20:08] 他還想說你想要在地上睡一覺
[20:10] 所以不管怎麼說
[20:11] 我們看到
[20:12] 你如何用更長遠的週期
[20:14] 來看待當前行情
[20:15] 它就瞬間成為你的投資尺度了
[20:18] 給投資朋友做一些思考
[20:19] 好了
[20:20] 剛才我們提到
[20:21] 這個美歐股市
[20:22] 雖然開始有了新一波的帶動
[20:24] 我們拭目以待
[20:25] 可是美歐股市
[20:26] 在全球投資人角度來看
[20:28] 今年也算很差勁
[20:29] 因為漲幅這麼低
[20:30] 臺股漲幅這麼高
[20:33] 韓國股市漲幅這麼多
[20:34] 為什麼要去做美股呢
[20:35] 事實上我們回過頭看
[20:36] 如果把川普交易的投資延伸
[20:39] 來持續拉伸到現在
[20:41] 24年川普勝選以後
[20:43] 投資人的確有一陣子
[20:44] 是期待減稅和鬆綁監管
[20:47] 能夠帶領美國的經濟領先全球
[20:50] 不過到第二任任期
[20:51] 標普白指數其實漲幅並不多
[20:53] 反而是歐洲股市亞洲股市
[20:55] 持續性的走強
[20:57] 全球股市今年漲幅大概是9%
[20:59] 結果你投資美國股市
[21:01] 大概1%到2%左右而已
[21:04] 除非你買到廢板
[21:05] 甚至你買期巨頭
[21:07] 你買回答
[21:08] 大概也跑輸給全球股市
[21:10] 所以如果我們細看
[21:11] 這樣圖表是金融時報
[21:12] 所做的圖表的回測
[21:14] 你會發現美國股市
[21:15] 今年正在以數十年來
[21:17] 最大的幅度落後
[21:19] 給全球其他市場
[21:20] 26年以來
[21:21] 標普500相對於MNCI
[21:23] 全球去除美國指數之後的
[21:25] 報酬迅速擴大
[21:26] 已經跌到了歷史低檔區域
[21:29] 而這是過去30年以來
[21:31] 看到最慘的一年
[21:33] 僅次於09年
[21:34] 這件事情也就說明著
[21:35] 這個川普對於美國股市
[21:37] 創新高的帶動效果
[21:39] 他也是創新高
[21:40] 可是相對於其他國家
[21:42] 稍微一比就沒有這麼亮麗了
[21:44] 這個時候我們就要回過頭看一下
[21:46] 川普在這兩天的國情諮文
[21:48] 他針對關稅退休金
[21:49] 和政治對抗的焦點
[21:51] 來看待是不是很快的
[21:53] 4月份的退稅劇
[21:54] 今年川普會採取
[21:56] 一系列的財政刺激政策
[21:58] 整場演說
[21:59] 這個唯一創下記錄的是什麼
[22:02] 就是他演說的時間創下歷史性高了
[22:06] 這說明他真的講了很多話
[22:07] 你知道他有多急
[22:09] 民調一直在流失
[22:10] 所以國情之文
[22:12] 創下美國曆史總統以來
[22:14] 講最長的一次
[22:15] 講了100多分鐘
[22:16] 川普這次向國會來推銷相關的經濟政策
[22:20] 其中一個根本原因
[22:21] 就是來自於在民調狀況的轉差
[22:23] 相對於2025年
[22:25] 我們根據經濟學人的民調顯示
[22:27] 25年到26年的2月份
[22:29] 認為經濟優秀和良好的比例
[22:32] 持續的下滑
[22:33] 認為經濟普通和糟糕的比例
[22:35] 則是持續上升
[22:36] 就代表著
[22:37] 這川普大家能夠接受就是
[22:39] 就算政治在亂
[22:40] 我也相信你的經濟政策
[22:42] 一定比拜登來得更好
[22:43] 但是總體經濟指標
[22:45] 並沒有因此而上升
[22:47] 白宮現在就面臨
[22:48] 經濟訊息的傳達困境
[22:50] 因為的確
[22:52] 你硬要講
[22:53] 川普在當前的經濟政策當中
[22:55] 通膨率有沒有下滑
[22:56] 有啊
[22:57] 那整個財務的狀況
[22:59] 關稅的累積
[23:00] 它是否因此讓美國人有退稅的條件
[23:03] 有啊
[23:04] 但是在進行經濟訊息傳達的過程當中
[23:07] 很明顯大家在民調上並不是這麼看到
[23:10] 那這個是我們要從不同角度來看
[23:12] 川普在各項政策的挺進和溝通當中的難關
[23:16] 第一個是移民和遣返政策
[23:18] 它的規模是做很大
[23:20] 可是數字可信度和手段的代價
[23:22] 已經成為了核心爭議
[23:24] 因為川普上任時就承諾要做美國史上最大的規模遣返
[23:29] 那川普的確投入大量資源
[23:30] 國會四年撥款1700億用於移民執法
[23:34] 其他像ICE或者CBP過去合併預算大幅拉高
[23:38] 但問題在於川普現在宣稱去年已經遣返了62萬人可是外界對於遣返送返或者行政返還的差異到目前為止細節統計結構還沒有公開那另外一方面就是很明顯的
[23:51] 最近明尼阿波利斯1月份
[23:53] 當時兩名美國公民
[23:54] 死於聯邦探員的行動
[23:56] 這就使得市場上
[23:57] 很多中間選民開始選邊站了
[24:00] 並沒有完全支援
[24:01] 川普的非法移民政策
[24:03] 有超過170起的美國公民
[24:05] 遭到違反議院拘留的案例
[24:07] 民調也呈現分裂
[24:08] 多數人都支援
[24:10] 非法移民應該被遣返
[24:11] 但是越來越多人覺得
[24:13] 好像有點做過頭了
[24:15] 這是第一個觀察重點
[24:16] 再來是屬於就業和薪資
[24:18] 川普承諾會有爆量的就業
[24:20] 薪資會大漲
[24:21] 不過勞動力市場
[24:22] 我們很清楚知道
[24:23] 進行校正迴歸以後
[24:25] 會發現其實過去一整年的
[24:27] 勞動力市場都是越來越冷的
[24:29] 失業率從川普上任時的4%
[24:31] 上揚到4.3%
[24:33] 裁員是不多
[24:34] 因為美國還是有一定的缺工
[24:36] 但是平均實行年增幅還在3.7
[24:38] 不止沒有加速
[24:40] 還比先前來得更慢
[24:41] 如果扣除掉通膨
[24:42] 實質薪資從原本的2%
[24:44] 下滑到接近1%左右
[24:46] 所以資料在薪資上的感受
[24:48] 就很明顯不太同步了
[24:50] 其實如果我們細節觀察
[24:52] 美國平均薪資六年來
[24:54] 大概成長了31%
[24:55] 大概跟物價差不多
[24:57] 整體而言
[24:58] 收入並沒有大幅的落後物價
[25:00] 主要是消費形態的改變所導致的
[25:02] 可是心理層面預期就很重要了
[25:05] 因為資產價格的大漲
[25:06] 很容易會讓大家覺得
[25:08] 自己的薪資趕不上物價
[25:10] 因為有投資的人
[25:11] 他的財富增長幅度
[25:13] 比我還來得更快一點
[25:14] 那在製造業迴流的過程當中
[25:17] 其實我們看到
[25:18] 大量的AI資料中心的信件
[25:20] 並沒有造成建築工人
[25:22] 或者本地攔領需求的擴增
[25:24] 有可能是因為時間線還沒有達到
[25:27] 但是至少在其中選舉之前
[25:29] 大家還感受不到
[25:31] AI的擴張並沒有導致
[25:33] 我們家的鄉鎮
[25:34] 更有更多的工作機會
[25:36] 另外一方面
[25:37] 川普的收緊移民政策
[25:39] 也導致了全球人才中心的地位動搖
