[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼涨238点
[03:06] 作为领同样指标
[03:07] 就值得留意了
[03:08] 川普现在持续宣称
[03:11] 战事是非常顺利
[03:12] 中东冲突还是有可能会持续升级
[03:15] 但是呢
[03:16] 竟然资产价格没有进一步的反应
[03:18] 川普怎么说不重要吗
[03:20] 重点是市场怎么想
[03:21] 这一次川普在伊朗的军事行动当中
[03:23] 他持续表明
[03:24] 因为战争已经进入了第五天
[03:26] 美军和以色列
[03:28] 持续针对伊朗的目标
[03:30] 发动空气
[03:31] 在昨天美国甚至
[03:33] 集成了一艘伊朗军舰
[03:35] 这也是二战以来
[03:36] 美国潜艇首次集成水面军舰
[03:39] 那白宫也表示
[03:40] 就过去五天的操作来看
[03:43] 美军已经摧毁了超过2000个目标
[03:45] 集成20多艘的伊朗船只
[03:47] 消灭49名伊朗的高阶官员
[03:50] 并且逐步掌握伊朗的上空
[03:52] 不是上空权
[03:53] 上空的制空权
[03:55] 上空的制空权
[03:56] 不过呢
[03:57] 伊朗还在持续反击当中
[03:59] 全球命运的局势还是相对混乱
[04:01] 所以呢
[04:01] 未来黄金价格的回调
[04:04] FIG指数的回调
[04:05] 其实就特别重要了
[04:06] 其实对于伊朗最初几天
[04:08] 美国政府的军事行动啊
[04:10] 每一天的空袭程度啊
[04:12] 当然比前一天还来得更低啊
[04:14] 按照过往经验
[04:15] 通常在七到十天内
[04:17] 是整个军事行动的高峰
[04:19] 后续都是为了谈判而创造空间
[04:22] 就好像当年
[04:24] 这个清帝国的混乱
[04:26] 那慈禧总要找个人去跟洋人谈
[04:29] 最后找了李鸿章
[04:30] 现在哈梅尼之子准备要去谈判了
[04:34] 有机会
[04:34] 也有可能
[04:35] 他找一个想和谈的
[04:36] 想和谈的举手选出来
[04:38] 然后又被炸飞了
[04:39] 那当然你从极端方面可以这样想
[04:41] 但是各国
[04:43] 你看这个清朝多年的历史经验已经证明了
[04:47] 各国的打法
[04:48] 跟那种灭国打法不太一样
[04:50] 都是打是为了谈
[04:53] 谈是为了符合更加美国利益的条件
[04:56] 这是一个很符合现代战争的模式
[04:59] 谁想要去治理这个破国家
[05:01] 都马是想要取得本国更加利益的提升
[05:05] 从市场反应来看
[05:06] 中东战事的情绪
[05:07] 其实已经从最初的恐慌回到理性交易
[05:10] 油价现在守在80美元附近
[05:12] 美元也因为谈判传闻出现开始回落的情况
[05:16] 所以美元回跌
[05:17] 如果连黄金都已经停止上涨了
[05:20] 那这个时候VIC指数的下跌
[05:22] 最终风险资产可能会重新受到资产资金的轮替
[05:26] 事实上最近卖压比较沉重的
[05:28] 也都不是集中在欧美股市
[05:30] 欧美股市是卖压有个一两趴的跌幅
[05:33] 可是对于亚洲股市而言
[05:35] 这一波的恐慌抛售力度反而来得更高
[05:38] 举例来说像香港股市
[05:40] 首尔股市
[05:41] 东京股市
[05:42] 台北股市
[05:43] 在昨天都受到非常显著的资金沉压
[05:46] 韩国COSPI指数
[05:47] 甚至在昨天创下08年以来
[05:49] 最大的两日跌幅
[05:51] 乍看之下有点反常
[05:53] 那当然油价飙升导致能源危机
[05:56] 照来讲欧洲也会冲击到
[05:57] 欧洲天然气也是大幅依赖中东
[05:59] 亚洲多数国家
[06:01] 虽然也是大幅依赖中东
[06:03] 可是亚洲国家
[06:04] 很多国家能源出备很长
[06:06] 日本的库存可以撑254天
[06:09] 中国这几年的石油存量也非常高
[06:13] 结果还是大跌
[06:14] 韩国股市昨天跌了12%
[06:16] 加权指数跌了4.35
[06:17] 雅加达股市跌了4.57
[06:19] 泰国股市跌了5.5
[06:21] 日金指数跌了3.6%
[06:23] 那当然你会发现一个惯性
[06:25] 其实真正由于
[06:27] 亚洲股市大跌的原因来自于
[06:29] 因为今年亚洲股市大好
[06:31] 亚洲股市今年是普遍
[06:33] 大幅的跑赢美国股市
[06:34] 估值在短期内的放大速度过快以后
[06:37] 卖压当然会因此而扩大
[06:40] 像昨一天
[06:40] 这个韩国股市
[06:42] 5%就已经熔断了
[06:44] 熔断两次
[06:45] 短短两天累积跌幅
[06:46] 韩国股市已经跌两成了
[06:48] 两天进熊市
[06:49] 第一次看到这种
[06:51] 好像2020年也曾经看到过
[06:53] 2025年的4月份关税战也是
[06:57] 可是你们发现市场的波动性
[06:59] 就开始越来越大
[07:00] 可是你说这种波动性越大
[07:02] 开始会把长期投资的散户甩出场了吗
[07:06] 我认为在台北股市市场就不一定了
[07:08] 就是这年头大家的这种FOMO心态
[07:11] 心性其实越来越强大了
[07:13] 我们看到越来越大的泡沫
[07:15] 可是我们接受泡沫的意愿程度变得越高
[07:18] 为什么
[07:18] 因为资讯流通速度越快了
[07:20] 而且大家回顾历史经验的速度越来越快了
[07:24] 而且看过财经号角的人越来越多了
[07:26] 所以大家呢
[07:27] 对于面临单日股市的暴跌或者暴涨啊
[07:31] 都不会用单日来看了
[07:32] 都不会让情绪完全诸到你啊
[07:34] 而大家都会去回测一下
[07:36] 过去发生这样的一个事情
[07:38] 那外部性冲击是不是一个好买点呢
[07:41] 我觉得反而有这样的一个感觉
[07:43] 现在亚洲电子盘有非常显著的资金拉升那此前韩国股市今年高点一度大涨了接近50%你说跌个20%很多吗
[07:55] 其实还好
[07:55] 所以我认为就是涨高的
[07:56] 波动性稍微加大
[07:58] 台北股市也是如此
[07:59] 台股在昨天的重挫下跌1494点
[08:03] 三个交易日
[08:04] 这个礼拜一礼拜二礼拜三
[08:06] 已经跌了2600点了
[08:08] 国安基金昨天表示
[08:10] 如果市场出现非理性下跌
[08:12] 或者交易秩序的失衡
[08:14] 国安基金表示
[08:15] 不排除进场
[08:17] 我们税工员越税越高级
[08:19] 那国安基金进场门槛越来越低
[08:22] 现在这种卖压
[08:24] 也有考虑准备要进场
[08:26] 所以很难说
[08:29] 之前也是互到两万多点才退场
[08:32] 一直到谈判结束才退场
[08:34] 所以这件事情
[08:35] 基本上也就意味着
[08:37] 整个市场的新兴
[08:38] 还有政府对于股票市场的重视程度
[08:41] 其实也越来越高
[08:42] 国安基金现在面临
[08:44] 不管是重大军事或者政治威胁
[08:46] 对台政策有重大不利改变等等
[08:48] 或者外资有大幅撤出
[08:50] 大量进出的意愿
[08:52] 扰乱本国金融市场稳定之时
[08:54] 都有可能会导致国安基金
[08:56] 随时准备启动条件
[08:58] 那就有一个裁判在旁边一直盯着你
[09:01] 那你当然做空子会有点紧张
[09:03] 重点是国际股市
[09:05] 因为美元出现了一个月以来的最大跌幅
[09:08] 那这波跌幅当然就会让
[09:10] 之前黄金避险效果一度失效
[09:12] 那美元就跌幅回挡
[09:14] 那事实上也就意味着
[09:16] 市场的避险情绪的确
[09:17] 短期内就稍微退化了
[09:19] 那回过头来说
[09:20] 但不代表总体局势完全的停火
[09:23] 现在战争未来还是有三种走向
[09:25] 第一是停火进入谈判
[09:27] 第二是战事持续拖长
[09:29] 第三是伊朗政权出现重大变化
[09:32] 那最好的预期
[09:33] 现在市场反应当然就是准备进入谈判
[09:36] 那战事持续拖长
[09:38] 那我们就要看美方的意愿为何
[09:40] 你炸完了
[09:41] 你可能要炸得更多
[09:43] 或者要取得更多的谈判条件
[09:45] 但你目的还是为了谈嘛
[09:47] 我们从船舶的追踪资料来看
[09:49] 这张图表是荷姆兹海峡
[09:51] 上面就伊朗
[09:52] 那你可以看到
[09:54] 这个现在穿过荷姆兹海峡的邮轮
[09:56] 已经大量的停在航道的两侧
[10:00] 基本上已经没有经过了
[10:02] 就代表通过海峡的船只很明显减少
[10:05] 如果我们从数据表来做更进一步的思考
[10:07] 会发现从26到28日攻击开始前
[10:11] 每六小时进入波斯湾和离开波斯湾的船舶数量
[10:15] 大概是15到30少
[10:17] 但是在冲突爆发之后
[10:18] 现在只剩下个位数了
[10:20] 那现在普遍认为这个个位数通过的
[10:22] 只有中国和俄罗斯的邮轮有陆续经过
[10:26] 所以三分之一的海运原油
[10:28] 大量液化天然气还是要经过此处
[10:30] 形成重大影响
[10:31] 那你说那中国就不缺油了
[10:33] 为什么要呼吁降低中东警戒呢
[10:36] 那又不是中国的油只从伊朗进
[10:39] 整个中东地区的油都要运到中国
[10:42] 所以中国市场一样会有相对大的一个压力
[10:44] 所以川普在昨天承担波斯湾航运提供的保险和安全承诺
[10:50] 以及美军的护航
[10:51] 特别重要的原因就来自于此
[10:53] 战争风险让航运成本的飙升
[10:56] 那么川普认为短期内可能还没有完全达到谈判的条件
[11:00] 还想要再榨更多一点
[11:02] 或者取得更多谈判成果
[11:03] 所以我先把你的航运成本压下来
[11:06] 航运成本现在最大的是什么
[11:08] 就保险费嘛
[11:09] 所以呢
[11:10] 没有人做保的
[11:11] 那你来跟我保
[11:12] 而且呢
[11:13] 我会用正常的保费
[11:14] 予以承保
[11:15] 而且呢
[11:15] 美军开在你旁边
[11:17] 这是他所采取的态度啊
[11:18] 最近才看到网络上一个统计啊
[11:20] 他说
[11:21] 其实从第二次世界大战结束以来
[11:25] 全球只有26天
[11:27] 没有发生过战争啊
[11:28] 家里那个每天也在冷战嘛
[11:31] 好但是呢
[11:31] 你可以发现到
[11:32] 市场上啊
[11:33] 其实就是战争一直在持续啊
[11:36] 但是战争危及到地缘政治紧张的时候
[11:39] 才会引起金融市场的恐慌
[11:40] 现在伊朗战争最关键的资源
[11:43] 在中东局势当中
[11:44] 已经开始进行事先安排
[11:47] 那就是饮用水
[11:48] 我们看CIA在近期所公布的报告
[11:51] 把水资源视为中东的战略资源
[11:53] 波斯湾现在拥有全世界最丰富的石油和天然气
[11:57] 但是几乎没有天然的淡水资源
[11:58] 所以从1970年代开始就大量的新建海水淡化厂
[12:02] 那么美军呢
[12:03] 现在受到非常显著的军事任务目标
[12:07] 那就是极力的去保护这些基础建设
[12:10] 因为海水淡化茶本身相当脆弱
[12:12] 而且高度仰赖电力和能源运作
[12:14] 像沙乌地阿拉伯的朱拜勒海水厂
[12:17] 它大概是长达500公里的管线
[12:20] 你一被炸管线就破裂
[12:22] 而且供应了利亚德90%的饮用水
[12:27] 如果设施或者电力系统遭到破坏
[12:29] 那你要知道
[12:30] 中东人第一
[12:32] 他哪会担心美军基地受洗
[12:34] 美军基地一定会有一定程度的自我保护
[12:37] 他担心的是自己的民用设施受洗
[12:39] 所以为什么中东各国
[12:41] 还是游说着美国跟伊朗
[12:43] 在短期内取得适度的停战协议
[12:46] 这是后续观察的重点
[12:47] 亚洲市场也是如此
[12:49] 市场上其实更为关注到
[12:51] 是这一波由于情绪的传导
[12:53] 川普虽然表达会护航
[12:55] 但这个也回不到在过去一月份
[12:59] 当时的全球的供给链问题
[13:01] 或者说回不到当时的供给链状态
[13:03] 那势必会导致油价不创高
[13:06] 但它没办法下跌
[13:07] 因为你没有完全结束掉战事
[13:10] 我们从1973年以来
[13:12] 针对石油市场对油价冲击的影响
[13:15] 你会发现能源供给的中断
[13:17] 在短期内会提升油价
[13:19] 22次的主要事件会发生
[13:21] 30天后平均上涨20%
[13:24] 60天可能会保持在一定的水准
[13:26] 90天才会开始有所回复
[13:28] 也就代表着
[13:29] 我们知道迟早油价会下来的
[13:32] 迟早战争会结束的
[13:34] 可是由于年底
[13:35] 就是川普的中期选举
[13:36] 我们估计原油价格
[13:38] 只要保持一个月在正值
[13:40] 或者年增幅保持为正
[13:42] 第二个月就会传进CPI了
[13:45] 能源成本运输成本就会上涨
[13:47] 第三个月就产生僵固性了
[13:49] 第四个月来不来得及回来
[13:51] 搞不好到时候就要中期选举了
[13:53] 中期选举也不过剩下
[13:54] 两到三个季度的时间而已
[13:57] 所以从这样的一个角度来看的话
[13:59] 目前市场上还是会担心
[14:01] 川普是不是有相当的压力
[14:04] 必须要立即的进行油价的抑制
[14:06] 现在抑制是抑制住了
[14:08] 可是没有回跌
[14:09] 那油价今年还是保持正直
[14:11] 我们根据彭博社预估的几种情境
[14:14] 四种情境
[14:15] 最极端的就是冲突升级
[14:17] 并且直接攻击能源设施
[14:19] 目前看起来几率已经越来越低了
[14:21] 那这样的一个效果
[14:23] 可能会导致原油价格往100美元来挑战
[14:25] 可能性我认为不是很高
[14:27] 那再来呢
[14:28] 是我们看到
[14:28] 比较可能出现的情境
[14:30] 是冲突维持在
[14:31] 有限的攻击层面
[14:33] 油价落在80美元
[14:34] 通膨和成长
[14:36] 此会受到温和的影响
[14:37] 但是会对于川普的选举
[14:39] 造成极大压力
[14:40] 那局势如果降温出现停火
[14:42] 或者伊朗政权出现内部崩解
[14:44] 油价就可能回到60美元附近
[14:46] 那对于全球冲击就非常有限了
[14:49] 资本市场可以愈一番融
[14:50] 而且按照市场的惯性
[14:52] 这几年其实不确定性是越来越多
[14:54] 可是每一次不确定性的消除
[14:57] 跟过去不一样
[14:58] 我们逻辑是这样
[14:59] 不确定性上升
[15:00] 股价下跌
[15:01] 不确定性解除
[15:02] 股价回涨
[15:03] 所以最后股价长期保持盘整
[15:07] 现在不一样
[15:07] 现在每一次可能有AI的帮助
[15:09] 不确定性上升
[15:11] 股价下跌
[15:12] 不确定性消除
[15:13] 股价就创下历史性高了
[15:15] 所以市场其实是有这样的一个期待
[15:17] 才可以导致整体买盘
[15:19] 其实还比想象中来得更为剧烈
[15:21] 这个时候就要回过头来看
[15:23] 那川普到底希望达到
[15:24] 什么样的一个条件
[15:25] 因为川普现在也执政一年多了
[15:28] 可是整体在民调上的反应
[15:30] 似乎并没有想象中还要来得好
[15:32] 其中一个根本原因
[15:34] 就来自于在体感温度层面他面临的通膨情况没有比拜登好多少我们当然从年增幅来看川普时期已经比拜登好很多了可是你只是涨幅稍微慢一点
[15:46] 物价并没有因此而停止上涨
[15:47] 我们从几个角度看
[15:49] 第一个看就业市场
[15:50] 状况其实比表面上还要弱得多
[15:53] 25年全年新增非农就业数据
[15:55] 只有18.1万人
[15:57] 最后做教政回归
[15:58] 美国企业其实在过去一年
[16:00] 早就已经停止扩张能力
[16:01] 所以AI虽然新建这么多
[16:03] 可是至少就目前来看
[16:05] 还没有招募到员工
[16:07] 就业的成长放缓
[16:08] 最终也导致失业率的缓步走高
[16:11] 现在上升到4.5%
[16:13] 之后曾经回落到4.3%
[16:14] 但是其实背后还有一个关键原因
[16:17] 因为移民减少了
[16:18] 所以现在川普借由减少攻击的方式
[16:22] 来确保本土民众就业的繁荣
[16:24] 但是整体就业市场
[16:27] 并没有因此而进行大规模的招募
[16:29] 通膨的表现算是意外的稳定
[16:32] 可是问题在于
[16:33] 它就卡在2.5%上下
[16:35] 现在随着原油价格的上涨
[16:36] 也许在未来几个季度
[16:38] 就开始逐步的影响了
[16:40] 我们过去提过
[16:41] 基本上除了能源价格以外
[16:43] 多数产品在川普任期
[16:45] 都在持续上涨
[16:46] 而且上涨幅度都不小
[16:47] 有些软性商品
[16:49] 甚至受到关税战的影响
[16:50] 像咖啡价格
[16:51] 现在年增幅有18.3%
[16:53] 因为美国无法种咖啡
[16:55] 但是关税战针对咖啡
[16:57] 开启了动作
[16:59] 好不容易市场上感应到
[17:01] 民意反馈以后
[17:02] 最后我们看到市场的回应
[17:04] 回应对于川普形成了极大压力
[17:07] 最终川普选择进行咖啡关税的豁免
[17:10] 其他我们像是牛肉价格
[17:12] 平均涨幅有17.2
[17:13] 那么能源成本也上涨了6.3%
[17:16] 好不容易下跌的能源资产
[17:19] 我们看到应该讲
[17:20] 刚才讲电力价格上涨6.3
[17:22] 能源资产好不容易在过去一年下跌
[17:24] 现在能源价格已经开始上涨了
[17:27] 另外一大层面
[17:28] 就是3C产品本来一直是
[17:30] 抑制住美国通膨的重要关键
[17:32] 过去我们提过
[17:34] 这几年少数没有再涨的产品
[17:37] 大概就只剩下3C了
[17:38] 为什么
[17:38] 因为消费性电子产品
[17:40] 没有想象中还要来得好吗
[17:41] 电视手机其实正在降价
[17:44] 可是根据IDC的预测
[17:46] 情况比前几个月越来越悲观了
[17:48] 由于25年下半年
[17:50] 当时的DRAM和NED价格开始上涨
[17:53] PC和手机厂提前出货
[17:55] 希望在成本全面上升之前
[17:57] 把产品卖出去
[17:58] 结果导致出货量是拉高了
[18:00] 可是今年预估可能会重度衰退
[18:03] 现在普遍的预估是
[18:04] PC市场今年会大幅衰退11.3%
[18:08] 手机市场预估会大幅衰退12.9%
[18:11] 你说不是啊
[18:12] 不是库存循环刚刚要上升
[18:14] 对才好不容易
[18:15] 传产匹极泰来的同时
[18:17] 大缺货了
[18:19] 缺记忆体
[18:20] 只好把手机报价调高
[18:22] 手机价格提高以后
[18:23] 销量肯定会因此收缩
[18:25] 所以即便营业额
[18:27] 你保持在一定的区间
[18:28] 你都要了解
[18:29] 市场针对手机的消费量会被迫减少
[18:32] 这是什么原因
[18:33] 就是高通膨形成的后果
[18:35] 记忆体价格太贵了
[18:36] 原因就来自于AI资料中心
[18:38] 把手机的晶片
[18:40] 把手机的相关记忆体需求抢光了
[18:44] 这是一个极大的压力
[18:45] 所以我们看到这种通膨心理情绪的传导
[18:48] 导致美国民众针对整个经济状况的评价
[18:52] 在一年内是明显的转差
[18:54] 相对于2025年到现在26年2月3月份
[18:58] 你会发现经济认为优秀或者良好的比例明显下滑
[19:02] 那认为普通或者糟糕的比例明显上升
[19:04] 所以从这些民调
[19:06] 其实你已经看得出来
[19:07] 白宫现在面临其实蛮大的经济讯息的传达困境
[19:11] 那民众我们过去也提过
[19:13] 他看起来更在乎的是国内议题
[19:15] 伊朗问题到底你打得好不好
[19:18] 能不能跟伊朗取得和谐谈判
[19:20] 好像对于美国内部的民调并没有非常显著的拉伸
[19:24] 其实大家更为关注的是内部通膨
[19:26] 所以有没有可能
[19:27] 最后川普还要回过头来看
[19:30] 伊朗的问题
[19:31] 其实还是要反映中期选举
[19:33] 中期选举之前油价没有下滑
[19:36] 那很抱歉
[19:37] 其实也没有太大的用处
[19:39] 被迫一定要在中期选举之前
[19:41] 结束伊朗这条战争线
[19:44] 时间线不太可能拉长
[19:45] 我认为这就是一个
[19:47] 比较根本的原因
[19:49] 或者说根本川普
[19:50] 在最后决策的判断
[19:52] 其实从这件事情
[19:53] 也大概看得出来
[19:54] 市场的民调意愿
[19:56] 他其实大幅反映的
[19:58] 还是国内经济问题
[19:59] 这就是表示
[20:00] 为什么人家会讲说
[20:02] 开玩笑
[20:03] 范斯五六天都没有主动谈
[20:06] 关于伊朗战争的问题
[20:07] 我们也知道范斯是一个
[20:09] 马卡派传统的代表
[20:10] 针对整个国际局势
[20:13] 很多马卡派
[20:14] 虽然知道你可能对伊朗出兵
[20:16] 符合美国利益
[20:17] 但是我们更希望
[20:19] 你符合美国利益的展现
[20:21] 特别的行动
[20:22] 应该要在国内的经济政策问题
[20:25] 所以很多马卡派颇有为词
[20:27] 白宫内部的分裂
[20:28] 早就已经是一个大家了解的事情
[20:31] 所以民意的民调的反应
[20:33] 它是一件事情
[20:34] 那第二个是对外的民调
[20:36] 这个是慕尼黑安全会议
[20:38] NSC最新的民调
[20:39] 在去年年底
[20:40] 多数国家都认为川普的政策
[20:42] 对自己国家有利的看法很明显
[20:45] 现在偏向负面
[20:46] 加拿大和德国反对比例特别高
[20:48] 高达77%和72%
[20:51] 法国意大利也有六成反对川普
[20:53] 英国日本大概是五成
[20:55] 所以美国本土比较分裂
[20:58] 49%反对
[20:59] 39%支持
[21:00] 蛮符合过去民调变化的
[21:01] 最有趣的是中国和印度
[21:03] 中国有46%认为不好
[21:06] 但是有30%认为好
[21:08] 这个认为好
[21:09] 不一定是美国对中国打关税战是好的
[21:12] 而是美国对全球打关税战对我是好的
[21:15] 你打全部所有人
[21:18] 总比只打我还要来的好吧
[21:19] 这是我的想法
[21:20] 换句话说
[21:21] 在新兴市场经济体当中
[21:23] 这个美中虽然争霸多年
[21:25] 可是中国的川粉
[21:27] 看起来比欧洲还多
[21:29] 你对全世界开战
[21:31] 对我有好处
[21:32] 可能这样想的
[21:33] 可是我们刚刚聊到
[21:34] 说川普上任之后
[21:35] 推出的一系列的激进政策
[21:36] 从大规模的关税到能源
[21:38] 中东军事行动到盟友对手
[21:41] 同时施压
[21:42] 本质上它都是一个高风险的
[21:44] 政治和经济的实验
[21:45] 这些政策短期内的争议很大
[21:47] 但它如果真的能够带来更高的就业
[21:50] 在终极选举之前
[21:51] 更低的能源成本
[21:52] 或者更强的国家安全感
[21:54] 它一定会反映在选民的态度上
[21:56] 那民调往往是最为直接的政治温度计
[22:00] 所以如果呢
[22:01] 政策确实能够改善美国人的生活和经济重心
[22:04] 它的支持度自然会回升
[22:06] 换句话说
[22:07] 时间和民意会给出答案
[22:09] 到底市场会如何评价这一次的伊朗战事
[22:12] 民调在中期选举最后也会还他一个公道
[22:15] 之前我们不是
[22:17] 我在机场才看到那个Godiva
[22:19] 买了两盒
[22:20] 大家知道那个Godiva
[22:21] 这个巧克力品牌的由来
[22:24] 他其实是中世纪的
[22:26] 英国的传说人物
[22:27] Godiva夫人
[22:28] Lady Godiva
[22:29] 她就是11世纪
[22:31] 那个英格兰的考文锤
[22:32] 当地的领主
[22:33] 伯爵
[22:34] 对于人民征收的税负
[22:37] 非常沉重
[22:38] 那百姓苦不堪言
[22:39] 那伯爵夫人Godiva
[22:41] 她就不忍人民受害
[22:43] 所以就多次向丈夫请求来减税
[22:45] 那伯爵一开始不以为意
[22:47] 但是他请求次数太多
[22:49] 有一天那伯爵就怒了
[22:51] 他就对古迪巴说
[22:52] 你知道吗
[22:53] 这群贱民不值得你救
[22:56] 你以为他们会多感激你
[22:58] 古迪巴说拜托拜托救人民吧
[23:01] 伯爵说好啊
[23:02] 那我就把你衣服全部扒光
[23:05] 绑在马上
[23:06] 我让你绕村子一圈
[23:08] 我让你体会到
[23:10] 为什么这群人不值得你为他们求情
[23:13] 你以为他们多尊敬你
[23:14] 这群人到时候会淫秽的看着你
[23:18] 用那种污秽的眼神
[23:21] 你如果敢裸体骑马穿过全城那我再考虑减税很坏没想到古蒂娃夫人真的愿意为人民做出牺牲她就披着长发全裸然后穿越整个城镇
[23:36] 结果当天
[23:37] 整个村子
[23:38] 没有一扇窗户是打开的
[23:41] 全部都封闭
[23:41] 连窗帘都拉上
[23:43] 没有一个男人
[23:44] 看古蒂娃女士裸体的样子
[23:47] 为什么
[23:48] 因为全村都是gay
[23:50] 不是
[23:51] 因为当地的居民
[23:52] 尊重她的勇气和善意
[23:54] 纷纷关门闭户不偷看
[23:57] 那最后伯爵被迫要履行承诺
[24:00] 减轻税赋嘛
[24:01] 那这个勇气
[24:02] 后来就在欧洲流传数百年
[24:04] 然后巧克力品牌
[24:05] GOTIVA就因此而诞生了嘛
[24:06] 好那我们要讲的就是
[24:07] 那个政治的本质很简单
[24:09] 如果一个领导人
[24:10] 真的能够把人民的生活放在心上
[24:13] 他愿意降低成本
[24:14] 增加机会提供安全感
[24:16] 去承担政治风险的
[24:18] 那种态度
[24:19] 迟早会被社会感受到吧
[24:21] 所以我们知道短期的冲击
[24:22] 当然大家会怀疑
[24:23] 但拉长时间以后
[24:24] 我们才能够去分辨谁只是口号
[24:27] 而中期选举
[24:28] 它就是一个中继战
[24:29] 所以其实11月份
[24:31] 现在民调有时候大家说准
[24:33] 有时候说不准
[24:34] 11月份我们就知道
[24:35] 这两年到底美国民众
[24:37] 是如何看待川普政府
[24:39] 给予他们的政策回馈
[24:40] 给投资朋友做一些思考
[24:42] 当然了
[24:42] 对于投资人而言
[24:44] 这个情绪波动就很大了
[24:46] 心里就很难做评断
[24:48] 为什么呢
[24:49] 因为美国股市
[24:50] 的确在川普的不确定性底下
[24:52] 造成极大波动
[24:54] 可是呢
[24:54] 这几年大家也知道
[24:56] 赚多赚少的问题嘛
[24:58] 其实呢
[24:59] 在川普行情当中
[25:01] 股市表现并不差
[25:02] 真正的问题是什么
[25:03] 是美国投资人是怎么想的
[25:05] 像我呢
[25:06] 去年呢
[25:07] 四月份的确认为
[25:08] 他这种大乱斗
[25:10] 大关税
[25:11] 的确会扰乱投资人的心智
[25:13] 一时之间不知道要如何
[25:16] 针对整个景气周期行情来做分析
[25:18] 可是呢
[25:19] 由于现在台韩股市表现
[25:21] 还是全球最亮丽的股市
[25:22] 某种程度还是要感谢川普的
[25:24] 但美国投资人会感谢吗
[25:26] 我们举例来说
[25:27] 美国股市今年的表现
[25:29] 是以数十年来最大的幅度
[25:31] 落后给全球市场
[25:32] 2026年以标普白指数
[25:35] 相对于MSCI
[25:36] 去除美国指数以后的报酬
[25:38] 正在迅速的扩大
[25:39] 早早跌入到历史低档区间
[25:41] 就代表着
[25:42] 好了在川普任期
[25:44] 从头到尾
[25:45] 现在看起来还是牛市
[25:46] 可是川普执政的美股
[25:48] 是全球数一数二
[25:51] 过去50年历史当中
[25:53] 表现最为差劲的两年
[25:56] 这也就意味着
[25:57] 市场资金有很明显针对美元资产的出脱
[26:00] 还是说
[26:01] 现在只是因为美元贬值而导致的
[26:04] 美国股市的涨幅相对偏弱呢
[26:06] 这个值得大家来做一些留意
[26:07] 但至少美国股市在当前的伊朗局势
[26:10] 算是稳住了
[26:11] 道中指数上涨238点
[26:12] 0.49%
[26:13] 收在48739点
[26:16] 标普上涨52点
