[00:00] 投资变换收听早晨财经速解读
[13:13] 奥特曼也不如想象中
[13:15] 说着为人类来福求
[13:17] 这种AI的利益
[13:18] 基本上他也是想要变成一个企业家
[13:20] 就是这场审判让大家发现
[13:22] 即便是打造AI帝国的人
[13:25] 内心依然非常恐惧
[13:27] 然后嫉妒
[13:28] 自尊
[13:29] 然后那种不安全感
[13:31] 甚至
[13:32] 那个Brookman
[13:33] 他还提到
[13:34] 因为他是日记被公布
[13:36] 他说自己的私人日记
[13:37] 被全世界看到
[13:38] 很痛苦
[13:38] 他认为自己
[13:40] 不为自己写的内容感到羞耻
[13:42] 但是的确
[13:43] 这个就是AI大战
[13:44] 最具人性的瞬间
[13:45] 大家意识到
[13:46] 以后AI就会交流到这些
[13:48] 充满着恐惧 嫉妒
[13:51] 没有自尊心
[13:53] 然后又不安全感的人身上
[13:54] 他们就是这样子
[13:55] 所以给投资朋友做些观察
[13:57] 当然OpenAI
[13:58] 好不容易处理完
[13:59] 马斯克的事情以后
[14:00] 现在马上要跟苹果
[14:03] 开启一场大战
[14:04] 我们根据金融时报的报道
[14:06] 最近OpenAI传出
[14:08] 要针对苹果
[14:09] 开始采取法律行动
[14:10] 原因就是因为
[14:11] 双方原本预估
[14:12] 把ChertGBT整合到iPhone
[14:14] 但是OpenAI认为
[14:15] 苹果根本没有认真
[14:17] 在推向这项合作
[14:18] 而且好像跟Gemini
[14:20] 眉来眼去
[14:22] 情色和敏
[14:23] 苹果只想要利用自己的平台
[14:25] 来垄断地位来抽税
[14:26] 但是不愿意真正投入资源
[14:28] 发展AI
[14:28] 所以这样的一个效果
[14:30] 就导致双方开始有法律争议
[14:33] 更关键的事情是
[14:34] 苹果现在的确
[14:35] 正在找了Google合作
[14:36] 导入Gemini
[14:37] 之间打脸了OpenAI
[14:38] 那OpenAI近期开始大量的挖角苹果的AI团队
[14:41] 让苹果AI完全无法崛起
[14:44] 双方开始有进一步的冲突
[14:46] 我们也拭目以待
[14:47] 苹果这一次在准备新一代的iOS27和iPadOS27里头
[14:52] 大幅加入了AI功能
[14:54] 包括AI文法修正
[14:56] 自然语言接近
[14:57] 还有自动生成作布等等
[14:58] 那当然他的目的就是苹果要在AI竞赛当中
[15:02] 在消费端能够进一步的追上来
[15:04] 至少苹果现在靠硬体和生态系
[15:07] 它已经拥有了护城河
[15:09] 就是基本上
[15:10] 因为现在流行用手机
[15:12] 不管你是要用Gmail
[15:13] 还是用QGVD
[15:14] 还是用Cloud
[15:14] 大多数人还是习惯
[15:16] 要拿一个手机来使用
[15:17] 我掌握了这一段护城河
[15:20] 硬体的入口
[15:21] 谁跟我合作
[15:22] 谁基本上就有更进一步
[15:25] 跟消费者深化的空间
[15:26] 苹果的打算是在这边
[15:27] 这个投资本做另外一层思考
[15:30] 当然我们刚才讲了这么多
[15:32] 一系列的冲突
[15:33] 包括Google的竞争
[15:34] Google最近那个IO大会
[15:36] 他也正式把AI代理人全面导入到搜寻引擎
[15:39] 代表Google不再只是帮你找答案
[15:42] 他会直接帮你做事
[15:43] Google执行长PXE也表示
[15:45] 新一代的Gmail 3.5模型会把AI像助理一样
[15:48] 自主地完成任务
[15:49] 包括搜寻资料、购物、去订票、整理生活资讯
[15:53] 也能够直接联动Gmail、地图等资讯这些科技巨头的大战其实已经逐步展开我们讲这么多主要是跟跟投资朋友了解说好这个是未来的前景AI的竞争资金就会在这巨头当中
[16:06] 持续的转移
[16:07] 可是它还是要始终面对
[16:09] 最后我们刚才所提到的原始问题
[16:11] 就是十年期公债殖利率
[16:13] 债券市场卖压的问题
[16:15] 债券卖压不停
[16:16] 股市卖压的估值空间
[16:18] 就会持续存在
[16:19] 那要如何解决这个问题呢
[16:21] 那就是
[16:21] 你不能在外发这么多债
[16:23] 或者呢
[16:24] 你要发这么多债
[16:25] 但是你生产力要立即爆发
[16:27] 你要有更惊人的产出
[16:29] 好
[16:29] 关于更惊人的产出
[16:31] 刚才看到七巨头都在做
[16:33] 现在其实在AI的基建潮当中
[16:36] 我们必须了解
[16:37] 很多人想说
[16:38] 永远都是卖产值的赚钱
[16:40] 最后搞不好都是挥达赚一堆
[16:42] 台积电赚一堆
[16:43] 然后七巨头全部惨败
[16:45] 基本上我不会这么悲观来讲
[16:47] 为什么
[16:47] 你像1999年到2000年
[16:49] 光纤泡沫破灭以后
[16:51] 基本上
[16:52] 后续的割韭菜行为
[16:54] 始终会让这些软体商
[16:55] 重新站回来
[16:56] 就我要发展YouTube
[16:59] 那是不是要有很多容量空间
[17:00] 我以前Google项目免费开放
[17:03] Google的云端开放好多人
[17:04] 结果陆续开始收缩
[17:06] 什么意思
[17:06] 在建制期
[17:08] 我先让你习惯我的生态系
[17:10] 当你离不开AI
[17:11] 当你写论文一定要靠AI
[17:12] 当你平时回信件
[17:14] 一定要AI的时候
[17:14] 有一天
[17:15] 我就开始跟你调高订阅费了
[17:18] 我基本上
[17:19] 巨头们就是想要
[17:20] 达成极度性的垄断
[17:22] 垄断以后
[17:23] 以后调费用调费率
[17:25] 就有机会能够调升了
[17:26] 所以投资市场也很像
[17:28] 很多时候市场
[17:29] 不是因为大家看好才涨
[17:31] 是因为某个关键人物
[17:33] 主力央行国家队
[17:34] 科技龙头先动了
[17:36] 后面才跟着下脚趾
[17:37] 然后一起冲进去
[17:38] 所以现在就是一个奠基者
[17:40] 可是你说这些巨头
[17:41] 以后都赚不到钱吗
[17:43] 我认为不一定
[17:44] 现在看起来好像赚的都是台积电
[17:46] 赚的都是三星
[17:46] 赚的都是SK海力士
[17:48] 但是真正最后具有定价权的
[17:50] 你看到当年铺了这么多的光纤
[17:53] 最后大赚钱的
[17:54] 还是最上游的这些品牌商
[17:56] 所以我对于这些巨头
[17:57] 还是抱持热观
[17:58] 只是说他可能需要数年的时间
[18:01] 逐步的养成
[18:02] 那就取决于
[18:03] 你看股票的尺度到底有多远
[18:05] 所以不管怎么说
[18:06] 我觉得投资市场就是这样子
[18:08] 很多时候不是说看好了才涨
[18:11] 是因为某些巨头他先动了
[18:13] 动了以后
[18:14] 你再跟他一样下脚趾的一起飞进去
[18:18] AI的市场更明显
[18:19] 很多资金不是看不懂技术
[18:21] 是看到这些巨头
[18:22] 砸了这么多资本支出
[18:23] 你砸了才知道AI真的要起飞
[18:26] 这是我的看法
[18:28] 之前看到讲说那个飞行员
[18:29] 新兵训练
[18:31] 没有一个敢跳伞
[18:32] 教练脸色很难看
[18:34] 这个是看到一个
[18:35] 人在那边傻傻的偷笑
[18:37] 教练很生气
[18:38] 一脚就把他踹下去了
[18:40] 这个时候一踹下去之后
[18:41] 新兵就一个一个跟下脚趾一样
[18:43] 接二连三的就往下跳
[18:45] 教练就很纳闷
[18:46] 抓住最后一个问
[18:47] 刚才叫你们跳
[18:49] 你们都不跳
[18:50] 怎么才踹出去一个
[18:51] 你们就敢跳
[18:52] 新兵说
[18:54] 教练你也赶快跳吧
[18:55] 你踹出去的是价值员
[18:57] 所以我们讲说
[18:59] 如果不砸钱
[19:02] 就没有人敢动
[19:02] 他砸了那么多钱
[19:04] 他带动了一整条基础供应链
[19:06] 那你觉得永远都是
[19:07] 只有台积电赚到钱吗
[19:08] 他的客户
[19:09] 迟早要赚到钱的
[19:10] 现在的问题在于什么
[19:12] 市场上会担心
[19:13] 那AI基建盖太多怎么办
[19:15] 现在AI基建
[19:16] 根据金融时报的调查
[19:18] 也许真的盖太多了
[19:20] 市场虽然在疯狂的盖资料中心
[19:22] 抢GPU建电网
[19:23] 我们根据金融时报去调查
[19:25] 会发现大家认为
[19:26] AI基建狂潮
[19:27] 是可能会撑三年
[19:29] 为什么
[19:29] 因为钱不够
[19:30] 这个就是我们刚才提到的
[19:32] 钱不够
[19:32] 你继续发债
[19:33] 发债到一定规模
[19:34] 就形成股市的沉压
[19:36] 这个问题要怎么解决
[19:37] 其实我们在上一次的宏观报告
[19:39] 还有专题影片当中
[19:40] 欢迎大家可以来订阅
[19:42] 我们的财经浩角会员平台
[19:44] 里头我们会把一些观点
[19:45] 做更细节的解析
[19:46] 里头我们就提到一个观念
[19:48] 如果我们想要明年投7000亿8000亿
[19:51] 后年还是投7000亿
[19:52] 大后年变成投6000亿
[19:54] 可是AI的算力要足够
[19:56] 那要怎么解决这个问题呢
[19:57] 看起来好像每年就算翻倍
[19:59] 算力都不够
[20:00] 高盛的预估是
[20:01] 全球AI token的消耗量
[20:03] 可能会暴增24倍
[20:04] 在2030年以前
[20:06] 来到每个月120千兆
[20:08] 那尤其到时候代理人AI
[20:11] 会成为最大的推动力
[20:12] 那现在问题就在于
[20:13] 如果token的需求暴增
[20:15] AI产业会不会陷入到
[20:17] 永无止境的资本支出黑洞
[20:19] 这个就是大家最担心的
[20:20] 我个人认为
[20:21] 现在最好的方式是什么
[20:23] 就是不是停止去扩张算力
[20:25] 不是我们不算了
[20:26] 是把每一个Token的成本
[20:28] 持续性的压低
[20:29] 就是解决目前资本支出困境
[20:32] 最简单的方式了
[20:33] 这也是为什么
[20:34] 我们讲说
[20:35] 要让GPU的效率进步的速度
[20:37] 超过Token需求成长的速度
[20:39] 我们想看
[20:40] 我们现在一台手机
[20:41] 它本身拥有的
[20:43] 终端的运算能力
[20:44] 手机现在算Excel表也算得很快
[20:46] 这个算法可能是等同于1970 1980年代
[20:50] 一整栋大楼的算力
[20:52] 但是我们把它压缩到这么小的空间
[20:53] 所以只要我们确保GB500 GB600
[20:56] 一颗的晶片算力
[20:58] 可以低得过100颗的GB300
[21:01] 这个时候就可以让Token的成本下滑速度过快
[21:06] 到时候我就不用投这么多资本支出
[21:09] 也可以有足够算力了
[21:10] 简单来讲还是取决于科技进步
[21:12] 可是我们先前提到的是AI的进步
[21:14] 现在提到的是
[21:15] AI在基础建设硬体的进步
[21:18] 这也是为什么看到超微
[21:19] 挥打Google的TPU
[21:21] 现在的核心竞争
[21:22] 早就不是比谁的晶片谁快
[21:24] 是谁能够把每单位的Token成本压到最低
[21:28] 因为GPU效能持续提升
[21:29] 同样的电力
[21:30] 同样的机柜
[21:32] 同样的资本支出
[21:33] 它就能够产出更多的Token
[21:34] 那的确
[21:35] 最近一段时间
[21:36] Token的成本仍然以非常惊人的速度下行
[21:39] 所以未来
[21:40] 如果底层的运算成本
[21:42] 每年都以60%到70%的速度下行
[21:45] 那我资本支出就不用投这么多了
[21:48] 你说那对于废办是不是坏事
[21:50] 不一定啊
[21:50] 也许我们会有定价权
[21:51] 我们卖的量没有那么多了
[21:53] 可是我们价格可以继续提高嘛
[21:55] 可是啊
[21:56] 这就代表着以前呢
[21:57] AI每增加一个使用者
[21:59] 就代表着更多的GPU
[22:01] 更多的电力
[22:02] 还有更多的成本
[22:03] 可是我们现在很担心啊
[22:05] 以后每增加一个使用者
[22:06] 我哪来这么多钱买这么多GPU
[22:09] 我哪来这么多能源可以发电
[22:11] 我拿来这么多的成本
[22:13] 现在告诉你
[22:14] 因为效能提升
[22:15] 你不用花那么多钱
[22:16] 你不用花那么多电
[22:18] 你也可以有足够的算力
[22:19] 用这样的一个方式
[22:20] 是突破本轮资本困境
[22:23] 唯一的方式
[22:23] 也可以让债务量不要继续失控
[22:25] 而且生产力能够有效提升
[22:27] 这个是我认为
[22:28] 最后解决本轮AI困境的方式
[22:31] 这就是科技乐观论者
[22:32] 大家也听听就好了
[22:33] 这是我真实的想法
[22:35] 也许一切都是靠科技进步来解决
[22:38] 包括以前的核废料问题
[22:40] 到今年到这几年
[22:42] 开始有人采取用核废料的方式
[22:44] 重新回到核能发电之列
[22:46] 包括我们过去所提到的一些技术的难关
[22:49] 有时候就是拖着
[22:50] 拖着拖久了
[22:51] 有一天就能够处理的
[22:53] 很多人觉得石油
[22:54] 可能30年40年就会挖光
[22:56] 很抱歉
[22:57] 新技术出来之后
[22:58] 油永远挖不光了
[23:00] 这就是一个科技进步
[23:01] 对于时代的推动力量
[23:03] 而我们相信
[23:03] 这是解决本轮债务风暴
[23:06] 解决本轮资本支出
[23:07] 扩张过快
[23:08] 唯一的方式
[23:09] 好我们看美国股市四大指数的表现
[23:11] 道恩指数下跌322.0.65%
[23:14] 收在49,363点
[23:16] 标普下跌49.0.67%
[23:18] 收在7,353点
[23:20] 纳指下跌220点
[23:21] 0.84%
[23:23] 收在25,870点
[23:24] 费办上涨2点
[23:27] 0.03%
[23:28] 收在11,305点
[23:31] 整体而言其实
[23:33] 还算是高位盘旋
[23:35] 跌那么一丁点好像也洗不了多少人
[23:37] 融资昨天我看才减47亿
[23:40] 现在还有4900亿
[23:42] 洗一些小白
[23:44] 但是你要说过去直接的融资的
[23:47] 好像这一波也洗不了多少
[23:49] 可能个股压力比较大
[23:51] 刚才提到
[23:52] 所以现在不管怎么说
[23:53] 我们只能靠技术的优化
