[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过原油价格是市场上十分关注的
[03:37] 我们举例来说
[03:38] 川普在礼拜六他在贴文上表示
[03:41] 由于现在很多国家都受到伊朗封锁
[03:43] 荷姆斯海峡的影响
[03:44] 所以时不时游轮都会被伊朗的无人机给攻击
[03:48] 为了要让它能够完全的被摧毁
[03:51] 川普我今天也号召八国联军
[03:54] 一起围攻光明顶
[03:56] 而且直接点名中国
[03:57] 法国
[03:58] 日本
[03:58] 韩国
[03:59] 英国
[04:00] 希望这些国家
[04:01] 能够向该地区来派遣军舰
[04:03] 消除伊朗的威胁
[04:05] 而且也宣称
[04:06] 在大家的帮助底下
[04:08] 我们很快就会让
[04:09] 和睦之海峡开放
[04:10] 安全
[04:11] free
[04:11] free是免费还是自由
[04:13] 大家不用特别担心
[04:15] 到点来
[04:16] 一起来把伊朗给压下去
[04:19] 当然了
[04:20] 这一次在金融时报
[04:21] 他的受访
[04:21] 其实有把这些贴文
[04:23] 做更细致的截图
[04:24] 川普的态度很简单
[04:26] 他认为如果盟友不协助
[04:28] 美国确保荷姆治海峡重新开放的话
[04:30] 北约未来可能会面临非常糟糕的局面
[04:33] 这一次他说到金融时报的完整访问
[04:36] 他认为欧洲和中国
[04:38] 现在都高度依赖波斯湾石油
[04:40] 我反而没那么依赖
[04:41] 结果我要保证你们的安全
[04:43] 所以你们派一些军舰来帮助我
[04:45] 维持当前情绪是非常重要的
[04:47] 那川普也指出
[04:49] 如果盟友没有正面回应
[04:51] 或者拒绝参与护航和安全行动
[04:54] 对于北约的未来
[04:55] 就会产生严重分歧
[04:56] 他同时也表示
[04:58] 月底大家知道川习会要登场了
[05:00] 如果中国不愿意派军舰
[05:03] 来保卫海峡的航运
[05:05] 那么这场川习会延后
[05:08] 我也认为是有机会的
[05:09] 这也使得美中市场的情绪
[05:12] 持续造成进一步紧张
[05:14] 那川普也呼吁盟友
[05:15] 赶快采取进一步的军事行动
[05:17] 能够派来的都派来
[05:18] 你可以派遣扫雷舰
[05:21] 你也可以派遣军舰
[05:23] 也可以派遣特种部队
[05:24] 我们都欢迎你来协助
[05:26] 清除伊朗在海域部署的
[05:28] 水雷和无人机的威胁
[05:30] 那他也批评
[05:31] 英国一些盟友
[05:32] 反应实在是太缓慢了
[05:34] 认为北约长期有单向付出的问题
[05:36] 所以这一次
[05:37] 如果我们呼吁你
[05:39] 呼吁你赶快来中东
[05:40] 如果你不来的
[05:41] 未来我都会检讨你
[05:43] 他态度很明显
[05:44] 那当然了
[05:45] 有些国家很快就回应了
[05:46] 礼拜六
[05:47] PO出这个帖文
[05:48] 礼拜天
[05:49] 南韩官方就提出
[05:50] 政府在做出任何决定前
[05:52] 必须要考量国民安全和能源运输的稳定
[05:55] 因为毕竟南韩有超过70%的石油来自于中东
[05:58] 也要雇
[05:59] 可是南韩的军力部署也有限
[06:01] 要防北韩
[06:03] 要防整个东亚的局势
[06:04] 所以目前在跟美方做进一步的沟通
[06:07] 其他盟友也没有很立即的表态支持
[06:10] 英国的部分
[06:11] 李拜天表示
[06:12] 目前正在跟盟国讨论多种航运的安全方案
[06:16] 法国则强调
[06:17] 他唯一一艘航空母舰已经派去地中海东部了
[06:20] 所以我能够给的都给你了
[06:22] 你还想怎样
[06:22] 那欧洲其他多数国家
[06:25] 跟往常一样
[06:26] 因为周末没上班
[06:27] 暂时没回应
[06:28] 日本方面则是指出
[06:30] 派遣军舰在中东护航
[06:32] 在法律层面
[06:33] 有面临不少的限制
[06:35] 我们知道日本军武
[06:36] 在二战以后
[06:36] 就受到非常显著的钳制
[06:38] 那当然需要神圣评估
[06:40] 不过美国愿意打开的话
[06:41] 日本也不排除派军舰到中东
[06:44] 看起来大家都是磨磨蹭蹭
[06:46] 跟大学生初恋一样
[06:48] 那其他国家呢
[06:49] 必须承认很多军力
[06:51] 它是用来防守的
[06:52] 它也经不起远征
[06:54] 那会不会万人响应
[06:56] 无人到场呢
[06:57] 我们要看川普给予的态度为何
[06:59] 但可以看得出来
[07:00] 他急着想要针对中东战士
[07:02] 有进一步的进步
[07:04] 理论上
[07:05] 美国当然可以像1980年代
[07:07] 当时是伊朗伊拉克战争
[07:09] 两伊战争
[07:11] 川普其实应该讲
[07:12] 美国当时就已经有派遣军舰
[07:14] 来护送游轮
[07:15] 那现在情况是比较复杂
[07:17] 当时伊朗并不希望
[07:18] 和美国产生全面冲突
[07:20] 现在不太一样
[07:21] 现在整个政权正处于生存战争
[07:23] 未必会克制行动
[07:25] 如果护航行动展开
[07:27] 美军除了军舰以外
[07:28] 还需要战机
[07:29] 需要直升机
[07:30] 需要侦察机来协同保护
[07:31] 那军舰本身在狭窄的海域
[07:34] 其实比游轮更容易形成目标
[07:36] 所以派军舰其实没什么问题
[07:37] 美国现在能力也够
[07:39] 就怕你不小心打中我
[07:41] 面子挂不住
[07:42] 军事专家也指出
[07:43] 要真正打开海峡美军可能要必须先摧毁伊朗南部所有导弹所有的无人机和快艇的任何威胁之后才能够清除水雷那这是一个复杂而且成本高昂的过程
[07:55] 即便美军具备军事优势
[07:57] 但是时间上不太够
[07:59] 可能要花一个月的时间
[08:00] 才可以确保美军有百分之百的安全
[08:03] 能够渡过荷姆治海峡
[08:04] 所以现在就要看一下
[08:06] 美方是否会采取进一步动作
[08:08] 如果是的话
[08:09] 就说明了川普的决心
[08:10] 就是要扫除伊朗在南边的所有军事势力
[08:13] 我们看美军在本周末是首次空袭了
[08:16] 位于波斯湾的哈格岛军事设施
[08:19] 它就在那个荷姆兹海峡的上面
[08:21] 那个小岛
[08:21] 那这里几乎是伊朗所有原油出口的核心枢纽
[08:25] 那川普表示说
[08:26] 军事目标已经完全被摧毁
[08:28] 但同时他也考量
[08:29] 由于伊朗还要靠这些石油过活
[08:32] 他没有攻击这个岛上的石油设施
[08:34] 同时也警告
[08:35] 你不能干扰荷姆兹海峡的航运安全
[08:39] 换句话说
[08:40] 这个川普看起来有点不排除
[08:43] 把哈格岛拿下来的意愿
[08:45] 伊朗近期大幅提高针对哈格岛的原油
[08:48] 整体出口每天是以300万桶以上
[08:51] 接近历史新高
[08:52] 那如果该岛的油气设施遭到重创
[08:54] 伊朗的原油出口就会瞬间停摆
[08:56] 所以双方其实还在博弈当中
[08:58] 我先办的军事设施都给摧毁掉了
[09:01] 只留你的原油出口设施
[09:03] 那如果呢
[09:04] 你再跟我硬杠
[09:05] 那我可能出动地面部队
[09:08] 甚至把哈格岛采取进一步的
[09:11] 所有出口设施的摧毁
[09:12] 都是有可能发生的
[09:14] 那川普看起来就留一线
[09:16] 看你要不要来跟我做谈判
[09:18] 或者你要不要缓解一下当前的局势
[09:20] 那这样的一个效果
[09:21] 就让大家更紧张了
[09:23] 为什么呢
[09:23] 川普这么做
[09:24] 当然是为了要结束战事
[09:26] 或者说加速谈判进程
[09:28] 可是在中长期内
[09:30] 市场会担心
[09:31] 那美方是否的确在考虑
[09:33] 采取进一步的军事计划
[09:35] 我们像以色列的部分
[09:36] 最正是索马利兰也可能成为新的军事据点
[09:40] 因为主要是叶门的胡塞武装最近又蠢蠢欲动
[09:43] 那以色列已经表明了
[09:45] 随时都有可能会采取进一步的行动
[09:48] 来针对胡塞武装来进行空袭或者报复
[09:51] 那这就代表了整个中国
[09:53] 应该讲说整个地中海一直到红海
[09:57] 一直到波斯湾
[09:58] 三方的地缘政治冲突持续加剧以后
[10:01] 红海如果也发生危机
[10:03] 那荷姆治海峡如果也发生危机
[10:05] 那真的就有点紧张了
[10:07] 毕竟现在沙乌地阿拉伯
[10:08] 还有一些管线可以从红海往下走
[10:10] 所以这是第二层我们观察的重点
[10:13] 第三层就是川普
[10:14] 在上礼拜采取战略原油储备释放以后
[10:17] 原油价格的利空不迭
[10:19] 我们看这一次在冲突底下
[10:21] 为了减轻全球油价飙升
[10:24] 对于全球经济的伤害
[10:25] 国际能源署IEA在上礼拜
[10:27] 已经释放了四亿桶的战略石油储备
[10:29] 其中大部分是由美国来做提供
[10:32] 川普政府计划
[10:33] 最快在本周会采取进一步交换机制
[10:36] 释放8600万桶原油
[10:38] 与过去直接出售储存不太一样
[10:40] 这一次是允许企业先借用原油
[10:43] 未来再以更多桶数来归还
[10:45] 某种程度有点类似于石油贷款
[10:48] 你先不用借我钱了
[10:50] 或者说你不用付我钱了
[10:51] 你先把油拿去用吧
[10:52] 你用了以后
[10:53] 未来如果油价格回跌
[10:56] 你再把石油还给我
[10:57] 美国这边部也强调
[10:59] 这批原油大概是要120天
[11:01] 才能够逐步的释出
[11:02] 目前美国的战略石油储备
[11:04] 我们看得出来大概4亿桶左右
[11:06] 4.15亿桶
[11:08] 那政府也强调
[11:09] 未来一年将会回补2亿桶
[11:10] 那你要知道
[11:11] 这个在2017年它有7亿桶
[11:14] 美国经济现在已经发展到什么样的规模
[11:16] 美国的能源需求已经比17年
[11:19] 可能翻了好几倍了
[11:20] 可是现在的原油储备量
[11:22] 战略储备原油
[11:24] 比当时还要低了接近有三分之一
[11:27] 好这件事情也彰显着
[11:28] 战略原油储备如果释放了
[11:30] SPR释放了
[11:31] 结果原油价格还在持续上升
[11:34] 他基本上也没办法采取更多动作了
[11:36] 因为再往下掉
[11:37] 那么美国自己的国防战略储备
[11:39] 可能会受到极大的压力
[11:41] 所以川普才会呼吁说
[11:42] 亚洲国家必须要采取一定的态度
[11:44] 不管是金钱上的援助
[11:46] 还是军舰上派来中东
[11:48] 原因在于我现在保护你的波斯湾
[11:50] 这些原油也不是给我美国的
[11:52] 大概只占2%而已
[11:53] 大部分都是亚洲经济体
[11:55] 所以这次IEA采用史上最大规模的
[11:59] 战略石油储备计划的放送
[12:01] 其实从当日起最为优先的是亚洲市场
[12:04] 给台日韩三国来进行相关的能源替代供应
[12:08] 但与此同时我们也要了解
[12:10] 这个一定要有一些回馈
[12:11] 否则川普也许随时也会不爽
[12:14] 川普试油的计划
[12:15] 我们必须清楚知道
[12:17] 战略原油之所以现在对原油价格的拉抬效果
[12:20] 或者说抑制效果相对有限
[12:22] 一个根本原因在于
[12:24] 现在每天大概有900万桶到1000万桶原油
[12:27] 被卡在海峡的后方
[12:29] 那IEA目前所释出的石油
[12:32] 每天大概是增加300万桶
[12:33] 等于是每天就是三分之二
[12:36] 三分之二的原油
[12:37] 一路的被卡在波斯湾
[12:38] 每天就这样子
[12:40] 以900万桶的石油累积在后方
[12:42] 那你每天增加300万桶的
[12:44] 战略原油储备的工具
[12:46] 那个缺口看起来还是越来越大的
[12:48] 另外一个问题是战略原油本身
[12:50] 释放的速度有点慢
[12:52] 美国战略原油储备
[12:53] 现在主要放在德州和路易斯安那的
[12:55] 地下盐血当中
[12:56] 抽取速度会随着库存下滑
[12:59] 而变慢
[12:59] 加上输油管线
[13:01] 和港口的运能是有限的
[13:02] 整体释放到市场
[13:04] 川普的态度是四个月
[13:06] 那中东到亚洲地区
[13:08] 战略原油储备的释放
[13:10] 更会受到这种运输船的影响
[13:12] 所以其实原油缺口的扩大
[13:15] 仍然在持续产生
[13:16] 川普当然是希望能够保卫
[13:18] 荷姆兹海峡的安全
[13:19] 但代价还是极为庞大
[13:21] 这条海峡最窄的部分
[13:23] 大概是21英里
[13:25] 那美军现在比较担心的是
[13:26] 伊朗的无人机
[13:27] 和反舰的飞弹
[13:28] 可能让整个区域变成致命陷阱
[13:30] 为了让航运能够顺利通行
[13:33] 目前美军的规划是
[13:34] 先用空骑来摧毁伊朗南部沿岸的
[13:37] 所有飞弹和无人机的发射器
[13:39] 而且派出甚至考虑派一些地面部队
[13:43] 来控制周边地区
[13:44] 川普表示说这些选项都在考虑之内
[13:47] 军事专家也指出说
[13:49] 如果要护送邮轮安全通过
[13:51] 大概是需要两艘军舰护航一艘邮轮
[13:54] 因为一艘邮轮比整个航空母舰还大
[13:57] 甚至要动用十多艘的军舰
[13:59] 来保护一整个邮轮船舰
[14:01] 船队同时间还要有一些无人机的配备
[14:04] 或者战机的巡航
[14:05] 持续打击伊朗的沿岸和飞弹
[14:07] 这个第一成本过大
[14:09] 不如跟伊朗做一些适度的交流之后
[14:13] 来确保荷姆兹海峡能够顺势通过
[14:15] 要不然时间线太久的问题
[14:16] 也是一个极大的压力
[14:18] 但总的来说
[14:19] 这一次其实最意外的
[14:21] 本身就是伊朗的反击
[14:22] 时间线比想象中还要来得久
[14:25] 上一次伊朗的空袭
[14:27] 也是一下子市场的局势就稍微淡化了
[14:30] 但到目前为止
[14:31] 伊朗的报复行动还在持续
[14:32] 才是造成荷姆斯海峡
[14:34] 目前依旧紧张的原因
[14:36] 大家都原本以为跟去年一样
[14:38] 结果发现
[14:39] 这一次可能因为实在太震撼了
[14:41] 领导人都被杀光了
[14:43] 所以伊朗的报复行动
[14:45] 一直到目前为止都没有停止击仗
[14:46] 我们过去提过
[14:47] 伊朗目前的攻势虽然已经稍微适缓
[14:50] 但是到目前为止
[14:52] 大概只有三分之二的飞弹发射机被摧毁
[14:55] 还有三分之一
[14:56] 这就代表随时不管是他的SHED
[14:59] 喷射无人机或者超高音速飞弹
[15:02] 仍然有可能时不时的出现
[15:04] 那你光是击中一艘美军军舰
[15:06] 那当然就会形成极大的舆论和压力
[15:09] 与此同时伊朗在冲突初期
[15:12] 针对整个中东战略设施所攻击之后
[15:15] 留下的破坏痕迹
[15:16] 募蓄的一些卫星空照图陆续释出
[15:19] 比如说阿联的查伊拉港
[15:21] 沙尔德拉伯的炼油厂
[15:23] 或者苏丹亲王空军基地等等
[15:26] 我们看到其实很多地方都处于大面积的火焰和浓烟
[15:31] 像是巴林的美国第五舰队的基地也受到显著的攻击伊朗的战火扩散到整个波斯湾以后最头疼的亚洲经济体当然很头疼那是能源的问题
[15:42] 波斯湾是最头疼的
[15:44] 就这些国家
[15:44] 第一大幅打乱了交通
[15:46] 到目前为止
[15:47] 这个中东上空
[15:49] 是过去欧亚航线的重要通道
[15:51] 那现在有很多大量的飞弹
[15:53] 或无人机
[15:53] 让航空公司不得不捞到飞行
[15:56] 你像是印度航空
[15:58] 从伦敦飞德里的航班
[16:00] 现在改成绕过波斯湾的南侧
[16:02] 那航空就增加了50分钟
[16:04] 伦敦飞东京
[16:06] 最近大家看到
[16:07] 那个票价高速上涨
[16:09] 一方面是油价
[16:10] 另外一方面
[16:10] 长期航线可能要多花两个小时
[16:13] 所以航线的被迫调整
[16:14] 也是让全球航空运输业成本上升的根本原因
[16:18] 在这样的一个效果底下
[16:20] 整个美伊的战火
[16:21] 也让中东局势开始恶化
[16:23] 也就是市场上有一些国家
[16:25] 他长期是靠稳定的输油来赚取外汇
[16:28] 现在压力极大
[16:29] 据来说这是160万人口的巴林
[16:32] 现在成为主要受灾户
[16:33] 首都麦拿马本来是光鲜亮丽的摩天大楼
[16:37] 现在曾经被无人机攻击
[16:39] 炼油厂被毁
[16:40] 工厂也被攻击
[16:42] 高楼住宅也被攻击到
[16:43] 第五舰队的基地也遭到波及
[16:45] 那巴林的财政本身就已经很脆弱了
[16:47] 今年预估会赤字超过GDP的10%
[16:50] 公共债务是占GDP的146%
[16:53] 是全球最沉重的债务水准
[16:55] 政府中有三分之一的收入都拿来付利息
[16:58] 所以它其实经济已经不是特别好了
[17:01] 过去它以前是靠金融业和石油
[17:03] 但金融地位现在被杜拜给取代了
[17:06] 天然气资源逐步的枯竭
[17:08] 现在有三分之二的资源
[17:09] 来自于石油和铝业
[17:11] 不过现在运不出去
[17:12] 真正的问题就是
[17:13] 你运不出去以后
[17:15] 这个封锁时间
[17:16] 又有可能来到数天
[17:18] 甚至来到数月
[17:19] 市场上针对80经济的做空情绪
[17:22] 就会高速的推高
[17:23] 在这样效果底下
[17:24] 中东各国
[17:25] 好几年所累积的这种
[17:27] 全世界最安全最豪华
[17:30] 治安相对不错
[17:31] 而且获得观光和金融
[17:33] 同时依赖的产业
[17:34] 就遭受到极大的压力
[17:36] 这就是我们看到的真实迹象
[17:38] 所以最后就要看一下
[17:39] 市场上给予
[17:41] 不管是川普的压力
[17:42] 还是中东局势的压力
[17:43] 是否有加速谈判的进程
[17:45] 你像在本周末
[17:47] 市场上比较聚焦的是
[17:48] 之前我们提到
[17:49] 专门去处理人工智慧
[17:51] 和加密政策的白宫幕僚
[17:53] David Sachs
[17:54] 他本身在这次谈话当中就特别提到了
[17:57] 他认为美国在对伊朗冲突当中
[17:59] 应该要寻找下车点
[18:00] 这个很重要
[18:01] 因为他的幕僚
[18:02] 他现在都还在白宫里头
[18:03] 他甚至觉得可以考虑宣布胜利之后
[18:06] 我们就直接撤出战场了
[18:08] 他在周末主持的Owing Pocket上
[18:10] 他认为现在可能是结束冲突的好时机
[18:13] 但也是金融市场最希望看到的结果
[18:16] 川普高层首次释出对于战争希望退场的讯号
[18:21] 这跟川普之前表示希望可以达到永远
[18:23] 这种说法引起了比较大的一个反弹
[18:26] 那当然SEX的警告说
[18:28] 如果冲突进一步升温
[18:30] 后果可能非常复杂
[18:32] 比如说美国攻击伊朗的能源设施
[18:34] 然后伊朗又继续反击
[18:36] 波斯湾的油气等基础设施
[18:38] 甚至让整个海湾地区
[18:40] 变得难以居住
[18:41] 那时间拖得越久
[18:42] 不管是以色列的防空系统被耗尽
[18:45] 升级到核武威胁
[18:47] 还是到时候对原油价格的冲击
[18:49] 都不利于川普长期的执政
[18:51] 那这个就很重要了
[18:52] 这等同于白宫内部
[18:55] 其实已经开始有一股
[18:56] 想要把这场战争速战速决
[18:59] 川普政府其实可能最初的盘算
[19:01] 也是像先前对委内瑞拉那样
[19:03] 你先透过快速的军事和经济压力
[19:06] 先迫使对方政权短时间内崩溃
[19:08] 至少能够迅速取得谈判优势
[19:10] 但现实看起来没这么简单
[19:12] 就伊朗到目前为止
[19:13] 这个看起来政权还是相当稳固
[19:15] 战事脱场
[19:16] 对于美国国内的政治压力
[19:18] 就开始出现了
[19:19] 所以原本期待的一场大胜利
[19:21] 现在就变成时间拖得越来越长
[19:23] 那川普压力当然
[19:24] 可想而知也越来越大了
[19:26] 以为可以跟委内瑞拉一样
[19:29] 速打速结束
[19:31] 当然有些人说
[19:32] 那个委内瑞拉
[19:33] 马杜罗一月份被抓走
[19:35] 搞不好是刻意为之
[19:37] 昨天那个WBC
[19:39] 委内瑞拉对日本
[19:40] 那场很精彩
[19:42] 总统都被抓了
[19:44] 气势完全不舒服
[19:45] 你看那个现场的球迷
[19:46] 委内瑞拉球迷真的很爱棒球
[19:48] 你想想
[19:49] WBC是三月份在迈阿密比赛
[19:52] 委内瑞拉总统在一月初
[19:54] 就已经先搭专机
[19:56] 在美国等比赛了
[19:58] 而且还不是自费
[20:00] 也不是公费
[20:02] 是美国政府出钱
[20:04] 还送了他一套Nike运动服
[20:07] 他会一直待
[20:08] 至少待到2028
[20:09] 因为现在委内瑞拉已经确认取得
[20:12] 2028洛杉矶奥运棒球的资格
[20:15] OK
[20:16] 我们就拭目以待
[20:17] 好
[20:17] 我们往下看
[20:18] 刚才跟投资朋友聊的范围比较广
[20:20] 主要是把整个原油市场的概况
[20:23] 市场的情绪
[20:24] 川普的博弈
[20:25] 还有川普内部白宫政策的分歧
[20:27] 来做一些细节谈话
[20:28] 这些细节谈话
[20:29] 本身最后就呈现在油价身上
[20:31] 油价上涨
[20:32] 对于股市就产生了抑制效果
[20:34] 因为市场的利率定价
[20:36] 正在重新的展现
[20:37] 我们仔细观察
[20:38] 道荣指数在礼拜五下跌119点
[20:40] 0.26%
[20:41] 刷46558点
[20:42] 标普下跌40点
[20:44] 0.61%
[20:45] 刷6632点
[20:46] 纳指下跌206点
[20:48] 22105点
[20:50] 非半下跌3点
[20:51] 0.04%
[20:52] 摔7646点
[20:54] 现在最大压力的是
[20:55] 纳斯达克100指数
[20:56] 因为它是整个美国科技巨头的重心
[20:59] 压力有点大
[21:01] 你要说它跌破前低了吗
[21:03] 也没有
[21:03] 还守在现在的高位平台区间
[21:06] 可是从量价图来看
[21:08] 你已经感觉到
[21:09] 有点乌云笼罩了
[21:10] 因为盘太久了
[21:12] 这样子一盘
[21:13] 已经盘了接近有两个季度左右了
[21:15] 所以很多美国股市科技股
[21:17] 这次财报出来表现不错
[21:19] EPS还在上升
[21:20] 可是你看
[21:21] 微软相对于整个标普白指数
[21:24] 整体的估值
[21:25] 已经回到2022年到2023年的水准
[21:29] 甚至比当时2025年关税战都还来得低
[21:33] 你就可以了解
[21:34] 有些科技巨头
[21:35] 他的本益比回调幅度
[21:37] 已经比想象中还来得惊人的
[21:39] 这一波情绪乖离的拉回幅度也特别高
[21:42] 因为是从一二月份开始
[21:44] 就有软体股的恐慌
[21:45] 这个追踪软体的IGV等等
[21:48] 这些一度跌幅都来到30%到40%
[21:51] 现在尝试的进行阻底
[21:52] 可是就变成大的中的小的
[21:56] 现在每个股市都在跌
[21:58] 那这个跌也没有到惨跌
[22:00] 也没有到崩盘
[22:00] 可是估值回调压力就特别大
[22:03] 所以我认为
[22:04] 与其把它视为一个危机
[22:06] 这个时候机会就慢慢浮现了
[22:08] 因为你很难得见到
[22:09] 基本面还在快速上行
[22:11] 但是出现一个外部性冲突
[22:13] 如果没有外部性冲突
[22:14] 股市一定会是现在这个样子
[22:16] 这个值得省思
[22:17] 所以我认为投资
[22:19] 我们还是要依循周期
[22:20] 不要依循判断
[22:21] 人生也要依循周期
[22:23] 当你低潮股市不好的时候
[22:25] 你也不要太悲伤
[22:26] 君子回归反而是迟早的事情
[22:28] 而且是一件好事
[22:30] 当你人生来到高潮
[22:31] 意气风发
[22:32] 你也不要太得意
[22:33] 因为按照君子回归
[22:34] 你随时会回挡
[22:35] 作为周期投资者
[22:37] 你不只是投资要有周期
[22:38] 情绪要有乖离
[22:39] 人生更要有这种周期思维
[22:41] 可能最近大家有点低潮
[22:43] 虽然有跌
[22:45] 但也跌不够多
[22:46] 也不到那个买点
[22:47] 也没关系
[22:48] 每天收听我们直播
[22:49] 我们就来追踪
[22:50] 这个情绪的高低
[22:51] 一天当中
[22:52] 一定也会有低潮和高潮
[22:54] 你经历的
[22:55] 肯定会有集中
[22:56] 和换散的
[22:57] 这种经历的时候
[22:58] 就是有时候
[23:00] 你的状态是好的
[23:01] 那可能经历是高度集中的
[23:04] 有时候经历是高度换散
[23:05] 你只要掌握好你的状态
[23:06] 你该用力的时候
[23:08] 你就用力
[23:08] 该放松的时候
[23:09] 你就放松
[23:10] 你的生活步调
[23:10] 也许就会变得更好
[23:12] 那很多人问
[23:13] 为什么我们的直播时间
[23:14] 总是在早上八点半
[23:16] 为什么不在晚上八点半呢
[23:18] 因为这是多数人相对清醒
[23:20] 充满干劲的时段你要意识到这个时段是你可以认真听的时候通常这个时候也没什么杂念是最好吸收的时候我最近有网友才传给我了2026年PromHub最新所推出的报告
[23:32] 来回顾2025年
[23:33] 大家的使用习性
[23:34] 你看一天当中
[23:36] 这些大家看小电影的时间
[23:39] 通常在早上10点以前
[23:41] 是最低的
[23:42] 就没有人在这个时间点看
[23:44] 远远低于平均值
[23:45] 通常来到下午两三点的时候
[23:48] 可能刚吃饱饭
[23:50] 保暖思因欲
[23:51] 或者晚上9点以后
[23:52] 一般人通常就会缺乏专注力
[23:55] 那即便你到晚上
[23:57] 你可能开始有时间
[23:58] 有动力去看财经节目来学习了
[24:02] 你大概也会因为意志力不足
[24:04] 跑去看黄片
[24:05] 所以你要挑对一个时机
[24:07] 进入一个市场
[24:08] 这个时候就不光是靠你的判断
[24:10] 你要研究周期
[24:11] 你要研究多数人的作息
[24:13] 如果你总是在下午4 5点
[24:15] 或者晚上10点
[24:16] 我们才直播
[24:17] 这么枯燥的内容
[24:19] 多数人都无法接受
[24:21] 要不然他就声音开着
[24:22] 然后做自己的事情
[24:24] 好恶心
[24:24] 但是我们讲的
[24:26] 就是投资其实跟人生一样
[24:27] 都会有周期
[24:28] 它不是靠情绪或者主观判断
[24:30] 当市场低迷
[24:31] 人生陷入低潮的时候
[24:33] 你不用过度悲观
[24:34] 周期始终会回来
[24:35] 行情大好
[24:36] 顺风适水的时候
[24:38] 你也不要太得意
[24:39] 因为回档总是周期的一部分
[24:42] 这也说明
[24:43] 为什么有时候我们讲说吵架
[24:44] 你要做比较好脑的事情
[24:46] 你要尽量在早上11点前完成
[24:48] 因为人体每天清晨会出现皮脂醇
[24:51] 通常起床之后
[24:53] 30到60分钟会达到高峰
[24:54] 这个时候你会提升你的注意力
[24:56] 你会增加大脑的能量的供应
