[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 股市突破了三萬點的大關
[04:35] 基本上就已經聊到說
[04:36] 只要臺美關稅談判敲定協定以後
[04:40] 國安基金才有退場的條件
[04:43] 因為他當時進場
[04:44] 就是為了要穩定臺美談判
[04:47] 可能遇到的波瀾
[04:48] 不過呢
[04:49] 現在看起來就算臺美談判不出來
[04:51] 或者談不好
[04:52] 也不太可能影響到臺股了
[04:54] 所以其實早就可以退場了
[04:56] 不過呢
[04:57] 藍社長也提到了
[04:58] 國安基金退場之前是不會賣股的
[05:01] 那反而形成了這種正面的力道來做腿生
[05:04] 好不管怎麼說
[05:05] 外資的離場
[05:06] 內資的買盤挺近
[05:07] 已經形成這幾年的主要主流
[05:09] 但也不會影響到
[05:11] 外資針對目標價的調高調低
[05:13] 可能是外資光是靠內資的買盤
[05:16] 他就可以認為目標價有進一步的調高
[05:18] 臺灣人很有錢嘛
[05:20] 我們看最近兩家投行
[05:22] Alesia和高盛陸續調升臺積電目標價
[05:25] Alesia一直都是最高的
[05:27] 它永遠都喊最高
[05:28] 從2100塊調升到2400塊年底目標價
[05:31] 高盛從1720塊調升到2330塊
[05:34] 也就是說當前我們看推測未來12個月的合理股價
[05:38] 像是過去的瑞銀大和資本都已經開始有點偏低了
[05:42] Alesia在臺積電的半導體產業的領先報告當中
[05:46] 整體給予的權重是大幅買進
[05:49] 同時間他把EPS在整個2025年
[05:52] 預估是66.5塊
[05:54] 2026年是97塊
[05:56] 2027年是120塊
[05:58] 也就是說如果你用2400塊的股價
[06:01] 因為他最高目標價是2400
[06:03] 你用當前本益比來看
[06:05] 大概有25到26倍
[06:07] 如果你用前瞻本益比
[06:09] 也就是你用明年的EPS
[06:10] 120塊來對照的話
[06:12] 大概就是21倍到22倍左右
[06:16] 所以完全取決於你看待的尺度
[06:18] 那Alesi啊
[06:19] 當然他認為2026年
[06:20] 反映的就不是2026年的EPS了
[06:22] 我們是要反映在2027年
[06:24] 所以股價有進一步的拉昇條件
[06:26] 當然這一波EPS的成長
[06:28] 也並不是靠單一一次的緊急反彈
[06:31] 而是建立在AI需求的拉動下
[06:33] 長期產能利用率的提升
[06:35] 先進製成價格結構的改善
[06:37] 以及營收規模快速放大之下
[06:40] 當然更關鍵的是
[06:41] 在資本支出大幅拉高的同時
[06:43] ROE目前看起來還是有35到40%左右
[06:46] 如果我們看AI營收佔比的路線
[06:49] 已經點出臺積電
[06:50] 從賣先進製成
[06:52] 進入到公司本體被AI重塑的階段
[06:55] AI的相關營收在2014年是150億美元
[06:57] 到2025年是怎麼樣
[06:59] 翻倍乘以2
[07:01] 300億
[07:01] 到2026年再翻倍
[07:03] 變600億
[07:04] 2027年應該很難翻倍了
[07:06] 大概到850億
[07:08] 三年成長6倍的AI營收
[07:10] 更為關鍵的是整個結構佔比的變化
[07:13] AI對於臺積電整體營收的貢獻
[07:15] 從原本的20%到現在
[07:17] 2027年預估來到40%
[07:19] 那基本上如果看高階運算
[07:21] 早就已經超過消費性電子產品了
[07:24] 也就是說臺積電是在過去兩年
[07:26] 成功的從消費性電子產品的
[07:29] 蘋果手機作為主要營收來源
[07:31] 完全取決於現在AI伺服器的狀態
[07:34] 已經變成了一個標準的AI股
[07:36] 甚至連標準的景氣電子迴圈
[07:38] 對於臺積電的影響都在變小
[07:40] 臺積電的雲端和AI加速器
[07:42] 相關營收也從2023年的69億
[07:45] 到今年預估會來到1506億AI相關佔比營收從6%上行到40%左右在這樣效果底下等同於臺積電的擴產重心已經全面轉向最先進的節點
[07:58] 而且速度正在明顯加快
[07:59] 25年的先進製程月產能是32萬片
[08:03] 26年預估會到40萬片
[08:05] 27年明年預估到55萬片左右
[08:07] 年增幅也很快
[08:09] 是40%到50%的速度
[08:11] 所以你就知道為什麼它建廠建那麼急
[08:13] 它每年的需求是以
[08:15] 40到50%的建廠速度往上拉
[08:17] 28年更是上看了70萬片
[08:20] 那這有雙重風險
[08:22] 第一個是貨一定是缺的
[08:25] 一定會全球大缺貨
[08:27] 第二是就算全球會大缺貨
[08:29] 臺積電擴廠速度也不能太快
[08:30] 以防有一天
[08:31] 針對AI的資本支出開始放緩了
[08:34] 我也不能無條件擴廠
[08:35] 所以就變成了
[08:37] 如何把產能利用率拉到極限
[08:39] 那現在如果我們仔細觀察
[08:41] 從資本支出的角度而言
[08:43] 其實就不像是營收爆發這麼快
[08:45] 這裡雙重邏輯
[08:46] 就是我錢是要越賺越快
[08:49] 但是我投的錢不一定要越來越快
[08:52] 原因在於
[08:53] 我現在已經跟我的對手拉開距離了
[08:55] 我建更多的廠
[08:57] 做更多的資本支出
[08:58] 只是拉長距離而已
[09:00] 我最好就適度保持這種距離就好
[09:03] 免得我被自己的資本支出拖垮
[09:05] 而且有時候在臺灣投資者發發鼓勵
[09:07] 很多股東還很開心
[09:08] 外資最喜歡臺積電的鼓勵了
[09:10] 從投資規模來看
[09:12] 整個臺積電的資本支出
[09:13] 會從2025年的420億美元
[09:16] 擴增到2027年的600到650億美元
[09:21] 那儘管金額增加
[09:23] 不過資本支出的強度增長預期
[09:26] 大概就25%到30%
[09:28] 其實是比疫情期間的高峰還要來得低的
[09:31] 不過由於營收大量的進來
[09:34] 現在有60%的高營業的現金流的利潤率
[09:37] 臺積電現在其實光靠一些單純的現金流
[09:40] 它就足以應付現在很龐大的研發和擴充套件支出
[09:43] 它只是年增放緩
[09:45] 但它投入的資本支出其實還是蠻多的
[09:47] 尤其臺積電這幾年的真正瓶頸
[09:50] 已經從製程開始衍生到封裝
[09:52] 而且擴張節奏同樣也看得出來
[09:56] 現在非常快
[09:57] 整體而言大概也是接近六倍到七倍
[10:00] 在五年的時間
[10:01] 更高功耗的AI和HPC的封裝需求來預做準備
[10:05] 一方面當然是適度的進行
[10:08] 原本在先進製程上節點的擴大
[10:11] 另外一方面
[10:12] 因為也只有他自己能做
[10:13] 他自己只能做
[10:14] 自己做高階封裝
[10:16] 那第三大方面
[10:17] 那如果我把封測的市佔率
[10:19] 營收拉進來
[10:20] 那我在整個半導體產業
[10:22] 就沒有那麼反壟斷
[10:23] 被調查的風險了
[10:25] 畢竟我現在不只是半導體經營代工
[10:27] 我還有一點封測的生意
[10:28] 用這樣的一個方式來規避
[10:30] 美方商務部可能採取的調查
[10:32] 那另外一方面
[10:33] 高盛最新所出的報告
[10:35] 也針對臺積電調高了買入評級
[10:37] 現在針對人工智慧
[10:39] 推動未來數年的成長引擎
[10:41] 導致3奈米和5奈米等先進製程
[10:43] 長期處於產能吃緊的狀態
[10:46] 那目前的看法是
[10:47] 也許2奈米到1.5奈米的過程當中
[10:50] 還是完全取決於蘋果客戶
[10:52] 因為伺服器它要的奈米級數
[10:55] 不一定要是最頂尖的
[10:56] 因為它還有成本要考量
[10:58] 可是至少3奈米和5奈米的需求
[11:00] 目前是顯著暢望的
[11:02] 如果我們看EPS
[11:03] 高盛給予的EPS
[11:04] 在26年預估是82塊
[11:06] 比舊版上修了大概9%
[11:09] 2027年它是調高到105塊
[11:11] 所以你發現
[11:13] 其實不管怎麼樣
[11:14] 2027年一定上百塊的
[11:16] 只是說到底是100
[11:17] 還是110
[11:18] 還是120
[11:19] 這對於EPS
[11:20] 對於本益比的拉抬效果
[11:22] 它就會有比較大的一個區別
[11:24] 可是高盛也提到了
[11:25] 為什麼臺積電從高成長公司
[11:27] 進化成高品質成長公司
[11:30] 因為營收曲線
[11:31] 它是階梯式的上彎
[11:33] 但真正的持變是什麼時候
[11:35] 發現是2024年
[11:36] 就美元計價的營收
[11:38] 在2023年曾經短暫修正之後
[11:40] 重新加速
[11:41] 24年以後
[11:42] 它是線性放大
[11:43] 就背後它也不是單一的景氣因素
[11:46] 就是AI直接導致了臺積電
[11:48] 在應該講臺積電
[11:50] 過去幾年有幾個階段
[11:52] 就是從17年18年
[11:53] 正式把三星幹掉以後
[11:55] 拉開距離
[11:56] 那消費性電子市場的龍頭
[11:59] 到24年25年以後
[12:00] 第二階段AI的爆發
[12:02] 直接導致毛利率結構
[12:04] 重新站上到60%以上
[12:06] 全面的拉開距離
[12:07] 在這樣的效果底下
[12:09] 全球只要扣過先進封裝需求
[12:11] 整體產能還是集中在臺積電的話
[12:13] 那基本上
[12:14] 整體距離
[12:15] 也許在這場AI競賽當中
[12:17] 能夠持續跟三星
[12:18] 拉開進一步的距離
[12:20] 我們過去跟投資朋友提過
[12:21] 其實臺積電在先進製程上的節點
[12:23] 領先已經快要高達10年以上了
[12:27] 2015年以前
[12:28] Intel在製程技術上
[12:29] 還是一直領先的
[12:30] 特別是22奈米和14奈米
[12:32] 節點上的表現優異
[12:34] 但是到10奈米之後
[12:35] Intel當時就遭遇到技術瓶頸的卡關
[12:38] 開發的延檔
[12:39] 導致臺積電趁勢超車
[12:41] 技術主導權就一手了
[12:43] 18年以後
[12:44] 臺積電就先後量產7奈米
[12:46] 5奈米
[12:47] 3奈米
[12:47] 到現在往2奈米
[12:49] 三星也正式的開始落後
[12:50] Intel的技術也跟著落後
[12:52] 大概是10奈米左右的失敗
[12:54] 現在臺積電變成全球半導體制造的代名詞
[12:57] 其實也就這10年的時間
[12:59] 突然之間整個世界就變了
[13:02] 我們來仔細觀察
[13:03] 張圖表示Intel跟臺積電
[13:05] 整體營收的變化
[13:06] 在20年前2005年
[13:09] Intel的營收是390億美元
[13:11] 臺積電才80億
[13:12] 現在到2025年
[13:14] 臺積電在去年營收
[13:15] 已經破千億美元
[13:16] 遠遠超過Intel的500億
[13:19] 所以事實上臺積電每年
[13:20] 是以13%的年均增長速度
[13:22] 持續的拉抬
[13:23] 隨著現在已經壟斷
[13:25] 大部分的高階製程訂單
[13:26] 它被反壟斷調查的風險
[13:28] 遠遠比它被對手競爭的風險
[13:30] 還要來得高
[13:31] 這已形成單一效果
[13:33] 就是由於臺積電實在太傑出了
[13:35] 導致整個臺灣的經濟和市值的權重
[13:38] 幾乎就全面倒向在臺積電身上
[13:41] 它形成另外一層效果
[13:42] 就是我們過去曾經做過一集
[13:44] 叫2025年跑贏大盤有多難
[13:46] 2026年可能會遇到同樣的問題
[13:48] 就是中小型股怎麼漲都漲不贏臺積電
[13:52] 導致在選股當中的極大難關
[13:55] 我們舉例來說
[13:55] 如果我們看臺股的ETF市場
[13:58] 在過去一年的年報酬
[14:00] 你發現績效能夠來到40%以上的
[14:03] 追上臺積電的
[14:05] 基本就是全執行ETF
[14:06] 比如說0050
[14:08] 過去一年韓系報酬44.8%
[14:11] 那受益人數第五名的富邦臺50
[14:13] 44.4%
[14:15] 00881國泰臺灣科技龍頭
[14:18] 以前叫做5G Plus
[14:19] 也是臺積電靠的
[14:21] 0052富邦科技
[14:22] 那有一半都是臺積電
[14:23] 漲幅有48%
[14:24] 甚至我們看到排名第15名的
[14:27] 00981A主動統一臺股增長
[14:30] 這檔ETF是在去年6月份才掛牌的
[14:34] 它股價也漲蠻兇的
[14:35] 漲了一整倍
[14:36] 它的最大權重也是臺積電
[14:39] 甚至發生了一個有趣現象
[14:41] 這兩天大家經常在聊
[14:43] 說這個00981A
[14:45] 統一臺股增長主動型ETF
[14:47] 因為它是主動型選股
[14:49] 那這檔ETF
[14:51] 雖然強調主動型ETF
[14:53] 來進行主動選股
[14:54] 可是賬上卻出現了0050和0052
[14:58] 如果我們看0050的部分
[15:00] 它大概也有
[15:01] 接近有1萬張
[15:02] 大概1.46%的佔比
[15:05] 0052 0.72%
[15:07] 也差不多是1萬張
[15:08] 怎麼會一檔主動型的ETF
[15:11] 它去買被動型的ETF呢
[15:13] 你想說
[15:14] 因為正常人直接反應是這樣
[15:16] 既然我們已經付了主動管理費
[15:18] 理論上我們要看到更多的
[15:20] 經理人的獨家選股
[15:22] 而並不是市場上人手都大盤
[15:25] 那其實原因很簡單
[15:27] 過去我們跟投資朋友提過
[15:29] 因為基本上新成立的ETF
[15:32] 它都有持股的上限
[15:33] 那臺積電它已經買滿了
[15:36] 持股上限就是10%
[15:38] 那他想買更多的臺積電該怎麼做呢你看到他也儘量找到方式了他選擇去買0050他去買0052用這樣的方式來規避這跟以前那個受險業那個海外投資比重上限有點像
[15:50] 就受險業想要買海外的資產
[15:52] 但是國家法律有規定
[15:54] 你不能把所有臺灣的錢
[15:55] 都投到海外
[15:56] 那怎麼辦呢
[15:57] 那我就成立國泰投信
[16:00] 雲大投信成立債券型ETF
[16:02] 然後我再去買這些債券型ETF
[16:04] 那本質上這些債券型ETF
[16:06] 投信也是去買海外的美元的債務
[16:08] 所以從操作層面來看的話
[16:10] 你就可以發現
[16:11] 這越來越多人意識到
[16:13] 自己要超越大盤
[16:14] 實在是越來越困難了
[16:16] 在這樣的一個效果底下
[16:18] ETF突然變成了永動機
[16:20] 就主動型ETF
[16:21] 怎麼學我買0050
[16:23] 對不對
[16:24] 可是你想想看
[16:25] 尊重規則市場機制
[16:27] 這也許經理人就是發現
[16:29] 我好像不買臺積電真的不行
[16:31] 不買臺積電
[16:32] 我跑不贏大盤
[16:33] 我成立主動型基金
[16:35] 就是要跑贏大盤
[16:36] 很多人這樣想
[16:37] 因為00981把0050給納入進來
[16:43] 那納入進來以後
[16:46] 我再0050也把0052給納入進來
[16:52] 0052再把00981給納入進來
[16:55] 00981再把0050給納入進來
[16:58] 那就變成了ETF無限迴圈
[17:00] 主動ETF抬被動ETF
[17:03] 看起來就可以這樣一直玩
[17:04] 當然不行
[17:05] 被動型好像不能納入主動型的
[17:07] 但這樣績效算誰的
[17:09] 其實我覺得
[17:10] 同意也可以出一檔
[17:12] 自己的0050
[17:13] 然後再買自己的
[17:14] 這樣管理費就不用給別人賺
[17:16] 實不相瞞
[17:18] 閣下只要這樣子玩下去
[17:19] 以後就會有南瓜50檔ETF的ETF
[17:23] 0050放大板
[17:24] 但是我買的50檔都是ETF
[17:26] 舒燦大金
[17:28] 那是什麼
[17:29] ETF界的霸主
[17:31] 管理費繳了兩次的受益人
[17:34] 所以我們講說
[17:34] 有時候左手0050
[17:36] 右手0052
[17:37] 然後你還是一檔
[17:38] 主動形成ETF
[17:39] 同樣的邏輯
[17:40] 有時候搞不清楚
[17:41] 到底是主動還是被動
[17:43] 但是如果清楚知道以後
[17:44] 你會發現
[17:45] 越來越多經理人
[17:46] 其實已經意識到
[17:47] 你要先跟上市場
[17:48] 比急著表現主動更重要
[17:51] 這很重要的觀念
[17:53] 就我成立一檔ETF
[17:54] 我到底是要呈現我很主動
[17:56] 我都去研究一些個股
[17:58] 一些很厲害的訊息
[18:00] 發掘產業訊息
[18:01] 還是我先超越大盤比較重要
[18:03] 或者我能夠追上大盤比較重要
[18:05] 這個就是我們可以觀察到
[18:06] 在真實整個2026年到2027年
[18:09] 面臨的同樣績效
[18:10] 這幾年美股市場也是如此
[18:12] 所以為什麼越來越多基金理人
[18:14] 在海外市場也是
[18:15] 選擇去配置被動型的ETF
[18:18] 那這個是沒辦法產生的效果
[18:20] 那當然有人問
[18:21] 那浩哥到底是主動還是被動
[18:24] 這個到底是主動還是被動
[18:26] 被動投資的指數型產品
[18:29] 看起來是可以主動操作的
[18:31] 那主動型ETF
[18:32] 我們也可以做好被動的資產配置
[18:34] 有些人在00981跟0050
[18:37] 要配多少比例
[18:39] 這個就被動管理
[18:40] 你有資產再平衡的條件
[18:42] 那也就是我們講說
[18:43] 理財要主動
[18:44] 投資要被動
[18:45] 那當然景氣操作
[18:47] 很多時候可能是被動選股
[18:49] 但你會主動折實
[18:50] 你會選擇儘量景氣低基期的時候
[18:53] 多買一點點
[18:54] 所以很多人說
[18:55] 那到底我是主動還是被動
[18:57] 我平時其實蠻被動的
[19:00] 因為我比較悶燒
[19:01] 但如果把我的活給挑起來
[19:04] 其實我還蠻主動的
[19:06] 而且都不能停
[19:08] 因為我能力很強
[19:09] 往往激起慾望就不能自拔
[19:12] 不是這個主動被動
[19:15] 我們算是有點被動者股
[19:17] 主動者使
[19:19] 你當然作為景氣操作者
[19:20] 你就是希望買在景氣低基期
[19:22] 你希望買在大家稍微悲觀的時候
[19:24] 所以左側交易者
[19:25] 這一波十月份左側交易者
[19:27] 唯一的問題就是買多買少的問題
[19:29] 但你一定是買
[19:30] 所以按照這樣的一個角度
[19:32] 來看待市場上真正的風險
[19:35] 就是臺積電全職持續放大以後
[19:37] 市場上好股票越來越少了
[19:39] 尤其是流動性好的規模大的股票
[19:42] 那麼往下看臺積電要好
[19:44] 那往下看一定要他的客戶好
[19:47] 而他的客戶目前
[19:48] 輝達已經逐步取代蘋果
[19:50] 成為臺積電最大的客戶
[19:53] 那整體輝達的財政的年度營收
[19:57] 以及接下來的預測表現
[19:59] 其實從18年到25年
[20:01] 它大概跟臺積電影差不多
[20:02] 都是指數型上漲的
[20:04] 不過光看輝達是不太夠
[20:06] 一方面是它的財報都是比較晚公佈的
[20:09] 另外一方面
[20:09] 我們還是看它的客戶真實跡象
[20:12] 從輝達機櫃的買家結構
[20:14] 我們來做觀察
[20:15] 2023年其實還是比較分散的客戶組合
[20:18] 到了2025年以後
[20:19] 就快速向少數巨頭來做集中
[20:22] 像是微軟 甲骨文 特斯拉
[20:24] 佔比大幅拉昇
[20:25] 那Meta Google和亞馬遜反而在下滑
[20:28] 這代表著AI的算力需求
[20:30] 不再是全面擴散
[20:31] 而是集中在少數有能力
[20:33] 有決心長期燒錢的玩家當中
[20:36] 所以如果我們以當期的帶貨炒
[20:39] 因為你說每一隻企業
[20:41] 你都要做觀察
[20:42] 然後來推論臺積電的市況
[20:44] 你不如先集中在揮達
[20:46] 再從揮達的主要客戶
[20:48] 微軟 甲骨文 特斯拉
[20:50] 來做更進一步的瞭解
[20:51] 事實上現在全球的大型資料中心
[20:54] 建制計劃才剛剛開始
[20:56] 因為去年才敲定
[20:57] 今年Stargate已經完全開工
[20:59] 總投資金額目前暫定還是5000億美元
[21:02] 看起來有調高機會
[21:03] 由OpenAI 微軟 回答和甲骨文來共同推動
[21:07] 現在整個2026年已經正式啟用
[21:10] 大概四年吧
[21:12] 可能要到2030年才會完全完成
[21:14] 所以你知道這個AI之路其實非常非常遠
[21:17] 在這樣效果底下
[21:19] 等同於市場上的投資熱潮
[21:21] 看起來要維持一段時間
[21:23] 我們不能說接下來就馬上會迎來算力過剩
[21:26] 因為看起來未來四年都還是算力稀缺的
[21:29] 我們如果實質來做觀察
[21:30] 金融時報到各地去拍照
[21:33] 來了解當前的AI資料中心的建設情況
[21:36] 左上角是亞馬遜在印第安那州
[21:38] 耗資了110億美元的龐大園區
[21:41] 右上角是微軟在威斯康遜
[21:44] 新建的AI資料中心
[21:45] 也蓋到一半
[21:46] 左下角是Elon Musk XAI
[21:48] 在田納西孟斐斯的裝置
[21:50] 目前已經開始運營了
[21:52] 右下角就是大家最為矚目的星際之門
[21:55] 然後這個是最大的AI資料中心
[21:57] 那你看到現在地面還在整地階段
[22:00] 不過有很多機房已經開始陸續進行施工了
[22:04] 如果我們以全美的資料分佈來看的話
[22:06] 有很多其實都是集中在東北部
[22:09] 東岸德州和西北其實都算是重鎮
[22:12] 靠近電網和光纖的骨幹區域
[22:15] 在這樣效果底下
[22:16] 全球的AI算力主導圖還是看得出來
[22:20] 2025年美國正在快速的放大
[22:22] 中國也在擴張
[22:23] 不過從比例來看
[22:25] 反而試圖被壓縮的
[22:26] 那我們只要確保
[22:27] 這些資料中心在未來幾年
[22:29] 有持續的拉抬空間
[22:30] 賣產值的至少先不賠
[22:32] 我們真正關注的是
[22:34] 等算力開始出來以後
[22:36] 那會不會有泡沫破滅的問題
[22:38] 所以整個AI的下一關
[22:39] 就要同時伴隨著
[22:41] AI的滲透率的紅綠
[22:42] 比確的GBT代表的終端需求
[22:45] 活躍使用者必須要持續增加
[22:47] 可是從2025年下半年開始
[22:49] 你發現它已經跌破2%了
[22:51] 一方面是流到Gemini
[22:52] 另外一方面是大家使用久了以後
[22:55] 可能覺得差不多就這樣子
[22:57] 但是沒有更進一步的需求來做使用
[23:00] 所以終端產品如何進一步的退出
[23:02] 不管是機器人自駕車
[23:04] 還是相關的終端商品
[23:06] 比如說VR眼鏡等等
[23:07] 都需要有進一步的拉抬空間
[23:09] 這也導致了另外一層結果
[23:11] 就是我們看在本輪的AI浪潮當中
[23:14] 正常來講消費性電子迴圈
[23:17] 在去年其實表現並不是特別的好
[23:19] 所以硬要講說
[23:20] 整個25年下半年開始
[23:22] 你是看得到製造業
[23:24] 包括製造業登號已經亮藍燈
[23:26] 製造業已經開始進入
[23:28] 正式的庫存調整
[23:29] 但是股價在回檔的過程當中
[23:31] 似乎就四月份
[23:32] 就直接把它給反映完了後面那個十月份的回檔甚至都只是中期回撥而已他都不算一個真正的大修正那華爾街啊當然過去總是會有三牛一熊的這種說法
[23:43] 那過去我們也經常講三牛一熊
[23:45] 主要是慣性邏輯
[23:47] 這個慣性邏輯不是說一定要進入熊市
[23:49] 而是說每三年一個消費性電子迴圈是很健康的
[23:53] 那當年的總跌幅也不是從年初到年尾要跌到熊市
[23:57] 而是他可以從五月份跌到十二月份
[24:00] 也可以從二月份跌到十月份
[24:02] 然後年底再收漲
[24:04] 這過去我們經常聊過
[24:06] 標普牌指數
[24:07] 其實當年收漲的幅度
[24:08] 其實大部分都是正值
[24:10] 可是往往都是修正期
[24:12] 在年中進行發生
[24:14] 那按照過往經驗
[24:15] 我們以標普牌指數來看
[24:17] 美股股市在過去三年
[24:18] 累積的漲幅大概是80%
[24:20] 那12年到14年是一個迴圈
[24:22] 16年17年一個迴圈
[24:24] 18年做調整
[24:25] 19年到21年一個迴圈
[24:28] 22年做調整
[24:29] 那23 24 25
[24:30] 所以很多人就會覺得
[24:31] 從消費性電子迴圈來看
[24:33] 2026年是否有調整的空間
[24:35] 不過我想說的是
[24:36] 去年看起來已經調整完了
[24:38] 就按照總體經濟的判斷來看的話
[24:41] 2026年是製造業開始準備要做復甦了
[24:43] 這一次我們聽友會
[24:45] 到時候會做更進一步的商談
[24:46] 那也說明另外一件事情
[24:48] 就是這一波的AI浪潮
[24:49] 它直接破壞了消費性電子迴圈
[24:51] 該有的這種疲憊感
[24:53] 就製造業明明這麼差
[24:55] 但是全池指數還是硬是被拉上去了
[24:59] 這是給投資朋友做的觀察
[25:00] 但某種程度也說明
[25:01] 你要繼續待在這條列車上
[25:03] 你始終要對AI有一定的信心
[25:05] 在市場裡頭
[25:07] 悲觀本身就是一種低風險姿態
[25:10] 它讓人很容易站在安全的位置上
[25:12] 不必為判斷負責
[25:13] 也不必承擔行動的代價
[25:15] 但市場一旦下跌
[25:16] 悲觀者立刻就會被證明看得很準
[25:19] 可是市場如果上漲
[25:20] 他們也能夠順勢搭上便車
[25:22] 卻不用為錯過早期承擔心理壓力
[25:25] 這個在角色認知上往往是正確的
[25:28] 但投資上卻很少是最大受益者
[25:30] 因為股市的報酬
[25:31] 從來都不是獎勵誰講對了
[25:33] 是誰願意在不確定中承擔風險
[25:35] 提前佈局
[25:36] 長時間持有
[25:37] 所以我們難免
[25:39] 大家會覺得
[25:39] 郵聽號是不是有點樂觀
[25:41] 長期來看沒錯
[25:43] 我們是有一點科技樂觀論者的味道
[25:45] 其實做人也是如此
[25:48] 你真正有大智慧的人
[25:50] 你身邊很少出現那種爛人爛事的方式
