[00:00] 投资片欢迎收听早晨财经速解读
[03:37] 收在53770点
[03:39] 标普上涨0.26%
[03:41] 收在7748点
[03:43] 纳指上涨143点
[03:45] 0.54%
[03:46] 收在26588点
[03:47] 突然之间
[03:48] 你看道琼、标普和纳指
[03:52] 好像都突然进入了一个结界
[03:54] 突然走势变得非常非常的平
[03:57] 就是卡在这样的一个区间
[03:59] 那费班是稍微做了一些突破
[04:01] 上涨300点
[04:02] 2.49%
[04:03] 是12,399点
[04:06] 那当然了
[04:07] 如果有三大指数
[04:09] 现在都陆续创下历史新高
[04:11] 或者逼近历史新高
[04:12] 肯定风险偏好是有一点回来
[04:14] 7月份的科技股剧烈修正之后
[04:17] 其实市场并没有全面撤退
[04:19] 反而有重新上杠杆的迹象
[04:21] 只是上杠杆的速度
[04:22] 已经不像是五六月份这么快了
[04:25] 目前美国的挂牌的杠杆型ETF
[04:28] 总资产规模是1800亿
[04:30] 那从7月的第一天以来
[04:33] 本来当时是砍了接近有500亿左右
[04:36] 现在已经回300亿了
[04:38] 所以你会发现第一杠杆型ETF
[04:40] 现在又重新被加仓了
[04:42] 只是资金量上升幅度没这么快
[04:44] 那第二呢
[04:45] 黄金或者矿业股重新的吸金
[04:47] 来对赌升息预期的打消
[04:49] 再来是整体ETF的被动买盘
[04:52] 非常非常惊人
[04:54] 就是这几年台股美股都一样
[04:57] 下跌的时候买的特别重
[04:58] 上涨就轻轻的买
[05:00] 那这一波不一样
[05:01] 这一波从7月份大买以后
[05:03] 8月份继续大买
[05:05] 只要有部分ETF还没有创高
[05:07] 资金流量的速度非常快
[05:09] 美国ETF今年全年的资金流向
[05:12] 大概已经接近了两兆美元了
[05:14] 基本上已经快要超越去年水准了
[05:17] 这件事情都说明着
[05:19] 市场的黏着度看起来是越来越高的
[05:21] 很难把大家给甩下船
[05:24] 所以这是第一个观察重点
[05:25] 市场情绪的回转
[05:27] 好那我们今天就从三个角度
[05:28] 从美国台湾和中国的通膨数据
[05:32] 来做进一步的追踪
[05:33] 来了解目前各大地区的通膨推演
[05:37] 它会如何影响到全球经济
[05:39] 在下半年全球央行所采取的态势
[05:41] 我们首先看的是美国通膨
[05:43] 美国在7月份的通膨数据
[05:45] 这一次算是符合市场预期
[05:48] CPI月增幅0.1%
[05:49] 年增幅3.4%
[05:51] 这比6月的3.5%算低
[05:53] 也是今年3月份以来的最低水准
[05:55] 核心CPI月增0.2%
[05:57] 年增幅也从2.6%下滑到2.5%
[06:00] 而且实际数字看起来
[06:02] 有持续走低的机会
[06:03] 因为核心通膨看起来有所松动
[06:05] 整体就是通膨并没有大幅的下坠
[06:08] 可是方向还是很明确的
[06:10] 就是今年当时伊朗战事的高点
[06:13] 就是高点了
[06:14] 价格压力是在慢慢的往下走
[06:16] 但是真正麻烦的事情是
[06:18] 这比较像是能源端的暂时降温
[06:21] 还不能够代表通膨风险已经完全解除
[06:24] 华许上一次的谈话还是比较鹰派的
[06:26] 真正麻烦的事情就是
[06:28] 因为伊朗战事没有结束
[06:29] 关税的后续效应又重新出现了
[06:32] AI的投资热炒
[06:34] 一定会导致在科技通膨的部分
[06:36] 持续受到沉压
[06:37] 这一次最大的降温
[06:39] 还是来自于能源
[06:40] 7月份的能源价格越减幅式
[06:43] 1.5%
[06:44] 其中汽油价格是下跌2.9%
[06:46] 延续6月份能源价格
[06:48] 大跌5.7%的趋势
[06:50] 这也是为什么CPI可以维持温和
[06:52] 就是因为油价的走皮
[06:53] 也就说明了
[06:55] 油价只要不走皮了
[06:56] 通膨就会卡在这样的一个区间
[06:58] 服务通膨的部分
[07:00] 商品通膨年增幅只有0.8%
[07:02] 所以现在几乎其实
[07:04] 虽然科技通膨很严重
[07:06] 可是终端产品
[07:07] 其实并没有想象中来的压力大
[07:09] 服务通膨大概也降到3%左右
[07:12] 这代表现在美国剩下比较黏的一些通膨
[07:16] 主要集中在房租医疗机票或者其他服务类别
[07:20] 那7月住房成本月增幅0.1%
[07:23] 年增幅3.2%
[07:24] 看起来还是CPI最大的推升来源
[07:27] 所以更为重要的是超级核心通膨
[07:30] 也就是先把住房排除之后的核心服务通膨
[07:34] 年增幅已经来到2.78
[07:36] 这也是2021年9月份以来的新低
[07:38] 所以其实现在的状态
[07:41] 你只要没有一两战士
[07:43] 我真的觉得现在已经处于降级格局
[07:46] 因为核心通膨
[07:47] 其实软化的速度算是蛮快的
[07:49] 照来讲
[07:49] 将货性最高的应该就是核心通膨了
[07:52] 可是连住房通膨的下行速度都这么快
[07:55] 那现在几乎就是完全靠能源通膨还撑着的
[07:58] 当然了不同项目还是有不同的分化
[08:00] 医疗价格还是上涨了
[08:02] 月增幅有0.4%
[08:04] 医院服务上涨0.5
[08:05] 机票价格单月大涨2.2
[08:07] 年增幅来到25%
[08:09] 那都是受到一些伊朗战士的后续效应
[08:12] 或者本身在缺工问题底下
[08:14] 被迫一些保险费
[08:15] 医院服务类
[08:17] 被迫一定要上涨
[08:18] 但是基本上这份数据公告出来
[08:21] 他已经压低了联准会
[08:23] 立即升息的必要性
[08:24] 原本大家还在讨论
[08:26] 9月份是否要升息
[08:27] 但我们过去提过
[08:28] 很有可能今年是无码
[08:31] 就零码了
[08:32] 没有升任何的息
[08:34] 这个可能性我是预期比较高
[08:36] 我本来预估今年会降息格局打开的
[08:38] 但是伊朗战士以后
[08:39] 破坏整条预期
[08:40] 那现在没关系
[08:41] 我还是有信心
[08:42] 9月份不升息10月也不要12月也不要今年就保持当前的利率水准让估值看能不能充分的有进一步的拉升空间这是给投资朋友做的第一层思维
[08:54] 谢谢投资朋友
[08:55] 生日快乐
[08:57] 谢谢
[08:57] 我看得出来我是狮子座
[09:00] 因为狮子座通常都是那种
[09:02] 那种很自大
[09:04] 信誉很强
[09:06] 我看得出来
[09:07] 谢谢
[09:09] 那许个愿望好了
[09:10] 第一个愿望就祝大家
[09:13] 我们财经号角的听友们
[09:16] 每天身体健康
[09:18] 开开心心
[09:19] 那第二个愿望就祝大家
[09:22] 天天暴富
[09:24] 发大财
[09:25] 第三个就留给我自己
[09:27] 就先不讲了
[09:28] 你讲出来都不会实现
[09:30] 不是啊
[09:31] 第三个愿望是
[09:32] 希望大家能够陪伴着我们财经号角
[09:35] 一路听到老
[09:36] 好不好
[09:36] 听到我们财经号角
[09:38] 听众
[09:39] 最后一个离世
[09:41] 我们都要继续讲下去
[09:43] 好不好
[09:43] 就让我们的观众
[09:44] 从你出生到离开这个世界
[09:47] 都能够每天听我们财经号叫
[09:49] 这是我们的目标
[09:50] 好不好
[09:50] 好给大家多些参考
[09:51] 感谢各位
[09:52] 感谢各位
[09:52] 好刚才聊到
[09:54] 说整个通膨数据的变化
[09:55] 它最后会影响到市场的利率预期
[09:58] 那现在看起来
[09:59] 已经打消一定程度的预期了
[10:01] 可是它的根本没结束
[10:03] 什么是根本
[10:04] 就是每一冲突到现在
[10:06] 还是没有显著的进展
[10:08] 虽然川普在几个小时之前还发了文
[10:10] 说美国目前已经是完全控制了
[10:13] 和睦之海峡
[10:14] 甚至直言我们已经拥有它
[10:16] 这概念跟实际情况好像有点落差
[10:19] 因为美伊双方的谈判
[10:21] 很明显现在是陷入僵局
[10:23] 卡达和巴基斯坦还在居中斡旋
[10:26] 阿曼和伊朗谈判部分
[10:28] 现在要恢复航运
[10:30] 伊朗又提出了一些新的额外条件
[10:32] 包括美国要结束战争
[10:34] 要冻结的资产遭到解封
[10:36] 那你要知道这条水道到目前为止
[10:39] 如果是从实质航运量来看
[10:41] 现在大概每天五艘
[10:43] 你说有没有游轮通过
[10:45] 当然有
[10:46] 每天五艘到六艘
[10:48] 所以从这样的一个角度来看的话
[10:50] 荷姆治海峡几乎还是实质停摆的情况
[10:53] 本周一到本周三
[10:55] 平均一天大概就六艘左右
[10:57] 战前一天是140艘
[10:59] 所以这并不算是能源市场的稳定
[11:02] 只是当时短期内
[11:03] 在六月到七月的解封
[11:05] 一次性让很多关在里面很久的水手们
[11:09] 终于可以出来
[11:10] 但是再也没有人进去过了
[11:12] 那当然了
[11:13] 你说荷姆兹海峡到底是不是一次性武器呢
[11:16] 伊朗可以这样子一路的拉下去吗
[11:19] 或者说一路的僵持下去吗
[11:21] 那其实我们可以看到到目前为止
[11:24] 其实在中东管线部分
[11:26] 真的已经开始有预估常态化的趋势
[11:28] 所以已经有非常多的管线
[11:30] 目前正在建制当中
[11:32] 从之前我们提到沙烏地阿拉伯的
[11:34] 东西向的管线
[11:35] 加强基础设施
[11:37] 来降低伊朗战争所带来的冲击
[11:39] 那另外一方面
[11:41] 我们看到在伊拉克
[11:42] 阿联酋附近
[11:43] 也开始增加陆地管线
[11:45] 那当然了
[11:46] 现在主要还是靠卡车来运
[11:48] 就是不走荷姆兹海峡
[11:50] 开车的方式
[11:52] 可以开海峡
[11:54] 然后再把原油给运送出去
[11:55] 可是一条每天可以输送
[11:58] 100万桶原油的大型管线
[12:00] 平均每公里的造价
[12:01] 也要500万美元
[12:02] 也就是1000公里就需要50亿
[12:04] 如果改用卡车或者铁路同样距离
[12:07] 成本也很高
[12:08] 所以更极端的情况就是
[12:10] 那也不代表建了路上管线
[12:13] 那就不会被飞弹给击中
[12:15] 那压力一样更大
[12:16] 所以如何缓解本轮的每一战事冲突
[12:19] 看起来在其中选举之前
[12:21] 也很难处理了
[12:22] 事实上我们要知道
[12:23] 美国肯定是不希望再引起
[12:25] 新一波的地缘政治紧张
[12:27] 所造成油价上涨了
[12:28] 美国这一次
[12:29] 因为我们知道乌克兰这几个月
[12:31] 是大举的攻击俄罗斯黑海的能源设施
[12:34] 以前都是专门袭击军用设施
[12:36] 现在也不冷了
[12:38] 有攻击货仓的
[12:40] 攻击俄罗斯的沃尔玛
[12:42] 有攻击俄罗斯的能源设施
[12:45] 美方这一次反而出手了
[12:47] 要求不要再炸油轮了
[12:49] 原因是什么
[12:49] 因为俄罗斯已经解封了
[12:51] 什么意思
[12:52] 就美国对于俄罗斯原油的制裁
[12:54] 其实今年中旬
[12:55] 因为美伊战事已经解封了
[12:57] 所以是需要靠俄罗斯的原油出口
[12:59] 来持续的压抑全球的原油价格
[13:02] 美国自己当然产原油
[13:03] 它不影响
[13:04] 可是原油期货价格
[13:05] 不能够一路的往上涨
[13:07] 这个是市场上现在压力最大的来源
[13:09] 美方当然不希望
[13:11] 引起进一步的地缘政治冲突
[13:13] 另外一方面
[13:14] 中国的我们讲茶壶炼油厂
[13:16] 最近也准备要回补了
[13:18] 你看之前
[13:19] 中国山东的独立炼油厂
[13:21] 因为在中东战事少买油
[13:23] 所以它反而让需求的疲惫
[13:26] 能够压抑住原油价格的上涨
[13:28] 可是这一波
[13:29] 库存已经吃了一阵子了
[13:31] 在上个月开始做回补了
[13:33] 中国之前
[13:34] 因为累积了13亿桶的
[13:36] 商业和战略原油储备
[13:37] 所以比美国还要来得高非常多
[13:39] 它可以慢慢耗
[13:40] 可是消耗了几个月以后
[13:42] 上个月已经很明显感受到
[13:44] 中国原油进口量
[13:45] 在原油价格下跌的过程当中
[13:47] 开始逐步做回补
[13:49] 如果开始回补
[13:50] 就代表着需求重新归来
[13:52] 中国可能会重新成为
[13:54] 全球油价的重要边际买家
[13:56] 这对于原油价格的提振效果
[13:58] 可能又会开始出现了
[14:00] 所以不管怎么说
[14:00] 这对于华许和川普来看
[14:03] 都是新一波的压力
[14:04] 华许上任之后
[14:05] 他是刻意减少利率路径的明确指引
[14:08] 所以大家只好猜
[14:09] 那你越猜就会猜得越离谱
[14:11] 然后就会猜得越极端
[14:12] 最后美国时间急攻再次利率
[14:14] 当时是一路收到4.7 4.8%
[14:17] 逼近三年来的新高
[14:19] 那现在这样的一个情境
[14:21] 华许也没有太多的表态
[14:23] 那可能市场上就要用极端的价格
[14:25] 来逼华许做适度表态
[14:28] 你说4.8你也不管
[14:29] 4.9那我升到5%呢
[14:31] 难道你也认为联准会会升到5%吗
[14:33] 所以用这样的一个角度
[14:35] 来逼华许展开谈话
[14:37] 我们就后续看一下他的态度
[14:38] 可是我们也清楚知道
[14:40] 像是联准会内部的官员
[14:43] 票委们
[14:43] 像波士顿联准银行的总裁克林斯
[14:46] 他就表示说
[14:47] 伊朗战事推升能源成本之后
[14:49] 联准会可能会被迫
[14:51] 打开升息通道来抵抗同盟
[14:54] 他的概念其实就意味着
[14:55] 华许虽然本人不愿意做表态
[14:57] 可是内部官员所试图的论调
[15:00] 会让在短期内资产价格过于暴涨的过程当中
[15:04] 市场上可能会有内部的票委们
[15:07] 尝试着用舆论
[15:09] 用前瞻指引的方式来压抑住目前的市场通膨情绪
[15:13] 因为最近30年期公债殖利率
[15:16] 其实还在往上走
[15:17] 这说明不管通膨数据好不好
[15:19] 看起来好像也不只反映通膨的问题
[15:21] 第一就是通膨虽然降稳
[15:23] 它的现在的点位还是比目标高很多
[15:26] 波动还是很大
[15:27] 第二就是华许
[15:29] 其实已经刻意减少市场的前瞻指引
[15:32] 所以让利率预期表现得更为极端
[15:35] 第三件事情
[15:36] 很明显那就是
[15:37] 美国债券市场的信用压力
[15:40] 因为现在是投资等级债的信用市场
[15:42] 状况也不是特别好
[15:43] CDS价格也在创高
[15:45] 它一路的让整个债券市场体系
[15:48] 遭受沉压
[15:49] 所以这是三大因素的持续交叠
[15:51] 我们就看一下华许最后怎么做了
[15:53] 因为过去华许
[15:54] 更像是货币政策里头
[15:56] 他比较重视央行纪律
[15:58] 通膨和联总会的公信力
[15:59] 但真正做到决策核心以后
[16:02] 你要知道
[16:02] 美国现在国债又突破40兆了
[16:04] 政府有庞大的融资需求
[16:06] 有债券殖利率的压力
[16:08] 有金融市场经济成长的压力
[16:10] 每一项都比教科书
[16:11] 还要来得更为复杂
[16:12] 所以重点不是
[16:13] 他以前说过多少鹰派的话
[16:15] 或者他被川普提名之后
[16:17] 变得多个
[16:17] 是当理想和金融现实碰撞的时候
[16:20] 他愿意为了维持经济和市场稳定
[16:22] 要退让多少
[16:23] 现在看起来就是
[16:24] 市场已经出招了
[16:25] 你不做前瞋预期
[16:27] 那我就把那个殖利率
[16:28] 推到很极端
[16:29] 即便通膨已经降温了
[16:30] 看花絮怎么接招
[16:31] 那川普也是同样的道理
[16:33] 他只是舞台
[16:34] 从货币政策
[16:35] 放大到整个美国
[16:36] 包括瓜瓜之前讲的
[16:38] 制造业回流
[16:39] 能源的霸权
[16:40] 但是最后变成了
[16:41] 原油价格大涨
[16:43] 通膨拉升的时候
[16:44] 直接口头叫乌克兰
[16:46] 不要再炸人家
[16:47] 炼油设施了
[16:48] 我们快撑不住了
[16:50] 所以政治人物
[16:51] 可以靠理想来动员选民
[16:53] 但最后要靠现实
[16:54] 来治理国家
[16:55] 华许跟川普相似的地方
[16:57] 就在于
[16:57] 当他们位置数字越高的时候
[16:59] 有时候原本的理念
[17:01] 信念
[17:01] 就要稍微放弃一下
[17:03] 嘴巴当然是一整套
[17:04] 宏大的理想
[17:05] 华许难道
[17:07] 公债殖利率到5%
[17:08] 他都还不发表谈话
[17:09] 不做前瞻之谊
[17:10] 不可能
[17:11] 嘴巴上是一套
[17:12] 宏大的理想
[17:13] 最后还是要回到
[17:15] 利益和现实
[17:16] 我看到人家讲的
[17:17] 小时候我们不是读三国
[17:19] 小时候最喜欢的就赵云
[17:21] 觉得一生是胆
[17:23] 才叫男人
[17:24] 学生时代觉得喜欢曹操
[17:27] 有野心才能够成大事
[17:29] 出社会之后特别喜欢司马懿才知道能够忍到最后的才是赢家活得长才是赢家现在长大了最喜欢的反而是貂蝉和大桥
[17:42] 长得真好看
[17:44] 所以人生他会随着自己的年纪偏好
[17:48] 从理想主义一路走向现实主义
[17:50] 川普从刚开始上任之后
[17:53] 他的关税战
[17:54] 他的制造业回流
[17:55] 他对于种种体系的改革
[17:58] 政府效率一步裁减
[18:00] 美国的财源
[18:01] 结果过了一年以后
[18:03] 美国的财政赤字创下历史性高了
[18:06] 美国对于台湾的逆差创下历史性高了
[18:09] 这就是不得已的现象
[18:11] 好 这美国的部分
[18:12] 再来我们聊一下台湾市场
[18:13] 台湾通膨是已经连续三个月突破警戒线了
[18:17] 油价和外食生产成本开始做显著提高
[18:20] 我们知道在前几年
[18:22] 因为台湾市场大概就跟整个大中华市场差不多了
[18:25] 这个通膨是仅次于中国的通俗了
[18:28] 但现在已经陆续超越香港
[18:30] 新加坡和日本
[18:31] 整体通膨水准已经来到2.59%
[18:34] 逼近欧元区和南韩的水准
[18:36] 那民生的压力也没有显著的改变
[18:38] 因为7月份外资费用
[18:39] 是真的涨得有点夸张
[18:40] 年增幅3.05%
[18:43] 重新突破3%
[18:44] 房租年增幅虽然降到1.73%
[18:47] 但是为止上涨
[18:48] 那生产者物价指数就很离谱了
[18:51] 生产者物价指数在7月份是16%
[18:53] 暴增
[18:54] 当然这个暴增
[18:55] 不代表民间体系的失控
[18:57] 因为台湾有很多记忆体要进口
[18:59] 记忆体涨得很夸张
[19:00] 我们记忆体进口以后
[19:02] 主要是出货赚钱
[19:04] 所以某种程度而言
[19:06] 生产者物价指数
[19:07] 是少数在台湾的通膨水准当中
[19:10] 形成严重失证
[19:11] 就怎么可能厂商的成本这么高
[19:13] 民间通膨
[19:14] 它现在才2.59%
[19:16] 不太可能
[19:17] 但根本原因还是来自于
[19:19] 主要是记忆体价格的上涨所推动的
[19:22] 当然这也代表着
[19:23] 台湾虽然在2.59%
[19:25] 可是内部压力其实很大
[19:26] 我们过去提过
[19:27] 其实应该要更高一点
[19:29] 因为台电其实吸收了相当多的通膨水准
[19:32] 2026年上半年台电已经亏损了257亿
[19:35] 原因是什么
[19:36] 就是进行全面性天然气价格和电价的补贴
[19:40] 按照台电的估算
[19:41] 电价今年至少要涨7.3%
[19:44] 才能够打平今年的亏损
[19:46] 不过现在至少可以确认
[19:48] 在11月以前应该是不太可能涨价的
[19:51] 应该至少要动涨
[19:52] 等到11月份以后再说
[19:54] 所以这代表着
[19:55] 11月份以后会不会有报复性通膨的出现
[19:57] 一旦台电开始松绑
[19:59] 目前补贴的态度
[20:00] 这个值得观察
[20:01] 另外一方面
[20:02] 台湾的薪资缺工压力的
[20:04] 人工通膨水准来得更大
[20:06] 我们到现在市场上
[20:08] 最大的通膨水准
[20:09] 对于定价来看
[20:10] 不一定是租金
[20:11] 以前大部分时候都是租金
[20:13] 是最大来源
[20:14] 现在人力成本已经慢慢的超越了
[20:17] 租金成本
[20:18] 甚至人力成本
[20:20] 它最大的问题是根本找不到人
[20:22] 还不是薪资涨的问题
[20:23] 真的找不到人
[20:24] 台湾实在是太缺工了
[20:26] 这一次我们看到
[20:27] 台湾的薪资成长加速以后
[20:29] 实质薪资已经创下了
[20:31] 六年来的最佳了
[20:32] 2025年调升经常性薪资的
[20:35] 厂商比例是34.8%
[20:37] 这个是本世纪新高
[20:39] 所以如果你居然这两年
[20:42] 没有加到薪
[20:43] 那要稍微检讨一下自己的老板
[20:45] 大多数时候是不好检讨了
[20:47] 但是这个时候
[20:49] 市场上这么缺工
[20:50] 稍微检讨一下
[20:51] 那是很正常的
[20:52] 尤其我们看到
[20:53] 最近足迹处最新所公布的台湾月薪
[20:56] 已经来到4.9万块
[20:57] 不过有超过七成人是领不到的
[21:00] 所以也必须承认
[21:01] 这个市场的贫富差距
[21:03] 还是比较极端的扩大
[21:04] 但至少缺工是真实的
[21:07] 现在台湾的每个月经常性薪资
[21:09] 是48,981块
[21:11] 年增幅是2.88%
[21:13] 那当然其中我们看到失之薪资
[21:16] 因为上半年物价是涨1.69
[21:18] 所以失之薪资
[21:19] 现在还有1.16%左右的成长
[21:21] 也是创下九年级的新高
[21:23] 这就给投资朋友做一些参考了
[21:25] 那当然这就说明了
[21:26] 台湾基本上通膨只有上行的压力
[21:29] 应该没有持续通俗或者向下的压力了
[21:32] 央行这一次在李建树会议的记录当中
[21:34] 也表达了有两位理事
[21:36] 是罕见的直接支持
[21:38] 马上立即需要升息
[21:40] 原因来自于核心物价
[21:42] 已经开始出现上行迹象
[21:43] 那当然内部还是很分歧
[21:45] 因为很多理事认为
[21:46] 台湾经济成长是因为AI的带动
[21:48] 可是其他产业其实蛮疲惫的
[21:51] 如果贸然升息
[21:52] 可能会加重传统产业
[21:54] 或者低所得家庭的负担
[21:56] 而且还有房地产市场的问题要顾
[21:58] 现在房市也并不是特别的好
[22:00] 贸然的升息也是有压力的
[22:01] 不过市场的投票已经看出端倪了
[22:05] 我们看最近台湾债券市场是明显的转弱
[22:08] 五年期公债殖利率
[22:10] 单日大涨1.82%
[22:12] 创下2008年以来的新高
[22:14] 十年期公债殖利率已经冲高到1.93%了
[22:16] 什么意思啊
[22:17] 台湾债券价格正在暴跌
[22:19] 那为什么暴跌呢
[22:20] 很明显
[22:21] 一方面当然是公债标售相对疲惫
[22:24] 另外一方面
[22:25] 就是来自于短期内
[22:27] 大家预估准备要升息了
[22:29] 大家正在投票对赌
[22:31] 杨金荣总裁
[22:32] 台湾的台湾GD
[22:33] Gold Dragon
[22:34] 杨金荣总裁先生
[22:35] 很有可能在下一次的
[22:37] 理监制会议当中
[22:39] 被迫要升息
[22:40] 因为通膨物价的预期实在太高了
[22:43] 那这很快的就会往下传导
[22:45] 第一个传导
[22:46] 当然是实业者金融业所受到的影响
[22:49] 金融业当然会因为利差的扩大
[22:50] 而有新一波的获利
[22:52] 可是对于一些金融投资者而言
[22:54] 利率成本的上升
[22:56] 压力就来得更大了
[22:57] 第一个当然是房地产市场
[22:58] 房地产市场其实已经疲惫一段时间了
[23:01] 那8月份开始
[23:02] 由于清安3.0已经正式上路
[23:05] 我们知道清安3.0
[23:07] 不能够把它当成财政刺激政策
[23:09] 为什么呢
[23:10] 原因很简单
[23:11] 它几乎所有政策都在限缩
[23:13] 以前贷款年限1.0 2.0
[23:15] 都是最长40年
[23:16] 这一次虽然还是最长40年
[23:18] 可是有八零法则
[23:20] 就是借款人的年龄
[23:22] 加上贷款的年数
[23:23] 必须要小于等于八十
[23:25] 所以如果我三十岁
[23:27] 那最多贷款五十吗
[23:29] 不是
[23:30] 基本上你还是要取决于
[23:32] 最高的年龄上限
[23:33] 你像我们小编十八岁
[23:35] 那他可以贷六十二年
[23:37] 不对
[23:37] 其实最多也就只贷四十年
[23:39] 所以你必须了解
[23:40] 基本上八零法则
[23:42] 一方面是把借款人的年龄
[23:44] 做适度的限缩
[23:46] 让你年龄太高
[23:47] 不能够借太多年
[23:48] 另外一方面
[23:49] 他也严格限制年龄上限
[23:51] 必须要在50岁以下
[23:53] 而且个人的年所得
[23:54] 必须要小于等于200万
[23:56] 所以不管是在所得
[23:58] 在年龄上
[23:59] 在年龄和贷款年数上
[24:01] 进行显著的限制
[24:03] 其他我们看到
[24:04] 甚至连房屋的总价都限制了
[24:06] 这个是一个极大压力
[24:08] 为什么
[24:08] 因为基本上
[24:09] 台北的总价上限是3500万
[24:12] 我们假设
[24:13] 3500万
[24:14] 假设你真的有生小孩的需求
[24:17] 在台北市三千五百万
[24:20] 你生一个还勉强
[24:21] 你想生两个为国家贡献
[24:23] 那就买不到了
[24:24] 就不能用清安了
[24:25] 所以这个政策就有可能会因此失去它的效果
[24:28] 那就要往婚姻宅的方向来做配置
[24:30] 所以某种角度来看
[24:32] 这一次的清安3.0
[24:33] 全部都是政策上的线索
[24:35] 根本就不算是刺激政策
[24:37] 再加上利率预级的升高
[24:39] 如果升息了
[24:40] 对于房地产市场
[24:41] 肯定又是新一轮的冲击
[24:43] 事实上我们知道
[24:44] 房地产市场
[24:45] 现在是一个新一轮的买方市场
[24:47] 因为六都上半年的交易量
[24:49] 已经创下了九年来的新低
[24:52] 甚至我们如果细看
[24:54] 一到六月份的建物移转动数
[24:56] 它大概是1999年以来的次低
[24:59] 所以在过去几年当中
[25:02] 我们看到房地产龙井
[25:03] 在疫情见到了高峰以后
[25:05] 目前仍然在持续收缩
[25:06] 价格跌幅虽然比较有限
[25:08] 可是还是可以看得出来
[25:09] 资金链并不是在房地产这一边
[25:12] 当然另外一方面
