[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 纳斯达克指数也不过跌1.4
[13:45] 所有人都开车了呢
[13:47] 那是不是一个潜在市场的爆发
[13:49] 所以记忆体产业最大的特色
[13:51] 当然就是供给调整速度
[13:52] 它会比需求来得慢
[13:54] 所以需求暴增时
[13:55] 就容易形成数年的供补应求
[13:57] 那按照目前各公司建厂的时程
[14:00] 大部分晶圆厂的开出产能
[14:02] 都是2031年到2032年
[14:04] 所以我们不能说
[14:05] 现在就是没有景气循环了
[14:08] 不会有供给需求再度失衡
[14:10] 或者说供给需求
[14:11] 再度达成平衡的可能性了
[14:14] 而是说
[14:14] 现在第一
[14:16] 我们脱离了PC和手机循环
[14:18] 第二
[14:18] 我们即将迎来新一轮的AI循环
[14:21] 但是在迎来之前
[14:22] 至少有四到五年的时间
[14:24] 现在呢
[14:25] 还是极度稀缺的
[14:26] 也就是说在那之前
[14:27] 即便市场知道未来会扩散
[14:29] 其实短期内的供给
[14:30] 还是很难跟上的
[14:31] AI资料中心还在持续建设
[14:33] HBM的需求还会持续攀升
[14:35] 所以我觉得现在
[14:35] 大家在讨论的过程当中
[14:37] 有时候跟网友做一些聊天
[14:40] 会发现
[14:40] 有时候我们把短期和长期
[14:42] 混在一起讨论
[14:43] 如果问我
[14:43] 记忆体是不是已经
[14:44] 永久脱离了循环
[14:46] 永远不会再有产能过剩的一天
[14:49] 我的答案是否定的
[14:50] 因为只要供给继续增加
[14:52] 价格终究还是会回到竞争
[14:54] 产业循环不会消失
[14:55] 可是如果问我说
[14:56] 未来五到六年
[14:57] 我们是不是处于一个
[14:58] 不同于过去库存循环的超级循环
[15:01] 答案就是肯定的
[15:02] 所以大概是用短期和长期的时间
[15:05] 来做理解
[15:05] 然后会发现至少在五年内
[15:07] 供给就是永远如此稀缺的
[15:09] 这是我的看法
[15:10] 所以虽然股价回调很大
[15:12] 可是从产业角度而言
[15:14] 它的基本面并没有因此而发生改变
[15:16] 我仍然把它想象成获利了结的麦芽
[15:19] 当然回过头说
[15:19] 那其他产业是不是也面临同样的情况呢
[15:23] 其实差不多啊
[15:24] 不管是逻辑晶片
[15:25] 承受制程
[15:26] PCB
[15:27] 大家其实都面对差不多的一个处境
[15:29] 除了比较偏向消费性电子以外
[15:31] 大部分龙头股啊
[15:33] 都是处于这种短期内的超级循环
[15:35] 你说一辈子晶片价格
[15:37] 台积电晶片价格
[15:38] 永远都只会上涨
[15:39] 一辈子都不会下跌
[15:40] 而且会以疯狂惊人的速度上涨
[15:42] 好像也不太合理
[15:43] 总有一天产能可能会跟得上
[15:45] 但是在跟上之前
[15:47] 还有好几年的超级循环时间
[15:50] 也就是我们讲的基建期
[15:51] 台积电在本周股价已经下跌5.6%
[15:55] 昨天ADR价格其实也跌破了季限
[15:57] 不过因为过往
[15:58] 你看今年三四月
[16:00] 然后去年的11月12月
[16:02] 好像每一次跌破季线
[16:03] 对于台积电就是一个重要的买点讯号
[16:06] 好但不管怎么说
[16:07] 至少现在跌破季线
[16:09] 市场又会开始紧张了
[16:10] 因为这一次跟三星一样
[16:12] 台积电公布了显著2026年的
[16:14] 营收和资本支出展望
[16:16] 但是股价下压反而相对沉重
[16:18] 这也反映出市场上对于台积电的要求
[16:21] 看起来也是越来越高了
[16:23] 或者现在任何的利多
[16:24] 都变成了获利了结的卖压
[16:26] 我们回过头看
[16:27] 现在第一波是第二季的获利成绩单
[16:30] 这是史上最好
[16:31] 毛利率是67.7%
[16:33] 营业利率60.3
[16:35] 双方创下利息新高
[16:36] 每股盈余27块
[16:38] 上半年累积的EPS是49.32块
[16:41] 今年100块不止是保底了
[16:44] 搞不好可以挑战110 120
[16:45] 那公司预估第三季美元
[16:48] 营收会来到446亿到458亿
[16:50] 中位数是452亿
[16:52] 季增幅12%
[16:53] 年增幅37%
[16:55] 在年底前毛利率会维持65到67%
[16:58] 那当然现在AI的需求
[17:00] 基本上一路看到29年到30年了
[17:03] 因为两奈米和先进封装
[17:05] 持续供补应求
[17:07] 这个缺货看起来不是明年后年的问题
[17:10] 真的是30年以后
[17:11] 这也说明了超级循环会维持到
[17:14] 三年到四年以上的时间
[17:17] 当然我们过去提过
[17:19] 台积电的先进制程布局
[17:20] 一直以来都是已经非常清楚了
[17:22] 从N2 A16 25年26年
[17:26] 个月5万片的铺入期到27年
[17:29] 我们预估就会上升到6.5万片
[17:31] 28年会维持到5.5万片
[17:33] 所以现在也不是试水问了
[17:35] 现在其实已经正式进入量产的主阶段了
[17:37] 那之所以大家对于毛利率预期没有这么的乐观
[17:40] 那很好理解嘛
[17:41] 因为台积电已经明显表态了
[17:43] 它的涨价槽不会像记忆体一样
[17:45] 那现在产能又几乎全满了
[17:47] 所以说实在的你也不能够给它无条件的EPS上线了那它的工厂就这么多他又没办法凭空生出这么多工厂你要让他的超预期只有涨价那他涨价
[17:58] 他又不愿意像记忆体这样子
[18:00] 随便乱涨价给客户压力
[18:02] 所以就循序渐进的涨
[18:03] 那毛利率可能就会维持相对稳定的状态
[18:06] 当然最重要的就是资本支出
[18:08] 资本支出就是大幅增加到600到640亿
[18:11] 未来三年还会来得更高
[18:13] 这说明台积电针对未来的投资需求
[18:16] 某种程度就奠定着
[18:18] 目前的供给稀缺压力会有多大
[18:20] 当然一方面
[18:21] 我们当然知道是美国的政治压力
[18:23] 可是其实我们也知道
[18:25] 即便如此
[18:26] 台湾厂区目前的建制量
[18:28] 仍然比美国本土还要来得多
[18:31] 其实如果从目前CAPEX的增长幅度来看
[18:35] 台积电虽然资本支出算是在增长
[18:39] 可是它增长速度
[18:40] 其实是比营收和获利成长速度来得慢的
[18:42] 所以它是属于高CAPEX
[18:44] 但是不失控的地步
[18:45] 你看它资本支出
[18:46] 21年到22年是冲高之后
[18:48] 然后23年24年做消化
[18:50] 然后再重新抬头
[18:51] 真正的结构性转折
[18:53] 是25年以后
[18:54] 突然间又开始
[18:55] 重新的全面上销
[18:56] 所以基本上过去它达成
[18:58] 对于三星和Intel的领先以后
[19:00] 其实就曾经放缓
[19:01] 资本之数的步调
[19:02] 主要就是因为
[19:03] 那现在已经没有对手了
[19:04] 没有急着研发的持续性压力
[19:07] 那先保持当前的市占
[19:09] 回馈一些股东
[19:11] 那当然现在随着AI的大爆发
[19:13] 全球都必须要开始疯狂的扩产
[19:15] 那在扩产的过程当中
[19:17] 我们只要确保
[19:18] 台湾本土扩产数量
[19:19] 还比美国来得多
[19:20] 市占率也不会发生重大的变化
[19:23] 当然美国本土的绝对产量
[19:24] 还是会因此而增加
[19:26] 很多人会担心
[19:27] 说可是那会不会
[19:29] 有后来追上的问题
[19:30] 日本政府最近又传出一个新闻
[19:32] 大家很担心
[19:33] 因为我们知道
[19:34] 辉达已经宣布要采购
[19:36] 2.75万颗Rubin晶片
[19:38] 应该讲说
[19:39] 日本政府要跟辉达买2.75万颗
[19:41] 打造自由的机器人AI模型
[19:44] 那新成立的公司也会负责来做运营
[19:47] 那我们也知道
[19:47] 最近也传出一条新闻
[19:49] 是路透社的报道
[19:52] 讲说日本的半导体国家队
[19:54] Rapidus目标在27年就准备要量产两奈米了
[19:58] 而且每片300万到350万日元
[20:01] 2.1万美元的晶片代工价格
[20:05] 这个价格比台积电还便宜
[20:07] 台积电两奈米至少要三万块起跳
[20:09] 它低了30%
[20:11] 希望能够以价格快速切入市场
[20:14] 公司预估今年年底就要提供两奈米的测试晶片
[20:17] 28年月产能就要提升到2.5万片
[20:20] 怎么莫名其妙
[20:21] 它的产能就突然就能够拉起来
[20:24] 而且价格还这么便宜呢
[20:26] 所以后续大家就要探讨这项新闻的真实性
[20:29] 因为即便它出如此的低价
[20:32] 照来讲应该也很难撼动台积电领导的
[20:34] 因为台积电产量太大了
[20:36] 占了全球73%的晶圆代工的市占率
[20:39] 也许只是新闻的误导或者放话而已
[20:42] 但这些讯息
[20:43] 的确有没有可能是让台积电拖动
[20:46] 或者拉动资本支出增快的速度呢
[20:49] 这是有可能的
[20:50] 台积电我们也不要把它想象成
[20:52] 说它已经是几十年几百年的霸主了
[20:55] 台积电在先进制程的节点领先
[20:57] 其实也差不多就是十年左右而已
[20:59] 15年以前
[21:01] 当时Intel在制程技术上
[21:02] 还是一直保持领先的
[21:04] 特别是22奈米和14奈米节点的表现优异
[21:07] 但是进入到10奈米节点之后
[21:09] Intel就遭遇了技术的瓶颈
[21:11] 开发延档
[21:12] 最后台积电顺势炒车
[21:14] 所以时间线差不多就是10年
[21:16] 15年以前
[21:17] 然后到18年
[21:18] 台积电率先量产7奈米
[21:21] 然后5奈米
[21:21] 3奈米
[21:22] 现在往2奈米
[21:23] 1.8奈米
[21:24] 英特尔的技术落后
[21:25] 大概就是10年前开始出现的
[21:27] 所以台积电其实全面拉开距离
[21:30] 也就10年的时间
[21:31] 那现在的重新加速
[21:33] 就是跟其他想要追上我的竞争者
[21:36] 再度拉开一次距离
[21:38] 其实行情波动很快
[21:41] 台积电这样子拉开
[21:42] 也不过才十年而已
[21:43] 十年生死两茫茫
[21:46] 那五年生死一茫茫
[21:48] 所以行情波动
[21:50] 三到四年一支库存循环
[21:51] 五年就一次
[21:53] 我们讲的实质换机潮
[21:55] 到十年
[21:56] 就是科技生产力的突破了
[21:58] 当然我们回过头说
[21:59] 很多投资人
[22:01] 他本来都会在
[22:01] 拆下一个季度的财报
[22:03] 下一次法书会
[22:04] 这一次其实没有
[22:05] 很特别的亮点
[22:06] 我觉得大概就资本支出调高了
[22:08] 回过头看
[22:09] 魏哲嘉过去的股东会
[22:12] 或者法售会
[22:13] 核心内容都没有太大改变
[22:14] 先进制程持续领先
[22:16] AI需求持续增加
[22:18] 资本支出持续扩张
[22:20] 毛利率维持在高档
[22:21] 竞争对手依旧追赶不上
[22:23] 每一次都是差不多的成长故事
[22:25] 而且数字每一次兑现
[22:27] 股价的反应也还好
[22:29] 都是在先前就先涨
[22:30] 但是有时候
[22:31] 不管是REPIT的事情
[22:33] 还是我们看到市场所释出的竞争态
[22:36] 有时候我们只听见
[22:37] 自己想听的那句话
[22:38] 就记得下结论
[22:39] 有些人觉得
[22:40] 哇
[22:40] Ripley的是两奈米
[22:42] 价格比台积电便宜30%
[22:44] 第一个反应就台积电危险了
[22:45] 那它的产能呢
[22:46] 它的产量呢
[22:47] 它的良率呢
[22:48] 你没有具体的数据来做佐证
[22:51] 判断往往就容易偏离事实
[22:53] 因为我们知道
[22:54] 真正决定高阶晶圆代工胜负的
[22:57] 它不是每片晶圆便宜多少
[22:58] 是良率是否稳定
[23:00] 能否准时交货
[23:01] 还有
[23:01] 那客户放心不放心
[23:03] 把数百亿美元的产品给你生产呢
[23:06] 这种信任感
[23:07] 没有几年的培养
[23:09] 是没办法在短短几个月
[23:11] 有所建立的
[23:12] 所以大多数人
[23:13] 只想要听见自己想听的内容
[23:15] 就急着下结论
[23:16] 那你最好不要有偏见
[23:18] 先看数据再说
[23:20] 记得有一集是
[23:22] 名侦探柯南吧
[23:24] 有一集小蓝回到家
[23:26] 那爸爸小五郎
[23:28] 刚好煮好饭
[23:30] 就跟小蓝说
[23:31] 小蓝叫柯南吃饭
[23:33] 柯南马上从二楼大喊
[23:35] 臭老头你才小懒觉
[23:37] 很多时候我们看到的冲突
[23:41] 它不是因为事实本身
[23:42] 只是因为我们听见自己想要听的内容
[23:45] 你就急着去做结论
[23:46] 常常看到一句话
[23:48] 一个标题
[23:48] 一个影片
[23:49] 就认定事情的全貌
[23:50] 或者开始批评
[23:52] 做出判断
[23:52] 那你没有停下来确认前因后果
[23:54] 那你确认前因后果
[23:56] 其实从数据来看
[23:57] 好像也没有什么发生太大的改变
[23:59] 其实我们有时候是做大量的数据
[24:02] 来跟你重申
[24:02] 没发生什么事情
[24:04] 不要过度的直接去下空头标
[24:07] 有时候我们会下空头标
[24:09] 那吸引你进来
[24:10] 不要因为人家的一句话
[24:13] 而对于市场有直接性的看法
[24:14] 要不然每天你都会再变
[24:15] 从这些数据你看得出来
[24:17] 经济事件的确每天都有了
[24:19] 可是经济的变化
[24:21] 它是非常稳定有规律的
[24:23] 并没有想象中每天就一场意外
[24:25] 这给大家多多一些参考
[24:27] 当然现在更大的问题来自于
[24:29] 我们其实对于下游端几乎不用担心
[24:32] 不管是记忆体的回调
[24:33] 逻辑晶片的回调
[24:35] 废办的回调
[24:35] 已经看出来了
[24:37] 全部都是固质回调
[24:38] 都不是泡沫扑面
[24:40] 任何现在的废办成分股
[24:42] 都是固质回调
[24:43] 包括SK海力士
[24:44] 包括台积电
[24:45] 这是我的看法
[24:46] 那只是过去涨得高
[24:48] 所以回调幅度稍微要有点大
[24:50] 现在真正的问题是什么
[24:51] 是上游短低
[24:52] 科技巨头的AI债券问题
[24:55] 市场如何做评价
[24:56] 那第二
[24:57] 那资料中心真的盖得下去吗
[24:59] 如果没有这么多资料中心的需求
[25:01] 会不会受到困扰呢
[25:02] 举例来说
[25:03] 昨天市场上
[25:04] 大家最为关注的就是纽约州
[25:05] 开了全美第一个先例
[25:07] 要暂停大型AI资料中心一年
[25:11] 这一次是纽约州州长侯可
[25:13] 签署行政命令
[25:14] 要求50兆瓦的大型资料中心
[25:18] 为期一年
[25:19] 成为美国第一个采取
[25:21] 全州禁制令的州
[25:22] 暂停期间
[25:23] 你不能够再有任何的资料中心
[25:25] 来提出申请
[25:26] 原因是什么
[25:27] 因为资料中心
[25:28] 对电网的负荷压力太大了
[25:30] 然后有土地开发的问题
[25:32] 有噪音污染的问题
[25:33] 有水资源消耗的问题
[25:35] 纽约州现在有133座资料中心
