[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼上涨46点
[02:50] 所以这一轮市场就很有意思了
[02:51] 我们看中东战胜的升温
[02:53] 油价占回100美元
[02:54] 理论上大家最害怕的是通膨
[02:56] 但市场反应却是相对冷静
[02:58] 市场的焦点看起来转变了
[03:00] 大家更担心的就是接下来央行怎么反应
[03:03] 当全球进入到超级央行之后
[03:06] 各国央行同时面临能源推高通膨
[03:09] 经济动能转弱
[03:10] 联准会和各国央行的一句话
[03:12] 本身就比油价更能够决定接下来资产的左右
[03:16] 所以明天的联准会
[03:18] 然后到央行里监视会议
[03:20] 我们后续就来跟投资朋友
[03:21] 做进一步的追踪
[03:22] 当然现在人数不太多
[03:24] 8点34分
[03:26] 大家都在看棒球
[03:27] 这一次是委内瑞拉先攻
[03:30] 毕竟前阵子是美国队先攻
[03:32] 很公平
[03:33] 1月美国先攻
[03:34] 3月委内瑞拉先攻
[03:37] 我们再随时跟大家做追踪
[03:39] 不过没关系
[03:40] 同步播放
[03:41] 今天就是我们把总统赎回的日子
[03:45] 关键时刻搞不好
[03:47] 马总统就会被绑在轮椅上推出来
[03:51] 跟那个赌神一样
[03:52] 我们后续再来跟投资朋友做一些追踪
[03:54] 没关系
[03:55] 大家就根据自己的内容
[03:57] 自己的需求
[03:57] 调节一下声音的大小
[04:00] 可以同步播放
[04:01] 好我们看一下
[04:02] 现在斩首行动的升级
[04:04] 以色列锁定伊朗的决策核心
[04:06] 昨天又采取了进一波的打击
[04:08] 这次以色列宣称
[04:09] 已经击杀伊朗最高安全官员
[04:12] 拉里贾尼
[04:13] 而且明确表示将持续针对伊朗高层
[04:15] 进行斩首式打击
[04:17] 那这一次的行动
[04:18] 当然就不只是军事层面
[04:19] 很明显他要进一步削弱
[04:22] 伊朗战时的决策中枢
[04:23] 很明显他希望伊朗体制
[04:25] 完全失令
[04:26] 完全瓦解
[04:27] 那这对于缓解当前波斯湾局势
[04:31] 看起来是有点难度的
[04:32] 毕竟我们都知道伊朗政权
[04:34] 现在看起来还是能够运作
[04:36] 风险在于核心人物持续被清除以后
[04:40] 决策的品质和效率
[04:41] 可能就逐步下滑
[04:42] 你找不出一个可以牵头相疏的人
[04:45] 没有人牵头相说
[04:47] 那要怎么投降
[04:48] 就算没有要投降
[04:49] 要和谈也要有一个人去和谈
[04:51] 不断的进行高阶官员的清剿
[04:54] 到底有没有利于接下来局势的和稳
[04:56] 这是第一个市场冲击
[04:58] 第二个是川普的确
[04:59] 现在越来越有一种单打独斗的现象
[05:02] 盟友们最近都陆续表态
[05:04] 尤其这一次
[05:05] 他希望跟传统盟友关系
[05:08] 所储存的这一种航运同盟
[05:11] 大部分德国法国日本南韩
[05:13] 大部分都不愿意介入军事行动
[05:16] 最多就是做防御性的一个配置而已
[05:18] 在这样效果底下
[05:19] 我们反而更为聚焦到
[05:21] 是内部的民意压力
[05:22] 何时会压住到川普
[05:24] 你说川普会理这些欧洲各国吗
[05:26] 其实也不是很重要
[05:27] 从头到尾就是美军主导
[05:29] 所以真正的问题在于
[05:31] 内部的民意压力
[05:32] 多快会反映到川普手中
[05:34] 第二是川普的幕僚压力
[05:36] 何时会反映到川普脑中
[05:38] 我们举例来说
[05:39] 在昨天美国国家反恐中心的主任
[05:42] 肯特因为反对伊朗战争
[05:45] 昨天请辞了
[05:46] 这个是所谓冲突爆发以来的
[05:49] 重量级官员退出
[05:50] 我们以前看纸牌屋
[05:52] 不是每一次有重大国安决策
[05:54] 如果跟总统有争执
[05:56] 那个反恐中心主任都会辞职
[05:58] 他在辞职信当中这次直言
[05:59] 他认为伊朗并没有对于美国
[06:01] 构成立即的威胁
[06:03] 这场战争既无实质利益
[06:05] 也不值得付出人命代价
[06:07] 甚至质疑美国是不是受到
[06:09] 外部的政治压力才卷入冲突
[06:11] 那很明显就是在暗指以色列
[06:13] 那这个举动
[06:14] 它很明显也不是单纯个人立场表态
[06:17] 它反映出
[06:18] 那很明显白宫内部
[06:19] 对于战争的正当性
[06:21] 有非常严重的分歧
[06:22] 那这场事件也马上爆发了政治争议
[06:24] 一方面川普政府持续强调
[06:26] 伊朗的威胁是真实存在的
[06:28] 另外一方面
[06:29] 部分共和党和民主党人士认为
[06:31] 这场战争已经越来越缺乏充分的证据支持
[06:34] 目前的成果
[06:35] 也许已经拿到之后
[06:38] 就可以陆续退下
[06:39] 但当战事延长成本上升
[06:41] 我们知道内部质疑的声音只会扩大
[06:43] 这个是我们看到反恐中心主任的谈话
[06:47] 那第二个呢
[06:48] 是之前我们提过的Devisex
[06:50] 这个他是科技派的代表
[06:53] 我们过去提过
[06:54] 不管是人工智慧政策
[06:55] 还是加密货币政策
[06:57] 基本上都是由他来进行川普内部重要顾问的主导
[07:01] 那他上礼拜在Olympic Park case
[07:03] 其实就有提到说
[07:04] 现在早就应该是结束战争冲突的重要时期
[07:08] 因为这是金融市场最希望看到的结果
[07:10] 那他也是川普内部内阁当中
[07:13] 首次公开释出对于战争不满的讯号
[07:16] 川普之前也表示
[07:18] 这个美国跟伊朗可以达到永远也没问题
[07:20] 我们都国力允许
[07:21] 但很明显
[07:22] 马卡内部阵营已经引起适度反弹
[07:25] 很多支持者希望
[07:26] 你赶快先聚焦内政问题
[07:28] 到时候我们搞不好连中期选举都丢掉了
[07:31] 未来你要采取更进一步的军事动作
[07:33] 可能也无法了
[07:34] 那SACS也强调说
[07:35] 如果冲突进一步升温
[07:37] 美国攻击伊朗的能源设施
[07:39] 伊朗长时间侵扰整个波斯湾的油气基础
[07:42] 会让整个海湾地区变得难以居住
[07:44] 我们过去美国在中东进行的
[07:47] AI主权战略布局
[07:48] 很有可能完全被打乱
[07:50] 谁还敢去中东投资呢
[07:52] 那中东针对美国的协议
[07:54] 和给予的这种采购量
[07:56] 是不是会因此而收缩
[07:58] 反而不利于美国利益优先
[07:59] 所以SEC是长期反对
[08:02] 美国介入海外战争的
[08:03] 当然他也反对
[08:05] 对于乌克兰战士的参与
[08:06] 比较一致
[08:07] 那他很明显是
[08:08] 白宫内部的科技派
[08:10] 跟马斯克
[08:11] 基本上是站在一起的在他的发言当中我们也看到现在不只是川普跟欧洲各国的分歧川普内部内阁的分歧民意的分歧也是如此
[08:22] 现在柴油价格已经突破了五美元
[08:25] 能源冲击开始逐步的涌现
[08:27] 每家人五美元等同于单月大涨了34%
[08:31] 这个就有点严重了
[08:32] 历史上最大涨幅
[08:34] 汽油价格是上涨25%
[08:35] 涨幅没有像柴油这么大
[08:37] 可是也快要逼近2022年的高点了
[08:40] 所以正常来讲
[08:41] 我们讲说三月份
[08:43] 现在还剩下12天
[08:44] 12天的时间
[08:46] 你让原油价格回去
[08:47] CPI统计出来
[08:49] 数字就不会太夸张
[08:50] 但是现在数字统计出来之后
[08:53] 很快的联总会就要被迫
[08:55] 针对2026年的当前数据
[08:57] 来进行积极对照
[08:59] 我们如果把2026年
[09:01] 现在的美加仑汽油价格
[09:03] 大概在接近5美元了
[09:04] 拿来跟2024年
[09:07] 拿来跟23年
[09:08] 22年
[09:08] 21年
[09:09] 但拿来跟25年来进行对比
[09:11] 大家会发现
[09:12] 现在真的就快要接近2022年了
[09:14] 已经超过过去三年的水准
[09:17] 这其实对于当前的联准会
[09:20] 会产生极大压力
[09:21] 至少的确在短期内
[09:22] 并没有进一步降协的空间
[09:24] 那川普这一次
[09:25] 当然也意识到这件事情的严重性
[09:27] 的确想要加速
[09:28] 针对整个伊朗局势
[09:30] 不管是政权的颠覆
[09:32] 还是加速谈判
[09:33] 川普这一次延后了川习会
[09:35] 当然了他表面上说
[09:36] 跟中国的军舰上
[09:38] 不愿意来进行护航
[09:41] 或者和平任务
[09:42] 没有太大的关系
[09:43] 不过我们也清楚知道
[09:44] 这个川普本身
[09:45] 延后川习会
[09:47] 一方面放大了美中之间
[09:50] 针对黄豆采购协议的变数
[09:52] 黄豆价格这边大跌
[09:53] 那另外一方面
[09:54] 其实也意味着
[09:55] 川普需要更多的时间
[09:56] 和更多的精力
[09:57] 先赶快把中东局势给平稳下来
[10:01] 事实上我们当前来观察
[10:03] 在新闻报道当中
[10:04] 提到伊朗的字眼
[10:06] 提到原油的字眼
[10:07] 频率都越来越高
[10:08] 可是呢提到通膨的字眼还没有完全的飙升
[10:11] 足以说明着的确我们在过去两周啊
[10:14] 很多人还是很相信伊朗和石油问题啊
[10:17] 它不至于引起停滞性通膨
[10:19] 不过呢这项数据目前开始缓步的走深
[10:22] 那这个时候就要看一下联准会以及央行的态度了
[10:25] 我们看本周是超级央行周啊
[10:27] 澳洲在昨天已经进入到升息哦
[10:29] 这蛮意外的哦
[10:31] 那足以说明着全球有些央行啊
[10:33] 在经济体质还可以接受的情况底下
[10:35] 直接进入到紧缩环节
[10:37] 那接下来呢
[10:38] 不管是我们看到美国和加拿大
[10:39] 看起来是会观望
[10:41] 但是降息时间点被迫开始延后
[10:43] 欧洲央行和英国央行的降息路径
[10:45] 目前看起来也逐步动摇
[10:47] 日本会维持低利率
[10:48] 不过呢
[10:49] 它应该是少数目前维持在升息央行的步调
[10:53] 那重点关键最后是台湾
[10:55] 台湾明天下午里监视会议
[10:56] 应该也不会升息
[10:58] 但重点在于针对房地产市场的监管
[11:01] 大家都特别关注了
[11:02] 我们过去提过
[11:03] 你像是联准会的部分
[11:04] 通膨再起的风险
[11:06] 跟经济放缓的风险
[11:07] 一直是2022年以来最大的疑虑
[11:09] 那伊朗暂时推升油价
[11:11] 就要看联准会这次
[11:12] 还把不把外部性攻击冲突
[11:14] 视为重要的决策依据
[11:16] 日本的部分刚才提到
[11:18] 现在属于政策转折期
[11:19] 殖利率局限采取正常化
[11:22] 日元的贬值和进口通膨压力
[11:24] 加上现在高速找苗
[11:26] 采取高强度的财政刺激
[11:27] 最近能源也进行高强度补贴
[11:30] 这件事情就意味着
[11:31] 日本国债规模一定会膨胀
[11:33] 照理来讲
[11:34] 它会引起殖利率进一步的上升
[11:37] 那日本央行是否有进一步抑制的力度
[11:40] 我们后续再来做更进一步的留意
[11:43] 那首先我们看的几个方向
[11:44] 第一个是当前高利率对于市场的冲击
[11:48] 它的涌现力度如何
[11:50] 如果我们细看
[11:51] 当前如果细看高利率对于美元的冲击
[11:55] 现在从二月份以来
[11:57] 美元指数是从当时的接近95块左右
[12:02] 一路到现在99块
[12:03] 不过这两天又稍微有点回跌
[12:05] 那美元到底现在是尝试的
[12:07] 要准备破底
[12:08] 还是打一个大底呢
[12:10] 这个特别值得留意
[12:11] 因为当前市场更集中在
[12:13] 联准会的利率决策上
[12:15] 那美元和美股重新出现
[12:17] 比较明显的反向关系
[12:18] 就是股市下跌时
[12:19] 资金回流美元
[12:20] 避嫌属性再次的发挥
[12:22] 这一波走势跟中东冲突就比较密切
[12:25] 美元上涨股市下跌
[12:26] 但是更深层原因
[12:28] 我相信还是来自于能源和通膨
[12:30] 油价上涨
[12:31] 当然一方面强化了
[12:32] 美国作为能源出口国的优势
[12:34] 支撑美元需求
[12:35] 另外一方面也推升通膨预期
[12:37] 所以进一步的去造成
[12:39] 美元有进一步的升息效果
[12:41] 那黄金的部分
[12:42] 很明显
[12:43] 也开始有这样的感觉了
[12:44] 就是黄金照来讲
[12:46] 在避险性质上
[12:47] 应该会有显著拉升的
[12:49] 可是这一波黄金并没有暴涨
[12:51] 说明市场对于战争的反应还好
[12:53] 反而由于战争对于通膨预期的升高
[12:57] 所以导致联准会被迫保持在高利率
[12:59] 黄金价格也被卡在高档了
[13:02] 他也没有暴跌
[13:03] 但他一直卡在5000美元
[13:04] 他也不太动
[13:05] 这足以说明市场的心理情绪很微妙
[13:07] 一方面觉得这件事情不会太严重
[13:10] 但是又觉得这件事情一定会影响到同盟
[13:13] 所以所有资产大家都有点降杠杆的部位
[13:16] 采取了一些避险
[13:17] 但是也不会避过头
[13:18] 在这样的一个效果底下
[13:20] 等同于川普政府希望在中期选举以前
[13:24] 所看到那种利率大幅下滑的条件就丧失了
[13:27] 那我们要知道
[13:27] 美国很多的经济内部需求
[13:29] 相对疲惫的一个根本原因
[13:31] 就来自于长期的高利率
[13:33] 所以我们就往下延伸
[13:34] 我们来聊一下各国的房地产市场
[13:36] 尤其是美国房市
[13:37] 在当前的高利率水准底下
[13:39] 为什么川普一定要降息
[13:41] 为什么他一定要把伊朗战事给解决
[13:43] 因为如果他无法解决这件事情
[13:45] 那接下来美国的内需消费提振
[13:48] 在中期选举之前
[13:49] 都不会有任何的好转
[13:50] 我们继续来看一下美国房市
[13:52] 2月份的存物代售
[13:54] 昨天公布月增幅1.8
[13:55] 感觉有点止跌
[13:56] 但还是在历史低档未接
[13:58] 年减幅也在持续
[14:00] 从区域来看
[14:01] 基本上大多数地区都还在下滑
[14:03] 问题核心在于
[14:05] 房贷利率虽然降到2022年以来的新低
[14:08] 理论上要刺激购物需求
[14:09] 但实际效果并不是特别明显
[14:11] 原因就在于不确定性压制
[14:13] 现在油价上升
[14:14] 搞不好利率预期会调高
[14:16] 通膨预期也调高
[14:17] 所以买方现在观望又偏重了
[14:20] 我怕这个接下来我准备要去看房
[14:23] 看到一半
[14:24] 结果房贷利率又往上跑了
[14:25] 那我还买什么房呢
[14:27] 所以美国的房市困境
[14:28] 一方面是供给不足
[14:29] 从疫情以后
[14:30] 美国因为有一段时间
[14:32] 在22年进入到高强度利率
[14:34] 所以很多建商不愿意盖房子了
[14:36] 高利率又维持在相对高位
[14:38] 所以到目前为止
[14:39] 金融危机以来的新屋的建设不足
[14:42] 导致房价和租金价格还在上涨
[14:45] 可是高利率又让买房的人减少
[14:48] 就变成量缩上涨了
[14:50] 所以在这样效果底下
[14:51] 市场就开始分化
[14:52] 一边是高端公寓的持续兴建
[14:54] 高收入族群
[14:56] 外来人口继续买入
[14:57] 但是低收入族群就完全跟不上
[14:59] 被挤出市场
[15:00] 被迫去租屋
[15:01] 或者去租那种很老很老的房子
[15:04] 那这种政策上压力就越来越大
[15:06] 所以呢
[15:07] 总结来说美国的房地产市场
[15:09] 现在也没有系统性风险的问题
[15:11] 可是对于川普是极为不利的
[15:13] 我们以美国成屋库存来看
[15:15] 这个库存月数
[15:16] 讲的是代售的数量
[15:18] 除以当月的已销售的数量
[15:21] 代表成屋库存平均去化的月度
[15:24] 那看起来
[15:25] 现在大概就在2.5到3个月左右
[15:28] 这个情况
[15:29] 比2022年恶化一点
[15:31] 可是相对于07年08年
[15:33] 要一年才能够卖得出一间房子
[15:36] 比较起来
[15:36] 现在两三个月也还好
[15:38] 重点是商营的贷款拖欠率
[15:41] 即便维持在高利率
[15:42] 但是现在住宅市场
[15:44] 企业房贷市场
[15:47] 还有信用卡市场表现都还可以
[15:49] 信用卡最近还甚至开始有点回跌
[15:51] 所以从这些角度来看
[15:53] 没有系统性风险的压力
[15:55] 但是也不至于
[15:56] 我们看到美国的经济好到什么程度
[15:59] 这个就是川普很希望能够改善的
[16:01] 高利率影响的另外一个因子
[16:03] 就是全美办公室的控制率
[16:05] 最近开始有点回跌
[16:07] 来到18.2%
[16:08] 但还是在历史位阶来看
[16:11] 有点偏高
[16:12] 那商办的控制率高
[16:13] 一方面当然是高利率
[16:14] 另外一方面
[16:15] 主要来自于后疫情时代
[16:17] 很多公司搬出了这些都会区
[16:20] 我们以西岸办公室来看
[16:21] 现在典型的高租金高控制率
[16:23] 你像旧新山和湾区的租金
[16:26] 现在空置率分别是24和23%每100间办公室就有24间空置蛮高的西雅图是全国最高的有27%洛杉矶大概在14.6%凤凰城大概在17%
[16:39] 所以从这些角度而言
[16:41] 都还是看得出来
[16:42] 高利率对于美国
[16:43] 不管是商业房地产
[16:45] 还是纯住宅房地产
[16:46] 所形成的压力
[16:47] 你要解放这个高利率
[16:48] 伊朗暂时就被迫要结束
[16:50] 再来我们看一下
[16:51] 是海外一些市场
[16:52] 对于大家很关注杜拜市场
[16:54] 很多人拿这项指数来问我
[16:56] 这个是杜拜的房市指数
[16:58] 这连跌12345678910
[17:00] 连跌11根
[17:02] 到昨天才稍微止跌
[17:03] 那很多人说杜拜房价是不是崩了
[17:06] 这个美伊冲突底下
[17:08] 中东资本市场出现了剧烈震荡
[17:10] 那是不是房价崩
[17:11] 其实它跌那么多
[17:12] 也不过跌到去年关税战的水准
[17:14] 第二这是房价指数
[17:16] 而并不是房价平均变化
[17:20] 它衡量的仍然是股票市场
[17:22] 资本市场的一种形象预期
[17:25] 在这样效果底下
[17:26] 你看一下看
[17:27] 这么大的跌幅
[17:28] 如果有一天
[17:29] 这个杜拜房价跌幅
[17:31] 并跌两层三层
[17:32] 会不会吸引你
[17:33] 那我都会有兴趣
[17:34] 所以其实真实房价
[17:35] 并没有大幅松动
[17:36] 主要是指数的预期
[17:37] 那真正影响到
[17:39] 长期海湾国家的房价
[17:41] 是否会持续下跌
[17:42] 当然就是它的中东
[17:44] 明亮之星的形象
[17:46] 是否会改变
[17:47] 我们举例来说
[17:48] 这一次受到最多
[17:49] 伊朗的无人机攻击的
[17:51] 其实在海湾国家当中
[17:53] 很明显就是阿联
[17:54] 那阿联呢
[17:55] 长期是凭借着低税率
[17:56] 以及庞大的主权基金
[17:58] 还有大量的私人资本
[17:59] 成功吸引到全球的央行
[18:01] 还有对冲基金
[18:02] 杜拜房价从19年以来
[18:04] 已经涨了接近有七成了
[18:05] 但是呢
[18:06] 这一场问题就在于至于
[18:08] 杜拜房价比纽约房价
[18:10] 比洛杉矶
[18:10] 比香港伦敦房价涨出多
[18:12] 还要来得更为亮丽
[18:13] 但是这一场冲突
[18:15] 让大家意识到
[18:16] 整个中东似乎
[18:17] 局势没有想象中来得和缓
[18:19] 我未来转机
[18:21] 还要选杜拜吗
[18:22] 你不要想说
[18:23] 我要不要去杜拜玩
[18:24] 我要不要去杜拜转机
[18:25] 都是一个很大的问题
[18:26] 投资我要不要在杜拜
[18:29] 我去做AI主权基础建设
[18:32] 我还要考虑中东吗
[18:33] 我们担心的是这件事情
[18:35] 对于整个中东长期趋势的影响
[18:37] 至于战争本身
[18:38] 对于房价的影响真的有很大吗
[18:40] 其实还好
[18:41] 它是短期冲突
[18:42] 真正是大家对于中东的想象
[18:45] 是不是改变了
[18:46] 过去这么多年所累积的金融中心的地位
[18:49] 全球转运站的地位
[18:51] 如果转变了
[18:52] 那个才是对于房价的真实冲击
[18:53] 房价的反应永远都是络一拍的
[18:56] 刚才我们看到的都是指数的变化
[18:58] 为什么这样讲
[18:58] 因为最近经济学人也做了一篇报道
[19:00] 在衡量乌克兰当前的房地产市场
[19:04] 并没有因为战争而全面崩溃
[19:06] 反而出现了相当奇特的变化
[19:08] 举例来说
[19:09] 很多买家确实会用非但风险来讨价还价
[19:12] 市场上仍然有人接手
[19:14] 可是总体而言
[19:15] 战争让房市变得高度扭曲
[19:17] 西部城市有大量人口迁入
[19:19] 现在房价跟租金在暴涨
[19:21] 你像利沃夫的房价
[19:23] 已经比战争初期高了六成
[19:25] 比首都基辅还高
[19:26] 那靠近前线的就更复杂了
[19:28] 正常来讲靠近前线要跌
[19:30] 可是因为军人的需求太强劲了
[19:33] 你前面几个前线的城市
[19:35] 每天都有无人机
[19:36] 很多房子垮了
[19:38] 所以租屋需求非常强烈
[19:39] 那租屋需求非常强烈
[19:41] 很多人房租快要超过
[19:43] 小公寓的价格了
[19:44] 很多军人干脆直接买一间房子
[19:46] 这就造成
[19:47] 逢低买盘也特别强硬
[19:49] 这就让我们重新省思
[19:50] 到底战争对于房价的影响
[19:53] 乌克兰打成这样子
[19:54] 房价都没跌
[19:55] 平均房价都还在涨
[19:56] 当然一方面也是反应通膨
[19:58] 但是另外一方面
[19:59] 似乎有意味着
[20:00] 各国的房市都不能用
[20:01] 单一政策来进行衡量
[20:03] 再来看一下首尔房价
[20:04] 首尔这一波打房
[20:06] 已经打得算凶了
[20:07] 我们看李在民在上个月
[20:09] 他宣布把自己的房子卖掉
[20:11] 而且低于市价
[20:12] 目标很明确
[20:13] 他告诉大家
[20:14] 房子是用来住的
[20:15] 不是用来炒的
[20:16] 他认为首尔的房价过热
[20:17] 是所有问题的源头
[20:19] 所以首尔房价收入比现在是8.7倍
[20:22] 他认为太高了
[20:23] 他推出了一系列的打草房政策
[20:25] 收紧房贷限制
[20:27] 购买新屋
[20:28] 你自己要住满两年
[20:29] 取消多屋族的出售
[20:30] 那个远远比台湾的打草房措施
[20:33] 还要严厉的多
[20:34] 他连自己房子都卖掉了
[20:36] 结果首尔房价现在还在涨
[20:39] 公寓价格去年一整年还涨了9%
[20:42] 去年房价台湾房价已经激进持平了
[20:45] 去年首尔房价还在涨
[20:46] 当然很明显
[20:48] 就是我们看到
[20:49] 全租房的租房杠杆游戏
[20:51] 停不下来
[20:52] 我们过去讲过
[20:54] 全租房的概念
[20:55] 一间房子一千万
[20:56] 房东只需要自备
[20:57] 三百万的投机款
[20:58] 七百万向银行贷款买下
[21:00] 接着用全租房制度
[21:02] 租给租客
[21:03] 拿到七百万的押金
[21:04] 再把原本的贷款
[21:05] 进行资金回收
[21:06] 甚至多出了很多现金流
[21:08] 那这七百万
[21:09] 再去当下一间的投机款
[21:10] 一套房两套房
[21:11] 一套房大概可以
[21:12] 杠杆出三套了
[21:13] 那李占明已经
[21:15] 打草房打那么凶了
[21:16] 这很明显
[21:16] 就是首尔的人口真的多到有点离谱
[21:19] 打炒房完全打不下来
[21:21] 这个就是另外一个因素
[21:22] 打炒房房价也不一定跌
[21:23] 打得比台湾重
[21:24] 房价都不一定松
[21:25] 最后就来聊台湾
[21:27] 台湾基本上没有受到太多高利率的影响
[21:30] 但是房价整体而言
[21:32] 它并没有在量缩的情况底下
[21:34] 跟着大幅下跌
[21:35] 我们以今年一二月份来做观察
[21:37] 现在房市的确是进入了买方时代
[21:40] 交易量持续收缩
[21:42] 但是主要还是集中在桃园台中高雄部分
[21:46] 台南台北和新北
[21:48] 在今年一二月份
[21:49] 之所以把一二月份
[21:50] 总和起来看
[21:51] 是因为刚好把过年效应给抵消
[21:53] 台北新北还甚至有点年增
[21:55] 可是我们也清楚知道
[21:57] 量还是缩的
[21:58] 七都全台二手市场的尾售比
[22:00] 全部都在缩缩
[22:02] 大概减幅有13.4%
[22:04] 那预售更不用讲了
[22:06] 资金退潮之后
[22:07] 现在只剩下双北
[22:08] 还表现可以
[22:09] 这个去年一整年的预售的登录数
[22:12] 年减幅大概是68%
[22:14] 压力很大
[22:15] 有时候去看一些预售展场
[22:18] 看到那个代销在洗车
[22:20] 你们服务这么好
[22:23] 还可以帮客人洗车
[22:24] 没有那是我的车
[22:26] 没什么事情做
[22:27] 洗洗车这样子
[22:28] 所以你可以了解出来
[22:29] 现在整个台湾房地产市场
[22:31] 在各国当中
[22:32] 已经是受到蛮大的一个
[22:33] 前置压力的房价持平
[22:35] 但是量能在说
[22:36] 329档期今年有没有
[22:38] 有啊
[22:39] 但是已经从旺季变成了淡季
[22:41] 我们看329档期
[22:43] 这一次六都加新竹
[22:44] 总销金额只有5510而已
[22:46] 年减幅有33%
[22:48] 这是2018年以来的最大跌幅
[22:50] 进场个案数
[22:51] 也少了接近有四分之一
[22:53] 所以三个九档期
[22:54] 是每年房市的风向球
[22:56] 这种总销金额
[22:58] 除了新竹县市以外
[22:59] 你大概可以了解到
[23:00] 建商今年是怎么看到
[23:01] 当然这是不是代表房价一定要跌
[23:03] 这其实慢慢说明着
[23:04] 从25年开始
[23:05] 我们迎来了一个新的房地产时代
[23:07] 就是过去
[23:08] 始造宅数不断的激增
[23:11] 从2021年
[23:12] 从10万到11万
[23:13] 到2025年进来到14万
[23:15] 就说明着
[23:16] 住进房子的人越来越多了
[23:18] 那买到房子的人越来越多了
[23:19] 但是建造宅数
[23:21] 从原本2021年的17万18万
[23:23] 到14万到13万
[23:25] 今年看起来就越来越低了
[23:26] 这也就说明着
[23:27] 房地产市场的供给
[23:29] 正在反映着
[23:31] 房地产政策开始收缩
[23:32] 这说明
[23:33] 因为房价它最后取决
[23:35] 是需求和供给的交接点
[23:37] 那我感觉到需求
[23:39] 感觉没有特别好了
[23:40] 我就减少供给了
[23:41] 房价就藉由这样的一个方式
[23:42] 稳在这样的一个区间
[23:44] 所以就变成正常来讲
[23:45] 就是需求越来越少
[23:47] 供给持续稳定增加
[23:48] 房价就得崩
[23:49] 建商看起来就搞的这一招
[23:52] 那我把供给给减少
[23:54] 建造宅数真的开始往下掉了
[23:57] 有没有利于房价的稳定
[23:58] 我们后续做一些观察
[24:00] 因为去年预售
[24:00] 虽然表现没有特别好
[24:03] 量缩
[24:04] 可是还是有一些向涨的
[24:05] 台北市还是涨了1.9%
[24:07] 新北市涨了14.5%
[24:09] 桃园8.6%
[24:09] 台中12%
[24:11] 台南14%
[24:12] 高雄8%
[24:12] 那真的就是自助需求了
[24:14] 所以如果我们细看
[24:15] 台湾房地产我们过去讲过
[24:17] 因为没有真正的空方
[24:18] 房地产市场
[24:20] 不像之前东南亚市场
[24:21] 还有股票起火
[24:22] 台湾的房地产是不能放空的
[24:24] 所以大部分的房地产空方
[24:26] 都是希望找一个甜蜜价
[24:29] 或者好买一点
[24:30] 抄底上车
[24:31] 那它反而由于这种状态
