[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 支持下去的鼓励
[03:38] 那再让下我几下
[03:39] 你说在波斯湾里头的国家
[03:42] 像卡达压力很大
[03:43] 那真的没办法
[03:44] 但像杜拜阿联的部分
[03:46] 就开始新建新港口了
[03:48] 让货物可以直接从阿曼湾来做进出
[03:50] 不必再经过荷姆治海峡
[03:52] 那全球的能源调整也是如此啊
[03:55] 你看台湾
[03:55] 现在美国已经成为台湾最大的
[03:58] 害气的进口国
[04:00] 我们美国是台湾最大的石油的进口国
[04:04] 瞬间一场战争啊
[04:05] 所有的亚洲国家
[04:07] 现在都跟美国叫货了
[04:08] 那为什么以前不叫货呢
[04:10] 有点贵嘛
[04:11] 那要不然太平洋也没有加盖值
[04:13] 照理来讲
[04:14] 其实跟美国买也没有什么不好
[04:16] 但是呢
[04:16] 就由于这场中东的地缘政治危机啊
[04:19] 对于美国的一些业佣商
[04:21] 天然气商来看啊
[04:22] 反而形成了最大赢家
[04:24] 那当然回过头说
[04:26] 现在市场上更为关注的是
[04:28] 原油价格只要不创高
[04:29] 那通膨是否能够如我们过去所预期的
[04:32] 随着前阵子的原油价格的下跌
[04:35] 一步一步的达到通膨目标
[04:37] 让升息之路能够预期消失
[04:40] 那升息也不要说一定转降息
[04:42] 今年如果不升息
[04:44] 那对于货币政策就有一个显著的
[04:46] 宽松的提升效果了
[04:48] 毕竟大家原本是预期会紧缩的
[04:50] 我们从6月份最新的
[04:52] 美国消费者物价指数CPI
[04:54] 目前年增幅已经降到3.5%
[04:57] 这比5月份的4.2%就低蛮多的
[05:00] 原本市场预估还有3.8%
[05:02] 单月的物价更是下跌0.4%
[05:05] 创下2020年4月份
[05:07] 疫情爆发以来的最大降幅
[05:08] 那降幅这么大
[05:09] 主要原因还是来自于
[05:11] 汽油价格指数大跌了9.7%
[05:13] 那排除食品和能源的核心通膨
[05:16] 也从2.9%降到2.6%了
[05:18] 所以基本上是全面性的价格回落
[05:21] 现在就连二手车服饰商品价格也在下滑
[05:25] 数据公布之后
[05:26] 我们看到市场就下修了连准会短期的升息预期
[05:30] 原本是预估10月会升息一码
[05:33] 现在已经延到12月了
[05:35] 按照这个趋势
[05:36] 我认为原油价格只要不再走高
[05:38] 基本上有可能今年就真的会如我们预期
[05:41] 符合原本的想象
[05:44] 五码达成
[05:45] 我最喜欢五码了
[05:46] 大家知道
[05:47] 不升息不降息
[05:49] 它反而是一种中性状态
[05:50] 降息你又怕经济不好
[05:52] 升息你又怕对于利率产生抑制效果
[05:55] 那当然是无码
[05:57] 不升不降
[05:58] 一码也不升
[05:58] 一码也不降
[05:59] 这种情况
[06:00] 那就让AI自由发挥自己的基本面多好
[06:03] 所以美国两年其功在职利率
[06:06] 在昨天也下滑到4.15%
[06:08] 美元指数也下跌0.5%
[06:10] 所以在这样效果下
[06:11] 等同于市场上
[06:13] 对于货币政策面
[06:14] 开始有了乐观的信心
[06:15] 当然回过头说
[06:17] 华许现在正在国会作证
[06:19] 今天还会再作证一次
[06:20] 基本上他也重申
[06:22] 联准会不会容许高通盟的长期存在
[06:24] 态度很明显
[06:26] 趁现在市场也没有极度恐慌
[06:28] 我当然要重振一下我的雄风
[06:31] 重振一下我的权威
[06:33] 不要让大家觉得我是川普派的人
[06:35] 有没有发现
[06:36] 现在就算华许不断的去释放一些
[06:39] 自己比较鹰派
[06:40] 自己绝对独立的谈话
[06:41] 川普都不呛他的
[06:43] 那他讲的话
[06:44] 其实跟鲍尔也没有很具体
[06:46] 多大的区别
[06:48] 我认为华许跟鲍尔
[06:49] 整体货币政策风格
[06:51] 没有太大的区别
[06:52] 只是说他比较多改革而已
[06:53] 可是川普都不骂他的
[06:55] 那其实他做的事
[06:56] 跟鲍尔一模一样
[06:57] 我们看这一次华许特别提到说
[06:59] 不会允许高通膨长期存在
[07:02] 承诺会把物价推到稳定的水准
[07:05] 他也表示
[07:06] 过去五年美国经历高通膨的冲击
[07:09] 如果货币政策质疑
[07:11] 或者说执行当中
[07:13] 可能会形成一些难关
[07:14] 它会尽可能的
[07:16] 让大家符合预期式的达标
[07:18] 也就是
[07:19] 我们虽然不是说
[07:20] 一定要达到2%
[07:21] 可是如果你们认为
[07:22] 每个月0.1%的速度下行
[07:25] 如果大家可以接受
[07:26] 那我们也会往市场共识面
[07:28] 来做推升
[07:29] 华许认为目前
[07:30] 美国劳动力市场是相当稳健
[07:32] 企业的财源有限
[07:33] 薪资还在成长
[07:35] 加上劳动生产力的提升
[07:37] 有助于支撑经济成长
[07:39] 如果未来AI生产力又大爆发
[07:41] 更有机会能够降低
[07:43] 通膨的压力
[07:43] 所以华举比较特别的事情是
[07:46] 他其实是特别在关注
[07:47] 人工智慧AI的发展
[07:48] 这联准会主席特别关注AI
[07:50] 为什么
[07:51] 因为他相信
[07:52] 如果AI最终能够形成
[07:54] 生产力提升和经济效益
[07:56] 那我们针对整个货币政策的构想
[07:59] 就要全然改变
[08:00] 如果真的AI大爆发
[08:01] 你的物价稍微涨一点点
[08:03] 那有什么关系呢
[08:04] 只要你的薪资涨赢你的物价
[08:07] 就OK了
[08:08] 这是一个很实质薪资的角度
[08:11] 来做观察
[08:12] 当然我们回过头说
[08:14] 其实现在走到这个地步
[08:16] 川普的政策上的摇摆
[08:18] 或者说所有的政策的轮廓越来越有针对其中选举的施加压力就是能够获得成果的就尽量获得成果那不能获得成果的口头上形成成果
[08:29] 比如说
[08:30] 虽然我们知道
[08:32] 这一次20%的通路费
[08:34] 他没有收到
[08:36] 可是他也某种程度
[08:37] 促使中东国家
[08:39] 势必要在未来几周
[08:40] 释放针对美国加大投资的步调
[08:42] 美国关税战也是如此
[08:44] 我们知道现在
[08:45] 关税战几乎已经没什么在打了
[08:48] 也没有更多讯息传出来了
[08:49] 美国五月份的贸易逆差
[08:51] 甚至扩大到42%
[08:53] 大增
[08:54] 这是2025年3月份以来的新高
[08:56] 就算是关税战以来的新高
[08:58] 这说明什么事情
[08:59] 关税战打了老半天
[09:01] 结果美国的贸易赤字
[09:02] 又开始逐步的走高了
[09:04] 贸易战打了老半天
[09:06] 一直说要把台湾
[09:07] 对于美国的贸易顺差给压下去
[09:09] 结果台湾对美国的贸易顺差
[09:11] 又创高了
[09:12] 事实上我们知道
[09:13] 川普关税政策
[09:14] 现在在被最高法院推翻以后
[09:17] IEPA的退回
[09:18] 导致现在在美国有数万家的公司
[09:21] 正在陆续申请关税退回
[09:23] 按照美国政府的出国
[09:24] 大概是1600亿美元的关税
[09:27] 要陆续退回给代理商
[09:29] 他不会直接退回给国外的厂商
[09:31] 但是这些进口商必须要予以退回
[09:33] 现实也比较复杂
[09:35] 因为企业要走自己的流程
[09:37] 第一种就是提告争取退款
[09:39] 时间长成本高
[09:41] 第二个现在是准备要把索赔权
[09:43] 卖给华尔街
[09:44] 用折价来换取现金
[09:46] 把不确定性给转嫁出去
[09:48] 我把我这个产品先卖给华尔街
[09:51] 你以后自己跟美国政府要钱吧
[09:53] 你先赶快把现金给我
[09:54] 那第三种是现在还普遍的做法
[09:56] 那就是登记政府系统
[09:58] 现在川普政府是允许你去登记的
[10:00] 以后如果要退款
[10:01] 再慢慢退还给你
[10:02] 当然川普政府
[10:04] 现在你要说要在他任期内退回
[10:07] 有点难多
[10:08] 可是下一任政府
[10:09] 也许就会有退回的可能性
[10:10] 那先申请再说
[10:13] 这个是目前的做法
[10:14] 当然我们回过头说
[10:16] 真正本场贸易战打老半天
[10:18] 川普的要求真的有达到吗
[10:20] 其实如果硬要讲说
[10:22] 从投资来看
[10:23] 他也算是半达到了
[10:24] 可是从我们讲的供需逻辑
[10:26] 或者在贸易链地位
[10:28] 全球供应链并没有完全的脱钩
[10:30] 在全球四个经济体当中
[10:33] 多数国家对于美国
[10:34] 现在还是有持续性的贸易顺差走高
[10:36] 但是他是对中国出现逆差了
[10:39] 这就比较明显是供应链的转移
[10:41] 如果是以台湾和瑞士来看
[10:43] 他是少数能够对美国和中国
[10:45] 维持顺差的经济体
[10:47] 分别仰赖半导体和医疗等高附加价值
[10:50] 等于是全球的产品
[10:52] 绕了一圈
[10:53] 其实中国的顺差也创高了
[10:55] 那中国就卖给非美国系统
[10:57] 非美国系统把中间材料整理以后
[10:59] 就进美国
[11:00] 所以就变成了
[11:01] 供应链并没有全面的脱钩
[11:03] 可是美国要到了什么
[11:04] 第一投资者的走高
[11:07] 第二自我的国防供应链
[11:09] 但第三肯定买的物品商品
[11:11] 稍微来得更贵一点
[11:13] 所以苹果这一次才宣布
[11:15] 又砸了300亿美元来采购博通的晶片
[11:18] 加速打造美国半导体
[11:20] 也获得最近川普的认可
[11:22] 这是过去川普宣扬说
[11:24] 苹果要在美国投资6000亿美元的
[11:27] 其中一个大计划
[11:28] 这是算是最大规模的单一采购案
[11:32] 所以我们才讲说
[11:33] 川普虽然才刚撤回前一天
[11:36] 所提出荷姆兹海峡20%的通行补偿费
[11:39] 现在改成是波斯湾国家对美国的投资
[11:42] 但他本来的谈判条件
[11:44] 或者手段就是这样子
[11:45] 先控制议题
[11:47] 再谈条件
[11:48] Control the narrative before the deal
[11:49] 就胜利来自于消耗对手
[11:52] 让你觉得你下到之后
[11:53] 你可能就让步了
[11:54] 我们过去讲过
[11:55] 交易的艺术那本书当中
[11:57] 川普的模式
[11:58] 基本上就是先开出一个
[11:59] 接近不可能接受的天价条件
[12:02] 然后再一步一步的退让
[12:03] 最后让对方
[12:04] 接受原本根本不会答应的条件
[12:07] 一开始抛出的极端要求
[12:08] 不一定是最终目标
[12:09] 他只是把谈判起点给拉高
[12:12] 也许关税战本场最终的目的
[12:14] 根本不是关税
[12:15] 根本就不是贸易逆差
[12:17] 其实就是希望美国投资人能够走高而已
[12:20] 再这样吓我几下
[12:21] 你看我要克尼50%关税
[12:23] 不行了
[12:24] 好了
[12:24] 那你20%好不好
[12:26] 加上来美国投资
[12:27] 我要格林兰
[12:28] 不行了
[12:29] 我们还有主权
[12:30] 要不然我派更多军队去保护你
[12:32] 我要撤军了
[12:33] 我要撤出北约了
[12:34] 要不然我们欧洲增加北约的军费
[12:37] 那我考虑一下
[12:38] 先退后拉
[12:40] 先开高
[12:41] 然后后收割
[12:42] 这是川普交易的预述
[12:44] 把原本不可能接受的条件
[12:46] 透过更夸张的第一口价
[12:48] 最后变成大家都能够接受的结果
[12:51] 他也算是有点成果的
[12:52] 女的请你诚实告诉我
[12:55] 你到底有几公分
[12:57] 30公分吧
[12:59] 赶快跟我回家
[13:00] 结果一到家
[13:01] 怎么才3公分
[13:02] 我已经诚实了
[13:04] 所以先开天价
[13:07] 你再慢慢退让
[13:08] 最后让对方接受
[13:09] 原本不可能接受的条件
[13:11] 这是川普做的事情
[13:12] 当然我们往下看
[13:14] 其实在未来一段时间
[13:16] 川普会持续性的释放这种收割性的成果
[13:19] 提醒大家
[13:20] 我们已经做到一定程度的要求了
[13:22] 不管是针对整个美伊战事
[13:24] 美国其实已经胜利了
[13:25] 那可能会有常态化的纷争
[13:27] 那是因为伊朗不愿意放弃核武器
[13:29] 不过你放心
[13:29] 波斯湾国家决定要投资我们了
[13:31] 而且我们已经把亚洲订单全部给抢到了
[13:34] 那另外一方面
[13:35] 在对内政部分
[13:36] 川普其实近期释放的任调也越来越多
[13:39] 只是大家都关注在股市而已
[13:41] 我们继续来说
[13:42] 基本上川普仍然在进行联邦政府的持续受审
[13:45] 川普已经18个月的执政
[13:47] 你看美国国务院的部分
[13:49] 已经有超过3000名员工离职或者遭到裁册
[13:53] 虽然以前我们看到马斯克的政府效率部斗举
[13:56] 现在好像已经没有传出更多好消息了
[13:59] 不过从今年6月底来看
[14:01] 全美有超过一半的大使已经是悬缺情况
[14:05] 那按照白宫的说法
[14:07] 那是因为本来就不需要这么多人
[14:09] 干嘛花那么多钱呢
[14:10] 目前在已经提名的101位大使当中
[14:14] 也仅仅只有9人是职业外交官
[14:16] 所以川普政府其实已经打破了60多年来
[14:19] 大多数的大使是由资深外交官出任的惯例
[14:23] 在这样的效果下
[14:24] 我们看美国国务院的人力变化
[14:26] 就开始持续性的紧缩
[14:28] 这个国务院的卢比欧
[14:30] 他是真的非常认真在缩减内部的员工的
[14:34] 即便当时跟马斯克有点争议
[14:36] 川普第一任任期就已经开始缩减外交体系人员了
[14:39] 幅度相对有限
[14:40] 但是我们看到
[14:41] 在拜登执政后
[14:43] 因为是连续四年扩编
[14:44] 每年增加300到700人
[14:47] 结果川普一上任以后
[14:48] 第一年就才了2800人
[14:50] 这是过去十年最大减幅
[14:52] 今年居然还在精简
[14:54] 这说明着
[14:55] 目前联邦政府还在持续性的瘦身
[14:58] 事实上我们看到
[14:59] 在初领申请失业救济金人数
[15:01] 联邦部门也在缓步的拉高
[15:03] 美国驻外大使
[15:04] 我们过去提过
[15:05] 通常都是外交官或者政治任命
[15:08] 现在仅仅只有9%
[15:10] 跟过去几任的总统比较起来
[15:12] 你也发现出来
[15:13] 很多的外交政策
[15:15] 现在看起来是要更为直接的
[15:16] 反映白宫的施政方向
[15:18] 这叫一举两得
[15:19] 川普一方面希望
[15:21] 所有的外交官都是自己的亲信
[15:23] 直接表达看法
[15:25] 来促使谈判的加成
[15:26] 另外一方面
[15:27] 能够省钱就省一点
[15:29] 其他方面
[15:30] 川普也在各地塑造自己的个人权威
[15:33] 首先是从本月份开始
[15:35] 美国的佛罗里达州立机场
[15:37] 正式改名叫做川普机场
[15:39] 怎么好像台湾以前也是这样子
[15:41] 中正国际机场
[15:43] 成为美国第一座
[15:44] 以现任总统命名的机场
[15:46] 其实美国之前也是有机场
[15:48] 以总统命名
[15:50] 通常都是卸任
[15:51] 人家为了要纪念他
[15:52] 这一次的更名费用
[15:55] 预估是550万美元
[15:57] 折合台币是1.8亿
[15:58] 主要就是因为川普的私人飞机
[16:01] 川普一号
[16:02] 经常要抵达佛罗里达机场
[16:05] 要去他的海湖庄园
[16:06] 所以现在就干脆把
[16:08] 佛州的机场就直接改名叫川普机场
[16:10] 这样子看得比较顺眼
[16:11] 这是主要原因
[16:12] 那川普呢
[16:13] 其实在很多地方都开始有自己的名字
[16:16] 比如说川普在机场旁边的道路
[16:19] 已经改名叫做川普总统大道
[16:21] 那当然值得注意的事情是
[16:23] 川普机下有管理智慧财产权的公司
[16:25] 现在也在申请大量的新机场的名称
[16:29] 以及商标
[16:30] 这跟台湾的那个中山路
[16:31] 中正路
[16:32] 中正国际机场
[16:34] 有异曲同工之妙
[16:35] 那另外一方面
[16:36] 过去我们提到说
[16:38] 川普因为在最高法院
[16:39] 判定当时以行政命令
[16:41] 终结出生公民权无效之后
[16:43] 现在川普白宫政府打的主要是孕妇能否顺利入境川普预估会采取更为严格的行政措施比如说孕妇能够成功入境那等同于每个人都可以取得美国国籍
[16:55] 现在已经确认出生公民权就存在了嘛
[16:57] 不管怎么样 只要在美国出生就一定会有美国国籍
[17:00] 最高法院已经认证了
[17:01] 那现在的问题来自于
[17:02] 那如果我对不对
[17:04] 这个不管是非法还是合法的
[17:06] 或者孕妇顺利入境这件事情
[17:09] 是否要采取更为严格的规定
[17:11] 那另外一方面
[17:12] 我们也知道最高法院
[17:13] 目前的意识形态分歧是持续的加大
[17:15] 法官之间的冲突也越来越频繁
[17:18] 本届任期有20%的操作
[17:20] 都是以保守派对自由派
[17:22] 6比3的票数来裁决
[17:24] 高于过去五个任期
[17:25] 平均11%的水准
[17:27] 说明什么事情
[17:28] 现在最高法院
[17:29] 你也经常看到大法官
[17:30] 在重大议题层面
[17:32] 在判决书当中公开互相批评
[17:35] 双方的交织和冲突来得越来越高
[17:38] 但是即便如此
[17:39] 在重要的议题层面
[17:41] 这个保守派也不全然认同川普的行政命令
[17:44] 这个政治的立场那是一回事
[17:47] 可是有没有符合保守派的立场
[17:49] 那就是一回事
[17:50] 你像IEPA就是如此
[17:51] 从保守派的角度来做解释
[17:53] 当然不能够乱扩充对于法律的解释力
[17:57] 那川普就是扩充了
[17:58] 所以被判定为违法了
[18:01] 当然为了赶走非法移民
[18:02] 川普也正在截断非法移民的金融账户
[18:05] 最新在本月份所签署的行政命令
[18:08] 已经要求财政部加强监控非法移民
[18:11] 在美国金融体系的活动
[18:12] 包括房贷车贷信用卡银行账户
[18:15] 借由这些金流的阻断
[18:17] 来确保你被迫一定要离开美国
[18:20] 否则你在美国你也刷不了卡
[18:23] 你也办不了车贷
[18:24] 你也办不了房贷
[18:25] 用这样的一个方式赶这些人离开
[18:27] 甚至为了要加速整个遣返体系
[18:30] 在其中选举之前获得成果
[18:32] 目前川普改裁了另外一种做法
[18:34] 就是不是把非法移民送回原本的国家
[18:37] 因为时间太久
[18:38] 人家也不愿意接受
[18:39] 而是直接把人送到第三国处理
[18:42] 什么意思
[18:43] 就母国政府的态度
[18:44] 会大幅影响到遣返的进度
[18:46] 目前美国政府
[18:47] 就把很多来自于安哥拉
[18:48] 或者相关中南美洲的移民
[18:51] 他直接送到哪里
[18:52] 送到赤道几内亚等地
[18:55] 不是那个羽龙共舞
[18:57] 那个什么几内亚吃人部落
[18:58] 就送到可能巴布亚纽西内亚
[19:01] 由当地政府负责安置或者遣返
[19:03] 就明明墨西哥人抓到了
[19:06] 可是墨西哥政府可能还不是很配合
[19:08] 还有很多的交流时间
[19:09] 直接把你送到赤道国家
[19:12] 送到之后
[19:13] 由这些国家来安排你回到你的国家
[19:16] 你先离开美国再说
[19:17] 这种模式是快速的扩大
[19:19] 目前已经有十几个国家正在参与
[19:21] 包括非洲 拉丁 美洲
[19:23] 还有赤道国家
[19:24] 但这一套制度的争议也很大
[19:26] 按照国际规范
[19:28] 难民也不能够被送往
[19:30] 可能遭受迫害的地方
[19:31] 但有些人就被收到地方国之后
[19:34] 到底有没有遣返回原国也不知道
[19:35] 甚至在法庭上
[19:37] 政府也表示说
[19:38] 只要事前没有明确知道
[19:39] 他会遭到伤害
[19:40] 那当然可以进行遣返
[19:42] 那他的政策目的
[19:43] 白宫也太表示的很简单
[19:45] 我们的目的是要制造恐惧
[19:47] 我们要让更多人选择自行离开
[19:49] 或者不敢入境
[19:50] 如果你愿意自行离开
[19:52] 我们甚至会有机票的补贴
[19:53] 那当然了
[19:54] 刚才讲到的个人崇拜
[19:55] 还是很重要的
[19:56] 华盛顿的确
[19:57] 预估未来几年就会有凯旋门了
[20:00] 这次川普除了在250国庆周年
[20:03] 宣扬一系列的执政成果之外
[20:05] 因为也推动了一系列的
[20:07] 大规模花府建设
[20:08] 从之前的白宫宴会厅
[20:10] 到美国英雄花园
[20:12] 整修甘迺迪中心
[20:14] 然后现在会在
[20:15] 华盛顿新建250英尺的高凯旋门
[20:19] 所以大家特别注意的
[20:20] 就是这个凯旋门
[20:21] 因为会有警官保育的争议
[20:24] 不过看起来蛮壮观的
[20:26] 到时候拭目以待
[20:27] 最后就是整治第一案了
[20:28] 我们知道川普不断的
[20:30] 在本届任期当中
[20:31] 获得保守派人事支持
[20:34] 或者共和党内部人士支持的重要关键
[20:37] 就是针对DEI的持续性打压
[20:39] 川普这一次也开始整治了性别政治
[20:41] 司法部最近是直接针对华盛顿州展开调查
[20:45] 原因就是当地的女子监狱
[20:47] 长期允许自我认同为女性的男性受刑人
[20:50] 入住女子监狱
[20:52] 你生理性别是男的
[20:54] 但你自认是女性的
[20:55] 你可以住到女子监狱
[20:57] 这么幸福的吗
[20:58] 那不会被打吗
[20:59] 联邦政府认为
[21:00] 这已经违反了女性囚犯的宪法权利
[21:02] 所以开始针对华盛顿做调查
[21:04] 那其实加州、缅因州
[21:06] 还有类似政策之后
[21:07] 都已经陆续被联邦政府给盯上
[21:10] 美国的文化战争
[21:11] 从原本的校园到体育到医疗
[21:14] 现在正式烧尽到司法和金融系统了
[21:17] 甚至我们看到美国财政部也宣布
[21:19] 将修改非盈利组织当中的
[21:21] 990税务文件
[21:23] 这个文件它是要求你
[21:25] 你们的非盈利组织
[21:26] 你背后的政府补助
[21:27] 政府的合约、财务代管、金流结构
[21:30] 全部要公开
[21:31] 目的是要挖出美国的左派NGO
[21:34] 常年建立的庞大资金网络
[21:36] 这些钱到底是从哪里来的
[21:39] 有没有国外政治现金的参与
[21:40] 好 这个是目前财政部所出的招
[21:43] 好 一系列的做法
[21:44] 我们要讲的概念就是
[21:46] 一系列做法
[21:47] 基本上都是为了在其中选举之前
[21:49] 获得市场的认可和步调
[21:51] 其实他做的事情也算是蛮多的
[21:52] 只是由于大家现在聚焦
[21:54] 可能都是在美伊战时
[21:55] 或者国际问题上
[21:56] 他稍微挡下来
[21:57] 其中一个政策
[21:58] 我认为很明显就是在抑制住
[22:01] 所以我们对于原油价格
[22:02] 对于通膨
[22:03] 在年底之前就要复燃
[22:05] 也不要太高的期待
[22:06] 川普对于通膨打压的决心
[22:08] 早在一个多月前就已经开始了
[22:10] 非常明显的尝试要控制
[22:12] 不只是针对沃尔玛
[22:14] 针对大型企业
[22:15] 要求进行物价压制
[22:16] 也在自己原油价格层面
[22:18] 不引起进一步的市场波动
[22:20] 举一个比较直观的
[22:21] 前阵子我们就提过
[22:23] 川普一直都认为
[22:24] 美国的要价会害人命
[22:26] 最后白宫宣布
[22:27] 扩大TrumpRX线上药品平台
[22:31] 一口气现在增加了
[22:32] 600到900多种的学名药
[22:34] 被点名的
[22:35] 要求直接降低
[22:37] 美国的民众的处方药成本
[22:39] 我稍微问了一下
[22:40] 的确美国很多处方药成本
[22:41] 因为它的跟原厂药成分
[22:43] 几乎效果一样
[22:44] 价格现在变得便宜非常多
[22:46] 白宫是直接进行显著介入
[22:49] 要求你要价直接降低
[22:51] 美国的药厂也开始认怂
[22:53] 当然了
[22:54] 它能不能完全撼动
[22:55] 整个医疗体系的利益链
[22:56] 我们要拭目以待
[22:57] 可是至少在选权压低物价的决心是很明显的
[23:01] 健康营养午餐也是如此
[23:03] 川普现在有一个计划叫做Maha
[23:06] 就让美国再次健康计划
[23:09] 因为全美学校一边是被要求减少加工食品
[23:12] 要降低糖分
[23:13] 要增加蛋白质和全国
[23:15] 另外一方面
[23:16] 美国现在每年要为3000万名学生提供数十亿份餐点
[23:20] 平均每份餐费只有4到5美元
[23:22] 所以美国的很多的学校的营养午餐
[23:26] 那吃的真的是比亚洲国家
[23:28] 还要差非常多
[23:29] 没有钱就很难做出更健康的餐
[23:32] 所以川普政府少数扩大补助的地方
[23:35] 就来自于美国的营养午餐
[23:37] 其实健康午餐也是同样的道理
[23:38] 大家都希望孩子吃得更健康
[23:40] 减少加工食品
[23:42] 增加新鲜食材
[23:43] 但是你需要的是更多的厨房设备
[23:45] 能力
[23:46] 还有食材采购
[23:47] 还有教育资源
[23:48] 你一方面要提高餐点品质
[23:50] 如果一方面又削减预算和补贴
[23:52] 压力会来得大
[23:53] 所以川普现在在施政力度层面
[23:55] 其实也是来得越来越加精准
[23:57] 有时候我们就这样
[23:58] 想要追求更好的结果
[23:59] 你不愿意支应相应的成本
[24:02] 那压力就会来得更大
[24:03] 但有时候支应太多
[24:04] 就会形成政府的债务压力
[24:06] 硬要讲
[24:07] 你如果要在知识跟金钱当中选一个
[24:10] 你会怎么选
[24:12] 当然要选知识
[24:13] 但是你要有足够的知识
[24:15] 你还是要有足够的金钱
[24:17] 能够培养你稳定学习的观念
[24:19] 所以这很重要
[24:20] 金钱只是结果
[24:22] 知识才是创造财富的力量
[24:24] 可是你要有足够的知识
[24:26] 那你就要多年期的培养
[24:27] 才可以把这些学子
[24:28] 这个身体给打造好
[24:30] 身体好了
[24:31] 才有更多时间来念书
[24:32] 这很重要的
[24:33] 那我最近才看到说
[24:34] 到底知识跟金钱要选哪一个
[24:37] 它的概念就像是
[24:39] 台大跟300亿台币
[24:42] 你要选哪一个
[24:43] 其实硬要选
[24:45] 当然还是选台大
[24:46] 因为台大有113公顷
[24:49] 如果你用大安区的土地
[24:52] 地价来做估算一瓶只算300万
[24:55] 那34万瓶那也有个一兆啊
[24:58] 300亿那才多少
[25:00] 不是这样子算
[25:01] 重点要选台大就是因为
[25:03] 因为知识是无价的
[25:04] 我们做投资也是一样
[25:05] 我们做投资的过程当中
[25:07] 你一定要了解自己的原则本金当然是很重要的可是你有了自己的投资原则你才可以确保你可以一年一年的累积自己的资产如果你只有本金你没有任何的财务知识没有任何的投资原则
[25:19] 一场波动就把你给洗出去了
[25:21] 好我们看看波动
[25:22] 道琼指数的部分上涨9点
[25:25] 0.02%
[25:25] 所以52508点
