[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 费办昨天居然一个晚上指数上涨了5.9%
[03:16] 消费性电子产品的提升
[03:18] 可是我们很清楚知道
[03:19] 这一波的AI
[03:21] 它的终点肯定不是
[03:23] 以后每个人发一台AI PC
[03:25] 以后每个人发一台AI手机
[03:27] 它的终点肯定是
[03:28] 新一轮产品的爆发期
[03:30] 而这一波产品爆发期
[03:32] 有可能是机器人
[03:33] 有可能是自驾车
[03:34] 还是我们今天要谈论的
[03:36] 是火星殖民呢
[03:38] 是宇宙外的探索
[03:40] 或者说地球外的探索呢
[03:41] 这些事情就很难说了
[03:43] 所以也不能用标准的逻辑来看待
[03:45] 但长势的确是蛮像的
[03:47] 可是重点在于
[03:48] 卖产值的企业
[03:50] 为什么涨这么多
[03:51] 这就是原因了
[03:51] 大家对于投钱的Google
[03:53] 你如果随随便便的发布一个募资消息
[03:56] 大家会很谨慎看待
[03:58] 可是对于卖产的企业来说
[04:00] 它的本益比只要股价不涨
[04:02] 下滑就是迟早的事情
[04:04] 为什么我们说至少非半本身没泡沫
[04:07] 即便它涨这么多
[04:08] 因为它是真的少数本益比
[04:10] 正在做比较显著下滑的
[04:11] 我们当然知道今年以来超微涨幅很高
[04:14] 本益比已经推升到112倍
[04:16] 可是你从挥打全球最大的股票来看
[04:20] 整体本益比
[04:21] 反而从前阵子的46倍
[04:24] 现在回到43倍了
[04:25] 事实上目前辉达的整体本益比
[04:28] 甚至比过去我们看到
[04:30] 2025年以来
[04:31] 当时关税占的高点之前
[04:33] 还要来的低
[04:34] 这说明着
[04:35] 辉达其实现在是比去年
[04:38] 几乎除了4月份关税占以外
[04:40] 大多数时间都还要来的便宜的
[04:42] 如果是从本益比角度
[04:44] 你说股价当然是创高了
[04:45] 可是由于它的EPS
[04:47] 季度财报陆续公告出来以后
[04:49] 基本上也没有想象中还要来得贵
[04:52] 事实上等到下个季度的财报公布以后
[04:55] 只要他的股价
[04:56] 现在就维持在这样的盘整区间
[04:58] 他本益比就来得更低了
[04:59] 你要知道两年前
[05:01] 辉达的本益比是高达100多倍
[05:03] 所以现在唯一最大的挑战
[05:04] 其实并不是本益比的失增
[05:07] 不是废办的估值泡沫
[05:09] 现在最大的挑战是
[05:10] 乖离真的有点高的离谱
[05:11] 因为长太久了
[05:13] 不休息的
[05:14] 费城半岛级指数距离200日的均线
[05:17] 我们把它当成年限
[05:18] 乖离率已经拉升到67%
[05:20] 这个历史上好像也没有出现过
[05:23] 短期内这么高的乖离率
[05:24] 就涨这么快
[05:25] 没有人卖股票
[05:27] 没有人获利了结的
[05:28] 也蛮神奇的一件事情
[05:30] 回过头来说
[05:31] 这代表的市场越来越把命运压住在AI身上
[05:34] 即便对于AI的营收回馈
[05:36] 可能抱持着一点质疑
[05:38] 但是那我也先卖Google
[05:40] 我肯定不会卖灰达
[05:41] 卖废办相关概念股
[05:43] 因为你们是卖产值的
[05:44] 我们如果回过头看
[05:45] 其实标普白指数的盈余
[05:47] 这几年其实在缓步的慢慢推升
[05:50] 2023年标普500的每股盈余大概220块
[05:53] 今年已经成长到340块了
[05:56] 所以从确实GBT发布以来
[05:58] EPS的增幅有52%
[06:00] 那其实股价增幅
[06:02] 我们知道标普涨幅也没有很夸张
[06:04] 所以费办涨得快
[06:06] 其实是因为缺货
[06:08] 卖产值的占特别多
[06:10] 那标普涨得稍微慢一点
[06:12] 而且也没有超出过去的年化报酬率的均值
[06:15] 其实就意味着
[06:16] 整个系统性的风险
[06:17] 并没有因为短期内的废办涨幅而产生
[06:21] 更多是那种乖离是否有下修的机会存在
[06:25] 因为大家都知道
[06:26] AI就是下一个生产力世界的提升
[06:28] 但这个生产力提升
[06:29] 它目前集中在废办
[06:31] 并没有造成全面性系统性的估值
[06:34] 全面爆喷
[06:35] 这是我的看法
[06:36] 所以现在就流行一句
[06:37] AI时代投资没有汇根
[06:41] 要汇根
[06:41] 这就是原因
[06:42] 就想说那算了
[06:44] 竟然全世界的经济已经绑在其中
[06:46] 其实AI如果真的不成
[06:48] AI迎来了股价泡沫破灭
[06:50] 台湾也无法独善其身
[06:52] 可是你要知道
[06:53] 几乎所有股票已经跟AI榜上钩了
[06:55] 我们只能期待它能成真
[06:57] 当然另外一方面
[06:59] 主要还是内部的资金轮动
[07:00] 前阵子资金回落到科技巨头以后
[07:03] 对于微软部分股票做了一些拉抬
[07:05] 现在稍微休息
[07:06] 软铁股也是如此
[07:07] 你不要看软铁股
[07:09] 今年以来的下杀幅度很大
[07:12] 它反弹也反弹超过三成了
[07:14] 整体而言IGV涨到现在
[07:17] 已经开始回到今年年初的表现了
[07:20] 现在要准备挑战
[07:22] 大家还记得去年10月份
[07:23] 有一个AI永动机高点吗
[07:26] 事实上根据高盛的统计
[07:27] 追踪软体产业的IGV ETF
[07:30] 目前的看涨齐全
[07:31] 成交量也创下历史新高了
[07:33] 上上礼拜是看空齐全
[07:36] 创下历史新高
[07:37] 你就可以了解
[07:38] 这短短一两周的资金
[07:39] 轮动有多快速
[07:40] 当肺瓣拉高以后
[07:42] 所有人都开始回过头看
[07:44] 有哪些股票可以涨
[07:45] 还先买一些科技巨头好了
[07:47] 结果拉一下科技巨头
[07:48] 又发现他们又在投钱
[07:49] 他们赚不赚得回来
[07:50] 不知道
[07:50] 我们先去找过去
[07:52] 我们不小心卖太重的IGV
[07:53] 把软体型ETF给拉回来好了
[07:56] 这就说明了
[07:57] 市场上股票供给正在减少
[08:00] 什么意思
[08:01] 这张图表是我们看到的
[08:02] 净股票供给
[08:03] 讲的是企业透过IPO
[08:05] 增资所发行的新股
[08:07] 所增加的股数数量
[08:08] 减去库藏股的回购
[08:10] 私有化和并购下市
[08:12] 所减少的股票数量
[08:13] 当数值为负的时候
[08:15] 其实就会发现
[08:16] 企业回购的速度
[08:17] 超过发行新股的速度
[08:19] 这说明
[08:20] 其实整个美国股市市场
[08:22] 它本身是一种稀有性
[08:23] 正常我们的逻辑是
[08:25] 经济越好
[08:26] 挂牌企业就越多
[08:27] 挂牌企业越多
[08:28] 股数就会越多
[08:30] 那未纳量
[08:31] 吸引资金的未纳量
[08:33] 就会来得越高
[08:33] 所以正常来讲
[08:34] 当公司越多的时候
[08:35] 资金就会越加分散
[08:36] 就没办法
[08:37] 每家股票都涨那么多了
[08:38] 可是现在问题又在于
[08:39] 在过去几年
[08:41] 由于很多公司大量的实时库场股股票回购以后你会发现美国股市大部分的时间都是属于负供给的状态那我们曾经一度以为这两年可能因为投资稳支出
[08:52] 那个股票回购应该会少很多
[08:55] 没有因为现在他们的现金流又进来了
[08:57] 就是财富效应所造成的公司的资产膨胀
[09:01] 结果他们的股票回购还保持在一定规模
[09:04] 这就使得整体而言
[09:06] 美国股票的供给还在减少
[09:09] 那供给减少越多
[09:10] 大家买的股票也就那几档
[09:12] 尤其现在又流行龙头股
[09:13] 造成指数更进一步的推高
[09:16] 所以现在就不只是
[09:17] 美国股市内部的资金轮动
[09:19] 大家就开始向外进行布局
[09:21] 有哪些股票
[09:22] 本益比还是偏低的
[09:23] 有没有十倍以下的
[09:25] 而且又是科技巨头
[09:26] 而且具有独占性
[09:27] 而且又跟半导体
[09:28] 跟AI行情密不可分
[09:29] 而且它还不是巨头
[09:30] 它是属于半导体的巨头
[09:32] 这个时候就可以卖产值赚的钱
[09:35] 结果有
[09:36] 你看SK海力士
[09:38] 这一次市值
[09:39] 首次突破兆元
[09:40] 那这项里程碑不只是反映HBM的市场领导地位
[09:45] 也象征记忆体已经从周期性的产品
[09:48] 转化成AI时代不可或缺的核心基础建设
[09:52] 全球现在市值最大的股票还是回答市值5.1兆
[09:55] 再来是Google
[09:56] 再来是苹果
[09:57] 微软
[09:58] Amazon
[09:58] 博通
[09:59] 特斯拉
[10:00] Meta
[10:00] 那当然了
[10:01] 如果你把台积电加进去
[10:03] 你把三星给加进去
[10:05] 你还是可以看得出来排名又开始产生轮动
[10:08] 可是至少现在整体而言
[10:10] 韩国股市的市值是急起直追
[10:12] 现在台股有点告急了
[10:15] 自从台湾当时超过印度
[10:17] 成为全球第五大的股票市场之后
[10:19] 南韩股市最近它也是急起直追
[10:22] 在这个礼拜正式的超越了印度
[10:25] 市值来到5.04兆美元
[10:27] 那你要知道台湾现在大概是5.15兆
[10:30] 双方距离只剩下1000亿了
[10:32] 非常紧绷
[10:33] 大家今天要赶紧多买两张
[10:36] 赶快跟韩国人拉开距离
[10:39] 你看第一名美国无法撼动
[10:41] 79兆
[10:42] 第二名中国市场
[10:43] 那人口基数没办法
[10:44] 15兆难以撼动
[10:46] 不过日本和香港
[10:48] 我们台湾股市只要涨到
[10:50] 8万点就可以超越了
[10:52] 试着再翻一倍
[10:54] 8万点你很困难吗
[10:56] 之前1万点的时候
[10:58] 12682的时候
[10:59] 都已经觉得很离谱了
[11:00] 过几年就2万了
[11:01] 那翻了一整倍
[11:02] 2万又现在翻4万了
[11:04] 4万翻8万
[11:05] 那也许也不过就5年10年的事情
[11:08] 按照这种生产力的推升
[11:09] 所以超越日本超越香港
[11:13] 何时能够发生
[11:15] 这件事情我们就且看且走了
[11:17] 毕竟双方的差距还是兆元
[11:19] 不过南韩距离我们只有1000亿
[11:22] 所以真的要赶快拉开距离
[11:24] 你一股我一股
[11:26] 台积上看5500对不对
[11:29] 是一股不是一股
[11:30] 一股是日语不要念错
[11:32] 好那我们回过头看
[11:34] 那当然这也就意味着
[11:35] 其实在整个亚太市场当中
[11:37] 大部分的钱都被台韩市场给赚走了
[11:40] 我们如果细看
[11:41] 真正高度集中在AI供应链所造成的市场
[11:45] 这种买盘推升和获利推升到底有多大
[11:48] 我们如果从价格层面来看
[11:50] 就特别明显了
[11:51] 如果你把新市场除以美国股市的总体比值
[11:56] 再把新市场把台积电剔除
[11:58] 把三星剔除
[11:59] 再把SK海力士给剔除
[12:01] 你就会发现两个完全不同的走势
[12:03] 如果把新市场
[12:06] 有包含台积电
[12:08] 三星
[12:08] 海力士
[12:09] 那么目前新市场
[12:10] 是远远的跑于美国股市
[12:12] 美国是在台落了
[12:13] 可是如果
[12:14] 你把这三家企业给剔除
[12:16] 其实亚洲市场
[12:17] 跟美国股市也差不了多少
[12:19] 这就是根本原因
[12:20] 所以就靠这三家企业来撑
[12:22] 当然台积电
[12:23] 现在就处于一个
[12:24] 非常有趣的情况
[12:25] 因为我们知道
[12:26] 外资到目前为止
[12:27] 仍然净卖超台积电
[12:29] 在今年
[12:29] 今年以来
[12:31] 出现了上千亿的卖牙
[12:33] 但是对于台股的持股比例
[12:35] 最近外资居然创下显著的资金轮动
[12:39] 或者说外资比例正在开始慢慢的提升
[12:42] 虽然从之前80%到现在
[12:43] 70%降蛮多的
[12:45] 可是其实总体对于台股的持股
[12:47] 它的比例
[12:48] 对于外资自己而言
[12:50] 就它有美股
[12:50] 它有台股
[12:51] 它有欧洲股
[12:51] 反而不断在上升
[12:53] 一个就是越卖市值越高的结构现象
[12:56] 就外资虽然对于全球资产
[12:58] 配置进行调节
[12:59] 卖超
[12:59] 获利了结
[13:00] 但核心资产
[13:01] 现在还是台积电
[13:02] 联发科日月光
[13:03] 结果涨幅
[13:04] 手上的股票自己还在涨大
[13:06] 第二个就是买来买去
[13:08] 好像也不能卖多少
[13:09] 因为全球的AI供应链
[13:10] 就在台湾和韩国
[13:12] 你不加
[13:13] 你也不能够随便卖
[13:14] 在这样效果底下
[13:15] 就造就了本轮龙井现象
[13:17] 当然韩国股市之所以追得这么快
[13:19] 有是有原因的
[13:20] 第一个人口数本来就比我们多
[13:22] 所以还没买股票的人
[13:24] 比台湾人还多
[13:26] 台湾人是能买都已经买了
[13:27] 第二件事情是韩国股市
[13:29] 因为上礼拜才刚挂牌
[13:32] 个股正额型ETF
[13:33] 那个资金流
[13:35] 以前会被香港给分走
[13:36] 以前很多人想要玩两倍的韩国股市
[13:38] 你要到香港
[13:39] 你要到美国股市来玩
[13:40] 现在韩国股市自行发行以后
[13:42] 内部的市值膨胀速度就来得越来越快
[13:45] 那你也知道
[13:46] 韩国人赌性其实很坚强
[13:48] 你从以前的全租房制度
[13:50] 到韩国年轻人
[13:51] 动不动就贷款all in
[13:53] 韩国老人家退休金all in
[13:55] 不趁这一波翻个十倍
[13:57] 没有下一次了
[13:57] 以前的比特币也是这样子
[13:59] 在亚洲市场当中
[14:00] 比特币加密货币持有率最高的
[14:04] 并不是台湾或者日本市场
[14:05] 其实就是韩国市场
[14:07] 可惜我们也知道
[14:08] 比特币市场目前遭受极大沉压
[14:10] 我们看一下数据
[14:12] 比特币在昨天一度跌破6.8万美元
[14:15] 创下4月以来的最低水准
[14:17] 那我们要知道
[14:19] 这一波比特币ETF现货
[14:21] 已经高达两周的资金高强度流出了
[14:24] 那本来量缩
[14:24] 量缩想说那就长期打一个大底
[14:27] 现在量能又开始增加了
[14:29] 那我们就要看一下今年2月3月
[14:31] 当时伊朗战事的低点是否能够守住
[14:34] 你要知道
[14:35] 很多韩国人其实也套在里头
[14:37] 但是不会因为被套一次
[14:39] 大家就害怕了
[14:40] 只要能够找到下一个标点
[14:41] 不过这也许就是市场情绪
[14:43] 每当资产价格蠢蠢欲动的时候
[14:46] 就会吸引一扑人的参与
[14:47] 那很多韩国股民其实是套牢在比特币
[14:50] 不过后来在SK海力士
[14:52] 在三星找到了未来的出路
[14:54] 好但不管怎么说
[14:55] 我们知道国际资金其实还是聪明的
[14:58] 他知道哪些资金该投
[14:59] 哪些资金不该投
[15:00] 该投的优先是卖产值的
[15:02] 本益比可以快速下滑的
[15:04] 那次要的要投的科技巨头
[15:06] 开始变成谨慎
[15:07] 所以你也不能说他们是极度贪婪
[15:09] 为什么
[15:09] 因为如果花太多钱
[15:11] 市场是会紧张的
[15:13] 我们举例来说
[15:13] Google这一次砸下800亿美元
[15:16] 宣布要增资盖资料中心
[15:18] 其中还包括400亿美元的市场蒸发计划
[15:21] 300亿美元的股票和可转债的优先股发行
[15:25] 而且向波克夏
[15:26] 向巴菲特来私募100亿美元的股份
[15:28] 市场原本认为AI军备竞赛
[15:30] 你应该靠口袋里面的现金流就能够支撑了
[15:34] 没想到Google又开始借钱了
[15:36] 光是2028年目前全球资料中心所需要的资金
[15:40] 大概是1.5兆美元
[15:42] 这个其实当然已经超过了多数科技公司
[15:44] 现有现金流能够创造的能力
[15:47] 其实从21年当时三季度四季度来看的时候
[15:50] 其实五大科技巨头
[15:53] 微软亚马逊Google Meta加上甲骨文
[15:56] 自由现金流是有1700亿
[15:58] 当时市场即便认为资本支出过热
[16:00] 也不会觉得这个现金流
[16:03] 会有低调怎么样的一个水准
[16:05] 结果在整个2026年第四季的时候
[16:09] 现在大概只剩下接近700亿美元了
[16:13] 尤其Meta已经转负了
[16:14] 我们预估很快
[16:16] 大概在今年年底到明年年初
[16:18] 可能四大CSPS的现金流就要为负值了
[16:22] 口袋真的没钱了
[16:23] 口袋没钱该怎么办呢
[16:24] 那只好发债嘛
[16:26] 所以你看Google的资本支出
[16:27] 正在以非常垂直的速度
[16:29] 快速的扩张
[16:30] 22年
[16:31] 单季的资本支出
[16:32] 大概就是50亿到80亿
[16:34] 24年是100亿到130亿
[16:36] 25年突破200亿
[16:38] 26年到目前为止
[16:39] 一个季度
[16:40] 投480亿
[16:42] 一年
[16:43] 这个投资速度
[16:45] 大概是以22年的
[16:46] 5倍到6倍的速度增长
[16:47] 那钱花的这么快
[16:49] 你也知道
[16:50] 为什么投资市场会紧张了
[16:51] 因为你还没办法跟我确认
[16:53] 钱要怎么收回来
[16:54] 光靠捐来
[16:56] 或者稳定你的生态系
[16:57] 就能够吗
[16:58] 如果Google打了老半天
[17:00] 它的目的
[17:00] 只是为了要求大家
[17:02] 继续使用Google搜寻引擎
[17:04] 然后花数千亿
[17:06] 那划算吗
[17:07] 那划算吗
[17:07] 这个是市场上质疑的
[17:09] 所以我们也看到
[17:10] 市场资金也是聪明的
[17:12] 不会因为你无条件的看好AI
[17:14] 全面把资金给你
[17:15] 而是你无条件的
[17:17] 一直在赚AI的钱
[17:18] 在赚AI的基础建设
[17:19] 我优先把钱先给你
[17:21] 虽然这样的一个效果
[17:23] 也就意味着
[17:23] 市场上是聪明的
[17:25] 有效的资金分配
[17:26] 但我也不认为
[17:27] 這些CSBA者最後就會輸了他們仍然是巨頭他們仍然有方式做一定程度的回收就好像當年我学生时期我也是拍了很多照片什么Google相簿Google云端大家知道
[17:38] 学生时期很多时候
[17:39] 我们的容量是无上限的
[17:41] 我那照片影片
[17:43] 数十TB
[17:44] 结果有一次
[17:46] 忘记是毕业
[17:48] 还是Google发布新政策
[17:49] 开始收割了
[17:51] 这么多照片
[17:52] 我要怎么那个
[17:52] 我找一张一张三
[17:53] 把我美好的记忆
[17:56] 人生最辉煌的那几年
[17:58] 一张一张的删掉
[17:59] 多痛苦啊
[18:00] 早知道那个
[18:01] 多花点钱留这照片了
[18:02] 但回过头来说
[18:03] 现在我们很清楚知道
[18:05] 市场的资金投入量越来越高
[18:07] 其实钱是相对谨慎的
[18:09] 我认为并没有想象中
[18:10] 这么的疯狂
[18:11] 只是对于非凡有点疯狂
[18:12] 乖力拉得有点高
[18:13] 那同样的
[18:14] 也并不是每一家企业
[18:16] 都必须参与这场游戏
[18:17] 现在Google、Meta、OpenAI
[18:18] 都在拼命地募资
[18:20] 盖资料中心换算力
[18:21] 但也有企业选择
[18:23] 在另外一条赛道
[18:24] 就有人卖产值的
[18:26] 有人开旅馆
[18:27] 有人经营市集
[18:28] 最典型的其实就苹果
[18:30] 苹果在打造
[18:31] 巩固自己的硬体和生态系
[18:33] 它到目前为止
[18:35] 它Siri改版的方式
[18:37] 还不是自己
[18:37] 新建资料中心在做研发
[18:39] 它只是把Gemini
[18:40] 把OpenAI
[18:41] Enthropia
[18:42] 进行高度整合
[18:43] 让别人的系统
[18:45] 融入到自己的系统当中
[18:46] 所以到目前为止
[18:48] 它的资本支出
[18:49] R&D的费用
[18:50] 在营收占比
[18:51] 仍然连10%都不到
[18:53] 这就是它的策略
[18:54] 所以这样的话
[18:56] 也许对于未来AI发生变数
[18:59] 影响就没这么大了
[19:00] 所以我们必须承认的事情是
[19:01] 现在每一家公司
[19:03] 参与的方式不一样
[19:04] 有的人是买产值
[19:06] 然后赌生产力突破
[19:07] 有的人是卖产值
[19:09] 然后本益比下滑
[19:10] 我股价就很便宜
[19:11] 有的人是不在AI资料中心当中
[19:14] 来做竞争
[19:14] 而是选择优化自己的硬体和生态系
[19:17] 并不是每家公司
[19:18] 都必须参加同一场游戏
[19:20] 他之前讲
[19:21] 讲说森林里面
[19:23] 动物们在玩精灵游戏
[19:26] 老鼠就说
[19:28] 那我是老鼠精
[19:29] 老虎说
[19:31] 那我是老虎精
[19:32] 狐狸说
[19:33] 那我是狐狸精
[19:34] 老鹰说我不玩了
[19:36] 所以不是每一个科技公司
[19:38] 都必须要跳进这场
[19:40] 烧钱的AI竣赛
[19:41] 现在有人当军火商
[19:42] 有人当渠道商
[19:44] 最典型的
[19:45] 现在我认为苹果
[19:46] 他就选择用自己的方式
[19:47] 你要我这个时候追AI
[19:49] 我搞不好也追不回去
[19:50] 但他专注的不是打造最强AI
[19:52] 只要打造最好用的消费体验就可以了
[19:56] 这个AIPC AI手机
[19:58] 有那么容易把苹果给干掉吗
[20:01] 这个是未来我们可以观察的几大方向
[20:03] 当然回过头来说
[20:05] 现在市场上更进一步聚焦的是
[20:07] 如果是要造梦
[20:10] 如果只是要稳住目前的护城河
[20:12] 这些巨头也许有能力稳住
[20:14] 可是他们的竞争者陆续出现了
[20:16] 我们以三家即将要挂牌的
[20:19] 这个IPO企业
[20:20] 一家是Anthropic
[20:21] 一家是OpenAI
[20:23] 另外一家是SPEX
[20:24] 而这很有趣的情况
[20:26] 因为SPEX是6月12号就要挂牌了
[20:29] SPEX的代号是SEX
[20:32] 不是是SPCX
[20:34] 那接下来
[20:36] 这些巨头上路以后
[20:37] 第一个就是进行资金抢夺
[20:39] 一定有很多家企业会挤入到
[20:41] 全球市值排行榜前10名的企业
[20:44] 那就有企业会被挤掉
[20:45] 所以这个时候市值市占的权重就特别重要了
[20:49] 一旦被剔除
[20:50] 市场的全球共同基金ETF的买盘就会因此而消失了
[20:54] 那其实很有趣的一个情况
[20:56] 如果我们把Enthropy跟OpenAI跟SpaceX拿来进行比较
[21:00] 估值最高的当然是SpaceX
[21:02] 可是目前Enthropy的估值已经正式的超越OpenAI
[21:05] 来到9650亿
[21:07] OpenAI只剩下8520亿美元
[21:10] 我们先把图片拿掉
[21:12] 大家扪心自问
[21:13] 你觉得想想看
[21:15] 先不要看答案
[21:16] 你觉得这三家企业
[21:18] 目前是谁最赚钱的
[21:20] 从年营收来看的话
[21:22] 我的第一个想法
[21:23] 我以前第一个想法
[21:24] 应该是OpenAI吧
[21:26] 或者是SpaceX
[21:27] 为什么
[21:28] 那一个是在卫星领域
[21:30] 具有全面性垄断的系统
[21:32] 一个是最新推出大圆模型
[21:34] 让大家欢欣鼓舞的去使用的
[21:36] 结果好像年营收出来
[21:38] Enthropy是赚最多钱的
[21:40] 年营收高达470亿
[21:42] 这就解释
[21:43] 为什么它的估值
[21:44] 可以短短的在三个月
[21:46] 一季度的时候
[21:48] Enthropy的估值只有3500亿
[21:49] 现在是9600亿
[21:51] 因为它赚钱的速度实在太快了
[21:54] 大量的企业的订阅合作和API
[21:57] 相反的OpenAI
[21:58] 其实也有成长
[21:59] 但是问题在于
[22:00] 主要目前还是消费者的订阅
[22:02] 是2C
[22:03] 那你也知道我们这种消费者
[22:05] 常常都是
[22:06] 你有没有账号借我用一下
[22:08] 你有没有
[22:08] NavX也共用
[22:09] 常常这样子
[22:10] 所以整体而言
[22:11] 感觉做企业的生意是最快的
[22:13] 那SpaceX营收也有
[22:15] Starlink还是有稳定的现金流
[22:17] 但我们也知道
[22:18] 其实它有非常庞大的资本支出
[22:20] 要去支应接下来的火箭系统
[22:22] 还有接下来XAI
[22:24] 甚至SpaceX
[22:25] 未来不排除要购买特斯拉
[22:28] 那到底这么庞大的一个集团
[22:30] 它能不能更进一步的
[22:32] 有定价上的提升呢
[22:33] 这件事情就很难说了
[22:35] 那这三家企业
[22:36] 预估在今年
[22:37] 就要吸至少两兆以上的资金
[22:40] 那这么庞大的一个资金
[22:42] 应该不是讲两兆
[22:43] 因为筹资额跟估值还是有差距
[22:45] 大概是2000亿左右以上的美元的资金
[22:48] 这件事情也就意味着
[22:50] 市场上真正担心的还不是这三大巨头
[22:53] 因为他们是从零到有
[22:54] 从没挂牌到有挂牌
[22:57] 真正担心的是前十名的那几大巨头
[23:00] 会不会产生沉压
[23:01] 这个是我们拭目以待的
[23:03] 所以现在投资人越来越精明了
[23:05] 因为我们不只是有硬体股可以选
[23:07] 我们也可以根据这些科技巨头
[23:09] 他的资本支出
[23:10] 符不符合当前发展趋势
[23:12] 它的现金流情况
[23:13] 来做资金的调度
[23:14] 甚至我们在美国股市以外
[23:17] 在台湾股市
[23:18] 韩国股市
[23:19] 仍然具有相对应应的标的
[23:21] 与此同时
[23:22] 年底之前
[23:23] 还有三家企业
[23:24] 重量型企业
[23:25] 考虑让我进行资产配置
[23:27] 一定会有很多特粉
[23:28] 一定会去支持一下SpaceX的
[23:30] 最后就会造成
[23:32] 市场上的聪明钱
[23:33] 其实是越来越多的
[23:34] 到底有没有那么贪婪
[23:35] 我认为某种程度层面
[23:38] 还是看得出来
[23:39] 市场是有点精明的
[23:40] 那我们回过头看
[23:41] 美欧股市市大指数表现
[23:43] 道琼指数上涨228点
[23:45] 0.45%
[23:46] 收在51307点
[23:48] 标普上涨9.013%
[23:50] 收在7609点
[23:51] 纳指上涨7点
[23:52] 0.03%
[23:54] 历史新高
[23:54] 费办上涨760点
[23:57] 5.87%
[23:59] 收在13726点
[24:01] 费办13000期了
[24:04] 这么高
[24:05] 费办这一波
[24:06] 从4月份以来的走势
[24:08] 真的是有一点离谱
[24:09] 昨天当然是Marvel
[24:11] 周二飙涨了32%
[24:13] 每股冲高到290块
[24:15] 然后这个是黄仁勋的口头推动
[24:17] 所造成的效果
[24:18] 其实当然赚多赚少的问题
[24:21] 你只要买龙头
[24:22] 或者用ETF的方式来进行分散
[24:25] 很多中小型股票
[24:26] 其实表现也不是特别好
[24:27] 韩国股市也很明显
[24:28] 美国股市也很明显
[24:30] 但台湾你只要买龙头
[24:32] 美国你只要买龙头
[24:34] 不管怎么样
[24:35] 都会有足够性的报酬
[24:37] 就算你买的都是科技器具头
[24:39] 今年报酬也不算差
[24:40] 大概报酬平均
[24:42] 纳指现在涨幅有20%
[24:43] 很多人为什么
[24:45] 不管怎么买
[24:46] 就好像买房永远买蛋黄蛆
[24:48] 买股永远买龙头一样
