[00:00] 投资片欢迎收听早晨财经速解读
[03:45] 不过休息没多久
[03:47] 反弹也开始了
[03:47] 那当然整个7月份的修正
[03:49] 很多主要还是来自于资金的轮动
[03:52] 杠杆的下滑
[03:53] 还有企业获利的改善完成
[03:55] 跟经济有没有要衰退
[03:57] 也没有什么明显的相关
[03:58] 长期多头的结果
[04:00] 我们一直讲过没有改变
[04:01] 现在就是有估值回调的可能
[04:03] 但是并没有泡沫破灭的风险
[04:05] 真实来看
[04:07] 其实还是从市场的筹码面
[04:09] 看到7月份的显著降温
[04:10] 如果我们从散户的现股资金
[04:13] 你可以观察到
[04:14] 在连续数月的高档净买超之后
[04:17] 在过去一周
[04:19] 其实已经转为净卖出
[04:20] 所以可以大胆的做推估
[04:22] 本周的买超基本上在美国股市
[04:25] 都是投行法轮户资金进场
[04:28] 那台股就不一样
[04:29] 台股ETF一直都是买超
[04:30] 那外资一直以来都是卖超
[04:32] 但是很明显感受到中石户和大户
[04:35] 在本周重新进场
[04:37] 其实上礼拜就有那种接盘的味道
[04:39] 只是量能没有放出来
[04:41] 那卖超其实本上从7月最后一周
[04:44] 当时也是创了一年以来的最大
[04:46] 那我们就看本波机构是会把它抬升到多高的水位
[04:51] 那第二就是散户针对科技股的现金交易的资金流出
[04:55] 其实7月底卖的不少
[04:57] 所以你说美国股市到底有没有明显的去杠杆化
[05:00] 或者我们讲的爆仓
[05:01] 这种资金体量应该是有的
[05:03] 因为在上上礼拜和上礼拜的总卖超金额
[05:07] 基本上已经超过了2020年新冠疫情的恐慌程度
[05:11] 那你也知道现在经济也没什么大问题
[05:14] 也没有什么封锁
[05:15] 也没有什么外部性的新冲击
[05:17] 结果居然可以一个礼拜卖这么多
[05:20] 说明散户的大幅撤出
[05:22] 本质上已经有达到恐慌性的效果了
[05:25] 虽然从VIX指数
[05:26] 从一些情绪指标看不太出来
[05:28] 另外一方面
[05:29] 从资金流向来看
[05:31] 你像记忆体股或者半导体股
[05:33] 又是在科技股当中流出金额
[05:35] 还要来得最多的
[05:36] 当然这也就代表着杠杆也在降温
[05:39] 我们根据花旗的统计
[05:41] 在整个6月份
[05:42] 全球杠杆ETF的管理资产规模
[05:45] 是一度达到2180亿美元
[05:48] 7月底已经回落到1540亿了
[05:51] 那预估8月初还在持续收缩
[05:54] 也就是说过去一个月
[05:55] 其实杠杆型的全球资金
[05:57] 2180亿的规模
[05:59] 已经缩水了大概640亿左右
[06:01] 当然我们都知道杠杆型ETF
[06:04] 大部分都是属于科技类资产的核心配置
[06:07] 非半导体的科技型杠杆ETF
[06:11] 大概只占610亿
[06:12] 所以等同于
[06:13] 大部分大家都是在针对科技股来开启杠杆
[06:17] 所以科技股本身波动就已经很大了
[06:19] 它是杠上加杠
[06:21] 所以的确这一波
[06:22] 在美国股市也洗掉了不少人
[06:24] 那这也导致了一个效果
[06:25] 那就是半导体类股在标普白指数
[06:28] 今年整体占比一路来到19.7%
[06:31] 这个是历年来的最高
[06:34] 近期开始回落了
[06:35] 来到16.2%
[06:37] 也就是半导体在科技股的权重
[06:39] 过去一个月的交易
[06:40] 正在慢慢的下滑
[06:42] 变成巨头回来了
[06:43] 大家开始把钱重新思考
[06:45] 要不要投回低本益比的微软
[06:47] Meta Google或者亚马逊
[06:50] 那当然如果是从现行图来做比较
[06:52] 其实肺瓣本波还在标准的下行通道
[06:55] 还没办法确认跟标普跟道琼一样
[06:57] 重新回到全面的多头
[06:59] 但是修正格局
[07:00] 本来因为本轮快递拉得很高
[07:02] 修正格局大一点
[07:03] 大家也可以接受
[07:04] 所以我们才不会把它说
[07:05] 因为跌了两层进入到技术形熊市
[07:08] 就把它断定为系统性的泡沫泡面
[07:11] 它这涨一整倍
[07:12] 跌两层其实也还好啦
[07:14] 一个月跌两层
[07:15] 好像是历史上难得见到的
[07:17] 不过半年涨100%
[07:20] 废办也很少见到
[07:21] 所以现在就是标普白指数
[07:23] 首先先创下历史新高了
[07:25] 那废办就在后面
[07:27] 我们看一下标普是否会作为废办的领先指标
[07:30] 还是说废办是标普的领先指标呢
[07:33] 不过我们过去的历论
[07:35] 应该大家了解我们的态度了
[07:36] 巨头已经成绩太久
[07:38] 现在的创高它是必然的迹象
[07:41] 甚至都不是靠更进一步的消息面推升
[07:44] 太便宜本身就是一种买入的结果
[07:46] 所以现在是巨头在冲那么晶片股反而有了固执回调让大家看清楚本益比的空间其实从美银所公布的资讯还是看得出来在尚未公布财报的回答之外
[07:59] 七巨头当中的六巨头
[08:01] 财报公布之后的实际股价的波动
[08:04] 全部都超过了选择权市场的原先预期
[08:07] 什么意思
[08:08] 就这一轮
[08:09] 明明你看那个财报预期变化
[08:11] 那也没有很离谱的高或者低
[08:13] 自由现金流的递减
[08:15] 那不是意料中的事情吗
[08:17] 可是市场对于财报公布之后的价格反应
[08:21] 是2020年以来的首见
[08:24] 没有看到波动这么大了
[08:26] 搞得好像现在是新冠疫情一样
[08:27] 比如说特斯拉财报一公布以后
[08:30] 其实跟预期差不多
[08:31] 就是本业收入一个压力
[08:33] 然后前瞻的收入
[08:35] 机器人自驾车还没有归来
[08:37] 然后股价重挫15%
[08:39] 财报没有太大变化
[08:40] 结果它重挫15%
[08:42] 微软一公布大涨16%
[08:44] 也没有差很多
[08:45] 所以这就让美国股市
[08:47] 个股的报酬分化
[08:49] 来到35年来的最高水准
[08:51] 大盘是稳定的
[08:52] 但是内部个股
[08:53] 发现巨头涨跌
[08:56] 大涨大跌
[08:57] 其实也是相当离谱
[08:59] 就差距也是非常巨大的
[09:00] 当然总体而言
[09:02] 至少七巨头是受到显著的资金回补
[09:04] 现在就是七巨头
[09:05] 还有IGV软体股
[09:07] 和七巨头在带头冲
[09:09] 那么SMH也就是费办的部分
[09:11] 受到市场的沉压
[09:12] 当然过去我们做实证统计
[09:15] 当费城半导体指数
[09:16] 单日下跌1% 2% 3%的时候
[09:19] 标普通常是下跌1.15 1.76和2.38
[09:23] 所以应该是跌幅会类似
[09:25] 然后标普跌轻一点
[09:26] 可是今年到现在为止
[09:28] 一个回测结果是
[09:29] 同样的情况下
[09:30] 标普白的跌幅
[09:31] 已经收敛到0.6 0.7还0.8
[09:34] 什么意思
[09:35] 就是以前是费半跌
[09:36] 就把整个标普给带下去了
[09:38] 今年不一样
[09:39] 今年整个费半跌
[09:40] 标普根本不理你
[09:42] 甚至不太跌的
[09:43] 这也是说明大盘受到半导体类股的拖累
[09:47] 似乎正在降低
[09:48] 因为大盘更重视七巨头的表现
[09:50] 那么未来有没有可能持续分化
[09:52] 值得大家多做一些留意
[09:54] 那这是美国股市的去杠杆概况
[09:56] 看起来是蛮清晰的
[09:58] 你也不能说市场进入到极度恐慌了
[10:00] 不过卖的股票算是蛮多的
[10:02] 那就看机构能够把本波水位拉到什么样的水准
[10:06] 那第二个表现是属于海外市场
[10:08] 尤其我们以南韩杠杆型ETF的降温表现
[10:12] 来做一个纵观
[10:13] 因为我们当然知道
[10:14] 最近好像大家又重新回到
[10:16] 韩国股市来开启杠杆了
[10:18] 不过杠杆型ETF
[10:20] 到底是否有成功降温呢
[10:21] 我们从8月4号的成交量来看
[10:24] 全国规模最大的SK海力
[10:27] 是单一股票杠杆ETF
[10:29] 大概已经降到5900万股了
[10:32] 那今天看起来
[10:34] 因为股市大涨
[10:35] 所以可能成交量会稍微激增
[10:37] 可是我们要知道
[10:38] 8月4号昨天的5900万股
[10:41] 它是6月4号以来的新低
[10:43] 三星电子的杠杆ETF成交量
[10:46] 也降到了5月底上市以来的最低水准
[10:48] 所以虽然我们知道
[10:50] 记忆体股过去一周正在反弹
[10:53] 可是韩国人并没有因此
[10:55] 而在内部大幅度的扩大杠杆
[10:57] 那当然有几个条件
[10:59] 一方面当然是因为情绪稍微比较疲惫一点
[11:02] 现在不太敢乱开杠杆
[11:04] 另外一方面是因为
[11:05] 韩国本土也采取了更多的管制
[11:08] 鼓励你不要买
[11:10] 不管是增加保证金
[11:11] 还是要求有进一步的教育时数
[11:14] 都让大家意识到
[11:15] 政府极度不希望你再去买杠杆型ETF
[11:19] 你五月份才呼吁我赶快买
[11:21] 你现在叫我都不要买
[11:22] 所以这就变成散户的伤害
[11:24] 也正式的从七月份的账面亏损
[11:27] 现在变成了实际清算
[11:29] 到七月底为止
[11:30] 韩国股市一共是120万个杠杆账户触发衰强
[11:34] 预估有32万到36万户遭到券商的强制平仓
[11:38] 那即便有部分投资人
[11:40] 可能现在会重新归来
[11:41] 我们都相信
[11:42] 应该在今年
[11:43] 不会再见到7月份的高峰
[11:45] 部分投资人
[11:46] 现在甚至已经道歉券商
[11:47] 三星电子的持有人
[11:49] 现在有约一半持有亏损
[11:52] 那很难想象
[11:53] 三星电子的持有人
[11:55] 他用成交量能图
[11:56] 用成交量的纠结区来判断出
[12:00] 目前他的股东人数
[12:02] 有多少处于亏损
[12:03] 居然有一半处于亏损
[12:05] 你就知道
[12:06] 三星的股东有多少人
[12:08] 以前都没有买过三星股票
[12:10] 专门挑在今年5月6月份
[12:12] 买三星的股票
[12:13] 那台积电很难想象
[12:14] 如果告诉你说台积电
[12:15] 现在有一半的股东
[12:16] 属于亏损情况
[12:17] 很难相信
[12:18] 那SK海力士更夸张
[12:20] SK海力士目前
[12:21] 大概有70%处于套牢
[12:24] 这是花旗所统计的结果
[12:26] 相关杠杆型ETF
[12:27] 从高点这样子下跌过来
[12:29] 也跌了接近有八成左右了
[12:31] 压力相当巨大
[12:32] 当然
[12:33] 现在难道韩国股市
[12:36] 这些杠杆型ETF在退化以后
[12:38] 不会随着半导体股的反弹而归来吗
[12:42] 其实也必须承认
[12:43] 有很多人当然没有被洗掉
[12:45] 甚至期待再一次翻身
[12:47] 难看因为现在监管机关
[12:49] 限制了三星海力士单一股票杠杆型ETF
[12:52] 散户现在慢慢的把资金
[12:55] 转到每股三倍杠杆ETF了
[12:59] 这也是最近花期的统计
[13:02] 这真的蛮有趣的一个数据
[13:04] 就是根据韩国证券登记结算院资料
[13:07] 韩国在7月份进买入美股
[13:10] 大概是46.7亿美元
[13:12] 创下今年1月份以来的新高
[13:14] 其中像是SOXL
[13:16] 就三倍做多半导体型的SOXX
[13:19] 大概吸收了37亿
[13:21] 这许多投资人
[13:22] 现在其实还在持续增加
[13:24] 美国股市杠杆型ETF的投入
[13:27] 为什么
[13:27] 你只要开个海外券商
[13:28] 或者付委托就可以了
[13:30] 哪像投资韩国内部的
[13:32] 个股杠杆型ETF这么麻烦
[13:34] 他们现在跑去海外炒了
[13:36] 那韩国人真的
[13:37] 不靠赌身家是翻不了身
[13:39] 这叫有输过没怕过
[13:43] 赌博哪有天天输的
[13:44] 给他硬上对不对
[13:46] 当然他也形成了一些副作用
[13:48] 我们看南韩总统府的政策室市长金龙范
[13:52] 最近遭到了刑事举报
[13:54] 他被指涉嫌滥用职权
[13:57] 来强行推动三星SK海力士挂钩的两倍杠杆ETF
[14:02] 提前上市
[14:02] 哇靠
[14:03] 那当时上市的时候你不讲
[14:05] 现在股价跌这么多你才讲
[14:08] 那举报内容也指出说
[14:09] 金融犯在今年一月份就公开质疑
[14:11] 纳斯达克可以这么做
[14:13] 为什么南韩市场不行呢
[14:14] 之后呢金融委员会就讲
[14:16] 把原本下半年要推出的计划
[14:18] 提前到5月27号
[14:20] 赶在地方选举之前上路
[14:22] 那尽管业界专家监管机关
[14:25] 都有内部曾经警告说
[14:26] 这类产品可能会有负面的负力效果
[14:29] 或者放大波动风险
[14:30] 政府仍然快速的批准
[14:32] 后续也因为被质疑
[14:34] 跟COSPI指数的剧烈震荡
[14:36] 和散户的巨额损失有关
[14:38] 导致民间的显著不满
[14:40] 等一下
[14:40] 他的名字就叫做金融犯
[14:43] 难怪会被抓
[14:45] 那名字就叫金融犯了
[14:46] 不是重点
[14:47] 所以你看
[14:48] 韩国人真的很会抓战犯
[14:50] 接下来可能就看韩国股市
[14:54] 因为韩国股市五月份
[14:56] 那个梦想是要成为
[14:58] 亚洲拉斯维加斯
[15:00] 现在终于成为了
[15:01] 那你就要遭受到赌客的评价
[15:03] 那韩国这个国家真的很有趣
[15:05] 上次那个市卒踢输了
[15:08] 好像也要被抓去听证会羞辱
[15:10] 输个球
[15:11] 还搞得好像做奸犯哥一样
[15:14] 所以在舆论和政治压力下
[15:16] 南韩金管当局
[15:17] 在8月份已经正式确认
[15:19] 暂停所有新的单一杠杆型ETF的
[15:23] 上市和广告宣传
[15:25] 将散户的最低的现金存款门槛
[15:27] 从1000万韩元上升到3000万韩元
[15:30] 反对党呢
[15:31] 这是要求国会进行全面调查审批流程
[15:34] 批评政府在5月份
[15:35] 只是为了营造股市的繁荣
[15:37] 而推动的高风险政策
[15:39] 那目前检方还没有确切立案不过呢至少可以看得出来民间的反应其实是相当热络的这赔钱了就怪你涨的时候干得好就是这样的一个情况所以这件事情也值得我们省思
[15:52] 好
[15:53] 接下来台股在逐步运金管会这几年是开放很多了
[15:58] 那是开放到什么样的一个程度
[16:00] 民间的反应和自由波动度的吸收是很重要的
[16:04] 好
[16:04] 我们看一下美国股市市大指数表现
[16:07] 道琼指数上涨907.1.71%
[16:10] 收在54085点
[16:12] 标普上涨136点
[16:13] 1.79%
[16:14] 收在7736点
[16:16] 哇那个标普和道琼都是一只穿云剑
[16:19] 千军万马来相见
[16:21] 那萨克指数大涨671点
[16:23] 2.59%
[16:24] 收在26584点
[16:26] 那指这种涨法看起来
[16:29] 虽然不算是W底啦
[16:31] 因为右边角比较低
[16:33] 不过呢看起来也是一只穿云剑
[16:35] 往上冲
[16:36] 肺瓣的部分啊
[16:37] 稍微止稳了
[16:39] 收在12179点
[16:42] 上涨6.5%
[16:43] 上涨了748点
[16:45] 涨点也不小
[16:46] 那事实上我们特别值得观察的
[16:48] 极大重点
[16:49] 还是来自于
[16:50] 接下来公布财报之后的
[16:51] 市场评价变化
[16:52] 其实硬要讲
[16:53] 这一次的财报公布之后
[16:55] 没有统一叙事
[16:56] 你说
[16:56] 所以投太多钱
[16:58] 股价会跌吗
[16:59] 不一定
[17:01] 不一定
[17:01] 亚马逊自由现金流也转负了
[17:03] 投太少钱
[17:04] 代表退出了AI竞赛吗
[17:06] 也不一定
[17:07] 市场给予的评价有时候还不错
[17:09] 那你说自由现金流的转正转负
[17:13] 会受到影响吗
[17:14] 财报的变化真的很重要吗
[17:16] 似乎市场只是找一个理由
[17:18] 针对个股来做单一调节
[17:20] 我们这次看到
[17:21] 标普白指数二季度财报
[17:23] 陆续公告之后
[17:24] 因为七季头有六季头已经公布了
[17:26] 整个标普的二季度获利
[17:28] 已经年增幅上升到47%
[17:31] 所以其实整体表现
[17:32] 我认为是非常漂亮的
[17:33] 在整个2021年第二季以来的最高
[17:36] 这也是这几年除了经济衰退之后的复苏年之外
[17:40] 几乎前所未见的获利成长速度
[17:42] 现在也没有做什么货币的海量宽松
[17:46] 现在也没有什么很明显的那种政府的财政刺激
[17:50] 去年也没有发生衰退
[17:52] 结果现在EPS利润的成长居然可以年化成长到47%
[17:58] 其实我认为不简单
[18:00] 美国股市成长到这个位置
[18:03] 足以说明的七巨头是真的很赚钱
[18:05] 真的股价是有点委屈
[18:06] 这是我们过去一直以来的看法
[18:08] 那本来就这样
[18:08] 你看7月市场一度剧烈修正
[18:11] 一堆人喊牛市结束了
[18:13] AI行情告一段落了
[18:14] 但这一波下跌
[18:15] 主要来自于去杠杆和资金轮动
[18:18] 它也不是真正基本面的恶化
[18:20] 我们只是期待
[18:21] 可不可以调整久一点
[18:22] 不要直接V
[18:23] 我怕大家又回来了
[18:24] 那第二季的企业获利
[18:25] 预估持续上修
[18:27] 估值压力就得到消化了
[18:28] 为什么
[18:29] 因为有时候你要买它
[18:30] 那不一定是要追涨
[18:32] 它便宜到有点离谱
[18:33] 那本一笔一直下滑
[18:35] 它只要靠EPS的拉伸
[18:36] 很自然的就会获得价值性买盘
[18:39] 所以市场算是完成一次
[18:41] 比较健康的整理
[18:42] 长期多头结构
[18:43] 并没有因此而受到破坏
[18:45] 有时候我们不要替别人的结局
[18:47] 股价单日的涨跌
[18:48] 就直接下定论
[18:50] 说一定现金流怎么样
[18:52] 股价就一定上涨或者下跌
[18:53] 那都是短期解释
[18:54] 长期就是看
[18:55] 那基本面有没有一直在变好
[18:56] 你现在看到的
[18:58] 有可能只是低潮修正
[19:00] 或者暂时的停顿
[19:01] 也不代表故事已经结束
[19:03] 很多事情的真正转折
[19:05] 往往都发生在大家最悲观
[19:07] 最容易放弃判断的时候
[19:09] 所以不要替别人的结论
[19:11] 别人的结局来直接下定论
[19:13] 所以现在看到一个故事
[19:15] 他讲说农场主人买了一只公鸡
[19:18] 第一天
[19:19] 那公鸡就找遍农场里所有的母鸡
[19:22] 晚上又来一次
[19:23] 第二天更夸张
[19:25] 鸭子也不放过
[19:27] 鹅也不放过
[19:28] 连鸽子都不放过
[19:30] 后来到第三天
[19:31] 那主人就看到公鸡躺在地上
[19:34] 奄奄一息
[19:35] 那旁边还有一只秃鹰在盘旋
[19:37] 那主人就笑他
[19:39] 活该
[19:40] 玩过头了吧
[19:41] 那公鸡突然抬头
[19:43] 骂他
[19:44] 闭嘴啦
[19:45] 你把秃鹰吓跑了
[19:47] 所以你不要急着替别人的结局去下定论
[19:52] 很多事情真正的转折
[19:53] 往往都发生在大家最悲观
[19:55] 最容易放弃判断的时刻
[19:57] 市场跌一点
[19:58] 那很多人说牛市就结束了
[20:00] 公司遇到挫折
[20:01] 就说没有未来了
[20:02] AI资本支出增加
[20:04] 前日说不回来
[20:05] AI资本支出减少
[20:07] 那你一定退出AI游戏了
[20:08] 所以不管怎么说
[20:10] 过程不等于结果
[20:11] 短期的表现
[20:12] 也不能够决定长期价值
[20:13] 过早下结论
[20:14] 不只是看错
[20:15] 也有可能会让自己错过
[20:17] 后来的真正机会
[20:19] 好我们细看几次财报
[20:20] 像Parentier
[20:21] 这次财报表现就非常不错
[20:23] 可是真的是因为财报不错
[20:24] 它上个季度财报也不错
[20:26] 二季度这次Parentier
[20:28] 营收是19.4亿美元
[20:30] 年增幅有93%
[20:32] 高于市场预估的18亿
[20:34] 调整之后的每股盈余是0.41块
[20:36] 也由于市场预期的0.35块
[20:38] 那股价单日大涨了快要三成了
[20:41] 可是你看它的现行
[20:43] 这种涨法很明显是因为股价过度委屈
[20:46] 本益比的大幅下滑所造成的吧
[20:48] 很明显是因为它今年以来几乎没涨过
[20:51] 你看在今年的二月到三月的一两战事之后
[20:56] 股价还在迟迟的破底
[20:57] 所以现在一次跳升上去涨了三成
[21:00] 他甚至今年都还不是正报酬
[21:02] 所以可以看得出来
[21:04] Paymentier第二季一共签下了
[21:06] 220笔超过100万美元的合约
[21:08] 那的确市场上有进一步
[21:11] 对于未来跟美国政府合作的
[21:14] 新一轮订单预期
[21:15] 可是这样的一个效果都看得出来
[21:17] 有时候现在市场资金
[21:19] 就是在找一个本益比偏低的
[21:21] 适合轮动的
[21:22] 基本面良好的
[21:23] 因为现在大家基本面都很好
[21:26] 资金要找到更好的去处
[21:28] 再来是卡特比勒
[21:29] 这一次受惠于AI资料中心
[21:32] 和制造业的回流
[21:33] 还有美国基础建设的带动
[21:35] 它也算是卖铲子的
[21:36] 第二季绞出了亮眼的成绩单
[21:39] 单季营收来到205亿
[21:42] 年增幅有24%
[21:43] 当然现在全美
[21:45] 不管是机械能源动力部门
[21:48] 营收都有非常显著的拉升
[21:49] 因为AI基建潮正在开启
[21:51] 股价也受到非常显著的吹捧
[21:53] 再看一下AMD
[21:55] 超微的部分
[21:56] 第二季财报其实也很漂亮
[21:58] 但是股价就暴跌了
[22:00] 为什么呢
[22:00] 因为今年涨太多了
[22:02] 因为它是晶片股
[22:03] 所以我们讲的就是
[22:04] 市场好像在为
[22:05] 接下来的股价权重调整理由
[22:08] 反正是股价偏低的
[22:09] 本益比偏低的
[22:10] 就硬要找一个理由往上拉
[22:12] 过去股价偏高的
[22:14] 好像有点贵
[22:15] 不如挪一下资金好了
[22:16] 找一个利空来让它股价下滑
[22:18] 其中我们看到
[22:19] 最为亮眼的还是资料中心业务
[22:21] 营收是来到67亿美元
[22:23] 年增幅有107%
[22:25] 这是公司现在最大的成长来源
[22:27] 更值得注意的事情是
[22:29] 其实超微预估第三季的营收
[22:32] 还有130亿美元
[22:34] 这个是比预期还要高非常多的
[22:36] 代表下半年预估还会持续的放量
[22:39] 那产品布局层面
[22:41] AMD我们过去提过
[22:42] 它真正想改变的不只是GPU的市占
[22:45] 是整个AI的系统架构
[22:47] 公司在本季度已经开始像Meta和OpenAI
[22:50] 还有加古文来出售手套的机柜AI系统
[22:54] 而且把各类型的网络晶片
[22:56] 整合成相关解决方案之后
[22:58] 其实超微也慢慢的
[23:00] 从单一晶片供应商
[23:01] 变成升级为完整
[23:03] AI基础设施平台的供应商
[23:06] 往辉达的CUDA系统来做迈进
[23:08] 那另外一方面我们看到
[23:10] 像AWS Google Cloud
[23:12] 甲骨文这些大型云端服务商
[23:14] 其实也在采用超微的平台
[23:16] 应该讲说
[23:17] 超微和辉达平台属于双向布局
[23:20] 很多现在云端业者是这样干的
[23:22] 那我们也知道
[23:23] 它的资本支出
[23:24] 也以非常惊人的速度翻倍
[23:26] 可是巨头花钱是收不回来
[23:28] 他的资本支出是马上可以收得回来的
[23:31] 但市场的评价一样不是特别好
[23:33] 所以现在就变成
[23:34] 反正股价只要高的只要不切实际的都会受到市场的承压那一样就算你现在钱不一定完全收得回来但是本益比例低到一个离谱的地步
[23:44] 资金也有可能开始做回馈
[23:46] 另外一个就是SpaceX
[23:48] SpaceX其实这次财报表现不错
[23:50] 结果股价一样是重挫
[23:52] 这一次第二季的营收
[23:54] 是来到78亿美元
[23:55] 高于市场预期的68亿
[23:57] 每股亏损是0.09块
[23:59] 那当然也比原本预估
[24:02] 亏损0.24块还要来得少
[24:03] 就算我亏的比预期来的少非常多
[24:06] 接近只有二分之一三分之一
[24:09] 然而公司第二季的资本支出暴增以后
[24:12] 市场上反而又重演上一次的巨头惨剧
[24:16] 好像你只要多花钱
[24:17] 你又还没有具体的营收回馈
[24:19] 股价的评价给你很低的资本
[24:21] 不一定
[24:22] 可能就是因为
[24:23] 接下来有进一步的筹码释出
[24:25] 大家担心会受到解禁期的影响
[24:28] 事实上我们过去跟投资朋友提过
[24:30] 因为今年会有大量的
[24:32] SpaceX的股票要陆续解除限售
[24:34] 之前的员工就可以卖股票了
[24:36] 首次财报公布之后
[24:38] 最多可以解禁9.12亿股
[24:40] 那第二季财报之后
[24:42] 又再增加13亿股
[24:43] 全年会增加到50亿股
[24:45] 那当然了
[24:46] 您说
[24:47] 那不会吧
[24:48] 员工应该都看好SpaceX
[24:50] 应该他们的原本的股东
[24:52] 应该也都会看好吧
[24:53] 这不一定
[24:53] 一个月前他还可以卖200块
[24:57] 一个月以后
[24:58] 他卖的现在的价位
[25:00] 亏了一半
[25:01] 所以从这件事情就说明着
[25:03] 大家会担心解禁期之后
[25:06] 形成对SpaceX的股价卖压
[25:08] 市场当然就会予以谨慎
[25:09] 那现在从8月6号
[25:11] 从明天开始
[25:12] 就已经正式进入到
[25:13] 内部人持股的解禁期
[25:15] 最多会有20%的持股先解禁
[25:18] 之后在8月到12月
[25:20] 会分阶段的释出
[25:21] 第三季财报之后
[25:22] 还有28%要持股做解禁
[25:25] 那你说说会不会
[25:26] 接下来就大家急着想要买
[25:28] 不一定
[25:29] 要看看情况
[25:30] 我们之前Meta就有这样的一个经验
[25:32] Meta在十几年前上市的时候
[25:34] 每逢大规模的捷径
[25:36] 股价都会比IPO价格再回落30%到50%
[25:40] 所以可能大家担心的更多是筹码问题
[25:43] 反正先卖再说
[25:44] 可是我们要知道SpaceX的营收
[25:47] 它的结构在未来十年
[25:49] 其实已经大幅转向AI了
[25:51] AI的营收业务占比
[25:52] 在本次财报公布当中
[25:54] 26年已经占了40%
[25:56] 到2035年预估会成长到81%
[26:00] 相对之下
[26:01] 现在现金流最为稳定的
[26:02] StoreLink或者联网服务
[26:04] 会持续的收缩
[26:06] 预估未来十年
[26:07] 可能收缩到不到5%
