[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 结果我们陆续迎来史上第一大跌点
[02:27] 所以我们重点要观察
[02:28] 两个角度
[02:29] 一个是融资杠杆仔
[02:32] 在今天的市场清理情况
[02:35] 第二是现股投资人
[02:37] 今天看起来肯定会接盘
[02:39] 我们看一下
[02:39] 有没有机会创天量
[02:40] 当然这次大跌
[02:42] 到底是修正情绪面
[02:44] 还是修正基本面呢
[02:46] 我们回过头看
[02:47] 这一次市场
[02:48] 给予回档的原因猜解
[02:50] 大概来自于四个因素
[02:51] 第一是强劲的非农就业数据
[02:53] 第二是博通财报
[02:55] 之后的获利了结
[02:56] 第三是SPEX上市的传闻
[02:58] 最后是市场针对AI记忆体需求的担忧
[03:01] 可是你仔细想一想
[03:02] 这些利空
[03:03] 那不是过去两个月都存在吗
[03:06] 五月非农好
[03:07] 其实四月非农也是好的
[03:09] 所以就业数据的好所造成的利率扬升
[03:12] 到底是一件坏事吗
[03:14] 难道你希望就业数据坏一点吗
[03:16] 这个就牵扯到升息降息的市场预期了
[03:19] 那另外一个被放大的利空
[03:21] 就是博通的财报和AI的记忆体传闻
[03:23] 博通最新的AI业务
[03:25] 展望仍然维持超过200%的年增服务
[03:28] 大家的问题在于什么
[03:29] 问题在于第一期望太高
[03:31] 第二怕订单被联发科抢走
[03:33] 但我们已经讲过了
[03:35] 如果AI是一个增量市场
[03:37] 那即便市占率被你剥夺一点
[03:39] 又有什么关系
[03:39] 大家营收都会创高
[03:41] 再就是传出挥打可能调整
[03:43] 下一代AI伺服器的记忆体规格
[03:46] 很多人理解成需求降轨
[03:48] 没有
[03:48] 床人讯已经提过了
[03:50] 现在就是供给不足的问题
[03:51] 并不是需求不足
[03:52] 所以综合来看
[03:54] 不管是什么升息恐慌
[03:56] 还是财报的失望
[03:57] SPACX还是乖离过高
[03:59] 上涨的过程当中
[04:00] 你会发现这几个原因
[04:02] 过去两个月也都存在
[04:04] 这些看起来是利空
[04:06] 可是过去两个月
[04:07] 好像都把它解读成利多
[04:09] 所以从这样的一个角度来做思考
[04:11] 大家就有更清晰的理解了
[04:13] 那就是AI本轮上涨之后的
[04:16] 第一次的压力测试来临了
[04:18] 测试谁呢
[04:18] 测试已经持有现股的人
[04:21] 你会不会由于单一事件
[04:23] 就选择要离场
[04:24] 所以你已经了解我们的态度了
[04:26] 我们过去
[04:27] 左侧投资
[04:29] 在左侧通常不会太悲观
[04:31] 在右侧也不会特别的乐观
[04:33] 那既然左侧又即将来临
[04:35] 那当然稍微了解我们的态度了
[04:37] 当然我们看到
[04:38] 这一次如果深入观察之后
[04:40] 真正引爆的卖压
[04:42] 其实并不是刚才几个利空
[04:44] 很明显是AI交易过度涌挤之后的
[04:47] 技术性踩踏
[04:47] 我们过去提过
[04:49] 这两年那个涌挤交易特别明显
[04:51] 一喊白银
[04:52] 资金就灌到白银
[04:53] 然后白银交量就放大
[04:55] 一喊黄金就变黄金
[04:56] 一喊七居头就变七居头
[04:57] 一喊记忆体就变记忆体
[04:59] 所以这一次的行情
[05:01] 它明显是过度拥挤之后的
[05:03] 技术性才大
[05:04] 而陆续碰到城市单以后
[05:06] 被迫的停损行为
[05:07] 所以这种自我强化的循环
[05:09] 我们就要看
[05:10] 是否有人能够打破
[05:11] 这样的一个循环
[05:12] 如果从更高城市来看
[05:14] 每一次牛市走到中企
[05:16] 都会经历这样的一个市场压力
[05:18] 整体而言
[05:19] 某种程度来看
[05:20] 第一个是让股市
[05:22] 本来有自然乖离回杂的空间
[05:24] 第二是让市场去解读
[05:26] 到底本次美国股市的回跌
[05:28] 是不是来自于资本支出
[05:30] AI基本面出现了重大改变
[05:32] 所以我的看法其实很明显
[05:33] 美股修正不代表空头来了
[05:35] 不过市场的确是有点累了
[05:37] 这一波涨这么多
[05:39] 涨到我都觉得有点离谱了
[05:41] 实事从真实角度来看
[05:43] 市场的部位过度集中
[05:45] 导致动能因子
[05:46] 我们根据巴克莱的统计
[05:47] 已经超过历史平均1.5个标准差以上
[05:50] 投资人对于同一批AI受惠股的持股
[05:53] 高度重叠
[05:54] 这就导致一卖
[05:56] 大家就稀里哗啦卖下来
[05:57] 一买单一资产上涨幅度就会加快
[06:00] 所以无论是量化基金
[06:02] 主动型基金
[06:03] 杠杆产品
[06:04] 还是选择全交易
[06:05] 就是由于太拥挤了
[06:06] 现在大家持有的标的都差不多了
[06:08] 所以过几分钟之后
[06:11] 待会会赚钱的
[06:12] 大概就三种人
[06:13] 第一个上礼拜就不好空单的
[06:15] 第二个做高频交易
[06:16] 做第一根
[06:17] 第三是证券商
[06:19] 手续费大赚
[06:20] 今天要爆天亮了
[06:21] 搞不好
[06:22] 你看上礼拜证券股拉涨点是有原因的
[06:26] 他已经料到了
[06:26] 但是现股持有者一定会受伤
[06:29] 可是我们好处是我们会活着
[06:32] 活着就是胜利
[06:33] 很多人他看对了趋势
[06:35] 但死在拨
[06:36] 台股有没有一天会上十万点
[06:38] 一定的
[06:39] 那去融资的人
[06:40] 那些人不知道吗
[06:41] 去上杠杆的
[06:43] 放了几大杠杆的人
[06:46] 难道他不相信财股会上10万点吗
[06:48] 他跟现货投资者一样都相信
[06:50] 但他熬不过波动
[06:51] 这是很重要的关键
[06:52] 这也是我们过去
[06:53] 对于在这个时间点
[06:55] 上杠杆比较谨慎的原因
[06:56] 当然市场回过头来说
[06:58] 你说这一波跌幅好像也还好
[07:00] 的确其实也还好
[07:02] 所以也不用急
[07:03] 我们根据废办在今年涨幅
[07:05] 已经来到接近80%
[07:08] 如果是过去一整年涨幅
[07:10] 就从去年6月份开始计算
[07:12] 已经涨了187%
[07:14] 跌个20%跌个50%
[07:16] 感觉都算正常
[07:17] 远远超过大型科技组合的三数
[07:20] 应该不能讲说总指数的50%
[07:22] 那说从高点这样子跌下来
[07:25] 跌个一层两层
[07:26] 其实算是合理的范围
[07:27] 科技巨头今年涨幅也才20%
[07:30] 所以反而是费半杀的
[07:32] 重视正常的
[07:33] 重点是观察在科技巨头层面
[07:35] 是否其他股票能够像礼拜五的Google一样具有适度的稳盘效果我们讲过左侧从不悲观右侧不追高所以既然是左侧那上一次买股票大家也大概知道了
[07:47] 那就两个月前
[07:47] 好今天会有很多人被洗掉很多人被迫停损
[07:50] 但是你仔细想一想他们的判断真的有错吗
[07:53] AI真的不是趋势吗
[07:55] 台股真的不会上十万点吗
[07:56] 其实都会太多人是看对了趋势实在波动
[08:00] 许多受过伤的人在离场之前
[08:03] 你会发现
[08:04] 只有撑下去的人
[08:05] 才能够享受果实
[08:06] 所以很多人看对趋势
[08:08] 实在不懂
[08:09] 大家一定要坚持
[08:09] 好不好
[08:10] 这个其实我们讲说
[08:11] 真的能够赚大钱的
[08:13] 跟赚一些零头的
[08:15] 有本质的区别
[08:16] 没有赚过大钱的人
[08:17] 很多人会有一种
[08:18] 线性思维
[08:19] 就想要每天赚
[08:21] 然后周周赚
[08:23] 然后月月赚
[08:24] 季季赚
[08:25] 年年赚
[08:26] 好像很正常
[08:27] 我们讲过
[08:28] 没有天天过年的
[08:29] 现在一个乖离回党
[08:30] 才一个乖离回党
[08:32] 就被洗掉了
[08:33] 所以很多人的规划时间
[08:34] 其实是在太短期了
[08:35] 好像一段时间赚不到钱
[08:37] 节奏就开始乱了
[08:38] 那些我们看到
[08:40] 每一次经历过周期循环的人都知道
[08:42] 你每一次
[08:44] 每年大概就是
[08:45] 两到三次的周乖离的大回调
[08:47] 时机来临的那一刻
[08:49] 你狠狠地抓住机会
[08:50] 成本价就能够因此而攀跌
[08:52] 不过说真的
[08:53] 持有现股的有什么好怕的
[08:55] 这种跌幅也不是第一次遇到
[08:56] 大家想想看
[08:58] 这个世界有靠投资成功的首富
[09:00] 但有靠投机成功的首富
[09:02] 所以资产的累积到一定量
[09:04] 你还是以投资作为主流方向
[09:07] 对俗话说
[09:08] 有白头的老师
[09:09] 没有白头的强盗
[09:10] 某些职业
[09:12] 他是无法做一辈子的
[09:14] 你看看身边
[09:15] 那些不同职业的人
[09:18] 有些职业就没法做一辈子
[09:20] 对
[09:21] 秃头不能够当作指标
[09:23] 秃头可以当立法院长
[09:25] 不要乱讲
[09:27] 好
[09:27] 那我们回过头看
[09:28] 所以我们要讲的事情是
[09:29] 美国股市出现这种
[09:30] 比较大的系统性回调
[09:31] 是非常正常的
[09:33] 我们从过去100年的历史来做观察
[09:35] 即便是高强度的三代牛
[09:38] 经常出现20%到30%回调
[09:40] 都是正常的
[09:41] 我们差别只在于
[09:42] 如果它跌到20% 30%以后
[09:44] 扩大跌幅变成系统性风险
[09:46] 你有没有足够的资金
[09:47] 那我们待会细谈
[09:48] 我不认为会跌到这么重
[09:50] 重点是高乖离的自然回调
[09:53] 是很容易出现的
[09:54] 那我们现在回过头说
[09:55] 市场是如何理解的呢
[09:57] 刚才我们看到有很多的利空
[09:58] 可是这些利空
[09:59] 好像很难串起一个论述
[10:01] 我们把现在华尔街的平均
[10:04] 这个主流的论述
[10:05] 来做一系列的统整
[10:07] 第一个论述来自于什么
[10:08] 其实来自于市场的利率预期的变化
[10:11] 如果我们近期把焦点放在AI半导体股
[10:14] 但是你会发现
[10:15] 市场上从10年期公债值利率
[10:17] 大概就在高位持续性的震荡
[10:20] 那这种利率上的指引
[10:21] 很明显是受到这次非农就业数据
[10:24] 开始有一个强化僵固性的调升
[10:27] 为什么会这样做呢
[10:28] 我们看5月份这次的非农就业数据
[10:30] 17.2万人
[10:31] 这是远远高于市场预期的
[10:33] 8.8万人
[10:34] 更超过所有预期的最高值
[10:37] 12.5万人
[10:38] 大概已经高了
[10:40] 接近有四个标准差左右
[10:41] 那同时间呢
[10:42] 前两个月的就业数据
[10:44] 居然也同步上修
[10:45] 说明的事情是
[10:46] 美国就业好到离谱啊
[10:49] 连川普看到这种数据
[10:50] 股市还暴跌都傻眼了
[10:52] 从家户调查和企业调查
[10:54] 同步来做观察
[10:55] 都在改善
[10:56] 因为美国就业市场
[10:58] 一直有一个问题嘛
[10:59] 就业调查跟家户调查
[11:00] 统计的方向不一样
[11:01] 企业调查是打电话问你老板
[11:03] 家户调查是打电话
[11:05] 到你们家问你的失业情况
[11:07] 那以前都是
[11:08] 企业调查表现还不错
[11:09] 因为非农就业感会一直增加
[11:11] 那你像我
[11:12] 我平时早上直播完
[11:14] 中午就要去送外卖
[11:16] 晚上我还要去南摩会馆兼职
[11:18] 那我一个人就贡献三份工作
[11:20] 所以非农就业数据
[11:21] 有时候看起来不错
[11:22] 那家户调查
[11:23] 你问我我过得好苦
[11:25] 我的薪资都没有成长
[11:26] 所以说企业调查
[11:27] 跟家户调查会有所区别
[11:29] 因为非农就业
[11:30] 它统计的是就业岗位
[11:31] 这次不一样
[11:32] 家户调查已经从1亿6262万人
[11:37] 增加到1亿6277万人
[11:40] 增加了14.9万人
[11:41] 连家户调查目前都在改善当中
[11:44] 失业率就保持在4.3%左右
[11:46] 甚至薪资也没有造成进一步的通膨时空
[11:50] 月增幅大概0.3
[11:51] 年增幅3.4%
[11:53] 所以这件事情就意味着
[11:54] 如果教政回归下修就算了
[11:58] 这次校正回归还上修呢
[11:59] 这等于三月四月五月的就业数据都非常不错
[12:02] 如果细看现在的就业增加部门
[12:05] 休闲和参与业增加了七万人
[12:08] 地方政府增加5.5万人
[12:09] 医疗保健增加3.5万人
[12:11] 总体来说
[12:13] 就连政府部门的就业都开始做拉升
[12:16] 其实就意涵着
[12:17] 美国的确是否有僵固性通膨的问题
[12:20] 因为消费市场虽然疲惫
[12:22] 可是就业市场并没有崩溃
[12:24] 那我个人的观感
[12:25] 我做个结论
[12:26] 我认为这种升旗预取是短暂的
[12:28] 因为就业市场其实没这么好
[12:30] 第一个是非农就业数据的暴增
[12:32] 从来不代表就业市场环境变好
[12:34] 他只是兼职的人变多了
[12:35] 那如果我们确认
[12:36] 全职人数一直在下滑
[12:38] 兼职人数一直在上升
[12:39] 你觉得这个就业市场本身是好的吗
[12:41] 大家都去打工兼职了
[12:43] 但是没有人做全职工作
[12:45] 或者说全职工作的就业岗位
[12:47] 没有开出来
[12:47] 这件事情本身就说明了
[12:49] 市场的劳动力品质正在下滑
[12:52] 举一个直观的
[12:53] 我们根据家户调查
[12:54] 本月兼职的工作增加了26.6万人
[12:58] 全职工作却减少了7.9万人
[13:01] 这已经是过去五个月第四次的全职工作下滑
[13:04] 也是连续两个月减少
[13:06] 其实就意味着
[13:07] 美国就业市场并没有想象中还要来得好
[13:10] 所以我们当然知道
[13:11] 或许很快就要召开联总会利率决策会议
[13:14] 但是市场认为它有升息的可能性
[13:18] 川普认为它应该降息
[13:19] 可是如果他稍微读懂就业数据的表现
[13:22] 他应该就会尝试的说服内部的理事
[13:25] 要按兵不动
[13:26] 不应该说一定要升或降
[13:28] 可是就目前的就业情况来看
[13:31] 你绝对不会说市场就业好的不得了
[13:34] 不能用非农就业数据的单日跳针
[13:36] 来做直观的解释
[13:37] 所以我个人的看法是
[13:39] 可能这一次会按兵不动
[13:41] 当然市场的利率已经蠢蠢欲动
[13:43] 好那为什么我们讲说
[13:44] 这件事情跟我们的股市有什么关系
[13:46] 那之前那个通膨高升
[13:48] 大家一样会认为对于股市有承压
[13:50] 好像没有
[13:51] 之前3月份伊朗战事打了那么久
[13:54] 那个利率预期也没有反映到股市
[13:56] 为什么这一次就要反映了呢
[13:57] 第一个就解读问题
[13:58] 第二个因为这一次大家认为
[14:01] 如果就业市场都这么好
[14:02] 利率就会保持在高位
[14:04] 融资成本压力越来越大
[14:06] 融资成本越来越大
[14:07] 科技巨头就付不出这么多利息了
[14:10] 这是比较实观的解释
[14:11] 我们看五大CSBA者
[14:13] 今年资本支出是接近8000亿元
[14:16] 2027年甚至会突破1.1兆美元
[14:18] 这代表短短三年内
[14:20] AI基础建设的投资会暴增三成
[14:22] 好了
[14:23] 问题来了
[14:23] 你看现在Meta发债250亿
[14:26] Google发债800亿
[14:28] 发这么多债
[14:29] 如果未来继续发债
[14:30] 利率预计还这么高
[14:31] 压力就很大了
[14:33] 我们看这个是
[14:34] 四大CBA者的现金流情况
[14:36] 口袋里的钱
[14:37] 看起来是越来越少了
[14:40] 所以虽然JP Morgan
[14:41] 或者大摩这些大型银行
[14:43] 很乐意乘坐AI资料中心的融资
[14:46] 可是现在市场上已经开始发现了
[14:48] 像甲骨文相关的资料中心贷款
[14:50] 银行甚至花了半年还花不掉
[14:52] 原因就是大家有预感
[14:54] 他们快要没钱了
[14:55] 钱不够
[14:56] 除非你给我更高的殖利率表现
[14:59] 要不然我才不愿意持有这么多的
[15:01] 大型四大CSBA的债券
[15:04] 所以这就形成市场上的进一步沉压
[15:06] 如果这些企业借钱玩不下去了
[15:09] 本来2030年的融资计划
[15:11] 被迫在28年29年就没人借了
[15:13] 那也许就出现了断裂
[15:16] 有锻炼
[15:17] 只有企业撑不住了那AI可能就要提前透支到底具体的生产力回馈这是目前给予的市场评价这是由于利率所引发的融资成本上升
[15:28] 导致企业巨头的AI游戏
[15:30] 玩不下去
[15:31] 那我们已经讲过了
[15:32] 这种利空过去上涨时也存在
[15:34] 3月4月的通膨情况
[15:36] 你不觉得比现在还来得更
[15:37] 压力来得大吗
[15:39] 现在市场上都快要做好
[15:40] 供给链调整了
[15:41] 所以有些人想说
[15:42] 有没有可能是华尔街在诱空
[15:44] 找消息
[15:45] 让大家洗一下筹码
[15:47] 对不对
[15:48] 又空
[15:48] 很多人喜欢在下跌之后
[15:50] 替市场找理由
[15:51] 投资市场常常是先跌了
[15:53] 理由才被整理过来的
[15:54] AI需求不如预期
[15:55] 非农数据很强劲
[15:57] 科技巨头增发股票
[15:58] 估值过高
[15:59] 然后地缘政治升温
[16:01] 这些因素
[16:02] 过去几个月大多数都存在
[16:04] 甚至不少消息
[16:05] 已经被市场反复讨论了
[16:06] 如果真的是决定性的利空
[16:08] 理论上那也不是等到今天再反应
[16:11] 所以另外一种可能
[16:12] 是市场涨幅过大
[16:13] 筹码过度集中
[16:15] 杠杆水位偏高的时候
[16:16] 华尔街借助一个大家都听得懂的理由
[16:19] 来顺势完成一次的洗盘和风险释放
[16:23] 所以即便你想要等到估值回调到合理水位
[16:26] 乖离回调到合理水位再进场
[16:28] 也不适合去做空
[16:30] 要不然市场上现在有一种又空逻辑
[16:33] 让你相信趋势结束了
[16:35] 空头进场赶快回来吧
[16:37] 有这样的一个感觉
[16:39] 什么叫做又空
[16:40] 又空就是又空又空
[16:45] 华尔街开始耍诈术
[16:47] 放消息搞利空下咒术
[16:49] 嘎巴你脸上全是雾
[16:51] 转头你又偷偷下注
[16:52] 散户忙到去跑路
[16:54] 低点割落像瀑布
[16:55] 钱赔光了你不在乎
[16:57] 新闻天天喊没路
[16:58] 开盘等着见神父
[16:59] 又空
[17:01] 又空
[17:03] 之前有点疯
[17:04] 对不起
[17:05] 有点兴奋
[17:06] 想到待会又要见到大场面
[17:08] 我就有点兴奋
[17:09] 有点不正常
[17:11] 大家体谅一下
[17:12] 好我们回过头看一下
[17:13] 台北股市的变化
[17:14] 台股其实上礼拜还涨了338点
[17:17] 周线连三红
[17:18] 所以技术面留下了一些上影线
[17:21] 当然回过头看
[17:22] 台积电ADR的重挫
[17:23] 台纸企业盘重挫了3000点
[17:26] 黑色星期五吸来以后
[17:28] 我们就看一下
[17:29] 待会散户大军的买盘情况
[17:31] 当然我们回过头看
[17:32] 市场上有几个逻辑
[17:34] 这个降杠杆
[17:35] 买黑不买红
[17:37] 太弱流强等等
[17:38] 每次回调都差不多的做法
[17:40] 这一次我们的看法很简单
[17:42] 我们过去几个月已经讲过了
[17:44] 杠杆是拿来超车用的
[17:46] 不是飙车用
[17:47] 超车是为了达到资产配置的优化
[17:50] 但是飙车不是
[17:51] 飙车是为了翻身
[17:53] 现在飙车的人出车祸了
[17:56] 现在反而是我们现货投资者
[17:59] 值得做特别一步关注的时候
[18:01] 现在股灾或者说股价的下修
[18:04] 很多人会在今天可能被迫要翻车
[18:06] 他最终会理解
[18:07] 很多时候即便我们的趋势
[18:09] 我们的目标是一致的
[18:10] 但是会死在波动
[18:12] 在这样的一个效果底下
[18:13] 现在回过头说
[18:14] 这种清洗的过程
[18:16] 就会让现货投资者你有了底气
[18:18] 这是第一点
[18:19] 第二点事情
[18:20] 什么样的一个指标
[18:22] 陆续达到位以后
[18:24] 就开始我们看到
[18:25] 本轮的筹码已经算是清理干净了
[18:28] 有几个角度来做一些解释
[18:30] 第一个当然就是大盘融资维持率的变化
[18:33] 现在大概是接近170%左右
[18:36] 其实还算是偏高
[18:38] 我们不看融资率
[18:39] 因为融资率随着股市创高
[18:41] 很正常
[18:41] 维持率172左右
[18:43] 那按照过往经验
[18:45] 如果真的要来到相对低档
[18:48] 是恐慌性的卖压
[18:49] 08年是到128
[18:51] 11年是135
[18:53] 15年中国股灾是138
[18:55] 疫情是133
[18:57] 24年的8月日元平仓是138
[19:00] 那去年关税战争来到118
[19:02] 所以大概见到140 130字头
[19:05] 真的就完全清洗的差不多了
[19:07] 当然了
[19:08] 更有可能的事情是
[19:09] 本轮只是涨高之后的怪力修正
[19:11] 还不一定维持率可以来到这么低
[19:13] 可是终究有人
[19:14] 个股投资者压力就会来得比较大
[19:17] 可能第一波就被清洗掉
[19:18] 刚才还有一个网友留言
[19:19] 台股还要啃枪多久
[19:22] 我一直没有意会过来
[19:24] 我说啃枪那是什么意思
[19:26] 说追脚电话来了
[19:28] 啃枪
[19:30] 对不起有点兴奋
[19:32] 但是我们看现在手上现金
[19:34] 整体而言
[19:36] 对于现股投资者
[19:37] 你至少有两个月的本业收入
[19:39] 没有买到股票了
[19:40] 那回过头看
[19:41] 就要抓住这一轮的机会
[19:43] 因为我们讲过
[19:44] 如果市场上
[19:45] 针对AI的趋势是确认的
[19:47] 那代表我们的终端目标
[19:49] 已经确认了
[19:49] 差别只在于
[19:50] 你会不会被市场波动
[19:52] 给洗掉而已
[19:53] 事实上我回过头说
[19:54] 第一个是
[19:55] 整体大盘融资维持率的变化
[19:57] 看这一轮下旬会有多大
[19:59] 第二个当然就是等外资
[20:00] 这一波的空单
[20:02] 清洗到什么样的位置
[20:03] 外资现在空单口数
[20:05] 大概已经有7万口
[20:07] 降到5万口就差不多了
[20:09] 现在点位高
[20:10] 正常来讲
[20:11] 避险单位比较高也是正常的
[20:12] 但是只要有一个
[20:14] 比较大规模的回调
[20:15] 是有机会的
[20:16] 那这当然会伴随着
[20:18] 美债殖利率的回调
[20:19] 或者融资余额的减少
[20:21] 融资余额
[20:21] 我觉得也不用说要砍半
[20:23] 搞不好减个500亿
[20:24] 减个1000亿
[20:25] 就已经算减很多了
[20:26] 重点是维持率的一个变化
[20:28] 是否能够回到一个相对均值
[20:30] 可能150 160的水准
[20:32] 那第三个当然就是
[20:33] 亚洲市场的系统单卖压
[20:35] 因为就算散户大军接得住
[20:37] 外资只要国际股市卖压还在
[20:39] 它也不会停
[20:40] 今年新台币算好的
[20:41] 今年新台币跌幅不到1%
[20:44] 但是韩元已经贬了6.3%
[20:46] 港币跌了0.6%
[20:48] 印度鲁比跌了6.5%
[20:50] 印尼盾跌了8%
[20:51] 泰铢跌了3.6%
[20:53] 如果亚币造成系统性的沉压
[20:55] 反而就是外资的卖压
[20:57] 它可能就要被迫已久
[20:58] 所以新台币的表现已经算是很不错的
[21:01] 接下来汇率变化也是大家值得观察的重点
[21:03] 总结来说
[21:04] 结到肯定是要结的
[21:06] 哪一次不接呢
[21:07] 那重点是你是现股投资人
[21:09] 你才有机会能够接啊
[21:10] 不是的话那今天就要被洗掉了
[21:12] 那当然回过头看
[21:13] 道琼公益指数的部分下跌695点
[21:15] 1.35%
[21:16] 收在50,866点
[21:18] 其实也还好啊
[21:19] 才一根而已
[21:20] 标普下跌200点
[21:22] 2.64%
[21:23] 收在7,383点
[21:25] 纳指下跌1,121点
[21:27] 4.18%
[21:28] 收在25,709点
[21:30] 这一根就蛮重的了
[21:32] 就直接把五月份涨幅给吃掉了
[21:34] 被扮液跌幅1396点
[21:37] 10.26%
[21:38] 收在12220点
[21:40] 哇他跌这么重
[21:41] 其实也碰到越线而已
[21:42] 你就知道现在离中长期均线
[21:44] 到底有多远
[21:46] 正常来讲
[21:46] 回到季线左右
[21:48] 都算是一个正常的乖离回调
[21:50] 不过回到季线
[21:51] 大概一堆人已经痛死了
[21:53] 这就是我们选择
[21:54] 在左侧不悲观
[21:55] 在右侧不追高的逻辑
[21:57] 现在终于重新的展现
[21:58] 人性就不断的重复
[22:00] 即便是AI行情也是如此
[22:01] 当然了
[22:02] 如果我们以今年来看
[22:03] 各大资产今年还是正绩效
[22:05] 所以回档幅度还是很多了
[22:07] 大宗资产今年涨幅有30%
[22:09] 其他像是科转债有涨幅18%
[22:12] 纳指涨幅有14%
[22:13] 小型股价值股中型股瑞士
[22:16] 涨幅大概还有10%到15%左右
[22:19] 其他像是一些美国的新银市场
[22:22] 美国股市新银市场
[22:23] 或者美国成长股特别股
[22:25] 涨幅大概1%到5%
[22:26] 卖压稍微比较重的大概就一个了
[22:28] 又是你还是比特币
[22:30] 跌幅已经高达30%了
[22:32] 不过比特币刚才已经开始反弹了
[22:34] 今年其实加密市场表现都不是特别好了
[22:37] 我们看到像是索拉纳跌了52%
[22:40] 然后以太币跌了49%
[22:42] 瑞波币跌了45%
[22:44] 狗狗币跌了42%
[22:45] 币安币跌了34%
[22:48] 比特币跌了32%
[22:50] 那主流币总的确还是遭受到非常大的沉压了
[22:54] 那简单来讲
[22:55] 那投资逻辑其实也没有太大的改变
[22:57] 这个那句话怎么讲你不能只有牛市创高的时候想要投资啊牛市跌下来你在股市修正期你在熊市时你更想要投资中华队你不能只有在赢的时候
[23:11] 才爱他们
[23:12] 他们输的时候
[23:13] 你要更给他们打气
[23:14] 之前那个李瑶
[23:16] 好像讲过一句话
[23:18] 他讲说那个作家就像是妓女
[23:21] 就你不能靠性欲来接客
[23:24] 他讲的是作家
[23:25] 就是你不能有性质你才写稿
[23:28] 你应该每天都要写稿
[23:30] 那一样啊
[23:31] 我们做直播
[23:31] 也不能因为兴趣才做直播
[23:33] 我们要天天都要直播
[23:35] 做股市投资也是一样
[23:36] 你不能只有牛市创高
[23:38] 你才想要找机会投资啊
[23:40] 你在股市进入到修正期
[23:42] 甚至转入熊市时
[23:44] 你更应该想着要怎么投资啊
[23:46] 这是一个标准的
[23:47] 值得思考的方向
[23:49] 当然啊
[23:49] 有时候这种事情呢
[23:50] 就像外部性冲击
[23:51] 你说为什么没有避开
[23:52] 我们做现货持股者
[23:54] 哪避得开这种蝶斧嘛
[23:55] 现货投资者
[23:56] 一定会受到倾劳啊
[23:57] 但是你有重新进场的本金
[23:59] 这有点像外部性系统冲击
[24:01] 去年关税战
[24:03] 2020年疫情都是一样
[24:04] 跟地震一样
[24:06] 小的不用跑
[24:07] 大的跑不掉
[24:08] 跑得死更快
[24:10] 小镇不用跑
[24:12] 大镇
[24:12] 小镇不用跑
[24:15] 大镇跑不了
[24:16] 中镇纪念堂
[24:18] 活着就是胜利
[24:19] 你要了解说
[24:20] 本来就会有这样的一个行情波动
[24:22] 如果这种行情你都熬不过去
[24:24] 那你要稍微检视一下
[24:25] 自己的投资心理历程
[24:27] 是不是不适合长期投资了
[24:29] 还是你干脆定存算了
[24:31] 这种波动很正常的
[24:32] 好不好
[24:32] 好
[24:33] 当然回过头说
[24:34] 现在市场上更为进一步聚焦的
[24:36] 当然是AI狂潮的变化
[24:38] 因为现在的AI狂潮
