[00:01] 投资编欢迎收听早晨财经速解读
[01:44] 到个体企业
[01:45] 它如何顺应本轮的AI浪潮
[01:47] 至少赢家输家
[01:49] 大家有了先后共识以后
[01:51] 继续投不一定会赢
[01:52] 但是不投的已经先输了
[01:54] 我们看三星市值
[01:56] 这一切已经正式突破一兆元
[01:58] 成为继台积电之后
[02:00] 第二家站上这个门槛的东亚企业
[02:03] 基本上三星只要再涨80%
[02:06] 就能够追上台积电的市值
[02:08] 来到1.8兆
[02:09] 不过你不要觉得八成很多
[02:12] 三星过去的股价
[02:14] 涨幅已经涨了超过四倍了
[02:16] 在过去一年
[02:17] 在这样的一个效果底下
[02:19] 等同于韩国股市
[02:20] 台湾股市在本轮浪潮当中
[02:22] 都已经成功跻身全球重要的股票市场权重
[02:26] 在MSCI里头
[02:28] 台湾企业加上韩国企业
[02:30] 大概占比就已经高达30%到40%
[02:33] 等于你买全球新市场
[02:35] 跟买台韩ETF其实没有太大区别
[02:38] 那背后的最核心原因
[02:40] 当然就是AI所带来的记忆体超级循环
[02:42] 现在全球的AI资料中心正在疯狂的扩建
[02:46] HBM 高频宽记忆体
[02:48] DRAM NET需求全面爆发
[02:50] 那三星和SK海力士
[02:52] 几乎掌握了全球最重要的
[02:54] 记忆体的供应
[02:55] 所以这也导致着
[02:56] 随着三星和SK海力士的市值暴增
[02:59] 南韩股市在昨天
[03:01] 也正式的超车了加拿大
[03:03] 它已经被超两次了
[03:04] 第一次是被台湾超
[03:05] 第二次是被南韩超
[03:07] 成为了全球第七大股市
[03:09] 现在南韩股市就
[03:11] 仅仅咬住第六名的台湾股市
[03:13] 这也说明着全球的资本市场
[03:15] 你看以前都是
[03:16] 由美欧或者亚洲的
[03:18] 大型经济体所主导
[03:19] 都是一些英法强国
[03:21] 加拿大这些强国
[03:23] 要不然呢
[03:23] 亚洲企业想要登榜
[03:25] 就一定要是中国或者印度
[03:27] 或者像日本这种
[03:28] 人口数量要过亿级别
[03:30] 而且要有全产业链的这些国家
[03:33] 现在呢
[03:33] 台韩这种新兴市场经济体
[03:36] 也在挺进当中
[03:37] 所以AI时代正在改写这个秩序
[03:39] 台湾总市值今年是暴增35%
[03:43] 南韩股市今年是上升了71%
[03:45] 全球资金从过去的金融霸权
[03:48] 能源霸权
[03:49] 原物料霸权
[03:50] 人口霸权
[03:51] 现在转向亚洲半导体和AI供应链
[03:54] 所以这就是一个新的时代
[03:56] 那记忆体当然也迎来了
[03:58] 新一波的人工智慧超级循环
[04:00] 三星和SK海力士
[04:02] 这次要一举改变的是什么
[04:03] 就是要改变过去那种
[04:06] 受限于消费性定制循环的
[04:08] 暴起暴落时期
[04:09] 现在要求客户
[04:10] 你不要只签短期约
[04:13] 而是开始要求客户
[04:15] 签三到五年以上的
[04:17] 长期供货与合约
[04:18] 原因是因为AI对于高频宽记忆体HBM的需求实在太过庞大了
[04:23] 三星和SK海力士想要一次性解决过去的消费性电子扩充情况问题
[04:28] 我不要再因为当年度的电脑或者手机卖的好或不好
[04:33] 大幅的影响我的业绩了
[04:35] 现在直接跟我保证
[04:36] 你要跟我签五年的长约
[04:38] 甚至十年也可以接受
[04:40] 用这样的一个角度
[04:41] 把未来的产线铺路一次给打好
[04:44] 不要再让我有产能过剩了
[04:46] 这个是目前韩国厂商的一个做法
[04:48] 那台韩呢
[04:49] 这也开始在这几年
[04:50] 逐步形成一种改变
[04:52] 就是我们过去
[04:53] 通常台韩都是有一点竞争感
[04:56] 就觉得双方都在
[04:58] 本轮的电子循环浪潮当中
[05:00] 尝试的要去夺取
[05:02] 美国厂商的订单
[05:03] 但亚洲这一次内部合作
[05:04] 也开始加速成型了
[05:06] 这一次台湾企业是首次组团
[05:08] 参加南韩的AI Expo
[05:11] 也就是不准是参展
[05:13] 这是他第一次参展
[05:14] 就是台韩供应链
[05:15] 这一次开始进行重组了
[05:17] 韩国竟然擅长记忆体
[05:18] 而且擅长的是中端应用
[05:20] 而且韩国有做品牌方
[05:22] 大型企业的导入
[05:23] 台湾是掌握晶片
[05:25] 伺服器
[05:26] 散热
[05:26] 还有硬体的整合能力
[05:27] 双方其实是可以高度互补的
[05:30] 尤其现在全球缺GPU
[05:31] 台韩之间
[05:32] 该竞争要竞争
[05:34] 可是合作空间
[05:36] 其实看起来是越来越大的
[05:37] 所以台湾厂商
[05:38] 现在从晶片到应用
[05:40] 一整套的解决方案
[05:41] 驾驶监控
[05:42] 手势的辨识
[05:43] 到AI的收益服务
[05:44] 基本上都有进一步
[05:46] 场景输出运用
[05:47] 那当然你说
[05:48] 双方是不是还是要竞争
[05:49] 当然国家跟国家成名
[05:50] 还是要竞争
[05:51] 现在是台湾还占上风
[05:53] 人均GDP还赢
[05:55] 股票市值也赢韩国
[05:58] 棒球如果单挑的话也会赢
[06:00] 但比分会输
[06:02] 但不管怎么讲
[06:03] 现在在全球
[06:04] 这种新的永动机过程当中
[06:06] 台韩供应链陆续的闪亮登场了
[06:10] 当然白宫也意识到这件事情
[06:12] 最近白宫出炉一项
[06:14] 半导体供应链联盟计划
[06:16] 希望可以立即连接亚洲欧洲和中东盟友
[06:19] 降低针对中国供应链的依赖
[06:21] 白宫开始出手就记忆体框
[06:24] 原因来自于HBN到第一轮
[06:26] 现在全面缺货
[06:27] 带动各类电子产品持续上升
[06:29] 所以美国是要求
[06:31] 不能够因为厂商希望维持住当前的高价
[06:34] 就不增产
[06:35] 强制增产
[06:36] 目前包含日本韩国印度新加坡菲律宾
[06:39] 有14个国家加入
[06:40] 美国国务院是要求
[06:42] 正在要求这些国家
[06:44] 大量新建工业园区
[06:46] 现在国务院已经透露
[06:48] 美国和菲律宾正在直接合作
[06:50] 会规划一座4000英亩的大型工业区
[06:53] 未来会导入晶片制造
[06:54] 矿物晶链或者AI供应链相关产业
[06:57] 目的是要快速地解决
[06:59] 当前的记忆体缺货问题
[07:00] 那当然很快的下礼拜
[07:02] 川习会就要登场
[07:04] 双方一定会针对供应链的去风险化
[07:06] 有新一波的经济利益的交换或者对峙
[07:09] 其实你会看到
[07:10] 这一波AI浪潮
[07:12] 很多企业都顺势转型
[07:13] 你像日本的卫浴龙头TOTO
[07:15] 最近就因为大举的扩张半导体零组件业务
[07:18] 意外成为AI最新受惠股
[07:21] 这一次TOTO宣布提高半导体材料产能之后
[07:25] 股价大涨18%
[07:26] 直接创下了五年新高
[07:28] 今年累计涨幅已经涨了46%了
[07:31] 虽然TOTO最广为人知的是免治马桶
[07:34] 但其实它也是全球第二大的静电吸盘供应商
[07:37] 这种零件
[07:38] 它是快闪记忆体
[07:40] 晶片制造的重要设备
[07:41] 那随着AI需求快速增加
[07:43] TOTO现在半导体零组件
[07:45] 年增幅34
[07:46] 超过一半的营业利益
[07:48] 以后你跟人家讲TOTO
[07:50] 你说你知道TOTO一半的钱
[07:52] 是来自于半导体赚的吗
[07:54] 不是卖免治马桶
[07:55] 哇那女生听到
[07:57] 哇好博学的知识
[08:00] 马上就欣赏你了
[08:01] 以后对
[08:02] 你跟他遇到马桶的时候
[08:03] 你就跟他这样介绍
[08:04] 这时候产业的知识
[08:06] 就大幅改变一个人
[08:07] 对于当前AI时代的印象
[08:09] 连马桶都飞上天了
[08:11] OK
[08:11] 这就是台韩目前卖产值的迹象
[08:14] 好
[08:14] 我们回过头看
[08:15] 那现在卖产值的终端客户
[08:18] 挖金矿的这些客户
[08:19] 目前表现为何呢
[08:20] 这一次其实AI超云端财报
[08:23] 陆续公布以后
[08:24] 大部分其实都非常惊人了
[08:26] Alphabet
[08:27] Amazon
[08:27] Microsoft
[08:28] Meta也花钱
[08:30] 但是就是市场不买单
[08:31] 甲骨文
[08:32] 现在不只是营收获利
[08:33] 大部分都优于预期
[08:35] 资本支出更是进入到疯狂模式我们细看在整个2026年的资本支出大概会突破8000亿美元2027年可能会突破到1.1兆哇那这么高强度的突破和增长
[08:48] 其实也就说明着
[08:49] 市场上对于这些企业的要求
[08:51] 也开始越来越高了
[08:52] 因为你真的投资有点多了
[08:53] 要赶快给我一些营收上的回馈
[08:55] 那真正开始有趣的地方是什么呢
[08:57] 是这一次财报
[08:58] 四大CS毕业者
[09:00] 不在本业里头
[09:01] 可是在财报里头
[09:02] 都透露出一个平常不太看的项目
[09:05] 如果我们细节看一下财报
[09:07] 举例来说像Alphabet
[09:08] 这个部分叫做Other Income
[09:10] 其他收入
[09:12] 第一季Alphabet居然认列了377亿美元
[09:16] 这个金额不小
[09:17] 大概占了整体净利超过一半
[09:19] Amazon更夸张
[09:21] 第一季的其他收入占了160亿美元
[09:24] 去年同期只有27亿
[09:26] 现在几乎占了互利的接近一半
[09:28] Microsoft虽然相对少
[09:30] 但过去九个月也累积了72亿
[09:32] 所以在这样的一个角度底下
[09:34] 你会发现这些钱哪里来的
[09:37] 为什么突然有一个财报上的其他项目
[09:40] 突然金额暴升
[09:42] 其实并不是因为本业暴增
[09:44] 不是因为搜寻量暴增
[09:45] 不是因为广告收入暴增
[09:47] 是因为他们投资的AI新创企业
[09:49] 估值飙升以后
[09:50] 带来了账面收益
[09:52] 就是阿发币和Amazon
[09:53] 现在都是Enthropic的大股东
[09:55] 那Enthropic的估值从去年9月份1800亿
[09:58] 现在已经3800亿了
[09:59] 大型科技公司就能够重新调高
[10:01] 自己持股的账面价值
[10:02] 所以我虽然还无法赚到AI具体的快速回馈
[10:07] 因为订阅收入有限
[10:08] 可是我投资的AI企业
[10:10] 他们都要IPO了
[10:11] 他们的估值都在疯狂上升
[10:13] 所以Google已经某种程度
[10:15] 在他的其他收入部分
[10:17] 他已经变成了大型投资公司
[10:19] 因为压对了
[10:21] 这些AI新创陆续都要IPO了
[10:24] 这蛮有趣的一个迹象
[10:25] 某种程度
[10:26] 他反而可以进行股权的调节
[10:28] 来换取更多的现金
[10:30] 继续投入自己的本业
[10:31] 继续投入自己的资本支出
[10:33] 这代表现在的AI产业
[10:34] 已经进入一个非常特殊时期
[10:36] 估值变高以后
[10:38] 科技巨头又能够认列更多的投资收益
[10:41] 那AI公司拿到资金以后
[10:42] 再反过来大量的购买
[10:44] 这些巨头的云端算力
[10:46] 某种程度等同于借贷扩大
[10:48] 所以在这样的一个效果底下
[10:49] 我们如果细看
[10:50] 四家公司的获利
[10:52] 如果加上其他收入的话
[10:53] 整体获利年增幅是高达60%
[10:56] 市值总和比2020年比较起
[10:59] 已经翻倍超过10兆美元了
[11:01] 所以你很难想象
[11:03] 因为它已经大到
[11:04] 都是兆元级别的企业
[11:06] 每年还是保持
[11:07] 20%到30%的高速成长
[11:09] 以前都想说
[11:10] 广告营收
[11:11] 那市场体量就这么大
[11:13] 云端业绩市场体量就这么大
[11:15] 现在告诉你
[11:15] 我正在创造货币
[11:17] 我正在借由自己的投资
[11:18] 顺应着本轮的AI生产力爆发
[11:20] 我正在透支未来
[11:22] 所以根据目前OpenAI和Ethiopia
[11:24] 大概已经占了甲骨文
[11:26] Google Amazon
[11:27] 微软整体云端订单的大约一半
[11:30] 换句话说
[11:30] 这些AI巨头
[11:31] 他是一边投资AI新创
[11:33] 一边靠AI的新创
[11:34] 买自己的云端服务
[11:36] 再把新创估值的上升
[11:37] 再列为财报的收益
[11:39] 就变成了资金也够了
[11:41] 订单也够了
[11:42] 估值也够了
[11:43] 股价还在涨
[11:44] 全部烙成同一个循环
[11:46] 当然也不可能无限放大
[11:48] 但你至少可以看到
[11:49] 为什么我们可以在
[11:50] AI还没有具体造成
[11:52] 全人类福祉大幅生产力提升之前
[11:54] 这些个股的财报
[11:56] 突然就开始飙升了
[11:57] 事实上AI产业已经出现了部分的超级客户依赖症
[12:01] 两家公司OpenAI和Unsorbeck
[12:03] 现在对于全球美国四大云端巨头的算力采购的承诺
[12:07] 已经来到这些公司未来营收积压的40%到50%
[12:12] 换句话说
[12:13] 这一次七巨头的AI基建
[12:16] 其实是少数几家AI模型在成
[12:18] 也代表着AI资本支出看似很分散
[12:21] 实际需求
[12:22] 你就真实是这样
[12:24] 经济数据好不好不重要
[12:26] 就业数据好不好
[12:27] 不重要
[12:27] ISM服务业偏爱好不好
[12:29] 不重要
[12:29] 重点是他7家企业还在撒钱
[12:32] 股价就持续上行的一个动力
[12:35] 所以在这样的一个效果底下
[12:36] 等同于现在赚的钱是两面
[12:38] 一个是本业
[12:38] 一个是来自于估值的提升
[12:40] 这就是科技巨头
[12:41] 目前自己的估值持续上升的原因
[12:43] 这叫做AI in超级时代
[12:46] 我们如果细看
[12:47] 这张图表是统计
[12:48] 你大概花多久时间
[12:50] 可以赚到100万美元的净利
[12:52] Google是最快的
[12:54] 花3分59秒
[12:55] 就可以赚到100万美元净利
[12:56] 辉达是4分23秒
[12:58] 微软是5分10秒
[13:00] 苹果也不到6分钟
[13:01] 波克夏是7分51秒
[13:03] 就能够赚到100万美元净利
[13:05] JPMorgan
[13:06] JPM是金平美吗
[13:07] 不是JPMorgan是JPM
[13:09] JPM的部分
[13:10] 8分59秒就能够赚进
[13:13] 100万美元的净利
[13:14] 台积电平均是9分31秒
[13:17] 就能够赚到100万美元的净利
[13:19] 那我是平均三分钟就出去两亿
[13:22] 那虽然台积电的速度
[13:24] 不如巨头
[13:25] 可是问题在于
[13:25] 前面很多公司
[13:27] 他们都互相在AI竞争当中被替代
[13:30] 只有台积电很难
[13:31] 全球的AI晶片
[13:33] 伺服器
[13:34] 高效能运算
[13:35] 手机晶片
[13:36] 几乎都建立在台积电的先进制程
[13:38] 十年以后
[13:39] 七巨头每一家都能够活下来
[13:41] 在AI竞赛当中胜出吗
[13:43] 很难说
[13:44] 但十年以后
[13:45] 我们几乎可以确认
[13:46] 台积电大概还是这些七巨头的主要供货商
[13:49] 所以这是一个极大的差别
[13:51] 但是都说明了
[13:52] 我们多会赚钱
[13:53] 所以的确
[13:54] 这个时候就是
[13:55] 个股投资人
[13:56] 巴菲特说的
[13:57] 你不愿意持有一档股票十年
[13:59] 你最好连十分钟也不要持有
[14:02] 你不想要爱一个人十年
[14:05] 那你最好连十分钟也不要持久
[14:07] 持有持有
[14:08] 持久的话
[14:09] 九分钟我也算多了
[14:11] 但不管怎么说
[14:12] 对于个股的信心
[14:13] 它就在这个时间点顺势爆发
[14:15] 如果你觉得
[14:16] 我很难猜
[14:17] ETF了
[14:18] ETF的绩效也不差
[14:19] 好回过头来说
[14:20] 摩根大通的执行长
[14:22] 戴蒙与贝莱德执行长芬克
[14:25] 最近都开始公开淡化
[14:27] 针对AI泡沫的担忧
[14:28] 到底是好是坏呢
[14:30] 戴蒙认为
[14:30] 全球现在投入超过一兆美元
[14:32] 来建设AI资料中心
[14:34] 晶片和基础建设
[14:35] 长期来看合理
[14:36] 因为AI技术本身太强大了
[14:38] 过程中会有赢家会有输家
[14:40] 会有投资失败的案例
[14:41] 但他认为
[14:42] AI就像每一次重大科技革命一样
[14:45] 它会改变整个经济结构
[14:46] 那芬克更是直接表示
[14:48] 现在根本不是泡沫
[14:49] 现在就是供给不足
[14:51] 永远盖不过
[14:52] 就不会有泡沫
[14:53] 原因很简单
[14:54] 只有光纤见太多了
[14:57] 那光纤才会导致大缸泡沫
[14:59] 只有到处都是NFT
[15:01] NFT才会有泡沫
[15:03] 只有人人都买得到预金箱
[15:05] 泡沫才会因此而破灭
[15:07] 但是如果你用的算力永远都不够
[15:09] OpenAI
[15:10] Gemini
[15:11] Cloud
[15:12] 永远在限制你的算力
[15:13] 甚至还调高价格
[15:14] 那就说明着算力永远不够
[15:16] 算力永远不够
[15:17] 永远都不会泡沫破灭
[15:18] 这是他们的一个看法
[15:20] 蛮有趣的
[15:20] 我们回过头来说
[15:22] 当然这其中也并不是每一家财报
[15:24] 都受惠于本轮的AI资本支出的上行
[15:27] 像Meta的部分
[15:28] 这一次虽然力争
[15:30] 想要开发新一代的AI代理人系统
[15:32] 目的不只是聊天
[15:34] 要能够真实替使用者
[15:36] 完成各种的日常任务
[15:38] 不过市场还是不买单
[15:39] 阿祖这一次不打算收手
[15:41] Meta现在过去三年的自由现金流
[15:44] 本来都在400到500亿
[15:46] 资本支出这一次却从270亿
[15:49] 这是在四年前
[15:51] 现在是1450亿
[15:53] 直接把自由性金融打到负值了
[15:55] 所以就说明着
[15:56] Meta也是身家全部all in
[15:59] 现在手上口袋根本就已经没有钱了
[16:02] 在这样的一个效果底下
[16:03] 等同于大家都为这场AI竞赛使出全力
[16:07] 那我们要知道Meta
[16:08] 其实最近还是有非常多的负面争议
[16:10] 像最近它卷入了AI版权大战
[16:12] Meta和祖克普遭到多家大型出版商的联合提告
[16:16] 指控在训练Lama AI模型的时候
[16:19] 大量使用未授权的书局
[16:21] 和学术资料
[16:22] 包括各类型的出版集团
[16:25] 都相信自己的资料
[16:26] 已经被你拿来做使用
[16:27] 不过这个本来就很难讲
[16:28] 包括之前的吉普利
[16:30] 你画皮卡就画什么
[16:31] 他们没有参考
[16:33] 网络上的资讯吗
[16:33] 一定有
[16:34] 所以这场官司的背后
[16:35] 第一个就是AI产业
[16:36] 目前最大的核心问题
[16:38] AI公司到底能不能使用
[16:40] 网络上的内容进行训练
[16:41] 那不管最后判决出来结果
[16:44] 谁赢谁输
[16:46] 基本上他都已经使用了
[16:48] 这就是一种趋势
[16:49] 你也没办法百分之百抓到
[16:51] 很明显的证据
[16:52] 这件事情
[16:53] 其实对于整个司法体系
[16:55] 或者我们看到AI
[16:57] 是否要予以进行税收的浪历
[16:59] 现在有很多人的想法是
[17:01] AI一定有用
[17:01] 所以你要对AI课税
[17:03] 这是一种角度
[17:04] 这种角度
[17:05] Meta现在压力比较大的
[17:07] 是美国多个州
[17:08] 根据彭博社的报道
[17:10] 近期已经被揭露
[17:11] 偷偷把民众资料传给Meta
[17:13] 有很多的健保网站
[17:15] 给TikTok这些大型科技公司
[17:17] 引发了严重的隐私争议
[17:19] 那我们也知道Meta长期就陷入在这种隐私风暴当中全美20个州健保交换平台当中几乎都迁入了广告追踪城市这些工具会把使用浏览和填写资料的行为
[17:31] 回传给科技公司
[17:32] 很多性别、游地区号、种族、移民身份
[17:35] 以及是否有陆域的家属等敏感资讯
[17:38] 都把它寄到了Meta的资料库里头
[17:40] 所以在这样的一个效果底下
[17:42] 形成市场上进一步的压力开始涌现
[17:45] 这个就是我们看到
[17:46] 其实现在市场是非常精明的
[17:49] 即便你在花钱
[17:50] 我也是会用非常精密的角度来看待
[17:53] 你到底花的钱投到哪里去
[17:55] 你过去有没有成功的经验
[17:57] 你过去都失败
[17:57] 为什么这次能够成功呢
[17:59] 你现在是否有陷入在司法风暴里头
[18:01] 所以这个时候
[18:02] 大家就会开始用更严格的标准
[18:04] 看待这些期巨头
[18:05] 所以我们才讲说
[18:06] 也许买ETF是一个明哲保证的方式
[18:08] 我们是干好AI了
[18:10] 但是你说100%一定是Google胜出
[18:12] 100%一定是OpenAI胜出
[18:14] 真的很难说
[18:15] 现在大家就在重新的评估当中
[18:18] 我们以OpenAI来做观察
[18:19] OpenAI这一次5000亿美元的
[18:21] 经济资本计划也慢慢变形了
[18:24] 这项计划原本是由川普
[18:25] 在2025年的高调宣布
[18:27] 现在包括合作方甲骨文
[18:30] 阿布达比以及软银
[18:32] 目标是打造全人类最大的资料中心
[18:35] 但是OpenAI现在已经开始放弃
[18:37] 原本自己盖机房的模式
[18:39] 转向更为灵活的策略
[18:41] 改成大量的租用第三方的算力和云端
[18:44] 这就说明着
[18:45] 我不要自己再投那么多钱
[18:47] 做基础建设了
[18:48] 因为我的钱资金有限
[18:49] 所以OpenAI现在其实也不在乎
[18:52] 是不是自己拥有资料中心
[18:53] 它只在乎谁能够快速的提供算力
[18:56] 所以它跟甲骨文签了
[18:57] 3000亿美元的合约
[18:59] 跟超微跟博通跟辉达等公司做合作
[19:01] 所以在这样一个效果底下
[19:03] 等同于大家都在抢钱
[19:05] 大家都在抢算力
[19:06] 那大家也知道
[19:07] 自己如果投身太多
[19:09] 资本市场的评价可能也不太一样
[19:11] 不只是现在Meta有法律争议
[19:13] OpenAI的压力
[19:15] 其实也非常非常大
[19:16] 我们过去在宏观报告曾经写过
[19:18] 来跟大家梳理一下
[19:20] 大家都知道最近马斯克跟OpenAI
[19:22] 仍然在打官司当中
[19:23] 现在最大的压力就是法律的风险
[19:26] 因为马斯克跟奥特曼之间的诉讼
[19:29] 表面上看起来好像是
[19:31] 股权和控制权的竞争
[19:33] 但核心问题是
[19:34] OpenAI最初募资时的定位
[19:37] 这个时候压力很大
[19:38] 因为2015年
[19:39] 当时OpenAI成立的时候
[19:41] 对外强调它是一个
[19:43] 以公益为导向的AI研究组织
[19:45] 奥特曼也主动向马斯克
[19:47] 寻求资金和资源的支持
[19:49] 那几年下来
[19:50] 马斯克不只是捐款
[19:52] 付你饭店费
[19:53] 付你商办的费用
[19:55] 还协助负担营运成本
[19:56] 和提供影响力的背书
[19:58] 那当然他的合作建立
[19:59] 是马斯克相信
[20:01] 你是在推动人类安全
[20:02] AI发展的共同理念
[20:04] 那争议的爆发在哪里呢
[20:06] 在于OpenAI后来
[20:07] 因为他从非盈利组织
[20:08] 变成了高度商业化的公司
[20:10] 甚至成为全球
[20:11] 现在最有价值的AI企业之一
[20:13] 那OpenAI的主张是什么
[20:14] OpenAI的主张是
[20:15] 现在的商业实体
[20:17] 和当初的非盈利组织
[20:19] 在法律上是属于不同组体的
[20:21] 因此不能够存在违反承诺问题
[20:24] 那马斯克当然认为
[20:25] 那就算法律架构已经改变了
[20:27] 你的品牌名字也没变
[20:29] 你的资源也没变
[20:30] 技术也没变
[20:31] 募资和信任关系
[20:32] 其实都延续下来了
[20:34] 那在加州的法律
[20:37] 或者法律框架之下
[20:39] 你就违背了当时
[20:40] 我给予你的受托义务的初衷
[20:42] 为什么
[20:43] 因为你是用公益名义
[20:45] 在建立资源和信任基础
[20:46] 你现在赚那么多钱
[20:48] 那你是不是违反了
[20:49] 当时的受托义务呢
[20:50] 所以这场官司
[20:51] 现在正在进行的是
[20:53] 不只是OpenAI
[20:54] 是未来AI公司是否
[20:56] 一边用拯救人类的理想来募资
[20:59] 一边又转化成超级资本企业
[21:01] 那当然OpenAI的看法
[21:03] 从常理来看
[21:04] 是有一点违背逻辑的
[21:06] 我自己的看法很简单
[21:08] 因为整件事情
[21:09] 你从品牌到技术到团队
[21:11] 到资源到外部形象
[21:13] 其实看起来根本就同一家公司
[21:15] 你不能说
[21:16] 一开始是为了全人类
[21:18] 非盈利的AI架构
[21:19] 然后去募资
[21:20] 吸引马斯克这样的一个人
[21:22] 长期做资本的投入
[21:24] 那等到技术成熟
[21:25] 估值暴增以后
[21:26] 你现在又说自己在法律上
[21:28] 其实是不同主题
[21:29] 所以之前的承诺不算数
[21:30] 我的看法是
[21:32] 从头到尾
[21:33] 他就是同一家公司
[21:35] 前两年河南洛阳
[21:37] 当时发现的曹操墓
[21:39] 很多考古学家纷纷前来
[21:42] 终于打开领寝
[21:44] 一看两副棺材
[21:46] 一大一小
[21:47] 大的那个打开来
[21:48] 从外观和陪葬品一看
[21:50] 断定这个就是曹操本人
[21:53] 小的一打开
[21:54] 里面有一个小朋友的遗骸
[21:56] 大家就赶快问
[21:57] 这是谁这是谁
[21:58] 考古学家一沉思
[21:59] 这是小时候的曹操
[22:02] 怎么可能
[22:04] 年轻时的OpenAI
[22:06] 我们在看现在的OpenAI
[22:08] 说不是当年的OpenAI
[22:09] 所以我们不欠马斯克
[22:11] 你连名字都没有改
[22:12] 所以我个人的看法是
[22:13] 其实现在法律风险压力很大
[22:15] 我们也可以看得出来
[22:16] OpenAI这几个月动作非常明显
[22:19] 全面朝适合上市的方向来做瘦身聚焦
[22:22] 包括缩减部分非核心的业务
[22:24] SORA也抛掉了
[22:25] 重新调整产品的策略
[22:27] 重新谈判和微软之间的权利和利益关系
[22:30] 本质上都是在整理公司框架
[22:33] 让整个财务模型控制权
[22:35] 治理制度更符合资本市场的需求
[22:37] 从马斯克的角度来看的话
[22:39] 不管他最后跟奥特曼和好了没有
[22:42] 一定要告的
[22:42] 为什么
[22:43] 因为就算他没有赢
[22:45] 他也拖慢了OpenAI目前的节奏
[22:47] 放大外界对于内部治理
[22:49] 还有商业模式的质疑
[22:51] 同时也为XAI争取了一些宝贵的时间
[22:54] 所以对于OpenAI而言
[22:56] 现在不只是要遭受到
[22:57] Google Jim Nye的竞争
[22:59] 他还要遭受到这种法律上的判决问题
[23:02] 极大的挑战
[23:03] 更何况SpecX抢先你先上市
[23:06] 上市以后下半年你还获得到这么多的初级投资人的信赖吗
[23:11] 就不一定了
[23:12] 在接下来年底它的上市计划
[23:15] 有没有可能被这场法庭攻防战给打破呢
[23:18] 这是值得大家观察的几个重点
[23:20] 当然我们回过头来说
[23:22] 这就说明了全球现在抢算力抢钱的模式
[23:27] 抢产值抢记忆体抢CPU抢GPU
[23:30] 到处都在抢
[23:32] 我们看这次马斯克
[23:33] 成立TerraFab计划
[23:35] 本质的目的就是希望
[23:36] 能够打造一整条长期产业链
[23:39] 从买晶片到掌握晶片生产
[23:41] 当然了
[23:42] 你说没有台积电帮忙能行吗
[23:44] 他找intel嘛
[23:45] 所以他的确是希望
[23:46] 从晶片设计到晶圆制造
[23:48] 到先进封装到测试
[23:50] 到系统整合
[23:51] 全部由美国厂商来做
[23:53] 如果美国厂商做不了的
[23:54] 至少要求亚洲企业来美国厂商
[23:57] 做一整套的供应链
[23:59] 那这当然需要有国有供应链
[24:01] 川普的介入底下才能够形成
[24:03] 那看的时间很远
[24:04] 这个Terrafeb预估
[24:05] 真的要量产的可能性
[24:07] 大概到2030年到2035年以后了
[24:09] 马斯克做很多事情都这样
[24:11] 都是十年以后作为打算
[24:13] 时间性都放十年以上了
[24:16] 叫十年生死
[24:17] 两茫茫不思量自难忘
[24:20] 马斯克看的时间都比较长
[24:22] 所以这项计划
