[00:01] 投资编欢迎收听早晨财经速解读
[03:24] 当时油价和通膨预期走深
[03:26] 所以导致联准会的
[03:28] 抗通膨压力开始往上拉
[03:30] 可是这一波
[03:31] 其实油价也开始往下跌
[03:32] 照理来说
[03:33] 通膨预期因此就没有这么强烈了
[03:35] 所以根本上来说
[03:37] 也许就是因为涨太高
[03:39] 市场上流动性又稀缺
[03:41] 先把资金先拿去炒股了
[03:43] 所造成的金价卖压
[03:44] 因为黄金并没有失去
[03:46] 实质背后的买盘支撑
[03:48] 目前全球央行的买盘
[03:49] 是非常非常强劲的
[03:51] 每一次央行大买
[03:52] 都是这个时候了
[03:53] 一定是黄金做一个
[03:54] 比较大修正
[03:55] 今年第一季
[03:56] 全球央行购金的速度
[03:58] 已经创下一年多以来的
[04:00] 最快记录
[04:01] 央行现在需求
[04:02] 已经变成黄金
[04:03] 最稳固的支柱了
[04:05] 在两个月之前
[04:06] 还是散户
[04:07] 大家当时还在抢银市
[04:09] 抢金市
[04:09] 现在完全就变成
[04:11] 央行的系统性买盘
[04:13] 来做支撑
[04:13] 那未来如果有机会
[04:15] 回到降息格局的话
[04:17] 那么金价本波的回挡
[04:18] 它就是一个
[04:19] 相当吸引人的回档的位阶
[04:22] 因为毕竟从股市来看
[04:24] 股市很少在回档
[04:26] 但是金价回档幅度
[04:27] 已经接近到30%
[04:29] 另外一个就比特币
[04:30] 比特币这一次跌破了6万美元
[04:33] 资金也很明显
[04:34] 从加密货币大幅的转向AI股市场
[04:37] 其实整体来看
[04:39] 比特币也不是今年才受到市场承压
[04:41] 从去年年底开始
[04:43] 市场的卖压
[04:44] 散户资金动能就已经几乎消失了
[04:46] 现在即便股票市场
[04:48] 风险资产大幅反弹
[04:49] 加密货币也未能够同步恢复
[04:52] 比特币今年年跌幅跌了32%
[04:54] 所以总体来说
[04:56] 资金也并不是完全退出风险市场
[04:58] 它只是从加密货币转向更有故事
[05:01] 更有想象的AI资产
[05:03] 那这些事情都意味着
[05:05] 市场上资金有点不太够
[05:07] 所以要让资产有进一步
[05:09] 全面发扬轮动的空间
[05:11] 有一点难度
[05:12] 就连股票市场也是如此
[05:14] 也不是所有股票都在涨
[05:15] 七巨头今年就没什么涨
[05:17] 但是七巨头的资金为那量很大
[05:19] 所以它可以导致很多中大型股票跟着上涨
[05:22] 另外一个就是市场迎来股票的攻击大潮
[05:26] 我们如果按照目前蓬勃的预估
[05:28] 就美国股市的净股票攻击量
[05:30] 在26年到27年已经出现了历史性的跳升
[05:34] 这个是99年网络泡沫以来的最高记录
[05:36] 大量IPO案正在形成
[05:39] 大量的AI独角兽
[05:40] 现在增资需求持续增强
[05:42] 那当然这不代表说股市一定得跌
[05:45] 照理来说因为股数越多
[05:47] 那平均股价就要来得越便宜
[05:48] 但是现在股市把其他市场的钱给吸过来了
[05:53] 台湾把房地产的钱给吸进来了
[05:56] 那在美国股市场把加密货币
[05:58] 把黄金把白银甚至把债市
[06:01] 把原油大宗资产的炒作预期
[06:03] 全部都拉回到股票市场身上
[06:06] 所以不管怎么说
[06:07] 现在我们看到的M3上市潮
[06:09] 也就是SpaceX OpenAI还有Enthopia
[06:13] 目前的吸金规模
[06:15] 至少是来到2750亿
[06:17] 那我们过去提过
[06:19] 现在即便SpaceX已经上市了
[06:22] 可是还有95%的股票
[06:24] 还没有在外流通
[06:25] 所以如果未来等到8月公布财报
[06:28] 到9月10月陆续释放这些股票以后
[06:31] 那就要需要更大的资金量
[06:32] 那如果你要继续让中大型股票继续上涨
[06:35] 你就要透支一点SpaceX的买盘
[06:38] 所以换句话说
[06:39] 等同于就是用大股票的绩效极差
[06:43] 来换取中大型股票的上涨空间
[06:46] 用黄金用比特币
[06:48] 用债市的价格压制
[06:50] 来换取股市有进一步拉抬的空间
[06:52] 大概是这样的一个逻辑
[06:53] 但也说明着钱其实不太够
[06:55] 你也知道为什么大家急着想要去IPO了
[06:58] 那当然了SpaceX这一波的高峰
[07:01] 也说明了很多时候
[07:02] 一旦换了一个成乎市场的心理定位
[07:06] 也会跟着改变
[07:06] 一家公司还没有上市之前
[07:08] 我们就要称它为独角兽
[07:10] 改变世界
[07:12] 未来之心
[07:13] 那投资人看到的是梦想和想象空间
[07:15] 那一旦挂牌以后
[07:16] 我们就把它当成股票了
[07:18] 我们就看你本益比了
[07:20] 我们就看你估值了
[07:21] 你每天都要接受市场
[07:23] 用获利用成长率
[07:24] 用股价来表现它的检验方式
[07:27] 公司没有变
[07:28] 技术也没有太大变动
[07:30] 改变的是市场赋予它的角色
[07:32] 在上市挂牌之后
[07:33] 评价标准就完全不同了
[07:35] 那昨天才看网络上讲
[07:37] 讲说女孩子女朋友
[07:39] 千万不要叫自己的男朋友叫宝贝
[07:42] 宝宝
[07:43] 哈尼
[07:44] 因为一旦你这样称呼
[07:46] 就会不自觉的
[07:47] 把男朋友当成宝贝来细心呵护
[07:50] 长期下来疲惫感会倍增
[07:53] 最好的解决方案是什么
[07:54] 就改用他的手机后视码来称呼他
[07:58] 这样子他就会有使命必达的感觉
[08:01] 对你言听计从
[08:03] 吃完饭以后
[08:04] 9527洗碗
[08:06] 听起来就很高效
[08:08] 像我的话
[08:09] 我是动两腰
[08:12] 像我当兵的时候就是动两两所以我就被称之为动两两投资市场就经常如此真正左右价格的不一定是公司价格公司本身
[08:25] 是大家用什么样的一个身份来看它
[08:28] 有时候你换一个称呼
[08:30] 或者说你稍微挂牌以后
[08:32] 市场原本把你当成梦想的
[08:34] 突然之间把你当成股票
[08:36] 评价标准就不一样了
[08:37] 所以SpaceX面对现在的处境
[08:40] 高检验标准是完全可以理解的
[08:42] 你会发现跟特斯拉差不多
[08:44] 这算是最有希望能够带领人类
[08:47] 做物理性AI生产力突破的企业
[08:51] 反过头来看
[08:52] 它的股价好像大家对它的标准是越来越高了
[08:55] 在这两年也没怎么在涨
[08:57] 给投资朋友做一些思考
[08:58] 好 那我们回过头看
[08:59] 没有股市
[09:00] 世大指数表现
[09:01] 道琼指数上涨182点
[09:03] 0.35%
[09:04] 收在11,848点
[09:06] 标普下跌7点
[09:08] 0.1%
[09:09] 收在7,358点
[09:11] 纳斯达克指数下跌110点
[09:13] 0.43%
[09:14] 所以25476点
[09:16] 费半下跌24点
[09:18] 0.18%
[09:19] 所以13458点
[09:20] 市场最为聚焦
[09:22] 当然就是美光财报
[09:23] 美光本来在周三财报公布之前
[09:25] 还在卖压之中
[09:27] 结果股价回吐
[09:29] 早盘涨幅
[09:30] 最终收盘的时候是下跌0.3亿
[09:33] 但是一旦美光盘后公布财报以后
[09:36] 我看那股价好像也创下历史新高了
[09:39] 盘后股价
[09:39] 那等同于
[09:41] 对于大盘QQQ的拉动
[09:43] 也开始有效产生
[09:44] 那这一次的美光财报
[09:47] 第三季的确是比预期还要好非常多
[09:49] 营收去年同期是93亿美元
[09:52] 这一季度414亿
[09:55] 年增幅超过4倍
[09:56] 调整后的每股盈余是25块
[09:58] 这个远远比市场预期高估的
[10:01] 预估的20块还来得高非常多
[10:03] 与此同时
[10:04] 公司第四季的营收预估是500亿美元
[10:07] 同样比市场预期的435亿
[10:09] 还来得高非常多
[10:10] 那重点是美光已经签下16项的长期合作协议
[10:15] 而且期限都是三到五年
[10:16] 那等于把未来
[10:17] 不要讲五年
[10:19] 至少三年的订单给锁死了
[10:21] 未来约来大概有一半左右的营收
[10:24] 都来自于这些策略性的客户
[10:26] 已经提前绑定了
[10:28] 第三季毛利率84.9%
[10:31] 去年他毛利率也才39
[10:33] 居然今年毛利率是84.9
[10:36] 劫匪般的毛利率
[10:38] 你到底是做记忆体还是抢银行的
[10:41] 为什么要开工厂
[10:42] 为什么不直接去抢呢
[10:43] 84%
[10:45] 这个比台积电高很多
[10:46] 这说明着
[10:47] 现在的记忆体稀缺到底有多强劲
[10:49] 美光财报反映的就是
[10:51] 更广泛的供需重估
[10:53] 看起来供给稀缺的情况
[10:55] 比想象中还来得更为恐怖
[10:57] 另外一个是高通
[10:58] 高通盘后股价
[10:59] 这次财报公布之后
[11:00] 也是大涨了15%
[11:02] 主要就是大幅上修非手机业务的展望
[11:05] 今年按照这种视况
[11:07] 就算折叠机卖很差也没差了
[11:09] 因为现在看起来
[11:11] 手机卖的好不好
[11:12] 跟当前的业务
[11:13] 根本没有太大营收影响变化
[11:15] 现在整体预估非手机营业项目
[11:18] 大概从原本的220亿
[11:21] 直接跳升到400亿
[11:23] 这个也差很多
[11:25] 这预期也差太多
[11:26] 等于翻了一整倍
[11:27] 高通也预估
[11:28] 29年的资料中心营收
[11:30] 会来到150亿美元
[11:31] 调整后的每股盈余突破18块
[11:33] 这就远远高于目前的15.2块
[11:36] 我们就看
[11:37] 因为高通这一波
[11:37] 其实拉下来也摔得很重
[11:39] 那先看有没有机会站稳于月线
[11:42] 然后再来挑战历史新高
[11:43] 但回过头来说
[11:44] 这说明着全球第一
[11:47] 记忆体或者肺瓣相关厂商的
[11:50] 供给稀缺程度
[11:52] 仍然比想象中还要来得更为紧绷
[11:54] 那第二件事情就是
[11:55] 全球还是很缺钱的
[11:57] 你要让这些股票上涨
[11:58] 势必有一些股票
[11:59] 或者有一些资产受伤
[12:01] 以此来换取更多流动性的益助
[12:03] 你像SK海力士的部分
[12:05] 现在已经正式宣布
[12:07] 在美国存托凭证发行
[12:09] 预估要筹集45.45兆韩元
[12:12] 合计大概是291美元
[12:14] 也就是要成为全球史上
[12:17] 最大规模的上市案之一
[12:19] 预估从7月10号开始交易
[12:21] SK海力士也要去赴美募资了
[12:24] 那整体而言
[12:25] 因为海力士现在占全球高平宽
[12:27] 记忆体的市占率有57%
[12:28] 那今年市场给予他的透支又很强
[12:31] 今年他股价涨了三倍
[12:33] 市值突破1兆美元
[12:35] 甚至超过三星
[12:36] 所以在这样的效果底下
[12:37] 等同于全球
[12:39] 不只是美国企业正在抢钱
[12:41] 亚洲企业也急着要抢钱
[12:43] 回过头来看
[12:44] 等同于当前市况
[12:46] 会取决于市场的资金稀缺幅度
[12:49] 可能在短期内会笼罩全球市场
[12:51] 什么意思呢
[12:52] 就是你想要让部分美国股市
[12:54] 美股保持在高位
[12:56] 它要一开始先变卖其他资产
[12:58] 到后来
[13:00] 因为你钱投进去了
[13:01] 又更缺钱
[13:02] 你要么就是要继续去放大杠杆
[13:03] 要么你就要变卖一些极其高的股票
[13:07] 来换取低周期股票轮动的空间
[13:10] 这个是我们就要回过头来聊台股
[13:12] 因为台股就遇到这样的一个迹象
[13:13] 昨天外资卖很重很重
[13:16] 虽然点位没有跌多少
[13:17] 1000点
[13:18] 现在3000点都算正常波动
[13:20] 现在我们看到外资在昨天
[13:22] 整体卖超幅度是1770亿
[13:25] 直接创下率新高
[13:26] 这种高强度的卖压
[13:28] 让市场上有两种角度
[13:30] 一种是那当然是期限货的套利而已
[13:32] 等到外资的空单未平常口数稍微减少
[13:37] 也许慢压就会稍微放缓了
[13:39] 它只是要赚期或价格变动
[13:40] 那另外一种就是
[13:41] 那可能已经做好了
[13:43] 至少在短期两个月内的调节准备
[13:46] 换取更多资金
[13:47] 事实上我们最近看到
[13:48] 台子期的空单现在已经来到8.3万口
[13:52] 这个量真的不少
[13:54] 那当然昨天也爆量
[13:56] 爆量有人接好像也不用害怕
[13:58] 反正内资现在就是承接市场的重点
[14:01] 那过去五年六年大家都这样干的
[14:03] 好像也没什么好怕的
[14:05] 是没错啦
[14:06] 但至少可以看得出来
[14:07] 外资如此高强度的动作
[14:09] 是否意味着资金已经开始有点紧绷了
[14:12] 我们回过头看
[14:13] 在过去七年当中
[14:15] 外资有六年都是卖槽
[14:17] 今年一样卖了7626亿
[14:19] 在25年卖了5900亿
[14:21] 24年卖了6900亿
[14:23] 23年是小买2700亿
[14:25] 22年卖了1.2兆
[14:27] 21年卖了4500亿
[14:28] 20年卖了5300亿
[14:30] 外资年年都在进行调节
[14:32] 那底下的投信买卖超
[14:34] 就是我们的ETF买超
[14:35] 就不断的来做支撑
[14:36] 所以我们每天就喊
[14:38] 伏击灭洋
[14:39] 伏击灭洋
[14:40] 一人一股户居居
[14:42] 打倒洋人
[14:43] 每天这样子喊
[14:44] 你说我们喊错了吗
[14:45] 是有点一团团的迹象
[14:47] 但是不管怎么说
[14:48] 至少你敢上车的
[14:50] 就从8000点一路待到现在了
[14:52] 所以回过头来看
[14:53] 外资的卖压虽然恐怖
[14:55] 但也没有到这么恐怖
[14:56] 因为整体而言
[14:57] 内资已经成为台北股市
[14:59] 创高的助力
[15:01] 外资的卖压都阻止不了台股创高
[15:03] 那外资回补快一点
[15:05] 那只是台股创高速度变快
[15:06] 所以现在外资卖压变重
[15:08] 那只是让我们距离10万点的目标
[15:11] 可能要拖到明年了
[15:13] 本来是每个月涨1万点
[15:15] 5月5万
[15:16] 6月6万
[15:17] 7月7万
[15:18] 对不对
[15:18] 好那稍微要打个折了
[15:21] 今年就改成上8万就好了
[15:23] 好不好
[15:23] 但不管怎么说
[15:24] 内资的买盘
[15:25] 已经成为台股的支撑助力了
[15:28] 其实我们回过头说
[15:29] 散户在以前再加上本土法人的买超
[15:33] 在10年前大概也不过
[15:35] 可能接近72% 73%
[15:39] 现在已经基本上逼近八成了
[15:41] 所以的确内置的买盘力度不断在做推升
[15:44] 另外一方面就是主动型ETF
[15:47] 因为它本质上是的确比较接近共同基金
[15:49] 只是说你可以来进行价格上的交易
[15:52] 这两年也是直接性的成交总量的一个翻倍
[15:57] 这就造成台股内部的波动
[16:00] 以及内资的交易量不断的拉升
[16:02] 另外一个就是当充
[16:03] 当充你不要看说
[16:05] 现在大家都买ETF
[16:06] 没有人在当充
[16:07] 当充金额还是很高
[16:09] 虽然没有像20年到21年
[16:11] 那个时候海量货币宽充这么高
[16:12] 可是大概今年也有个35兆左右
[16:16] 这就说明着
[16:18] 行情走到现在这样的一个位置
[16:20] 散户的热络是目前推动台股的助力
[16:23] 这也可以做一个大胆的判断
[16:26] 有一天可能散户终究有情绪回调的时候
[16:29] 可能我们又迎来
[16:31] 可能类似23年24年的成绩期
[16:33] 那也不是说股市下跌
[16:35] 而是说市场开始趋于稳定了那也许价格的涨幅它就来得趋稳这个是可能比较容易看到的毕竟现在是有点太热络是没错了我们看散户的热络
[16:46] 今年的杠杆金额的总量
[16:47] 到底拉升多少
[16:48] 按照金管会的规定
[16:50] 券商隆通生意合计金额
[16:53] 不能够超过券商净值的四倍
[16:55] 那目的是为了要
[16:57] 当股市反转的时候
[16:58] 券商有足够的资本
[16:59] 承受客户违约的损失
[17:02] 那面对证券公会
[17:03] 希望可以从四倍提升到六倍
[17:05] 金管会到目前都还没有点头
[17:07] 是足以彰显的
[17:09] 你看韩国人是什么
[17:10] 韩国人都先松绑
[17:11] 松完绑
[17:12] 这样子好像不太好
[17:13] 我好后悔
[17:14] 金管会不一样
[17:16] 他就不点头
[17:17] 就不让你借这么多
[17:18] 所以我说台湾的金融环境
[17:20] 还是比较健康的
[17:21] 你看那值额度
[17:22] 莫名其妙给你调到3.9
[17:24] 调到4%
[17:25] 然后你好不容易
[17:26] 拿到这个利率
[17:28] 给你借50万
[17:29] 50万对不对
[17:31] 那资金量不够大
[17:32] 很多人都不屑
[17:33] 所以在这样效果底下
[17:35] 等同于台湾在提前经管当局的动作
[17:38] 似乎想要帮助内部踩刹车
[17:41] 我们从上市上柜
[17:42] 龙之鱼目前也标普了7500亿
[17:44] 这种时间点好像踩刹车也算蛮正常的
[17:48] 那另外一方面是彭博社的报道
[17:50] 彭博社从最近的龙之鱼
[17:52] 而逼近历史高点来做观察
[17:54] 相对于去年当然是翻倍了
[17:55] 可是由于现在台股市值也翻倍了
[17:57] 所以整体杠杆倍数并没有爆掉
[18:00] 主要是观察直压的股票和ETF的股数
[18:03] 目前高达160亿股
[18:06] 这说明这很多我们看到
[18:09] 总体杠杆没有失控
[18:11] 但是在个体杠杆而言
[18:13] 很多人就是的确股票质押幅度
[18:15] 杠上加杠拉升幅度开始变高
[18:18] 我们举一个比较直观的
[18:19] 其实从24年以后
[18:20] 不现用途的股票质押
[18:22] 大概就已经10年增了23倍
[18:24] 24 25 26年就开始直线拉升
[18:27] 现在我们已经清楚知道
[18:28] 额度上已经有所控管了
[18:30] 这也导致一个现象
[18:32] 由于当冲交易量提升
[18:33] 那融资也在提升
[18:35] 所以虽然现在股票市场还保持在高位
[18:37] 照理来讲
[18:38] 也很难
[18:39] 因为回调幅度也没有很大
[18:41] 也很难直接把人给洗掉
[18:43] 韩国那种涨跌幅就容易洗掉人
[18:46] 但台股其实洗掉的并不多
[18:48] 可是台股在违约交割金额
[18:50] 其实在六月份还是大幅飙升了
[18:52] 你说不是啊
[18:53] 六月那有跌什么
[18:55] 怎么会这么多人违约呢
[18:56] 这就是货币体量
[18:58] 也许也没那么多人违约
[18:59] 只是金额现在高了
[19:01] 不小心忘记汇款就违约了
[19:03] 我们看到在6月中旬
[19:05] 已经有超过22亿台币的
[19:08] 台股违约交割金额
[19:10] 也超过2021年
[19:11] 疫情散户热潮之后的高峰
[19:13] 那违约交割都是发生在
[19:15] 无法如期支付
[19:16] 买进款项或者交付卖出股票
[19:18] 这跟市场投机当然有相关
[19:20] 可是我个人认为
[19:21] 从绝对存量看起来很恐怖
[19:23] 可是从21年的股市点位
[19:25] 顺应的现在点位
[19:27] 好像也没有到特别严重
[19:29] 这给投资朋友做一些思考了
[19:31] 但不管怎么说
[19:31] 韩国股市的波动行情
[19:33] 都会让我们拿来做
[19:34] 台股的借镜和对照
[19:36] 原因就是不希望发生
[19:37] 韩国这样的事情
[19:38] 韩国内部波动这么大
[19:40] 市场已经把它当成
[19:41] 民营股狂潮来做比较
[19:43] 韩国股市今年涨幅超过100%
[19:45] 现在又有正二
[19:46] 在英国又有正三型的ETF
[19:49] 散户大量买进
[19:50] 单一个股杠杆ETF
[19:51] 已经形成韩国当局的控管
[19:54] 最近有传出
[19:55] 要针对未实现损益来课税等等
[19:56] 一系列的措施
[19:58] 就是要打消市场的总体预期
[20:00] 那台湾我认为
[20:01] 版格制度是相对比较良好的
[20:02] 金管会在最近正式宣布
[20:04] 两条红线
[20:06] 因为最近大家经常看到
[20:08] 四代同堂
[20:08] 房贷信贷股票执押贷款
[20:11] 理财型房贷等等
[20:13] 那金管会目前还没有
[20:14] 很具体的专案精简
[20:16] 但是已经设下两大尖锂红线
[20:20] 第一个就是业务成长异常
[20:21] 你赚太多钱的
[20:23] 我就查你
[20:24] 你不要随便放款
[20:25] 现在概念就这样
[20:26] 第二叫风险指标的显著变化
[20:28] 一旦银行相关的受信业务
[20:30] 出现异常的扩张
[20:31] 甚至都不用等你预放比
[20:34] 预放比放光就要有人违约
[20:36] 不等你违约了
[20:37] 你现在突然
[20:38] 6月相对于5月
[20:40] 你又多赚了
[20:41] 如果你跟去年同期比较多赚
[20:43] 那就算了
[20:44] 6月比5月又多赚很多
[20:45] 那我就查你
[20:47] 有这样的一个感觉
[20:48] 其实5月份银行放款
[20:49] 已经高达4283亿
[20:51] 企业放款3006亿
[20:53] 高于个人放款增加了1990亿
[20:55] 那现在房贷车贷信贷
[20:57] 连政府还没有出现全面暴涨
[20:59] 但是现阶段而言
[21:01] 跟05年的双卡风暴有一点相似
[21:04] 所以金管会也提前采取一些动作
[21:07] 但我们想说
[21:07] 这就是控制好自己的普选部位
[21:09] 杠杆仍然没有对错
[21:11] 你买的资产
[21:12] 其实跟指数型投资者差不多
[21:15] 重点是你愿意开杠杆
[21:17] 投资市场也是一样
[21:18] 同样是借钱
[21:19] 有些人说这叫财务规划
[21:21] 有些人说这叫做资产活化
[21:24] 有些人说这叫做提高资金效率
[21:27] 行情反转的时候
[21:28] 他的名字就变成融资追缴
[21:30] 就变成违约交割了
[21:32] 就变断头了
[21:33] 钱没有变
[21:34] 改变的是市场赋予他的定义
[21:36] 这是很重要
[21:37] 昨天才有一位网友提问
[21:39] 还是老观众
[21:40] 他说我们到底是直播还是录播
[21:43] 我想说老观众看那么久
[21:45] 可能他都事后
[21:46] 不是事后
[21:47] 等我们直播结束之后才看
[21:50] 搞不清楚我们到底是直播
[21:52] 还是在录播
[21:53] 是这样的
[21:54] 如果是直播的话
[21:56] 下面会写正在直播
[21:57] 多少人这样
[21:58] 如果是录播的话
[22:00] 下面会写正在首播
[22:01] 那多少人
[22:02] 那如果是传播的话
[22:04] 那现在一个小时
[22:04] 大概要两三千
[22:05] 小局三千
[22:07] 大局现在要五千了
[22:09] 就很多事情
[22:09] 真正影响结果的
[22:11] 不一定是事实
[22:11] 要看你怎么解读它
[22:13] 直播录播传播
[22:15] 只差一个字
[22:16] 但代表的是完全不同的意思
[22:18] 同样是借钱
[22:20] 有些人说是财务规划
[22:21] 有些人说是资产活化
[22:23] 提高资金效率
[22:24] 但是反过来说
[22:25] 也许变成融资追缴
[22:26] 违约交割
[22:27] 你要能够分清楚
[22:28] 牛市当中
[22:30] 杠杆往往会包装成能力
[22:31] 在熊市当中
[22:32] 杠杆却变成风险
[22:34] 要稍微理解
[22:35] 好 那你说
[22:35] 那你是不是代表
[22:36] 对于台股要切身恐惧呢
[22:38] 没有
[22:38] 只是控制好自己铺险部位
[22:40] 我们针对台股未来的看法
[22:42] 仍然是顺应着AI生产力周期
[22:44] 直到AI资本支出
[22:45] 有所松动再说
[22:47] 为什么
[22:47] 因为钱进来的速度太快了
[22:50] 外资就算
[22:51] 每个礼拜有一天
[22:53] 这样子卖1700多亿
[22:54] 台股都有机会继续创历史新高
[22:56] 为什么这样讲
[22:57] 我们细看
[22:58] 先从南韩来看
[22:59] 南韩目前的出口是暴增了50%
[23:02] AI热潮持续推升全球需求
[23:05] 整体而言
[23:06] 最大功臣还是来自于
[23:07] AI记忆体相关产业
[23:08] 而且韩国大量的出口
[23:10] 正在运往台湾
[23:11] 其实从25年以来的出口表现
[23:13] 台湾很明显已经成为
[23:15] 亚洲主要出口国当中最大的赢家
[23:18] 台湾的出口金额
[23:19] 比2025年年初大概
[23:20] 现在快要暴增100%
[23:23] 不仅大幅领先南韩的80%
[23:25] 这也反映出
[23:26] 现在的AI伺服器
[23:28] 半导体和高效能运算的拉升底下
[23:30] 南韩拉升以后
[23:31] 南韩的货都运到台湾
[23:33] 台湾的货既有组装
[23:35] 产值提升以后
[23:36] 就直接运到美国
[23:37] 这也导致了AI牛市
[23:39] 几乎已经养活政府了
[23:41] 5月份的证交税
[23:42] 单月已经冲高到704亿
[23:44] 你再看昨天成交量
[23:46] 6月会不会创高
[23:46] 6月肯定创高了
[23:48] 现在才5月
[23:50] 已经逼近去年全年2900亿的水准
[23:53] 换句话说
[23:55] 证交税的收入
[23:57] 已经达到去年85%的收入
[24:00] 6月我看搞不好就要创下历史新高
[24:03] 就是在今年半年
[24:05] 就会创下历年来的历史新高了
[24:07] 这说明台股已经正式进入到
[24:09] 高价高量高周转的阶段
[24:12] AI所带来的资金热潮
[24:13] 不只是让上市会公司获利暴增
[24:15] 现在政府
[24:16] 你根本就不用担心什么
[24:18] 劳保劳退破产的问题
[24:20] 完全都不用担心
[24:22] 未来健保的压力
[24:23] 完全就取决于
[24:24] 政府打算要怎么运用这笔钱
[24:25] 进行财富的重分配
[24:27] 那当然有些人会说
[24:28] 也许虽说是昙花一现
[24:30] 这当然了
[24:31] 这要注意一下
[24:32] 也许有景气反转
[24:33] AI泡沫的破灭的一天
[24:34] maybe
[24:35] 未来有一天会发生
[24:36] 可是这几年
[24:37] 你会发现
[24:38] 政府的财政收益
[24:40] 会非常非常充裕
[24:41] 这就是来自于
[24:42] 整个资本市场
[24:43] 在AI生产力突破底下
[24:44] 形成的结果
[24:45] 我们再看台湾
[24:47] 在五月份的外销订单
[24:48] 也是如此
[24:49] 跟韩国一样
[24:49] 现在是逼近900亿美元的历史次高
[24:52] 年增幅47.2%
[24:54] 连续16个月维持高强度成长尤其我们看到美国供应链重组之后台湾现在已经超越中国成为美国最重要的进口来源那整体来说主要还是来自于
[25:06] 现在有许多产品
[25:07] 至少从伺服器层面
[25:09] 都是由台湾直接发货
[25:10] 所以美国主要进口股
[25:12] 从18年
[25:13] 中国是最高21.2
[25:14] 现在只剩下7.2
[25:16] 台湾现在已经上升到8.2%
[25:19] 那尤其台美日韩
[25:21] 目前整体制造业片
[25:22] 已经完全进入到上升格局
[25:25] 那这就形成台湾内部极化现象了
[25:28] 我们会提过
[25:28] 因为如果你按现在的PPI来看
[25:31] 台湾的进口物价年增幅
