[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那也符合我们过去所说的
[06:07] 就是被动投资
[06:08] 正在快速的取代主动投资
[06:10] 越来越多的资金
[06:11] 它只是依照指数的权重
[06:12] 来买进股票
[06:13] 而并不是单纯去分析
[06:15] 企业的基本面
[06:16] 就变成越大的公司
[06:18] 吸引越多的资金
[06:19] 全资股持续膨胀
[06:20] 那当前哪一个族群板块好
[06:23] 它似乎取决于
[06:24] 哪一几档ETF发行的特别亮丽
[06:27] ETF发行的好的
[06:29] 那几只股票就涨得特别多
[06:30] 那小型股反而关注度
[06:32] 就并不是特别的高
[06:33] 市场集中度就不断的提高
[06:35] 所以你看这几年
[06:37] 即便我们知道台湾主动型ETF
[06:39] 又开始受到亮丽的表现
[06:40] 但是都是往ETF的方向走
[06:42] 共同基金的资金流入量
[06:44] 这是相对于ETF还是小得多
[06:47] 那在美国股市就特别明显
[06:48] 几乎共同基金的资金
[06:50] 全面 惯象 被动型 指数型ETF
[06:53] 那另外一个就是快速崛起的
[06:55] 多策略避险基金
[06:56] 也让市场出现另外一个担忧
[06:58] 就是这种大型平台
[07:00] 它是依靠高度一致的风险模型
[07:02] 同时管理数百位的经纪人
[07:05] 那有时候大家采用相同的策略
[07:07] 一旦出现重大变化
[07:09] 许多人可能会被迫平仓
[07:11] 同时卖出相同资产
[07:13] 导致现在的市场波动率持续加大
[07:16] 那最后就是量化公司
[07:18] 量化公司
[07:19] 它同样改变了市场的流动性本质
[07:21] 过去银行承担的是流动性的角色
[07:23] 所以市场波动
[07:25] 有但是还是必须要维持交易
[07:27] 现在大量的电子做造势商
[07:30] 这些量化基金
[07:31] 开始取代他们之后
[07:32] 就变成有条件的流动性
[07:34] 只要市场稍微震荡一下
[07:36] 也不是熊市
[07:37] 也不是牛市
[07:37] 可能单日波动5%10%
[07:39] 马上很有可能剧烈震荡
[07:42] 模型失效
[07:42] 就撤出市场了
[07:43] 那平时看起来成交
[07:45] 还很稳定很稳定
[07:46] 突然之间
[07:47] 买盘瞬间消失
[07:48] 一天就变成流动性增口
[07:50] 好那我们刚才讲的这几件事情
[07:52] 最后都形成了
[07:53] 现在市场的波动率的持续加大
[07:56] 川普是一个因子
[07:57] 大家的心性变大也是一个因子
[07:59] 这个投资资讯的传播也是一种
[08:02] 大家都觉得
[08:02] 每一次股灾都是V转
[08:04] 我怕什么呢
[08:06] 这次好像也毫不例外
[08:07] 所以每一次都是好买点
[08:09] 市场的波动率就会因此而加大
[08:11] 可是恐慌发生的时候
[08:12] 多策略型的基金
[08:14] 这些市场一并的进行卖出的时候
[08:16] 波动率就会加大
[08:17] 所以我们要讲的就是
[08:18] 我们要接受一个市场波动率
[08:20] 变大的一个事件
[08:21] 我们对于过往
[08:23] 可能每天各股5%以上的报酬现在如果是美股的话10%以上的市场波动是很正常的对于韩国股市熔断是很正常的
[08:35] 要开始有这样的一个行行
[08:36] 当然其中一个更大原因
[08:38] 还是来自于散户的影响力
[08:40] 已经逐步超越过去
[08:42] 这几年我们看
[08:43] 股票和选择权交易的快速普及之后
[08:46] 散户不仅是持有了更多股票
[08:48] 也大量参与高杠杆的衍生性商品
[08:51] 这一次只是稍微压一下
[08:52] 可是我个人看法是
[08:54] 它不会改变
[08:55] 散户会更多选择这些产品的交易性
[08:58] 基本上它只是洗第一波而已
[09:01] 散户不会因为这一次的经验
[09:03] 就再也不会采取任何
[09:05] 高杠杆衍生性商品的交易
[09:07] 因为资讯的流通仍然在增加
[09:08] 现在持有股票的家庭比例
[09:11] 20年是50%到25年是60%
[09:14] 今年预估短短一年就成长1%到2%
[09:17] 持有的家庭户数
[09:18] 也从10年前的5860万户
[09:21] 美国股市的散户增加到8000万户
[09:24] 这说明股票投资其实也慢慢变成
[09:27] 美国家庭资产配置的一环
[09:30] 大概就是四分之一到五分之一的比例
[09:32] 台湾是二分之一
[09:34] 几乎有一千多万个证券户
[09:37] 我们讲的最后的防线好像是央行
[09:40] 但是现在能够运用的工具也比过去少得多
[09:43] 现在全球政府的债务创价历史新高
[09:46] 高利率让取债成本持续增加
[09:48] 未来如果发生金融危机
[09:50] 各国的确也很清楚知道
[09:52] 没有足够的财政空间
[09:53] 大规模的救市
[09:54] 最后就是靠央行自己而已
[09:56] 财政部能够做的事情也有限
[09:57] 所以我们要讲的事情是
[09:59] 整体来看
[10:00] 真正值得担心的并不是
[10:02] 一个某一场市场泡沫
[10:04] 它是金融市场
[10:05] 有七个结构性的转变
[10:06] 私募资产的快速膨胀
[10:08] 被动投资主导市场
[10:11] 多策略基金兴起
[10:12] 非银行的流动性
[10:14] 取代原本银行的流动性
[10:15] 散户的资金创高
[10:17] 政府的救市能力下滑
[10:18] 以及最后整体杠杆的增长
[10:21] 那这些变化
[10:22] 它们是相互影响的
[10:23] 共同削弱市场在危机时
[10:25] 能够吸收冲击的能力
[10:27] 所以让每一次的修正
[10:28] 本来你叠个5% 10%
[10:31] 这是正常修正
[10:31] 它就变成15%到20%中期回调
[10:34] 本来叠个15%到20%
[10:36] 算是比较中期回调的
[10:38] 这种怪力修正
[10:39] 结果就变成20%到30%
[10:41] 好像变成熊市
[10:42] 但其实就是波动率的放大而已
[10:44] 这是第一个
[10:45] 值得大家观察的重点
[10:47] 那第二大层面是
[10:48] 现在财报界要陆续公告
[10:49] 那波动性加大
[10:51] 也不代表说市场上的操作要变得更加频繁
[10:54] 反而有更多掌握的机会
[10:56] 对于长期投资者来说
[10:57] 尤其你只要确保基本面还在向上
[11:00] 就没有太大的问题
[11:01] 我们举例来说
[11:02] 就目前来看
[11:03] 整体在记忆体二季度到三季度财报
[11:07] 记忆体厂商现在市值年增幅
[11:09] 预估过去一个季度是320%
[11:12] 那半导体设备厂商
[11:14] 从二季度到现在第三季度
[11:16] 成长是110%
[11:17] 金元成长是70%
[11:19] 所以即便我们知道
[11:20] 股价有做比较大的回调
[11:22] 可是整个二季度
[11:23] 其实美国股市还是相当亮丽
[11:25] 那我们接下来就来分别从
[11:27] 美国韩国台湾日本市场来看待
[11:30] 那这些国家政府
[11:31] 目前采取用什么样的一个方式
[11:33] 来尝试的
[11:34] 第一稳住市场的新兴投资
[11:36] 第二杠杆现在去化以后
[11:39] 钱多出来了
[11:40] 钱毕竟还在
[11:41] 钱去哪里比较好呢
[11:43] 是往产业的方向来做投资
[11:45] 还是说回入到公司的刺激市场
[11:49] 有进一步的显著拉抬
[11:50] 为什么这样讲
[11:51] 因为我们知道
[11:52] 最近AI保卫战开始陆续开打了
[11:54] 川普政府已经释放谈话
[11:56] 随时准备要限制美国企业
[11:59] 使用中国开源的AI模型
[12:01] 导火线当然是这一次的Kimi K3
[12:03] 有越来越多的美国企业
[12:05] 现在改用价格更低
[12:06] 效能快速追上的中国模型
[12:09] 那美方当然也不用说
[12:10] 直接宣布全面禁止了
[12:12] 你只要透过政府的采购规则
[12:14] 实体清单安全警告
[12:16] 或者责任的追究
[12:17] 就能够让企业
[12:18] 基于法规和资讯安全
[12:20] 主动退场
[12:21] 那现在呢
[12:22] 你像是亚马逊或者
[12:24] 微软
[12:26] ABMB
[12:27] 或者一些旅游平台
[12:30] 像booking.com等等
[12:31] 都已经逐步的采用
[12:32] 中国AI模型
[12:33] 所以如果现在
[12:35] 采取用进一步的冲击
[12:37] 或者说美国企业
[12:38] 采取相关的禁制令
[12:39] 那就代表着
[12:40] 双方的国家对
[12:42] 介入的场景
[12:43] 来得更加显著
[12:44] 川普其实最近针对AI的法规
[12:47] 以及内部讨论越来越多了
[12:49] 川普最近开始替AI
[12:51] 加上一道护栏
[12:52] 就最强模型上线前
[12:54] 现在都必须要让政府看看
[12:56] 之前Fable 5就是如此
[12:57] 因为过去两年我们也知道
[12:59] 美国政府对于AI的态度
[13:00] 相对比较矛盾
[13:02] 一方面是希望企业能够全力从此
[13:05] 赢得与中国的AI竞赛
[13:07] 但另外一方面又担心
[13:08] 这些模型强大到
[13:10] 足以发动网络攻击
[13:11] 破坏关键的基础设施
[13:13] 所以现在就是画出第一条红线
[13:15] 行政命令表示
[13:16] OpenAI Google XAI Anthropia
[13:19] 未来推出任何最先进的前沿模型
[13:21] 必须要自愿前30天
[13:24] 先给联邦政府进行安全审查
[13:26] 我觉得OK了
[13:27] 你再发布
[13:28] 不OK
[13:29] 你就让我自己用就好了
[13:30] 同时国防部和国土安全部
[13:32] 以及CISA
[13:33] 都会加速建立AI网络的防御体系
[13:37] 现在白宫已经成立了
[13:38] AI的网络安全中心
[13:40] 负责找出模型的漏洞和潜在风险
[13:43] 那当然了
[13:44] 这个是一方面是采取相关的保护
[13:46] 另外一方面
[13:47] 相对的补贴
[13:48] 以及未来白宫入股
[13:50] 这些AI公司的计划
[13:51] 也没有因此停下来
[13:52] 等同于双面下注
[13:54] 国家力量的参与
[13:56] 让本场泡沫
[13:57] 多了一个国家的买盘推手
[13:58] 现在美国主权基金
[14:00] 又开始掀起新一轮的讨论
[14:02] 因为主权基金
[14:03] 以前都是在那种
[14:04] 那个外汇特别多的
[14:05] 像沙乌地阿拉伯
[14:06] 新加坡等等
[14:07] 现在加拿大
[14:09] 爱尔兰
[14:09] 西班牙
[14:10] 等西方国家也陆续成立基金
[14:12] 那最引发关注的就是
[14:13] 川普政府
[14:14] 现在跟民主党参议员桑德斯
[14:16] 已经罕见支持同一个方向
[14:18] 就是不一定要直接成立主权基金
[14:21] 但是我可以透过美国政府
[14:23] 持有OpenAI
[14:24] Enthropy等AI公司的股权
[14:26] 让全民来分享
[14:28] AI革命所带来的财富
[14:30] 桑德斯是认为
[14:31] 我们应该直接持有
[14:32] AI龙头50%的股权
[14:34] 每年把5%的收益
[14:36] 发给美国民众
[14:37] 那共和党明显认为不可能
[14:39] 你怎么可能让人家
[14:40] 把一半的股权给你呢
[14:41] 但是5%到10%差不多了
[14:43] 那支持者认为
[14:45] AI建立在全民的知识基础之上
[14:47] 你看这些人训练了这么多的资料
[14:50] 那都是我们的结金
[14:51] 所以他要回馈我们很正常
[14:53] 那反对者认为
[14:54] 如果政府同时是监管者又是股东
[14:57] 那你就会影响到接下来监管的独立性
[14:59] 那你真的会阻拦他吗
[15:01] 因为你是他的股东
[15:02] 所以有没有可能因为政治干预
[15:04] 而降低了基金的投资效率
[15:06] 那不管怎么说
[15:08] 至少全民的方向共同是一致的
[15:10] 川普的态度也特别明显
[15:12] 把电力问题给搞好
[15:14] 入股AI公司
[15:15] 确保美国企业能够持续领先
[15:18] 最近川普又宣布
[15:19] 砸了175亿的美元贷款
[15:21] 重启美国大型核电建设
[15:23] 整体而言主要是加快速度
[15:26] 每个专案预估会新建两座核反应炉
[15:29] 会提供无比贷款
[15:30] 给电力公司和能源业者
[15:32] 主要就是因为现在全美大缺电
[15:34] 目标是在2030年前
[15:36] 让前十座的大型核反应炉
[15:38] 同时开工
[15:40] 来不及在川普卸任时完工
[15:42] 不过钱都给你了
[15:44] 尽可能的10年内到5年内
[15:47] 有一定程度的成效
[15:48] 应该是来不及在川普任期内
[15:50] 但是我个人的看法是
[15:51] 目前的态度其实相当明确
[15:53] 那就是大量的补贴
[15:55] 大量的监管的松绑
[15:57] 以及AI股权的参观
[15:59] 或者说参与
[16:00] 那当然我们也知道说
[16:02] 前阵子大家观察最多的
[16:03] 就是因为内部已经开始做显著分化了
[16:06] 之前纽约州就首开全美的先例
[16:09] 暂停大型AI资料中心一年
[16:11] 基本上不是永久禁止
[16:13] 而是说这段时间
[16:14] 已经停止受理新案
[16:16] 那已经提出的申请
[16:18] 也会暂缓审查
[16:19] 让州政府有更多的时间
[16:21] 来制定更为完整的管理规范
[16:23] 那目前全美大概有10到15个州
[16:26] 都已经采取了相关做法
[16:28] 都是暂时停止
[16:30] 大型AI资料中心的建设
[16:31] 那我们当然清楚它内部的原因
[16:33] 因为反资料中心
[16:35] 已经变成中期选举的地方政治议题
[16:37] 居民会担心资料中心
[16:39] 再来高耗电
[16:40] 噪音用水和环境冲击
[16:42] 当时你承诺给我的就业
[16:43] 好像也没有想象中来得多
[16:45] 结果你现在告诉我
[16:46] 你盖了资料中心
[16:48] 旁边还得建一个电厂
[16:49] 那我反对就出来了
[16:51] 现在从维吉尼亚州到德州到加州各地都出现了反对AI资料中心新建计划在上个周末有145场游行那当然了有些人说那这样子会不会快速的拖慢
[17:04] 接下来美国AI的建制的步调
[17:07] 有可能可是我们要反过头来说
[17:10] 有时候先花时间做一些细节讨论
[17:12] 一年可能有点长几个月差不多
[17:14] 做好环境评估跟居民做一些沟通
[17:17] 的确会拖慢AI资料中心的建设速度
[17:21] 甚至降低投资效率
[17:22] 可是从长远来看
[17:24] 这些前置作业
[17:25] 其实是在降低未来的不确定性
[17:27] 你想想看你用电用水
[17:28] 噪音交通回馈机制
[17:30] 你能够取得事前的共识
[17:32] 开发初期会花一点时间
[17:34] 后续施工运营扩建反而能够顺利
[17:37] 不会有那种电厂盖到一半
[17:39] 现在要喊停的那更麻烦
[17:41] 所以真正拖慢进度的
[17:43] 不一定是规范太多
[17:44] 是缺乏原本的核心规范
[17:46] 如果你一开始只追求速度的话
[17:48] 忽略了任何沟通
[17:50] 那冲突最后一次爆发
[17:52] 到时候你只能修改法规
[17:53] 或者重新审查
[17:54] 或者暂停建案
[17:55] 那可能企业付出更高的时间
[17:57] 和金钱成本
[17:58] 所以我个人的看法是
[18:00] 有时候事情最贵的
[18:01] 不是一开始就把它一次做好
[18:03] 是选择不做
[18:04] 当你放弃自己的责任的时候
[18:06] 最后一定会有人接受
[18:07] 我是比较认可说
[18:09] 也许在建制初期
[18:11] 你要确立好一些原则
[18:12] 因为现在建的有点快
[18:13] 你已经遭受到一些副作用了
[18:15] 尤其又是有中期选举
[18:17] 而且很多事情
[18:18] 如果你一开始没有把它原则确定
[18:20] 你选择不做的话
[18:22] 到时候你要承担代价
[18:23] 有时候反而更大
[18:24] 之前太太不是讲
[18:26] 浴室水龙头漏水了
[18:28] 你会修吗
[18:30] 先生躺在沙发上滑手机
[18:32] 我看起来像是水电师傅吗
[18:35] 隔天车子发不动
[18:37] 太太又问
[18:38] 车子发不动
[18:39] 你可以看看吗
[18:40] 先生又说
[18:42] 我看起来像是修车的吗
[18:45] 第三天水龙头也好了
[18:47] 车子也修好了
[18:48] 爸爸很疑惑
[18:49] 谁弄的
[18:50] 太太说
[18:51] 隔壁老王
[18:53] 他说不用钱
[18:54] 只要烤个蛋糕给他
[18:56] 或者跟他亲了一下就好
[18:58] 先生愣住
[18:59] 那你烤了什么蛋糕
[19:00] 妈妈太太看着他
[19:03] 我看起来像烘焙师吗
[19:05] 所以我们讲说
[19:07] 企业发展AI这些东西
[19:09] 如果你只看见算力
[19:11] 投资和商机
[19:12] 你忽略了真正影响计划
[19:14] 能否顺利推行的
[19:15] 不只是技术
[19:16] 所以你不要看川普
[19:17] 好像跟那个市场上
[19:19] 共识好像有点不一致
[19:20] 川普现在也逐步的认可
[19:23] AI教育中心要进行更进一步的沟通
[19:25] 那当然可能会对于当地选民环境
[19:28] 再来适度的承压
[19:29] 所以也许适度的放缓步调
[19:31] 来做更多的沟通
[19:32] 先确立好原则是很重要的
[19:34] 白宫也越来越多的AI的指引
[19:36] 开始陆续出来
[19:38] 我们讲就是跟爸爸一样
[19:40] 先生一样
[19:41] 水龙头坏了你不愿意修
[19:42] 最后会有人把它修好
[19:44] 但是你会付出更高的代价
[19:46] 不是一个水龙头这么简单
[19:47] 企业如果逃避原本该承担的责任
[19:50] 那最后政府还是要出手修改法规
[19:52] 选民会做反应的
[19:54] 所以还是很重要
[19:56] 对啊
[19:56] 男人畜生
[19:58] 女人偏爱小动物
[20:00] 好那刚才我们看的是
[20:01] 整个美国的AI市场建制概况
[20:04] 目前就是在一个新建过程当中
[20:06] 稍受到各种不同的冲击
[20:08] 开始进行原则法规上的一个改革
[20:11] 好台湾的市场也是一样
[20:13] 我们看这一次全代会的部分
[20:15] 其实卓魁也发布了相关的施政报告和重点
[20:19] 从GDP的翻倍计划到六大治理的生活圈
[20:22] 推动都更
[20:24] 兆元观光
[20:25] 强化食安
[20:26] 照顾中小微企业等等
[20:28] 那主要目的就是把台湾整体
[20:31] 尤其是现在在AI荣景的过程当中
[20:34] 政府税收超于预期的过程当中
[20:37] 能否提升台湾整体的竞争力
[20:39] 来做更进一步的刺激
[20:41] 我们当然知道
[20:42] 资料中心要用到的电
[20:44] 跟建AI资料中心的伺服器
[20:47] 所需要用到的电
[20:48] 它不是同一个量级
[20:49] 不过最近我们看到
[20:51] 经济部即将推出
[20:53] 用电大户条款2.0了
[20:55] 什么意思
[20:55] 以后台湾的厂商跟美国一样
[20:58] 你要用电
[20:59] 自己要顺便盖电厂
[21:01] AI时代来临
[21:02] 全球用电越来越紧绷
[21:03] 现在要求
[21:04] 有一定程度容量以上的企业
[21:07] 必须要在期限内
[21:09] 设置自有发电设备和储能系统
[21:11] 预估有400家台湾大型企业会受到影响
[21:15] 从半导体到资料中心
[21:16] 到钢铁石化面板等等
[21:18] 立法院本周
[21:19] 也即将审议能源管理法修正草案
[21:22] 相对于之前再生能源发展条例
[21:24] 仅仅要求用电大户
[21:26] 建置相当于容量10%的再生能源
[21:29] 这一次直接要求你
[21:31] 记得顺便
[21:32] 你要盖厂房是不是
[21:34] 记得自己配发发电设备
[21:36] 还有储能设备
[21:37] 如果企业没有
[21:38] 依照规定完成设置的话
[21:40] 主管机关会罚15到75万
[21:43] 而且是连续罚缓
[21:45] 那市场预估
[21:46] 这一次新制上路之后
[21:48] 台湾的除能积电工程
[21:50] 会迎来新一波的商机
[21:51] 那你说当然了
[21:53] 这个市场到底缺不缺电
[21:55] 那看起来就未来是一定缺的
[21:57] 但现在肯定市场压力没那么大
[22:00] 必须要提前做好法源的依据来做规范
[22:03] 那跟美国一样
[22:04] 你要建
[22:05] 记得先建好自己的电厂或者除能设施
[22:08] 不要到时候怪台湾的电力供应系统
[22:11] 台湾电力系统又高峰低峰
[22:13] 那也要能够做顺应的一个适配
[22:16] 那最好的就是低峰的时候你多用一点
[22:19] 高峰的时候你记得要除能自己先除下来
[22:21] 那事实上我们很清楚知道
[22:23] 原因就来自于台湾的外销订单
[22:25] 正在以惊人的速度上行
[22:27] 如果按照本波的AI荣景
[22:29] 到29年以前资料中心都还在新建的话
[22:32] 那每个月的外销订单和产量就会一直上去
[22:35] 用电量只会往上来做激增
[22:37] 台湾在6月的外销订单是952亿
[22:40] 年征服是59.4%
[22:42] 已经连续17个月成长
[22:44] 而且刷下单月的历史新高了
[22:47] 美国订单是386亿
[22:48] 年征服是83%
[22:50] 我们看现在主要类别的订单
[22:53] 像自通产品
[22:54] 电子产品
[22:55] 基本金属机械
[22:56] 都是美国作为主要客户
[22:58] 美国现在接单占比是40.6
[23:01] 这个比中国加香港加东协都还要来得高
[23:05] 我们事实上可以观察到
[23:07] 在今年上半年
[23:09] 台湾对于美国的出口
[23:10] 其实已经超越了中国
[23:11] 你要想想看
[23:12] 台湾只有3.6万平方公里
[23:15] 2300万人
[23:17] 结果创造了1161亿美元的
[23:20] 惊人成绩
[23:21] 2000多万人创造的出口产值
[23:23] 对于美国
[23:24] 居然比整个中国还要来得高
[23:26] 这件事情就说明了
[23:28] 市况已经不一样了
[23:29] 现在美国的进口三大国
[23:32] 第一个就是墨西哥
[23:33] 第二个是加拿大
[23:34] 那都是由于有大量农产品
[23:36] 或者原物料的进口
[23:37] 临近周边
[23:38] 第三居然就是台湾了
[23:40] 台湾还比中国高
[23:41] 再来就是越南
[23:41] 这件事情就意味着
[23:43] 事实上风水轮流转
[23:45] 台湾的确在本人的AI商机当中
[23:47] 拿到的非常显著重要的地位
[23:50] 而这个地位
[23:51] 你要确保能够继续走下去
[23:53] 电力的设施
[23:54] 相关法律的指引
[23:56] 都必须要相对应的来做改革
[23:58] 事实上我们也清楚知道
[24:00] 台商对外的投资也没有停过
[24:02] 可是对于中国市场的投资
[24:03] 16年大概是100亿美元
[24:05] 到去年只有15亿
[24:07] 短短9年已经缩水了
[24:09] 接近有8成
[24:10] 那当然两岸之间的贸易
[24:12] 从来没有切断过
[24:13] 可是从投资新增的方向
[24:15] 经济重心的确有做
[24:16] 比较明显的改革
[24:17] 再来看一下南韩市场
[24:19] 李在明最近是成立了
[24:21] 国家未来基金
[24:22] 因为南韩政府预估
[24:23] 今年也会创下
[24:24] 史上最大规模税收
[24:26] 预估有可能会来到
[24:27] 5000兆韩元
[24:28] 明年整体预算规模
[24:31] 可以来到800兆
[24:31] 那这么庞大的一个资金
[24:33] 李在明表示说
[24:34] 这个是20年才有的一次机会
[24:36] 不能够一次花光
[24:37] 所以南韩成立未来应对基金
[24:40] 把资金大量投入到年轻世代
[24:42] 未来成长产业
[24:43] 区域发展
[24:44] 还有人才培育的四大方向
[24:46] 有点类主权
[24:47] 但是它并不是以次级市场标的
[24:50] 作为主要投资方向
[24:51] 主要是以新创为主
[24:52] 另外一方面
[24:53] 我们也知道南韩股市的创高
[24:55] 最近的估值做了四度回调
[24:58] 可是本益比仍然属于显著偏低的
[25:01] 随着二季度三季度财报开始公告之后
[25:04] 是否对于已经跌深的记忆提股
[25:07] 有进一步的拉抬
[25:08] 值得多做一些留意
[25:09] 日本的部分
[25:10] 最近高市早苗
[25:11] 正式宣布松绑金融管制
[25:14] 主要原因又来自于
[25:15] 日本过去对于大型
[25:17] 这种资料中心的专案放款
[25:19] 还是有比较高强度的限制的
[25:20] 政府现在正在检讨银行跟证券子公司之间禁止共享客户资讯防火墙的规定就是不阻拦你了你要提高金融集团整合的资金和服务企业的效率OK
[25:32] 而且让旗下的投资公司
[25:35] 更容易为企业收购
[25:36] 事业拆分来提供股权资金
[25:38] 现在持续性的放宽
[25:40] 等同于你想盖
