[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那这一波显著的市场拉动,
[03:16] 持续性的去压住这些AI股继续上涨
[03:19] 那市场上呢
[03:21] 你说到底是不是害怕下跌
[03:23] 我感觉怎么更像是怕错过上涨
[03:25] 怕再错过了
[03:27] 这种情况
[03:28] 当然很多人会想到
[03:29] 跟90年代默契的网络泡沫期
[03:32] 有一点像
[03:32] 明明知道估值过高
[03:34] 不买没办法
[03:35] 就跟很多现在主动型的经纪经理人
[03:38] 他不知道有些股票
[03:39] 那本盈比倍数有点离谱了吗
[03:41] 可是我资金量体这么大
[03:43] 能够买的就这几只
[03:45] 除了台积电联发科
[03:46] 我还能够买什么
[03:47] 所以某种程度而言
[03:48] 由于最低持股限制
[03:50] 被迫要继续进场
[03:51] 这就是我们看到在过去几年
[03:53] 量化交易
[03:54] 动能交易被迫
[03:55] 由于城市单的自动加深自己的部位
[04:00] 最后导致了
[04:01] 反而是涨越多
[04:02] 你要追越多
[04:03] 不然你就要跑输给大盘
[04:05] 跑输给大盘
[04:06] 那多丢脸
[04:07] 现在就处于这样的一个情况
[04:08] 所以资金就有两种角度
[04:10] 一个当然是价位碰到了
[04:13] 它被迫
[04:13] 尤其是大型股票
[04:14] 它就一定要追
[04:15] 第二种就是
[04:16] 大家还在寻找
[04:18] 是否有超额报酬的机会
[04:19] 直经就开始
[04:20] 看费办是否有机会重新外溢回
[04:23] 过去被杀中的一些股票
[04:25] 我们举例来说
[04:26] 大家还记得在今年
[04:28] 其实早在伊朗战事之前
[04:30] 美国股市的估值回调就已经开始了
[04:32] 当时我们就下一个判断
[04:33] 我们讲说
[04:34] 其实美国股市也不是伊朗战事才开始跌
[04:38] 它从1月2月就已经开始跌了
[04:40] 所以我们要找出那个估值回调的理由
[04:42] 也许估值早就想回调了
[04:44] 伊朗战事只是加快它的速度而已
[04:47] 我们回过头看
[04:48] 早在今年年初
[04:49] 当时的IGV
[04:50] 也就是软体型ETF
[04:52] 就在进入到史诗级的崩跌
[04:54] 从当时116块
[04:56] 一路跌到76块
[04:57] 最近开始打底了
[04:59] 而且开始占上了所有的均线
[05:03] 那一旦接下来
[05:04] 把所有均线占稳
[05:05] 正式做突破以后
[05:06] 就要看有没有机会
[05:07] 可以挑战回高点了
[05:09] 所以以前我们第一阶段就是
[05:10] 反正现在就是买
[05:12] 先卖产值的人
[05:13] 也就是GPU私服气场
[05:14] 那硬体涨太多以后
[05:16] 就会找第二阶段的受益者
[05:19] 那AI的应用软体
[05:20] 企业的SaaS
[05:21] 自动化的平台
[05:22] 现在看起来
[05:23] 好像当时的担忧
[05:24] 有点过度了
[05:25] 也没有看到软体
[05:26] 也被大量的取代
[05:27] 顶多是科技业
[05:28] 以AI作为裁员理由
[05:30] 进行轮动而已
[05:31] 所以对于就业市场
[05:32] 看起来是有影响的
[05:33] 可是对于这些软企业
[05:36] 难道AI不是帮助他们
[05:38] 互助自己互成合的
[05:39] 一种方式吗
[05:40] 这种叙事逐步回升以后
[05:42] 我们就可以看
[05:43] 资金是否有轮动机会
[05:44] 也就是大家从原本的
[05:46] 往右上角看
[05:47] 开始往右下角
[05:48] 或者左下角来看看
[05:50] 有没有开始轮动的机会了
[05:52] 当然我们回过头说
[05:53] 这一波最离谱的
[05:54] 其实就是利率的预期
[05:56] 跟标普白指数全面脱钩
[05:58] 这一波是怎么样
[05:59] 就是降息的预期越来越低
[06:01] 可是标普白指数却越来越高
[06:03] 标普白指数已经连涨8周了
[06:06] 纳斯达克指数是创下
[06:07] 40年来最极端的标准差涨幅
[06:10] 这说明着
[06:11] 不是说这种涨幅不能接受
[06:13] 是这个涨幅很明显过快了
[06:16] 乖离拉高动画的速度前所未见
[06:19] 尤其现在债券市场或者利率预期
[06:22] 又不利于股市的继续上涨
[06:24] 但它还是往上暴冲
[06:25] 让大家有一股预期
[06:26] 就是哇那是不是代表着
[06:28] 如果利率预期回来
[06:30] 如果接下来中东战事结束了
[06:31] 那我就要涨更多了
[06:33] 因为以前利率这么高
[06:34] 通膨这么恐怖
[06:35] 我都可以涨那么多
[06:36] 那通膨更低
[06:37] 我不是涨更多吗
[06:38] 欧印身家
[06:39] 有这样的一个心理情绪逐步展现
[06:41] 所以我觉得
[06:41] 我们可以从两种角度来做思维
[06:43] 一种是从周期轮动的角度
[06:45] 看资产是否会流到左下角的股票
[06:48] 第二是从长天期直立率来看
[06:51] 如果有机会能够不要做突破
[06:54] 你像30年期已经做突破了
[06:56] 10年期其实已经突破了
[06:57] 过去的下降趋势线
[06:58] 如果能够正式的做回归
[07:01] 完全跌破在今年以来的平均水位
[07:04] 那其实就意味着
[07:05] 降息预期就逐步归来了
[07:07] 事实上我们回过头说
[07:08] 为什么我们讲说
[07:10] 现在这种通膨预期
[07:11] 还有人在喊降息
[07:12] 一个根本原因就来自于
[07:14] 到底或许会用什么样的方式
[07:16] 来说服接下来联准会采取
[07:18] 至少不要往紧缩之路
[07:20] 一个根本原因就来自于
[07:22] 美国的实质薪资
[07:23] 其实已经翻覆了
[07:24] 就代表着当前
[07:26] 其实美国的真实消费情况
[07:29] 是相当差
[07:29] 通膨其实比我们看到的
[07:32] 薪资涨不下来的更危险
[07:33] 照理来讲
[07:35] 这是很两难的处境
[07:36] 因为如果你去助长通膨
[07:38] 那也许实质薪资翻覆会更快
[07:40] 可是呢
[07:41] 如果你这个时候不做一些适度的调节
[07:43] 来减缓民意的压力
[07:45] 那当然第一中期选举会有更进一步的冲击
[07:49] 第二当然
[07:50] 对于沃许而言
[07:51] 他想要改革连准会跟选民之间的沟通
[07:54] 这样的一个桥梁的声势
[07:56] 也许在本年度就会遭受到极大迟疑
[07:59] 所以基本上我们知道
[08:00] 真实的经济情况并没有想象中还要来得好
[08:03] 之所以股市撑在高位
[08:05] 一个根本原因就是因为企业获利是真实在成长
[08:08] 那企业获利的成长足以抵挡所有的利空
[08:11] 这是当前市场给予的评价所以呢即便经济很差即便有外部地缘性的政治冲突即便欧洲经济现在PNI陆续跌落到50法国和德国进入到衰退边缘看起来就是
[08:23] 只要继续AI资本支出
[08:24] 持续增长
[08:25] 而且获利也有继续在拉升
[08:27] 那我们就预估
[08:28] 可以继续赌下去
[08:29] 如果资本支出投很多
[08:30] 没有获利跟上
[08:31] 那我要稍微担心了
[08:33] 可是现在的情况就是
[08:34] 获利在非犯层面
[08:37] 整体EPS成长是60%
[08:39] 所以年增幅60%
[08:42] 这种账户
[08:42] 就算资本支出
[08:44] 未来觉得好像有点夸张
[08:45] 有点过多了
[08:46] 大家也不会担心
[08:47] 那个系统性的问题
[08:48] 先看你能够赚多少钱
[08:50] 当然另外一大层面
[08:52] 就来自于
[08:52] 整体每个的货币供应量
[08:54] 其实已经慢慢开始增长了
[08:56] 其实从24年25年
[08:58] 就开始增长了
[08:59] 可是从整个26年
[09:00] 整个借贷量
[09:01] 信贷上的刺激
[09:02] 开始让整体货币量
[09:04] 有进一步的拉升
[09:05] 这就说明着
[09:06] 其实钱是变多了
[09:08] 所以我们要观察到
[09:10] 这个就是美国根本内部的逻辑
[09:12] 一个是心理情绪的改变
[09:14] 第二就宏观层面
[09:15] 钱看起来是越来越多了
[09:17] 台股也是
[09:17] 台股虽然昨天冲破4万4
[09:20] 后来稍微做一些拉回
[09:21] 不过台股在昨天正式的超过印度
[09:24] 整体市值来到4.95兆
[09:26] 成为了全球第五大的股票市场
[09:28] 仅次于美国
[09:30] 中国
[09:31] 日本和香港
[09:32] 这一波上涨最核心的能力
[09:34] 当然台积电
[09:34] 台积电今年涨幅已经高达5成以上了
[09:37] 光是一家公司就占了台湾加权指数
[09:39] 42%以上的权重
[09:40] 那背后原因
[09:41] 当然就是AI的大爆发
[09:43] 所有的AI晶片
[09:44] 伺服器
[09:45] 高效能运算
[09:46] 都离不开台积电的先进之城
[09:48] 你反而
[09:49] 印度股市今年还下跌8%
[09:51] 我们才讲说
[09:52] 今年到底经济好不好
[09:54] 看经济体
[09:55] 看国家
[09:56] 有些真的蛮不好的
[09:57] 欧洲
[09:57] 现在大部分国家
[09:59] PNI都跌落到50以下
[10:00] 算是高度紧缩
[10:01] 那印度的部分
[10:03] 印度过去原本是美中贸易战
[10:06] 极度受惠的经济体
[10:07] 今年居然下跌8%
[10:09] 印度股市今年全球资金流出了240亿
[10:12] 导致NACI新市场权重
[10:15] 从去年的19%下滑到12%
[10:18] 所以印度的经济规模当然是比台湾大了
[10:20] GDP四兆
[10:21] 人口这么多
[10:22] 又是成长最快的经济体之一
[10:24] 可是毕竟
[10:26] 第一
[10:26] 他没有台积电
[10:28] 他没有参与本轮的AI行情
[10:30] 所以现在NACI新市场最大权重是谁
[10:33] 是台湾
[10:34] 第二名是中国
[10:35] 第三名是韩国
[10:36] 搞不好下个季度韩国就超过中国了
[10:38] 所以在这样效果底下
[10:39] 等同于新的市场之路已经逐步打开
[10:43] 不过我们过去提过
[10:44] 回过头说
[10:45] 你看前面几名
[10:47] 除了美国以外
[10:48] 基本就是东亚国家
[10:49] 从中国 日本 香港 台湾 印度 南韩
[10:52] 根本就是大东亚共融圈
[10:55] 大东亚共融资本圈
[10:57] 这整个市场的资金
[10:59] 几乎就集中在整个AI半导体
[11:02] 集中在整个西太平洋
[11:04] 当然我们回过头说
[11:05] 现在台股4万点以后
[11:07] 这个全民杠杆时代的加成
[11:09] 速度越来越快
[11:10] 我们昨天才提到
[11:11] 现在的杠杆加成
[11:12] 市场的心理情绪违和
[11:14] 在过去几周
[11:15] 我们看到券商工会
[11:16] 已经积极的去争取
[11:18] 放宽资金融通上限
[11:20] 希望把券商的资金融通总额
[11:23] 从净值的4倍提升到6倍
[11:25] 负债的净值比
[11:27] 也从6倍放宽到8倍
[11:28] 什么意思
[11:29] 券商快没钱了
[11:30] 你不改法规
[11:31] 我也无法继续贷出去
[11:32] 所以我现在自己去筹钱
[11:35] 那你法规至少帮我放松
[11:36] 我才可以让更多所需要钱的人
[11:38] 可以用得到
[11:39] 从投资人的角度来说
[11:41] 这个的确是让市场更有效率
[11:44] 让券商更有空间
[11:45] 借钱给需要的人
[11:46] 那当然你换个角度想
[11:48] 那就是现在是大多头
[11:50] 加财户
[11:51] 让你借更多
[11:52] 那你想借多少就借多少
[11:54] 尤其现在券商
[11:55] 也不排斥借
[11:57] 你只要维持率保持在一定程度
[11:59] 如果你是买ETF的
[12:02] 再加上
[12:02] 现在质押利率很高
[12:05] 那券商也不见得不喜欢
[12:06] 尤其ETF质押借款这么热门
[12:09] 部分大型券商的隆通额度
[12:11] 大概都已经逼近到上限了
[12:13] 甚至有一些现代
[12:14] 那越来越多资金
[12:15] 透过质押融资和钢盘进场
[12:17] 那支持者的看法是
[12:19] 因为台湾券商
[12:20] 现在负债净值比是6倍
[12:22] 韩国是10倍
[12:24] 美国是15倍
[12:25] 其实并没有想象中来得高
[12:27] 所以我们讲说
[12:27] 就算这一波钱借完了
[12:28] 都不一定会有系统性风险
[12:30] 但问题是你这个时间点
[12:31] 你放宽
[12:32] 你某种程度就是在
[12:34] 助长这一波的热场
[12:36] 有些人的看法是
[12:37] 我们要成为亚洲资产管理中心
[12:40] 我们要成为亚洲纳斯达克
[12:42] 券商肯定是不能够被绑住手脚的
[12:44] 这个就是支持者的说法
[12:47] 当然比较担心的就是
[12:48] 从宏观角度而言
[12:50] 就害怕
[12:52] 台股如果从高位大幅的回挡
[12:54] 说到国际因素变数
[12:55] 那个融资户可能一周都撑不住
[12:57] 可能一根迭顶板都撑不住
[12:59] 那就系统性财大会出现
[13:01] 所以就算要开放
[13:02] 那你最好等股市回调的时候
[13:03] 你再宣布开放
[13:04] 你不要这个时间点宣布开放
[13:06] 这就是不同的问题
[13:08] 的确我们看到在最近
[13:09] 非公开的统计
[13:11] 这是面试区
[13:12] 这是一个专门统计就职的网站
[13:15] 它里头就去统计
[13:17] 在过去两周当中
[13:19] 离职潮对于年轻人的实质影响
[13:21] 里头就去统计
[13:22] 目前35岁以下的上班族
[13:25] 占了所有想辞职族群的61.3%
[13:28] 那现在有66.4%的人
[13:31] 想过去辞职炒股
[13:32] 目前是把股市当副业
[13:34] 就他已经在当副业了
[13:36] 那有60%的人
[13:37] 随时准备离职
[13:39] 准备去炒股
[13:40] 那么对于上班族而言
[13:42] 有58.4%上班族
[13:45] 股市赚再多
[13:46] 反而选择不离职
[13:47] 所以想离职的大部分都年轻人
[13:49] 真实的上班族
[13:50] 有60%是不会离职的
[13:52] 不过整体而言
[13:54] 调查发现
[13:55] 每四位就有一位动念辞职
[13:58] 有一个人觉得
[13:59] 有6%的人觉得
[14:01] 赚到一个月薪资就想走了
[14:03] 有7.2%是赚到半年薪资就想走了
[14:06] 赚到一年薪资就想走的有一成
[14:08] 赚到两年的有17%
[14:10] 这些数据其实都说明着
[14:12] 大家已经开始接近到退休的规划了
[14:16] 所以这一波的龙井
[14:17] 就是如此的反映在实体民间
[14:19] 基本上赚个一年两年年薪
[14:22] 其实也还好啦
[14:23] 也不足以达到退休
[14:25] 之所以大家会有理直的感想
[14:27] 肯定就是因为资产翻倍了
[14:29] 本来资产
[14:29] 2020年本来要退休的
[14:32] 只存到1000万
[14:34] 1000万很难退休
[14:36] 你只要持有
[14:37] 现在就变5000万了
[14:38] 5000万要退休
[14:39] 那就是可以考量的
[14:41] 在台湾市场
[14:42] 所以时神里头有说
[14:44] 只要有心
[14:45] 人人都是时神
[14:46] 现在你只要有钱
[14:48] 人人都是股神
[14:50] 有些人说
[14:51] 浩哥连这种死多头
[14:53] 现在都还会怕这种行情
[14:55] 还是有一点
[14:56] 是有一点
[14:57] 所以还会涨
[14:58] 连我都会怕
[14:59] 如果阿基米德是炒股人
[15:01] 给他一个杠杆
[15:02] 他现在可以赚10颗地球
[15:04] 当然回过头说
[15:06] 南韩市场也不遑多让
[15:07] 从今天开始
[15:08] 南韩正式上市
[15:10] 16档专门追踪
[15:11] 三星和SK海力士的
[15:13] 两倍杠杆ETF
[15:15] 由于韩国单日的涨跌幅限制
[15:17] 本来就是30%
[15:18] 照理来说
[15:19] 这些ETF理论上
[15:20] 单日波动可以来到60%
[15:22] 那我们昨天提到
[15:23] 因为要参与这些高风险的ETF
[15:26] 必须要先上课
[15:27] 然后还有1000万的保证金
[15:29] 南韩已经有10万人已经报名课程
[15:32] 现在人数来得更多
[15:33] 由于三星和海力士已经变成国民信仰股
[15:36] 大多数的韩国股市散户
[15:38] 也相信AI就是接下来的国运
[15:40] 日本散户也终于进场了
[15:42] 其实我们知道
[15:43] 日本从1980年代泡沫破灭以后
[15:45] 基本上主要的交易量
[15:48] 都是由外资和大型机构所主导
[15:50] 但是现在杜鞭太太回来了
[15:53] 而且火力比想象中还要来得更猛
[15:55] 日本散户主要是追踪半导体设备
[15:58] 光通讯还有电力基础设施
[16:00] 这个是1980年代以来
[16:02] 最难得一见的散户狂热
[16:05] 散户对于交易量的贡献正在暴增
[16:07] 甚至日本还开始出现了
[16:09] 场外交易的爆炸成长
[16:11] 越来越多散户
[16:12] 透过日本的替代交易平台
[16:13] 进行高频和短线交易
[16:15] 日本股市现在成为在亚洲市场
[16:18] 仅次于台湾最动能的市场之一
[16:21] 基本上财报的小幅变动
[16:22] 都可能引起股市的显著变化
[16:25] 那高市的看法是这是好事
[16:27] 因为日本政府终于成功的
[16:29] 把民众的资金从银行存款逼向股市这个是日本政策现在既有的方向所以不会觉得它过热第二是AI热潮正在重新点燃日本人对于科技国运的想象
[16:41] 日本人相信我们的年代终于回来了
[16:44] 这一波要抓准商机
[16:46] 当然这也就意味着台日韩三国事实都在快速的膨胀
[16:50] 人均GDP也是如此
[16:51] 因为的确本轮AI行情大家都参与到
[16:55] 根据INF的最新估算
[16:57] 台湾和韩国的差距
[16:58] 即便现在韩国追得很紧
[17:00] 韩国现在看起来
[17:01] 市值也要准备超过印度
[17:02] 韩国人数是台湾的两倍
[17:05] 整体而言市值成长
[17:08] 追上台湾也不为过
[17:10] 台湾都不算输
[17:10] 重点是人均GDP
[17:12] 就是你老板
[17:13] 每个员工创造的价值
[17:16] 不是你的薪资
[17:16] 你老板
[17:17] 每个员工创造的产值有多少
[17:19] 我们预估现在已经突破了
[17:21] 现在台湾人均GDP
[17:23] 大概已经来到42103块
[17:25] 韩国大概是37000左右
[17:27] 到2027年台湾会来到44000
[17:30] 28年是47000
[17:31] 我们预估到2031年
[17:33] 根据INF的估算
[17:34] 台湾在五年之后
[17:37] 人均GDP会来到5.6万块
[17:39] 而韩国仅仅只有4.6万块
[17:41] 它还是成长
[17:42] 不过到时候双方的差距
[17:43] 就会来到1万美元以上
[17:45] 这就是显著距离的拉开
[17:47] 它形成的效果
[17:48] 当然就是贫富差距的显著拉大
[17:50] 我们在2024年
[17:52] 其实吉尼系数已经来到0.6了
[17:54] 已经比日本的0.54来得高
[17:56] 也比南韩的0.57还要来得高
[17:59] 那现在呢
[18:00] 我们预估在26年到27年
[18:02] 应该就会来到0.65左右
[18:04] 就代表着台湾的贫富差距
[18:08] 目前已经早就比日本和南韩来得高了
[18:11] 那中国是0.62
[18:13] 香港是0.63嘛
[18:15] 新加坡是0.7
[18:16] 美国是0.74
[18:17] 按照目前ANF的估算
[18:20] 台湾的吉尼系数
[18:21] 应该在今年到明年来到0.65
[18:24] 不太困难
[18:25] 就代表着
[18:26] 台湾的贫富差距
[18:27] 在27年左右
[18:29] 会比日本韩国
[18:31] 比中国比香港还要来得更大
[18:33] 那会仅次于新加坡和美国
[18:35] 这就是新一轮趋势
[18:37] 有参与行情的
[18:38] 那个贫富差距
[18:39] 扩张速度很快
[18:40] 没有参与到的
[18:41] 那当然就会有点压力
[18:42] OK
[18:43] 这给投资朋友做的一些思考
[18:44] 当然了
[18:45] 我们回过头说
[18:46] 行情就是这样子走上来的
[18:48] 一路我们看到
[18:49] 原本
[18:50] 其实这一波回调也很多
[18:52] 今年3月就一份回调
[18:54] 去年10月份AI股也一份回调
[18:56] 然后去年的4月5月的关税战也一份回调
[19:00] 其实每隔一到两个季度
[19:02] 那个回调幅度都不小
[19:04] 川普真的是造就这些长期投资人
[19:06] 有持续性上车的机会存在
[19:09] 这有没有下一次
[19:09] 放心一定会有下一次
[19:11] 股市涨多了
[19:12] 总要有下一步的利空来引导
[19:14] 也许跌幅不会想象中来得重
[19:16] 但是总会有乖离回调的时候
[19:17] 事实上如果我们细看
[19:19] 美银最新所公布的报告
[19:20] 当前认为市场进入到不着陆的几率
[19:24] 已经从去年的3%上升到39%
[19:28] 翻了13倍
[19:28] 也就是大家有接近40%的人
[19:31] 相信接下来经济根本连着陆都不着陆
[19:34] 直接再度加速
[19:35] 那么软着陆是46%
[19:38] 还是占多数
[19:39] 可是软着陆原本在去年5月份
[19:42] 关税占开打的时候只有37%
[19:44] 现在来到46%
[19:46] 软着陆就是经济必须要缓步的滑落
[19:48] 做一些沉淀之后再加速
[19:50] 那现在看起来市场想象越来越更多
[19:54] 偏向于完全不着陆
[19:56] 目前就在加速段
[19:57] 没有要下行的迹象
[19:59] 当然各国经济看起来表现并不是特别一样
[20:02] 那40%的人认为目前的风险
[20:04] 主要集中在第二波的通膨
[20:06] 再来才是地缘政治的冲突
[20:08] 这些事情也就意味着
[20:10] 只要通膨不失控
[20:12] 大家的利率预期还可控
[20:13] 那么股市几股传花的游戏就可以持续下去
[20:16] 当然回过头说
[20:18] 你说这几年发生的利空实在太多了
[20:21] 记都记不清楚了
[20:22] 有时候甚至我们在股市做多情绪上
[20:25] 有时候做黄金
[20:26] 有时候做白银
[20:27] 有时候做七巨头
[20:28] 我们讲过
[20:29] 这个就是动能交易所形成的结果
[20:31] 拥挤交易
[20:32] 形成当前的市场主流趋势
[20:35] 基本上一项资产的暴涨
[20:37] 非凡暴涨
[20:38] 一股脑钱就进去
[20:39] 黄金一暴涨钱就进去
[20:41] 白银也是
[20:42] 前阵子的科技股
[20:43] 或者我们看到的Google
[20:45] 其实都是如此
[20:46] 所以有时候我们要回过头说
[20:47] 市场也是一样
[20:49] 过去几年我们看到一个讯号
[20:51] 看到一则新闻
[20:52] 看到一根长黑
[20:53] 就急着把后面的故事全部给补完
[20:55] 你三月你把后面故事补完了
[20:58] 你可以料得到五月份的行情吗
[20:59] 所以你不如学我们
[21:01] 你就依循着周期
[21:02] 他情绪够恐慌
[21:04] 你就敢不见
[21:05] 他的乖离够低
[21:07] 你就敢不见
[21:08] 后续就等待市场报仇之路
[21:10] 有时候我们看到
[21:11] 其实也不是说资讯有问题
[21:14] 是说我们误解了问题本身
[21:16] 比较成熟的投资
[21:17] 往往不是反应最快的
[21:19] 是愿意先确认
[21:20] 市场到底在问什么的人
[21:22] 你会发现好像
[21:23] 每年的利空也差很多
[21:25] 但是放长远又好像不是一个事
[21:27] 就算造成下跌也是买点
[21:30] 心态就逐步养成到现在
[21:32] 所以投资市场当中
[21:33] 最危险的
[21:34] 不是我们看到一个利空的发生
[21:36] 是我们去过度解读
[21:38] 很多人看到油价涨
[21:40] 那同盟一定失控了
[21:41] 看到AI股下跌
[21:43] 泡沫破灭了
[21:44] 看到央行的一句话
[21:45] 全面崩盘
[21:46] 但问题是
[21:47] 市场从来都没有单一答案
[21:50] 它是由无数资金情绪
[21:51] 时间周期交错之后的结果
[21:54] 你以为自己看懂了
[21:55] 很多时候
[21:56] 其实你只是把一个线索
[21:58] 一条新闻
[21:59] 当成了整部电影
[22:00] 昨天看到网友分享
[22:03] 男生陪女同学去散步
[22:05] 路上就看到
[22:06] 两只狗在交配
[22:08] 女同学看了一会
[22:10] 脸红的问男生
[22:12] 你现在是不是也有相同的
[22:15] 想法
[22:16] 男生急着解释
[22:18] 我对母狗没兴趣
[22:19] 所以投资市场里头
[22:22] 最危险的利空
[22:23] 其实就是过度解读
[22:25] 真正厉害的投资人
[22:27] 反而很克制
[22:28] 这短期内的一些杂讯
[22:30] 很多事情看起来
[22:32] 当下是惊天动地
[22:33] 拉长时间之后
[22:35] 它不就是K线里的一个小波动吗
[22:37] 投资也是如此
[22:38] 越是在情绪最强烈的时候
[22:41] 你越要提醒自己
[22:41] 不要急着下结论
[22:43] 不要急着回答
[22:44] 因为市场真正的答案
[22:46] 往往不是第一眼看到的那样
[22:48] 好回过头来说
[22:49] 当然了
[22:50] 现在我们细节观察
[22:52] 整个AI的债务泡沫
[22:53] 的确还在延续
[22:54] AI的黄金时代是来了
[22:56] 可是AI的泡沫
[22:57] 它的债务时代
[22:58] 是不是也到来了呢
[22:59] 当然是如此
[23:00] 泡沫跟黄金时代
[23:02] 本身就是一定的加成
[23:03] 我们过去常讲
[23:05] 信贷卖充指数
[23:06] 它的概念是什么
[23:07] 是信贷跟GDP的彼此
[23:09] 那为什么
[23:10] 有时候这项只是往上走
[23:11] 代表是经济好
[23:12] 往下走是经济不好
[23:13] 原因很简单
[23:14] 照理来讲
[23:15] 往上走就代表
[23:16] 信贷就借贷量
[23:18] 会比股市膨胀速度还快
[23:20] 那是危险的
[23:21] 从泡沫角度而言
[23:22] 它是危险的
[23:23] 可是从经济角度而言
[23:24] 代表的是对于
[23:25] 未来终端预期的投射
[23:26] 我相信经济会好
[23:28] 我才借那么多钱
[23:29] 如果我知道经济
[23:31] 没这么好
[23:31] 经济会变差
[23:32] 那我的经济成长速度
[23:34] 就会比贷款成长速度
[23:36] 来得快了
[23:36] 那这项指标反而就会走下去
[23:38] 所以本身乐观
[23:40] 就会反映在
[23:41] 适度的债务膨胀
[23:42] 那对于个人而言
[23:43] 它是形成杠杆的压力
[23:45] 那这个要不要调控
[23:46] 这政府各自有态度
[23:47] 那对于国家队
[23:49] 对于这些科技巨头而言
[23:50] 整体来说
[23:51] AI债务的泡沫的延伸
[23:54] 本质就是对于未来的预期透支
[23:56] 我们举例来说
[23:57] 现在盖AI资料中心
[23:58] 买GPU
[23:59] 建电网
[24:00] 签长期的能源合约
[24:02] 现在美国的这些四大CGP
[24:04] 已经超过2500亿美元的债务
[24:07] 我讲的不是资本支出
[24:08] 我讲的是债务
[24:09] 到2030年
[24:10] 全球AI基础建设
[24:11] 可能投资高达5兆美元
[24:13] 那这些人呢
[24:14] 基本上就要开始发行
[24:16] 大量的债务
[24:17] 来应对接下来的行情
[24:19] 很多时候
[24:20] 我们发现这些公司
[24:21] 借太多钱之后
[24:22] 我们看一下CDS的部分
[24:24] 连华尔街银行
[24:25] 自己的风险额度
[24:26] 因为快爆了
[24:27] 所以银行就开始
[24:28] 大量的去购买CDS
[24:30] 帮自己避险
[24:31] 也就是说这些银行
[24:32] 现在是一边拼命的
[24:33] 借钱给AI巨头
[24:34] 一边偷偷的帮自己买保险
[24:36] 防止哪天真的出事
[24:38] 所以现在就变成
[24:40] 一种套利市场了
[24:41] 银行疯狂的买保险
[24:42] 导致现在AI巨头的CDS价格
[24:44] 也被推得非常高
[24:45] 这件事情就很有趣
