[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 也说明了市场有一股共识
[03:47] 先摧毁对方的防空系统
[03:49] 还有军事设施
[03:51] 接着由海军陆战队来搭乘直升机
[03:53] 来进行空降
[03:55] 控制迅速
[03:56] 迅速控制岛上关键的几个石油设施
[03:58] 那当然目的就是
[04:00] 让伊朗陷入两难
[04:01] 那你要么就把你现在的经济命脉
[04:03] 自己给炸掉
[04:04] 要么就放任美军来接管
[04:06] 进一步加深
[04:07] 接下来谈判条件
[04:09] 那问题在于
[04:09] 如果真的要有地面战的可能性
[04:12] 尝试要控制经济门脉
[04:14] 那么它就不会是一场
[04:16] 标准打完就走的战争了
[04:17] 跟委内瑞拉就不太一样
[04:20] 那登岛只是开始
[04:21] 真正困难的是伊朗飞弹
[04:22] 然后有无人机炮火下
[04:25] 要长期守住这个据点
[04:26] 所以市场才会觉得
[04:27] 那开启低命战的可能性也并不是特别高
[04:30] 即便它开启的原因
[04:31] 是为了促进谈判的进度
[04:34] 当然回过头来看
[04:35] 当供给补不起来
[04:37] 市场上就只剩下一个机制可以去调整
[04:39] 那就是价格上涨去压需求
[04:41] 也就是所谓我们讲的需求破坏
[04:44] 那现在的确在部分领域已经出现这个现象
[04:46] 石化原料短缺已经让亚洲的乙烯产能关闭
[04:50] 航空因为燃油成本过高开始减班
[04:53] 柴油不足影响到农业和运输
[04:55] 甚至有些公司还在想
[04:57] 如果成为常态化趋势
[04:59] 可以限制或者祭出远距办公
[05:03] 以及相关措施来压低用油
[05:05] 换句话说这一波冲击
[05:06] 它很明显从工业端到生产端
[05:09] 消费端慢慢的往下传导
[05:11] 其实现在还在上游端的硕化月
[05:13] 到底有没有传导到下游端
[05:16] 各国政府看起来都采取了一定程度的吸收
[05:18] 但是时间拖过一个季度
[05:20] 那通膨没办法也只能往下传
[05:22] 甚至呢
[05:23] 我们看美国
[05:24] 美国现在是全球最大的页岩油产区
[05:27] 结果呢
[05:29] 偷油情况越来越严重了
[05:31] 光是在本月份
[05:32] 德州的马丁县
[05:34] 每周大概就有500桶原油被偷
[05:37] 如果以现在每桶100块来做计算
[05:40] 那损失金额远远比过去高了一倍到两倍
[05:43] 现在在美国德州
[05:44] 那每年被偷走的石油大概11到20亿美元
[05:48] 有人在偷油
[05:49] 以前油有时候跌得很重
[05:51] 跌到通常50块以下的时候
[05:53] 通常就不太值钱了
[05:55] 因为你还有交易成本的问题
[05:56] 现在战事升温
[05:57] 在美国各地出现了偷油情况
[06:00] 当然偷油手法越来越升级
[06:02] 它不是那种零星的盗取设备
[06:04] 它是直接开一个油罐车
[06:06] 大白天的把你的原油给抽走
[06:07] 或者办废水处理人员
[06:09] 混入到正常的运输流程
[06:11] 然后再到回收设施来洗白
[06:14] 这背后讲的就是结构性问题
[06:16] 因为油价上涨
[06:17] 哪里有赚头就跑到哪里去
[06:20] 那当然逐步的累积升温以后
[06:22] 今天我们就要来观察
[06:23] 因为油价在100块持续的震荡
[06:26] 风险资产
[06:27] 至少油价没创高
[06:29] 风险资产喘一口气
[06:30] 但真正要看的并不是华尔街
[06:32] 星期天晚上涨几点
[06:34] 是亚洲经济的后座力
[06:35] 看起来已经逐步涌现了
[06:37] 因为能源冲击
[06:38] 不是从新闻那一刻出来才最痛
[06:40] 它已经慢慢渗透到
[06:42] 当前亚洲新兴市场经济体
[06:45] 与此同时
[06:45] 另外一条主线也回到市场核心
[06:47] 就是AI这场抢钱游戏
[06:50] 看起来也没有降温
[06:51] 反而因为战争的干扰
[06:53] 现在像昨天讲的
[06:54] 越来越缺钱了
[06:55] 私人信贷
[06:57] 私募信贷也在缺钱了
[06:58] 科技巨头也在借钱了
[07:00] 那科技巨头从原本的借钱扩张
[07:02] 到资料中心
[07:03] 晶片电力到落地应用
[07:04] 大家都知道这不是省钱比赛
[07:06] 看起来大家的IPO时间线
[07:08] 可能要提前了
[07:09] 那最后要回归一个现实
[07:11] 那就是劳动力市场
[07:13] 其实并没有这么差
[07:14] 企业也没有现在大裁员
[07:16] 可是问题也没有这么好
[07:17] 因为现在就是不裁员也不招人的冻结状态
[07:20] 那在这样的一个效果底下
[07:22] 等同于AI所带动的生产力没有全面的爆发
[07:26] 可是它对于就业的贡献
[07:28] 正在慢慢慢慢的冲击
[07:30] 与此同时市场的缺钱情况又持续
[07:33] 中东战事外部问题又没有解决
[07:35] 某种程度而言
[07:36] 就成为了今年的风险属性偏高的原因
[07:40] 那就代表着大家要求更高的风险一筹
[07:43] 以前觉得22倍本益比还好啦
[07:45] 30倍本益比都看到过了
[07:47] 现在给我20倍本益比
[07:50] 我再买好了
[07:50] 有这样的一个心理感觉
[07:51] 我们回过头看
[07:52] 你像油价
[07:53] 大家最担心的就是
[07:54] 持续突破3月份以后
[07:57] 来到4月份
[07:57] 那就代表着CPI要往下传导了
[07:59] 那市场原本还预估
[08:01] 这是一个短期冲击
[08:02] 那现在至少要以季度冲击来看
[08:04] 也就是高油价会维持多久
[08:06] 如果我们往下看
[08:07] 从战争对于石油供给的冲击
[08:09] 通常按照过往经验
[08:11] 通常是瞬间崩溃
[08:14] 然后慢慢修整
[08:15] 就是它并不是长期消失
[08:17] 比如说像是
[08:17] 以前那个伊朗革命
[08:19] 两次的伊拉克战争
[08:21] 科威特被入侵或者利比亚内战你会发现那个产量这是张图表示各大冲突底下的石油产量通常是瞬间暴跌有些甚至是归零
[08:32] 但是之后是数年内逐步的恢复
[08:35] 回到原本的供给体系
[08:37] 唯一例外是俄罗斯
[08:38] 因为俄罗斯不是物理破坏
[08:40] 俄罗斯是当时被制裁
[08:41] 所以产量相对稳定
[08:43] 慢慢调整
[08:44] 但石油真正害怕的
[08:46] 很明显看起来并不是战争本身
[08:48] 是运输中断或者长期结构的破坏
[08:52] 我们最担心就是卡达那样
[08:53] 那到底一个天然气管被破坏
[08:55] 要到休几年
[08:56] 所以这个是接下来
[08:58] 复产的过程当中
[08:59] 大家会持续关注到
[09:01] 那当然燃料价格
[09:02] 目前现货价格仍然维持高档
[09:04] 其货价格有涨有跌
[09:06] 可是燃料价格已经逐步往下传导
[09:09] 我们知道在4月份开始
[09:10] 就会有陆续长程机票费
[09:12] 燃油费开始陆续调高
[09:14] 一方面是地缘政治冲突的问题
[09:16] 另外一方面是油价本身也在上涨
[09:18] 全球能源供应大概是三个断点
[09:21] 第一个是波斯湾的成品油出口被压缩
[09:24] 占比是3%
[09:25] 第二是中东炼油产能受损或者预防性的停工
[09:29] 这就是永久性的断裂
[09:30] 第三是重值的原油供应下滑
[09:33] 导致炼油系统无法顺利生产出柴油或者蓝空燃料
[09:37] 这个是最伤的
[09:38] 也是这种结构性的错配
[09:40] 导致现在看起来是亚洲经济体受伤最重
[09:43] 欧洲赤字
[09:44] 那美国反而是相对来得好的
[09:47] 亚洲经济体来得最重
[09:48] 就是因为几乎不管是天然气
[09:51] 还是能源
[09:52] 都大幅的依赖中东
[09:53] 亚洲各国现在已经为最坏情境来进行准备了
[09:57] 我们之前提过
[09:58] 南韩已经启动了紧急应变小组
[10:00] 菲律宾在本周正式宣布
[10:02] 国家能源紧急状态
[10:04] 日本石油供应链进行战略原油储备释放
[10:08] 那台湾的部分
[10:09] 那很明显的直接宣布动涨
[10:11] 原油价格进行补贴
[10:13] 实际情况影响
[10:14] 南亚各国压力更大
[10:16] 孟加拉加油排队长达数公里
[10:18] 巴基斯坦现在已经限油
[10:20] 并且要求民众减少外出
[10:22] 部分工厂停产
[10:23] 街灯关闭
[10:25] 甚至有航班和渔业都受到影响
[10:27] 我们预估在下礼拜
[10:28] 应该就会有部分南亚政府
[10:31] 宣布停止上班上课
[10:33] 减少用油
[10:34] 我们举一个最直观的
[10:35] 像菲律宾的部分
[10:36] 每公升油价大概从50
[10:39] 现在涨到100多
[10:41] 菲律宾总统小马克是表示
[10:43] 由于中东战士所带来的压力
[10:45] 被迫开始采取进一步的限制措施
[10:49] 一方面采取能源价格的直接管制
[10:52] 另外一方面
[10:53] 让市场上针对原本的短期库存
[10:56] 优先给民生进行使用
[10:58] 政府虽然进行高强度补贴去冲击
[11:01] 但本质上输入性通膨
[11:03] 已经完全传进去了
[11:04] 那当然在这样的情况底下
[11:06] 这个马尼拉最近的态度也很明显
[11:08] 宣布跟北京重启南海油气
[11:12] 共同开发谈判
[11:13] 那过去因为有主权争议
[11:15] 双方就谈不拢
[11:16] 跟那个钓鱼台
[11:17] 钓鱼台好像也有看到能源
[11:19] 但是过去南亚各国跟中国
[11:22] 也有一些贸易摩擦
[11:23] 结果在本周居然宣布
[11:25] 要跟北京重启南海油气
[11:27] 开发共同谈判
[11:29] 那很明显
[11:30] 就是菲律宾本身的天然气的产量下滑
[11:32] 大量的进口LNG
[11:34] 供应不稳的情况底下
[11:36] 被迫所采取的一些选择
[11:37] 那中国市场的部分
[11:39] 过去几年即便
[11:40] 然后他也是进行大规模的能源转型
[11:42] 大量的再生能源
[11:44] 尝试的减少对外部能源的依赖
[11:47] 所以他以蓝煤和再生能源为主
[11:50] 蓝煤的部分
[11:51] 那现在看中国也产煤
[11:53] 然后接下来就是
[11:54] 跟澳洲一些原物料上的供应
[11:56] 以及再生能源
[11:58] 相对而言没有那么立即性的压力
[12:00] 可是他依然受到国际能源价格上涨的态势
[12:04] 所以中国在怎么准备
[12:05] 基本上也躲不掉
[12:07] 他只是冲击力度
[12:08] 并不像一些亚洲新市场经济体这么大
[12:11] 加上中国跟伊朗也有一些适度的谈话
[12:14] 基本上能源可能也是有机会逐步到位的
[12:17] 我们事实上看到
[12:18] 中国在过去几年就已经做了蛮大的石油战略储备
[12:21] 限制成品油的出口上升
[12:23] 以及控制国内油价波动
[12:26] 再加上从伊朗取得稳定的原油
[12:28] 现在煤炭和再生能源占比持续上升
[12:31] 看起来是有压力
[12:32] 可是通常市场的普遍预估是超过一个季度
[12:35] 那战略运用储备可能也被迫要进行释放
[12:38] 这是我们看到在过去几年的调整
[12:40] 当然对于台湾而言
[12:42] 台湾11天的存量能不能撑得住呢
[12:45] 看起来目前是撑住了
[12:46] 现在按照进一步说法
[12:48] 大概已经供货供到4月了
[12:50] 主要是美国的货逐步到位
[12:52] 那到底用什么样的现货价格买
[12:55] 我们大概过一个月就知道了
[12:57] 可是呢
[12:57] 看起来台湾在当前的能源供应上
[13:00] 第一进行高强度补贴
[13:01] 所以你其实感受不太到
[13:03] 非常明显的能源价格上升
[13:05] 但正常来讲
[13:06] 应该要至少比现在的能源涨幅
[13:08] 翻三倍到四倍
[13:10] 也就是说
[13:11] 现在能源价格
[13:12] 每公升可能92
[13:15] 927有957
[13:16] 有可能三十几块
[13:17] 31 32
[13:18] 照理来讲
[13:19] 现在应该有50到60了
[13:20] 不过政府已经进行全面性的吸收
[13:24] 那就代表着
[13:24] 这件事情如果是短期因子
[13:26] 那吸收的效果就会特别明显
[13:29] 我们就不会传导到终端价格
[13:31] 可是如果拖过4月份
[13:32] 按照台金院最新所公布的报告
[13:35] 4月下旬油价如果没有回跌
[13:38] 那政府的补贴也不太可能一辈子
[13:40] 那很有可能终端商品的价格
[13:42] 就会陆续进行传导
[13:44] 其实早在2月份
[13:45] 当时因为春节工作天数的减少
[13:47] 本身服务业和营业业的
[13:49] 营业气候测验点
[13:50] 就在缓步的下滑
[13:52] 制造业也是如此
[13:53] 那接下来就要看
[13:54] 3月份是否还会有进一步的止跌效果
[13:57] 还是现在的营业气候测验点
[14:00] 看起来短期内的高峰
[14:02] 在去年年底见到了
[14:03] 因为塑化的涨价潮
[14:05] 对于原本传产的复苏
[14:07] 形成重大冲击
[14:08] 我们原本才看到去年
[14:09] 库存调整调整差不多了
[14:11] 准备要上工了
[14:12] 结果调整一阵子
[14:13] 原物料价格又受到冲击了
[14:15] 那冲击以后
[14:16] 你也不要想说
[14:17] 它可以完全转嫁
[14:18] 赚得盆满钵满
[14:20] 很有可能最终所形成的效果
[14:23] 最近一直讲话怪怪
[14:25] 昨天是讲那个
[14:26] 效果
[14:30] 好没事
[14:31] 从塑化涨价值
[14:32] 所以晚上还是要睡好
[14:35] 要不然有时候早上起来
[14:36] 脑袋就不是特别灵通
[14:38] 塑化涨价值是起点
[14:40] 真正的压力在于通膨传导链
[14:43] 我们刚才跟投资朋友提到
[14:44] 从塑化业的上游
[14:46] 从PE到PET到EG到PTA
[14:49] 这些原物料价格的上涨
[14:51] 已经带动一些包材清洁剂
[14:54] 纺织的陆续寒涨
[14:55] 现在甚至出现暂停报价
[14:58] 限购的情况
[14:58] 最大的压力是什么
[15:00] 所以供应链进入不确定定价
[15:02] 就政府的补贴的时间长度
[15:05] 会影响到企业当前的价格竞争力
[15:08] 那导致大家现在短期内
[15:10] 其实也不太敢涨
[15:11] 你涨了以后
[15:12] 那以后人家在这场战事落幕以后
[15:15] 还愿不愿意跟你进行采购
[15:17] 这个时候就会透露出
[15:18] 你的报价的库存能力
[15:20] 或者传导能力
[15:21] 那台积运已经点出关键
[15:23] 油价如果维持在90到100
[15:25] 通膨就会逐步增温
[15:26] 被迫第一
[15:27] 导致台湾央行政策转向
[15:29] 第二消费支出一定会被压缩
[15:31] 那最后今年就等着要进行
[15:33] 经济成长率的调降了
[15:34] 时间线在一个季度以内那就没事
[15:37] 所以就取决于到底时间线是长还是短
[15:40] 那当然了
[15:41] 如果我们从能源价格来做观察
[15:44] 今年基本上黄金价格
[15:47] 和原油价格的涨幅比较起来
[15:49] 原油价格是涨很多
[15:50] 可是很多人会用不同角度去做观察
[15:52] 认为能源如果习惯性的一次性的突破
[15:55] 100到120也可以接受
[15:57] 因为这几年是全球大宗资产都在上涨
[16:00] 唯独XLE能源价格不涨
[16:03] 那是不是就意味着
[16:04] 能源价格只是一次反应到
[16:07] 为过去该有的通膨呢
[16:08] 这是一种逻辑
[16:10] 的确我们过去几年
[16:12] 能源消费占比占全球消费的比例
[16:14] 它是越来越低的
[16:15] 这也就说明着
[16:17] 我们其实已经享受了好几年的能源通缩了
[16:19] 照来讲你看股市都翻几倍了
[16:21] 我们的薪资好歹也有涨一些
[16:23] 原油价格过去几十年
[16:25] 就一直在60到80美元长期的波动
[16:29] 现在一次性的突破到100美元
[16:31] 它是不是只是把过去的通膨
[16:33] 一次性的传导
[16:34] 有道理
[16:35] 你想想看
[16:36] 原油价格已经长达20年时间
[16:38] 都在60到80
[16:39] 我们的便当价格都已经涨翻倍了
[16:41] 能源价格涨翻倍
[16:43] 好像也可以接受
[16:44] 一次性的供给性调整
[16:46] 是不是可以接受
[16:47] 这是一种思维但另外一种思维那就是会不会其他大宗资产这几个季度在涨太多你把黄金拿来跟能源比较起来会不会就有点脱节你再把白银再把把金把贵金属价格拿来跟能源比
[17:00] 要么就是能源该补涨
[17:02] 要么就是大宗金属
[17:04] 似乎应该要做适度的回跌
[17:05] 所以从种种效果底下
[17:07] 你还是会发现
[17:08] 市场上有不同的认知
[17:10] 不过我个人的看法还是
[17:12] 这个能源价格
[17:13] 它的通缩效果之所以出现
[17:15] 就是由于开采技术变得更好
[17:17] 而且美国已经从过去几十年
[17:19] 1970年代的通膨泥沼当中
[17:22] 逐步成为了全球最大能源产油国
[17:25] 也就是能源技术的拉伸以后
[17:27] 你发现原油就开采不完了
[17:29] 以前我们都就觉得
[17:30] 好像能源开采一阵子以后
[17:32] 就会被开采完
[17:33] 最后就没有天然气了
[17:34] 没有石油了
[17:35] 没有
[17:35] 所以这技术越来越好
[17:37] 我们开采的越来越多
[17:38] 而且东西越来越便宜了
[17:40] 反倒是贵金属资产
[17:42] 这个上下波动的剧烈
[17:44] 让你抱不住
[17:45] 能源这个真的取决于全球供给链的变化
[17:48] 我觉得是不好做的
[17:49] 可是对于黄金对于白银
[17:50] 我们过去看法一直都没有太大的改变
[17:52] 如果是从避险性质
[17:54] 加上那种去美元化体质
[17:55] 央行买盘来看的话
[17:56] 长期都具有持续性的推升效果
[17:59] 另外一方面
[18:00] 部分国家我们知道
[18:02] 过去为了要因应不管能源成本或者稳定汇率
[18:05] 的确尝试的进行黄金的少量卖出
[18:08] 可是在重大经济冲击底下
[18:11] 黄金通常是先下跌
[18:12] 等到消化完通膨和利率压力之后
[18:14] 就重新进入到上涨阶段
[18:16] 即便是2022年
[18:17] 当时的高强度升息
[18:19] 黄金也是缓跌
[18:20] 不像是2026年现在一样
[18:23] 这种急跌
[18:24] 所以黄金只是很标准的
[18:26] 流动性收缩之后的去杠杆
[18:28] 所以即便黄金今年
[18:30] 整体跌幅从高点跌下来也很重
[18:33] 可是今年报销
[18:34] 现在都跑赢股市
[18:35] 所以有时候我们看到的风险
[18:37] 只是市场表面那一层的价格波动
[18:40] 真正决定升息的
[18:42] 仍然是底下的资金结构
[18:44] 成本位置和杠杆程度
[18:45] 你会不会被洗掉
[18:46] 完全取决于你的成本价
[18:48] 还有你投资的初衷
[18:50] 是长线还是短线
[18:51] 别人看起来
[18:52] 同一个市场当中
[18:53] 承受同样的跌幅
[18:54] 同样的外部性冲击
[18:56] 如果你有低成本
[18:57] 你垫高安全边际
[18:58] 不管是股市和黄金
[19:00] 你都可以用力抱着做
[19:01] 但如果你是高位进场
[19:02] 你用杠杆撑着
[19:04] 一小点的回挡
[19:05] 就把你完全给洗出去了
[19:07] 所以我们才讲说
[19:08] 有时候市场上
[19:09] 只是表层的那个价格波动
[19:12] 但真正决定生死的
[19:13] 它是底下的结构
[19:15] 你看到的风险只是价格波动
[19:17] 但其实资金结构已经确认了中长期的方向
[19:21] 那之前看夏天的时候
[19:22] 是广东下大雨
[19:24] 街上水很深
[19:26] 都淹水了
[19:28] 那有一个人打伞的一个哥们
[19:30] 就站在水淹过膝盖的地上发愁
[19:35] 水都已经淹到膝盖了
[19:37] 那这时候一个开Land Rover的大哥
[19:41] 用藐视的目光看了看他
[19:44] 那才淹到膝盖
[19:45] 加大油门直接冲过去
[19:47] 结果整个车就全部淹了
[19:50] 看不到顶部
[19:51] 那车主好不容易从水里面游上来
[19:53] 看着那个撑伞的哥们
[19:55] 大哥
[19:56] 那水不是才淹到你的膝盖吗
[19:58] 怎么我整辆车都灭顶了
[20:00] 那个打伞的大哥说
[20:02] 我是站在我的兵力车上
[20:05] 就很多时候
[20:07] 我们投资人天天在犯的错
[20:09] 你看到的表面风险
[20:11] 跟别人实际承受的底层风险
[20:13] 可能完全并不是同一回事
[20:15] 有时候我们开的豪车
[20:17] 用的是自己的视角
[20:18] 在判断这个世界
[20:19] 你觉得看到别人的水指到膝盖
[20:21] 这条路很安全吗
[20:23] 那踩油门冲一冲就过去了
[20:25] 忽略了一件事情
[20:26] 别人能够站在的那个位置
[20:28] 有可能底下也有一台兵力撑着
[20:30] 所以感觉好像也没受伤
[20:32] 换句话说
[20:32] 你看到的这安全
[20:33] 别人可能是用更大的资本
[20:35] 更高的成本
[20:36] 换来的表面冲楼
[20:37] 现在资本市场就如此
[20:39] 这一次其实从总跌幅来看
[20:41] 今年以来大多数资产跌幅都不重了
[20:44] 一堆人痛得哇哇叫
[20:46] 成本价就是根本原因
[20:48] 所以你是否愿意在乖离回调的时候扩大布局
[20:51] 就是一个重要的观察重点
[20:53] 好那回过头来看
[20:54] 中东战士的确来到一定程度以后
[20:57] 市场更为聚焦的是AI是否能够引领
[21:00] 本轮乖离回调之后的上攻
[21:02] 看起来大家都打到年限吧
[21:04] 那下一次的利多
[21:05] 肯定你要靠中东战士的回稳
[21:08] 或者解决来拉动上空有点难度
[21:10] 上涨本身不能靠利空消除
[21:13] 要靠利多带动
[21:14] 那AI的聚焦都特别重要了
[21:17] 可是问题是AI昨天我们提到
[21:18] 目前第一
[21:19] 它的资金流层面遇到极大压力
[21:22] Cliffwater这家靠投资别人放贷
[21:25] 快速壮大的私募信贷巨头
[21:27] 现在就在风暴中心
[21:28] 旗舰基金第一季遭遇
[21:31] 接近有14%的赎回需求
[21:32] 远远高于承诺的5%
[21:34] 所以如果细看
[21:35] 当前的资金的赎回量
[21:38] 已经大于资金的流入量
[21:40] 那就代表着这些私募基金
[21:42] 被迫要出售一些持股
[21:44] 那出售这些持股的过程当中
[21:46] 就会无形当中对于这些软体业
[21:48] 形成极大的股市迈押
[21:50] 那当然我们从表面上来看
[21:52] 现在感觉还是稳定的
[21:54] 也没有出现系统性风险
[21:55] 可是信用利差的扩大
[21:57] 已经暗示了方向
[21:59] 就是我们看得很清楚
[22:01] 债券市场现在更关心的
[22:02] 就是私人信贷的风险
[22:04] 它扩大速度到底多快
[22:05] 会不会影响到金融体系
[22:06] 因为数据也不太全
[22:08] 可以确定的事情是
[22:09] 由于信用利差
[22:10] 持续在缓步的扩大
[22:11] 代表的是
[22:12] 当前大家所要求的风险
[22:14] 益筹越来越高
[22:15] 也针对这些私募信贷资金的抛售
[22:19] 债券的抛售力量
[22:20] 来得越来越大
[22:20] 前面几名像KKR
[22:22] 不过这些公司
[22:24] 本身第一股价都跌很重
[22:26] 第二有些人在抽资
[22:28] 那就代表着
[22:29] 现在市场上
[22:30] 只剩下短期的窗口
[22:32] 赶快筹到钱
[22:33] 因为提供你钱的那些人
[22:35] 已经开始出现适度松动
[22:37] 我们过去提过
[22:38] 当前的资金规划当中
[22:40] 25年到2030年
[22:42] 大概有三兆左右的AI资金缺口
[22:45] 那在这些资金缺口当中
[22:46] 私募信贷至少占了8000亿
[22:48] 那如果这些私募信贷抽手不完了
[22:51] 因为投资他的人也跟着抽钱的话
[22:54] 那很明显就会导致
[22:56] 接下来AI科技巨头
[22:58] 在筹钱的过程当中
[23:00] 遇到极大难关
[23:01] 我们举例来说
[23:02] 这一次伊朗战事以后
[23:03] 金融时报的报道
[23:04] 就有特别看到
[23:05] 美国大型企业
[23:06] 正在快速的加速发债
[23:09] 只要市场短暂回稳
[23:11] 立刻就出手
[23:12] 不再像过去几天
[23:13] 好像等到市场上
[23:15] 已经有相对稳定的时候
[23:16] 才开始发展
[23:17] 只要股价一涨
[23:18] 有16家公司
[23:20] 在最近这两天
[23:22] 就已经发行
[23:23] 接近有220亿美元的投资集债券
[23:25] 甚至出现一天完全没有发债
[23:28] 结果隔天创下650亿
[23:30] 就是很多科技巨头现在磨刀霍霍
[23:33] 随时只要有空档
[23:34] 一次到位
[23:35] 赶快先把钱给拿回来
[23:37] 以防接下来4月5月份的情况不如意
[23:41] 所以我们看
[23:42] SpecX现在预估IPO可能也要准备提前了
[23:45] 原本募资规模是500亿
[23:47] 这一次拉到750亿了
[23:49] 目标估值上看1.75兆美元
[23:52] 这个数字已经超过大多数大型科技巨头了
[23:55] 那也说明了
[23:56] 很快很快
[23:57] 我们在大型科技巨头的ETF当中
[24:01] 马上就要看到SPACX
[24:02] 这么大的一个市值提量
[24:04] 那就要看马斯克协调的进度
[24:07] 也许很快就要纳入到标普500
[24:09] 纳指100
[24:10] 那这些科技股的买盘
[24:13] 它就要更多的资金来支撑
[24:14] 那SPACX看起来也很赶
[24:16] 那我们就要看一下
[24:17] 会不会拉动OpenAI
[24:19] 或者Enthropic的
[24:21] 接下来的上市规模
[24:22] 原因很简单
[24:23] 因为拖太晚了
[24:25] 到时候有没有钱都不知道
[24:26] 也许到时候私募信贷
[24:27] 已经出了一些问题了
[24:28] 最好要提前
[24:29] OpenAI现在预估总市值是一兆
[24:32] 那预估要到26年底到27年初
[24:34] 现在看起来到第三季就有机会
[24:37] 开始提前IPO
[24:38] Enthropy的部分预估是下半年
[24:40] 看看拼看看
[24:41] 3000亿的募资鬼影魔
[24:43] 有没有机会2026年上半年先来到
[24:46] 所以大家都在抢钱
[24:48] 这是我们看到的实体迹象
[24:50] 可是从这件事情也看得出来
[24:52] 当前的AI生产力
[24:54] 没有完全爆发的情况底下
[24:56] 大家越来越缺钱了
[24:57] 如果生产力爆发
[24:59] 那一定会不缺钱
[25:00] 因为大家已经看到你的获利的拉伸
[25:02] 现在就是生产力还没有爆发
[25:04] 可是钱已经开始缺了
[25:06] 甚至AI已经开始破坏一些就业市场的压力
[25:09] 举例来说
[25:10] 我们根据最新的初领申请失业救济基金
[25:13] 20.5万
[25:13] 其实就业市场并没有出现极大变动续领失业救济基金人数190万左右代表企业现在也没有大规模裁员可是过去我们提到从整个美国就业市场来看我们看到非农就业数据
[25:26] 职业开出的岗位
[25:28] 跟去就业的人
[25:29] 已经大幅减少
[25:30] 也就是说蓝领部门
[25:32] 已经没有共进
[25:32] 这么大的就业增长
[25:34] 但是白领部门
[25:35] 尤其是工程师
