[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过这一次周一的全面上涨
[05:00] 现在如果航空军走到这一步
[05:02] 这一次应该就不是朗来了
[05:03] 礼拜五看起来一定会签署协议
[05:06] 而且会把核谈判的时间拉长到60天
[05:08] 等于有争议的部分
[05:10] 往后延先开放海峡再说
[05:12] 哎呀你看看
[05:14] 我们才刚整完兵要去帮忙
[05:16] 你们就打完了
[05:17] 真是好巧不巧
[05:18] 下次一定找
[05:20] 很多人当然会讲说
[05:21] 那欧洲是不是有点孬啊
[05:23] 现在这个时候又要派航母
[05:25] 又要派军舰过去啊
[05:27] 第一不得不承认
[05:28] 欧洲的确在这场战事当中的态度
[05:31] 一直都是比较摇摆的
[05:32] 或者说呢
[05:33] 部分欧洲政府一直认为
[05:35] 挑起战争的人
[05:37] 应该把战争里最重要的东西收尾
[05:39] 那我们之后是提供帮忙一些小事
[05:42] 才不会被无端的卷入到战争里头
[05:44] 之前甚至有很多新市场大国
[05:46] 是直接跳过美国来跟伊朗进行谈判
[05:49] 是否能够让本国的船只直接通过荷姆斯海峡吗
[05:53] 所以这么做好像也没有错
[05:54] 但是至少可以承认的事情是原油价格的持续破底
[05:58] 搭配者欧洲军舰陆续到位
[06:01] 基本上这场战事应该是结束了
[06:03] 那接下来看的就是汽油价格的回跌情况
[06:06] 因为美国对全国的平均汽油价格
[06:09] 已经连续76天占上美加仑4美元的大关
[06:13] 这是两个半月以来的高档记录
[06:15] 那这波涨势当然是来自于伊朗战事所造成的
[06:19] 中东能源冲击影响
[06:20] 那国际油价
[06:21] 现在汽油价格已经开始明显回落
[06:23] 每家轮大概在4.07块左右
[06:26] 那如果协议顺利执行
[06:28] 按照高尚的预估
[06:29] 在7月4号美国国庆日之前
[06:32] 应该就有机会直接降到3.75美元以下
[06:35] 那我们就看
[06:36] 接下来有没有机会
[06:38] 对于6月7月8月的通膨
[06:40] 形成快速的月减幅回挡
[06:43] 那你说这场战事
[06:44] 在未来60天有没有可能产生变数呢
[06:47] 我想就算产生变数
[06:48] 为了中期选举的稳定性
[06:51] 川普应该也不会采取过激的动作
[06:53] 甚至在川普最近白宫所释出的报告
[06:56] 已经陆续透露出
[06:57] 接下来美伊和平协议背后的关键
[07:00] 美国政府目前正在考虑
[07:03] 美伊最终的和平协议达成之后
[07:05] 会允许成立规模高达3000亿美元的伊朗重建基金
[07:10] 这项计划不是由美国政府直接出席
[07:13] 它是吸引欧洲、日本、南韩或者美国的企业
[07:17] 来共同投资这个共有9000万人口
[07:20] 能源资源丰富的市场
[07:22] 其实跟委内瑞拉差不多
[07:24] 只不过委内瑞拉其实各地的投资意愿
[07:28] 没有想象中还要来得高
[07:29] 其实大多数的原油仍然是运回美国
[07:32] 来进行持续性的再加工
[07:34] 当然这笔资金也不是一次到位
[07:36] 一样跟昨天提到的
[07:38] 典型的一步换一步
[07:39] 只要任何的制裁
[07:41] 不管是解除海外资产的解冻
[07:44] 或者投资开放
[07:45] 伊朗的实际表现
[07:46] 都必须要逐步的释出
[07:48] 包括呢
[07:49] 伊朗同意
[07:49] 9000公斤的浓缩油的扩存
[07:51] 陆续的释出
[07:52] 440公斤武器级的浓度
[07:55] 陆续的释出
[07:56] 美国呢
[07:57] 一边监督你啊
[07:58] 你一边释放
[07:59] 你一边维持市场的平衡
[08:01] 那我们就一步一步的来解冻资金
[08:03] 让各国可以投资伊朗
[08:05] 那当然
[08:06] 这个模式哦
[08:07] 基本就是完全依循着委内瑞拉模式我们要这样讲哦虽然大家的焦点已经没有放在南美洲了可是委內瑞拉目前能源公司整體而言在大規模開發的預設底下
[08:19] 川普是希望能夠有1000億美元的資金投入
[08:22] 那其實如果是現在來看
[08:24] 雖然投資還沒有完全到位
[08:26] 可是委內瑞拉的石油
[08:27] 就目前來看已經迎來龍警了
[08:30] 我們根據最新的數據
[08:31] 委內瑞拉在5月份的原油出口
[08:34] 每天已經達到125萬桶
[08:36] 不仅比去年暴增60%
[08:38] 而且创下7年来的新高
[08:40] 为什么
[08:41] 因为美国在今年把马杜洛给抓走以后
[08:44] 已经大幅的放松对于委内瑞拉国营公司的制裁
[08:48] 允许西方企业能够重新进入当地市场
[08:51] 所以大量原本委内瑞拉石油
[08:54] 是被排除在全球市场能源之外的
[08:56] 现在变成国际买家的增强供应来源
[08:59] 那这几个月原油价格又涨很高
[09:01] 大家就疯狂的去抢购
[09:03] 那抢购最多的是谁呢
[09:04] 就是美国自己本身
[09:06] 美国现在每天进口55.8万桶的委内瑞拉原油
[09:10] 第二名是印度
[09:11] 第三名是欧洲
[09:13] 所以对于全球油价而言
[09:15] 这场战争
[09:16] 委内瑞拉跟美国之间的军事行动
[09:18] 反而造就委内瑞拉石油已经创下7年的新高
[09:22] 人家说不可能
[09:23] 美伊之间一定会有冲突
[09:25] 就算和解也不会这么快
[09:27] 他跟委内瑞拉和解就这么快
[09:30] 突然之间委内瑞拉迎来了石油容颈
[09:33] 所以这件事情能不能套用在伊朗身上
[09:35] 还真的很难说
[09:36] 但是至少市场已经开始重新计算
[09:39] 较浅的升息循环
[09:41] 或者紧缩循环预期的释放
[09:44] 开始转变
[09:45] 因为在礼拜四
[09:46] 联准会的FONC利率决策会议就即将召开
[09:50] 市场开始重新计算
[09:51] 接下来的利率预期的过程当中
[09:53] 肯定会根据联准会所在乎的PCE指标来做转变
[09:58] 像6月份也许来不及
[10:00] 由于原油价格大跌所导致的通膨下弯
[10:03] 可是在7月份在8月份
[10:05] 其实就是有机会了
[10:07] 在这样效果底下
[10:08] 全球央行的入境
[10:09] 虽然欧洲央行已经开始升息
[10:11] 不过是不是一定会持续的往紧缩方向走
[10:15] 这就不一定了
[10:15] 因为中东局势看起来真的要落幕了
[10:18] 其实你会发现资本市场也是如此
[10:20] 这几年尤其经历过疫情乌鲁战事
[10:24] 之后市场是越来越不怕
[10:26] 有没有这种感觉
[10:27] 就许多人都认为
[10:28] 那封锁能源航道是过去200年才会有的风险
[10:33] 但从历史上来看
[10:34] 1973年的石油危机
[10:36] 80年的两翼战争
[10:39] 甚至到以前更早的大国海军竞争
[10:41] 当然谁知道谁能够掌握能源通道
[10:44] 谁就能够掌握经济命脉
[10:45] 可是这几十年已经发生过太多次了
[10:48] 那就变成即便冲击一样大
[10:51] 也由于我们曾经经历过
[10:53] 那就更不容易被吓跑
[10:55] 对不对
[10:55] 就像股市一样
[10:56] 疫情以后其实也是一样
[10:59] 疫情可能股价跌完之后
[11:02] 烏爾站是又跌一次
[11:03] 那你後面再打一場關稅戰
[11:06] 再來一次病毒封鎖
[11:08] 你真的會選擇把股票給拋售嗎
[11:10] 第一次股價跌兩成
[11:12] 熊市
[11:12] 出事了好緊張
[11:14] 第二次熊市
[11:16] 持股太滿了
[11:17] 這樣不太好
[11:18] 第三次熊市
[11:19] 要謹慎一點買
[11:20] 保留一點子彈
[11:21] 第四次管它那麼多
[11:22] 趕快all in
[11:23] 可遇不可求
[11:24] 現在什麼跌兩成
[11:25] 跌兩趴就不得了了
[11:27] 很多男孩子
[11:28] 大學第一次談戀愛
[11:30] 女朋友没有来
[11:31] 怎么办怎么办
[11:33] 完蛋了完蛋
[11:34] 对第二次
[11:35] 要不去测一下吧
[11:36] 第三次
[11:37] 再等两周了
[11:38] 到第四次
[11:39] 我已经准备好当爸爸了
[11:42] 没有在怕的
[11:43] 所以有时候
[11:44] 同样的利空
[11:45] 他是会顿化的
[11:46] 儿子不是常跟老爸讲
[11:48] 老爸
[11:49] 如果你当初年轻时
[11:51] 多吃一点苦
[11:52] 我现在就是富二代了
[11:54] 父亲说
[11:55] 那你现在就打拼一点
[11:56] 让你的小孩当富二代
[11:58] 那儿子说
[11:59] 我刚刚那么辛苦
[12:00] 享受的却是他们
[12:01] 爸爸说我当初也是这么想的
[12:03] 所以你能够想的问题
[12:04] 你老爸你阿公都想过了
[12:06] 那既然你已经有了三代人的经验
[12:09] 你还会怕一次性的利空
[12:11] 把你甩下车吗
[12:12] 我觉得这个是现在
[12:13] 真正跌不下去的原因
[12:14] 不是利空消失了
[12:16] 是市场上对于利空更加不敏感了
[12:19] 而且已经从利空的趋势
[12:20] 掌握了人性的周期
[12:22] 那你说这场危机走到现在
[12:24] 所以危机都解除了吗
[12:26] 没有
[12:26] 到目前为止
[12:27] 亚洲能源危机
[12:28] 才刚刚进入到最坏情景
[12:30] 好不容易接下来
[12:33] 可能总统原油陆续到位了
[12:34] 可是这15个国家已经提出请求了
[12:38] 钱就会申请而渡出去
[12:40] 我们举例来说
[12:40] 根据亚洲开发银行目前所公布的数据
[12:43] 已经有15个亚洲国家
[12:45] 在过去一个月正式申请
[12:47] 总额40亿美元的紧急贷款
[12:49] 包括菲律宾 孟加拉
[12:51] 还有斯里兰卡 斐济等国
[12:53] 那亚开银的看法是说
[12:56] 因为原物料价格的上涨
[12:57] 对于亚洲经济形成更进一步的压力
[13:00] 经济成长率亚太地区从5.1下修到4.7
[13:03] 那这些国家主要就来自于
[13:05] 因为已经缺乏能源
[13:07] 无法做有效的产能拉伸
[13:09] 那即便短期内做供应链的调整
[13:11] 很多厂商已经正式停摆
[13:13] 所以目前很多国家已经开始实施节能措施
[13:16] 提高利率或者限制燃料的消耗
[13:18] 冲击最大的是菲律宾、印度和孟加拉
[13:21] 那菲律宾已经紧急向亚开银
[13:24] 申请高达17.5亿美元的补助
[13:27] 这是金额最多的
[13:29] 印度向亚银提出15亿美元的补助
[13:32] 那其他像是孟加拉
[13:34] 大概是接近有14到15亿左右
[13:37] 所以整体而言
[13:38] 现在还有数十个国家正在洽谈贷款
[13:41] 说明这一次的能源危机
[13:43] 已经把这些国家彻底的击垮
[13:45] 压力非常巨大
[13:47] 你说少数像韩国或者台湾
[13:49] 是由于AI容金加上内部的财政补贴
[13:52] 所以我们感觉油价也没有涨多少
[13:54] 可是我们已经讲过了
[13:55] 如果按照市价来看
[13:57] 现在美国深油价在台湾
[13:59] 至少应该要50块起跳了
[14:01] 但是政府的高强度补贴
[14:03] 让你几乎感觉不到痛
[14:05] 你像韩国股市
[14:06] 在接下来一段时间
[14:08] 受惠于内部的补助
[14:10] 还有记忆体的爆发
[14:11] 它已经是全球最亮丽的股市
[14:13] 今年市值已经膨胀到4.4兆
[14:15] 一度超越印度紧跟台湾
[14:18] 那现在在6月23号
[14:19] 很快的NACI就要公布
[14:22] 年度的分类总检讨
[14:24] 因为我们知道在新市场当中
[14:25] 现在权重最大的
[14:26] 我们看图表
[14:27] 那就台湾占比26
[14:28] 第二名就南韩了
[14:30] 第三名是中国
[14:31] 中国短短两年瞬间掉到第三名了
[14:34] 被台韩给超越
[14:36] 那韩国现在在下一周
[14:39] 因为有NACI权重的调整
[14:41] 有可能是从新兴市场
[14:43] 直接拉升到已开发市场
[14:46] 那当然说一次升的几率
[14:48] 好像不是特别高
[14:49] 可是目前市场是有非常多的传闻
[14:53] 认为韩国是非常有机会
[14:54] 能够做权重调高
[14:56] 或者直接晋升到
[14:57] 已开发市场
[14:58] 那其实就意味着
[14:59] 接下来台湾的权重
[15:01] 和中国权重
[15:02] 有可能在短期内
[15:03] 持续扩增
[15:04] 对于台韩的市场买盘
[15:06] 就进一步的
[15:07] 被动资金的流入
[15:08] 这是一个蛮好的条件
[15:10] 当然南韩股市
[15:11] 现在最吸引人的地方
[15:12] 也不一定是因为
[15:13] 在全球的AI半导体
[15:15] 龙井
[15:15] 它是一个基底
[15:17] 更重要的原因来自于
[15:18] 韩国相对于台湾市场
[15:20] 对于很多国际投资人来说
[15:21] 更具有吸引力
[15:22] 是因为本益比很低
[15:24] 到现在为止
[15:25] 韩国股市都已经涨了一整倍了
[15:28] 居然COSPI指数的本益比
[15:30] 还大概在8到9倍左右
[15:33] 这很明显低于日本东正市场
[15:35] 或者台北股市加权指数
[15:38] 这是很多投资人
[15:39] 愿意对于韩国股市
[15:40] 更高估值的拉伸原因
[15:42] 其他国家就不一定
[15:44] 你像印尼指数
[15:45] 可能要被降频
[15:46] 印尼资本市场
[15:48] 本周会迎来关键的时刻
[15:50] 因为它是否会从原本的新兴市场
[15:52] 降级为边境市场很有可能会达成
[15:55] 为什么
[15:55] 因为从本月份开始
[15:57] 印尼的资金流出量已经高达130亿美元的外资流出
[16:02] 而且真正让投资人担心的是
[16:04] 印尼这几年的政策方向的不确认
[16:06] 前几周我们才看到
[16:08] 政府是加强干预大宗商品的出口
[16:10] 然后市场的流动性下滑
[16:12] 企业股权过度集中
[16:14] 那一系列的经济治理的争议都削弱了国际资金
[16:18] 所以一个是有可能会被纳入到已开发市场在新市场当中另外一个是有可能从新市场降级到边境市场我们看印尼在今年以来的资金流出量已经超过了疫情17 18年的美洲贸易战的水准
[16:34] 这给投资朋友做一些思考
[16:36] 所以也不是说这场战事对于大家没什么伤害
[16:39] 大家熬过去就算了
[16:40] 对投资人来说是如此
[16:41] 可是对于部分国家来看
[16:44] 现在的冲击才刚刚开始展现了
[16:46] 我们看一下美国股市四大指数表现
[16:48] 至少投资人士在庆祝伊朗战事来到尾声
[16:52] 道中指数上涨468点
[16:54] 0.92%
[16:55] 收在51671点
[16:57] 标普上涨122点
[16:59] 1.65%
[17:00] 收在7554点
[17:02] 纳指上涨795点
[17:03] 3.07%
[17:05] 收在26683点
[17:07] 费办上涨728点
[17:09] 5.45%
[17:10] 收在14099点
[17:12] 费办创下历史新高了
[17:14] 飞达昨天上涨3.54%
[17:18] 博通3.1美光大涨了接近有10%
[17:21] 高通4.29%
[17:23] 台积电ADR也大涨了4.14%
[17:25] 这个行情资金就一直集中在废办
[17:28] 当然圈子股也有拉拉
[17:30] 不过市场很明显
[17:31] 有新一波的IPO行情所造成的资金回补
[17:35] 所以稍微排挤了一下科技巨头上涨的空间
[17:38] 我们看这次SpaceX上市挂牌之后
[17:41] 首日大涨19%
[17:43] 第二天又上涨19.6%
[17:45] 现在已经每股来到192块
[17:48] 相对于发行价135块
[17:51] 现在已经涨了4成2了
[17:53] 公司市值超过了7000亿美元
[17:56] 那这种高金融的市值增幅
[17:59] 很快的就超越台积的
[18:01] 原本想说台积还可以撑一阵子
[18:02] 不过现在全球市值前几名
[18:05] 前面三名还在4兆美元以上的体量
[18:08] 会达5.15兆
[18:10] 阿发贝是4.47兆
[18:12] 苹果是4.3兆
[18:14] 微软就降级到2兆了
[18:16] 2.9兆
[18:17] Amazon 2.6兆
[18:18] SpaceX有2.5兆
[18:20] 那么台积电是2.2兆
[18:22] 博通1.8兆
[18:23] 沙尔迪阿美1.7兆
[18:25] 特斯拉1.5兆
[18:26] 如果把马斯克帝国加总起来
[18:29] 把SpaceX再加上特斯拉的话
[18:32] 那就进军4兆美元俱乐部了
[18:34] Samsung现在紧追在后
[18:36] 有1.4兆
[18:36] 美光是1.2兆
[18:38] SK海力士有接近1兆
[18:40] 当然我们知道人工智慧
[18:42] 现在这次的IPO浪潮
[18:44] 正在改写股市的规则
[18:46] 我们昨天有跟投资朋友提过
[18:48] 因为前面几年
[18:49] 基本就是Google
[18:51] 微软
[18:51] 脸书
[18:52] 亚马逊
[18:52] 透过软体和网络平台的高获利模式
[18:55] 每年大概就是
[18:57] 2000到3000亿美元的自由现金流
[18:59] 这就是我们退休金
[19:01] 有了基底的保障
[19:02] 因为他们都是巨头们
[19:03] 而且有非常稳定的现金流
[19:05] 不断的流入
[19:06] 可是现在大型巨头
[19:07] 越来越多
[19:08] 随着SpaceX挂牌以后
[19:10] 接下来Entropy加上OpenAI
[19:12] 大概都会挤入到
[19:13] 全球市值前10名的排行榜当中
[19:16] 那么就会造成市场
[19:18] 进一步的买家吹捧
[19:19] 最后你原本以为
[19:21] 你买的都是具有现金流
[19:23] 具有护城河的企业
[19:24] 可能买到未来5年
[19:26] 你变成有花大量的资金
[19:27] 可能有接近三成到四成
[19:29] 都是在投资那些具有前景
[19:32] 但是还没有具体大规模获利的企业
[19:34] 这个时候对于你的退休风险
[19:37] 其实压力就比较大一点了
[19:39] 所以走到这样的一个位置
[19:40] 等同于市场上很多人在投资的过程当中
[19:44] 虽然持续看好AI
[19:45] 但是不愿意用这么高的杠杆来进行加成了
[19:48] 因为未来指数的波动放大是可预期的事情
[19:52] 其实我们如果细节观察
[19:53] 目前AI基础建设相关的企业活力
[19:56] 的确还在快速上修
[19:57] 但是已经剩下少数股票
[20:00] 也就是大型全资股在做显著的拉动
[20:02] 如果我们细节来看
[20:04] 当前华尔街为了以防这种杠杆持续加成的效果
[20:08] 开始限缩杠杆资金
[20:11] 不只是台湾把部分个股的融资额给往下压
[20:14] 然后直压不限用途的额度开始给紧缩
[20:17] 在过去一个月当中
[20:19] 大量的避险基金透过衍生性金融商品
[20:23] 因为持续加大杠杆压住股价继续上涨
[20:25] 所以导致华尔街大型银行开始提高警戒
[20:29] 现在已经提高避险基金去做多海力士或者三星的融资成本
[20:34] 同时缩减可以提供杠杆的额度
[20:36] 部分交易成本甚至是15%
[20:39] 以前融资最多6% 7%
[20:41] 在网上你到秉总10%
[20:44] 在网上
[20:45] 现在很多华尔街的资金成本
[20:47] 是15%到30%
[20:49] 如果用这样的一个角度
[20:50] 终有一天也会藉由银行的限速
[20:53] 造成估值
[20:54] 不会无条件的扩张
[20:56] 这是很重要的
[20:57] 代表的事情是
[20:58] 也不只是只有台湾人韩国人在借钱
[21:01] 现在美国的避险基金也在疯狂的借钱
[21:04] 这些巨头们自己也在借钱
[21:06] 现在投资圈当然会问一个更现实的问题
[21:08] 就是AI发展到现在到底赚不赚钱呢
[21:12] 大家都在讨论说AI以前叫做Token Maxing
[21:16] 就是消耗Token
[21:18] 现在走向Token Panic
[21:20] 就担心Token的成本
[21:22] 这个是我们过去所看到的主流报告
[21:24] 华尔街日报根据引用资料来看
[21:27] OpenAI目前已经大幅考虑大幅调降Token的价格
[21:31] 以吸引企业客户留在平台
[21:33] 代表的是市场正在进入到典型的价格战的阶段
[21:38] 根据这张报告指出
[21:39] AI最终还是会创造巨大的价值
[21:42] 但发展的路径可能开始跟市场原本想象的不同了
[21:46] 经济学的原理告诉我们
[21:48] 价格的作用是反应稀缺性
[21:50] 就是你当算力、电力、散热、记忆体的平宽等资本支出仍然昂贵的时候
[21:56] 企业就会自然去寻找更便宜、更有效率的替代方案
[21:59] 近期在追踪大元模型的指数
[22:02] 开始往下滑
[22:03] 这件事情意味着什么
[22:04] 意味着很多企业在发展AI
[22:07] 它已经转向更低的成本的模型
[22:10] 而并不是一昧的去追求最强性能
[22:12] 所以它大概就为未来的趋势
[22:14] 做了奠定
[22:16] 就未来的AI世界
[22:17] 大概两个世界
[22:18] 一个就是少数财力雄厚的科技巨头
[22:21] 它会继续去使用最昂贵的前沿模型
[22:24] 另外一方面是大部分的企业
[22:27] 它选择的是成本更低的AI模型
[22:29] 协助城市开放客服翻译文件
[22:32] 这个就是中国市场的强项
[22:34] 所以AI革命有没有结束呢
[22:37] 还没结束
[22:37] 但市场开始接受一个现实
[22:39] 就是真正限制AI普及的
[22:41] 看起来不是他的技术不够精良
[22:43] 他的成本太贵了
[22:45] 所以我要找寻便宜的AI
[22:47] 这就是梦想遇上金流的时候
[22:50] 那叫山不转路转
[22:51] AI趋势还在确认
[22:52] 但是我们不用那么追求技术上的突破了
[22:55] 我们先把低成本的AI拿来用
[22:57] 导入到企业帮助降低成本
[23:00] 这就是企业现在的主流思维
[23:01] 三不转路转
[23:03] 很多人认为AI公司只有一条路
[23:05] 就是不断的烧钱去追求最强大的
[23:08] 或者说最强大的前沿模型
[23:11] 但是商业世界
[23:12] 它从来都不是只有一个成功方式
[23:15] 当顶尖的模型训练成本
[23:17] 与推论成本持续飙高的时候
[23:19] 未必每家公司都要参与这场竞赛
[23:21] 对于很多企业客户来说
[23:23] 他们真正需要的
[23:24] 也不是说不是等级的AI
[23:26] 你找一个价格合理
[23:28] 速度够快
[23:29] 稳定可靠的工具
[23:30] 山步转路转
[23:31] 当通往前沿道路越越拥挤的时候
[23:34] 高性价比市场开始慢慢出现了
[23:37] 这也算是一种AI的多点散花
[23:39] 之前看网路上
[23:40] 网友传给我
[23:41] 老婆跟老公的对话
[23:44] 老婆问老公
[23:45] 老公
[23:46] 我现在会不会太胖
[23:47] 老公说不会
[23:49] 刚刚好而已
[23:50] 老婆说
[23:51] 那你公主抱我
[23:53] 到冰箱那边
[23:54] 我要拿东西吃
[23:55] 老公想了一下
[23:57] 等我一下
[23:58] 我把冰箱搬过来比较快
[24:00] 所以三不转路转
[24:03] 你要公主抱还是抱冰箱
[24:05] 自己选择
[24:06] 这种现象
[24:07] 其实在科技产业
[24:08] 本来就有先例了
[24:09] 以前在云端市场当中
[24:10] 也并非所有的企业
[24:12] 都是选择最昂贵
[24:13] 功能最完整的服务
[24:15] 很多中小企业
[24:16] 它更重视的是
[24:17] 价格和效率的平衡
[24:19] 同样的在AI领域当中
[24:21] 未来可能会出现大量
[24:22] 专门去服务
[24:24] 客服翻译或者文件整理
[24:26] 很多行销内容的生成
[24:27] 基本上你只要靠一些基础的AI就可以了
[24:31] 航空业又不是只有头等舱
[24:33] 它也需要经济舱汽车又不是只需要超跑也需要大量的平价车用这样的一个方式来推陈出新我认为这是未来AI发展的总体趋势市场开始渐渐分成两个世界
[24:45] 也许大家不会再追求前沿模型了
[24:48] 够用就好了
[24:49] 能够cover我的硕士论文
[24:51] cover我的作业就可以了
[24:53] 这是两种思维
[24:54] 另外一种是
[24:55] 的确这样的一个思维本质
[24:57] 就是在面对
[24:58] 因为大家已经缺钱了
[24:59] 我没有那么多的钱去买这么多的新股
[25:02] 我也没有这么多的钱
[25:03] 去做一系列的AI的采用
[25:05] 毕竟AI token的成本
[25:07] 现在压力也是很大
[25:08] 所以企业会选择更有性价比
[25:10] CP值更高的方式来应对AI
[25:12] 第二件事情
[25:13] 对于这些巨头而言
[25:15] 根据瑞银的报告
[25:16] 最新指出全球信贷卖充
[25:18] 也就是新增的信贷增量
[25:20] 占GDP的比重
[25:21] 已经回到GDP的1.3%
[25:23] 这是过去10年来的新高
[25:26] 美国一个国家就贡献了
[25:28] GDP2.6%的新增作用
[25:30] 那这颇信用成长
[25:31] 几乎完全都来自于AI
[25:34] 55%来自于企业贷款
[25:36] 而大型公司持续新建资料中心
[25:38] 是目前企业借贷快速增加的原因
[25:41] 所以我们上半部看到市场开始缺钱以后
[25:44] 科技巨头就开始借钱
[25:46] 科技巨头借完以后
[25:48] 连辉达现在都开始借了
[25:50] 我们看这次辉达在本周正式宣布
[25:52] 发行250亿美元的投资等级公司债
[25:55] 这个是可能有四五年了
[25:58] 辉达第一次首次发债
[26:00] 我们知道过去几年
[26:01] 他手上现金一堆
[26:02] 根本就没有必要发债
[26:03] 结果居然在本周
[26:05] 他原本估计要规划
[26:07] 200亿美元的投资等级再发行
[26:09] 现在市场需求太强烈了
[26:12] 愿意承受你的债务
[26:13] 结果发行了250亿
[26:15] 尽管回答现在
[26:17] 预估未来一整年的自由现金流
[26:19] 大概会超过2000亿美元
[26:21] 他根本就不缺现金好不好
[26:22] 而且才发200亿
[26:24] 所以本质上来看
[26:25] 就是说明着
[26:26] 管他那么多先借再说
[26:28] 我们从过去几个月
[26:29] 亚马逊募了371的投资等级债
