[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 道琼是涨了700点
[11:40] 都把钱拿去买道琼
[11:41] 工程师现在都把钱拿去买
[11:43] 传产买道琼
[11:44] 道琼反而是我们真的不常参与的
[11:47] 第一是它只有30家公司
[11:49] 第二我们还是比较科技属性一点
[11:52] 我们相信最后生产力的提升
[11:53] 那不太是中华电信带领台股创高
[11:57] 不太可能是可口可乐喜事糖果
[12:00] 硬体你会发现硬体涨的时候
[12:03] 我们那个时候就偏重软体巨头
[12:05] 那前两年也是一样
[12:07] 软体股七巨头涨的时候
[12:08] 我们就偏好硬体
[12:10] 不断的进行周期的累堆
[12:12] 摊低自己的资金成本
[12:14] 巨头也开始蠢蠢欲动
[12:16] 把标普纳指拉高以后
[12:18] 我觉得
[12:18] 那我们现在就回过头来
[12:20] 看一下晶片股了
[12:21] 前阵子我们比较聚焦在
[12:23] 科技七巨头表现
[12:24] 那现在开始有点动作了
[12:25] 准备要带领的标普创高了
[12:27] 不过这一波
[12:28] 因为晶片股本来就拉得很高了
[12:30] 你要像标普道琼一次过
[12:33] 我是不太相信
[12:34] 虽然好像过去几次都这样
[12:36] 都是直接V
[12:37] 但我是不太相信
[12:39] 去杠杆之后
[12:40] 然后就直接V了
[12:41] 那美国股市也太乐观太强健了
[12:43] 左侧布局
[12:44] 还是不要一次把子弓全部打光
[12:46] 子弹全部打光不太好
[12:48] 因为投资最大的问题
[12:50] 有时候不是看错方向
[12:52] 是太早把资金用光
[12:53] 市场下跌的时候
[12:54] 你每跌一点就急着重压
[12:56] 有时候你用跌幅比例来做观察比较好
[12:59] 不一定要用一个时间线
[13:01] 因为时间线会受到川普的压力
[13:03] 那结果真正市场上进一步恐慌发生的时候
[13:06] 手上却没有现金
[13:07] 只好眼睁睁的看更好的价格出现
[13:10] 因为资金本来就不是无限的
[13:12] 我们一方面要避免自己现金水位过高
[13:15] 错失了参与行情的机会
[13:17] 另外一方面也要了解说
[13:18] 在乖离中期回调修正的时候
[13:21] 经常盘叠
[13:22] 那时间稍微一拉长
[13:23] 你一发现一不小心资金就投光了
[13:25] 其实也没有叠多少
[13:26] 所以左侧部件还是要看回调幅度多大
[13:29] 来做最好的资金部件
[13:30] 把自己的资金给规划好
[13:32] 还是很重要的
[13:33] 不要一次就把子弹全部打光了
[13:35] 之前看了网络上讲
[13:37] 那一个男的很生气
[13:39] 拿着散弹枪冲进酒吧
[13:42] 大喊
[13:43] 谁睡了我女朋友
[13:45] 我要干掉你
[13:46] 那酒保看了一眼他的枪
[13:48] 赶快按住他的手
[13:50] 不要冲动
[13:51] 把枪收起来吧
[13:53] 那男的冷静下来
[13:54] 说还是只有大哥你在乎我
[13:58] 不让我冲动行事
[13:59] 你久保说
[14:01] 不是啊
[14:01] 你那一发子弹不够用
[14:03] 所以市场上
[14:05] 没有人会知道底部在哪里的
[14:07] 但与其说一次的压住重压
[14:09] 不如FNP的建厂
[14:11] 保留足够的现金和弹性
[14:12] 你只要子弹还在
[14:14] 就算市场继续下跌
[14:15] 你有能力降低成本
[14:16] 那尤其现在
[14:17] 四大指数有三大指数
[14:19] 那一点就是准备
[14:20] 正在受到资金轮动
[14:22] 有两大指数
[14:23] 准备要创下历史新高了
[14:24] 那回过头来看
[14:26] 还在左侧乖离
[14:28] 受到市场承压的
[14:29] 反而是比较值得价值投资者来多做一些注意的
[14:32] 好
[14:32] 这是给投资品种做的一些观察
[14:34] 好
[14:34] 那我们再往下看
[14:35] 刚才看的是美国的ISM制造业偏爱
[14:38] 其实表现数据蛮漂亮的
[14:40] 虽然有一点偏重在AI
[14:42] 实体基本面没有特别好
[14:44] 但是实体基本面还是借由财富效应
[14:46] 股市的增长勉强撑住了
[14:48] 回过头看一下日本
[14:49] 日本制造业其实也创下了12年最快的扩张记录
[14:54] 这一次在7月份的偏爱
[14:56] 中值是54.5
[14:58] 比6月份稍微低一点点
[15:00] 不过已经连续7个月
[15:02] 占了50的龙沽线以上
[15:03] 你要知道日本从2022年以后
[15:05] 那个PNI已经很久
[15:06] 没有占到50以上了
[15:08] 它是25年到26年
[15:09] 好不容易靠着AI
[15:10] 又重新重返龙井
[15:12] 这个周期跟台股并不太一样
[15:14] 重点是
[15:15] 虽然它的制造业PNI很好
[15:17] 可是我们知道
[15:18] 内生经济才是目前
[15:19] 日本政府的压力
[15:21] 日本政府根本就不必担心
[15:23] AI的订单问题
[15:24] AI基本上全球的行情
[15:27] 它大家都会分拾到利润
[15:29] 日本真正压力大的是
[15:30] 内部的消费
[15:31] 已经送到长期日元贬值
[15:34] 所造成的输入性通膨压力
[15:36] 我们看日本内阁府
[15:37] 最新所公布的
[15:38] 2026年实质经济成长预测
[15:40] 几乎是大幅下修
[15:42] 去年下半年
[15:43] 你看台湾
[15:44] 台湾不是中金院台中院
[15:46] 那从本来5%到6%到7%到8%
[15:49] 现在到10%了
[15:50] 日本的实质GDP
[15:52] 去年年底还预估有1.3
[15:54] 现在只剩下0.9了
[15:56] 最新设算
[15:57] 消费从1.3衰退到0.9
[15:59] 设备从2.8衰退到2.3
[16:01] 就算是明目GDP也从3.4下滑到3%
[16:05] 所以你可以完全理解
[16:06] 本轮的日元贬值
[16:08] 对于日本内部经济有多伤
[16:09] 我们去日本买得有多开心
[16:11] 日本人就有多痛苦
[16:13] 所以这次我们看到
[16:14] 从7月底开始
[16:15] 美国和日本同步进场买进日元
[16:18] 这是两国从2011年东日本大地震以后
[16:21] 15年来首次干预协调会市
[16:25] 那如果只看买日元主贬值的话
[16:28] 其实从98年亚洲金融危机以来
[16:30] 这个大概已经是28年来的罕见行动了当时日元是一美元对164创下40年的新低美方是直接卖出欧元买进日元带动汇价一度回升到157左右那你要知道
[16:44] 因为美国人一直常常指控人家是汇率操纵国
[16:47] 所以美国很少愿意去做汇市干预
[16:50] 尤其是他国的纯粹干预
[16:52] 所以这一次不只是单纯要帮日本
[16:54] 而是日元已经落到
[16:56] 可能会伤害美国的自身利益
[16:59] 因为日元如果太便宜
[17:01] 他就会抵消
[17:02] 第一川普之前高关税政策
[17:04] 对于日本的出口压力
[17:06] 我被克了老半天关税
[17:07] 你结果克了老半天
[17:09] 你的日元贬值越凶
[17:10] 那等同于我克的关税
[17:11] 根本没克到
[17:12] 你产品还是一样便宜
[17:13] 第二就是日本公债
[17:15] 和日元的双双走皮
[17:16] 导致日本资金
[17:18] 是有可能被迫要抛售美债
[17:20] 推高美国的长期利率
[17:21] 进一步拉高房贷
[17:23] 和企业融资成本
[17:24] 当然我们也知道
[17:25] 如果美日利差
[17:26] 缩小幅度太快的话
[17:28] 就是日本如果利率逾期
[17:30] 或者日本升值逾期
[17:31] 不断的提升
[17:32] 那资金游戏就玩不下去了
[17:35] 便宜的日元就没了
[17:36] 对于这些投资者来看
[17:38] 一样有压力
[17:38] 所以你又要让它升值
[17:40] 又要让它升得恰恰好
[17:42] 你要有一个标准
[17:43] 那种比较精准
[17:45] 能够控制的升值器
[17:46] 不是升值器
[17:47] 升值机器
[17:48] 升值武器
[17:50] 那这种协调的干预
[17:52] 它就非常考验市场耐心
[17:54] 就是你能够一次性的
[17:56] 摧毁日元所有空头吗
[17:57] 我认为不一定
[17:59] 原因很简单
[18:00] 因为日本日元的空头
[18:03] 它不是针对短期内的趋势
[18:05] 它是长期狙击
[18:06] 相信日本公债只会持续性的发行
[18:09] 还有看多高市的持续性的财政政策
[18:12] 日本公债一直发行
[18:14] 那它的占GDP比值又比美国高这么多
[18:17] 为什么日元不值得继续贬下去呢
[18:19] 所以这个是大家特别值得观察的一个重点
[18:22] 就是我们是知道它的升值是有其必要
[18:25] 但是呢
[18:26] 如果一路升上去碰到140 130
[18:28] 那一定会引起进一步的市场平仓
[18:31] 那本轮的AI融资游戏
[18:33] 就少了一个流动性的管道
[18:35] 压力就很大了
[18:36] 所以我觉得我个人看法是
[18:38] 单靠干预还是很难扭转日元的长期弱势
[18:41] 因为真正关键还是来自于
[18:43] 日本央行的货币政策
[18:44] 日本现在政策利率大概是维持1%左右
[18:47] 市场预估9月升息一码的几率
[18:50] 大概已经上升到40%
[18:52] 代表投资人现在是预估
[18:53] 日本会缩小和美国的利差
[18:55] 来支撑目前日元的升值
[18:57] 但是我们也必须清楚知道
[18:59] 目前高市的财政计划
[19:01] 有非常庞大的一个资金需求
[19:03] 所以我们大概可以理解
[19:04] 至少背后有五成的真正的利益交换
[19:07] 就是美国人这一次去帮日元
[19:10] 目的应该是想救美债
[19:12] 不一定是真的为了日元
[19:14] 那美元从哪里来
[19:15] 最直接就是我们很清楚知道
[19:17] 日本人如果要救日元
[19:18] 他就必须要卖出美元
[19:20] 买回日元
[19:21] 那美元从哪里来
[19:22] 最直接方式就是出售美国公债
[19:24] 日本又是全球最大的美债持有者
[19:27] 一旦日本开始大量的抛售美债
[19:29] 30年期殖利率就会再创高
[19:31] 哇那政府融资成本就很高
[19:33] 那你的债务问题变成我的债务问题
[19:35] 所以最好你不要继续贬下去了
[19:37] 我先把你拉回来一点点
[19:38] 我可能无法阻止你长期的贬值
[19:40] 但不能够贬这么快
[19:42] 这第一件事情
[19:43] 那第二是日本就的是自己的政治生命
[19:45] 日本贬值本来是有利出口的
[19:47] 可是你有没有发现这两年
[19:49] 韩元台币没那么强调台币要贬值
[19:53] 韩环要贬值才能够就出口
[19:55] 因为现在大家都搞AI
[19:57] AI是有资讯产权的价值竞争力的
[20:02] 管你升值贬值
[20:03] 我就是有竞争力
[20:04] 这个才是长期的出口外汇的来源
[20:06] 如果只靠日元贬值
[20:08] 可能有利于汽车
[20:11] 或者要销价竞争的产品
[20:12] 但是对于日本本土的出口
[20:15] 其实并没有很直观的帮助
[20:16] 相反的
[20:17] 日本又高度依赖能源
[20:19] 天然气和粮食的进口
[20:20] 日元一路跌
[20:21] 输入性通膨就全面爆发
[20:23] 第三就是美国
[20:24] 的确是一直把日本当成金融的防火墙
[20:27] 因为很多人说
[20:29] 没有美国就帮盟友
[20:30] 那当然是了
[20:31] 川普跟高市很好
[20:32] 但是如果日本金融市场又失控一次
[20:35] 有点类似24年的7月份
[20:37] 公债又暴跌
[20:38] 然后授权又撤离海外
[20:40] 然后日元暴跌以后
[20:42] 他又被迫要抛售美债
[20:43] 全球套利又被迫平仓
[20:45] 那最后的政阳就不会停留在东京
[20:47] 所以提前先进行安排
[20:49] 再来就是日本其实也很明显
[20:52] 升息步调过去几个季度
[20:54] 有点缓了
[20:55] 不像之前这么强硬
[20:56] 所以美国其实也在逼日本升息
[20:59] 日本增值利率是1%
[21:00] 美国是3.5到3.75
[21:03] 那只要这个利差还存在
[21:04] 全球市场还是偏好美元
[21:06] 所以美元
[21:07] 美国愿意做一些适度干预
[21:09] 也同步支持日本货币的正常化
[21:12] 那现在10月份9月份升息几率
[21:14] 就开始有显著拉高了
[21:16] 那当然最后一点就是
[21:17] 川普一直希望重建美元秩序
[21:20] 而并不是追求抢美元
[21:21] 很多人都说
[21:22] 川普就希望美元贬值
[21:24] 他是的确这样希望
[21:25] 但是贝森特的说法
[21:26] 更类似于美元可以调整
[21:28] 但是不能失去秩序
[21:30] 如果日元一路跌
[21:32] 如果亚币跟着进贬
[21:33] 美国的出口率竞争下滑
[21:36] 全球资金的避险需求又暴增
[21:38] 美债之利率又失控
[21:39] 那受伤的还是美国
[21:41] 所以我觉得
[21:42] 这一轮的操作
[21:44] 它是多重权衡的结果
[21:45] 当然一直往上升
[21:47] 那会出事的
[21:48] 我认为也会有问题
[21:49] 我还是要说
[21:51] 有时候你以为你要绑他
[21:52] 结果弄巧成拙
[21:53] 美国这一次联手日本的日元干预
[21:57] 我觉得看起来是在帮日本稳定汇率
[21:59] 但如果日本以后就更依赖外部的救援
[22:02] 他没有同步推动财政改革
[22:05] 控制赤字
[22:06] 不要让公债上升太快
[22:07] 那么干预就只是替问题争取时间
[22:10] 他并没有真正的解决问题
[22:12] 市场甚至可能认为政府终究会出手护盘
[22:16] 所以吸引更多的投机资金去挑战日元
[22:19] 下一次干预的成本就更高
[22:20] 效果就更短了
[22:21] 你以为你要帮他
[22:22] 最后变成弄巧成拙
[22:24] 那前几年
[22:25] WBC不是台湾对荷兰吗
[22:28] 那不是很多人就会拿那个
[22:29] 国姓爷的照片
[22:31] 郑成功啦
[22:33] 克荷兰人嘛
[22:34] 当时那个1660年
[22:36] 郑成功不就是登陆入尔门
[22:38] 然后去打荷兰人吗
[22:40] 最后那个荷兰长官奎伊投降
[22:42] 后来想想不对
[22:43] 因为场上台湾队都是原住民
[22:47] 有点尴尬
[22:49] 因为郑成功对不对
[22:50] 跟原住民的关系
[22:51] 好像也不是特别好
[22:52] 你以为你要帮他
[22:53] 结果弄巧成竹
[22:54] 好像美国财政部
[22:55] 对于日元的态度就一样
[22:56] 我帮了你一把
[22:58] 是不是每一次日元被狙击
[23:00] 你都要帮呢
[23:01] 这个是值得观察的重点
[23:02] 毕竟我们要回过头看
[23:04] 日本现在真正的压力
[23:06] 还是来自于贬值过强之后
[23:08] 所造成的内生性的通膨失控
[23:11] 我们当然知道
[23:12] 日本现在整体通膨率
[23:13] 大概是1.7到2%
[23:15] 从数字上来看并没有特别高
[23:17] 可是日本食品价格输入性通膨
[23:20] 涨幅是很夸张的
[23:21] 其中像咖啡豆价格涨幅是23%
[23:24] 这是推动食品通膨的主要原因
[23:26] 其他像巧克力和部分农粮价格
[23:30] 在2024年到2025年都上涨45%到60%
[23:34] 所以现在即便涨幅缩窄
[23:37] 它也不代表物价压力释怀
[23:39] 毕竟过去两年日本的内部通膨
[23:41] 其实压力真的很大
[23:43] 尤其我们看到日本中小型企业
[23:46] 目前根据东京商工业统计
[23:49] 今年上半年
[23:50] 日本有45家中大型企业
[23:52] 因为日元的疲惫而倒闭
[23:54] 年征服超过30%
[23:56] 这个是过去5年来的同级新高
[23:58] 日股都还在创高
[24:00] 结果中小型企业
[24:02] 还有中大型企业
[24:03] 因为通膨而遭受到被迫倒闭的电数
[24:06] 却是持续的增长
[24:08] 这个都是我们看到的实质迹象
[24:10] 那高市能做什么
[24:11] 高市只能持续性的进行财政刺青和补贴
[24:14] 一方面进行消费税
[24:16] 明年就要大减税了
[24:17] 明年消费税会
[24:19] 市民消费税会从8%降到5%
[24:21] 那就说明了政府的财政压力更大
[24:23] 第二大方面
[24:24] 日本现在推动汽油税减免
[24:27] 高中营养午餐全面免费
[24:30] 自动车汽车相关减税政策
[24:33] 高市政府这种高强度的减税政策
[24:37] 在明年陆续发酵以后
[24:38] 明年肯定只能发更多债
[24:41] 所以我们才清楚知道
[24:42] 现在市场上的压力来自于哪里
[24:45] 那就是預估市場上會有進一步的公債發行
[24:48] 對於日元的承壓
[24:49] 那現在美國只是救日本人一把
[24:51] 但是後續的挑戰還是更多我們過去講過這種通膨的因子它到底對於日本是好是壞其实是没有一个很直观的判定的就很多人说日本人终于摆脱了30年40年的通缩
[25:05] 这是没错了
[25:06] 可是迎来通膨的日子
[25:08] 大家有过得更开心吗
[25:10] 有时候回归
[25:11] 我们讲说AI爆发的基本面
[25:13] 也许才是更为重要的
[25:15] 看了几张数据
[25:16] 你看张图表示
[25:17] 最近日经跟盖洛普的报告
[25:19] 他讲的是日本职场的敬业度
[25:22] 在这几年是持续的下行
[25:24] 日本大概是5%的员工
[25:26] 真正愿意投入到工作
[25:28] 多数心不在焉
[25:29] 在125个国家当中
[25:31] 和意大利并列最低
[25:32] 相反的高达72%的员工
[25:34] 只愿意付出最低限度努力
[25:37] 与公司没有很强烈的心理连结
[25:39] 在国足上也是如此
[25:41] 另外在23%的员工有高度不满
[25:44] 过去10年员工的敬业度
[25:46] 慢慢的下滑
