[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 非常不错
[09:18] 很快的在未来下半年会严重恶化
[09:21] 因为看起来剪刀叉已经拉开了
[09:23] 想说一两个季度短期波动
[09:25] 现在拉长到半年了
[09:27] 压力就很大
[09:27] 再来回过头看一下日央
[09:29] 日央的部分
[09:30] 这一波日元扁破160关卡之后
[09:33] 日本政府和日本央行紧急进场
[09:36] 很明显
[09:37] 日本国债殖利率也创下历史新高了
[09:39] 日本内部通膨压力又越来越大了
[09:42] 这次日央直接买入了日元抛售美元
[09:44] 导致汇率在短时间内
[09:46] 提升超过500个点
[09:47] 回到155附近
[09:49] 这次动作也并非单纯喊话
[09:51] 它是直接动用资金进场了
[09:53] 市场的成交量
[09:55] 在日元交易量也超过570亿美元
[09:58] 这说明日央暂时止血
[10:00] 紧急护盘
[10:01] 当然它无法解决根本矛盾
[10:03] 因为联准会还维持在高利率
[10:05] 那这种日本央行
[10:07] 现在利率升息幅度
[10:09] 还是相对比较缓慢
[10:10] 利差就会持续压低日元
[10:12] 再来就是日本内部的通膨压力
[10:14] 日本日元的贬值
[10:16] 它会导致进口成本持续上升
[10:18] 尤其是能源
[10:19] 能源现在日元也在做补贴
[10:21] 财政压力越洒越多
[10:23] 那当然政府的国债压力越来越大
[10:25] 那国债的抛售也越来越大
[10:27] 双重压力底下
[10:28] 就导致日本的货币政策
[10:30] 也处于极大的压力
[10:31] 接下来观察的第一个
[10:33] 就是日本还会不会继续干预
[10:34] 第二是美国是否愿意配合
[10:36] 如果没有美国一起出手
[10:38] 日元这一波的反弹
[10:39] 很有可能只是短线修正
[10:41] 其实我们看到在上礼拜
[10:43] 日本央行在支撑河南的主导下
[10:45] 以6比3决定维持利率在0.75
[10:48] 这是近年最大分歧
[10:49] 你不要看联总会分歧成这样
[10:51] 日本内部也快打架了
[10:53] 内部对于进一步升息
[10:55] 已经产生重大动摇
[10:56] 因为日本现在是整个亚洲经济体通膨最高的国家
[10:59] 高达2.8%
[11:01] 服务业的价格压力明显升温
[11:03] 照理来说
[11:04] 他应该要升息的
[11:05] 按照过去他的言论也是要升息
[11:07] 可是央行仍然维持相对宽松立场
[11:10] 很明显
[11:11] 一方面是日本政府给予的压力
[11:14] 你不要看只有川普对于联总会施压
[11:16] 高市也非常希望日本政府不要过度的紧缩
[11:20] 应该要适度的让通膨持续发酵
[11:22] 财务大臣甚至警告
[11:24] 必须全天候的应对会市波动
[11:28] 重点在于
[11:29] 这一次日元走路
[11:30] 不是因为资金的投机
[11:32] 是因为油价上升贸易逆差
[11:34] 那等到这些问题结束以后
[11:36] 我们的压力就不会来得这么严重了
[11:38] 所以日本央行必须考虑到
[11:40] 现在是非常时期
[11:41] 不要硬着头皮
[11:42] 把你过去的升息之路
[11:44] 每一个季度都予以实施
[11:45] 要不然日本民众压力很大
[11:47] 如果经济都不行
[11:48] 更不用讲通膨
[11:49] 所以高市当然是希望
[11:51] 通膨高一点没关系
[11:53] 但是经济先不能垮
[11:54] 可是内部压力就越来越大了
[11:56] 这是日本央行所形成的压力
[11:58] 举例来说
[11:59] 这是日本的食品通膨CPI
[12:00] 月均值
[12:01] 过去30年
[12:02] 日本的食品通膨
[12:03] 一年大概成长1.3%
[12:05] 过去10年是3%
[12:07] 过去5年是4.9%
[12:09] 过去一年成长6.2%
[12:11] 你要想看
[12:12] 它30年来
[12:14] 每年的食品通膨就是1.3%
[12:17] 它现在是6%
[12:18] 你知道吗
[12:19] 1.3%很多人都觉得
[12:20] 哪有那么低
[12:21] 搞不好一年涨13%
[12:22] 那今年它的感觉就是涨了62%
[12:25] 这就是日本内部的失职现象
[12:27] 我们要看的是增量变化
[12:28] 这样的一个角度
[12:29] 其实就意味着
[12:31] 日本内部的通膨压力极大
[12:33] 可是央行又受到日本政府的制约
[12:35] 还有短期内的经济形势波动
[12:37] 不敢贸然的升息
[12:39] 压力就来得越来越大
[12:40] 其实日本政府
[12:41] 现在正在高强度的补贴能源价格
[12:43] 主要也是日本这几年
[12:45] 能源自给率也不是特别高
[12:46] 在11年
[12:48] 当时核电发电量开始收缩以后
[12:52] 自起率更是直线下降
[12:53] 那现在呢
[12:54] 不只是缺能源
[12:56] 也缺乏了运能源的能力
[12:57] 我们举例来说
[12:58] 日本基本上还是有一定的运量的
[13:01] 可是同一时间
[13:02] 在LNG天然气的部分
[13:03] 目前整体搬运船订单已经为零了
[13:07] 韩国大概是40艘在去年
[13:09] 中国有7艘
[13:11] 日本是多少
[13:12] 完全空白
[13:13] 那你要知道
[13:13] 日本其实在亚洲也曾经是航运大国
[13:16] 日本应该是亚洲
[13:18] 曾经拥有最多航空母舰的一个国家之一
[13:22] 但是你可以看到
[13:23] 日本的整体重工体系的缩影
[13:26] 现在居然连LNG船都造不出来
[13:28] 船也要跟别人借
[13:30] 油还有天然气也要跟别人借
[13:33] 这种通膨压力就实质穿挡到民间
[13:35] 高市跟台湾一样
[13:37] 是选择先把通膨给压抑住
[13:39] 那形成的结果是什么
[13:40] 日本国债的暴增
[13:42] 日本国债的暴增
[13:43] 那就是日本国债的抛售
[13:45] 而抛售形成了公债殖利率
[13:47] 创下历史新高
[13:48] 那内部的压力也是如此
[13:49] 不要看美国
[13:50] 现在实质性这东西转富了
[13:52] 日本已经富很久了
[13:54] 我们看一下日本的实质
[13:56] 汇率指数
[13:57] 大概来到66.3
[13:59] 这是历史新低
[14:00] 代表的是日本对于全球的购买力
[14:02] 正在快速流失
[14:03] 这个指标不同于单纯对于美元汇率
[14:06] 它是综合物价
[14:07] 贸易和多国货币之后的真实竞争力
[14:10] 我们去日本买的有多爽
[14:12] 日本人到海外就有多痛苦
[14:14] 那这反映的是长达
[14:16] 20年以来的货币收缩
[14:18] 或者我们讲的失去购买力的衰退
[14:21] 尤其在2020年以后
[14:22] 下行力度开始变大了
[14:24] 这形成一种压力
[14:25] 日本内部是通膨很大
[14:27] 所以就要让市场的整体通膨涨幅
[14:31] 相对而言控制在一定的区间
[14:33] 然后拉动新吃
[14:35] 这是高市这两年的目标
[14:36] 可是问题在于
[14:37] 目前在日本进入到春豆谈判过程当中
[14:41] 平均调薪幅度也蛮高的
[14:44] 大概是5.08%
[14:45] 可是刚才看日本食品通膨是6.2%起跳
[14:50] 平均而且会春斗的
[14:52] 通常都是大型公司大企业
[14:54] 财商5.08%
[14:56] 所以虽然已经达到工会原本设定的5%以上
[14:58] 可是压力还是非常大
[15:00] 因为日本内部的通膨压力是越来越大了
[15:03] 我们前几年去日本
[15:04] 一两千块的旅馆还真的找得到
[15:07] 现在你要在东京大阪找到一两千块的
[15:10] 那品质可能不算很好
[15:12] 物价翻倍速度也是非常快的
[15:14] 加上日本一样内部处于严重大缺工
[15:17] 举例来说
[15:18] 你像台积电最近在日本宣布要招100名高专生
[15:22] 应该算是我们的五专
[15:23] 可是在日本
[15:25] 技职市场已经完全变卖方市场了
[15:27] 高专生的求人倍率超过20倍
[15:30] 远远大于大学生的1.6倍
[15:32] 目前全日本有10万家企业在抢夺高专生
[15:36] 但是每年毕业生只有6000人
[15:38] 所以跟台湾市场差不多
[15:40] 基本上各行各业都在大缺工
[15:43] 薪资的暴涨压缩了利润的空间
[15:46] 与此同时
[15:47] 外部性通膨不断的往外输入
[15:49] 压力越来越大
[15:50] 更不用讲
[15:51] 日本对外关系
[15:52] 这一轮在去年高市的谈话之后
[15:54] 对中国的关系持续在恶化
[15:56] 这个如果你细看一些数据
[15:58] 你会觉得好像这段时间
[15:59] 中日关系恶化的程度
[16:01] 比两岸还要更恶化
[16:02] 举例来说
[16:03] 4月份以来
[16:04] 中日海军就在频繁的对峙
[16:06] 我们在4月中
[16:07] 当时中国就派一群人
[16:09] 驱逐舰和护卫舰
[16:10] 来应对日本
[16:11] 参与美非日军演的态势
[16:14] 中国军舰甚至是直接
[16:16] 靠近到日本本土的横围海峡
[16:18] 进入到西太平洋
[16:19] 然后再从云纳国岛返回东海
[16:22] 刻意选择敏感航道
[16:24] 来对日本的行动做出回应
[16:26] 那种全面性的竞争
[16:27] 中国很清楚
[16:29] 从去年下半年
[16:30] 一方面是军事部署
[16:31] 一方面是限制观光
[16:32] 所以日本现在最大的消费量
[16:34] 已经不是中国
[16:35] 即便人口数还是最多的
[16:37] 但是已经被台湾给超越了
[16:39] 那另外一股是稀土的出口限制
[16:41] 另外一方面
[16:43] 也放大对于日本军事扩张的负面形象
[16:46] 来压制日本
[16:47] 那日本是怎么做
[16:48] 那当然硬钢
[16:49] 现在反过来
[16:50] 日本进行军售解禁
[16:52] 区域的军事合作
[16:53] 以及能源金融来拉拢东南亚国家
[16:56] 来降低针对中国的依赖
[16:58] 这几个月
[17:00] 你感觉那中日关系恶化的程度
[17:02] 好像比想象中快非常多
[17:04] 尤其在稀土领域
[17:05] 中国是特别针对单一国家日本
[17:08] 采取部分稀土的禁制令
[17:10] 这就导致日本关系
[17:12] 在原材料端压力越来越大
[17:14] 大家可以观察到
[17:16] 日本现在不只是塑化业的极大压力
[17:18] 能源的压力
[17:19] 包括在稀土部分产品的原物料供应层面
[17:22] 都跟中国形成强制的对立
[17:25] 双方压力越来越大
[17:26] 好 这个是日本的部分
[17:27] 第三部分回来聊台湾
[17:29] 今天我们标题是台湾的经济成长
[17:32] 一季度成长来到13%
[17:34] 在昨天
[17:35] 标准普尔也维持台湾的主权信用平等
[17:38] 在AAA Plus
[17:39] 这就说明着
[17:40] 杨总裁
[17:41] 我们的台湾GD
[17:43] Gold Dragon
[17:44] 杨总裁
[17:45] 杨金龙总裁
[17:45] 目前的评价还算是不错
[17:47] 这其实也意味着一件事情
[17:49] 就是大家都注意到了
[17:50] 台湾在这一段时间
[17:52] 突然出现了有趣的现象
[17:54] 就是呈现高强度经济成长
[17:57] 但是却低通膨的迹象
[17:58] 现在台湾通膨
[17:59] 按照目前的普遍预估
[18:01] 是1.68%
[18:03] 当然每个人体感温度不一样
[18:05] 可是你要知道
[18:06] 日本现在也不过3%
[18:07] 但日本的物价也翻了好几倍
[18:09] 台湾的通膨年增幅
[18:10] 大概是日本的一半左右而在最新所公布的数据台湾在一季度主季处一季度经济成长率年增幅13.69这是过去40年来的最高
[18:22] 这已经是连续两年的高级期
[18:24] 那不是说去年金融风暴
[18:26] 是2024年也成长7%
[18:29] 2025年也成长5%
[18:31] 结果今年还成长13.69
[18:33] 这随着出口收入的暴增
[18:35] 市场油资的泛滥
[18:36] ETF规模的连跃创高
[18:38] 你几乎可以很大胆的讲
[18:40] 台湾已经重返1980年代
[18:42] 以前是前沿角目
[18:44] 现在是前沿天灵盖
[18:46] 这么高强度的经济成长
[18:48] 我好像从我懂事以来
[18:50] 我也没有看过
[18:51] 有单一季度年增幅
[18:53] 可以成长到13%
[18:54] 除非去年衰退
[18:55] 可是我们是连续两年的经济成长
[18:57] 那为什么可以达到
[18:59] AA的主权信用平等呢
[19:01] 一个很简单的原因
[19:02] 因为根据主技术的预估
[19:03] 今年台湾的通膨
[19:05] 大概是1.6到1.8%
[19:07] 这根本就是经济奇迹
[19:10] 就是怎么会出现
[19:12] 双位数字的经济成长
[19:14] 然后通膨1.6到1.8
[19:16] 这要么就是数字有问题
[19:18] 要么台湾出现了经济奇迹
[19:21] 居然这么高速的经济成长
[19:23] 那是去享受低通膨
[19:25] 那这段时间
[19:26] 当然可能会形成
[19:27] 适度的财富效应
[19:29] 看来阳春面终于可以加入蛋了
[19:31] 不只加入蛋
[19:32] 还要请老板家10块钱葱花
[19:35] 严书机点到200块
[19:37] 第二件六折故意买三件
[19:40] 天天吃麦当劳
[19:41] 早餐店单点猪排
[19:43] 一枚小泡芙不舔盒子
[19:46] 吃完多利多汁不舔手指
[19:48] 吃乖乖不吃屑屑
[19:50] 吃乳味不看价格
[19:52] 沐浴乳不加水
[19:54] 旅游专挑国旅
[19:56] 去吃吃到饱只吃五分饱
[19:58] 快用完的牙膏不挤直接换
[20:01] 我让一系列
[20:02] 这种财富效应的发挥
[20:03] 当然通膨数据
[20:04] 大家体感温度不一样
[20:06] 可是我们要这样理解
[20:07] 就是我们看的是相对值
[20:09] 就是相对于过去的增速
[20:11] 如果过去是0.5
[20:12] 现在是1.6
[20:13] 那一样是年增幅
[20:14] 翻了几近有三倍左右
[20:15] 你还是可以感受到
[20:16] 这个通膨速度的加快
[20:18] 可是经济成长
[20:19] 的确这一段时间是有点快
[20:21] 我们看到内需的持稳
[20:23] 这一波台湾当然
[20:24] 主要还是靠外债
[20:25] 内需消费也不差
[20:28] 大概4.5%
[20:29] 算是稳定的回升
[20:30] 但真正爆发的是
[20:32] 你看国人在国外旅游消费
[20:34] 成长11.05
[20:35] 台湾人在海外的消费
[20:38] 是国内消费的一整倍以上
[20:40] 消费有一部分
[20:41] 那就很明显外流了
[20:42] 那就是说明服务业你感觉不太好
[20:44] 这是有原因的
[20:45] 因为台湾人并不在台湾
[20:46] 做太多的奢侈品消费
[20:48] 那AI的拉动也导致
[20:50] 昨天台积怨大幅的把经济成长调高
[20:53] 上修到7.56%
[20:54] 这比年初又多了3.5%
[20:57] 成长了一整倍
[20:58] 第一季出口年增幅超过三成
[21:00] 进口超过两成
[21:01] 那当然
[21:02] 最神奇的数字一样
[21:04] 是那个民间整体CPI数据
[21:07] 1.89
[21:08] 这个全年经济成长7.56
[21:11] CPI 1.89
[21:13] 越来越神奇了
[21:14] 那当然了
[21:15] 这也来自于资产价格的增高
[21:17] 资产在膨胀
[21:18] 财富效应就会往外扩散
[21:20] 我们根据足迹处最新所公布的国富数据
[21:23] 成长速度是的确稍微放缓了一点
[21:26] 但这是2024年的数据
[21:27] 你看得很清楚
[21:29] 目前呢
[21:30] 总体毛额增长幅度是来到超过57兆
[21:33] 净额增长超过41兆
[21:35] 这说明股市房市再加上产业升级
[21:38] 台湾的国民财富正在以金人速度上行
[21:41] 那其中工业和制造业比重正在快速扩张
[21:45] 服务业在收缩
[21:46] 所以你可以理解
[21:47] 就是我们的固定资产毛额
[21:49] 主要还是由工业和制造业来做推升
[21:52] 所以你不是工业和制造业
[21:53] 就会形成一点落差
[21:55] 那更不用讲财富效应
[21:57] 主要就来自于股市的膨胀
[21:58] 我们过去提过
[21:59] 全球的股市市值
[22:01] 美国大概是核心
[22:03] 一家都占70兆了
[22:04] 占全球一半以上
[22:05] 但是你看后面几名
[22:07] 从亚洲市场的中国
[22:09] 日本 印度 香港 南韩的快速崛起
[22:12] 台湾现在也超过英国和加拿大
[22:14] 来到4.4兆
[22:15] 已经位积全球的前半端
[22:18] 这也使得新兴市场
[22:19] 开始受到一系列的全职调整
[22:22] 我们举例来说
[22:23] 你看目前MSCI新兴市场
[22:25] 4月份大涨了接近有15%
[22:28] 表现比美股还要来得亮丽
[22:30] 可是有一半的涨幅都是来自三家企业
[22:33] 一个是台积电
[22:34] 另外一个是三星电子
[22:35] 最后是SK海力士
[22:37] 这三家就已经占了权重有四分之一
[22:40] 所以我们可以细看
[22:42] 台积电在MSCI的新市场指数权重
[22:45] 单一公司一家它就15%
[22:48] 第二名的三星也才5%
[22:50] 台积电是三星在MSCI指数权重的三倍
[22:54] 再往下看腾讯
[22:56] SK海力士
[22:57] 阿里巴巴
[22:58] 全众都在快速缩小
[22:59] 整个新兴市场
[23:00] 其实跟0050有点像
[23:02] 头重脚轻
[23:03] 它也不是什么多元的经济体
[23:05] 以前我们买新兴市场
[23:06] 某种程度是在规避
[23:08] 可能美股的AI科技股的带动
[23:10] 你现在买新兴市场
[23:11] 跟买费半有什么区别
[23:12] 本身也没什么区别
[23:14] 所以这是我们观察到的现象
[23:15] 台湾这一波的经济爆发
[23:17] 被台股好早以前就已经提前反映了
[23:21] 从AI的资本支出加速
[23:22] 半导体的订单回温
[23:23] 到全球云端巨头的重新扩张
[23:25] 资金一直在卡位
[23:27] 因为我知道明年订单爆增了
[23:29] 我今年领到的股率
[23:30] 今年领到的年终
[23:31] 我都已经提前投进去了
[23:32] 连我爸的年终
[23:34] 我都提前投进去
[23:34] 连我奶奶的退休金
[23:36] 我都提前提进去
[23:37] 为什么
[23:37] 因为我知道我明年年终就领回来了
[23:39] 我永远不缺钱
[23:40] 所以资金就提前先进行投入
[23:43] 所以市场其实已经在
[23:45] 为接下来几年的股市行情
[23:48] 做提前反应了
[23:49] 你说还没有感觉到这么好
[23:50] 也许再过几年
[23:52] 大家就会有期感上的明显提升
[23:54] 可是至少我们可以看到
[23:55] 股价永远是跑在最前面的
[23:57] 这一解释为什么
[23:58] 有时候股价基本面
[24:01] 终于走出最亮丽的那一刻
[24:02] 股价就不涨了
[24:03] 利多不涨
[24:04] 因为价格永远走在最现实前面
[24:06] 但是从长周期而言
[24:08] 你几乎已经看到了
[24:10] 在资本支出不衰退的情况底下
[24:12] 最近四大CBS资本支出都在上调
[24:14] 你怎么可能看到它
[24:16] 接下来经济成长
[24:17] 有大幅滑落的空间
[24:19] 除非AI泡沫破灭
[24:20] 所以这就是我们看到的
[24:22] 时间差的根本原因
[24:23] 那之前是一部美剧
[24:26] 那007不是到一个酒吧
[24:28] 一个漂亮的女人在旁边坐下来
[24:32] 007就看她一眼
[24:34] 故意摆弄了一下自己的手表
[24:36] 那女人一注意到
[24:37] 说你约会的人要迟到了吗
[24:40] 007说没有
[24:42] 是我一个朋友送我这块手表
[24:45] 最先进的那种
[24:46] 我正在测试
[24:47] 那女人很好奇
[24:49] 最先进的
[24:50] 那她有什么特别之处
[24:51] 他可以用心灵感应的方式
[24:55] 跟我说话
[24:55] 那他现在在跟你说什么
[24:57] 他说你没有穿内衣
[24:59] 那女人一听大笑起来
[25:01] 那你这块表一定坏了
[25:03] 因为我现在正在穿内衣
[25:04] 那007拍一下手表
[25:07] 可恶
[25:07] 一定是快了一个小时
[25:09] 所以投资市场也一样
[25:12] 你看到的很多数据
[25:14] 消费基本面
[25:15] 它其实都已经是过去式
[25:18] 而股价它已经先行反应了
[25:20] 早在一个小时
[25:21] 一个季度
[25:22] 一年以前
[25:23] 它就已经反映
[25:24] 当前的基本面的溶解
[25:25] 我们过去已经讲过
[25:26] 这种油资很难断掉
[25:28] 因为整条基本面的通道
[25:30] 从后疫情时代
[25:31] 它其实整条通道
[25:33] 就已经完全打开
