[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 母子海峡封锁行动的船只
[04:25] 市场连续出现了
[04:27] 8天左右的上涨
[04:28] 累积涨幅
[04:29] 从纳斯达克指数来看
[04:30] 涨幅已经高达9%了
[04:32] 这在历史上也很少见
[04:33] 过去我们讲的是
[04:35] 乖离严重的下修
[04:36] 现在是强势的挤压行情
[04:38] 我们看这种快速的拉伸
[04:40] 基本上对于乖离
[04:42] 也是不太有利的
[04:43] 因为回补力度太快了
[04:44] 很明显是标准的空单回补
[04:46] 那这一波上涨
[04:47] 本质也并不是基本面变好
[04:49] 就是因为三月份市场有点太严重悲观了
[04:53] 空单过多
[04:54] 那一旦价格转强就被迫一路的追高
[04:57] 所以八连涨加上大幅弹升以后
[05:00] 我们按照过往经验
[05:01] 未来一周到一个月
[05:03] 报酬通常还是正的
[05:04] 可是如果连续一个月都这样子上涨的话
[05:08] 那么距离高乖离的回调可能也不远了
[05:11] 所以现在是很标准的空头回补行情
[05:13] 现在这种涨法应该也很难让空头仍然停留在市场当中
[05:18] 重点要开始进行部位的获利了结
[05:21] 甚至要停损
[05:22] 那市场的关键呢
[05:24] 在于部位
[05:24] 主要是被大量放空和去风险给推动
[05:27] 也并不是长线资金真正撤除
[05:30] 所以我们要看两大方向
[05:31] 一个呢
[05:32] 是长期资金
[05:33] 在本季度财报之后
[05:34] 会不会有新一波的进驻
[05:36] 那第二呢
[05:37] 是这一波筹码重新清洗干净以后
[05:40] 市场会如何重新的评价中东风险
[05:42] 那目前看起来
[05:43] 整体大家对于未来几个月的担忧
[05:46] 反而正在快速淡化
[05:47] 这个时候我们就要保险了
[05:49] 因为前面一个月
[05:50] 大家正在担忧放大
[05:51] 所以做空部位大幅增加
[05:53] 现在连空军都离场了
[05:55] 的确情绪稍微有一点乐观了
[05:57] 只不过它是从极低的乖离
[06:00] 开始往上拉
[06:00] 因为现在是费班在创高
[06:02] 可是纳斯达克指数还在后面追
[06:04] 从年初到现在来看
[06:06] 当时在去年10月份
[06:08] Meghanith 7
[06:09] 七巨头的情绪指数
[06:11] 10月份一度接近到超级极度乐观
[06:15] 现在已经到-1
[06:17] 就是极度悲观
[06:18] 就即便这一波
[06:19] 已经有非常明显的回补力度
[06:21] 但是市场上
[06:23] 针对七巨头的持有
[06:25] 仍然抱持的相对谨慎态度
[06:27] 就来自于
[06:28] 可能市场上
[06:29] 过去估值过度推高以后
[06:31] 目前回补力度
[06:32] 要推动这些股票
[06:34] 往上涨的那种薄弱感
[06:35] 什么意思
[06:36] 你要让一些废办的
[06:38] 一些中型股上涨10%
[06:40] 差不多挥打只能上涨0.5%
[06:43] 因为你要让这些七巨头
[06:45] 这些七巨头体量太大了
[06:46] 你要让它涨1%
[06:48] 可以让很多罗素2000的股票
[06:50] 涨100%了
[06:51] 所以现在我们要更进一步的观察
[06:53] 是两个角度
[06:55] 第一个是市场的利空顿化
[06:56] 我们也知道第一轮谈判
[06:58] 花那么多时间
[06:59] 条件还是一样差
[07:00] 也没什么共识
[07:01] 可是第一次没共识
[07:04] 第二次没共识
[07:04] 第三次没共识的冲击
[07:06] 就越来越小了
[07:06] 第二点
[07:07] 这种利空顿化
[07:08] 是年份性的利空顿化
[07:10] 就是我们很明显感受到
[07:12] 市场上有一股氛围
[07:13] 2022年也是停滞性通膨
[07:15] 2025年是关税战通膨
[07:17] 2020年是新冠疫情
[07:20] 18年美洲贸易战
[07:21] 这么多年的利空
[07:22] 我都一路走过来了
[07:24] 你吓得了我在2026年
[07:26] 让我下车吗
[07:27] 有这样的一个氛围
[07:28] 我们知道这件事情
[07:30] 是有点严重的
[07:31] 可是过去每一次
[07:32] 事情很严重的时候
[07:33] 如果我卖出股票
[07:34] 那我就再也回不来了
[07:36] 市场上的长期进驻资金
[07:38] 越来越有这样的一个氛围
[07:40] 所以股市下跌
[07:41] 是肯定不卖股票的
[07:42] 甚至大家都在考虑加仓
[07:44] 这是第一个观察重点
[07:45] 那第二个呢
[07:46] 是油价的这一种一次性调整
[07:49] 就我们看过去20年来
[07:50] 市场有一股共识嘛
[07:52] 餐费也这样涨不少
[07:54] 学费也涨了很多
[07:55] 新车二手车价格
[07:57] 电脑的费用
[07:58] 软体的费用
[07:59] 服务价格费用
[08:00] 大家都上涨了过去20年
[08:02] 但是过去20年我们确定
[08:04] 基本上没有上涨的
[08:05] 就是剩下原油价格
[08:06] 原油价格长期就一直保持在60到80美元每桶
[08:10] 那么就代表着原油过去一直以来
[08:12] 都是对于全球的通膨具有通缩性作用
[08:16] 因为什么都涨了
[08:17] 就像它没涨
[08:18] 那正常来讲货币量增长
[08:20] 什么都该涨啊
[08:21] 只有原油不涨
[08:22] 说明原油的供给一直在放大
[08:24] 那这个时候一次性的通膨调整
[08:26] 也许以后就是80到100了
[08:28] 那你说这件事情有很严重吗
[08:30] 有引的联准会被迫要暴力升息吗
[08:33] 市场就看起来不一定这样子认为了
[08:35] 所以我们回过头看今天我们就从三个角度来做思维第一个中东战火打到现在市场已经有很明显的讯号就利空不迭那这个利空不迭不代表的事情是谈判即将达成
[08:47] 而是谈判失败所造成的冲击
[08:51] 已经不足以让我卖出股票
[08:53] 我就跟你耗
[08:54] 耗到总有一天
[08:55] 你会把中东战事给谈定
[08:57] 有这样的一个市场氛围出现
[08:59] 那第二个回过头来看台湾
[09:00] 台湾三月份出口创下历史新高了
[09:03] 对美顺差也暴增
[09:04] 本质就是吃到AI的基建红利
[09:06] 那这些七巨头
[09:08] 如果股价一直没有回温
[09:09] 那费办一直上涨
[09:11] 合理吗
[09:12] 最后呢
[09:12] 就台湾的劳动力市场
[09:13] 最近缺工问题
[09:15] 到引进印度移工
[09:17] 持续引着市场上进一步的关注
[09:19] 那台湾如何把握本人的AI契机呢
[09:21] 今天来跟投资朋友多多一些观察
[09:23] 我们先回过头来看
[09:25] 这一轮川普封锁荷姆兹海峡以后
[09:28] 本身而言
[09:29] 市场上对于谈判讯号的意愿开始拉强
[09:33] 也就是大家还是把它相信成
[09:35] 封锁是为了谈判
[09:37] 而并不是为了要完全冲击伊朗经济
[09:40] 直到政权垮台
[09:41] 在这样的一个效果底下
[09:42] 切断石油收入
[09:43] 逼迫伊朗让步
[09:45] 成为了现在上谈判桌的一个重要讯号
[09:47] 那第二件事情是
[09:49] 这个时间线也很赶
[09:50] 第一个时间线我们过去提过
[09:52] 有当时战争法案的要求
[09:55] 必须要在60天内进行追加法源依据
[09:59] 或者正式宣战
[10:00] 那如果川普想要在60天内结束的话
[10:03] 4月底之前就必须要结束
[10:04] 那第二件事情
[10:05] 是能源的缺口开始浮现了
[10:07] 其实一直到现在为止
[10:10] 当时最后一批
[10:11] 离开荷姆兹海峡的游轮
[10:12] 现在才抵达炼油厂
[10:14] 就是228当天离开的游轮
[10:18] 现在才到港
[10:19] 所以我们才讲说
[10:20] 市场总会有一股预估
[10:22] 觉得那应该有时间
[10:24] 可以做调配吧
[10:24] 只要战争在一两个月内结束
[10:26] 应该没问题
[10:27] 结果现在最后一艘船
[10:29] 我们根据金融时报报道
[10:30] 已经离开荷姆兹海峡
[10:33] 目前正在往美国洛杉矶港来做运送
[10:36] 那就代表在4月20号左右
[10:39] 最后一艘船就会抵达洛杉矶
[10:41] 到时候如果还没有库存
[10:43] 那么我们看到的实体
[10:45] 或者说金融资产的炒作
[10:47] 就会真实传导到实体的库存压力
[10:50] 在这样的一个效果底下
[10:51] 游士的缓冲即将耗尽
[10:53] 真正的供给冲击才即将开始
[10:55] 当然冲击刚开始的时候
[10:57] 在昨天荷姆兹海峡的运量创高了
[11:00] 目前有34艘邮轮正式通过
[11:03] 前一波的油价冲击之所以没有全面失控
[11:05] 就是来自于库存释放
[11:08] 邮轮的改道运输
[11:09] 还有沙布地阿拉伯透过红海的出口补位
[11:12] 那这些都是拖时间
[11:13] 那现在呢
[11:14] 从4月20号消化完这些库存以后
[11:17] 市场就会正式真实面对这些供给缺口来产生冲击
[11:21] 从一个多月以来
[11:22] 全球大概已经耗尽了2.5亿桶的库存
[11:25] 每天大约缺少1300万桶左右的供应
[11:28] 那这样子一直往下压
[11:30] 那最后全球的战略库存肯定会被消耗
[11:33] 所以这个时间线也很赶
[11:35] 我们大概可以把四月底视为一个重要的谈判时间线
[11:38] 不代表事情不会恶化
[11:40] 但是这段时间大家还是对于川普有很大的信心
[11:44] 而且大家都相信任何的操作都是为了加速谈判
[11:47] 这是一股思维
[11:49] 所以在右侧我们当然不追高
[11:50] 了解自己本身的意图为何
[11:52] 期待有进一步的均值回调攻坚
[11:55] 但是市场上现在可能大部分的担忧也已经不是利空的问题
[11:59] 而是没够股票怎么办
[12:01] 买不到怎么办
[12:02] 事实上我们看今年以来
[12:04] 90%的资产已经转为正报酬
[12:07] 其中涨最多的当然还是大宗资产
[12:09] 平均涨幅有27%
[12:11] 黄金涨了10%
[12:12] 可转在8.6
[12:13] 中型股6.9
[12:15] 已开发市场6.4
[12:16] 小型股6.3
[12:18] 整体而言像国库券Tips
[12:20] 或者新兴市场在进来都是收涨
[12:22] 少数收跌的现在是纳斯达克指数
[12:24] 不过快要回到正报酬了
[12:26] 成长股跌5.6%
[12:28] 跌最重的又是你
[12:30] 比特币跌了16.6%
[12:33] 这两年比特币的确不好过
[12:35] 不过按照过往经验
[12:36] 基本上比特币的平均回调幅度
[12:39] 都是六成七成
[12:40] 去年也才跌6%
[12:42] 所以如果是从年度报酬来看的话
[12:46] 就是比较煎熬一点而已
[12:48] 道琼指数上涨301点
[12:49] 0.63%
[12:50] 刷48218点
[12:52] 标普白指数上涨69点
[12:54] 1.02%
[12:55] 刷6886点
[12:57] 纳斯达克指数上涨280点
[13:00] 1.23%
[13:01] 收在23183点
[13:03] 三大指数看起来都陆续站回到
[13:05] 所有均线之上了
[13:07] 再看一下费办
[13:08] 这几根也太猛了
[13:10] 上涨149点
[13:11] 1.68%
[13:13] 收在9039点
[13:14] 所以我们讲说这种涨法
[13:16] 台股今天搞不好
[13:18] 真的要挑战历史新高了
[13:19] 现实告诉我们
[13:21] 成功是没有捷径的
[13:23] 但是有VIP通道
[13:24] 费办现在就是VIP
[13:26] 三大指数还在蠢蠢欲动
[13:28] 费半仙给你跳高上去了
[13:30] 所以你会发现
[13:31] 每年本来就会有这样子乖离回调的时候
[13:34] 当然有时候指标到位了
[13:35] 有时候我们买的早一点
[13:37] 有时候买的晚一点
[13:39] 那最后都是赚
[13:39] 但是这几年行情
[13:41] 真正痛心的是谁
[13:42] 是对于市场不信任的人吗
[13:44] 基本上没有人能够从疫情一路做空到现在的
[13:48] 做空也没有在做长期的
[13:49] 一下就洗出场了
[13:50] 真正痛心的是
[13:52] 日子过得不好的人吗
[13:54] 不会
[13:55] 他根本无能力参与本轮行情
[13:57] 真正痛心的
[13:58] 是你手上有不少资金
[14:00] 但是眼睁睁的看着股价
[14:02] 看着房价一路的向上
[14:04] 但是没有任何动作的人
[14:06] 所以这个时候压力是很大的
[14:08] 我们要了解
[14:09] 每年都会有几次的乖离回调
[14:11] 甚至川普都会创造一些
[14:13] 系统性的外部性的回调
[14:15] 这种回调是最好的
[14:16] 因为我们最希望的回调是什么
[14:18] 就是EPS没有大幅松动底下
[14:20] 来了一个意外的事件
[14:21] 来了一场疫情
[14:22] 来了一场关税战
[14:23] 来了一场中东战事
[14:25] 有时候打篮球就这样
[14:27] 你让后卫得三分也没关系
[14:30] 你让后卫抢篮板也没有关系
[14:32] 但是你主将不能一直不动
[14:34] 就每年至少一次的乖离回调
[14:37] 川普都给你系统性回调
[14:39] 该动的时候自己就要动
[14:41] 就算旁边的人在那边喊
[14:44] 该冲啊该冲啊
[14:45] 从头到尾那也是自己的事情
[14:47] 所以有时候我们讲说指标到位了
[14:49] 该动的时候就要动
[14:50] 冰箱跟冰淇淋分手
[14:53] 冰淇淋难过到夺门而出
[14:56] 走到一半就开始融化
[14:58] 跑回家跟冰箱复合
[15:00] 冰箱说上来自己动
[15:04] 自己动
[15:06] 所以观众朋友
[15:07] 不同的行情
[15:08] 不同的位置
[15:09] 你会有不同的操作方式
[15:10] 可是你要了解说
[15:12] 基本上能够笑呵呵待到现在的人
[15:14] 都是自己采取动作的人
[15:16] 好我们回过头看
[15:17] 高盛这一次打头阵
[15:19] 公布了最新财报
[15:20] 该行第一季获利年增幅19%
[15:23] 这一次我们看到
[15:25] 净利56亿美元年增幅两成
[15:28] 营收也远远超乎市场预期
[15:30] 那问题在另外一端
[15:31] 就是固定收益
[15:32] 外汇和商品的业务明显失速
[15:34] 营收年减幅大概是有减了10%左右
[15:37] 那其他拖累的主因来自于利率产品
[15:39] 像房贷市场
[15:40] 信用市场还是很薄弱
[15:42] 很明显
[15:42] 炒股票的人为高盛赚了很多钱
[15:45] 但是做房地产的
[15:46] 或者固定收益
[15:48] 外汇大宗资产的
[15:49] 看起来是严重不如预期
[15:51] 所以现在大家都在靠ETF
[15:53] 还有股票交易来做支撑
[15:55] 不过战争越乱
[15:56] 对于华尔街而言
[15:58] 基本上是越赚的
[15:59] 我们看整体美国股市
[16:01] JP Morgan
[16:02] 高盛
[16:03] 大摩
[16:04] 花旗
[16:05] 还有美银
[16:05] 这五大银行
[16:07] 第一季的交易收入
[16:08] 预估会超过400亿美元
[16:10] 这至少创下过去12年以来的新高
[16:12] 原因很简单
[16:13] 这场战事所带来的波动性太大了
[16:16] 这一次推高油价
[16:18] 然后股市市场的剧烈震荡
[16:20] 交易量的暴增
[16:21] 这是结构性变化
[16:22] 说明金融海啸以后
[16:24] 这些大型投行
[16:25] 它不是在靠压方向来赚钱
[16:27] 它是变成流动性的提供者
[16:30] 所以有时候我们对于这些投行
[16:31] 我们当然知道
[16:32] 它有自己的资产管理部位
[16:34] 股市跌太重也会有影响
[16:35] 可是如果股市是经历比较大的
[16:38] 这种外部性冲击
[16:39] 它现在赚到的交易费的收入
[16:41] 已经大过它在投资部位的损失了
[16:44] 这是可以值得观察的一个重点
[16:46] 对于银行股的部分
[16:47] 再是甲骨文昨天大涨了接近12%
[16:50] 也尝试的进行阻底
[16:52] 硬体股的部分似乎开始尝试的进行拉抬
[16:56] 当然我们回过头来看
[16:57] 整体而言
[16:58] 整个七巨头相对于整体市场的获利优势
[17:01] 我们把七巨头拿来跟标普500的EPS来做比值
[17:04] 这一次大概在1.3倍左右
[17:07] 刚好打到过去几次的低档区间
[17:10] 意思就是市场正在下修
[17:12] AI龙头的成长溢价的预期
[17:14] 那现在下修幅度差不多了
[17:16] 都已經回到2022年的水位了開始往上攻了所以我們都一直提到股價這一次是跌不重可是你把黑色线就是12个月的前三本一比拿来看我那跌很重已经跌到去年关税战的水准了
[17:28] 所以股价没有跌到去年关税战
[17:30] 可是基期跟去年关税战差不多
[17:33] 那如果你是周期投资者
[17:34] 基期投资者
[17:35] 你就会根据这些指标
[17:36] 采取一定性的操作
[17:37] 你就会觉得
[17:38] 哇现在怎么这么便宜
[17:39] 这个是我们过去一直以来的利润
[17:41] 当然从整体
[17:43] 目前美国股市的财务增长角度而言
[17:46] 一季度财报出来肯定不差
[17:48] 我们要观察的两大指标
[17:49] 第一个是EPS的成长幅度
[17:52] 有没有加速的可能性
[17:53] 现在市场预估已经很高了
[17:55] 预估今年一季度成长幅度12%
[17:57] 二季度18%
[17:59] 三季度20%
[18:00] 四季度到19%
[18:02] 这个是高强度的双位数字成长
[18:04] 而且前两年已经是
[18:05] 每个季度都高乎于市场预期了
[18:08] 那第二个条件是什么
[18:10] 第二个条件是
[18:11] 获利增长之后
[18:12] 资本支出会不会down下来
[18:14] 为什么这样讲
[18:15] 因为资本支出是台厂获利
[18:17] 能够大幅拉升的原因
[18:19] 管你AI赚不赚钱
[18:20] 反正你只要继续盖AI资料中心
[18:22] 那我就可以继续往上拉升
[18:23] 那现在很有可能
[18:25] 一季度是92%
[18:26] 二季度到70%
[18:28] 到四季度是49%
[18:29] 那基本上在年减的前一年
[18:33] 就要开始进行到相对性的库存调整了
[18:35] 比如说2023年
[18:36] 当时就是进入到年减
[18:38] 那股价提前反应
[18:39] 在2022年股价就开始进行调整
[18:42] 所以我们现在要观察就是
[18:43] 今年你也不宜让它成长太多
[18:46] 最好让26年27年
[18:48] 都有平滑成长的空间
[18:49] 那你就可以把
[18:50] 即便AI
[18:51] AI总有一天会产能过剩
[18:52] 这我们必须承认
[18:53] 总有一天AI投资会过度
[18:55] 发现不需要盖这么多的算力
[18:57] 或者说效能变好了
[18:58] 不需要盖这么多厂区了
[18:59] 那最好
[19:00] 2027年必须要持续保持正直
[19:03] 否则对于台厂的这种预估的评价感
[19:06] 就有可能会因此而松动
[19:07] 那现在年一季度
[19:09] 资本支出92%的成长
[19:11] 对于台厂而言
[19:12] 当然直接造成的结果就是
[19:14] 台湾在三月份的出口
[19:16] 创下历史新高
[19:17] 单月份801亿
[19:19] 创下历史新高
[19:20] 单月年增幅
[19:21] 哇
[19:22] 61.8%
[19:24] 这已经连续29个月成长了
[19:25] 第一季出口1957亿
[19:27] 同样创下历史新高
[19:29] 那这一波动能也没有结束
[19:31] 财政部的预估是
[19:32] 四月份出口应该还会再度
[19:34] 创下历史新高
[19:34] 那说明什么
[19:35] 未来几年
[19:36] 我们出口赚那么多钱
[19:38] 上市柜公司的鼓励
[19:40] 上市柜公司给你的年终
[19:42] 就很清晰了嘛
[19:43] 那你拿到年终之后做的事情
[19:46] 台湾的油资一定会越来越多
[19:48] 成为台股内资的ETF买盘
[19:50] 这个就是我们过去
[19:51] 针对台股的长期推升的借进
[19:54] 就是大量的外汇收益进来
[19:56] 转化成台股的持续性买盘
[19:58] 以今年台湾出口来看
[20:00] 平均年增幅已经来到51.1%
[20:03] 这是把整个一季度拿过来看
[20:05] 去年台湾的出口年增幅
[20:06] 已经34.9了
[20:08] 去年已经是亚洲第一了
[20:09] 今年还是亚洲第一
[20:10] 所以连续两年的增速
[20:13] 位居亚洲经济排行榜排名第一名
[20:15] 我们从美国人的贸易顺差
[20:18] 最近公布新资讯了
[20:19] 这一次美国人已经是台湾厂商的最大买家
[20:23] 台湾对于美国的贸易顺差
[20:25] 在疫情之后翻了几倍
[20:27] 翻了七倍
[20:28] 所以你是做美国人生意的人
[20:30] 你本来年薪是一百万的
[20:32] 疫情以后你变七百万
[20:34] 你本来是做一千万
[20:35] 现在变七千万
[20:36] 一亿变七亿
[20:37] 这可以了解说
[20:38] 为什么我们看到
[20:39] 股房资产
[20:41] 会有这种显著的资金的流露
[20:43] 因为从实质数据来看
[20:45] 就是有一群人
[20:46] 他在疫情以后赚的钱是7倍
[20:49] 不是什么翻了7成
[20:51] 1.7倍
[20:52] 是翻了7倍
[20:53] 这个就是我们勘察到的实质现象
[20:55] 那这种效果
[20:56] 直接导致了台湾内部的经济
[20:58] 处于极度缺工情况
[21:00] 毕竟这么大的油资
[21:01] 肯定会推升物价
[21:02] 那本身额言经营成本也会提高
[21:05] 那现在呢
[21:06] 整体台湾二月份失业率
[21:07] 稍微上升到3.32
[21:09] 不过并不是因为景气转差
[21:10] 每年春节都会有固定的转值潮
[21:13] 那么美国跟台湾市场不一样
[21:14] 台湾现在有转值潮
[21:16] 美国现在没有了
[21:17] 一方面当然是季节的问题
[21:19] 但是另外一方面
[21:20] 是美国现在就会市场条件
[21:22] 并不是特别好
[21:23] 但是在台湾
[21:24] 上个月就有5000多人
[21:26] 主动提出离职
[21:28] 不是被迫离职
[21:29] 这就代表着
[21:30] 台湾内部的缺工现象
[21:32] 来得越来越显著
[21:33] 天下之前就做了一篇专题
[21:35] 专门聊公务员
[21:37] 现在的薪资完全吸引不到人
[21:39] 举例来说
[21:40] 目前地方的缺额率
[21:41] 在疫情的时候大概是一成
[21:43] 现在是15%
[21:45] 这个增长幅度也增长了50%
[21:48] 每100个公务员就有15个是缺乏的
[21:51] 中央的部分大概是13%
[21:53] 事实上我们看中央部会的部分
[21:55] 外交部缺额比例42.8
[22:00] 地方县市最高的是台北和基隆
[22:02] 有22和18%
[22:04] 这件事情都意味着
[22:05] 报考公务员人数大幅的创低
[22:08] 民间部门全面爆发
[22:10] 这也使得一个现象陆续发酵
[22:12] 那就是目前经商环境最大挑战
[22:14] 常年一直以来对于台商来讲
[22:17] 都是两岸关系
[22:17] 但是它排名一直没有太大变动
[22:21] 重点是2021年到2024年
[22:23] 25年最大变动是什么
[22:24] 就是缺工
[22:25] 在2021年缺工问题还是第六个
[22:27] 永远比人才不足
[22:29] 或者说劳动成本
[22:30] 产业转型
[22:31] 水电供应的问题还来到后面
[22:33] 现在缺工就是仅次于两岸关系最大的压力
[22:37] 包括餐饮业也是如此
[22:39] 大量的科技业的招募
[22:41] 使得餐饮业极度缺工
[22:42] 目前制造业的职缺数是8.3万个
[22:45] 批发业4.7万
[22:47] 住宿餐饮业是2.4万
[22:49] 但是住宿餐饮业的职缺率是最高的
[22:51] 是4.2%
[22:52] 这件事情就说明了
[22:53] 全台湾出现了抢工潮
[22:56] 这也是为什么我们看到
[22:57] 最近印度移工的事情
[22:59] 引得大家讨论
[23:00] 劳动部长洪世安先生在昨天已经有提到了
[23:03] 因为这次印度移工说法
[23:04] 引起市场的讨论之后
[23:05] 他已经很明确的指出
[23:07] 有条件才会进行推动
[23:09] 目前取决于两大前提
[23:11] 第一个是企业端是否有需求
[23:13] 有需求我再提
[23:14] 第二端是印度方面
[23:16] 所提出的执行方案
[23:18] 是否能够符合台湾的把关标准
[23:20] 算是淡化一下市场色彩
[23:22] 当然我们要知道
[23:23] 这就代表着
[23:24] 台湾劳动力市场正在转型
[23:26] 一边是企业端
[23:27] 赶快开放
[23:28] 管你是什么人种
[23:29] 能来就好
[23:30] 那少子化所导致的
[23:32] 人力供给的持续收缩
[23:33] 政府就一定被迫
[23:35] 一定要扩大外籍劳动来源
[23:37] 那当然从国籍的角度而言
[23:41] 可能每个人的
[23:42] 个人感受程度不一样
[23:43] 有些人说到新闻的渲染等等
[23:44] 会有不同的看法
[23:46] 可是它至少
[23:47] 产生出了一个新方向
[23:49] 那就是整个2026年
[23:50] 台湾的劳动力政策
[23:51] 已经出现了重大改变
[23:53] 我们其实从今年以来
[23:54] 就看到政府
[23:55] 已经开放了旅宿和港口业
[23:57] 一边强调技术门槛
[23:58] 开始进行有条件的引进
[24:00] 那另外一方面
[24:01] 台湾开始要准备抢人才了
[24:04] 因为对于很多外劳而言
[24:06] 移工而言
[24:06] 是优先考虑日本和韩国
[24:08] 那这个时候游戏规则就变了
[24:10] 你不能是考虑说要开放谁
[24:12] 你还要思考
[24:13] 为什么他会来
[24:14] 你抢不到人
[24:15] 薪资 仲介制度 工作的尊严
[24:18] 同时都会被因此而放大
[24:20] 包括品牌问题也是如此
[24:22] 所以真正的分水岭就在于
[24:24] 台湾现在准备把移工当成
[24:26] 补缺劳动力人口的工具
[24:28] 转化成长期的人力资产
[24:30] 可是如果你台湾不够有吸引力
[24:33] 人家移工也不愿意来台湾
[24:35] 因为其他国家可能还有更多的空间
[24:38] 所以现在背景很清楚
[24:39] 服务业开放移工只是刚刚开始
[24:41] 过去我们一直是属于服务业移工
[24:44] 相对比较谨慎的
[24:45] 主要是制造业移工
[24:46] 但这一次进行全面性的大幅开放
[24:49] 本身就是市场上已经动不掉
[24:52] 我们当然知道
[24:53] 民间的反弹有没有道理
[24:54] 其实是有道理的
[24:55] 我们过去提过
[24:56] 2015年
[24:57] 当时的台湾失联移工
[24:59] 大概是5万人
[25:00] 但是现在是接近9万人
