[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[01:00] 最近学测放榜之后
[15:39] 200米的女子金牌得主
[15:42] 比赛完之后
[15:44] 在路上逛街
[15:45] 被抢包包
[15:46] 然后没抢回来
[15:48] 人家问他
[15:49] 为什么抢不回来
[15:51] 因为那小偷跑了400公尺
[15:53] 他是200米
[15:54] 女子金牌得手
[15:56] 他跑超过200就很喘了
[15:57] 所以大部分的事件的背景
[16:01] 它其实都是在特定时空
[16:02] 特定环境
[16:03] 或者特定背景底下
[16:05] 所形成的结果
[16:07] 1970年代的停滞新生棚
[16:09] 跟现在我认为
[16:10] 是有蛮大的一个差距的
[16:11] 这的确
[16:12] 它会形成对于股票市场
[16:14] 持续性的压力
[16:15] 但是严重程度
[16:16] 他就是回不到当年的水准
[16:18] 他甚至现在还没有回到
[16:19] 2022年的水准
[16:20] 所以重点其实是什么
[16:22] 重点是各大央行的态度
[16:24] 所释出的氛围
[16:25] 会同时针对风险资产
[16:27] 和避险资产
[16:28] 形成估值压力
[16:29] 这个时候球就回到
[16:31] 联准会和各大央行手上了
[16:33] 前天我们看到
[16:34] 鲍尔这一次
[16:35] 因为可能会续任联准会
[16:37] 鲍尔已经表态了
[16:38] 基本上就算他主席卸任之后
[16:40] 他都会继续担任理事
[16:42] 那当然贝斯恩真的很不爽
[16:43] 不过某种程度就说明了
[16:45] 联总会这一次除了米兰以外
[16:47] 已经几乎有集体共识
[16:49] 针对通膨的意志
[16:50] 不代表要升息
[16:52] 可是这件外部性冲突
[16:54] 值得我们多做观察
[16:55] 所以我们先按兵不动
[16:56] 锁住当前利率
[16:57] 欧洲央行目前最新的会议决议
[17:00] 也决定利率维持不变
[17:02] 存款利率持续维持在2%
[17:04] 这已经是连续六次按兵不动了
[17:07] 不过欧央也很明确的警示
[17:09] 中东战争让战争前景
[17:11] 战争的前景变得更加不确定性
[17:14] 能源价格上涨会推升短期通膨
[17:17] 也会抑制经济成长
[17:18] 所以呢
[17:19] 现在呢
[17:20] 市场上在央行决策当中
[17:22] 我们开始必须重新定价
[17:24] 政策入境
[17:25] 那市场已经预估今年可能会有升息一次到两次的可能性在欧洲央行当然内部鹰派鸽派的声音还是非常交错啦主要还是来自于到底经济成长为何通膨是一定会上修目标的可是经济撑不撑得住
[17:39] 进一步的升息条件
[17:40] 是未来欧洋的态度
[17:42] 不过至少目前是按兵不动
[17:43] 英国央行就有很转阴了
[17:45] 英国央行态度很明显
[17:47] 9比0一致维持3.75%的利益不变
[17:50] 但是态度明显
[17:51] 很快的把中东战争
[17:54] 所带来的通膨风险
[17:56] 纳入到未来的升息
[17:57] 基本情境当中
[17:58] 基本上英国央行
[18:00] 因为已经开始压住
[18:03] 今年会有升息两次的计划
[18:05] 不排除第三次
[18:06] 英国公债殖利率
[18:07] 已经大幅的上升
[18:08] 英镑的走强
[18:09] 代表的是英国已经反映完
[18:11] 现在的利率上行模式
[18:13] 有些央行看起来
[18:15] 已经重新进入到扩张格局了
[18:17] 这个压力就有点大
[18:18] 因为英国的确这几年
[18:20] 通膨压力相对于欧洲
[18:22] 还是比较大的
[18:23] 张图表示我们看到
[18:24] 英国的第二轮的通膨效果
[18:26] 最一开始是外部冲击
[18:27] 就是能源战争把CPI退高
[18:30] 但是大家比较紧张的是
[18:32] 英国内部薪资也就是灰色线
[18:34] 有一点开始拐头上弯的味道
[18:36] 就变成内生性的通膨压力
[18:38] 你可以看到英国在疫情之后
[18:40] 特别是乌鲁战事以后
[18:41] 通膨一度接近到10%
[18:43] 薪资也明显上扬
[18:44] 所以英国首相这几年一直换
[18:46] 因为通膨实在太强了
[18:48] 这一次企业成本的上升
[18:49] 转嫁价格
[18:50] 劳工要求更高的薪资
[18:52] 所以的确形成一整条的通膨传导链
[18:55] 那现在担心的就是
[18:56] 如果商品通膨又重新传回到服务通膨
[18:59] 压力就很大了
[19:00] 日本央行的部分
[19:01] 按兵不动
[19:02] 但是很阴
[19:03] 预估4月份很快就要升息了
[19:05] 它的利率虽然维持在0.75%
[19:07] 可是日本的通膨结构
[19:09] 第一日元走落还是推高了进口成本
[19:12] 能源价格的上涨
[19:13] 进一步加剧了通膨压力
[19:15] 另外一方面
[19:16] 企业通膨预期和薪资成长开始回温
[19:19] 所以日盈看起来不管怎么样
[19:21] 都有理由继续升息
[19:22] 这几个央行
[19:23] 我肯定百分之百
[19:24] 4月份应该会升息的
[19:25] 应该是日央了
[19:26] 那其他央行就要看一下
[19:28] 英国是最为严重的
[19:29] 欧洲有可能后来跟上
[19:31] 联准会是目前反而通膨控制
[19:33] 还表现不错的
[19:34] 当然了
[19:35] 日本政府以及日央的动作
[19:37] 他还是有一定的财政货币宽松
[19:39] 所形成的压力
[19:40] 日央的紧缩很大程度来自
[19:43] 高市的财政刺激有关
[19:45] 我们知道在昨天
[19:46] 高市宣布一项规模400亿美元的
[19:49] 核能合作计划
[19:50] 来跟美国做合作
[19:51] 这一次跟通用电器
[19:53] 在美国天纳西州
[19:55] 和阿拉巴马州建立新一代的小型模组化核反应炉
[19:58] 这个就是高市政策的重大能源转向
[20:01] 不只是在核能扩大领域
[20:03] 同时间也加强跟川普的合作
[20:05] 接近有投了400亿美元
[20:07] 这资金量其实也不小
[20:09] 甚至在昨天谈话的过程当中
[20:12] 因为之前高市在国会受质询的时候
[20:14] 人家也问他说
[20:15] 川普这次发动空袭
[20:16] 你不是跟他很要好吗
[20:18] 他怎么没有提前通知你
[20:20] 那高市说
[20:21] 那我等到白宫再来跟他了解一下
[20:24] 或者说我到时候到白宫采访访问
[20:28] 我再问他为什么没有提前告诉我
[20:30] 那当然这次就有记者问了
[20:32] 说你怎么没有提前先告诉高市女士呢
[20:35] 那当然川普就反呛
[20:36] 说这个我们当然做行动之前
[20:39] 不能够透露太多的风声
[20:41] 毕竟这个日本人是最了解这件事情的
[20:44] 当年的珍珠港他们也是保密到家
[20:47] 我们看看说法
[20:54] 我們很努力的進入
[20:56] 我們沒有告訴任何人
[20:58] 因為我們想驚喜
[21:00] 誰比日本更驚喜
[21:03] 為什麼你沒有告訴我
[21:05] 關於珀斯坡
[21:07] 對嗎
[21:09] 他問我
[21:11] 你相信驚喜
[21:13] 我認為你比我們更信任
[21:15] 我們有驚喜
[21:18] 我們有
[21:19] 因為驚喜
[21:21] 这个日本首相也很困扰
[21:26] 到底是要跟大家一起笑呢
[21:29] 还是要正经为作呢
[21:31] 很难抉择
[21:32] 不过川普讲的也有道理
[21:33] 刚才我们看到的是各大央行的看法
[21:36] 最后要看一下台湾央行的变化了
[21:38] 我们知道台湾央行最新一季的
[21:40] 李监事会议
[21:41] 维持政策利率不变
[21:42] 重贴限率维持在2%
[21:44] 担保放款融通利率是2.375%
[21:47] 短期融通利率4.25%
[21:49] 这已经是连续第八次未调升利率了
[21:52] 那当然我们主要观察的几大重点
[21:54] 是第一央行当前按兵不动的政策盘算
[21:57] 一方面是通膨目前来看
[21:59] 台湾通膨并不高
[22:00] 大概在1.5%上下震荡
[22:02] 第二台湾的经济正在被大幅的上修
[22:06] 也就代表着整体经济的强劲
[22:08] 基本上不让央行有太多宽松的空间
[22:11] 我们从经济基本面层面来看
[22:13] 2025年经济成长是8.68%
[22:15] 今年预估是7.28%
[22:17] 那还是很高
[22:18] 内需从2.32上升到3.96
[22:21] 民间消费也在成长
[22:24] 政府消费也在成长
[22:25] 少数下滑的大概就是民间投资
[22:28] 政府投资
[22:29] 公家部门的退却
[22:31] 整体而言还是由出口来带动进一步的拉升
[22:34] 那你说央行预估7.28
[22:36] 算过度乐观还是保守呢
[22:38] 那你要知道
[22:39] JP Morgan预估是8.6
[22:41] 美银是8%
[22:42] 野村是8%
[22:44] 摩根斯坦利
[22:46] 摩根斯坦利预估是4.8
[22:47] 那应该还没上修啊
[22:48] 从这些数据来看得出来
[22:50] 央行预估的数据啊
[22:52] 也没有说到特别离谱和极端
[22:54] 那这一次杨总裁也特别提到了
[22:56] 通膨还是温和
[22:57] 最大变数来自于中东
[22:59] 那现在台湾之所以通膨啊
[23:01] 看起来三月份四月份
[23:02] 也不会爆表一个根本原因啊
[23:04] 其实政府端已经采取动长了
[23:06] 大家会很明显感受到
[23:07] 那个汽油柴油价格虽然有涨
[23:09] 那怎么感觉
[23:10] 好像跟国外比起来有点落差
[23:13] 那个涨幅啊
[23:14] 这个政府已经吸收
[23:15] 60%的油价涨幅了
[23:17] 油价涨100块
[23:18] 60块政府吸收了
[23:20] 这个过去受到民意的制约
[23:22] 没办法
[23:22] 只好采取动长态势
[23:24] 那当然动长还是各位的钱
[23:26] 都是纳税人的钱
[23:27] 那货币政策方向不动
[23:29] 实质上其实是有点偏紧的
[23:31] 杨总才说货币政策
[23:33] 现在有点偏紧
[23:34] 其实很明确
[23:36] 就是因为我们不确定
[23:37] 暂时扩大到什么样的一个程度
[23:38] 所以我们想认现在经济还不错
[23:40] 我们先紧起来
[23:42] 就利率政策
[23:43] 我们不愿意做太多的放松
[23:44] 迟到中东暂时回稳之后
[23:46] 我们再看一下
[23:47] 要不要呼应
[23:48] 过去全球的降息路径
[23:49] 不过全球现在也稍微有点改变了
[23:51] 那最重要的当然就是
[23:52] 房地产市场政策
[23:54] 尽管部分管制开始进行微调
[23:56] 这一次我们很清楚看到
[23:59] 市场上把第二户贷款乘数
[24:01] 从五成提高到六成
[24:03] 央行信用管制的放宽
[24:04] 视为一个新一轮的
[24:06] 房市宽松政策的开始
[24:07] 杨总才已经提到了
[24:09] 现在的确有点类似软着陆的初期
[24:11] 但是某种程度而言
[24:13] 央行的目标也是慢慢降温
[24:15] 避免像中国市场一样
[24:17] 出现剧烈的崩跌硬着落
[24:19] 换句话说
[24:20] 央行的态度很明显
[24:21] 房价你也不用期望
[24:23] 可以跌到什么地步了
[24:24] 现在会初步的往宽松的方向来走
[24:27] 现在是开的第一枪
[24:28] 也很明显
[24:29] 因为2025年的满货一转动数
[24:31] 的确陷入到极缩
[24:33] 在这一次的全面压制
[24:35] 转向精准的控温
[24:36] 基本上从会议内容来看
[24:38] 杨总才有提到
[24:39] 内部其实有分歧的
[24:40] 这一次他也坦言
[24:42] 李建设会议有人支持
[24:43] 有人保留
[24:44] 甚至认为应该要顺应的其他政策
[24:46] 我们回顾过去一年
[24:47] 房地产市场政策
[24:48] 其实已经成功降温
[24:49] 无论是不动产的贷款集中度下滑
[24:52] 房贷的征数放缓
[24:53] 还是我们看到建筑贷款都已经停滞
[24:56] 这些数据都足以彰显着
[24:58] 央行的
[25:00] 你像不动产的贷款集中度
[25:01] 从原本的37.6
[25:03] 下滑到35.9
[25:04] 差不多已经回到疫情左右的水准了
[25:07] 从这些数据来看的话
[25:09] 基本上
[25:09] 某种程度是把过去被压抑很久的
[25:12] 换屋族和多屋族
[25:14] 并具备资金能力的族群
