[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 在這方面AI的熱度不減
[05:00] 通常主席走
[05:01] 就可以跟著走了
[05:02] 如果他堅持要留在聯總會里頭
[05:05] 他會留到2028年
[05:07] 到時候可能會讓白宮
[05:08] 在佈局下一任聯總會領導人的時候
[05:11] 增添各種變數
[05:12] 所以他會形成極大的壓力
[05:14] 當然
[05:15] 關鍵是
[05:16] 共和黨人
[05:17] 這一次算是出手黨路
[05:18] 因為這一次川普是讓DOJ
[05:22] 事實上DOJ也算是獨立部門
[05:24] 但是獨立部門
[05:26] 以大評審團的調查來對央行施壓之後
[05:29] 共和黨是公開反對
[05:31] 認為這很明顯是有白宮的施壓所造成結果
[05:34] 參議院的銀行委員會和共和黨的要角
[05:36] 他就率先表達
[05:38] 會全面阻擋白宮提名任何聯總會人選
[05:42] 直到這件事情釐清
[05:43] 我們要搞清楚這到底是政治施壓
[05:46] 還是它就是獨立性的問題
[05:48] 所以DOJ要調查
[05:49] 由於銀行委員會的席次相近
[05:51] 而且爭議性提名需要60票才能夠闖關
[05:54] 所以的確
[05:55] 共和黨目前所採取的動作
[05:57] 已經完全卡住了
[05:58] 川普接下來的央行調整人士
[06:01] 或者影響貨幣政策的空間
[06:03] 那白宮當然是否認說
[06:05] 這一次我們根本就沒有施壓
[06:06] 這個是司法部自己的調查
[06:09] 當然在這樣的一個效果底下
[06:10] 也足以彰顯的
[06:12] 這個共和黨內部
[06:13] 還是有部分的理性派
[06:14] 希望不要做得太張揚
[06:16] 那川普可能心裡原本想啊
[06:18] 所有單位都是我的人
[06:20] 你怎麼跟我鬥
[06:22] 哎
[06:22] 結果共和黨反水了
[06:23] 那我們後續要觀察
[06:25] 一方面啊
[06:26] 市場的利率預期
[06:27] 就會透露出川普是否在這一次的利率定價層面
[06:31] 獲得全面勝利
[06:32] 不過呢
[06:32] 我們從FedWatch來看
[06:34] 其實今年下半年真的就只有降息兩碼的空間
[06:37] 我們過去提過嘛
[06:39] 我們預估是比較樂觀一點的
[06:40] 應該到時候隨著通膨的下滑
[06:42] 預期可能會改善
[06:44] 不過呢
[06:44] 這件事情發酵以後
[06:46] 其實聯總會我們看到FedWatch利率預期的變動
[06:50] 大概就是六月份降一碼
[06:52] 十月份再降一碼
[06:53] 今年就結束了
[06:54] 蠻符合年初十FONC利率決策會議當時的點證圖跡象
[06:59] 那我們先細看一下當時鮑爾是如何回應的
[07:02] 來了解說鮑爾目前的態度
[07:16] 中文字幕志願者 楊棟樑我會做到我所擔當的工作,
[07:58] 這次應該沒有放錯影片
[08:07] 這次是正確的
[08:09] 但你想想看
[08:10] 查完之後
[08:11] 其實鮑爾也都已經卸任了
[08:13] 那一方面有卸任說
[08:14] 這是做給下一任看的
[08:16] 另外一方面就說
[08:17] 那也許鮑爾的確有牽扯出一些問題
[08:20] 不過我們從Polymarket市場賭盤來看
[08:22] 剛才從FateWatch是觀察
[08:24] 市場的利率預期是否因此而產生變動
[08:27] 川普是否成功的施壓
[08:29] 看起來大家預期變動幅度並不大
[08:31] 那第二大方面
[08:32] 是我們看Polymarking
[08:33] 目前的實質預估值
[08:35] 來把它定調成
[08:36] 當前到底鮑爾是否有在
[08:39] 6月30號之前
[08:41] 被正式起訴的可能性
[08:43] 不過現在看起來
[08:44] 整體預期不是特別高
[08:45] 大概只有12%左右
[08:47] 那當然我們剛才提到
[08:49] 所以川普看起來
[08:50] 只是採取適度的施壓
[08:52] 看看有沒有機會
[08:53] 把降息預期開始有所提前
[08:55] 畢竟從當前來看
[08:57] 我自己是不太相信的
[08:58] 因為聯準會的所有的利率政策
[09:01] 你說判斷有沒有可能失真
[09:03] 太早降或者太晚降息
[09:06] 的確都是有機會的
[09:07] 可是第一聯準會到現在為止
[09:10] 仍然是共識局
[09:11] 他不是聽聯準會主席一個人的話
[09:13] 鮑爾的責任是負責凝聚共識
[09:16] 第二是用這種裝修問題來查他
[09:20] 那也有點low
[09:21] 你說像之前那個Lisa Cook
[09:24] 那樣有房屋個人詐欺問題
[09:26] 去調查他
[09:27] 或者說你抓到鮑爾
[09:30] 採菲倫收錢
[09:32] 那種很明顯的
[09:34] 就是有圖利罪的問題
[09:35] 但是你說是因為聯準會內部的
[09:38] 這種裝修問題
[09:39] 去年其實這個問題就已經炒過了
[09:42] 所以我後來仔細觀察了
[09:44] 其實整件事情
[09:46] 一定程度的施壓以後
[09:48] 所有的利率預期反映
[09:49] 它頂多就造成黃金買盤的升高
[09:52] 但是整體利率預期
[09:53] 並沒有因此而失控
[09:55] 所以我是不太相信
[09:57] 當然我們就後續等調查出爐
[09:59] 跟著喊
[10:00] 鮑爾清清白白
[10:03] 不要亂喊
[10:04] 但是鮑爾近期受到各大官員的施壓
[10:07] 的確到目前為止
[10:08] 整體聯準會內部的共識仍然處於共識局
[10:12] 這在過去是很明顯的
[10:13] 原因就在於
[10:14] 我們看到在前幾次的FOMC利率點證圖當中
[10:18] 其實都已經看得出來
[10:19] 內部的共識非常脫節
[10:21] 鮑爾也沒有凝聚
[10:23] 甚至鮑爾是象棋派
[10:24] 鮑爾在多次投票當中都選擇降息
[10:27] 他只是降息幅度不像米蘭這麼大
[10:29] 我們根據1979年到2025年
[10:32] 聯準會個人主席任內的FOMC
[10:34] 投票的意義情況可以看得出來
[10:37] 沃克和格林斯潘時期
[10:39] 他的那個意義就是有不同意見
[10:41] 相對比較頻繁
[10:42] 沃克時期是最高的
[10:44] 每個月會4到5票的反對
[10:45] 格林斯潘到波南克時期
[10:48] 就稍微開始降下來了
[10:49] 結果本來鮑爾的任期
[10:52] 在他的四分之五的任期當中
[10:54] 其實都還算是平穩
[10:55] 但是最後幾次的點陣圖
[10:58] 利率預期就快速的放大
[11:00] 2026年的共識預期就越差越多了
[11:03] 所以聯總會現在是多空相爭
[11:05] 根本就沒有想要跟白宮對著幹的意思
[11:08] 因為聯總會內部的共識
[11:09] 現在是越來越難凝聚而成了
[11:12] 我們以12月份那次的降息來看
[11:14] 出現了三方分裂
[11:15] 有人是支援小幅度的降息
[11:18] 像是芝加哥聯總會的古斯比
[11:20] 和堪薩斯的施密德
[11:21] 有人是主張更大的幅度寬鬆
[11:24] 像是川普派的米蘭
[11:26] 也有人認為應該按兵不動
[11:28] 不過在這之前不久
[11:30] 你要知道聯總會的理事
[11:31] 就算大家對於點證圖的預期
[11:33] 有極大差別
[11:34] 還是有集體共識投票的
[11:36] 就是我們雖然對於
[11:38] 未來的利率預期有差別
[11:39] 可是我們這一次
[11:40] 總要讓人家知道
[11:42] 我們是團結的一面
[11:43] 我們就先降一碼
[11:44] 先以多數決為例
[11:46] 不會說故意
[11:48] 明明這次只降一碼
[11:49] 你還故意給他投一個
[11:50] 我要降其次嗎
[11:51] 那很明顯你無法達成共識
[11:53] 結果這種理事層級的意見的脫鉤
[11:56] 已經形成1990年代末期以來的最大高點
[12:00] 所以現在聯總會其實仍然在寬鬆之路
[12:03] 只是寬鬆條件沒有想象中如預期來的大
[12:06] 聯總會之前我們看到
[12:07] 12月12號就已經開始買進了短期美國公債
[12:11] 一口氣每個月買了400億美元
[12:14] 那按照川普的說法
[12:15] 如果美國經濟現在的確不錯
[12:17] 事實上按照GDP也不錯
[12:19] 然後股價又在高位
[12:21] 風險資產都在高位
[12:22] 連金價銀價銅價都在高位
[12:25] 那其實現在有大降息的空間嗎
[12:27] 好像也沒有
[12:28] 所以在這樣的一個效果底下
[12:30] 整體而言
[12:31] 市場看起來從利率定價
[12:33] 更加相信
[12:34] 現在聯總會的獨立性
[12:37] 也許沒有想象中
[12:38] 受到衝擊來得這麼大
[12:39] 甚至連共和黨內部
[12:41] 都要嘗試的維護住
[12:42] 聯總會原本具有的獨立性
[12:44] 事實上如果我們再細看
[12:46] 德銀所製作的圖表
[12:47] 現在聯總會的政策利率
[12:49] 已經站在多數政策規則的建議區間的下緣
[12:53] 就是藍色線是實質的聯邦基準利率目標
[12:58] 那淺藍色區塊是不同政策規則
[13:00] 比如說你用各種泰勒法則的變形
[13:03] 所推算出的合理的利率範圍
[13:05] 可以看到每逢景氣轉折
[13:07] 像01年08年20年
[13:10] 實際利率都會短暫大幅低於規則區間
[13:13] 但隨著經濟修復
[13:14] 利率通常會被拉回到區間內
[13:16] 那放到現在情況剛好相反
[13:19] 通膨仍然還是比預估目標值高一點
[13:22] 財政刺激今年4月份就要開始了
[13:24] 政策利率已經接近甚至貼近規則的下緣了
[13:27] 這代表著其實聯總會能夠再降的接觸空間是有限的
[13:31] 我們要等的是通膨進一步的降溫
[13:34] 而不是說現在急著降下去
[13:36] 但是我們相信下半年還是有可能降息預期提高
[13:40] 而不是因為市場的施壓
[13:41] 是因為通膨逐步即將達標了
[13:44] 所以我們要後續觀察
[13:46] 那如果下半年通膨要降溫
[13:47] 一個是油價不能漲
[13:49] 那川普正在儘可能的確保
[13:51] 油價沒有任何上漲的空間
[13:52] 那是第二部分
[13:53] 金屬價格在瘋狂上漲
[13:55] 我們看銅價在26年開年
[13:57] 就已經創下史高
[13:58] 現在要第二次挑戰史高
[14:00] 每噸衝高到13000美元以上
[14:04] 背後關鍵當然不只是需求好了
[14:06] 是因為貨都不在市場上
[14:08] 川普這一次有可能重啟
[14:10] 針對金鍊銅的關稅評估
[14:11] 因為他有鏈銅屁嘛
[14:13] 希望大量的銅庫存
[14:14] 提前被搬運到美國
[14:16] 卡在當地的庫存
[14:18] 結果原本要扮演緩衝角色的全球庫存
[14:21] 現在就瞬間失靈了
[14:23] 全球大缺貨
[14:24] 因為美國把貨給扣下來了
[14:26] 另外一方面是白銀
[14:27] 白銀的部分每盎司也突破了80美元
[14:30] 創下歷史新高
[14:31] 市場出現一個很具有代表性的畫面
[14:34] 就是全球現在不只是針對金條金式的購買
[14:38] 連銀式銀條都開始有囤貨的跡象
[14:42] 那這樣的一個市場效果就造成
[14:44] 即便最近有貴金屬成分的調控
[14:47] 全職的調整
[14:48] 不過呢
[14:49] 整體而言
[14:50] 全球的供給是完全追不上市場的需求囤貨效果
[14:54] 好
[14:54] 這第一大方面
[14:55] 也就是川普政府白宮針對聯準會獨立性
[14:59] 採取的適度施壓
[15:00] 不過看起來效果並沒有特別大
[15:02] 市場看起來還是很淡然
[15:04] 覺得共和黨內部會先嚐試的去抑制住川普那第二大方面就是川普針對企業界的施壓川普這一次在昨天就點名了埃克森美孚揚言有可能會封殺他投資委內瑞拉未來的成果
[15:19] 原因很簡單
[15:20] 因為我已經幫你進行軍事力量的介入了
[15:23] 可是當時的公司執行長埃克森美孚是直接表示
[15:27] 按照目前的法律和商業環境
[15:29] 委內瑞拉根本無法投資
[15:31] 那現在根據金融時報報道
[15:32] 川普對於當面說這句話
[15:34] 非常非常的不滿
[15:36] 甚至私底下向媒體表示
[15:37] 非常不喜歡艾克森美孚的態度
[15:39] 認為對方太會耍聰明
[15:42] 因此傾向
[15:43] 那我就把你排除在名單之外
[15:45] 未來呢
[15:46] 如果你想要讓我在監管上予以誘因的話
[15:49] 那我可能更為偏好雪佛龍
[15:51] 而並不是艾克森美孚
[15:52] 這也使得企業和白宮之間的張力浮上臺面
[15:55] 後來看起來雪佛龍不說話是對的
[15:57] 另外一方面是軍工股
[15:59] 我們知道這一次被川普點名之後
[16:02] 軍工股被川普要求
[16:04] 要儘可能的減少
[16:05] 接下來的庫存回購
[16:07] 你不要做股票回購以後
[16:09] 你才有機會
[16:10] 能夠做適度的量產
[16:11] 但是我們也很清楚知道
[16:13] 全美的股票
[16:14] 尤其是大型科技股
[16:15] 都在做股票回購
[16:17] 為什麼呢
[16:17] 股票回購一方面
[16:19] 可以讓員工認列股權
[16:21] 那員工的薪資提高了
[16:22] 就更有競爭力了
[16:23] 就可以嘗試的維持領先
[16:25] 這是一種邏輯
[16:26] 因為全美都在做
[16:27] 過去幾年的慣性是如此
[16:28] 那一旦這樣子選擇以後
[16:30] 那到底這些軍工業是否還能夠擁有持續性的這種
[16:35] 對於員工能力的掌握呢
[16:37] 第一大挑戰
[16:38] 那第二大挑戰
[16:39] 你像是雷神啊等等這些軍工股啊
[16:42] 現在大部分都不接求
[16:43] 全部噤聲
[16:44] 為什麼呢
[16:45] 因為已經從艾克森美孚學到例子了
[16:48] 就最好先不要當面反駁川普
[16:51] 我們再看看事後有什麼樣的一個方式
[16:53] 能夠緩解這樣的一個壓力
[16:55] 這是我們看到第二層
[16:57] 那第三層當然就是針對海外企業
[16:59] 對於美國利益的投放
[17:01] 我們這一次勘察到
[17:02] 盧特尼克前兩天
[17:04] 當時在Owing Podcast當中
[17:05] 其實就有提到
[17:06] 臺積電和美方所簽訂的合約當中
[17:09] 包含多達20頁的DEI條款
[17:12] 要求聘用身心障礙承包商
[17:14] 跨性別或者女同志工程師等等
[17:17] 要在金元廠設定拖曳中心
[17:19] 他就質疑
[17:20] 臺灣的工程體系
[17:21] 清一色都是男性
[17:22] 無論性別或者性傾向
[17:23] 都已經不符合DEI的要求
[17:26] 所以要求美方用這樣的一個條款
[17:28] 然後對臺積電施壓
[17:30] 結果最終獲得了
[17:31] 1650億美元的投資回饋
[17:33] 那這種講
[17:34] 你會覺得在胡說八道
[17:36] 為什麼
[17:36] 因為如果從臺積電的
[17:38] 永續報告書來看的話
[17:39] 臺積電女性員工很多
[17:41] 臺積電是女性的主管
[17:42] 沒有比例這麼高
[17:43] 大概只有一成左右
[17:45] 可是臺積電的女性員工
[17:47] 這幾年是有點下滑
[17:48] 可是還是在30%到40%左右
[17:51] 之所以下滑是因為
[17:52] 主要是這幾年招募的員工實在太多
[17:55] 還來不及進行調控
[17:56] 所以其實從工程師
[17:59] 或者說整個公司體制環境
[18:01] 這個男女比
[18:02] 比清大交大友善多了好不好
[18:05] 對不對
[18:06] 清交男女比
[18:07] 那個都嘛是8比2 9比1的
[18:09] 所以在這樣的一個效果底下
[18:11] 這個等同於
[18:12] 盧特尼克也釋放了
[18:13] 美方針對海外企業的施壓手段
[18:15] 那我們要了解
[18:16] 這也是美方目前的態度
[18:26] 100% tariff, how about that?
[18:28] And then the guy says, okay, I'll build in America.
[18:30] So what we did is, we said to TSMC,
[18:32] Look, you signed the contract, there's 20 pages of DEI stuff in it.
[18:37] You need to hire a blind contractor,
[18:40] trans, lesbian engineers, I'm not kidding by the way.
[18:44] So think about the Taiwan Semiconductor Manufacturing Corporation.
[18:47] How many lithography engineers does Taiwan have that are female,
[18:53] 除非他們的性格選擇
[18:56] 他們從來沒有有女性
[18:58] 他們都是男生
[18:59] 所以我說
[18:59] 你在抵制
[19:00] 每個人都覺得
[19:01] 一個共和黨
[19:01] 就把那些東西撕掉
[19:02] 不是這個共和黨
[19:03] 這個共和黨
[19:04] 就寫了合同
[19:05] 你不建立
[19:09] 一個日程中心
[19:09] 在你洗衣房中
[19:11] 你寫了合同
[19:13] 所以你在抵制
[19:14] 好嗎
[19:14] 那要怎麼辦
[19:14] 要不要加100億
[19:16] 我們同意
[19:17] 所以我感覺更好
[19:18] 然後你要計算
[19:19] D.E.I.的要求
[19:20] 當然
[19:20] 建立100億
[19:22] 我們可以把那些東西弄掉
[19:23] 沒問題
[19:24] 他明明可以直接勒索
[19:26] 還是硬要找了一個條款來要錢
[19:29] 但盧特尼克的話
[19:31] 其實也就聽聽就好
[19:32] 雖然他說他不是開玩笑
[19:34] 但這個人一直以來都很北七
[19:35] 所以本來就講話就有點浮誇
[19:38] 事實上他要搞你
[19:39] 就算沒有DEI
[19:40] 他也可以指控你BNI沒過關
[19:43] 對不對
[19:43] 他們整體國策利潤
[19:46] 就是要廢除DEI
[19:47] 結果DEI還被當成
[19:49] 對海外企業施壓的一種手段
[19:51] 真的是抱不平
[19:52] 但至少股價因為後續的反應
[19:55] 形成新一輪的轉捩鏈
[19:57] 我們看到海外企業到美國設廠
[19:59] 美國設廠所需要的需求建制潮
[20:01] 又重新延伸到海外訂單
[20:03] 就變成了即便關稅戰還在打
[20:06] 即便美國的製造業還在迴流
[20:07] 但流動性增加了
[20:09] 其實海外的訂單也沒有減少
[20:11] 你說這種政策上的演變
[20:13] 在經濟學要如何解釋
[20:14] 我們後續有機會再來做更進一步追蹤
[20:16] 但的確現在在美國各地
[20:19] 很多沙漠城市
[20:20] 逐步都變成了
[20:21] 矽谷級的半導體重症
[20:23] 以亞利桑那州立大學來看
[20:26] 現在是全美最大的工程學院
[20:28] 工程學生是超過3.27萬人
[20:31] 單一年度的畢業工程師
[20:33] 是超過7400人
[20:35] 直接跟當地的晶片
[20:36] 和高科技產業書寫
[20:38] 當地也不只是有臺積電
[20:40] 包括恩智浦
[20:41] 或者默克
[20:42] 英特爾都在當地
[20:44] 已經吸引了超過2000億美元的
[20:46] 半導體相關投資
[20:47] 根據推算
[20:49] 每一個半導體工作
[20:50] 會帶動其他產業的五倍就業
[20:52] 從整個鳳凰城都會區
[20:54] 往製造研發物流到服務業
[20:56] 同步都被推上了成長軌道
[20:59] 當地的經濟開始顯著的爆發
[21:02] 那當然這樣的一個效果
[21:03] 就會使得人才荒仍然存在
[21:05] 因為學生就是這麼少
[21:07] 所以從原本的博士生
[21:09] 搶到碩士生
[21:09] 現在聽說連大一新生
[21:12] 都已經開始招募了
[21:13] 那德州也是如此
[21:14] 我們看現在環球金偽創
[21:16] 不管是臺達電合碩
[21:18] 光寶 人寶 鴻海
[21:20] 設廠地點都在德州
[21:21] 尤其是奧斯頓 休斯頓
[21:23] 亞利桑那和艾爾帕索也有蠻多的
[21:26] 不過大部分都是先建廠後放量
[21:28] 所以當地都迎來了
[21:30] 應該是當地有史以來
[21:32] 最大規模的基礎建設的建制潮
[21:35] 這直接導致了
[21:36] 全球的AI各種產品都在缺貨
[21:38] 最近缺最多的是記憶體
[21:40] AI基礎建設的大爆發
[21:42] 不管是NED或者DRAM
[21:44] 還是傳統硬碟
[21:46] 都被AI伺服器大量的吃掉
[21:48] 導致現在PC手機
[21:49] 反而其他終端拿不到貨
[21:51] 大摩就表示說
[21:52] 現在記憶體正處於
[21:53] 世代級的供需錯配
[21:55] 漲價上漲
[21:56] 直接反映在財報身上
[21:58] 美光創下營收和營業利益的新高
[22:01] 但是我們過去提過
[22:02] 這原因很簡單
[22:03] 因為記憶體廠商
[22:04] 被迴圈傷過太多次了
[22:07] 2023年還記得記憶體怎麼樣嗎
[22:09] 所有大廠都賠錢
[22:10] 那現在呢
[22:11] 輝達AND不斷的拉高
[22:13] 單類GPU的記憶體用量
[22:16] 現在的雲端巨頭支出
[22:18] 已經調高到4070億美元
[22:20] 2026年還要燒5000億
[22:22] 那很多廠商怎麼樣
[22:23] 那就刻意的壓低供給
[22:25] 你說他故意的嗎
[22:26] 不一定
[22:27] 再來講他擴產也可以賺越多
[22:29] 問題就在於
[22:30] 我怕再被你上一次
[22:32] 我怕我擴產完了你不缺了
[22:34] 我怕算力過剩
[22:35] 所以像Sandisk的資本支出
[22:37] 它就遠遠低於營收成長
[22:39] 就變成了大家都在大賺錢可是沒有人願意擴廠因為以防再被你們上一遍我總不知道AI是不是一定不是泡沫所以我現在要對我的股東負責
[22:49] 因為我之前曾經被衝擊過
[22:51] 但不管如何
[22:52] 它形成全世界AI相關產品的漲價潮
[22:56] 在種種效果底下
[22:57] 臺積電股價一直到現在為止
[22:59] 仍然持續創下歷史新高
[23:01] 甚至我們觀察到
[23:03] 這一次國安基金的退場
[23:04] 臺美關稅的談定以後
[23:06] 是否針對臺股的權重回補
[23:08] 有機會放大
[23:09] 是我們值得觀察的重點
[23:10] 這次紐約時報
[23:12] 引述三名知情人士
[23:14] 到底是臺籍人士
[23:15] 還是美籍人士
[23:16] 美籍人士不確定
[23:17] 但是川普政府
[23:18] 似乎即將跟臺灣達成貿易協議
[23:21] 雖然我們講了大半年
[23:22] 不過這次看起來就有機會
[23:23] 因為是紐約時報的圖家
[23:24] 這一項已經談判數月的協議
[23:27] 正在進行法律層面的最終稽核
[23:29] 協議內容是把
[23:30] 美國對臺灣的關稅稅率降到15%
[23:33] 同時在半逃底層面進行關稅的豁免
[23:36] 當然這個時候
[23:38] 國安基金的退場
[23:39] 就值得我們關注了
[23:40] 因為國安基金之所以
[23:41] 當時進場
[23:42] 就是因為了關稅戰的原因
[23:44] 那你說怎麼會互到
[23:46] 兩萬七兩萬八兩萬九
[23:47] 互到三萬點呢
[23:48] 因為臺美關稅談判還沒結束
[23:50] 他也沒有說這一次
[23:52] 是因為臺美關稅談判結束
[23:53] 所以停止互盤
[23:54] 可是停止互盤的那一刻
[23:56] 市場就開始進一步的預期
[23:58] 是不是關稅談判協議要出來了
[24:01] 這一次的互盤天數很長
[24:03] 279天
[24:04] 但是是史上最長
[24:06] 而且投報率高達52%
[24:08] 表現其實算是不錯
[24:09] 因為如果是從家庭指數來看
[24:12] 漲幅大概是65%左右
[24:14] 你說他只投報率52%
[24:17] 那就代表其他他購買的全資股
[24:19] 稍微做了一些拖累
[24:21] 但是整體績效
[24:23] 國安基金這次
[24:24] 我們還是可以講說
[24:25] 算是高割離席
[24:27] 還是說功成身退
[24:29] 這樣子一算
[24:30] 我跟國安基金也差不多
[24:32] 兩個人平均一個人賺三十幾億
[24:35] 所以的確大家都享受到了本人的榮景
[24:37] 事實上我們回過頭看
[24:39] 國安基金在歷次進場的統計表
[24:41] 會發現從2000年的政權首次的輪替
[24:45] 到核四停建
[24:46] 到319槍截案
[24:47] 到金融海嘯
[24:48] 歐債危機
[24:49] 疫情暴力的升級迴圈
[24:51] 每一次的進場
[24:52] 除了2000年那一次
[24:54] 應該講2004年319那一次
[24:57] 大部分的時間點
[24:58] 基本上都可以在短期內見到低點
[25:02] 後續開始有進一步的寬鬆空間
[25:04] 事實上2000年衝擊也蠻大的
[25:06] 主要還是取決於當下是不是全面性的系統性破滅
[25:10] 如果只是外部性衝擊
[25:12] 通常國安基金進場的時候
[25:13] 的確就已經處於極端的相對低點了
[25:17] 在這樣的一個效果底下
[25:18] 就使得市場上有進一步的預期
[25:20] 那是不是代表著退場以後
[25:22] 國安基金的退場代表著股市的高階期重新到來呢
[25:26] 不過我覺得反而反映的更多是
[25:28] 那他總有一天要退場嘛
[25:30] 他不挑現在
[25:31] 難道要挑4萬點的時候退場嗎
[25:33] 對不對
[25:34] 也很尷尬
[25:34] 好我們最後看一下
[25:36] 沒有股市市大指數表現
[25:37] 事實上股票市場
[25:38] 是不為剛才我們所提到的
[25:40] 川普對聯總會的施壓
[25:42] 川普針對軍工股的施壓
[25:45] 川普針對油氣股的施壓
[25:47] 還是盧特尼克
[25:48] 針對臺積電的施壓
[25:50] 這些事情都沒有影響到
[25:52] 最終股票市場的風險情緒
[25:54] 原因很簡單
[25:55] 事實上大家已經把
