[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 有進一步的揚升
[05:04] 盧特尼克說
[05:05] 只要臺灣的半導體產業
[05:07] 繼續承諾在美國建廠
[05:09] 而且獲得商務部的許可
[05:10] 基本上還是有機會
[05:12] 持續放寬更多的半導體產品的
[05:14] 但確定的事情是
[05:15] 未來幾年你要一直過來
[05:17] 最終達到40%的產能在美國
[05:20] 我們看一下他的說法
[05:21] to build in America
[05:23] they can bring in
[05:25] their semiconductors
[05:27] during the time
[05:29] that they're building in America
[05:30] without a tariff
[05:31] that is special for them
[05:33] right
[05:34] they can build here
[05:35] if we
[05:35] at the Department of Commerce
[05:37] if we approve their plan
[05:39] they can then bring in
[05:41] semiconductors
[05:42] of two and a half times that amount
[05:44] so if they build a million
[05:46] let's say wafers
[05:47] they can bring in
[05:48] two and a half million wafers
[05:50] while they're building
[05:51] 所以目的就是把臺灣整個供應鏈的產生量
[05:59] 全國地產進入美國
[06:02] 而這裡是目標
[06:03] 在川普總統的任期中
[06:06] 這是現在的火炎
[06:10] 我們要破壞地面
[06:12] 我們要建造這裡
[06:13] 這些人都決心
[06:15] 想要建造全面的工業
[06:18] 現在就在美國
[06:20] 樣子真的很討人厭
[06:24] 每一次看都會想要巴他一下
[06:26] 不過我們還是看得出來
[06:27] 這一次的談判
[06:28] 至少在臺灣談判團隊層面
[06:31] 達到了一個非常良好的條件
[06:33] 那就是果然真的是等半導體關稅一公佈
[06:35] 隔天我們看臺灣的關稅就出來了
[06:38] 因為昨天是半導體的第一波
[06:40] 25%的關稅正式出爐
[06:41] 隨後我們看到最惠國待遇底下
[06:44] 二三個條款所克正的關稅
[06:46] 臺灣就能夠予以豁免
[06:47] 所以現在是談判節奏算是不錯的
[06:50] 從GDP比值來看
[06:51] 2500億也不少
[06:52] 按照我們的GDP
[06:54] 但我們有臺積電
[06:55] 有幫忙cover的可能性
[06:57] 所以這個時候就回過頭來看一下
[06:59] 臺積電在第四季法說的重點解析
[07:01] 這一次在1月15號的法人說明會當中
[07:04] 其實整體數字
[07:05] 任何數字都創下新高
[07:07] 單季合併營收
[07:08] 新臺幣一兆460億元
[07:10] 不論是季增還是年增幅都相當亮麗
[07:13] 稅後存益超過5000億元
[07:15] 每股存益是19.5塊
[07:17] 這獲利能力
[07:18] 不管是以美元計價
[07:19] 臺幣計價表現都非常不錯
[07:21] 尤其第四季毛利率已經拉到62.3%
[07:24] 營業利率54%
[07:26] 那管理層也指出
[07:27] 毛利率表現優於預期主要有三個因素
[07:29] 一個呢是實際匯率條件其實不錯
[07:32] 第二個是產能利用率遠遠高於臺積電內部的預設
[07:35] 第三呢是製造成本持續改善
[07:38] 那背後的核心動能當然是AI相關需求的強勁
[07:41] 所以從種種資料來做觀察
[07:43] 會發現目前由於AI最需要的
[07:46] 也並不是最頂尖的2奈米技術
[07:49] 畢竟做機櫃
[07:50] 做伺服器
[07:51] 你有體積容量
[07:53] 也沒有那麼大的一個限制
[07:55] 像iPhone一樣
[07:55] 所以目前主要是
[07:56] 3奈米在第四季的營收
[07:58] 以非常驚人的速度飆升
[08:00] 來到28%左右
[08:01] 比前一個季度明顯成長
[08:03] 5奈米的部分是35%
[08:05] 所以先進製程營收
[08:07] 還是一個主軸
[08:08] 7奈米以下的先進製程的比重
[08:11] 的確有在拉高
[08:12] 但是在這樣效果底下
[08:14] 也足以說明著
[08:15] 臺積電的持續擴敞
[08:17] 或者產能利用率
[08:18] 肯定會做一些適度的調整
[08:20] 可能有一些本來沒受惠的成熟製程
[08:24] 反而在本輪可以受到顯著的拉抬
[08:27] 原因在於臺積電必須先做更值錢的包括跟世界先進的關係等等如果我們以應用面來做觀察HPC也就是高階運算已經是最大來源輝達已經正式取代蘋果
[08:39] 成為臺積電的最大客戶
[08:40] 已經有十幾年的時間
[08:42] 蘋果一直都是臺積電最大客戶
[08:44] 那就是我們講的消費性電子迴圈
[08:46] 對於臺積電的拉抬有多大
[08:48] 手機賣的好不好
[08:49] 跟臺積電業績是有非常大的關聯的
[08:52] 不過呢
[08:52] 本輪的財報財策
[08:54] 其實資料出來之後
[08:56] 我們已經很清楚知道
[08:57] 其實AI好不好
[08:59] 臺積電才會好
[09:00] 那AI好
[09:01] 就算手機不好
[09:02] 看起來臺積電的獲利也不會太差
[09:04] 因為AI已經成為了臺積電最重大的客戶
[09:07] 如果我們從明確指引來看
[09:09] 公司預估在今年一季度
[09:11] 營收會大概落在346億到358億美元之間
[09:15] 季增幅4%
[09:16] 年增幅到今年一季度都還有四成
[09:19] 去年都已經成長這麼快了
[09:21] 現在還是以40%的速度往上跑
[09:23] 而且以匯率假設一美元對31.6
[09:27] 毛利率預估本季度還會衝高到63到65
[09:30] 又往上拉抬
[09:31] 所以加上AI的訂單的能見度
[09:34] 已經拉長到兩年到三年
[09:36] 第一季營收不僅會創新高
[09:38] 整體獲利結構又進一步最佳化的機會
[09:41] 在這樣效果底下
[09:42] 我們就要繼續往下看
[09:44] 那就是當前臺積電的動能
[09:46] 是如何現在成長成高成長的品質公司
[09:49] 因為臺積電市值體量其實很大
[09:52] 正常我們對於這種公司的體量的市值提升
[09:55] 過往的想象都是那些軟體股
[09:57] 那種邊際效應可以無限遞增的
[10:00] 因為你賣一個軟體
[10:01] 你也不用付出相關性的成本
[10:03] 這不像是傳統的補習班
[10:05] 傳統的補習班
[10:06] 可能你每要多一個學生
[10:08] 你就每多一個座位的成本
[10:10] 或者像機票
[10:12] 像航空公司
[10:13] 你要每多載一個人
[10:14] 那你就多載一個人的位置的成本
[10:16] 但是軟體商他可以無限制的不斷的賣出
[10:20] 他的獲利能力就會拉長
[10:21] 那臺積電作為一個重資本投資工廠
[10:24] 結果還是能夠成為高成長公司
[10:27] 根本原因其實我們看
[10:29] 主要出現在23年到20年
[10:31] 其實20年以後
[10:32] 主要是半導體的拉貨槽
[10:34] 屬於供給鏈的短缺所帶動的
[10:36] 可是20年開始
[10:37] 幾乎呈現線性放大
[10:39] 主要就是AI帶動的結構性需求
[10:42] 以前根本就沒有AI伺服器的需求
[10:44] 但是現在基礎建設到處全球
[10:47] 不管是中東歐洲亞洲美國都在建制
[10:50] 營業利益甚至衝高到50%以上
[10:53] 淨利率來到40%左右的區間
[10:55] 這些資料都呈現著
[10:56] 高強度的資本支出
[10:58] 和海外擴產的同時
[11:00] 獲利能力不但沒有被稀釋
[11:02] 反而因為先進製程
[11:03] 和先進封裝的佔比提升
[11:05] 再度的高速擴張
[11:06] 所以AI就是本輪臺積電
[11:08] 擴張的催化劑
[11:09] 其實如果我們細看
[11:11] 從去年應該講前年的二季度
[11:13] 臺積電的市佔率
[11:14] 大概全球65%
[11:16] 過去幾個季度越來越大
[11:18] 到66到69
[11:19] 到71%
[11:21] 在本季度已經來到72%
[11:23] 那搞不好明年又擴張
[11:25] 所以為什麼要趕快切進
[11:26] 在先進封裝製程領域的持續拉抬
[11:29] 讓大家意識到說我們在做這一塊
[11:32] 再做下去
[11:33] 很快人家都指控你反壟斷的問題了
[11:36] 臺積電市佔率實在是太大了
[11:38] 那AI的不退潮
[11:39] 也導致營收成長目標
[11:41] 現在持續拉開到接近有三成左右
[11:43] 大家最為關注的就是
[11:45] 那竟然如此
[11:46] 包括臺美談判關稅的事出
[11:48] 都意味著臺積電會擴大在美國的擴產
[11:51] 那麼本次法說會最關注的
[11:53] 就是資本支出的上修
[11:54] 2026年的資本支出預估會521到561
[11:57] 這是高於所有投行的預測
[11:59] 也比前一年成長還要超過三成
[12:02] 那我們過去提過
[12:03] 我們過往的預測
[12:04] 應該是資本支出不太可能超過營收成長
[12:06] 很好理解
[12:07] 因為你已經跟對手逐步拉開距離了
[12:10] 你投的那麼急幹嘛呢
[12:11] 你現在談個穩穩的發展
[12:14] 有時候發發鼓勵
[12:15] 股民還更開心
[12:16] 所以按照這樣的一個效果
[12:17] 其實也就意味著
[12:18] 不管是受到政治壓力
[12:20] 還是臺積電本身在美國
[12:22] 都有進一步再度擴散的可能性
[12:24] 紐約時報之前是講五座
[12:26] 可是商務部長這次並沒有提到
[12:28] 可是未來幾年
[12:29] 如果按照剛才盧特尼克的目標
[12:31] 不要講事實
[12:32] 20%的臺積電的產能
[12:35] 那也要再多建好幾個廠
[12:37] 是在這樣的一個效果底下
[12:39] 資本支出的上揚
[12:40] 成為市場上
[12:41] 有進一輪的共識的解讀
[12:43] 很多人會覺得資本支出上揚
[12:45] 那會不會反而犧牲到一些利潤
[12:48] 不過市場上看起來
[12:50] 完全相信臺積電花越多賺越多
[12:53] Buy more save more
[12:54] 臺積電正在進入一個高資本支出
[12:57] 但是不失控的新階段
[12:58] 其實從21年到22年當時爆衝以後
[13:01] 你發現臺積電當時的資本支出年增幅
[13:03] 就在慢慢的掉下來
[13:04] 那為什麼要掉下來
[13:05] 一方面是23年有庫存調整的問題
[13:08] 另外一方面是23年以後
[13:10] 基本上已經完全跟Intel和三星拉開距離
[13:12] 它就不用趕著要在資本研發上
[13:15] 全面性的壓制
[13:16] 它只要確保自己的產能
[13:18] 足夠大足夠便宜
[13:19] 就可以把三星跟Intel給壓下去
[13:21] 但現在新一輪的資本支出的上升週期
[13:25] 如果也重新開始的話
[13:27] 就代表著又超乎預期的市場
[13:30] 有進一步的想象空間
[13:31] 包括艾斯摩爾在昨天臺積電
[13:33] 大幅砸錢擴散底下
[13:34] 昨天市值也占上了5000億美元的大關
[13:37] 其實這一波對於裝置股的帶動
[13:40] 讓大家有新一波的想象空間
[13:42] 裝置股其實過去兩年
[13:44] 雖然股價也創高了
[13:46] 但從業績來看
[13:47] 從財色來看
[13:48] 艾斯摩爾每一次的財報出來
[13:50] 都很保守
[13:51] 都認為這個買的人不是很多
[13:53] 尤其中國廠商
[13:54] 現在訂單都不斷在流失
[13:55] 因為有法令的關係
[13:57] 結果臺積電這一次
[13:58] 是儘可能的把裝置股的
[14:00] 投資預期擴充套件到最大
[14:02] 那現在呢
[14:03] 兩奈米的製程預估
[14:05] 在26年就會進入到
[14:06] 大規模量產的爬坡階段
[14:08] 這就取決於今年的i18
[14:10] 賣的好不好了
[14:11] 主要是蘋果
[14:12] 高通等手機晶片的設計商
[14:14] 預估會逐步把新時代的產品
[14:16] 轉移到2奈米平臺
[14:18] 那另外一方面
[14:19] AI晶片則是進入到3奈米
[14:21] 比如說輝達現在的Rubin
[14:22] 或者超維的MI350
[14:24] 以及Google的TPUV7
[14:26] 都會採用臺積電3奈米的製程來量產
[14:29] 所以我們只要確保
[14:30] 這些廠商的資本支出沒有下滑
[14:32] 那臺積電的資本支出也不會下滑
[14:35] 臺積電的營收也不會下滑
[14:37] 在這樣效果底下
[14:38] 如果我們細看
[14:39] 它的競爭對手們
[14:40] 雖然目前硬要講說
[14:42] 市產能力勉強都可以進入到2奈米
[14:45] 不過三星現在
[14:46] 以及Intel所主打的是8L
[14:48] 表面上來看都是後3奈米時代
[14:51] 實際差距看起來還是很明顯
[14:53] 三星和Intel最新節點
[14:55] 還是低於每平方毫米2.5億顆
[14:58] 甚至不及臺積電上一代N3P的2.94億顆
[15:01] 也就代表著三星和Intel
[15:03] 目前的量產的良率仍然非常非常低
[15:06] 實際出貨都是以自家晶片為主
[15:09] 外部客戶的承接能力和穩定度
[15:12] 跟臺積電有非常明顯落差
[15:14] 那如果是三奈米就落後了
[15:16] 那臺積電至少保持
[15:17] 一到兩個世代的源源領先
[15:19] 甚至不用講說
[15:20] 就算其他製程
[15:22] 臺積電的產能一樣非常大
[15:23] 所以以產業角度來看的話
[15:25] 也不說競爭者完全沒有機會
[15:27] 你像是Google Gemini
[15:29] 或者GBT的實際表現
[15:30] 模型能力並不只取決於
[15:32] 單一製程或者純算力
[15:34] 如果Intel和三星賣便宜一點
[15:36] 那我也可以用多一點
[15:38] 然後嘗試的在效能上來拉開距離
[15:41] 可是我們也知道
[15:42] 臺積電現在的優勢
[15:43] 已經不只是技術領先了
[15:45] 是由於技術的領先
[15:46] 賣的比你還便宜
[15:48] 因為我能夠量產
[15:49] 我的成本壓得夠低
[15:51] 而且甚至還有一些配套
[15:53] 比如說買二奈米搭配三奈米
[15:55] 三奈米搭配五奈米
[15:56] 種種效果底下
[15:58] 就造成了臺積電整體領先
[16:00] 可能已經拉長到
[16:01] 接近三年到五年以上
[16:03] 那當然在這一次的記者會層面
[16:05] 魏哲嘉也遭受到很多的問題
[16:07] 首先很多記者問他
[16:09] AI需求會不會是泡沫
[16:10] 半導體收集能夠走多遠
[16:12] 那總裁魏哲嘉則是提到
[16:14] 公司很嚴肅看待這個問題
[16:16] 所以他經常打電話問客戶
[16:18] 反覆的跟客戶
[16:19] 這個需求是否屬實
[16:21] 你不會到時候砍單吧
[16:22] 那他現在已經確認
[16:23] 雲端服務商已經能夠確實展現
[16:26] AI如何實際改善業務模式
[16:28] 和財務模式
[16:29] 所以他相信AI並不是泡沫
[16:30] 事實上如果我們從
[16:32] 當前AI股的股票拉昇
[16:34] 拿來跟AI的EPS
[16:36] 從股票拉昇幅度來看
[16:37] 基本上還算是穩穩的向上
[16:39] 也就代表著
[16:40] 你說臺積電業績好
[16:41] 那很正常嘛
[16:42] 因為賣產值的
[16:43] 可是就算雲端巨頭們
[16:44] 你不要看他們AI還沒有營收
[16:46] 可是他們手上現金很多啊
[16:48] 他們賺的廣告費
[16:49] 賺的電商費就是這麼多啊
[16:51] 本來就該投進去啊
[16:53] 他只是一個由於手上現金過多
[16:55] 所做的資本投入而已
[16:56] 並沒有顯著的泡沫失控的風險
[16:58] 那第二個角度啊是人家問他說為何客戶願意升級到兩耐裡面呢那現在市場上兩耐米其實價格電競體成本不斷在上升而且高速低功耗所帶來的整體效益
[17:11] 它的成本怎麼會讓大多數的手機廠商
[17:14] 還願意做使用呢
[17:15] 那基本上兩個看法
[17:17] 一方面是最頂尖的手機
[17:19] 還是會來跟臺積電來做合作
[17:21] 所以兩耐米的製程必須要做推進
[17:23] 那第二個是Coworks產能底下
[17:25] 輝達把兩耐米以後的產能
[17:27] 幾乎完全吃光
[17:28] 一個人就吃下了半壁江山
[17:31] 從24年到26年
[17:32] 揮達佔比
[17:33] 你不要看說
[17:34] 這個佔比幅度
[17:36] 好像稍微緩步下滑
[17:37] 從52到51
[17:39] 可是相對於博通的16
[17:41] 亞馬遜的12
[17:42] 超為的7.7%
[17:44] 那本質一個人
[17:45] 他就吃下了臺積電在Coworks
[17:47] 產能一半的訂單
[17:48] 這件事情也就導致了整個臺廠
[17:51] 包括GB200 GB300
[17:52] 整體出貨的路徑有多麼明確
[17:55] AI伺服器成為ODM的成長主要引擎
[17:58] 事實上去年的GB300
[17:59] 是帶動臺灣電子五哥ODN廠
[18:02] 能夠有顯著獲利拉伸的根本原因
[18:05] 在這樣效果底下
[18:06] 最後形成一個瓶頸
[18:08] 那就是大家也問魏哲嘉先生
[18:10] 那你會不會擔心電力瓶頸的問題呢
[18:13] 的確魏哲嘉先生表示是相當務實
[18:16] 但他也認為
[18:18] 的確臺灣的電力供應產能在擴充套件底下
[18:20] 遲早要面對這樣的問題
[18:22] 但美國市場的部分
[18:23] 大型客戶在五六年以前
[18:25] 已經開始為電力和冷卻等基礎建設提前規劃
[18:29] 那目前呢
[18:30] 真正的限制還是晶片本身
[18:32] 也就是說對他來講
[18:33] 遲早我們會遇到缺電的問題
[18:35] 不過現在看起來更缺的是晶片
[18:37] 而並不是電
[18:38] 那等到晶片供貨上之後
[18:41] 我們就會遇到電的問題
[18:42] 那當然終端客戶啊
[18:44] 他們要自己處理電
[18:45] 因為他們消耗的電比我們工廠還多
[18:48] 為什麼呢
[18:48] 因為他們的資料中心要運算嘛
[18:50] 他是把這個問題啊
[18:51] 重新推回到他的客戶手上
[18:53] 事實上我們也知道
[18:54] Meta在最近已經大幅砸下核能研發方案
[18:59] AI資料中心也正式走向核電時代
[19:01] 主要是在Ohio
[19:03] 核電廠已經成構了大量的電力
[19:06] 並且預估在今年下半年
[19:09] 就會有兩座反應爐的推進
[19:10] 主要是做小型核電
[19:12] 而且預付資金給Oklahoma
[19:13] 所以確保這種核燃料供應
[19:16] 並且啟動在Ohio的初期專案
[19:18] 其實它是奠定了基礎
[19:20] 大部分接下來的資料中心
[19:22] 在美國都會有相關的
[19:25] 這種合作計劃來出爐
[19:27] 所以對於AI而言
[19:28] 電力問題有兩種
[19:30] 一個是臺積電自己需要用的電
[19:31] 那當然跟臺灣政府來做配合
[19:33] 另外一方面
[19:34] 美國要用的電
[19:35] 那臺積電用的還不多
[19:36] 美國要用的電
[19:37] 主要是資料中心本人的問題
[19:40] 不過這件事情
[19:41] 其實也就說明
[19:41] 本輪我們看到
[19:43] 臺積電在財報財政上
[19:44] 表現出如此亮麗的表現
[19:46] 根本的不確定性
[19:48] 也只剩下一個
[19:49] 那就是政治因素而已
[19:50] 其實美國企業走到2026年
[19:52] 大家都發現一個殘酷的事實
[19:54] 就是在川普的白宮裡頭
[19:56] 市場規則還在
[19:57] 但總統變成了一個變數
[19:59] 他可以一天說要喊信用卡利率
[20:01] 上限變10%
[20:02] 華爾街就很緊張
[20:03] 他也可以要求能源業
[20:05] 要去重建委內瑞拉的油氣系統
[20:07] 他也可以放任司法部
[20:09] 對聯總會主席的鮑爾調查
[20:10] 所以根據彭博報道
[20:12] 現在很多少數CEO開始反擊
[20:14] 都沒有好下場
[20:14] 比如摩根大通喊話
[20:16] 然後結果就被川普唸了一頓
[20:19] XM美服的CEO
[20:20] 當時也說
[20:21] Venera不能投資吧
[20:22] 結果被總統反嗆
[20:24] 以後我要監管放鬆
[20:25] 你就不在名單了
[20:26] 所以每家企業都在算一筆心臟
[20:29] 要不要表忠
[20:30] 表太多會不會傷品牌
[20:32] 會不會傷到股價
[20:33] 不表會不會又被點名被開到
[20:35] 那這一份生存手冊的核心
[20:37] 就變成了怎麼不翻車
[20:39] 川普很喜歡打電話
[20:41] 他喜歡被說服
[20:42] 很吃那種簡報的視覺化
[20:44] 重點是他能不能把你說的話
[20:46] 翻成就業投資
[20:47] 讓美國更強
[20:48] 你就知道為什麼黃仁勳
[20:50] 這麼對他胃口了
[20:51] 所以企業把越複雜的問題
[20:53] 講成他聽懂的一句話
[20:55] 成功率就越高
[20:56] 所以他有點類似政治工程
[20:57] 建立後門管道
[20:58] 找到白宮的幕僚長
[21:00] 或者財政部長
[21:00] 商務部長
[21:01] 這類關係門神
[21:03] 然後你就把你的slogan
[21:05] 遞給他
[21:06] 他再傳上去
[21:07] 川普也許就願意接受了
[21:09] 所以很多公司
[21:10] 最後選擇不吵架路線
[21:11] 被罵就低調吞下去
[21:13] 避免被第二次點名
[21:14] 之前像可口可樂
[21:15] 或者部分藥廠
[21:17] 之前就直接在電視上
[21:19] 宣佈投資
[21:19] 呼應川普希望拿到的
[21:21] 所以最後會發現在川普的華府
[21:23] 一切都是交易
[21:24] 你想拿到什麼
[21:25] 你要先有可以交換的籌碼
[21:27] 但問題也在於規則隨時會變
[21:29] 所以有時候是拿鉛筆在旁邊寫
[21:32] 旁邊要放一個橡皮擦
[21:34] 也許明天考題就變了
[21:35] 但這件事情對投資人來講
[21:38] 它的概念是什麼呢
[21:39] 叫做政治事件的金融化
[21:41] 就為什麼會有Taco交易
[21:42] 就是大家會認為
[21:43] 不管新聞多驚悚
[21:45] 最後往往落地的都是有限衝擊
[21:47] 因為川普還是要的是
[21:49] 美國的根本利益以及選票
[21:51] 第二個是不確定性的可分配化
[21:53] 每一次有人被點名
[21:54] 通常都有人會受賄
[21:56] 有人會獲得特權
[21:57] 有人會獲得減稅
[21:58] 所以你看到一個產業
[22:01] 中間落馬
[22:01] 必定有另外一個產業
[22:03] 有進一步的輪動空間
[22:04] 投資人就有信心了
[22:06] 這只是一個資產的重分配
[22:08] 第三個叫市場心理的反省性
[22:10] 這我們過去提過
[22:10] 投資人在評估事件的時候
[22:12] 他就不是看風險
[22:14] 他不是看自己的風險
[22:16] 他看別人會不會怕
[22:17] 當大家都假裝鎮定
[22:19] 那我先行撤退的人
[22:20] 反而就冒著可能會錯失行情的風險
[22:23] 所以就變成了市場上
[22:25] 重點不在於這件事情是不是利空
[22:27] 在於這個利空有沒有導致你下車
[22:30] 你下車了我才跟著下車
[22:31] 你不下車我幹嘛下車呢
[22:32] 這就是我們觀察到的真實跡象
[22:35] 好不管怎麼說
[22:35] 臺積電這一次的財報法說
[22:37] 其實表現非常非常精彩
[22:39] 那整體投資的規劃
[22:40] 搭配著臺美談判的出爐
[22:42] 其實都奠定著臺美的貿易關係
[22:45] 進入到了一個新的夥伴
[22:47] 新的一個長期展望
[22:48] 當然美方的要求不會停止
[22:51] 畢竟距離他的目標
[22:52] 看起來還有一段距離
[22:53] 但他也進而帶動了
[22:55] 臺灣內部的薪資大漲
[22:56] 我們昨天提到
[22:57] 臺灣薪資已經創下
[22:58] 本世紀以來的最大漲幅
[23:00] 主基礎所公佈的資料
[23:02] 年增幅超過3%
[23:03] 這是26年來的同期新高
[23:05] 現在還在臺灣的薪資層面
[23:07] 非主管的員工薪資
[23:09] 在上市櫃公司前十名
[23:11] 第一名是聯發科
[23:12] 平均薪資非主管343萬
[23:15] 瑞玉324萬
[23:16] 達發304萬
[23:18] 聯永286萬
[23:19] 臺積電264萬
[23:20] 瑞鼎261萬
[23:22] 創業255萬
[23:23] 這種高薪資的一個分配
[23:26] 導致內部的經濟
[23:27] 至少被部分人給拖住了
[23:29] 包括25年年中
[23:31] 半導體如果從平均來看
[23:32] 最高的還是半導體
[23:35] 1.98個月
[23:36] 我們再看看最近公佈的尾牙卡時
[23:38] 你像廣達的部分邀請
[23:40] 肖敬騰戴愛玲宇宙人
[23:42] 世界先進邀請的是
[23:44] 郭靖 範益成
[23:45] 華碩邀請動力火車和Elim
[23:47] 美光邀請911和告五人
[23:50] 嘉士達邀請林又嘉 高爾軒
[23:52] 音樂達有肖建騰 高爾軒
[23:54] 那其他我們看到合作
[23:56] 合作蠻多
[23:57] 有動力火車 肖黃奇和李多慧
[23:59] 那個火車好像很多案子
[24:02] 而且合作四個
[24:05] 李多慧好像最近很紅
[24:07] 粉絲很多
[24:08] 看起來合作賺的也很多
[24:10] 東京威力科創找告五人
[24:12] 懂邀請
[24:13] 那揮達的部分是找黃仁勳
[24:16] 黃仁勳算什麼Cars
[24:17] 黃仁勳很特別
[24:19] 不過也不因為
[24:20] 揮達到處都有公司
[24:22] 他還願意來臺灣的喂牙
[24:24] 從這件事情就看得出來
[24:25] 賺的多少
[24:27] 對不對
[24:27] 這個邀請藝人也不手軟
[24:29] 所以我們講說臺灣的半導體產業
[24:31] 它不僅僅是一個經濟部門
[24:33] 而是發展出一個
[24:34] 完整功能的半導體社會
[24:36] 這個圈層
[24:37] 它現在有自己的宗教價值觀
