[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不过肺瓣不强
[11:04] 4月4万点
[11:05] 5月5万点
[11:06] 年底就12万
[11:07] 好像有点离谱
[11:09] 可是你会发现
[11:10] 内资这种拥挤交易
[11:12] 它越来越不害怕
[11:13] 什么叫拥挤交易
[11:14] 过去几个月大家有没有发现
[11:16] 美股也是一样
[11:17] 今天大家炒7巨头
[11:19] 巨头资金流入量就特别高
[11:21] 炒完巨头之后
[11:23] 记忆体突然资金流入量就特别高
[11:25] 然后觉得白银黄金不错
[11:27] 白银黄金创新高
[11:28] 资金又开始拥挤了
[11:30] 到费办现在流入量创价率新高
[11:32] 那过去
[11:33] 那很多散户可能高一点
[11:35] 被套一次就算了
[11:36] 不玩了
[11:37] 但这次越套气势越强
[11:39] 套牢了就是长期投资
[11:40] 营要充输要输
[11:41] 跟他拼了
[11:42] 现在越来越有
[11:44] 这种拥挤交易的思维
[11:45] 往往一个资产价格的创高
[11:48] 它形成的结果
[11:49] 并不是大家等着要去狙击
[11:51] 而是我有没有能力
[11:53] 能够参与行情
[11:54] 那至少
[11:55] 我们现在看外资的动作
[11:56] 也不能说
[11:57] 它是抱持着卖超角度
[11:59] 而是当前行情仍然由内资主导
[12:01] 那外资呢
[12:02] 要看一下回补意愿高不高
[12:04] 新台币最近开始跟随着台股
[12:06] 同步走强
[12:07] 一度突破了31.4块
[12:09] 这等同于两个月以来的新高了
[12:12] 所以股会双涨逻辑啊
[12:14] 某种程度啊
[12:14] 会暗示着
[12:15] 外资开始有资金流入的机会存在
[12:18] 尤其台股的内生动力啊
[12:20] 当然就是景气
[12:21] 景气好
[12:22] 外汇收入进来
[12:23] 才有机会能够让内资资金持续推升
[12:26] 我们根据国发会最新的公布
[12:28] 3月份景气灯号
[12:29] 最新公布出来
[12:30] 虽然小幅下滑2分到39分
[12:32] 不过还是红灯
[12:33] 目前台湾景气
[12:35] 正在处于一个高度闯红灯区间
[12:38] 景气有一点高档动画的空间
[12:40] 这代表着整体内资资金
[12:43] 仍然有足够的底气来做支撑
[12:46] 台股这一波冲上4万点
[12:48] 高盛被迫又要开始进行目标价调升
[12:50] 整体EPS已经从当时1300块
[12:53] 提升到2200块以上
[12:55] 等于两年内几乎翻倍
[12:57] 连外资都追不上目前台股的位阶
[13:00] 所以必须承认
[13:01] 当前台股如果是从内资角度而言
[13:04] 它其实是健康的
[13:06] 因为外资没有回补
[13:06] 没有回补就代表它有推升空间
[13:08] 可是从机器而言
[13:10] MSCI台湾的PPB
[13:12] 国家净值比其实已经冲高到5.2倍了
[13:15] 这是历史的极端值
[13:16] 大概高了接近有四个标准差
[13:18] 不过你也要知道
[13:19] ROE也大概拉升到了20%以上
[13:22] 两个标准差
[13:23] 说明什么
[13:23] 说明现在内资愿意以极高的估值
[13:26] 去买高报酬的资本效率
[13:28] 简单来说就是
[13:30] 我们这几年
[13:31] 基期推高速度是真的蛮快的
[13:33] 其实硬要讲比美股还要来得快
[13:35] 可是我们的ROE的增长速度
[13:37] 已经突破了历史均值的两个标准差
[13:40] 就说明大家认为
[13:41] 你成长的速度
[13:43] 会超过你估值成长的速度
[13:45] 所以市场的资金反而不断的涌起
[13:47] 当然对于内资而言
[13:48] 好像也没想那么多
[13:49] 钱多了那就定期定额
[13:51] 这个才是根本的买盘原因
[13:52] 所以我们才讲说
[13:53] 这种买盘要断掉
[13:55] 一定要出口剧烈的下滑
[13:57] 也等同于AI要泡沫破灭
[13:59] 才有可能发生
[13:59] 要不然股市涨久以后
[14:01] 财富效应会带动内生经济开始跟上
[14:04] 我们过去讲过
[14:05] 你看当我辞掉寿司店学徒工作以后
[14:09] 财富效应就会放得越来越大
[14:12] 为什么
[14:12] 因为股市没有卖
[14:13] 你也愿意花钱
[14:14] 当股市上涨
[14:16] 很多人其实一张股票都没卖
[14:17] 可是生活已经渐渐升起了
[14:19] 原本账面上可能1000万
[14:23] 现在变1500万
[14:24] 变成2000万
[14:25] 那很多人想说
[14:26] 那是账面的数字
[14:27] 一亿变成两亿
[14:29] 一兆变成两兆
[14:31] 但是你心理上
[14:32] 即便你没有卖股票
[14:33] 你都觉得自己变有钱了
[14:34] 你开始敢多花一点钱
[14:36] 犒赏自己
[14:37] 比如说吃更好的餐厅
[14:39] 换新手机
[14:40] 但是你不用卖股票
[14:41] 为什么
[14:41] 你敢花钱了
[14:42] 你对于未来有信心了
[14:44] 因为你知道
[14:45] 今年你的年终会增长
[14:47] 你知道
[14:47] 你今年拿到的股利会增加
[14:49] 那我先消费吧
[14:51] 反正到时候钱就回来了
[14:52] 那这种行为啊
[14:53] 它就是股票市场的财富预期效应
[14:56] 预期变幅所带来的信心提升啊
[14:59] 人会把未实现的获利当成一种潜在资产
[15:02] 进而放松消费决策
[15:04] 让未来觉得有能力能够补回来
[15:06] 这个就是股票市场最为直接的财富外移效果
[15:08] 那看起来台湾的内生经济
[15:10] 有一点被股市给带动起来了
[15:13] 比如说平时吃阳春面
[15:15] 最多加一颗卤蛋
[15:17] 对不对
[15:18] 哎这股市长成这样
[15:19] 可不可以加两颗啊
[15:20] 薯条
[15:21] 小鼠跟中鼠以前都在选
[15:24] 现在直接上大鼠
[15:25] 吃布丁不舔钙
[15:27] 吃蛋卷不吃屑屑
[15:29] 卫生纸一次抽三张
[15:32] 发票不存载具
[15:34] 去夜市点切好的水果
[15:36] A片都看正版的
[15:38] 我跟你讲这种财富效应
[15:40] 一扩大以后
[15:41] 很多人的消费自然而然就扩大
[15:43] 所以大家还是要稍微抑制一下
[15:45] 要不然那股市跌回来
[15:46] 行情有时候难免会不好的时候
[15:48] 你发现你的消费已经无法收缩了
[15:51] 好 但不管怎么说
[15:52] 这种内生经济持续引领着
[15:54] 长年期的台湾的富豪人数
[15:56] 我们看最新金管会所公布的
[15:58] 台湾富豪人数目前处于暴增迹象
[16:01] 在三月底
[16:02] 已经有21家的银行业者
[16:04] 办理高资产管理业务
[16:06] 有6家正在快速的申请当中
[16:08] 整体客户数量是23000多人
[16:11] 年增幅72%资产管理规模是2.4兆年增幅是55%那银行积极抢攻加上政策推动雅致中心布局之下今年的AUM有可能会突破3兆
[16:24] 那从资产配置来看
[16:25] 大部分人现在都还是以存款为主
[16:27] 占比还是有42%
[16:29] 就说明了市场相信
[16:31] 只要这些人只要去继续节定存
[16:33] 投往股市
[16:35] 投往债市
[16:36] 投往保险业者
[16:37] 都容易让金融资产有进一步的创高可能性
[16:40] 其实如果我们从高资产管理客户
[16:42] 去年人还没这么多
[16:44] 今年是突然暴增了五成
[16:45] 一营有2000多人
[16:47] 中营有2000多人
[16:48] 这些是我们所说的
[16:49] 兆元俱乐部的
[16:51] 应该讲一元俱乐部的
[16:53] 高资产尽职的管理客户
[16:55] 这些人在这几年
[16:57] 不只是资产管理的增加
[16:58] 因为人数也增加了
[16:59] 我们可以大胆的去断言
[17:01] 这群人就是我们讲的爆发户
[17:03] 这样讲不好听
[17:04] 叫New Rich
[17:05] 科技新贵
[17:06] 新一波的资产阶级
[17:08] 正在涌入当中
[17:09] 当然在行情不同的
[17:12] 商品推波助澜底下
[17:14] 每年都会有不同的资金收割机
[17:16] 前几年有时候是
[17:18] 什么元宇宙ETF
[17:19] 5G ETF
[17:22] 然后变高股息ETF
[17:24] 因为发现每年都会有这样子ETF
[17:26] 看似稳定的资金收割机
[17:28] 那今年当然变成了主动型ETF
[17:31] 你说主动型ETF
[17:32] 跟过去的公募基金有什么区别
[17:35] 其实也没什么区别
[17:36] 它只是能够交易它的价格而已
[17:38] 这由市场的交易价格
[17:40] 来推波你的净值增长
[17:42] 大概就是如此
[17:42] 本质上我认为没什么区别
[17:44] 当然现在持有台积电权重最高的前三名
[17:48] 分别是主动野村台湾00985A
[17:51] 占比有29%
[17:52] 主动富华蔚来50是4.93%
[17:55] 以及主动第一金台股又00994
[17:58] 14.75%
[18:00] 整体而言
[18:00] 当然持有越多台积电
[18:02] 在本轮行情是适度的受惠
[18:04] 可是我们必须承认
[18:05] 由于今年台股行情是大好
[18:07] 主动型台股ETF普遍都跑赢了大盘
[18:11] 我们像994今年涨幅是65%
[18:13] 981是64%
[18:15] 992 62%
[18:16] 你会发现风水就是轮流转
[18:18] 那过去大家偏爱高股息的
[18:20] 有几年高股息还跑赢了全资型
[18:22] 结果大家都投资高股息
[18:24] 高股息后来被套牢以后
[18:25] 大家开始买全资型
[18:27] 全资型现在买了一年以后
[18:29] 发现实在太容易赚了
[18:31] 结果今年开始买主动型
[18:32] 行情就是这样子变来变去
[18:34] 你会发现大家口味越来越重
[18:37] 以前只要跟上大盘
[18:38] 现在要超越大盘
[18:40] 那可能一开始我们看到
[18:43] 对于金融业者来说
[18:44] 一开始以前是发行0050
[18:47] 是要抢银行的钱
[18:48] 抢受险的资金
[18:50] 后来开始抢高股息的资金
[18:52] 抢钱抢粮抢高股息
[18:55] 后来现在主动型ETF
[18:57] 开始抢全资型的资金
[18:58] 资金就是这样子
[18:59] 不断的轮动和变化
[19:01] 我记得当年是940
[19:04] 刚挂牌的时候
[19:05] 其实风潮也差不多
[19:07] 也是大量的资金涌入
[19:09] 资金好不容易突破十块
[19:10] 但是为什么当时获得市场上的青睐呢
[19:13] 940叫做元大台湾价值高行
[19:17] 有台湾价值
[19:18] 所以引起很多人的吹捧
[19:20] 当然我们必须了解说
[19:22] 你到底是处于什么样的信念和投资逻辑
[19:25] 这个时候产品的选择就特别重要了
[19:27] 要不要人云亦云呢
[19:29] 我们的看法比较明显
[19:30] 过去我们一直觉得要尊重自己的策略
[19:33] 事实上我们要了解
[19:34] 最近主动型ETF
[19:36] 推的速度越来越快
[19:37] 而且连公股行库的ETF
[19:39] 也越推越快的根本原因是什么
[19:41] 因为在抢市场
[19:42] 一方面这是市场的势头
[19:44] 你不推主动的
[19:45] 行情或者市场的油资
[19:47] 就被其他投信业者给吃掉
[19:49] 另外一方面
[19:50] 财政部所推动的公股投信四合一
[19:54] 现在六月即将要定案
[19:56] 这一次第一金
[19:57] 兆丰金
[19:59] 合库金
[20:00] 华南金
[20:00] 旗下的投信准备要合并了
[20:03] 那你要合并之前
[20:04] 当然要让自己的业绩
[20:06] 撑高到最大
[20:07] 到时候才有机会
[20:08] 能够扩张自己股权
[20:10] 能够成为
[20:11] 公股头信当中的领头羊
[20:13] 所以四家头信
[20:14] 现在就疯狂的发行ETF
[20:16] 大家在疯狂的赚钱
[20:18] 看未来能不能有机会
[20:20] 能够夺回一些市占率
[20:21] 或者让自己的原班人马
[20:23] 能够顺利的结位
[20:24] 所以我们看主动型ETF
[20:25] 如果细看今年的受益人数
[20:27] 基本是增长最快的
[20:29] 像992A 981A
[20:31] 这一类的产品
[20:32] 动辄都是数十万到
[20:33] 逼近数百万的投资人
[20:35] 目前正在快速的涌入当中
[20:37] 新成立的产品像994A
[20:39] 受益人数越增幅百分之百
[20:41] 这个资金流入速度
[20:43] 还有受益人数流入速度都特别快
[20:46] 所以这些事情
[20:47] 我会把它做一个宏观解读
[20:49] 它就是一个比较宏观的资金的收割现象
[20:53] 就我们总是要推出不同的产品
[20:55] 虽然从头到尾
[20:55] 可能股票也涨得差不多
[20:57] 但是最终要用新的方式来处理
[21:00] 我们到来的外汇资金的收益
[21:02] 钱就是越赚越多
[21:04] 那这些钱要如何瓜分
[21:06] 进行投资理财分配呢
[21:08] 大家都出招了
[21:09] 那当然很多人问
[21:10] 说浩哥你到底是主动还是被动
[21:13] 我们过去所提过
[21:14] 到底是主动还是被动
[21:16] 被动投资的指数型产品
[21:18] 是可以主动操作的
[21:20] 主动型ETF
[21:21] 你也可以被动扣款
[21:23] 所以这个取决于你的投资观念变化
[21:26] 那很多人说
[21:27] 那我到底是主动还是被动
[21:29] 那我讲过
[21:30] 我其实平常是蛮被动的
[21:32] 因为我比较闷骚
[21:33] 可是如果你把我的火给挑起来
[21:35] 那我其实也蛮主动的
[21:37] 而且都不能停
[21:38] 因为我能力很强
[21:39] 极其欲望
[21:40] 往往不能自拔
[21:42] 不是这个主动
[21:43] 我们过去提过
[21:45] 我们算是被动折股
[21:46] 主动折食
[21:47] 所以产品挑来挑去
[21:49] 那是QSOX
[21:51] 或者00608 0050
[21:54] 这一类的全职型ETF
[21:56] 被动折股
[21:57] 这是我们选择
[21:58] 让市值发挥它的效应
[21:59] 但主动折食
[22:01] 是我们愿意在市场上相对恐惧贪婪的时候
[22:04] 扩大自己的部位
[22:05] 直压甚至上杠杆
[22:07] 来确保自己绩效的放大
[22:09] 所以这些事情都是我们看到市场的蓬勃发展
[22:13] 可是回过源头来看
[22:14] 为什么接下来我们看到这种市场的蠢蠢欲动呢
[22:18] 因为背后一只幕后的手
[22:21] 他正在陆续的松绑台湾的法规
[22:23] 其实我们看金管会在本周又正式宣布
[22:26] 开放
[22:27] 因为之前是开放外资以美元领取鼓励
[22:30] 然后海外的持债可以进行抵押
[22:32] 到现在开始松绑ETF
[22:35] 投资单一公司的上限
[22:37] 到现在为止
[22:38] 甚至在本周正式宣布
[22:40] 雅兹中心本来在高雄已经事半一年了
[22:43] 政策正式进入到全台落地阶段
[22:46] 从7月份开始
[22:47] 会把成熟业务开放全国试用
[22:50] 市场普遍看好
[22:51] 接下来的家族办公室
[22:53] 境外的实务基金销售会优先放行
[22:55] 两类的业务会越来越明确
[22:57] 代表着海外资金的回流
[23:00] 可能为台湾资产形成进一步的推升
[23:02] 高雄专区
[23:03] 20家银行的进驻
[23:05] 资产已经超过3700亿了
[23:07] 那光是一个高雄试点
[23:08] 就这么庞大的资金
[23:09] 接下来进行法规全面性的松绑
[23:12] 台湾的油资不知道会增加多少
[23:14] 其实你会发现
[23:15] 金管会在过去一年
[23:17] 就已经推动了一条
[23:18] 叫做金融行动创新法规调试平台
[23:21] 升级到2.0版本
[23:22] 它的核心目标是什么呢
[23:24] 它的核心目标是成立一个部门
[23:26] 来确保法规松绑的速度更快
[23:29] 更准
[23:30] 那这个平台是由产官学共同参加
[23:32] 从银行保险证券期货科技创新
[23:36] 四大工作小组
[23:37] 目的就是唯一KPI
[23:39] KPI就是彭主委
[23:41] 他每个月会到这项平台当中
[23:44] 或者说这个部门去看
[23:46] 你们最近又解封了什么
[23:48] 你们最近又松绑了什么
[23:49] 重点在于松绑
[23:51] 而并不是进一步的监管
[23:52] 等同于金管会的重大转向
[23:55] 从过去的抓违规
[23:56] 现在变成帮市场去找机会
[23:59] 所以在主委彭金龙任内
[24:01] 第一次成立了金融市场发展创新处
[24:04] 这个单位的KPI
[24:05] 已经不再是为了查多少案
[24:07] 它是为市场去查询
[24:08] 现在松绑了多少的限制
[24:10] 过去我们都是对金管会的印象
[24:13] 都是踩刹车
[24:14] 现在变成踩油门了
[24:16] 其实我们过去有提过
[24:17] 金管会的步调
[24:19] 从两三年前就已经开始
[24:21] 现在逐步去收割成果了核心第一条就是金融松绑工程第一层就是商品和市场的开放你看现在的主动型ETF有没有放宽多资产ETF有没有放宽
[24:33] REITs它也放宽了
[24:35] 而且也引进了国际商品和跨境的挂牌机制
[24:38] 让台湾市场不会是只是本地的资产
[24:41] 它还能够连接全球
[24:42] 第二个是资金和制度的松绑
[24:44] 大家有没有发现
[24:45] 最近金管会扩大了投信操作的弹性
[24:49] 它也引导了境内外资金
[24:51] 交由专业机构管理
[24:52] 而且透过TISA制度
[24:54] 来吸引个人长期的资金涌入
[24:56] 再往上走
[24:57] 现在的家族办公室
[24:58] 私人银行
[24:59] 还有跨境资产的配置
[25:01] 全部都在松绑
[25:02] 最后一个就实体的专区
[25:04] 高雄资产管理区域
[25:06] 这一次一年事半以后
[25:08] 已经准备要推到全国了
[25:10] 所以现在就是资金要准备进来了
[25:12] 那你就看
[25:13] 金管会这一轮所做的改革
[25:15] 能不能迎向更进一步资金活水进来了
[25:19] 毕竟台湾现在油资
[25:21] 这么多大家也是有目共睹的
[25:23] 金管会的五件齐发
[25:24] 你会发现这几年所做的
[25:27] 细节改革非常非常多
[25:28] 以前金融业都是卖产品赚利差
[25:31] 但是现在的政策方向
[25:32] 把它变成一个能够支撑社会
[25:34] 和长期引擎的重要推升
[25:37] 现在五大主轴第一个叫权林教育
[25:39] 然后权林金融
[25:40] 第二个是信任金融第三个是
[25:42] 亚资中心第四个是国际资本市场
[25:44] 第五个是三轨金融
[25:46] 举几个例子来说你像是在
[25:48] 零股交易的部分这一次
[25:50] 持续推升升级态势
[25:52] 开盘时间即将和整股来进行同步
[25:54] 提前我们看到
[25:56] 2027年左右应该就会上架
