[00:00] 投资变化
[07:13] 这个硬体股稍微在高位震荡以后
[07:15] 软体股和科技巨头
[07:17] 目前就追上来了
[07:18] 尤其是回答
[07:19] 回答在昨天大涨了4.39%
[07:22] 美国说在235块
[07:24] 又创下历史新高了
[07:25] 这一次上涨幅度也非常惊人
[07:28] 路透也报道
[07:29] 美国商务部已经批准了
[07:30] 10家中国公司购买H200
[07:32] 那进一步点燃市场
[07:34] 针对AI需求的乐观情绪
[07:36] 川普甚至在这一次川习会的尾声
[07:39] 还邀请习近平夫妇
[07:41] 9月24号访问白宫
[07:44] 哇讯号来了
[07:45] 派对开到9月是吗
[07:47] 中美一家亲
[07:48] 股市一起涨
[07:49] 至少说明在9月份
[07:51] 他访问白宫以前
[07:53] 双方可能有进一步的冲突升温
[07:55] 现在也迎来一个问题
[07:57] 即便通膨问题也没有消失
[07:59] 伊朗战事就僵局在那边
[08:01] 其实这一些通膨的拉伸
[08:04] 他还是在侵蚀部分企业的利润
[08:06] 可是没有影响到科技巨头
[08:07] 我就不管了
[08:08] 美国股市进入了一个
[08:10] 没有人想要下车的阶段
[08:12] 正常来讲
[08:13] 乖离稍微拉高
[08:15] 这个估值稍微拉高
[08:17] 借贷量高到一定程度以后
[08:19] 银行开始信说
[08:20] 像台湾的部分
[08:21] 直接额度很多已经逼临紧绷了
[08:24] 甚至有券商把融资额度
[08:26] 从六成降到五成
[08:27] 这件事情都说明了
[08:28] 券商自己怕得要命
[08:30] 但是一旦收缩了
[08:31] 情绪大过于资金的收缩股市好像就继续涨下去好像永远没有尽头一样原本市场是靠AI资本支出的乐观预期财报或者说企业的财报文件中东油价危机没有失控
[08:44] 来推动市场的
[08:45] 进一步的自我强化循环
[08:47] 但是现在越来越像那种
[08:48] 因为我害怕
[08:50] FOMO
[08:51] 害怕错过AI行情
[08:53] 就被迫的买进科技股和选择前
[08:55] 那推高了高价格
[08:57] 高股价和波动率
[08:58] 那推高到一定程度以后
[09:00] 机构系统摊
[09:01] 大家就被迫
[09:02] 城市单一定要跟着买进
[09:04] 最后市场好像就预设
[09:06] 两件事情一定会发生
[09:08] 第一个就是
[09:08] 荷姆兹海峡再怎么严重
[09:10] 它都不会变成停滞性通膨
[09:11] 或者就算油价上涨了
[09:13] 反正我的股市涨赢油价
[09:14] 那就算了
[09:15] 有这种心态出现了
[09:16] 第二种就是
[09:17] AI的投资热潮
[09:18] 会持续转化成
[09:20] 企业的获利成长
[09:21] 好几个季度
[09:22] 它每个季度获利
[09:23] 就是比上一个季度
[09:24] 还来得更好
[09:25] 所以顶多
[09:26] 我就是从原本
[09:27] AI在投钱的
[09:28] 我觉得有点疑虑
[09:29] 那我先投卖产值的嘛
[09:31] 造成韩国股市台北股市
[09:33] 卖产值企业的显著拉伸
[09:35] 所以在这样效果底下
[09:36] 大量资金在场内
[09:38] 完全不愿意退场
[09:39] 甚至在寻求加码空间
[09:41] 所有人都被吸引进本轮的AI狂乐
[09:43] 当然现在如果仔细观察
[09:46] 部分风险指标
[09:47] 从RSI
[09:48] 从我们讲说
[09:50] 废办
[09:51] 整体涨幅脱离了过去的上行趋势线
[09:54] 更麻烦的是
[09:54] 这支市场的集中度
[09:56] 进入到历史极端
[09:57] 前天我们就提过了
[09:58] 标普白指数
[09:59] 现在创下历史新高了
[10:01] 可是现在股价正在创高的成分股
[10:03] 只占比12%
[10:05] 什么意思
[10:06] 大概60家公司
[10:07] 就是我们现在看到的500家公司里面
[10:10] 大概只有60到70家股价
[10:12] 正在创下历史新高
[10:14] 可是标普已经创高一阵子了
[10:15] 而且整个标普当中
[10:17] 还有接近5%的股票
[10:18] 正在创下历史新低
[10:20] 这种过去通常只有在1929年
[10:23] 1973年和1999年会出现
[10:25] 那种极端行情
[10:26] 惨得很惨
[10:27] 好得很好
[10:28] 而且都是大型股
[10:29] 那现在前十大权重股
[10:31] 已经占标普白指数40%的市值
[10:33] 不代表一定是崩盘前兆了
[10:35] 可是你也很明显感觉到
[10:37] 这种有少数股票的上行
[10:39] 等于是如果你平均设飞标
[10:41] 你是会跑出给大盘的
[10:42] 但是少数股票对于指数的拉抬
[10:45] 又重新涌现到那种巨头行情了
[10:48] 没有股市
[10:48] 现在最大的问题
[10:50] 我认为也不是不能保持在多头
[10:52] 是指数创高速度越快
[10:54] 可是越来越少股票在上涨了
[10:57] 刚才讲到
[10:58] 有5%的成分股
[10:59] 创下52周以来的新低
[11:01] 这说明其实已经有数十家企业
[11:05] 进入到衰退或者熊市状态了
[11:07] 然后这个是未来要调整的问题
[11:08] 但也许这个情况还会维持一阵子
[11:10] 那就是通膨已经对部分实业股
[11:14] 传单股造成伤害
[11:15] 可是他就是还没对AI形成伤害
[11:17] 因为AI仍然处于市场泡沫的扩张期
[11:21] 大家的想法可能跟我们已经变成一样
[11:24] 那就是只要AI算力不要过剩
[11:26] 那就永远不会泡沫泼灭
[11:27] 只要他永远见不完资料中心
[11:29] 那永远都不会泡沫扑灭
[11:30] 那现在又这么缺料
[11:31] 是他永远见不完
[11:32] 有这样一个感觉
[11:33] 先崩的是仓位
[11:35] 还是AI神话呢
[11:36] 看起来
[11:37] 市场上信心是十足的
[11:39] 我们当然回过头看
[11:40] 整个台股的迹象也是如此
[11:42] 现在台股的内法人
[11:44] 正在成型
[11:44] ETF的资金潮
[11:46] 正在重塑整个台股节奏
[11:48] 尤其主动型ETF
[11:49] 为台北股市
[11:50] 这一次形成
[11:51] 有点内法人的助力
[11:53] 过去撑盘的
[11:54] 通常就外资
[11:55] 投行和关股
[11:56] 但现在大量的散户资金
[11:57] 透过ETF的集中进场
[11:59] 形成庞大的被动买盘
[12:01] 和长线的资金池
[12:02] 主动型ETF
[12:03] 一年接近7000亿台币
[12:07] 今年甚至有机会挑战兆元规模
[12:09] 就变成全民共同基金化的现象
[12:12] 这些资金它不一定每天追价
[12:14] 但没事它就
[12:15] 没事每天它就稳定的定期流露
[12:18] 就是没事
[12:19] 它股价就会自然的推高
[12:21] 除非你去卖
[12:21] 所以除非你去特意的去卖
[12:23] 要不然这股价也很难跌
[12:25] 就变成那种典型的资金潮涌现迹象
[12:28] 台积电ADR都听说大涨5%
[12:30] 你想想看3月3万
[12:31] 4月4万
[12:33] 5月5万
[12:34] 年底就12万
[12:35] 有可能吗
[12:36] 再涨下去就要买下曼哈顿了
[12:39] 所以我们讲说
[12:39] 这个主动型ETF的狂潮出现以后
[12:42] 它的确吸引了新一波的
[12:45] 不能讲割韭菜
[12:46] 吸引新一波的资金的收割潮
[12:50] 就每年都会有推陈出新的这种产品
[12:52] 有时候高股息
[12:53] 有时候元宇宙
[12:54] 有时候电动车ETF
[12:56] 然后后来大家想说
[12:57] 回来买全职型
[12:58] 买全职型因为钱太少
[12:59] 又买台积电
[13:00] 买台积电就觉得
[13:01] 那我不如买主动型
[13:03] 不止可以分散风险
[13:04] 还可以跑赢台积电
[13:05] 所以我个人来看
[13:06] 还是要讲
[13:07] 大多数主动型基金
[13:09] 其实最后都会贴近于大盘
[13:10] 一个原因是因为
[13:11] 体量大到一定程度以后
[13:12] 他买的股票就有限了
[13:14] 最后跟伯克夏一样
[13:15] 他就只能买这几支
[13:17] 尤其是台股市场
[13:18] 所以最后他如果买的
[13:20] 就是全重大的这几支
[13:22] 那绩效贴近于大盘是很正常的
[13:24] 另外一个就几率问题
[13:26] 总会有人会超越绩效
[13:29] 超越大盘
[13:29] 但长期来说
[13:30] 大盘的形成
[13:31] 是市场主动投资
[13:33] 多重博弈的结果
[13:35] 所以它趋近于大盘也是正常的
[13:37] 因为大盘就是这些人
[13:38] 互相博弈的结果
[13:39] 所以你也不要抱太高的期待
[13:42] 它永远都会这样子跑赢大盘
[13:43] 我的个人看法是
[13:44] 比较类似于Beta值变大了
[13:46] 就是多投
[13:47] 可能比较积极选股的跑赢大盘
[13:50] 那空投当然就跑出大盘
[13:51] 这是一个正常的结象
[13:52] 所以我认为
[13:53] 大家也不要对于这些产品
[13:54] 有不切实际的想法
[13:56] 这些主动型基金
[13:57] 跟以前的公募基金
[13:58] 其实差不多
[13:59] 那为什么公募基金
[14:00] 最后转化成
[14:02] 被动式指数型投资
[14:03] 原因很简单
[14:04] 就市场的轮替
[14:05] 其实一直都存在
[14:06] 所以我觉得
[14:07] 不要抱太高期待
[14:08] 妈妈问儿子
[14:09] 以后你娶了老婆
[14:12] 会不会不要妈妈了
[14:14] 儿子很严肃的摇头
[14:16] 妈
[14:16] 你把我当成什么人了
[14:19] 我是那种
[14:20] 能娶到老婆的人吗
[14:22] 所以你不要抱太高期待了
[14:24] 当然了
[14:25] 这不代表说政策
[14:26] 做多性并没有存在
[14:28] 我们看金管会
[14:29] 在昨天正式宣布
[14:31] 开放全权委托代钞业者
[14:33] 在替专业机构
[14:35] 和高净值法人
[14:36] 操作衍生性商品的过程时
[14:38] 可以和同集团
[14:41] 可以和同一个集团
[14:43] 但碰到避险操作时
[14:44] 因为过去是这样子
[14:45] 我记得是
[14:46] 以前受险
[14:48] 券商在同一个集团
[14:50] 但碰到避险操作的时候
[14:52] 会因为利益冲突规定
[14:53] 他不能透过集团内的券商
[14:55] 操作衍生性商品
[14:56] 现在金管会是正式宣布开放
[14:59] 等于打通金控内部资金
[15:02] 投资和避险流程
[15:03] 所以未来你像国泰
[15:05] 富邦 中信 元大等大型金控
[15:07] 都能够完成整条的资金管理链条
[15:10] 从代钞到交易到避险
[15:12] 全部内循环
[15:13] 进一步降低成本和提升效率
[15:15] 这对于金控业也是一个非常大的力度
[15:18] 那种种消息底下
[15:19] 对于市场的提振效果
[15:21] 就开始逐步涌现了
[15:22] 这给投资朋友做一些参考了
[15:24] 那当然我们简单来讲就是
[15:25] 我们当然是很乐见这种股市行情
[15:28] 走成这样子
[15:29] 毕竟在三月份
[15:30] 我们算是比较标准的
[15:31] 对于外部性冲突抱持的乐观角度
[15:34] 但行情推到这样的一个位阶
[15:36] 你对每个月的行情都是这种态度
[15:39] 也是不切实际的
[15:40] 不可能每个月都这样上涨
[15:42] 当然这次我这样讲
[15:43] 搞不好真的每个月这样上
[15:44] 3月3万
[15:45] 4月4万
[15:46] 5月5万
[15:46] 一定要讲
[15:48] 当然也有可能
[15:48] 生产力大爆发
[15:50] 人类征服潘朵拉星球
[15:52] 这也是有可能的
[15:53] 生产力的爆发
[15:54] 可是回过头来说
[15:56] 这种行情和情绪
[15:58] 还有大家对于商品的借鉴
[15:59] 还是要有一个基本的认识
[16:00] 当然我们回过头说
[16:02] 大家最为关注
[16:03] 这次川习会的重点
[16:04] 讨论到台湾议题的时候
[16:06] 双方在开场致辞
[16:08] 其实这都并没有公开提到台湾
[16:10] 可是中国官媒
[16:11] 在会后所释出的内容显示
[16:14] 习近平私下对于川普强调
[16:16] 台湾问题是中美关系中最重要的问题
[16:19] 如果处理不好
[16:19] 两国可能会走向碰撞或者冲突
[16:22] 他也提到
[16:23] 再次将台独和台海和平对立起来
[16:25] 试图把台湾议题提升到
[16:27] 中美战略稳定核心的位置
[16:29] 两国元首同意加强双方
[16:32] 在经贸能源等领域上的合作
[16:35] 促进人文交流
[16:36] 两国元首同意保持经常性交
[16:39] 经常性交
[16:41] 经常性交往
[16:42] 难怪
[16:43] 难怪之前他们两个会接吻
[16:45] 所以未来习近平访问美国
[16:48] 双方的一些互动
[16:49] 都本质是习近平这次所提出的
[16:52] 中美建设战略稳定关系的新定位
[16:55] 那当然这次提到了一个特别的名词
[16:57] 大家已经耳熟能详
[16:58] 就是休西迪德陷阱
[16:59] 这一次习主席专门提到休西迪德陷阱
[17:03] 说中美双方能够尝试的越过
[17:06] 过去经常发生的新兴强权
[17:08] 和既有霸权之间
[17:10] 因为恐惧和误判走向战争的历史循环这个我可以从几个角度来做一些观察第一个角度就是本来中美关系就经常提到这个词就新兴强权崛起之后原本的霸主会感到恐惧
[17:22] 然后双方就很容易走向冲突
[17:24] 古希腊比较标准就是雅典和斯巴达
[17:27] 后来的英国 西班牙 法国 德国 日本 苏联
[17:30] 和美国之间都有出现类似的逻辑
[17:32] 一个国家快速崛起
[17:34] 原本的秩序就被打破
[17:35] 那旧霸主就通常不愿意
[17:37] 不甘心把权力给交出去
[17:39] 那中方现在所释出的谈话意愿是什么
[17:42] 是希望就算有一天我能够超越你
[17:46] 我也希望你能够和平交接
[17:48] 那这种和平交接
[17:49] 你说我们如何去突破过去的这种陷阱
[17:53] 休息底的陷阱
[17:54] 他举一个例子
[17:55] 不是他举的
[17:56] 是我们过去所看到的一个典型的迹象
[17:59] 就是英美和平交接
[18:00] 就是我们看过去经常会有冲突
[18:02] 比如说大英帝国对待德国
[18:07] 对待日本
[18:08] 那美国对待苏联那样
[18:10] 好像都形成了比较剧烈的这种冲突
[18:13] 那英美当时是如何和平交接的
[18:15] 两国是同文同种
[18:17] 语言制度都太像了
[18:19] 比较容易信任
[18:20] 是这个原因
[18:20] 这是一种逻辑
[18:21] 另外一种逻辑
[18:22] 是英国当时提出的著名的两强标准
[18:26] 就是英国的海军必须要大到
[18:28] 能够同时压制世界第二和世界第三的军事强权
[18:31] 那这种标准对于国力的消耗极大
[18:34] 那英国又奉行光荣独立
[18:36] 没有真正稳定的盟友
[18:37] 这代表所有崛起中的国家
[18:39] 都有可能形成英国的敌人
[18:41] 好那问题就来了
[18:42] 当时美国独立以后
[18:44] 整体而言
[18:45] 经济实力越来越强壮
[18:46] 美国本身的国力和韧性
[18:48] 已经逐步的超越英国
[18:50] 那英国也意识到
[18:51] 美国一旦决定全面发展海军和工业
[18:54] 最后一定会超越自己
[18:55] 那英国自己亲身体验过
[18:57] 对于美国发动战争
[18:58] 就算赢了也没有意义
[19:00] 所以这种感觉就是最可怕的
[19:02] 就是有时候两国之间
[19:05] 也不是说你打不赢
[19:06] 就是你赢了
[19:07] 也无法阻止对方的崛起
[19:09] 那你就允许对方在部分领域
[19:11] 开始茁壮
[19:12] 最后形成盟友
[19:13] 英美关系就是这样子
[19:15] 所以很多人对于国力的理解
[19:16] 还停留在军队的数量
[19:18] 或者GDP的规模
[19:19] 但现在大国的力量
[19:21] 往往体现在于
[19:22] 你拿他没办法
[19:24] 就好像二战时
[19:26] 日本偷袭珍珠港
[19:27] 那美国太平洋舰队几乎中窗
[19:29] 在短短半年
[19:30] 美国就在中途倒
[19:31] 反击成功
[19:31] 真正的大国
[19:32] 他不是永远不会受伤
[19:34] 是他受伤了
[19:35] 它还能够快速的恢复
[19:36] 现在很多人对于中美的理解
[19:38] 就是这样子
[19:39] 美国对于中方打压不会结束
[19:41] 可是你要让中方崩溃
[19:43] 形成地区性霸权
[19:45] 不再跟你竞争
[19:46] 是有一点难度的
[19:47] 所以也许双方可以类似
[19:50] 英美交接的方式
[19:51] 允许你在部分领域
[19:53] 作为全球领头羊
[19:54] 但我还是要保持原本既有的体系
[19:56] 这就是感觉中美双方
[19:58] 给予市场的提示和启示
[20:01] 这个可以观察的一个重点
[20:02] 当然了
[20:03] 我们后续要了解的事情是
[20:05] 之前是我看朱敬一先生
[20:07] 他针对休息底的陷阱
[20:09] 所给予的一些评论
[20:10] 他的第一个想法
[20:12] 就是他认为这个理论
[20:13] 不适用于现在了
[20:14] 因为国际冲突
[20:15] 在过去几年当中
[20:17] 历史上的16次大规模纷争
[20:19] 基本上都难以成为标准的样态
[20:23] 因为你把很多的面向矛盾
[20:26] 浓缩成单一霸权
[20:27] 但很多时候战争的开打
[20:29] 都是因为一些微小的因子所形成的
[20:32] 尤其历史上大多数的争霸
[20:34] 它都是沿着地缘轴线
[20:36] 比如说雅典和斯巴达
[20:37] 北约和俄罗斯
[20:39] 但21世纪的美中斗争
[20:41] 有很标准的领土争议吗
[20:43] 并没有
[20:44] 真的都是什么
[20:45] 晶片的技术
[20:46] 真的是AI模型
[20:48] 真的是量子电脑
[20:50] 所以就形成一种逻辑
[20:53] 那就是今天的局
[20:55] 美中之间
[20:56] 如果任何一方
[20:57] 输掉了晶片制造
[20:59] 或者人工智慧的进逐
[21:00] 他就失去了地缘霸权
[21:03] 所以就变成了
[21:04] 基本上双方不见得
[21:06] 在实体物理上必有一战
[21:09] 双方的必有一战
[21:10] 其实集中在科技领域
[21:12] 这个就是未来的样态
[21:13] 美中的霸权争霸
[21:15] 是集中在软实力
[21:16] 科技力的体现
[21:17] 而并不是去争一座岛
[21:19] 地缘面积的无限扩大
[21:21] 就算你拿到一片土地
[21:22] 也没有什么太大意义
[21:23] 只有我们才讲到
[21:24] 美中科技战
[21:25] 虽然这一次适度开放H200
[21:27] 可是美中科技战
[21:28] 持续在开打当中
[21:30] 最近已经从先进制程
[21:31] 一路打到成熟制程
[21:33] 我们根据路透消息
[21:34] 美方已经锁定了
[21:35] 中国晶圆代工二哥
[21:37] 华虹半导体
[21:38] 商务部是要求
[21:39] 印材 科林研发
[21:40] 以及科磊
[21:41] 一些美系的设备大厂
[21:43] 暂停向华虹来下取
[21:46] 或者供应设备以及材料
[21:48] 那华虹是中国成熟制程的
[21:50] 重要代表商
[21:50] 过去一直都认为
[21:51] 因为成熟制程
[21:52] 现在某种程度
[21:53] 算是偏红海市场
[21:55] 除了特殊制程以外
[21:56] 所以基本上
[21:56] 对于成熟制程
[21:57] 没有太大的限制
[21:58] 但是现在看起来
[22:00] 美国也盯上了
[22:01] 二线晶圆代工
[22:02] 那目的很简单
[22:03] 虽然成熟制程
[22:05] 不像AI GPU这么先进
[22:06] 可是有车用晶片
[22:08] 有工业的控制
[22:09] 有电源管控
[22:10] 从最上游到最下游
[22:11] 美方都要确保
[22:13] 中方不能够在特殊单一管道
[22:16] 进行全面垄断
[22:17] 管制就越来越严格了
[22:19] 当然就有利于台厂
[22:21] 比如说联电世界先进
[22:22] 更显著的带动
[22:23] 上礼拜也是如此
[22:25] 上礼拜五角大厦
[22:26] 其实原本把阿里巴巴和百度
[22:28] 列入到中国军方的企业名单
[22:30] 后来又予以剔除
[22:31] 算是美中川习会当中的一些
[22:34] 经济角力的释放
[22:35] 不过大多数企业目前还在管制当中
[22:38] 比如说像腾讯
[22:39] 像是小米
[22:40] 或者我们看到部分企业
[22:42] 华为还有大疆
[22:44] 长兴存储
[22:45] 长江存储
[22:46] 几乎所有的中国的科技公司
[22:47] 目前还在五角大厦的黑名单当中
[22:50] 原本在2020年
[22:52] 只有20家企业销售到黑名单警戒
[22:55] 到今年已经高达187家
[22:58] 6年已经成长了超过8倍
[23:00] 从AI到半导体到通讯到无人机到量子运算
[23:04] 甚至是云端基础设施
[23:06] 基本上大多数的中国顶级核心技术企业
[23:09] 都已经受到了钳制
[23:11] 所以双方未来的角力
[23:12] 一个就体现在技术上的科技管制
[23:15] 我仍然认为会持续
[23:16] 第二个双方的博弈会在军事科技化的博弈
[23:21] 而并不是单纯军力或者地缘政治地区性的抢夺
[23:25] 我们看这一次各国军方都把AI导入到防卫和安全领域
[23:29] 日本的部分是利用AI整合卫星资料
[23:32] 把卫星所收集到的资讯
[23:34] 转化成战术的价值
[23:36] 藉由AI来分析
[23:37] 美国的部分由军方所主导的
[23:39] 智慧作战系统
[23:40] 快速分析战场的资讯和大量数据
[23:42] 这次伊朗战事就已经开始启用了
[23:44] 中国目前正在推行AI军事应用
[23:47] 主推数百架AI无人机
[23:49] 所组成的无人机队
[23:51] 目的是在短时间内
[23:52] 瘫痪所有人的基地
[23:54] 美国的国防部目前评估
[23:56] 中国希望在AI上的研究超越西方
[23:59] 目前主要集中在自杀性无人机身上
[24:03] 包括强大的产能
[24:04] 那的确中国飞弹军工链
[24:06] 我们根据彭博报道
[24:07] 在最近开始显著爆发
[24:09] 目前已经进入十年来
[24:11] 最大规模的飞弹扩产周期
[24:13] 彭博的统计是这样
[24:15] 现在400家中国上市企业的财报之后
[24:18] 发现有两家央企
[24:19] 一个是中国航天科工集团
[24:23] 另外一个是中国航天科技集团
[24:25] 旗下相关的飞弹供应链
[24:28] 已经增加到81家
[24:29] 比习主席刚上台时
[24:31] 接近翻倍
[24:32] 其中40%的企业
[24:34] 创下历史最佳营收
[24:36] 年增幅营收是成长两成
[24:38] 这个比中国前300大上市公司的
[24:41] 平均表现还来得好
[24:42] 说明什么
[24:43] 两家国企
[24:44] 或者我们讲的央企
[24:46] 它居然旗下供应链的EPS
[24:49] 可以大幅的跑赢整个上市柜公司
[24:52] 在中国的300强
[24:53] 足以说明着
[24:54] 他们的订单真的是多到爆炸
[24:56] 从红外线的感测器
[24:58] 到光纤陀螺仪
[25:00] 到3D列印金属
