[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 5704点连续两个交易日的显著走深
[02:36] 真的能够重新加速的话
[02:38] 再加上市场对于中国部位依然偏低
[02:41] 那只要川习会释放双方持续停战的讯号
[02:45] 那也许对于中国的悲观叙事就不会这么大了
[02:48] 的确中国市场仍然有房地产危机的问题
[02:51] 有监管打压
[02:52] 有外资过去撤离地缘政治的风险
[02:55] 但问题是它的基期很低
[02:57] 全球股市现在涨成这样
[02:59] 今年基本上相对股市表现没有这么好的
[03:03] 就只剩下陆股了
[03:04] 我们把NDX
[03:05] 把纳斯达克指数
[03:06] 再拿来跟中国科技股的周期
[03:09] 来进行一些比较
[03:10] 今年纳指都飞上天了
[03:12] 但是在中国的大型科技巨头
[03:14] 股价反而波动没有这么大
[03:16] 所以这是值得大家可以观察的几大方向
[03:19] 当然在川习会即将登场之际
[03:22] 我们看到最近人民币
[03:23] 也登上了三年来的新高
[03:25] 北京在川习会之前
[03:27] 看起来也是释放了一定程度的讯号
[03:30] 中国人民银行
[03:31] 这一次把人民币中金价设在6.84
[03:34] 创下2023年3月份以来最强的水准
[03:37] 那离岸和战人民币也同步升值
[03:40] 甚至一度突破一美元到快要6.9了
[03:45] 或者应该讲6.7
[03:46] 我们看到市场普遍认为
[03:49] 这是北京在川普和习近平会面之前
[03:52] 刻意释放那种
[03:54] 我要稳住人民币的
[03:55] 那种政治和经济讯号
[03:57] 一方面这种讯号就是
[03:58] 人民币刻意的低估的
[04:02] 或者说降低对于
[04:03] 过去我们讲说川习会之前
[04:06] 美国不是经常指控
[04:08] 说每一次我发动关税战
[04:10] 人民币就借由适度的贬值
[04:12] 来逃掉在关税战
[04:14] 可能遭受的侵蚀
[04:15] 那某种层面而言
[04:17] 是对于川普而言
[04:18] 我释放出一点善意
[04:20] 说我不会乱贬值
[04:21] 你希望我怎么做
[04:23] 我们在汇率上可以进行协调
[04:24] 那第二大方面
[04:25] 是北京对目前资本流动
[04:27] 和出口竞争力的信心在提升
[04:30] 所以中国央行虽然容许升值
[04:32] 但中间价要看市场
[04:34] 在这一场会议之后的变化为何
[04:36] 那另外一个更重要的事情是
[04:38] 中国长期困扰的通缩问题
[04:40] 似乎有点转折
[04:41] 因为四月份中国的消费者物价指数CPI
[04:44] 年增幅是1.2%
[04:46] 连生产者物价指数也开始回升
[04:48] 生产者回升很好理解
[04:49] 因为石油天然气都在上涨
[04:50] 但是如果连CPI都开始回升
[04:53] 是否代表着
[04:54] 正在尝试的走出过去的通缩泥沼呢
[04:57] 那不管怎么说
[04:58] 这一次的议题非常广
[05:00] 我们就一个一个来看
[05:01] 过去曾经一言二言三言四言五言
[05:04] 由于伊朗战争的原因
[05:05] 那至少现在时间线已经正式确认了
[05:08] 就是明天
[05:09] 那现在呢
[05:10] 我们都很清楚知道的事情是
[05:12] 市场对于川习会
[05:13] 并没有那种极高的期待
[05:15] 那这是一个极大的利多
[05:16] 因为你没有对他很高的期待
[05:18] 他只要能够很意外的
[05:20] 拿出一份清单
[05:22] 那也许对于当下局势而言
[05:24] 它就变成了一个利多因子
[05:26] 毕竟现在市场上
[05:27] 什么新闻都可以变成利多
[05:28] 那就要看看川习会
[05:29] 能不能释出利多
[05:30] 比较可能当然是
[05:32] 中国增加美国农产品的采购
[05:35] 能源和制造业的商品
[05:37] 或者用这些大幅度
[05:39] 超乎预期的采购
[05:41] 来换取部分科技限制的放松
[05:43] 或者关税稍微下滑
[05:45] 不过问题在于
[05:46] 当市场只要完全不期待
[05:48] 有任何巨大好消息的时候
[05:50] 这个时候气氛只要稍微和缓
[05:52] 其实就已经足以让资金
[05:54] 开始回补中国的科技股了
[05:56] 我们看目前中国的AI
[05:57] 这种半导体
[05:58] 正在形成慢慢新的政策叙事
[06:01] 那腾讯和阿里巴巴
[06:02] 又刚好在观察AI资本支出
[06:05] 云端成长的重要窗口期
[06:07] 要公布它的财报了
[06:08] 所以这个时候我们才看到
[06:10] 市场上正在追赶
[06:11] AI美股泡沫的时候
[06:13] 中国科技股
[06:14] 到底是否会有估值的体现
[06:15] 那我们回过头来看
[06:16] 这次重点很多
[06:17] 我们根据高顺所整理的报告
[06:19] 西方媒体现在最在意的
[06:21] 就是伊朗问题
[06:22] 中东问题
[06:23] AI问题
[06:24] 全球贸易秩序
[06:25] 那美国和欧洲的部分
[06:27] 个别国家更担心是全球供应链
[06:30] 能源和科技竞争
[06:32] 那中国呢
[06:33] 主要是针对关税
[06:34] 台湾问题
[06:35] 辉达H200晶片
[06:37] 还有晶片出口管制等态度
[06:40] 明显表达更多的在意性
[06:42] 那这也说明了
[06:43] 现在中美竞争
[06:44] 其实双方所希望达到的
[06:47] 经济贸易的交换
[06:48] 也不太一样
[06:49] 其实中美对抗
[06:50] 我们过去提过
[06:51] 它也不是一场关税战
[06:53] 可以解决的
[06:53] 或者由川普可以解决的
[06:55] 早从欧巴马时代末期开始
[06:57] 全面性的系统竞争
[06:59] 就已经展开了
[06:59] 从资本市场
[07:00] 到AI晶片出口管制
[07:02] 到半导体设备的建立
[07:03] 到稀土
[07:04] 到伊朗的石油
[07:05] 到台湾军售
[07:06] 到金融制裁
[07:08] 几乎各项领域
[07:09] 都被拉到这项博弈当中
[07:10] 所以我个人认为
[07:12] 本次至少确认
[07:14] 应该会有陆续上调的
[07:15] 第一个就是黄豆
[07:16] 以及美国农产品的采购量
[07:18] 那第二是针对单独中国关税
[07:21] 是否会有进一步关税调降
[07:23] 我们知道中国目前
[07:24] 仍然承受最高的有效关税
[07:26] 在其他国家当中
[07:27] 整体是从11%
[07:29] 在本轮是上升到22%
[07:31] 虽然前阵子进行取消
[07:33] 然后iPhone供应链也不克关税了
[07:35] 但其他国家像越南
[07:36] 日本韩国台湾印度甚至墨西哥
[07:39] 关税虽然也同步走高
[07:40] 可是还是比中国
[07:42] 至少低了接近10到20%左右
[07:45] 所以能够藉由5%到10%的松动
[07:49] 那中国的竞争力就有机会回来
[07:51] 那这个时候相对于传产而言
[07:53] 就可以夺回原本的订单
[07:55] 当然由于川普和习近平都是双子座
[07:57] 也很难说了
[07:58] 双方也许有什么样
[07:59] 双方互相的猜测
[08:02] 这也是可见的
[08:03] 其实现在全球的领导人
[08:05] 大部分都是双子座
[08:06] 或者风向星座
[08:07] 川普是双子
[08:09] 习近平也是双子
[08:10] 普丁是天平嘛
[08:13] 纳太亚会是天平
[08:14] 那泽连斯蒂是水平嘛
[08:16] 所以现在就是今年我要出一本书啊如何跟风向星座打交道啊你就知道市场上这这么多的冲突跟大家的星座是有关的当然我们回过头说这一次本来川普访华的日行一言再言
[08:29] 之前就是一种外交讯号
[08:31] 因为真正的大国博弈
[08:32] 很多时候也不是看有没有见面
[08:34] 是谁急着要见谁
[08:36] 美方这段时间是不断的释放消息
[08:38] 主动透露时间点
[08:39] 中方好像回应幅度频率并没有这么高
[08:43] 只保持一句双方保持沟通
[08:45] 所以川普这次访华
[08:47] 如果真的访华
[08:48] 大概也不太可能真的撕破脸
[08:49] 不会有意外
[08:50] 中美现在都承受不起真正的失控对撞
[08:53] 但没有冲突
[08:55] 也不代表一定会有巨大的成果
[08:57] 真正的问题在于
[08:58] 双方想谈的东西
[08:59] 到底是不是同一个层面的
[09:01] 美方当然现在最着急的就稳定性
[09:04] 因为你同时对外部进行中东的施压
[09:06] 欧洲跟中国的关系
[09:08] 又继续推动产业回流和高关税政策
[09:11] 美国内部当然有通膨压力
[09:12] 有债务压力
[09:13] 有制造业成本的压力
[09:14] 有金融市场的压力
[09:15] 那当然川普访华
[09:17] 当然就是为了几何目的
[09:19] 就是要稳住美中之间的贸易
[09:21] 缓和供应链的压力
[09:22] 争取中国在中东在能源
[09:25] 在稀土上问题的配合
[09:27] 同时给金融市场一个讯号
[09:29] 中美不会立即马上脱钩
[09:32] 你也不用特别紧张
[09:33] 为自己的外交成绩来造势
[09:35] 那中方的态度就不太一样了
[09:38] 中方态度当然是
[09:39] 已经决定要打造自己的供应链
[09:42] 那当然是晶片站科技封锁
[09:44] 能够尽可能获取更多技术
[09:46] 或者缓解当前
[09:48] 在科技禁令压力的过程当中
[09:50] 要尽可能的缓解
[09:51] 这是双方稍微比较具有交集点的地方
[09:54] 那当然回过头说
[09:56] 双方的竞争仍然持续过程当中
[09:59] 所以其实在这一次谈判之前
[10:01] 已经有很多筹码陆续推出了
[10:03] 比如说川普这次所推出的
[10:06] 矿产版的战略石油储备计划
[10:08] 在上个月就已经正式提出了
[10:10] 本质就是把战略石油储备的概念
[10:12] 复制到所有AI和高科技时代的
[10:15] 最重要的资源
[10:16] 包括关键的矿产
[10:18] 这项计划准备要动用120亿美元
[10:21] 来囤积稀土石墨
[10:23] 像是铜铝等超过60个关键的矿物
[10:26] 那目标很明确
[10:27] 避免未来美国和中国冲突的时候
[10:30] 被掐住供应链的命脉
[10:31] 但现在的问题在于
[10:32] 也不是说晶片而已
[10:34] 而是晶片背后的材料
[10:35] 电动车 AI伺服器
[10:37] 几乎全部都依赖这些稀有元素
[10:39] 那这些稀有元素
[10:41] 在组合的过程当中
[10:42] 我们都知道
[10:43] 其实现在市场上
[10:45] 全球市占率最高的
[10:47] 在稀土层面仍然是中国
[10:49] 这两年即便川普
[10:50] 做了非常大的一个调整
[10:51] 不过中国到目前为止
[10:53] 整体市占率
[10:54] 仍然接近60%到80%的领先
[10:57] 我们讲的不是开采
[10:59] 开采其实全球都有了
[11:00] 重点是在于金链
[11:01] 到2030年
[11:03] 即便美国现在火力全开
[11:05] 可能整体占比仍然不到10%
[11:08] 中国在金链市场的市占率
[11:10] 仍然持续产生压倒性的优势
[11:13] 不管是我们过去看到各类型的贵金属
[11:16] 甚至是离电池等等
[11:18] 目前大概市占率
[11:19] 可以维持80%以上的市占率
[11:22] 至少维持到2030年到2035年左右
[11:25] 所以市场总觉得是稀土是最重要的
[11:28] 但是如果要建立美国60天的战略储备
[11:31] 现在短期内反而最花钱的是铜汉铝
[11:34] 原因在于支撑现代工业文明的
[11:37] 基本上还是靠这些基础原材料
[11:39] 每天在消耗的电网
[11:41] 资料中心
[11:42] 汽车等等
[11:43] 那有没有那么大的库存
[11:44] 有没有那么大的一个产能
[11:46] 能够应付
[11:47] 如此大的一个囤积量
[11:49] 这个都是美国目前正在做的
[11:51] 不过呢
[11:51] 至少我们看得出来
[11:52] 稀土武器化的结果
[11:54] 就是美中科技和贸易升级之后
[11:56] 资金就开始涌入到
[11:58] 中国的稀土概念股
[11:59] 市场上还是有非常显著的
[12:01] 资金上轮动的
[12:02] 当然
[12:03] 这也不代表说
[12:04] 川普这些成立的国家
[12:06] 对未来就可以拿来变成
[12:08] 谈判筹码的释放
[12:09] 但更重要的事情是
[12:10] 它一方面可以进行
[12:11] 适度的科技松绑
[12:12] 另外一方面
[12:13] 它的确也尝试着要打造
[12:15] 美系供应链
[12:16] 我们举例来说
[12:17] 大家最为关注的
[12:18] 最近就是华尔街日报的报道
[12:19] 科技大厂苹果
[12:21] 已经跟Intel
[12:21] 达成一项初步的
[12:23] 晶片代工协议
[12:25] 据了解
[12:25] 这一项合作
[12:27] 预计会为苹果
[12:28] 带来可观的短期
[12:29] 和长期收益
[12:30] 报道也指出
[12:31] 没有把确定
[12:32] 到底是哪一些终端产品
[12:33] 由Intel来代工
[12:34] 但是呢
[12:35] 在2027年
[12:37] 即将推出入门级的M系列晶片
[12:39] 或者呢
[12:40] 2028年非Pro的iPhone晶片
[12:42] 应该就有机会来做导入
[12:44] 所以就代表着
[12:45] 看起来电脑就有重新回到
[12:47] Intel合作的怀抱
[12:49] 那当然
[12:49] 这就代表美国晶片国家
[12:51] 都已经正式成型了
[12:53] 这个台积电是干儿子
[12:54] 但是Intel毕竟是亲生的儿子
[12:56] 所以我们看
[12:57] 这一波Intel的股价
[12:59] 真的是完全进入到疯狂模式
[13:01] 苹果的确开始重新回Intel
[13:04] 来找寻代工部分的晶片
[13:06] 当然我觉得更有可能的是因为
[13:08] 台积电产能已经满了
[13:09] 那你没办法只能跟英特尔下单
[13:11] 而且听说还要做进一步打折
[13:14] 如果便宜25%再加上英特尔的良率
[13:17] 那能够赚多少钱呢
[13:19] 但至少我们知道
[13:20] 2028年的iPhone要小心一点
[13:23] 不要买到英特尔的晶片
[13:24] 要至少先买台积电
[13:26] 但整个台积电的包围网已经逐步成型了
[13:30] 川普就很带头
[13:31] 想要去来打造自己的国防供应链
[13:35] 事实上我们看到
[13:36] 不只是Intel
[13:37] 最近我们也观察到
[13:39] 相对来说
[13:39] 不管是超维
[13:40] 或者其他私服器厂
[13:42] 也开始进行产能上的一个调试
[13:45] 其实我都认为
[13:45] 主要都是因为台积电产能满了
[13:47] 它被迫一定要找Intel下单
[13:49] 你说过一阵子又找三星
[13:51] 好像也不是太意外
[13:52] 毕竟
[13:52] 其实我们都知道
[13:54] Intel和三星
[13:54] 都是台积电之外的第二选项
[13:56] 它不是真正能够全面取代台积电
[13:59] 而是现在产能实在是太紧绷了
[14:01] 这是我的看法
[14:02] 川普当然也自夸
[14:03] 投资Intel
[14:04] 目前已经翻了四倍到五倍
[14:06] 我八个月帮Intel帮美国赚了450亿
[14:10] 我们知道之前川普有入股Intel
[14:13] 所以从这件事情就看得出来
[14:15] 我跟川普的共同点
[14:18] 也是右手动一动就好几个亿
[14:20] 钱就这样子不断的涌进来
[14:22] 川普对于Intel的投资
[14:24] 也算是相当的成功
[14:25] 当然这也就说明着
[14:27] 美国一系列的做法
[14:29] 某种程度在川习会之前
[14:31] 做好了经济筹码的交换
[14:33] 随时有可能科技松绑
[14:34] 但是随时也打造自我的国家供应链
[14:37] 来为长期的博弈来做准备
[14:40] 当然对于中国而言
[14:41] 很明显
[14:42] 大家对于关注的就是这一次
[14:44] 不管是H200
[14:45] 还是我们看到
[14:47] 在接下来科技管制的松绑
[14:48] 到底是否是中国有意开放的
[14:52] 这个要买当然会买
[14:53] 但是对于国内的供应链的扶持
[14:55] 中国也没有在手软的
[14:57] 我们看自从
[14:58] 辉达在中国市场逐步丧失施展以后
[15:01] 只是受到监管的原因
[15:03] 科技管制的原因
[15:04] 华为在今年
[15:05] 人工智慧晶片的营收
[15:06] 已经高达120亿美元
[15:08] 这个整体而言
[15:10] 相对于去年
[15:11] 已经成长了接近六成了
[15:12] 挥达在2024年
[15:14] 在中国AI市场的市占
[15:15] 是95%
[15:16] 但是经过一系列的
[15:18] 出口管制之后
[15:19] 一年内的市占
[15:20] 现在掉到54.4了
[15:21] 那华为就快速填补了缺口
[15:23] 来到27.9
[15:24] 成为现在
[15:25] 最具威胁的本土势力
[15:27] 其他像韩武器3.8
[15:29] 海光2.8
[15:30] 阿里巴巴2.5
[15:31] 百度0.9
[15:32] 那这场背后基本就说明着
[15:35] 这要予以对照
[15:37] 我们当然知道
[15:38] 这个两岸当然有点博弈的关系
[15:40] 但你就看到
[15:41] 这跟当年那个台积电一样
[15:43] 就一个国家在面临
[15:44] 重重困难的逆境过程当中
[15:46] 他还可以继续买
[15:48] 但他就硬要发展出自己的晶片
[15:50] 就是市场上
[15:52] 在双方博弈的情况底下
[15:55] 你已经很清楚
[15:56] 未来两套供应链的逻辑为何
[15:58] 当然美国军方
[16:00] 这一次也全面导入AI化
[16:01] 来进行进一波的科技军事管制的封锁
[16:05] 我们举几个例子来说
[16:06] 一方面是我们看到在最近
[16:08] 继新加坡和马来西亚之后
[16:10] 泰国成为了中国AI晶片走势的中转站
[16:13] 根据曼谷邮报报道
[16:16] 美国检方目前在调查
[16:17] 一中25亿美元AI伺服器的非法转运案
[16:21] 以前都是从新加坡或者马来西亚
[16:23] 甚至由第三方的算力
[16:25] 直接上完之后把资料运回中国
[16:27] 那现在在泰国也抓到了
[16:29] 所以美国检方在最近几个月
[16:31] 是加大力度
[16:32] 那第二大层面
[16:33] 就是由五角大厦
[16:35] 由军方
[16:37] 所设定的科技黑名单那这个科技黑名单我们看到针对一系列但是很有趣的事情是他曾经一度把阿里巴巴和百度直接列为中国军方的企业名单
[16:50] 来进行科技上的管制封锁
[16:52] 结果公布几分钟之后
[16:54] 又予以撤销
[16:55] 市场就在揣测
[16:56] 应该不是故意发错
[16:58] 应该是双方角力的一种过程
[17:01] 就是美国政府内部
[17:02] 看起来对于中国政策
[17:04] 也有稍微拉扯
[17:05] 就是有些可以释放
[17:07] 有些可以作为谈判条件
[17:08] 一方面要打压中国科技派的崛起
[17:11] 另外一方面又要担心刺激北京
[17:14] 而且只要北京释出一些善意
[17:16] 我们也可以随时取消一些
[17:18] 看起来有一点风险
[17:20] 但是由于体量过大
[17:21] 可能对于市值影响过大的
[17:23] 这些大型科技企业
[17:24] 所以双方我们公允的说
[17:26] 拜登时期也有电动车关税
[17:28] 也有金片法案
[17:29] 也有科技管制
[17:30] 民主党也有腐败的
[17:32] 川普肯定会炒股
[17:34] 看起来差不多
[17:35] 两党都差不多
[17:36] 差别只在于有没有拿上台面
[17:39] 很多事情
[17:39] 其实事情本质上并没有差太多
[17:42] 差的只是谁比较会讲故事
[17:45] 谁比较敢把事情搬到台面上
[17:48] 谁能够把同样的结果包装成正义
[17:51] 举一个最经典的故事
[17:53] 川普跟希拉蕊辩论完之后
[17:55] 一起去面包店
[17:56] 两个人都没带钱
[17:57] 希拉蕊趁店员没注意
[17:59] 偷偷拿了三块蛋糕藏到口袋
[18:02] 得意的跟川普说
[18:03] 你看我不用花钱
[18:04] 也不用说谎
[18:06] 川普说我诚实也可以做到
[18:08] 他就请老板拿一块蛋糕给他
[18:11] 说变个魔术
[18:12] 然后就狼吞虎咽吃下去
[18:14] 吃完之后再要求一块
[18:16] 吃完之后再要求一块
[18:18] 连续吃了三块
[18:19] 老板说那魔术呢
[18:20] 川普就指着希拉蕊的口袋
[18:22] 蛋糕在他口袋里
[18:24] 就是放到现实政治也一样
[18:27] 很多人喜欢把美国两党
[18:29] 讲成一黑一白
[18:30] 但我们也知道
[18:31] 从拜登的电动车关税
[18:33] 到晶片法案
[18:34] 到科技的封锁
[18:35] 川普有高关税
[18:36] 有产业补贴
[18:37] 有地缘政治的施压
[18:38] 民主党有利益输送
[18:40] 共和党也有资本炒作
[18:41] 政策股价差不多了
[18:42] 那背后只是谁比较会包装
[18:45] 谁包装成民主价值
[18:48] 谁比较直接承认
[18:49] 自己就是要保护美国
[18:50] 另外一个经典的故事
[18:52] 我们讲说川普过世之后去了地狱
[18:55] 地狱有一条规定
[18:56] 生前调戏过小女孩
[18:59] 或者自己和亲人当中犯了一堆罪
[19:02] 你还帮他掩盖的人
[19:03] 他的地牢会被大水给淹没
[19:06] 众人就一看
[19:07] 川普怎么淹水只淹到脚踝处
[19:10] 表示愤恨不平
[19:11] 川普很尴尬
[19:13] 老老实实的解释
[19:14] 没有了
[19:15] 我现在是站在拜登头上
[19:17] 所以我们看到
[19:18] 基本上民主党共和党双方
[19:21] 对中国的长期态度已经形成
[19:23] 只是在短期上
[19:24] 大家有不同的表述包装的方式
[19:26] 我们回过头看一下
[19:27] 没有股市表现
[19:28] 至少看起来
[19:30] 这市场是对于当前美中行情
[19:32] 有非常乐观的想象空间
[19:34] 道琼指数上涨95点
[19:35] 0.19%
[19:36] 刷49704点
[19:38] 标普上涨13点
[19:39] 0.19%
[19:40] 刷7412点
[19:41] 创下历史新高
[19:42] 纳指上涨27点
[19:44] 0.1%
[19:45] 刷26274点
[19:47] 历史新高
[19:47] 肺斑上涨305点
[19:50] 2.59%
[19:51] 刷12081点
[19:53] 哇 肺斑这种长法
[19:55] 这个我们在医学上
[19:57] 称之为
[19:58] Priority Prison
[20:00] 叫做阴经异常勃起症
[20:03] 就超过4到6个小时的长期病症
[20:08] 这也涨太多了吧
[20:10] 怎么会这样子一路往上喷
[20:12] 这有点超乎我的意外
[20:14] 美光昨天喷涨6.5%
[20:16] 市场上当然会关心
[20:17] 三星现在跟工会进行调解之后的谈判
[20:20] 避免全面罢工
[20:21] 不过如果罢工发生
[20:23] 对于美光而言
[20:25] 看起来是进一步的利多订单
[20:27] 英特尔的部分上涨3%
[20:29] 延续上周五的暴涨14%
[20:31] 那的确
[20:32] 现在英特尔已经跟苹果达成了初步协议
[20:34] 会为苹果来代工部分的晶片
[20:36] 挥达的部分
[20:37] 昨天创价历史性高了1.96%
[20:40] 每股收在219块
[20:42] 那下一个关键的催化剂
[20:45] 当然就是520
[20:45] 它的财报的公布日
[20:47] 当然
[20:48] 因为市场对它的期待已经很高了
[20:50] 所以也不能够给它有这么高的一个
[20:52] 股价上的提振效果
[20:53] 好像每一次都是挥达财报公布之后
[20:56] 股价就要休息一阵子
[20:57] 可是可是
[20:58] 我们讲的本益比层面
[21:00] 在2022年
[21:01] 它的本益比是158倍
[21:03] 它的股价现在创高了
[21:04] 可是本益比
[21:05] 却维持在44倍左右
[21:07] 它都已经涨这么多了
[21:09] 这件事情足以说明
[21:10] 这几年辉达的涨幅动力
[21:13] 实在是非常惊人
[21:14] 当然这种行情
[21:16] 其实你只要愿意等待
[21:18] 都能够赚到行情
[21:20] 昨天我们才提到
[21:21] 大多数人
[21:22] 其实都是赚牛市
[21:23] 赚趋势的钱
[21:25] 某种程度而言
[21:26] 有点运气成分
[21:27] 这种长法就有点运气了
[21:29] 我们虽然对于三月份
[21:31] 抱持着相当乐观的态度
[21:33] 在左侧部件
[21:34] 我从来没想到
[21:35] 四月五月会长到这样的一个位阶
[21:37] 我们想说
[21:38] 有时候大家在赚钱的过程当中
[21:41] 其实就赚牛市的钱
[21:42] 公司有四种
[21:43] 好的 普通的 烂的 看不懂的
[21:46] 股票也有四种
[21:47] 低估的 高估的 合理的 估不准的
[21:49] 人的时间精力
[21:50] 脑容量都有限
[21:52] 看不懂的公司已经占了一大半
[21:54] 看得懂的公司
[21:55] 估不准的又占了一大半
[21:56] 看得懂又估得准的
[21:58] 被高估的又占了一大半
[21:59] 看得懂又估得准
[22:00] 又没有被高估的
[22:02] 烂公司占了一大半
[22:03] 剩下的股票你去调
[22:04] 合理的价位
[22:05] 普通公司又占了一半
[22:06] 这就是牛市的情况
[22:08] 就是他好的他一定涨了
[22:10] 他不好的你涨了你也会怕
[22:12] 所以一般情况底下
[22:14] 在牛市氛围当中
[22:16] 你身经百战
[22:17] 你从财报当中挖掘出来的公司
[22:19] 大概也最多就是被低估的普通公司
[22:22] 或者合理价的好公司
[22:24] 能够买到的
[22:25] 被低估的好公司
[22:26] 其实就很困难了
[22:28] 所以我们讲说
[22:28] 那最后就是赚趋势的钱了
[22:30] 就看这波情绪和景气
[22:32] 能够撑到什么样的框架
[22:34] 所以我们才讲说
[22:35] 多数人真的就是赚趋势的钱
[22:37] 这种行情
[22:38] 很多人会有一种
[22:39] 强烈的那种归因执念
[22:41] 觉得好像每一次上涨
[22:42] 每一次下跌
[22:43] 都一定要找一个理由
[22:44] 今天涨了
[22:45] 就说是因为降息预期
[22:47] AI力多
[22:47] 外资回流
[22:48] 明天跌了
[22:49] 又变成地缘政治
[22:50] 通膨一律
[22:51] 有时候相关性很强
[22:52] 比如说打了一场战争
[22:53] 股市马上下跌
[22:54] 那是有相关性的
[22:55] 可是你要解释当前的AI行情
[22:58] 来看待当前的股票
[23:00] 然后完全忽略中东行情
[23:01] 那就硬要牵强了
[23:03] 所以投资市场其实这样子
[23:04] 就是大多数人的脑袋
[23:06] 是很难接受
[23:07] 没有明确答案这件事情的
[23:09] 多数人都会拼命的
[23:10] 为价格走势来找故事
[23:12] 所以我们才做周期投资
[23:13] 做周期投资就是
[23:14] 我只注意高低积极的位阶
[23:17] 来选择自己资金部件的步调
[23:19] 但是我本身不去做
[23:21] 强硬的归因表现
[23:24] 不会强硬的说
[23:25] 股价涨到现在
[23:26] 一定是什么原因
[23:26] 一定是因为
[23:27] 美中之间的会面
[23:30] 还是一定是因为
[23:31] 某些财报的显著拉动
[23:33] 投资市场就是这种
[23:35] 公正世界信念
[23:36] 很多人会下意识的相信
[23:38] 赚钱就代表我能力强
[23:40] 赔钱就一定代表我犯错
[23:41] 没有那赚钱有时候
[23:43] 就因为是大多头
[23:44] 不小心买到都会赚了
[23:45] 那赔钱那可能就是
[23:47] 整个市场的调整期
[23:48] 我前阵子才看了一本书
[23:50] 观众朋友推荐给我
[23:51] 推荐给我一本
[23:52] 好像讲女权的
[23:54] 它里面有个心理学家
[23:55] 叫做克里蒂亚法恩
[23:57] 他去谈论一个叫
[23:58] 公正世界假说
[24:00] 讲的就是
[24:01] 反正故事大概就是
[24:02] 他推着他的孩子
[24:03] 刚出生的在公园散步
[24:05] 然后一个老太太走过来
[24:06] 看着婴儿里面的孩子
[24:07] 就轻描淡写的说
[24:09] 我以前也有一个
[24:10] 差不多的孩子
[24:12] 但他后来死了
[24:14] 那个法恩
[24:14] 就那个心理学家
[24:15] 一瞬间就冒出很多
[24:17] 那种残酷的念头
[24:20] 是不是那个老太太当年不够小心
[24:23] 是不是因为照顾食物
[24:24] 是不是因为没尽责
[24:26] 甚至潜意识地认为
[24:28] 如果她是一个真正过好的母亲
[24:31] 事情也许就不会发生了
[24:33] 后来她去统计
[24:34] 发现很多年轻妈妈
[24:36] 都会下意识地
[24:37] 会有这样的心理的念头
[24:38] 可是后来想了一想
[24:40] 经过统计
[24:41] 这也许是一种出于心理防卫的机制
[24:44] 因为如果她承认
[24:46] 即便是一个非常爱孩子
[24:48] 非常负责任的母亲
[24:49] 也有可能遭遇这样的悲剧
[24:51] 那就代表世界
[24:52] 其实并没有想象中的这么安全
[24:54] 悲剧有可能随时的降临到任何人身上
[24:57] 包括他自己
