[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 一方面川普再度启动了301的关税战
[04:25] 希望能够取得部分的航运的管制权
[04:28] 至少你可以缴个保护费等等
[04:30] 那美国则是坚持国际航运必须自由通行
[04:33] 不能够受到任何的威胁
[04:35] 那再来是遭到冻结的海外资产问题
[04:38] 伊朗希望能够在协议当中解冻120亿美元的资金
[04:42] 那是我们的钱
[04:43] 但是之前被你给冻住了
[04:44] 但美国国内的鹰派
[04:46] 尤其是共和党议员
[04:47] 表示强烈反对向德黑兰释放任何的资金
[04:51] 川普政府肯定有点压力
[04:53] 另外一个争议点是黎巴嫩的局势
[04:56] 伊朗要求任何停火安排
[04:58] 都必须要纳入到黎巴嫩真主党的战线
[05:01] 但美国盟友认为
[05:03] 以色列现在不太可能接受
[05:05] 在黎巴嫩的军事行动全面取消
[05:07] 最敏感的最后是高浓缩钥的库存问题
[05:10] 伊朗希望能够保留浓缩钥
[05:13] 但是不发展核武
[05:14] 但是最多就转移到俄罗斯或者中国保管
[05:17] 那美方是直接要求直接给我
[05:19] 而且我必须确切的看到
[05:21] 要么他销毁
[05:22] 要么你把所有的农所有都给我
[05:24] 所以双方其实在部分议题上
[05:27] 你说是不是还有旗舰呢
[05:29] 感觉这四个议题也没那么容易谈拢
[05:31] 除了第一个荷姆兹海峡的控制权以外
[05:33] 另外三个其实都会有相对性的压力
[05:35] 所以市场的评价还是看得出来
[05:37] 昨天布兰特原油价格涨幅还有1.89%
[05:41] 每桶收贷97块
[05:42] 还是很高
[05:44] 西德州原油价格上涨2块
[05:46] 涨幅2.41%
[05:48] 收在96块
[05:49] 所以原油价格还在高位盘旋
[05:51] 就足以彰显的
[05:52] 市场好像也不是很相信
[05:54] 川普能够在短期内
[05:55] 立即解决这道问题
[05:57] 只不过现在通膨问题
[05:59] 似乎已经不被市场所担心了
[06:01] 那股市都跑赢通膨了
[06:02] 好像是这样的
[06:03] 但是对于内部压力而言
[06:05] 如果维持在这样的油价
[06:07] 那中期选举
[06:08] 我看压力是很大的
[06:09] 川普当然
[06:10] 在这次中期选举的
[06:11] 共和党的议员提名权当中
[06:13] 他是牢牢掌握在手中
[06:15] 现在几乎可以确认
[06:16] 川普就是共和党的真正老大
[06:18] 你像德州的共和党
[06:20] 现在几乎全面MAGA化
[06:22] 川普所支持的德州的检察长
[06:24] 正式击败共和党的老牌的参议员
[06:27] 直接把共和党传统的建制派
[06:29] 从德州踢下舞台
[06:30] 那你只要宣布是支持川普的
[06:32] 即便呢
[06:34] 过去有一些争议
[06:35] 你像这一次
[06:36] 这个击败共和党老参议员的
[06:39] 德州检察长
[06:39] 他以前有被弹劾
[06:41] 而且还卷入过证券的诈欺案
[06:44] 依然不影响
[06:45] 他在MAGA选举当中的人气
[06:47] 所以这件事情就意味着
[06:48] 川普至少对内的实权把握还是有的
[06:51] 只是在国会议员层面有一些松动
[06:53] 可是从民调来看就不是这样子
[06:55] 我们看不管是从就业支持率
[06:57] 通膨支持率还是经济支持率
[07:00] 现在都在陆续下滑
[07:02] 就业支持率算是比较好的
[07:04] 支持率只剩下40%
[07:06] 经济支持率只剩下35%
[07:08] 最差的就是通膨了
[07:09] 只剩下28%的选民正在支持他
[07:12] 所以川普有两种手段
[07:14] 当然第一个就把伊朗战事快速的解决掉
[07:17] 让这一场紧张局势降温以后造成油价的回跌
[07:21] 或者在接下来一段时间采取物价压制
[07:25] 第二种角度是对内政策开始彰显已经获得的成果
[07:29] 比如说最近美国政府问责办公室GAO的最新报告显示
[07:34] 这一次在川普的执政两年当中
[07:37] 非法移民的问题几乎已经彻底解决
[07:39] 的确从数据上来看
[07:41] 拜登政府当时21年到25年
[07:43] 大幅扩张人道假释的制度
[07:45] 使用规模
[07:46] 是目前造成非法移民的一个罪魁祸首
[07:49] 那目前呢
[07:49] 整体川普的高度紧缩政策
[07:52] 由于这套制度
[07:53] 以前是过去用在战争难民
[07:56] 或者特殊医疗
[07:57] 或者人道需求
[07:58] 川普几乎把这个通道完全给塞住了
[08:01] 那最后呢
[08:02] 现在无法大规模放行
[08:04] 因为之前大规模放行以后
[08:05] ICE有时候连人都找不到
[08:07] 大量移民的法律状态
[08:08] 后续流向都没办法清楚知道
[08:10] 现在已经全部封住了
[08:12] 非法移民人数
[08:13] 每个月甚至连1万人都不到
[08:15] 以前是一个月四五十万人
[08:17] 另外一大方面
[08:19] 对于DEI的打击也是如此
[08:21] 川普开始整治性别政治
[08:23] 司法部最近开始针对华盛顿州展开调查原因是因为当地的女子监狱长期允許自我認同為女性的男性受刑人可以入住到女子監獄
[08:34] 還有這樣的
[08:35] 聯邦政府認為
[08:36] 這已經違反了女性囚犯的憲法權利
[08:38] 包括人身安全
[08:40] 和避免殘酷對待的保障
[08:42] 所以現在除了華盛頓州之外
[08:44] 其他有像加州、緬因州
[08:46] 都有類似的政策
[08:47] 都被聯邦政府給盯上了
[08:49] 川普開始告這些州
[08:50] 保守派的核心論述很簡單
[08:52] 女性的空間
[08:53] 当然是要以生理女性的基础
[08:56] 作为保护逻辑
[08:57] 怎么会把一个看起来是男生的人
[09:01] 自我认同是女生的人
[09:02] 丢到女子监狱呢
[09:03] 那是他的看法
[09:04] 另外一大层面
[09:05] 川普也在推广他的影响力
[09:07] 现在美国的国庆倒数一个月了
[09:10] 美国财政部的官员
[09:11] 准备要推出全新的250美元钞票
[09:15] 然后把川普的头像
[09:16] 他的肖像印在纸钞的正面
[09:19] 川普250
[09:20] 刚好搭配美国建国250周年的纪念活动推出
[09:25] 目前设计草图已经完成了
[09:27] 设计者表示
[09:28] 川普本人目前也在讨论细节
[09:31] 对于设计方案是非常满意的
[09:32] 不过这项构想
[09:33] 最近遭到财政部印钞局专业官员的反对
[09:37] 因为根据美国的现行法律
[09:39] 活着的人是不能够在美国货币上的
[09:42] 250美元的面额
[09:44] 现在也没有获得国会的授权
[09:45] 所以除了法律问题之外
[09:47] 实务执行的难度也非常高
[09:49] 一个新钞从正式到发行
[09:52] 可能要六到八年以上的时间
[09:54] 其中有很多的防伪技术设备更新等等
[09:57] 那当然了
[09:58] 川普可能本身虽然正在努力推动
[10:02] 但是也有可能等他卸任之后
[10:05] 再把这项头像给印上去
[10:07] 或者等他过世以后
[10:09] 不过看起来双方的讨论仍然在持续加剧
[10:12] 那你说到时候要推出
[10:13] 似乎也不是那么的意外
[10:15] 那重点在于
[10:16] 川普在本周大家最为关注的
[10:18] 就是毫无避讳
[10:19] 任命房地产业出身的比尔普特
[10:22] 出任为国家情报总监
[10:24] 这个是华府的震撼弹
[10:25] 为什么呢
[10:26] 因为这个职位
[10:27] 以前都是做那个CIA
[10:28] NSA情报机构升上来的
[10:31] 那911事件以后
[10:32] 他是美国国安体系最重要的位置
[10:34] 但是这个普特
[10:35] 他没有情报背景
[10:37] 他也没有军事或者外交的经历
[10:38] 他最知名的身份
[10:40] 就是他是美国第三大住房建商
[10:42] 普特集团的创办人的家族后代
[10:45] 那之前担任过
[10:46] 联邦住房金融局的局长
[10:48] 那当然了
[10:50] 在任内呢
[10:50] 很明显嘛
[10:51] 因为他当时是兼任
[10:52] 房地美和房地美嘛
[10:53] 然后当年那个
[10:55] 联准会的Lisa Cook
[10:56] 就是被他批评的
[10:58] 然后带入到监管领域啊
[10:59] 所以很多人会认为啊
[11:01] 这个问题
[11:02] 到底对于川普的民调
[11:03] 是有帮助
[11:04] 还是有所伤害呢
[11:05] 但不管怎么说
[11:06] 川普所采取一系列的政策啊
[11:09] 基本上都是在奠定
[11:10] 对内的控制基础啊
[11:12] 尝试的扩大
[11:13] 包括这一次
[11:14] 中期选举的提名人
[11:15] 包括自己内部的提名人
[11:17] 是以中程作为绝对宗旨
[11:20] 那至于呢
[11:20] 在DEI层面
[11:21] 在相关内政层面
[11:24] 只是持续的收紧
[11:25] 来履行当时他的政见
[11:27] 那对外层面
[11:28] 就是我们刚才提到的
[11:29] 这次川普针对海外市场
[11:31] 平均课征10到12.5%的
[11:34] 301条件关税
[11:35] 对于全球市场而言
[11:36] 这代表的关税战
[11:37] 要被重新重启了
[11:39] 那过去的一二条款
[11:41] 或者呢
[11:42] 我们看到一系列的关税
[11:43] 由于正在进行退税层面
[11:46] 现在美国的进口商
[11:48] 目前已经陆续在申请当中
[11:50] 所以川普就改以301条款
[11:52] 向外继续针对全球来课程关税
[11:54] 那当然了
[11:55] 你说最后的结局是因为
[11:57] 各国改善了劳动环境
[11:59] 所以美国不再课程关税
[12:00] 想想知道不可能吧
[12:02] 美国一定有所求
[12:03] 我们就看一下
[12:04] 各国是否会针对美国
[12:06] 加深在中期选举以前的投资金额
[12:09] 以此来换取10%关税的取消
[12:12] 那我们就到时候再来做
[12:13] 更进一步的关注了
[12:14] 那其实川普
[12:15] 当然内政政策也不是全部都那么极端化
[12:18] 有些政策本身是不错
[12:19] 举例来说
[12:20] 在上礼拜
[12:22] TrumpRX已经正式上线
[12:24] 这个是线上的药品平台
[12:26] 里头是白宫的专业
[12:28] 一口气新增了600种的学民药
[12:30] 里头是希望降低美国民众的处方金的成本
[12:34] 川普强调
[12:35] 很多的学民药跟原厂的药成分效果几乎一模一样
[12:39] 但价格却便宜很多
[12:41] 甚至有时候比保险自付额还低
[12:43] 所以这次他增加了
[12:45] 药品的数量
[12:46] 平台还新增了比价的地图
[12:48] 可以直接比较各国的
[12:51] 而各地的药局的药价
[12:52] 那这等同于
[12:53] 要求所有的药局
[12:55] 开始砍药价
[12:56] 那本质上
[12:57] 川普是尝试的
[12:58] 用价格透明化
[12:59] 和市场竞争的方式
[13:00] 去打击
[13:02] 美国常年畸形的
[13:03] 医药的中间系统
[13:04] 那的确
[13:05] 部分药
[13:06] 在短期内
[13:06] 受到非常显著的下压
[13:08] 那这当然是
[13:09] 有利于通膨的下压
[13:10] 也有利于实质购买力
[13:12] 能够有所提升
[13:13] 那最重要的事情是
[13:14] 川普采取了一系列的内政外交政策
[13:17] 都是在稳固中期选举之前的民调水准
[13:20] 至少先让他不要往下掉
[13:22] 那看看伊朗战事解决以后
[13:24] 民调有没有可能开始大幅回弹
[13:26] 但是更重要的事情是
[13:27] 川普最新的年度健检报告出来了
[13:30] 79岁的他
[13:31] 身高190
[13:33] 体重108公斤
[13:34] 血压105 71
[13:36] 血氧98%
[13:38] 包括心肺血液检测都维持正常
[13:41] 心脏肺部神经代谢
[13:43] 表现都非常之良好
[13:45] 协议数据方面
[13:46] 川普胆固醇稍微高了一点
[13:48] 但是目前整体而言
[13:49] 还算是可控范围
[13:51] 有一点下肢水肿
[13:52] 手背的瘀青
[13:53] 但医师都认为没有太大问题
[13:55] 由于川普是不喝酒
[13:56] 不抽烟
[13:57] 加上持续接受预防医疗的追踪
[14:00] 目前看起来身体好得不得了
[14:02] 比大多数的工程师都还要来得健康
[14:05] 连社会线肥大都没有问题
[14:08] 活到150岁搞不好也没问题
[14:10] 这样马总统情何以堪
[14:13] 他每天喝那么多可乐
[14:15] 所以川普体力看起来非常不错
[14:17] 这一讯息是我们做第一个奠定
[14:19] 也就是川普在当前任期当中
[14:22] 内征外交上开始又陆续出招了
[14:25] 出招的原因很简单
[14:26] 你也不要觉得他真的想克
[14:27] 如果能够为美国贡献更多的投资
[14:30] 就业机会
[14:31] 也许关税随时会撤销了
[14:32] 用劳动力来去克别人关税
[14:35] 有人相信吗
[14:37] 我们看我们股市市大指数表现
[14:38] 道琼指数下跌620点
[14:40] 1.21%
[14:41] 是在50687点
[14:43] 标普下跌56点
[14:44] 0.74%
[14:45] 是在7553点
[14:46] 纳指下跌239点
[14:48] 0.89%
[14:49] 是在26853点
[14:51] 费半反而上涨190点
[14:53] 1.39%
[14:55] 是在13916点
[14:57] 当然了
[14:58] 我们现在回过头说
[14:59] 整个资金链
[15:01] 昨天我们就提到
[15:02] 是相当紧张的
[15:03] 原因来自于
[15:04] 6月12号
[15:05] SpaceX就要上市了
[15:07] 再来就是Entropy
[15:08] 再就是OpenAN
[15:09] 所以超级IPO潮来之后
[15:11] 市场到底吃不吃得下这么多的股票
[15:14] 让股市指数持续上行
[15:16] 今年根据高盛的预估
[15:18] IPO的总募资金额会来到2250亿
[15:22] 远远高于在年初预估的1600亿
[15:24] 那去年企业的股权供给高达6750亿
[15:28] 这个数值目前看起来
[15:30] 是要非常庞大的资金体量
[15:33] 才能够有所支撑的
[15:34] 所以现在市场上最担心的
[15:36] 并不是那些IPO的企业
[15:37] 是已经在榜上的企业
[15:40] 谁会被挤掉呢
[15:41] 大家也不要觉得
[15:42] 这几年都是大股票在涨
[15:44] 是没错
[15:45] 可是大股票也不是每一次都跑赢大盘
[15:47] 这是我们投资指数的重要原因
[15:49] 我们是选择在情绪低迷的时候
[15:51] 扩大部件
[15:52] 但是对于单一个股
[15:54] 其实并没有特别偏好
[15:55] 当然我个人偏好特使
[15:56] 但是我不会把它视为一个主要的资产部件
[15:59] 因为投资有赚有赔
[16:02] 投资的判断
[16:04] 如果成为你的投资依准的话
[16:06] 那你不是每一次都要判断吗
[16:08] 那不如把判断包装在ETF里头
[16:11] 我们看整个25年到26年
[16:13] 过去一年半的报酬
[16:14] 其实在前几大巨头
[16:16] 只有两大巨头跑赢了标普500指数
[16:19] 一个是Google涨幅92
[16:20] 另外一个是辉达66
[16:22] 标普500在过去两年涨幅已经来到31%了
[16:25] 苹果才涨26
[16:27] 亚马逊是6.9
[16:28] 微软5.9
[16:29] 特斯拉4.9
[16:31] Meta才2.5%
[16:32] 从这件事情就看得出来
[16:34] 即便你买的是巨头
[16:36] 你买的是全球最具有影响力的手机
[16:38] 全球最具有影响力的电商
[16:40] 全球最具有影响力的作业系统
[16:42] 全球最具有影响力的电动车
[16:44] 或者社交平台
[16:45] 你设飞镖都可能会跑出给大盘
[16:48] 所以有时候我们才跟投资朋友经常分享
[16:51] 这个市场上很多人会焦虑通常也不是没买但是觉得好像没买够但是根本原因还是来自于第一其实要跑赢大盘即便到这个年头你不要看很多主动型跑赢了
[17:04] 也有很多人跑输
[17:05] 所以根本原因来自于
[17:08] 第一市场上
[17:09] 你必须以大盘作为基准
[17:11] 来判断自己的投资能力
[17:12] 那如果你决心最后要参与大盘
[17:15] 你可以借由低乖离
[17:16] 扩大部件的方式
[17:17] 尝试着看能不能拉开与大盘的起效
[17:20] 那第二种角度
[17:21] 就那种心态
[17:22] 最近已经开始出现了
[17:23] 很多人开始焦虑
[17:24] 通常也不是没买
[17:25] 就觉得没买够
[17:26] 买现股的后悔没融资
[17:28] 融资的后悔没质押
[17:30] 质押的后悔没信贷
[17:31] 信贷的后悔没抵押房屋贷款
[17:34] 抵押房屋贷款
[17:35] 后悔没有借高利贷
[17:36] 高利贷的后悔
[17:37] 没有把老爸的退休金
[17:39] 跟着押高利贷
[17:39] 地下钱装不好了
[17:41] 但是得失心就很容易因此而放大
[17:44] 我的看法是
[17:44] 的确
[17:45] 废判掌户真的有点夸张
[17:47] 但是总是有机会的
[17:49] 虽然我们是科技乐观论者
[17:50] 我也不太相信
[17:52] 我们会以这种速度上十万点
[17:54] 没有更坏的田
[17:56] 只有类似的牛
[17:57] 你在投资市场当中
[17:59] 市场永远都会在的
[18:00] 机会总有一天会回来
[18:02] 你也不要得失心这么重
[18:04] 其实现股能够跟上大盘
[18:06] 总体绩效已经不算差了
[18:07] 但投资人自己的资金
[18:09] 情绪体力可能有限
[18:10] 很多人想要抓住每一次的行情
[18:12] 每一个热点你都要抓到
[18:14] 证券股的行情
[18:16] 你怎么可能抓到
[18:17] 当然有可能
[18:18] 你说因为成交量已经先行了
[18:20] 可是他也是到昨天才发动
[18:21] 参与每一波的涨跌
[18:23] 最后也许你最后还是输给市场
[18:25] 你被自己的焦虑
[18:26] 被自己的杠杆
[18:27] 频繁操作给拖垮了
[18:29] 所以市场就像一块永远跟不完的田
[18:33] 你今天错过了AI
[18:34] 明天还有机器人
[18:35] 错过了美股
[18:36] 还会有新的产业革命
[18:38] 给投资朋友做些思考
[18:39] 之前讲说中医课上
[18:42] 学生就问教授
[18:44] 男人重瑜过度会有什么后果呢
[18:47] 教授说
[18:48] 男人会胜虚
[18:50] 学生又问
[18:52] 那如果是女人中欲过度呢
[18:54] 教授想了想
[18:55] 那还是男人胜虚
[18:57] 或者很多男人胜虚
[18:59] 就是真正能够在市场上活得久的人
[19:03] 他不是每天最努力
[19:05] 而是最懂得保存实力的人
[19:07] 市场也没有更坏的钱
[19:09] 只有类似的牛
[19:10] 你会发现永远都会有机会的
[19:12] 大家也不要觉得
[19:13] 我好像三月份买的不够多
[19:15] 就觉得每天心里悟足
[19:17] 也不用这样想
[19:18] 就算我们是科技乐观论者
[19:20] 我也不太相信
[19:21] 我们就会以这种速度
[19:23] 最后创高到10万点
[19:24] 终究会有回调
[19:25] 我相信情绪总会重复的
[19:27] 因为这个是
[19:28] 过去300年股市周期以来
[19:30] 唯一不变的
[19:31] 唯一不变的就是
[19:32] 情绪永远都会有高有低
[19:33] 没有情绪平稳的
[19:35] 没有45度角的上涨的
[19:37] 这给投资朋友做些思考
[19:39] 当然回过头说
[19:40] 台股韩股在今年表现
[19:42] 的确相当亮丽
[19:43] 成为了让投资标普
[19:45] 或者投资VT的人
[19:46] 感觉有点松动的原因
[19:48] 可是你要了解自己当时的投资原则
[19:50] 台湾股市最近的确涨幅算是很不错
[19:52] 今年全球股市的市值大概成长10.7%
[19:56] 但这波行情走得并不平均
[19:58] 几乎所有的涨幅都集中在台韩两个经济体
[20:01] 我们以美元计价
[20:03] 就是把台币和韩元都换算成美元
[20:05] 南韩股市今年是涨了87%
[20:08] 全球第一
[20:09] 第二名就台湾了
[20:10] 涨幅56%
[20:12] 第二
[20:12] 相对之下
[20:14] 我们看美股不能看非半
[20:16] 我们要看整个大盘
[20:17] 标普也不过涨10.8%
[20:19] 所以大家理解
[20:21] 背后就是三星
[20:22] 海力士
[20:22] 台积电
[20:23] 联发科这些企业
[20:24] 成为全球军备竞赛
[20:26] 最大的受益者
[20:27] 那另外一边
[20:28] 就是AI浪潮下
[20:29] 被抛下的市场
[20:31] 你像印度股市
[20:32] 它今年还跌7.1
[20:33] 法国股市跌了4.6
[20:35] 香港跌了1.4
[20:37] 德国接近零成长
[20:38] 古有欧洲文艺复兴
[20:40] 今有东亚科技复兴
[20:42] 所以还是看得出来
[20:44] 整个东亚经济在暴冲
[20:45] 可是欧洲
[20:46] 如果没有搭上本人的AI列车
[20:48] 那个差距就会差得越来越远
[20:50] 事实上我们看到最新法国Q1经济
[20:53] 甚至转为负值
[20:55] 居然全球经济AI在爆冲
[20:57] 你说内部分化就算了
[20:59] 你经济居然还出现衰退
[21:01] 这是非常有趣的迹象
[21:03] 那当然这也就说明着
[21:05] 台韩作为全人类的发展领头羊
[21:07] 现在人均GDP正在快速上行
[21:09] 2022年南韩的人均GDP大概3.5万
[21:12] 比台湾的3.3万每边还要来得高
[21:14] 但是到2020年2025年
[21:16] 双方差距已经消失了
[21:18] 根据INF的预估
[21:19] 这个差距随着未来AI的发展
[21:21] 会持续的扩大
[21:22] 到2031年
[21:24] 台湾的人均GDP就会达到5.6万美元
[21:26] 南韩大概4.6万
[21:28] 当然你说台湾变成大赢家
[21:30] 没有
[21:30] 我们都是赢家
[21:31] 只是我们跑得稍微快一点
[21:33] 台湾领先幅度
[21:34] 到时候会大概领先南韩1万美元左右
[21:37] 成为目前东北亚最富裕的经济体
[21:40] 当然日本现在已经被抛诸脑后了
[21:42] 现在韩国市场其实也在不断的膨胀
[21:46] 我们看三星在本周才成功的逆袭
[21:49] 正式击败美光称霸的车用记忆体市场
[21:52] 我们知道过去全球的车用记忆体市场
[21:55] 几乎都是美光的天下
[21:56] 但是最新数据
[21:57] 三星的车用记忆体的市占
[22:00] 从35%已经上行到40%
[22:02] 超越美光的36%
[22:04] 成为全球最大的车用记忆体的供应商
[22:07] 除了稳固欧洲日本韩国车厂
[22:09] 中国电动车
[22:10] 很多也跟三星有所合作
[22:13] 所以让它的市占率不断的膨胀
[22:14] 那这几年
[22:15] 很多我们像自动驾驶
[22:17] 智慧座舱
[22:17] 车载系统
[22:19] 一升级
[22:19] 现在一个比较高阶的电动车
[22:22] 它要能够睡觉
[22:23] 要能够看电影
[22:24] 很多记忆体的容量
[22:26] 早就已经超过传统汽车了
[22:27] 那三星所主打的高速储存方案
[22:30] 它就凭借着比较好的效能
[22:32] 和能耗表现
[22:33] 成功的打入多国的供应链
[22:35] 所以汽车产品
[22:37] 现在在三星的帮助底下
[22:39] 反而市占率在高端高阶汽车层面有所扩大
[22:43] 那当然台湾市场也是如此
[22:45] 台湾这几年也是极力的打出国家队的方式
[22:48] 其实不太像国家队
[22:50] 比较像是带小金鸡的方式
[22:52] 就以台积电为首
[22:54] 台积电把所有的企业拉入到自己的供应链
[22:57] 然后跟美方客户来谈条件
[22:59] 亚洲四小龙现在全球新创的生态系指数
[23:02] 其实应该不包含日本
[23:04] 但是我们把日本也加进来
[23:06] 现在在最新的数据统计层面
[23:08] 26年台湾已经全球到
[23:10] 第20名的全球新创生态系统
[23:13] 主要是内部的硬体轮动
[23:14] 创新投资
[23:15] 韩国是第19名
[23:17] 日本第18名
[23:18] 现在就紧追在这两个国家后面
[23:20] 我们也知道
[23:21] 这两天台北国际电脑展
[23:23] 因为二到四是企业家
[23:25] 礼拜五会开放一般民众
[23:27] 这两天
[23:28] 首日就有6万人预约参观
[23:30] 南港整个大大集
[23:32] 当然信义区也有办
[23:34] 不过整体而言
[23:35] 这一次集结了33个国家
[23:37] 1500家的海内外的科技企业
[23:40] 有6000个摊位
[23:41] 现在全球最顶尖
[23:44] 身价最高的人
[23:45] 陆续在台湾露脸
[23:46] 从一开始的回答的黄仁勋
[23:48] 到三星的宋宰赫
[23:50] 美光副总裁
[23:52] SK海力士
[23:53] 崔太元
[23:53] AMD的苏之锋
[23:55] Intel的陈立武
[23:56] 其实大家会发现
[23:58] 台湾慢慢慢慢的
[24:00] 现在路上外国人越来越多
[24:02] 成为国际商务旅客的中心
[24:05] 台北真的变国际大城市了
[24:07] 你像南港和信義區
[24:08] 現在很多阿兜
[24:09] 拉拉坡都是人
[24:11] 像我這兩天
[24:12] 我陸續逛完了
[24:13] Computex的世貿和南展
[24:16] 世貿旁邊還有輝達GTC
[24:18] 可以買買紀念品
[24:19] 這一次我是受邀
[24:21] 剛好拜訪幾位老同學和長官
[24:23] 然後昨天有看到
[24:25] 那個Jason坐在地上吃餅
[24:26] 這次人真的比去年還多
[24:28] 其實去年已經人算蠻多的
[24:31] 比較遺憾的是
[24:32] showgirl變少了
[24:34] 可能因為他現在
[24:35] 大家都在聊生意
[24:35] 但這兩天
[24:36] 是企业和投资人
[24:38] 我反而建议大家
[24:40] 礼拜五
[24:41] 一般大众开放的时候
[24:42] 可以稍微去感受一下气氛
[24:44] 看看机柜长什么样子
[24:46] 世贸那边人稍微比较少
[24:48] 反而很多可以直接跟老板聊
[24:50] 很多执行长就坐在摊位面前
[24:52] 就跟他聊
[24:53] 你就跟他聊说他的看法
[24:55] 带货怎么样
[24:55] 问他一下那机械人的售价
[24:57] 南展就人流比较多一点
[24:59] 可能因为老黄随时会来
[25:01] 所以动线比较乱
[25:02] 我稍微问了四到五个showgirl的IG
[25:06] 不是厂商的情况
[25:08] 问了几个摊位
[25:09] 顺便问了一下单价
[25:10] 刚好他们执行商也在
[25:12] 大家都知道
[25:13] 不像是短期紧急循环
[25:15] 其实订单从去年年底就开始了
[25:17] 但是这种结构性缺口
[25:19] 压力越来越大
[25:20] 因为现在AI伺服器
