[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 也没有传说中的第三支脚
[04:32] 即将公布的台积电财报
[04:33] 明天也被视为关键的风向球
[04:36] 那看起来没有人
[04:37] 以前都是法收会之前
[04:39] 那个系统性卖压就来了
[04:40] 尤其外资的卖压
[04:41] 这一次看起来法收会之前
[04:43] 没有人想要离开台积电
[04:46] 所以如果我们仔细观察
[04:48] 亚洲股市目前已经逐步的
[04:49] 从战争恐慌
[04:50] 往风险修复的方向走
[04:52] 我们仔细观察
[04:53] 当前的市场概况
[04:55] 台湾和新加坡
[04:57] 目前已经率先转正
[04:59] 代表的是资金直接回流
[05:00] AI股半导体类股
[05:02] 中国是接近持平
[05:03] 那日本澳洲是小幅落后
[05:06] 那南韩或者说
[05:07] 其他东南亚市场的部分
[05:08] 过去我们要看
[05:09] 是它的基期偏高
[05:11] 或者部分原物料市场
[05:13] 遭受冲击后
[05:14] 是否有匹极太来的空间
[05:15] 不过你硬要讲
[05:16] 那台湾的确
[05:17] 目前是亚洲经济体的领头羊
[05:19] 甚至金管会在昨天正式宣布
[05:22] 进行进一步的松绑
[05:24] 让市场的
[05:25] 我们讲说这种贷款意愿
[05:27] 或者邮资的信心来得更为强烈
[05:29] 这一次把外国债券纳入担保品
[05:33] 资金开始转动
[05:34] 其实根本上就是把
[05:36] 躺在账上的外国债券
[05:38] 变成可以动用的资金来源
[05:40] 未来只要是Triple B
[05:42] 投资等级以上的外国债
[05:44] 就可以拿来不限用途的
[05:46] 借贷的担保品
[05:47] 等于让投资人不用卖资产
[05:49] 也能够把资金给释放出来
[05:51] 那我稍微问了一下
[05:53] 他不是讲那个债券ETF
[05:54] 我以前质押的时候
[05:56] 债券ETF就可以直接质押了
[05:57] 他这边讲的应该是
[05:58] 券商卖的直债
[06:00] 然后就你买了债券以后
[06:01] 你觉得没什么事情做
[06:03] 反正你也没有打算卖
[06:03] 你就把直债再拿去抵押
[06:05] 再贷出钱来
[06:06] 巴菲特在日本就这样搞的吗
[06:08] 这叫什么
[06:09] 杠上加杠
[06:10] 所以我们看这种
[06:12] 大规模的资金活水
[06:14] 加上金管会的开放
[06:16] 预估规模可以达到3000亿元
[06:18] 那买值债的很多是大户
[06:20] 这笔钱大量的重新流回到台股之后
[06:23] 会不会以后的成交量
[06:25] 兆元就是基本盘了呢
[06:27] 值得大家来多做一些留意
[06:29] 不过至少我们还是可以看到
[06:31] 市场大多数亚洲货币在战争低点之后
[06:34] 都对于美元呈现了反弹
[06:35] 代表美元的避险需求也开始退潮
[06:38] 所以离岸人民币现在已经转为正报酬了
[06:40] 其实如果大家观察
[06:42] 现在人民币对台币
[06:44] 购买力是大幅的提升
[06:46] 所以这一段时间我们看到
[06:48] 亚洲新市场货币开始转为一个升值态势
[06:51] 可是回过头来说
[06:52] 波动降温是否代表风险消失了
[06:55] 其实现在主要还是一个征兆
[06:58] 那就是跨资产的波动率正在下降
[07:00] 甚至回到伊朗战前的水准
[07:02] 让避险成本变得更便宜而已
[07:05] 并不代表说市场上风险全部消失
[07:08] 但是的确
[07:09] 现在避险的压力没有这么大了
[07:11] 目前外汇和长天期美债
[07:12] 比如说TLT的避险价格被低估
[07:15] 反而提供了重新布局风险对冲的机会
[07:18] 所以市场的情绪就是
[07:19] 最难的那个风险应该过去了
[07:22] 但问题是
[07:23] 能源市场也没有同步降温
[07:25] 原油价格还在高位
[07:26] 现在还是有能源冲击的压力
[07:29] 所以我们才讲说市场结构
[07:30] 很多人的理解就无法去佐证
[07:33] 就觉得现在有点讯号失真
[07:35] 油价上涨
[07:36] 股市没有说一定要跌了
[07:39] 那你要压制股市
[07:41] 股市还创新高
[07:42] 所以这个时候的船岛开始失灵
[07:44] 油价还在警告风险
[07:46] 但股市选择的是上涨
[07:48] 那最后呢
[07:49] 空头被迫回补
[07:50] 带动了逼空行情
[07:51] 代表的是市场的叙事正在转换
[07:54] 要么就油价走错了
[07:55] 它不应该涨那么多的
[07:57] 要么就是其他资产还没有反应完
[07:59] 而且过度极端了
[08:01] 那如果是后者
[08:02] 那现在的低波动就是一种错价
[08:04] 未来重新定价
[08:05] 波动率可能就因此而放大所以在这样的一个效果底下等同于投资人用自己的資金和实力佐证能源危机不会发生看起来市场的看法在4月份是大幅度的转弯
[08:18] 那我们讲一下几个原因好了
[08:20] 从几个角度来看
[08:21] 第一就是能源通膨的传导还不明显
[08:24] 加上市场认为仍然有和谈的可能性
[08:27] 所有的经济上的封锁
[08:29] 都是为了下一轮谈判
[08:30] 当市场意识到
[08:31] 川普应该是没有打算占领哈格岛以后
[08:34] 市场就会把更进一步的封锁
[08:36] 制裁把它当作第二轮或者第三轮谈判的筹码
[08:40] 而并不是进一步暂时的升温
[08:42] 所以第一战争达到极限了
[08:44] 第二是三月份美国的生产者物价指数
[08:47] 昨天出来了
[08:47] 能源价格是大涨了
[08:49] 甚至月增幅增长
[08:51] 预估要增长1.1%
[08:52] 结果实质增长只有0.5%
[08:54] 这比预期来的低
[08:55] 年增幅是冲高到4%
[08:57] 这是不低了
[08:58] 创下一年多来的高点
[09:00] 不过还是比市场预期的4.6来的低
[09:02] 说明什么事情
[09:03] 市场在三月份以为会很严重
[09:06] 那现在数据公布出来
[09:07] 其实也蛮严重的
[09:08] 但是没有比三月份预估来得严重
[09:10] 最终在预期效果底下
[09:12] 反而股票市场有进一步的带动效果
[09:15] 所以这项数据你看年增幅
[09:16] 其实是创高的
[09:18] 可是股价却是大涨反应
[09:20] 因为没有比想象中还要来得坏
[09:22] 真正的重点在于通膨结构
[09:24] 目前是典型的上游能源推动
[09:26] 但服务和核心需求还是偏弱
[09:28] 这种组合就代表着
[09:30] 能源要传进到终端价格有一段时间
[09:33] 你看看现在需求消费是真的蛮弱的
[09:36] 就是举例来说
[09:38] 能源价格的大涨
[09:40] 足不足以导致你整体零售终端价格
[09:44] 全面飙升
[09:45] 这要取决于市场的消费体量
[09:48] 你只要花的钱越少
[09:49] 你本来花100块
[09:50] 现在变80块60块
[09:52] 那你本身而言
[09:53] 需求量仍然在萎缩
[09:55] 仍然会对于整体产品市场有通缩效应
[09:58] 所以就消费萎缩
[09:59] 但是上游端的通膨价格正在传导
[10:01] 那这就是一好一坏
[10:03] 从下游端那就要降息了
[10:05] 从上游端
[10:06] 你不一定要升息
[10:07] 但是你也很难有更多降息的空间
[10:09] 那当然我们也可以理解
[10:10] 主要就是这几年
[10:12] 美国内部的购买力的上升
[10:14] 我们才过去五年的角度来做观察
[10:17] 从21年到现在
[10:18] 美国的一些民生用品的涨价幅度
[10:21] 咖啡每磅
[10:22] 平均涨幅是106%
[10:24] 绞牛肉是66%
[10:27] 汽车保险涨了六成
[10:28] 燃料油涨了57%
[10:30] 运输价格涨了47%
[10:32] 鸡蛋价格涨了44%
[10:34] 天然气涨了44%
[10:35] 房价涨了38%
[10:37] 电力涨了37%
[10:38] 汽油涨了34%
[10:39] 餐饮涨了31%
[10:41] 住房涨了29%
[10:42] 家庭健康保险涨了27%
[10:44] 食品杂项涨了26%
[10:46] 新车涨了20%
[10:47] 那涨比较少的是二手车
[10:49] 涨了18%
[10:49] 所以在这样的一个效果底下
[10:51] 是说明着美国内部经济
[10:53] 其实是蛮脱节的情况
[10:55] 让联准会也很难采取进一步的紧缩
[10:57] 因为消费市场的确是有点差了
[11:00] 我们根据最新全球纺织和运动产业的分为来看
[11:03] 相关指数今年已经跌了15%
[11:06] 费办台股都已经创历史新高了
[11:09] 结果纺织类股今年还跌了1成5
[11:12] 相比2021年的高点
[11:14] 现在是跌多少
[11:15] 跌了65%
[11:16] 这个是整个指数
[11:18] 所以高盛最新的调查显示
[11:20] 亚洲主要的代工厂
[11:21] 3月份是非常分歧的
[11:23] 那有一些已经开始准备囤货了
[11:25] 因为巨脂纤维大涨
[11:26] 那更关键的是品牌端的压力
[11:29] 我们看现在不管是
[11:30] Nike、Aidida
[11:31] 主流的龙头品牌的转型进度
[11:34] 不如预期以后
[11:35] 导致整个产业的逆风来源
[11:37] 逐步发酵
[11:38] 这其实就说明着
[11:39] 终端销售并不是特别好
[11:41] 可是上游端的通膨又在传导
[11:43] 它就形成一个现象
[11:44] 正在分裂的美国消费结构
[11:46] 我们看上半边
[11:47] 是美国的个人所得
[11:49] MOM 月增幅
[11:50] 现在是-0.1
[11:52] 就美国现在所得是衰退的
[11:54] 不是年增地缓
[11:55] 是衰退
[11:56] 下面的是消费支出PCE
[11:58] 还在0.5%的增长
[11:59] 那说明的事情是
[12:01] 很明显
[12:01] 现在你的个人所得已经开始减少
[12:04] 可是你的物价还在增温
[12:06] 那你只有三种方式去称
[12:08] 第一种
[12:09] 动用过去的累积的储蓄
[12:11] 第二
[12:11] 你就依赖信用卡或者贷款
[12:13] 第三
[12:14] 你要靠资产效果来支撑支出
[12:16] 什么意思
[12:17] 你股价涨了
[12:18] 你就拿去质押
[12:19] 你就有钱贷出来了
[12:20] 按照这样的一个效果
[12:22] 本身而言
[12:23] 如果他的收入迟迟没有翻正
[12:26] 本身就是在透支未来的需求
[12:28] 那一旦信用收缩或者资产价格回挡
[12:31] 消费就很容易出现补跌
[12:32] 这是我们看到联总会几乎
[12:34] 即便在这种情况底下
[12:36] 没有任何紧缩的条件的根本原因
[12:38] 为什么
[12:39] 因为消费市场目前正在急动
[12:41] 我们从通膨角度来看
[12:43] 明目新资过去几个季度一直在成长
[12:46] 还大概在3.8到3.9%左右
[12:49] 可是我们看到调整之后的实质新资
[12:51] 已经好几个月都出现了重度衰退
[12:55] 就代表着
[12:56] 从三月份中东问题之后
[12:59] 我们看到整体通膨物价的涨幅
[13:01] 已经远远超过整体薪资涨幅
[13:04] 最后就导致市场上有标准的
[13:07] 这种消费急缩的概念
[13:09] 那最终呢
[13:10] 这也是促使川普是否要加速中东谈火
[13:14] 而中东谈判的一个条件的根本原因
[13:16] 毕竟从现在的角度而言
[13:18] 联准会的确就面临了更两难的处境
[13:21] 就是没有中东战事
[13:24] 看起来这个消费数据
[13:25] 是足以扩大降息码数了
[13:27] 从原本今年年初预估一码两码
[13:29] 搞不好可以扩大到三到四码了
[13:31] 现在就卡在一个原油
[13:32] 所以川普大概也知道这件事情
[13:35] 只要把中东战火给结束
[13:37] 那看起来降息条件就运发了
[13:39] 那现在害怕的是什么
[13:40] 三月份CPI
[13:41] 四月份CPI
[13:42] 五月份CPI
[13:43] 一直传导下去
[13:44] 那你要传导到终端价格
[13:46] 还要联总会降息
[13:47] 就有点难度了
[13:48] 所以他是在跟时间赛跑的
[13:49] 那回过头来说
[13:50] 现在谈判的确还在持续
[13:52] 邮轮和能源站也同时上演
[13:55] 那现在川普的态度
[13:56] 我们过去提过
[13:57] 走伊朗的路
[13:58] 让伊朗无路可走
[14:00] 川普办事情
[14:02] 本来就有一点典型的商人逻辑
[14:04] 一边也不太做长远的打算
[14:07] 就走一步看一步
[14:08] 但是具体来说
[14:09] 是给对手来一招极限施压
[14:12] 恐吓恫吓
[14:13] 看对手有什么反应
[14:14] 有竹杠就敲
[14:15] 那敲到软柿子
[14:17] 那就狠狠的捏一下
[14:18] 那下问题来了
[14:19] 不小心敲到钢铁了
[14:22] 那你也不确定伊朗的态度
[14:23] 是否有意在4月5月有停仗态势
[14:26] 还是有进一步的要求
[14:28] 所以核协议的卡关
[14:29] 使得市场上压力来得越来越大
[14:31] 川普在昨天受美联社和BBC的访谈
[14:35] 已经表示
[14:35] 美军现在已经实质封锁了伊朗
[14:38] 他也称美国不能够让一个国家
[14:41] 敲诈勒索全世界
[14:42] 怎么感觉跟关税战有点像
[14:45] 但这不是重点
[14:46] 重点是市场的民调反应
[14:48] 已经逐步进行发酵
[14:49] 我们根据美银最新数据
[14:51] 政策压力
[14:52] 把大家认为市场转折的讯号
[14:55] 做高度连结
[14:56] 就是市场上之所以会有这么认为
[14:58] 川普一定会想要解决这场战事的根本原因
[15:00] 就来自于民调下滑力度
[15:02] 在三月份太快了
[15:03] 我们可以看到
[15:04] 不论是整体支持度
[15:05] 对于经济的支持度
[15:07] 还是对于通膨的评价
[15:09] 川普的民调在三月份是急崩
[15:11] 过去就是缓降而已
[15:12] 这是任何人执政的蜜月期
[15:14] 度过以后都会发生的现象
[15:16] 现在经济和通膨的满意度
[15:18] 甚至已经掉到30出头了
[15:20] 这代表的是市场其实已经盯的不是民调本身了
[15:24] 是政策会不会被迫转向
[15:26] 就政治压力累积到一定程度以后
[15:28] 政府就往往不得不出手
[15:30] 比如说降低关税
[15:31] 释放更进一步的战略储备
[15:33] 或者往宽松或者谈判降温的冲突方向来做前进
[15:38] 在这样的一个效果底下
[15:39] 市场上就有进一步的压力持续形成
[15:42] 当然我们回过头看亚洲市场
[15:44] 也不能够等这个时间了
[15:46] 为什么
[15:46] 因为亚洲市场的压力也越来越大
[15:48] 大家都急着想要中东战事快点结束
[15:51] 我们看这次中东推升油价之际
[15:53] 巴基斯坦面临的外汇储备压力升高
[15:56] 虽然他是双方的和解人
[15:59] 可是由于阿拉伯联合大公国
[16:01] 要求偿还30亿美元的贷款
[16:04] 而且未像去年一样续借
[16:06] 导致资金瞬间缩水
[16:07] 巴基斯坦出现了金融风暴
[16:10] 资金压力极大
[16:11] 包括双边国家资源和商业融资
[16:14] 现在外汇市场的部分
[16:16] 已经遭受到极大冲击
[16:17] 那巴基斯坦如何筹出这些钱来还给中东压力就很大了那第二大方面是日本的财政压力在短期內也瞬間放大日本這一次也是跟台灣一樣重啟了油價補貼三月中旬原本一路飆升的油價
[16:31] 政策快速介入以後
[16:32] 從當時每公升184塊日元
[16:35] 現在只掉到160塊了
[16:37] 那問題在於價格可以壓
[16:39] 成本壓不住
[16:40] 日本98%能源是靠進口
[16:42] 中東局勢推高國際油價之際
[16:45] 現在則是延後反應
[16:46] 那你要知道
[16:46] 日本的財政壓力
[16:48] 远远比韩国台湾市场来得严重
[16:51] 过去日元的几次风暴
[16:53] 都是由于财政体质的冲击
[16:55] 高市已经要用很高强度的财政刺激
[16:58] 来拯救日本经济了
[16:59] 现在还要进行补贴
[17:01] 市场上压力就会来得越大
[17:03] 最后所造成的效果就是
[17:05] 美国一方面从民间反应来看
[17:08] 的确是输家
[17:09] 通膨压力极大
[17:10] 可是从业营油商的反应来看
[17:12] 4月以来
[17:13] 全球大量的船队
[17:14] 都往美国的墨西哥湾来做集中
[17:16] 荷姆支海峡
[17:17] 现在几乎是清空
[17:18] 那背后大家都疯狂的往墨西哥湾
[17:21] 往美国湾
[17:23] 讲美国湾才对
[17:25] 要不然讲墨西哥湾被ICE抓走
[17:27] 美国湾来做集中
[17:29] 美国石油出口直接创下历史新高
[17:31] 4月份预估是520万桶每天
[17:34] 月增服饰接近三成
[17:36] 亚洲的需求是暴增了82%
[17:38] 大量的日本韩国和台湾
[17:40] 正在往美国来接气
[17:43] 那不只是原油和天然气
[17:45] 我们看到这一次氦气也遭受到冲击
[17:47] 过去几年
[17:48] 你看台湾大部分的氦气的进口
[17:51] 高度依赖卡达
[17:52] 那氦气是半导体制成的重要原料
[17:55] 2026年出现了明显转捩
[17:57] 你看我们从卡达进口的氦气暴减
[18:00] 至少减幅有接近一半
[18:02] 那谁补位呢
[18:03] 美国补位了
[18:04] 成为了关键供应者
[18:06] 氦气之所以关键
[18:08] 是因为它是一个半导体不可替代的冷却气体
[18:10] 台湾又处在全球晶片的产业核心
[18:13] 所以供应链是一定要稳定的
[18:15] 管你钱多少
[18:16] 反正成本也是有限
[18:17] 重点就在于
[18:18] 台湾新一轮的能源结构转捩
[18:21] 已经发生了
[18:22] 我们可能会有好长一段时间
[18:24] 再也不会依赖中东的原物料了
[18:27] 我们开始大量的依赖美国的供应
[18:29] 所以未来的风险
[18:30] 变成太平洋风险了
[18:31] 好那当然
[18:32] 太平洋的压力
[18:33] 就没有像中东来这么大了
[18:35] 可是台湾依然遇到了缺料方式
[18:38] 或者缺料的冲击
[18:39] 这一次台化在昨天指出
[18:41] 由于波湾地区石油设施遭到破坏
[18:43] 加上荷姆斯海峡的物流受损
[18:45] 现在原料供应短期内难以充沛
[18:49] 或者说接下来难以补充
[18:51] 现在已经在销库存了
[18:52] 台塑已经直接补充
[18:53] 因为中东有72处的油气和炼化设施受损
[18:57] 包括PE我们讲聚乙烯或者PP聚丙烯
[19:01] 现在产能是停摆的
[19:02] 所以台湾已经正式进入到缺料模式
[19:06] 那石化产能现在大概只剩下三成左右
[19:09] 五六月份的原料采购能见度依然不明
[19:13] 南亚的部分
[19:14] 它的回应是很保守的
[19:15] 是短单
[19:16] 小量阶单来降低风险
[19:17] 所以企业现在的核心任务
[19:19] 大家都不是急着要扩产
[19:22] 来消耗市场的极度需求
[19:24] 而是找到料就先撑住产线
[19:26] 但是不排除透过税休
[19:29] 来应对供应中断
[19:30] 看起来大家都有陆续的进行
[19:33] 库存产能调试的一环
[19:35] 那这件事情就说明着
[19:36] 我们都不知道五六月份
[19:37] 到底材料够不够
[19:38] 这个是压力比较大的部分
[19:40] 可是刚才跟投资朋友提到
[19:42] 美国的部分是内部的通膨
[19:44] 它的确正在持续升温
[19:46] 但是总体而言
[19:48] 投资人是相信
[19:49] 正由于这样的一个政治压力
[19:51] 导致川普有和谈的可能性
[19:53] 那台湾也是一样
[19:54] 台湾这次三月份的公布的通膨数据
[19:57] 只有1.2%
[19:58] 那其实不是很高
[19:59] 那我看了一下
[20:01] 你像是油料费的部分
[20:03] 三月份还没有重返
[20:05] 去年前年的高点
[20:07] 现在应该已经突破了
[20:09] 那蔬菜价格比去年来的低
[20:11] 水果价格也比去年来的低
[20:13] 那少数高的就是外部的服务费用
[20:16] 你像是外食价格比去年来的高
[20:18] 房租价格也比去年来的高
[20:21] 那整体而言
[20:22] 我们看到三月份的通膨数据
[20:25] 你说1.3%跟美国的现在PPI 4%
[20:30] 比较起来好像有一段差距
[20:32] 的确
[20:33] 其实我们看得很清楚
[20:34] 这就是来自于高强度的能源补贴
[20:37] 所造成的效果
[20:38] 三月份其实我们看到能源
[20:40] 并没有真实传导到中端价格
[20:42] 甚至有很多价格
[20:43] 农产品的部分
[20:44] 正在高速跌价
[20:45] 所以买菜的部分
[20:46] 还是有部分蔬菜价格正在下跌
[20:49] 我们看跌几个比较重的
[20:51] 你像番石榴跌了49%
[20:53] 香蕉跌了40%
[20:55] 茄子跌了30%
[20:57] 苦瓜跌了29%
[20:59] 西瓜跌了25%
[21:01] 南瓜跌了22%
[21:03] 怎么都是条状物
[21:04] 但这些蔬菜价格的跌幅
[21:06] 刚好跟中端油料价格
[21:09] 塑化价格的涨幅稍微冲销
[21:11] 所以台湾政府采取的做法是
[21:13] 跟日本一样
[21:14] 进行几乎是全面性的
[21:16] 能源价格的吸收
[21:17] 那就会变成很有趣的迹象
[21:19] 就台湾经济这几年
[21:21] 你会发现
[21:22] 怎么GDP成长可以7% 8%
[21:26] 结果通膨1.2 1.3
[21:28] 高成长低通膨经济体
[21:31] 人生最美好的经济体
[21:33] 不就自动经济体吗
[21:34] 物价涨幅有限
[21:36] 而且所得大家都成长很高
[21:37] 不过我们很清楚
[21:39] 这当然是政府所采取的补贴作用
[21:41] 最后是反映在纳税人身上
[21:43] 可是好处想是什么
[21:44] 刚才讲到美国的实质薪资已经翻覆了
[21:46] 可是台湾的经常性薪资
[21:48] 从2024年年底以来就在不断的上升
[21:51] 22年到20年是真的很痛苦
[21:53] 那个时候通膨真的是明显超过薪资
[21:55] 但是24年25年以后就在高速的起飞
[21:59] 就说明台湾的本质经济体制
[22:01] 看起来现在是比美国还要好非常非常多的
[22:04] 那重点是什么
[22:04] 重点是所得分配的问题
[22:06] 因为台湾平均薪资4.8万
[22:08] 但是70%的员工
[22:09] 并没有领到这样的一个薪资
[22:11] 全球收入不均的程度
[22:13] 已经来到第12名
[22:14] 在今年正式超越日韩
[22:17] 所以台湾的贫富差距
[22:18] 现在已经逐步超越日本和韩国
[22:20] 我们举几个产业来看
[22:22] 虽然我们看到半导体的薪资
[22:23] 不断在上升
[22:24] 可是最近餐饮业的薪资
[22:26] 公布数据出来
[22:27] 25年上市柜的餐饮业
[22:29] 平均薪资是56万
[22:31] 这不只是没有成长
[22:32] 还小幅下滑
[22:34] 更极端的事情是
[22:35] 部分产业像安心食品
[22:38] 安心食品是摩斯
[22:39] 三商餐饮
[22:41] 就是三商巧服
[22:42] 亚洲藏寿司
[22:43] 年薪平均大概是在30万元上下
[22:46] 那等于月薪不到3万元
[22:47] 已经接近许多基层服务业的水准
[22:51] 那稍微比较高的
[22:52] 有一些像八方云旗
[22:53] 平均薪资98万
[22:55] 所以它才可以出海
[22:56] 汉来62万
[22:58] 所以还是可以看得出来
[23:00] 市场上的不断轮动
[23:01] 会造成我们看到
[23:03] 体感温度跟实质经济的脱钩
[23:06] 台湾的经济体质
[23:07] 看起来是比美国还要好不少
[23:08] 台湾的通膨
[23:09] 看起来也比美国还来得低
[23:11] 但是从实质感受程度
[23:12] 台湾也迎来了新人的挑战
[23:14] 美国是贫富差距一直都很大
[23:16] 台湾是在这几年瞬间放大的
[23:19] 这给投资朋友做一些思考
[23:20] 所以这样一讲
[23:22] 做餐饮业还不如去科技业当作业员
[23:25] 其实你把部分工时
[23:27] 打工的工时加进去
[23:29] 可能会稍微低一些
[23:30] 我不确定它的具体统计方式为何
[23:32] 因为所有的餐饮业都是这样统计的
[23:34] 那有些高有些低
[23:35] 这还是比较明显
[23:37] 所受到这种贫富差距
[23:39] 所拉伸的伤害
[23:40] 好 当仁指数上涨317点
[23:42] 0.66%
[23:43] 收在48535点
[23:45] 标普上涨81点
[23:47] 1.18%
[23:47] 收在6967点
[23:51] 那斯达克指数上涨455点
[23:52] 1.96%
[23:53] 收在23639点
[23:56] 肺瓣
[23:56] 哇 那肺瓣真的涨不停
[23:59] 上涨184点
[24:01] 2.04%
[24:02] 收在9224点
[24:04] 哇
[24:05] 这个是我们小编最好的生日礼物
[24:08] By the way
[24:08] 我们今天是我们小编的生日
[24:10] 恭喜我们的小编生日快乐
[24:13] 几岁生日
[24:14] 当然是18岁
[24:15] 今年已经是我们小编第五年
[24:19] 过我们的18岁生日了
[24:21] 小编是童工
[24:23] 未成年就来这边打工了
[24:25] 还是不要聊这个
[24:26] 但小编已经陪伴我们好几次的直播
[24:29] 好像每一次他生日都是平日所以大家如果有兴趣想要祝贺我们小编的话一方面当然要祝贺他生日快乐一方面可以加入请小编喝咖啡专案我们小编有一个特性
[24:43] 我以前看他都会
[24:44] 常常问别人有没有生日
[24:46] 为什么
[24:46] 因为他常常想吃蛋糕
[24:48] 然后又有负罪感
[24:49] 然后就会到处找
[24:51] 你有没有生日
[24:52] 看谁生日
[24:53] 然后就可以趁机吃蛋糕
[24:54] 我们请小编吃蛋糕好不好
[24:56] 如果大家有兴趣
[24:58] 也可以请浩哥喝茶
[24:59] 我们在YouTube
[25:00] 都有赞助的方案
[25:01] 或者你有更多的兴趣
[25:02] 可以加入我们的会员影片方案
[25:05] 里头都有更进一步的解读
[25:06] 除了我们直播以外的动态解读
[25:08] 或者更有兴趣
[25:09] 可以来到我们的会员网站
[25:10] 给投资朋友做一些思考
[25:12] 对对对
[25:13] 生日快乐
[25:14] 所以我决定待会如果直播结束
[25:18] 没什么事情的话
[25:19] 我们小编就先下班吧
[25:21] 除非还有事情做
[25:23] 这句话很有用
[25:25] 所以其实我们很多英文图表
[25:27] 解读都是我们小编找的
[25:30] 所以基本有一些中文图表
[25:33] 我当然自己找没问题
[25:34] 因为我中文很好
[25:36] 可是有时候英文直播资料量稍微有点大
[25:39] 有时候早上又要及时数据
[25:41] 所以有时候我们小编是真的蛮辛苦的
[25:45] 我们小编有时候也压力很大
[25:48] 他英文能力也是从零开始往上练
[25:51] 然后每一张图表
