[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这次马斯克旗下的SpaceX
[03:15] 甚至跑在纳斯达克指数之前
[03:17] 不过这两年却出现了比较显著的变化
[03:21] 那就是全球股市和风险资产是持续的走高
[03:24] 但是比特币不仅未能够同步创高
[03:27] 而且甚至还黄金已经很惨了
[03:29] 黄金从最高位这样跌下来
[03:31] 那也是一度逼近到熊市
[03:33] 现在总体跌幅年初到现在跌2.3
[03:36] 它还是落后了黄金有26%左右
[03:40] 这就说明着基本上历史上
[03:43] 2014年高点黄金曾下跌43%
[03:46] 比特币当时是暴涨7000%
[03:49] 就是你说它跟风险资产脱钩就算了
[03:52] 那同样是避险资产也会有一点轮动
[03:54] 大家不把黄金当避险资产
[03:56] 以前也会把比特币当成一种另类的避险资产
[03:59] 结果现在看得出来
[04:01] 比特币过去作为数位黄金的角色
[04:04] 原本大家预估是有强化效果
[04:06] 或者跨境支付
[04:08] 储存工具或者区块链的应用
[04:10] 不过目前市场卖压仍然相当沉重
[04:12] 主要有两大结构性的风险担忧
[04:15] 一个是持有超过58万枚的比特币
[04:19] 占流通总量的Strategy
[04:20] 它的运营模式高度依赖
[04:23] 发债和杠杆融资来购买比特币
[04:25] 由于它在28年会有120亿美元的债务陆续到期
[04:29] 如果币价大幅下跌
[04:32] 它可能有被迫出售资产的恶性循环
[04:34] 就是我们讲的大比特币商
[04:36] 大主力商
[04:37] 它可能有适度出脱的可能性
[04:40] 再来其他有人认为是量子运算技术
[04:42] 快速进步所带来的威胁
[04:44] 有670万枚比特币
[04:46] 现在存放在已经公开的地址当中
[04:49] 占总量三分之一
[04:50] 理论上如果量子电脑
[04:52] 在2030年到2032年
[04:53] 有突破现有的加密技术
[04:55] 那这些资产
[04:56] 当然会有被破解的可能性或者风险
[04:59] 那不管怎么说
[05:00] 我们单纯从资产的流动性来做观察
[05:02] 这一轮很明显
[05:04] 你像纳斯达克指数
[05:06] 或者标普派指数
[05:08] 在过去一段时间
[05:09] 其实涨幅也差很多
[05:11] 费办跟纳指也差很多
[05:12] 说明的在本轮的上涨过程当中
[05:15] 它也不算是很均衡性的上涨
[05:17] 它基本上就是借由科技股
[05:19] 尤其是大型科技股
[05:21] 黄金和比特币的集体休息
[05:23] 来换取目前废办硬体股的显著拉伸
[05:27] 那黄金也是一样
[05:28] 黄金到目前为止
[05:29] 整体价格它是跌破了年限的关卡
[05:32] 就连过去十分看好黄金价格的高盛
[05:35] 最近都变成长期看多
[05:37] 短期变为谨慎
[05:39] 一方面是担心
[05:40] 滑雪可能带来更为鹰派的政策路径
[05:43] 利率可能就保持在高位
[05:44] 很长一段时间
[05:45] 对于黄金造成适度成压
[05:47] 那当然长期看好的原因
[05:49] 还是有它的根本理由
[05:50] 那就是全球央行
[05:52] 还在作为系统性的买盘
[05:53] 世界黄金协会的调查
[05:55] 高达45%的央行
[05:57] 计划未来一整年
[05:58] 持续增持黄金
[05:59] 创下历史新高
[06:01] 所以就变成现在是
[06:02] 散户对于黄金兴趣缺缺
[06:04] 也不是代表未来不会增持
[06:06] 只是我先把股票拿去买美光
[06:08] 更为划算吧
[06:09] 把现金先移过去
[06:10] 不要浪费在这个没有资金效益的地方
[06:13] 不过央行的长线投资买盘
[06:15] 目前反而正在持续进驻当中
[06:18] 那另外一个价格表现相对比较差劲的
[06:21] 除了黄金和比特币以外
[06:22] 就是七巨头了
[06:23] 昨天我们才提到
[06:24] 在整个26年到现在
[06:26] 七巨头的整体报酬率
[06:28] 基本就是小幅上涨
[06:30] 甚至落后给标普白指数
[06:32] 那是远远落后给纳斯达克指数的
[06:34] 其实从15年以来的环境
[06:36] 你有没有发现只要是多头
[06:37] 基本上七巨头都是年年跑赢大盘的
[06:40] 15年七巨头跑赢大盘多跑了42%
[06:44] 16年28
[06:45] 17年32
[06:46] 18年5.2
[06:47] 19年22
[06:48] 20年145
[06:50] 21年23
[06:51] 除了22年以外
[06:52] 基本上23、24、25年也是真报仇
[06:55] 结果在2026年居然跑输给大盘
[06:58] 跑输了9.4%左右
[07:00] 这说明市场的领涨结构正在改变
[07:03] 以前我们都想说大者恒大
[07:05] 那这些企业优居有护城河
[07:07] 现在市场变得更加精明了
[07:10] 当AI大爆发以后
[07:11] 第一次爆发
[07:13] 第二次爆发
[07:14] 你花越多钱
[07:15] 大家就去年十月永动机
[07:16] 你只要签约
[07:18] 股价就会涨
[07:19] 管你那么多
[07:20] 管你要干嘛
[07:21] 反正你就签约就好了
[07:22] 然后这笔签约的这张纸
[07:24] 就可以拿去银行贷款
[07:25] 做更多的融资计划
[07:27] 可是现在市场很精明的
[07:29] 市场从买AI的这些巨头
[07:32] 资金开始移转到
[07:34] AI受惠者
[07:35] 就是卖AI产值的这些企业
[07:37] 导致费办过去几个月是扶摇直上
[07:40] 但七巨头不再是唯一的赢家了
[07:43] 所以现在市场上
[07:44] 就是三者
[07:45] 应该讲四者特别的落幕
[07:47] 一个就是加密货币持有者
[07:49] 第二个就黄金持有者
[07:51] 第三个是债挖
[07:53] 第四个就七巨头持有者
[07:55] 所以我们必须承认
[07:56] 行情走到这样的一个状态
[07:58] 本来内部资金就会适度的轮动
[08:00] 可以看得出来
[08:01] 市场上好像也没有想象中这么疯狂
[08:03] 无限炒作任何资产
[08:05] 市场上正在投资那些
[08:07] 当下立即就能够赚钱回馈的企业
[08:10] 还没赚到钱的
[08:11] 或者资金效益不高的先不投
[08:13] 事实上
[08:14] 通常都股价一跌
[08:15] 什么鬼故事都出来了
[08:17] 这些七巨头财报表现
[08:18] 其实也不算差
[08:19] 你像阿发贝
[08:20] 前一天不是中出6%吗
[08:23] 当时是不是担忧
[08:24] AI人才流失所引发的市场焦虑
[08:27] 不过我们回过头看
[08:28] 其实在整个七巨头层面
[08:30] Google表现已经不算太差了
[08:32] 虽然他也是落后给纳斯达克指数
[08:34] 不过总体涨幅仍然大概有10%今年以来纳指今年涨幅是12%那其他像苹果涨幅大概是9%Amazon涨幅2.7%
[08:45] 特斯拉今年收跌跌了7.5%
[08:48] Meta跌13%
[08:49] 微软跌了22%
[08:50] 微软本来前两天五月份的时候还硬起来
[08:54] 现在又软下去了
[08:55] 反而是台积电今年涨幅
[08:57] TSM涨幅有48%
[08:59] 这些数据
[09:00] 你知道台积电在今年好像在台股还跑出给大盘
[09:03] 所以这件事情就意味着
[09:05] 其实巨头们在今年的表现
[09:07] 还是受到比较大的一个系统性的承压
[09:09] 也不是说大家每个人都搭上了
[09:12] 本轮的疯狂多头
[09:13] 我们当然知道
[09:13] 大家知道我们是科技乐观论者
[09:15] 所以很多人知道我们的投资的属性和部位
[09:18] 我们是把个股风险几乎是均摊
[09:21] 有ETF方式持有
[09:22] 但是比较集中在费办和纳斯达克指数
[09:25] 两大领域
[09:26] 所以主要是科技七巨头
[09:27] 还有整个费办都在做持续性的投入
[09:30] 那你可能会有不错的量也绩效
[09:32] 可是你说单纯投VT
[09:34] 单纯投七句头
[09:35] 今年绩效会很亮丽吗
[09:36] 其实也不是特别好
[09:38] 所以每个人的绩效
[09:39] 在今年其实会差蛮多的
[09:40] 即便你并非现金持有者
[09:43] 我们举例来说
[09:44] 从20年至今
[09:45] 标普500的年化报酬率
[09:47] 其实也不过15.6
[09:49] 它的确比长期的10%来得高
[09:51] 也优于2010年代的13.1
[09:54] 不过你拿来跟1950年代的19.5
[09:57] 1990年的是8.2
[09:59] 1980年代的是7.4
[10:01] 其实还是有一段距离
[10:03] 这件事情就说明着
[10:04] 你不要看好像川普行情都非常亮丽
[10:08] 主要是先杀后涨
[10:10] 都是因为他把机器给弄低了
[10:11] 所以感觉你好像涨得特别多
[10:13] 但其实从年初到年尾
[10:16] 报酬并没有特别的亮丽
[10:18] 所以总体而言
[10:19] 美欧股市你说涨幅有全面性失控吗
[10:22] 你只看非凡那是有一点
[10:24] 可是我们通常是以标普500大巨头
[10:26] 作为主要的观察方向
[10:28] 我们回过头来看
[10:29] 现在在整个标普白指数里头
[10:31] 涨幅最为亮丽的几支股票
[10:33] 第一名那就SANDISK
[10:35] 涨幅820%
[10:37] 今年以来
[10:38] 其他像威腾涨了333%
[10:41] 美光297%
[10:43] 西杰289%
[10:44] Intel263%
[10:46] 戴尔227%
[10:47] 超微150%
[10:49] 印柴140%
[10:51] 这个都是标普指数里头的企业
[10:53] 有没有发现
[10:54] 清一色全部都是半导体公司
[10:57] 那这当然也跟涨价题材
[10:59] 有比较高的一个联动度
[11:01] 你像台积电刚才的涨幅
[11:03] 已经是七巨头排行第一了
[11:04] 你拿来跟这几只巨头来做比较
[11:07] 那台积电涨幅也算是很委屈了
[11:09] 所以主要就是涨价题材
[11:11] 所带动的记忆体行情持续拉升
[11:14] 昨天联发科也宣布了
[11:15] 要调涨晶片价格
[11:16] 理由就是零组件缺货
[11:18] 物流成本上升
[11:19] 供应链的压力
[11:20] 但背后是什么
[11:21] 背后原因就是
[11:22] AI已经在重塑整个半导体产业
[11:25] 过去十年手机市场竞争又很激烈
[11:28] 手机晶片的IC设计公司
[11:30] 往往需要自行吸收成本来维持市场
[11:32] 你以前也很少看到什么
[11:34] 手机缺货当年卖得特别好
[11:36] 然后连发哥还宣布调涨精品价格
[11:38] 很少听到这种事情
[11:40] 结果今年就是这样子
[11:42] 开始做高强度的调升
[11:44] 这也反映着台湾很多企业
[11:46] 也从销价竞争
[11:47] 总向了价值竞争
[11:49] 好那我们看一下
[11:50] 那叠最重的标普牌指数当中的企业
[11:53] 前面几名
[11:54] 你像是Costar
[11:56] 房地产资讯集团叠了55%
[11:59] 波士顿科学跌了52%
[12:00] 爱生者顾问公司跌了51%
[12:03] 其他像是Lululemon跌了46%
[12:05] Adobe跌了44%
[12:07] Salesforce跌了42%
[12:08] 你会发现
[12:10] 跌最多的都是一些软体IT服务
[12:13] 跌最多的也是科技股
[12:15] 还不是单纯的传产股
[12:17] 你像是IT服务
[12:19] 数位广告
[12:19] 企业的SaaS公司
[12:21] 或者一些顾问公司
[12:22] 这件事情都意味着
[12:24] 市场资金正在从过去几年
[12:26] 捧了的那些AI软体股市
[12:28] 我们以前喜欢软体股
[12:29] 什么原因呢
[12:30] 就跟那个补习班老师一样
[12:31] 你就多一张座位
[12:33] 边际效用持续的增长
[12:35] 你就多一张座位
[12:36] 你就可以多收钱
[12:37] 或者类似做订阅制这样子
[12:39] 那等同于
[12:40] 你不用花更多的成本
[12:42] 就有无限的获利增长可能性
[12:44] 只要广告行销打得好
[12:45] 但很抱歉
[12:46] 这个AI叙事
[12:47] 让本轮的软体
[12:49] 受到代理型AI的冲击
[12:51] 价格受到十分大的一个压力
[12:53] 所以我们回过头说
[12:54] 今年七巨头
[12:55] 整体来说
[12:56] 表现并不算特别好
[12:58] 甚至落后给标普白指数
[12:59] 那辉达的P ratio
[13:01] 你不要看说辉达
[13:02] 虽然作为全球的
[13:04] 这个硬体的领头羊
[13:05] 其实今年它也不算特别亮丽
[13:07] 主要是由中大型的废半
[13:09] 个股来做跟上
[13:10] 就连最大型的废半
[13:12] 辉达部分
[13:13] 现在平均前瞻本益比
[13:15] 已经下滑到19.7倍
[13:17] 它不涨本益比就一路下滑
[13:18] 甚至辉达目前的本益比
[13:21] 前瞻本益比
[13:21] 以明年EPS来计算
[13:23] 它居然比标普白指数的
[13:24] 20.4倍还要来得低
[13:26] 难以想象
[13:27] 所以我觉得
[13:28] 现在市场上最主流
[13:29] 流动性最好
[13:31] 我们最能够为人所知的两大企业
[13:34] 都非常便宜
[13:35] 一个就是台积电
[13:35] 一个就是辉达
[13:36] 两者看起来本益比都有够便宜
[13:39] 涨幅都远远输给其他股票
[13:40] 当然我们回过头说
[13:42] 这也是说明着市场的资金
[13:44] 还是非常紧俏的
[13:45] 就锁定在几个板块当中
[13:47] 很多板块其实并没有轮动到
[13:49] 甚至就连SpaceX吸引的广大行情
[13:53] 你要知道
[13:53] 让SpaceX这么庞大的资产
[13:56] 上涨10%
[13:57] 已经可以让好多家股票涨停板了
[13:59] 那现在回过头看
[14:01] 马斯克旗下的SpaceX
[14:02] 这次股价迅速的反转
[14:04] 6月23号单日中错了16.4%
[14:07] 这一次的修正原因
[14:09] 也不是说什么火箭业务怎么样
[14:11] 就市场开始重新评价
[14:12] AI故事的价值了
[14:13] 你看SpaceX目前估值建立在
[14:16] 旗下AI部门
[14:17] 大概有26.5兆美元的潜在价色
[14:20] 那该部门25年还是亏损64亿
[14:22] 那你现在联准会也不确定
[14:25] 是不是会持续保持鹰派
[14:26] 会不会保持在相对利率紧缩区间
[14:28] 同时间SpaceX在本周宣布
[14:32] 它才刚IP
[14:33] 又宣布发行200亿美元的公司债
[14:36] 以偿还整合XAI和X平台产生的债务
[14:40] 市场上已经很明显已经感受到了
[14:43] 现在废办和巨头们都在花钱
[14:46] 可是花钱盖资料中心的股价会跌
[14:49] 花钱盖厂盖记忆体扩散线
[14:53] 卖给AI资料中心的会涨
[14:55] 很有趣
[14:56] 我们看AI目前举债的狂潮
[14:58] 今年发债规模大概增长了357%
[15:02] 我们根据大摩的估算
[15:03] 目前整体全球AI基础建设的
[15:06] 信用市场融资规模是2363亿元
[15:09] 整体而言
[15:10] 全年发债融资可能到年底会来到5700亿
[15:14] 会再翻一倍
[15:15] 其中最大征服的当然是大型云端业者
[15:18] 今年已经举债了820亿
[15:19] 全年预估3000亿美元
[15:21] 甲骨文一家公司就募了251亿
[15:23] 最近Google甚至连辉达
[15:25] 自己都在发债
[15:26] 我们看到像阿发贝
[15:27] 亚马逊甲骨文
[15:29] 也同步的提高杠杆
[15:30] 那唯一好处是什么
[15:32] 就是照来讲
[15:33] 这是很恐怖的一件事情
[15:34] 大家都在疯狂发债
[15:35] 唯一好处是
[15:36] 大型云端业者的总杠杆倍数
[15:38] 大概已经快速拉升到1.8倍左右
[15:41] 去年这个时间点
[15:43] 只有0.9倍
[15:44] 现在是1.8倍
[15:46] 所以好处是
[15:48] 虽然已经到1.8倍了
[15:49] 可是相对于其他通讯服务的2.5倍
[15:52] 或者公用事业的5.6倍
[15:54] 还有非金融投资等级企业的2.3倍
[15:57] 比较起来还是没有特别高
[15:59] 说明他们是以前真的都没有什么在投钱
[16:02] 以前这些七七头就每天躺着一直收钱
[16:04] 他也不做什么非常惊人的投资
[16:06] 这一次杠杆倍率几乎翻倍了
[16:09] 可是他没有比其他产业的杠杆倍数还来得高
[16:12] 这是唯一比较好的理解了
[16:14] 但他还是借很多钱
[16:15] Google 微软 甲骨文
[16:16] 未来十年还预估会有2500亿美元的债券陆续到期
[16:20] 那怎么办
[16:21] 那当然借新还旧
[16:22] 继续搞下去
[16:23] 这就造成一个现象
[16:24] 就是我们昨天所提到的
[16:26] 一个是check receiver
[16:28] 股价就一路的往上拉
[16:31] 这个是我们看到的绿色线
[16:32] 就收支票的人
[16:33] 就AI半导体
[16:34] 记忆体设备上
[16:35] 那红色线就check writer
[16:37] 就开支票的人
[16:38] 微软Google Meta
[16:40] 或者现在的SpaceX
[16:41] 也在发债
[16:42] 现在你扩大资本支出
[16:44] 你如果是做设备的
[16:46] 那你的股价就会涨
[16:47] 你扩大资本支出
[16:48] 如果你是做资料中心的
[16:49] 你的股价就会跌
[16:50] 这就造成一个现象
[16:51] 那些巨头开始依稀发现
[16:53] 好像投钱股价会跌
[16:56] 会伤害股东利益
[16:58] 但是裁员减少支出
[17:00] 股价会涨
[17:01] 我们看甲骨文在昨天
[17:03] 最新所提交的监管机构的年报揭露
[17:07] 过去12个月的全球员工数
[17:09] 已经从16.2万人降到14.1万人
[17:11] 减少了2.1万人
[17:12] 裁员幅度是13%
[17:14] 公司直接表示部分裁员跟AI技术的导入有直接关系那更重要的事情是在AI时代底下要尽可能的把资金挪用到未来资料中心的投射所以这个能力成本相对于资料中心而言
[17:29] 能力反而是比较不重要的
[17:30] 这是很多人的看法
[17:31] 那今年的确在科技业已经裁撤超过12.3万名的员工
[17:36] 现在全美的重力市场几乎都是靠服务业在成
[17:40] 科技业现在相对于去年
[17:43] 裁员人数已经暴增了66%
[17:45] 甲骨文今年大概是裁3万人
[17:47] UPS裁了3万人
[17:49] 亚马逊裁了1.6万人
[17:51] 亚斯兰代裁了1万人
[17:53] Meta裁了6000人
[17:55] 海尼根裁了6000人
[17:56] PayPal裁了4760人
[17:59] 思科裁了4000人
[18:00] 大摩裁了2500人
[18:02] Nike裁了2000人
[18:04] 迪士尼裁1000人
[18:05] 沃尔玛裁1000人
[18:06] 星巴克裁300人
[18:08] Robinhood裁了290人
[18:10] 这一步裁员当然跟01年跟08年的金融还是要不一样
[18:14] 因为服务业没怎么在裁员
[18:16] 专门裁科技业
[18:17] 这件事情就意味着
[18:18] 行情开始有了一个不同的思维
[18:21] 花钱要看是谁花
[18:24] 同样裁员要看是谁裁
[18:26] 你说台积电美光还是三星招募人力
[18:30] 股价会因此而下跌吗
[18:32] 也不会
[18:32] 所以开始有不同的评价了
[18:34] 你看SpaceX一周以前还是花了些眼中
[18:37] 最亮丽的梦想公司
[18:38] 投资人谈的是AI
[18:40] 是太空经济
[18:41] 下一个科技霸权
[18:42] 那几天之后股价重挫三成
[18:44] 神奇的事情是
[18:45] 公司也没变
[18:46] 火箭还是在发射
[18:47] 卫星照样升空
[18:48] AI计划还是照样推进
[18:50] 但市场的想象突然变成
[18:52] 开始在算现金流了
[18:53] 开始在算你的负债了
[18:55] 开始在算你的获利能力了
[18:56] 同一家公司
[18:58] 同一套商业模式
[18:59] 连故事都没有什么太大改变
[19:01] 市场的评价
[19:02] 突然之间会出现巨大转折
[19:04] 为什么
[19:04] 缺钱
[19:05] 我没办法每一家企业都买
[19:07] 我只能够买最精打细算的
[19:10] 所以有时候我们这样一讲
[19:12] 才会发现行情走到这个地步
[19:15] 其实很多时候改变的不是事实
[19:17] 是看待事实的角度
[19:19] 昨天才看到有人分享
[19:21] 两个太太在聊天
[19:22] 一个年轻少妇
[19:24] 一个中年妇女
[19:25] 中年妇女就问那年轻少妇
[19:28] 新婚生活怎么样
[19:29] 那女的说不得了不得了
[19:32] 每天都好累
[19:33] 睡前也好累
[19:35] 起床也好累
[19:36] 没办法
[19:37] 老公体力太好了
[19:39] 另外一个太太说
[19:40] 要是我早上摸到我老公硬硬的
[19:43] 我还以为他挂了呢
[19:45] 就同一套商业模式
[19:48] 同一家公司
[19:49] 就算你的成长故事
[19:51] 大家都一样
[19:52] 可是市场的评价
[19:53] 就是可以改变的这么快
[19:55] 我们才讲说
[19:56] 有时候只是看待事实的角度
[19:58] 你资金充沛
[19:59] 情绪乐观的时候
[20:00] 同样的叙事
[20:01] 投资人就愿意为你买单
[20:03] 但是资金成本上升
[20:04] 风险意识抬头的时候
[20:05] 故事都没变
[20:06] 都是硬硬的
[20:08] 同样的数据
[20:09] 同样的愿景
[20:09] 你就会得到不同的估值
[20:11] 所以有时候真正改变的
[20:13] 往往不是说企业本身
[20:15] 自己的战略思想
[20:16] 而是市场愿意相信梦想的程度
[20:18] 市场在这几个月
[20:19] 产生了比较大的改变
[20:21] 道琼指数上涨148点
[20:23] 0.29%
[20:24] 收在11712点
[20:26] 标普下跌27点
[20:27] 0.37%
[20:29] 收在7472点
[20:30] 标普
[20:31] 应该讲纳斯达克指数下跌351点
[20:33] 1.3%
[20:34] 收在26166点
[20:37] 哇那费办还在涨啊
[20:38] 上涨292点
[20:39] 2.04%
[20:40] 所以一般是1634点
[20:43] 那行情走到这一步
[20:44] 很明显那资金
[20:45] 都关到费办里头了
[20:47] 昨天美光
[20:48] 因为美光最近财报要公布了
[20:50] 最近也宣布跟Enthropy
[20:52] 达成长期合作
[20:53] 你有没有发现
[20:54] 现在巨头说跟谁合作
[20:56] 做那个AI用动机没有人理了
[20:58] 但是跟半导体商合作
[21:01] 就有人理了
[21:01] 这风水轮流转
[21:03] 我们看到这一次消息公布之后
[21:05] 美光股价又受到非常显著的资金涌入
[21:08] 上涨7%
[21:09] 创下历史性高价
[21:10] 那这一波关键在于
[21:12] AM模型越大
[21:13] 瓶颈当然就不止在于
[21:14] 绘图的处理器
[21:16] 还有机体的频宽
[21:17] 有资料搬运
[21:18] 有储存的效率
[21:19] 单位的token成本
[21:20] 你想想看以前很多男生
[21:22] 不是晚上看小电影的时候
[21:25] 以前我们可能就拿一只手机
[21:28] 甚至是Sony Allison
[21:29] 一只储存好在那边播
[21:30] 到后来就一次就看两支影片
[21:33] 那后来就看三支
[21:35] 后来一次看十支
[21:36] 后来就把页面都存下来
[21:37] 一次一百支一起轮流看
[21:39] 对不对
[21:39] 那这要不要对于
[21:40] 记忆体的需求来得越高
[21:41] 那AI也是一样
[21:42] 它同时浏览这么多的资料
[21:45] 代理型的AI
[21:46] 记忆体的需求也会因此爆发
[21:48] 好 那我们回过头来看
[21:49] 那现在没有股市
[21:51] 走到现在这一步
[21:52] 行情会如何推演到市场情绪呢
[21:54] 其实你要说
[21:56] 那刚才就意思就是市场是精明的
[21:58] 所以我们不用担心
[21:59] 也不能这样讲
[21:59] 只能说资金的板块流动是精明的
[22:02] 但不代表总体散户
[22:04] 他是不疯狂的
[22:05] 散户还是有点疯狂的
[22:06] Z世代
[22:07] 我们根据彭博最新报道
[22:08] 目前正在大量的使用高风险交易
[22:11] 来追逐新的美国梦
[22:12] 可以说是Z世代
[22:14] 算是变成半个赌徒了
[22:15] 以前我们讲过
[22:16] 克斯托莱尼说过
[22:17] 有钱的人可以投机
[22:19] 钱少的人不可以投机
[22:21] 没钱的人必须投机
[22:23] 有钱的人
[22:24] 资产已经这么多了
[22:26] 多借钱没有什么太大问题
[22:28] 钱少的人你一赔就赔光了
[22:30] 那不行啊
[22:31] 没钱的人你只能靠他翻身了
[22:33] 这波行情也让越来越多年轻人
[22:36] 把股票选择钱
[22:37] 或者民营股杠杆型ETF
[22:39] 视为翻身工具
[22:40] 我们先不看台湾的
[22:42] 台湾大家自己有体感的感觉吗
[22:44] 美国金融业的金管局
[22:46] 最近调查
[22:47] 62%的35岁以下投资人认为
[22:50] 必须要承担比较大的风险
[22:52] 才能够达到财务目标
[22:54] 现在在股市当中
[22:55] 有43%的人交易过选择权
[22:58] 29%的人买过民营股
[23:00] 或者任门投资标的
[23:01] 22%正在使用借款来进行投资
[23:04] 那彭博调查也显示
[23:06] 80%的Z世代
[23:07] 我们可以把它理解成八年级生
[23:09] 和75%的迁徙世代
[23:11] 认为自己在财务上落后
[23:13] 所以必须要更容易
[23:15] 使用高风险投资
[23:16] 把报酬给追回来
[23:18] 我们举例来说
[23:19] 你像是在民营股和选择权
[23:21] 其实Z世代跟迁徙世代
[23:22] 那个比例都差不多了
[23:24] 那真正特别高的是什么
[23:25] 历世代都在赌球
[23:27] 现在世界杯
[23:28] 赌球频率特别高
[23:30] 我发现很多美国大学生
[23:32] 其实现在像Polymark
[23:33] 在网络的线上平台
[23:35] 赌球或者赌一些有的没的东西
[23:38] 赌性越来越大
[23:40] 你要知道标普派指数
[23:41] 过去20年的平均报酬率也不过11%
[23:44] 可是现在很多年轻人
[23:45] 都认为从零开始累积财富
[23:47] 实在速度太慢了
[23:48] 房价又高涨
[23:49] 生活成本上升
[23:51] 透过高杠杆投资快速翻身
[23:53] 你也是买0050而已
[23:55] 我买0050正二有什么不行呢
[23:57] 或者期货无限转约
[23:59] 为什么不行呢
[24:00] 反正我只要不被洗掉
[24:02] 那基本上我只是承担
[24:04] 你的两倍报酬两倍风险
[24:06] 我的标的跟你也没有什么太大区别
[24:09] 有这样的一个思维开始陆续的展现了
[24:11] 那韩国市场也是如此
[24:12] 我们看到韩国市场
[24:14] 不是这两周才发行了
[24:16] 正二正三型的个股型杠杆ETF吗
[24:20] 最近南韩的金融监管院院长
[24:23] 李灿正正式公开表示
[24:26] 自己后悔没有阻止
[24:28] 追踪单一股票杠杆ETF的上市
[24:31] 这很意外
[24:31] 这等同于
[24:33] 彭金荣主委
[24:35] 后悔放宽台积电限制条款一样
[24:38] 后悔让主动型ETF挂牌一样的意思
[24:41] 是你主推
[24:42] 认为应该要推行这类型的产品
[24:44] 以防被香港或者美国股市相关的产品
[24:47] 把资金给外溢出去吸引走
[24:50] 结果他居然自己认为
[24:51] 后悔自己没有阻止
[24:53] 这类杠杆型ETF的上市
[24:55] 原因就来自于
[24:56] 三星和SK海力士
[24:57] 这16档的杠杆ETF
[24:58] 从5月推出以来
[25:00] 已经高达14兆韩元的规模
[25:02] 91亿美元
[25:03] 其中92%都是散户投资人持有
[25:08] 那监管机构现在非常担忧
[25:09] 这些产品正在放大波动
[25:11] 可能会对于韩国股市
[25:12] 带来新的系统性风险
[25:13] 它的风险概念是这样的
[25:15] 就是因为杠杆ETF
[25:17] 它本身并不只是放大报酬
[25:19] 它也会放大波动
[25:20] 股价剧烈上涨或下跌的时候
[25:22] 发行商就必须要
[25:23] 透过衍生性的商品
[25:24] 进行大量的再平衡交易
[25:26] 追涨杀跌的机制
