[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 那主要也来自于半导体类股目前的市场沉压
[02:40] 川普在昨天晚上也表示
[02:42] 美国会成为荷姆兹海峡的守护者
[02:45] 未来经过所有该海峡的货物
[02:48] 都会按照货物价值征收20%的费用
[02:51] 作为维持当地安全和护航行动的补偿
[02:55] 20%好像刚好是美国消费的费率
[02:59] 他也预告7月16号晚间
[03:01] 就会正式发表全国演说
[03:03] 市场会预估美伊冲突
[03:05] 因为这次谈判几乎已经全面破裂
[03:08] 后续的政策框架是否会有新的指导
[03:11] 是否会有新一轮的军事行动
[03:12] 难道川普是海贼王吗
[03:15] 因为我们知道荷姆斯海峡
[03:16] 它是承担全球20%的原油运输量
[03:19] 那按照目前油价来做估算
[03:22] 一艘满载的超大型游轮
[03:25] 我们讲的VLCC
[03:26] 按照货物来课征20%
[03:29] 那单次成本就三四千万了
[03:32] 伊朗之前才开200万
[03:34] 突然觉得伊朗好像还蛮仁慈
[03:36] 川普一收是收20%
[03:38] 人家是只收单次200万
[03:40] 所以航运验者
[03:41] 当然在昨天也表示说
[03:43] 完全不知情
[03:43] 目前联合国国际海事组织也重申
[03:47] 按照国际法
[03:48] 国际航行的海峡原则上是不得向船舶来收取通行费的
[03:52] 看看川普只是讲讲方方话而已
[03:55] 还是呢
[03:56] 他的确要采取这样的一个措施
[03:57] 那中央司令部在昨天也正式表示了
[04:00] 这次行动会把4月到6月中旬的封锁措施
[04:03] 重新反映在目前的措施上
[04:06] 也就是说当时是接近140艘的船舶
[04:10] 一辆船只直接被拦下来
[04:12] 不准离开这个赫姆治海峡
[04:14] 那现在美军会采取一样的做法
[04:16] 当然有人讲说
[04:17] 哇那现在保护费要付两次啊
[04:19] 看看到时候的变化
[04:21] 昨天我才看到麦大说嘛
[04:23] 此路是我开
[04:25] 此树是我栽
[04:26] 想要过此路
[04:27] 留下买入财
[04:29] 卫队收一次
[04:30] 川皇收一次
[04:32] 双赢嘛
[04:33] 哎搞不好啊
[04:34] 最后如果
[04:35] 那不然我们就
[04:36] 钱分一分
[04:37] 你收两百万
[04:38] 我收二十趴
[04:39] 搞不好会得诺贝尔和平奖啊
[04:41] 好像就一个流氓一个土匪嘛
[04:43] 他明明可以去抢
[04:45] 他还好好的跟你收费
[04:47] 你看多仁慈
[04:49] 那是回过头来看
[04:51] 原油价格这次的反应
[04:53] 的确蛮真实的
[04:55] 不过距离高点
[04:56] 我们也知道有一段距离要走
[04:58] 所以当然你会觉得有点buffing
[05:00] 有点在唬你的成分
[05:01] 有一点是川普向世界各国来喊话
[05:04] 我对于中东局势的降温
[05:07] 有这么大的一个作用
[05:08] 你们居然不回馈我一点吗
[05:10] 国际油价在周一是几成
[05:12] 布兰特原油和希德州原油
[05:14] 平均是上涨9.5到9.6%
[05:16] 西德州原油每桶已经突破78块
[05:19] 那布兰特原油部分每桶已经回到83块
[05:22] 不过因为距离当时的高点大概100-120
[05:26] 还有一长段距离
[05:27] 我们只能讲说是单次的言语上的拉升
[05:30] 当然回过头说真正的压力
[05:33] 我们说难道川普没有吗
[05:35] 川普真的是希望再度开启新的一轮封锁战吗
[05:38] 毕竟原油价格的上涨是不利于接下来汽油价格下滑的
[05:43] 我们如果细看这一轮美国股市的反攻
[05:46] 其实跟原油价格的回路有高度联动
[05:49] 我们当然知道跟AI的基本面有关
[05:51] 可是AI的基本面
[05:52] 其实就是预期高预期低的问题
[05:54] 我们当然知道
[05:55] AI现在卖产值的好的不得了
[05:57] 重点来自于
[05:58] 整个总体经济政策货币的转向
[06:01] 如果一旦中东问题完全消失了
[06:04] 大家知道
[06:05] 如果中东问题已经不存在了
[06:07] 其实现在早就已经进入到降息格局了
[06:09] 那美军现在连续两天空袭一扬之后
[06:13] 荷姆斯海峡果然已经进行全面封锁了
[06:16] 在昨天又攻击了接近100处的区域
[06:19] 像是沿岸的防空系统
[06:21] 监视设备等等
[06:22] 那是否呢
[06:23] 可以在川普接下来宣布
[06:24] 部分胜利的情况底下
[06:27] 撤出接下来的军事行动
[06:29] 这是值得关注的重点
[06:30] 重点是空袭成功失败
[06:32] 也不是伊朗说的算了嘛
[06:34] 那川普说空袭成功
[06:35] 那就成功了嘛
[06:36] 按照逻辑是这样子
[06:37] 那的确
[06:37] 荷姆治海峡到目前为止
[06:39] 即便到昨天都还不算是全面的封闭
[06:42] 但实际的运量
[06:44] 相对于前一个月份
[06:45] 又慢慢的倒回来了
[06:47] 我们根据联合海事咨询中心的统计
[06:50] 其实每日通行船只
[06:52] 大概是恢复到暂停的24%
[06:54] 前面在6月底7月初
[06:55] 曾经有一波高峰
[06:57] 那个时候是全部的船往外冲
[06:59] 因为争取到几天的停战期
[07:01] 但后续随着这几天谈判的破灭
[07:04] 以及市场上进一步僵持
[07:06] 我们看到整体运量又开始倒回来了
[07:09] 那战争的保险费率
[07:11] 从原本降到2%
[07:12] 现在又重新上到3%
[07:14] 甚至在昨天晚上已经重新回到5%
[07:16] 所以荷姆兹海峡还是属于那种
[07:19] 技术上开放
[07:20] 但是商业上受阻的
[07:22] 也就是部分船只有可能会被攻击
[07:24] 但是其实你如果要通过
[07:27] 你跟我知会一生
[07:28] 我还是有跟你协调的可能性
[07:30] 包括跟伊朗协调
[07:31] 包括跟美国协调
[07:32] 所以美国是专门指封锁伊朗的
[07:35] 在这样效果底下
[07:36] 我们就看第一
[07:37] 原油价格的反应
[07:38] 是否会一路上去
[07:39] 如果只是单次谈话的跳升
[07:41] 那还好第二件事情那川普接下来的谈话他到底是希望以什么样的方式来结束呢毕竟我们看到之前曝光的14项的备忘录内容几乎没有任何一项
[07:53] 在这次谈判过程当中释出好消息
[07:55] 之前有谈到
[07:56] 像是美国和伊朗
[07:58] 准备推动分阶段的停国和关系的正常化
[08:01] 立即停止军事行动
[08:02] 展开60天的正式谈判
[08:04] 美方解除海上封锁
[08:06] 逐步取消对于伊朗的制裁和恢复石油规划
[08:08] 前面的交换的确有陆续达成
[08:11] 可是后面的像是伊朗承诺不发展核武
[08:14] 保障荷姆斯海峡
[08:15] 商城的绝对安全
[08:16] 清除水雷
[08:17] 这种分阶段履约
[08:19] 同步交换承诺的模式
[08:21] 走到中后段几乎就已经走不下去了
[08:24] 现在双方又互相开火了
[08:26] 那我个人的看法是
[08:27] 我对原油价格其实没有这么的悲观
[08:29] 我不认为会一路的上去
[08:31] 第一同一件事情
[08:33] 跟小红帽的故事一样
[08:35] 不是小红帽
[08:36] 狼来的故事一样
[08:37] 为什么突然想到小红帽
[08:39] 狼来的故事一样
[08:40] 喊三次大家就不怕了
[08:42] 那股灾也是一样啊
[08:43] 用同样的事情引发三次股灾
[08:47] 第三次肯定不会被骗了
[08:49] 那第二件事情啊
[08:50] 第一个是情绪的变化
[08:51] 第二个是我们看到在行情的演变过程当中
[08:55] 其实大家的产量默默在提升
[08:57] 根据IEA最新数据
[08:58] 阿拉伯联合大公国在六月的原油日产量
[09:02] 已经来到410万桶
[09:03] 相对于五月份的330万桶
[09:06] 大增了24%
[09:07] 阿联酋的原油产量创下历史新高了
[09:11] 今年他5月份正式退出OPEC之后
[09:14] 阿联就迅速的提高产量
[09:16] 即便赫姆兹海峡当时还是受到市场的冲突影响
[09:20] 但是这个产能拉升幅度非常非常之快
[09:23] 那另外一方面我们也看到
[09:25] 因为美国其实现在针对俄罗斯原油
[09:27] 几乎已经全面开放
[09:29] 也就是过去在拜登时期
[09:31] 针对乌俄战事
[09:32] 对于俄罗斯原油的制裁完全的消失了
[09:36] 目前虽然口头明目上是说短期内开放
[09:39] 但几乎已经全面开放
[09:41] 你像彭博调查就指出
[09:43] 在距离新加坡不到40公里的印尼
[09:45] 一个叫做大卡里蒙岛上
[09:47] 其实已经有大量的俄罗斯原油
[09:49] 进入到亚洲的中转站
[09:50] 那还没办法完全确定买家
[09:52] 以前都认为是中国
[09:54] 可是其实从西伯利亚管线
[09:57] 俄罗斯的原油要进中国
[09:59] 有必要绕这么一大圈
[10:00] 从马六甲海峡进去吗
[10:02] 也许亚洲各国像印度以及东南亚各国
[10:05] 已经早就在向俄罗斯来进行购买
[10:07] 那这种连蓬勃都可以发现的
[10:10] 卫星空照图
[10:11] 基本就显示着
[10:12] 美国几乎已经全面放手
[10:14] 让俄罗斯燃料
[10:15] 完全进入到主流供应链
[10:17] 以前都要几艘船偷偷的运
[10:19] 现在直接建一个大厂
[10:22] 重要的转运站直接在印尼
[10:24] 除了新加坡以外
[10:25] 这些货物有的往马来西亚来做运送
[10:28] 有的往缅甸
[10:29] 有的往中国
[10:30] 有的往菲律宾
[10:31] 尤其我们到菲律宾在伊朗战事
[10:33] 这一次能源供给是相当吃紧的
[10:35] 前阵子还长停电
[10:36] 大概一个月就进口了
[10:39] 7.16万吨的柴油
[10:41] 而且是从这个岛上进口
[10:43] 这个岛上到底有多少原油
[10:44] 印尼今年还同意
[10:46] 要进口1.5亿桶的俄罗斯原油
[10:48] 所以川普你说他不急吗
[10:51] 他连俄罗斯原油
[10:52] 几乎都全面开放了
[10:53] 根本原因其实就来自于
[10:55] 目前的汽油价格
[10:57] 回落幅度是有限
[10:58] 布兰特原油从高点这样跌下来
[11:01] 其实也跌了接近70%
[11:02] 可是全球的平均零售燃料价格
[11:06] 大概回落40%而已
[11:08] 全球平均零售的燃料价格
[11:10] 每桶大概还是202块
[11:12] 这跟布莱特原油之间
[11:14] 当时价差扩大到历史新高
[11:16] 接近128块
[11:17] 还在扩大
[11:18] 这代表原油价格下跌
[11:20] 但是我们终端消费者支付的
[11:22] 汽柴油价格
[11:23] 看起来还是由炼油
[11:25] 和零售环节的利润
[11:26] 还维持在高档
[11:28] 那台湾你之所以感受不到
[11:29] 是因为台湾有直接进行补贴
[11:31] 在美国你就觉得很离谱
[11:33] 怎么原油价格都已经回到战前水准了
[11:35] 怎么汽油价格一点波动都没有
[11:38] 降的怎么那么慢
[11:39] 其实根本原因就来自于
[11:41] 第一过去美国其实也尝试着做一些适度补贴
[11:45] 只是补贴的方式不是进行价格补贴
[11:47] 美国的方式是什么
[11:48] 是进行战略原油储备的显著释放
[11:51] 我们也看到目前美国的汽油库存
[11:53] 在伊朗战事爆发之后就在快速下滑
[11:56] 已经远远低于2021年和2025年同期平均水准
[12:00] 所以第一步
[12:02] 也许对于这些零售商来看
[12:03] 要先补库存
[12:05] 而并不是把价格进行显著调降
[12:07] 那在这样效果底下
[12:09] 除非接下来迎来低需求的特殊格局
[12:12] 要不然别人油价格
[12:13] 他可能就卡在这段时间一阵子
[12:15] 他也不会创高
[12:16] 但是就会卡在这样的一个区间
[12:18] 因为大家要开始把油给补回来
[12:20] 那另外一方面
[12:21] 我们也知道美国战略油储备
[12:23] 现在已经跌到40年低点
[12:24] 再不补
[12:25] 到时候真的有什么战争冲突
[12:27] 那美国压力就大了
[12:29] 我们当然知道美国石油产量也非常大
[12:31] 可是这一次战略石油储备
[12:33] SPR已经降到1983年以来的最低水准
[12:37] 现在人口有多少
[12:38] 经济规模起量有多大
[12:40] 结果库存大概就只有五年前的一半左右
[12:44] 这项措施是1975年建立紧急云油储备之后采取的
[12:49] 现在过程所谓的大幅下滑
[12:50] 22年当时拜登就已经释放1.8亿桶
[12:53] 今年3月伊朗战事
[12:55] 川普又释放了1.7亿桶
[12:57] 这是史上第二大的石油行动
[13:00] 所以这一波的全球协调
[13:02] 释放紧急的石油库存
[13:04] 那现在其实差不多是回补的时刻
[13:07] 可是回补到一半
[13:08] 结果美伊冲突看起来好像又爆发了
[13:12] 好 这都会形成对于下游的压力
[13:14] 那原油价格如果又重新回去
[13:16] 就会让原本的涨价潮显得压力更大
[13:19] 我们到现在不只是石油通膨
[13:21] 外溢出去的问题
[13:22] 现在是汽油价格
[13:24] 看回涨幅度有多大
[13:25] 可是汽油价格所引发的运输成本供给链
[13:29] 我跟你签好合约说
[13:30] 我们今年快递费用
[13:32] 用你们公司的可能要调涨5%
[13:34] 就算汽油价格回跌也不会变了
[13:37] 服务成本也是
[13:38] 薪资调高有工会的压力
[13:39] 有法律的压力也不可能下降了
[13:41] 第一层是外溢效果
[13:42] 第二层是科技通膨的部分
[13:44] 目前还在持续
[13:45] 前阵子我们就已经看到
[13:47] 苹果这一次受到记忆体价格上涨的原因
[13:50] 被迫进行Mac和iPad售价的调升
[13:54] 美国的核心PC一年征服
[13:55] 大概也额外增长了0.2%
[13:57] 那PC和其他电子零组件的售价
[14:01] 其实已经慢慢反映在下游端
[14:03] 除了硬体之外
[14:04] AI也开始推高软体和能源成本
[14:07] 你像微软的Copilot
[14:08] 你看它做软体的
[14:10] 它也在涨价
[14:11] 现在Microsoft 365
[14:12] 首次调涨订阅价格
[14:14] 英国软体也创下
[14:16] 史上最大的单季涨幅
[14:18] 那到底原油价格涨幅
[14:20] 跟你软体有什么关系
[14:21] 那不重要
[14:21] 反正大家都涨
[14:22] 那我就跟着一起涨
[14:23] 资料中心的耗电量快速上升之后
[14:25] 电价预估开始做显著拉抬
[14:27] 所以这也是接下来华许
[14:29] 在接下来国会作证当中
[14:32] 非常重要的一环
[14:33] 美国依序的公布CPI PPI
[14:36] 零售销售数据和工业生产
[14:38] 这些数据都是未来联准会
[14:40] 是否要尝试的保持在当前利率的重要原因
[14:43] 因为原油本来是对于华许一大助力
[14:46] 但现在看起来又重新改观了
[14:50] 这个就压力比较大一点
[14:51] 好8点46分
[14:53] 那接下来我们就要回过头来看
[14:54] 那美国股市以及台股韩股
[14:57] 目前的市场卖压情况
[14:58] 它会衍生到什么样的幅度呢
[15:01] 毕竟这一波的市场下跌
[15:03] 其实如果是从涨幅来看
[15:05] 那也不过就是估值回调
[15:07] 可是怎么会说一堆人断头了呢
[15:09] 的确按照高盛的数据
[15:11] 现在韩国股民大概有50万人
[15:13] 因为持有正二
[15:14] 而且由于在6月份爆量
[15:16] 那从6月份将平均跌幅
[15:18] 那真的是100块只剩下2、30块
[15:22] 那会不会引发断头
[15:23] 照理来讲不会
[15:24] 你购买正额的
[15:25] 如果你是打算持有波段
[15:27] 但是这种跌幅也很难没有杠杆的清洗我们看一下道琼跌幅其实也不重跌0.26%下跌138点收在12498点标普下跌60点
[15:40] 0.79%收在7515点
[15:42] 纳指下跌408点
[15:44] 1.5%收在25873点
[15:47] 我非半就跌比较重了
[15:48] 大跌619点
[15:50] 4.78%收在12347点
[15:54] 韩国股市市场的卖压是来最为沉重的
[15:57] 我们待会看开盘情况
[15:58] 应该讲说已经开盘了
[16:00] 那南韩COSPI指数在昨天
[16:01] 因为它是龙断两次
[16:03] SK海力士是跌15.4%
[16:06] 那是单日的最大跌幅
[16:08] 那除了SK海力士以外
[16:10] 三星跌幅又10%
[16:12] 日本凯夏也跌了12.9%
[16:14] 所以现在可以值得观察的一个重点就是
[16:17] 其实从高点这样子跌下来
[16:19] 很多记忆体全资股跌幅已经快要接近四成了
[16:23] 那你如果是开启正二
[16:25] 2.5倍本金的话
[16:27] 搞不好要快赔光了
[16:29] 那像汉江大桥
[16:30] 可能有很多警察在巡逻了
[16:32] 很危险
[16:33] 韩国股市这一次引爆的强制平仓
[16:36] 我们按照高盛的统计
[16:37] 在整个7月10号到7月13号
[16:41] 平仓金额已经高达1422亿韩元
[16:44] 较前一个交易日已经增加了5倍
[16:46] 而且推升的7月总平仓总额来到3442亿韩元
[16:51] 这代表着目前看起来
[16:52] 本周应该就会立即断头
[16:54] 那COSPI在昨天暴跌之后
[16:57] 由于这一次还没有完全的进行新一轮统计
[17:00] 但是保证金不足
[17:03] 被迫卖出的可能性是很高的
[17:05] 这一次的韩国股市的估值
[17:06] 现在是快速下修
[17:08] 一方面的下修是来自于EPS的暴增
[17:10] 另外一方面是股价的暴跌
[17:12] 居然韩国股市的P ratio
[17:14] 前瞻P ratio从12倍掉到现在6倍
[17:17] 韩国整个大盘本益比只有6倍
[17:19] 那比08年还低
[17:21] 所以这是双重效果
[17:22] 一个是股价重跌
[17:23] 另外一个就是本益比受到EPS
[17:27] 大幅推升的影响
[17:28] 本益比的快速下滑
[17:30] 这今年韩国股市
[17:31] 这两个月熔断次数有五六次了吧
[17:35] 这个月韩国股市熔断的次数
[17:39] 比我信生活还频繁
[17:40] 怎么会熔断这么多次呢
[17:42] 所以要把熔断视为一个常态
[17:44] 每天熔断一次算正常
[17:46] 两次才有点意外
[17:47] 好不好
[17:48] 给大家做一些思考
[17:49] 那这件事情就意味着
[17:51] 韩国当前的EPS上升幅度
[17:53] 其实是拖动基本面的阻力
[17:55] 但是乖离真的实在拉太高了
[17:58] 所以我们一直跟投资朋友分享
[17:59] 我们会看对趋势
[18:00] 我相信百分之百
[18:02] 三星股价一定会再创高的
[18:04] 海力士股价一定会再创高
[18:06] 但你不要死在波动
[18:08] 它有一天一定会再创高
[18:10] 因为它的基本面
[18:11] 已经几乎透露出
[18:13] 完全走出了过往的扩存循环
[18:15] 然后它的本益比六倍
[18:17] 它基本上没有什么
[18:19] 大幅在这个时间点看坏的理由
[18:21] 可是问题在于
[18:22] 你会死在波动
[18:23] 这给投资朋友做低层思考
[18:25] 活着就是胜利
[18:26] 所以截至到目前为止
[18:28] 韩国股市大概是120万个
[18:30] 使用杠杆的账户
[18:31] 已经触发了最佳保证金的通知
[18:34] 这是高盛的统计
[18:35] 大概有32万到60万的账户
[18:37] 已经被券商
[18:38] 在昨天已经正式强制平仓
[18:41] 部分账户已经出现了负余款
[18:43] 甚至需要向券商来偿还欠款
[18:46] 那韩国股市的这一次散户投资者
[18:48] 也几乎承受了所有的外资抛售
[18:50] 我们知道台股今年被外资卖了一兆
[18:53] 韩国股市被卖了三兆
[18:56] 你说韩国人这么多
[18:57] 被卖那么多正常
[18:58] 韩国市值比台股还小
[19:00] 台股市值比韩国股市大
[19:02] 都只被卖了一兆
[19:03] 它那么小的市场被卖了三兆
[19:05] 所以外资抛售韩国股市的速度也很强烈
[19:08] 当然我不认为是因为看衰记忆体
[19:11] 更多是因为
[19:12] 你涨那么多
[19:13] 那我要做调节了
[19:14] 与此同时
[19:14] 目前散户在券商的证据存款
[19:17] 在昨天已经骤降到30兆韩元
[19:20] 这是今年乌二战事以来
[19:22] 应该讲说
[19:23] 美伊战事以来的新低
[19:25] 突然之间
[19:26] 证券户没钱了
[19:28] 大家都断头了
[19:29] 那韩国股市
[19:30] 也是创下雷曼以来的
[19:32] 第三大的单日跌幅
[19:33] 所以我们讲说
[19:35] 有时候这是
[19:36] 投资到最后就醒醒了
[19:38] 难道你觉得这一次的下跌
[19:40] AI就泡沫扑面了吗
[19:42] 当然不会
[19:43] 它就是一个正常的
[19:44] 估值回调和杠杆的轮动
[19:46] 可是很多人即便知道
[19:48] 台积电有一天会上一万块
[19:50] 但它可能会被洗在波动
[19:52] 它可能还没有到达
[19:53] 那个时间点的过程当中
[19:55] 就已经被洗出去了
[19:56] 所以我们以前常讲
[19:57] 说投资五字诀
[19:58] 叫本准狠人滚
[20:03] 就投资要有本
[20:04] 标的看得准
[20:06] 下手要够狠
[20:08] 没行情要能忍
[20:09] 最经典就是赚不了钱要快滚
[20:12] 赶快加入指数投资者的行列
[20:14] 那当然真的是这样子
[20:15] 这个还是属于
[20:17] 比较操作手段的五字诀
[20:19] 本准很人滚
[20:22] 那心态上到底该怎么面对
[20:24] 礼记提过
[20:25] 礼记叫什么
[20:27] 定静安律德
[20:29] 确定心智
[20:31] 沉静心念
[20:33] 安宁身心
[20:34] 谋律心思
[20:36] 修德道心
[20:38] 如果你能够足以做到
[20:40] 你知道自己的原则
[20:41] 你原本就知道自己做人处事
[20:43] 会皆有所成
[20:44] 了解行情的变动
[20:45] 你已经清楚知道该怎么做了
[20:47] 你就不会被洗掉
[20:48] 但有时候是操作手段的关系
[20:50] 所以你被迫被洗掉了
[20:52] 我们对于人生伴侣
[20:53] 其实也是一模一样的
[20:54] 完美的男朋友有什么特性
[20:56] 吹寒西田空
[20:59] 不是那是赌圣
[21:00] 化解争吵的五字诀
[21:02] 要冲突抛盖送
[21:04] 冲
[21:05] 恶言恶语不要冲口而出
[21:07] 脱
[21:08] 要微笑
[21:09] 有技巧的脱离现场
[21:11] 脱衣服也是一种
[21:12] 抱就是抱歉
[21:14] 抱一下也可以
[21:15] 盖就是盖瓜承受
[21:16] 送就是让对方很送
[21:18] 我是说送东西
[21:19] 送东西的技巧很重要
[21:21] 所以不管我们怎么讲
[21:23] 这一波到底能够撑到最后的人
[21:26] 真的是对于基本面的行情
[21:28] 针对AI的行情
[21:29] 想象有所差别的人
[21:30] 也许现在被洗掉的人
[21:32] 跟继续留在市场的人
[21:34] 他们对于未来的看法
[21:35] 根本就一模一样
[21:37] 纯粹是杠杆的手段
[21:39] 导致现在的结局
[21:40] 所以我们过去讲过
[21:41] 杠杆是拿来超车的
[21:43] 不是拿来飙车的
[21:45] 飙车的人现在翻车了
[21:47] 那以后你只能靠外劳翻身了
[21:50] 压力就很大
[21:51] 但是呢
[21:51] 如果你是随着资产配置的优化
[21:53] 没有什么问题啊
[21:54] 重点是啊
[21:55] 不能借由杠杆啊
[21:56] 想要达到几个月财富自由
[21:59] 追上前辈累积的常年财富
[22:02] 这个时候压力就很大
[22:03] 所以这是很重要
[22:04] 对对对
[22:05] 冲突炮盖送
[22:06] 对意思就是这样
[22:07] 之前哪个节目有交
[22:09] 健康2.0还是
[22:11] 五七健康同学会
[22:13] 讲说老婆如果生气了
[22:16] 你就把她压在床上
[22:18] 清热一下
[22:19] 很多时候就能够平息
[22:21] 后来老婆为了让老婆消气
[22:26] 那老公试了好几次
[22:27] 结果现在老婆动不动就生气
[22:30] 感觉好像被节目骗了
[22:33] 看到床就害怕
[22:34] 常常发生这样的事情
[22:35] 不是重要
[22:36] 重点是什么
[22:37] 重点是冲突炮盖送
[22:40] 还是要做好预防措施
[22:42] 拆捏转套握
[22:45] 好不好
[22:45] 往下看
[22:46] 台建法术现在登场了
[22:48] 很恐怖
[22:49] 台建法术之前
[22:49] 发生这么大的一个市场波动
[22:51] 大家会观察
[22:52] 因为现在多家国内外的研究机构
[22:55] 已经同步调升目标价
[22:57] 所以我们看到
[22:58] 大部分都在3000块以上
[23:00] 乐观情境
[23:01] 甚至来到4000块
[23:02] 会担心
[23:03] 那把之前的展望
[23:04] 预估的这么乐观
[23:06] 会不会有点提前price in
[23:08] 那今年美元营收
[23:10] 的确有望年增
[23:11] 大概是37到40%
[23:14] 美股盈余EPS突破100块今年已经变成市场共识了那27年28年会分别朝向150和200块那今年资本支出也提高到580到600亿美元市场的平均预估
[23:25] 也反映出2奈米3奈米
[23:27] 还有先进封装Coworks的持续扩散
[23:30] 但台积电为什么我们讲说
[23:31] 不能够无条件的把
[23:33] 乐观预期全面反映
[23:34] 因为是做工厂的
[23:36] 它有几个厂区你假设产能全满
[23:39] 它最多能够产生的EPS就这样
[23:41] 它没有建更多的厂区
[23:43] 就没办法具有更多进一步的获利
[23:45] 所以现在要让台积电超预期
[23:47] 其实很难
[23:48] 唯一能够超预期的方式
[23:49] 只有一个
[23:50] 就是涨价
[23:51] 因为工厂我已经知道
[23:52] 你有几间了
[23:53] 所以你的产能大概多少
[23:54] 我已经估出来了
[23:55] 那重点是
[23:56] 你想要赚更多
[23:57] 就涨价
[23:58] 那涨价到底是涨5%
[24:00] 还是有机会涨到
[24:01] 双位数字以上
[24:02] 当然不可能涨得跟机体一样
[24:04] 但是这件事情
[24:05] 会成为接下来毛利率的观察重点
[24:07] 但至少现在
[24:08] 因为在美国股市
[24:09] 以及韩国股市
[24:10] 巨头纷纷中间落马之后
[24:13] 台积电的市值
[24:14] 已经默默爬回第六名了
[24:16] 在全球市场当中
[24:17] 这一次我们看到
[24:18] 就如魏东所说
[24:20] 只有客户成功
[24:22] 台积电才能够继续成功
[24:23] 它现在六月单月营收大增了68%
[24:27] 整个二季度年增幅36%
[24:29] 现在辉达苹果这些科技巨头
[24:32] 最重要的晶片代工厂台积电
[24:34] 现在都是稳坐全球科技巨头行列
[24:37] 已经好几个月的时间了
[24:39] 说明的事情是
[24:40] 现在台积电几乎已经晋升到
[24:43] 在科技股投资者当中
[24:45] 被迫一定要回补的一环
[24:47] 现在全球市值最高的还是回答
[24:48] 然后是苹果
[24:50] Alphabet
[24:50] Microsoft
[24:51] Amazon
[24:53] 再来就是台积电
[24:53] SpaceX我们也知道
[24:55] 最近惨状
[24:56] 市值不断地递减
[24:58] 博通也跑到后面了
[24:59] 前几年一直在前两名的
[25:01] 沙乌地阿美
[25:02] 现在已经排到更后面了
[25:04] Meta虽然股价在涨
[25:05] 但前阵子摔很重
[25:06] 所以其实现在台积电
[25:08] 竟然已经长期保持在
[25:10] 第六名第七名的水准
[25:12] 七巨头现在到底还要不要有Meta
[25:15] 还要不要有SpaceX呢
[25:18] 好像就不一定
[25:18] 还要不要有博通呢
[25:20] 可能就不重要了
[25:21] 或者我觉得至少可以把台积电
[25:23] 加到美股七巨头当中
[25:25] 叫美股八巨头好了
[25:27] 还是美股巨八头
[25:29] 那好难听
[25:30] 或者叫美股超级八好了
[25:32] 那还是不好听
[25:33] 还是叫美股八巨头好了
[25:34] 好但不管如何
[25:35] 接下来我觉得本次法说最大的亮点
[25:38] 也许就是涨价潮
[25:40] 我们根据市场的预估
[25:42] 现在因为整体涨价会依照客户和产品的不同
[25:46] 预估涨幅大概是个位数了
[25:48] 但涨5%也是个位数
[25:50] 涨9%也是个位数
[25:51] 也差很多
[25:51] 至少我们可以看到
[25:53] 成熟制成价格是有机会做调高的
[25:56] 台积电做进一步的拉伸以后
[25:58] 能否尝试稳住市场针对台股的信心
[26:01] 就很重要了
