[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 半导体型的ETF
[16:01] 还是有部分定家是没有冷气的
[16:02] 而且比较北一点的时候
[16:03] 压力还是很大的
[16:05] 那更不用讲欧洲了
[16:06] 欧洲现在已经
[16:07] 我记得是超过5000人
[16:09] 因为热浪而丧命
[16:11] 然后我看了一下
[16:12] 他们说欧洲现在是35度
[16:14] 台湾35度那能活吗
[16:16] 那欧洲人又没冷气
[16:18] 所以你想想看今年
[16:19] 法国队的表现
[16:21] 巴拉圭踢那么脏对不对他根本就是少林足球那个汽车维修员但他还是踢得这么好什么意思就法国人根本就不想要回法国那没冷气连挪威人都不想回挪威了
[16:34] 太热了
[16:35] 整个欧洲太冷
[16:36] 因为没冷气
[16:36] 之前看到那亚洲朋友
[16:38] 到欧洲玩
[16:39] 欧洲朋友说
[16:40] 那栋房子很有特色
[16:42] 但这是鬼屋
[16:43] 你敢住吗
[16:45] 那亚洲朋友说
[16:46] 有什么好怕的
[16:47] 晚上真的搬进去
[16:48] 第二天一早马上搬出来
[16:50] 那欧洲人说
[16:51] 你是看到鬼了吗
[16:53] 那亚洲人说没有冷气
[16:55] 所以全球能源危机还是存在的
[16:58] 这对于今年的用电需求的预期
[17:00] 都高出了不少
[17:01] 当然我们往下看
[17:02] 它也意味着
[17:03] 外溢成本的问题
[17:05] 没那么容易下滑的
[17:06] 因为已经外溢出去了
[17:08] 我们以这一次在美国独立纪念日
[17:10] 7月4号的烤肉聚餐为例
[17:12] 台湾是中秋节BBQ
[17:15] 美国是国庆BBQ
[17:17] 根据夏季BBQ指数
[17:19] 追踪全美25座城市
[17:21] 10项常见的烤肉食材
[17:23] 包括牛排 绞肉 鸡肉 香肠
[17:25] 马铃薯 洋芋片
[17:26] 结果显示
[17:27] 如果一套四人成人
[17:28] 享用的烤肉食材
[17:30] 平均是81块美元
[17:32] 相对于去年增加了12%
[17:34] 这个涨幅就有点大了
[17:36] 这个就很明显超过
[17:37] 薪资和通膨涨幅
[17:39] 而这是10年来最大的年度涨幅
[17:41] 累计现在来看
[17:43] 过去5年就疫情以来
[17:45] 大概涨幅是接近40%
[17:47] 那这也意味着一般劳工
[17:48] 根据经济学人的统计
[17:49] 大概要多付出16分钟
[17:52] 才能够负担同一份烤肉
[17:55] 就要多工作16分钟
[17:57] 才能够负担回来
[17:58] 那有些特别高
[17:59] 像拉斯维加斯
[18:00] 你要多工作4个小时
[18:02] 才能够买期食材
[18:03] 那当然他也不是说超市烘台价格
[18:06] 是供应链成本的全面上升
[18:08] 现在美国的牛群数量
[18:10] 已经创下7年新低
[18:11] 那牛肉供给持续受限
[18:13] 所以牛排价格
[18:13] 那涨幅很夸张
[18:15] 疫情以来已经涨了70%了
[18:17] 那美国的生殖燃料
[18:18] 政策又导致三分之一的玉米
[18:20] 还有一半的黄豆
[18:21] 现在都进入到燃料生产
[18:23] 所以也推升了农产品的价格
[18:25] 那这些都是将故性通膨
[18:27] 下不去的
[18:28] 所以能够解决这种问题的方式
[18:30] 只有一个了
[18:31] 那就是Token支出成本的下滑
[18:33] 藉由AI的通缩
[18:35] 因为现在虽然石油价格在回跌
[18:38] 那外溢性通膨尝试的要做拉回
[18:40] 可是更值得观察的是
[18:43] 目前追踪企业使用支出的
[18:46] AI Token指数
[18:47] 从5月份以来已经下跌了20%
[18:49] 尽管从25年以来还是几近翻倍了
[18:52] 不过至少可以反映出
[18:54] 企业为了AI token支付的金额
[18:56] 开始越来越低
[18:58] 也代表企业可能越来越转向
[19:00] 使用成本更低的模型
[19:02] 让整体付费下滑
[19:03] 那好处是
[19:04] 哇那就是在增进生产力效率
[19:06] 那是一种压低通膨的效果
[19:09] 但是另外一层面也会让大家担心
[19:11] AI公司是不是正在逐渐失去定价能力呢
[19:15] 如果企业持续控制AI的使用成本
[19:17] 那未来的基础建设的投资回收
[19:20] 该怎么办呢
[19:21] 但是目前这一份看法
[19:22] 我认为还是非常分歧的
[19:24] 乐观者认为
[19:25] 从23年以来
[19:26] AI token的单价已经超过了90%
[19:28] 但整体支出比去年增加一倍
[19:31] 这叫杰文斯悖论
[19:32] 我们都觉得
[19:33] 如果一辆汽车的成本
[19:35] 从10万美金变成了1万美金
[19:38] 那你会觉得经济崩溃
[19:40] 汽车商都赚不到钱
[19:42] 可是如果是由技术的提升
[19:44] 一万美金
[19:45] 变成一百个人买
[19:47] 但是十万美金
[19:48] 只有一个人买
[19:49] 所以有时候成本的降低
[19:51] 反而可以扩大
[19:51] 更进一步的需求
[19:52] 这是乐观派的想法
[19:53] 这是我的想法
[19:54] 那悲观派的确认为说
[19:56] AI的投资
[19:56] 和实际营收之间的落差
[19:58] 还在扩大
[19:59] 那压力就会来得越来越大
[20:00] 那最后会由于
[20:02] 七巨头投不下去
[20:03] 而彻底的毁灭
[20:04] 这也是目前
[20:05] 为什么只有卖产值的赚到钱
[20:07] 但是投钱的
[20:08] 大家已经不太喜欢的原因
[20:09] 这给投资朋友
[20:10] 自行来做探讨了
[20:12] 但我个人的看法是
[20:13] 即便现在我们看到
[20:14] 各大领域向Token成本在降低
[20:17] 甚至连我们看到H100的租赁价格
[20:19] 从高点这样子跌下来
[20:21] 也跌了接近40%
[20:23] 但真的代表AI需求降温吗
[20:26] 事实上我们要理解的是
[20:27] 这个SPART就是H100的租赁价格
[20:30] 它只是全球AI算力当中
[20:31] 很小的一部分
[20:32] 它反映的是什么
[20:33] 反映的是闲置算力的价格
[20:36] 而并不是整体需求
[20:37] 目前全球最大的AI算力
[20:39] 早就被四大CSBA者长期预约
[20:42] 这些需求不会流落到H100的市场
[20:44] 所以即便它的价格下跌很多
[20:46] 它其实更类似于
[20:47] 短期供需的变化
[20:49] 产品的世代交替
[20:51] 或者租赁市场价格的竞争而已
[20:53] 是在种种效果底下
[20:55] 我个人的看法是
[20:56] 也许石油价格的回跌
[20:58] 搭配着AI token成本
[21:00] 由于生产力的进步
[21:01] 有机会让我们今年
[21:04] 暂时先不看到升息
[21:05] 我是还是抱持的
[21:08] 对于今年无码的预期
[21:09] 无码就是没有码
[21:11] 没有升息码数的预期
[21:12] 那当然在这样的过程当中
[21:15] 本身他还是要考验时间传导的速度
[21:18] 好但我本身对于未来
[21:20] 是否联总会采取紧缩性政策
[21:22] 还是抱持乐观态度
[21:23] 因为你看到一点一滴的正在改变
[21:25] 石油通膨正在回归
[21:27] 重点是Token成本正在下滑
[21:29] 那我们回过头来看一下股市的表现
[21:32] 上周是我们稍微看过了
[21:33] 四大指数
[21:34] 其实除了道琼在创高以外
[21:36] 费半跌幅就比较沉重
[21:37] 几乎把整个六月份投资人快要套牢了
[21:40] 那好处是小型股反而创下了
[21:43] 上半年以来
[21:44] 35年以来的最佳表现
[21:46] 其实这一次
[21:47] 罗素2000涨幅是接近22%
[21:50] 这个指数已经是超越了
[21:52] 纳斯达克指数和标普派指数
[21:54] 就仅次于废半
[21:55] 比纳斯达克指数大概高了9个百分点
[21:58] 这也是从2006年以来
[22:00] 相对大型股最强的一次
[22:02] 所以小型股的向外轮动
[22:05] 就说明着
[22:05] 到底本轮的AI竞赛
[22:07] 虽然是有点大则很大的趋向
[22:09] 但是对于小型股是否有如此大的伤害呢
[22:12] 这就不一定
[22:13] 我们知道从废办角度来看
[22:15] 看起来短期性卖压很大
[22:17] 可是今年投资人
[22:19] 那个都是赚100%起跳
[22:20] 你跌15%跌20%都不一定洗得掉这批人
[22:24] 他只会套牢这一两个月进场的投资人
[22:26] 所以本身投资市场并没有一套适合所有人的答案
[22:30] 那有些人可能真的长期以来都偏好罗素2000
[22:33] 今年好不容易开花结果
[22:35] 那有些人可能就是温文的投资到穷
[22:38] 有些人投资纳指期巨头
[22:40] 等待市场轮动
[22:41] 有些人持续锁定废办
[22:42] 很多看似不同的策略
[22:44] 它只是反映不同的资金规模
[22:46] 风险承受能力和投资目标
[22:48] 所以有时候我们讲说
[22:49] 你想要这个时间点all in
[22:51] 那到底是all in废办好
[22:53] 还是all in纳指好
[22:54] 那就很明显就取决于
[22:56] 你的风险承受能力
[22:57] 和市场预估变化
[22:58] 资金规模较小的人
[23:00] 他就更容易集中投入
[23:01] 追求资产的快速累积
[23:02] 那重点是不要照着
[23:04] 别人的方式操作
[23:05] 所以有很多人
[23:05] 常常拿着一档一剂
[23:07] 也不是说
[23:07] 这是不是好的买入点
[23:09] 那当然要取决于
[23:10] 你自己的资金量变化
[23:11] 还有心理承受的能力
[23:13] 那个最典型的故事是什么
[23:14] 那不是两个人在聊天
[23:16] 一个看另外一个人的对账单
[23:19] 一看
[23:19] 你这么看好未来的大盘
[23:22] 你怎么还是
[23:23] 每个月定期定额
[23:25] 那另外一个人说
[23:26] 其实我每一次都是all in
[23:28] 我只是钱太少
[23:29] 你才觉得是定期定额
[23:31] 这个投资方式
[23:32] 它很多时候不是理念不同
[23:34] 是资金规模不同
[23:36] 对资产一亿的人来说
[23:38] 投入一百万
[23:39] 那个就是小买加码
[23:41] 对于刚出社会的人来说
[23:43] 你把月薪全部投入
[23:45] 投个五万六万
[23:46] 那个就是真正意义上的all in
[23:48] 所以很多策略看起来不同
[23:50] 本质上只是站在
[23:52] 不同的资产规模去看世界
[23:54] 当然这还是有区别的
[23:55] 很多时候市场一波动
[23:57] 很多人的市场
[23:58] 第一个反应就是
[23:58] 要重压
[23:59] 停损追高或杀低
[24:01] 或者希望用更大的动作
[24:03] 去解决问题
[24:03] 但真正长期成功的投资人都知道
[24:06] 不是每一次波动都要剧烈的反应
[24:08] 有时候克制比冲动来得更有价值
[24:11] 那现在趁美国股市
[24:12] 开始做缓步回挡的过程当中
[24:14] 不用急着做操作
[24:15] 你要知道
[24:16] 你要清楚自己的投资原则
[24:18] 然后再慢慢的下定自己的决定
[24:20] 投资机会永远都会有的
[24:22] 耐心比力量更能够创造长期的报酬
[24:25] 之前有一句话是怎么说的
[24:28] 当一只蚊子停在你的睾丸上的时候
[24:32] 你就会明白
[24:33] 不是所有问题都能够靠暴力解决每一次市场剧烈波动的时候人性总会驱使我们立刻采取行动希望靠一次大胆的操作扭转局势所以我们接下来就要聊不管是集体行情等等
[24:47] 出现了一次巨大波动
[24:49] 如果你要马上采取措施的话
[24:51] 那你一定是顺势交易者
[24:52] 才要这么做
[24:53] 如果是投资者的话
[24:54] 长期投资者
[24:56] 那你就必要了解说
[24:57] 那你现在有没有违变的初衷了
[24:59] 好 这个时候我们就要回过头来看一下
[25:00] 实质行情的变化
[25:02] 也就是集体行情
[25:03] 目前所产生的压力
[25:04] 现在回过头来看一下
[25:06] 集体行情的压力在哪里呢
[25:07] 其实它更类似于集体性的获利了结卖压
[25:10] 如果我们细看
[25:11] 你像部分个股
[25:12] SANDISK的部分
[25:14] 股价距离交易日前创下历史高位
[25:17] 这样子跌已经跌了22%了
[25:19] 这不仅是跌破了陡峭的上升趋势线
[25:22] 它也跌破了20日移动平均线
