[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 兩週的漲幅給吞掉
[04:49] 它其實更多就是找到一個可以獲利下車的機會而已
[04:53] 正常情況下我們當然會覺得
[04:55] 那應該是一個技術性的拉回
[04:57] 可是在高度一次帶有槓桿和動能追逐的環境裡
[05:01] 它就被放大成劇烈波動
[05:03] 實在像一個效果
[05:04] 我個人的看法是
[05:05] 其實跟聯總會主席沒有太大關係
[05:08] 如果我們細看
[05:09] 這一次川普提名
[05:10] 或許出任下一屆聯總會主席
[05:12] 或許過去都是以強硬抗通膨立場著稱
[05:15] 市場是標準的鷹派
[05:17] 可是在他宣佈擔任聯總會主席以後
[05:20] 我們看到美元和實質利率
[05:22] 美元波動是很大
[05:24] 但實質利率沒有想象中還要來得多
[05:26] 所以這件事情也就意味著
[05:29] 其實Walsh在過去幾個月的談話
[05:32] 已經相對於呼應川普
[05:33] 不一定要在極低通膨底下展開降息之路
[05:37] 而是進行聯總會內部資產負債表的調節
[05:41] 聯總會內部的改革
[05:42] 以及跟著市場上民意來做聯動
[05:46] 也就是降息
[05:47] 你不能只看風險資產一直漲
[05:49] 你就決定不要降息
[05:50] 而是要看實體民間的態度
[05:52] 所以我覺得這幾個月
[05:53] 待會我們會細談
[05:54] 他的談話有一點
[05:56] 陰皮帥哥的味道
[05:58] 他的樣子長得也蠻帥的
[06:00] 但是外表是陰的
[06:01] 因為過去十幾年的慣性
[06:03] 導致大家會有
[06:04] 根據他前幾年的談話來做定調
[06:07] 可是本質上
[06:08] 他其實已經在聯總會內部
[06:10] 已經有一點偏鴿派了
[06:12] 重點在於
[06:12] 他能不能說服其他的委員
[06:14] 所以回過頭來說
[06:15] 金價銀價的崩跌
[06:17] 它只是一個導火線
[06:19] 對Wash來說
[06:20] 真正的原因
[06:21] 還是由於選擇權的放大金
[06:22] 所以導致市場的崩跌速度加快而已
[06:25] 現在市場上流行一個詞
[06:28] 叫做Gamma Squid
[06:29] 就是我們講的Gamma 擠壓
[06:31] 當市場前期大量壓住
[06:33] 短天期的看漲選擇權之後
[06:35] 價格寬速上漲時
[06:37] 賣出選擇權的交易商
[06:38] 就必須要被動的買進期貨
[06:40] 或者ETF來避險
[06:41] 反而推升價格
[06:43] 形成拋物線的上漲
[06:44] 那一旦價格掉頭向下
[06:46] 那這些避險部位又會被迫的反向賣出
[06:48] 導致跌勢被迫加大
[06:50] 所以大家有沒有觀察
[06:52] 臺股其實這種動能交易或者量化交易
[06:55] 那也很明顯
[06:56] 這一旦價格被鎖定在幾個TIG和幾個TIG之間做波動
[07:01] 有時候你看到好像突然來一個什麼499張單子
[07:04] 好像一跌破或者一漲破以後
[07:07] 單子馬上又拉回來
[07:08] 就像城市交易
[07:09] 它會穩在一定程度區間
[07:11] 但是一旦進行全面突破以後
[07:12] 就會進行全面追加
[07:14] 或者全面售出
[07:15] 所以這波行情的放大
[07:17] 我相信跟ETF和選擇權市場的
[07:19] 結構性買盤和賣盤是有關的
[07:21] 大量買進的買權部位
[07:23] 迫使做市商
[07:24] 造市商在價格上漲時
[07:26] 被迫要機械式的來回補現貨避險
[07:29] 形成這種被動追加
[07:31] 那賣出的時候速度也特別快
[07:33] 我相信更像是這樣的原因
[07:35] 也就是說我們只是迎來一個
[07:36] 波動性更大的市場而已
[07:38] 但有趣的事情是
[07:39] 現在選擇權市場也並沒有完全撤退
[07:42] 即便現在現貨價格暴跌了
[07:44] 看漲部位反而還在增加
[07:46] 代表很多資金也認為
[07:48] 這一波的急殺是短線過頭
[07:50] 準備強反彈
[07:51] 那現在金價銀價的確正在反彈的過程當中
[07:54] 換句話說
[07:55] 這一次其實更類似於一個
[07:56] 技術和部位結構性的主導修正
[07:59] 它並不是一個基本面
[08:00] 對於金價銀價的全面偏空策略
[08:05] 或者偏空的訊息
[08:06] 這或許它是稍微沒有這麼割
[08:09] 但是它也沒有到停止降息的地步
[08:13] 也不會到升息的地步
[08:15] 所以基本上它只是選定一個相對中立的人選
[08:18] 那當然後續另外一個訊息
[08:20] 補出的就是資商所CME
[08:22] 在上週五大幅上調貴金屬期貨保證金
[08:26] 它也是一個雙重原因
[08:27] 其中黃金由6%上調到8%
[08:30] 白銀從11%到15%
[08:32] 那槓桿最怕的是什麼
[08:33] 最怕就是你把錢給收回去
[08:35] 我就無法放大槓桿了
[08:36] 只好被迫賣股票那當然市場會擔心這一波是否會出現1980年或者11年當時交易所出手交易所的出手導致行情崩盤的歷史劇本
[08:47] 我認為可能性不大
[08:49] 第一市場上雖然有放大槓桿
[08:51] 不過現在很多散戶操作的方式
[08:54] 都是藉由ETF的買盤來做拉伸
[08:57] 其實如果從上禮拜的
[08:59] 明目成交金額排行榜當中
[09:01] 你會發現有一些資金是很明顯
[09:03] 高度集中在一些少數熱門的資產
[09:06] 而往年最多的前面幾名不意外的
[09:08] SPY QQQ
[09:10] 然後有輝達特斯拉微軟
[09:12] 不過呢在過去一週啊
[09:14] 常常不在前十名排行榜的
[09:17] 銀價INTF
[09:18] 還有黃金ETF GLD
[09:20] 資金買盤卻特別顯著
[09:22] 這也說明著的確散戶的炒作心理
[09:25] 買入心理
[09:26] 在短期內很多人在這段時間
[09:28] 嘗試的放大槓桿
[09:29] 所以現在基本上你不用太擔心經營的問題
[09:32] 這從資產配置邏輯
[09:33] 反而下跌
[09:35] 你是有再平衡的條件了
[09:36] 是吸引人的
[09:37] 右側我們不會樂觀
[09:39] 對不對
[09:40] 那左側也從來不悲觀
[09:42] 所以從資產配置邏輯
[09:43] 當然我們過去講過
[09:44] 經營
[09:45] 從經營比的角度來看的話
[09:47] 金價是更有吸引力的
[09:49] 也更適為進行資產配置
[09:50] 大家擔心的是
[09:51] 會不會外溢到股票市場
[09:53] 也出現這樣的一個情況
[09:54] 我們看大摩最新的報告顯示
[09:56] 黃金這一次蒸發了
[09:58] 2.5兆美元的市值
[09:59] 科技股和比特幣也同步重挫
[10:02] 許多人會擔心說
[10:03] 系統化的策略自動賣壓
[10:05] 什麼時候會反映在股票市場身上
[10:07] 目前的股票市場的
[10:09] 系統化的宏觀策略部位
[10:11] 包括像是CTA
[10:12] 或者波動率控制基金
[10:14] 以及風險評價策略槓桿水位
[10:16] 已經處於五年來的新高
[10:18] 所以指數
[10:19] 其實也跟金銀差不多的情況
[10:22] 只不過它的波動
[10:23] 不像是白銀短期內放大這麼大
[10:25] 那以標普500為例
[10:26] 如果單日收跌1%
[10:28] 可能就會導致相關的ETF資金
[10:31] 有150億美元的被動賣出
[10:33] 它是你跌了我才賣
[10:34] 不是因為我賣了所以跌
[10:36] 跌幅來到1.5%
[10:38] 賣壓會放大到250億到300億
[10:40] 也就是說
[10:41] 由於現在這種被動式買盤太大了
[10:43] 容易出現跌了
[10:45] 我就被迫要贖回的情況
[10:47] 在這樣效果底下
[10:48] 大家就會擔心
[10:49] 是否應該採取一些適度的避險操作
[10:52] 畢竟很多避險資產
[10:54] 已經好久沒有動靜了
[10:55] 這給投資朋友作為一些參考
[10:57] 那麼也就說明
[10:58] 這一次經營價格的交易是
[11:00] 如果短期內觸底
[11:01] 那就是一次調整到位
[11:03] 這次銀價大跌
[11:04] 某種程度也意味著
[11:06] 金銀比開始往合理區間邁進
[11:08] 我們看過往格局
[11:10] 你會發現白銀通常
[11:12] 在過往格局底下
[11:13] 跟銀價金價
[11:14] 它會有一定程度的上漲聯動
[11:16] 所以金銀比
[11:17] 通常是呈現一定的程度比例
[11:20] 不能說金價上漲
[11:21] 銀價一定要上漲
[11:22] 但通常比例
[11:23] 通常不會出現到極端
[11:25] 但這一波很明顯
[11:26] 金銀比的快速下探
[11:28] 也就意味著
[11:28] 銀價上漲速度已經比金價快太多了
[11:32] 那在短期內
[11:33] 現在金價回跌
[11:35] 但是銀價回跌更大
[11:36] 反而造成了金銀筆的收斂
[11:38] 這件事情是好事
[11:39] 雖然我們過去說過
[11:41] 那唐伯虎一朵梨花壓海棠
[11:44] 願做一聲小銀從周伯通
[11:46] 但是呢
[11:47] 小金從現在看起來
[11:48] 的確還是比較有CP值
[11:50] 比較有價效比
[11:51] 因為從金銀筆角度而言
[11:53] 才剛剛進行回撥
[11:54] 當然從金銀筆角度來看
[11:56] 應該是黃金上漲
[11:57] 白銀要均值迴歸
[11:59] 那如果放長週期
[12:00] 兩者的長期走勢呢
[12:02] 難道就是一漲一跌嗎
[12:04] 當然不會
[12:05] 我們看的是一個短期的區間
[12:07] 它會有一個自然的校正迴歸
[12:08] 那真正中長期而言
[12:10] 金銀筆要看的是一個
[12:12] 長週期的政策演變
[12:14] 和美元貶值的週期會有多長
[12:16] 我們把79年到80年
[12:19] 那一輪歷史性的飆漲
[12:20] 用同樣機器來進行對照
[12:22] 很多人說現在是不是就是
[12:24] 1970年代末的第二次停滯性通膨
[12:27] 原物料漲幅是有點誇張
[12:29] 但是有沒有到通膨失控的地步
[12:31] 我認為是沒有
[12:32] 包括現在石油能源結構也不太一樣了
[12:34] 1970後起它是通膨失控
[12:37] 實質利率轉為負值
[12:38] 資金恐慌
[12:39] 然後搶進到貴金屬市場
[12:41] 這一輪其實更類似於去美元化
[12:43] 或者央行增持和資產配置需求
[12:46] 所推升的結構性走深
[12:48] 所以換句話說
[12:49] 現在的貴金屬行情
[12:50] 雖然不便宜
[12:51] 波動也放大很多
[12:52] 可是從長週期來看
[12:53] 我們從現行圖表現得出來
[12:55] 它並沒有到歷史級的泡沫區
[12:57] 對於中長期配置而言
[12:59] 我們相信黃金仍然具有主軸資產
[13:02] 我們從2000到3000到4000到5000
[13:05] 也不會改變它的看法
[13:06] 從資產再平衡的邏輯
[13:08] 黃金股市債市都必須要適度的反應通膨
[13:12] 長期趨勢向上
[13:13] 差別只在於你想要買在什麼樣的一個位置
[13:16] 那你從短期角度思考
[13:18] 或者嘗試放大槓桿
[13:19] 當然會因此而受傷
[13:20] 可是從資產配置邏輯
[13:22] 現在在左側的資產不多
[13:24] 大概就只有納斯達克指數和貴金屬價格
[13:28] 現在剛剛開始出現左側而已
[13:30] 所以從這樣的一個角度而言
[13:31] 應該用理性的角度來看待
[13:33] 這一次金銀價格的回撥
[13:35] 我反倒沒有那麼悲觀認為
[13:37] 就一路的向下
[13:38] 史詩級崩盤
[13:39] 倒不至於如此
[13:40] 當然不同的看法
[13:42] 我們以美銀的Harnett給出的看法
[13:44] 給大家做更進一步的理解
[13:46] 美銀的Harnett
[13:47] 他的觀點很鮮明
[13:48] 他認為市場剛經歷完貴金屬劇烈震盪
[13:52] 和白銀史詩級的單日暴跌
[13:54] 但他仍然認為貨幣貶值
[13:56] 還是視為當前的核心情境
[13:58] 而且也強調
[13:59] 歷史上真正的大型黃金牛市
[14:01] 從來都不是被高估值
[14:03] 或者技術面給終結
[14:05] 都是因為宏觀事件的轉折
[14:07] 比如說過去幾次的黃金牛市的轉折
[14:10] 我們看到一次是1974年的美元制度調整
[14:14] 1980年的沃爾克的暴力升息
[14:16] 2012年的歐債危機尾聲
[14:19] 2020年的疫情問世
[14:21] 都是制度型或者政策型的拐點
[14:23] 他也指出說美元從本輪政治週期以來
[14:26] 已經很明顯轉弱了
[14:28] 如果接下來是美元的大熊市
[14:30] 跌幅可以來到三成以上
[14:32] 黃金和新興市場應該是最大的受惠者
[14:35] 從這樣的一個角度
[14:36] 我們大概就可以理解說
[14:37] 如果黃金按照過往歷史
[14:39] 的確沒有一次是因為高估值的崩潰
[14:41] 都是因為美元週期
[14:43] 或者說利率政策週期
[14:45] 出現重大轉變才發現
[14:46] 那這個時候就有不同的思維了
[14:48] 因為美元指數
[14:49] 雖然現在貶值幅度也不小了
[14:51] 從高點這樣貶下來
[14:53] 貶的有一成五到兩成
[14:55] 可是按照過往格局
[14:56] 真正的美元大貶週期
[14:58] 在2000年和1980年
[15:02] 那個貶值幅度
[15:03] 大概都是30%到40%起跳的
[15:06] 那現在跌幅
[15:07] 從高點這樣子跌下來
[15:08] 稍微一成到兩成
[15:10] 川普政策和穩定市場
[15:12] 當然是否會有進一步的
[15:14] 推波助長的作用
[15:16] 其實市場上是蠻有期待的
[15:18] 當然我們要講說
[15:19] 外匯市場其實不存在
[15:20] 一個公認的熊市
[15:21] 為什麼呢
[15:22] 因為不同於股市
[15:23] 股市從高點往下疊疊兩層
[15:25] 就叫做熊市
[15:26] 但是外匯市場
[15:28] 它畢竟是一個翹翹板
[15:29] 美元的貶值
[15:30] 不一定要靠美元
[15:31] 或者利率政策的走皮來帶動
[15:33] 你歐元升值也是一種辦法
[15:35] 歐元現在是美元指數最大權重
[15:37] 所以匯率本身
[15:39] 是一個相對強弱的概念
[15:40] 那至於這一波美元走弱
[15:42] 到底是一個短期修正
[15:43] 還是長期空頭
[15:44] 我們有自己的主觀看法
[15:46] 但不一定準
[15:47] 你最好的方式是資產再平衡
[15:49] 美元貴你也買
[15:50] 美元便宜你也買
[15:51] 那所以資產的匯率部分風險都被沖銷了
[15:54] 但是呢
[15:55] 如果是從短期角度
[15:56] 應照兩年期的中期判斷的話
[15:59] 那麼川普在去年已經達成了大規模投資
[16:02] 引入到美國本土
[16:04] 但是呢
[16:04] 他其實沒有解決掉各國對於美國順差的問題
[16:08] 美國的逆差針對全球還在放大
[16:10] 要解決貿易逆差的問題
[16:12] 現在看起來只剩下一種方式了
[16:14] 難不倒再打一場關稅戰嗎
[16:17] 用一個關稅戰來結束
[16:19] 目前美元相對貶值不夠的問題
[16:22] 看起來有點難
[16:23] 最好的方式
[16:24] 其實就是藉由美元的貶值
[16:26] 來直接帶動新一輪貿易逆差的平衡
[16:29] 所以我們按照過往經驗
[16:31] 從降息次數減去升息次數
[16:33] 它就是另外一個貨幣面的推升
[16:36] 政治面
[16:37] 川普至少不反對美元貶值
[16:40] 從貨幣面來看
[16:41] 或許本身雖然過往講話有點鷹派
[16:45] 但本身在過去幾次的談話當中
[16:47] 其實已經釋放出
[16:49] 相對聯總會內部割派的感覺
[16:51] 那全球的降息次數
[16:53] 減去升息次數
[16:54] 我們可以看見
[16:55] 像09年或者20年
[16:57] 這兩年出現比較前途的
[16:59] 巨大的藍色珠狀體
[17:00] 它分別就對應了金融海嘯
[17:02] 和新冠疫情
[17:03] 大幅降息有利於金家
[17:05] 所以我們基本上
[17:07] 2026、2027年
[17:08] 對於黃金最大變數就是
[17:09] 我們會不會迎來了一個炸藥桶
[17:11] 突然或許宣佈要高強度升息
[17:13] 或者聯總會內部的共識全面轉變
[17:15] 通膨才是今年黃金的最大問題那最後一個就是在全球地緣政治的侵擾底下過去十年多市場相信的是全球化央行是獨立的QE放水自由市場大型科技股主導的結構
[17:29] 但現在的市場資金
[17:31] 在後疫情時代
[17:32] 其實已經出現了明顯轉移
[17:34] 第一戰爭和地緣政治風險
[17:36] 持續在升高
[17:37] 民粹和國家資本主義抬頭
[17:39] 產業政策關稅迴歸
[17:41] 國安和邊境管控
[17:43] 變成核心議題
[17:44] 在種種訊息底下
[17:46] 哪一個地緣政治的環境
[17:48] 或者全球政治環境
[17:50] 不利於黃金上漲呢
[17:51] 幾乎沒有
[17:52] 大家想想
[17:52] 我們再想未來五年好了
[17:54] 戰爭地緣政治風險
[17:56] 民粹的問題
[17:57] 國家資本主義的問題
[17:58] 產業的問題
[17:59] 國安的問題
[18:00] 川普造成的負重問題
[18:02] 這些問題看起來
[18:04] 都有利於黃金價格
[18:05] 有進一步的拉昇
[18:06] 簡單來講
[18:07] 全球越不穩定
[18:08] 越不和平
[18:09] 越有利於黃金的中長期拉昇
[18:12] 所以本次我們看到
[18:13] 金銀價格的回底
[18:14] 它基本上只是意味著說
[18:16] 你一旦把槓桿開大
[18:18] 太大的話
[18:19] 其實你就不是在投資了
[18:21] 你等同於在跟波動對賭
[18:22] 所以不管標的是黃金
[18:24] 還是白銀
[18:25] 或者是股市本質都一樣
[18:27] 價格只要出現一次
[18:28] 超出你保證金
[18:30] 承受範圍的回擋
[18:32] 你就會被強制平倉
[18:33] 連等反彈的資格都沒有
[18:35] 市場從來都不是
[18:37] 把人家慢慢磨死的
[18:38] 他是用一根急殺
[18:39] 把過度自信的你
[18:41] 給清出場了
[18:42] 很多人就無法再回到市場了
[18:43] 所以我們講說
[18:44] 看對方向
[18:45] 其實是不會輸的
[18:46] 資產PT是不會輸的
[18:48] 重點在於
[18:49] 你能不能活到最後
[18:51] 在這樣的一個效果底下
[18:52] 其實不管是金
[18:53] 還是銀
[18:54] 還是股
[18:55] 本質都一樣
[18:56] 一次
[18:57] 可能就把你給清出場了
[18:59] 給投資朋友做一些思考
[19:00] 之前我們才講過一個故事
[19:02] 他講那個
[19:03] 湖中女神
[19:04] 他講說
[19:05] 雞農
[19:06] 釣了一隻雞在湖裡面
[19:08] 湖中女神說
[19:09] 你釣的是金雞
[19:11] 還是銀雞
[19:12] 雞農很誠實地說
[19:13] 他釣的是普通的雞
[19:14] 結果三隻雞都給他了
[19:16] 金雞生金蛋
[19:18] 銀雞生銀蛋
[19:20] 雞農從此過著富裕的生活
[19:23] 鴨農一聽到
[19:24] 趕快把鴨子丟到湖裡面
[19:26] 鴨子就遊走了
[19:28] 所以很多人都覺得
[19:30] 很多鴨農聽到
[19:32] 覺得這是一個套利機會
[19:33] 直接把鴨子丟到湖裡面
[19:35] 準備了三倍的資產
[19:36] 三倍槓桿
[19:37] 結果女神還沒有出現
[19:39] 鴨子自己遊走了
[19:40] 連本金都沒有
[19:41] 所以投資市場也是一樣
[19:43] 我們誠實面對風險
[19:44] 慢慢的累積
[19:46] 有機會變成金雞銀雞
[19:48] 但是你槓桿開太大
[19:49] 你想一步登天
[19:51] 那女神都還沒有來
[19:52] 不為自己就先遊走了
[19:54] 好所以這是我們觀察到
[19:55] 第一個景象
[19:56] 那第二個景象
[19:57] 是從其他風險資產
[19:59] 相對於經營的聯動來做觀察
[20:01] 比特幣在週末的清單盤中
[20:03] 基本上出現了急殺行情
[20:05] 價格從8.8萬美元
[20:07] 一路跌到7.4萬
[20:09] 這樣子一跌
[20:10] 那等同於回到
[20:11] 當時關稅佔4月的水準
[20:13] 盤面的特徵其實蠻典型的
[20:16] 一開始是現貨價格被城市化的賣單持續壓低
[20:19] 然後它也觸發了很多高槓杆多頭的連鎖平倉
[20:23] 賣壓突然就來連續三根
[20:25] 像水龍頭一樣放大
[20:27] 統計顯示現在過去數個小時內
[20:29] 被強制平倉的加密槓桿部位
[20:31] 已經超過15億美元
[20:33] 多數都集中在多單
[20:34] 同步也拖累整體加密貨幣的市值
[20:37] 在24小時內大幅度的縮水
[20:39] 這一波下跌也讓大家重新檢視幾個結構性問題
[20:43] 第一就是比特幣近期對於美元走落
[20:45] 黃金創高
[20:46] 貴金屬反轉
[20:47] 它的訊號都很明顯偏落
[20:49] 那個避險和抗通膨的敘事
[20:51] 很明顯降溫了
[20:52] 第二是價格高度依賴槓桿和衍生部位
[20:56] 所以現在就是這樣子
[20:57] 看哪一個槓桿部位放得大的
[20:59] 哪一個就先殺
[21:00] 第三是大型持幣機構和上市公司
[21:03] 先前的平倉持倉的成本
[21:05] 現在開始被測試
[21:07] 也就代表了已經有點殺到機構上的價位了
[21:10] 過去一整年的頭部
[21:12] 你可以說是川普行情的帶動
[21:14] 但是現在回到源頭
[21:15] 現在已經回到川普當選時的水位了
[21:19] 等於過去一整年加密貨幣轉頭空
[21:23] 如果從更長期角度來看
[21:25] 的確都有點頭部的味道開始慢慢出現了
[21:28] 如果我們把標普拿來跟比特幣來做
[21:31] 同一個時間走出對照
[21:32] 可以發現大多數時間
[21:34] 大家還是一個風險資產的同步結構
[21:37] 結果從去年10月份開始
[21:40] 標普就走自己的路
[21:41] 它就一路的往上創高
[21:42] 那比特幣呢
[21:43] 就一路的往下破底
[21:45] 那還好是嘗試的做主底
[21:47] 可是這一波居然破底了
[21:49] 直接往去年四月份的水位來做邁進
[21:52] 那這一種SHS
[21:54] 也就是頭肩頂的這種態勢出現以後
[21:57] 市場壓力就很大了
[21:58] 如果連去年四月份價位都守不住的話
[22:01] 那比特幣的確中長期而言
[22:03] 它就必須進入到長期的調整和回撥
[22:06] 那這個調整就是往2022年的角度來邁進
[22:09] 壓力的確稍微有一點大
[22:11] 所以比特幣這種急殺
[22:13] 槓桿的多頭連環爆倉
[22:14] 它也說明著
[22:15] 只要槓桿放太大
[22:17] 從長期投資角度而言
[22:18] 壓力其實都蠻
[22:20] 很多人其實是用
[22:21] 可能正額
[22:22] 或者用ETF的方式來持有
[22:24] 那的確你心態夠好
[22:25] 還是可以抱得住的
[22:26] 中長期而言
[22:27] 我們相信多數資產
[22:28] 都會反映同盟和M2的貨幣增量
[22:30] 可是從短期或者中期波段而言
[22:34] 你稍微有點壓力放得大
[22:36] 那當然心裡可能情緒就撐不過去
[22:40] 所以我們講說
[22:40] 這長期投資者最大的投資傷害是什麼
[22:44] 就是實在情緒
[22:46] 你看對了趨勢
[22:48] 但是實在波動
[22:49] 一次波動就把你給燒出場了
[22:51] 所以長期投資者
[22:52] 我們講說你低估值買股票是好的
[22:55] 那你高估值買也沒有不行
[22:57] 因為有時候你會喪失本金的投資效益
[23:00] 所以高估值買也是可以的
[23:01] 持續待在市場當中
[23:04] 等待著本業收入進來
[23:05] 慢慢投像指數型投資也OK
[23:07] 那你不能做的是什麼
[23:08] 你不能你想要買在高估值
[23:11] 你又選擇在高估值
[23:12] 決定大幅的放大槓桿
[23:14] 放到你一次倒
[23:16] 就再也沒有回到市場的
[23:17] 可能性的這種槓桿
[23:18] 壓力是很大的
[23:19] 所以你要買低估值的股票
[23:21] 也是OK的
[23:22] 你要買高估值的股票
[23:23] 也是OK的
[23:24] 但是你不能在高估值的時候
[23:26] 全面性的放大槓桿
[23:27] 這個就是景氣擴張週期
[23:29] 大家要知道的
[23:30] 之前看到網路上講說
[23:32] 你直接捐錢也可以
[23:34] 你直接捐金也可以
[23:38] 捐錢也不犯法
[23:41] 捐金也不犯法
[23:42] 那為什麼同時捐錢和捐金就犯法呢
[23:46] 這很多動作
[23:48] 你單獨來看都合理
[23:49] 但是一旦你同時出手
[23:52] 你可能就會變成
[23:53] 從策略變成風險放大
[23:56] 比如說長期投資是一個好習慣
[23:58] 使用槓桿也有它的工具價值
[24:00] 可是高估值情緒風險明顯過熱
[24:03] 你還一邊要重壓單一題材
[24:05] 一邊又要開槓杆來追價
[24:06] 那本質上就會從資產配置
[24:08] 變成情緒疊加的賭注
[24:10] 到後來就是在賭了
[24:12] OK
[24:12] 那我們回過頭來看
[24:13] 所以現貨市場的股市投資者
[24:16] 像我們稍微而言
[24:17] 這個心態情緒就沒有這麼大
[24:19] 為什麼呢
[24:20] 我們過去大家知道
[24:22] 費辦漲高以後
[24:23] 就已經沒有什麼條件了
[24:25] 只能讓獲利奔跑了
[24:26] 我們的焦點都重新回到
[24:27] 還在左側打底的
[24:29] 納斯達克指數或者軟雞股
[24:31] 那七巨頭的確很久沒有漲了
[24:33] 一月行情的市場變化
