[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 我们过去提过
[05:38] 甚至连第二波第三波接班领导人
[05:42] 基本上都团灭
[05:43] 所以中东空域现在关闭三天
[05:45] 未来局势基本上按照油价的走势
[05:48] 看起来短期内是有一个见点的迹象
[05:51] 区域航班的大乱以后
[05:53] 是否能够导致
[05:55] 现在很多股票正在去估值
[05:57] 国际航空集团
[05:58] 法航
[05:59] 核航
[06:00] 股价都在明显的下挫
[06:01] 那接下来就要看川普要如何
[06:03] 让这场战事走到尾声
[06:05] 很多人在想说
[06:06] 川普为何要再针对中东来开火
[06:09] 战争理由的说法
[06:10] 当然会引发市场质疑
[06:12] 因为白宫在敦南几天内
[06:14] 其实给出的说法很多
[06:15] 卢比优的态度是
[06:17] 美方得知以色列即将攻击伊朗
[06:19] 那如果先不出手的话
[06:21] 也许后续会付出更高代价
[06:23] 那最好一次剿灭
[06:24] 民主党人当然会质疑
[06:26] 那这到底有没有构成利己威胁
[06:28] 战事已经造成数百名伊朗人
[06:31] 丧命以及美军的死亡
[06:32] 游士的动荡
[06:33] 那重点在于川普也忧心
[06:36] 伊朗换人会一样糟
[06:38] 这个是昨天他在跟德国总理
[06:41] 萧芝谈话当中受访的时候
[06:42] 给予的说法
[06:44] 川普表示说
[06:45] 的确我们这次针对伊朗采取军事打击
[06:48] 其实是一个边走边看的过程
[06:51] 他也担心说
[06:52] 未来接班的领导人
[06:54] 未必会比现在政权来得更温和
[06:56] 他说话也很直
[06:57] 甚至可能一样糟
[06:58] 他坦言
[06:59] 最坏的情况是推翻旧势力以后
[07:02] 几年才发现坏上的人并没有变得更好
[07:04] 川普也指出说
[07:06] 其实在他空袭之前
[07:08] 是有找几个比较温和的潜在人选
[07:11] 进行权力接替
[07:12] 但是一不小心第二波第三波的人选
[07:15] 都在这一次空袭当中身亡了
[07:18] 所以美国现在也找不到人来当新任的领导人
[07:21] 伊朗搞不好内部也没有人要接
[07:23] 因为这一次的确是全面斩首性的打击
[07:26] 我们从最高领袖到多名的国防革命卫队
[07:29] 核心人员全部遭受到清除
[07:31] 我们从彭博所整理的图表来看
[07:34] 不管是军事体系所有指挥官情报单位所有指挥官军事研发机构所有指揮官从总统国安会秘书国会议长司法系统你能够找得到的人
[07:46] 全部都被美国给清除掉了
[07:48] 所以现在的确
[07:49] 找不到下一任谁来接手
[07:51] 是一个极大的问题
[07:53] 对于川普来说
[07:53] 当然客观来说
[07:55] 无论我们支持
[07:56] 现代战争当中的任何一方
[07:58] 你都必须承认
[07:59] 这个斩首战术
[08:01] 它可能是本世纪
[08:02] 最伟大的发明之一
[08:05] 彻底先做到了
[08:06] 领导人先走
[08:07] 对于普通人的伤害
[08:09] 的确就降到了最低
[08:11] 从此以后
[08:12] 战争就不用
[08:13] 像过去
[08:15] 一个平民的儿子
[08:16] 一般人的儿子
[08:17] 要奔赴千里
[08:19] 去杀另外一个国家
[08:21] 的平民的儿子
[08:22] 先让你老板先走
[08:24] 这种战争方式
[08:25] 的确也不错
[08:26] 你在做任何政治决策的时候
[08:28] 你要对自己负责
[08:29] 当然了
[08:30] 如果斩首行动
[08:31] 能够完全彻底解决问题
[08:32] 那中东早就太平了
[08:34] 重点还是要来自于
[08:35] 他要如何填补接下来的权力真空
[08:37] 因为以前那个Cartel
[08:39] 墨西哥毒枭的经验就是这样
[08:41] 你杀掉一个毒枭老板
[08:44] 往往会导致权力真空
[08:46] 那可能会有更血腥
[08:47] 更混乱的派系内战
[08:48] 所以后面的处理才是更为复杂的
[08:51] 那像海关国家
[08:52] 的确有蛮如伊朗的意
[08:55] 一样私下开始奔走
[08:57] 力劝川普为伊朗战事找台阶下
[08:59] 因为你要说
[09:00] 现在找到一个领导人来替补
[09:02] 一周内解决伊朗事件难度很高
[09:05] 所以说服川普为军事行动
[09:07] 设计一条退场路线
[09:09] 避免冲突失控
[09:11] 两国现在不管是阿联酋还是卡达
[09:14] 都希望能够组成更广泛的外交联盟
[09:17] 来尽快推动谈判的降温
[09:19] 大家知道这一次对中东很伤
[09:21] 不管是去杜拜买房的
[09:23] 不管是在杜拜生活的
[09:25] 不管是他的观光业等等
[09:27] 受到的冲击
[09:28] 你觉得你四月份接下来清明廉价
[09:31] 你会想去中东旅游吗
[09:33] 这个是一个蛮大的一个压力的
[09:35] 所以川普说战争最多持续四周
[09:38] 你想想看为什么是四周
[09:39] 第一个虽然台湾天然气是三周左右
[09:44] 但是25天差不多
[09:46] 应该是原油物理的储存极限
[09:49] 你到期的话可能就被迫要强制停产了
[09:52] 和平时期原油的开采运输
[09:54] 它是一个流动的状态
[09:56] 那目前伊斯兰革命卫队
[09:58] 已经宣布要封锁赫姆兹海峡
[10:00] 大家都知道海峽很重要
[10:02] 承载20%的海上的石油运输
[10:05] 无人机如果持续攻击的话
[10:07] 邮轮交通基本瘫痪
[10:09] 原油运不出去
[10:11] 你原本的储油储存空间就是放25天
[10:14] 超过4周外扩影响就的确比较大了
[10:17] 第二个当然就是油价的飙升
[10:19] 油价是反映心理情绪
[10:22] 心理情绪的传导只要推升到80美元以上
[10:26] 基本上原油对于通膨的年增幅
[10:29] 就会完全转为正词
[10:30] 不利于接下来的中期选举
[10:32] 那最后就是
[10:33] 现代战争本来就是
[10:34] 饱和式打击
[10:35] 那你都已经能打就打了
[10:37] 导弹发射能力和设施
[10:38] 人家现在都是用一些
[10:40] 小飞弹或者无人机来攻击
[10:42] 杀伤性的确也没那么大了
[10:44] 你已经达到部分的
[10:45] 军事的目标成果了
[10:46] 所以接下来就要来观察
[10:48] 川普这一次
[10:49] 会以什么样的一个方式来退场
[10:50] 至少不太可能驻军
[10:52] 不太可能采取地面部队
[10:54] 那真的要等到政权更迭
[10:55] 一个月肯定也不够
[10:57] 所以有没有可能
[10:59] 在某种情况底下淡化整体趋势
[11:01] 至少川普在昨天开始肯定盟友
[11:05] 这一次英国批准美军来使用基地
[11:07] B2可以直接直击伊朗的纵深目标
[11:10] 这一次美国总统川普
[11:13] 也给予英国一定的认可
[11:15] 英国曾经一度态度保留
[11:17] 引发华府的不满
[11:18] 后来施凯尔在完成24小时的法律审议以后
[11:22] 就正式批准美军使用
[11:24] 英国在中东的军事基地
[11:26] 相反的在昨天记者会上
[11:28] 川普就直接威胁要切断西班牙的贸易
[11:31] 原因在于西班牙的军事基地
[11:33] 拒绝让美军进行空袭使用
[11:35] 那么川普跟西班牙之间
[11:38] 是否有可能产生新一波的冲击
[11:41] 他甚至在记者会上表示
[11:42] 他已经指示财政部长
[11:44] 未来有必要就要切断
[11:46] 跟西班牙的一切贸易往来
[11:48] 暗示自己有权对于西班牙商品
[11:50] 实施全面的禁运
[11:52] 所以马德里方面
[11:53] 当然也是强硬回应
[11:55] 认为必须要尊重国际法
[11:56] 不过双方的冲突似乎还在升温
[11:59] 那当然整体事件影响最大的
[12:02] 也并不一定是欧美本土
[12:04] 这个欧洲有布兰特原油
[12:06] 美国有希德州原油
[12:07] 美国的石油产量是全球最大的
[12:10] 出口最多的当然是中东
[12:12] 那出口最多的中东是出口给谁呢
[12:15] 那当然是亚洲市场
[12:16] 现在亚洲的炼油厂
[12:18] 普遍已经降载20%到30%
[12:21] 这一波原因很简单
[12:23] 数十艘满载原油的油轮
[12:25] 现在被滞留在波斯湾
[12:27] 中国和日本的炼油厂
[12:29] 尤其台湾也是
[12:30] 国营和大型企业
[12:32] 因为高度来自于
[12:33] 沙乌地利
[12:34] 阿拉伯
[12:34] 伊拉克
[12:35] 阿联酋
[12:36] 这些原油
[12:36] 可能会先行减产的情况底下
[12:39] 就要开始进行
[12:40] 新一波的结构性调整
[12:41] 伊朗现在已经封锁
[12:43] 赫姆兹海峡
[12:44] 在昨天
[12:44] 伊斯兰革命卫队的高级官员
[12:47] 根据路透社的报道
[12:48] 已经宣称
[12:49] 赫姆兹海峡
[12:50] 在伊朗的全面封锁底下
[12:51] 你看那个缺口
[12:52] 就这么小
[12:53] 所以的确你看右下角
[12:56] 那伊朗你说要采取攻击
[12:58] 他只要锁定一两个地方
[12:59] 他的确会对于当地的地缘政治紧张
[13:02] 产生极大压力
[13:03] 那伊朗的伊斯兰革命卫队指挥官贾巴里
[13:06] 在昨天的电视直播当中
[13:08] 也直接聊到
[13:10] 任何企图通过赫姆兹海峡的船只都会被击毁
[13:14] 我方不允许任何一滴石油从该地区流出
[13:19] 把你榨干
[13:20] 好下流
[13:21] 但是风浪越大
[13:23] 船越贵马
[13:24] 川普在看到这条新闻释出以后
[13:27] 马上采取了方式来尝试稳定油价
[13:30] 尝试什么方式呢
[13:31] 在三个小时之前
[13:32] 川普在出售球上发文
[13:34] 已经下令美国国际开发金融公司DFC
[13:38] 正式开始用合理的费用来提供政治风险保险
[13:42] 以及财务安全保证
[13:43] 什么意思啊
[13:44] 你英国伦敦不愿意承保的船只
[13:46] 我美国公司直接来进行承保
[13:49] 保障所有经由波斯湾的海上贸易
[13:52] 不准你封锁
[13:53] 同时间美国海军已经陆续抵达荷姆治海峡
[13:57] 来为接下来通过的邮轮进行全面性的护航
[14:01] 这也明确表示
[14:02] 美国海军会确保邮轮能够顺势通过
[14:06] 美国海军空军一天出勤
[14:08] 也是10亿20亿美金
[14:10] 你说到底能够护航多久
[14:12] 但是重点不是护航多久
[14:15] 重点是市场对于这个消息买不买单
[14:18] 有时候我们讨论
[14:19] 都是讨论美国政府会怎么做
[14:22] 双方的博弈
[14:23] 那是一个政治上的博弈
[14:24] 没错
[14:24] 那也有讨论空间
[14:26] 可是在资本市场上的讨论是什么
[14:28] 你觉得市场买不买单
[14:29] 我觉得市场会买单
[14:31] 我海军都开过去了
[14:32] 虽然我也不见得每一艘船都能够保护得到
[14:35] 但是我提供你城堡保险
[14:38] 我又把海军给开过去
[14:40] 某种程度对于原油价格是有一定的抑制效果的
[14:44] 我们看原油价格
[14:45] 其实已经连续三天
[14:46] 希德州原油卡在75块美元左右了
[14:50] 短期内月流的一个上影线
[14:52] 似乎有见到高点的可能性
[14:54] 虽然这是1990年以来
[14:56] 第38大的单日涨幅
[14:58] 但总体而言
[14:59] 长期趋势原油价格
[15:02] 还是有比较明显的空头格局
[15:04] 原油真正的关键
[15:05] 其实来自于时间长短
[15:07] 真正判断的
[15:08] 不是说会不会涨
[15:10] 是冲突时间到底拉多长
[15:12] 如果拉太长
[15:14] 才会全面转成
[15:15] 全面风险资产下跌和通平压力这一次的三大风险第一个就是赫姆治海峡如果真正被封锁那么西德州原油可能就要挑战100美元那就是通膨失控第二呢如果冲突升级导致美军伤亡
[15:28] 战事有可能演变成多年对抗
[15:31] 那第三呢
[15:32] 伊朗如果扩大攻击范围
[15:33] 外移到欧洲或者亚洲
[15:35] 那么的确
[15:36] 这种压力呢
[15:37] 它就会持续引导着市场上的通膨情绪
[15:41] 持续升温
[15:42] 但是
[15:42] 如果美军真实已经抵达荷姆兹海峡
[15:46] 那么后续是不会来得这么严重呢
[15:48] 大家也知道
[15:48] 我们对于通膨或者停滞性通膨的担忧
[15:51] 相对是比较乐观一点的
[15:53] 不认为会这么严重
[15:54] 为什么这么讲
[15:55] 我们看1970年代的两次石油危机
[15:58] 都有当时的地缘政治背景的爆发
[16:01] 而且都跟中东内部冲突比较大的关系
[16:04] 而并不是单纯美国跟中东的冲突
[16:07] 第二
[16:07] 当时在1970年代
[16:09] 石油是全球各类能源使用占比最高的能源
[16:13] 占比是49.6
[16:14] 可是到疫情以后
[16:16] 已经来到32
[16:17] 甚至在这几年已经跌破30了
[16:19] 而取而代之的
[16:20] 反而是天然气
[16:21] 或者再生能源的极度攀升
[16:23] 那在这样的一个效果底下
[16:25] 其实也就说明了
[16:26] 真正影响比较大的
[16:27] 反而是亚洲经济体
[16:29] 而并不是我们看到
[16:31] 欧美经济体对于能源的失智冲击
[16:33] 它顶多就是通膨压力的争论
[16:35] 所以这个时候我们就要看一下
[16:37] 亚洲各国的态度
[16:38] 我们回过头看
[16:39] 亚洲现在是急着要寻找替代能源
[16:42] 因为中东战火
[16:43] 已经拖长到整体供给链
[16:44] 大部分的中东客户
[16:46] 其实都是亚洲人
[16:47] 我们看LNG方面
[16:49] 可以从美国转向亚洲
[16:51] 或者由澳洲调整流向
[16:53] 原油的部分
[16:54] 可以动用日本
[16:55] 冲绳的中东储油基地储备
[16:57] 沙尔地阿拉伯在当地
[16:59] 也有租用相关的储存空间
[17:00] 所以现在至少还有三个月的扩大
[17:03] 可以进行紧急替代能源的一个调试
[17:06] 我们从图表中来看
[17:07] 这张图表是颜色跃升
[17:09] 就代表着来自波斯湾
[17:12] 而且需要通过该海峡的原油占比越高
[17:15] 你看到日本南韩台湾巴基斯坦
[17:17] 孟加拉菲律宾
[17:18] 80%到90%的进口原油
[17:21] 都是来自于这条航道
[17:22] 中国和印度虽然比例比较略低
[17:25] 但因为总量庞大
[17:26] 实质受到的规模也非常惊人
[17:28] 对于台湾而言就比较特殊
[17:31] 台湾在过去
[17:32] 基本上大部分的原油
[17:33] 都是来自于沙乌地阿拉伯
[17:35] 可是这几年从过去疫情以后
[17:38] 产生了大规模的结构调整
[17:40] 我们已经有28.3%来自于美国市场了
[17:43] 也就代表着
[17:44] 基本上你知道美国汽车周围
[17:46] 有多出一点货
[17:47] 我们的冲击其实就没这么大了
[17:50] 真正压力比较大的是卡达的天然气
[17:52] 台湾这几年大家也知道
[17:54] 我们的能源发电
[17:56] 天然气预估在2030年就会高达50%
[17:59] 在全球的能源格局当中
[18:02] 台湾是少数天然气发电
[18:05] 可以比例占这么高的
[18:06] 过去大家可能
[18:08] 因为我们以前都蓝煤
[18:10] 那这几年在核能层面
[18:12] 由于推进速度缓慢
[18:14] 我们的确在2025年
[18:15] 达成了非核家园目标
[18:17] 可是整体而言
[18:19] 在再生能源比例拉升幅度
[18:21] 没有想象中这么快
[18:22] 最终导致的结果就是
[18:24] 但是我还是不能烧煤
[18:25] 烧煤还是有害健康
[18:27] 烧天然气好一点
[18:29] 虽然也有污染
[18:30] 但天然气总比煤好一点
[18:32] 所以台湾对于天然气的需求
[18:34] 是非常非常庞大的
[18:35] 那这样的一个效果就等同于
[18:37] 原油可以靠美国来撑
[18:39] 但天然气
[18:40] 我们就要看卡达跟澳洲之间的占比扭转
[18:44] 那是否会产生结构性扭转
[18:45] 就特别重要了
[18:46] 那根据目前行政院的态度
[18:49] 经济部已经启动了能源应变机制
[18:51] 短期内供应
[18:52] 至少一个月以内都不会有太大问题
[18:54] 大概是四月份才会出事
[18:56] 这也是时间线的问题
[18:58] 由于中东航线大概需要14天
[19:01] 荷姆兹海峡如果局势恶化
[19:03] 大概是三月中旬到四月底
[19:05] 它的效果才会陆续浮现
[19:07] 第一波受影响的船只
[19:08] 行政院已经表明大概五到六艘
[19:10] 全年占比并不是特别高
[19:12] 但是已经提前跟澳洲
[19:15] 和美国厂商来进行协调
[19:16] 看是否能够稳住
[19:18] 下半年的能源局势
[19:19] 这很重要
[19:20] 川普非常在乎
[19:21] 接下来中期选举原油价格的表现
[19:24] 台湾年底也有县市长选举
[19:27] 所以一定也是有点压力的
[19:29] 甚至我们看到连中方也是如此
[19:31] 这一次非常意外的
[19:33] 中国外长王毅
[19:34] 在针对伊朗外长同化时
[19:36] 也表明着伊朗在进行报复行动时
[19:39] 必须要考量周边国家的合理关切
[19:41] 什么意思
[19:42] 中国呼吁伊朗克制一点
[19:44] 特别是伊朗非但涉及到多个波斯湾国家以后
[19:48] 中国政府表示支持伊朗的主权和领土完整
[19:51] 但是不要把冲突进一步的扩散
[19:54] 指控伊朗这种无差别的报复
[19:57] 其实没有太大意义的
[19:58] 那当然了
[19:59] 这件事情其实就彰显着
[20:01] 中国本身也是能源进口大国
[20:03] 而且非常多来自于
[20:05] 受到荷姆兹海峡影响的这些国家
[20:08] 虽然伊朗的石油90%都给中国
[20:11] 但是不代表中国90%的进口
[20:13] 都是来自于伊朗
[20:14] 只是说伊朗的出口
[20:15] 是大幅度依赖于中国而已
[20:16] 中国还是有非常多的能源
[20:18] 来自于卡达、科威特和沙尔地拉拉波
[20:21] 所以我们过去讲说
[20:23] 中国现在已经成为了
[20:25] 中东最大的主要买家
[20:27] 那伊朗原油出口量
[20:29] 大概每天200万桶以上
[20:31] 其中有很大比例由中国来进口
[20:33] 主要就是因为伊朗原油
[20:35] 通常以折扣的价格来做出售
[20:37] 使中国在能源成本取得上取得便宜
[20:40] 可是地缘政治的紧张
[20:41] 就算如此
[20:42] 伊朗还是能够以便宜价来做买入
[20:45] 可是其他国家的原油会上涨
[20:47] 对于中国这几年经济尝试的再复苏格局
[20:51] 也会形成额外的成本
[20:53] 压力来得更大
[20:54] 所以中国非常罕见的强调
[20:56] 需要确保航道上的安全
[20:58] 反而美中在地缘政治维稳层面
[21:01] 有一定程度的共识
[21:03] 这给投资朋友做一些思考
[21:04] 所以从种种效果来做观察
[21:06] 我们大概就针对整个油气价格
[21:09] 有新一波的理解
[21:10] 这个理解就是
[21:11] 现在交易员已经盯上能源危机
[21:14] 油价涨得多不多
[21:15] 是股票市场能够阻底的原因
[21:17] 油价就在75美元这边卡住
[21:20] 见顶的话
[21:21] 那么股票市场
[21:22] 也许在短期内就能够见底
[21:24] 见底如果还往下跌
[21:26] 那就不能怪给中东
[21:27] 那看起来还是AI内部资金轮条的问题
[21:30] 油市的缓冲
[21:31] 现在一方面就是能源需求
[21:33] 结构依赖能源
[21:34] 是又没有这么多了
[21:36] 第二个就是美国的燕油革命
[21:37] OPEC目前的闲置产能
[21:39] 还有沙乌地阿拉伯和阿联酋
[21:41] 还是能够用管线来绕过海峡的部分能力
[21:44] 那中国这几年也累积了非常庞大的原油库存
[21:47] 现在没有一个国家释放战略原油储备
[21:50] 你就知道这件事情还没有严重到那个地步
[21:52] 可是合理范围
[21:53] 上涨10到15美元左右
[21:56] 差不多就会逼临到临界点
[21:58] 我们就看一下原油价格
[22:00] 后续的走势为何
[22:01] 看一下股票市场的反应
[22:03] 股市的确四大指数都在跳水
[22:05] 不过下引线都留得很长
[22:06] 道琼下跌403点
[22:08] 0.83%
[22:09] 刷48501点
[22:11] 标普下跌64点
[22:12] 0.90%
[22:13] 刷6816点
[22:14] 纳指下跌232点
[22:15] 1.02%
[22:16] 刷22516点
[22:18] 这四大指数都有一点盘头迹象
[22:20] 那就要看去年10月11月的低点能不能守住
[22:24] 至少保留在本轮的平台区间
[22:26] 要不然跌破压力就很大了
[22:29] 而且也不能够怪给中东了
[22:30] 那就是AI现在透支估值的预期过强
[22:33] 费办反而是昨天跌幅最重的
[22:36] 372点
[22:36] 跌了4.58
[22:37] 不过它也不过卡到季线左右
[22:40] 过去几次掉到季线
[22:42] 像今年的年初
[22:43] 去年的11月到12月份
[22:46] 还有去年的8月到9月份
[22:49] 那都是一个相对亮丽的买点
[22:51] 那现在卡在季线是不是呢
[22:53] 我们就拭目以待
[22:54] 看一下本轮一体股是否能够往上带动冲
[22:57] 虽然好像短期内的跌幅让大家急着要补保证金可是今年以来全球股票市场大多数还是收涨的从25年到26年更是如此过去两年
[23:09] 全球最为亮丽的资本市场
[23:10] 基本上就韩国股市
[23:12] 涨了204%
[23:13] 秘鲁股市142%
[23:15] 南非107%
[23:16] 波兰92%
[23:17] 西班牙89%
[23:19] 希腊88%
[23:20] 其他像是奥地利
[23:21] 巴西 墨西哥 智利 越南
[23:24] 涨不止60%到70%
[23:25] 台北股市25年到26年
[23:27] 涨幅也有52%
[23:28] 所以全球股票市场
[23:30] 这么大的一个涨幅
[23:31] 经历一点库存回调
[23:34] 这种资本的回挡压力
[23:36] 其实都没有想象中
[23:37] 还要来得大
[23:38] 我们如果回过头来看
[23:39] 从今年以来
[23:40] 大多数资产也是正报酬
[23:42] 表现最为亮丽的是黄金
[23:43] 涨幅有18%
[23:45] 再来是DBC
[23:46] 大宗资产涨幅有15%
[23:47] 费办11%
[23:49] 其他像是小型股
[23:51] 中型股
[23:51] 国债
[23:52] 短期国库券Tips
[23:53] 短期涨幅大概3%到5%左右
[23:55] 稍微下跌的
[23:57] 高收益在QQQ下跌2%
[23:59] 然后跌最重的很明显
[24:02] 看起来还是比特币
[24:03] 跌有两成一
[24:04] 今年它也算是进入到熊市
[24:06] 如果时间线拉更长
[24:08] 从去年11月份
[24:09] 永动机高点来看的话
[24:11] 黄金还是最亮丽的
[24:12] 涨幅有两成八
[24:13] 非半还是有涨16%
[24:14] 所以即便去年
[24:16] 好像AI永动机的高点
[24:18] 见到以后
[24:18] 大多数资产价格还是收涨的
[24:21] 那跌最重的还是一样是比特币
[24:22] 如果从去年11月份
[24:24] 算到现在
[24:24] 那就真的很重了
[24:26] 跌幅有45%
[24:27] 几乎是腰斩
[24:28] 这个压力低区很大
[24:30] 这个大多数资产价格
[24:32] 都还在一个平稳的区间
[24:33] 除了比特币之外
[24:35] 这个在高强度牛市当中
[24:37] 它是一个蛮意外的存在
[24:39] 所以那避险资产也不太避险了
[24:41] 那它到底是风险资产
[24:43] 还是避险资产很难说
[24:44] 那妈妈问
[24:45] 儿子你最近在干什么
[24:48] 怎么天天找我要钱
[24:50] 那儿子说
[24:51] 妈我最近吸毒吗
[24:53] 缺钱
[24:54] 妈妈说那就好
[24:56] 我还以为你在抄底比特币呢
[24:58] 黄赌毒是破不了产的
[25:01] 但投资有可能会
[25:03] 现在整体而言
[25:05] 股票市场还在一个维稳区间
[25:06] 至少在一个区间平台
[25:08] 重点在于黄金价格
[25:10] 怎么避险的黄金
[25:11] 在最近也开始跳水了呢
[25:13] 昨天黄金现货价格
[25:14] 重挫3.6%
[25:16] 跌下来跌到5123块
[25:18] 好像还是蛮高的
[25:19] 因为至少相对于
[25:21] 上一次经营价格的集体回调
[25:23] 黄金价格
[25:24] 那很明显
[25:25] 那个走势比股票市场
[25:26] 还要漂亮得多吧
[25:27] 废办都已经回撤季线了
[25:29] 黄金跌这么重
[25:30] 昨天3.6%
[25:31] 它都还在月线之上
[25:33] 那历史经验表明
[25:35] 整个22年乌鲁战事
[25:36] 的确当时也对于黄金价格
[25:39] 形成承压
[25:39] 就战争开打了
[25:40] 可是22年黄金
[25:41] 并没有因此而大涨
[25:42] 原因是什么
[25:43] 就是联总会的提前暴力升息
[25:46] 美元的走强
[25:47] 对于黄金所形成的压力
[25:49] 所以并不是说战争开打
[25:50] 黄金就一定会上涨
[25:52] 黄金有几个推动的动力
[25:54] 第一个是降息的周期预期
[25:55] 第二个由战争风险来带头冲
[25:58] 第三央行的长期买盘
