[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是在上方盘旋一阵子
[13:29] 海力士领军的三大超级计划
[13:32] 俗称南韩大跃进计划
[13:35] 听起来不是很吉祥
[13:36] 最受瞩目的就是记忆体投资案
[13:38] 两家公司预估在未来五年会投入800兆韩元
[13:42] 哇那等于5000亿美元
[13:44] 那资金量也不少
[13:45] 新建四座的新记忆体厂商
[13:47] 目前会把低润产能在五年内至少达成翻倍
[13:51] 那除了HBN和DDR5高容量的NED之外
[13:54] 南韩还会打造第二个半导体基地
[13:57] 会在西南方
[13:58] 也就代表着目前市场上
[14:00] 原本是担心这种市场产能过剩的风险
[14:04] 不过由南韩政府所形成的提振效果
[14:07] 看得出来
[14:08] 不管是从记忆体的晶片厂
[14:10] 到AI资料中心
[14:11] 到物理AI
[14:12] 进一步的合作
[14:13] 都让南韩有进一步的想象
[14:15] 那就是并不是只想要做记忆体而已
[14:18] 而是把地缘政策
[14:20] 把算力风险进一步的分散
[14:22] 南韩政府其实有点复制
[14:24] 当年工业化成成功模式
[14:26] 把资源全面导向到AI半导体产业
[14:29] 其实李在明之前上任的时候
[14:31] 他就已经提出过
[14:32] AI高速公路计划了
[14:33] 预估未来20年会投入5300亿美元
[14:36] 那核心就是由三星和SK海力士来出资
[14:39] 带领的中小型企业一起扩张
[14:42] 那尤其政府这段时间
[14:44] 一直把资金从房地产市场引导到科技
[14:47] 其实台韩都差不多
[14:48] 韩国现在也是限制房贷
[14:50] 降低创投的风险权重
[14:52] 让银行更愿意借钱给新创和企业
[14:55] 那其实我们知道
[14:56] 李在明甚至还亲自把自己的房子给卖掉
[15:00] 要求大家不要去炒房
[15:02] 不要买房地产
[15:02] 全部拿去炒股票
[15:04] 这个就是他希望
[15:05] 所看到的一个荣景
[15:06] 那在这样效果底下
[15:07] 市场上就会开始聚焦
[15:09] 那韩国人是不是开始
[15:10] 接近台湾的半导体聚落模式
[15:12] 因为这一次
[15:13] 他所推出的三大巨型计划
[15:15] 他明显在官方警报当中
[15:17] 直接以台湾作为范例
[15:19] 指出如果只单一生产基地的话
[15:22] 那么可能会面临
[15:23] 包括地缘政治风险
[15:24] 电力用水土地成本等限制
[15:27] 其他部分的南韩的半导体厂商
[15:29] 都围绕着首都圈来向外扩建
[15:32] 所以現在南韓政府希望能夠仿效臺灣
[15:35] 有點類似新竹台中高雄組成的多據點半導體走廊
[15:39] 把記憶體、邏輯晶片、先進封裝、材料設備等不同環節
[15:43] 分散到各大領域打造成具有韌性的半導體生態系那重點就是直接到韓國的西南部興建四座的先進記憶體經驗廠這個是需要一點時間的
[15:56] 有些人說這叫做國家級的操作業
[15:59] 有點想但沒有用的
[16:00] 因為最重要的事情他們沒有做
[16:03] 沒有放乖乖怎麼可能成功呢
[16:06] 完了講出來了
[16:07] 那另外一方面
[16:09] 人家還有工會
[16:10] 要罷工要分紅
[16:12] 那台灣沒有
[16:12] 這台灣的優勢
[16:13] 好那不管怎麼說
[16:14] 刚才提到的韩国AI高速公路计划
[16:17] 打造26万颗的GPU的算力网络
[16:20] 其实在先前就已经正式提出
[16:22] 目前其实透过政府基金和民间资本
[16:25] 已经投入超过40兆韩元了
[16:27] 那韩国政府认为
[16:29] 未来AI时代最重要的基础建设
[16:31] 并不是高速公路或者铁路
[16:33] 是GPU是资料中心
[16:34] 是电力的供应能力
[16:35] 所以全面性的进行基础建设的升级
[16:38] 以及国防供应链的达成就特别重要
[16:41] 前阵子我们知道
[16:42] 日韩之间是越走越近
[16:44] 目的就是准备双方
[16:46] 深化能源和供应链的合作
[16:48] 日本现在在打稀土战跟中国
[16:50] 韩国层面也希望
[16:52] 能够更为确保自己的进口
[16:55] 能源安全
[16:56] 以及相关原油库存资讯的共享
[16:59] 所以双方其实是有一点和缓的态势
[17:02] 当然我们把时间拉长
[17:03] 现在台湾和南韩
[17:04] 如今的经济表现
[17:06] 几乎都已经重演了1980到90年
[17:08] 之前是前沿角幕
[17:10] 现在在AI浪潮的推波助澜底下
[17:12] 几乎台韩市场都是前沿天灵盖
[17:15] 那台湾市场当然也必须要有足够性的AI国家战略计划
[17:20] 其实上个月我们就看到了
[17:21] 你发现时间线都很接近
[17:23] 行政院也正式宣布了国家AI战略特别委员会
[17:26] 由院长卓龙泰亲自的召集
[17:29] 那你说到底
[17:30] 因为台湾以前
[17:32] 你说这优势也是劣势
[17:34] 台湾就是东小企业满天飞
[17:36] 就政府那个主导力
[17:38] 至少在过去20年30年来看
[17:40] 已经不像上一轮的产业升级这么强
[17:43] 这几十年你还是可以看到南韩的财团化
[17:46] 可是这几年在台湾市场
[17:47] 你看到就是中小型企业自己发挥
[17:49] 台积金就靠自己的实力
[17:51] 一步一步的夺回自己的市占
[17:53] 但为什么现在需要一个国家统筹型的AI
[17:56] 特别委员会呢
[17:57] 很明显
[17:58] 因为南韩开始发力了
[18:00] 日本也提出了17个战略出备
[18:03] 或者说战略自主产业
[18:05] 那台湾为什么要予以谨慎呢
[18:08] 大家还记得
[18:08] 我很小很小的时候
[18:10] 这算小时候
[18:11] 可能是我念书的时候
[18:14] 那个时候
[18:15] 金周刊就有一篇报道
[18:16] 我记得是金融海啸前后
[18:19] 有一篇专刊的封面
[18:21] 名字叫做三星灭台计划
[18:24] 大家应该还稍微记得
[18:25] 三星当时早在08年前后
[18:27] 就深入的研究台湾产业结构
[18:29] 并且在景气低谷时逆势加码
[18:32] 透过资本支出研发价格
[18:34] 和产品包裹销售
[18:35] 所以我们刚才讲过
[18:36] 说台商不是第一次
[18:38] 面临三星这种高强度的竞争
[18:40] 只是双方后来在不同赛道
[18:42] 由于已经有所区隔了
[18:44] 所以没办法做直接性竞争
[18:45] 尤其台积电在先进制程上
[18:48] 压过三星以后更是如此
[18:50] 可是当时的状态是怎么样
[18:52] 06年到07年
[18:54] 正值台湾电子业的巅峰
[18:55] 第一任当时有利金
[18:57] 有茂德
[18:58] 有华邦
[18:58] 跟日本的俄必达合作
[19:00] 面板有友达
[19:01] 有奇美
[19:02] 创下利率新高
[19:02] 友达单季获利
[19:04] 甚至比三星和乐金还高
[19:06] 所以台厂最风光的时候
[19:08] 当时三星就派了一些高层
[19:11] 来台湾研究产业
[19:13] 拜访工研院
[19:14] 收集市场情报
[19:15] 等到金融海啸确定爆发以后
[19:17] 三星反而在爆发的那一年
[19:20] 大幅度的加码资本支出
[19:22] 借由自己的品牌大量的现金流
[19:24] 用价格战用制成领先
[19:26] 还有D-RAN Flash
[19:28] 包裹的销售策略
[19:29] 趁竞争对手停止投资的时候
[19:31] 快速的扩张
[19:32] 最终甚至瓦解台日的D-RAN联盟
[19:35] 甚至里头提到了很多故事
[19:37] 比如说三星因为要发展新的技术
[19:40] 那就不希望你发展新技术
[19:42] 那该怎么做呢
[19:43] 把市场让给你
[19:44] 特别在部分内的市场
[19:46] 让给台厂
[19:47] 目的是让你停止投资
[19:49] 你就好好赚你的钱就好
[19:50] 你的产能都先去做那些事情
[19:52] 精力都去做那些事情
[19:54] 三星在研发下一季代
[19:57] 或者下一个代差产生的技术
[20:00] 三星接着就把战场
[20:01] 持续扩大到面板和智慧型手机
[20:04] 那个HTC就是在当年
[20:06] 受到比较大市场压力的
[20:07] 金融海啸期间
[20:08] 三星和乐金大幅抽回原本
[20:10] 下给友达和奇美店
[20:12] 还有LED的供应链订单
[20:14] 改用自家生产
[20:15] 台厂的面板产能利用率
[20:17] 一度只剩下两成到三成
[20:19] 那韩厂一直维持七到八成
[20:21] 后来最典型的就是那一次
[20:23] 面板的反托拉司法
[20:25] 率先认罪
[20:27] 当污点证人
[20:28] 所以我说这是美光要小心
[20:29] 韩国厂商当污点证人
[20:32] 有前车之鉴
[20:34] 有非常多的经验
[20:35] 所以让台湾业者
[20:37] 当时是承受了巨额的罚款
[20:39] 还有诉讼压力
[20:40] 那另外一方面
[20:41] 三星当时也透过台湾的供应商
[20:43] 下单来学习技术
[20:44] 同步建立自己的研发团队
[20:47] 到技术成熟之后
[20:48] 全面转为自制
[20:49] 所以这个做法
[20:51] 这次跟中国这几年的补贴战绩
[20:53] 也没有什么多大的一个区别
[20:55] 所以你说
[20:55] 他现在回来针对台商
[20:57] 我们讲过各个急迫
[20:59] 那是有可能的
[21:01] 但是打群架现在没办法
[21:02] 台湾就是因为部分市场
[21:05] 已经被你给夺走了
[21:05] 那就边缴料
[21:07] 我们什么都做
[21:08] 所以形成了现在既有的
[21:10] AI台厂供应链
[21:11] 各地遍地散花
[21:13] 在200公里以内
[21:14] 打个电话
[21:15] 搭个高铁
[21:16] 随时都能够到
[21:17] 台湾很难关心
[21:18] 我们也知道这几年
[21:19] 比较没有那种直接性的对撞
[21:21] 其实现在有点类似
[21:24] 一边是对手
[21:25] 一边是伙伴的老朋友
[21:26] 双方其实合作厂商越来越多了
[21:28] 平时在记忆体
[21:29] 在晶片代工
[21:30] 在面板
[21:31] 手机等市场
[21:32] 前十年那个竞争幅度比现在还来得大
[21:35] 因为有时候是品牌之间的直接竞争
[21:37] 三星对HTC
[21:39] 然后晶圆代工的三星
[21:41] 直接对上台积电
[21:42] 但走到AI供应链
[21:44] 现在其实双方合作幅度也很高
[21:45] 台积电先负责先进制程
[21:47] 封装
[21:48] 然后接下来AI伺服器的台厂
[21:49] 南韩是掌握HBM
[21:51] 双方其实后来是合作的
[21:52] 如果双方不合作
[21:53] 很多AI晶片
[21:54] GPU最后也做不出来
[21:56] 所以你说是在打架也没错
[21:57] 但打完架
[21:58] 隔天还是得一起上班
[22:00] 状态比较不一样
[22:01] 可是要小心
[22:02] 他需要有国家力量的一个干预
[22:04] 所以我们才讲说
[22:05] 现在台韩的关系也比较复杂一点
[22:07] 也不是完全的竞争
[22:08] 直接性的对立关系
[22:10] 也不能撕破脸
[22:11] 所以你说到底现在是跟他打群架
[22:13] 还是要合作呢
[22:14] 有时候商业关系的确很复杂
[22:17] 之前在网络上看到
[22:18] 讲那阿伯在公园拉筋
[22:21] 忽然就瞥见两只狗
[22:25] 在树下迎接新生命
[22:27] 清乐当中
[22:29] 那一旁坐着一对母女
[22:31] 目不转睛的一直看着
[22:33] 小女孩很天真的问
[22:34] 妈妈
[22:35] 他们在干嘛
[22:36] 妈妈很淡定的回答
[22:38] 他们在打架
[22:40] 旁边阿伯终于忍不住
[22:42] 小声提醒
[22:43] 你这样教小孩不对
[22:44] 妈妈立刻火气上来
[22:47] 关你什么事
[22:48] 怎么样
[22:48] 你也想打架是不是
[22:50] 好啊好啊
[22:52] 所以不管怎么讲
[22:53] 到底跟韩国市场
[22:54] 要抱持什么样的态度
[22:55] 我觉得就是戒胜恐惧
[22:57] 其实双方的合作
[22:58] 相对前几年已经多很多了
[23:00] 但更重要的事情是
[23:01] 要小心
[23:01] 当然回过头来看
[23:03] 主要就来自于
[23:04] 台湾虽然在AI供应链的整合
[23:07] 是非常非常厉害的
[23:08] 可是在整体AI全球排名
[23:10] 我们把主权AI也纳入
[23:12] 我们把国家级的运端
[23:13] 运端的计算中心也纳入
[23:15] 我们如果把台湾的AI
[23:17] 外语能力
[23:18] 商业生态
[23:19] 创新全方纳入
[23:20] 我们当然知道
[23:21] 自己是有点落差的
[23:22] 而根据目前
[23:23] 英国观察家报的总计排名
[23:25] 全球的总AI排名
[23:28] 如果是从人均GDP
[23:30] 大家知道台湾已经赢日韩了
[23:31] 可是从总AI指数排名
[23:33] 台湾大概排全球第16
[23:35] 韩国是第5名
[23:36] 甚至比日本的第11名还要来得高
[23:38] 从这件事情就意味着
[23:40] 台湾这几年的自动性产业的一个爆棚它既有时代运气的浪潮另外一方面又有高纪律的工程师文化组成的这种AI的伺服器供应权
[23:52] 它是有点运气
[23:53] 或者风水的成分存在的
[23:55] 那现在回过头来看的话
[23:56] 是不是要有国家力量的介入
[23:58] 尝试的打造整个AI生态圈
[24:00] 因为的确
[24:01] 你说除了供应链以外
[24:02] 从品牌端而言
[24:04] 从运算端
[24:06] 从资料中心而言
[24:07] 我们大概也要稍微发发力
[24:08] 所以国家力量的介入
[24:10] 在这个时间点就特别重要
[24:11] 这也是我们
[24:12] 特别去观察的几大方向
[24:14] 事实上南韩要学台湾
[24:16] 也没那么容易
[24:17] 因为南韩基本上
[24:18] 大量的半导体厂区
[24:19] 都还是围绕着首尔外围
[24:21] 来做扩建
[24:22] 台湾不一样
[24:23] 刚才有聊到
[24:24] 南韩不是做地图
[24:25] 什么新竹台中高雄
[24:27] 落后一般的
[24:29] 现在台湾人都已经开到屏东了
[24:32] 我们根据商周数据
[24:33] 其实去年南科的营业额
[24:35] 就已经超过两兆台币了
[24:37] 现在是完全超过了竹科和中科
[24:39] 那加上中南部地区富地广大
[24:41] 投资案现在正在以非常惊人的速度成长
[24:44] 政府现在叫做大南方新矽谷计划
[24:47] 串联嘉义台南高雄
[24:49] 现在屏东正在大幅扩建当中
[24:51] 其中加科南科高雄南子还有桥头
[24:55] 分别是聚焦先进封装
[24:57] 两奈米制程
[24:58] AI资料中心
[24:59] 半导体供应链
[25:00] 那在龙头企业的带动底下
[25:02] 现在不管是默克
[25:04] 艾斯摩尔超微
[25:05] 亚马逊
[25:05] 微软
[25:06] IBM都疯狂的在中南部地区
[25:08] 设立厂商
[25:09] 那当然
[25:10] 政府现在的作为就很重要了
[25:12] 如果只做AI供应链是不够的
[25:14] 我们一定要往下做延伸
[25:16] 尤其是物理AI
[25:17] 由于南哥产值已经超过足科
[25:19] 现在我们看到在台南的部分
[25:21] 现在沙伦的国家智慧机器人研究中心
[25:25] 它的目的是什么
[25:25] 准备为既有的物理AI来做准备
[25:28] 六甲目前有应用验证中心
[25:30] 就是到柳营
[25:31] 这个三个算是金三角
[25:33] 我们叫做机器人金三角
[25:35] 现在柳科三企已经动工了
[25:36] 目的是什么
[25:37] 目的就是我们现在已经有了AI
[25:39] 伺服器的制造能力
[25:40] 但是我们在于机器人而言
[25:43] 未来如果有非红供应链
