[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 谈判已经出现了曙光
[04:58] 看起来就有一个比较清晰路径
[05:00] 可是从实质层面来看
[05:03] 如果现在即便传出
[05:05] 中东冲突试环的好消息
[05:08] 油价是不是能够成功的回跌
[05:10] 因为供应链的调整已经全面展开
[05:12] 很多能源设施
[05:15] 它其实已经真实停产了
[05:16] 等到恢复供应
[05:18] 它可能这个缺口的补足
[05:20] 都要花数个月的时间
[05:21] 甚至到一年以上
[05:22] 这就意味着
[05:23] 我们正在迎来一个新的供应链的调节
[05:26] 那新的供应链调节当中
[05:28] 受害的当然是民众作为通膨的冲击者
[05:30] 可是呢
[05:31] 对于部分刚才提到的
[05:33] 像沙乌列阿拉伯的原油商
[05:35] 包括美国的原油商
[05:37] 都在大幅的崛起
[05:38] 不讲原油
[05:40] 因为美国现在已经是原油全球最大的产国了
[05:42] 重点是LNG
[05:43] 液化天然气的部分
[05:45] 美国这几年成长的幅度非常之快
[05:48] 预估在2030年就会全面超越卡达加上澳洲
[05:51] 成为全球最大的天然气的出口国
[05:54] 更重要的是
[05:55] 中东冲突一爆发之后
[05:57] 亚洲的LNG价格就立即飙升
[05:59] 我们现在的发电成本其实很贵
[06:02] 但是美国本土的天然气价格
[06:04] 它一直都维持稳定
[06:05] 我们看右方那张图
[06:06] 亚洲就飙上去了
[06:08] 那美国就
[06:09] 好像还比今年年初还来得便宜
[06:12] 这就意味着
[06:13] 现在美国在AS资料中心层面
[06:16] 至少从电力价格而言
[06:18] 虽然有上涨
[06:19] 但是真正的上涨幅度不如亚洲
[06:22] 那亚洲之所以感觉好像上涨幅度不如美国
[06:25] 那是因为亚洲有补贴
[06:26] 其实还是依靠纳税人的钱来进行补贴来压制油价
[06:29] 所以从真实涨幅能源成本而言
[06:32] 亚洲市场压力其实是比较大的
[06:34] 那美国一方面成为全球最大的石油产油国
[06:38] 即将在2030年以前成为全球最大的LNG天然气的出口国
[06:42] 而本次的实质价格冲击又比亚洲市场还来得小
[06:46] 美国本身也算是一种赢家
[06:48] 好 但不管怎么说
[06:49] 这种通膨的持续感染潮
[06:51] 引发了我们今天要探讨的三个方向
[06:54] 一个是通膨所引发的新时代
[06:57] 第二个是SpecX
[06:58] 现在已经提交上市计划书
[07:00] 基本上也就代表着
[07:02] 我们的科技行情走到第二个
[07:04] 打破七巨头垄断的时代
[07:06] 那第三个是国家资本主义
[07:09] 介入以后
[07:10] 一个新一轮国家队
[07:11] 所引发的新时代
[07:13] 那第一个时代刚才提到的
[07:14] 就是超级通膨时代
[07:15] 就是已经归来
[07:17] 那这个时代
[07:17] 我们要看沃许如何来做应对
[07:19] 因为感觉就算中东问题能够释怀
[07:22] 因为通膨已经外溢了
[07:24] 刚才我们提到的
[07:25] 油价就算回跌
[07:27] 它都来不及在6月7月8月
[07:29] 引发汽油价格的大幅回跌
[07:31] 第二我们都知道
[07:33] 物价是有僵固性通膨
[07:34] 尤其传导到终端商品以后
[07:36] 你便当价格
[07:37] 就算菜价跌了米价跌了
[07:39] 老板也不可能给你把价格给调降
[07:41] 那现在已经传出来了
[07:43] 我们看到美国农粮价格
[07:45] 美国蛋价
[07:45] 美国的番茄价格
[07:47] 全数都在进入到通膨外溢效果
[07:49] 所以这一波肯定会把今年通膨预期率
[07:52] 适度提高
[07:53] 加上由于AI的大爆发
[07:55] 使得大部分的3C电子产品
[07:57] 在今年下半年新机推出时
[07:59] 必定要涨价
[08:00] 我对于今年折叠机
[08:01] 我认为可能被迫是一定要涨价的
[08:03] 即便苹果供应链调节非常好
[08:05] 我们举几个例子来说
[08:07] 像昨天大家有看到
[08:08] 辉达所公布的财报
[08:10] 在最新的机柜NVL72
[08:13] 来做成本的追踪
[08:15] 你会发现整体价格
[08:16] 已经从上一代的GB300的400万美元
[08:19] 一台现在是780万美元
[08:21] 涨幅是95%
[08:23] 那其中最惊人的不是GPU
[08:25] 是HBM
[08:25] HBM高频宽记忆体的成本
[08:27] 暴增435%
[08:30] 不是43
[08:31] 是435%
[08:34] 就是以前跟韩国人买记忆体
[08:36] 你只要花43块
[08:38] 现在应该讲
[08:39] 你只要花100块
[08:40] 现在花435块
[08:42] 这就说明着
[08:43] 我现在的电子零组件涨幅也非常是快
[08:47] 我们再举例来说
[08:49] 像是在PCB的部分
[08:51] 涨幅是233%
[08:53] NLCC是182%其他像是网通晶片涨幅大概120%左右这说明GPU本身已经非常昂贵了但是总体平均涨幅还是高达57背后真正受惠的是记忆体ABF高速交换晶片
[09:08] 因为大缺料
[09:10] 原物料也缺
[09:11] 我也一定要涨价了
[09:12] 结果AI又把产能都给吸走
[09:14] 那我要涨价就更快了
[09:15] 更不用讲被排挤的3C消费性电子产品
[09:18] 东西都被你们抢走了
[09:20] 我能够抢到来组装我的手机
[09:23] 我的笔电
[09:23] 那我肯定得出更高的价格
[09:25] 所以这个事我们才看到
[09:27] 新任联总会主席Kevin Walsh
[09:29] 在最新国会的听证会上直接开炮
[09:32] 他认为过去几年联总会最大的错误
[09:34] 就是太晚处理通膨
[09:35] 导致物价失控
[09:36] 让大家开始担忧
[09:38] 他是不是开始要放英人呢
[09:40] 他认为联总会需要一场政策体制的全面改变
[09:43] 目前美国通膨率是3.8%
[09:46] 高于联总会2%的目标
[09:48] 让市场上比较担心的是
[09:49] 现在太多人以为
[09:51] 美国长期会依赖低利率和印钞的金融模式
[09:54] 所以即便有如此高的通膨
[09:56] 引发的市场上对于估值的削减
[09:59] 大家还是相信最后联准会会救大家
[10:02] 那或许第一个观念就是
[10:04] 要改变联准会的资产负债表
[10:06] 让大家不再相信我永远只会扩表
[10:08] 我永远只会印钱
[10:10] 只要经济能力允许生产力在爆发
[10:13] 我随时准备收钱
[10:14] 所以市场开始预期
[10:15] 或许可能接下来一段时间
[10:17] 会缩减联准会的资产负债表
[10:19] 一方面又把重心放回到货币供给和利率控制
[10:23] 也就是说明
[10:23] 现在不是那种无限QE旧市场的模式
[10:27] 要让大家的观念予以打消
[10:29] 至少让大家知道
[10:30] 我们对于通膨的重视程度是极高的
[10:33] 这在短期内反而是对于
[10:34] 当前通膨抑制的一种角度
[10:36] 也必须承认
[10:37] 那股市涨到这个规模
[10:39] 它如果这个时候采取比较鹰派的手段
[10:41] 好像也没什么好怕的
[10:42] 如果股市已经很惨了
[10:44] 它再往下紧缩
[10:45] 那搞不好就流动性危机了
[10:47] 那现在股市情绪正好
[10:48] 如果要放音的确就要趁现在
[10:50] 那我们就后续来观察一下他的做法
[10:53] 这个就是第一个
[10:54] 我们看到全面性通膨的新时代逐步展现
[10:57] 即便可能科技的进步
[10:59] 或者中东问题的瓦解
[11:01] 它是有利于通膨降低的
[11:02] 可是很抱歉
[11:03] 因为已经超过三个月了
[11:04] 通膨已经适度外溢出去了
[11:06] 好那第二个时代
[11:07] 是我们看到整个AI泡沫真正可怕的
[11:10] 是属于当前的挤压行情
[11:12] 因为市场上仍然相信
[11:15] 不管是过去所提到的Taco还是Foam
[11:17] 基本上市场的机械式买盘从来没有停过
[11:21] 至少从今年一两战时以来快速的累积
[11:25] 我们举例来说
[11:25] 从标普白指数根据野村的模拟
[11:28] 现在大概出现5%的回档左右
[11:31] 整个市场会瞬间引发接近1800亿的买盘
[11:35] 这代表的市场上现在已经没有特别的害怕
[11:38] 但是如果跌幅来到接近10%以后
[11:41] 按照市场的情绪预估
[11:43] 可能机构方就要被迫进行城市性的卖单
[11:46] 什么意思
[11:47] 如果跌幅不大的话
[11:48] 散户很快就追上了
[11:50] 可是呢
[11:50] 如果跌幅卖压沉重啊
[11:52] 来到一定位阶以后啊
[11:53] 因为过去的机构啊
[11:55] 它其实也没有特别看好股市
[11:56] 它是属于触发式城市单
[11:59] 动能交易啦
[12:00] 就是股价涨到一定位阶之后
[12:02] 它没办法它一定要做
[12:03] 它再不追就要完全落后给大盘了
[12:05] 所以啊
[12:06] 基本上就是小跌
[12:07] 那就会有散户大买
[12:09] 那大跌的部分
[12:10] 就看外资
[12:11] 何时或者我们看到机构上
[12:13] 会进行高强度的卖压
[12:14] 必须承认啊
[12:15] 因为现在市场的波动率啊
[12:17] 正在快速的上升
[12:18] 无论是半导体ETF
[12:19] 还是前十大科技股
[12:21] 或者前五十大科技股
[12:23] 三个月的ATM
[12:24] 隐含波动率
[12:25] 都已经逼近了历史的极端区间
[12:28] 这是代表的
[12:29] 市场上不只是追AI
[12:30] 而且是提前为巨大的波动
[12:33] 来提前定价
[12:34] 大家即便在如此高波动的情况底下
[12:37] 仍然相信
[12:38] 涨多的会涨更多
[12:40] 而并不是进行适度的
[12:43] 短期周期轮动
[12:44] 看起来大家就是锁定在
[12:45] 废办当中
[12:46] 那当然它也会引发市场上
[12:48] 针对泡沫的担忧
[12:50] 不过我们会提过
[12:51] 这个泡沫担忧
[12:51] 最后还是由算力过剩所引发的效果
[12:54] 那美欧股市
[12:55] 现在唯一的特点就是
[12:57] 很偏好高动能
[12:58] 而并不是低波动的防御性资产
[13:00] 几乎没有人在进行防御性资产的部件
[13:03] 但是过去从2000年网络泡沫
[13:05] 08年的金融海啸
[13:06] 的确市场上
[13:08] 动能股相对于低波动股票的价格
[13:11] 都会非常显著的攀升
[13:12] 那现在回过头来看
[13:14] 那我们要如何瓦解这样的一个问题呢
[13:16] 两种角度嘛
[13:17] 第一个
[13:18] 把短线利空给
[13:20] 估值消减利空给剔除嘛
[13:22] 如果没有高通膨的问题
[13:23] 那就不会有利润被大幅压缩的问题
[13:26] 那第二个呢
[13:27] 那就是生产力突破嘛
[13:29] 反正AI资本支出目前还在持续攀升
[13:31] 那现金流目前还可控
[13:33] 那最后的方式呢
[13:34] 生产力能够进行进一步的突破
[13:37] 那就能够瓦解大家对于EPS
[13:39] 是否能够追上的迷思
[13:40] 我们现在观察到
[13:41] 整个美国的国家财政体系
[13:43] 其实压力这几年也是越来越高
[13:45] 美国联邦的债务是39兆美元
[13:48] 年度赤字是1.9兆美元
[13:50] 利息每年支出是1兆美元
[13:52] 那偏偏现在油价通膨
[13:54] 长天期利率又同步上升
[13:56] 那过去每一次经济出问题
[13:57] 政府都能够靠海量货币宽松
[14:00] 或者扩大赤字来救市
[14:01] 可是这一次沃许上台以后
[14:03] 直接告诉你了
[14:04] 没有严重到那种程度
[14:05] 我是不会乱撒钱的
[14:07] 不要以为我们永远都会救市
[14:08] 所以现在就有两个条件
[14:10] 两个条件对于美国政府而言
[14:12] 第一通膨如果拉升了
[14:14] 那就让它拉升吧
[14:15] 它拉升我债务就减轻了
[14:17] 而这很好理解
[14:18] 这个债务人
[14:20] 欠债的人
[14:21] 他是喜欢通膨的
[14:23] 我如果欠各位一千万
[14:25] 在二十年前
[14:27] 那算是一个蛮大笔的数目
[14:29] 可是到现在为止
[14:30] 那差不多就是一间
[14:31] 两小房的总体价值而已
[14:34] 就是二十年前的一千万
[14:36] 跟现在的一千万
[14:37] 差距是很大的
[14:38] 为什么会这种体感上的落差
[14:39] 因为高通膨所形成的影响
[14:41] 所以要减轻政府的债务
[14:44] 最好的方式是什么呢
[14:45] 高通棚
[14:46] 但是高通棚又会牺牲掉
[14:48] 短期政府的利益
[14:49] 它中期选举会丢失
[14:51] 可是对于政府的债务而言
[14:53] 它是一种解放
[14:54] 第二种是生产力的爆发
[14:57] 就是大型巨头
[14:58] 累积了巨额的现金和垄断地位
[15:01] 它过去一直在等待一个
[15:02] 足够大的投资机会
[15:03] 现在AI出现了
[15:04] 成为人类最大规模的工业建设
[15:07] 如果真的能够带来生产力爆发
[15:09] 那我赚的钱
[15:10] 就足以消化过去的债务和持值
[15:12] 所以这就变成两种方向
[15:14] 第一种
[15:15] 适度的通膨是必须要接受的
[15:17] 要不然债务会爆掉
[15:18] 那我只有让债务看起来越来越小
[15:20] 被通膨给超过去
[15:21] 我才可以接受
[15:22] 那第二个呢
[15:23] 就是AI生产力的爆发
[15:24] 好所以这就导致一种结果
[15:26] 那就是市场上
[15:27] 最终就是看AI能否挽救
[15:29] 我们现在看到的经济上的问题和危机
[15:32] 好我们回过头看
[15:33] 美国股市市大指数表现
[15:34] 道琼指数上涨276.0.5%
[15:37] 收在50285点
[15:39] 标普上涨12.0.17%
[15:41] 刷7,445点
[15:43] 纳指上涨22.0.09%
[15:45] 刷26,293点
[15:46] 费办上涨150点
[15:48] 0.12%
[15:49] 刷1,1964点
[15:51] 当然市场上的聚焦
[15:53] 第一个是Globe Funder
[15:54] 在昨天大涨15%
[15:56] 昨天他宣布成立量子技术解决方案公司
[15:59] 即将获得美国政府3.75亿美元的投资
[16:03] 待会我们会聊
[16:04] 美国的量子国家队也成立了
[16:06] 那第二个步骤
[16:07] 是市场上针对当前的压住
[16:09] 还是属于相对
[16:11] 我们讲说比较脱节的一个情况
[16:13] 原因很简单
[16:14] 因为当前市场上针对整个AI的疑虑
[16:17] 到底有没有完成集体的共识
[16:20] 其实并没有
[16:21] 第一个共识是谁是赢家还不知道
[16:23] 我们举例来说
[16:24] 你像软银在最近彭博社的报道已经显示
[16:28] 软银针对OpenAI的承诺投资
[16:29] 已经让公司内部越来越多人担心
[16:32] 孙正义是不是又一次陷入到迷恋创办人的老问题
[16:36] 因为他对奥特曼的信任是非常高的
[16:38] 甚至有高层在本次电话财报询问当中
[16:41] 如果OpenAI失败怎么办
[16:43] 那孙正义是多次打断讨论
[16:45] 最后大家干脆不敢再问了
[16:46] 那现在AI竞争越来越激烈
[16:48] 谁知道OpenAI能否永远领先
[16:51] 即便他最近达胜了跟马斯克的诉讼
[16:54] 更让软银内部不安的是
[16:55] 这件事情越来越像当年WeWork的翻版
[16:58] 大家还记得
[16:59] 当年软银也是大幅度的投入WeWork
[17:02] 结果那股价真的是跌到惨不忍睹
[17:05] 最后软银是任列140亿美元的亏损
[17:08] 那现在OpenAI的估值全面的暴涨
[17:10] 但软银不但是卖掉大量的资产来抽钱
[17:13] 把辉达的股票也卖掉了
[17:15] 把T-Mobile的股票也卖掉了
[17:17] 也放弃了其他投资机会
[17:18] 就完全锁实在OpenAI身上
[17:20] 那孙正义的态度很简单
[17:22] 他相信他就是下一个阿里巴巴
[17:25] 当年软银靠阿里巴巴大幅崛起之后
[17:28] 成为了一代日本股神
[17:30] 金银之神
[17:31] 可是现在当他把大幅的建立
[17:34] 压住在OpenAI的时候
[17:35] 内部压力就开始产生
[17:37] 因为大家真的没办法确定
[17:38] 到底OpenAI能不能拿下冠军呢
[17:40] 事实上我们看这次豪赌
[17:42] 它能不能成为第二个阿里巴巴
[17:44] 还是第二个WeWork
[17:45] 连软银内部看起来自己都没把握
[17:47] 要不然这条独家就不会爆出来了
[17:49] 所以我们才讲说
[17:50] 当时在WeWork
[17:52] 其实已经证明了人永远赚不到超出自己认知范围的钱除非靠运气但最终也会靠实力亏掉65岁当时孙正义过去投资WeWork
[18:03] 那WeWork当时估值是500亿
[18:05] 到最后破产
[18:06] 这是有史以来最热门的IPO
[18:08] 所以现在的问题就在于
[18:10] 软银除了阿里投资是成功的
[18:12] 过去像投资滴滴
[18:14] 投资韩国的电商Coupon
[18:16] 或者东南亚出行的Grab
[18:18] 那有很多都压力蛮大
[18:20] 他甚至投资过FTX
[18:22] 后来就宣布破产的加密货币公司
[18:24] 所以你可以看得出来
[18:25] 我们每赚的一分钱
[18:27] 都是对于这个世界的认知
[18:28] 有时候我们对于这个世界认知
[18:30] 知道自己有局限怎么办
[18:31] 买ETF
[18:32] 所以我认为这是最好的方式
[18:34] 所以现在回过头来
[18:35] 不然你就变成
[18:36] 每一次投资过程当中
[18:39] 你都要做一次重新的判断
[18:41] 这个压力是很大的
[18:43] 举例来说SPACX就要IPO了
[18:44] 那现在该去买吗
[18:46] 还是我们就用ETF的方式
[18:48] 适度的扩增SPACX的部位就好了呢
[18:51] 这很简单的
[18:51] 因为他一上市
[18:52] 马上就会纳入到ETF成分股当中
[18:54] 所以有时候还是要对自己的能力
[18:56] 有自己极限的认知
[18:58] 像我们就很清楚
[18:59] 自己的能力在哪里
[18:59] 我有跟投资朋友分享过
[19:01] 我最喜欢的企业就是特斯拉
[19:03] 你看看过去两年的绩效
[19:05] 那能看吗
[19:07] 但是我最喜欢的还是他
[19:08] 有梦想
[19:09] 要不然如果这样下去
[19:11] 你可能刚投资的时候
[19:14] 你觉得自己是股神
[19:14] 过一阵子变股东
[19:16] 再过一阵子变股灰
[19:18] 后来到股底
[19:20] 如果有点反弹就变骨灰弹
[19:22] 所以行情就是这样子
[19:24] 每一次你都要判断
[19:25] 那不一定是一个好投资
[19:27] 好回过头看SPACX
[19:28] SPACX真的要IPO了
[19:30] 全球最大的澳门赌场
[19:32] 全球最大的太空帝国即将上线
[19:35] SPACX正式提交了这次的IPO文件
[19:38] 代号叫做SPCX
[19:41] 我以前一直以为是SEX
[19:43] 看起来马斯克也是震惊人
[19:45] 这一次市场的估值
[19:46] 可能高达1.5兆到2兆美元
[19:49] 成为时尚最大科技的IPO
[19:51] 最疯狂的是
[19:52] 现在市场用12个月营收去算
[19:54] SpecX的估值
[19:55] 已经来到77倍营收
[19:57] 那比AI公司还夸张
[19:58] 说明大家已经把马斯克的
[20:00] 这个太空AI卫星网络
[20:02] 社群平台公司
[20:03] 整合成新的超级平台
[20:05] 那到底IPO之后
[20:07] 会是昙花一现
[20:08] 还是喷到火星呢
[20:10] 其实这一次IPO真正震撼的
[20:12] 是治理结构
[20:13] 因为马斯克透过超级投票权股份
[20:16] 几乎掌握了
[20:17] 无法被罢免的控制权
[20:19] 他就是代表SPEX
[20:20] 与此同时
[20:21] 他直接在这一次的IPO的申告书当中
[20:25] 直接提到了
[20:26] 他们的目标就是要建立百万人火星殖民地
[20:30] 这个把它列入一个计划书的目标
[20:33] 这说明他的野心真的是实打实的
[20:35] 展现在他对于投资人的交代
[20:38] 市场估算SPEX目前估值大概1.75兆
[20:41] 马斯克的个人持股大概是接近7000亿美元
[20:44] 他即将很快的会成为全球第一位兆元富翁
[20:48] 那当然了就要看一下SPEX IPO之后
[20:51] 股价上涨的速度到底有多快了
[20:53] 当然现在撑起获利的也并不是火箭
[20:56] 而是STARLINK带动的联网服务
[20:58] 如果我们细看
[20:59] 就是把整个26年第一季SPEX的营收来看
[21:03] 它的营收是46亿
[21:05] 但营业亏损是高达19.4亿
[21:07] 调整后我们看到EBITDA是11.3亿
[21:12] 25年全年营收是186亿
[21:14] 营业亏损25亿
[21:16] 说明其实整个财报并不算特别好看
[21:18] 可是人人都害怕错过第二个回答
[21:22] 那现在呢
[21:23] SPAC-X大概分为三大部门
[21:25] 一个就是火箭
[21:26] 航太
[21:27] 包括现在列印9号等等
[21:28] 80%的路轨的筹债
[21:32] 都是由SPAC-X来完成的
[21:33] 那第二呢
[21:34] 是真正的现金牛
[21:36] 就是STARLINK
[21:37] 现在在天空中
[21:39] 大概有9600颗的低轨卫星
[21:41] 覆盖164个国家
[21:43] 用户有1000万人左右
[21:44] Starlink在去年营收是114亿
[21:47] 年增幅是50%
[21:48] 未来5G转6G时代
[21:51] 基地台还是要建的
[21:52] 可是在偏远地区
[21:53] 应该就完全靠Starlink
[21:55] 到时候年增幅
[21:57] 可能还是以40%到50%的速度
[21:58] 持续上行
[21:59] 所以这就说明着
[22:00] 整个市场针对SPEX的想象
[22:03] 不只是单纯的太空
[22:04] 包括通讯
[22:05] 包括AI
[22:07] 甚至连物理AI
[22:08] 接下来特斯拉
[22:09] 如果并到SPEX底下的话
[22:11] 就代表着一个机器人帝国
[22:13] 也会因此而拉抬
[22:14] 事实上我们看到最近FUG AI
[22:16] 大家有看那个直播吗
[22:17] 24小时就骑下那个机器人
[22:20] 在工厂连续工作
[22:21] 然后看一下它的进度为何
[22:24] 它的工作就是把那个包裹的条码往下翻
[22:27] 你会发现
[22:29] 其实它已经能够具有取代
[22:31] 初阶蓝领的工作能力了
[22:33] 这也就意味着
[22:34] 整个AI的进程
[22:36] 太空的轨迹
[22:37] 全球的生产力
[22:38] 其实正在处于一个显著的爆发潮
[22:40] 它有没有后果
[22:41] 当然有后果
[22:42] 像吉米戴蒙
[22:43] 在昨天的受访当中就有提到
[22:45] 目前银行正在大量的减少
[22:47] 传统银行职位
[22:48] AI对于金融业的冲击
[22:50] 不再只是自动化的行政流程
[22:52] 而是开始转落到核心领域
[22:54] 所以目前预估
[22:55] 金融业会有进一步的收缩
[22:57] 那当然AI也开始改变
[22:59] 职场的权力结构
[23:00] 以前大家都觉得
[23:02] AI实在最危险的是中高龄员工
[23:04] 坐着领薪水
[23:05] 因为薪水高
[23:06] 效率可能会输给自动化
[23:08] 可是现在根据目前麦肯锡的调查
[23:11] 40%的企业主管
[23:12] 未来预估削减最多的是初阶职位
[23:15] 反而增加了中高阶的人才比例
[23:18] 因为AI代理
[23:19] 已经能够处理大量的初阶工作
[23:21] 可是要怎么跟客户做讨论
[23:25] 要如何跟客户应酬
[23:26] 一些行政流程
[23:28] 这是企业还无法成功取代
[23:30] 那些中高龄的员工的
[23:33] 所以尤其是业务性质的工作
[23:35] 基本上还是要靠原本在职位上的人
[23:38] 那反而是年轻人压力越来越大
[23:40] 这是形成很有趣的局面
[23:41] 那就是我们知道
[23:42] 美国最近大学
[23:43] 出现很有趣的一幕
[23:45] 最近在毕业季
[23:46] 很多演讲者提到
[23:47] AI是下一场革命
[23:48] 台下就开始
[23:49] 不是欢呼
[23:51] 是嘘声
[23:51] 为什么
[23:52] 因为对于本届毕业生来说
[23:54] AI就真的变压力了
[23:56] 现在美国的房价
[23:57] 租金
[23:57] 物价全面攀升
[23:58] 年轻人本来就已经很难
[24:00] 进入到中产阶级了
[24:01] 现在AI又大量取代
[24:03] 白领出街工作
[24:03] 我连历练的机会都没有
[24:05] 尤其是以城市设计
[24:06] 金融分析
[24:07] 行政和文书职位
[24:09] 首当其冲
[24:10] 好那一系列的冲突啊
[24:11] 就引发我们这看到这种劳资上的对立啊
[24:14] 进一步来看
[24:15] 这是旧金山目前的广告看板啊
[24:18] 里面有一家新创公司啊
[24:20] 在推动新一波可以取代
[24:23] 这个大量开发客户寄薪或者名单的业务工作
[24:26] 正在推广AI销售业呢
[24:28] 他里头他的广告名字就Stop Hiring Humans
[24:31] 停止雇用人类
[24:32] 这个就真实在发生的事情啊
[24:34] 这种劳资上的压力对立啊
[24:36] 他使得一个现象开始攀升
[24:38] 从过去三年开始
[24:40] 美国我们看到叫免洗劳工
[24:42] Disposable workers
[24:43] 或者我们把它称之为派遣工
[24:46] 人数正在暴增
[24:47] 现在已经超过了三分之一
[24:49] 来到37%
[24:50] 那这些员工是什么
[24:51] 就是很多企业
[24:53] 由于AI的发生
[24:54] 正在进行大量外报
[24:55] 就是根本就不愿意培育新人
[24:58] 因为公司现在更像是在租人
[25:00] 并不是养人
[25:01] 越来越多人开始生活
[25:03] 在极度不稳定的状态里头
[25:05] 那这些事情
[25:06] 其实都意味着
[25:07] AI的生产力
