[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 昨天期货价格大涨了5.2%
[07:44] SpaceX的债市
[07:45] 可以把它理解成地狱四十层
[07:49] 为什么
[07:49] 真的那个债市
[07:50] 跌幅是非常非常沉重的
[07:52] 几乎逼临于垃圾债
[07:54] 那很难想象
[07:55] SpaceX获得这么庞大的股市的认可
[07:58] 它的债市
[07:59] 几乎都快要从平级层面
[08:01] 快到垃圾债等级
[08:03] 信用利差是不断的扩大
[08:04] 那当然
[08:05] 其他市场
[08:06] 大家还是会有进一步的关注
[08:08] 这说明着很多巨头
[08:10] 本轮的估值回调都很大
[08:11] 带动了指数
[08:13] 维持在这样的一个区间
[08:14] 或者说持续做抑制
[08:16] 我们看甲骨文的部分
[08:17] 甲骨文过去22个交易日有18天在下跌如果是以最近15个交易日来看有14天居然都收黑只有一天收红这也太惨了吧
[08:30] 这是非常罕见的连续性的卖压
[08:32] 我们知道甲骨目前CDS价格
[08:34] 也在疯狂的飙高
[08:35] 获利了结低
[08:37] 持续发生
[08:38] 那就会挑目前云端商来做出售
[08:41] 第二是资金轮替
[08:42] 过去本来就看到大型AI基建股
[08:44] 专网其他科技类股
[08:46] 第三那就是担心资本支出
[08:48] 收不回来的问题
[08:49] 尤其是特别担心OpenAI
[08:51] 好那当然回过头看
[08:52] 这一波其实真正的卖压
[08:54] 也不是来自于这些气息投资
[08:56] 气息投资早就已经产很久了
[08:58] 而是前两天我们提到的
[09:00] 三星电子最新财报
[09:02] 所形成的引爆点
[09:03] 因为它的财报预期
[09:05] 其实表现非常不错
[09:06] 营业利率一年征服是19倍
[09:08] 那反而把这份财报
[09:10] 大家把它解读成
[09:11] 利多顿化的一个讯号
[09:13] 其实更类似于互利了结
[09:15] 所以这一波下跌
[09:16] 比较像是两件事情
[09:17] 同步发生
[09:18] 第一波就是前期的涨幅实在太大了
[09:21] 所以投资人先获利了结
[09:23] 另外一方面
[09:24] 市场也在重新检查AI的需求
[09:26] 记忆体价格
[09:27] 云端资本支出
[09:28] 是否还能够支撑高估值
[09:30] 所以股价下跌
[09:32] 不一定代表基本面的崩坏
[09:33] 但他也提醒投资人
[09:35] AI的交易不太可能靠故事
[09:37] 一路的往上推
[09:38] 他其实也意含着
[09:39] 现在我们所看到的情况
[09:41] 其实没什么人断头
[09:43] 我们当然知道跌幅很重
[09:44] 正常来讲
[09:45] 70%的科技股下跌超过两成
[09:48] 指数常常熔断
[09:50] 过去我们提说
[09:52] 韩国股市最近熔断的次数
[09:54] 比我们拉肚子的次数还多
[09:55] 但是其实真正我们看到
[09:58] 受到股票市场大幅影响破产的人
[10:00] 这一次是非常非常少的
[10:02] 从总跌幅来看
[10:03] 你要想想看
[10:04] 过去几年台股跌两成
[10:06] 那压力就有点大了
[10:07] 市场上就会有人断头了
[10:09] 不过这一波
[10:09] 即便市场波动这么大
[10:11] 也还好
[10:12] 原因就来自于
[10:12] 过去的涨幅其实已经过高
[10:14] 那南韩股市也在昨天正式全面进入到技术性熊市
[10:18] 跌幅超过两成
[10:20] 主要是因为它两天就跌10%了
[10:22] 距离6月18号的历史高点跌幅是来到22%
[10:26] 不过就算它跌了两成
[10:28] 南韩COSPI指数今年累计上涨
[10:31] 还是超过70%
[10:32] 仍然是位居全球第一
[10:34] 所以在这样效果底下
[10:36] 市场也会关注韩国记忆体是否能够像美光一样
[10:39] 那你就签更多的长期供货合约
[10:42] 我们会担心你以后会不会产能过剩
[10:44] 你先把未来三年到五年的合约都给签光
[10:47] 那你不就把你的EPS给交代清楚了吗
[10:50] 不过目前三星和SK海力士
[10:52] 还没有清楚说明相关的策略
[10:54] 那加上南韩股市
[10:56] 现在有大量的杠杆ETF放大的价格波动
[10:59] 那这就形成
[11:00] 好像大家把每天的熔断视为一种常态了
[11:03] 事实上我们看到量化基金
[11:05] 也遭遇历史性的回撤
[11:07] 这一波系统性的多空量化基金
[11:10] 尤其针对记忆体族群
[11:11] 整体来看
[11:13] 短短两周大概就吐了
[11:15] 接近有25%的绩效
[11:17] 全年报酬从6月22号的14%
[11:20] 下滑到10%
[11:21] 报道也指出说
[11:22] 现在基本面的多空基金
[11:24] 也下跌2.2%
[11:25] 主要就来自于
[11:26] 由于当日的波动过大
[11:28] 往往当日可能要做两次停损
[11:31] 两次追价
[11:32] 这就形成相当大的压力
[11:34] 那外资也趁着这一波
[11:36] 捡了一些便宜
[11:37] 我们现在讲个比较悲催的
[11:38] 基本就是
[11:40] 美国人赚走了台韩的价差
[11:44] 那台湾和韩国人赚走了美国的订单
[11:47] 大概是这样的
[11:48] 我们知道台湾和韩国
[11:49] 它本轮的刺激买盘来自于哪里
[11:51] 就是我们散户的买盘
[11:53] 散户的买盘来自于哪里
[11:54] 那就是外汇收益进来
[11:56] 变成台湾民间的总财富或者超额储蓄
[11:59] 那美国市场的部分
[12:01] 对于韩国市场跟台湾市场
[12:02] 其实都是差不多态度
[12:04] 如果我们细看
[12:05] 现在即便三星公布了
[12:07] 营业利益超过19倍的增幅
[12:10] 但是外资今年撤出南韩的速度
[12:13] 这几个月好像越来越快了
[12:14] 累积卖超是1000亿美元
[12:17] 台币总估值的话
[12:19] 等于流出了接近有三兆以上
[12:21] 今年台湾市场
[12:23] 整体卖超也不过数千亿
[12:25] 比零一兆
[12:25] 如果加上市贵的话
[12:27] 大概是接近一兆
[12:28] 南韩市场已经被外资卖了
[12:30] 接近有三兆
[12:31] 你说南韩人那么多
[12:32] 所以卖的多一点
[12:33] 台币股市比南韩股市
[12:36] 市值权重还要来得大
[12:37] 全球排行第四到第五
[12:39] 台北股市比南韩股市大
[12:41] 台北股市大概被卖了一兆
[12:43] 南韩股市已经被卖三兆了
[12:45] 这件事情都意味着
[12:46] 台湾和韩国人不断地赚美国人的订单
[12:49] 但是美国的外资
[12:51] 一直赚台湾人和韩国人的价差
[12:53] 我们一直涨他就一直卖
[12:55] 看起来是有一定市场压力的
[12:57] 第三层问题就来自于
[12:59] 记忆体的供给稀缺
[13:01] 它是否会有中国记忆体的新霸主
[13:03] 过去我们已经提过了
[13:05] 长兴存储当然正在快速成为
[13:07] 全球低润市场的重要玩家
[13:09] 最近它的市占率扩张幅度也蛮快的
[13:12] 而且这家公司
[13:13] 它才成立有十年吧
[13:15] 长期是依赖政府的资金扶植企业
[13:18] 现在已经变成了
[13:19] 中国打造AI自主供应链的重要核心
[13:23] 长兴今年第一季的净利
[13:24] 是330亿人民币
[13:27] 这个是重新的一举扭转
[13:29] 过去十年亏损的情况
[13:31] 那也跃居现在全球第四大的低润制造商
[13:34] 不过我们会提过
[13:35] 第一有法规科技管制的问题
[13:38] 是否能够成功解封
[13:39] 还有很大的挑战
[13:40] 第二
[13:41] 那就说明它其实背后
[13:42] 有非常明显的政府补贴的影子
[13:45] 对于公司财报获利表现不一定好
[13:47] 第三
[13:47] 很明显我们过去提过
[13:49] 现在在全球记忆体市场
[13:52] 仍然有战略区隔
[13:53] 是否苹果一定会跟长兴达成合约
[13:56] 我认为是要且看且走的
[13:58] 反而并没有这么容易
[14:00] 当然了
[14:01] 我们行情走到这边
[14:02] 也不一定要碰记忆体
[14:03] 我们只是了解说
[14:04] 其实除了记忆体
[14:05] 有很多估值的股票指数
[14:08] 差不多已经进入到修正期了
[14:10] 现在虽然你看起来指数
[14:12] 好像还是蛮高的
[14:14] 是没错了
[14:15] 但是其实已经差不多进入到
[14:17] 乖离修正回调了
[14:18] 现在就是乖离修正回调
[14:20] 所以对于左侧投资者而言
[14:22] 对于价值投资者而言
[14:23] 买多少是一个问题
[14:25] 可是现在从弯腰的角度来看
[14:28] 已经差不多有机会弯腰捡钻石
[14:30] 上个月是怕弯腰捡到肥皂
[14:33] 后来还被人家同意到
[14:34] 现在不用怕了
[14:35] 现在有很多人
[14:37] 钻石满天飞
[14:39] 大家都卖飞了
[14:40] 压力很大
[14:41] 尤其上个月又是套牢密集区
[14:43] 形成踩踏效果
[14:44] 在部分各国是非常明显的
[14:46] 当然不一定要碰
[14:47] 你不熟悉的个股或者指数
[14:49] 不是自己的东西
[14:50] 最好就不要碰
[14:51] 投资也是一样
[14:52] 别人的持股
[14:53] 别人的杠杆
[14:54] 别人的交易节奏
[14:55] 你要先搞清楚
[14:56] 自己是左侧还是右侧交易
[14:58] 很多别人的东西
[14:59] 看起来都非常诱人
[15:01] 不过那背后的资金水位
[15:03] 风险承受度
[15:04] 停损的纪律
[15:05] 你不一定看得见
[15:06] 所以如果你随手拿来用
[15:08] 那你可能承担了
[15:10] 自己无法承受的风险
[15:11] 跟挪威一样
[15:13] 挪威不是最近
[15:14] 他是礼拜天
[15:15] 巴强就要占英格兰了
[15:18] 爆发流感
[15:19] 对内有多名球员出现发烧
[15:23] 咳嗽
[15:23] 喉咙不适的症状
[15:25] 就连总教练
[15:26] 在记者会上
[15:27] 当时谈话的时候
[15:28] 都咳个不停
[15:29] 结果他才刚淘汰巴西的黑马
[15:32] 现在病毒战已经开始了
[15:35] 所以我们才讲说
[15:36] 别人的持股不要造钞
[15:37] 巴菲特的操作
[15:39] 你造钞
[15:40] 他你可能也两三年没有买股票了
[15:43] 别人的水也不要乱喝
[15:44] 哈兰德米是
[15:45] 人家在踢球踢到一半
[15:47] 就去喝别人
[15:48] 对不对
[15:48] 别人的水
[15:49] 你看现在全队感冒
[15:51] 这种感冒压力多大
[15:52] 所以别人的杠杆
[15:53] 别人的交易
[15:54] 别人的水都不要乱喝
[15:56] 那市场最危险的地方
[15:57] 就不是别人有方法
[15:58] 是他们能够把别人的方法
[16:01] 对照成自己的绩效对照
[16:04] 或者策略的答案
[16:05] 但是如果你只是完全的照抄
[16:07] 那你要了解
[16:08] 这套策略是不是适合你
[16:10] 你懂不懂它
[16:11] 你撑不撑得住
[16:12] 很多人
[16:13] 其实过几年
[16:15] 三星股价一定再创立
[16:16] 也行高的
[16:17] 海力士股价一定再创立
[16:18] 也行高的
[16:19] 但是很多人不会熬到最后
[16:20] 为什么
[16:21] 被在波动当中被给洗掉了
[16:23] 所以很重要
[16:24] 不过刚好
[16:25] 因为挪威对英格兰
[16:27] 一个是重感冒
[16:29] 另外一对东西被偷
[16:31] 对不对
[16:32] 欢喜冤家
[16:33] 唯今人只有战死
[16:34] 没有病死
[16:35] 好那回过头来看
[16:36] 另外一方面
[16:37] 我们看韩国股市
[16:38] 台北股市
[16:39] 遭受到如此险峻的
[16:41] 外资的沉压
[16:42] 其中一个原因
[16:43] 来自于抢美元格局最近大家也观察到了美元又开始升值虽然升幅不多只有2.8%可是亚币贬值就特别明显外资是针对整个亚洲市场做集体性的调节
[16:55] 你像日元、韩元、新台币、印尼盾、菲律宾、披索等亚洲货币是重步的走落
[17:00] 日元是一度扁破一美元对162日元创下40年的新低
[17:05] 韩元已经跌到17年的新低了
[17:08] 印度、卢比和菲律宾、披索也创下历史新低
[17:11] 那美元指数是小反弹
[17:12] 所以这件事情就意味着
[17:13] 市场上针对亚洲股市的卖压
[17:16] 开始有所呈现
[17:17] 日本股市
[17:18] 其实表现稍微韩国股市好一点
[17:20] 韩国股市现在是季线保卫战
[17:22] 日本股市其实刚跌破月线
[17:24] 大概也准备要回撤到季线
[17:26] 所以接下来就看短期内能不能站回月线
[17:29] 不行的话就是季线保卫战了
[17:30] 但是现在我们也知道
[17:31] 日本的公债压力情况
[17:33] 远远比日本股市来得更为危急
[17:35] 10年期公债殖利率一度飙到2.87
[17:38] 这个是1996年以来的新高
[17:41] 日本国债正在被疯狂的抛售
[17:43] 主要就是日本这一次
[17:44] 提出了2.3兆美元的支出计划
[17:47] 让市场的债务担忧来得越来越高
[17:49] 加上日元的持续性的贬值
[17:51] 这也使得市场上
[17:53] 针对日本的融资压力需求来得越来越大
[17:56] 台股的部分那就是最健康的
[17:58] 你看台股到目前为止
[18:00] 虽然还在月线之上
[18:02] 相对于日经二五指数
[18:05] 相对于费办
[18:06] 相对于韩国股市
[18:07] 走势已经算是非常漂亮的
[18:09] 到现在还有四万五
[18:10] 所以我们回过头看
[18:11] 如果以全球均线结构来做观察
[18:14] 南韩是月线失守
[18:15] 季线也失守
[18:16] 常识的季线低
[18:19] 扑手不住
[18:19] 就要守年线了
[18:20] 非半的部分
[18:21] 月线季线也跟着失守了
[18:23] 纳指是月线失守
[18:25] 台湾加权指数是月线失守
[18:27] 不过现在短期内又站上去了
[18:29] 我们看到其他像贵买季线
[18:32] 月线和季线压力比较大
[18:33] 日经的部分是月线失守
[18:35] 所以我们基本上还是可以观察到
[18:37] 整体结构来看
[18:39] 台股还是有比较特殊的因子存在
[18:41] 那当然会有不同思维
[18:43] 说台湾现在
[18:44] 机器还这么高
[18:46] 那台湾看起来有补贴效果
[18:47] 这也是一种思维
[18:49] 不过我觉得台湾有特殊的
[18:51] 经济环境和因子的拖动
[18:53] 我们举例来说
[18:54] 我们根据今年前五月
[18:56] 主要出口的年增幅
[18:57] 台湾是来到51.7%
[18:59] 那南韩是53%
[19:01] 香港是48%
[19:03] 新加坡是38%
[19:04] 哇 还是亚洲四小龙
[19:05] 隔了这么多年
[19:06] 还是由这四个经济体来向前冲
[19:08] 中国大陆只有19
[19:10] 日本是7.2
[19:11] 美国15
[19:12] 欧元区只有9.6
[19:14] 南韩股市涨了这么多
[19:15] 不过今年经济成长预估也只有1.8
[19:18] 台湾的部分是9.6
[19:20] 甚至预估有可能会突破10%
[19:22] 这件事情就意味着
[19:23] 明明南韩股市也涨这么多
[19:25] 那怎么会它经济成长这么小呢
[19:27] 那就是产业并非全面集中在半导体
[19:30] 所以稍微拖累了经济成长
[19:33] 那台湾不太一样
[19:34] 台湾现在几乎整个经济成长
[19:36] 完全来自于半导体和
[19:37] 直通讯产品的出口
[19:39] 所以整体就出现了爆发式的挣扎
[19:41] 它也形成了一种效果
[19:43] 就集体性财富流入的速度加快
[19:45] 台湾的经济这么亮丽
[19:47] 资金量一定会快
[19:49] 资金量流入那么快
[19:50] 对于股市的买盘的刺激
[19:52] 我们的第四法人
[19:54] 虽然不像是韩国人开杠杆
[19:56] 开得这么夸张
[19:57] 可是我们的第四法人
[19:58] 已经从疫情以来
[19:59] 好多年的经验
[20:01] 拿死也不卖股票
[20:03] 而且每次逢跌必定加码
[20:05] 每一次
[20:06] 这是这几年比较特殊的现象
[20:08] 没有什么插协同理论
[20:10] 适用在台北股市
[20:11] 为什么
[20:11] 因为大多数人
[20:12] 虽然也有当中的
[20:14] 交易频率高的人也有
[20:16] 可是存股市的买盘量实在是太大了
[20:19] 我们看台湾现在迎来前所未见的资金累积
[20:23] 根据主计数的预估
[20:24] 26年超额储蓄
[20:26] 台湾已经突破了9兆台币
[20:28] 创下1951年有统计以来的新高
[20:31] 重点是超额储蓄率来到26.9
[20:34] 远远高于去年的19.8
[20:36] 这概念是什么
[20:37] 这概念是
[20:38] 即便这么多人投入到股票市场了
[20:41] 做实业投资了
[20:42] 但是定存银行账户里面的钱
[20:45] 还在升高
[20:47] 这么讲
[20:47] 大家不要讲说
[20:48] 现在就是把所有钱都关到股市了
[20:50] 房市是不好了
[20:51] 可是保险市场创高了
[20:53] 我们讲的证券存户
[20:56] 存款余额也创高了
[20:57] 就连单纯的活储也创高了
[20:59] 所以我们看到的现象
[21:01] 不是说存量转移
[21:02] 钱都跑去炒股票了
[21:04] 因为钱太多了
[21:05] 一定要有一定的比例
[21:06] 留到股票市场
[21:07] 现在超额储蓄率
[21:09] 居然比去年还高
[21:10] 这也正是超越了1986年
[21:12] 台湾前沿角目的高点
[21:14] 前沿角目的概念是什么
[21:15] 就是超额储蓄太多
[21:16] 你可以把它简单理解成
[21:18] X-N
[21:19] 出口减进口
[21:20] 留下来的钱
[21:21] 留在台湾的钱
[21:22] 赚到的钱有多少
[21:23] 当时1986年
[21:25] 台湾前沿角目是20%
[21:27] 现在是26.8%
[21:30] 这以前是前沿角目
[21:32] 现在就是前沿天灵盖了
[21:34] 从实质数据来看
[21:36] 也代表全台湾所创造的所得
[21:38] 它是远远快于当前的消费和投资支出
[21:42] 庞大的资金存留在金融体系当中
[21:44] 所以超额储蓄的背后
[21:46] 一方面来自于AI出口的荣景
[21:48] 另外一方面也代表着
[21:50] 台湾现在的资金充沛情况
[21:53] 足以让股票市场相对跌幅
[21:56] 不会比其他市场来得重
[21:58] 超额储蓄是还没投资的钱
[22:00] 已经进去投资就不算超额储蓄
[22:02] 现在就是台湾人定存里面的钱
[22:04] 实在太多了
[22:05] 一堆美元保单
[22:06] 那种概念
[22:06] 所以从这样的一个效果来看的话
[22:08] 就让台股的ETF买盘的拉升效果
[22:12] 来得更为显著
[22:13] 市场油资
[22:14] 某种角度来看
[22:15] 仍然是泛滥的
[22:16] 我们看在今年中旬
[22:17] 上市ETF收盘
[22:19] 都陆续创下了一种新高价
[22:21] 市场也在抢钱
[22:22] 台湾也掀起了IPO浪潮
[22:24] 最近有没有发现
[22:24] 越来越多台湾的餐饮业
[22:26] 包括响兵
[22:27] 网品
[22:28] 开展餐饮
[22:29] 或者激光香香鸡
[22:30] 母公司香气光都有上市
[22:33] 我觉得应该取名叫台气光
[22:35] 可能会有更多买盘
[22:37] 叫香气光
[22:38] 那就听了就饿
[22:39] 台气光听起来就很有质感
[22:42] 但不重点
[22:42] 重点是大家都在抢着上市
[22:45] 为什么要这个时间点上市
[22:47] 那就跟SpaceX
[22:48] 为什么要抢这个时间点上市
[22:50] 是一样的
[22:50] 认为行情好
[22:52] 台股的ETF也正式突破了五兆
[22:55] 资金被动化
[22:56] 正在改写市场的结构
[22:57] 在2021年
[22:58] 台湾在ETF市场的总规模
[23:01] 也不过是5700亿
[23:02] 现在呢
[23:04] 5兆
[23:05] 增加了10倍
[23:06] 这么高强度的资金流入
[23:08] 你想想看
[23:09] 如果它是流入到物价
[23:10] 流入到大宗商品
[23:11] 台湾早就已经失控了
[23:13] 好险它流到金融资产
[23:15] 顶多就是助长一些贫富差距的扩大
[23:17] 可是10倍的钱进来
[23:19] 所以我们才讲说
[23:21] 用这样的一个方式
[23:22] 持续随着本轮的半导体行情
[23:25] 缓步的向上
[23:26] 很多人都想要说
[23:27] 挑一个好机会
[23:29] 一次all in改变人生
[23:31] 好像压对一次
[23:32] 就能够提早财富自由
[23:33] 但市场真正的力量
[23:35] 很少来自一次的豪赌
[23:38] 都来自于
[23:39] 无数次重复且正确的行动
[23:41] 你觉得他们是20年买进
[23:43] 这些散户
[23:44] 20年买进以后
[23:45] 就一路抱到现在
[23:46] 然后再也不投入
[23:47] 没有
[23:47] 他就是每隔一段时间
[23:49] 就不断地投入
[23:50] ETF规模之所以持续创高
[23:51] 不是因为单一买盘刺激的
[23:54] 而是因为
[23:54] 他不是因为每天说
[23:56] 大量的资金
[23:58] 然后一次性的涌入
[23:59] 它是每天每天慢慢
[24:01] 一点一点一点的累积
[24:03] 最后形成庞大的资金洪流
[24:06] 所以我们才讲说量变引起之变
[24:08] 每天买几百块好像没有多少
[24:10] 结果现在已经翻了十倍了
[24:13] 量变引起之变
[24:14] 你跟一个男生聊天
[24:15] 你可能会栽在他手里
[24:17] 但是如果你跟一群男人聊天
[24:19] 机会往往掌握在你的手里
[24:21] 投资也是如此
[24:22] 真正长期决定你的报酬的
[24:25] 往往不是因为你某一次买的多准
[24:27] 你愿不愿意继续投资
[24:28] 你继续学习
[24:29] 你继续留在市场
[24:31] 成功很多时候
[24:32] 它比的并不是强度
[24:34] 是频率
[24:35] 不是偶尔做到一次
[24:36] 而是能不能把正确的事情
[24:38] 一次一次的重复下去
[24:40] 那很多男孩子
[24:42] 刚交女朋友
[24:43] 讨太太开心
[24:45] 讨女朋友开心
[24:46] 每天钻研
[24:47] 什么素女精
[24:49] 预防秘诀
[24:50] 说服
[24:51] 我跟你讲
[24:52] 我是娄中代纲
[24:53] 不是我是纲中代
[24:54] 频率最重要
[24:56] 好不好
