[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 不管是避险资产还是风险资产
[02:42] 大家就是不急着出手了
[02:44] 继续观望局势发展
[02:45] 联准会也在这一次的声明当中强调
[02:48] 他的目标还没有改变
[02:50] 仍然是在长期内追求最大的就业
[02:52] 和2%的通膨目标
[02:53] 不过值得注意的是
[02:55] 联总会这一次针对整体经济前景的不确定性
[02:58] 描述的更直接
[02:59] 鲍尔甚至直接脱口说出
[03:01] 我根本就不知道会怎么走
[03:02] 我们只能听看听
[03:04] 这也是没办法的事情
[03:05] 就来自于地缘政治变化的原因
[03:07] 所以在这样的一个下午底下
[03:09] 这一次的关键会议
[03:10] 就是高度不确定性
[03:12] 鲍尔不断的传达现在的经济环境
[03:15] 不要说你们
[03:16] 我们自己也无法做直接性的判断
[03:18] 眼前我们也不能只盯着通膨和失业率
[03:21] 我们还是要必须进行前瞻沟通
[03:23] 中东战士油价冲起
[03:25] 我们必须要先告诉你
[03:27] 如果事情一路的往下发展
[03:29] 那你必须要把原本的降息预期给打消
[03:31] 这是很正常的
[03:32] 所以不会仅仅盯着过去的数据
[03:35] 也会进行前瞻利率预期的沟通
[03:38] 所以中东战士和油价上涨
[03:40] 的确成为了通膨性风险
[03:42] 不过鲍尔或者联准会内部理事
[03:45] 也没有因此而重新判定
[03:47] 外部性供给冲突
[03:49] 不会影响到联准会的降息步调
[03:51] 可能还是会影响
[03:52] 适度的调整
[03:53] 利率预期
[03:54] 在这样效果底下
[03:55] 等同于关税风险还没有完全结束
[03:58] 联合总会也在担心政策的反复
[04:00] 另外一方面
[04:01] 中东局势的外部性冲击
[04:02] 又在持续拉升效果底下
[04:05] 这一次啊
[04:06] 鲍尔唯一释出的一个点
[04:07] 就是AI是有可能会造成
[04:10] 市场上有进一步的通缩可能性
[04:13] 可是短期内
[04:14] 可能也会带来成本压力
[04:15] 等同于啊
[04:16] 在短期内
[04:17] 通膨压力的因子的确是巨大的
[04:19] 长期来看
[04:21] 能否走出本轮通膨
[04:23] 林总会的态度是
[04:24] 第一
[04:24] AI提升生产力
[04:26] 美国经济就是正面力量
[04:28] AI和科技的发展
[04:29] 可以拉伸通缩的效果
[04:32] 但那是长期
[04:33] 第二
[04:33] 长期来看
[04:34] 中东局势的回稳
[04:35] 肯定有利于
[04:36] 3月4月CPI的回档
[04:38] 现在还有10天
[04:39] 就看这10天
[04:40] 油价能不能回跌
[04:41] 回跌那CPI就
[04:42] 3月份就不会爆表了
[04:44] 那再来
[04:44] 最后就是
[04:45] 关税政策的影响
[04:47] 它到底是一个
[04:48] 渐进式的
[04:48] 还是未来会有
[04:49] 更多的关税取消
[04:50] 可能性事实上我们回过头看
[04:52] 川普这一次所受到
[04:55] 对于鲍尔的
[04:56] 承压目前我看好像还没有
[04:58] 发文嘛所以川普可能也意识到
[05:00] 这件事情的确原油价格的上涨啊
[05:02] 的确已经让联准会很难有
[05:04] 大幅降息的空间啊所以这肯定
[05:06] 是他要处理的那鲍尔也坦言
[05:08] 通膨目前改善速度的确不如
[05:10] 预期他的判断是
[05:12] 关税的价格压力的确更像
[05:14] 是一次性的冲击所以他可能
[05:16] 只会造成一年左右的年增
[05:18] 不会形成长久的停滞性通膨
[05:20] 但是第二呢
[05:21] 外部性因素如果持续恶化
[05:24] 基本上通膨就会一直维持在高档
[05:26] 那么联总会就必须要保持
[05:28] 更为紧缩的节奏
[05:30] 或者至少把降息的节奏适度的放缓
[05:32] 如果我们具体来做观察
[05:34] 最新的经济预测
[05:35] 联总会这一次上修了通膨
[05:37] 个人消费支出物价指数
[05:39] 也就是PCE通膨率
[05:40] 大概在26年是2.7%
[05:42] 比去年12月份预估的2.4%还来得高
[05:46] 那如果剔除食品和能源之后的核心PCE
[05:49] 也从2.5上修到2.7
[05:51] 但是呢
[05:52] 经济成长预期
[05:53] 其实也没有因此大幅转弱
[05:55] 这说明美国现在
[05:57] 你说因为要经济不好而降息
[06:00] 还是因为通膨下滑而降息
[06:02] 看起来都开始失去了一些条件
[06:05] 因为通膨再上升是真的
[06:06] 可是经济也没有多差
[06:08] GDP成长率从12月份的2.3
[06:11] 上调到了2.4
[06:12] 所以在联准会眼中
[06:13] 美国经济并没有立刻陷入衰退
[06:15] 只是通膨的黏着性
[06:17] 比预期来得更高
[06:18] 经济还撑得住
[06:20] 可是物价压力也没有真正消失
[06:22] 这是联准会头痛的
[06:23] 但是这个头痛程度
[06:25] 也远远没有到
[06:26] 经济已经很差了
[06:28] 但是物价非常高
[06:29] 这种差
[06:30] 他只是在纠结
[06:32] 那我是不是降息步调
[06:33] 真的要稍微放缓一点
[06:34] 不过现在经济看起来
[06:36] 表现还不错
[06:36] 所以点阵图来看
[06:38] 联准会跟上一次召开会议
[06:41] 其实并没有太大一个区别
[06:43] 官员的中位数预期
[06:44] 仍然是今年有降息一次
[06:46] 这还是好事
[06:47] 那FedWatch
[06:47] 有的认为今年可能
[06:49] 看起来不太可能降息
[06:50] 联准会至少预期
[06:51] 还可能会降一次
[06:52] 那鲍尔承认说
[06:54] 中位数没有太大改变
[06:55] 但实际上
[06:56] 已经有不少官员的态度
[06:58] 偏向更少的降息
[06:59] 可能降半码左右
[07:01] 他也特别指出
[07:02] 有四到五位官员
[07:03] 原本预估今年要降息两次
[07:05] 现在只能降息一次
[07:06] 19位官员当中
[07:08] 有12位认为
[07:09] 今年至少会降息一次
[07:10] 但也有一些
[07:11] 开始明显下修
[07:13] 宽松幅度
[07:14] 甚至有一位
[07:15] 还认为明年可能要升息
[07:16] 那当然鲍尔也提醒
[07:18] 他说点证图就这样子
[07:19] 每个季度都变来变去
[07:20] 目前这么高的不确定性
[07:22] 搞不好下个季度就变了
[07:24] 我们也要了解
[07:25] 释出点证图本身也是
[07:27] 做一种前瞻利率沟通
[07:29] 就是也许他也没有想要升或降
[07:32] 而是因为大家觉得要降过头
[07:35] 那我就要让大家有一点
[07:36] 没降这么多的预期
[07:38] 当大家都认为一定要升息
[07:40] 那我就让大家认为
[07:41] 不会升这么多
[07:42] 有一种那种前瞻利率
[07:43] 指引沟通的感觉
[07:45] 那的确
[07:45] 联总会内部的分歧
[07:47] 虽然在点证的层面
[07:49] 意义不大
[07:49] 出任米兰
[07:50] 可是在内部的决策过程当中
[07:52] 还是有非常大的压力
[07:54] 互相博弈
[07:55] 我们举例来说
[07:56] 我们看FOMC的反对票的分布内部旗舰大部分都来自于地区的联储银行总裁而并不是理事会那在1980年到90年无论是理事还是总裁
[08:08] 都曾经出现过频繁的分歧
[08:09] 那总裁端的分歧
[08:12] 在2010年以后就开始增加
[08:14] 2025年以后又开始快速的升温
[08:17] 这个就代表着
[08:18] 其实我们看很多地方经济的观点
[08:21] 跟华府核心的政策
[08:22] 已经出现明显落差
[08:23] 从整个2020年以后
[08:26] 基本上这个数据还在缓步的拉升
[08:28] 其实也就意味着
[08:30] 其实联总会内部
[08:31] 虽然大家点证图的共识是一致的
[08:33] 可是对于到底经济怎么走
[08:35] 还是有蛮大分歧的
[08:36] 如果我们仔细用鹰派鸽派来做区分
[08:39] 这一届有投票权的联邦公开市场委员会
[08:42] 其实大概可以分为四个层次
[08:44] 最鹰的那一群
[08:45] 就是认为核心通膨粘性实在太高了
[08:48] 宁可利率维持高档更久
[08:50] 也不愿意太早放松
[08:51] 比如说达拉斯的联总会主席罗根
[08:54] 或者克里夫兰的哈马克
[08:56] 还有库克
[08:57] 那罗根也直接说了
[08:58] 他更担心会有更偏高的利率
[09:00] 哈马克则是认为
[09:02] 利率可能要维持在
[09:03] 这样的一个区间
[09:04] 很长一段时间
[09:05] 那另外一个往鸽派来看
[09:07] 有分为温和鸽派和明显鸽派
[09:10] 温和鸽派就是
[09:11] 纽约的联总会主席威廉斯
[09:13] 费城的联总会主席保尔森
[09:17] 那某种程度上
[09:18] 威廉斯虽然没有立刻要求降息
[09:21] 但他已经明确说
[09:22] 他说如果通膨按照路径走
[09:23] 未来这样一步降息
[09:25] 其实是OK的
[09:26] 但是我们也清楚知道
[09:28] 你像沃勒的部分
[09:29] 他就更明显接近于鸽派的一段
[09:32] 就他先前一直支持降息
[09:33] 但如果就业数据转落
[09:35] 可能三月就要支持了
[09:36] 那现在的问题在于
[09:37] 三月份其实就业数据
[09:39] 其实并不是特别好
[09:40] 可是联准会理事们
[09:41] 还是由于中东情势的升温
[09:43] 稍微偏向稳定鸽
[09:46] 有点温和鸽派的感觉
[09:48] 所以现在有没有鹰派
[09:49] 有鹰派
[09:50] 但是仍然并不是占多数
[09:52] 现在是温和鸽派占多数
[09:55] 那明显鸽派
[09:56] 希望进行更进一步松绑的
[09:58] 已经变成少数了
[09:59] 所以在这样的效果底下
[10:00] 联准会的按兵不动
[10:02] 等同于在观察
[10:04] 三月份的数据开出了为何
[10:06] 如果三月底油价还没有回跌
[10:08] 那其实三月底我们就知道
[10:09] 三月份的CPI开出来的表现
[10:12] 到底会怎么样了
[10:13] 不过我们也可以清楚看到
[10:15] 市场的降温预期
[10:16] 基本上针对联准会的利率预期
[10:18] 开始产生了新的定价
[10:20] 也是代表着
[10:20] 大家已经默默接受
[10:22] 年底也许降息幅度
[10:23] 没有来得这么多了
[10:24] 当然了
[10:25] 这个问题
[10:27] 外部性冲击
[10:28] 它总有一天解决
[10:29] 4月没打完
[10:31] 5月也有可能
[10:32] 6月没打完
[10:34] 7月有可能
[10:34] 但是不可能拖一年
[10:36] 拖两年
[10:36] 当然有可能
[10:37] 可是市场的预估值
[10:39] 看起来目前
[10:40] 并没有超过半年的时间
[10:41] 解决伊朗战事
[10:43] 也就代表着
[10:44] 总有一天外部性冲击会消失
[10:45] 当外部性冲击消失的时候
[10:47] 现在的问题就变成了
[10:49] 联准会降息来得及吗
[10:50] 因为劳动类市场的降温
[10:52] 虽然并没有引发进一步的裁员潮
[10:55] 可是劳动力的职位空缺
[10:58] 和非农就业的贡献
[10:59] 其实按照校正回归数据
[11:01] 其实正在非常明显的软化
[11:03] 我们过去提过
[11:04] 美国在过去一年的就业市场
[11:06] 相当依赖医疗产业
[11:07] 来撑住整个非农就业增长
[11:09] 结果到今年二月份出现逆转
[11:11] 医疗相关职位
[11:13] 变成了拖累来源
[11:15] 特别是诊所和医师办公室
[11:17] 因为护士罢工
[11:18] 出现了明显裁员
[11:19] 所以其实二月份的非农就业数据
[11:21] 表现的相当差劲
[11:22] 再加上AI的冲击底下
[11:25] 很多白领的就业情况
[11:27] 在过去一年已经明显转弱
[11:28] 像专业和商业服务类别
[11:31] 金融活动类
[11:32] 资讯产业
[11:33] 这三个典型的白领部门
[11:34] 多数月份其实已经看到
[11:36] 都已经陆续呈现
[11:38] 非农就业数据的负成长了
[11:39] 尤其是资通讯产业
[11:41] 那个压力巨大
[11:42] 居然AI第一个取代的是
[11:45] 发明AI的工程师
[11:47] 资通讯产业的压力看起来
[11:49] 整体市场的就业轮替也是非常显著的
[11:52] 那只是他还没有引起进一步的裁员潮
[11:54] 而是大多数企业已经停止进行招募了
[11:58] 那这些数据联总会一定也看到了
[12:00] 要如何进行前瞻利率指引就很重要
[12:02] 不过短期内我们其实还明显感受得到
[12:05] 联总会在乎中东战事对于通膨的冲击
[12:09] 远远大于目前劳动力就业市场的软化
[12:12] 那另外一个大家比较关注的重点
[12:14] 是联总会内部人事的变迁
[12:17] 这一次《华尔街日报》的Nick Timros
[12:21] 他其实已经提到了
[12:22] 联总会主席鲍尔的表态
[12:24] 基本上某种程度意味着
[12:26] 川普跟鲍尔又杠上了
[12:28] 鲍尔的表态是
[12:29] 如果主席任期在5月15号届满时
[12:33] 继任人选
[12:34] 还没有获得参议院的确认
[12:36] 他将继续与临时主席来领导联总会
[12:40] 那两种角度
[12:41] 第一种角度就是很明显
[12:43] 因为鲍尔的人事去留
[12:45] 他是在去年的司法部
[12:46] 针对联总会总部翻修案的调查
[12:49] 还没有完整情况底下
[12:51] 他就决定不打算离开联总会
[12:53] 那至于呢
[12:54] 接下来调查结束之后啊
[12:55] 还要看参议院愿不愿意通过
[12:58] 或许
[12:58] 如果这项调查案充满着不公
[13:00] 那也许很多共和党和民主党的部分议员啊
[13:03] 他可能会选择不予以提名通过
[13:06] 这样的一个效果啊
[13:07] 就会导致
[13:08] 也许鲍尔他就被迫
[13:09] 持续再任联总会主席
[13:11] 这是一个充满极大变数的
[13:13] 那第二层就是
[13:14] 那就算他不是当主席了
[13:16] 他看起来现在的意思是
[13:18] 没有想要辞理事
[13:19] 因为一个是主席位
[13:21] 一个是理事位
[13:22] 理事位他可以待到2028年
[13:23] 他看起来就是
[13:24] 你把我主席拿掉
[13:26] 我也继续当理事
[13:26] 以后我就专门投你反对票
[13:28] 有这样的感觉
[13:29] 我们之所以这样讲
[13:31] 是因为的确市场充满着
[13:33] 新一轮的联总会主席
[13:35] 提名人选的变数
[13:36] 参议院的表态是非常重要的
[13:38] 我们看在两天前
[13:40] 美国联邦法院已经正式裁定
[13:42] 川普司法部
[13:43] 对联准会所发布的传票无效
[13:45] 也就代表着司法部调查联准会主席报的案件
[13:49] 现在看起来并没有提出任何的犯罪证据
[13:52] 所以进行驳回
[13:53] 那法院认为这些传票的目的
[13:56] 很有可能是对鲍尔施压
[13:58] 希望他来配合川普降低利率
[14:00] 甚至逼迫他辞职
[14:01] 好让总统去任命新的联准会主席
[14:04] 那法官在判决当中辞言
[14:06] 司法部所提出的理由证据相当的薄弱
[14:09] 看起来更像是一种政治动机
[14:12] 所以过去一段时间
[14:13] 我们看川普不是天天出来喊吗
[14:15] 鲍尔出来打球啊
[14:16] 你当球
[14:17] 那鲍尔死里逃生嘛
[14:19] 那现在呢
[14:20] 有没有可能川普在未来一段时间
[14:23] 借由政治动机的淡化
[14:26] 能够确保
[14:27] 因为现在差不多要提名了
[14:28] 五月份就要就任了嘛
[14:30] 你现在提名
[14:31] 如果参议院不让你过
[14:32] 有人刁难你
[14:33] 那压力也很大
[14:34] 所以我们就看一下
[14:36] 川普会不会针对当前联总会
[14:38] 不愿意降息的动作
[14:39] 采取更多谈话
[14:40] 所以这件事情当然也引发大家对联总会独立性的关注
[14:44] 川普一直都批评鲍尔没有大幅降息
[14:47] 觉得他很顽固
[14:48] 那之前川普也打算把Lisa Cook联总会的理事给换掉
[14:52] 那现在法律争议已经上诉到美国最高法院了
[14:55] 那现在最大的问题就在于
[14:57] Kevin Walsh他需要参议院提名的批准
[15:00] 那部分议员表示
[15:02] 调查问题完全解决之前不会推动确认程序
[15:05] 除非你先说你不上诉
[15:07] 因为现在是高层法院嘛
[15:08] 你先确保你不上诉到最高法院
[15:11] 你不跟鲍尔继续闹
[15:12] 那我再来考虑
[15:13] 是不是要确认你的提名
[15:15] 那我们看一下川普
[15:16] 是不是打算再提上诉了
[15:18] 那这是我们看到
[15:20] 整个联总会当前所采取的动作
[15:22] 之所以我们看到这么保守
[15:24] 或者说过去的极度鸽派
[15:27] 转往温和鸽派
[15:29] 但是又不至于告诉你
[15:30] 会升席这样的一个角色
[15:31] 某种程度他就是在挺看听
[15:33] 我们过去讲过
[15:35] 这个央行的决策
[15:37] 其实就像是一台
[15:38] 油门和刹车都可能发挥延迟作用的汽车
[15:43] 就汽车代表经济情况
[15:44] 油门就代表低利率的货币宽松
[15:47] 刹车就是紧缩
[15:48] 你认为次数过快
[15:50] 你要踩刹车的时候
[15:52] 有时候能够马上发挥作用
[15:54] 有时候可能要过几公里
[15:55] 车子才会减速
[15:56] 当你遇到上坡
[15:57] 你开始踩下油门的时候
[15:59] 你会发现可能十分钟前踩的刹车突然发生作用了阻碍你前进的动力高利率也是一样2022年的升息它也是一个渐进式的过程看起来有点暴力
[16:09] 可是它的升息升到
[16:11] 你的营业员或者你的银行理专
[16:16] 打电话给你
[16:16] 告诉你赶快来买美元保单
[16:18] 这个时间线也隔了有半年到一年左右
[16:21] 所以时间线是一个问题
[16:23] 另外就过去几个季度
[16:24] 我们很明显感受到
[16:26] 副驾驶其实也坐着另外一个人
[16:28] 他也可以控制这台车的油门和刹车
[16:31] 川普负责进行财政支出的官员
[16:35] 他可以透过减税或者增加公共建设来活络经济
[16:38] 甚至去抚摸一下驾驶的脸庞
[16:42] 抚摸一下驾驶的保险杆
[16:46] 刹车
[16:47] 但不管怎么说
[16:49] 对于景气是否过热看法的不同
[16:52] 就导致驾驶和副驾驶
[16:54] 它的方向可能不太一样
[16:55] 油门和刹车
[16:56] 大家都有延迟效果
[16:58] 压力就很大了
[16:59] 所以我们从结语来说
[17:01] 这一次就是从等待降息
[17:04] 转向成接受高利率更久
[17:06] FOMC会议释出的整体讯号
[17:08] 这一次蛮明确的
[17:10] 不明确的地方也不明确
[17:11] 但是不明确的地方也蛮明确的
[17:13] 就是他很告诉你
[17:14] 哪些他不懂
[17:15] 哪些他懂
[17:16] 他不懂的部分
[17:16] 就要有更多的时间线
[17:18] 联准会很明显
[17:19] 希望有更多的降息空间
[17:21] 但这个空间正在变窄
[17:23] 时间也可能被往后延
[17:24] 鲍尔没有否认通膨会改善
[17:26] 也没有否认经济有放缓压力
[17:29] 但他的态度已经从偏向等待通膨自然降温
[17:32] 变成更为强调外部风险自然的消失
[17:36] 简单来讲
[17:37] 川普不搞了
[17:38] 那我觉得就可以回来继续降息了
[17:40] 那如果呢中东战事持续延烧
[17:42] 那我就停留在这个位置更久
[17:44] 我也不一定会升息
[17:46] 但是呢我就在这样的一个时间
[17:47] 持续等待进一步条件的释放
[17:51] 好所以这就跟我们过去看到的一样
[17:53] 那这个其实鲍尔也在尝试的跟民间来进行博弈
[17:56] 把市场的利率预期给拉回来
[17:59] 来告诉你说
[17:59] 这件事情我们之所以延宕
[18:01] 是因为什么原因
[18:03] 那等到源头缓解
[18:04] 你们的利率预期当然可以回来
[18:06] 我们知道联储会会降息
[18:08] 联储会也知道自己迟早要降息
[18:10] 他们也知道我们知道他们会降息
[18:12] 我们也知道他们知道
[18:13] 我们知道他们会降息
[18:14] 大家就会在互相博弈
[18:16] 预判对方的预判
[18:18] 形成市场波动的加大
[18:20] 这就是根本原因
[18:21] 好所以回过头来说
[18:22] 那油价回跌
[18:23] 降息之路就可以重新延续了吗
[18:25] 毕竟就业市场看起来
[18:28] 还是偏向有更多降息空间的
[18:30] 我们从油价飙升的背后
[18:31] 可以看得出来
[18:32] 现在其实真正影响油价的
[18:34] 已经不是单一库存
[18:36] 是地缘政治风险
[18:37] 供给链的问题
[18:38] 原本是供给链问题
[18:41] 所造成的市场价格炒作
[18:43] 但是供给链停摆久了
[18:46] 有时候储藏超满了
[18:47] 满了就不要减产了
[18:48] 从供给链的问题
[18:50] 就变成了供给面的问题了
[18:52] 其实我们看到
[18:53] 美国原油的库存
[18:55] 不含战略储备
[18:56] 过去一年大概处于区间震荡
[18:59] 其实近期库存水位
[19:00] 是上升到4.49一桶
[19:02] 甚至要测试过去的高点
[19:05] 这代表前期市场担忧的供给紧张
[19:07] 正在被修正
[19:08] 短期的供应压力其实有所缓解
[19:11] 但也暗示需求端好像也没那么强
[19:13] 或是产量和进口正在同步增加
[19:16] 整体来看
[19:17] 库存快速上升
[19:19] 通常会对于油价形成压力
[19:21] 但是如果是在地缘政治紧张的背景底下
[19:23] 就变成了基本面偏空
[19:25] 对决风险溢价撑盘的这种拉扯的局面
[19:29] 所以现在对于美国人来说
[19:31] 其实油是够用的了
[19:32] 但是由于市场的预期
[19:34] 已经反映在全球局势的动荡
[19:36] 压力就越来越大
[19:37] 所以它不会断油
[19:39] 可是市场上就在紧张这件事情
[19:41] 我们举例来说
[19:42] 柴油价格中提到
[19:43] 已经突破了5美元
[19:45] 通膨真正的传导起点
[19:47] 已经正式开始了
[19:48] 加上在2月份最新所公布的PPI
[19:50] 生产者物价指数
[19:52] 月增幅0.7
[19:53] 这个就比预期的0.3高了蛮多了
[19:56] 年增幅也来到3.4%
[19:57] 那这波上涨
[19:58] 就来自于服务和商品价格的同步走高
[20:01] 服务价格还是因为连续三个月的上升
[20:04] 受到非常显著的薪资带动
[20:06] 商品端是受到能源和食品带动
[20:08] 那有的部分涨幅特别离谱
[20:11] 像蔬菜价格在美国市场
[20:13] 平均上的50%
[20:15] 这可能是单月份的因子
[20:16] 可是如果我们仔细观察
[20:18] 如果把反映核心PPI的通膨
[20:21] 从2022年一路下滑之后
[20:23] 最近开始出现了比较明显的跳升
[20:26] 其实就是油价所带动的消费性预期的扩大
[20:29] 如果再把CPI跟PPI的剪刀叉拿来看
[20:32] 也就是你把消费者的通膨
[20:34] CPI减掉PPI生产者通膨
[20:36] 数字大概是接近-1
[20:38] 就代表上游价格正在比下游价格更快上升
[20:42] 什么意思
[20:42] 老板的价格比顾客价格的成本上升幅度更快
[20:47] PPI上升比CPI还快
[20:49] 那通常是一个转折讯号
[20:51] 就企业成本的压力正在累积
[20:53] 它以前都是企业成本上升1%
[20:56] 然后就反映给消费者2%
[20:58] 对不对
[20:58] 房东这个电费涨100
[21:01] 水费涨100
[21:03] 房租涨2000
[21:05] 通常是这样子
[21:06] 这消费者会涨比较多
[21:07] 现在不一样
[21:08] 现在是上游价格PPI的涨幅
[21:11] 比下游价格的CPI更快快速
[21:13] 这通常就暗示着
[21:15] 企业成本压力正在快速累积
[21:17] 来不及转嫁给消费者
[21:19] 那未来有两种可能
[21:20] 第一个就企业开始调涨售价
[21:22] 带动CPI上行
[21:23] 可是这有菜单成本
[21:24] 你不能每一次油价一上涨
[21:27] 你就大幅的调高所有的报价产品
[21:29] 你有菜单成本转嫁的问题
[21:32] 所以通常要等一到两个月
[21:33] 第二呢就利润恶化
[21:35] 压缩企业的获利
[21:36] 无论哪一种
[21:37] 对于市场来看都不是好事
[21:39] 要么就通膨在一起
[21:40] 意志孤瓷
[21:41] 要么就盈利恶化
[21:43] 拖累基本面
[21:44] 所以这样的一个效果底下
[21:45] 等同于这些问题的源头
[21:47] 就是原油价格的上涨
[21:49] 那川普政府呢
[21:50] 看起来最大的问题
[21:51] 就是要如何在中期选举
[21:53] 哇那也只剩下半年的时间啊
[21:55] 要赶快把这些通膨压力给压回去
[21:58] 我们举例来说
[21:59] 从疫情以来
[22:00] 无论是蔬菜价格
[22:01] 牛奶价格
[22:02] 面包
[22:03] 大多数的民生物质啊
[22:04] 涨幅其实都蛮夸张的
[22:06] 蔬果类哦
[22:07] 疫情以来涨了15%
[22:08] 牛奶涨了22%
[22:10] 面包涨了33%
[22:12] 鸡肉鸡蛋到牛肉价格
[22:14] 平均涨幅是50到60%
[22:16] 再来看其他产品
[22:17] 我们看从住房相关成本的部分
[22:20] 电费从疫情以来已经涨了56%
[22:23] 天然气是接近64%
[22:25] 房屋保险涨了14%
[22:27] 那当然24年25年的涨幅开始稍微缓不下滑
[22:31] 可是你要知道
[22:32] 我正是由于20年到24年这段时间的通膨爆表
[22:36] 才是拜登被扫下台的根本原因
[22:38] 那24年25年26年
[22:41] 如果这个局势没有那种非常明显的缓解逊项
[22:44] 那对于中期选举而言
[22:46] 其实对于川普是相当不利的
[22:48] 另外一个我们看到的是
[22:49] 能源汽车家庭开支
[22:51] 油价的部分
[22:52] 还没有反映到
[22:53] 现在的实体能源成本当中
[22:55] 因为CPI还没出来
[22:56] 可是你看新车价格涨幅有20%
[22:59] 二手车涨幅有30%
[23:01] 汽车保险又涨了56%
[23:03] 现在油价又在飙升
[23:05] 我们当然知道
[23:06] 全球针对石油的依赖
[23:08] 幅度已经没有这么高了
[23:10] 可是它一样会有进入到
[23:11] 适度传导的过程
[23:12] 在种种效果底下
[23:14] 这等同于
[23:15] 最后的原因就是
[23:17] 川普如果能够有办法解决本场中东战事
[23:21] 油价有办法回跌
[23:23] 通膨的预期消失
[23:24] 联盟总会的降息空间变大
[23:26] 也许这场战争晚一点爆吧
[23:28] 也许川普始终想要稳定中东局势
[23:31] 他等中期选举选完再去打
[23:34] 也许更符合川普的利益
[23:36] 有这样的感觉
[23:37] 我们再看一下
[23:37] 川普如果不发文
[23:39] 我看就愣了
[23:40] 川普如果发文就代表
[23:42] 他还是相信当前的战事
[23:44] 是相当有利于年底选举的
[23:46] 我们看一下国市四大指数表现
[23:48] 道琼指数下跌768.1.63%
[23:50] 输入4万6,225点
[23:52] 道琼加厉真的有点稍微大一点了
[23:55] 标普白指数下跌91点1.36%
[23:57] 输入6,624点
[23:59] 纳指下跌327点1.46%输入22,152点非半下跌41点0.53%是在7795点那台股的部分相对于整个美欧股市
[24:11] 就强硬的多
[24:12] 台股昨天台积电是重返1900
[24:14] 加上记忆体
[24:15] 波仙布
[24:17] 矽光子族群
[24:18] 昨天是多档涨停板
[24:20] 带动大盘涨500点
[24:21] 回到34400点
[24:23] 涨了512点
[24:24] 成交量也不低
[24:25] 8969亿
[24:27] 其实家权市场也还好
[24:29] 重点是贵买
[24:30] 贵买已经连续好几天都创下历史新高了
[24:33] 资金结构已经出现了明显的改变
[24:35] 过去都是集中在一些全职大型的股的动能
[24:39] 现在往中小型股来为主的贵买市场指数扩散
[24:43] 今年外资买贵买买了254亿
[24:46] 可是你看加权
[24:47] 他卖了加权卖了4500亿
[24:49] 所以中小型股看起来短期内有点资金轮动
[24:53] 但整体整个台股市场
[24:54] 不管是集中市场还是贵买
[24:56] 其表现都相当不错
[24:58] 台股的确这一波买盘蛮强的
[25:00] 那很多人会问
[25:01] 现在台股动辄都是八九千亿的交易量
[25:04] 看起来也不小
[25:05] 会不会有点过度乐观
[25:07] 我倒觉得还好
[25:08] 毕竟当然你说前几个月五六千亿
[25:12] 一年前大概就三四千亿
[25:14] 2022年大家还记得
