[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 請判斷做檢討
[02:54] 好那回過頭來看
[02:55] 美歐股市在昨天走勢比較分歧
[02:58] 內股的輪動非常大
[03:00] 費辦納指收回
[03:01] 不過國防內股這一次受到川普預算拉抬的影響
[03:05] 有顯著的拉昇
[03:06] 不過呢
[03:07] 美歐股市很明顯
[03:08] 這一波的AIT才反彈之後的獲利了結槽
[03:11] 科技股是目前拖累的主因
[03:13] 我們看到在昨天納指受到的承壓
[03:16] 軟鐵股從本年度開紅盤以來
[03:19] 其實壓力一直都很大
[03:21] 如果我們細看
[03:22] 其實一個比較直觀的角度
[03:24] 那就是美國股市的確估值有點高
[03:26] 所以這個時機點來對賭降息迴圈
[03:29] 低基期概念股的上升
[03:31] 而並不是把錢全部重新壓住在AI期巨頭
[03:34] 也許是現在主流市場的一種做法
[03:37] 標普500目前已經明顯高於自己的長期平均
[03:40] 如果你把美國以外市場的全球股市
[03:42] 拿來跟美國股市來做對照
[03:44] 這個溢價大概有拉昇有三成多
[03:47] 大概也是接近歷史高檔
[03:48] 當然了到底AI是不是要付出更多的風險益酬
[03:52] 這個大家的看法一直都不太一樣
[03:54] 有些人認為現在市場這麼穩定
[03:57] 我們應該給2000年以來更多的泡沫空間
[04:00] 有些人認為就必須以長期的本益比來做衡量
[04:03] 可是2026年現在真正遇到的第一大問題
[04:07] 是臺北股市很明顯還是全職來發動
[04:10] 可是就美國股市來看
[04:12] 標普500指數當中
[04:13] 現在因為市值有三分之一都集中在七巨頭
[04:17] 七巨頭對於指數的影響太大了
[04:19] 那當七巨頭不漲了
[04:21] 通常也就意味著指數無法破高了
[04:24] 我們回過頭來看
[04:25] 2025年七巨頭總體漲幅
[04:28] 也不是人人都跑雲大盤
[04:29] 基本上跑雲大盤的只有三家
[04:31] Alphabet
[04:32] NVIDIA
[04:33] 特斯拉
[04:34] Google的部分漲了65%
[04:36] 輝達漲了40%
[04:38] 特斯拉20%
[04:39] 微軟只有15%
[04:40] Meta 13%
[04:41] 蘋果8.8%
[04:42] Amazon 5.8%
[04:43] 那標普是漲了17.5%
[04:45] 所以其實就連七巨頭漲幅都是非常極端的
[04:49] 而今年開始之後
[04:51] 當時漲幅最少的亞馬遜
[04:52] 今年表現是最亮麗的
[04:54] 到目前為止漲幅有8.74%
[04:57] 它有沒有可能開始產生輪動的味道
[04:59] 這個就是我們看到在年初所發生的跡象
[05:02] 如果細看今年2026年以來
[05:05] 各大七巨頭的資產績效
[05:07] 亞馬遜漲了8.7%
[05:09] 阿發貝排名第二3.3%
[05:11] 微軟1.09%
[05:13] 特斯拉跌0.52%
[05:15] Meta跌了0.6
[05:17] NVIDIA跌了2.02
[05:18] Apple跌了4.4
[05:20] 蘋果反而賣壓最重
[05:21] 所以你會發現
[05:23] 其實從整個25年和26年
[05:25] 就是在七巨頭當中
[05:27] 你有發現有一大半之後
[05:29] 也跑出給大盤
[05:30] 而今年更有那種
[05:31] 七巨頭的內部輪動的味道
[05:33] 那現在回過頭看
[05:35] 輝達的股價
[05:36] 這個高點當時在
[05:37] 10月11月見到以後
[05:39] 基本上已經橫盤很長一段時間
[05:41] 輝達現在只是作為一個穩盤作用
[05:44] 再來看微軟
[05:44] 微軟這個股價
[05:46] 這就有一點蠻明顯的M頭了
[05:48] 現在已經回撤到年限
[05:50] 這不是微軟而已
[05:51] 這是根本硬不起來
[05:53] 再來看蘋果
[05:53] 蘋果股價
[05:54] 本來它一直是七巨頭
[05:57] 在飛漲時回撥的時候
[05:59] 造成的這種穩定性買盤
[06:01] 畢竟消費性電子龍頭
[06:03] 它跟AI相關程度
[06:05] 也不像其他七巨頭
[06:06] 表現幅度來的這麼強烈
[06:08] 結果最近
[06:10] 已經連續跌了好幾天
[06:12] 現在直接衝往半年線
[06:14] 蘋果股價回撤幅度也很大
[06:15] 特斯拉當時建高點以後
[06:17] 目前也在大幅的下跌
[06:19] Meta就更不用講了
[06:21] Meta的確上方烏雲籠罩
[06:23] 從2025年以來
[06:25] 兩波的高點以後
[06:26] 在去年10月11月的
[06:29] 永動機破滅以後
[06:30] 基本上已經在所有均線之下
[06:32] 這個是目前在指數層面
[06:35] 七大巨頭賣壓來得最為沉重的
[06:37] 所以第一個角度就是
[06:38] 其實七巨頭
[06:39] 大部分除了Google以外
[06:40] 股價表現都不是特別好了
[06:42] 那如果連他們股價都在陸續的破底當中
[06:46] 那就說明連穩盤的作用都已經消失了
[06:48] 那內股的輪動可能也跟著結束了
[06:51] 所以呢現在期待的是
[06:52] 這些七巨頭還在穩盤
[06:54] 那穩盤的過程當中
[06:56] 資金先去往中小或者往非七巨頭來做挺進
[06:59] 舉例來說
[07:00] 我們看現在資金已經陸續往493只
[07:03] 七巨頭以外的股票來做挺進
[07:05] 舉例來說
[07:06] 這檔ETF是規模比較龐大的叫做XMAG
[07:10] 就是排除七巨頭的ETF
[07:13] 目前的資金流向
[07:14] 你會發現
[07:15] 從二五年下半年開始
[07:17] 就已經出現了連續六個月的淨流入
[07:20] 而且金額是逐步放大
[07:21] 幾乎每個月以非常驚人
[07:25] 兩倍到三倍的速度快速拉抬
[07:27] 尤其在12月份資金更是大量的挺進
[07:30] 所以就說明著
[07:32] 現在美國股市
[07:33] 已經不是標準的七巨頭在成盤
[07:35] 而是七巨頭在上方平穩
[07:38] 而接下來的493家公司
[07:40] 開始往上衝了
[07:41] 如果我們細看資料
[07:42] 以整個25年來看
[07:44] 其實標普白指數的
[07:45] 493檔股票當中
[07:46] 對於指數貢獻度
[07:48] 高於那7檔股票的
[07:50] 你如果細看
[07:51] 493檔股票
[07:52] 已經開始有EPS的拉昇了
[07:54] 甚至如果我們細看
[07:55] 現在的市場擴散現象
[07:57] 也不僅僅停留在
[07:59] 標普白指數當中
[08:00] 已經往外擴散到
[08:02] 羅素2000指數
[08:03] 中小型股都已經開始復甦
[08:06] 那其實也就意味著
[08:07] 今年看起來就有那種
[08:09] 含苞待放 痞疾泰來的味道
[08:12] 也就是藉由降息週期的挺進讓高估值的股票稍微休息等獲利追上那麼低估值的股票先行進行反應海外點火也是如此啊這兩年其實表現最為亮麗的
[08:24] 都是海外市場
[08:26] 你像是三星股價
[08:27] 韓國股市在去年
[08:29] 是表現全球最亮麗的股市
[08:30] 三星電子最近絞出了
[08:32] 史上最強季度的成績單
[08:34] 去年第四季初
[08:35] 營業利率是高達20兆韓元
[08:37] 年增幅208%
[08:39] 這不只是大幅超出市場預期
[08:41] 也重新整理了公司的新記錄
[08:43] 營收照樣創下歷史性高
[08:45] 尤其現在記憶體價格全面飆升
[08:47] 飆得比黃金還快
[08:49] 低潤平均售價單季跳升超過三成
[08:52] NED大概也幾近有25%左右
[08:56] 所以記憶體的供需緊張
[08:57] 如果一路延續到2026年以後
[09:00] 整個缺貨會造成韓國股市有更進一步的推升
[09:03] 那臺股基本上表現也不再落後
[09:07] 因為臺股這幾年低
[09:09] 基期本來就高了
[09:10] 漲幅不高沒關係
[09:12] 重點是市值膨脹有夠快
[09:14] 如果我們細看
[09:15] 臺股現在雖然是三高
[09:16] 就融資餘額持續墊高
[09:18] 月線乖離擴大
[09:20] 技術指標過熱
[09:21] 可是也正由於
[09:22] 主要就集中在臺積電
[09:24] 它跟美國股市的權重不太一樣
[09:26] 造成臺灣股市
[09:27] 目前市值已經排行到全球第七了
[09:30] 如果我們細看
[09:31] 全球的市值排行榜
[09:33] 第一名當然是美國
[09:34] 有72兆
[09:35] 再來是中國21兆
[09:37] 日本股市7.5兆
[09:38] 印度股市5.3兆
[09:40] 英國4.4兆
[09:41] 加拿大4.05兆
[09:43] 現在臺灣排名第七
[09:45] 有3.4兆
[09:46] 已經開始領先
[09:47] 法國 德國 南韓 瑞士
[09:49] 沙爾地阿拉伯 澳洲 荷蘭
[09:51] 這些市場
[09:53] 都已經開始被臺北股市
[09:55] 給拋在腦後
[09:56] 你就足以彰顯
[09:57] 這個臺積電的市值
[09:58] 膨脹規模到底有多大
[10:00] OK 這個是我們看到
[10:01] 整個年初內股輪動的跡象
[10:03] 那要回過頭來看
[10:05] 那到底從總體而言
[10:06] 現在的AI估值
[10:08] 是不是已經到極端了
[10:09] 這一次不是回撥
[10:10] 而是破滅呢
[10:11] 我們過去看法還是比較清楚一點
[10:13] 其實AI行情當然不算短
[10:16] 可是其實更類似於本一筆回撥
[10:18] 而並不是破滅的開始
[10:20] 這是我的看法
[10:21] 那本一筆回撥有時候
[10:22] 你看正常回撥是要三個月
[10:24] 結果從川普上任以後
[10:26] 現在都縮短到一個月
[10:27] 不然變三週
[10:28] 本來回撥時間長短就不一樣
[10:31] 你只有高低積極的判評而已
[10:32] 那從股票市場迴圈來看
[10:34] AI行情的確已經走了一段時間
[10:36] 我們回顧從1900年以來
[10:38] 全球十次的主要股市泡沫
[10:40] 平均持續時間大概是2.5年
[10:43] 從低點到高點漲幅是244%
[10:46] 相較之下
[10:47] 這一波AI驅動的多頭
[10:48] 已經進入到第四年了
[10:51] 因為從22年
[10:52] 應該講23年
[10:54] 24年25年
[10:55] 已經連續漲三年了
[10:56] 那到26年就是進入到第四年優勢
[10:59] 那的確從整個22年
[11:01] 如果從擴存迴圈
[11:02] 年底的那個底部低點來算
[11:04] 標普白指數目前是上漲79%
[11:07] 納指上漲130%
[11:09] 就是它漲幅已經過
[11:11] 也沒有到一半
[11:12] 但是漲幅呢
[11:14] 的確已經不算小了
[11:15] 但是第二層角度
[11:16] 是把持續時間
[11:18] 跟漲幅兩個最直觀的指標
[11:19] 拉在同一個平面
[11:21] 就是AI行情的時間
[11:22] 其實蠻長的
[11:24] 就拉的時間
[11:25] 其實已經比我們想象中
[11:27] 還要來得久了
[11:27] 可是它漲幅也不到特別極端
[11:30] 歷史上的典型泡沫
[11:31] 雖然平均只有2.5年
[11:33] 但是都是200%以上
[11:34] 現在70%
[11:36] 這個要說多也不算多
[11:37] 但也不算特別少
[11:39] 所以按照這樣的一個角度而言
[11:41] 是不是說明著
[11:42] 市場上其實隨時在盯著
[11:44] 這些AI股的估值呢
[11:46] 就是每一次漲高了
[11:47] 我就等你獲利追上來
[11:49] 每一個季度創高了
[11:50] 我就先等等看
[11:51] 下一個季度的財報公佈出來
[11:53] 是表現怎麼樣
[11:54] 所以揮達的本益比
[11:56] 一度來到100多倍
[11:57] 可是慢慢的變80倍
[11:59] 70倍
[11:59] 60倍
[12:00] 到現在只有40幾倍了
[12:01] 這個就是市場上
[12:02] 一邊懷疑中成長的態勢
[12:05] 給投資朋友作為一些思考
[12:07] 當然按照這樣的一個角度
[12:08] 就說明著標普派指數
[12:10] 按照喜樂平均本益比來看
[12:12] 估值的確是貴的
[12:13] 可是沒有到時空
[12:15] 基本上大概就僅次於2000年
[12:17] 那麼有不同人的說法
[12:18] 認為這次的泡沫
[12:20] 應該要比2000年來得更大一點
[12:21] 原因在於
[12:22] 它可能是人類實質生產力的提升
[12:25] 所以我們要先給它透支一些預期
[12:27] 那有另外一種角度是
[12:29] 沒有
[12:29] 這一次就是大家開始習慣用黑萊
[12:32] 就跟2000年大家習慣用網路一樣
[12:34] 技術是不會泡沫破滅的
[12:36] 可是我們一定會算力過剩
[12:38] 終究會迎來這一天
[12:39] 就好像當時的光鮮過剩
[12:41] 那最後這些光鮮
[12:42] 它以低價賣出以後
[12:45] 最後還是能夠造福人類
[12:46] 但資產的泡沫破滅是不可逆的
[12:48] 這就兩種角度了
[12:50] 不過很多人的看法是這樣
[12:51] 想說市場資金的輪替
[12:54] 其實它就不斷在懷疑中持續成長
[12:57] 我們只要確定
[12:58] 那不要像95年到2000年
[13:01] 從納值1000點漲到6000點
[13:03] 5年內臺股從1萬點
[13:06] 應該講五年內
[13:07] 臺股從2萬點到12萬
[13:09] 那個就有點離譜
[13:10] 可是你說按照這種長法
[13:12] 這個本益比也沒有完全失控
[13:14] 其實還在本益比回撥的範圍之內
[13:16] 不過市場資金輪替就是這樣子
[13:18] 它本來就會自動的識別高低基期
[13:21] 包括現在的資訊來得更加流通
[13:23] 它其實也點出投資裡最難
[13:26] 也最常被低估的變數
[13:28] 那就是其實人性是不難預測的
[13:31] 但是你要有夠大的誘因
[13:32] 你才會去識別說
[13:33] 那現在本益比高了
[13:35] 那我就先買幾隻飛七巨頭好了
[13:37] 現在大型股本益比都高了
[13:40] 那我去買一些羅素2000吧
[13:42] 本來人性就不難預測
[13:43] 但是你要有夠大的誘因
[13:45] 導致他會願意去買
[13:46] 所以我們講說不是不理性
[13:48] 而是說誘因夠不夠大
[13:50] 迅速調整行為和信念
[13:52] 在今年看起來
[13:53] 就是整個26年的主流
[13:54] 就好像之前最有名的段子
[13:57] 你手上有一個億
[13:58] 和你女朋友同時掉到河裡
[14:01] 那你要先撈哪一個
[14:03] 那當然是先撈一個億
[14:04] 因為你撈到一個億以後
[14:06] 它自己就游回來了
[14:07] 就是人性本身不難預測
[14:11] 但真正難的判斷是什麼
[14:12] 是誘因什麼時候大到
[14:14] 會足以讓人去改變行為
[14:16] 之前就是因為AI有極大誘因
[14:18] 現在本益比調高了
[14:19] 大家還在等財報
[14:21] 本益比那麼高
[14:23] 估值那麼高
[14:23] 先買買那些降息
[14:25] 能夠受惠的景氣的復甦股
[14:27] 用這樣的一個角度
[14:28] 大家只是在尋找更多的誘因
[14:30] 我們只要識別
[14:32] 整個總體景氣的高低位階
[14:33] 就可以了
[14:34] 那當然回過頭看
[14:35] 也不是每個人都是這樣的想法
[14:37] 像Michael Berry
[14:38] 他最近的說法
[14:40] 其實就很明顯
[14:41] 他雖然沒有放空特斯拉
[14:43] 但他仍然直言
[14:44] 特斯拉相關概念股
[14:46] 目前的估值
[14:47] 實在是太誇張
[14:49] 他認為目前的交付量
[14:51] 低不如預期
[14:52] 但是股價卻能夠在之前
[14:54] 持續創下歷史性高
[14:56] 那即便當前的本益比倍數
[14:58] 都使得這隻股票
[14:59] 其實處於非常極端的泡沫
[15:01] 這是他的說法
[15:02] 那加上按照目前
[15:03] 美國股市過往的經驗
[15:05] 的確我們不能講
[15:07] 標準三牛一熊了
[15:08] 但美國股市通常每三年
[15:10] 迎來一個消費性的電子迴圈
[15:12] 這很正常
[15:12] 比如說我們看到
[15:14] 這一波23年24年25年
[15:16] 連續三年的多頭以後
[15:18] 那在22年當時就發生了
[15:20] 一個庫存調整
[15:21] 18年的庫存調整
[15:22] 15年庫存調整
[15:23] 那包括08年11年的庫存調整
[15:26] 三年大概就會迎來
[15:27] 新一波的調整
[15:28] 那現在大家的看法
[15:30] 不同的地方在於
[15:31] 很多人認為AI拉抬
[15:33] 已經完全破壞了消費性電子迴圈
[15:36] 就是就算接下來今年
[15:38] 明年手機賣的也夠差
[15:40] 完全沒有人要換筆電
[15:41] 它都不會擋住AI的漲幅
[15:44] 因為AI就可以蓋過這一切
[15:46] 只要私服器賣的好
[15:47] 手機沒人用又有什麼關係呢
[15:49] 這就是我們看到的真實跡象
[15:51] 不過回過頭說
[15:53] Michael Burry以及各大投行
[15:55] 在本年度遇到的一個極大問題就是
[15:57] 其實大家都有一個共識
[15:59] 就是我們的估值推升
[16:01] 其實是建立在某種貨幣寬鬆的環境之上
[16:04] 就是我們是預估會有很多錢
[16:06] 我們才可以預估估值可以拉昇
[16:08] 我們不太可能去預估一個在信用收縮貨幣收縮的時代
[16:13] 估值還可以無條件的往上升
[16:15] 而現在今年由於IPO量級陸續登場
[16:19] 像是BitX今年然後到明年後年陸續上市以後
[16:24] 整個AI的量級它就會改變整條歷史
[16:27] 我們舉例來說
[16:28] 因為過去幾年
[16:29] 生存式AI幾乎是在
[16:31] 沒有被真正質疑的情況底下
[16:32] 一路的往前衝可是到26年這種先相信再說的空間就開始明顯收縮大家看的是生態系現在最聚焦也是最無法閃躲的焦點就是錢的問題
[16:44] 大型AI實驗室的現金的燃燒速度
[16:47] 公開市場已經透露出一些不安了
[16:49] 現在反而是私募圈
[16:51] 過去一年創投
[16:52] 對於頂級AI新創的下週規模
[16:54] 已經超過上一輪的創投高峰
[16:56] 如果我們細看
[16:57] 這個是美國AI投資量級的歷史
[17:01] 1990年到網路泡沫之前
[17:03] 當時Amazon大概燒掉了30億美元
[17:06] 那電動車的長跑選手特斯拉
[17:08] 16年間他花了40億美元
[17:11] 共享經濟的代表Uber
[17:12] 在十多年前擴張期
[17:15] 花了接近有300億美元
[17:17] 好那這樣回到深層式AI
[17:18] 那個數字是完全跳了一個維度
[17:21] 你像Entropic
[17:22] 預估24年到27年會消耗200億美元
[17:25] OpenAI預估24年到29年會消耗1400億美元
[17:29] 這個就是把過去十幾年的
[17:31] 明星新創的新創的這種燒錢記錄
[17:34] 一次拉開好幾個等級
[17:36] 那這麼高強度的新創資金
[17:40] 那市場的貨幣條件
[17:42] 如果不夠寬鬆的話
[17:43] 就會有搶錢的問題
[17:45] 所以的確
[17:46] 今年的估值很大程度
[17:47] 是建立在相對寬鬆的貨幣環境上
[17:50] 那第二條件就是
[17:52] 那你要知道
[17:53] 我們不能保證每家企業的新創
[17:56] 在投資AI都會獲得極大成功
[17:58] 也許大元模型
[17:59] 最後並不是OpenAI勝出
[18:01] 也許當前的自駕車
[18:03] 不能百分之百
[18:04] 一定是特斯拉完全壟斷
[18:05] 按照這樣的一個角度
[18:07] 等同於市場上
[18:08] 就會依據這些利空因子
[18:10] 適時的做估值回撥
[18:12] 所以大概就可以
[18:13] 依稀的瞭解整個26年的走向
[18:15] 我們是判斷
[18:16] 2026年絕對不會缺
[18:17] 估值回撥的空間
[18:18] 每年至少個一次兩次
[18:20] 這很正常
[18:21] 重點在於
[18:22] 這個估值回撥
[18:23] 是不是泡沫破滅
[18:24] 看起來不太像
[18:25] 當然細節
[18:26] 我們到聽友會
[18:27] 再來跟投資朋友
[18:28] 做更進一步的商談
[18:29] 道瓊工業指數
[18:31] 上漲270點
[18:32] 0.5%
[18:33] 收在49,266點
[18:34] 納指下跌104點
[18:36] 0.4%
[18:37] 收在23,480點
[18:38] 標普上漲0.5點
[18:40] 0.01%
[18:41] 收在6,921點
[18:43] 費辦跌比較重
[18:44] 費辦因為最近破高
[18:46] 下跌138點
[18:47] 1.83%
[18:48] 收在7,436點
[18:51] 那當然了
[18:52] 這之前有很多網友說
[18:53] 我想要等到AI出現
[18:55] 真正能夠賺錢的應用
[18:57] 財報數字
[18:58] 能夠反映價值之後
[19:00] 再買這些AI股
[19:01] 我現在就學巴菲特
[19:02] 先買那些護城河
[19:04] 長的股票
[19:05] 也可以
[19:06] 但是就會輸大盤
[19:07] 但是在投資層面
[19:09] 你往往其實
[19:10] 如果用結果來確認趨勢
[19:13] 用高價來證明自己安心
[19:15] 那你要知道市場定價
[19:17] 永遠都走在商業落地之前
[19:19] 等你生活中明確感受到
[19:21] AI已經改變流程
[19:23] 企業獲利大幅改善以後
[19:24] 股價
[19:25] 你不要說反映未來兩三個月
[19:27] 它已經反映完
[19:28] 未來兩三年的成長預期了
[19:30] 所以近來大多數股票
[19:32] 現在全職膨脹的都已經是AI股
[19:35] 我就倒覺得
[19:36] 我們不如就直接相信
[19:38] 這個AI的科技迴圈算了
[19:40] 持續有穩定的資產參與其中
[19:42] 有時候投資真正的風險
[19:45] 往往不在於判斷錯誤了
[19:47] 往往不在於自己認錯了
[19:50] 而在於你太晚認錯
[19:52] 你已經過了好幾年你才認錯
[19:54] 這是最大的風險
[19:55] 之前有個經典故事
[19:56] 講說一個義大利老人
[19:58] 來找神父懺悔
[20:00] 神父問老人
[20:01] 你要懺悔什麼
[20:02] 老人說
[20:03] 二戰的時候
[20:04] 有一次有一個美麗的姑娘
[20:06] 被納粹追
[20:08] 她逃到我家請求躲藏
[20:11] 她實在太美了
[20:13] 所以我就要求她每天服侍我
[20:16] 我這麼做真的是大錯特錯
[20:19] 所以我要來懺悔
[20:21] 請求主的原諒
[20:22] 神父一聽
[20:23] 那都已經是70年前的事情了
[20:26] 你不用放在心上
[20:27] 但是上帝會公正的評判你這個人的
[20:30] 老人一聽就踏實很多
[20:32] 神父謝謝你的教導
[20:34] 我還有一個小問題
[20:35] 什麼問題
[20:36] 我用不用告訴他
[20:38] 二戰已經結束了
[20:39] 重點不在於認錯
[20:43] 在於你認錯的時間實在是太晚了
[20:46] 市場不會因為你的原始邏輯
[20:48] 曾經合理
[20:49] 他就停下來
[20:51] 然後等你修正
[20:52] 錯誤一旦被拖成時間成板
[20:54] 那個損失就會從可控變成結構性的傷害
[20:58] 很多投資人也不是看不出
[21:00] 這個趨勢已經形成了
[21:01] 那捨不得砍掉部位
[21:02] 或者捨不得回補部位
[21:04] 期待市場回頭能夠證明自己對
[21:07] 結果就一路從小錯誤
[21:08] 一路滾成大洞
[21:09] 那竟然整個大盤就是AI
[21:11] 那其實你就不如相信AI
[21:14] 當然我們有點科技樂觀論診的味道
[21:17] 大家參考一下我們的意見就好了
[21:19] 好我們回過頭看
[21:20] 那基本上如果AI要好
[21:22] 那整個消費的經濟環境
[21:24] 其實不能夠差
[21:25] 也就是說
[21:25] 整體我們必須看到
[21:27] 今年的總經環境
[21:28] 仍然在持續擴張
[21:30] 並且在流動性預期
[21:31] 擴大的空間底下
[21:32] 才有進一步的估值提升
[21:34] 細看一下
[21:35] 美國最新所公佈的
[21:37] 幾項經濟資料
[21:38] 首先是製造業
[21:39] 在26年收官時
[21:41] 12月份的ISN製造業指數
[21:43] 只有47.9
[21:44] 這個就低於市場預期了
[21:46] 而且在50的龍沽線以下
[21:48] 這是24年10月份以來的
[21:50] 最差水準
[21:50] 也反映企業
[21:52] 正在以近一年來
[21:53] 最快的速度來消化原物料的庫存
[21:55] 需求看起來是偏弱的
[21:57] 不過呢
[21:58] 通常看美國的ISMPNI
[22:00] 來對照美國經濟也不準
[22:01] 因為美國也不是什麼製造大國
[22:03] 現在是消費大國
[22:04] 所以如果我們看標普
[22:06] 現在的服務畢業PNI
[22:09] 其實目前為止都還在正值
[22:11] 也就是說
[22:12] 現在美國的真實跡象是
[22:14] 如果是從soft data
[22:16] 也就是軟資料來做觀察
[22:18] 你會發現
[22:19] 也就是綠色線
[22:21] 它正在瘋狂的往下掉
[22:22] 尤其從去年10月份就已經開始了
[22:24] 也就是問你的信心
[22:26] 因為PNI是信心
[22:27] 然後消費者信心指數
[22:29] 密歇根大學的通膨預期指數
[22:31] 所有的指數都顯示
[22:32] 美國人覺得經濟有夠爛
[22:34] 而且是連續三個月的高速下滑
[22:36] 可是我們看Hard Data
[22:37] 也就是從消費水準來看
[22:39] 從總GDP水準來看
[22:41] 它就是勉強在高位
[22:43] 然後這就體感溫度
[22:44] 跟真實經濟的落差
[22:46] 真實經濟
[22:47] GDP就是無法衰退
[22:48] AI就是能夠帶動投資潮池去創高
[22:51] 投資而消費而負債
[22:54] 你能夠看到的數字
[22:55] 過去幾個月都在創高
[22:56] 可是呢
[22:57] 你的體感層面
[22:58] 所有數字全部都在收縮
[23:00] 好
[23:00] 這個是美國經濟的概況
[23:01] 其實臺灣也差不多了
[23:03] 所以我們要真正觀察的效果是
[23:04] 什麼時候才會影響到
[23:06] hard data
[23:06] 什麼時候才會影響到
[23:08] 真實的資料
[23:09] 軟資料就是你的心情不好嗎
[23:11] 你覺得物價很高
[23:12] 購買力被侵蝕嗎
[23:13] 那雖然會造成你的消費稍微收縮
[23:16] 也不至於失業
[23:17] 我們重點就看你
[23:19] 那你會不會失業嗎
[23:20] 現在最新所公佈的職位空缺數
[23:22] 在最新11月份的表現
[23:24] 是掉到714萬個
[23:26] 這個就要觀察了
[23:27] 因為這不只是比10月份大幅減少
[23:29] 而且是24年9月份以來的最低
[23:32] 這算是爆冷門
[23:33] 尤其在住宿餐飲
[23:35] 運輸倉儲
[23:36] 公用事業
[23:37] 批發業全面降溫
[23:39] 這個很重要
[23:40] 你如果說裁的是AI
[23:41] 行政人員
[23:43] 裁的是科技業
[23:44] 那就算了
[23:44] 現在職缺減少的居然不是科技業
[23:47] 是服務業
[23:48] 這個影響就很大了
[23:49] 當然其中最刺眼的是政府部門
[23:52] 政府部門已經崩到2021年以來最低
[23:54] 川普真的不怕敗票
[23:56] 真的在進行大規模的政府資本準結
[23:59] 好那表面之下
[24:01] 我們看到實質招募的動能
[24:03] 正在快速減弱
[24:04] 不過現在來看
[24:06] 要觀察的是企業到底是減少開缺
[24:09] 還是主動裁員
[24:11] 這個兩大區別
[24:12] 因為目前從挑戰者號的裁員數量
[24:15] 3.5萬人
[24:16] 這數量蠻低的
[24:17] 從資料來看
[24:19] 沒有人失業
[24:20] 可是企業不再招人了
[24:22] 它就會形成兩層效果
[24:24] 就業市場正在緩步的淡化
[24:26] 如果現在從失業人口數
[24:28] 拿來跟職位空缺數來做比對
[24:30] 已經連續兩個月
[24:32] 失業人口數是比職位空缺數還要來得高
[24:34] 就即便所有失業的人
[24:36] 剛好都可以找到那份開缺的職位
