[00:00] 投資朋友歡迎收聽早晨財經速解讀
[02:46] 歐洲所採取的動作
[02:48] 與此同時
[02:49] 法國總統也宣佈
[02:50] 未來幾天會陸續加碼海空相關軍力
[02:54] 這一輪的八國聯軍遠征格林蘭
[02:57] 特意繞開北約避開美國的歐洲行動
[02:59] 其實也是一種明確的訊號
[03:01] 那這一切的源頭
[03:02] 當然是我們看到川普這次針對格林蘭的施壓
[03:05] 在週末也正式發動了歐美關稅戰
[03:08] 2026年想不到這麼快就迎來第二次關稅大戰了
[03:12] 川普宣佈從本年度2月1號開始
[03:15] 丹麥 挪威 瑞典 法國 德國 英國 荷蘭和芬蘭
[03:20] 這八個國家出口到美國的商品
[03:23] 全面多加徵10%關稅
[03:26] 6月1號再拉高到25%
[03:28] 直到完成收購格陵蘭為止
[03:31] 那川普也解釋這場行動
[03:32] 是為了這些國家的軍隊
[03:34] 目前都已經前往格陵蘭
[03:36] 那這些認為這些國家軍隊
[03:37] 前往格陵蘭
[03:38] 是非常動機不明的
[03:39] 我們有美軍在那邊
[03:40] 為了維護全球的和平和安全
[03:42] 必須立即採取強而有力的措施
[03:45] 就是針對你來克關稅
[03:47] 那這些國家呢
[03:48] 按照川普的說法
[03:49] 正在玩一場極其危險的遊戲
[03:51] 為了維護全球和平
[03:53] 他必須採取這樣的一個動作
[03:55] 他也強調
[03:55] 美國多年來針對歐洲國家
[03:58] 已經提供了經濟和安全上的優惠
[04:00] 現在呢
[04:01] 就是歐洲人丹麥人
[04:03] 適度回饋的時候了
[04:05] 丹麥現在缺乏保護格林蘭的能力
[04:07] 所以呢
[04:08] 現在中國俄國的潛在威脅
[04:10] 就是美國介入的鋪陳的正當性
[04:13] 在這樣的一個效果底下
[04:14] 他也描述說
[04:16] 丹麥的防衛力量
[04:17] 只有兩輛狗拉雪橇
[04:19] 其中一輛還是最近才添購的
[04:22] 所以啊
[04:22] 美國派了海豹部隊跟哈士奇對戰
[04:26] 那肯定按照這次邏輯
[04:28] 搞不好川普有一天指控北極熊販毒
[04:31] 但不管怎麼說
[04:32] 這一次的市場緊張
[04:33] 的確可能股票市場影響還好
[04:36] 但對於貴金屬價格的提升效果
[04:38] 已經開始領先反應了
[04:40] 其實裡頭最崩潰的應該是英國
[04:42] 為什麼
[04:42] 因為英國聽完都要崩潰
[04:45] 本來我不是最早跟你簽好10%關稅的嗎
[04:49] 莫名其妙又加徵10%關稅
[04:50] 這樣子就餓死了
[04:51] 那臺灣只有15嘛
[04:53] 所以美歐關稅佔大月熊
[04:56] 這個東亞經濟體越獲利
[04:58] 或者川普的想法也是
[05:00] 用克你的關稅來買你的地
[05:03] 這樣子好了
[05:05] 買倒的錢就有著落了
[05:06] 那歐洲各國當然是反彈非常迅速
[05:09] 歐盟官員緊接進行回應
[05:11] 關稅會破壞跨太平洋關係
[05:14] 並且引發危險的惡性迴圈
[05:16] 那馬克宏更是直言不可接受
[05:18] 那多個北約成員國已經同意
[05:20] 增兵強化格陵蘭的安全
[05:22] 丹麥和格陵蘭各地也出現大規模抗議
[05:25] 格陵蘭總理也強調
[05:26] 未來由我們自己來決定
[05:28] 那的確了
[05:29] 現在已經到達的人數
[05:31] 有沒有到千人都不一定
[05:33] 人數是不多
[05:34] 但是呢
[05:34] 魔戒遠征軍好像也才九個人嘛
[05:38] 感覺是美國故意要逼迫歐洲
[05:41] 加派軍力進駐格陵蘭
[05:44] 這樣子就可以把歐盟當作
[05:46] 防止中俄入侵的第一道防線
[05:48] 又可以節省軍費
[05:49] 如果他本身的意圖
[05:51] 真的不是收購格陵蘭
[05:52] 就是希望歐洲你來派軍隊
[05:54] 來當我們格陵蘭的前線
[05:57] 攤頭部隊
[05:58] 阻止敵人登陸
[05:59] 用這樣的一個角度
[06:00] 好像就蠻合理的
[06:02] 但是不管怎麼說
[06:03] 歐洲現在要保住格陵蘭
[06:05] 幾條路都不好走
[06:06] 現在大概有三種思路
[06:08] 第一種是設法降溫
[06:10] 證明現有的制度
[06:11] 就能夠處理安全問題
[06:12] 如果不行
[06:13] 再考慮進行阻嚇
[06:14] 最後只能期望
[06:16] 川普有一天
[06:17] 自己就轉移注意力了
[06:18] 很常這樣子嘛
[06:19] 川普可能要搞下一件事情
[06:21] 這件事情就先放著
[06:22] 降溫的做法
[06:23] 包括成立高層工作小組
[06:25] 來討論北極安全
[06:26] 在北約的框架下加強巡邏
[06:29] 並且順著川普的話承認
[06:30] 關心北方安全是有道理的
[06:33] 你用這樣的一個方式
[06:34] 不要浪出主權
[06:35] 那是允許美方加派軍力
[06:37] 以及歐洲加派軍力來保護格陵蘭
[06:40] 不過呢
[06:41] 美方早就已經可以依據協議
[06:43] 在格陵蘭繼續駐軍
[06:44] 擴大駐軍
[06:45] 島上其實也在北約的保護之下
[06:48] 中俄潛艇的出沒
[06:49] 現在說法還是缺乏一些證據
[06:51] 但是開採稀土和礦產成本又極高
[06:54] 在這樣的一個效果底下
[06:56] 川普感覺真的心裡
[06:58] 打從心裡就是希望擁有格林蘭
[07:00] 把格林蘭寫進自己的政治遺產
[07:02] 在目前白宮的會談當中
[07:05] 丹麥最有可能傳出的訊息是
[07:08] 跟北約進行共同防務
[07:10] 而由美軍所主導的折中方案來做降溫
[07:13] 避免事態進一步升溫
[07:15] 基本上主要是來自於格林蘭
[07:17] 有一個極大誘因
[07:19] 就是土地很多
[07:20] 格林蘭全島只有5.6萬人
[07:22] 可是如果我們細看地圖
[07:24] 幾乎全部都粘在西岸
[07:27] 或者少數的東岸港口
[07:29] 內陸只剩一些兵幹
[07:31] 或者零星的科研基地
[07:32] 如果能夠開放部分的空白區域
[07:35] 供美軍來部署或者主導防務
[07:37] 或許是一個解決方案
[07:39] 或者川普真正的意圖
[07:40] 是希望歐洲可以加派軍力
[07:42] 來保衛格林蘭
[07:44] 在這樣的效果底下
[07:45] 邏輯就變成
[07:46] 川普想要格陵蘭島
[07:48] 他是對歐盟來徵收關稅
[07:50] 直到他們同意美國可以收購格陵蘭島
[07:53] 川普就利用對於歐盟收取關稅所獲得的收入
[07:56] 最終在歐盟屈服底下購買格陵蘭島
[07:59] 川普就拿到了格陵蘭島
[08:01] 而買單的是歐盟
[08:02] 這個是最想象中最川普式的結局
[08:06] 但不管如何
[08:07] 到底美歐關稅戰的開打是否會大幅影響到資產價格變化看起來股市反應不如金屬價格的買盤劇烈不過歐洲現在也很尷尬大家有沒有發現過去幾個月
[08:19] 不管是伊朗問題
[08:21] 丹麥問題
[08:22] 烏克蘭問題
[08:23] 委內瑞拉問題
[08:24] 你總是能夠聽到歐洲在那裡發聲
[08:28] 不過似乎都是說說話
[08:29] 也沒有人真的在意
[08:31] 歐洲除了說話
[08:32] 好像也沒有能力做任何實質的事
[08:34] 也就是說歐洲已經有點變成那種背景樣板這樣子
[08:37] 不管是經濟實力陸續被東亞超越
[08:40] 軍事實力美國還是主導
[08:43] 技術實力看起來還有很明顯的變化
[08:46] 也被東亞市場給顛覆
[08:48] 甚至現在在民意代表性上
[08:51] 到底往左還是往右
[08:52] 看起來都已經受到質疑
[08:54] 所以當然我們有時候講說
[08:56] 歐洲在全球的影響力示威
[08:58] 可是現在影響力示威最大是誰
[09:01] 剛才講到的八國聯軍
[09:02] 有沒有發現少了一國
[09:04] 沒有加拿大
[09:05] 這次八國聯軍沒有加拿大
[09:07] 格林南明明就在隔壁而已
[09:09] 那照理來講
[09:10] 應該要共同防禦
[09:12] 不過呢
[09:12] 現在看起來
[09:13] 加拿大很明顯
[09:15] 過去已經被川普給發現了
[09:17] 美國幾乎就是他的發動機的引擎
[09:20] 美國現在跟加拿大的貿易關係
[09:23] 加拿大有75%的出口都到美國
[09:26] 製造業基本也是為美國加工
[09:28] 那美國一旦關閘
[09:30] 加拿大立刻就是有失速的風險
[09:32] 所以我們才講說
[09:33] 為什麼這一次
[09:34] 美方對於加拿大也抓著實時的
[09:37] 格林蘭問題是一個
[09:38] 加拿大有沒有可能成為美國的下一週
[09:41] 有可能
[09:42] 所以在這樣的一個效果底下
[09:44] 我們後續要更進一步觀察的是
[09:46] 那唯一能夠鉗制住川普現在的收購意願
[09:49] 只有美國人自己了
[09:51] 我們事實上如果把民調攤開來看
[09:53] 目前美國選民針對動用武力
[09:55] 幾乎是全面反對的
[09:57] 整體註冊選民當中有86%反對
[10:00] 就算是共和黨裡頭
[10:01] 反對比例也高達68%
[10:03] 民主黨和無黨派更是接近95%
[10:06] 這也說明著這件事情
[10:08] 並不是共和黨和民主黨當中的對立議題
[10:11] 而是市場上就是不太希望川普採取軍事來奪取格林蘭
[10:16] 在國內的民意基礎上是站不住腳的
[10:19] 所以市場上唯一能夠期待的就是美國的選民
[10:21] 能不能抑制住川普不要採取如此極端的政策
[10:24] 也許最終希望達到的
[10:27] 只是能夠加派歐洲軍隊或者美國軍隊來保衛格林蘭
[10:31] 當然關稅之王登場以後
[10:33] 川普現在也把關稅變成收購格林蘭的談判條件
[10:37] 川普呢
[10:38] 在過去兩天在出售球上也丟出了一張黑白個人照
[10:42] 你知道在華人丟黑白都是有人走了嗎
[10:45] 但在美國就是很有那個image的形象
[10:49] 自封自己為the tariff king
[10:52] 關稅之王
[10:53] 他自己都承認自己是關稅之王
[10:55] 這個要開啟他的爭官之志
[10:58] 爭取關稅之志
[11:00] 甚至呢
[11:01] 如果接下來諾貝爾有關稅獎的話
[11:03] 他應該也是唯一提名人
[11:05] 他也是非常享受這樣的一個操作
[11:07] 不過我們必須承認
[11:08] 因為現在他所援引的
[11:10] 對於歐洲的關稅戰
[11:11] 仍然來自於IEPA
[11:13] 國際經濟緊急權利法
[11:15] 那這個法源
[11:16] 目前正在最高法院
[11:18] 隨時都有可能判決
[11:19] 我是不太相信最高法院
[11:21] 會一路拖到中期選舉結束之後
[11:23] 才公佈
[11:23] 但是川普這樣子惡搞
[11:25] 那其實會給最高法院
[11:28] 更多判他違憲的理由
[11:29] 你對歐洲克取緊急狀態關稅
[11:33] 跟格林蘭
[11:34] 他真的有符合他的法源依據嗎
[11:37] 所以在這樣的一個效果底下
[11:38] 市場上反應不大
[11:40] 是因為川普從上臺以後經常毀約
[11:42] 下禮拜就返回了
[11:44] 談定了
[11:44] 如果他出現Taco也是很正常的
[11:47] 這兩個月他就豁免了傢俱
[11:49] 和部分的商品
[11:50] 以及農產品關稅
[11:51] 川普其實我們知道
[11:53] 他的世界當中
[11:54] 時間一向都是過得比較快
[11:56] 現在更是按下了快轉鍵
[11:58] 從第二任任期開始
[12:00] 他就比第一任任期
[12:01] 還來得更為激進
[12:03] 但它並不是我們看到的
[12:05] 承擔一定代價之後往前推
[12:07] 而是非常的快速
[12:09] 乾淨低成本的勝利
[12:11] 所以一旦遇到需要付出高成本的
[12:13] 也許就轉一個戰場
[12:15] 所以在這樣的一個效果底下
[12:16] 我們後續要觀察的就是
[12:18] 內部第一選民的反對是一方面
[12:20] 第二大方面就是共和黨內部的外交路線
[12:23] 其實我們看到在過去兩個月
[12:25] 白宮當中有非常多的紛爭
[12:27] 一派呢
[12:28] 認為美國MAGA派的優先本質
[12:30] 就是不干預主義
[12:32] 核心精神是反帝國反戰爭
[12:35] 你要先顧好共和國本身
[12:36] 而不是四處的去輸出武力
[12:38] 那很多回顧歷史過程當中
[12:41] 川普當年也喊說
[12:42] 不要再打政權更迭的戰爭
[12:44] 任內不要有新戰爭
[12:46] 這條新的脈絡
[12:47] 不過最近他卻對外採取了非常多的動作
[12:50] 那另外一派的Margapile
[12:52] 則是認為
[12:52] 美國已經不是當年的
[12:54] 弱小的新生共和國
[12:56] 它不是那種可以完全抽離於
[12:58] 全球事務以外的國家
[13:00] 那身為全球強權
[13:02] 國家就必須依據自己的自身利益形式
[13:05] 包括能源 礦產 地緣戰略
[13:07] 為了讓美國偉大
[13:09] 我必須打其他國家
[13:10] 這個是我們的根本
[13:12] 那另外一種MAGA派就是
[13:13] 不要處理其他國家的事情
[13:15] 我們專注於自己的內政
[13:16] 在這樣的一個效果底下
[13:18] 內部的分裂也開始逐步瞭解
[13:20] 也逐步的升溫
[13:21] 當然最後所形成的效果
[13:23] 就是貴金屬買盤的創高
[13:25] 和軍工股的飆升
[13:27] 我們仔細觀察
[13:28] 隨著美國對於格林蘭的強硬表態升溫
[13:31] 今年歐洲國防類股在2026年一開年就強勢上攻
[13:36] 不過跟烏二戰事沒有什麼太大關係
[13:38] 主要是格林蘭的問題
[13:39] 歐洲國防航太指數在本月份已經大漲了15%
[13:43] 這大概是去年全年曆史漲幅的四分之一以上
[13:47] 個股表現更為亮麗
[13:49] 很多瑞典概念股或者德國軍工股
[13:52] 漲幅都是32% 20%以上
[13:54] 那這一波行情也並非空穴來風
[13:56] 這一波的成長已經導致一方面
[13:59] 北約整體調高本國的軍事支出比例
[14:02] 第二
[14:03] 北約對外投資
[14:05] 包括一些領地投資
[14:07] 或者對於格陵蘭的投資
[14:08] 都有進一步對於國防部的想象空間
[14:11] 甚至我們看到這一次
[14:13] 丹麥主權基金
[14:14] 也大幅的加碼格陵蘭來進行長線佈局
[14:17] 礦產和能源
[14:18] 也就是說
[14:19] 歐洲國家的老錢
[14:21] 已經開始向外進行投資
[14:22] 來確保在地緣政治的動盪當中
[14:25] 我們有非常穩定的原物料的供應
[14:28] 不管是針對鎳銀鐵等等
[14:31] 事實上北約前秘書長
[14:33] 這一次也痛批川普的黑幫式語言
[14:36] 拿格林蘭來轉移焦點
[14:37] 但最後我們要觀察的事情是
[14:39] 美國如果真的對於格林蘭
[14:41] 有采取任何的軍事動作
[14:43] 那的確所形成的股市賣壓
[14:45] 可能就會因此而湧現
[14:47] 要不然只是雙方的紛爭
[14:48] 那最終應該就是造成
[14:50] 軍工股和黃金的上漲
[14:51] 如果我們細看
[14:52] 歐洲如果真的受到美軍的侵犯
[14:55] 第一時間大概會要求
[14:56] 關閉境內所有的美軍基地
[14:58] 從德國到義大利到英國
[15:00] 會直接切斷美國向中東
[15:02] 與非洲投射力量的能力
[15:04] 在經濟層面
[15:05] 歐盟作為全球最大的單一市場
[15:07] 會啟動集體安全和反制機制
[15:09] 美國企業會被排除在歐洲市場之外
[15:12] 資產遭凍結
[15:13] 雖然現在都是隻是講講
[15:14] 只是給美方做施壓
[15:16] 但這些動作如果逼不得已
[15:18] 歐盟還是有可能會採取的
[15:19] 當然最後就是心理和制度層面的後果
[15:22] 因為等同於信任的永久斷裂
[15:25] 你不能夠入侵一個民主盟友
[15:27] 然後又指望幾年之後
[15:29] 靠選舉輪替
[15:30] 你就靠一句盜竊修復關係
[15:32] 我們正常邏輯都這樣
[15:33] 川普做的鳥事
[15:35] 也許下一任總統
[15:37] 不管是共和黨級
[15:37] 還是民主黨級
[15:38] 也許就能夠修復的餘地
[15:41] 但對於國家和國家層面
[15:43] 你像免籤消失
[15:45] 法律的保障消失
[15:47] 立刻會受到衝擊
[15:48] 其他國家就沒辦法
[15:50] 立即跟你和好
[15:51] 所以在這樣的一個效果底下
[15:52] 現在第一輪
[15:53] 還是主要聚焦在關稅戰的部分
[15:55] 應該不太可能真正採取軍事動作
[15:58] 我們看川普把格林蘭當籌碼
[16:00] 目前歐盟國會正在準備卡住美歐貿易協議
[16:04] 本來也是準備要前點
[16:06] 不過這一次很有可能繼續的進行延後
[16:09] 甚至歐洲產品針對美國供應品再度進行課程
[16:13] 那2月1號我現在還有接近10天左右
[16:16] 這10天內如果雙方如果無法達成進一步協議
[16:20] 要麼就是川普延後關稅要麼就是歐洲要開始進行關稅上的報復這是歐洲各國已經明顯所採取的表態那另外一層呢是歐洲有沒有其他的辦法呢另外一層最好的效果就是
[16:33] 歐盟現在很多官員越來越學中國
[16:36] 就把過去中國對美國的關稅態度
[16:39] 套用在歐洲身上
[16:41] 過去半年當中
[16:42] 因為歐洲選擇用讓步來換取穩定
[16:44] 用協議來換取確定性
[16:46] 那目標很明確
[16:47] 要避免正面衝突
[16:48] 維持烏克蘭的美國的資源
[16:50] 安撫企業和市場
[16:52] 這一次格林蘭榜上關稅以後
[16:54] 許多歐洲官員已經陸續表態
[16:57] 這是不太可能批准的協議
[16:58] 所以背後訊號就是
[17:00] 在單方面的退讓
[17:01] 只能夠被視為軟弱而非理性
[17:03] 我們不一定要一來一回
[17:05] 但我們應該像中國一樣
[17:06] 形成一道底線
[17:08] 這道底線如果被跨越以後
[17:10] 就再也不跟美方進行
[17:12] 更進一步的bargain談判
[17:14] 直到底線重新被拉上來
[17:17] 當然了歐洲沒有稀土
[17:18] 他也拿來這排可以學中國
[17:20] 好像也有點困難
[17:21] 但不管怎麼說
[17:22] 現在美歐之間的紛爭
[17:24] 至少形成市場不確定性的升高
[17:26] 股價是不是有回撥的理由的
[17:28] 我們看川普這一次
[17:30] 甚至在週末也提出了和平理事會
[17:32] 和平理事會當中
[17:34] 想要做到永久席次
[17:35] 就要掏10億美元
[17:37] 主要原因在於川普政府
[17:38] 其實在過去兩年
[17:40] 已經退出了大量的國際組織
[17:42] 川普所推動的和平理事會
[17:44] 你想要取得永久成員的資格
[17:46] 就要拿出10億美元的現金
[17:48] 這對臺灣來看小錢
[17:50] 這個會議會由川普親自首任主席
[17:53] 成員邀請制
[17:54] 議程安排決議來看是否生效
[17:57] 一般成員任期上原則只有三年
[18:00] 不過你第一年就捐十億
[18:01] 你就不受任期的限制
[18:03] 也就是新聯合國
[18:05] 目前已經邀請了阿根廷總統
[18:07] 和加拿大總理來看看
[18:09] 是否有機會可以成為和平理事會的分支
[18:12] 現在的效果
[18:13] 基本上川普很希望能夠主導成一個
[18:16] 以非中俄體系以外的
[18:18] 另外一大國際組織
[18:20] 那的確
[18:20] 我們看川普也是非常愛好和平的
[18:23] 比如說在本週末
[18:24] 他已經正式拿到
[18:25] 諾貝爾和平獎的獎章了
[18:28] 但不是今年的
[18:29] 是去年的
[18:30] 這一次委內瑞拉的反對派領袖
[18:32] 馬查多
[18:33] 在昨天跟川普會晤以後
[18:35] 就把自己獲得的
[18:36] 諾貝爾和平獎獎章送給川普
[18:38] 並形容這一次的會面是非常順利
[18:41] 他明明可以打下來
[18:43] 偏偏要用買的
[18:44] 和平獎這一次
[18:45] 拿到手上了
[18:46] 雖然是物理上的拿到
[18:48] 並不是實質上拿到
[18:50] 不過這個象徵性的動作
[18:51] 還是可以看得出來
[18:53] 馬紮多本人對於川普本人的認可
[18:55] 以及這一次的軍事行動
[18:57] 為和平所做的貢獻
[18:58] 白宮官員也證實
[19:00] 目前該獎章已經在川普手上
[19:03] 不過挪威諾貝爾和平獎委員會
[19:05] 隨後就強調說
[19:07] 諾貝爾獎是不能夠傳讓
[19:09] 也不可以共享
[19:09] 也不可以撤銷的
[19:11] 榮耀還是屬於馬紮多本人
[19:13] 川普只是在物理層面上
[19:15] 拿走了獎牌而已
[19:16] 當然了
[19:17] 二手獎也是獎
[19:19] 爽了
[19:20] 很多人
[19:20] 對不對
[19:21] 這開玩笑
[19:22] 川普現在就是和平獎
[19:25] 和平獎是核子武器的核
[19:28] 踏平一切的平
[19:29] 和平獎
[19:30] 藉由核子武器
[19:32] 逼迫所有人踏平一切
[19:34] 川普值得諾貝爾和平獎
[19:36] 所以那盧比奧就是
[19:38] 盧比獎了
[19:39] 盧比獎
[19:40] 所以我們如果細看
[19:42] 現在整體市場的緊張局勢
[19:45] 有到一定的層面
[19:48] 但是並沒有到絕對性的緊張
[19:50] 我們看其實有很多國家都陸續開始跟進
[19:53] 像以色列的部分
[19:54] 最近大量的退出聯合國多個機構
[19:57] 與此同時
[19:58] 以色列也宣佈正式退出WHO
[20:00] 世界衛生組織
[20:01] 臺灣早就有先見之明瞭
[20:03] 我們幾十年前就已經退了
[20:05] 種種訊息都暗示著
[20:07] 美國的四大支柱依然在圍繞著全球體系
[20:10] 我們過去講過
[20:11] 美國的四大資助
[20:13] 第一部分就是高科技
[20:14] 第二是美軍
[20:16] 第三是美元
[20:17] 第四是文化霸權
[20:18] 你有了高科技以後
[20:20] 美軍就有錢有技術了
[20:22] 有錢有技術以後
[20:24] 美元的國際資本就值錢了
[20:25] 美元國際資本值錢以後
[20:27] 就可以設定規則
[20:28] 文化霸權和美國經營的輸出
[20:31] 就陸續的產生
[20:32] 那川普就是善用他的優勢
[20:34] 每一次打關鍵戰都差不多了
[20:36] 你真的快受不了了
[20:38] 那我就收拾一下戰場
[20:39] 看一下我得到什麼
[20:40] 核心邏輯很簡單
[20:42] 川普總會選擇一個
[20:43] 對自己強項有利的賽局
[20:45] 比在錯的賽場上
[20:47] 應徵來得更重要
[20:48] 如果找不到
[20:48] 就乾脆自己創造一個
[20:50] 川普就是
[20:51] 他的做法就是這樣子
[20:52] 他很清楚自己的優勢
[20:53] 不在於制度的協商
[20:55] 長期共識或者多邊談判
[20:57] 而在於單邊施壓
[20:58] 製造不確定性
[20:59] 不斷地拉高籌碼
[21:01] 關稅戰來看
[21:02] 對他來講
[21:03] 也不是一次定勝負的戰爭
[21:05] 而是一個反覆可以使用的工具
[21:07] 你撐得住
[21:08] 那我就繼續加碼
[21:09] 你撐不住
[21:09] 那我就先收割一輪
[21:11] 把戰場收拾乾淨再走人
[21:13] 這不是因為關稅本身有多高明
[21:15] 而是因為他成功地把戰場
[21:17] 拉到那種短期衝擊
[21:19] 政治壓力
[21:20] 裁判耐力不夠的情況底下
[21:22] 符合他的一個戰法
[21:23] 那原子習慣裡面就有講
[21:25] 滾水會讓馬鈴薯變軟
[21:27] 也可能會讓雞蛋變硬
[21:29] 你無法控制自己與生俱來
[21:32] 到底是馬鈴薯還是一顆蛋
[21:34] 但是你可以決定
[21:35] 你自己要比的是硬度還是軟度
[21:38] 你選擇對於自身強項有利的賽曲
[21:41] 是非常重要的
[21:42] 如果你找不到合適的環境
[21:44] 你就學川普自己創造一個
[21:46] 那李瑤說的嘛
[21:48] 一個男的如果真的遇到一個
[21:50] 很喜歡的女孩子
[21:52] 通常就是有的地方硬
[21:55] 有的地方軟
[21:55] 全身都軟了
[21:57] 只剩下一個地方是硬的
[21:59] 所以你該硬的時候就要硬
[22:02] 你該軟的時候就要軟
[22:03] 我們補充講川普的策略
[22:05] 就是這樣子
[22:06] 該硬的時候他就很強硬
[22:08] 該軟的時候他也不逞強
[22:09] 收割戰場馬上就走人了
[22:11] 他總是能夠把製造的震撼的時點
[22:14] 把姿態拉到侷限
[22:16] 一旦對方開始讓步
[22:17] 或者局勢不再對自己有利
[22:19] 他就會立刻轉為魔斧
[22:20] 所以在這樣的一個效果
[22:22] 沒有這麼卑鄙的人
[22:23] 美國國力如何短期內拉伸呢
[22:26] 蓮花把自己搞得乾乾淨淨
[22:29] 出淤泥而不染
[22:30] 體內還是流淌著淤泥的營養
[22:33] 在骨子裡就是這樣的人
[22:35] 美國國力才能夠因此而延伸到現在
[22:38] 好當然在種種效果底下
[22:40] 我們看到貴金屬資產
[22:41] 形成新一輪的買盤提升
[22:43] 一方面是銅價仍然維持在高檔
[22:46] 但是缺貨問題短期還是很難解決
[22:49] 事實上目前銅的採礦率
[22:53] 目前看起來一直到2030年以年
[22:55] 以前應該都是屬於極度緊缺的
[22:57] 那更重要的是黃金
[22:59] 黃金在本週已經創下歷史新高了
[23:02] 每盎司是4667塊
[23:04] 以非常驚人速度上行
[23:06] 這基本上從去年9月份以後
[23:08] 就再也沒有碰到季線了
[23:10] 白銀的部分是爆衝之後稍微回跌
[23:13] 不過最近又準備要再度挑戰歷史新高
[23:16] 現在真正的風險在於哪裡
[23:18] 在於波動率的問題
[23:20] 因為白銀隱含的波動率已經全面炸裂
[23:23] 選擇圈市場幾乎定價每天會有5%以上的劇烈波動
[23:27] 代表時間價值變得非常昂貴
[23:29] 大量的散戶湧入SLV買權
[23:32] 卻未必理解一旦價格
[23:33] 可能只是稍微停止或小幅回落
[23:35] 波動率就會被壓縮
[23:36] 所以這個市場
[23:37] 其實稍微有點危險的
[23:39] 尤其放大看看
[23:40] 高盛的觀點是這樣
[23:42] 做多金銀筆壓回歸
[23:44] 而並不是去追熱度
[23:45] 因為金銀筆我們細看
[23:47] 已經來到14年的低點
[23:49] 明明金價就漲那麼多
[23:51] 怎麼會金銀筆下滑這麼快呢
[23:52] 因為銀價飆得更快
[23:54] 25年第四季以來更是如此
[23:56] 現在現貨價格衝高到94美元
[23:59] 現在白銀正在處於
[24:01] 貿易和地緣政治的交匯口
[24:03] 所以有種邏輯是
[24:04] 金銀比的快速下探
[24:07] 也許還沒有合理的反映
[24:09] 黃金自身的基本面
[24:10] 如果金銀比快速下探
[24:12] 就代表黃金相對於白銀
[24:14] 現在更有機會了
[24:16] 黃金去年已經漲了67了
[24:17] 但是還是
[24:18] 基期還是這麼低
[24:20] 這代表著黃金可能有進一步的推升
[24:22] 在美國的投資組合當中
