[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 买盘开始出现
[03:05] 避险基金是大幅的降低科技股的持仓
[03:08] 在过去八周
[03:09] 已经有六周都是卖超了
[03:11] 所以卖的也是很明显
[03:13] 累积卖压是创下十年多以来的最高纪录
[03:16] 当然你说那他们早就已经卖了
[03:18] 都已经卖了接近两个月了
[03:20] 怎么我们现在才发现呢
[03:21] 早就已经发现了
[03:22] 可是过去两个月
[03:24] 美国股市
[03:25] 韩国股市台股
[03:26] 还是在上涨
[03:27] 还在创下历史新高
[03:29] 所以外资的卖压
[03:30] 对于韩国股市
[03:31] 卖了接近三兆台币
[03:33] 对于台股卖了1.5兆
[03:34] 它也没有阻挡住内资的买盘
[03:36] 所以回过头说
[03:38] 只能说
[03:38] 这些对冲基金
[03:40] 它先逃了
[03:41] 那现在呢
[03:42] 多空基金的进杠杆
[03:43] 大概已经降到了
[03:44] 最近一年的第11个百分位
[03:47] 科技股的曝现
[03:48] 也降到五年的新低
[03:49] 那尤其是杠杆ETF的资金规模
[03:52] 缩水了大概缩了1000亿美元
[03:55] 从这个月以来
[03:56] 其中有630亿美元
[03:58] 来自于半导体杠杆ETF
[04:01] 所以整体来说
[04:02] 这一波到底有没有去到杠杆
[04:03] 答案是有的
[04:04] 这一波的下跌
[04:06] 有没有买盘增加
[04:07] 有
[04:07] 但是都是现货型买盘
[04:09] 就买0050的人增加了
[04:12] 但是可能买6310的人变少了
[04:14] 用台股来对照不准确
[04:16] 台股感觉都是增加的
[04:17] 但对于美股来看
[04:18] 杠杆型ETF的资金规模减少了
[04:22] 可是买SPY买QQQ的人增加了
[04:25] 这就非常有趣了
[04:26] 那当然买这些全执行ETF或者市场的买盘
[04:31] 本来都有这种比较属于怪力回涨的自然性的买盘
[04:35] 他可能也不是说一辈子都在买
[04:37] 可能要跌到他痛才会卖
[04:40] 要不然其实今年整个大盘也并没有涨多少
[04:43] 对于标普白指数来说
[04:46] 今年涨幅也不过接近10%而已
[04:47] 我们从1980年以来的动能因子
[04:51] 在三个月内大涨20%以上的历史情况
[04:54] 蓝色线就是本次的走势
[04:56] 黑色线是历史平均
[04:58] 过去案例通常在动能策略在急涨之后
[05:01] 往往会出现获利了结和资金的轮动
[05:03] 那未来几个月的确有可能报酬会转为负值
[05:07] 但是如果规律再次重演
[05:09] 短期内如果是动能股所面临的修正压力
[05:12] 市场资金就有机会从高涨幅高估值的族群
[05:15] 重新的往价值股或者先前落后的板块
[05:19] 也就是我们过去一直提到的七句头
[05:21] 好那我们就回过头说
[05:23] 那现在问题就来自于
[05:25] 如果呢
[05:26] 废办只是一个领跌指标
[05:27] 他带领着所有资产往下跌
[05:30] 那就是市场要基本面的显著恶化
[05:32] 如果他就是估值回调
[05:33] 那就是基本面不会恶化
[05:35] 可是呢估值开始做修正
[05:37] 那我们就来看那到底是否如此
[05:39] 因为从个股来看
[05:40] 那个跌幅才是真的重
[05:41] 如果是从大盘跌两成
[05:43] 但是个股啊
[05:44] 很多都是跌到四成五成的
[05:46] 我们来整理整个七月份
[05:48] 跌幅最大的几只美国大型科技股
[05:51] 像Zendex的部分
[05:53] 7月跌幅已经高达40%
[05:55] 康宁跌了39%
[05:57] Marvel跌了39%
[05:59] 其他像是Intel跌了31%
[06:01] 科磊跌了29%
[06:03] 科林跌了27%
[06:04] 印财跌了26%
[06:06] 美光跌了26.5%
[06:07] 基本上是全数落入到熊市
[06:10] 好 那在落入熊市的记忆体板块区间
[06:12] 是否有出现明显的低润报价的松动
[06:16] 或者财报的恶化呢
[06:18] 其实美银最近也提出了一份报告
[06:21] 我们到市场上现在最担忧的就是
[06:23] 有没有可能就是股价走在基本面前面
[06:26] 已经开始反映了
[06:27] 很多人想说第三季财报
[06:28] 可能公告出来以后
[06:29] 就会发现平均售价ASP
[06:32] 涨幅不如预期
[06:33] 就是记忆体的报价停止上涨了
[06:36] 可是根据美银最新的实质调查
[06:39] 你知道美银是很看空的
[06:40] 在本轮的市场当中
[06:42] 对于整个大盘
[06:43] 但是却少数针对记忆体价格
[06:45] 仍然拥有十足的信心
[06:47] 第三季的低润均价
[06:48] 其实还是预估会激增21%
[06:51] 其实不管是Train Force
[06:52] 或者其他沿条结构
[06:54] 都预估三季度价格还会继续上涨
[06:56] 像高速的LP DDR5
[06:58] 价格继征幅可能还会有20%到30%
[07:02] 那其他像DDR4
[07:03] 现货市场也在同步的走强
[07:05] 如果我们仔细观察
[07:06] 在过去一个季度
[07:08] 16GB的DDR5涨幅是28%
[07:11] 这是继征幅
[07:12] 年征幅是712%
[07:15] 难怪现在去
[07:16] 很多人去光华商场
[07:17] 买到同样的电脑
[07:19] 怎么发现自己的规格被降规了
[07:22] 要不然就是
[07:23] 可能要多买一些容量等等
[07:25] 受到比较大的价格压力
[07:28] 16GB的DDR4
[07:29] 年增幅有829%
[07:31] 过去一个季度涨幅是16
[07:33] 8GB的DDR4
[07:35] 季增幅是21%
[07:36] 年增幅有685%
[07:38] 那D-Rain其实也是一样的
[07:39] 今年第三季D-Rain平均售价
[07:42] 相对于前一个季度
[07:44] 上涨13到18%
[07:45] 如果把HBM也给记录的话
[07:47] 大概也是涨13%
[07:48] 所以不管是NED还是D-RAN
[07:51] 整体上涨幅度
[07:52] 大概都是双位数字
[07:53] 以继征幅的速度
[07:55] 持续的往上拉
[07:56] 那加上这一次台积电跟艾斯摩尔
[07:58] 法说其实都是释出
[08:00] 更进一步调高资本支出
[08:02] 台积电是把26年资本支出
[08:04] 上调到600到640亿
[08:06] 还另外加码1000亿美元
[08:08] 投入美国厂区的建设
[08:10] 整体而言
[08:11] 市场的需求还在持续扩张当中
[08:14] 所以可以做一个比较大胆的预判
[08:16] 基本面如果下个季度下下个季度就会开始有所松动那当然要有所紧张或者七句头没有资本支出了那就要紧张可是像看起来七句头在本季度财报不太可能针对明年资本支出有预期性的下调
[08:31] 我们也不太可能看到记忆体报价在下半年出现非常显著的松动
[08:36] 那就可以很合理的推估
[08:37] 那就是估值回调
[08:39] 那只是由于过去有大量的杠杆参与
[08:42] 让本轮的估值称得相对来的高
[08:44] 我们回过头看像韩国股市的动能
[08:47] 这一次杠杆型ETF的确是拖累亚洲科技国的重要原因
[08:52] 上半年带领亚洲股市大涨的就是动能交易
[08:55] 其中南韩股市是首当其冲
[08:57] 6月渴望成为本轮动能行情的高点
[09:01] 那现在回过头来看
[09:02] 那当然下行的时候压力
[09:03] 汇率了结慢压就来得特别沉重
[09:05] 南韩是因为5月底才推出单一股票两倍杠杆ETF
[09:10] 当时吸引了大量的资金去吹孔
[09:13] SK海力士和三星电子
[09:15] 高峰时这三档的SK海内式杠杆ETF
[09:19] 就已经超过了280亿美元
[09:21] 相当于该公司股票平均单日成交额的2.5倍以上
[09:26] 由于杠杆型ETF它需要透过交换契约
[09:29] 还有选择权来维持两倍的杠杆
[09:31] 所以股价一下跌
[09:32] 那基金就必须要被动的卖出持股来重新平衡
[09:35] 就变成跌越多就卖越多的负向循环
[09:38] 以前都是追踪原指数
[09:40] 现在是杠杆型ETF回过头
[09:43] 影响原指数的变化
[09:45] 所以这一波等同于这种去杠杆的效果
[09:49] 让市场卖压来得更为沉重
[09:50] 我们知道南韩央行上礼拜
[09:52] 才宣布三年多以来首次升息
[09:55] 把基准利率从2.75%
[09:57] 应该讲说调高一码而已
[09:59] 也不是算特别多
[10:00] 但是因为南韩已经三年没有升息了
[10:03] 这一次突然调高
[10:04] 比较意外性的来到2.75%
[10:06] 很明显是在抑制半导体热潮
[10:09] 所带来有可能产生的通膨压力
[10:11] 那当然也加速了股市回档
[10:14] 南韩六月份的通膨率是3.2%
[10:17] 其实还是偏高了
[10:18] 那重点是韩元今年对美元已经贬了5%
[10:20] 这创今年应该讲是金融海啸以来的新低
[10:24] 就是南韩股市涨了那么多
[10:26] 那货币贬值幅度还蛮重的
[10:28] 这说明涨越多外资的卖压
[10:30] 其实来得更为沉重
[10:31] 那南韩股灾这一次也引发了
[10:34] 在上礼拜是120万人被迫追缴保证金
[10:38] 这种杠杆交易的全面爆仓
[10:41] 南韩金融金管机构
[10:42] 已经正式宣布
[10:43] 会暂停新发行单一个股
[10:46] 杠杆型的ETF
[10:47] 也禁止现在所有券商和投信
[10:50] 推广相关的产品
[10:51] 已经有买的
[10:53] 你要建议他尽量
[10:54] 不要再继续加仓
[10:55] 不要再买下去
[10:56] 而且把最新的最低保证金
[10:58] 从1000万韩元提升到3000万韩元
[11:00] 希望能够抑制住
[11:02] 目前的投机风气
[11:03] 那截止到7月18号为止
[11:06] 现在有120万个散户杠杆账户
[11:09] 已经遭到追缴保证金
[11:11] 32万个账户遭到券商的强制平仓
[11:15] 上礼拜我是逃过一劫了
[11:17] 不过这礼拜很明显
[11:19] 至少从当局的角度来看
[11:21] 也是建议你尽快离场
[11:23] 事实上我们从三倍型杠杆ETF
[11:27] 从上面跌下来
[11:28] 跌幅大概都是60% 70%
[11:30] 硬要抱是抱得住
[11:32] 可是心态能不能承受得住
[11:34] 这个就差很多了
[11:35] 外资的卖压
[11:36] 我们从今年以来
[11:37] 其实也是非常沉重
[11:39] 外资大概卖台
[11:40] 卖韩国股市
[11:41] 大概卖了接近有三兆韩元
[11:43] 是台股1.5兆的两倍
[11:45] 那台股市值又比韩股来得大
[11:47] 所以这就说明韩国股市
[11:48] 受到外资的沉压有多重
[11:50] 那这种ETF
[11:51] 它跌一层跌两层
[11:53] 你可能还接得信誓旦旦
[11:55] 跌三层
[11:56] 跌四层跌五层
[11:57] 就开始绝望了
[11:58] 我们讲过
[11:59] 一开始你以为
[12:00] 能够成功抄底
[12:02] 想不到还有地窖
[12:04] 超到地窖
[12:05] 想不到还有地域
[12:07] 超到地域
[12:08] 想不到地域还有18成
[12:09] 就越超越低
[12:10] 最后跌幅来到接近70%
[12:12] 那当然股市的去杠杆已经结束了
[12:16] 如果从目前来看
[12:17] 它只能说是第一波的洗杠杆
[12:20] 但是杠杆ETM过去提过
[12:22] 本来就有波动损耗的特性
[12:24] 所以即便指数最终回到原点
[12:27] ETF的进食仍然有可能
[12:29] 因为每天的重新平衡而持续的流失
[12:33] 比如说三倍杠杆ETF
[12:35] 如果它先跌10%
[12:36] 那你就会亏损30%
[12:38] 一天内
[12:38] 那即便隔天指数反弹11.1%
[12:41] ETF虽然上涨了33.3%
[12:44] 但还是会比净值原先
[12:46] 跌了接近7%
[12:47] 这很好理解
[12:48] 从单纯
[12:49] 从涨幅角度来看
[12:50] 你本来就要涨更多
[12:51] 100块跌到50块
[12:52] 只要跌50%
[12:53] 但是50块涨到100块
[12:55] 你要涨100%
[12:56] 所以不管怎么说
[12:57] 即便我们看到
[12:59] 最终这一些杠杆型ETF
[13:01] 有比较高强度的上涨规模回来
[13:04] 但本身都会受到这种波动的损耗
[13:06] 这个是市场压力来得大的
[13:08] 这也是为什么南韩当局
[13:09] 一直强迫要上课的原因
[13:11] 全球杠杆股票型的ETF
[13:13] 至少一个周末
[13:15] 已经缩水了13%
[13:17] 记忆体族群杠杆型ETF
[13:19] 减了34%
[13:21] 本来是100亿的
[13:22] 现在只剩下66亿了
[13:24] 所以从这件事情就看得出来
[13:26] 你说那还不够多
[13:27] 那没差了
[13:28] 重点是它一周就给你减三成
[13:31] 没有人要玩这档ETF了
[13:33] 我相信情绪应该算是滑落蛮多的
[13:36] 好我们看台股
[13:37] 台股的部分礼拜五是狂杀了2953点
[13:40] 创下历史的跌点记录
[13:43] 上市贵和记有134档个股跌停
[13:45] 但台股也不过才碰到季线保卫战
[13:48] 这很多股市指数其实已经挑战回半年线了
[13:52] 甚至直线的往年线来做迈进
[13:55] 尤其现在台股已经创下史上最大跌点
[13:58] 跌幅不大了
[13:59] 大概6.4%
[14:00] 可是外资的卖压跟韩国股市差不多
[14:02] 已经卖到1.5兆了
[14:04] 迟迟不愿意做回补
[14:06] 今年投信也不过买5300亿
[14:08] 外资是投信买盘的三倍
[14:10] 所以ETF虽然有市主的买盘支撑
[14:13] 可是其他像内资主力或者受险
[14:16] 买盘的动能也是十分巨大的
[14:18] 那外资已经见怪不怪了
[14:21] 只是说今年也是真的卖蛮重的
[14:23] 因为从20年到26年
[14:25] 过去7年
[14:26] 它有6年都在卖超
[14:27] 那只是说今年卖的特别多
[14:29] 它卖那么多台股都还有4万多点
[14:32] 那其实也说明着内资接盘力道也很大
[14:35] 所以真正影响到台股是否会显著松动的
[14:39] 还是取决于内资
[14:40] 外资卖这么多都没事
[14:42] 那根本原因就来自于
[14:44] 内资的接盘意愿比想象中来得强
[14:47] 那内资什么时候没钱呢
[14:48] 第一基本面恶化
[14:49] 目前看起来短期内看不到
[14:51] 第二那就是内资的情绪开始做显著收敛
[14:54] 台股现在的融资维持率还保持在安全
[14:58] 大概147%
[15:00] 融资余额
[15:01] 其实你看从6月高点回挡到现在
[15:04] 台股已经跌了接近一成
[15:06] 融资余额好像也才减少1%
[15:10] 现在还有5879亿
[15:11] 集中市场的平均融资维持率是147%
[15:15] 整户维持率是148%
[15:17] 距离130%的追缴门槛
[15:20] 其实还是有一段距离
[15:22] 当然你说个股是跌很重
[15:23] 刚才看的是记忆体
[15:24] 我们看被动元件的部分
[15:26] 其实中日韩台主要厂商股价都是同步重挫
[15:30] 从波段高点来看
[15:32] 日本的太阳右电跌幅
[15:35] 这整体跌幅是54%
[15:37] 三星电机已经跌了4成7
[15:39] 春田跌了41%
[15:41] 台湾是国际从高点跌了43%
[15:44] 华新科跌了52%
[15:45] 和生堂跌了34%
[15:46] 还比较抗跌
[15:47] 但这波修正也显示到
[15:49] 现在市场上这种价格的跌幅
[15:52] 在个股层面所引发的断头潮
[15:55] 还是有慢慢涌现到
[15:56] 大盘融资维持率
[15:57] 现在大概在147%
[15:59] 当时关税战
[16:01] 其实差不多就是这个水准
[16:02] 那疫情是143
[16:05] 22年的暴力升息是135
[16:07] 所以基本上
[16:08] 这个恐慌程度
[16:10] 没有应该讲说
[16:12] 关税战当时更低
[16:14] 关税战是一路打到
[16:15] 这个130以下
[16:17] 然后断头
[16:18] 所以现在的情绪
[16:19] 当然比伊朗战事来得恐怖一些
[16:22] 可是距离关税战
[16:23] 那肯定还有一段距离
[16:25] 只能说情绪如果要回调
[16:27] 就差不多到这个位节
[16:28] 那接下来再下去
[16:29] 才是真正的恐慌
[16:31] 所以目前你也没有看到
[16:32] 市场上极度的恐惧
[16:34] 只能说这差不多弯不下去了
[16:37] 差不多到这边
[16:38] 那就先获利了结或者停损吧那当然了因为现在回到季线老手看季线生命线来抄底这也很正常现在就三种人嘛空手的在想什么时候能够抄底被套的在想
[16:51] 何时可以解套
[16:52] 获利的在想
[16:53] 现在该不该先了结
[16:55] 那投资本来就如此啊
[16:57] 现在有余裕的
[16:58] 不一定是从头
[16:59] 持有现金到尾的
[17:00] 因为基本上也不存在这种人啊
[17:01] 如果你真的是这种人
[17:03] 从头到尾就持有现金的
[17:04] 那你过去几个月
[17:05] 过去几年行情
[17:06] 也不一定会赚到啊
[17:07] 所以过去一段时间
[17:08] 当大家都决定要上杠杆
[17:10] 六月份每个人都想要飙车
[17:12] 想要翻身的投资人
[17:14] 明显我们先活了下来
[17:16] 当然不可能百分之百现金
[17:18] 但一定会有余裕
[17:19] 现在等待着乖离下修
[17:21] 情绪回调
[17:22] 大盘回调也还好了
[17:24] 但是至少现在也能够有机会
[17:26] 能够抓住这个机会
[17:27] 而不是像很多人
[17:28] 像是看到机会但没钱了
[17:31] 一个月就洗掉了
[17:32] 所以我相信我们的节目听众
[17:34] 本轮的上涨明显比较克制
[17:37] 你看聊天室就知道了
[17:40] 看起来根本也没几个人在追股票
[17:42] 过去两个月
[17:43] 所以我刚看聊天
[17:45] 好像大家还蛮兴奋的
[17:46] 每个人都摩拳擦掌
[17:47] 这个就是自律
[17:49] 当市场爆大量
[17:50] 情绪高涨
[17:51] 自律才能够换来真正的自由
[17:54] 这两天我才去看了诺兰的奥德赛
[17:57] 这应该不算爆雷
[17:59] 我们过去就提过
[18:00] 奥德赛不是里面最经典的故事
[18:02] 就是海妖赛连的歌声
[18:04] 会让水手失去理智
[18:05] 然后大家就会开船去撞墙
[18:08] 奥德修斯知道这件事情
[18:10] 但他也很想听
[18:12] 到底歌声是多名人
[18:13] 所以他就叫所有船员
[18:15] 用蜡封住耳朵
[18:16] 他就把自己牢牢的绑在船杆上
[18:19] 无论待会发生什么事情
[18:20] 都不能放开
[18:21] 如果经过的时候
[18:22] 他真的失去理智
[18:23] 那信即可
[18:24] 急着要冲往赛典
[18:26] 没封着耳朵的奥德修斯
[18:28] 他之所以能够成功的穿越这个海域
[18:31] 原因是什么
[18:32] 是因为我们的意志力很强
[18:34] 没有
[18:35] 那个里面的独白是什么
[18:38] 你心底最渴望的
[18:40] 正是你无法拥有的
[18:41] 而你无法拥有的
[18:43] 正是你曾经拥有
[18:44] 却又失去的
[18:45] 人一定会被诱惑
[18:47] 所以提前先把自己
[18:48] 绑在船杆上
[18:50] 那个时候我们多次提到
[18:51] 你不要看对趋势
[18:53] 死在波动
[18:54] 你先六月份
[18:55] 你就先绑好双手
[18:57] 你连橡皮筋都捆上了
[18:59] 对不对
[18:59] 眼睛乱看
[19:01] 但是手不要乱下
[19:02] 那句话怎么讲的
[19:03] 眼睛乱看是
[19:05] 风流
[19:06] 手乱摸是下流
[19:08] 那我们不下流
[19:09] 那现在呢
[19:10] 我个人的看法是
[19:12] 现在差不多
[19:13] 是可以解放双手的时候
[19:15] 把橡皮筋解开
[19:17] 好好的摩拳擦掌
[19:18] 那投资也是如此
[19:19] 真正厉害的
[19:21] 也不是说永远不犯错
[19:22] 你愿意在清醒的时候
[19:24] 先定下规则
[19:25] 那你一定会遇到疯狂的时候
[19:27] 你在疯狂的时候
[19:28] 还能够被规则给限制
[19:29] 没有自律的人
[19:31] 最后通常都会成为情绪贪婪
[19:33] 和市场波动的奴隶
[19:35] 好了
[19:35] 那现在终于迎来了一个情绪回挡到
[19:39] 比较合理区间
[19:40] 这个时候稍微摩拳擦掌
[19:41] 来看它有没有什么投资机会
[19:43] 我认为是很健康的
[19:45] 那当然很多人说跌破季线
[19:47] 那刚开始跌
[19:48] 不管了
[19:49] 每一次跌破季线
[19:50] 我们都是站在买方
[19:52] 这么多年了
[19:53] 这一次也不例外
[19:54] 每一次市场在做测试
[19:56] 市场都认为会有进一步的更大跌幅
[19:58] 没错
[19:58] 那每一次
[20:00] 我们几乎是每一次都有参与
[20:02] 这给投资朋友做的一些思考
[20:03] 这是我们采取的规则
[20:05] 我们的规则
[20:06] 永远都是市场正在哀嚎的时候
[20:08] 才选择开始进场
[20:09] 那现在当时飙车的人陆续翻车了
[20:13] 现在就是我们弯腰捡钻石的机会了
[20:16] 好我们看美国股市市大指数表现
[20:18] 其实也没有跌很重
[20:19] 主要都是废办
[20:20] 道琼指数跌406.0.7%
[20:22] 摔52146点
[20:24] 标普下跌76点
[20:26] 1.01%摔7454点
[20:29] 纳指下跌361.1.4%
[20:31] 摔05520点
[20:33] 费办下跌193.1.63%
[20:35] 所以1673点
[20:38] 其实除了费办
[20:39] 三大指数表现都还OK
[20:41] 原因就是因为这两年涨太多了
[20:44] 我们以美元来做计价
[20:46] 从整个25年到26年来看
[20:48] 涨幅最高的还是韩国股市涨了269%
[20:51] 秘鲁股市涨了127
[20:53] 台湾股市涨了115
[20:56] 奥地利涨了112
[20:57] 其他像希腊波兰西班牙意大利
[21:01] 涨幅都是70% 100%左右
[21:03] 所以我们只能说
[21:05] 现在就是内部的筹码开始有所松动
[21:08] 有没有人继续坎空
[21:09] 当然有
[21:10] 美银到目前为止
[21:11] 还是抱持相对比较保守的态势
[21:13] 为什么
[21:14] 因为到目前为止
[21:16] 全球基金经理人对于美国股市的配置
[21:18] 在过去一个月还是增长了24%
[21:21] 只有少数人开始离场
[21:24] 一波是欧洲外资
[21:26] 欧股投资人对于美国股市
[21:28] 的确过去几周都开始做
[21:30] 比较显著的资金流出
[21:32] 我们根据美国财政部
[21:34] 所公布的国际资本流动数据
[21:36] 整个5月份到6月份
[21:38] 美股的净买超
[21:39] 在欧洲人眼里来看
[21:41] 仅仅剩下80亿美元
[21:42] 日本更是在5到6月份
[21:44] 卖出了150亿美元的美股
[21:47] 同时也减持部分的美国公债
[21:49] 那现在呢
[21:50] 另外一部分在做
[21:51] 比较显著资金出脱的
[21:53] 主要是属于内部人
[21:54] 那当然了
[21:55] 这只是一个数据
[21:56] 它并不是代表
[21:58] 过往每一次内部人卖股
[22:00] 股市都会下跌
[22:01] 现在只能说美国企业
[22:02] 大概是以20多年来
[22:04] 第二快的速度来出售持股
[22:06] 上半年美国企业内部人
[22:09] 累计出售的股票是776亿美元
[22:12] 较去年同期是大增了20%
[22:14] 仅次于2021年疫情期间
[22:16] 市场流动性泛滥
[22:17] 创下的历史高点记录
[22:19] 同期内实施库藏股的
[22:21] 买进自家公司股票只有69亿
[22:23] 仅仅比去年高了2亿左右
[22:26] 这件事情就说明着
[22:27] 好像内部人目前都在持续的出脱股票
[22:30] 相对于过去四个周期
[22:32] 四年以来都是如此
[22:34] 那这些数据都引发市场上认为
[22:36] 也许他们还没有抛够
[22:38] 因为股市才刚刚开始跌
[22:39] 但是左侧投资不预设跌幅
[22:42] 应该讲说
[22:43] 设定好记得跌幅的结仓位置
[22:45] 不预设何时会顺势的行情反转
[22:48] 这还是比较重要的
[22:50] 那这些数据交叉在一起
[22:52] 就变成了市场上又从原本的单边多头上涨
[22:55] 转而多空互相博弈的
[22:57] 想抄底的人
[22:58] 那就看有没有资金
[23:00] 有没有动能
[23:01] 在6月份之后能够活下来
[23:03] 那不能的人
[23:03] 现在就开始立即停顺了
[23:05] 多空仍然在持续交织
[23:06] 当然真正的长期投资
[23:08] 它也不是真正
[23:09] 等到充满力多才进场
[23:11] 而是市场情绪比较悲观
[23:13] 越来越悲观的时候
[23:14] 还是愿意按照纪律来布局
[23:16] 台股跌破季线
[23:17] 对于长期投资人而言
[23:19] 代表资产价格
[23:20] 已经开始出现折价了
[23:21] 那每一次的修正
[23:23] 其实都是在考验
[23:24] 你到底是不是相信
[23:25] 企业的长期价值
[23:27] 还是每天的股价波动
[23:28] 很多人选择停损
[23:30] 他是为了要少承受
[23:32] 接下来的几根蝶符
[23:33] 但是对于长期投资者而言
[23:35] 你反而可能会因此
[23:36] 错过未来数年
[23:38] 高强度的反弹
[23:39] 或者负力成长
[23:40] 有时候我们讲说
[23:41] 害怕眼前的小亏损
[23:43] 最后失去的
[23:44] 反而是更大的回报
[23:46] 那是典型的因小失大
[23:47] 过去几年就是如此
[23:49] 对于长期投资人来说
[23:50] 我觉得与其余
[23:51] 现在去猜低点
[23:51] 更重要的事情是
[23:53] 你在价格回落时
[23:54] 你到底有没有能力
[23:55] 能够持续累积优质资产
[23:57] 因小失大这件事情
[23:59] 已经发生好多年了
[24:01] 那我觉得这一次也不会例外了
[24:02] 以前我们高中南阳街
[24:05] 补习班有一个女神
[24:07] 景美的
[24:09] 很漂亮
[24:09] 而且好像是富家女
[24:11] 那因为我们都是同一条路线回家
[24:14] 都是回南港细子
[24:16] 常常会一起从北车坐火车回家
[24:18] 那有时候有一搭没一搭的聊天
[24:20] 后来有一天
[24:21] 我记得是五月
[24:23] 他就跟我说
[24:25] 他从小到大都很喜欢
[24:27] 那个哈姆太郎的娃娃
[24:29] 尤其是限量版的
[24:31] 好希望520那一天
[24:34] 有人可以送给他一只
[24:36] 我一听就心领神会
[24:37] 马上把这个消息
[24:39] 告诉补习班另外一个富二代
[24:42] 直接赚了1000块
[24:43] 从那一刻起
[24:45] 我就大概知道
[24:46] 自己对于投资还蛮在行的
[24:47] 信息不对称
[24:49] 你掌握住
[24:50] 这就是我的天分
[24:51] 那个时候是这样想的
[24:53] 现在一想
[24:54] 因小失大
[24:56] 现在框一小时都要三千
[24:58] 居然会犯这种错
[25:00] 人家也是
[25:01] 长得很可爱又是富家女现在每天要在这边卖屁股赚斗内请大家多斗内因小失大因小失大有时候长期投资人最大的损失
[25:15] 他不是买的太高
[25:16] 是害怕短期会再下跌
[25:18] 然后就选择全部出金了
[25:20] 这几年最容易被洗出场的
[25:22] 还不一定是停损的
[25:23] 很多说是
[25:24] 那我下一次回家
[25:26] 我再进场先出金好了
[25:27] 每一次我们看到
[25:29] 现在追不回来股票的
[25:30] 都是这些人
[25:30] 都是这些人
[25:32] 所以问题是
[25:32] 市场从来都不是在最悲观的那一天
[25:35] 才按铃通知你
[25:36] 等到什么景气开始回温
[25:38] 企业获利改善
[25:39] 企业连获利的上行趋势都没有改变
[25:42] 你就想要避开一段跌势
[25:44] 最后反而错过最重要的布局时机
[25:46] 这是我们采取的规则
[25:47] 这是我们采取的策略
[25:49] 既然跌幅开始扩大
[25:51] 市场的恐慌开始加剧
[25:52] 我们就不会改变
