[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 其实本来早盘还有尝试的V转拉动
[03:35] 要打就打
[03:36] 不打就不打
[03:37] 要打不打的
[03:38] 他就是一种不确定性
[03:40] 害我们每天在这边
[03:41] 要打不打不打
[03:42] 或者可能要打
[03:45] 但随时有可能不打
[03:46] 随时不打
[03:47] 目的是为了要打
[03:48] 那我们每天就在这边
[03:50] 打没打没
[03:51] 打了没打了没
[03:52] 每天就很焦急
[03:54] 所以这样的一个情况
[03:55] 形成市场不确定性升温
[03:57] 进一步的中东市场卖压
[03:59] 但这种效果
[04:00] 总有一天他会确认的
[04:01] 我们真正观察的是
[04:03] 时间维持的够久以后
[04:05] 它是否会影响到
[04:06] AI不管是在资本支出的变化
[04:09] 还是当前市场上
[04:11] 针对AI估值的想象空间
[04:13] 是否会造成永久性的破坏
[04:15] 那我们也知道
[04:16] 现在是打了开头
[04:17] 没有收尾
[04:18] 现在的情况就是
[04:19] 大家都看得出来
[04:20] 原本是想打一场
[04:21] 快速压制的行动
[04:23] 现在变成一场难以收尾的消耗战
[04:26] 美国一开始的盘算
[04:27] 当然就是希望透过精准打击
[04:30] 来削弱伊朗的指挥和战斗意志
[04:32] 但实质上伊朗的反应
[04:34] 并没有说因此而让美方受制约
[04:38] 但是伊朗的反应是很强硬的
[04:41] 战事也没有快速的结束
[04:42] 反而拉长
[04:43] 最后导致油价推升
[04:44] 油价推升又反过来压到美国内部
[04:46] 尤其我们也知道
[04:48] 轰波子现在对于能源价格是很敏感的
[04:51] 很快就会转成政治压力
[04:53] 那接下来的困境在于
[04:54] 这个美方如果不进一步采取
[04:56] 进一步的军事升级行动
[04:59] 他就很难真正降低
[05:00] 海运风险和油价压力
[05:02] 不过一旦升级
[05:03] 真的动用地面部队
[05:05] 来进入到对方的一些港口
[05:08] 或者咽喉
[05:09] 那很有可能也会陷入长期战争
[05:11] 成本和风险同样会放大
[05:13] 所以现在就是
[05:14] 伊朗就学当年的毛主席
[05:16] 等你登岛
[05:18] 敌进我退
[05:19] 敌住我老
[05:21] 敌皮我打
[05:22] 敌退我追
[05:23] 以时间换取空间
[05:24] 土地很多
[05:25] 跟你慢慢耗
[05:26] 反而是川普现在没有时间了
[05:28] 在种种效果底下
[05:30] 行程市场上进一步不确定性的放大
[05:32] 重点在于短期行情地缘政治通途
[05:36] 我们当然都知道过去历史经验为何
[05:38] 但看的就是市场的心理预期
[05:41] 从一周到两周三周
[05:44] 如果他把它想象成一个月两个月三个月都是如此
[05:48] 甚至一年两年三年
[05:50] 都是这样的情况
[05:51] 消费信心就会开始动摇
[05:53] 我们根据密西根大学
[05:54] 在最近所公布的消费的信心指数
[05:57] 最近又开始重新下滑了
[05:58] 创下今年以来的新低
[06:00] 同时间对于未来一年的通膨预期
[06:03] 也开始上升
[06:04] 从3.4%上行到3.8%
[06:07] 这个是过去一年来最大单月升幅
[06:10] 其实你看过去一整年
[06:11] 即便关税战打那么凶
[06:12] 从去年下半年
[06:14] 其实通膨预期
[06:15] 一直都是在缓步的下滑的
[06:17] 从这件事情其实也可以透露出来
[06:20] 当前关税战对于油价的影响远远低于
[06:24] 或者说关税战对于大宗资产的影响
[06:26] 远远低于伊朗战事对于整体大宗资产的影响
[06:32] 那这一事情也就引发着
[06:34] 大多数人对于战争型通膨结构冲击
[06:37] 有开始不一而同的预期
[06:39] 原本从短期的预期认为快速建高之后会滑落
[06:43] 开始以常态化的高位来做推演
[06:46] 短期经济预期也在快速恶化
[06:48] 通膨预期同步飙升
[06:49] 我们如果细节来做观察
[06:51] 会发现这种影响稍微缓和
[06:54] 但是方向仍然一致
[06:55] 就长期来看
[06:56] 大家的看法就是
[06:57] 经济会受到一定的疲惫程度
[06:59] 不会到衰退
[07:00] 可是物价会变高
[07:01] 本质上市场并没有反映
[07:04] 现在是停滞性通膨
[07:05] 按照目前股价的适度的回调
[07:07] 加上通膨的增温
[07:09] 现在是有点类停滞性通膨
[07:11] 就是很麻烦
[07:13] 央行很难同时兼顾
[07:15] 接下来非农就业数据的软化
[07:17] 还有通膨维持在高位
[07:18] 那这种政策空间被压缩以后
[07:21] 资产价格也更容易进入到
[07:23] 不确定性的市场卖压
[07:25] 所以油价的冲击启示
[07:27] 也让历史告诉大家
[07:28] 这一次跟2022年
[07:31] 当然还有一段落差
[07:32] 因为能源价格
[07:33] 毕竟现在还并没有进行全面性的外扩
[07:36] 可是市场正在准备反映第二轮效应
[07:39] 也就是接下来的
[07:40] 从塑化类别
[07:42] 从肥料类别
[07:43] 从半导体类别
[07:44] 来陆续引发进一步的涨价潮
[07:47] 而这些涨价潮
[07:48] 属于第二类通膨的重新定价
[07:50] 就要看涨到什么样的位阶
[07:52] 那我们先看
[07:53] 目前向外传导的情况为何
[07:55] 今天我们就主要用三种角度来做观察
[07:58] 第一个就是中东淡市
[07:59] 让能源价格的持续上行
[08:01] 原油价格站稳百元
[08:04] 今天看起来是跌不回来了
[08:05] 必定会让三月份的CPI上行
[08:07] 好那四月份
[08:08] 到底会不会有进一步的外溢效果
[08:11] 待会我们做第一层观察
[08:12] 第二层观察
[08:13] 是科技股的内部开始松动
[08:15] 昨天记忆体领叠
[08:16] 美光重挫
[08:17] 拖累整个肺瓣
[08:18] 最强的AI链条也出现裂缝了
[08:21] 现在世大只说最强就肺瓣了
[08:23] 肺瓣也开始叠
[08:24] 是否代表着
[08:25] 台股也不能独善其身
[08:27] 台股怎么发生什么事
[08:28] 永远都叠不下去
[08:29] 更深一层的
[08:30] 是市场开始从情绪修正
[08:32] 变成结构再定价那么待会我们也聊一些基因经理人他们的看法为何代表的是这是一场短期震荡还是一场能源冲击但是却值得布建的时机呢
[08:44] 我们一一来做观察
[08:45] 第二观察是能源外扩的第二轮通膨效应
[08:48] 刚才跟投资朋友提到
[08:49] 因为现在荷姆茨海峡关闭之后
[08:51] 全球每天大概少了
[08:53] 接近有千万桶的石油供应
[08:55] 整个规模大概等于
[08:57] 法国加英国加德国的总需求
[08:59] 虽然各国透过释放战略储备
[09:02] 改走管线
[09:03] 甚至进行暂时放宽制裁来补动
[09:05] 那这些都是延长时间
[09:07] 并不是单纯解决问题
[09:08] 那一旦呢
[09:09] 普遍预估是冲突维持两到三个月以上
[09:12] 那么能源市场就会从价格上涨
[09:15] 转向抢不到货的阶段
[09:16] 所以大概是一个季度左右
[09:18] 整个通膨效果
[09:19] 应该就会产生全面性的外溢
[09:21] 那如果我们细节
[09:22] 现在最受新兴市场冲击的
[09:25] 主要都是亚洲国家
[09:26] 缺口非常剧烈
[09:27] 中国每天大概从440万桶
[09:31] 现在只掉到130万桶的进口量
[09:34] 印度从230万桶下降到90万桶
[09:37] 日本很惨
[09:38] 日本是归零
[09:39] 南韩的部分大幅缩水
[09:41] 台湾是少了30%
[09:43] 因为台湾大概已经有60%左右的原油
[09:46] 已经不来自于中东市场了
[09:47] 过去几年大幅度的跟美方合作
[09:50] 所以石油部分
[09:51] 对于中东依赖程度没这么高了
[09:54] 反而是天然气对于卡达依赖是蛮高的
[09:56] 所以还在进行产能的调配
[09:57] 那油价冲击正在引脑着新兴市场之后
[10:01] 大家开始第一波观察的第二轮的外溢通膨效果
[10:06] 就是石油和天然气所引发的关键原物料
[10:09] 像肥料价格
[10:10] 塑胶价格
[10:11] 石脑油价格
[10:13] 一旦供应受阻
[10:14] 现在看起来已经受阻了
[10:15] 就会一路的往下进行粮食和制造业来进行传导
[10:19] 那么大部分的发达市场国家
[10:21] 像台日韩已经在上个月就已经进行准备三月底的行情介入
[10:27] 或者说中油的部分是在三月中旬左右开始进行介入
[10:31] 所以发达市场目前已经借油介入的方式
[10:35] 尝试的把上游端的通膨自行吸收
[10:39] 阻止它传导到下游端
[10:40] 可是对于低收入国家来看
[10:42] 很有可能直接是粮食危机
[10:44] 或者对于东南亚国家来看
[10:46] 目前看起来原油价格是进行直接性的转嫁的
[10:49] 这个时候就会遭受到极大压力
[10:51] 我们以央行的态度来看
[10:52] 昨天央行总裁杨金荣表示
[10:55] 如果今年的油价平均每桶冲上100美元
[10:58] 台湾CPI年增幅大概会上升到1.9%
[11:01] 那也才1.9
[11:03] 现在是1.4
[11:04] 目前预估是年底是1.8
[11:07] 那油价上涨也不过到1.9
[11:09] 不过呢
[11:09] 杨总裁认为很有可能
[11:11] 我们要透过升息
[11:12] 或者提高存准率来回收市场
[11:14] 那人家是通膨4%
[11:16] 5%有点严重
[11:17] 杨总裁是快要碰到2%
[11:19] 他就觉得有点严重了
[11:20] 这足以说明了
[11:21] 台湾的通膨惯性不太一样
[11:23] 那另外一方面
[11:24] 央行采取的方式
[11:26] 也有可能会稳定汇率
[11:27] 来减少疏离性通膨
[11:28] 简单来讲就让台币升值
[11:30] 简单来讲
[11:31] 央行现在把2%
[11:33] 视为一个重要参考门槛
[11:35] 看起来
[11:36] 杨总裁是不希望
[11:37] 今年的通膨超过2%的
[11:39] 那当然
[11:40] 现在台湾整体市场
[11:43] 主要还是通膨预期传导
[11:44] 因为我们都知道
[11:45] 那中油已经把70%的涨幅吸收了
[11:48] 才过去一个月
[11:50] 中油已经吸收超过69.9亿
[11:52] 如果按照实价反应
[11:54] 现在每公升汽油大概要56块左右
[11:57] 那现在955千汽油
[11:58] 台湾大概在33 34嘛
[12:00] 柴油的部分31 32块左右
[12:02] 那整体而言相对于新加坡韩国
[12:04] 新加坡现在955千汽油是84块
[12:07] 韩国是47块
[12:09] 柴油部分香港每公升135块
[12:12] 新加坡98块
[12:13] 韩国39块
[12:14] 台湾大概还保持在35块以下
[12:17] 这件事情就说明着
[12:19] 第一中油进行高强度吸收
[12:21] 所以台湾的通膨
[12:22] 为什么会比其他国家来得低
[12:24] 它上游端都吸收了
[12:25] 它要怎么影响到下游端的CPI的直接性的统计
[12:29] 所以现在真正重点还是来自于心理情绪的传导
[12:32] 昨天我才看到有便当店家公告
[12:35] 不付塑胶袋
[12:36] 这我就有点扯了
[12:38] 或者有些便当店
[12:40] 现在还跟你说塑胶袋要两块
[12:42] 那才多少钱
[12:43] 怎么会是两块呢
[12:44] 所以这说明
[12:44] 看起来是有一点下游端的囤货意愿
[12:47] 跟以前那个抢蛋抢卫生纸差不多
[12:49] 最后抢的都会剩
[12:52] 所以我觉得大家也不要囤
[12:53] 目前看起来主要还是心理情绪的传导
[12:56] 当然上游端价格有没有涨
[12:58] 有啊
[12:59] 不过我们也知道
[13:00] 政府已经进行高强度吸收
[13:02] 我们看整体石化核心原料的乙烯
[13:05] 过去一个月以来
[13:07] 大概暴涨接近有一倍左右
[13:08] 包括ABS
[13:10] 聚苯乙烯
[13:11] 聚丙烯
[13:12] 聚粒乙烯
[13:13] 和聚乙烯
[13:14] 五大泛用数值
[13:16] 单月涨幅大概平均在36到57%
[13:19] 整体而言
[13:20] 涨幅最多是乙烯
[13:21] 就是贩用数值的走廊
[13:24] 那当然这对于下游的塑化业
[13:26] 冲击就很大了
[13:27] 那另外一个是PS
[13:28] 涨幅有57%
[13:29] 在过去一个月
[13:30] 它主要是做鞋材或者家电的包装模
[13:34] 那其他一些农业用模
[13:36] 塑胶制品像LDPE
[13:38] 那压力也比较大一点
[13:40] 也就代表着
[13:41] 现在影响逐步往终端扩散
[13:43] 可是呢
[13:44] 从上游端一直到最后的终端产品出货
[13:47] 大概不会一个月就传到
[13:49] 可能要一个季度
[13:50] 我们知道大部分的电商
[13:52] 甚至都还有菜单成本
[13:53] 也就是说如果这个时候
[13:55] 你随随便便
[13:56] 塑胶价格上涨
[13:57] 你给我洗衣机也跟着调涨
[13:59] 那我会觉得你是黑心店家
[14:01] 这叫菜单成本的转移
[14:03] 或者说你更新你的菜单
[14:06] 更新你的洗衣机的售价
[14:08] 你每天都在变
[14:09] 那也会引起民众的反感
[14:11] 所以正常来讲
[14:12] 要大概一个季度左右
[14:14] 才会传导到终端市场
[14:15] 所以大概有一个季度左右的时间
[14:17] 等这一些
[14:18] 我们讲的石化核心原物料
[14:20] 价格回档
[14:21] 但如果一个季度都没回档
[14:22] 那市场肯定要针对
[14:24] 当前的企业获利
[14:25] 产生新一轮的定价
[14:27] 由成本所推升型的通膨的全面冲击
[14:29] 不过杨总裁态度就比较明确了
[14:32] 因为接下来整体而言
[14:34] 央行基本上是在中游吸收
[14:36] 部分涨幅以后所采取的紧缩动作
[14:39] 那当然这种外溢效果
[14:40] 影响不了大部分
[14:42] 整体上游端的原料报价
[14:44] 我们看不锈钢价格
[14:46] 也已经连续五个月上涨了
[14:48] 背后主要是能源成本上升
[14:50] 和劣价回升的原因
[14:51] 另外一方面
[14:52] 最近印尼也收紧了
[14:54] 劣矿的供给
[14:55] 那现在我们看到
[14:56] 像是华欣丽华
[14:57] 最近所开出的盘价
[14:59] 那调涨幅度其实不少
[15:01] 有的调涨美工盾涨4000块
[15:05] 有的调涨2000块
[15:07] 有的调涨3000块
[15:08] 那这一种
[15:09] 由贵金属所引发的价格上涨
[15:12] 目前还是没有力度来得这么大
[15:14] 不过也是值得大家观察的几大方向
[15:16] 再来看一下其他国家
[15:18] 台湾已经算好的
[15:19] 菲律宾是真的进入到政策无解体
[15:22] 由于高度依赖进口能源
[15:24] 95%原油靠进口
[15:26] 那重点是有一半以上来自于中东
[15:29] 菲律宾今年预估通膨率会大幅飙升至5.1%
[15:33] 明显高于央行目标
[15:34] 但问题是菲律宾经济正在放缓
[15:37] 不像台湾现在
[15:38] 景气信号灯还红灯
[15:39] 去年整体作为新兴市场发展国
[15:42] 成长只有4.4%
[15:44] 比台湾还来得低
[15:45] 4.4%
[15:46] 你不要说
[15:46] 这过去几年4.4%好像也不错
[15:48] 它是新兴市场国家
[15:50] 创疫情后的新低
[15:52] 去年它的成长仅次于疫情
[15:55] 菲律宾中央银行最近也点出困境
[15:58] 如果升息可以压通膨
[16:00] 但是会进一步伤害到疲弱的经济
[16:02] 所以目前央行已经表达
[16:05] 不会采取更进一步过度紧缩
[16:07] 或者过度宽松的动作
[16:09] 当然现在政府开始采取行政手段
[16:12] 比如说宣布菲律宾部分企业
[16:14] 鼓励减少工时
[16:15] 推升远距离工作
[16:17] 甚至宣布能源紧急状态
[16:19] 来降低用油需求
[16:20] 呼吁大家没事不要开车
[16:22] 不要骑机车
[16:23] 尽量搭捷运或者走路
[16:25] 那另外一个更有趣的地方是澳洲
[16:28] 我们知道澳洲是能源出口大国
[16:30] 在日常使用的汽油柴油和蓝
[16:33] 就是我们讲说航空的燃料油当中
[16:36] 反而它是高度依赖进口的
[16:38] 这很有趣
[16:39] 因为其实澳洲是天然气出口大国
[16:41] 超过80%的燃料
[16:44] 却反而来自于亚洲
[16:46] 这说明了成品油的部分
[16:47] 它反而是依赖东南亚国家的
[16:49] 而且大多数也跟中东供应链来做联动
[16:52] 现在荷姆兹海峡关闭
[16:55] 部分运往澳洲的油轮已经取消
[16:57] 市场预估在5月中旬左右
[17:00] 会出现明显的缺口
[17:01] 过去因为澳洲其实可以自给自足的
[17:04] 但是它的炼油厂大量的关闭
[17:06] 现在只剩下两座
[17:07] 本土精炼能力严重不足
[17:09] 所以你說就算有點高污染產業為什麼還是要留住台塑台化还是要留住很大批的本土塑化业者当年欧洲也是这样子缺PE
[17:20] 连口罩连防护服都做不出来
[17:23] 所以有时候遇到能源危机的时候
[17:25] 你才会发现
[17:26] 有一些高污染产业
[17:28] 反而是对于国家整体的供应链是有帮助的
[17:32] 短期来看这个问题已经浮现了
[17:34] 澳洲作为能源大国
[17:36] 加油站缺油
[17:37] 农业用油配售不顺
[17:39] 甚至航空班次准备缩减
[17:42] 那真正的压力
[17:43] 大概在本月份就会逐步的展现
[17:45] 澳洲大概是30天到40天的存量
[17:47] 这很低
[17:48] 你看日本都是120天
[17:50] 澳洲只有30到40天
[17:52] 背后就是因为
[17:53] 澳洲长期都依赖
[17:55] 全球供应链的及时进货
[17:56] 而且它也没有什么
[17:57] 地缘政治冲突的压力
[17:59] 所以正常来讲
[18:00] 要的货应该都可以到
[18:02] 结果现在因为中东的问题
[18:04] 成品油高度依赖进口
[18:06] 柴油汽油航空燃料
[18:08] 大量的仰赖亚洲的炼油体系
[18:10] 其中又以南韩比例来的最大
[18:12] 所以按照这样的一个效果
[18:14] 本土炼油产能
[18:16] 现在看起来变成了辅助角色
[18:17] 澳洲作为能源大国缺油了
[18:20] 再来看一下南韩市场
[18:21] 南韩政府在昨天正在评估
[18:24] 如果油价持续往上突破120美元
[18:27] 可能会准备进行限车措施
[18:30] 从公务员扩大到一般民众
[18:32] 这是1991年波斯湾战争以来
[18:34] 首次采取类似行动
[18:36] 财政部长表示
[18:37] 目前希望暂时能够尽快结束
[18:39] 但同时已经为最坏情景做好准备
[18:41] 准备针对公务员实施车牌尾数管制
[18:45] 限制开车进出政府机关
[18:47] 以后来收尔上班
[18:49] 你就搭捷运
[18:50] 你就搭大众运输工具就好了
[18:53] 不要再开车来了
[18:54] 那这就是很明显的能源依赖风险
[18:56] 由国家作为榜样
[18:58] 来尝试的要去削减民众的用油量
[19:01] 那最后呢
[19:02] 我们看到
[19:03] 对于欧洲好像
[19:04] 新兴市场冲击并不大
[19:06] 欧洲毕竟发达市场
[19:07] 还有其他布兰特原油的供应
[19:09] 可是对于欧洲市场而言
[19:12] 我们看到欧债殖利率的大幅飙升
[19:14] 其实也已经彰显到
[19:16] 整个欧洲的借钱成本
[19:18] 压住欧洲央行
[19:19] 有进一步升息的条件
[19:20] 那就是欧洲也有通膨压力的问题
[19:23] 所以导致十年期公债殖利率
[19:25] 不管是西班牙
[19:27] 法国
[19:27] 意大利
[19:28] 全部都在飙升
[19:29] 最近西班牙推出了
[19:31] 50亿欧元的减税计划
[19:33] 帮助民众
[19:34] 可以降低一些负担性压力
[19:36] 意大利的部分消减燃料税
[19:38] 甚至动用到医疗支出
[19:40] 来进行民间的补助
[19:42] 这一波冲击很明显
[19:43] 让整体欧洲市场
[19:45] 再次进入到高赤字和高利率的时代
[19:48] 我们看看美欧股市
[19:49] 四大指数的表现
[19:50] 道琼购买指数下跌
[19:52] 昨天道琼还上涨
[19:54] 小涨49点
[19:56] 0.11%
[19:57] 算15216点
[19:58] 重点是标普
[19:59] 标普跌0.39%
[20:01] 算6343点
[20:02] 标普也不是重点
[20:03] 其实标普纳指最近也还好
[20:05] 科技巨头最近跌幅也不重
[20:07] 纳指跌0.73
[20:08] 收在20794点
[20:10] 昨天真正压力大的是费办
[20:12] 费办关了一整根
[20:14] 4.23%
[20:15] 跌了315点
[20:16] 收在7142点
[20:18] 那很明显
[20:19] 美光昨天中出9.8%
[20:21] 从财报公布以来
[20:23] 它已经跌了快要30%了
[20:25] 虽然相对于标普纳指
[20:27] 美光现在也不够回撤半年线
[20:30] 但整体跌幅很大
[20:31] 而且这个形状就是一个猫的头
[20:34] 或者蝙蝠侠的头
[20:36] 整体快速的回档
[20:38] 基本已经回到今年年初的价位
[20:41] 代表今年以来的记忆体行情一场空
[20:43] 不过去年年底的行情
[20:46] 还有一大段没有跌回去
[20:47] 所以空间的确还有
[20:49] 投资美光全家输光
[20:51] 但我们很清楚知道
[20:53] 这一波主要来自记忆体讯息的传出
[20:56] 最近DDR5出现了几个月以来的首次报价回跌
[21:00] 市场关注的导火线
[21:01] 当然一开始是Google
[21:03] 当时推出TurboQuant的新演算法
[21:05] 号称说
[21:06] 我就不需要这么多的记忆体需求了
[21:08] 可以压到原本的六分之一
[21:10] 但我们讲过
[21:11] 这种恐慌
[21:12] 不代表需求真的消失
[21:14] 这是技术效率的提升
[21:16] 难道我现在的
[21:18] 挥达推出新产品
[21:19] 我可以用更少的能源
[21:22] 创造更大的算力
[21:23] 那重电股就会阴辞而大敌吗
[21:25] 不会
[21:25] 所以正常来讲
[21:26] 这是我们讲的杰文斯悖论
[21:28] 就是先前更便宜
[21:30] 更高效率的AI模型出现之后
[21:32] 它并不会因此就让投资降温
[21:35] 反而会让更多企业快速的导入
[21:37] 笔电价格变便宜
[21:39] 所以所有电子金属件都要跌
[21:41] 不会
[21:42] 笔电的性能越好
[21:44] 就越来越多人会买笔电
[21:45] 所以照理来讲
[21:46] 这个讯息不应该是形成
[21:48] 报价大幅重跌的原因
[21:50] 事实就是
[21:51] 其实报价也没有重跌
[21:52] 报价只是稍微松动
[21:54] 它只是首次回跌
[21:55] 找一个理由来解数这一次的记忆体行情而已
[22:00] 有时候市场往下的时候
[22:01] 你也不需要有太多理由了
[22:03] DDR5这一次崩跌
[22:05] 很明显也不是需求端出世
[22:07] 很明显就是过去可能有些人囤货实在囤太多
[22:10] 有些代理商
[22:11] 台湾也是
[22:12] 可能为了要吃差价
[22:14] 大量的囤货
[22:16] 然后现货价格开始做推高
[22:17] 那现在就发现价格好像稍微囤的有点多
[22:21] 要不然你看一下美光南亚科所释出的合约报价
[22:25] 那个价格其实还在缓步的拉升
[22:27] 说明AI客户需求也没有做显著的松动
[22:30] 足以说明就是
[22:31] 就涨高了
[22:32] 找一个理由让它回来
[22:33] 总不能集体报价
[22:35] 每个季度都这样上涨
[22:36] 而且距离当时的报价
[22:38] 看起来要跌回去有一长段时间
[22:41] 所以回过头来说
[22:42] 我们看到现在的美国股市概况
[22:44] 的确从七巨头来看
[22:46] 跌幅是很重
[22:47] 可是如果是从等权指数来看
[22:49] 你会发现
[22:50] 如果你持有的并不是七巨头
[22:52] 这一波不一定有严重受伤
[22:55] 我们以标普等权指数来看
[22:56] 截至到三月底
[22:58] 标普等权指数居然才跌1.2%
[23:00] 代表每家公司你都设定为五百分之一
[23:03] 你现在才亏一趴
[23:05] 整体SPY大概跌7到8%左右
[23:08] 快要逼近10%了
[23:09] 可是你看其他七巨头
[23:11] 全部跑输给大盘了
[23:13] 去年七巨头怎么跑赢给大盘的
[23:15] 今年就怎么跑输给大盘
[23:17] 苹果跌了8.4
[23:18] 辉达跌了10%
[23:19] Google跌了12.3
[23:20] Amazon跌了13.6
[23:21] 特斯拉跌幅19.5
[23:23] Meta跌幅20.3%
[23:25] Microsoft跌最重
[23:26] 跌了26.1%
[23:28] 好
[23:28] 那我们这个时候就具体来看
[23:29] 看起来是有些股票
[23:31] 非常明显的怪力回调
[23:33] 严重的超跌
[23:34] 那这些基金经理人是怎么看的呢
[23:36] 我们先看不同人的说法
[23:38] 首先看一下艾克曼
[23:39] 比尔艾克曼在这一次市场
[23:42] 进入到修正之际
[23:44] 看起来是非常乐观的
[23:45] 他最新所发布的推特
[23:47] 他说一些全球最优质的公司
[23:49] 正在以极度低估的价格正在交易
[23:52] 忽略主流媒体的声音
[23:54] 这场历史一面倒的战争
[23:57] 最终会对于美国和全世界
[23:59] 带来最好的结果
[24:00] 我们即将会迎来一个巨大的和平红利期
[24:03] 这是很长一段时间以来
[24:04] 买进优质资产的最好时机之一
[24:07] 忽略那些看空的人
[24:09] 这很有趣
[24:11] 他的表态就特别明显了
[24:13] 当然他最近也提到
[24:14] 有两家公司股价跌了40%
[24:17] 房地美和房地美
[24:18] 他也认为估值已经便宜到不行
[24:20] 所以他也不一定是在暗指科技巨头
[24:23] 跌幅有点夸张了
[24:24] 他可能在暗指
[24:25] 某些股票在今年的回涨幅度当中
[24:28] 已经有严重超跌的空间存在
[24:30] 而比尔艾克曼作为过去
[24:33] 最为全球算是少数非常顶尖的经营经理人
[24:37] 他给予的市场喊话
[24:39] 某种程度就意味着
[24:40] 这是逆向投资者
[24:42] 价值投资者非常好布局的时机
[24:44] 看其他人说法
[24:46] 卢比尼的部分
[24:47] 他是末日博士
[24:49] 他这次的核心
[24:50] 认为说真正的风险
[24:52] 并不是单纯油价飙一波
[24:54] 而是油价停太久
[24:56] 他认为如果油价到这个位阶
[24:58] 下个月就回跌
[25:00] 那基本上不会有太大问题
[25:01] 但问题油价只要保持在这个位置
[25:04] 超过一个月的时间
[25:06] 那美方那个时候
[25:07] 到时候一边谈判
[25:08] 一边保留升级的选项
[25:10] 压力就会来得越来越大
[25:12] 所以最后他提醒三件事
[25:14] 第一就是油价不一定要涨到200块
[25:16] 经济才会崩盘
[25:17] 他只要一直维持在100多块
[25:19] 就足够把通膨消费和企业利润一起挤压
[25:22] 股市得崩
[25:23] 第二真正的尾端风险
[25:25] 是战事拖长之后
[25:27] 金融市场进行重新的利率定价
[25:30] 成长和信用风险
[25:31] 最后就是他认为就算停火
[25:33] 油价也未必能够回到战前
[25:35] 因为荷姆斯海峡和中东基础建设的风险溢价
[25:38] 已经长期停留在那边
[25:40] 战事稍微结束
[25:41] 也不代表战事会永远结束
[25:43] 所以市场上针对原油价格
