[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 乖离休政
[03:32] 尤其是杠杆型ETF
[03:33] 在高波动行情下
[03:35] 本来就会有复利损耗的风险
[03:37] 所以这件事情都意味着
[03:39] 市场的筹码倾下
[03:41] 是本轮观察的重点
[03:42] 包括融资的断头潮
[03:44] 南韩市场仍然是AI行情的风向球
[03:47] 我们细看观察南韩股市的ETF
[03:50] EWY大概也回落到了
[03:53] 五月份左右的水准
[03:55] 那这段时间
[03:56] FAB其实一直以来
[03:57] 都还比韩国股市来得更为强劲
[03:59] 那如果韩国股市能够止跌
[04:01] 不过看起来现在有点刹不住车
[04:03] 那也就说明着
[04:04] 本轮的记忆体的修正行情
[04:07] 可以回落到原本该有的水准
[04:09] 可是有趣的事情就是
[04:10] 本轮的记忆体实体报价
[04:11] 也没有任何的松动
[04:12] 记忆体的产能仍然十足的稀缺
[04:15] 所以我们只能说
[04:16] 就是五月六月这一段
[04:18] 让原本的缺货行情该有的涨幅
[04:21] 已经远远超过
[04:22] 它本来就应该要有的适度做拉抬
[04:25] 或者说适度的报价涨幅
[04:26] 市场明显过度透支
[04:28] 可能已经反映到29年30年了
[04:31] 那当然SK海力是即便收盘暴跌14.65%
[04:34] 今年我们讲说
[04:36] 长投者也不认为因此来看就会持续受损
[04:40] 主要就是因为大家都买在6月份
[04:42] 才会有这样的一个冲击
[04:43] 但本身是长期资产配置者
[04:45] 那你就要抓住本轮有怪力回调的空间
[04:48] 今年其实标普500的前10大个股
[04:51] 还是记忆体股
[04:53] Syndex的部分涨幅有487%
[04:56] 戴尔是240%排第二
[04:59] 美光是209%排第三
[05:01] 希杰198
[05:02] 威腾189
[05:04] Intel 142
[05:05] 超为138
[05:07] 其他像是硬材的部分涨幅有101%
[05:10] 所以其实大家就是做校正回归
[05:13] 真正痛的就是买在6月份
[05:14] 那另外一方面
[05:16] 我们的确看到最近长期存储的崛起
[05:19] 正在尝试的改变
[05:20] 全球记忆体产业的长期供需结构
[05:23] 作为中国新一代的第一任龙头
[05:25] 它是否会威胁到SK海力士
[05:27] 或者三星的沉压
[05:29] 甚至是美光
[05:30] 大家会特别的关注
[05:31] 可是另外一方面
[05:32] 增加本土的供给
[05:34] 本来就是压抑全球记忆体价格的好方法
[05:37] 我们过去已经讲过
[05:38] 记忆体价格以这种速度一直上涨
[05:41] 那总有一天这场游戏
[05:42] 一定会提前玩不下去
[05:44] 为什么
[05:44] 100亿的资料中心
[05:46] 里面有50亿60亿都是记忆体
[05:48] 那怎么玩
[05:49] 所以肯定玩不下去
[05:50] 一定要有人帮忙记忆价格
[05:53] 记忆体价格做试图压制
[05:54] 不能够所有的行情都只靠涨价槽
[05:58] 一定要有行情
[05:59] 它是依赖生产力的提升
[06:01] 所以这件事情
[06:02] 你说它真的对于整个AI行情
[06:04] 它是一个泡沫性的憧憬吗
[06:06] 我认为就不一定
[06:07] 它可能更多反映的事情是
[06:09] 它更要求你往生产力度提升
[06:12] 而并不是只提求成本能够无限上升
[06:16] 那另外一方面
[06:17] 我们看到市场最担忧的就是
[06:19] 那如果中国产能开出来之后
[06:21] AI的记忆体是否就会重新回到景气循环行情呢
[06:26] 其实也不会嘛
[06:27] 因为总量仍然在拉升
[06:28] 我们一直讲的节温之悖论
[06:30] 只要你能够适度的把成本做显著的下压
[06:34] 不管是AI模型的成本
[06:35] 还是记忆体的成本
[06:37] 还是晶片的成本
[06:38] 当晶片成本下压以后
[06:40] 不会导致所有产业死光光
[06:41] 反而可以创造新一波的荣景
[06:44] 为什么
[06:44] 因为使用AI的人变多了
[06:46] 有更多的制药中心
[06:48] 可以因此而盖出来
[06:49] 大家的算力就变多了
[06:50] 人类的生产力
[06:51] 就能够有效的提升
[06:53] 就跟洗衣机一样
[06:54] 以前可能总觉得
[06:55] 洗衣机发生以后
[06:57] 可能水电
[06:58] 因为效能更好了
[07:00] 食用量就不大了
[07:01] 水厂电厂压力就很大
[07:03] 结果现在一个人
[07:04] 搞不好一天还要洗两次衣服
[07:06] 最后导致总量需求的抬升
[07:09] 所以这件事情并不是坏事
[07:11] 那真正大家比较关注的
[07:13] 从技术角度面
[07:14] 那就是到处都是乌云笼罩
[07:16] 压力很大
[07:17] 可是从左侧投资面来看
[07:18] 你就会回过头
[07:20] 看低乖离回调幅度
[07:21] 情绪回调幅度
[07:22] 还有本益比的周期情况
[07:24] 其实韩国股市
[07:25] 这一波本益比的持续修正
[07:27] SK海力士本益比都只剩下4倍
[07:30] 主要就是它未来一年EPS的成长预估
[07:32] 实在太惊人了
[07:33] 接近200%
[07:35] 那南韩股市现在的本益比
[07:37] 才8.7倍
[07:38] 真的有很离谱高吗
[07:40] 好像你已经算是在地域第15层16层的感觉了台湾还反而偏高一点有23.9倍中国15.9倍日本24倍美国21倍
[07:51] 你就知道台湾人到底多强了
[07:53] 这个可以硬是把巴菲特指标或者本益比
[07:56] 称到这样的一个规模
[07:57] 当然韩国股市
[07:58] 长期的惯性本益比就比较低一点
[08:01] 所以市场可能这一波的大涨
[08:03] 不愿意给它突破过往本益比的均值评价
[08:07] 照理来讲
[08:08] 如果大家认为记忆体是超级循环
[08:10] 它不再是景气胸宽
[08:12] 那么韩国股市本一笔
[08:13] 好歹回到个10倍15倍再说吧
[08:16] 结果大家还是给它7倍到8倍的水准
[08:18] 一个根本原因就来自于
[08:20] 韩国股市并不是说
[08:22] 它的企业没有竞争力
[08:23] 而是它的企业价值
[08:25] 无法充分反映在股价身上
[08:27] 韩国现在
[08:28] 你要知道韩国是景气金丝去
[08:30] 它有半导体
[08:31] 有记忆体
[08:32] 有造船
[08:33] 有汽车
[08:33] 有电池
[08:34] 有重工产业
[08:35] 企业获利能力并不大
[08:37] 或者说受到的冲击
[08:39] 它的能力并不差
[08:41] 但是由于财阀治理的结构
[08:43] 我们知道韩国股市
[08:45] 常常有那种互相交叉持股
[08:47] 或者股东权益保障不足
[08:49] 资本配置效率偏低的因素
[08:51] 所以就变成市场有一股韩国折价
[08:54] 就是给你的评价
[08:55] 永远都是偏低的
[08:56] 你永远不能够比台湾贵
[08:58] 你永远不能够比中国
[09:00] 比日本比美国还来得贵
[09:02] 因为你们的互相交叉持股
[09:04] 会导致我们在统计过程当中容易失证
[09:07] 所以为什么韩国这几年
[09:08] 才要尽可能的做
[09:09] 企业内部治理的改革
[09:11] 这就很重要
[09:12] 所以第一件事情就是
[09:13] 韩国股市本益比
[09:14] 其实没有想象中来得高
[09:15] 真正往下摔
[09:17] 可能更多是属于杠杆型的摔
[09:19] 回到杠杆爆发前的
[09:22] 4月份3月份
[09:23] 也许它就是一个合理的评估
[09:25] 那第二个角度是整个大盘
[09:27] 你像费办的前瞻本益比
[09:29] 以明年EPS来做推算
[09:31] 大概已经下滑到19.5倍了
[09:33] 这几乎回到10年平均19.7倍
[09:36] 所以我们才讲说
[09:37] 而不只是巨头
[09:38] 现在几乎遍地是钻石
[09:40] 假设AI没有泡沫破灭的话
[09:42] 那它的获利按照目前的股价
[09:44] 已经很便宜了
[09:45] 费办也是
[09:46] 不要看费办已经涨这么多
[09:48] 费办现在前瞻本益比才19.5倍
[09:51] 比过去5年的平均值23.8倍
[09:54] 都还来得低
[09:55] 你说怎么会股价这么贵
[09:56] 它的本益比这么低呢
[09:58] 真的跟韩国股是一样
[10:00] 它的获利爆发速度实在太快了
[10:02] 所以我们也看得很清楚
[10:04] 你说市场上是在担心
[10:06] 我的机器很高
[10:07] 太贵了
[10:09] 是在担心本益比过高吗
[10:10] 根本没有人在担心巨头或者废办的本益比太高
[10:14] 因为他们的EPS早就已经证明自己能够经得起这样的一个评价
[10:19] 真正的问题是来自于市场开始怀疑了
[10:22] AI投资是否能够带来持续性的获利和自由现金流
[10:26] 现在的财报是好的
[10:27] 但是我担心你未来
[10:29] 因为你投了太多钱
[10:30] 怕你AI变现速度不如预期
[10:33] 这才是根本的重点
[10:34] 这个不如预期
[10:35] 它提前反映在债市
[10:37] 在股市上
[10:38] 在本益比上
[10:39] 你是完全看不出来
[10:40] 有这种市场上觉得它本益比
[10:42] 或者估值过高形成的疑虑
[10:44] 所有的疑虑
[10:45] 待会都是我们会聊到
[10:46] 在债市身上
[10:47] 也就是CDS价格的持续走高
[10:50] 加上我们也知道
[10:51] 第二件事情就是
[10:52] 流动性到达一定程度以后
[10:54] 你就借不下去了
[10:56] 我举例来说
[10:56] 我稍微问了一下
[10:57] 台湾各大券商
[10:59] 之前都是那个利率有的很离谱
[11:01] 有分券商利率
[11:03] 又有分银行端的利率
[11:04] 那银行战略率以前大概2%多
[11:07] 现在都来到3%到4%
[11:09] 然后券商端有的到7%8%
[11:12] 最重要的事情是
[11:13] 打电话问了一圈
[11:14] 没额度了
[11:15] 什么意思
[11:16] 以前就一直借钱执押
[11:18] 让你玩玩玩
[11:19] 玩到一定程度以后
[11:20] 不借你钱了
[11:21] 韩国市场金管当局收缩了
[11:24] 杠杆型ETF不会再上市了
[11:26] 调整保证金
[11:27] 在美国股市的部分
[11:29] 流动性的供给
[11:30] 似乎已经开始有点稀缺
[11:32] 为什么
[11:33] 因为短期内的IPO案
[11:35] 让大家透支过多
[11:36] 所以现在其实根本原因
[11:38] 我认为就两点
[11:39] 第一
[11:40] 你说难免对AI有怀疑
[11:42] 这是一种情绪因子
[11:43] 那实体因子是什么呢
[11:44] 流动性不够了
[11:45] 钱玩不下去了
[11:47] 借不到那么多钱了
[11:48] 是要卖点股票了
[11:49] 大概就是这样的一个原因
[11:50] 我们举例来说
[11:51] 美国在今年首次公开募股的金额
[11:54] 已经创下历史高点了
[11:56] 整个26年公开募股金额
[11:58] 是高达1600亿美元
[12:00] 你要想想看
[12:01] 我现在一方面
[12:02] AI巨头又在跟你借钱
[12:04] 发行投资等级债
[12:05] 然后AI又在跟私募信贷来做借钱
[12:08] AI巨头还把资料中心抵押给银行
[12:11] 再来借钱
[12:11] 然后一般民间也去持押跑来借钱
[12:14] 持押满了之后
[12:15] 跑去办公抵押贷款
[12:17] 把房子抵押给你
[12:19] 跑来借钱买股票
[12:20] 那现在连IPO市场也跟你借钱
[12:23] 已经超越2000年
[12:24] 07年
[12:25] 14年
[12:25] 21年了
[12:26] 借钱借光了
[12:27] 总要有一点校正回归嘛
[12:29] 那钱哪来这么多
[12:30] 联准会现在还是在偏紧缩格局啊
[12:32] 流动性的释放也是相当有限
[12:34] 所以怎么办呢
[12:35] 那当然了
[12:36] 最后就变成市场集体性的
[12:38] 有人是获利了结卖压
[12:39] 有些人是停损
[12:41] 但就是集体流动性的收缩
[12:43] 但是最后呢
[12:44] 他造成的结果就是
[12:45] 本益比没有失真
[12:46] 所以这些股票
[12:47] 现在
[12:48] 以前都是有些股票很贵
[12:50] 有些股票没那么贵
[12:51] 现在是
[12:51] 大家其实都蛮便宜的
[12:53] 就如同我们昨天提到的
[12:54] 台积电本益比是29倍
[12:56] 微软20倍
[12:57] Google22倍
[12:58] 辉达只有16倍
[13:00] Meta16倍
[13:00] 加果文11倍
[13:01] 美光只有6倍
[13:02] SK海力士本益比居然只剩下4倍
[13:05] 当然了很多人习惯用二元对立来看待市场
[13:08] 觉得本益比过高那就是泡沫
[13:10] 本益比低就一定是机会了
[13:12] 这还是有它的range存在
[13:14] 估值贵一定跌
[13:15] 估值便宜就好像一定涨
[13:17] 但有时候投资真正困难的地方
[13:19] 就是市场它也从来都不是非黑即白的
[13:22] 如果你用单纯本益比的解图
[13:24] 你就会觉得这下就绝对买点绝对卖点
[13:27] 那你可能就忽略了市场流动性的问题
[13:30] 市场过去杠杆极度拉成的问题
[13:32] 那废办的预估本益比
[13:34] 现在已经回到
[13:35] 十年的平均值附近了
[13:37] 那有代表他不会有沉压吗
[13:38] 他再跌一层
[13:40] 今年都还是正报酬呢
[13:41] 所以就代表着
[13:42] 你要用不同的角度来看待
[13:44] 不要用单纯二元对立
[13:45] 说本益比高就一定是
[13:46] 永远一定要下跌
[13:47] 有时候会更高嘛
[13:49] 因为他透支提前EPS的财富效果
[13:51] 估值只是价格
[13:53] 真正决定企业价值的
[13:55] 还是你本身的原则
[13:57] 你的科技乐观论
[13:58] 你的未来的获利能力
[14:00] 还有你的现金流
[14:01] 把它交结在一起
[14:02] 形成的投资原则
[14:04] 所以也不要用那么
[14:05] 二元对立的方式
[14:05] 来做直接市场的看待
[14:07] 那估值回调也不代表
[14:09] 一定要接下来就要大涨
[14:10] 只是说它现在的价格
[14:12] 变成合理
[14:13] 那妻子问丈夫
[14:15] 你是喜欢我的温柔可爱
[14:18] 还是喜欢我的聪明美丽呢
[14:21] 那丈夫说
[14:22] 我就喜欢你的幽默感
[14:24] 所以有时候
[14:26] 我们要跳出二元对立
[14:27] 市场同时有时候经常会出现这种
[14:30] 看似矛盾的事实
[14:31] AI需求很强劲
[14:33] 那应该要继续涨
[14:34] 但是资本支出带来的财务压力
[14:36] 也在持续增加
[14:37] 估值回到合理区间
[14:39] 但是投资人可能会下修过来的EPS获利
[14:43] 那回到合理区间
[14:44] 未来就有可能本益比更低
[14:45] 所以我们用不同的角度来做看待
[14:48] 就是希望大家不同的数据
[14:50] 层层交叠以后
[14:51] 得出一个你的中心原则
[14:53] 这给投资朋友做一些参考
[14:54] 好我们看一下四大指数的表现
[14:56] 道雄指数上涨537.1.03%
[14:59] 收在52747点
[15:01] 表现还不错
[15:02] 可能再一根就创下历史新高了
[15:04] 标普上涨15.0.21%
[15:06] 收在7428点
[15:08] 其实从整个大盘来看
[15:10] 算是稳定
[15:11] 有一点盘头
[15:12] 不过从整个标普
[15:14] 现在其实还在高位盘旋而已
[15:16] 纳指压力有一点
[15:17] 不过昨天留了一根下影线
[15:19] 下跌55.002%
[15:21] 收在24876点
[15:23] 涨最多也是跌最多就废板了
[15:25] 下跌519点
[15:26] 4.49%
[15:27] 收到11035点那由于台股韩股跟费办连结程度比较高也会因此而被拖累你像昨天台北股市大跌了2030点跌幅有4.65%
[15:39] 史上第三大的收盘跌点
[15:42] 这有些人说
[15:43] 前阵子都会开玩笑
[15:44] 碎碎公园
[15:45] 我们要去拿挨针石了
[15:47] 昨天听说一片
[15:49] 临近
[15:51] 一片祥和
[15:52] 没有任何的谈话
[15:54] 好那就是有痛道了
[15:56] 好不过呢
[15:56] 这只是有痛道
[15:57] 有没有断头这还很难说
[15:59] 因为我们要这样讲
[16:00] 外资在今年的卖潮低幅度
[16:03] 从6月7月加起来已经超过一兆了
[16:05] 不过台股也不过从48000修正回41000
[16:09] 台股现在跌幅才13%
[16:11] 韩国股市已经跌幅快要四成了
[16:13] 费办跌幅快要三成了
[16:15] 从这个角度来说
[16:16] 台股其实内部买盘已经相当显著做支撑了
[16:20] 所以第一个角度当然就是
[16:22] 台股的ETF买盘还可以投资多少
[16:24] 我认为这跟出口订单高度绑定
[16:26] 第二是外资台子期的进空单
[16:29] 何时会停止增加
[16:31] 甚至开始回补
[16:32] 反映市场的避险情绪的降温
[16:34] 这是很重要的
[16:35] 因为现在以前都是外资不动作没关系
[16:38] 反正靠台股推
[16:39] 现在外资的确卖压很沉重
[16:41] 所以等同于多了一道阻力
[16:43] 第三当然就看内部
[16:45] 就是融资余额是否有效的下滑
[16:47] 市场是否已经完成了去杠杆
[16:49] 我们如果细看
[16:50] 现在如果加权指数的融资维持率
[16:54] 大概已经滑落到140%左右
[16:56] 贵买就更低了
[16:58] 贵买是警戒线
[16:59] 贵买大概在131左右
[17:01] 全市场融资维持率
[17:03] 低于130%的断头区的个股
[17:05] 已经高达432档
[17:07] 130到145
[17:08] 大概有497档
[17:10] 当然了
[17:11] 如果根据证交所
[17:12] 在昨天所公布的数据
[17:13] 因为证交所昨天是
[17:14] 比较难得紧急澄清
[17:16] 说目前的信用维持率是175%
[17:19] 跟市场就个股来做直接推估
[17:22] 感觉有非常明显落差
[17:23] 有些人认为
[17:24] 就差5% 10%就要断头了
[17:27] 怎么会现在还在175呢
[17:29] 证交所的说法有道理吗
[17:31] 其实主要还是来自于
[17:32] 官方整户维持率
[17:34] 和民间的统计
[17:35] 它本来就会出现一些落差
[17:37] 一个是监理机关
[17:39] 真实账户的抵消机制
[17:40] 另外一个是市场软体的总量推股
[17:43] 就是市场在统计的过程当中
[17:46] 它会用个股
[17:47] 假设你只持有这档个股
[17:49] 那你什么时候断头
[17:50] 但是市场用整户维持率
[17:53] 它算的是
[17:54] 把你整个账户里头的钱
[17:56] 投资人户头内的多空部位
[17:59] 实质抵消以后
[18:00] 那你现在有没有曝显过多
[18:01] 所以统计过程当中
[18:03] 有点区别
[18:03] 不过证交所
[18:05] 在这个时间点
[18:06] 释出这样的一个谈话说
[18:07] 今日违约交割只有200万
[18:10] 也没有大规模断头
[18:11] 不要紧张了
[18:12] 那是不是暗示着
[18:14] 好戏还在后头呢
[18:15] 韭菜砍不断
[18:17] 春风吹又生
[18:19] 至少昨天融资是减了大概200亿左右
[18:21] 那你这一波
[18:22] 你说要减回以前那种两三千亿的水准
[18:25] 也有点难度
[18:25] 那要跌多少
[18:27] 但是用这样的一个方式
[18:28] 让融资鱼儿慢慢的降温
[18:30] 那维持率就保持在这样的一个区间
[18:33] 如果是以民间维持率的话
[18:34] 保持在140 150
[18:36] 你就也不用破底了
[18:37] 就一直维持在这样的一个区间
[18:38] 市场慢慢的降温
[18:40] 也是有帮助的
[18:41] 我们也知道今年是选举年
[18:44] 大家这几年也观察到
[18:46] 从蔡政府以后
[18:48] 那个互盘的频率和力度都很明显增高了
[18:52] 那以前互盘
[18:54] 有时候互一整年的
[18:56] 互到你谈判结束为止
[18:58] 效果还不错
[19:00] 那你说如果真的发生什么事情
[19:02] 你说互盘互到下一次AI大爆发
[19:06] 互盘互到资料中心盖完
[19:09] 或者互到上火星再停下来
[19:12] 也不是不行
[19:13] 对不对
[19:13] 所以有时候我们还是要了解说
[19:15] 在本年度的选举行情
[19:17] 不管是美国股市还是台北股市
[19:19] 它都一定会有这样的一个色彩在其中
[19:21] 当然如果是以部分融资维持率
[19:24] 已经低于130的个股
[19:25] 那很多都碰到了
[19:27] 像国区和和生堂
[19:29] 金像店金区台办
[19:30] 所以这一波就是涨最多的
[19:32] 涨价潮的杀最凶
[19:34] 洗筹码杀断头
[19:36] 那接下来就要观察一下
[19:37] 在个股上的持续下压
[19:39] 那很多
[19:40] 之前是看到黄翔吗
[19:41] 建设公司
[19:42] 他真的国际就买在1100 1200
[19:45] 那很多的
[19:47] 我们不能讲少年股神
[19:48] 很多人的确想要靠这一波的涨价潮
[19:51] 来证明自己
[19:51] 我们就过去讲过
[19:52] 杠杆是拿来超车的
[19:54] 不是拿来飙车的
[19:55] 那真的会翻车
[19:56] 那翻车以后就是要有人帮你翻身了
[20:00] 所以我们讲过
[20:01] 有时候对于大盘的合理报酬
[20:04] 和市场的行情
[20:05] 要抱持一定的理性程度
[20:06] 你说我乐不乐观
[20:07] 我其实还是蛮乐观的
[20:09] 对于后市
[20:09] 但是不代表要上这样的杠杆
[20:12] 因为你会看对趋势
[20:13] 但是实在波动
[20:14] 我们最怕那个富二代是怕什么
[20:17] 就怕富二代雄心壮志
[20:20] 就怕富二代想证明自己
[20:22] 对
[20:23] 但是你不怕富二代
[20:25] 买买跑车
[20:26] 对不对
[20:26] 泡泡酒店
[20:28] 泡夜店
[20:29] 没关系
[20:29] 比起吃喝玩乐
[20:31] 花钱消灾的败家子
[20:33] 认真想投资的
[20:35] 那个杀伤力反而更大
[20:36] 更容易把家产或者企业赔光
[20:38] 对不对
[20:39] 所以那儿子打电话给妈妈
[20:42] 妈还可以再借我50万吗
[20:45] 妈妈说这么大笔
[20:47] 你要这笔钱干嘛
[20:48] 没有了
[20:49] 我吸毒想借点钱
[20:51] 那就好
[20:52] 我还以为你在抄底国际呢
[20:54] 所以现在还看起来
[20:57] 按照证交所的表示
[20:58] 还在补钱的阶段
[21:00] 还没有断头
[21:00] 那我们就要看一下
[21:01] 这一波的洗盘
[21:02] 的确了
[21:03] 因为太多次的V转了
[21:06] 所以很多人可能就再盯几天就过了
[21:09] 再盯几天就过了
[21:10] 但是呢
[21:11] 如果这一次盘整时间拉长
[21:14] 它的确就有机会把筹码给清洗干净
[21:17] 因为从川普行情之后
[21:18] 我们已经很久没有遇到
[21:20] 三个月级的终极回调了
[21:22] 最多三个礼拜
[21:23] 从川普行情之后
[21:24] 大家好像已经没办法接受那种
[21:26] 一个礼拜没什么波动
[21:28] 然后筹码的沉淀
[21:29] 然后大家不再看股市的那种感觉了
[21:31] 好像大家只是热度越来越高
[21:33] 这是值得观察的几大重点
[21:35] 好那我们回过头说
[21:36] 等同于全球的半导体市场都在降温
[21:39] 但这一股的降温并没有带动整个大盘
[21:42] 迎来史诗级的系统性买压
[21:44] 所以可以更类似于
[21:45] 涨高的来做系统性的调节
[21:48] 那这个系统性调节的过程当中
[21:50] 肯定会有一些类股被严重挫杀
[21:52] 甚至回到三月份的水准
[21:54] 那他们可能又要重新处于低基期了
[21:56] 加上现在是7月29号
[21:59] 再过两天
[22:00] 7月就过了
[22:01] 我们过去跟投资朋友分享过
[22:03] 纳斯达克在整个7月份
[22:05] 近年表现的月份
[22:07] 从波动率来看
[22:08] 其实市场第一波动力大
[22:10] 第二卖压也相对沉重
[22:11] 过去五年平均报酬率
[22:13] 整体大概是-6%
[22:15] 下压幅度算是蛮大的
[22:18] 21年到26年的7月份
[22:20] 已经是连续六年
[22:22] 都是属于全面性的收回
[22:23] 所以7月现在也被高Beta股票
[22:26] 视为大屠杀月
[22:27] 它是主要针对高波动性的股票
[22:29] 来看待在7月份的表现
[22:31] 看得很清楚
[22:32] 也许大股票大盘波动并不大
[22:36] 可是如果是高Beta值的股票
[22:39] 在当年度
[22:40] 7月反而是特别容易让人卖的
[22:42] 这也很神奇
[22:43] 因为7月也没有什么特殊的月份
[22:46] 没有缴税那也是上半年
[22:49] 台湾也就五六月而已
[22:50] 就他专门杀在7月
[22:52] 所以再过两天
[22:53] 熬过7月份以后
[22:55] 也许就有机会匹极泰来
[22:57] 不过我更希望的是长期盘整
[22:59] 盘到大家没有意愿
[23:01] 这最好
[23:01] 昨天才看到网友分享
[23:03] 我们过去分享过的诗词
[23:05] 银丝一手
[23:07] 十年炒股两茫茫
[23:10] 先亏车
[23:11] 后赔房
[23:13] 七月回党无处化其良纵有涨停仍不适人跌傻奔陪光前颇停损却大涨睡不着吃不香望盘无言
[23:25] 唯有泪千行
[23:26] 料得年年断肠处
[23:28] 明月夜陪光光
[23:31] 眼眶失人
[23:33] 舒适
[23:34] 舒适
[23:35] 好像不是舒适写的
[23:36] 好不重要
[23:37] 难得难得
[23:38] 突然吟诗一首
[23:39] 七月份过以后
[23:40] 痞疾太来
[23:41] 好不好
[23:41] 痞疾太来
[23:42] 祝大家赚薄薄
[23:43] 回过头说
[23:44] 那到底市场上的担忧
[23:46] 你说从头到尾基本面就没有任何恶化
[23:48] 那本益比还有够低的
[23:49] 那到底发生什么事情呢
[23:51] 一样从债券市场来做评价
[23:53] 那就是在利率预期的部分
[23:55] 担心由债券市场的评价的下修
[23:58] 回过头来影响到股市
[24:00] 我们前阵子跟投资朋友提过
[24:02] 因为六大科技公司
[24:04] 目前的存续期间成信用力差
[24:06] 我们讲的DTS
[24:07] 已经在美国投资等级公司
[24:09] 在大概8.6%
[24:11] 比六大银行来得高
[24:12] 你要知道美国照理来讲
[24:14] 长年期应该都是银行发的债最多
[24:16] 因为银行就是管钱的
[24:18] 他要发债去玩
[24:19] 结果七巨头
[24:20] 他的债务体量
[24:22] 已经明显比美国银行发行的债务体量来得大
[24:26] 所以在这样效果底下
[24:27] 市场上当然也不是担心
[24:29] 这些科技公司立即就要尾约
[24:30] 他是担心资金过度集中在AI题材
[24:33] 那一旦庞大的资本之处
[24:35] 无法带来足够回报
[24:36] 那我能不能优先获得债券上
[24:40] 债务上的回馈
[24:41] 这是市场上的沉压
[24:42] 我们看美银的报告
[24:44] 从哈内特的角度来说
[24:45] 现在市场上的重点压力
[24:47] 其实真的就只在于债市
[24:49] 股市顶多就校正回归而已
[24:51] 我们看最近的信用利差
[24:53] 信用违约交换的CDS价格
[24:54] 还有企业融资成本的全面恶化
[24:57] 科技公司的债券
[24:58] 已经跌破两年新低
[25:00] 现在美国30年级公债
[25:02] 殖利率是5.2
[25:03] 所以这些公债
[25:04] 或者说我们讲说
[25:05] 这些投资整体债
[25:06] 都已经飙到7到8%的
[25:08] 殖利率水准
[25:09] 那这其实回过头
[25:11] 就会对于股票市场形成沉压
[25:13] 那根本原因就来自于
[25:15] 市场预估
[25:15] 这一项债券价格
[25:17] 可能会进一步恶化
