[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 已經想上去了
[08:18] 反而沒有想象中來的大
[08:20] 那黃金我們過去已經提過了
[08:22] 黃金這一波的急跌
[08:24] 的確短時間內啊
[08:25] 把市場的ETF買盤稍微做一些收斂
[08:28] 嘗試的進行清洗
[08:30] 不過呢也沒有甩的很乾淨
[08:32] 因為這幾天
[08:33] 我們看到黃金買盤的ETF量能
[08:35] 仍然在提高
[08:37] 黃金準確現貨價格下跌1%
[08:39] 每盎司收債5013蓋
[08:42] 黃金期貨價格大概在5030塊左右
[08:45] 那我們過去提過
[08:46] 在股市震盪
[08:47] 利率維持高檔和地緣政治
[08:49] 不確定性升溫的背景底下
[08:51] 至少從軟資產往硬資產的配置輪動方向不斷的進行輪動
[08:57] 而之前我們就有提過了
[08:59] 尤其是貴金屬
[09:00] 尤其黃金相對於銀價
[09:02] 從金銀比角度而言更具有吸引力
[09:05] 那也提過黃金在左側調節也不用特別悲觀
[09:08] 那現在唯一的問題是
[09:10] 好像也沒買多少他就談回來了
[09:12] 這是另外一個層面的問題
[09:14] 但是2026年黃金能夠持續上漲的關鍵主力
[09:17] 來自於幾個助力
[09:19] 首先是地緣政治和經濟不確定性仍然高
[09:22] 像是全球貿易緊張
[09:24] 金融政策模糊等模糊事件
[09:26] 這些會促使資金
[09:28] 至少有避險性的買盤持續湧入
[09:30] 第二就是美國和其他主要的經濟體
[09:33] 和貨幣政策偏向於寬鬆
[09:35] 或者利率維持高位
[09:37] 但增長前景疲軟
[09:38] 這導致實質殖利率其實是受限的
[09:42] 降低持有無息黃金的機會成本來支撐價格
[09:46] 第三就是全球央行一直在買黃金
[09:48] 這就不用講了
[09:49] 每一次回檔
[09:50] 幾乎全球央行都會扣款力度
[09:53] 加上投資人
[09:54] 現在針對ETF和其他工具的持有
[09:56] 都提高了真實的需求
[09:58] 所以在這樣效果底下
[10:00] 黃金價格的拉昇
[10:02] 導致的系統單的買入
[10:04] 更進一步造成
[10:05] 黃金在一個偏多環境裡頭
[10:07] 即便價格漲了這麼多
[10:09] 但黃金真正過往的陌生段
[10:12] 通常是伴隨著降息週期來到尾聲
[10:15] 那當然就取決於
[10:17] 那你相信WASH
[10:18] 它到底是如何看待當前的降息未結
[10:22] 到底是剛開始降
[10:23] 目前已經正在降
[10:25] 還是已經降到準備結束了
[10:27] 那我們當然會有不同想法
[10:28] 那加上另外一大因素是
[10:30] 針對美元的貶值效果
[10:31] 美元只要貶月胸
[10:33] 畢竟黃金是以美元計價
[10:35] 本身就有價格的拉伸作用
[10:37] 那美元長期就被作為全球避風港
[10:39] 但這一次
[10:40] 即便地緣政治的動盪很大
[10:42] 美元仍然持續走弱
[10:43] 一個根本原因並不在於利率預期
[10:46] 是外國投資人對於美國資產和政策
[10:49] 穩定性的信心恰滑
[10:51] 就是去美元化
[10:52] 或者我們講說
[10:54] 美元敘事的轉落
[10:56] 不一定是真的要拋棄美元
[10:58] 但是多配置一點歐元
[11:00] 多配置一些人民幣日幣
[11:02] 可能對於國際投資者更具有吸引力
[11:05] 尤其美歐股市
[11:06] 如果政策的反覆
[11:08] 關稅的反覆
[11:09] 那增加不確定性
[11:10] 資金當然就不會把
[11:12] 單純美元視為避風港
[11:14] 那反而可能以美元計價的黃金
[11:17] 視為重要的避風港
[11:18] 另外一個壓力就是資產的避險操作
[11:21] 和資產的再平衡
[11:22] 很多長線投資人
[11:23] 雖然還沒有大幅的賣出美國資產
[11:26] 但增加匯率的避險部位
[11:28] 就是一邊要持有美股美債
[11:30] 一邊要賣出美元來索匯
[11:32] 這個很正常
[11:33] 因為假設接下來是降級格局
[11:35] 那按照川普的預期
[11:37] 今年要減少貿易逆差的方式
[11:39] 就是讓美元持續貶值
[11:40] 那很有可能我賺到了美國AI股的報酬
[11:43] 但是我喪失了美元的匯率
[11:45] 所以最好的做法是什麼呢
[11:47] 持有美股做空美元
[11:49] 這是一個標準的國際的套利行為
[11:52] 在這樣效果底下
[11:53] 歐洲和亞洲資產的吸引力
[11:55] 也在緩步的上升
[11:56] 所以如果我們往下看
[11:58] 第一步就是針對整個債券市場
[12:00] 是否能夠產生輪動
[12:02] 畢竟美股AI股現在來到高位區間
[12:05] 開始由價值股或者中小型股來帶頭衝
[12:08] 那麼債券資產報酬今年還是正報酬
[12:10] 去年也是正報酬
[12:12] 今年有沒有更進一步的拉昇呢
[12:14] 昨天我們提到
[12:14] 因為Google
[12:16] Alphabet這一次在英鎊市場
[12:18] 發行了相當罕見的
[12:19] 100年級的公司債
[12:21] 規模10億英鎊
[12:22] 而且認購需求是接近有10倍
[12:24] 市場下單金額
[12:26] 大概是95億英鎊
[12:28] 同一批英鎊分歧債當中
[12:30] 現在看起來Google是最為搶盡的一檔
[12:33] 那當然了
[12:34] 百年債券
[12:35] 對於企業和風險來說
[12:37] 都是一個很高的象徵意義
[12:38] 因為幾乎沒有人能夠確定
[12:41] 一家科技公司的商業模式
[12:42] Michael Berry就說
[12:43] 那之前Motorona
[12:45] 也是發了百年期債券以後
[12:47] 結果就一路向下
[12:48] 不過它也沒倒閉
[12:49] 重點在於這種超常債
[12:52] 過去多半由政府
[12:53] 或者歷史悠久的學術機構來發行
[12:56] 長天級對於利率的變動幅度很敏感
[12:59] 價格波動也會被放大
[13:00] 像以前奧地利
[13:01] 過去在低利率時期
[13:03] 曾經發行過百年國債
[13:05] 後來因為利率上升
[13:06] 市價一度跌到不到面額的三成
[13:09] 所以長天級國債或者長天級債券風險是很大的
[13:13] 不過市場的需求還是很強硬
[13:15] 說明大家是挑公司
[13:17] 好的公司的債權我仍然願意持有
[13:20] 當然現在WASH重寫聯總會和財政部的協議
[13:25] 也會讓大家擔心
[13:27] 那你就說投資等級債表現不錯
[13:29] 美國國債表現會好嗎
[13:31] 我們知道WASH之前就主張
[13:33] 應該和美國財政部來簽訂類似1951年的新協議
[13:37] 來重新界定雙方在債券市場
[13:40] 與資產負債表上的分工
[13:42] 市場會擔心
[13:43] 新的框架會讓財政部
[13:44] 直接影響到聯準會的資產配置
[13:47] 和購債節奏
[13:48] 等於把貨幣政策
[13:50] 和政府融資更緊密的綁在一起
[13:52] 可能被解讀成變相的配合壓低利率
[13:55] 甚至可能接近殖利率曲線的控制
[13:58] 但是至少我們可以看到
[14:00] 沃許本身對於整體債券市場
[14:03] 仍然抱持著持續縮表態勢
[14:05] 08年金融海嘯以後
[14:07] 聯準會開始大量的買進美國公債和MBS
[14:10] 資產負債表一路的擴張
[14:12] 20年是第二次的跳升
[14:14] 持有規模一度接近到9兆
[14:16] 那麼沃許的看法是
[14:17] 我們可以進行利率的調控放鬆
[14:20] 這個是為了呼應民意
[14:21] 但是呢細節來說
[14:23] 我們必須要持續的縮表
[14:25] 以防市場上針對聯準會
[14:27] 長期這種QE
[14:29] 可能引發的系統性錯覺
[14:31] 認為任何時機
[14:32] 只要市場發生了意外
[14:34] 我永遠都會撒錢
[14:35] 我們必須讓市場上
[14:37] 不要有這樣的一個想象空間
[14:38] 聯準會還是中性獨立的
[14:40] 所以既然現在經濟也沒有到很差
[14:42] 我們持續的進行縮表
[14:44] 仍然是主流意志
[14:46] 就在這樣的一個下落底下
[14:47] 債券價格的供給減少
[14:49] 那其實是有利於債券價格的上漲的
[14:52] 所以後續我們要觀察的幾大效果是
[14:54] 什麼時候債券能夠回到常態化
[14:57] 什麼是常態化
[14:58] 就是最近10年期公債殖利率
[15:00] 還是沿著去年低點以來的上升通道震盪
[15:04] 其實降息通道已經開啟了
[15:06] 而且或許也已經擔任聯總會主席了
[15:08] 五月就要擔任了
[15:09] 現在反而公債殖利率在慢慢的走高
[15:13] 那最值得警惕的就是債券波動率指標
[15:16] MOOF指數
[15:16] 就是債券的恐慌指數
[15:18] 很有趣
[15:19] 那債券殖利率在往上走
[15:21] 可是MOOF指數
[15:22] 恐慌指數它卻是一路的向下
[15:25] 雖然有反彈
[15:26] 不過形成一種股市和債市居然同一時間
[15:31] 波動率指數都在緩不往下掉的一個跡象
[15:35] 歷史上標普500走勢和反向的move高度同步
[15:39] 也就是通常債市越穩
[15:41] 股市越容易撐高
[15:42] 那債市波動率回升
[15:44] 股市估值的風險偏好
[15:45] 往往會跟著受驚
[15:46] 所以現在有趣的情況就是
[15:48] 即便公債殖利率調高
[15:50] 市場的恐慌也沒有因此而增加
[15:53] 那麼如果債券市場保持平穩
[15:55] 就有利於美國股市估值的持續走穩
[15:58] 這反而就變成了股債之間的穩定聯動也就是很有可能今年跟去年一樣有可能到年底我們還是看到股市和債市是股債同步雙漲那當然了
[16:10] 這樣的一個效果就變成
[16:12] 如果最後
[16:13] 今年除了比特幣以外
[16:14] 大家都上漲了
[16:15] 比的就是績效了
[16:16] 比的就不是誰賺誰賠了
[16:18] 那誰賺誰賠啊
[16:19] 這個時候
[16:20] 非美市場就獲得更進一步的青睞
[16:22] 為什麼
[16:22] 因為投資美股
[16:23] 有可能賺到AI股的獲利
[16:25] 但是賠掉會差嘛
[16:27] 所以新興市場部位
[16:28] 在過去一段時間
[16:30] 資金湧入速度也不斷加快
[16:32] 目前資金正在大舉的迴流到新興市場
[16:34] 從今年春天以來
[16:36] 新興市場的資產表現
[16:38] 很明顯壓過成熟市場
[16:39] 背後最為直接的訊號就是資金流向
[16:42] 目前資金流入已經創下多年來的新高
[16:46] 全球新興市場資金已經出現
[16:48] 2004年以來最強的買盤之稱
[16:50] 那結構性的題材也在幫AI市場加分
[16:53] 新興市場很多是AI股
[16:55] 像什麼AI供應鏈
[16:57] 擴散到半導體硬體的製造業重症
[16:59] 臺韓市場就是這樣子
[17:01] 工業金屬和原物料集中在南美洲市場
[17:04] 那部分地區呢
[17:05] 具備人口紅利的優勢
[17:07] 加上估值面啊
[17:08] 相對於成熟市場還是有折價
[17:10] 所以使得資金啊
[17:11] 配置在這些新興市場的意願
[17:13] 仍然不斷的提高
[17:14] 所以我們看到
[17:15] 2026年的今年的新興市場表現
[17:18] 仍然遠遠優於過去幾年的水準
[17:21] 尤其臺灣現在是新興市場最大權重股票
[17:25] 已經正式超過中國了
[17:26] 所以新興市場的配置一多
[17:29] 臺股的外資買盤就有可能會因此迴歸
[17:32] 這是另外一層關注的重點
[17:34] 可是你說那現在市場上最強的股票
[17:37] 應該還是美國的AI股才對
[17:38] 沒錯
[17:39] 所以有兩種方式
[17:40] 一個就是美股AI配置
[17:42] 臺股AI配置
[17:44] 那就變成了國際型投資者
[17:46] 另外一種就是你稍微對沖一下美元風險
[17:48] 或者你就不要管美元了
[17:50] 長期定期定額
[17:51] 把美元匯率的風險嘗試的進行沖銷
[17:54] 用這樣的方式也可以度過
[17:56] 畢竟納斯達克指數
[17:57] 不像新鮮市場不斷的創高
[17:59] 納斯達克指數已經盤整了
[18:01] 接近快要一個季度左右了
[18:03] AI熱潮的暫時降溫
[18:05] 一方面最近是因為軟體股
[18:07] 導致新一代的AI工具
[18:09] 衝擊到商業模式而遭到拋售
[18:11] 另外一方面
[18:12] 科技巨頭宣佈
[18:13] 今年砸下數千億美元的
[18:15] 擴建AI基礎建設計劃
[18:17] 讓市場現在很謹慎的去
[18:19] 看它的投資報酬率
[18:20] 覺得估值已經太沉
[18:22] 相對之下
[18:23] 現在美國經濟成長還是很強
[18:25] 企業的獲利擴散到更多的傳統產業
[18:28] 那我不如先去買道瓊
[18:29] 買一些傳產股
[18:30] 我們舉例來說
[18:31] 從去年10月底到現在為止
[18:33] 標普各產業出現明顯輪動
[18:36] 資產科技反而是最弱的族群
[18:40] 整體報酬大概落後大盤有7%到8%
[18:43] 這就不止輸給大盤了
[18:44] 它還輸給多數的防禦和傳產板塊
[18:47] 資金很明顯的往能源原物料
[18:49] 必須消費和工業股來做集中
[18:52] 去年就是沒買到七巨頭
[18:54] 一定輸給大盤
[18:55] 今年不一樣
[18:56] 今年看起來
[18:57] 你的主要持股是七巨頭
[18:59] 看起來短期內已經輸給大盤了
[19:01] 那是否意味著
[19:02] 第一
[19:02] 高估值的科技股
[19:04] 正在面臨估值壓縮
[19:06] 和獲利預期的下修
[19:07] 第二
[19:08] 是資金在利率在通膨
[19:10] 以及成長不確定性提高的時候
[19:12] 開始提高現金流穩定
[19:14] 以及實業資產的迫險
[19:16] 看起來更像是一個風格切換
[19:18] 也不是說你熊市
[19:19] 但是就是風格稍微變動了一下
[19:22] 其實如果我們從資金流向
[19:24] 看得更明顯
[19:24] 張圖表示
[19:25] 市值加權的板塊熱力圖
[19:28] 就是今年資金
[19:29] 很明顯從大型科技股來測出
[19:31] 轉往工業能源必須消費類品
[19:33] 科技股當中
[19:35] 橘紅色的
[19:36] 就代表今年是下跌的
[19:37] 部分軟鐵股半導體股
[19:39] 你看微軟跌幅有三成
[19:40] 相對的工業和能源民生消費品
[19:43] 大部分呈現綠色
[19:44] 資金是不斷的進行湧入
[19:46] 如果我們從去年1月到10月
[19:49] 那個科技股
[19:50] 就真的表現得很漂亮
[19:52] 幾乎沒有一個板塊跑贏科技股了
[19:54] 今年幾乎沒有一個板塊
[19:57] 現在輸給科技股
[19:58] 從去年10月到現在為止
[20:00] 尤其現在軟體股
[20:01] 整個頭部的賣壓又相當沉重
[20:04] 已經跌回到去年4月份的水準了
[20:06] 所以這都讓我們有一個
[20:07] 更新穎的投資思維
[20:09] 就是週期就是這樣子輪動的
[20:12] 有高有低
[20:13] 有起起伏伏
[20:14] 那我們的選擇就是
[20:16] 我們順應週期
[20:17] 我們知道個股之間
[20:18] 總會有風格輪動
[20:19] 可是個股始終包含在大盤裡頭
[20:22] 所以最後總有一天
[20:24] 美股是三代牛
[20:25] 它還是會創高
[20:26] 重點在於資產配置
[20:27] 那當然資產配置
[20:28] 本來就不是一個
[20:29] 放諸四海皆準的公式
[20:31] 它會隨著人生的階段
[20:33] 調整動態選擇
[20:35] 最近才跟幾個網友聊
[20:36] 30歲的時候
[20:37] 時間是最大的資本
[20:39] 你的現金流還在成長
[20:41] 承受波動的能力高
[20:42] 你配置當然股市就會多一些
[20:44] 成長的型的資產會多一些
[20:46] 到了40歲
[20:47] 家庭和責任資產規模同步放大
[20:49] 你開始在成長和穩定之間
[20:51] 來尋找平衡
[20:52] 你就會逐步的可能加入一些債券
[20:55] 黃金
[20:55] 現金流等資產
[20:57] 50歲以後
[20:58] 那你的目標就從賺更多
[21:00] 變成不要失去
[21:01] 資產配置很明顯
[21:03] 就會走向保守
[21:04] 所以本來
[21:05] 人生不同的階段
[21:07] 對於風險和暴從的解法
[21:09] 本來就不太一樣
[21:10] 不同年齡段
[21:11] 就會有不同的配置
[21:13] 那網路上看
[21:14] 先生太太在喝酒
[21:16] 先生就拿起酒杯
[21:18] 說
[21:18] 30歲的男人
[21:20] 就像啤酒
[21:21] 生活節奏快
[21:23] 40歲的男人就像紅酒
[21:26] 生活講究品味
[21:27] 50歲的男人就像我
[21:30] 就像白酒還是陳釀
[21:32] 一滴就能夠把女人給醉倒
[21:36] 那太太說
[21:37] 你這歲數能夠滴出一滴就不錯了
[21:39] 所以不同年齡段有不同的配置
[21:43] 那這邊主要是分享我們的看法
[21:45] 那當然了
[21:45] 我覺得我們的投資朋友
[21:47] 雖然整體年齡段偏高
[21:50] 可是由於平均壽命也在延長
[21:52] 現在平均壽命是150歲
[21:53] 習主席說的
[21:54] 所以我個人的看法是
[21:56] 大家應該要往年輕型資產來配置
[21:58] 多配置一些
[22:00] 不管是費辦
[22:01] 納斯達克指數
[22:02] 軟硬體股的切換
[22:03] 帶動你資產持續走高
[22:05] 當然這是我的個人看法
[22:06] 我們看美國股市市大指數
[22:07] 道瓊公益指數小漲52.0.1%
[22:10] 收在50188點
[22:12] 標普派指數下跌23.0.33%
[22:15] 算6941點
[22:16] 納斯達克指數下跌136.0.59%
[22:19] 在23102點
[22:21] 費辦下跌55點
[22:23] 0.68%
[22:24] 收在8107點
[22:26] 如果我們細看
[22:27] 在各大資產價格的表現
[22:29] 從今年以來
[22:30] 表現最為亮麗的股市
[22:32] 還是韓國股市
[22:33] 漲幅有23%
[22:34] 臺股今年漲幅12%
[22:37] 日金11%
[22:38] 費辦10%
[22:39] 海峽指數6.6%
[22:41] 道瓊3.73%
[22:43] 歐洲指數3%
[22:44] 上振2.6%
[22:46] 標普1.2%
[22:47] 那只是今年唯一
[22:49] 全球股市收跌的指數跌了0.57%
[22:52] 當然把時間線稍微拉長
[22:54] 如果從去年年初到現在呢
[22:56] 還是韓國股市漲幅121%
[22:59] 那當然是前一年的戒嚴
[23:01] 貝半漲幅61
[23:02] 日經46
[23:03] 臺股就還好
[23:04] 漲幅44
[23:05] 新加坡海峽指數漲幅有30
[23:07] 上振26
[23:09] 歐洲指數23
[23:10] 納指是9
[23:12] 道瓊18
[23:12] 標普反而是最弱的
[23:14] 只有18.2
[23:15] 那我們再把時間再拉更長一點
[23:17] 看整個疫情以來的走勢
[23:19] 表現作為亮麗的
[23:20] 很明顯是我們過去的主要持倉
[23:23] 費城半導體指數
[23:24] 漲幅有530%
[23:26] 從疫情以來
[23:27] 納斯達克指數漲幅有258%
[23:30] 日經的部分漲幅有2.4倍
[23:33] 韓國股市漲幅有2.3倍
[23:35] 那麼納指的部分漲幅有
[23:38] 也是2.3倍
[23:40] 標普1.8倍
[23:41] 歐洲stock指數1.53倍
[23:43] 道瓊1.5倍
[23:45] 然後新加坡海甲指數一倍
[23:48] 剛才有講到臺股
[23:49] 臺股是2.58倍
[23:51] 上證是表現最弱的
[23:52] 漲幅又51%
[23:54] 所以你會發現
[23:55] 其實臺股從疫情以來的表現
[23:57] 那真的就是也算是非常亮麗
[24:00] 僅次於廢辦
[24:01] 那當然這個就是長期河流圖你把時間稍微一拉長是不是就沒有報股過年的問題了呢我們過去講過嘛這個投資就是這樣子啊你時間一拉長就發現
[24:12] 怎麼後悔沒有早一些買
[24:15] 今年看空的後悔做空
[24:18] 空手的後悔沒買
[24:19] 有買的後悔沒買夠
[24:21] 買夠的後悔沒all in
[24:23] all in的後悔沒去信貸
[24:24] 信貸的後悔沒借高利貸
[24:26] 不要借高利貸了
[24:27] 但人生永遠都在後悔
[24:29] 不結婚晚年沒辦
[24:31] 結了婚不一定活到晚年
[24:32] 不拼命工作沒錢養老
[24:34] 沒錢養老
[24:35] 太拼命工作有可能用不著養老
[24:38] 有些路不走不甘心
[24:40] 走了一身傷
[24:40] 人生就是這樣子
[24:42] 無論怎麼選都會有遺憾
[24:43] 所以你應該用更長遠的週期來做看待
[24:46] 買比特幣的對不對
[24:48] 後悔乾脆去買美債算了
[24:49] 買美債的想說
[24:50] 為什麼不去買高股息
[24:52] 買高股息的羨慕0050
[24:53] 買0050的羨慕買臺積電的
[24:55] 買臺積電的羨慕買黃金的
[24:56] 之前買黃金的
[24:57] 還先買白銀的
[24:59] 就在投資世界當中
[25:00] 得不到的最想要
[25:02] 它是一種本能的反應
[25:04] 真正賺到錢的部位
[25:05] 往往就是因為進場早
[25:07] 過程平淡
[25:08] 反而不被珍惜
[25:10] 但那些已經起飛
[25:11] 自己沒有上車的標的
[25:13] 卻在心裡不斷的放大
