[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 是创下了历史性高价
[06:31] 所以要对他有信心
[06:32] 当然回过头说
[06:33] 可是对于中东问题
[06:35] 我们要如何处理
[06:36] 从伊朗革命卫队
[06:37] 近期扣留跟美国合作的船只
[06:40] 加上美方持续性的封锁
[06:42] 基本上当时的时间线
[06:44] 4月30号之前
[06:46] 要达成和平谈判协议的几率
[06:48] 现在只不过在四成左右上下
[06:51] 前阵子是一度来到80%
[06:53] 尤其川普在周末已经正式宣布
[06:56] 取消派遣特使前往巴基斯坦进行伊朗谈判行程
[07:00] 这也就说明着
[07:01] 美伊谈判实质上来看应该已经破裂了
[07:05] 他也表示说
[07:06] 现在我们浪费太多时间在移动上了
[07:08] 并且批评伊朗内部的权力混乱
[07:11] 直言如果对方真的想谈判
[07:13] 那你直接打电话就好了
[07:14] 也不用特别跑一趟到巴基斯坦了
[07:17] 而且为什么是我们过去
[07:18] 那你们不能过来吗
[07:19] 所以在种种效果底下
[07:21] 当然线上谈判就好
[07:23] 那代表什么
[07:24] 网通股继续喷
[07:25] 不是代表的事情是
[07:27] 行情现在走到这样的位阶
[07:29] 大家似乎默认
[07:30] 美伊之间的僵持
[07:32] 某种程度就是不会进一步的升级
[07:35] 当然川普在取消美伊会谈之后
[07:37] 马上又说过了十分钟
[07:39] 他就说收到伊朗的简报了
[07:41] 说只要打电话
[07:42] 也许我们接下来可以跟原先的提案来进行比较
[07:46] 那当然因为他过10分钟又马上说收到简报
[07:49] 我也不知道讲真的假的
[07:51] 这很纠结
[07:52] 到底是老年痴呆比较好还是精神分裂比较可怕但不重要市场至少不反映这件事情虽然我们从宏观的数据上
[08:03] 是这样看
[08:03] 可是从微观的军事动作来看的话
[08:06] 我们的确还是看到
[08:07] 谈判条件或者筹码
[08:09] 持续在推进
[08:10] 谈判名义上是破裂的
[08:13] 但也没有人会破灭一阵子
[08:14] 或者说破灭一辈子的
[08:16] 所有的破灭
[08:17] 都是为了下一次的谈判做准备
[08:19] 这是我们一贯的立场
[08:20] 所有的经济筹码
[08:22] 包括现在美国推行的Match法案
[08:24] 都是为了在川习会美中谈判之间
[08:26] 获得更多的筹码
[08:27] 那现在呢
[08:28] 每一谈判虽然明目上已经破灭
[08:31] 川普已经取消派遣特使前往巴基斯坦
[08:33] 可是在中东地区
[08:35] 本周末三个航空母舰的打击群
[08:38] 已经陆续到位了
[08:39] 市场正在关注
[08:40] 美方是否会采取进一步的军事动作
[08:43] 我们根据美国中央司令部
[08:44] 最新所发布的讯息
[08:45] 包括林肯号
[08:46] 福特号和布希号
[08:48] 搭配完整的舰载航空连队
[08:51] 超过200架飞机和1.5万名的官员
[08:54] 已经同步到位
[08:55] 显示整个作战体系
[08:57] 包括战斗机
[08:57] 电子战机
[08:58] 预警机
[08:59] 运输机
[08:59] 已经准备进行高强度的战力投射
[09:02] 之前我记得是不稀好
[09:04] 好像是马桶坏掉
[09:05] 所以整修了一阵子
[09:07] 因为没办法正常如厕
[09:09] 现在马桶终于修好了
[09:11] 三个航母打击群
[09:12] 现在你如果说每一战事和缓
[09:16] 那也没有必要三个打击群同时到位
[09:18] 现在全部到位了
[09:19] 到位的根本原因是什么
[09:21] 美方很明显
[09:22] 第一在施压
[09:23] 赶快回来谈判桌
[09:24] 第二随时准备好升级冲突
[09:27] 提供更强硬的谈判筹码
[09:29] 让整体局势在一个高压
[09:32] 但是可以控制的边缘当中
[09:34] 所以大家还是要观察
[09:36] 因为4月30号
[09:37] 是当时川普所说的第一道时间线
[09:39] 虽然现在是无限期停火了
[09:41] 可是从谈判时间线来看
[09:42] 是4月30号还有三天的时间
[09:44] 当然这一阵子
[09:46] 好像针对整个美伊战事的谈话
[09:48] 更多是由川普的true social来发酵
[09:50] 好像卢比欧消失了一样
[09:53] 大家有没有发现
[09:54] 这次谈判代表也是J.D. Vance
[09:57] 也不是卢比欧
[09:58] 卢比欧在最近
[10:00] 似乎并没有出现在最核心的谈判现场
[10:03] 无论是现在我们看到库什纳
[10:05] 或者威特克夫
[10:07] 这是川普的重要的幕僚
[10:09] 还是副总统J.D. Vance
[10:10] 在巴基斯坦的会谈
[10:12] 卢比欧都没有参加
[10:14] 甚至在关键的谈判期间
[10:15] 他还跟川普一起出席体育活动
[10:18] 那这种最高的外交官
[10:20] 不在外交现场的状态
[10:21] 当然会让华府内部开始质疑
[10:24] 他的角色现在是在哪里
[10:26] 事实上我们可以观察到
[10:27] 这张图表很明确显示了
[10:29] 当前卢比欧的出访行程记录
[10:32] 已经远远低于过去任何一届白宫内阁
[10:36] 这就说明了川普第二任任期的外交模式
[10:39] 他的决策是高度集中在白宫核心圈
[10:42] 他特别是偏好用亲信和特使
[10:45] 去处理重大问题
[10:46] 而并不是传统的国务院体系
[10:49] 而这对于卢比欧而言
[10:50] 那这种低调反而就是一种政治选择
[10:53] 一方面我对你是忠诚的
[10:55] 你叫我不要去
[10:55] 那我就不要去
[10:56] 另外一方面风险极高
[10:58] 成功机率不明的伊朗谈判
[11:00] 可以保持一定的距离
[11:01] 如果谈判失败
[11:02] 责任就是在前线的谈判者
[11:04] 所以我们才讲说
[11:06] 这一次对于范斯蛮伤的
[11:08] 他好像也没做到什么
[11:10] 成功的会面或者条件
[11:12] 但如果成功
[11:13] 那卢比欧也可以分享果实
[11:15] 所以到底退居二战的策略
[11:17] 是不是有利呢
[11:18] 至少我们很清楚
[11:19] 下一任的总统
[11:20] 按照目前势头来看
[11:22] 不是Vance
[11:23] 就是卢比欧
[11:24] 那就看一下双方的竞争了
[11:26] 当然我们回过头说
[11:28] 现在市场上
[11:29] 关注的也不是每一战争之间的战士
[11:31] 战争永远都存在
[11:32] 是油价的问题
[11:34] 油价这一次又重新飙上107块了
[11:37] 虽然价格也没有突破新高
[11:39] 可是这一轮
[11:40] 实质攻击冲击的效果
[11:42] 仍然持续涌现
[11:43] 特别是对于需求
[11:44] 对于价格不敏感
[11:46] 但是小幅供给
[11:47] 就能够引发大幅波动的
[11:49] 一些新兴市场经济体
[11:50] 目前整体现货价压力
[11:53] 还是非常大
[11:53] 我们如果细看
[11:55] 目前大概每天
[11:56] 有1400万桶的供给
[11:57] 被移除掉了
[11:58] 如果动用库存
[11:59] 肯定是无法补上缺口的
[12:01] 即便在美国业佣油的量产底下
[12:04] 目前大概每天
[12:06] 至少还有500到600万桶的供给
[12:08] 跟不上
[12:09] 这也就说明着
[12:10] 包括邮轮的数量不足
[12:12] 管线的运输能力
[12:13] 邮警停产之后的再启动
[12:15] 这些难度都导致
[12:17] 真正让供给回来
[12:18] 我们必须承认
[12:19] 现在市场上有在做准备
[12:21] 假设伊朗战事一辈子都不会结束了
[12:23] 那我们要如何
[12:24] 藉由其他地区的扩产
[12:26] 来填补当前遇到的困难
[12:28] 预估至少要七个月的时间
[12:30] 这也就说明
[12:32] 也不说这些问题无法解决
[12:34] 台湾这一轮的变革
[12:35] 最大的改变是什么
[12:36] 天然气的部分
[12:37] 开始扩大对于美国和澳洲的采购
[12:40] 害器的部分
[12:41] 扩大美国的采购
[12:42] 甚至我们看到石油的部分
[12:44] 美国已经是台湾最大的原油提供商了
[12:47] 这些改革
[12:49] 基本上在战后也不会改回来了
[12:51] 但是我们至少可以看到这样的一个迹象
[12:54] 它需要一定的时间
[12:55] 所以川普似乎对于中东战事而言
[12:59] 是有利于美国研油商的
[13:00] 可是原油价格不回跌
[13:02] 对于中期选举压力就来得越大
[13:04] 我们举例来说
[13:05] 针对当前的美国汽油价格
[13:08] 由于美加仑已经连续三周都在4美元以上
[13:11] 那这个敏感的门槛开始真正的改变消费行为
[13:14] 我们根据高盛的统计
[13:16] 现在全美有30%的便利商店和加油站的调查
[13:20] 已经开始出现降级消费
[13:22] 不只是加油加的更少
[13:24] 连店内购物也开始缩水
[13:26] 从原本的品牌商品转向更便宜的选项
[13:29] 整体采购的数量都在减少
[13:31] 那更细节来看
[13:32] 这种消费的改变是全面性的
[13:35] 你要知道台湾现在是开始补贴计程车了
[13:38] 补贴Uber
[13:39] 但是事实上台湾政府连民间都开始进行油价补贴
[13:44] 可是在美国Uber没有补贴
[13:46] 油费上涨这么快
[13:48] 如果价格没有调涨压力是很大的
[13:50] 所以有些人选择可能要开始自己开车
[13:53] 有些人本来很常开车的开始少开车
[13:56] 有些人降低油品的等级
[13:58] 有些人减少零食和饮料的消费
[14:00] 有些人连抽烟都开始转向更低价的香烟品牌
[14:04] 那这种K型经济的情况底下
[14:06] 油价
[14:07] 你要知道
[14:08] 在二月份
[14:09] 也不过就是2.6到2.8美元每加润
[14:12] 现在是4块钱
[14:14] 翻了一整倍
[14:15] 你可以想象
[14:15] 你原本是25块
[14:17] 现在每公升是50块
[14:19] 然后没有任何的补贴
[14:20] 压力是很大的
[14:21] 我们以高盛的调查来看
[14:23] 53%的零售商
[14:24] 已经观察到
[14:25] 消费者出现实质消费改变
[14:27] 那这种改变
[14:28] 基本就是中期选举最大的压力
[14:31] 与此同时
[14:32] 能源的外溢效果
[14:33] 已经逐步开始
[14:34] 我们过去提过
[14:35] 美国印红冬小麦
[14:37] 在最近价格已经飙上了
[14:40] 两年来的新高
[14:41] 这有点压力
[14:41] 主要是因为美国农业代
[14:43] 现在遭遇干旱
[14:44] 影响到作物的产量和品质
[14:46] 小麦期货上礼拜
[14:48] 一周就涨了6%
[14:49] 今年以来涨了28%
[14:51] 所以小麦今年是跑赢所有股市的
[14:53] 更关键的事情是
[14:54] 它也不是单一农产品问题
[14:56] 干旱现在又叠加着肥料的缺乏
[14:59] 柴油价格的高涨
[15:00] 所以形成很完整的成本传导链
[15:03] 如果我们细看
[15:04] 现在尿素价格在2025年
[15:06] 基本上它就是每公顿400块美元左右
[15:09] 一直很平稳
[15:10] 现在是多少
[15:11] 700
[15:12] 涨了接近有七成
[15:14] 这么高强度的涨幅
[15:16] 背后就是能源供应风险的再定价
[15:18] 全球由于天然气价格的冲击
[15:21] 天然气基本上又是高度生产尿素的原材料
[15:25] 所以导致中东局势直接使得尿素价格直线飞喷
[15:29] 我们看60%以上的农民都表示
[15:32] 目前可能买不起足够的肥料
[15:35] 其中稻米和棉花有90%已经买不起了
[15:38] 这代表肥料价格的上涨
[15:39] 它不单单是企业端的利润问题
[15:41] 它已经开始影响实际的种植决策
[15:44] 如果我买不起肥料
[15:45] 我干嘛种田呢
[15:46] 所以接下来就是单位的产量下滑
[15:48] 或者供给的收缩
[15:50] 这就一路的传下去今年就完了因为现在是播种期如果现在是休耕期那就再等等可是现在是播种期所以施肥时机本身也在急压和扭曲我们以美国主要农作物来看
[16:01] 原本集中在春季
[16:03] 或者播种后的施肥
[16:04] 开始出现了延后
[16:05] 或者缩减现象
[16:06] 那一两个季度
[16:08] 很快就要传进来了
[16:09] 棉花和冬小麦
[16:11] 大量依赖播种后施肥
[16:13] 现在农民在价格压力下
[16:15] 选择先种
[16:16] 降低前期投入
[16:17] 可是未来如果
[16:19] 尿素价格没有回档
[16:20] 压力就越来越大了
[16:21] 那你说我浩哥
[16:23] 平时尿那么多
[16:25] 难道不能靠我的尿来拯救肥料危机吗
[16:27] 我们过去提过
[16:28] 人的尿确实拥有尿素
[16:30] 但是两者差异很大
[16:32] 尿液有95%是水
[16:34] 只有20%尿素
[16:35] 还有盐
[16:36] 还有药物残留的其他物质
[16:38] 所以成分不稳定
[16:39] 所以虽然我尿液很多
[16:41] 可是工业用尿素是高纯度
[16:43] 氮含量高达46%的标准化肥料
[16:46] 在这样的一个效果底下
[16:48] 我们必须承认
[16:49] 现在外溢出去
[16:51] 并没有到全面的终端价格
[16:52] 我们不会说
[16:54] 什么笔电价格涨价
[16:55] 是因为原油
[16:55] 笔电价格涨价
[16:56] 那是记忆体的问题
[16:57] 手机价格
[16:58] 纸箱涨价
[16:59] 窗帘涨价
[17:01] 这些涨价
[17:02] 基本上跟原油没有直接关系
[17:04] 基本上更多是终端价格的心理作祟
[17:07] 但是农业价格
[17:09] 它是很实在的
[17:10] 由供给性的收缩所造成的影响
[17:12] 这个时候压力是比较大的
[17:13] 也值得我们多做一些留意
[17:15] 但这些因子
[17:16] 并没有影响到
[17:17] 接下来的AI行情
[17:19] 我们举例来说
[17:19] 没有股市
[17:20] 四大指数持续创高
[17:22] 道行指数是小跌
[17:23] 礼拜五小跌79.0.16%
[17:25] 收在49,230点
[17:27] 标普上涨56.0.8%
[17:30] 收在7,165点
[17:32] 纳指上涨398.1.63%
[17:34] 收在24,836点
[17:36] 费办上涨435点
[17:38] 4.32%
[17:40] 收在10,513点
[17:42] 哇
[17:43] 这费办这种涨法
[17:44] 我已经准备好
[17:46] 这礼拜就要去辞掉
[17:48] 寿司店的学徒工作了
[17:50] 我要放弃自己的本业了
[17:51] 所以要小心
[17:52] 连我都要放弃本业了
[17:53] 这个时候
[17:54] 全民炒股狂炒
[17:56] 社会逐渐的发酵
[17:58] 值得留意
[17:58] 因为目前半导体行情
[18:00] 那原本就嘎空
[18:01] 嘎空就算了
[18:03] 现在更像是那种
[18:04] 很极端的上涨恐慌阶段
[18:06] 所有的资金部位波动
[18:09] 全部都往同一个方向来做起压
[18:11] 你像费办现在的RS还是85
[18:14] 这种程度的极端行情
[18:16] 上一次发生
[18:18] 好像过去十年都没有发生过
[18:20] 它会上涨是没错
[18:22] 它会补涨是没错
[18:23] 但是这种上涨
[18:24] 在过去除了2000年网络泡沫
[18:27] 极端水准以来看
[18:28] 也没有上涨这么快的
[18:30] 它实在是涨太快了
[18:31] 所以我们必须承认
[18:33] 这一波的回调幅度
[18:35] 你拉长时间看
[18:36] 不管长周期还是短周期
[18:38] 价格回调就都很短暂了
[18:40] 三月份没有参与到
[18:42] 三月份没有买够
[18:43] 这个四月份的行情飙涨幅度
[18:46] 这个少买要人命
[18:49] 所以在这样效果底下
[18:50] 我们必须承认
[18:51] 基本面和股价
[18:52] 本来就存在时间差
[18:53] 从大周期角度
[18:55] 我们想说两到三年
[18:56] 通常会有一个
[18:57] 比较大周期的回调
[18:58] 比如说2025年的关税战
[19:00] 2022年的乌二战事
[19:02] 2020年的新冠疫情
[19:04] 18年的美洲贸易战
[19:05] 15年上证股灾
[19:07] 11年到12年的欧债危机
[19:09] 08年的金融海啸
[19:10] 但这个周期
[19:11] 你不要说
[19:12] 它好像也跌了一年
[19:13] 或者跌了一到两个季度
[19:15] 其实从尺度来看
[19:16] 它三到四年才发生一次
[19:18] 回调时间也不是特别长
[19:20] 那这种短乖离的回调
[19:22] 就是涨多修正
[19:23] 都是连续涨了一年
[19:25] 结果给你修正一周到三周而已
[19:28] 像过去我们看到
[19:30] 去年的关税战
[19:31] 今年的中东伊朗战事
[19:33] 差不多都是一个月的时间
[19:35] 马上就消失
[19:36] 所以有时候指标一到位
[19:39] 即便是左侧投资者
[19:40] 好像时间也不等人
[19:41] 对不对
[19:42] 所以这个时候都在比快
[19:44] 就股价到位了
[19:46] 本益比到位了
[19:47] 乖离到位了
[19:48] 情绪恐慌
[19:48] 差不多就该买了
[19:49] 好像也没有太多的时间
[19:51] 让你慢慢的布建了
[19:52] 这个就是现在行情的变化
[19:54] 那贝多芬讲过一句话
[19:55] 手指有多快
[19:57] 分贝就有多高
[19:59] 听起来怪怪的
[20:01] 但意思就是
[20:02] 有时候行情来得太快
[20:04] 就像龙泉峰
[20:05] 如果在左侧
[20:06] 你的手指不够快
[20:07] 右侧肯定是追不到
[20:08] 右侧长得更快
[20:09] 连左侧
[20:10] 你手指不够快
[20:12] 你的获利报酬都不一定足够量力
[20:15] 你以为是我分贝不够高
[20:18] 其实是你力度不够大
[20:20] 你买的利物不够大
[20:21] 行情来得太快
[20:23] 就像龙卷风
[20:24] 我们回过头说
[20:25] 费办这一次的上涨
[20:27] 由辉达作为主轴来带领上攻
[20:30] 是一个观察重点
[20:31] 因为辉达实在是盘太久了
[20:33] 辉达从去年十月份AI永东机以后
[20:36] 他就一直在一个盘整位置
[20:37] 市场一直很担心
[20:38] 完蛋
[20:39] 头部头部连续六个月的头部压力极大
[20:42] 结果在上礼拜创下历史新高价
[20:46] 市值突破了五兆美元
[20:47] 接下来等同于一览无遗
[20:50] 行情已经正式突破了过去的平台区
[20:53] 那不只是回答
[20:54] 整个半导体族群都在同步转强
[20:56] 整个AI基础建设需求全面扩散
[20:59] Intel股价一天涨了26%
[21:02] 正式超越2000年网络泡沫时期的高点
[21:06] 这也说明了市场上开始相信
[21:08] 这家公司真的要完成转型了
[21:10] 关键就在于AI的需求爆发
[21:12] 使得公司原本在季度营收
[21:14] 可以达到148亿
[21:16] 比市场预期还来得更多
[21:17] 数据中心和AI的业务
[21:19] 也预估会带动
[21:20] 超过50亿美元的营收
[21:22] 那过去
[21:23] 外界一直把AI算力等同于GPU
[21:25] 但是Intel一直强调
[21:27] CPU在AI推论的阶段
[21:29] 变得不可或缺
[21:30] 所以需求正在快速的上升
[21:32] 现在市场意识到
[21:34] 好像不只是GPU在缺货
[21:35] 连CPU都在缺货
[21:37] 什么都在缺
[21:38] 但是我们说过
[21:39] Intel这种涨法
[21:41] 那搞得好像是要超越台积电一样
[21:43] 首先是它的基期
[21:44] 本来股价就跌很久了
[21:46] 而且你看
[21:47] 过去20年都在同一个价位
[21:50] 你在应该讲30年
[21:52] 你在30年前
[21:53] 你投资Intel1万美元
[21:55] 你现在大概是1.2万美元
[21:58] 指数长期以来创高
[21:59] 也没有涨这么慢
[22:00] 所以也不是每一档各国
[22:02] 都可以像Intel这样解套
[22:04] 尤其看看它的P ratio
[22:07] 前瞻本一笔
[22:08] 在4月份90倍
[22:10] 台积电也才20几倍
[22:12] Intel90倍
[22:14] Intel有比台积电强吗
[22:16] 所以我对于这家公司
[22:17] 虽然我们知道
[22:18] 还是有川普在背后的帮忙
[22:21] 可是这种机器
[22:22] 这种涨法
[22:23] 然后跟我讲CPU缺货
[22:25] 台积电感觉更受委屈了
[22:28] 所以Intel的上涨
[22:29] 恰恰印证了台积电有多便宜
[22:32] 而且要了解
[22:33] 我们长期来说
[22:35] 指数一路会传高
[22:36] 但是你发现
[22:37] Intel是等了30年才回来
[22:39] 真正领涨的主角
[22:41] 你会发现
[22:41] 从来都不是同一个人
[22:43] Intel就是那个时代的台积电
[22:44] 所以也许就有个股风险
[22:47] 分散的方式
[22:47] 是更好的选择
[22:48] 不是每一档个股
[22:50] 最后都可以像Intel一样
[22:51] 终于解套
[22:52] 这一个叙事
[22:53] 总会告诉你
[22:54] 这次不一样
[22:55] 轮到我了
[22:56] 我们讲的资产轮动
[22:57] 其实讲的都是
[22:58] 板块之间的轮动
[23:00] 费半涨
[23:01] 纳指落
[23:02] 纳指涨
[23:03] 费半落
[23:03] 资金可能传产强
[23:06] 科技股弱
[23:06] 科技股强
[23:07] 可能传产稍微弱一点
[23:09] 我们讲的是
[23:10] 整个权重板块的补涨空间
[23:12] 可是呢
[23:13] 个股的部分就不一定了
[23:14] 有些个股一跌
[23:15] 它就一路就下市了
[23:17] 一辈子无法解套
[23:19] 所以你不要每次都想说
[23:20] 这次不一样
[23:21] 轮到我了
[23:22] 我的道琼终于要上涨了
[23:24] 我的费办终于要上涨了
[23:25] 这都OK
[23:26] 但是你说
[23:27] 我的英特尔终于要上涨了
[23:28] 这是冒着极大的风险
[23:30] 这就是个股投资
[23:31] 不要每次都想
[23:33] 这次会轮到我
[23:34] 男生问
[23:35] 女生 你拒绝过多少男人呢
[23:38] 那女孩子说 大概15个吧
[23:41] 男生说 难道你都没有遇到喜欢的吗
[23:44] 女孩子说 因为他们都不是你啊
[23:47] 那你 男生秒懂啊其实我喜欢你很久了女生说 你是第16个就是不要每次都想这次不一样终于轮到我了我们常讲的资产轮动
[24:00] 很多人都会延伸成
[24:01] 总会轮到我手上那一档
[24:03] 不是
[24:04] 是轮到你的板块开始轮动
[24:06] 这是过去经常发生的
[24:08] 包括罗素2000
[24:09] 科技股
[24:10] 传战股之间的轮动
[24:11] 可是个股一旦跌出主流叙事
[24:14] 很有可能就是结构性的出局
[24:16] 产业地位的改变
[24:17] 竞争力的下滑
[24:18] 筹码的松动
[24:20] 市场不会给你第二次机会
[24:21] Intel是运气好
[24:22] 终于回来了
[24:23] 但并不是每一档都是如此
[24:25] 好回过头来说
[24:26] 那为什么我们讲说
[24:27] Intel的股价上涨
[24:29] 反而带动了台积电的低基企呢
[24:31] 那本益比差了四倍
[24:33] 一个20倍
[24:34] 一个80倍90倍
[24:35] 不是差很多吗
[24:36] 第二件事情
[24:37] 刚才提到的
[24:38] 整个台湾市场
[24:39] 已经获得进一步的
[24:42] 利多推升效果的潜在因子
[24:44] 一个是丁管会的动作
[24:45] 蠢蠢欲动
[24:46] 一下把10%的占比上调到25%
[24:52] 让投信有回补的力度
[24:53] 现在第四大法人散户的追捧意愿又特别强
[24:57] 第三点
[24:58] 现在的亚资中心包括美元的鼓励发放
[25:02] 某种程度就暗示着外资赶快回来
[25:04] 结果在上礼拜
[25:06] 台湾市场在新兴市场的权重正式进行挑生
[25:10] 台湾已经正式超越中国
[25:12] 成为新兴市场指数的最大权重市场
[25:15] 整体占比基本上比中国大概多1%
[25:18] 那也就代表着
[25:19] 尝试的跟韩国和印度拉开距离
