[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 美伊现在距离停战
[06:46] 现在的这些船只
[06:48] 所以原本保费
[06:49] 其实也不算特别高了
[06:50] 但是一旦开始攻击了基础设施
[06:53] 又攻击了部分的邮轮以后
[06:54] 目前高资产的保费
[06:56] 这些船
[06:58] 尤其是在天然气船
[07:01] 应该已经是
[07:03] 占前的40倍到50倍的价格
[07:05] 所以何时
[07:06] 我们不要讲说
[07:07] 保费会不会下滑了
[07:08] 因为还是会有点紧张
[07:10] 在未来几个月
[07:11] 能不能承保
[07:12] 就会形成本场中东战局
[07:15] 是否来到尾声的重要关键
[07:17] 如果保险公司
[07:18] 在这个时刻
[07:19] 愿意进行大量的承保
[07:21] 那其实就意味着
[07:22] 他相信可能会有一点风险
[07:24] 可是他至少相信
[07:26] 现在航运是可以自由流通的
[07:29] 这是我们未来
[07:29] 可以观察的其他方向
[07:31] 当然了现在市场上给予川普的压力一个就是内部的中期选举通膨的压力另外一个当然就是中东给予的压力中东现在真的压力很大像沙乌甸阿博阿联卡达
[07:42] 都在本场的中东危机当中受到重大影响
[07:45] 原本数十年所打造的中东的和平迹象
[07:48] 包括全球的金融中心地位
[07:51] 全球的航运转运地位
[07:53] 还有AI的投资
[07:54] 在一夕之间一个月的时间
[07:57] 瞬间大幅度的撤离
[07:58] 原本很多亚洲的资金
[08:00] 都开始跑回到香港
[08:02] 跑回到新加坡
[08:03] 那原本欧洲的资金
[08:04] 全部跑回到米兰了
[08:06] 所以现在中东没有钱
[08:08] 这个是一个极大的信心危机
[08:10] 当然原油价格的部分
[08:12] 全球现在可见的石油库存在五月份
[08:15] 平均每天是减少870万桶
[08:17] 也创下了历史上最大的降库速度
[08:21] 从伊朗战争爆发之后
[08:22] 其实全球库存一直都在快速消耗
[08:25] 只是因为战前九个月
[08:27] 曾经大家我们看到
[08:28] 有开始提前囤油的现象
[08:30] 所以看起来总库存好像没有消减
[08:32] 但其实下滑幅度算是非常快
[08:34] 像欧洲像亚洲都已经开始被迫用自己的库存和国内供应了
[08:39] 就连本身不太缺油的美国都是如此
[08:42] 我们看美国的SPR
[08:44] 现在战略原油储备的释放
[08:46] 能源通膨压力已经在这种释放的情况底下进行压制了
[08:50] 所以如果封锁其拉长到6月7月
[08:54] 那中期选举真的就不用选了
[08:56] 从三月份以来
[08:57] SPR美国的战略游泳储备
[08:59] 大概已经下滑了10%
[09:00] 减少了4100万桶
[09:02] 接近历史的地位
[09:04] 这代表美国已经在用国家库存
[09:06] 来换取通膨的稳定
[09:07] 不能说川普不是很在乎现在的油价
[09:09] 他基本上目前所实施的战略游泳储备释放
[09:13] 基本上已经仅次于2022年
[09:15] 拜登所进行的释放
[09:17] 那在这样的一个效果底下
[09:19] 我们要观察另外一道方向
[09:21] 一个就是中东战局能够提前结束
[09:24] 那么石油的库存可以开始进行回补
[09:26] 石油价格开始下跌
[09:28] 但是第二
[09:29] 我们其实已经回不去过去的时代了
[09:31] 就跟疫情一样
[09:33] 疫情很多人是怎么样
[09:34] 开始点了Uber Eats
[09:35] 开始点了FoodPanda以后
[09:37] 那疫情结束以后
[09:38] 你就不点外卖了吗
[09:40] 我跟你讲很困难
[09:41] 它是一个供应链的转移
[09:42] 为什么在2020年以后
[09:44] 很多科技业的经营效率开始提升
[09:47] 发现Work from home
[09:48] 远距离工作
[09:49] 我不用负担办公室成本
[09:51] 我一样能够拥有稳定的公司获利
[09:53] 根本原因就来自于一场危机
[09:55] 会让你开始思索
[09:57] 如何用更有效率
[09:59] 或者规避国安风险
[10:01] 供应链风险的方式
[10:02] 来因应接下来的未来
[10:03] 那现在全球的企业
[10:05] 已经从追求最快的道路
[10:08] 转向追求最安全的道路
[10:11] 我们看到
[10:11] 你像是比亚迪的运输船
[10:13] 以前走的都是传统的苏伊士运河
[10:15] 虽然比较快
[10:16] 但是一路要经过台湾海峡
[10:19] 然后马六甲海峡
[10:20] 红海曼德海峡
[10:21] 然后苏伊士运河
[10:23] 植物罗陀
[10:24] 很多个地缘政治的冲击链
[10:26] 都有可能在一个地方出事
[10:28] 他就全完了
[10:29] 所以现在你看右边
[10:31] 他现在怎么走
[10:32] 他现在都是直接绕过好望角
[10:34] 多花几千公里
[10:36] 他也要降低战争海盗
[10:38] 或者封锁的风险
[10:39] 这个全球物流的逻辑
[10:42] 已经从过去那种just in time
[10:43] 变成just in case
[10:45] 就效率已经不再是唯一的目标
[10:47] 韧性安全和地缘政治风险
[10:50] 都变成新的成本核心
[10:52] 所以我们的逻辑很简单
[10:54] 就算有一天你看到美中和谈
[10:56] 习近平跟川普两个人拥抱亲吻
[10:59] 也不代表各自所形成的国防供应链
[11:02] 各自所形成
[11:03] 以规避地缘政治冲突的供应链
[11:07] 会因此瓦解
[11:08] 这就是一个新的格局
[11:09] 这也是值得我们省市的方向
[11:11] 尤其在东南亚各国
[11:12] 像台湾也是如此
[11:13] 你觉得以后回得去
[11:15] 针对中东原油或者天然气的进口比重
[11:19] 回不去了
[11:19] 台湾现在最大的石油进口国
[11:21] 已经变成美国了
[11:22] 台湾的天然气
[11:24] 卡达已经落寞了
[11:26] 陆续输给澳洲和美国了
[11:27] 这件事情都意味着
[11:28] 中东在整体国际趋势的中心地位
[11:31] 正在开始弱化
[11:32] 东南亚现在压力也很大
[11:34] 他以后肯定不敢放那么多的订单
[11:36] 放在中东市场了
[11:38] 我们举例来说
[11:39] 现在根据金融时报的统计
[11:40] 包括印尼、泰国、菲律宾等国
[11:43] 目前正在同时面临油价暴涨
[11:46] 货币贬值
[11:47] 通膨升温和经济放缓的四重压力
[11:49] 不是所有的东南亚国家都跟台湾一样
[11:52] 靠AI就能够盖过一切
[11:54] 现在印尼央行直接在本月份
[11:57] 罕见的大幅升息两码
[11:59] 把利率升到5.25%
[12:01] 为什么呢
[12:01] 大量的输入性通膨已经产生了
[12:04] 泰国一方面出现远距离工作
[12:07] 另外一方面推出大规模的补助方案
[12:09] 希望能够减轻人民生活的负担
[12:11] 更有趣的是
[12:13] 印尼甚至我们看到在最近
[12:15] 采取了一系列煤炭和中旅游出口的管制
[12:19] 一方面当然是为了要进一步的去抑制
[12:23] 这种黑市或者说低报出口价格的逃税影响
[12:26] 但是更多来自于
[12:28] 目前全球原物料价格的大涨
[12:30] 印尼是全球最大的动力煤和中旅游的出口国
[12:34] 那这种强烈的国家干预
[12:35] 就是要控制住目前对内的原物料价格
[12:39] 还有对外的报价
[12:40] 那这些做法都意味着
[12:41] 东南亚国家都在进行强制性的介入
[12:44] 这些效果基本就形成了
[12:47] 一个在2026年以后
[12:48] 新的格局和新的时代
[12:50] 当然我们最后要看
[12:52] 瓦解这场危机
[12:53] 唯一的方式
[12:54] 就是让原物料价格开始回跌
[12:56] 原物料价格开始回跌
[12:57] 第一个是油价要跌
[12:58] 第二个是市场的利率预期
[12:59] 必须要下滑
[13:00] 现在10年期
[13:01] 30年期国债制利率
[13:02] 还在高位
[13:03] 随时要往上冲
[13:05] 说明市场也没有那么大的信心
[13:07] 相信通膨问题
[13:08] 马上就会瓦解
[13:09] 我们举例来说
[13:10] 因为通膨已经外溢出去了
[13:11] 从过去我们提到的
[13:12] 能源资产创高
[13:14] 到粮食创高
[13:15] 到软性商品创高
[13:17] 最近大家最为关注的就是
[13:19] 我们看到3C电池
[13:21] 所形成的终端商品的
[13:22] 价格转移潮
[13:23] 已经陆续出现了
[13:24] 笔电价格
[13:25] 今年已经调整过一轮了
[13:26] 下半年推新机
[13:27] 恐怕还会再调整
[13:28] 根本原因
[13:30] 就是来自于
[13:31] 低润价格的显著创高
[13:32] 目前今年来看
[13:33] 整体涨幅
[13:34] 现货价格已经涨了223%
[13:36] 记忆卡哇都变到
[13:38] 变成董事长了
[13:40] 这种涨幅
[13:41] 不太可能对于终端价格
[13:42] 一点影响都没有
[13:43] 更不用讲
[13:44] 目前在资料中心的涨价潮
[13:47] 我们过去所提过
[13:48] 辉达下一代的
[13:49] Vera Rubin AI机柜
[13:51] 大概是780万美元
[13:53] 相对于去年的GB300机柜
[13:56] 才400万美元不到
[13:58] 翻了接近快要一倍
[13:59] 这一次暴涨
[14:00] 也不是单一零件上涨
[14:02] 不是单纯推给记忆体
[14:03] 我们看到从GPU到记忆体
[14:06] PCB版
[14:07] ABF载版
[14:07] NLCC
[14:08] 到电源到一轮系统
[14:10] 所有零件都在上升
[14:12] 如果细节观察
[14:13] GPU
[14:14] GB300的部分
[14:15] 一个才252万
[14:17] 现在VR200
[14:19] 已经涨到396万了
[14:21] CPU从18万
[14:22] CPU倒是没什么变动
[14:24] 这个EnvLink的交换晶片
[14:26] 从6.4万上涨到14万
[14:28] 记忆体从37万涨到200万
[14:31] 散热系统从6万涨到7万
[14:33] 电源供应从5万涨到7万
[14:35] PCB从3.5万涨到11万
[14:38] 涨幅有233%
[14:39] ABF载板从1.1万涨到2.03万
[14:43] 其他的基建或者机柜的领主建
[14:45] 大概平均涨幅是50%到60%
[14:48] 这种涨幅就直接导致了
[14:51] 即便有新一波换机的意愿
[14:53] 机柜的升级
[14:54] 本身资本支出投的够多
[14:57] 他买的台数都不一定够多
[14:58] 只能在效能上给补回来
[15:00] 昨天才看到黄仁勋
[15:02] 突袭劳和夜市
[15:04] 边走边吃玉米
[15:06] 你就知道
[15:07] 这种涨价潮身价没有几位数吃玉米还真的吃不下去我们知道吃玉米现在很贵我上次去看现在烤玉米一根好像要150 160
[15:19] 那辉达毛利率都没有玉米高
[15:22] 所以能够大摇大摆的
[15:24] 直接拿一根玉米来吃
[15:25] 都是有钱人
[15:26] 一根郭董就流泪
[15:28] 两根黄董就要破产
[15:31] 所以基本上只能吃一根
[15:32] 但这件事情都意味着
[15:33] 这种涨价草
[15:35] 这种上升的速度
[15:36] 它不太可能对于今年通膨
[15:38] 没有任何的外溢效果
[15:39] 僵固性已经产生
[15:41] 已经传到下面去了
[15:42] 所以川普必须要立即性的
[15:44] 有效控制这样的一个问题
[15:46] 在中期选举之前
[15:47] 毕竟我们如果细看
[15:49] 目前美国最新公布的
[15:50] 密歇根大学消费者新指数
[15:52] 又破底了
[15:53] 这个悲观情绪
[15:55] 它不只是比2020年新冠疫情还在低
[15:58] 它比08年金融海峡来的低
[16:00] 它比911事件期间
[16:02] 还要来的更为悲观
[16:03] 它比2000年泡沫破灭
[16:05] 都还要来的悲观
[16:05] 它甚至已经
[16:06] 应该从这份调查统计以来
[16:10] 好像也没这么低过
[16:11] 就是1978年
[16:13] 这项统计调查以来
[16:15] 基本上现在的数据
[16:16] 没有人经历过
[16:18] 那就是很吊诡的迹象
[16:19] 股市现在涨成这样
[16:21] 结果市场情绪却如此之低
[16:23] 这很标准的K型经济
[16:24] 资产市场
[16:25] 因为有AI的资本支出
[16:27] 还有科技的狂潮
[16:28] 持续的上涨
[16:29] 拥有股票和资产的人
[16:31] 财富不断增加
[16:32] 所以可以跑赢通膨
[16:33] 没问题
[16:33] 但是普通的家庭
[16:35] 房租保险能源食品
[16:37] 这种上涨撑不了多久
[16:40] 这给投资朋友做了一些观察
[16:41] 直接导致结果就是
[16:42] 川普的民调出现重大松动
[16:44] 即便我们知道民调层面
[16:47] 在共和党原本都有被低估的可能性
[16:49] 可是这个差距
[16:50] 我们看到disapprove
[16:52] 就是不认同相对于认同的比例
[16:56] 不管是在左媒还是右媒保守派
[16:58] 基本上差距都已经拉到到10到20%以上
[17:03] 所以即便有一些5到10%的误差值
[17:05] 我们都知道目前在中期选举
[17:07] 共和党的压力是非常大的
[17:09] 如果是从金融时报的调查来做统计
[17:12] 川普的不支持率大概是57.2
[17:14] 支持率大概41
[17:15] 你说范斯又比较好吗
[17:17] 范斯的不支持率有49
[17:19] 这个支持率也只有39.9
[17:21] 所以川普第一件事情
[17:23] 要马上进行强制性的通膨压制
[17:26] 那第二呢
[17:27] 当然就是清算共和党的叛将
[17:29] 之前在2021年国会暴动的弹劾案当中
[17:33] 有投票支持定罪川普的人
[17:35] 目前逐一的被川普给拔关
[17:38] 或者遭受到进一步的
[17:40] 中期选举当中提名当中的冲击
[17:43] 因为现在要准备做提名了
[17:45] 当时有支持川普被定罪的
[17:47] 川普都改支持另外一个人
[17:49] 最后导致这些人
[17:50] 根本就没法参与党的选举
[17:52] 形成一系列的冲击
[17:54] 当然川普本身
[17:55] 现在目前最大的政绩是什么
[17:57] 当然就是股市的创高
[17:59] 他前两天又发了一篇文
[18:00] 道琼指数又创下日益新高了
[18:02] 不过看起来短期内对于民调上的拉伸幅度
[18:06] 似乎是比较有限的
[18:07] 这是第一个观察重点
[18:09] 是属于内政的部分
[18:10] 那接下来我们再回过头来看一下外交的部分
[18:13] 先细看一下美股市四大指数的表现
[18:16] 来看一下位阶
[18:17] 其实道琼还在冲下史高
[18:19] 上涨294.0.58%
[18:21] 收在50579点
[18:23] 标普上涨27.0.37%
[18:26] 收在7473点
[18:28] 纳斯达克指数上涨50点
[18:30] 0.19%
[18:31] 所以在26343点
[18:33] 非半上涨238点
[18:35] 1.99%
[18:36] 所在12202点
[18:38] 那非半不知不觉就12000了
[18:40] 那前阵子去年5月份也不过
[18:43] 四五千点而已
[18:45] 所以这件事情就意味着
[18:47] 这个硬体股目前的带动有多强
[18:49] 那下礼拜就computex
[18:50] AI产业从单纯的拼晶片
[18:53] 到拼整套AI系统竞争
[18:55] 我们明天再来做细节追踪
[18:57] 可是从这件事情都看出来
[18:58] 台股供应链在本质的重要性大幅上升
[19:02] 以前的ODM都被认为是毛利率低
[19:04] 只是帮品牌做组装的
[19:06] 费办也是
[19:07] 费办你不要看说现在长成这样
[19:09] 过去有好几年都被视为
[19:11] 微笑曲线当中的低端
[19:14] 就即便你是做硬体的
[19:15] 你在美国企业挂牌
[19:16] 很多人都认为
[19:18] 技术的强度不如品牌的重要
[19:20] 很长一段时间
[19:21] 大家还是以苹果作为主要品牌商
[19:24] 奠定整个市场的基础
[19:25] 结果现在涨最多的全部都是费办
[19:28] 全部都是硬体股
[19:29] 变成挥打了
[19:30] 但现在全球AI的需求爆炸
[19:32] 云端大厂就要回到台湾
[19:34] 来继续强产能
[19:35] 广达直接表示
[19:36] 大型客户的订单能见度
[19:38] 已经看到2027年以后
[19:40] 鸿海也预估
[19:41] AI的机柜出货量
[19:42] 会呈现倍数的成长
[19:44] 所以这个时候
[19:45] 3月台股3万
[19:47] 4月4万
[19:49] 5月底还有几天
[19:51] 5万
[19:51] 6月就6万
[19:53] 看来不来得起
[19:53] 但不管怎么说
[19:55] 行情就是这样子
[19:56] 一路走到现在
[19:57] 今年整个26年各大资产的总体绩效
[20:00] 大概就四项资产收跌
[20:02] 一个是总体债券小跌0.1%
[20:05] 美国的投资等级债大概小跌0.2%
[20:09] 长天期国债大概跌1%
[20:11] 跌最重的又是你比特币跌幅13%
[20:14] 开始加重了
[20:15] 但你可以观察到
[20:16] 整体而言
[20:17] 这个25年24年23年
[20:20] 我们就是从这些利空中东战事
[20:22] 关税战当中一路的走过来
[20:24] 回过头说
[20:25] 你说26年
[20:28] 26年最大利空
[20:29] 当然目前来看
[20:30] 是伊朗和荷姆兹海峡的封锁
[20:32] 2025年是什么
[20:33] 是关税战和全球贸易冲击
[20:35] 那2024年
[20:37] 2024年大家忘记了吗
[20:38] 有日元套利平仓股灾
[20:40] 发生在8月份
[20:42] 每年其实都有利空
[20:43] 可是你看24年到25年
[20:45] 其实大多数资产
[20:46] 最后都还是正报酬
[20:48] 你说2023年
[20:49] 2023年
[20:50] 你看到大多数资产都收涨
[20:52] 只有大宗资产价格收跌
[20:54] 2023年曾经发生过
[20:55] 矽谷银行倒闭
[20:57] 还有瑞士信贷的危机
[20:59] 所以很多人看到
[21:00] 某一年资产价格的暴涨
[21:02] 或者轮动
[21:02] 会说新时代来了
[21:04] 看到暴跌又马上说泡沫破灭
[21:06] 世界末日
[21:07] 但股市这种东西
[21:08] 本来就很难用长期的角度
[21:11] 直接用短期的评价
[21:13] 就是长期
[21:14] 它会依循着科技生产力
[21:16] 但是你不能用短期的涨跌
[21:17] 来解释所有事情
[21:18] 短期反映的还是情绪
[21:20] 资金和预期
[21:22] 长期真正决定方向的
[21:24] 还是货币供应量
[21:25] 和科技的生产力
[21:26] 当资金越来越多
[21:28] 货币持续扩张
[21:29] 价格自然就容易被推高
[21:31] 而科技是提升效率
[21:32] 创造新产业和新需求
[21:35] 企业获利的天花板
[21:36] 也会因此而被打开
[21:38] 所以你只要关注这两项事情
[21:40] 钱有没有更多
[21:41] 生产力有没有爆发
[21:42] 它就是一个长期奠定股市的基础
[21:44] 所以反而不要因为单一事件
[21:46] 什么一个微小的利空
[21:48] 一个日元套利平仓
[21:49] 一个伊朗战士
[21:50] 就急着下结论
[21:51] 看到一天暴跌就觉得经济完了
[21:53] 不要用单一事件
[21:55] 来做一个直观的
[21:57] 长久性的判断
[21:59] 之前看那一对情侣
[22:02] 钢琴乐玩
[22:03] 躺在床上
[22:05] 男的一边就瞥见
[22:06] 床头柜上有个照片
[22:08] 一个满脸胡渣
[22:11] 义气风发的男人
[22:12] 他马上问那女孩子
[22:14] 这男的挺帅的
[22:15] 该不会是你前男友吧
[22:18] 女生说不是啦讨厌
[22:20] 难得说你再不说我就要生气了
[22:23] 那女的沉默两秒钟
[22:25] 好啦这是以前的我
[22:28] 所以我们不要看到一张照片
[22:32] 就急着去下结论
[22:33] 看到一天暴跌
[22:34] 觉得经济就完了
[22:35] 看到一波大涨
[22:36] 觉得永远股市只会涨
[22:38] 市场本来就是动态的
[22:39] 它不像照片
[22:40] 但它更像是一个长期播放的电影
[22:45] 这种东西我们想说短期涨跌很多时候是情绪但是城镇长期决定方向的它是整个故事的串联它是整个货币供应量科技的进步还有企业的生产力最终所造成的
[22:57] 所以太早下定论的人
[22:59] 最后常常不只是看错市场
[23:02] 是输给自己的情绪
[23:03] 我们回过头说
[23:04] 你说2022年
[23:05] 2021年
[23:06] 2020年
[23:07] 其实差不多
[23:08] 每两到三年会有一个比较大的扩存期的修正
[23:11] 2022年的利空是什么
[23:13] 联总会的暴力升息
[23:14] 无二战事
[23:15] 2021年是中国房地产的爆雷
[23:18] 加上联准会缩减QE
[23:20] 20年是新冠疫情
[23:22] 19年是美洲贸易战
[23:23] 18年是联准会升息
[23:25] 17年是北韩的核危机
[23:27] 16年英国脱欧
[23:29] 15年中国股灾
[23:30] 14年油价崩盘
[23:32] 美国的页岩油革命
[23:34] 13年是联准会缩减QE
[23:36] 12年是欧债危机
[23:37] 11年是美债降品
[23:39] 你只要熬过去
[23:41] 行情就是你的
[23:42] 当年度的事件
[23:43] 好像没这么重要
[23:45] 只要他敢重叠
[23:46] 扩大部件
[23:47] 只要情绪低迷
[23:49] 扩大部件
[23:49] 这就是一个好方式
[23:51] 所以简单来讲就是
[23:52] 这么多年的多头
[23:54] 就是熬过来的
[23:55] 还不是投机投过来的
[23:57] 是熬过去的
[23:58] 当你做运动的时候
[24:00] 你会感到更虚弱
[24:01] 但实质上你会发现
[24:03] 你变得越来越强壮
[24:04] 当你在学新东西的时候
[24:05] 你觉得自己很笨
[24:07] 但是你实质上
[24:08] 会让自己变得更加聪明
[24:09] 所以当你在变更好的时候
[24:11] 你一定会先变得更脆弱
[24:13] 而这个脆弱的时刻
[24:15] 这个利空发生的时刻
[24:17] 是一个非常重要进步的时刻
[24:19] 没有经历一番挣扎
[24:22] 你要如何进入到圣人模式
[24:25] 贤者时间呢
[24:27] 没有经历过这些利空
[24:28] 你要如何一步一步的走过来呢
[24:30] 所以这点很重要
[24:31] 所以建议大家
[24:32] 这场经验
[24:33] 这场危机最大的启示就是
[24:35] 不要用单点来破坏
[24:37] 你对于货币供应量
[24:38] 或者生产力的提升
[24:40] 你的方向
[24:42] 如果你认为社会不会再进行进一步的科技进步了
[24:46] 不会再QE了
[24:47] 货币量不会再增加了
[24:49] 那的确你就要改变自己的利润了
[24:51] 可是如果这两个条件没有改变的情况底下
[24:53] 我们就要回过头来看
[24:54] 那是不是每一次的这种外部性冲突
[24:57] 反而是你上车的机会呢
[24:59] 好8点59分
[25:00] 接下来我们再花几分钟时间往外聊
[25:03] 刚才聊到的是川普对于内政
[25:05] 对于通膨的意志角度
[25:06] 对外而言就必须取得更多的战果
[25:09] 我们举例来说
[25:10] 目前虽然中东问题
[25:12] 似乎来到尾声
[25:13] 不过对于古巴而言
[25:15] 川普也是步步进逼
[25:16] 目前最强硬的是卢比奥
[25:18] 虽然他在印度
[25:19] 但现在开始主导跟古巴的谈判
[25:22] 这场谈判的核心
[25:23] 不是说要去民主化
[25:25] 或者让他的政权能够更迭
[25:26] 而是进行经济开放
[25:28] 释放政治犯
[25:29] 以及让古巴的市场恢复到运作
[25:31] 对于川普而言
[25:32] 这也蛮符合现在的外交逻辑
[25:34] 比起意识形态
[25:35] 现在他是更重视交易
[25:37] 和快速的稳定
[25:38] 可是真正问题是什么
