[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 这个上周五台股没有开盘之后
[03:14] 越来越淡的声音
[03:16] 事实上我们从美银的哈奈特最新报告就可以看得出来
[03:19] 过去他年轻的时候
[03:20] 它的概念并不是单押资产
[03:22] 它是提供四个25逻辑
[03:25] 就是把股票债券商品和现金
[03:28] 各配置25%
[03:30] 那加起来就百分之百
[03:31] 当时我觉得市场会认为
[03:33] 那这样子会很明显的拖动
[03:34] 或者拖累报酬
[03:36] 你股市涨债市就跌
[03:37] 商品涨
[03:38] 那现金价格可能会因此而贬值
[03:40] 不过这一套策略到目前为止
[03:42] 反而年化报酬率有16%
[03:44] 表现也没有说到跑云废办那么夸张
[03:48] 可是已经算是跑云飘浦白指数了
[03:51] 原因就是因为市场今年的资金
[03:53] 它是高度集中于少数的全资股
[03:56] 而且也不是多数全资股
[03:58] 七剧投表现就很差劲
[03:59] 那今年的商品价格
[04:01] 很多软性商品正在价格下跌
[04:03] 或者我们看到金价银价
[04:05] 今年是下跌的
[04:06] 可是大宗资产商品
[04:09] 平均来看
[04:10] 油价的带动
[04:11] 还是让一些产品外溢出去
[04:13] 那其他像现金和债券
[04:15] 让整体投资的稳定性来得更高
[04:17] 那现在我们要观察的就是他的说法
[04:19] 他的说法是看到
[04:20] 在过去几周的全球资金流向
[04:23] 反而出现了比较明显的乐观情绪
[04:26] 而这股乐观情绪
[04:27] 似乎有背后的推论
[04:29] 我们以全球股票基金
[04:31] 目前的息金规模
[04:32] 大概是564亿美元
[04:35] 现金的基金流入是395亿美元
[04:38] 债券是313亿
[04:39] 那其中科技股基金
[04:41] 今年累计的息金已经来到1830亿
[04:45] 这应该是历史新高了
[04:46] 那现在形成市场的四大共识
[04:49] 造成没有太多的经理人看空的一个主要原因
[04:53] 第一就是经济维持会不着陆
[04:55] 目前根据INF最新的经济预测
[04:58] 今年应该不是说软着陆的问题了
[05:01] 那就不着陆
[05:02] 看起来要直接重新进行加速
[05:04] 就代表着不只是衰退期看不到
[05:06] 而且是荣景期即将到来
[05:09] 那第二呢是联总会大家预估
[05:11] 至少在期中选举之前不会升息
[05:14] 加上油价在过去一段时间的回跌
[05:16] 让联准会可能保持在这个位阶
[05:19] 好一段时间
[05:19] 第三是超大型的云端业者
[05:22] AI资本支出
[05:23] 看起来不太像是明年会减少
[05:25] 明年顶多是年增地缓
[05:27] 但是应该还是会创下历史新高
[05:29] 那今年是8000亿
[05:31] 明年突破一兆
[05:32] 可能没有太大问题
[05:33] 那最后一件事情
[05:35] 就是如果市场认为
[05:37] 年底其中选举
[05:39] 并没有一个非常显著的资金轨道
[05:41] 那等到年底选举完以后
[05:43] 市场上反而抱持着更高的评价
[05:46] 为什么
[05:46] 因为不确定性就消除了
[05:48] 我们现在也无法完全确定
[05:49] 共和党一定会大败
[05:51] 没办法确定民主党
[05:52] 一定会在其中选举当中全面胜出
[05:54] 但是我们可以看到的事情是
[05:56] 共和党的确
[05:57] 在内部的民调压力底下
[05:59] 已经采取了一些态势
[06:00] 最近油价的下压
[06:02] 还有各自对于国内物价水平的下压
[06:06] 其实都是川普最近所采取的动作
[06:09] 所以下半年
[06:10] 反而最大的投资机会是什么
[06:12] 就是上面四项市场
[06:14] 似乎已经有预期了
[06:15] 就是来自于这四项共识的打破
[06:18] 就如果美国经济突然间降温
[06:21] 丢出一个非常疲惫的非农就业数据报告
[06:24] 那这个数据打破就有机会了
[06:26] 那如果这四个前提都没有被打破
[06:29] 它就这样稳稳的上涨
[06:30] 那你就找不到太多部件的空间
[06:32] 所以就连哈奈特的看法
[06:34] 他虽然一直都是比较保守的
[06:35] 不过他的看法也是要找估值回调的机会
[06:38] 那人人都在找估值回调的机会
[06:41] 只是大家的立论和假设不太一样而已
[06:43] 就形成现在的结果
[06:45] 也是为什么华尔街好像
[06:46] 现在几乎没什么人在看空
[06:48] 当然了
[06:49] 高盛的看法则是认为
[06:50] 现在不只是没什么人要看空
[06:52] 而且随时都要进入到报复性反弹
[06:54] 高盛的看法是
[06:55] 半导体的筹码已经洗得非常非常干净了
[06:58] AI基本面已经重新的做显著拉抬
[07:02] 趁着下一轮的财报季就能够有效的拉升
[07:05] 我们举例来说
[07:06] 其实美国杠杆型的半导体ETF
[07:08] 持有的多头曝显
[07:10] 6月中旬是1570亿
[07:12] 现在在7月中已经来到1040亿了
[07:16] 等于市场已经消化了500亿美元的去杠杆卖压
[07:19] 虽然本波跌幅也没有到很重
[07:21] 不过按照高盛的说法
[07:23] 减掉了三分之一
[07:25] 其实很干净了
[07:26] 就是有很多人
[07:28] 他这个时间点已经没有再加上杠杆了台股韩股可能不好说但至少就整个美股来看基本上高盛的看法是可以战术性的偏多来看待因为筹码已经洗干净了所以这一轮的上涨有没有发现相对而言也不是暴涨了
[07:42] 相对而言比较平缓一点
[07:44] 因为大家手上没有这么大的一个杠杆压力了
[07:47] 与此同时市场上针对资金动能来看
[07:51] 还是抱持着不错的乐观想法
[07:52] 毕竟这次SK海力士在美国ADR正式登陆纳斯达克之后
[07:58] 首日是大涨了接近13%
[07:59] 盘中是一度来到177块
[08:02] 那公司市值现在大概是全球第12名
[08:06] 总体募资金额是265亿
[08:09] 所以AI的记忆体霸主
[08:11] 这一次职工华尔街以后
[08:13] 能不能引得市场上
[08:14] 针对台韩股市有进一步的回流
[08:16] 值得留意
[08:17] 毕竟从过去20年
[08:19] 美国外国企业的大型上市案来看
[08:22] 几乎都是亚洲企业了
[08:23] 你看欧洲已经在角落去玩收支了
[08:28] 亚洲企业几乎都是占据主导地位
[08:30] 你像阿里是14年创下250亿美元的IPO
[08:34] 海力士也是250亿
[08:36] 上市后估值大概是接近8000亿
[08:39] 有望成为全球最大的外国企业赴美上市案
[08:42] 其他大部分都是来自于中国或者南韩
[08:45] 或者部分台湾企业
[08:47] 所以从这样角度来看
[08:48] 等同于资金流入到低润相关主题
[08:52] 现在的资金量是没有减少的
[08:54] 所以我们看
[08:55] 由于过去一个月
[08:57] 其实低润股已经在回跌
[08:59] 在做回调了
[09:00] 但是如果流入的资金没有减少
[09:02] 其实就意味着
[09:03] 那就是去杠杆的效应
[09:05] 不代表长期存股主有任何松动的迹象
[09:08] 其实从低润相关投资的主题
[09:11] 目前累计的净流入
[09:12] 在今年已经接近200亿美元
[09:14] 那反而是南韩股市ETF EWY
[09:18] 上市前曾经吸引75亿美元的资金流入
[09:21] 上市后反而是净卖出
[09:23] 这似乎也说明着
[09:25] 有些资金它本来是压住整个南韩股市
[09:28] 现在感觉南韩股市会被拖累
[09:30] 被其他产业给拖累
[09:32] 跟以前台积电和非台积电一样
[09:34] 现在干脆直接压住AI记忆体龙头
[09:37] 大家直接压住具备AI成长性的核心企业
[09:40] 而并不再是整体市场了
[09:43] 这是有一点不同的变化
[09:44] 那杠杆型ETF
[09:46] 这阵子的波动也很大
[09:48] 美国股市刚才看到
[09:49] 杠杆型ETF的资金已经开始下滑了
[09:51] 韩国股市是刚刚开始下滑
[09:53] 不过这个下滑幅度反而并没有想象中还来得多
[09:57] 是否代表着韩股本身波动会持续加大
[09:59] 值得关注
[10:00] 那重点是这一次三星在本周末正式宣布
[10:04] 把南韩龙能半导体国家产业园区的
[10:07] 首座晶圆厂的投产时间开始提前了
[10:10] 也就是他们是真的要准备扩产
[10:12] 而且要把进度有所加快
[10:14] 本来预估是到2031年
[10:16] 现在预估到2029年就要开始进入到投产
[10:19] 那龙能源区是三星下一代先进晶片的重要生产基地
[10:24] 预估要新建六座半导体
[10:26] 那三星现在之前不是跟海力士一起宣布
[10:29] 要投入接近2000兆韩元
[10:32] 然后在全球道又规划接近400亿韩元的投资
[10:35] 所以这件事情就意味着全球产能开始陆续开启
[10:39] 当然很多人看到这个新闻就觉得很悲观
[10:41] 你想想看如果有长约然后又扩产
[10:45] 按照过往经济就是高点
[10:47] 你又跟人家签长约
[10:49] 深锁定价格
[10:50] 这个时候又选择大幅扩散
[10:51] 好像屡试不爽
[10:53] 每一次都是扩存循环高点
[10:54] 过去循环的确是这样子
[10:57] 但这一次会不会不一样呢
[10:58] 那就很有趣了
[10:59] 因为即便我们知道
[11:01] 现在美光和SK海力士
[11:04] 股价在今年以来的涨势
[11:05] 非常非常之亮丽
[11:07] 可是他们的本益比
[11:08] 现在快要破底了
[11:10] 怎么说呢
[11:11] 如果我们仔细观察
[11:12] 目前SK海力士的
[11:14] 整体前瞻P ratio
[11:15] 就以过去一年的EPS
[11:18] 拿来去对照明年年底的目标价
[11:22] 来做规划
[11:23] 应该讲说
[11:24] 把明年的EPS
[11:25] 拿来跟明年的目标价来做规划
[11:27] 现在SK海力士的本益比
[11:29] 已经从五月底的八倍
[11:32] 现在下滑到五倍了
[11:34] 快要到四倍了
[11:35] 美光的部分
[11:36] 则是从10.5倍
[11:38] 现在下滑到七倍了
[11:40] 你说怎么会股价涨那么夸张
[11:42] 它的本益比下滑这么快
[11:43] 而且SK海力士感觉又好像来到低基期的水位了
[11:48] 比方就很简单
[11:49] 我们刚才提到
[11:50] 因为EPS上升的幅度实在是太快了
[11:53] 快到有点离谱
[11:54] 导致基期完全无法推高
[11:56] 如果是景气循环
[11:58] 它也是属于低基期
[11:59] 如果是属于我们过去所看到的
[12:02] 它可能是一个生产力的突破
[12:03] 他们就要脱离原本的本益比区间
[12:06] 所以现在最大的问题又来自于
[12:08] AI交易是否能够让记忆体成功的脱离景气循环
[12:12] 那第一个角度
[12:13] 当然就是高殖利率所迎来的市场考验
[12:16] 毕竟我们知道过去一段时间
[12:19] 因为市场是第一次遇到这种
[12:21] 过去20年来消费性电子循环的破坏
[12:23] 所以必须用更多的总体经济环境
[12:26] 来对照本轮的AI
[12:27] 来确保说
[12:28] 的确这次AI走的路
[12:30] 跟过往的总体经济的数据
[12:31] 会完成形成比较显著的落差
[12:34] 举例来说
[12:35] 在过去40到50年
[12:36] 美国的住宅投资
[12:38] 通常会领先非住宅投资
[12:40] 6到9个月来转落
[12:41] 而目前的住宅投资
[12:43] 其实已经因为高利率的原因
[12:45] 开始萎缩了
[12:45] 所以高利率
[12:46] 已经开始对于经济有所承压了
[12:48] 可是我们看到的黑色线
[12:50] 就是AI所驱动的企业资本支出
[12:53] 还在攀升
[12:53] 正常来讲利率越高
[12:55] 你也不想借钱了
[12:57] 企业也不想借钱了
[12:59] 你也不想买房贷了
[13:00] 所以照理来讲
[13:02] 应该利率越高
[13:03] 大家就一直下去
[13:04] 又没有人要投资了
[13:05] 可是现在的情况就是
[13:06] 企业投资还在加速
[13:08] 可是房地产投资
[13:10] 住宅投资则是持续的萎缩
[13:13] 那如果AI需求
[13:14] 真的足以去改变景气循环
[13:17] 那应该这个背离就要继续的下去
[13:20] 如果AI是遵循着景气规律
[13:22] 那么住宅市场降温
[13:23] 迟早要把企业投资给拉下去
[13:26] 所以我们才讲说
[13:27] 其实最后就看什么
[13:28] 看企业投资什么时候明显放缓
[13:30] 那只要这个数据还在脱钩
[13:32] 那就说明着
[13:33] AI就跟过往的景气循环
[13:35] 完全不一样了
[13:36] 我认为这是一个比较完整的论述
[13:38] 这也给大家作为一些参考
[13:40] 那如果是这样的话
[13:41] 那么SK海力士和美光
[13:43] 它就要脱离过往的本一笔区间
[13:45] 以前可能是6到8倍
[13:46] 现在变8到10倍
[13:48] 10到12倍
[13:49] 以前台积电可能是15到20倍
[13:51] 那如果是脱离了AI景气循环
[13:54] 或者说脱离了过去景气循环
[13:56] 迈向AI
[13:56] 那可能就变20到25倍
[13:58] 这就是不同的看法和逻辑
[14:00] 所以支撑AI目前多头的论述
[14:03] 就是未来的GPU HPM
[14:05] 需求会持续的爆炸式的成长
[14:08] 不再只是取决于使用者的数量
[14:10] 而是来自于每位使用者
[14:11] 拥有多少的AI代理
[14:13] 每个代理执行多少的任务
[14:15] 那当然回过头看
[14:17] 这项乐观还是有充满的极大变数
[14:19] 包括模型的提升
[14:20] 或者我们看到低算力AI技术的出现
[14:23] 政府的监管等等
[14:24] 你一定要有生产力的突破
[14:26] 这套游戏才玩得下去
[14:28] 要不然企业一直投
[14:29] 然后住宅市场越来越差
[14:31] 那总有一个人走错了
[14:32] 所以最后还是要由AI的技术
[14:35] 来做更进一步的突破
[14:37] 当然现在我们回过头来说
[14:40] 等同于你把梦想实现以后
[14:42] 大家就会用比较一个精准
[14:44] 或者比较刁钻的眼光来看单
[14:46] 所以我们也不能够期待
[14:48] 每个月都跟4月5月6月一样上涨
[14:50] 可是走到现在这个位阶
[14:52] 其实杠杆已经清洗的差不多了
[14:54] 那市场就静待生产力的拉升了
[14:57] 就跟海力士一样
[14:58] 海力士在挂牌以前
[14:59] 当然企业给他的梦想
[15:01] 就是突破库存循环
[15:03] 但现在梦想已经实现了
[15:04] 那股价跟当时SpaceX一样第一波受到市场上的显著欢迎可是现在站上更大的舞台那代表的是它不只是韩国股市股民在看着你美国股市股民也在看着你
[15:16] 那同样
[15:17] AI生态系现在占了标普白指数
[15:20] 接近一半
[15:20] 科技巨头投入的资本指数
[15:22] 已经超过一整年过去半导体的产值了
[15:25] 那这个时候就是梦想成真的时候
[15:27] 随之而来的回本的压力
[15:29] 电力的瓶颈
[15:31] 债务的增长
[15:32] 市场对泡沫的治愈
[15:34] 它始终会存在
[15:35] 它不至于让你泡沫破灭
[15:36] 但是就是随时让你有估值修正的空间
[15:39] 让你不要涨太快
[15:41] 不像过去三个月一样
[15:42] 所以这个时候反而是
[15:44] 以前是能不能成功的焦虑
[15:46] 那现在能不能守住成功的焦虑
[15:49] 就慢慢出现了
[15:50] 这个就是那种已经事有所成
[15:53] 市场给你高估值评价之后的回馈
[15:55] 那网路上不是人家讲吗
[15:57] 小时候小男孩去动物园看老虎
[16:01] 觉得威武凶猛
[16:04] 好喜欢啊
[16:05] 想着长大之后
[16:07] 要是能够也养一只老虎
[16:09] 该有多好
[16:10] 结果长大后
[16:11] 梦想真的实现了
[16:13] 不说了
[16:14] 要去煮饭洗衣扫地了
[16:17] 就很多时候
[16:18] 你可能在刚开始投资
[16:21] 刚开始投入的时候
[16:22] 你给他一个极高的梦想
[16:24] 极高的想象
[16:25] 可是当你真正达成目标以后
[16:27] 我们现在的市场看法都是
[16:29] 好那已经脱钩了
[16:31] 那股价也给你这么高了
[16:32] 现在就看你端出什么样的成绩
[16:34] 所以市场其实对于这一次的财报
[16:36] 我认为还是比较严谨的态度
[16:38] 包括台积电法说也是
[16:40] 可能达标市场也不会有什么太大意外
[16:42] 重点是要让市场上有更进一步的
[16:45] 预估需求的暴增
[16:47] 我们针对7月16号
[16:48] 接下来就准备要举办台积电法说会了
[16:52] 这是市场上最受瞩目的
[16:53] 因为这一次法说会之前
[16:55] 大量的沿外机构
[16:57] 沿条机构已经陆续调升目标价
[16:59] 普遍落在3000以上
[17:01] 乐观是看到4000
[17:03] 不过关注几大重点
[17:04] 包括毛利率的部分
[17:06] 有没有可能受到2纳米的拖累
[17:08] 然后全年的营收
[17:09] 获利展望
[17:10] 资本支出
[17:11] 先进制程
[17:12] Covos扩产
[17:13] 还有未来的涨价策略
[17:15] 其实我认为涨价是最重要的
[17:17] 市场上现在看起来
[17:18] 对于台积电有一股很深的期待
[17:20] 觉得现在AI半导体量潮
[17:23] 它已经不再局限于3纳米
[17:25] 或者2纳米先进制程
[17:26] 已经转向成熟制程
[17:28] 根据市场消息指出
[17:30] 台积电已经陆续开始通知部分客户
[17:32] 你看那记忆体都涨多少了
[17:34] 准备要到27年1月份开始
[17:37] 调涨成熟制程的价格了
[17:39] 涨幅依据客户和产品不同
[17:41] 预估大概是个位数字
[17:43] 那这个是疫情后超过三年来
[17:46] 以前台积电都是调涨先进制程
[17:48] 这是有可能是三年来
[17:50] 台积电首次把成熟制程报价给调高
[17:53] 那就很缺了
[17:55] AI需求从缺GPU到缺HPC相关晶片
[17:59] 到记忆体
[18:01] 到电源管理晶片
[18:02] 到工艺元件
[18:03] 现在回到成熟制成
[18:05] 真的连台积电都要调整报价了
[18:07] 那我们就看一下
[18:08] 会不会对于公司
[18:09] 有进一步的营收获利拉伸
[18:11] 好我们回过头
[18:12] 看一下美国股市
[18:13] 市大指数表现
[18:14] 刀穷指数的部分上涨149点
[18:17] 0.29%
[18:18] 刷52637点
[18:19] 标普上涨31点
[18:21] 0.42%
[18:22] 刷7575点
[18:23] 纳指上涨74点
[18:25] 0.29%
[18:26] 刷26281点
[18:27] 非半上涨7点
[18:29] 0.05%
[18:30] 所以12967点
[18:32] 反而我们看标普快要创高了
[18:34] 但费办还是有一点月线上的卖牙
[18:38] 那台股上礼拜是下挫了1426点
[18:42] 那本周台积电法说
[18:43] 就看看能否成为多头的反攻关键
[18:47] 不过最近台币比较弱
[18:48] 我们也知道外资对于台股的态度
[18:50] 好像也比较悲观
[18:52] 好像台股涨越多
[18:53] 外资越悲观
[18:54] 韩国股市也是如此
[18:55] 其实我们把今年各类美股
[18:57] 跟国际股市ETF的表现来做对照
[19:00] 大概可以理解说外资卖出的原因
[19:03] 并不是因为特别看坏半导体族群
[19:06] 是因为涨太多了
[19:07] 涨太多涨到不得不做一些获利了结
[19:10] 我们看从今年整个上半年来看
[19:12] 全球最大的特色就是市场的领涨族群转变
[19:15] 新兴市场的股票ETF
[19:17] IENG上涨是24.2%
[19:21] 这是G冠
[19:21] 美国小型股IWM
[19:23] 涨幅有22.6%非常不错
[19:25] 中型股和价值股分别上涨17和16%
[19:29] 国际股市只有涨14
[19:30] 标普呢
[19:31] 标普居然只涨10.1
[19:33] 你就知道七巨头今年有多烂
[19:35] 而且七巨头有四巨头还跑输给大盘
[19:39] 反观过去几年最受追捧的大型成长股IWF
[19:43] 涨幅居然5.1%
[19:45] 美股七巨头平均是下跌2.5了
[19:48] 压力就比较大了
[19:49] 那如果是以小型股和大型股来看
[19:51] 这个周期轮替代就更强了
[19:53] 26年初
[19:54] 美国小型股
[19:55] 当时已经五年跑输给大型股了
[19:58] 这是94年到98年最长的落后记录
[20:02] 结果上半年结束以后
[20:04] 小型股反而是大涨了22.6%
[20:07] 标普只涨10.2
[20:08] 相差了12.4
[20:10] 所以今年小型股表现的确相当的亮丽
[20:14] 在这样效果底下
[20:15] 等同于今年算是多点开花了
[20:18] 如果你是长期持有七巨头
[20:20] 今年也不会太差
[20:21] 就是没涨
[20:22] 那如果你持有小型股
[20:23] 中型股
[20:24] 价值股
[20:25] 台韩股市
[20:25] 今年就是绩效
[20:27] 非常非常之漂亮了
[20:28] 基本上就温稳赚
[20:29] 今年以来
[20:30] 如果是从各大资产涨幅来看
[20:32] 刚才聊到
[20:33] 涨幅最多的小型股
[20:34] 22.6
[20:35] 可转债21
[20:36] 纳值20%
[20:38] 大宗资产涨幅有19
[20:40] 中型股17
[20:41] 价值股16
[20:43] 其他像新市场
[20:44] REITS
[20:45] 大型股
[20:46] 开发市场
[20:47] 或者成长股
[20:48] 新市场债券
[20:49] 高收益债券
[20:50] TIPS
[20:51] 涨幅大概是1到5%
[20:53] 今年收叠的还是一样只有两大资产
[20:55] 一个是黄金叠7%
[20:57] 另外一个是比特币叠付有31%
[21:00] 所以今年我们看到过往看到的低基期都开始产生轮动
[21:04] 可是也有人说
[21:05] 可是我觉得现在好像绩效表现不是特别好
[21:08] 那过去我们提供
[21:09] 因为6月爆大量
[21:10] 说明很多人他在今年的主要购买月份是在6月份
[21:15] 他可能1月到5月都不买
[21:16] 他可能先前也有部位了
[21:18] 他专门挑6月份买
[21:19] 从量能来看是如此
[21:21] 这件事情就意味着
[21:22] 这个市场情绪的高低
[21:24] 乖离的修正区间
[21:25] 它还是会影响到你的实体绩效
[21:27] 所以有时候我们讲说
[21:28] 这低基期跟套牢
[21:29] 只差一个字
[21:31] 市场的感受就完全不一样
[21:33] 很多人听到跌深了
[21:35] 就急着要进场
[21:36] 但如果变成他已经落很久了
[21:39] 那态度又往往改变了
[21:41] 这些周期
[21:42] 他都是以季度起跳的
[21:44] 所以有时候看到跌深
[21:45] 跟他已经惨很久了
[21:47] 同样的意思
[21:48] 但是其实态度是完全表现不太一样的
[21:51] 价格相同描述不同
[21:53] 情绪就跟着改变
[21:54] 那股票也是如此
[21:55] 修正会让人想到机会
[21:58] 崩盘会让人想到风险
[22:00] 那成熟的投资人
[22:01] 他不会被市场的用词牵着走
[22:03] 我们会回到估值
[22:04] 回到基本面
[22:05] 回到资金流向
[22:06] 用事实来判断
[22:07] 而不是用字眼去决定买卖
[22:09] 那中文是很准确的
[22:11] 你比如说吃火锅
[22:12] 有时候我们吃火锅会说
[22:14] 这猪肉这牛肉已经熟了
[22:16] 这个时候大家就会生筷子赶快捞
[22:18] 如果你说的是牛肉老了
[22:22] 大家马上就嫌弃了
[22:23] 市场不只是反映数据
[22:25] 它会反映语言
[22:26] 熟了代表时机到了
[22:29] 老了代表错过了
[22:31] 现在不是很流行熟男熟女谈恋爱吗
[22:35] 不是熟男跟熟女
[22:37] 是小女孩喜欢熟男
[22:39] 小男孩喜欢熟女
[22:41] 时代不一样了为什么呢就跟牛肉一样牛肉已经熟了大家急着要老牛肉老了马上嫌弃所以熟男熟女有它的风味
[22:53] 老男老女
[22:54] 那不太一样
[22:55] 所以我们讲的是
[22:56] 不同特色
[22:58] 一直觉得不好
[22:59] 收回收回
[23:01] 没关系
[23:02] 我们现在线上人数不多
[23:03] 收回
[23:04] 待会这一段片段剪掉
[23:06] 好
[23:06] 那我们回过头看
[23:07] 那这一股浪潮
[23:09] 它会以什么样的格式来结束呢
[23:11] 到底有没有进一步的系统性回调呢
[23:14] 我们过去讲过
[23:14] 就是估值回调
[23:15] 那在这个估值回调过程当中
[23:18] 你很明显感受到
[23:19] 这两年的那种买盘刺激
[23:21] 跟以往不太一样
[23:22] 原因是什么
[23:22] 洗的都是杠杆
[23:24] 没有洗掉任何存股主
[23:26] 没有洗掉任何长期投资者
[23:28] 这是我观察到的现象
[23:29] 我们举例来说
[23:30] 截至到今年7月中旬为止
[23:33] 整体美国股市ETF总资产规模
[23:35] 已经突破到15.6兆美元了
[23:37] 你不要只看台湾的ETF让潮多夸张
[23:40] 美国的ETF浪潮
[23:42] 也相对于前两年几乎翻倍了
[23:43] 今年就留了一兆美元
[23:45] 如果按照趋势来延伸
[23:47] 年底破两兆美元
[23:49] 应该不会有太大的问题
[23:50] 光是整个六月份
[23:52] 就已经吸金了1930亿美元
[23:54] 到七月份杠杆下滑了
[23:56] 我们知道杠杆ETF
[23:57] 有大量的资金获利了结
[23:59] 可是现货型ETF
[24:01] 几乎没有人获利了结
[24:03] 大家还在买
[24:04] 六月还在买
[24:05] 七月也还在买
[24:06] 资金主要流向
[24:08] 就是美国的大型科技股
[24:09] AI和半导体
[24:10] 南韩和新市场
[24:12] 还有主动ETF
[24:12] 今年主动ETF也吸引了
[24:15] 接近有4000亿美元的资金
[24:17] 其实也不少
[24:18] 台股的话很明显
[24:20] 那美欧股市主动型ETF
[24:22] 今年的流入量
[24:23] 已经占了总流入的40%
[24:25] 这也比其他资产来得高
[24:27] 另外一部分
[24:28] 上半年的累积成交ETF金额
[24:30] 也超过了40兆美元
[24:32] 年增幅有50%
[24:33] 日均交易量是3250亿
[24:36] 创下新高
[24:37] 所以不只是台股的量能创高
[24:39] 美国股市也是如此
[24:40] 美国现在有5400档的ETF
[24:44] 你要知道美国现在上市公司几家
[24:47] 4000家
[24:48] 那美国有5400档ETF
[24:50] 那也很离谱
[24:51] 今年新增的ETF就已经超过了770档
[24:54] 所以现在挑ETF比挑个股更难
[24:57] 因为ETF数量比个股还来得多
[25:00] 这也是我觉得蛮有趣的一个迹象
[25:02] 所以美国股市挂牌的公司
[25:04] 其实也不是很多
[25:05] 那今年美国上市ETF的日均名目成交金额
[25:09] 刚才提到3200亿
[25:10] 去年是2300亿
[25:12] 相对于台股是健康
[25:14] 不过也是创高
[25:15] 台股是从以前的四五千亿
[25:16] 直接跳升到一兆以上
[25:18] 那现在一兆以下就变量缩了
[25:21] 那更早以前只有两三千亿
[25:23] 所以我们如果细节观察
[25:24] 现在要怎么样的效果
[25:26] 才会导致估值回调的空间
[25:29] 开始加大呢
[25:29] 我们过去跟投资朋友提过
[25:31] 因为现在市场上最大的亮点
[25:34] 来自于费办
[25:35] 那费办涨幅过去14个月
[25:36] 高达237%
[25:38] 其实已经媲美当时2000年的涨幅
[25:42] 只不过虽然现在股价走高了
[25:44] 可是跟当年的基期差很多
[25:46] 因为现在的本益比
[25:48] 远远低于2000年
[25:49] 也就是目前的获利增长速度
[25:51] 相对来的快速一点
[25:53] 那AI基础建设的规模
[25:55] 我们过去提过
[25:56] 那有什么理由挡下来呢
[25:58] 石油价格涨高也停不了涨幅
[26:01] 川普做一些奇奇怪怪的事情
[26:03] 股价也不会因此而停止上涨
[26:05] 有什么样的效果
[26:07] 让它估值回调呢
[26:08] 我们刚才提到
[26:09] 必须要让资本支出的预期
[26:11] 开始放缓
[26:11] 那资本支出放缓
[26:12] 那很恐怖
