[00:00] 投资朋友欢迎收听早晨财经速解读
[09:58] 不管是做NED
[09:59] 做DRAM
[10:00] 还是做SSD控制晶片
[10:02] 记忆体模组
[10:03] 都在成立完整的供应链
[10:05] 那现在最缺什么
[10:06] 缺钱
[10:07] 因为要盖厂
[10:08] 整体产业来看
[10:10] 现在中国企业掀起的IPO浪潮
[10:13] 除了红星宇之外
[10:14] 有江波荣
[10:15] 长兴科技
[10:16] 长兴存储
[10:17] 这是上个月挂牌
[10:19] 长兴科技
[10:20] 然后有武汉新兴
[10:22] 东芯半导体
[10:23] 新天下
[10:24] 我们看到一系列的IPO案
[10:26] 都是代表着
[10:26] 整个中方供应链
[10:28] 已经逐步形成
[10:29] 那当然对于
[10:29] 国产晶片的部分
[10:31] 我们当然知道
[10:32] 辉达的市占
[10:33] 在过去一年
[10:34] 是有显著的下滑
[10:35] 中国也在
[10:36] 以非常快的速度
[10:37] 以国产AI晶片
[10:38] 来取代辉达的产品
[10:40] 现在呢
[10:41] 大概也不过是
[10:42] 10到20%左右
[10:44] 还是有难度
[10:45] 有很大的批的货
[10:46] 还是靠超微来撑的
[10:47] 可是呢
[10:48] 中国到目前为止
[10:49] 大概是往
[10:50] 自主研发先进技术
[10:52] 和建立完整的国产供应链
[10:53] 两条路线来做持续推进
[10:55] 一个就是以华为为核心
[10:57] 中国这几年是积极整理
[11:00] 海思中兴国际
[11:01] 还有中巨星这些本土企业
[11:03] 扩大材料化学品
[11:05] 或者基板和设备的供应能力
[11:07] 那另外一方面
[11:08] 比如说像是EUV设备
[11:10] 高阶光组
[11:11] 这个是很大程度依赖国外技术的
[11:13] 几乎没办法
[11:15] 在短期内有效提升
[11:16] 那没关系
[11:17] 那就先做突破先进制程的瓶颈
[11:20] 其他层面用高价来进行购买
[11:24] 能够做就尽量做
[11:25] 不能做的那就自己发展
[11:27] 另外一方面
[11:28] 我应该讲说能够做就自己做
[11:29] 不能做的先花点钱
[11:32] 先买通一些企业
[11:33] 慢慢回过头来研究
[11:36] 这个是至少整个中国政策执行的方向
[11:38] 但它不见得会对于美系供应链
[11:40] 造成十分大的伤害
[11:42] 因为它只是要求国产的替代率而已
[11:44] 大语言模型也是如此
[11:46] 我们看中国AI最近是积极的推出新模型
[11:49] 阿里最新的千问3.8 MAX
[11:52] 然后之前的Kimi K3
[11:54] 这是月子暗面的
[11:55] DeepSick的V4
[11:56] 还有字节跳动的C-Dance
[11:58] 这些在推理在程式设计
[12:00] 在影片生成上
[12:01] 现在陆续刷上了全球排行榜
[12:04] 尤其是字节跳动
[12:06] 我们知道在这两年
[12:07] 如果是以生成影片来看的话
[12:10] 中国不见得会完全输给美系的必源软体
[12:15] 字节跳动现在的C-Dance
[12:17] 它的确在生存式软体AI层面
[12:20] 有非常大的一个回响
[12:22] 当时2023年它就推出豆包了
[12:24] 豆包现在是中国
[12:26] 其实算是最红的AI消费端用户
[12:29] 大概一个月
[12:31] 大概有3.24亿的活跃用户
[12:34] 是中国使用人数最常使用的AI
[12:36] 那当然在C-Dance当中
[12:39] 因为目前字节跳动
[12:41] 最大的厉害就来自于生成影片
[12:44] 大概是仅次于Google的Gemini Omni
[12:48] 排行全球第二
[12:50] 在图片生成和影片编辑
[12:52] 基本上已经拿下了全球第一
[12:54] 这从实用度来看的话
[12:56] 之前字节跳动
[12:57] 不是上海今年不是有上海人工智能大会吗
[13:01] 当时他就把自己的豆包
[13:02] 吉祥物套上双足机器人在路上走路
[13:06] 你看如此之可爱
[13:08] 上面就是头
[13:09] 下面就是脚
[13:10] 看起来有点恐怖
[13:11] 但他也说明了
[13:12] 在部分领域
[13:13] 中国就可以有大量的产出
[13:15] 由于在影片生成的相对低成本
[13:18] 我们看AI剧
[13:20] 以中国为推出的微短剧
[13:22] 现在已经成为了
[13:23] 全球成长最快的行动产业
[13:25] 现在根据蓬勃的调查
[13:27] 全球每天平均观看
[13:29] 这些AI剧的时间
[13:30] 4月份已经来到25分钟
[13:33] 比2025年大增了85%
[13:35] 有时候我们在脸书
[13:37] 或者在IG滑那个reels
[13:39] 是不是很容易就滑到一些AI剧
[13:41] 一开始觉得真低俗
[13:42] 后来实在是忍不住
[13:44] 多看了几眼
[13:45] 过去一部短剧的成本
[13:47] 可能要20万美元
[13:49] 大概要六七百万起跳
[13:50] 不过这些中国的AI剧
[13:52] 平均连两万人民币都没有到
[13:55] 现在real真的蛮多这种影片
[13:58] 你看真人的影片还不是特别多
[14:00] 我最近还刷了一堆
[14:01] 而且AI短剧
[14:03] 我觉得表情的动作还不赖
[14:06] 你看这个影片叫重生60年代
[14:09] 我靠打猎逆袭报复
[14:11] 人人都以为他是
[14:13] 人淡如菊的太子妃
[14:15] 连定下婚约的太子也拿他全家性命
[14:18] 逼他从前吃等四子十年
[14:20] 他却搂着怀里的卖鱼女
[14:22] 逼他和鸭子拜堂
[14:24] 他不哭不闹
[14:25] 只觉得十年恩情
[14:26] 量大管饱啊
[14:27] 反正真人的
[14:29] 现在拍片也不是很好看嘛
[14:31] 那不如看这些片耗时间
[14:33] 那的确这也导致
[14:35] 中国的AI剧目前是持续性的爆发
[14:38] 那2025年算是
[14:40] AI的漫剧元年
[14:41] 抖音每个月Top5000的短剧当中
[14:44] 大概全AI生成的微短剧
[14:48] 已经从一个月四部
[14:49] 现在是一个月217部
[14:52] 所以AI现在已经从少量的尝试
[14:54] 变成规模化的生产了
[14:56] 那这些都是一个新格局
[14:58] 当然你说这代表会对于
[15:00] 美国的闭源系统形成重大压力
[15:03] 我们讲一样不一定
[15:04] 你看最近中国还采取了
[15:06] 新一轮的生成式AI的禁制令
[15:08] 就禁止未成年人使用AI链人
[15:11] 就从上个月开始
[15:13] 北京就正式管制具有人格化
[15:15] 情感互动能力的人工智慧服务
[15:17] 未来成年人不能使用虚拟恋人
[15:20] 或者虚拟家人
[15:21] 业者也不提供鼓励智商
[15:23] 过度迎合使用者
[15:24] 或者破坏真实人际关系的相关回答
[15:27] 主要原因就来自于
[15:29] 在青年景气低迷
[15:31] 升学或者就业竞争压力底下
[15:33] 如果把人工智慧当成精神的唯一依靠
[15:36] 那可能会削弱你的真实社交
[15:38] 所以为了以防你沉迷于网络AI令人
[15:42] 现在要求这些模型商
[15:44] 禁止让别人有依附的关系
[15:47] 只能做知识的问答
[15:48] 你有心理什么问题
[15:50] 你跟智商师说你不要问AI
[15:51] 这的确
[15:52] 它其实就说明着
[15:53] 中国大力发展AI产业
[15:55] 企业数量模型产品
[15:57] 看起来是百花齐放
[15:59] 彼此也竞争
[16:00] 繁荣景象也非常明显
[16:01] 可是如果是从模型上线内容生成
[16:05] 资料使用或者演算法的推荐
[16:08] 他还是必须要坚守严格的审查和框架
[16:12] 我稍微用了几个
[16:14] 你像Keynote或DeepSeek
[16:15] 其实最重要的关键就在于
[16:17] 汉字的文本有很大的差距
[16:21] 你问一些敏感性的问题
[16:23] 有时候也不是特别敏感
[16:24] 只是在聊一些
[16:25] 在国际政治博弈的角度
[16:27] 你问一个问题
[16:28] 那可能会得出一个
[16:29] 截然不同文本的答案
[16:31] 那另外一方面就是
[16:32] 有时候问一些的确比较敏感的问题
[16:34] 他就开始转圈圈了
[16:35] 然后就不告诉你了
[16:36] 这是经常会遇到的
[16:37] 所以你说真的会对于美国的这些
[16:40] 币源的AI产生重大冲击吗
[16:43] 你会使用吗
[16:44] 我比如台湾银行
[16:44] 现在有很多都使用QHBT
[16:46] 很多客服都是如此
[16:47] 蓬勃终端机也是
[16:49] 蓬勃终端机它用的
[16:50] 我记得也是OpenAI内建的系统
[16:52] 你要让它使用KeyMe
[16:55] 你要让国泰世华银行采用DeepSeek
[16:59] 你看那个ABNB
[17:01] 它的确就采用阿里请问
[17:03] 采用路西软体
[17:04] 那没话说
[17:05] 因为那客服
[17:05] 但你说大多数的台湾企业
[17:08] 美国企业
[17:09] 会大量的由于成本原因
[17:11] 而采用中国的模型吗
[17:13] 这也不一定
[17:13] 这也说明着
[17:15] 形式不等于自由
[17:16] 中国的确
[17:18] 现在市场上也出现很多公司和产品
[17:20] 但不代表他们真的
[17:22] 就能够走出不同的道路
[17:23] 选票有时候看起来很多名字
[17:26] 但有时候
[17:26] 所有选择都必须要符合相同的标准
[17:30] 真正的自由
[17:31] 不是让你看起来有选择
[17:32] 而是有不同的想法路线和答案
[17:34] 但是这些中国模型
[17:37] 你要说它能够顺势的走出去吗
[17:39] 这个你要了解
[17:40] 你能不能接受台湾的几大企业克服
[17:44] 它采用的是陆系系统
[17:45] 所以我觉得这是最大的一个分歧
[17:47] 形式不等于自由
[17:49] 之前对岸不是有个笑话吗
[17:52] 讲说主席走在路上
[17:54] 看见有一个人抱着西瓜回家
[17:56] 他就停下车跟那个人说同志把西瓜卖给我吧那个人点点头当然可以我伟大的主席那您自己选一个吧
[18:08] 那主席愣了一下
[18:09] 这里不就只有一个西瓜吗
[18:11] 那个人就很平静的说
[18:13] 我们选您的时候也是这样子的
[18:17] 所以形式自由不等于真实自由
[18:19] 不管是中国的半导体崛起
[18:22] 还是中国的大圆模型崛起
[18:23] 我为什么讲说
[18:25] 我们虽然知道会有压力
[18:26] 但不会说大举的威胁到
[18:28] 台湾的供应科技链
[18:30] 因为台湾核心产品
[18:31] 还是以美系科技公司为主
[18:33] 但是这两个
[18:34] 是属于不同的一个世界
[18:36] 不同的供应链
[18:37] 中国半导体
[18:38] 更像是在建立
[18:39] 自己的国产替代体系
[18:40] 用自己的AI模型
[18:42] 用自己的半导体
[18:43] 但是AI
[18:44] 它是一个增量市场
[18:46] 美国的需求还在膨胀
[18:47] 模型越多
[18:48] 算力需求越强
[18:49] 越需要更多的晶片
[18:51] 最后不是说什么
[18:52] 中国AI做起来
[18:54] 台厂就要衰退了
[18:55] 就零核油
[18:56] 它不是这样子
[18:56] 两套供应链
[18:58] 看起来是会同时做大
[18:59] 中国做国产化
[19:00] 美系供应链继续做AI扩张
[19:03] 台厂继续吃
[19:04] 美系AI供应成长的红利
[19:06] 这是我观察到的一个实体迹象
[19:08] 这也说明
[19:09] 整个AI对于台湾的外溢效果
[19:12] 也不会因此而停下来
[19:13] 我们回过头看
[19:15] 到目前为止
[19:16] 由于台湾的PNI数据
[19:18] 中金院公布数据
[19:20] 已经来到61.5
[19:21] 在7月份
[19:21] 也就代表着
[19:22] 台湾现在经理人
[19:24] 正在疯狂的备货
[19:25] 那其实从台日韩的算力王者
[19:28] 现在在科技百强当中
[19:30] 台积电当然是领头羊了
[19:31] 在第二名第三名就是三星
[19:33] SK海力士
[19:34] 第四名是软银
[19:35] 第五名就是日本的记忆体凯霞了
[19:38] 第六名是联发科
[19:39] 然后是东京威力科创
[19:41] 台达电
[19:42] 爱德万
[19:43] 日立
[19:43] Sony
[19:44] 你可以观察到
[19:45] 台湾其实按照人口基数来看
[19:48] 前20名也不应该这么多企业
[19:50] 但是你还是发现有这么多企业排名其中
[19:53] 带领着日韩供应链往前冲
[19:56] 这就是我们看到的
[19:57] 美系供应链的集体的扩大
[19:59] 当然回过头说
[20:01] 这就代表着台湾的ETF卖盘
[20:03] 根本就不用担心有所松动
[20:05] 其实在整个7月份
[20:06] 我们如果细看台股的ETF吸金金额
[20:09] 再度创下历史新高了
[20:11] 前几个月是高达1.5兆元的资金
[20:14] 尤其7月份
[20:15] 元大台湾50还买了1766亿
[20:18] 631L
[20:20] 挣额也买了不少
[20:21] 台股正额有477亿
[20:23] 981A471亿
[20:25] 685L也是正额424亿
[20:28] 两个正额加起来
[20:30] 有800亿的买盘
[20:32] 这些事情都说明
[20:33] 台湾人不只是看好台湾
[20:36] 而且是看好单日正额的台湾
[20:38] 这是可以观察的极大重点
[20:40] 他的外汇收入不减少
[20:41] 他就继续买下去
[20:43] 这也引发我们看到
[20:45] 整体国营的放缓走势
[20:47] 快速的暴增
[20:48] 一方面当然是开启杠杆
[20:50] 来获得更多报酬
[20:51] 另外一方面就借钱
[20:52] 有些人当然知道
[20:54] 政恶它毕竟是单日两倍报酬
[20:56] 长期持有会有波动损耗的问题
[20:58] 所以有些人可能是更偏好借钱来投资
[21:01] 而并不是去买政恶
[21:03] 尽管会统计
[21:04] 在整个6月底的国营总放款预约
[21:06] 已经来到47.8129亿
[21:09] 6个月增加了快要5000亿
[21:12] 个人放款暴增2500亿
[21:15] 历史新高
[21:16] 现在看起来个人端正在疯狂的借钱
[21:19] 现在银行的个金
[21:20] 钱反而溅满了
[21:22] 反而是气经还有一点扣打
[21:24] 所以从这件事情都看得出来
[21:25] 市场上在8月份的
[21:27] 现金股利发放之后
[21:29] 会形成什么样的效果
[21:30] 当然是买盘持续的摧毁
[21:32] 我们看8月份
[21:34] 有451家的上市柜公司
[21:35] 会排定发放股息
[21:37] 总股息是6800亿
[21:39] 我们相信很快资金
[21:41] 就会重新的回流
[21:42] 看一下是否能够
[21:43] 引发新一波的买盘
[21:44] 当然这也就代表着
[21:46] 台湾目前的经济
[21:47] 已经不单纯是由外销出口来往前冲
[21:50] 它是一个主要的推动因子
[21:51] 但内需也慢慢被带动了
[21:53] 你看最标准的观察指标就是车市
[21:56] 车市我等了一年了
[21:59] 七车关税都还没有跳降
[22:01] 现在没办法
[22:02] 已经等了一整年了
[22:03] 只好来换车了
[22:04] 台湾7月份的新车挂牌数
[22:06] 已经来到38657辆
[22:09] 年增幅8.9
[22:10] 居然开始回暖了
[22:12] 去年我们知道车市是重度衰退
[22:14] 去年其实台湾的零售业消费业
[22:16] 也没几家是正成长的
[22:17] 其实百货也不好
[22:19] 车市也不好
[22:20] 那更不用讲一般店面情况了
[22:23] 今年第一车市开始打头
[22:26] 整个冷太久了
[22:27] 本来去年已经憋了一整年
[22:28] 随时准备要换车
[22:29] 就隔了一整年
[22:31] 发现还是关税不会降
[22:32] 那是好先换了
[22:33] 因为车快坏了
[22:34] 那第二是内需的大爆发
[22:36] 6月份的商业营业额
[22:38] 批发业是1.7兆
[22:39] 这个年增幅超过50%
[22:41] 不过这个很大程度
[22:42] 是来自于过去我们看到的
[22:44] 一些部分气机械
[22:48] 或者我们看到半导体的零组件
[22:50] 所以它成长那么快
[22:51] 是有原因的
[22:52] 还是外销的原因
[22:53] 但是零售业也有年增幅8%
[22:55] 8%算不错了
[22:57] 台湾以前零售业成长
[22:58] 很少超过通膨的数据
[23:01] 那现在来到8%
[23:02] 餐饮业零售额也有890而已
[23:04] 年增幅大概4.6%左右
[23:06] 如果我们细看
[23:07] 今年整个上半年的
[23:09] 台湾百货业经营情况
[23:11] 星光三越的部分
[23:12] 上半年是399亿
[23:14] 年增幅22.2%
[23:16] 不错
[23:17] 远东收购是278亿
[23:19] 年增幅1.7%
[23:20] 远东208亿
[23:22] 年增幅3.6%
[23:23] 三大百货集团都还是正成长
[23:25] 那便利超商的部分还勉强OK
[23:28] 统一超商上半年营收1800亿
[23:30] 年增幅5.1%
[23:31] 全家是569亿
[23:33] 年增幅有8.1%
[23:34] 那么至于在电商部分
[23:36] 这个因为是有外在的竞争
[23:38] 叫coupon
[23:39] 这个给予的台湾电商压力比较大
[23:41] 不过还是勉强正成长
[23:43] MOMO的部分有成长2.4%
[23:45] PC HOME有9.2%
[23:47] 其他像新兴网有22%
[23:50] 那超市量贩就比较分化一点
[23:52] 那其中成长比较快的是宝雅
[23:54] 年增幅有13%
[23:56] 其实成长最多的还是好市多了
[23:58] 好市多现在全球有14家门市
[24:00] 营业额是最高的
[24:01] 1400亿
[24:02] 这真的很离谱
[24:04] 平均单店的年营收就突破100亿
[24:07] 其中像台中南屯店
[24:08] 台中北屯店
[24:09] 台北的内湖店
[24:10] 还有新北的中和店
[24:12] 都已经位居全球前十强
[24:14] 台湾是Costco大阵营
[24:16] 虽然我觉得好像那个东西
[24:19] 也看起来有时候更换频率
[24:22] 我觉得这几个月
[24:23] 好像没有到特别高
[24:24] 不过看起来买的人还是特别多
[24:26] 所以这个消费习性也很特别
[24:29] 这是第二大方面
[24:30] 零售业也开始好转
[24:31] 第三大方面是来自于国旅
[24:34] 这很多人都说
[24:35] 怎么可能会有人去国旅
[24:36] 我跟你讲国旅还真的好转了
[24:38] 你就知道台湾人现在多有钱
[24:40] 去年台湾旅游人设
[24:42] 最近观光局公布数据是2.48亿次
[24:45] 年增幅11.5%
[24:46] 国旅大爆发了
[24:49] 总旅游支出来到5643亿
[24:51] 创下历史新高了
[24:53] 平均一人一年国旅要11.65次
[24:57] 比前一年的10.46次来得更高
[24:59] 观光局预估在本年度
[25:01] 会持续创下历史新高
[25:03] 当然了
[25:04] 因为国旅的部分
[25:06] 我看了底下
[25:07] 逛街好像也算国旅
[25:09] 那逛街也算国旅
[25:10] 那平时我在林森北喝点小酒
[25:14] 那也算国旅
[25:15] 所以不管怎么说
[25:16] 至少可以观察得出来
[25:18] 钱多到这种地步
[25:19] 嘴巴上就讲国旅
[25:21] 谁要去国旅
[25:22] 去冲绳比较便宜
[25:23] 实在太无聊了
[25:25] 还是要花点钱
[25:26] 事实上我们知道
[25:27] 国旅主要还是靠国内旅客来做支撑
[25:30] 国际旅客的部分
[25:31] 现在在疫情后的国际旅游快速复苏
[25:34] 淘机去年转机有669万人次
[25:37] 但参加观光半日游的旅客
[25:39] 只有1.3万人
[25:40] 占比不到0.2%
[25:41] 你要知道其他地方
[25:43] 像杜拜或者卡达
[25:44] 都把转机旅客视为重要的市场
