[00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:30] 台股是否能够追上废办的后路
[07:14] 能不能挖到金子
[07:16] 不重要
[07:16] 反正卖产值的
[07:17] 我就继续买它就没问题了
[07:19] 执行长Elon Musk
[07:20] 这次是表示
[07:21] 无论未来的产能表现为何
[07:23] 投资都会显著增加
[07:25] 所以电动车的需求
[07:27] 我们知道过去几个季度
[07:28] 已经连续好久都低于市场预期
[07:31] 说明就算你自驾车电动车卖的差
[07:34] 应该也不是股价受承压
[07:36] 或者股价下跌的主要理由了
[07:38] 基本就来自于过去你所提到的自驾系统
[07:42] 你的机器人
[07:43] Robotex的服务
[07:44] 到底多快可以获得巨大的营收贡献
[07:48] 电动车卖的少一点没关系
[07:50] 那赶快给我营收回馈
[07:52] 可是我们都知道
[07:53] 特斯拉目前的主要营收来源
[07:54] 还是来自于卖车
[07:56] 而并不是卖服务
[07:57] 所以市场上看起来就开始有一点焦灼
[08:01] 逢低买盘是会增加
[08:03] 但是追高意愿就没有这么强烈了
[08:05] 我们举例来说
[08:06] 特斯拉目前出现一个
[08:07] 比较矛盾的状况就是
[08:09] 基本面其实它是在慢慢转弱的
[08:11] 然后因为的确嘛
[08:12] 现在汽车市场销售量
[08:14] 的确已经趋于饱和
[08:15] 但是散户资金在这一波是持续加码
[08:18] 基本上就逢季买盘
[08:19] 26年第一季美股盈余
[08:21] 本来从0.6块
[08:23] 现在下修到0.25块
[08:25] 连续四个季度低于市场预期
[08:27] 散户资金还在买入
[08:28] 每天单日资金
[08:30] 大概维持在70亿美元左右
[08:32] 从技术面来看
[08:33] 压力是很大没错了
[08:34] 可是从市场买盘面来看
[08:36] 似乎就是卡在这样的位阶有强烈的支撑那其实另外一个标准的散户是就是比特币比特币也是如此在最近几周比特币的资金涌入速度也非常快但是一样
[08:49] 涨高了就不追
[08:50] 下跌下来就开始买
[08:51] 结果大家都变成了左侧投资者
[08:54] 比特币现在目前还卡在
[08:56] 长期下降的趋势线
[08:57] 和100日均线左右
[08:59] 一旦有效的突破7.5万到8万
[09:01] 当然就有机会重新回来
[09:03] 可是当前市场的概况
[09:06] 还是取决于软硬体股
[09:08] 跟大股票
[09:10] 或者说大型指数
[09:11] 和比特币当中的脱钩
[09:13] 过去五年也是如此
[09:14] 这个纳斯达克指数
[09:15] 跟比特币就是高度联动
[09:17] 结果从24年25年以后
[09:19] 双方就全面脱钩了
[09:21] 所以这件事情就意味着
[09:23] 是否比特币内部的筹码的混乱
[09:27] 所以导致大型机构的回补意愿
[09:29] 相对比较薄弱呢
[09:31] 这是值得大家观察的重点
[09:33] 毕竟我刚查到一个数据
[09:35] 张图表示
[09:36] 加密货币
[09:37] 在各地区的男女配置比例
[09:39] 其实整个币圈
[09:41] 基本上还是男的居多
[09:43] 无论是欧洲
[09:44] 英国
[09:45] 美国
[09:45] 我们过去提过
[09:47] 男生就是这样子
[09:48] 这个好就去追那个
[09:50] 那个好就去追那个
[09:51] 所以心态比较乱一点
[09:55] 如果是女生拥有
[09:57] 比特币的比例比较高
[09:58] 那女生都比较坚定
[09:59] 可以从头抱到尾
[10:01] 所以你看
[10:01] 大部分国家
[10:02] 不管是欧盟
[10:03] 英国还是美国
[10:04] 那币圈男性主导比率
[10:07] 大概都是70%到80%左右
[10:09] 性别渗透率出现了结构性的差异
[10:12] 所以各位男性币圈朋友们
[10:15] 要坚持
[10:16] 坚持就是胜利
[10:17] 比特币跌幅没有五成六成都不算跌
[10:20] 那当然大部分时间就是盘整期
[10:22] 投资时你要有浪漫的想象力
[10:25] 卖出时你要有理性和现实
[10:28] 那中间要学会睡觉
[10:29] 多睡一点多睡一点
[10:31] 好那我们回过头看
[10:32] 资金的轮替也动到能源股板块
[10:35] 能源股前阵子的确杀得算蛮重的
[10:37] 因为市场局势正在淡化
[10:39] 可是油价现在又涨回来了
[10:41] 地缘政策的风险还在上行
[10:42] 所以能源股ETF
[10:44] XLE也开始阻底了
[10:46] 代表过去两周算是一个观望的阶段
[10:50] 因为市场资金还在主线
[10:52] 在AI里头
[10:53] 但从历史经验来看
[10:54] 如果最终所达成的是新一波的景气上行趋势
[10:59] 能源股也不会跌到这个地步
[11:01] 我们过去所提的
[11:03] 有没有可能原油价格就维持80到100美元
[11:06] 形成一个更长期的新常态
[11:09] 也就代表着通膨它会一次性的拉升
[11:11] 可是它不会失控
[11:13] 那么能源股就会迎来一个重大的获利的拉升
[11:16] 这是值得大家观察的重点
[11:19] 不管怎么说
[11:20] 整个美国的经济现象
[11:21] 从偏爱来看
[11:22] 昨天所公布的数字仍然在一个缓步的回升
[11:25] 那当然很大一部分还是来自于企业的备货
[11:28] 也就是预期价格的上涨
[11:30] 也就是由能源所价格带动的
[11:33] 恐慌性不库存
[11:34] 那这种需求
[11:35] 也并不是真的来自终端需求
[11:37] 就好像假设今年
[11:39] 手机市场
[11:41] 笔电市场的销售额创高
[11:43] 很有可能不是因为
[11:45] 销售量创高所造成的
[11:47] 很有可能是因为你的记忆体涨价
[11:49] 被迫你的成本价格上涨所造成的
[11:51] 这种就不是终端需求
[11:53] 所造成的销售额创高
[11:55] 它只是企业被迫提前拉货
[11:57] 甚至由于通膨转嫁所形成的效果
[12:00] 所以美国的经济就处于这种比较极端的两难
[12:03] 就是名目上其实都还算是OK
[12:05] 可是从实质上而言
[12:07] 包括实质购买力的转落已经正在形成
[12:09] 目前美国的实质薪资已经正式转负
[12:12] 压力越来越大
[12:13] 就业市场也是一个很微妙的变化
[12:15] 企业并没有出现大规模的裁员
[12:18] 初领申请失业救济金人数仍然维持在低档
[12:21] 代表企业并没有释放员工
[12:23] 但是与此同时
[12:24] 认为就业状况越来越差的市场调查来得越来越沉重
[12:28] 因为现在大家不敢辞职了
[12:30] 以前是随时辞职
[12:31] 这就是美国股市当前的概况
[12:34] 整个分化仍然在持续
[12:35] 那我们的看法很简单
[12:37] 你选择大的
[12:38] 你选择对赌AI
[12:39] 软硬体股的交错
[12:41] 行情自然会有量力的报酬
[12:43] 回过头看台股
[12:44] 台股这一根的爆量震荡
[12:47] 其实是比较典型的
[12:48] 情绪和资金同时到顶
[12:50] 开始换手
[12:51] 但这个换手
[12:53] 也不是说什么土羊对坐的换手
[12:55] 感觉更类似于换股
[12:56] 我们知道在昨天
[12:58] 外资卖超其实幅度并没有特别大
[13:00] 才卖27亿
[13:01] 所以主要还是来自于
[13:03] 内资内部的个股的轮动
[13:05] 昨天内资中石户和散户
[13:08] 很明显同时获利了结了
[13:09] 引发多杀多
[13:10] 尤其中小型股
[13:11] 是资金最拥挤的地方
[13:13] 一旦方向反转
[13:14] 跌幅自然会放大
[13:15] 但这种走势
[13:16] 也不是说行情绝对结束了
[13:19] 只是结构上的切换
[13:20] 你像台积电
[13:21] 它还是很强势
[13:22] 也没有崩
[13:22] 资金只是从原本过热的中小型股来撤出
[13:26] 回到可能大型股
[13:27] 或者基本面更确定的标的
[13:29] 昨天那一根的确上影线留得很长
[13:32] 早上本来一堆人
[13:34] 准备拿好离职单的
[13:37] 各处事都盖好章了
[13:39] 下午回来上班了
[13:40] 这行情上的波动
[13:41] 我们过去讲过
[13:42] 1000点以内都算正常波动
[13:44] 8000亿都算是正常交易量
[13:47] 那未来我们要观察到的现象是
[13:51] 当前整个台股的市场未结
[13:53] 经历了新一波的换股换手以后
[13:56] 有没有向上拉升的机会存在
[13:58] 我们知道台股今年已经是全球第六大的市场
[14:01] 所以量能和波动
[14:02] 我们都要给它更宽的range
[14:04] 就好像如果我们现在是国际主流股市了
[14:07] 那国际的系统单一定会回补
[14:09] 那我们的泡沫难免要稍微高一点
[14:11] 从走势来看
[14:13] 刚才提到
[14:14] 因为昨天是单日成交量创下历史新高
[14:17] 集中市场加贵买市场加起来有1.3兆左右
[14:20] 其中贵买市值明显小于上市市场
[14:23] 但是贡献了接近有30%的交易量
[14:25] 加上单日挣付高达8%
[14:27] 所以昨天量能波动是稍微大一点
[14:30] 可是我们还是要承认
[14:31] 外资的回补效果还是没有特别明显
[14:33] 一直到今年为止
[14:35] 2026年外资还是卖了接近有4371亿
[14:38] 2025年也是卖超
[14:40] 2024年也是卖超
[14:42] 我们如果细看
[14:43] 2025年外资是卖了5900亿
[14:45] 2024年是卖了6900亿
[14:47] 2022年卖了1.2兆
[14:48] 2021年卖了4500亿
[14:50] 2020年卖了5300亿
[14:52] 换句话说
[14:53] 这个外资的回补
[14:55] 基本上会对于台股有极大的提振作用
[14:58] 可是呢
[14:58] 外资就算没回补
[15:00] 那看起来台股也会迟早创新高的
[15:02] 我们内资实在太有钱了
[15:03] 贵买的部分稍微好一点
[15:05] 贵买在今年
[15:06] 外资是买了331亿
[15:08] 去年是小卖19亿
[15:09] 不过24 23 22年21年都在卖超
[15:12] 24年外资卖了988亿
[15:14] 23年卖了711亿
[15:16] 22年卖了529亿
[15:17] 21年卖了485亿
[15:19] 好
[15:19] 那现在在这种市况底下
[15:21] 等同于股价市场的上涨
[15:23] 仍然由内资作为主要驱动
[15:26] 而这种驱动的根本来源来自于哪里
[15:28] 当然来自于外销订单的增长
[15:30] 这一次三月份的外销订单
[15:32] 已经冲高到911亿
[15:34] 这是台湾第一次突破900亿的外销大关
[15:37] 年增幅65.9
[15:40] 哇这增速越来越快了
[15:42] 去年已经平均保持两成到三成的增速
[15:45] 现在一个月增速有65%
[15:48] 目前第一季的累计接单
[15:49] 已经来到2319亿
[15:51] 平均值有50%
[15:53] 这代表即便现在有地缘政治的冲突
[15:56] 但是AI投资完全没有放缓
[15:58] 反而有持续增长的迹象
[16:00] 这直接导致了
[16:01] 最新我们看到白宫经济雇佣委员会
[16:04] 所公布的26年总统经济报告
[16:06] 已经指出
[16:07] 去年赚最多美国人征数的钱
[16:10] 就是台湾人
[16:11] 进口年征服596亿
[16:14] 直接拿下全球第一
[16:15] 其中美国当然对于中国的进口大幅减少
[16:19] 减了971亿
[16:20] 但是对于台湾、越南、墨西哥进口大增
[16:22] 那其中增长最多的就是台湾市场
[16:25] 那本来还要打关税
[16:26] 但要消减对于台湾的贸易逆差的
[16:29] 结果逆差越来越大了
[16:30] 美国人越来越多钱被台湾人给赚走了
[16:34] 那这样的一个迹象
[16:35] 就是形成目前内资买盘
[16:38] 能够持续推升的主要根本原因
[16:40] 整个三月份到四月份行情有多热
[16:42] 从另外一个数据来看
[16:43] 这是三月份的受理案件数
[16:46] 诈骗金额
[16:47] 目前相对于二月份暴增八成
[16:50] 那可能因为二月份
[16:51] 因为诈骗集团也要过年
[16:53] 但是三月份高达1.4万件
[16:55] 一个月多了6000件
[16:57] 成长速度非常快
[16:58] 单月是接近50亿
[16:59] 持续往上累积
[17:01] 那为什么说这个数据很重要
[17:02] 因为在速发部的协助底下
[17:05] 其实台湾在过去几个月
[17:07] 其实诈骗金额
[17:09] 受理数和财损数
[17:11] 它一直都在缓步的减少
[17:12] 可是这一波三月份
[17:14] 突然开始跳高了
[17:15] 那原因很简单
[17:16] 有钱了
[17:18] 股市涨越多就越容易被骗
[17:20] 不只是股市被骗
[17:21] 那钱也容易被骗所以在这样的一个效果底下我们可以观察到的实质现象是整个全台市场这种资金蓬勃发展的过程肯定会形成一些外溢效果
[17:33] 每10万人受理最多的现实
[17:35] 新竹市不知道为什么
[17:36] 一直保持第一
[17:37] 78.4件
[17:39] 每10万人财损最多的现实是台北市
[17:42] 每10万人被骗3274万
[17:44] 所以这件事情都意味着
[17:46] 整个资金内部行情的轮动
[17:48] 产生了新一轮的效果
[17:50] 甚至我们看到
[17:51] 昨天市场上最为关注的
[17:53] 当然就是金管会的资金松绑
[17:55] 这一次政策很简单
[17:56] 最近金管会动作真的很多
[17:58] 就是让基金可以更敢买
[18:00] 也可以买更多大型全资股
[18:02] 过去投信和主动ETF
[18:04] 对于单一公司持股10%的上限
[18:06] 导致台积电这种市值极高的公司
[18:09] 资金被动会被压制它的配置
[18:12] 形成一种想要买
[18:13] 但是不能买太多的结构限制
[18:15] 那现在呢
[18:16] 放宽咯
[18:17] 放宽到25%
[18:19] 等于把这个枷锁给解开
[18:21] 未来基金在配置上
[18:23] 就会更贴近于市场权重
[18:24] 那当然了
[18:25] 意思就是全职型股票
[18:27] 尤其是台积电
[18:28] 受到这些ETF的回补力度
[18:31] 或基金回补的力度
[18:32] 会非常非常惊人
[18:33] 报酬表现
[18:35] 就会贴近于整个台积电
[18:36] 那如果台积电股价
[18:38] 再继续向上拉升
[18:39] 那就代表着
[18:40] 全职股不只是主导指数
[18:42] 它会主导全台湾的ETF
[18:44] 我们当然知道
[18:45] 这个主动型ETF
[18:46] 是目前市场上最为聚焦的变化
[18:49] 台股最大变化
[18:50] 就是现在主动型ETF
[18:51] 去年是没有人跑赢0050
[18:53] 今年是主动型ETF
[18:55] 全面跑赢大盘
[18:57] 平均涨幅到目前为止是涨了43%
[18:59] 明显高于市场
[19:00] 甚至有三档目前涨幅已经突破了六成
[19:03] 像是992A
[19:05] 981A
[19:06] 994A
[19:06] 那整体而言
[19:08] 当然是资金高度集中在AI相关产业
[19:10] 主动选股
[19:11] 集中持股所放大的效果
[19:13] 通常如果股市是熊市
[19:15] 那当然主动型的ETF或者基金
[19:18] 通常按照惯性
[19:19] 跌幅也会大于大盘
[19:20] 它其实就是β值放大而已
[19:22] 那过去我们也讲过
[19:23] 很多主动型ETF
[19:25] 它在投资
[19:25] 或者被动型ETF
[19:27] 它在投资的过程当中
[19:28] 都会遇到那种
[19:29] 台积电持股上限的问题
[19:31] 它就不能超过10%
[19:33] 所以前阵子不是去年吗
[19:35] 我们看981A
[19:36] 当时的持股
[19:37] 你会看到
[19:38] 它怎么跑去买0052
[19:39] 它怎么跑去买0050
[19:41] 一个ETF去买人家的ETF
[19:43] 就变成ETF永动机
[19:45] 可是我们当时
[19:46] 有跟投资朋友分享
[19:48] 原因很简单
[19:50] 因为对于某些ETF来说
[19:53] 如果台积电股价涨太快
[19:54] 你不买台积电
[19:55] 你就会错失报酬
[19:56] 可是台积电你又买满了
[19:58] 你当然只能借由ETF的方式
[20:00] 先追上市场再说
[20:02] 所以有时候
[20:03] 虽然我们说主动型ETF
[20:05] 当然就是你要跟大盘有所区隔
[20:07] 可是当大盘是有几只少数股票在上涨
[20:10] 你只能买的时候
[20:11] 一定是优先先跟上大盘
[20:13] 它比急着表现主动来得更重要
[20:16] 所以这个时候就变成
[20:17] 被动型ETF
[20:19] 对于很多主动型ETF
[20:20] 当时被迫买入
[20:21] 它是一种负责撑住自己的绩效
[20:23] 拉齐曝显的重要推演
[20:26] 所以在这样效果底下
[20:27] 现在市场上随着主动型ETF
[20:29] 再度成为市场的亮点
[20:30] 很多人现在投资是怎么样
[20:32] 每天晚上去看那个
[20:34] 00981A的持股明细
[20:36] 以前晚上都是
[20:38] 夜深人静的时候看番号
[20:41] 现在每天晚上看
[20:42] 981A公布的持股明细
[20:45] 一样都是A
[20:45] 但是前面都是一人串数字
[20:48] 品位变好了
[20:50] 所以行情就是这样子持续的波动
[20:52] 这是金管会最近所采取的一系列动作
[20:55] 我们过去所提过
[20:56] 金管会这一波
[20:57] 在彭主委的监督底下
[21:02] 似乎让整个台股迎来了一个新时代
[21:04] 前阵子我们提到
[21:06] 台股这一次已经迈向了美元股利
[21:08] 会进行双重分配
[21:10] 外资法人和外国智囊人
[21:12] 以后领股息就直接领美元了
[21:14] 他就没有汇率风险了
[21:15] 那本土就要持续领新台币
[21:17] 那当然很多人会担心说
[21:19] 这样子会不会导致
[21:21] 我们新台币的国际力量开始示威
[21:24] 毕竟他买台积电
[21:26] 他好像也从头到尾不用换台币
[21:27] 那台币不是越来越弱吗
[21:29] 越来越没有人重视
[21:30] 但金管会的态度比较明确
[21:32] 如果我用这一招
[21:33] 可以让更多的外资
[21:35] 他本来的卖超变成买超
[21:36] 那么他还是愿意持有台股资产
[21:39] 此时他是以美元计价
[21:41] 所以这件事情
[21:42] 不一定是对于台币有害
[21:43] 但是至少对于台股是有利的
[21:45] 因为外资多了一个购买台股的诱因
[21:48] 因为他不用换汇
[21:49] 另外一个就之前我们提到的
[21:51] 金管会正式把外国债券进行全面性解锁
[21:54] 只要是Triple B以上的外国债券
[21:56] 不限用途
[21:57] 可以直接进行担保换取台币
[22:00] 换句话说
[22:01] 等于杠杆的拉伸
[22:02] 这不是过去我们讲的持押
[22:04] 而是把持债直接拿来进行抵押
[22:06] 把海外的资产
[22:08] 很早我们过去就提过
[22:10] 按照这种速度
[22:10] 也许迟早会有美国股市
[22:13] 美股的直接性抵押
[22:14] 那就代表着
[22:15] 你在美国美国券商买的股票
[22:17] 你拿来台湾的券商抵押
[22:19] 就可以换钱了
[22:20] 换钱干嘛呢
[22:21] 继续炒台股嘛
[22:22] 所以我们看金管会
[22:23] 这一轮的动作非常多
[22:24] 亚洲资产管理中心
[22:26] 本质就是在做一件事
[22:28] 把台湾从资金的输出地
[22:30] 变成资金停留地
[22:31] 金管会目前的做法
[22:32] 推行力度其实很快
[22:34] 从制度到场域到产品
[22:36] 三条线是同步推动
[22:38] 第一条是制度松绑
[22:40] 包括现在放宽基金单一持股的上限
[22:43] 推动TESA的长期投资账户
[22:45] 并且争取税负的优惠
[22:47] 第二是场域建设
[22:48] 你看现在的高雄亚洲资产管理中心
[22:51] 其实已经有蛮多的银行保险资产管理中心进驻了
[22:55] 大家去亚湾稍微去注意一下
[22:58] 开始都陆续挂牌了
[22:59] 建立实体的服务和产业聚落
[23:01] 第三就是产品和服务申请
[23:03] 台湾现在有钱人越来越多了
[23:05] 所以高端的财富管理
[23:06] 跨境投资
[23:07] 家族办公室
[23:08] 是目前金管会的推行方向
[23:10] 很简单
[23:11] 金管会不希望整个亚洲资金
[23:13] 大量的往新加坡来做挺进
[23:15] 那你要让人家把钱拿来台湾
[23:17] 那台湾的法规
[23:19] 势必一定要松绑
[23:20] 所以我们看
[23:21] 核心现在金管会
[23:23] 就在做一件事情
[23:24] 把金融陆续进行松绑
[23:26] 那这些松绑
[23:26] 从放宽主动型ETF
[23:28] 到多资产的ETF
[23:30] 到REIT
[23:31] 大家有没有感觉
[23:32] 速度是越来越快了
[23:33] 所以我对于
[23:34] 这次金管会的动作
[23:35] 还是抱有一定的信心的
[23:37] 那当然有时候
[23:37] 有没有可能造成风险的扩大
[23:39] 那风险交给杨总财管就好了
[23:41] 金管会现在
[23:42] 更大的挑战是如何放松监管
[23:44] 让台湾的金融业走向未来
[23:46] 当然回过头来说
[23:48] 这也就意味着
[23:49] 整个台湾市场的蓬勃发展
[23:51] 它会从原本的金融市场
[23:53] 转往实体民间
[23:54] 我们看在最近失业率的表现
[23:56] 台湾主技处公布的失业率
[23:58] 3月份是小幅上升到3.34
[24:00] 不过还是由于转值潮所造成的影响
[24:02] 重点在于主技处所公布
[24:04] 今年的平均薪资
[24:06] 目前如果加入到年终奖金
[24:08] 已经突破9万块
[24:10] 单月是跳增了接近有三成
[24:12] 那当然是年终奖的带动所导致的
[24:14] 其中另外一个是中位数
[24:15] 中位数大概是3.9万到4万元区间
[24:18] 它的确还是比平均数低蛮多
[24:20] 平均数是9万
[24:22] 但是薪资分布
[24:23] 还是处在比较严峻的落差
[24:25] 我们举例来说
[24:26] 其实在各大产业当中
[24:28] 当前像是金融保险业
[24:30] 资通讯产业
[24:31] 电力能源相关产业
[24:33] 经常性薪资大概是6到7万块
[24:35] 金融业是7.4万
[24:37] 是目前台湾最为明显的高薪板块
[24:39] 可是低薪在劳力密集产业
[24:41] 像住宿餐饮业
[24:43] 教育相关服务业
[24:44] 资源服务业
[24:45] 大概只有3万到4万出头左右而已
[24:48] 这也形成一种现象
[24:49] 就是台湾金融市场和科技的吸财效果
[24:53] 导致劳力密集产业
[24:55] 目前严重缺工
[24:56] 我们过去所提过
[24:57] 目前住宿餐饮业
[24:59] 是全台湾职缺比例最高的板块
[25:02] 职缺比例大概是4.2%
[25:04] 不过我实际问了一下
[25:06] 也许到40%都不为过
[25:08] 现在服务业真的处于严重大缺工的情况
[25:11] 而且服务业转职人数又非常快
[25:14] 就是常常做一两个月就不做了
[25:16] 不像是科技业
[25:17] 捆绑效果比较明显
[25:19] 我们根据104的统计
[25:21] 这一次在2月份所公布的数据
[25:23] 年初大概有13万人骑驴找马
[25:27] 其中餐饮业是转职人数来得最多的
[25:30] 高达1.2万人
[25:31] 你要知道餐饮业本来就是这样子
[25:33] 加班工时又很长
[25:35] 假日又不能跟朋友出去玩
[25:37] 其实服务业大部分都这样
[25:40] 时间调配就是很辛苦
