[00:00] 請不吝點贊 訂閱 轉發 打賞支援明鏡與點點欄目
[00:30] 帶動已經跌升的輪替股開始回升呢
[03:23] 供應事業股或者原物料類股
[03:26] 今年以來軟體股的大幅波動
[03:28] 標普白指數不到一個月
[03:30] 已經蒸發1.2兆美元的市值
[03:32] 多家軟體公司平均股價下跌
[03:35] 跌近4成
[03:35] 可是公用事業類股
[03:36] 今年上漲平均是高達9%
[03:39] 能源類股平均上漲高達20%
[03:43] 也就代表著資金還是有流動
[03:46] 它只是迴流到那些
[03:48] 不容易被AI取代的產業
[03:50] 那現在過去十多年資本需求低
[03:52] 容易擴張的科技公司
[03:54] 它都是受到地利率環境的影響
[03:56] 現在又容易受到AI的衝擊
[03:58] 當然大家就變得更為保守
[03:59] 可是不代表
[04:00] 整個市場的資金板塊
[04:02] 已經出現大筆流出
[04:03] 據來說
[04:04] 昨天創新高的指標股當中
[04:07] 很明顯就是可口可樂
[04:08] 可口可樂這一波
[04:10] 從原本150多塊
[04:12] 一路漲到現在接近200塊
[04:14] 延續幾天的起拉
[04:16] 很明顯可以感受到那種
[04:17] 科技股板塊的逃殺
[04:19] 還有實業部板塊的流入
[04:22] 如果我們把軟鐵股
[04:23] 相對於納斯達克100指數
[04:25] 再來做更進一步觀察
[04:26] 會發現其實整個大盤也還好
[04:29] QQQ還保持在一箇中長期的打底格局
[04:32] 但是IGV軟體股ETF下行力度實在太快了
[04:36] 目前比值大概只剩下0.13左右
[04:39] 整體從歷史高點回撤幅度平均
[04:42] 平均是46%
[04:44] 所以不管是中型大型軟體股
[04:47] 其實賣壓都相對來的沉重
[04:49] 那當然了有些人說是因為最近
[04:51] 我們看到C-Tourney
[04:53] 最近Research所公佈的一個
[04:55] 2028全球智慧危機
[04:57] 可是我覺得
[04:57] 通常大家也不會把
[04:59] 一個非重量級的報告當一回事
[05:02] 那這份報告的確他提到
[05:03] 在整個2028年
[05:05] 同一時間的生產和GDP
[05:07] 會持續的創高
[05:08] 但是會呈現一個幽靈的GDP
[05:10] 產出會記在賬上
[05:12] 但最後不會透過薪資迴流家庭
[05:15] 簡單來講就是一個
[05:16] 科技大幅進步
[05:18] 但是呢
[05:19] 白領或者一般的民眾
[05:20] 沒有過得更好的時代
[05:22] 叫做智慧替代螺旋
[05:24] AI越來越強
[05:26] 白領就更容易被裁員
[05:27] 消費就變弱
[05:28] 企業為了要保住自己的毛利
[05:31] 他就要砍更多人
[05:32] 然後就要加碼AI
[05:33] AI再變得更強
[05:34] 迴圈轉得越快
[05:36] 市場越慶祝AI
[05:37] 但是經濟失血效果
[05:39] 就來得越顯著
[05:40] 所以現在呢
[05:41] 如果一路這樣子下去
[05:43] 到2028年
[05:44] 就會呈現一個資產價格
[05:46] 公司獲利創新高的時代
[05:48] 但是呢
[05:49] 最終大家都失去工作了
[05:51] 那他所呈現的一個角度就是這樣
[05:53] 引發市場針對軟體股的部分恐慌
[05:55] 像是他裡頭有提到
[05:57] 像Doordash
[05:58] 這一份靠那個外送平臺
[06:01] 所撐起來的模式
[06:02] 或者我們看到
[06:04] 信用卡
[06:05] MasterCard
[06:06] 或者Visa等等
[06:08] 為什麼還要付這2%到3%的手續費呢
[06:11] 直到AI金融端開始陸續接棒
[06:14] 白領的收入前景
[06:15] 被結構性的打壞以後
[06:17] 可能就會產生這樣的一個效果
[06:19] 那的確那股價層面
[06:21] 我們當然是有適度反映這種前景可能發生的意外
[06:24] 可是股價跌幅也算是蠻重的
[06:27] Adobe的部分
[06:28] 它從高點這樣子跌下來
[06:30] 整體跌幅跌了64%
[06:32] 到底AI有沒有這麼大的衝擊
[06:34] 會取代所有的繪圖軟體
[06:36] 以後大家繪圖使用AI
[06:38] 而不會去使用專業型軟體
[06:40] 還是說其實大家都還有合作的空間呢
[06:43] 這已經是Adobe在2009年金融危機以來
[06:46] 最大的該股的跌幅
[06:48] 事實上之前它的股價營收
[06:50] 比在2021年高點的時候
[06:52] 還高達22倍
[06:53] 當時是歷史的最高估值
[06:55] 現在跌了6成
[06:57] 現在只剩下4.4倍
[06:59] 22倍跌到只剩下4倍
[07:01] 不到歷史平均值8.9倍的一半
[07:04] 所以如果你說軟體股有沒有超跌
[07:06] 看起來很多股票都有一點嚴重超跌
[07:09] 可是你又不能夠確定
[07:10] 那是不是代表著
[07:11] AI真的要取代這些軟體股呢
[07:15] 所以導致估值下滑的程度
[07:17] 遠遠比想象中還要來得更為劇烈
[07:19] 甚至我們從預期本益比來看
[07:22] 這一波科技巨頭的本益比下滑幅度也很快
[07:25] 那當然不是因為單純股價下跌
[07:27] EPS在上行也是原因
[07:29] 我們舉例來說
[07:30] 現在Amazon作為電商龍頭的AI股
[07:34] 它本身也有大量的AI基礎建設投資計劃
[07:37] 本益比現在已經下滑到22倍了
[07:40] 與此同時
[07:42] 是實業的零售股
[07:44] 像沃爾瑪的部分
[07:45] 像Costco的部分
[07:47] 沃爾瑪本益比有38倍
[07:48] Costco有44倍那個本益比倍數Costco居然是Amazon的兩倍以上一個是22倍一個是44倍從這件事情就看得出來市場的定價
[07:59] 好像對於當前的AI巨頭
[08:02] 或者AI軟體股
[08:03] 有過度悲觀的一個條件存在
[08:06] 那當然了
[08:07] 也許真的是大家相信
[08:08] AI的衝擊
[08:10] 會比想象中還來得更為劇烈
[08:12] 甚至在這兩天
[08:14] 我們看到由哈佛商學院
[08:15] 所主導的研究也指出
[08:17] 機器學習模型可以預測71%的共同基金交易決策
[08:22] 包括買進賣出或者持有股票
[08:24] 他用1990年到2023年的資料訓練神經網路模型
[08:28] 來納入基金規模資金輪動股票特性和總體經濟環境以後
[08:33] 發現多數投資組合都符合固定的模式
[08:36] 認為主動型機器人的操作
[08:38] 基本上這些基金經理人
[08:40] 他的操作都是可以被演演算法學習而且模仿的
[08:43] 那就代表著
[08:45] 很大一部分
[08:46] 它都是規則化的行為
[08:47] 其實也正常
[08:48] 你仔細想一想
[08:49] 像ETF
[08:50] 除了主動以外
[08:52] 大部分其實靠AI
[08:54] 就可以適度的調節
[08:55] 其實經濟人的位置
[08:57] 似乎是
[08:57] 某種程度來講
[09:00] 它是承擔法律責任的必要存在
[09:02] 但是靠AI
[09:03] 好像也不是不行
[09:05] 所以這項研究
[09:06] 基本上似乎也暗示著
[09:08] AI所帶動的生產力週期的提升
[09:10] 它對於當前就業形態的傷害
[09:13] 或者已經既有的商業模式
[09:15] 破壞力可能是稍微巨大的
[09:17] 這是一層我們看到
[09:19] 對於軟鐵股的下殺
[09:20] 仍舊存在的原因
[09:22] 所以回過頭說
[09:23] 本輪的下殺
[09:24] 第一估值是殺很重
[09:25] 殺有它的道理
[09:27] 可是總體的AI資產價格的容頸
[09:30] 它是不會改變的
[09:31] 你只是不知道贏家是誰
[09:32] 你不知道最大的那一隻
[09:34] 是不是也會受害
[09:35] 事實上我們回過頭看
[09:36] 本輪我們看到
[09:38] 跟隨著軟鐵股一起下殺的
[09:40] 其實也並不多
[09:41] 基本就主要圍繞在軟鐵股
[09:43] 另外一個就是比特幣
[09:44] 兩者基本上算是亦步亦趨
[09:47] 之前比特幣是跟納斯達克指數
[09:49] 有一定程度聯動
[09:50] 可是這兩年已經開始有所脫節了
[09:53] 那你以為的默契
[09:54] 可能就變成你自己一個人的想象
[09:57] 因為以前是怎麼樣
[09:58] IGV就軟體型ETF
[10:00] 跟QQQ
[10:01] 納斯達克100指數
[10:02] 基本上都還算是高度聯動的
[10:04] 我們過去提過
[10:05] 基本上過去十幾年的經驗都是
[10:08] 軟體股好
[10:10] 通常整個納斯達克指數就會往上走
[10:12] 但軟體股不好
[10:13] 達克指數正常就會下滑
[10:15] 很少出現科技巨頭在上漲
[10:18] 然後所有的軟體股都在下跌的
[10:20] 現在就出現了
[10:21] 這種嚴重的脫節現象
[10:23] 好像是或暗示的
[10:24] 要麼就是QQQ
[10:27] 是在漲太多了
[10:28] 他也必須要跟隨的修正
[10:29] 還是說軟體股
[10:31] 有一點稍微超跌了
[10:32] 但不管怎麼說
[10:33] 這個時候我們以為的默契
[10:35] 可能就變成單一個人的想象
[10:38] 以前的想象空間
[10:39] 以前的慣性
[10:40] 看起來都只是發生在以前
[10:43] 以後可能就是因為AI的發明
[10:45] AI時代的產生開始陸續脫節
[10:48] 你以為的默契
[10:49] 變成單獨一個人的想象
[10:51] 男生說
[10:52] 這禮拜我們去泡溫泉好不好
[10:54] 女生說好
[10:55] 男生說
[10:57] 我會帶我女朋友去
[10:58] 你也帶你男朋友
[10:59] 到了當天
[11:01] 女生說
[11:01] 怎麼沒有看到你女朋友呢
[11:03] 男生說
[11:04] 小笨蛋
[11:05] 我的女朋友就是你
[11:06] 那你的男朋友呢
[11:08] 女生說
[11:09] 他在停車
[11:10] 所以這個時候你以為的默契
[11:12] 變成你自己一個人的想象
[11:14] 的確在疫情以後
[11:16] 過去的投資週期
[11:18] 有明確的節奏
[11:19] 景氣的擴張
[11:20] 資金寬鬆
[11:21] 資產的輪動
[11:22] 讓人只要覺得
[11:23] 好像抓住某種熟悉的模式
[11:26] 就能夠複製成功
[11:27] 比特幣跟股市的大盤的聯動
[11:30] 就是如此
[11:30] 但在疫情以後
[11:32] 這個波動就越來越怪了
[11:33] 你以為的默契
[11:35] 發現那些曾經有效的經驗
[11:37] 未必還能夠對應新的現實
[11:39] 反而更容易把人誤當成
[11:42] 記憶永恆的趨勢
[11:44] 所以我們看
[11:45] 在近期美國股市的反彈之後
[11:47] 是否能夠帶動
[11:49] 接下來軟體股的上行
[11:51] 是一個指標重要觀察重點
[11:52] 反而不用擔心硬體股
[11:54] 硬體股漲翻了
[11:55] 昨天臺積電ADR大漲了4.25%
[11:59] 看起來挑戰2000塊
[12:01] 在本月份基本上就有機會達到了
[12:04] 三大法輪起買
[12:06] 臺股暴漲了接近有7000點
[12:09] 昨天是漲了927點
[12:11] 總體而言是收在34700點
[12:14] 這不只是史上第二大的單日漲點
[12:17] 盤中收盤指數也同步重新整理歷史新高
[12:20] 這波漲勢的資金推動
[12:22] 反而是外資的回補
[12:23] 單日大舉回補了627億
[12:26] 這不僅是連續第五個交易日買超了
[12:29] 也是創下歷來第四大的單日買超紀錄
[12:32] 才過兩個月
[12:34] 外資單日買超金額
[12:35] 就已經有三次擊進歷史前十大
[12:38] 這也顯示資金回補力度有多快
[12:40] 如果我們細看
[12:41] 今年以來各大資產績效的表現
[12:44] 會發現最為亮麗的
[12:46] 當然就是我們看到韓國COSPI指數
[12:48] 這個表現一直以來
[12:50] 韓國股市這兩年都是很強的
[12:53] 總體漲幅是接近35%
[12:56] 那臺股在今年漲幅是18.2%
[12:59] 費辦漲幅13
[13:00] 日金漲幅10.5%
[13:02] 歐洲STOCK指數漲幅4.6
[13:05] 上證也不過3.7
[13:07] 剩下的4支指數
[13:09] 基本上都是美股居多
[13:10] 像道瓊滋長了1.6
[13:12] 恒生指數0.9
[13:13] 標普0.46
[13:15] 納斯達克指數今年還收跌1.6%
[13:18] 所以我們看
[13:19] 這一波外資似乎也開始
[13:21] 針對新興市場做特定的回補了
[13:24] 除了外資大幅加碼以外
[13:25] 昨天投信和自營商其實也回補了
[13:28] 外資這5天累積起來
[13:29] 也買了接近有2000億
[13:31] 這也直接導致臺積電的市值
[13:33] 在昨天正式突破2兆美元
[13:36] 把沙布迪阿美持續的往下推
[13:39] 也把Meta給往下推
[13:40] 現在基本上前6名企業
[13:43] 就是臺積電和臺積電的客戶
[13:45] 第一名是輝達4.6兆
[13:48] 再來是蘋果4兆
[13:49] 阿發貝3.7兆
[13:51] 微軟2.8兆
[13:53] Amazon2.2兆
[13:54] 接下來就臺積電2兆了
[13:56] 所以這一種市值的持續擴張
[13:58] 它導致一個現象
[13:59] 那就是我們看到在過去
[14:01] 十大投顧看臺股2026年
[14:04] 原本預估的高點
[14:06] 最高點
[14:06] 平均大概是三萬點到三萬五千點
[14:09] 兩個月就達標了
[14:11] 這個行情
[14:12] 你就知道上漲幅度有多快
[14:14] 在市場上投顧做進行行情的預判
[14:17] 不管是我們看到國內券商
[14:20] 還是海外投行
[14:21] 基本上都會有一個高低點的區間
[14:23] 按照去年經營
[14:25] 整體高低點區間
[14:26] 差不多都在五千點到八千點左右
[14:29] 結果才兩個月
[14:31] 今年二月份幾乎已經全速達標
[14:34] 突破高標
[14:35] 所以很快的相信大家要重新調整新的目標價了
[14:38] 我們看其實自從臺美談判貿易協議談定以後
[14:42] 這一次臺灣經濟成長的預期也大幅飆升
[14:45] 主技處在今年也把2026年的經濟成長率
[14:48] 從原本的3.5是大幅上修到7.7%
[14:51] 那出口成長的部分是從6.3大幅上調到22.2
[14:56] 外資也同步上修
[14:57] 2026年的成長預期
[14:59] 從美系的美銀花旗到歐系的瑞銀法巴
[15:03] 還有巴克萊或者法新再到高盛
[15:06] 基本上全新的預測
[15:08] 清一色都是4%到8%的高漲區間
[15:11] 這很明顯比過去的2%到4%
[15:13] 還要高了一層
[15:15] 非常明顯的階梯式的調升
[15:17] 那背後的兩個推力
[15:19] 一個是AI基礎建設需求
[15:21] 資本支出完全沒下滑
[15:22] 還在調高
[15:23] 第二個就是臺美
[15:24] 現在已經完成了關稅調降協議
[15:26] 對於美國的出口很明顯降溫
[15:29] 所以應該講說出口的壓力降溫
[15:32] 去年第四季的GDP已經成長到12.65%
[15:35] 全年經濟規模可能會突破一兆美元
[15:38] 所以臺灣已經連續第三季
[15:41] 三個季度大幅上修經濟增長預期就看這一波到底可以上修多久那幾乎每一個季度都看不到天花板這也導致一個現象那就是整體臺灣政府負債佔GDP比值
[15:53] 下修幅度以非常驚人幅度下行
[15:56] 15年前政府的債務佔GDP比重大概是39%
[16:00] 之後就長期走跌
[16:01] 到25年已經來到24%
[16:03] 也就是說現在不代表政府沒有舉債
[16:06] 但是現在政府舉債速度太慢了
[16:08] 明目GDP成長太快了
[16:10] 也就是臺灣政府
[16:12] 現在政府債務成長的速度
[16:14] 遠遠低於臺灣GDP成長的速度
[16:16] 這樣的一個效果
[16:18] 基本上就意味著
[16:19] 某種而言
[16:20] 大家沒有意料到
[16:22] 在疫情以後成長這麼快
[16:23] 正常來講
[16:24] 政府的舉債一定會順應著
[16:26] GDP的成長
[16:27] 所以常年保持在25%上下
[16:30] 是可以理解的
[16:31] 結果按照這個速度
[16:32] 搞不好到2030年
[16:34] 可能到時候臺灣政府債務
[16:36] 佔GDP比重
[16:37] 就會剩下10%
[16:38] 這種財務狀況太好也不是一個好事
[16:42] 因為你要適度取債
[16:43] 當然整體而言
[16:45] 全球股市表現最亮麗的也不是臺股
[16:47] 臺股今年也不過漲18%
[16:49] 漲幅最亮麗的肯定是韓國股市
[16:51] 我們看SK海力士
[16:53] 在過去一整年
[16:55] 從去年應該講六個月就好了
[16:57] 漲幅已經234%
[16:59] 三星漲了171
[17:01] 輝達呢
[17:02] 輝達在過去一段時間漲幅只有3%
[17:05] 這也反映著資金已經從GPU的設計端
[17:08] 轉往AI基礎建設真正的瓶頸
[17:11] 也就是HBM和高頻寬的記憶體
[17:14] 那臺股的硬體股表現也很亮麗
[17:16] 這直接幫助李在明提前達標了
[17:19] 李在明之前
[17:20] 他基本上也有自己的韓國股市5000點的目標
[17:23] 那現在已經要拼6000點了
[17:25] 現在韓國股市大概在5800點左右
[17:28] 今年大漲了三成八
[17:29] 從他就任以來
[17:31] 股市已經漲了115%
[17:33] 那一方面當然是韓國股市這一波的記憶體行情
[17:36] 另外一方面也代表著韓國政府這一波的股市改革重點
[17:42] 不管是擴大董事的收託義務
[17:44] 強化少數股東保護
[17:45] 整頓擴張股
[17:46] 最佳化股利稅制等等
[17:48] 這一些我們看到內部制度的最佳化
[17:51] 都導致政治和產業的雙輪驅動
[17:53] 李在明他的動機比較有個人明顯的色彩
[17:57] 李在明之前有采訪講過
[17:59] 我們他年輕時做當衝產賠
[18:01] 對於大股東傷害小股東是耿耿於懷
[18:05] 所以他親自買進韓國股市ETF
[18:08] 承諾要定期定額
[18:10] 強化市場信心
[18:11] 整個牛市也開始改變韓國股市
[18:14] 長期偏重房地產的資產配置
[18:16] 資金開始從房市開始往股市來做流落
[18:19] 韓國打房也很嚴重
[18:20] 不過挑戰也在
[18:22] 因為韓國股市第四季經濟還萎縮
[18:24] 家庭負債還是很高
[18:25] 房市過熱還有外需的依賴
[18:27] 都考驗著這波漲勢
[18:29] 能否轉化成實體經濟的財富效果
[18:32] 事實上我們看
[18:33] 這一波IPO行情
[18:35] 在中國已經啟動了
[18:37] 美國大家還在等
[18:38] 你說Anthropic
[18:39] OpenAI
[18:40] 還有SpareX
[18:41] 到底什麼時候能夠上
[18:42] 資金極樂要進場
[18:44] 結果因為現在SpareX
[18:46] 6月份就要IPO了
[18:48] 市場估值1.5兆
[18:49] 募資規模可能高達500億美元
[18:52] 這波太空題材
[18:53] 反而在南韓的未來資產證券
[18:56] 這家公司
[18:56] 它因為擁有4億美元的SpareX
[18:59] 和XAI的部位
[19:00] 被視為公開市場的替代標的
[19:02] 結果它的股價
[19:04] 今年也變成大幅拉昇的物件
[19:06] 衝上MSCI
[19:08] 全球指數成分股的前半段
[19:10] 在這樣的一個效果底下
[19:11] 就顯示著
[19:12] 不管是韓國股民
[19:13] 之前經常看到
[19:14] 韓國股民集體去炒美股
[19:16] 還是韓國股市
[19:17] 這種對於房地產資金
[19:19] 往股票市場的投射現象
[19:21] 都導致市場有新一波的想象空間
[19:24] 所以我認為
[19:25] 這一波軟鐵股的傷害
[19:27] 是的確存在
[19:28] 但是肯定有被錯殺的股票
[19:29] 有折股能力的人
[19:31] 當然可以越越預示
[19:32] 沒有的人
[19:33] 持續抱著ETF
[19:35] 就讓AI的行情順應的帶著你走
[19:37] 到底五年十年
[19:39] 誰能夠勝出不重要了
[19:40] 我們要期待的是40年50年退休以後
[19:44] 是否能夠讓AI的行情
[19:46] 嶄新在你身上
[19:47] 這個嶄新在你身上
[19:48] 不僅僅是你學會什麼AI技能
[19:50] 也許你好好的抱著這些半導體股票
[19:54] 或者軟體型ETF
[19:56] 也許最終你就可以看到
[19:57] 真正的果實陸續的發酵在你身上
[20:00] 事實上我們看到
[20:01] AI針對終端產品的演進
[20:03] 以及結合仍然在持續上演當中
[20:06] 我們舉幾個例子
[20:08] 比較新穎的新聞
[20:09] 像是中國這幾年
[20:11] 開始把AI跟傳統中醫來進行合作
[20:14] 像針灸這種古老的療法
[20:16] 也被匯入到高科技的裝置端
[20:18] 我們到西醫
[20:18] 現在已經大量的匯入科技相關產品了
[20:22] 那有一些副作用
[20:23] 可是整體而言還是有高度評價的
[20:26] 那中醫的部分要如何做
[20:27] 結合呢
[20:28] 比如說用腦波控制穿戴裝置
[20:31] 來輔助中風的復健
[20:32] 官方呢
[20:33] 在中國市場也正式推動中醫醫藥現代化計劃
[20:37] 把製藥流程給數位化
[20:39] 用AI來協助找新配方
[20:41] 那中醫本來在華人市場就很普及
[20:44] 很多公立醫院都有中醫的門診
[20:46] 每年看診人士是高於10億人次
[20:49] 現在不少診所
[20:50] 他會怎麼樣
[20:51] 他不用手量了
[20:52] 用感測器量脈搏
[20:54] 用聊天機器人來推薦藥方
[20:57] 甚至呢
[20:57] 你透過上傳自己舌頭的照片
[21:00] 來給大家飲食建議
[21:01] 整體走向就是藉由AI的方式
[21:03] 幫你整理資料
[21:04] 降低人力的成本
[21:06] 來提高藥材的使用效率等等
[21:08] 另外一個是我們看到
[21:10] 在過去自動駕駛和機器人
[21:12] 在真實環境當中
[21:14] 都會遇到很多突發情況
[21:15] 比如說突然切出了單車
[21:17] 分心過馬路的情況
[21:18] 因此非常需要
[21:19] 更快的視覺判讀和反應力
[21:21] 隨著AI的加速湧入以後
[21:24] 加上高效運算的持續演進
[21:26] 最新研究已經受到
[21:28] 人眼視覺的機制啟發
[21:30] 在人工視覺當中
[21:31] 會加入類似那種
[21:33] 大腦視覺中繼和過濾的功能
[21:36] 因為傳統的攝影機是怎麼樣
[21:37] 像特斯拉攝影機
[21:38] 它是先連續拍攝畫面
[21:40] 然後用光流的演演算法
[21:42] 把亮度變成運動資訊
[21:44] 每一個畫素都要計算
[21:45] 計算量就太大了
[21:47] AI的幫助之下
[21:49] 先進系統辨識一張照片
[21:51] 大概也要花0.6秒
[21:52] 所以這個時候
[21:53] 如果加入類似大腦視覺的
[21:55] 中繼過濾系統
[21:56] 代表的神經形態的硬體
[21:58] 你等同於把資料儲存和運算
[22:00] 整合在同一個電路當中
[22:03] 你先抓出哪裡在動
[22:04] 再把重點區域交給演演算法來精算
[22:07] 這一套AI的仿生視覺系統
[22:10] 用在自駕場域或者機械手臂測算
[22:13] 基本上是現有方法的四倍
[22:15] 所以準確率而且還會因此而提升
[22:17] 在這樣效果底下
[22:19] 等同於AI仍然在持續精進當中
[22:21] 我們當然知道AI現在有點副作用
[22:23] 過度仰賴AI還是有點擔心
[22:26] 可是第一效率正在提升
[22:28] 第二如何把效率提升的倍數持續拉昇
[22:32] 成為市場上關注的重點
[22:34] 我舉例來說
[22:35] 我們現在在西醫的部分
[22:37] 剛才講的是中醫
[22:38] 西醫的部分
[22:39] 現在原本市場預估
[22:40] 人工智慧匯入AI以後
[22:42] 可以提升診斷和手術的精度
[22:44] 像強生旗下的公司
[22:46] 就推出了AI手術導航系統
[22:48] 你在加入GT學習之後
[22:50] 它通報的故障率也明顯增高
[22:52] 可是很多醫生還是認為
[22:55] 現在基本上有了AI的幫助
[22:57] 可以幫助整個美國醫療體系
[22:59] 若不付出或者說病患過多的情況底下
[23:03] 它還是能夠適度的有效篩選
[23:05] 美國主管機關現在也意識到了
[23:07] 因為美國主管機關
[23:09] 現在去核準上千項的相關裝置
[23:12] 都是坦言
[23:14] 現行的制度
[23:15] 差不多都是以過去產品作為基準
[23:17] 一個AI模型產生的這種硬體
[23:21] 或者醫療裝置
[23:22] 的確必須要有新的法規
[23:25] 來做建立
[23:25] 這都是AI的碰撞當中
[23:28] 持續跌跌撞撞當中
[23:29] 持續湧現的
[23:30] 所以我們講說
[23:31] 第一批的AI企業
[23:33] 它正在推進產業的現場
[23:35] 幾乎註定
[23:36] 大家都是跌跌撞撞的系統會失靈成本會失控商業模式本來就會反覆的修正甚至還要承受外界對於技術過度期待之後的反噬那正是因為這些最早下場的人
[23:48] 他一邊犯錯一邊修正
[23:49] 把抽象的技術
[23:51] 變成可以賺錢的生意
[23:53] 才可以替後者鋪出一條
[23:55] 可以看得見的道路
[23:57] 所以我反而認為
[23:58] 歷史上的新技術
[24:00] 本來都是如此的
[24:02] 第一個衝進去的
[24:03] 本來可能就是滿頭大汗
[24:06] 或者呢
[24:07] 頭破血流
[24:07] 但他們留下的腳印
[24:09] 才是整個產業
[24:10] 真正開始形成的證據啊
[24:12] 這兩天
[24:13] 剛好我走那個
[24:14] 拿破崙的尋根之旅嘛
[24:16] 因為我跟拿破崙很像嘛
[24:18] 我們都是獅子座
[24:19] 然後個子不是很高
[24:20] 那他是很有徵服的慾望嘛
[24:22] 慾望很強
[24:23] 那我是信譽很強
[24:24] 那總而言之啊
[24:25] 然後我就先走那個
[24:27] 豐丹白鹿宮嘛
[24:28] 然後走
[24:29] 馬爾梅松去尋根
[24:31] 仙賢祠
[24:32] 然後凡爾賽宮的戰鬥廳啊
[24:34] 那裡面博物館裡頭啊
[24:36] 拿破崙就講過一句話
[24:37] 他說
[24:38] 第一個進去計程車兵
[24:40] 頭上一定是沾著鮮血出來的
[24:43] 第一批真正把AI推進到產業現實的企業
[24:47] 幾乎都會跌跌撞撞
[24:49] 莎士比亞也說過
[24:51] 當你能夠輕鬆的進入某個領域的時候
[24:54] 不是因為你有多厲害
[24:56] 是因為前輩們已經為你拓寬了道路
[25:00] 聽起來怪怪的
[25:02] 但我的意思大家可以稍微理解
[25:04] 我們看到AI的新技術不斷的湧進當中
[25:08] 第一批當然有點跌跌撞撞
[25:10] 可是後來跟上以後
[25:12] 你會發現效果正在慢慢的出現
[25:14] 我們看有沒有股市市大指數的反彈情況
[25:17] 道瓊指數下跌370點
[25:19] 0.76%
[25:20] 則在49174點
[25:22] 標普白指數上漲52點
[25:24] 0.77%
[25:25] 則在6890點
[25:27] 納斯達克指數上漲236點
[25:29] 1.05%
[25:30] 則在22863點
[25:32] 費班上漲118點
[25:33] 1.45%
[25:35] 所以在8332點
[25:36] 那一樣除了廢辦以外
[25:38] 大多數的指數還在一個打底區間
[25:42] 其實我們剛才跟投資朋友講到
[25:44] 如果以現在軟底股來看
[25:46] 那個跌幅是有點誇張
[25:47] 我們從歷史高點來往下推
[25:49] 標普大概現在距離歷史高點跌幅2%
[25:52] 微軟跌了三成
[25:54] 其他一些軟底股
[25:55] 像新思科技
[25:56] 半導體EDA軟體設計
[25:59] 從高點下來大概跌了36%左右
[26:02] 其他像是Polo Auto網路
[26:05] 我們講的專門做網路治安防火牆的
